[00:00:00.009 --> 00:00:01.470]  The War on Corruption.
[01:38:22.312 --> 01:38:23.734]  And I've spoken at elementary schools.
[01:38:24.254 --> 01:38:30.841]  Kids are worried about polar bears and flooding, both of which are completely manufactured scares by the global warming industry.
[01:38:31.707 --> 01:38:37.371]  There's no acceleration in sea level, and one of the scientists said, if sea level's rising due to global warming, no one's told sea level.
[01:38:37.391 --> 01:38:40.614]  Well, the ice caps grew by, what, 30% this year?
[01:38:41.034 --> 01:38:45.137]  Arctic and Arctic.
[01:38:45.177 --> 01:38:53.224]  Look, look, look, when they show a polar bear on the news and say, look, he's drowning, they know polar bears are the greatest land swimmers on Earth.
[01:38:53.244 --> 01:38:54.365]  They can swim hundreds of miles.
[01:38:54.425 --> 01:38:56.566]  I mean, this is such a scam.
[01:38:56.827 --> 01:38:59.409]  I mean, Gore just is laughing all the way to the bank.
[01:38:59.449 --> 01:38:59.749]  Go ahead.
[01:39:00.495 --> 01:39:04.979]  Yeah, I mean, particularly polar bears are at or near record highs according to U.S.
[01:39:05.039 --> 01:39:05.880]  Geological Survey.
[01:39:05.900 --> 01:39:10.625]  The only way they're threatened, and they're not even threatened here, there's the computer models.
[01:39:10.925 --> 01:39:14.829]  The bottom line is they've survived much warmer periods than that's even being contemplated.
[01:39:14.849 --> 01:39:15.550]  That's right!
[01:39:15.710 --> 01:39:21.515]  And it's all based on computer models, which Ivy League lead expert in forecasting said the U.N.
[01:39:21.575 --> 01:39:24.738]  climate models violate the basic principles of forecasting.
[01:39:24.758 --> 01:39:25.179]  Something like,
[01:39:26.123 --> 01:39:29.384]  70 out of 84 principles, it violates 70 of them.
[01:39:29.644 --> 01:39:33.585]  These are just, some people have called them Sony Playstation video games.
[01:39:34.045 --> 01:39:34.946]  That's how they get the fear.
[01:39:34.966 --> 01:39:40.227]  They have to posit, and Obama's Energy Secretary, Stephen Chu, is the biggest embarrassment on this.
[01:39:40.667 --> 01:39:45.768]  He will talk about what he thinks is going to happen in the year 2100, and act as though it's evidence of today.
[01:39:46.409 --> 01:39:53.511]  Top Japanese scientist just came out in, I believe, January or February, and said that global warming is now akin to astrology.
[01:39:53.611 --> 01:39:54.871]  That's the level we've reached here.
[01:39:55.365 --> 01:40:01.791]  If you read your horoscope every day, it's written in such a way that it's vaguely worded that pretty much anything happens, you can say your horoscope was right.
[01:40:01.991 --> 01:40:03.172]  Well, the same way with global warming.
[01:40:03.192 --> 01:40:05.093]  They're now getting away from the phrase global warming.
[01:40:05.113 --> 01:40:07.756]  They want to call it global weirding, in the words of Thomas Friedman.
[01:40:07.776 --> 01:40:08.136]  Exactly.
[01:40:08.156 --> 01:40:13.761]  That's what I wanted to ask you about next, is the New York Times, as you know, it got leaked.
[01:40:14.321 --> 01:40:21.727]  That one of these PR firms had written up the new pitch for the White House and the Democrats was that we're losing our atmosphere.
[01:40:21.787 --> 01:40:22.908]  It's deteriorating.
[01:40:23.248 --> 01:40:24.409]  Climate change.
[01:40:24.749 --> 01:40:28.372]  Stress when it's over cold that that was caused by man.
[01:40:28.872 --> 01:40:30.033]  Stress when it's hot.
[01:40:30.333 --> 01:40:33.336]  I mean, we've got them red-handed.
[01:40:34.216 --> 01:40:40.721]  Running around, fear-mongering, and now that people are waking up to him, Gore's now going, we'll all be dead in five years, it's not twenty now!
[01:40:41.022 --> 01:40:42.223]  Give me the money!
[01:40:42.603 --> 01:40:47.827]  And he publicly owns the trading companies in Chicago and England that the money's gonna go into?
[01:40:47.887 --> 01:40:49.048]  I mean, how asinine is this?
[01:40:49.568 --> 01:40:56.074]  Oh, he has, he's partnered and affiliated with groups that have already invested a billion dollars in, I think, forty different companies.
[01:40:56.674 --> 01:41:02.659]  He went from one or two million dollars net worth to over a hundred million now, according to Bloomberg News.
[01:41:03.200 --> 01:41:09.501]  And now he's poised to be the world's first carbon billionaire, but he's not doing it through entrepreneurship.
[01:41:09.762 --> 01:41:17.103]  He's doing it through lobbying the government to pass unneeded mandates that are going to make real people suffer.
[01:41:18.924 --> 01:41:21.344]  But even beyond taxes, it is a moral question.
[01:41:21.644 --> 01:41:27.406]  We have poor Africans in places like Chad who have global warming-inspired bans on charcoal.
[01:41:27.426 --> 01:41:29.086]  They can't cook, they can't heat their huts.
[01:41:29.406 --> 01:41:30.966]  Because they're worried about global warming.
[01:41:30.986 --> 01:41:32.387]  Mark, I gotta stop you again.
[01:41:32.607 --> 01:41:33.527]  Mark, I gotta stop you.
[01:41:33.547 --> 01:41:39.049]  I'm gonna try to shut up and let you talk, but when I hear you saying all this truth, I gotta say this and then I want you to go over it.
[01:41:39.549 --> 01:41:41.089]  I've read the actual UN studies.
[01:41:41.129 --> 01:41:42.489]  It's not even our studies, it's their studies.
[01:41:42.829 --> 01:41:48.611]  They admit that their global warming cuts of 20% could kill hundreds of millions of people if they cut it by 50%.
[01:41:48.831 --> 01:41:50.532]  Well, the third world, as I said, it is a moral question.
[01:42:16.630 --> 01:42:21.214]  We have Thomas Friedman, New York Times columnist, who wrote this recent book.
[01:42:21.234 --> 01:42:22.215]  He's been on a book tour.
[01:42:22.976 --> 01:42:27.320]  I believe he was paid, I want to say $175,000 to go speak in San Francisco.
[01:42:28.121 --> 01:42:30.563]  He is telling India, don't follow us.
[01:42:30.663 --> 01:42:31.764]  Don't follow the U.S.
[01:42:31.844 --> 01:42:33.125]  model of economic success.
[01:42:33.165 --> 01:42:34.206]  The earth can't handle it.
[01:42:34.226 --> 01:42:35.027]  You don't need to do it.
[01:42:35.347 --> 01:42:39.411]  He's telling a country where 40% of its people don't have access to electricity.
[01:42:39.938 --> 01:42:42.259]  This is what they're calling the new form of colonialism.
[01:42:42.319 --> 01:42:50.003]  It's white, wealthy Westerners telling poor people of color in the third world that they can't have prosperity and development like we can.
[01:42:50.023 --> 01:43:05.772]  In other words, they need to remain in the nasty, brutish, short life with no running water, no electricity, no modern medicine, no defibrillators, no treatments, no modern dentistry, no clean water, no clean air, living in huts made of dung, because they're living eco-friendly.
[01:43:05.852 --> 01:43:09.454]  I've met what I call environmental missionaries, green missionaries,
[01:43:09.947 --> 01:43:20.732]  Wealthy white people that come, and in this particular case it was a young woman from Minnesota who was in Africa telling poor South Africans that they were living more Earth-friendly and that the U.S.
[01:43:20.772 --> 01:43:24.334]  way of life was total BS, meaning prosperity and running water.
[01:43:24.434 --> 01:43:25.475]  And Mark, let me stop you.
[01:43:25.515 --> 01:43:27.976]  I've seen all the major studies, their own internal studies.
[01:43:28.596 --> 01:43:38.101]  The Royal Commission, 1944-49, they decided to have the population boom, to not let the third world develop, and they knew it would increase numbers and actually hurt
[01:43:38.861 --> 01:43:46.506]  Uh, the environment, the way they're living in squalor actually hurts the environment instead of moving to the industrial system and the new advanced cleaner system.
[01:43:46.546 --> 01:43:48.927]  So this is economic warfare, is it not?
[01:43:49.908 --> 01:43:50.729]  Oh, it absolutely is.
[01:43:50.789 --> 01:44:00.715]  I mean, the developing world is poised to have the same miracle that the Western world had in the 20th century, except for unfounded global warming fears.
[01:44:00.975 --> 01:44:05.838]  Just to give you a few more examples, white wealthy Westerners in England, a grocery market chain, announced they were going to
[01:44:06.388 --> 01:44:07.008]  Buy local.
[01:44:07.268 --> 01:44:12.950]  Well, this didn't sit well with poor Kenyan farmers whose livelihood depended on food exports to England.
[01:44:13.370 --> 01:44:14.450]  That's another example of this.
[01:44:14.770 --> 01:44:22.632]  You have across, again using India, environmentalists have opposed various dams to bring in hydroelectric power because of environmental impacts.
[01:44:23.152 --> 01:44:25.133]  And I've seen it down in the Amazon rainforest.
[01:44:25.173 --> 01:44:26.213]  I did a documentary in 2000.
[01:44:27.113 --> 01:44:29.874]  Wealthy celebrities fly in on carbon-spewing jets.
[01:44:30.810 --> 01:44:34.913]  Stop some development down there, and then they fly back home to their Bel Air mansion.
[01:44:35.293 --> 01:44:37.454]  This is a new form of colonialism.
[01:44:37.754 --> 01:44:40.496]  It's a colonialism that keeps poor people poor.
[01:44:40.976 --> 01:44:42.697]  I interviewed Dr. Walter Williams.
[01:44:42.737 --> 01:44:45.598]  He's an African-American economist, George Mason University.
[01:44:45.999 --> 01:44:58.526]  He said that many Westerners want to see the developing world poor, because it's almost like going to visit... treating people like they're... There's actually a whole thing called poverty tourism now, where you go and you see people live and you think, oh, isn't that neat?
[01:44:58.586 --> 01:44:59.226]  Isn't that great?
[01:44:59.713 --> 01:45:03.494]  And the bottom line is environmental policy is going to keep them living that way.
[01:45:03.514 --> 01:45:10.636]  That's right, and these control freak communists who work for the big banks because they don't want a free market either.
[01:45:10.656 --> 01:45:17.358]  That's why the ultra-rich always fund the poor to set up socialism to conduit the money and power to the elites.
[01:45:17.718 --> 01:45:19.839]  They are saying they want the same system here.
[01:45:19.879 --> 01:45:23.540]  They want to cut the population, Brown's head,
[01:45:25.000 --> 01:45:29.342]  I call it, I compare it to the old Soviet Politburo where the members of the party got all the perks.
[01:45:29.362 --> 01:45:32.263]  You have Arnold Schwarzenegger who, in his radio address just three weeks ago, told Californians
[01:45:50.461 --> 01:45:57.764]  That to lower their carbon footprint, they should be air-drying clothes, and that if you air-dried your clothes every day for six months, you'd save, you know, I don't know, X amount of pounds.
[01:45:58.104 --> 01:46:06.668]  The same Arnold Schwarzenegger, who the LA Times a year before chastised him for commuting to work in a private jet, a daily commute in his private jet.
[01:46:06.968 --> 01:46:11.690]  He's now telling Californians to hang their clothes out in the air.
[01:46:12.250 --> 01:46:15.892]  This is the level, and this is Al Gore flying the private jet, Leonardo DiCaprio,
[01:46:16.511 --> 01:46:18.654]  It's that two-tiered system.
[01:46:18.974 --> 01:46:22.338]  The masses live one way and the party rulers live another.
[01:46:22.358 --> 01:46:23.660]  But that's okay!
[01:46:23.980 --> 01:46:30.008]  That's okay because DiCaprio and Schwarzenegger and all of them are heavily invested in the carbon credit companies.
[01:46:30.348 --> 01:46:32.050]  They buy those from themselves!
[01:46:33.290 --> 01:46:34.210]  Also, they'll brag.
[01:46:34.250 --> 01:46:37.532]  I mean, at one point, Gore's film, he bragged that it was carbon neutral.
[01:46:37.952 --> 01:46:39.012]  Someone did the calculations.
[01:46:39.052 --> 01:46:41.313]  He only paid... I want to say the number was under $500.
[01:46:41.553 --> 01:46:43.774]  It was some absurd number.
[01:46:43.814 --> 01:46:48.135]  You can make a whole Hollywood film with all the carbon and claim you're carbon neutral for just $500.
[01:46:48.315 --> 01:46:51.797]  I don't think other people are getting charged so low.
[01:46:52.157 --> 01:46:57.939]  But we're finding Hollywood actors buying, you know, for all the flying they do and for being in entertainment, they're buying offsets.
[01:46:58.219 --> 01:47:01.800]  And what's happening is they're either preserving land in Africa or planting trees.
[01:47:02.661 --> 01:47:03.621]  Before I left the U.S.
[01:47:03.681 --> 01:47:12.303]  Senate, I met with the Norwegian Embassy, and they were touting this new thing that they're essentially going to pay poor countries not to develop.
[01:47:12.863 --> 01:47:16.644]  And this is the ultimate form of the new colonialism I'm talking about.
[01:47:16.944 --> 01:47:18.464]  I told them I hope they failed.
[01:47:18.664 --> 01:47:20.105]  This was in a meeting in the U.S.
[01:47:20.125 --> 01:47:20.345]  Senate.
[01:47:20.365 --> 01:47:21.265]  They sought it out with me.
[01:47:21.645 --> 01:47:24.285]  I said, all that's going to happen is your money from the U.N.
[01:47:24.305 --> 01:47:27.366]  and from international agencies are going to go to corrupt third-world dictators.
[01:47:27.734 --> 01:47:33.838]  They're going to get the money, the people are going to suffer as their country continues not to develop, as they're living in huts, you know, made of dung.
[01:47:33.858 --> 01:47:40.962]  These wealthy Norwegians are going to sit back and say, ah, we're saving the planet, this is great, and we're helping these poor people by giving to these corrupt governments.
[01:47:41.522 --> 01:47:44.504]  That is what's wrong right now in terms of international policy.
[01:47:44.884 --> 01:47:47.946]  What we need to do, I interviewed a South African activist who said it best.
[01:47:48.596 --> 01:47:55.878]  If the Western wealthy world really doesn't want the developing world to develop, they ought to lead by example.
[01:47:55.918 --> 01:48:07.261]  In other words, they should level cities like Washington, Rotterdam, London, and return them back to swamps and jungles before they can tell people in Africa and people in South America and Asia not to develop their land.
[01:48:07.702 --> 01:48:10.164]  And that didn't go over too well with a lot of development actors.
[01:48:10.184 --> 01:48:13.147]  This was at a UN conference at the South African Senate.
[01:48:13.347 --> 01:48:14.488]  But I think he was dead on.
[01:48:14.528 --> 01:48:25.739]  We have no business telling these countries, paying them, bribing them, whatever word you want to use, not to develop when it's not our kids that are dying of high infant mortality and short life expectancy.
[01:48:26.504 --> 01:48:28.768]  I interviewed Chevy Chase on the mall on one of these Earth Days.
[01:48:28.788 --> 01:48:31.813]  The actor, he said socialism works, Cuba was the model.
[01:48:32.174 --> 01:48:37.764]  This is the mindset of the modern environmental movement and sadly it's infected many in this new administration.
[01:48:38.308 --> 01:48:42.329]  And meanwhile Chevy Chase is worth literally a hundred million dollars or more.
[01:48:43.670 --> 01:48:53.173]  You know, talking to these people in government and reading their writings, the high-level ones cold-bloodedly know this is a business, this is to control, this is to freeze the third world.
[01:48:53.193 --> 01:48:54.593]  Yeah, I mean, they're very honest.
[01:48:54.653 --> 01:49:02.435]  Ben Cardin, Democrat from Maryland, told the Washington Post in April, global warming laws in Washington represent the greatest, the biggest potential,
[01:49:05.376 --> 01:49:08.557]  The greatest revenue-generating proposal of our time, was the exact quote.
[01:49:08.897 --> 01:49:13.918]  So you can imagine, they don't care about the science, they care about the greatest revenue-generating proposal of their time.
[01:49:14.178 --> 01:49:16.458]  And remember, he who controls carbon, controls life.
[01:49:16.538 --> 01:49:18.918]  It's a bureaucrat's dream to control carbon dioxide.
[01:49:19.378 --> 01:49:24.379]  We had a scientist from Princeton come and testify, Will Happer, 200 peer-reviewed scientific studies.
[01:49:24.919 --> 01:49:32.601]  He said the level of control we're contemplating when you declare what we exhale from our mouth a pollutant, is something that George Orwell didn't even contemplate in 1984.
[01:49:33.908 --> 01:49:34.928]  We are ceding over.
[01:49:35.148 --> 01:49:42.011]  We have the UK, a carbon card proposal where the government's going to monitor individual people, their carbon allowances.
[01:49:42.051 --> 01:49:44.592]  They're going to monitor how much you drive, where you set your thermostat.
[01:49:44.632 --> 01:49:46.673]  California's already tried regulating thermostats.
[01:49:47.341 --> 01:49:59.026]  This is a situation where... No, I had the government advisor on, and he said you will all be rationed, and you only have enough food to weigh a certain amount, and bureaucrats will control every facet of your life.
[01:49:59.286 --> 01:50:03.848]  They're now putting the satellite tracker boxes in the cars to now control how fast you drive.
[01:50:03.868 --> 01:50:05.409]  I mean, it's all happening.
[01:50:05.469 --> 01:50:06.510]  This is their model.
[01:50:06.550 --> 01:50:08.811]  They admit, as you know, sir, that the audience...
[01:50:09.631 --> 01:50:17.513]  President Bush started the bank bailout, and then Obama continued with the stimulus packages, and now nationalizing, you know, we're nationalizing banks, we're nationalizing automobiles.
[01:50:18.093 --> 01:50:20.714]  Just to put a simple line out, never before in U.S.
[01:50:20.754 --> 01:50:26.676]  history has more power and wealth in decision-making been concentrated in the hands of so few.
[01:50:26.696 --> 01:50:32.578]  You know, the left will talk endlessly about, you know, oh, you know, the corrupt corporations, big business.
[01:50:33.018 --> 01:50:37.559]  The bottom line is, at least big business has shareholders, has accountability to the public government now,
[01:50:38.195 --> 01:50:42.237]  We have more power and control in the smallest amount of hands that we've ever had in U.S.
[01:50:42.297 --> 01:50:42.698]  history.
[01:50:43.098 --> 01:50:43.618]  And?
[01:50:44.158 --> 01:50:45.419]  And it's only going to continue.
[01:50:45.519 --> 01:50:50.842]  And this is, you know, it's an inevitable result beginning with the New Deal and continuing with the Great Society.
[01:50:50.862 --> 01:50:52.403]  Mark Murano, five more minutes with you on the other side.
[01:50:52.423 --> 01:50:53.824]  Five more minutes with Mark Murano.
[01:50:53.884 --> 01:50:55.024]  It's ClimateDepot.com.
[01:50:55.264 --> 01:51:00.587]  But then above the government is a very small group of private corporations that operate like Spectre.
[01:51:00.948 --> 01:51:01.848]  And that's the New World Order.
[01:51:01.868 --> 01:51:03.329]  That's the Bilderberg Group.
[01:51:03.349 --> 01:51:03.589]  Okay.
[01:51:03.769 --> 01:51:04.409]  But I agree with him.
[01:51:04.429 --> 01:51:05.070]  We'll be right back.
[01:51:06.852 --> 01:51:18.361]  Today, we cannot afford to ignore the current state of our country, the economy, job layoffs, mass foreclosures, and now we are all at risk of being exposed to this new flu pandemic.
[01:51:18.581 --> 01:51:23.164]  The Center for Disease Control has declared a public health emergency across the United States.
[01:51:23.424 --> 01:51:24.865]  What can you do to prepare yourself?
[01:51:25.065 --> 01:51:26.867]  The answer is ZeroFlu.com.
[01:51:27.547 --> 01:51:31.111]  ZeroFlu.com offers you the very best at air purifiers.
[01:51:31.311 --> 01:51:44.044]  These revolutionary air purifiers protect up to 3,000 square feet of your home and stop 99.9% of airborne allergens, influenza, bacteria, viruses, pollen, dust, pet dander, black mold, MRSA, and more.
[01:51:44.284 --> 01:51:46.546]  Not only from the air, but from all surfaces.
[01:51:46.686 --> 01:51:49.448]  With no filters to replace ever, you save money.
[01:51:49.608 --> 01:51:50.769]  Prepare yourself today.
[01:51:50.929 --> 01:51:53.050]  To learn more, visit ZeroFlu.com.
[01:51:53.130 --> 01:51:54.711]  That's ZeroFlu.com.
[01:51:54.851 --> 01:51:55.432]  Or call 888-766-6066.
[01:51:55.452 --> 01:51:55.812]  888-766-6066 today.
[01:51:55.992 --> 01:51:56.372]  ZeroFlu.com.
[01:51:56.392 --> 01:51:58.934]  Protecting you and your family, one day at a time.
[01:52:06.499 --> 01:52:07.840]  Hey folks, Alex Jones here.
[01:52:08.020 --> 01:52:13.004]  I'm sending out a special alert to all those out there listening with credit card debt and struggling to make payments.
[01:52:13.384 --> 01:52:15.466]  I'm going to give you a very important phone number.
[01:52:15.806 --> 01:52:23.151]  Due to a declining economy and credit crisis, you now have the power to settle your debt and lower your payments by up to 60% or more by calling
[01:52:24.172 --> 01:52:24.592]  We're good to go.
[01:52:24.612 --> 01:52:25.392]  We're good to go.
[01:52:53.377 --> 01:52:57.639]  Reduce your payments by up to 60% and save you thousands of dollars today.
[01:52:57.879 --> 01:53:00.120]  That number again is 1-800-324-6554.
[01:53:00.140 --> 01:53:01.401]  800-324-6554.
[01:53:02.341 --> 01:53:05.883]  The Bailout Group.
[01:53:06.683 --> 01:53:11.586]  Since 1991, The Seven Store has been helping you prepare in the event of an emergency.
[01:53:12.066 --> 01:53:19.109]  The Seven Store is unlike any company you have ever seen, offering a complete line of products that will prepare you for any catastrophe.
[01:53:19.449 --> 01:53:22.931]  At The Seven Store, we do something very different for our customers.
[01:53:23.371 --> 01:53:30.156]  Out of hundreds of preparedness companies in the United States, we are the only one who offers the most complete variety of preparedness items.
[01:53:30.416 --> 01:53:39.161]  From storable food, survival, terror, and pandemic kits, water storage, and self-reliant items, The 7 Store is your place for preparedness.
[01:53:39.502 --> 01:53:46.146]  The 7 Plan, our 46-page preparedness guidebook, is your go-to guide to help you prepare for the unexpected.
[01:53:46.486 --> 01:53:47.086]  You know, I get rabid.
[01:54:16.969 --> 01:54:19.832]  On this subject, you start spewing facts, and they're facts!
[01:54:20.573 --> 01:54:22.055]  And they just say no.
[01:54:22.435 --> 01:54:35.910]  In fact, Al Gore, a few weeks ago, and I wanted to ask Mark Morano of ClimateDepot.com about this, former Senate advisor in aid and researcher, one of the preeminent people, kind of a clearinghouse to expose all this,
[01:54:37.196 --> 01:54:39.156]  And they said, what about all these thousands of scientists?
[01:54:39.176 --> 01:54:40.477]  I mean, there are thousands and thousands.
[01:54:41.037 --> 01:54:43.377]  I've seen letters of 10,000, 20,000 they signed.
[01:54:43.717 --> 01:54:45.258]  The vast majority saying it's all a fraud.
[01:54:45.298 --> 01:54:48.918]  The top climatologists, the top experts on the Arctic, they're everywhere.
[01:54:50.119 --> 01:54:51.339]  Just saying, look, it's a fraud.
[01:54:52.679 --> 01:54:55.460]  The people that look at the sun, you know, I mean, all of it.
[01:54:57.000 --> 01:55:01.001]  And Al Gore just said, well, there's people that think, you know, there's flying saucers and we didn't go to the moon.
[01:55:03.644 --> 01:55:04.965]  And that's what they do.
[01:55:04.985 --> 01:55:06.986]  They just say, first they said, everyone agrees.
[01:55:07.006 --> 01:55:08.847]  And they said, oh, everybody who's credible agrees.
[01:55:08.887 --> 01:55:12.188]  And then, well, everybody who's sane believes.
[01:55:13.209 --> 01:55:16.771]  And meanwhile, it's just an unbelievable fraud.
[01:55:16.791 --> 01:55:20.993]  And then they brought up, well, what about how Ken Lay of Enron came up with this idea for carbon credits?
[01:55:21.753 --> 01:55:24.413]  Yeah, real quick, just so people don't think I'm being conspiratorial here, or
[01:55:50.703 --> 01:55:58.413]  You know, Jacques Chirac, the French President's own words were the UN Global Warming Treaty, Kyoto, was the first step to authentic global governance.
[01:55:58.453 --> 01:55:59.554]  These are their own words.
[01:56:00.836 --> 01:56:04.741]  An EU official came out and said that the Kyoto representative
[01:56:05.453 --> 01:56:08.655]  Um, leveling the playing field for the developed, for the world.
[01:56:08.776 --> 01:56:10.157]  Meaning, you know, the take from the rich.
[01:56:10.517 --> 01:56:15.460]  I was at UN conferences where they were proposing a global carbon tax on countries, and guess what?
[01:56:15.500 --> 01:56:17.842]  The wealthy nations get hit the hardest, and guess what?
[01:56:17.882 --> 01:56:20.924]  The UN decided to administer the funds.
[01:56:21.385 --> 01:56:26.148]  These are their own words that they're saying, and they're being very open about their goals when they do this.
[01:56:26.914 --> 01:56:28.434]  You mentioned Al Gore and the astronaut.
[01:56:28.474 --> 01:56:29.515]  I can't let this go by.
[01:56:29.795 --> 01:56:35.836]  He told the House hearing two weeks ago that he compared global warming skeptics to people who think the moon landing was faked.
[01:56:36.176 --> 01:56:46.699]  Well, the bottom line is that talking point is now moot as one of the moon landers himself, astronaut Jack Smith and a geologist, came out and declared himself a skeptic last year, late last year.
[01:56:47.059 --> 01:56:49.659]  So Gore doesn't even have it updated to his talking point.
[01:56:50.119 --> 01:56:51.420]  You asked about how to defeat this.
[01:56:51.460 --> 01:56:52.980]  The bottom line is the Republicans
[01:56:53.630 --> 01:56:56.791]  Surprise, surprise, they're actually doing a pretty good job in the House right now.
[01:56:56.831 --> 01:56:57.572]  They're unified.
[01:56:57.632 --> 01:57:06.495]  A couple Republicans have introduced a carbon tax as a sort of diversion, from what I gather, because all the liberals, that would be their dream, but it's not politically doable.
[01:57:06.956 --> 01:57:10.417]  But the bottom line, the Republicans are doing pretty well, led by Congressman Joe Barton.
[01:57:10.917 --> 01:57:12.778]  The Democrats are doing very well.
[01:57:12.918 --> 01:57:17.380]  One of the Democrat agricultural chairmen said he's off the train, he will not support a climate bill.
[01:57:18.020 --> 01:57:20.281]  Waxman, the committee in charge of this in the House,
[01:57:20.768 --> 01:57:26.593]  Congressman Waxman has basically said, no votes, no problem, and he's talking about bypassing the committee if he doesn't have the votes.
[01:57:26.894 --> 01:57:28.095]  How do we stop cities?
[01:57:28.275 --> 01:57:30.136]  How do we stop cities and states doing it?
[01:57:30.777 --> 01:57:39.865]  Well, the bottom line is the American people are absolutely, have indicated every way possible that not only don't they care about this issue, they couldn't give a damn about this issue.
[01:57:40.185 --> 01:57:44.069]  It ranks dead last among all issues, among environmental issues, it ranks dead last
[01:57:44.776 --> 01:57:46.418]  Eventually, the American people will have to wake up.
[01:57:46.458 --> 01:57:47.979]  I think there's been such complacency.
[01:57:47.999 --> 01:57:49.460]  They have no idea what's going on.
[01:57:49.761 --> 01:57:54.225]  The first thing we need to do is demand accountability among Republicans to stop paying lip service.
[01:57:54.265 --> 01:57:59.109]  George Bush enjoyed paying lip service to global warming fears, and we need to stop that first.
[01:57:59.149 --> 01:58:02.072]  There's no reason to concede an inch on the science on this.
[01:58:02.392 --> 01:58:03.814]  It's collapsing underneath them.
[01:58:04.154 --> 01:58:05.135]  It's a laughingstock.
[01:58:05.435 --> 01:58:08.498]  Just in the last few days, Arctic information came out.
[01:58:08.578 --> 01:58:10.400]  Danish Meteorological Institute, the Arctic,
[01:58:10.757 --> 01:58:13.178]  Has stayed the same since the 1950s.
[01:58:13.218 --> 01:58:15.179]  Has probably cooled since the 1940s.
[01:58:15.899 --> 01:58:20.601]  We just came out with the Greenland melt scenarios touted by Al Gore and NASA's James Hansen.
[01:58:21.021 --> 01:58:21.802]  Not even doable.
[01:58:21.822 --> 01:58:23.082]  Hey, Mark Morano!
[01:58:23.142 --> 01:58:26.243]  Mark, Mark, we've got a one... It's collapsing and we need to demand it.
[01:58:26.323 --> 01:58:29.905]  And once people realize what it's going to cost, I think the American people will wake up.
[01:58:30.245 --> 01:58:33.266]  Mark, we've got a one-minute break and I have another guest in three minutes anyways.
[01:58:33.286 --> 01:58:35.087]  Can we come back and just do two more minutes?
[01:58:35.107 --> 01:58:38.188]  You can finish up with solutions and tell folks about the website.
[01:58:38.208 --> 01:58:39.689]  Can you come back and finish up in one minute?
[01:58:40.496 --> 01:58:41.077]  Sure, I can do that.
[01:58:41.357 --> 01:58:42.138]  Okay, fantastic.
[01:58:42.178 --> 01:58:46.281]  Mark Marano, ClimateDepot.com, OurSitesInfoWars.com.
[01:58:48.784 --> 01:58:50.345]  Thank you for listening to GCN.
[01:58:51.286 --> 01:58:53.588]  Be sure to visit GCNlive.com today.
[01:58:56.764 --> 01:59:05.128]  Many human illnesses can be attributed to the fact that soil in the United States no longer provides plants with the mineral elements which are essential to human nourishment.
[01:59:05.409 --> 01:59:09.811]  Many studies have shown that the majority of Americans are deficient in minerals.
[01:59:10.251 --> 01:59:15.434]  Deficiency in any one of the more important minerals actually results in disease.
[01:59:15.994 --> 01:59:24.984]  Go to RawOrganicVeganSuperfoods.com today and see the wide range of foods available that are designed to help your mind and body work the way they were intended to.
[01:59:25.324 --> 01:59:29.569]  You can also visit the link on PrisonPlanet.com to see some of the amazing products available.
[01:59:29.829 --> 01:59:31.010]  Folks, you've got to try this.
[01:59:31.330 --> 01:59:37.477]  These foods promote nutritional excellence, health and well-being, beauty enhancement, and truly sustainable agriculture.
[01:59:37.805 --> 01:59:43.567]  Many foods today have herbicides, pesticides, fungicides and insecticides that were not intended for human consumption.
[01:59:43.787 --> 01:59:48.989]  Go to RawOrganicVeganSuperfoods.com today and see some of the amazing products available.
[01:59:49.229 --> 01:59:51.810]  You are what you eat, so eat what your body needs.
[01:59:52.070 --> 01:59:55.531]  Remember to go to RawOrganicVeganSuperfoods.com today!
[02:00:13.726 --> 02:00:16.108]  We've got the Climate Depot up on screen.
[02:00:16.208 --> 02:00:20.310]  Climate Exorcism, 7th grader, wins Global Warming Essay Contest.
[02:00:20.350 --> 02:00:21.271]  We're being haunted.
[02:00:21.611 --> 02:00:23.412]  We desperately need an exorcist.
[02:00:23.713 --> 02:00:30.217]  All the kids' TV shows I turn on with my children, it's Climate Monsters Are Gonna Kill Ya, Skeleton Monsters, or Climate They're Gonna Get Ya.
[02:00:30.577 --> 02:00:34.240]  I mean, this is the total takeover by the control freaks, by the collectivists.
[02:00:34.320 --> 02:00:40.264]  In closing, talking to one of the preeminent individuals out there fighting this, Mark Morano, ClimateDepot.com.
[02:00:41.124 --> 02:00:43.085]  Mark, you're saying it's beginning to collapse.
[02:00:43.205 --> 02:00:54.552]  It is, as you've said, as all the evidence is, as you know, the ice caps that were saying were melting, well they always melt in areas in the summer and then it got even bigger in the winter.
[02:00:55.913 --> 02:00:56.993]  You were talking about
[02:00:58.294 --> 02:01:01.638]  Well, I mean, you haven't talked about how Mars' ice cap was getting smaller, now it's getting bigger.
[02:01:01.658 --> 02:01:04.622]  You know, the sun has cooled off, that's the main driver.
[02:01:05.583 --> 02:01:06.384]  How do we beat them?
[02:01:06.424 --> 02:01:07.806]  I mean, how do you see this falling?
[02:01:07.846 --> 02:01:15.495]  Because their whole world government taxing scheme is based on the phony carbon control system, as the New York Times said, a tax on breathing.
[02:01:15.775 --> 02:01:17.778]  How do we beat them, and why are they collapsing?
