[00:00:07.035 --> 00:00:12.279]  We are live at PrisonPlanet.tv every day during the four hour radio show.
[00:47:21.199 --> 00:47:24.340]  I've seen it, but it sounds like you're really an expert on this particular area.
[00:47:24.360 --> 00:47:25.420]  Perhaps we'll have you on as a guest.
[00:47:25.860 --> 00:47:27.141]  I got hit with it, believe me.
[00:47:27.361 --> 00:47:28.801]  You're left with a house in the landfill.
[00:47:29.102 --> 00:47:32.683]  You're left with insane funds, the demolition costs, and the mortgage payment.
[00:47:33.729 --> 00:47:34.149]  I'll email.
[00:47:34.829 --> 00:47:35.830]  I'll leave you my phone number up here.
[00:47:35.850 --> 00:47:36.810]  But I mean, I was interrupting.
[00:47:36.830 --> 00:47:38.150]  Briefly explain what this is.
[00:47:40.231 --> 00:47:41.231]  Raw property seizure.
[00:47:41.812 --> 00:47:42.132]  Okay.
[00:47:42.432 --> 00:47:43.692]  The code official's sole interpreter.
[00:47:43.712 --> 00:47:44.472]  Forget judicial.
[00:47:44.753 --> 00:47:45.053]  Anything.
[00:47:45.433 --> 00:47:50.874]  Without action, court action, or notice, they can prevent you from entering your home, tear your house down, send you to demolition bill.
[00:47:52.075 --> 00:47:52.795]  Period.
[00:47:52.835 --> 00:47:54.076]  And that's what they did in New London.
[00:47:54.116 --> 00:47:55.796]  The people that wouldn't sell their houses for nothing.
[00:47:56.116 --> 00:47:57.537]  Well, it's statewide in six states.
[00:47:57.757 --> 00:47:58.617]  Texas is one of them.
[00:48:01.047 --> 00:48:05.548]  I had the Gore family on, who own Western Seafood since 1942.
[00:48:06.029 --> 00:48:09.190]  This is a company that's been making $15 million on average a year profit.
[00:48:09.250 --> 00:48:10.510]  Big company, wealthy family.
[00:48:11.050 --> 00:48:15.831]  The heir to mobile fortune wanted to build a thing for his yacht there, so they just took it.
[00:48:15.851 --> 00:48:17.132]  It was in the paper.
[00:48:17.152 --> 00:48:19.212]  It said, well, he wants it for a yacht, we're taking it.
[00:48:19.773 --> 00:48:20.913]  They're beta testing it right now.
[00:48:22.253 --> 00:48:24.434]  That was my point, is they're beta testing it.
[00:48:25.188 --> 00:48:25.748]  My God.
[00:48:26.088 --> 00:48:30.010]  And the cops are like, it's the law, we're coming to your house, if you don't leave we're going to machine gun you.
[00:48:31.671 --> 00:48:35.892]  How does the CPS take your children with no law or no due process or no sworn evidence?
[00:48:36.273 --> 00:48:38.414]  It's all these new fake courts.
[00:48:38.494 --> 00:48:39.154]  It's bull.
[00:48:40.734 --> 00:48:41.855]  This will wake up the yuppies.
[00:48:42.575 --> 00:48:43.175]  Every homeowner.
[00:48:43.796 --> 00:48:44.616]  Every real estate owner.
[00:48:45.336 --> 00:48:45.817]  Every renter.
[00:48:46.337 --> 00:48:46.677]  Everybody.
[00:48:47.563 --> 00:48:49.324]  International Property Maintenance Code.
[00:48:49.364 --> 00:48:49.764]  Four words.
[00:48:49.804 --> 00:48:50.125]  Google it.
[00:48:50.445 --> 00:48:52.646]  You can get the 2003 version PDF format.
[00:48:53.047 --> 00:48:53.487]  Download it.
[00:48:53.547 --> 00:48:53.827]  Read it.
[00:48:53.847 --> 00:48:56.309]  Jim, how did this happen to you?
[00:48:56.329 --> 00:48:58.690]  Well, I'll tell you what.
[00:48:58.750 --> 00:49:01.932]  They came after me over six bags of grass clippings and a dented gutter.
[00:49:02.052 --> 00:49:03.273]  Our house is not a dump.
[00:49:03.333 --> 00:49:05.234]  There were 150 flowering species in our front yard.
[00:49:05.695 --> 00:49:08.817]  My wife uses the mulch, the grass clippings for mulch.
[00:49:09.177 --> 00:49:09.977]  Bags of grass clippings.
[00:49:10.177 --> 00:49:10.978]  I had a dented gutter.
[00:49:11.513 --> 00:49:16.297]  They were going to put me in jail two months and or $1,100 of fines over six bags of grass clippings and a den of gutter.
[00:49:17.037 --> 00:49:19.920]  Well, you've heard the reports about them swatting people for tall grass.
[00:49:20.540 --> 00:49:25.964]  Well, at one time they were threatening to sighting me for a shovel handle visible above the porch railing.
[00:49:26.285 --> 00:49:35.091]  Now, I beat it only because I contacted 200 mainstream media outlets, local newspaper, internet known since we were in high school together.
[00:49:35.172 --> 00:49:35.832]  Nobody helped me.
[00:49:35.872 --> 00:49:37.133]  Finally, Barry Brownfield helped me.
[00:49:37.653 --> 00:49:39.075]  We did a show on July 14, 2006.
[00:49:41.292 --> 00:49:42.353]  Ed from Michigan calls in.
[00:49:42.373 --> 00:49:44.153]  They said, yeah, they got my... You want to hear a horror story?
[00:49:44.614 --> 00:49:44.914]  East St.
[00:49:44.934 --> 00:49:46.535]  Clair Shores, Michigan, I think.
[00:49:46.575 --> 00:49:47.815]  He said, they took my house down.
[00:49:47.855 --> 00:49:48.736]  My son was in cuffs.
[00:49:49.096 --> 00:49:50.897]  When I came home, they wouldn't let us in our house.
[00:49:50.917 --> 00:49:52.537]  They tore the house down, our possessions in it.
[00:49:53.278 --> 00:49:53.978]  And, uh, yeah.
[00:49:54.198 --> 00:49:55.399]  So it's a horror story.
[00:49:55.679 --> 00:49:57.260]  But it will wake up the yuppies.
[00:49:57.580 --> 00:50:00.801]  But now, I got lucky, because I sat there after I got all this garbage going.
[00:50:00.841 --> 00:50:03.703]  I promised Derry that I'd give out names, addresses, phone numbers.
[00:50:04.323 --> 00:50:06.364]  Depending on how they handled it well, the city backed off.
[00:50:08.837 --> 00:50:09.858]  Yeah, it's totally criminal.
[00:50:10.318 --> 00:50:19.064]  I knew it was in Texas because, I remember back in 95, 96, I mean, somebody would have grass that tall, but the city wanted their land, and they always pick old people.
[00:50:19.164 --> 00:50:25.388]  After you've been in the hospital, it's in the health department, and they enter that you're sick, and they know you've got colon cancer or whatever, that's when they hit.
[00:50:26.108 --> 00:50:28.110]  And uh... they sort of give him two thousand dollars.
[00:50:28.130 --> 00:50:29.872]  I mean, think about how predatory that is.
[00:50:30.392 --> 00:50:31.113]  Is that they wait.
[00:50:31.133 --> 00:50:32.274]  Because I saw the cases.
[00:50:32.334 --> 00:50:33.535]  It's always an old person.
[00:50:33.875 --> 00:50:34.876]  At least it was in Austin.
[00:50:35.517 --> 00:50:37.398]  And then they put two thousand dollar a day fines.
[00:50:37.839 --> 00:50:40.521]  By the time the person fights it, a few weeks later, they take him to court.
[00:50:40.801 --> 00:50:41.822]  Then they take the land.
[00:50:41.862 --> 00:50:43.964]  The police come and throw him out on the street.
[00:50:44.345 --> 00:50:45.486]  Throw all their stuff out.
[00:50:45.506 --> 00:50:46.366]  The city takes it.
[00:50:46.427 --> 00:50:48.168]  And then bureaucrats move in.
[00:50:48.468 --> 00:50:50.050]  A lot of times they sell it.
[00:50:51.531 --> 00:50:56.053]  Did you see me a week ago when I covered how they're throwing old people out of their houses and then the bureaucrats move into them?
[00:50:56.534 --> 00:50:57.014]  I was listening.
[00:50:57.654 --> 00:50:59.175]  I mean, that's mainstream media.
[00:50:59.515 --> 00:51:01.216]  Criminals are in government.
[00:51:01.576 --> 00:51:03.357]  Criminals are running everything.
[00:51:04.197 --> 00:51:06.458]  Well, I tell you what, I've had the FBI out here.
[00:51:07.059 --> 00:51:13.262]  I have had a message from the governor within about a few hours of the time which I did the radio show and it doesn't air in West Virginia, only shortwave.
[00:51:14.883 --> 00:51:17.864]  I've had all kinds of interesting things happen to me ever since, but this is a hot target.
[00:51:18.228 --> 00:51:20.809]  But I'm not kidding you, it sounds so benign.
[00:51:20.869 --> 00:51:24.211]  International Property Maintenance Code, if you want to know what your government is all about.
[00:51:25.732 --> 00:51:35.597]  One of our founding fathers said, government is always about stealing property, taking people from property in foreign wars, and taking property from people domestically.
[00:51:35.617 --> 00:51:37.838]  Wow, I can't remember any Federalist Papers or something.
[00:51:38.098 --> 00:51:42.801]  But the bottom line is very simply, if you want to know what your government is all about, if you're still living in denial,
[00:51:43.408 --> 00:51:45.950]  Read the International Property Maintenance Council.
[00:51:45.970 --> 00:51:49.512]  Well, if you're in denial, read Section 802 of the Patriot Act.
[00:51:49.653 --> 00:51:55.877]  It says all misdemeanors are acts of terrorism, and then I hold the articles up where they're charging people for terrorism for marijuana.
[00:51:56.738 --> 00:51:57.238]  Absolutely.
[00:51:57.478 --> 00:52:00.320]  So the bottom line is if you're in denial, read it in a week.
[00:52:00.400 --> 00:52:01.321]  Get a lawyer to read it.
[00:52:01.461 --> 00:52:01.901]  I don't care.
[00:52:01.921 --> 00:52:02.342]  It's very simple.
[00:52:02.362 --> 00:52:02.682]  I hear you.
[00:52:02.982 --> 00:52:06.384]  Sir, send me your name, your info, your background, some news articles about it.
[00:52:07.145 --> 00:52:09.327]  We always have to vet everybody, but I'm aware of what you're talking about.
[00:52:09.367 --> 00:52:09.987]  We'll have you on.
[00:52:10.027 --> 00:52:10.347]  Thank you.
[00:52:12.639 --> 00:52:16.302]  You see, that's why the Supreme Court ruled two weeks ago there's no more Fourth Amendment.
[00:52:16.902 --> 00:52:18.323]  They have to get in line with the Patriot Act.
[00:52:19.084 --> 00:52:22.106]  That's why they passed the Patriot Act, to get in line with Agenda 21.
[00:52:22.426 --> 00:52:25.769]  And one part of it is this international agreement on zoning.
[00:52:27.030 --> 00:52:28.911]  Sounds benign, it's what he was just talking about.
[00:52:29.212 --> 00:52:31.834]  The International Property Management System.
[00:52:32.594 --> 00:52:34.616]  And there's several that nexus together.
[00:52:34.876 --> 00:52:36.978]  There's several that people... and it's all UN-created.
[00:52:37.338 --> 00:52:38.699]  And it says you own nothing.
[00:52:38.719 --> 00:52:41.201]  It's what Stalin used to get people off their land.
[00:52:42.222 --> 00:52:44.103]  I want to go ahead and get into the Army right now.
[00:52:44.123 --> 00:52:47.424]  Now, they have brought in to all of the major public schools, Obama Day, Obama curriculum,
[00:53:03.641 --> 00:53:07.102]  Worshipping Obama, also having the military in the schools.
[00:53:07.182 --> 00:53:10.424]  So I wanted to play this video clip from CBS so we can analyze it.
[00:53:10.444 --> 00:53:11.424]  It's far worse than this.
[00:53:11.464 --> 00:53:12.625]  This is Katie Couric covering it.
[00:53:13.345 --> 00:53:18.407]  Where they then tell the children, it's the law, you've got to sign up with the military or I'll have you arrested.
[00:53:19.287 --> 00:53:23.789]  And then the guy that did this in one of the cases, he was promoted to one of the national directors.
[00:53:24.884 --> 00:53:26.465]  In one of these reports.
[00:53:26.525 --> 00:53:30.607]  So, a year after they're threatened to arrest people, it turns out that's the policy.
[00:53:30.967 --> 00:53:33.608]  It's all color of law and they promote the guys that get in trouble.
[00:53:33.809 --> 00:53:34.449]  So here it is.
[00:53:34.889 --> 00:53:40.392]  Houston reveals some recruiters have resorted to bullying tactics in order to keep their numbers up.
[00:53:40.992 --> 00:53:42.993]  David Martin at the Pentagon has the story.
[00:53:44.674 --> 00:53:50.357]  From NASCAR to bull riding, Army recruiters are pulling out all the stops to meet their quotas.
[00:53:51.061 --> 00:53:55.571]  But one recruiter was caught in a tape-recorded phone call doing it with threats.
[00:53:56.192 --> 00:53:56.753]  And guess what?
[00:53:56.813 --> 00:53:59.759]  Your AWOL passes without leave.
[00:54:00.282 --> 00:54:12.952]  According to the report by CBS affiliate KHOU in Houston, Irving Gonzalez signed a non-binding contract that left him free to change his mind about joining the Army up to the moment he reported for basic training.
[00:54:13.673 --> 00:54:14.893]  Which is exactly what he did.
[00:54:14.913 --> 00:54:17.255]  I'd rather just stay here, go to college.
[00:54:17.375 --> 00:54:19.297]  But listen to what his recruiter, Sgt.
[00:54:19.337 --> 00:54:21.058]  Glenn Marquette, told him would happen.
[00:54:21.078 --> 00:54:25.502]  As soon as you get pulled over for a speeding ticket, they're gonna see that you're a deserter.
[00:54:26.835 --> 00:54:28.698]  So guess what?
[00:54:28.899 --> 00:54:34.368]  All that lovey-dovey, I want to go to college and all this, guess what?
[00:54:34.408 --> 00:54:36.953]  You just threw it out the window because you just screwed your life.
[00:54:37.372 --> 00:54:42.255]  Not only is none of that true, it also violates regulations against threatening recruits.
[00:54:42.815 --> 00:54:47.497]  Seventeen-year-old Eric Martinez says he was told the same thing when he changed his mind.
[00:54:47.717 --> 00:54:51.960]  You can go to jail, put a warrant out for you, and spend your time in jail.
[00:54:52.080 --> 00:54:53.240]  No, that's enough.
[00:54:53.721 --> 00:54:54.221]  That's enough.
[00:54:54.561 --> 00:55:00.684]  It's a hundred times worse, and if you go track these cases a few years ago, there's worse out of Denver and other places.
[00:55:01.485 --> 00:55:05.487]  They get them to sign the form in the principal's office when you get in trouble.
[00:55:06.187 --> 00:55:14.055]  They call you in, because they now have recruiting stations in the schools, and they're on the playground with them, and they're at the football games, and they go, you got in that fist fight, you're going to go to jail for that.
[00:55:14.076 --> 00:55:15.917]  There's a police officer out there to arrest you right now.
[00:55:16.618 --> 00:55:18.821]  Or, you sign this form agreeing to go to the Army.
[00:55:19.795 --> 00:55:23.437]  But because they can't have them sign a binding form until they're at age.
[00:55:23.737 --> 00:55:24.938]  Because they're a minor.
[00:55:24.978 --> 00:55:25.738]  It's a trick form.
[00:55:26.179 --> 00:55:32.042]  Then once they sign the form agreeing tentatively to think about it, then they say, I'm going to arrest you if you don't sign that.
[00:55:32.162 --> 00:55:33.703]  And everybody I know has been told this.
[00:55:34.343 --> 00:55:35.504]  Now, that's the stick.
[00:55:36.144 --> 00:55:38.966]  They have the carrot.
[00:55:39.386 --> 00:55:40.067]  $40,000 signing bonus.
[00:55:40.107 --> 00:55:40.587]  Here's the deal.
[00:55:41.307 --> 00:55:42.828]  They bait and switch and don't give you the money.
[00:55:44.950 --> 00:55:46.851]  Because it's a criminal group.
[00:55:47.901 --> 00:55:49.162]  The government is criminal.
[00:55:49.202 --> 00:55:55.648]  You can say some of the troops aren't criminal, but the system itself is a... Look, they lie and say you gotta take vaccines and there's no law.
[00:55:56.169 --> 00:55:58.070]  They're a pack of criminal scum.
[00:55:58.270 --> 00:56:00.552]  The schools are there to take your children from you.
[00:56:00.753 --> 00:56:01.754]  Do you understand?
[00:56:03.575 --> 00:56:05.077]  Alex Jones here with a question.
[00:56:05.257 --> 00:56:06.678]  What does humidity mean to you?
[00:56:06.998 --> 00:56:09.220]  Most people think of hot and sticky summer days.
[00:56:09.681 --> 00:56:14.385]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:56:14.801 --> 00:56:17.642]  That's why I'd like you to visit acolablue.com.
[00:56:17.983 --> 00:56:33.891]  Acolablue is a state-of-the-art atmospheric water generator producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:56:34.451 --> 00:56:36.452]  Finally, drinking water that you control.
[00:56:36.472 --> 00:56:37.753]  I use one every day.
[00:56:38.173 --> 00:56:40.614]  Say goodbye to expensive water delivery services.
[00:56:40.814 --> 00:56:41.254]  I think so.
[00:57:03.453 --> 00:57:07.054]  When making important financial decisions, you should always know the facts.
[00:57:07.374 --> 00:57:10.916]  That's why Midas Resources is willing to pay you to read the facts.
[00:57:11.196 --> 00:57:19.999]  Midas Resources, a team of hand-picked financial specialists with decades of financial experience who are ready to provide you with state-of-the-art, up-to-date financial services.
[00:57:20.379 --> 00:57:24.323]  Midas Resources offers a host of services and stands behind their products.
[00:57:24.603 --> 00:57:28.927]  In fact, if you call and order their free Midas Report, Midas Resources will pay you.
[00:57:29.468 --> 00:57:34.933]  This detailed report will provide you with financial history on the safest and most profitable areas to invest in.
[00:57:35.133 --> 00:57:40.419]  If you read the report, Midas Resources will send you a free Walking Liberty Silver Half Dollar.
[00:57:40.719 --> 00:57:41.760]  So, what are you waiting for?
[00:57:42.020 --> 00:57:46.768]  Get the facts and call Midas Resources toll free at 888-292-2709.
[00:57:47.048 --> 00:57:50.855]  That's 888-292-2709.
[00:57:51.115 --> 00:57:56.484]  And remember, if you read the Midas Report, you'll receive a free Walking Liberty silver half dollar.
[00:58:03.579 --> 00:58:05.601]  May I have everybody's attention, please?
[00:58:05.721 --> 00:58:08.143]  I've come with a message of information.
[00:58:08.163 --> 00:58:10.705]  9-11 was an inside job.
[00:58:10.725 --> 00:58:11.946]  Do you like being a puppet, sir?
[00:58:11.966 --> 00:58:13.587]  Do you like being a puppet for the New World Order?
[00:58:13.687 --> 00:58:16.469]  How do the American people know that 9-11 was a state?
[00:58:16.489 --> 00:58:20.212]  It wasn't engineered by you, David Rockefeller, the Trilateral Commission, the CFR?
[00:58:29.877 --> 00:58:35.909]  Seven years after the attacks of September 11th, a global awakening has taken place.
[00:58:36.009 --> 00:58:37.112]  An inside job.
[00:58:38.522 --> 00:58:39.603]  How dare you?
[00:58:41.144 --> 00:58:46.029]  If you know that there's treason going on, you can be held accountable for treason yourself.
[00:58:46.049 --> 00:58:48.831]  All hell is breaking loose on 6th Avenue.
[00:58:48.931 --> 00:58:55.136]  And if the government has not told the truth in five years, we will be here on the 10th anniversary of... Truth Rising.
[00:58:55.156 --> 00:58:57.979]  Download the film at prisonplanet.tv right now.
[00:58:58.239 --> 00:59:00.241]  Or get the DVD at infowars.com.
[00:59:00.501 --> 00:59:02.983]  It's now time to take the revolution to the next level.
[00:59:03.596 --> 00:59:13.360]  SouthSummit.com is the place for top name brand knives such as Kershaw, Spyderco, Cold Steel, Gerber, K-Bar, Boker, Leatherman, and more.
[00:59:13.520 --> 00:59:17.481]  South Summit has one of the largest selections of self-defense products on the web.
[00:59:17.602 --> 00:59:27.425]  Knives, stun guns, police batons, pepper spray, LED flashlights, emergency kits, binoculars, and tactical gear are just some of the great products found on SouthSummit.com.
[00:59:27.505 --> 00:59:31.427]  Receive discounted prices on camping and preparedness products from Camelbak, Kelty,
[00:59:31.687 --> 00:59:32.107]  I think so.
[00:59:47.416 --> 00:59:51.457]  So for PrisonPlanet.TV viewers, here's what they're sending to young people.
[01:00:14.781 --> 01:00:17.763]  It's got all the ranks and all the little medals they're going to get.
[01:00:18.664 --> 01:00:23.448]  Napoleon made jokes about how people give up their lives just for these little pieces of fabric and metal.
[01:00:26.530 --> 01:00:29.052]  And it's a great thing to fight for your country if it's being invaded or attacked.
[01:00:29.792 --> 01:00:33.856]  But they teach you, no you can't defend yourself, no you can't own firearms, that's bad.
[01:00:34.216 --> 01:00:34.936]  Only join here.
[01:00:35.257 --> 01:00:36.478]  Oh look, football!
[01:00:36.538 --> 01:00:37.999]  It's so much fun in the free calendar.
[01:00:39.761 --> 01:00:53.115]  Meanwhile they lie and terrorize them and tell them they're going to be arrested if they don't join this thing that openly works for the offshore banks and taking over third world countries and now to patrol and police the American people inside the United States.
[01:00:54.434 --> 01:00:58.136]  So all the adventure you're going to have, no really, you're going to be injected with a bunch of cancer viruses.
[01:00:58.676 --> 01:01:19.224]  Never forget when I premiered Endgame in Austin, one of Rick Perry's top people, his media director, shows up to see Endgame, knowing Rick Perry was in it, and he said, oh I'm a big fan, and I want you to know when I worked as a medic at Fort Sam Houston in San Antonio, they brought in all these special forces guys from Bragg, they gave them shots, and two days later they were all dead, and they had us pull everything out and dump bleach on it and screen it.
[01:01:19.945 --> 01:01:20.205]  Oh yeah.
[01:01:21.246 --> 01:01:22.887]  That's what the government thinks of you, okay?
[01:01:22.907 --> 01:01:25.348]  That's what the government... I'm still... You still work for the government.
[01:01:25.688 --> 01:01:26.609]  You still trust the government.
[01:01:26.629 --> 01:01:31.271]  You still... You know, they know all this stuff is true, but they're still compartmentalized.
[01:01:31.291 --> 01:01:32.212]  This isn't a government.
[01:01:32.232 --> 01:01:34.113]  This is a criminal group.
[01:01:34.693 --> 01:01:36.054]  Oh, but look, it'll be teamwork.
[01:01:36.094 --> 01:01:37.134]  You'll do a great job.
[01:01:37.535 --> 01:01:39.516]  You'll be part of something exciting and fun.
[01:01:39.756 --> 01:01:40.856]  This isn't our government.
[01:01:41.117 --> 01:01:42.317]  This isn't our military.
[01:01:42.597 --> 01:01:47.200]  This works for the bankers that have stolen trillions and trillions of dollars from us, that are bankrupting the nation.
[01:01:49.198 --> 01:01:50.319]  I forgot to get it during the break.
[01:01:50.339 --> 01:01:52.501]  I'm going to get the magazine cover.
[01:01:56.644 --> 01:02:00.807]  Oh look, you'll get all this great technology experience.
[01:02:01.628 --> 01:02:03.409]  It's just going to be wonderful for you.
[01:02:03.429 --> 01:02:08.613]  You're going to work as a team with Chinooks picking up Humvees in the battlefield.
[01:02:10.395 --> 01:02:12.536]  You're going to climb mountains.
[01:02:12.576 --> 01:02:13.637]  You're going to rock climb.
[01:02:13.837 --> 01:02:15.499]  They know that's fun for the kids.
[01:02:17.392 --> 01:02:18.072]  NASCAR.
[01:02:18.092 --> 01:02:20.213]  You're going to be involved with NASCAR.
[01:02:20.614 --> 01:02:21.334]  It's going to be great.
[01:02:23.615 --> 01:02:25.496]  Women, you're going to be flying helicopters.
[01:02:28.297 --> 01:02:31.299]  You're going to be out on the jungle gym, having fun.
[01:02:35.080 --> 01:02:39.302]  You're going to be out there in the commando, like Warpaint on, fighting out there.
[01:02:40.203 --> 01:02:43.524]  But then if you find out it's all a fraud, like Pat Tillman, they're going to kill you and cover it up.
[01:02:44.285 --> 01:02:45.185]  Your buddies are going to kill you.
[01:02:45.205 --> 01:02:46.566]  They're going to frag you.
[01:02:48.493 --> 01:02:51.775]  He's going to come home and speak out against the war, and it's time to die.
[01:02:52.876 --> 01:02:54.057]  Let's go back to the calls here.
[01:02:54.997 --> 01:02:56.538]  Let's talk to Cullen in Florida.
[01:02:56.578 --> 01:02:57.419]  Cullen, you're on the air.
[01:02:57.939 --> 01:02:58.400]  Thanks, Alex.
[01:02:58.420 --> 01:02:58.940]  How are you doing?
[01:02:59.500 --> 01:03:00.201]  I'm doing alright.
[01:03:00.541 --> 01:03:01.381]  I think you do great work.
[01:03:01.442 --> 01:03:02.202]  I see all your stuff.
[01:03:02.822 --> 01:03:05.484]  My favorite part in all your movies is when you confront Gergen.
[01:03:05.924 --> 01:03:10.087]  But anyway, this call concerns last Thursday when Joe Rogan was on.
[01:03:10.347 --> 01:03:17.332]  I listened to your show, and you guys were having an interchange about corruption and the usual stuff, and then he said something like,
[01:03:17.927 --> 01:03:22.148]  What if it was the Anunnaki come to the earth or something weird like that?
[01:03:22.248 --> 01:03:24.008]  So I stopped, you know, I listened online.
[01:03:24.488 --> 01:03:30.369]  I stopped it, I googled Anunnaki and I like spent three days pulling my hair out about this.
[01:03:30.909 --> 01:03:33.070]  Bottom line is, have you seen the 2012 preview?
[01:03:33.730 --> 01:03:36.230]  The movie 2012 that's coming out by Emmerich?
[01:03:37.030 --> 01:03:39.831]  Yeah, where the earth is basically destroyed?
[01:03:40.291 --> 01:03:42.071]  Yeah, by the tidal wave or whatever.
[01:03:42.091 --> 01:03:44.332]  The preview is this really ominous thing, this guy in the mountains.
[01:03:44.812 --> 01:03:46.752]  It looks like the Himalayas, the waves coming over the
[01:03:47.347 --> 01:04:03.204]  In any case, I stumbled onto a couple sites that, you know, I got through all the alien crap, and I stumbled onto a couple sites that believe that the South Pole Telescope that was built last year was to track this object that's going to come through our solar system.
[01:04:03.917 --> 01:04:08.058]  And mess up Earth's gravity, and the world governments know it, and they've been... Make a poll shift!
[01:04:08.078 --> 01:04:09.958]  Yeah, no, no, no.
[01:04:09.978 --> 01:04:24.142]  Let me just... I appreciate it, and I want to hear your comment, but all the movies since 83, and if you look at Emmerich, all the movies he's made are these doomsday sort of Noah's Ark movies, like the Day After Tomorrow he made as well, and it's to confuse the public.
[01:04:24.162 --> 01:04:26.022]  This is their premise, and I want to get your comment on it.
[01:04:26.322 --> 01:04:28.643]  It's to confuse the public so that when something like that happens,
[01:04:29.053 --> 01:04:32.958]  You know, they can stage an alien invasion, they can stage all the stuff that we've been conditioned to see.
[01:04:33.178 --> 01:04:34.400]  Yeah, Project Blue Beam.
[01:04:35.001 --> 01:04:36.262]  Okay, so what do you think?
[01:04:36.282 --> 01:04:37.724]  I mean, what do you think about the South Pole Telescope?
[01:04:37.744 --> 01:04:38.445]  Have you looked at it?
[01:04:38.846 --> 01:04:43.331]  Apparently, there's a couple of YouTube videos of some pictures leaked.
[01:04:44.132 --> 01:04:46.776]  And look, I can't say whether it's true or not, I'm just saying it freaked me out.
[01:04:47.529 --> 01:04:49.050]  So, have you taken a look at that?
[01:04:49.070 --> 01:04:50.111]  Yes, let me comment on it.
[01:04:50.131 --> 01:04:50.991]  I appreciate your call.
[01:04:51.211 --> 01:04:51.472]  Thank you.
[01:04:51.852 --> 01:04:52.752]  Yeah, look.
[01:04:54.293 --> 01:04:57.675]  Giant Homeland Security blimps publicly launched five years ago.
[01:04:58.076 --> 01:05:04.620]  The news, CNN, Larry King Live, ABC, they show them and say, we don't know what it is, the government won't say what it is, it's probably aliens.
[01:05:05.140 --> 01:05:09.563]  It's a blimp with the rudders, with the fins, with the pods, surveilling the public.
[01:05:09.943 --> 01:05:11.164]  It's a lot cheaper than satellites.
[01:05:12.261 --> 01:05:19.306]  They can put them up there and have them sit at 100,000 feet above the jet streams off solar power and scan you and track you and everything you're doing.
[01:05:21.227 --> 01:05:22.408]  What does that have to do with the Anunnaki?
[01:05:24.343 --> 01:05:25.704]  Well, the media knows those are blimps.
[01:05:25.724 --> 01:05:27.085]  Why are they hyping them up as UFOs?
[01:05:27.105 --> 01:05:28.065]  Because they want to hype this.
[01:05:28.085 --> 01:05:37.570]  So certainly, Hollywood, and the day after tomorrow, and the day the Earth stood still, it's all about doomsday, destruction, aliens coming.
[01:05:37.590 --> 01:05:43.774]  And so when we come back, I'll briefly finish up my comment about what's really behind that.
[01:05:46.172 --> 01:05:50.639]  Then we'll go back to your calls and I'm going to get into some of the news I haven't got to yet.
[01:05:50.900 --> 01:05:51.821]  Then we'll go back to your calls.
[01:05:52.462 --> 01:05:52.803]  Stay with us.
[01:05:53.504 --> 01:05:54.405]  We're on the march.
[01:05:54.886 --> 01:05:56.489]  The Empire's on the run.
[01:05:57.430 --> 01:06:00.135]  Alex Jones and the GCN Radio Network.
[01:06:03.431 --> 01:06:03.791]  I think so.
[01:06:23.427 --> 01:06:24.167]  We're good to go!
[01:06:50.797 --> 01:06:53.219]  Up to the pH of 10, with only 10 drops.
[01:06:53.580 --> 01:06:59.766]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to ALKAVISION.COM.
[01:07:00.046 --> 01:07:01.447]  Again, that's ALKAVISION.COM.
[01:07:12.409 --> 01:07:13.430]  But who is the enemy?
[01:07:13.950 --> 01:07:14.450]  Bin Laden.
[01:07:14.730 --> 01:07:15.711]  This is his MO.
[01:07:15.731 --> 01:07:17.031]  We have to look to the Middle East.
[01:07:17.091 --> 01:07:18.712]  We have to look to Osama Bin Laden.
[01:07:19.112 --> 01:07:25.856]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[01:07:26.256 --> 01:07:26.696]  Some U.S.
[01:07:26.736 --> 01:07:32.399]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[01:07:33.079 --> 01:07:36.582]  I'm aware that some Israeli citizens have been detained.
[01:07:36.602 --> 01:07:38.744]  Either you are with us, or you are with the terrorists.
[01:08:03.050 --> 01:08:06.333]  Silver is mankind's oldest natural antibiotic.
[01:08:06.493 --> 01:08:10.577]  This very special mineral has been used for centuries by most cultures throughout the world.
[01:08:10.757 --> 01:08:18.725]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water
[01:08:19.005 --> 01:08:22.166]  Without use of animal protein, nitrates, or saline solutions.
[01:08:22.406 --> 01:08:28.267]  Because our colloidal silver is made up of nano-sized particles, it can be better utilized at the cellular level.
[01:08:28.527 --> 01:08:32.908]  And germs can't mutate to be resistant like they can to modern-day antibiotics.
[01:08:33.188 --> 01:08:41.210]  Utopia Silver has a broad range of health supplements, including colloidal silver, gold, and copper, with a money-back guarantee on the colloidal products we produce.
[01:08:41.390 --> 01:08:48.012]  For four years, Utopia Silver has been fighting in the Texas courts against agencies that would steal our God-given rights of healthcare.
