[00:00:00.069 --> 00:00:00.709]  Corruption.
[00:48:15.255 --> 00:48:19.737]  Kind of a Maoist-type deal, more than Hitlerian in their management style.
[00:48:21.098 --> 00:48:29.522]  And to see them shutting down our YouTube videos and laughing, to see them attacking people, to see them lying,
[00:48:30.586 --> 00:48:34.489]  The entire American people are being enslaved by the globalists and the offshore banks.
[00:48:34.529 --> 00:48:38.012]  Instead, the Democratic Party has got everybody fighting with each other.
[00:48:39.213 --> 00:48:42.035]  And this is a very dangerous situation they're playing.
[00:48:43.196 --> 00:48:46.459]  To tell their thugs to go out, and we got video of them beating women up.
[00:48:46.559 --> 00:48:48.841]  I mean, they just come over to women and go, BAM!
[00:48:50.950 --> 00:48:52.451]  We've got David B. Brown, his lawyer.
[00:48:52.691 --> 00:48:54.211]  This happened in a town right outside St.
[00:48:54.251 --> 00:48:55.512]  Louis with a congressman's meeting.
[00:48:55.712 --> 00:48:57.013]  It's been all over the national news.
[00:48:57.033 --> 00:48:58.513]  We broke it here first Friday.
[00:48:59.334 --> 00:49:01.194]  But here is Kenneth Gladney.
[00:49:01.235 --> 00:49:02.355]  Sir, you got interrupted.
[00:49:02.435 --> 00:49:10.859]  And then we're going to chronicle some of what's coming out, how they hired these provocateurs, a form of false flag, to go start fights, to then discredit the events.
[00:49:11.179 --> 00:49:13.480]  Some senators and House members are canceling events.
[00:49:13.900 --> 00:49:15.962]  And when I offered the gentleman a flag, he began to say,
[00:49:37.697 --> 00:49:39.457]  Well, actually, he asked me that.
[00:49:39.517 --> 00:49:44.818]  What kind of in are you to be giving away this type of stuff here?
[00:49:45.479 --> 00:49:47.839]  And he snatched my button board.
[00:49:48.579 --> 00:49:51.800]  And by him snatching my button board, I snatched it back from him.
[00:49:51.920 --> 00:49:56.581]  And when I snatched it back from him, he raised his own hand up and hit me in the face.
[00:49:56.641 --> 00:49:58.381]  He raised his fist up and just hit me.
[00:49:59.081 --> 00:50:01.462]  And when he hit me, he knocked my glasses off.
[00:50:01.622 --> 00:50:03.102]  I'm trying to catch my glasses.
[00:50:03.982 --> 00:50:06.363]  Two other gentlemen came in and hit me.
[00:50:07.706 --> 00:50:10.168]  Also, in my face, I went to the floor.
[00:50:13.410 --> 00:50:24.097]  Well, I went to the ground, put it like that, and then someone else came up and started kicking me, kicking me in my head, my back, my legs, everything.
[00:50:24.117 --> 00:50:25.638]  By the way, this is all on video.
[00:50:25.718 --> 00:50:29.201]  Big, giant slobs stomping on a little guy.
[00:50:29.521 --> 00:50:30.722]  Tell folks how big you are.
[00:50:31.042 --> 00:50:33.383]  Yeah, I'm 5'7 and I weigh 149 pounds.
[00:50:36.405 --> 00:50:37.186]  Now I have a question.
[00:50:37.466 --> 00:50:43.129]  Why did this white slob, I mean talk about a racist, he just thinks he's getting some money from Obama.
[00:50:43.589 --> 00:50:43.829]  Yeah.
[00:50:44.010 --> 00:50:48.332]  And now, I saw black people standing around with him.
[00:50:48.372 --> 00:50:53.895]  Did they like watching a black guy get stomped on by big giant white slobs screaming N-word?
[00:50:53.935 --> 00:50:55.997]  I mean did they, it seemed like they didn't mind this.
[00:50:56.297 --> 00:51:01.600]  Well, in our honesty, let me tell you, the guys that, the first guys that hit me were black.
[00:51:02.830 --> 00:51:04.812]  Well, I see white guys falling on top of you.
[00:51:05.012 --> 00:51:06.433]  Yeah, there was two.
[00:51:06.493 --> 00:51:11.397]  There was one white guy that actually hit me that was with the black guy.
[00:51:11.758 --> 00:51:17.543]  He was on top of me and then the other white guy, he was pulling them off of me because he thought those guys beat me.
[00:51:17.783 --> 00:51:22.467]  Yeah, well one white guy is so big that that's all I can really see is this giant guy falling on top of you.
[00:51:22.727 --> 00:51:23.027]  Yeah.
[00:51:24.409 --> 00:51:27.351]  And so after that, you know, I got up.
[00:51:27.431 --> 00:51:29.473]  I was disorientated and everything.
[00:51:32.076 --> 00:51:44.203]  They started coming at me again, and that's when the police cordoned off everything, all the exits and stuff, and they came out and they just started arresting folks, you know, and it was a madhouse.
[00:51:44.323 --> 00:51:54.269]  But I just wanted to say to everyone that's listening that, you know, I'm not of any of the other parties or anything like that.
[00:51:54.309 --> 00:51:55.690]  I'm not for the right.
[00:51:55.750 --> 00:51:56.651]  I'm not for the left.
[00:51:57.031 --> 00:52:00.032]  I'm just individual, independent.
[00:52:01.796 --> 00:52:03.777]  I'm not a cartoon character.
[00:52:04.417 --> 00:52:09.499]  Well you know in major polls, and there's different ones that show different numbers, but it's all basic.
[00:52:09.859 --> 00:52:17.282]  In some polls over 70% of Americans say they're now independent, but they'll still go pick a lesser of two evils in an election.
[00:52:17.702 --> 00:52:21.863]  But most Americans, I mean Congress has an 11% approval rating.
[00:52:22.123 --> 00:52:23.604]  That's Republican and Democrat.
[00:52:24.584 --> 00:52:32.371]  But you know, I've got to say, the Republicans aren't getting up and saying these are staged rallies by the Democrats when they get booed off the stage.
[00:52:32.891 --> 00:52:34.212]  The Democrats are lying.
[00:52:34.593 --> 00:52:39.356]  I had an argument with a family friend I've known for over a decade today, and he was telling me I was a liar!
[00:52:40.197 --> 00:52:52.183]  And I'm getting emails telling me that I'm working for big healthcare companies, or I'm working for oil companies, because I know I'm an American that has a right to be against big government.
[00:52:52.203 --> 00:52:54.624]  But regardless, where is this going now?
[00:52:58.606 --> 00:53:01.127]  I'm not Joe the Plumber, to tell you the truth.
[00:53:01.268 --> 00:53:02.388]  I'm Kenneth the Patriot.
[00:53:02.408 --> 00:53:04.769]  You can repeat that as many times as you like.
[00:53:25.470 --> 00:53:26.570]  This is just insane.
[00:53:26.650 --> 00:53:36.132]  I mean, we've got the video of them attacking the woman, and I'm sure you're seeing this, Mr. Brown, Kenneth's lawyer, because you're in the middle of this too.
[00:53:36.212 --> 00:53:42.233]  Are you getting hundreds of stories and videos emailed to you, to the point of, I'm here on the weekend with a skeleton crew of three people.
[00:53:42.533 --> 00:53:45.194]  I mean, I can't even watch all this, much less cover it.
[00:53:45.254 --> 00:53:50.335]  I mean, it looks like they've been given orders to go out and just beat the daylights out of everybody.
[00:53:50.575 --> 00:53:52.475]  Well, Alex, we're in the middle of
[00:53:53.426 --> 00:53:54.767]  Collecting a lot of information.
[00:53:54.807 --> 00:53:56.228]  This is all a big whirlwind.
[00:53:56.288 --> 00:53:59.110]  So we're actually having our website up on Tuesday morning.
[00:53:59.130 --> 00:54:08.116]  It's www.kennethgladney.com.
[00:54:08.636 --> 00:54:11.798]  That's www.kennethgladney.com.
[00:54:12.359 --> 00:54:21.725]  We welcome people who were at the event, who have anything that they care to share with us as far as eyewitness reports.
[00:54:22.290 --> 00:54:30.975]  If they have any video, anything that may assist us in our case, we welcome from these individuals.
[00:54:31.075 --> 00:54:32.957]  That's at KennethGladney.com.
[00:54:33.217 --> 00:54:34.658]  And they'll be up Tuesday morning.
[00:54:34.698 --> 00:54:36.859]  So don't try to get on there now.
[00:54:37.219 --> 00:54:40.521]  Get on there Tuesday morning and we'll be able to correspond.
[00:54:40.882 --> 00:54:49.087]  Yeah, and I've had Curt Nemo, Paul Watson, Steve Watson, Aaron Dykes writing articles chronicling this and they... I was up here at 2.30 last night when I left and
[00:54:50.083 --> 00:54:54.924]  We were having arguments about, you know, who's going to post all this.
[00:54:54.964 --> 00:54:56.184]  A bunch of it's up on the sites.
[00:54:56.224 --> 00:54:57.425]  I mean, this is crazy.
[00:54:58.125 --> 00:55:10.668]  You were telling me, Mr. Brown, again, the attorney for the person that was racially attacked for daring to have American flags, American patriot flags, because you can't have that out on a street corner in America anymore.
[00:55:11.548 --> 00:55:18.130]  You were saying that you've got a lot of evidence, and I've got some of the same mainstream news articles, where the White House and the unions are ordering this.
[00:55:18.190 --> 00:55:18.851]  I want to be clear.
[00:55:19.551 --> 00:55:28.134]  Unions are just gangs of workers that have been good in the past to counter gangs of corrupt robber barons and police, you know, a hundred years ago, sixty years ago.
[00:55:28.594 --> 00:55:36.637]  But the big Chicago mob model of using unions to beat people up, that appears to be used now nationwide.
[00:55:36.877 --> 00:55:39.418]  Can you chronicle some of your research for us on that front?
[00:55:40.128 --> 00:55:53.896]  Well, as I began telling you a little bit about it, according to the SEIU, they refer to the people with the colorful t-shirts, the purple shirts, as they said, we're going to unleash the purple people.
[00:55:54.876 --> 00:55:58.998]  And you talk about brown shirts, well, purple's the new brown, Alex.
[00:55:59.599 --> 00:56:00.539]  It's the purple people.
[00:56:02.395 --> 00:56:11.303]  And organized labor's engagement in these mining clashes is just the latest sign of the ferocity of the fight over the direction of this healthcare overhaul.
[00:56:11.584 --> 00:56:18.049]  And you're just trying to go to a town hall, and it's admitted in the news, they don't let you into the quote, public town hall.
[00:56:18.370 --> 00:56:20.051]  They question you, are you for this or against it?
[00:56:20.071 --> 00:56:26.477]  If you're wearing the purple people stuff, you get into the town hall for a staged media event, and then you're not even in America allowed to be outside.
[00:56:26.517 --> 00:56:28.079]  You get punched in the nose!
[00:56:28.618 --> 00:56:44.770]  Well, according to the Carnahan people, and according to Russ Carnahan himself, the representative that held the town hall, he had a secret press conference the next morning, hand-selected reporters, so that there would be no negative press coverage on it.
[00:56:44.790 --> 00:56:57.439]  And there was a local journalist here, Jamie Allman, who put Mr. Carnahan to task and asked him directly about the involvement of the SEIU at these events.
[00:56:58.952 --> 00:57:02.617]  I'll tell you what, stay there, stay there.
[00:57:02.717 --> 00:57:03.639]  We've got a break.
[00:57:04.981 --> 00:57:12.030]  And we're going to come back to you guys, but we do have some video of the secret press conference that's coming up.
[00:57:12.150 --> 00:57:15.014]  Do one more segment with us, then we'll open the phones up
[00:57:16.104 --> 00:57:21.126]  For all the listeners out there, after our guests leave us, to talk about the attack on free speech in America.
[00:57:21.166 --> 00:57:25.588]  Hey, I was there when Bush was attacking it, decrying him as Hitlerian.
[00:57:26.128 --> 00:57:28.769]  Now, under Obama, it's many times worse.
[00:57:29.370 --> 00:57:33.231]  And if you disagree with any of their policies, they shout you down as a racist.
[00:57:33.611 --> 00:57:37.933]  They are the ones injecting race into it, into issues that have nothing to do with that.
[00:57:38.153 --> 00:57:39.374]  They're race-pimping.
[00:57:39.634 --> 00:57:44.401]  But that's what Obama did as a race pimp for Annenberg Foundation in Chicago.
[00:57:44.641 --> 00:57:46.243]  That's how they control these cities.
[00:57:46.504 --> 00:57:48.747]  They play different ethnic groups off against each other.
[00:57:49.027 --> 00:57:51.510]  America, one giant mafia Chicago!
[00:57:55.404 --> 00:57:59.385]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[00:57:59.645 --> 00:58:01.425]  Do you really know what's in your tap water?
[00:58:01.645 --> 00:58:09.927]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[00:58:10.167 --> 00:58:15.389]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[00:58:15.709 --> 00:58:17.329]  Now what are you going to do about it?
[00:58:17.569 --> 00:58:23.914]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[00:58:24.094 --> 00:58:34.843]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere, and uses state-of-the-art carbon filtration, reverse osmosis, and ultra-violent light sterilization techniques.
[00:58:35.143 --> 00:58:35.664]  That's right.
[00:58:35.924 --> 00:58:38.206]  Clean water, right from the air you breathe.
[00:58:38.466 --> 00:58:40.068]  Order today by calling 1-800-691-8255.
[00:58:41.989 --> 00:58:42.670]  We're good to go.
[00:58:55.285 --> 00:58:56.386]  This is Alex Jones.
[00:58:56.667 --> 00:58:58.469]  Have you heard of the Millionaire Patriot?
[00:58:58.669 --> 00:58:59.309]  Well, you should.
[00:58:59.650 --> 00:59:03.894]  He has a free handgun and five days of firearms training waiting for you.
[00:59:04.135 --> 00:59:04.635]  That's right.
[00:59:04.936 --> 00:59:14.866]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit, all for pennies on the dollar.
[00:59:14.967 --> 00:59:16.108]  Plus, if you act fast,
[00:59:16.308 --> 00:59:21.930]  The Millionaire Patriot will give you a free Springfield Armory XD pistol in the caliber of your choice.
[00:59:22.291 --> 00:59:28.813]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:59:29.174 --> 00:59:34.376]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:59:34.696 --> 00:59:35.856]  This is real.
[00:59:36.157 --> 00:59:36.897]  Don't miss out.
[00:59:37.217 --> 00:59:45.580]  Secure a Front Sight Defensive Handgun Course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[00:59:45.780 --> 00:59:47.941]  Go to FrontSight.com today.
[00:59:48.141 --> 00:59:51.642]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:59:51.842 --> 00:59:54.743]  Go to FrontSight.com for your training and free gun.
[01:00:10.168 --> 01:00:14.333]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:15.013 --> 01:00:15.814]  You want answers?
[01:00:16.575 --> 01:00:17.496]  Well, so does he.
[01:00:17.516 --> 01:00:21.801]  He's Alex Jones on the GCN Radio Network.
[01:00:22.341 --> 01:00:26.386]  And now, live from Austin, Texas, Alex Jones.
[01:00:27.711 --> 01:00:29.152]  This is how tyranny works.
[01:00:29.172 --> 01:00:39.236]  It incrementally trains you to accept losing your free speech, being put in free speech zones, being beat up by thugs, until you're living in a total police state.
[01:00:39.756 --> 01:00:42.317]  Coming up, we're going to play for the full audience.
[01:00:42.357 --> 01:00:43.737]  Some stations don't carry this segment.
[01:00:44.718 --> 01:00:46.759]  In the next segment with our guest, we're going to get into
[01:00:49.005 --> 01:01:05.332]  uh... this video in the press conference where a brave reporter did indeed ask serious questions of the congressman who was up there peddling propaganda but but going to this issue first gentleman before we have a one minute break and come back Mr. Brown, where are you going with this?
[01:01:05.492 --> 01:01:13.855]  I mean not only was your client brutally attacked with racial slurs added for absolutely no reason on video with witnesses but
[01:01:15.880 --> 01:01:21.645]  They have tried to demonize him, as he was saying earlier, and implied that he took on four guys.
[01:01:24.227 --> 01:01:29.732]  So don't you have to go after them legally now, just to clear your client's name fully?
[01:01:29.752 --> 01:01:30.673]  I mean, you have all the evidence.
[01:01:31.049 --> 01:01:33.730]  Well, it's not about clearing Kenneth's name.
[01:01:33.770 --> 01:01:36.792]  We know Kenneth has been in the right the entire time.
[01:01:36.852 --> 01:01:43.155]  No, I know the video shows it in the police arrest of the bad guys, but you know, you've seen the spin out there on the web.
[01:01:43.175 --> 01:01:47.357]  I mean, pretty soon they're going to claim he had devil horns and was flying around on a broom.
[01:01:48.718 --> 01:01:51.500]  Well, yeah, but it's probably already happening as we speak.
[01:01:55.526 --> 01:01:58.889]  Ken's laughing, I don't know how funny it is though.
[01:01:58.909 --> 01:02:05.995]  Ken's in a pool of piranhas now and the piranhas are out there and it's all about money and power with them.
[01:02:06.635 --> 01:02:12.500]  So they're going to attack and attack viciously for their own agenda and their own interests.
[01:02:13.781 --> 01:02:21.247]  So our plan is we're putting together a strategic legal plan right now and we will be suing the appropriate parties.
[01:02:23.192 --> 01:02:33.096]  Until we file that lawsuit, I don't want to exactly go into all the strategy of what we're going to do, but be clear that our action will be swift and it will be deliberate.
[01:02:34.616 --> 01:02:44.119]  So in the next few weeks, if I would put Obama on the spot, I would call the FBI in and say, we have a hate crime right here on tape.
[01:02:44.139 --> 01:02:51.882]  We're going to be calling for Chris Coster, the Attorney General for the state of Missouri, to prosecute these individuals as a hate crime.
[01:02:53.219 --> 01:02:58.893]  Because the crime of the third degree assault was racially motivated.
[01:02:59.688 --> 01:03:15.153]  Even if the first perpetrator was a black American, nonetheless it was still racially motivated, be clear of this, because he did not believe that a black person could be selling the Gadsden flags.
[01:03:15.293 --> 01:03:19.935]  So it was a racially motivated beating and a brutal beating.
[01:03:19.955 --> 01:03:27.958]  It doesn't matter if you're black or white, if you commit the crime based upon race, then it will be considered a hate crime.
[01:03:27.998 --> 01:03:29.078]  It will be elevated
[01:03:29.704 --> 01:03:33.885]  From a third-degree assault to a D-felony.
[01:03:34.445 --> 01:03:44.907]  Well, just to add a historical note, blacks fought and died in the very first skirmishes at Lexington and Concord, if my history serves.
[01:03:44.947 --> 01:03:53.129]  So, again, that's almost denying African-Americans their American heritage to be able to hand out a colonial flag.
[01:03:53.169 --> 01:03:57.310]  I mean, have they been trained by the DHS reports that anybody that has
[01:03:58.610 --> 01:03:58.790]  Well,
[01:04:24.435 --> 01:04:30.423]  I'm just, uh, I was just out selling, uh, selling, uh, gas station flags and, uh, just trying to make a living, you know?
[01:04:30.463 --> 01:04:35.270]  Trying to make a living for myself and, and, and for my, you know, to help out my wife and everything, you know?
[01:04:35.290 --> 01:04:36.351]  So this is even worse.
[01:04:36.391 --> 01:04:37.673]  You weren't even out there politically.
[01:04:37.713 --> 01:04:39.555]  You're just out there, hey, you want a flag?
[01:04:39.595 --> 01:04:40.276]  I'll give you one.
[01:04:42.290 --> 01:04:43.730]  Definitely.
[01:04:43.770 --> 01:04:49.812]  These people, I mean that's the crazy part about it is I run into Obama supporters now and they're like wild eyes.
[01:04:49.872 --> 01:04:56.513]  They were all bought into this dream that everything was fine, their house was going to be paid for, their car was going to be paid for, remember all that?
[01:04:56.913 --> 01:05:03.295]  And now they look at me or anybody else that doesn't worship him as, it's my fault everything isn't fine.
[01:05:04.619 --> 01:05:09.603]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[01:05:09.823 --> 01:05:13.626]  Number one, new climate legislation could easily double or triple your electric bill.
[01:05:13.846 --> 01:05:19.450]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[01:05:19.751 --> 01:05:20.211]  It's true.
[01:05:20.391 --> 01:05:24.614]  Total government control of electricity in the name of smart grid technology is coming.
[01:05:24.815 --> 01:05:31.199]  Number three, in some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[01:05:31.360 --> 01:05:34.462]  Number four, the hurricane and dangerous summer storm season is here to
[01:05:34.482 --> 01:05:34.962]  We're good.
[01:06:06.761 --> 01:06:12.788]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:06:13.388 --> 01:06:16.371]  It's Alex Jones and the GCN Radio Network.
[01:06:18.493 --> 01:06:25.058]  Here's the audio, and for PrisonPlanet.TV viewers right now, the video of one reporter actually asking serious questions.
[01:06:25.338 --> 01:06:32.884]  Then I saw reports of reporters being arrested who took photos of what really happened because somebody didn't want those photos getting out.
[01:06:32.924 --> 01:06:35.767]  We're seeing, I mean, this gets crazier and crazier.
[01:06:35.787 --> 01:06:39.209]  And remember, the Obama people are sending us threatening emails.
[01:06:39.710 --> 01:06:43.753]  The White House has called for Obama supporters to get out in the streets and confront people.
[01:06:44.013 --> 01:06:46.115]  This is New York Times, but they're saying it's good.
[01:06:46.915 --> 01:06:50.518]  And to create lists of people and to report it to the White House.
[01:06:51.559 --> 01:06:56.842]  And different branches, investigative branches of Congress and others are saying this is illegal.
[01:06:57.563 --> 01:06:59.384]  Nixon got in trouble for an enemies list.
[01:06:59.424 --> 01:07:03.347]  I mean, they're saying spy on your neighbors, report anyone.
[01:07:03.367 --> 01:07:06.510]  And these Obama people, they're crazy.
[01:07:07.358 --> 01:07:23.061]  I mean, I've never seen anything like this, where you say, hey, cap-and-trade's really bad, no other country has to make this new tax, and it's going to shut down our industry, and really hurt the economy, and carbon dioxide's what plants breathe, and they'll go, God, I didn't know you were racist, Alex.
[01:07:23.141 --> 01:07:25.322]  And I'm like, no, no, it's cap-and-trade.
[01:07:25.402 --> 01:07:27.522]  I mean, I'm not joking.
[01:07:28.042 --> 01:07:31.023]  I mean, I had videos removed that don't say anything about race.
[01:07:33.403 --> 01:07:35.384]  And they removed them saying they're racist.
[01:07:37.403 --> 01:07:39.664]  Ladies and gentlemen, I can't believe this is happening.
[01:07:39.684 --> 01:07:43.346]  Let's play a clip of this congressman being confronted by the media.
[01:07:43.526 --> 01:07:47.048]  And then he really kind of just mumbles, and the audio's low, but we'll jack it up.
[01:07:47.068 --> 01:07:47.468]  Here it is.
[01:07:49.069 --> 01:07:54.092]  There's videotape of your supporters beating Kenneth Gladney and sending him to the hospital.
[01:07:54.132 --> 01:07:55.793]  He spent the entire evening in St.
[01:07:55.833 --> 01:08:01.096]  John's Mercy Medical Center and was released this morning and was beaten by the union members.
[01:08:03.086 --> 01:08:03.967]  How do you respond to that?
[01:08:03.987 --> 01:08:10.014]  He mumbles and says he didn't see any of that.
[01:08:10.074 --> 01:08:12.617]  Well, the cameras did.
[01:08:13.338 --> 01:08:14.419]  The cameras did.
[01:08:14.519 --> 01:08:19.145]  But again, the issue is here the media tried to spin this like, oh, there was a fight.
[01:08:19.165 --> 01:08:20.747]  Republicans and Democrats got in a fight.
[01:08:21.207 --> 01:08:26.371]  No, it was the thugs attacking peaceful people, and this is coming in everywhere.
[01:08:26.731 --> 01:08:33.656]  So they're saying it's fake, that spontaneous citizens aren't angry and that they want socialist health care and cap and trade to turn their guns in.
[01:08:35.814 --> 01:08:37.094]  And I can play you the newscast.
[01:08:37.134 --> 01:08:42.356]  In fact, let me just ask Attorney David B. Brown, the man who was racially attacked, Kenneth Gladney.
[01:08:43.296 --> 01:08:44.136]  You live near St.
[01:08:44.176 --> 01:08:44.496]  Louis.
[01:08:44.576 --> 01:08:53.399]  Did you see the newscast when the police went on the TV during the election and said, if you criticize Obama, we're going to be the judge and we're going to arrest you?
[01:08:53.419 --> 01:08:54.219]  I mean, that's...
[01:08:57.083 --> 01:09:25.192]  I didn't see those particular, I've read about it on the internet, but the crazy part about all this, I guess it's not so crazy, I guess we see there is a pattern of this, is Carnahan gets up there and mumbles and stumbles his way through there and pretends like nothing happened and tries to skirt and avoid the issue, but then the very same day, a little later that day at 2.30, Health and Human Services Secretary Kathleen Sebelius
[01:09:25.956 --> 01:09:33.441]  Holds a telephone conference with the SEIU members, and she tells them, keep on doing what you're doing.
[01:09:34.322 --> 01:09:37.164]  In direct context to the town hall meetings.
[01:09:37.264 --> 01:09:53.195]  If that's not ratification of a pattern of actions that are designed purposely to impede the everyday ordinary citizen's ability to express themselves, which is a fundamental right, I don't know what is.
[01:09:54.711 --> 01:09:55.932]  Well, I mean, look.
[01:09:56.793 --> 01:09:58.795]  Again, I'm going to say it for everybody that just tuned in.
[01:09:59.195 --> 01:10:01.237]  Republicans are being run off the stage.
[01:10:02.118 --> 01:10:05.441]  When people start booing them for two or three minutes straight, politicians leave.
[01:10:05.461 --> 01:10:09.024]  And then the media spins it and says they chased them out.
[01:10:09.444 --> 01:10:09.685]  No.
[01:10:10.606 --> 01:10:17.692]  Governor Perry, Senator Cornyn, Congressman Doggett, these videos, just Google Cornyn booed.
[01:10:20.134 --> 01:10:21.435]  This governor, that governor booed.
[01:10:21.455 --> 01:10:22.075]  I mean, pick one.
[01:10:22.095 --> 01:10:22.975]  They're all getting booed.
[01:10:23.575 --> 01:10:26.336]  Then when they leave, they get basically chased.
[01:10:26.596 --> 01:10:30.878]  So the media spins it and says the public, you know, tried to assault them or chased them out.
[01:10:30.918 --> 01:10:33.279]  No, as they leave, the people follow them chanting.
[01:10:33.319 --> 01:10:34.019]  They're mad.
[01:10:34.539 --> 01:10:39.221]  And then the media lies and spins all of this and only reports on it when it's Democrats.
[01:10:39.561 --> 01:10:42.642]  Tells the Democrats racists are coming to attack you.
[01:10:42.882 --> 01:10:46.964]  The Democrats get all puffed up and angry and run out and start beating black people.
[01:10:49.346 --> 01:10:53.709]  I mean, that shows the crazy level of mind control.
[01:10:54.330 --> 01:11:02.536]  I mean, do you gentlemen agree that this is, because we have the memos here, that the Democratic Party and ACORN and others are whipping these Democrats?
[01:11:02.556 --> 01:11:04.518]  I mean, I think a lot of these people are well-meaning.
[01:11:04.858 --> 01:11:12.481]  I think a lot of these acorn people and union people really believe that a bunch of racists are coming to confront him at the event.
[01:11:12.842 --> 01:11:18.224]  And so when they see a black guy, they have to go ahead and attack him first because that doesn't fit into their false paradigm.
[01:11:18.684 --> 01:11:20.165]  There's a pawn to the chess game.
[01:11:22.106 --> 01:11:25.087]  It's the power from above.
[01:11:25.107 --> 01:11:26.568]  It's kind of like the Wizard of Oz.
[01:11:26.608 --> 01:11:29.109]  You see Obama there, but who's really behind the curtain?
[01:11:29.389 --> 01:11:31.190]  The same people behind the curtain for George Bush.
[01:11:35.068 --> 01:11:54.217]  The point I want to make here is that these people are being prohibited from their First Amendment rights and it's driven by the powers that be.
[01:11:54.537 --> 01:11:56.258]  I'll give you an example of the spin.
[01:11:57.180 --> 01:12:03.163]  That occurred the very next night when we had a frenzy of people courting us to speak.
[01:12:03.883 --> 01:12:05.164]  All sorts of media outlets.
[01:12:05.304 --> 01:12:10.106]  CNN calls us up and requests for Ken to speak on Anderson Cooper.
[01:12:10.486 --> 01:12:13.407]  I said, well, what type of forum is this?
[01:12:13.427 --> 01:12:14.488]  They said it was a debate.
[01:12:14.688 --> 01:12:15.568]  I said, a debate?
[01:12:15.748 --> 01:12:17.469]  Ken's going to debate somebody?
[01:12:18.069 --> 01:12:19.510]  This is an intern for Anderson Cooper 360.
[01:12:19.690 --> 01:12:21.671]  I said, Ken's going to debate somebody?
[01:12:21.691 --> 01:12:22.151]  Debate who?
[01:12:22.531 --> 01:12:25.693]  They said, we want him to debate Russ Carnahan about healthcare.
[01:12:26.607 --> 01:12:32.591]  I'm like, what does that have to do with Kenneth getting beaten down and getting his rights infringed upon?
[01:12:32.891 --> 01:12:39.375]  This is just spin so that they can put Kenneth on CNN and try to make an idiot out of him, which he's not.
[01:12:39.615 --> 01:12:41.336]  But he is not a career politician.
[01:12:41.776 --> 01:12:43.758]  No, no, that's what I'm saying.
[01:12:44.098 --> 01:12:48.062]  And they're also accusing all of us that have our First Amendment.
[01:12:48.402 --> 01:12:49.903]  Hey, I don't want to turn my guns in.
[01:12:49.923 --> 01:12:52.245]  Hey, I don't want to have cap and trade.
[01:12:52.285 --> 01:12:54.107]  I don't want socialized health care.
[01:12:54.147 --> 01:12:54.847]  We've read the bill.
[01:12:54.907 --> 01:12:55.468]  It's bad.
[01:12:55.788 --> 01:12:58.210]  Worse than you can even articulate it so bad.
[01:12:58.711 --> 01:12:59.771]  And they just go racist.
[01:13:00.212 --> 01:13:06.737]  Or they say that we're out at these events blocking their free speech when they're advertised as town halls.
[01:13:08.922 --> 01:13:10.283]  I mean, people are mad!
[01:13:10.903 --> 01:13:21.009]  And you know, ABC News and a few have reported the truth that these are spontaneous, because the first few days they tried to lie, but I think we're winning this fight of getting the truth out.
[01:13:21.829 --> 01:13:25.311]  It's just, in closing, gentlemen, as this develops, I want to have you back on.
[01:13:25.771 --> 01:13:36.057]  Kenneth Gladney, who got racially attacked for just being out there, and they thought that you were against the Obama takeover, and so they beat you up, and you had to go to the hospital brutally, attacked you.
[01:13:36.457 --> 01:13:37.538]  Any closing comments?
[01:13:38.353 --> 01:13:44.834]  Well, uh, I'd just like to say to, uh, everyone that, uh, I am an American citizen.
[01:13:45.574 --> 01:13:49.655]  I was beaten for something that I was paid to do.
[01:13:49.875 --> 01:13:51.735]  And it is make an honest dollar.
[01:13:51.815 --> 01:13:55.936]  I was doing, I was making an honest dollar, giving out gas flags.
[01:13:57.096 --> 01:14:04.337]  And out of nowhere, someone comes up to me, hits me in my face and attacks me, just attacks me.
[01:14:04.357 --> 01:14:06.298]  You know, I just, I don't, I don't get that.
[01:14:06.338 --> 01:14:07.598]  I don't understand, you know,
[01:14:08.742 --> 01:14:10.504]  What is the world coming to?
[01:14:10.524 --> 01:14:11.685]  That's what I'm trying to find out.
[01:14:11.705 --> 01:14:16.569]  What is the world coming to right now when you have to be afraid to go out and make an honest job?
[01:14:19.063 --> 01:14:22.624]  Well, look, they're counting on playing all of us off against each other.
