[00:00:00.009 --> 00:00:02.670]  That's at SuperiorLifeWater.com.
[01:01:06.847 --> 01:01:11.808]  Barack H. Obama, The Unauthorized Biography, and of course, Obama, The Postmodern Coup.
[01:01:11.868 --> 01:01:16.210]  And as we're working on this Obama film here at the Info Warrior Studios,
[01:01:17.130 --> 01:01:25.056]  You know, I tend to like this guy less and less and less, and it does seem like there is a concerted effort to really promote him, not only through the media.
[01:01:25.157 --> 01:01:29.700]  I mean, it's bad enough that MSNBC was running commercials with all their anchors.
[01:01:29.800 --> 01:01:31.421]  Change with MSNBC!
[01:01:32.162 --> 01:01:34.343]  On the cover of Spider-Man this week, sold out.
[01:01:35.284 --> 01:01:37.146]  Copies are going for upwards of $150.
[01:01:37.466 --> 01:01:38.907]  You can't get one less than $80.
[01:01:40.128 --> 01:01:42.550]  Cover of the Rolling Stone, deified as a god.
[01:01:43.130 --> 01:01:44.311]  And now Newsweek.
[01:01:44.591 --> 01:01:55.531]  Even doing a cover article entitled Obama's Cheney Dilemma, where they make the case that the Obama administration should not get rid of any of the executive powers that were brought in under the Bush administration.
[01:01:55.571 --> 01:01:56.633]  Thank you for joining us, Webster.
[01:01:57.506 --> 01:01:58.166]  Thank you, Jason.
[01:01:58.207 --> 01:01:58.687]  How are you?
[01:01:58.707 --> 01:01:59.647]  I am good.
[01:01:59.708 --> 01:02:00.048]  I'm good.
[01:02:00.408 --> 01:02:10.555]  So I mean, it really does seem like, you know, aside from the youth corps and aside from the media promoting him, that Obama's cult-like status is just growing and growing and growing.
[01:02:10.575 --> 01:02:17.620]  I mean, when I flew into Texas last week, you know, one of the guys with the big orange batons was wearing, you know, not a
[01:02:18.260 --> 01:02:26.927]  A change Obama hat, not an Obama 08 hat, but just one of these stylist fashion things that you can get in any mall now because he's all over hats, he's all over t-shirts.
[01:02:26.947 --> 01:02:28.568]  I mean there's an Obama line of shoes.
[01:02:29.089 --> 01:02:29.989]  It's pretty incredible.
[01:02:31.570 --> 01:02:43.660]  Well I think it's not encouraging for the future of democracy to have a personality cult on the model of the various totalitarians in Europe in the 1920s and 30s.
[01:02:44.200 --> 01:02:46.262]  Interestingly enough, the Washington Post
[01:02:47.065 --> 01:02:57.951]  ...has recognized that the classic Obama poster is directly out of Soviet Communism, Italian Fascism, and German National Socialism.
[01:02:58.131 --> 01:02:58.932]  And it's very interesting.
[01:02:59.312 --> 01:03:01.513]  The guy who does these things is Shepard Fairey.
[01:03:01.613 --> 01:03:02.614]  You've probably seen him.
[01:03:03.694 --> 01:03:06.536]  The cover of Time Magazine was Shepard Fairey.
[01:03:06.576 --> 01:03:09.978]  The cover of Washington Life, another one of the same type.
[01:03:10.578 --> 01:03:13.320]  You've probably seen the one with Obama Hope underneath.
[01:03:14.120 --> 01:03:14.700]  Things like this.
[01:03:14.760 --> 01:03:15.861]  And the Washington Post
[01:03:16.294 --> 01:03:23.040]  This is the first time they've admitted, because they've been supporting Obama, of course, because they're the house organ of the Federal Reserve System.
[01:03:23.780 --> 01:03:41.876]  It says, this branding is brilliant, but it seems to disregard the iconic precedence of authoritarian propaganda originating in forms such as the Soviet poster art of the 1920s that Americans have traditionally resisted.
[01:03:41.956 --> 01:03:44.598]  So you're being invited to join the personality cult
[01:03:45.265 --> 01:03:53.533]  Of a, uh, of a demagogue who is, uh, he wants to become an authoritarian dictator, um, functioning differently than Bush.
[01:03:53.553 --> 01:03:54.694]  He's more demagogic.
[01:03:55.214 --> 01:03:59.418]  He's using left cover compared to Bush's right-wing arguments.
[01:03:59.719 --> 01:04:03.422]  Bush was talking in Latin Al-Qaeda, War on Terror, 9-11.
[01:04:03.462 --> 01:04:08.407]  He was, Bush was ranting about 9-11 last night in his farewell, which was quite a spectacle.
[01:04:08.767 --> 01:04:10.168]  But now with Obama, it's going to be different.
[01:04:11.722 --> 01:04:16.444]  As he says, the Washington Post headline of today, I think, is extremely ominous.
[01:04:17.344 --> 01:04:30.068]  It is that Obama is now pledged to loot and pillage and sack Social Security, Medicare, and Medicaid, with the goal, of course, of convoying that money, not to the poor, but to Wall Street.
[01:04:30.108 --> 01:04:39.811]  He's doing it under the direction of former Federal Reserve Chairman Paul Adolph Volcker, Trilateral Commission, Carter Administration, the guy who
[01:04:40.307 --> 01:04:41.668]  Destroyed the U.S.
[01:04:41.728 --> 01:04:47.774]  industrial base with the worst usury in history, a 22% prime rate.
[01:04:47.814 --> 01:04:48.515]  That's Volcker.
[01:04:48.575 --> 01:04:53.340]  He's the elder statesman, the eminence grise of this entire thing.
[01:04:53.880 --> 01:04:58.144]  And Obama says he wants entitlement reform.
[01:04:58.244 --> 01:05:04.891]  That means that your economic rights, won by the American people and the American labor movement with all kinds of struggles,
[01:05:05.512 --> 01:05:16.176]  The Detroit sit-down strikes, the San Francisco general strike, the Minneapolis teamster strike, and the Toledo auto riot, and a million other sung and unsung labor struggles over the years.
[01:05:16.616 --> 01:05:30.622]  Obama wants to take that all away, and he says, this is where there are going to be very difficult choices and issues of sacrifice and responsibility and duty, he says.
[01:05:30.962 --> 01:05:33.403]  Sacrifice, responsibility, and duty.
[01:05:33.443 --> 01:05:34.183]  Now, this is not new.
[01:05:35.055 --> 01:05:59.940]  Michelle Obama, during the primaries, as I pointed out almost a year ago now, was talking a litany of sacrifice, meaning that they're gonna drive down the standard of living, they're gonna obviously increase the looting rate, increase the rate of primitive accumulation, including through taxation, of course, through their lunatic program of cap-and-trade, carbon tax, and all the rest of this stuff, motivated with global warming.
[01:06:00.360 --> 01:06:01.700]  And I'm sure the people up in Fargo
[01:06:02.182 --> 01:06:05.323]  North Dakota, where it was 44 degrees below zero overnight.
[01:06:05.343 --> 01:06:06.443]  They're going to laugh about that.
[01:06:06.463 --> 01:06:09.283]  The whole upper Midwest is in the deep freeze.
[01:06:09.564 --> 01:06:11.004]  I'm getting calls from all my friends.
[01:06:11.024 --> 01:06:15.445]  I'm from upstate New York, and they're like, dude, it's negative 15 out right now.
[01:06:15.485 --> 01:06:17.865]  And you just mentioned global warming and a carbon tax.
[01:06:17.885 --> 01:06:22.486]  Well, this week he appointed Carl M. Browner as his global warming czar.
[01:06:22.526 --> 01:06:24.127]  She's a lunatic.
[01:06:24.187 --> 01:06:27.307]  She's a retread from the Clinton administration.
[01:06:27.347 --> 01:06:28.508]  But this is a really big thing.
[01:06:29.268 --> 01:06:30.228]  He's saying that
[01:06:31.124 --> 01:06:36.747]  That he is capable of bringing together a bipartisan, what that really means is pan-oligarchical.
[01:06:36.787 --> 01:06:44.431]  He's going to get finance oligarchs of the left and finance oligarchs of the right, Republican and Democratic financiers, bankers and so forth.
[01:06:45.091 --> 01:06:53.456]  And he's going to loot, he's going to reduce the benefits, he's going to increase the retirement age, he's going to increase the taxation on these things.
[01:06:53.756 --> 01:06:59.079]  And it's so ironic because last night, under Obama's leadership, the second round of the
[01:07:00.020 --> 01:07:08.004]  ...was essentially approved another $350 billion, and about half of it is already gone because it went to Bank of America overnight.
[01:07:08.484 --> 01:07:25.273]  Bank of America, a bankrupt institution, bankrupt because of derivatives, because of, you know, credit default swaps, collateralized debt obligations, structured investment vehicles, auction rate securities, asset-backed securities, mortgage-backed securities, all the rest of these crazy derivatives.
[01:07:25.836 --> 01:07:28.057]  Bank of America is bankrupt, everybody knows it.
[01:07:28.117 --> 01:07:37.379]  Now, they've been bailed out once under the first round of the TARP, to the tune of $25 billion, and now they're getting a second round of $168 billion, following Citibank, right?
[01:07:37.419 --> 01:07:54.743]  Citibank had been bailed out once and then had to be bailed out twice in November, and everybody knows that Citibank is about to go under for the third time, and JPMorgan Chase is going down, down, down, down, along with Union Bank of Switzerland and all sorts of others that operate in the U.S.
[01:07:55.703 --> 01:07:56.884]  So this is a disaster.
[01:07:58.265 --> 01:07:59.926]  I think Obama has dropped the mask.
[01:08:00.066 --> 01:08:03.768]  Today he's talking about renewable energy and his green jobs.
[01:08:03.828 --> 01:08:17.617]  Well, the problem with what he calls renewable energy, meaning windmills and solar cells and ethanol and other boondoggles, essentially, that have to be subsidized, is that every time you build one, it's a net loss for the economy.
[01:08:17.657 --> 01:08:24.081]  It's a net loss because the amount of energy you have to put in to create some of these things, or all of them, virtually,
[01:08:24.620 --> 01:08:29.042]  Is more than you'll ever get out of it in the entire life of the investment.
[01:08:29.063 --> 01:08:35.886]  So the more you have green jobs and renewable energy, the poorer and more backward you're going to get.
[01:08:35.946 --> 01:08:40.069]  Obama today is talking about how countries like Spain are ahead of the United States.
[01:08:40.109 --> 01:08:49.954]  Yeah, they're ahead of the United States in the race to the bottom because they'll go bankrupt even faster because of their stress on green jobs, renewable energy, global warming.
[01:08:50.416 --> 01:08:51.277]  And the polar bears.
[01:08:51.357 --> 01:08:58.082]  So you're getting to the point now where human civilization, the fabric of human civilization is at stake.
[01:08:58.622 --> 01:09:03.366]  And obviously you can say, well, um, you know, let the depression work.
[01:09:03.466 --> 01:09:06.688]  I suppose there are some who say you can't interfere with the depression.
[01:09:06.708 --> 01:09:08.109]  You have to let it work itself out.
[01:09:08.149 --> 01:09:11.932]  You have to hope for creative destruction and hope for a recovery on the other side.
[01:09:12.072 --> 01:09:14.294]  I say that is, that's ridiculous.
[01:09:14.354 --> 01:09:15.155]  That's absurd.
[01:09:15.215 --> 01:09:16.976]  And it's also going to get a lot of people killed.
[01:09:17.392 --> 01:09:22.996]  We can and must and can easily fight the Depression successfully, because we know how to do it, right?
[01:09:23.016 --> 01:09:26.999]  We have the examples of the 1930s, 1940s here in the United States.
[01:09:27.019 --> 01:09:36.905]  You can take the examples that work and the ones that don't work from the New Deal, the Roosevelt period, the labor struggles that go together with that, and you can apply that to the present time.
[01:09:37.646 --> 01:09:43.129]  What Obama's trying to do, though, is essentially imitating, it's not very widely known, Mussolini.
[01:09:43.530 --> 01:09:45.151]  Mussolini in the 1930s, after he invaded Ethiopia.
[01:09:47.492 --> 01:09:55.657]  ...was slapped with oil sanctions by the League of Nations, so the Italian economy went into autarky, meaning energy independence, including ethanol.
[01:09:55.797 --> 01:10:00.220]  That's one of the ways that ethanol was developed, was in Italy in the late 1930s.
[01:10:00.721 --> 01:10:16.511]  And this, of course, is a tremendous failure, and it makes a society that is so impoverished and hysterical that you get yourself into wars very easily, because the dictator has then got to pick quarrels with foreign countries to somehow unload all of this tension.
[01:10:17.498 --> 01:10:30.228]  I'm very much afraid we're going into 100 days to the fascist corporate state, and it is imperative now to organize a sophisticated, enlightened opposition to Obama.
[01:10:30.488 --> 01:10:33.450]  The problem you have, we can go through the Obama cabinet, right?
[01:10:33.470 --> 01:10:34.591]  The appointments that he's made.
[01:10:34.671 --> 01:10:36.632]  Some of these are just hair-raising.
[01:10:36.672 --> 01:10:43.938]  I've already mentioned Volcker, but you look at people like Geithner and Summers and Gates and the new Dr. Rice.
[01:10:44.497 --> 01:10:56.482]  And Vilsack at Agriculture, and Arnie Duncan, and this guy Donovan at the Department of Housing and Urban Development, and so on down the line.
[01:10:56.902 --> 01:11:04.585]  This is the greatest concentration of Wall Street banker influence and power that we've ever seen in the history of the country.
[01:11:05.025 --> 01:11:07.646]  There's nobody at the table except Wall Street.
[01:11:08.087 --> 01:11:09.267]  Labor counts for nothing.
[01:11:10.087 --> 01:11:11.488]  Retirees count for nothing.
[01:11:11.588 --> 01:11:12.588]  Women count for nothing.
[01:11:12.888 --> 01:11:14.249]  Black community counts for nothing.
[01:11:14.645 --> 01:11:15.845]  Hispanics count for nothing.
[01:11:16.025 --> 01:11:17.066]  Asians get nothing.
[01:11:18.026 --> 01:11:19.386]  Small business gets nothing.
[01:11:19.466 --> 01:11:20.846]  Heavy industry gets nothing.
[01:11:21.646 --> 01:11:23.927]  The defense contractors get basically nothing.
[01:11:24.147 --> 01:11:25.707]  Big oil gets virtually nothing.
[01:11:26.047 --> 01:11:27.368]  Auto, of course, gets nothing.
[01:11:27.888 --> 01:11:34.749]  So what you've got is the reign of pure financier, paper-backed derivatives merchants.
[01:11:34.809 --> 01:11:38.970]  In other words, the people who are now about to seize power in Washington.
[01:11:39.542 --> 01:11:44.707]  Are the ones behind the 1.5 quadrillion dollar derivatives bubble and uh... God help us!
[01:11:46.009 --> 01:11:50.573]  Well, they're calling for an 825 billion dollar stimulus bill.
[01:11:51.114 --> 01:11:52.135]  We're in a lot of trouble, folks.
[01:11:52.535 --> 01:11:55.438]  It's the Alex Jones Show, Infowars.com, PrisonPlanet.tv.
[01:12:08.405 --> 01:12:12.228]  You don't have to be in the military to enjoy military surplus savings.
[01:12:12.549 --> 01:12:18.334]  Right now at MainMilitary.com you'll find savings on the top must-have military supplies.
[01:12:18.714 --> 01:12:20.476]  M10 gas masks for $12 or 3 for $30.
[01:12:20.536 --> 01:12:21.777]  Gas mask hoods $4 or 3 for $10.
[01:12:22.297 --> 01:12:23.318]  Mask filters $6 or 3 for $15.
[01:12:23.358 --> 01:12:24.940]  Save big on British chemical suits only $12.
[01:12:24.980 --> 01:12:25.340]  Israeli gas masks $20.
[01:12:32.426 --> 01:12:35.810]  Trigger finger gloves, $5 a pair or $36 a dozen.
[01:12:36.070 --> 01:12:39.213]  Snowshoe binding for $8 or $48 a dozen.
[01:12:39.413 --> 01:12:40.435]  And so much more.
[01:12:40.715 --> 01:12:44.138]  Even hard to find surplus items, all at surplus prices.
[01:12:44.419 --> 01:12:49.184]  Preparing the whole family has never been so affordable at MainMilitary.com.
[01:12:49.484 --> 01:12:50.906]  MainMilitary.com.
[01:12:51.106 --> 01:12:53.949]  One of the last surviving true surplus stores in the country.
[01:12:54.289 --> 01:12:57.893]  Shop now at MAINEMILITARY.COM or call 877-608-0179.
[01:12:57.913 --> 01:12:58.754]  That's 877-608-0179 today!
[01:13:07.429 --> 01:13:09.472]  May I have everybody's attention, please?
[01:13:09.592 --> 01:13:11.995]  I've come with a message of information.
[01:13:12.015 --> 01:13:14.599]  9-11 was an inside job.
[01:13:14.679 --> 01:13:15.820]  Do you like being a puppet, sir?
[01:13:15.840 --> 01:13:17.442]  Do you like being a puppet for the New World Order?
[01:13:17.563 --> 01:13:20.346]  How do the American people know that 9-11 was a state?
[01:13:20.366 --> 01:13:24.091]  It wasn't engineered by you, David Rockefeller, the Trilateral Commission, the CFR?
[01:13:33.707 --> 01:13:38.632]  Seven years after the attacks of September 11th, a global awakening has taken place.
[01:13:39.873 --> 01:13:41.034]  An inside job?
[01:13:42.376 --> 01:13:43.457]  How dare you?
[01:13:43.657 --> 01:13:49.923]  If you know that there's treason going on, you can be held accountable for treason yourself.
[01:13:50.063 --> 01:13:52.245]  All hell is breaking loose on 6th Avenue.
[01:13:56.172 --> 01:13:56.332]  Gold.
[01:13:56.352 --> 01:13:57.552]  It's like nothing else on Earth.
[01:13:57.572 --> 01:13:58.573]  From the Romans through the Renaissance.
[01:13:58.593 --> 01:14:00.253]  From the Industrial Age to the Space Age.
[01:14:00.293 --> 01:14:01.813]  Gold has weathered the test of time.
[01:14:02.033 --> 01:14:04.094]  For 6,000 years, gold has remained the ultimate store of wealth.
[01:14:20.058 --> 01:14:21.939]  According to the World Gold Council and the U.S.
[01:14:21.999 --> 01:14:24.280]  Mint, demand is at an all-time high.
[01:14:24.420 --> 01:14:32.164]  The stage is being set for the re-emergence of gold as the common-sense alternative to a fiat paper currency that gets weaker every day.
[01:14:32.525 --> 01:14:41.429]  Midas Resources is proud to offer the hard-hitting report that arms you with the truth you need to protect you and your family from the Fed's plans for your hard-earned money.
[01:14:41.589 --> 01:14:42.710]  Don't gamble with your future.
[01:14:42.870 --> 01:14:47.132]  Call Midas Resources today and ask for your free copy of As Good As Gold.
[01:14:47.312 --> 01:14:47.712]  Call 1-800-686-MIDAS.
[01:14:49.333 --> 01:14:49.674]  We're good.
[01:15:07.040 --> 01:15:10.421]  More than 700 chemicals have been found in our drinking water.
[01:15:10.561 --> 01:15:15.762]  And did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[01:15:15.942 --> 01:15:20.723]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[01:15:21.103 --> 01:15:32.226]  The KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[01:15:32.626 --> 01:15:38.170]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons, or 1 year whichever comes first.
[01:15:38.410 --> 01:15:44.475]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals and bacteria.
[01:15:44.675 --> 01:15:45.315]  What about you?
[01:15:45.716 --> 01:15:51.740]  Order your KDF Shower Filter normally, $49 for our special price of only $39.99, with free shipping.
[01:15:52.140 --> 01:15:54.262]  Call the Berkey guy and order now by calling 1-877-886-3653.
[01:15:57.625 --> 01:15:58.085]  That's 1-877-886-3653.
[01:15:58.105 --> 01:16:00.566]  Or simply click on the banner at GCNlive.com to order online now.
[01:16:18.323 --> 01:16:23.204]  Starbucks wants to make it easy to join Obama's proposed paramilitary brownshirt volunteers.
[01:16:24.164 --> 01:16:31.926]  Starbucks will honor each person who pledges with a free tall brewed coffee beginning Wednesday, January 21st through the Sunday, January 25th.
[01:16:32.706 --> 01:16:41.048]  The goal of the effort is to raise pledges in excess of one million hours of service from all over the country for the new domestic Obama force.
[01:16:41.068 --> 01:16:42.208]  Well, thank you, Starbucks.
[01:16:42.268 --> 01:16:45.949]  The coffee I had was delicious and I'm glad that you're pushing fascism.
[01:16:45.969 --> 01:16:47.089]  It's very nice of you.
[01:16:47.569 --> 01:16:54.311]  So, you know, this is just another effort, not only by the media, but to really get the people behind them.
[01:16:54.331 --> 01:16:56.532]  I mean, again, cover of Spider-Man.
[01:16:56.552 --> 01:16:58.172]  The Spider-Man comic sold out.
[01:16:58.332 --> 01:16:59.373]  I mean, people hoarded it.
[01:16:59.893 --> 01:17:00.973]  I can't get a copy for under $80.
[01:17:01.153 --> 01:17:06.415]  This is, you know, a $4 comic book, something that probably cost them 30 cents to make on a printing press.
[01:17:07.135 --> 01:17:10.336]  And, you know, of course, he's given the new cool guy bump with Spider-Man.
[01:17:10.756 --> 01:17:11.757]  He's the real hipster.
[01:17:11.977 --> 01:17:15.318]  And when I saw that, you know, we played the Obama Youth Brigade clip earlier.
[01:17:16.221 --> 01:17:20.283]  The Obama Youth Brigade clip, I mean, because of Obama, I can be the next engineer.
[01:17:20.603 --> 01:17:22.584]  Because of Obama, I can be the next architect.
[01:17:22.624 --> 01:17:24.285]  Well, how about pride in yourself?
[01:17:24.345 --> 01:17:27.606]  Why do you need a figure like Obama to do these things?
[01:17:28.186 --> 01:17:34.169]  And now the Democrats have proposed an $825 billion stimulus bill, one of many, I'm sure.
[01:17:34.209 --> 01:17:37.831]  I mean, Bernanke this week came out and said they're going to need more bailouts.
[01:17:38.111 --> 01:17:42.293]  Paulson, from the very beginning, said that banks were going to go under no matter what happened with these bailouts.
[01:17:43.493 --> 01:17:46.055]  Webster, what do you see happening in the next couple months?
[01:17:46.075 --> 01:17:47.677]  We're six days away from the inauguration.
[01:17:47.697 --> 01:17:49.999]  Do you see another bailout bill being passed?
[01:17:50.019 --> 01:17:51.781]  Do you see the stimulus bill going through?
[01:17:52.461 --> 01:17:53.402]  What's on the agenda?
[01:17:53.502 --> 01:18:02.550]  The second round of the TARP just went through last night, so the second $350 billion, and that got Obama off the hook because Bush is now giving all that money to Bank of America.
[01:18:03.691 --> 01:18:09.777]  Generally, the TARP is a monstrosity, and you ought to set up the criterion, not one penny more
[01:18:10.253 --> 01:18:17.756]  To banks, insurance companies, credit card companies, mutual funds, money markets, or any other financial institution.
[01:18:18.236 --> 01:18:24.318]  They were given the first round of the tarp, saying if they got that money they would start lending again to business and industry.
[01:18:24.498 --> 01:18:28.479]  Well, we had General Motors, Ford, and Chrysler on the verge of bankruptcy.
[01:18:29.200 --> 01:18:34.601]  JP Morgan, Bank of America, Citibank refused to lend to the automobile industry.
[01:18:34.641 --> 01:18:37.622]  The government had to come in and save them, which I support.
[01:18:37.682 --> 01:18:39.223]  You've absolutely got to save.
[01:18:39.679 --> 01:18:48.504]  Productive employment, industrial assembly lines have got to be kept, otherwise you're in the third world and the Banana Republic League and you don't get out of it so easily.
[01:18:48.805 --> 01:18:53.548]  So, the main idea is stop with the bailout of the derivatives bubble.
[01:18:53.968 --> 01:18:54.768]  It's futile.
[01:18:54.888 --> 01:18:55.589]  It's hopeless.
[01:18:55.989 --> 01:19:07.016]  There's not enough money in the world to ever bail out 1.5 quadrillion of poisonous, bloated, cancerous, fictitious, bloated derivatives
[01:19:07.871 --> 01:19:09.853]  Which are now the essence of the banking system.
[01:19:09.873 --> 01:19:11.454]  In other words, these banks, J.P.
[01:19:11.474 --> 01:19:14.777]  Morgan, Citibank, and Bank of America, they're all bankrupt.
[01:19:14.797 --> 01:19:15.738]  They should be seized.
[01:19:15.898 --> 01:19:17.179]  They shouldn't be demanding money.
[01:19:17.519 --> 01:19:24.044]  They should be in Chapter 11, and indeed in Chapter 7, because I think most of them are just hopeless economic black holes.
[01:19:24.104 --> 01:19:28.228]  Now, on the recovery program, or stimulus program, I think there should be one.
[01:19:28.288 --> 01:19:32.251]  Well, let's ask ourselves, should the government fight the Depression?
[01:19:32.411 --> 01:19:33.432]  Yeah, of course it should.
[01:19:33.692 --> 01:19:34.673]  You're damn right it should.
[01:19:35.049 --> 01:19:47.213]  The question is, with Obama, you've got a combination of only bailouts for bankers, no money for productive activity, and then his stimulus is basically green jobs, which I talked about before.
[01:19:47.393 --> 01:19:50.134]  Every green job is a net loss for the economy.
[01:19:50.154 --> 01:19:54.155]  You get deeper and deeper in the Depression, the more green you want.
[01:19:54.415 --> 01:19:59.977]  You've got to have modern technology, probably 100 nuclear reactors, two in each state.
[01:20:00.325 --> 01:20:02.306]  Would be the best energy policy.
[01:20:02.566 --> 01:20:06.248]  You'd want to build a transcontinental magnetic levitation railway.
[01:20:06.548 --> 01:20:12.610]  You'd want to put high-speed rail commuter systems around the 25 largest metropolitan areas.
[01:20:12.670 --> 01:20:20.113]  Either rebuild the ones you have, the ones in New York City are a hundred years old, or in many places like Houston, there's just nothing.
[01:20:20.173 --> 01:20:21.534]  So you start from scratch.
[01:20:22.114 --> 01:20:23.455]  So that would be another thing.
[01:20:23.495 --> 01:20:28.577]  But with Obama, it's partly green jobs, again, of net loss, and then
[01:20:29.079 --> 01:20:31.440]  He's got this stuff about community development grants.
[01:20:31.520 --> 01:20:36.941]  Now that looks very much like funding things like ACORN and this fascist infrastructure.
[01:20:37.001 --> 01:20:49.884]  In other words, a series of parasitical organizations which are going to be used then to try to become a battering ram against other groups in the society that may disagree with the way that things are going.
[01:20:49.984 --> 01:20:53.845]  But the idea is, ultimately, this is a de-industrialized country.
[01:20:54.205 --> 01:20:57.226]  The de-industrialization was done under Paul Adolph Volcker.
[01:20:57.543 --> 01:20:58.604]  You've got to roll that back.
[01:20:58.704 --> 01:21:01.125]  You've got to reconvert and re-industrialize.
[01:21:01.565 --> 01:21:05.247]  We're looking now, very soon, at a crisis of the dollar.
[01:21:05.307 --> 01:21:06.668]  That's obviously the next step.
[01:21:07.428 --> 01:21:09.349]  Three, six months down the line.
[01:21:09.409 --> 01:21:10.290]  I can't tell when.
[01:21:10.810 --> 01:21:21.275]  But quite soon, as this 8 to 9 trillion, 10 trillion of injected capital begins to work its way through, you're going to see the dollar begin to fall against the euro and the yen.
[01:21:21.335 --> 01:21:23.277]  It's been falling against the yen the whole time.
[01:21:23.357 --> 01:21:26.038]  Against the euro, it's been actually increasing.
[01:21:26.645 --> 01:21:33.949]  And once you realize that the foreign value of the dollar is the value of the dollar, you're going to get into dollar hyperinflation.
[01:21:34.409 --> 01:21:36.630]  So you've got to do something about that.
[01:21:36.710 --> 01:21:41.632]  And that means you've got to earn foreign exchange to pay for the imports that you want.
[01:21:41.652 --> 01:21:44.674]  In other words, you won't be able to give funny pieces of green paper.
[01:21:44.934 --> 01:21:47.195]  You're going to have to earn the money or the gold to pay for it.
[01:21:47.215 --> 01:21:48.156]  It's the Alex Jones Show.
[01:21:48.176 --> 01:21:50.137]  We'll be back with Webster Griffin Tarpley after this.
[01:21:50.217 --> 01:21:52.118]  Infowars.com and PrisonPlanet.tv.
[01:21:57.688 --> 01:22:00.669]  We're on the march, the empire's on the run.
[01:22:01.609 --> 01:22:04.390]  Alex Jones and the GCN Radio Network.
[01:22:08.392 --> 01:22:09.612]  Hi, this is Steve Shank.
[01:22:09.912 --> 01:22:11.073]  eFoods does it again.
[01:22:11.293 --> 01:22:16.074]  The 3-Day Responder provides one adult with 3 days worth of healthy, delicious, easy fix food.
[01:22:16.394 --> 01:22:20.696]  The price of the 3-Day Responder is almost ridiculous at $21.95 for actually 12 meals plus snacks.
[01:22:28.695 --> 01:22:28.915]  I think?
[01:22:50.094 --> 01:22:53.937]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[01:22:53.957 --> 01:22:55.858]  The enemy struck America on September 11th.
[01:23:17.065 --> 01:23:18.086]  But who is the enemy?
[01:23:18.627 --> 01:23:19.127]  Bin Laden.
[01:23:19.407 --> 01:23:20.408]  This is his M.O.
[01:23:20.429 --> 01:23:21.750]  We have to look to the Middle East.
[01:23:21.790 --> 01:23:23.392]  We have to look to Osama Bin Laden.
[01:23:23.772 --> 01:23:30.539]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[01:23:30.939 --> 01:23:31.380]  Some U.S.
[01:23:31.420 --> 01:23:37.046]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[01:23:37.746 --> 01:23:41.269]  I'm aware that some Israeli citizens have been detained.
[01:23:41.630 --> 01:23:51.498]  ...Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[01:23:51.739 --> 01:23:52.479]  Fabled enemies.
[01:23:52.960 --> 01:24:00.246]  Get the DVD at InfoWars.com, or see it in super high quality, along with hundreds of other titles at PrisonPlanet.tv.
[01:24:00.727 --> 01:24:04.090]  Either you are with us, or you are with the terrorists.
[01:24:07.814 --> 01:24:11.077]  Silver is mankind's oldest natural antibiotic.
[01:24:11.257 --> 01:24:15.341]  This very special mineral has been used for centuries by most cultures throughout the world.
[01:24:15.521 --> 01:24:23.489]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water,
[01:24:23.749 --> 01:24:24.189]  We're good to go!
[01:24:57.009 --> 01:25:00.510]  That's U-T-O-P-I-A Silver dot com or call 888-213-4338.
[01:25:00.530 --> 01:25:01.731]  888-213-4338 and help us win this battle.
[01:25:01.771 --> 01:25:02.571]  Alright folks, we are back.
[01:25:02.591 --> 01:25:03.131]  It is the Alex Jones Show.
[01:25:26.943 --> 01:25:32.867]  We're on the line with Webster Griffin Tarpley, the author of Barack H. Obama, the Unauthorized Biography.
[01:25:32.968 --> 01:25:34.709]  Let's not forget George H.W.
[01:25:34.749 --> 01:25:36.650]  Bush, the Unauthorized Biography either.
[01:25:36.730 --> 01:25:39.312]  And of course, Obama, the Postmodern Coup.
[01:25:39.332 --> 01:25:42.235]  You can get that over at Infowars.com right now.
[01:25:43.379 --> 01:25:50.844]  I want to shift gears just a little bit and talk about whether or not you believe that we'll have military conscription under this new administration.
[01:25:50.884 --> 01:25:58.769]  I mean, you've got Rahm Emanuel talking about 18 to 25, everybody serves three months in basic training, and then you're in the military.
[01:25:59.189 --> 01:25:59.849]  We now have
[01:26:01.030 --> 01:26:01.830]  We're good to go.
[01:26:20.936 --> 01:26:34.986]  He doesn't like it, but we're just gonna need the draft for these emerging military threats in the Middle East and one of those would happen to be Pakistan and Webster, you were one of the first people to actually talk about this Pakistani threat, so do you think that we will see conscription in this country?
