[00:00:00.784 --> 00:00:02.966]  He's the T-Rex of political talk.
[00:53:19.865 --> 00:53:21.045]  Government won't make them show it.
[00:53:21.405 --> 00:53:25.586]  They're the ones talking about more regulation to fix it, but they're the banks that are above regulation.
[00:53:26.443 --> 00:53:28.913]  They don't follow the same rules.
[00:53:28.933 --> 00:53:29.958]  They don't pay taxes.
[00:53:29.978 --> 00:53:30.881]  They do whatever they want.
[00:53:31.803 --> 00:53:35.704]  You can read news articles every day about top companies paying no taxes or 1% taxes.
[00:53:36.044 --> 00:53:36.964]  And no one enforces.
[00:53:37.024 --> 00:53:39.805]  Madoff, for decades they knew it was a Ponzi scheme.
[00:53:40.065 --> 00:53:41.705]  But he started the stock exchange.
[00:53:42.025 --> 00:53:42.545]  NASDAQ.
[00:53:43.125 --> 00:53:45.886]  So these guys don't play by the rules, folks.
[00:53:46.666 --> 00:53:47.886]  No one's looking at them.
[00:53:48.046 --> 00:53:49.207]  This is their big heist.
[00:53:49.527 --> 00:53:56.588]  And the police state you see is to stop you from rightfully going and taking your government over through elections or physically and bringing them to justice.
[00:53:56.628 --> 00:53:58.429]  The only thing that can stop them is the people.
[00:53:58.689 --> 00:54:00.309]  And NORTHCOM is here to stop the people.
[00:54:00.709 --> 00:54:03.474]  NORTHCOM'S HERE TO DESTROY AMERICA AND BRING DOWN THE REPUBLIC!
[00:54:04.336 --> 00:54:11.729]  AND I CAN BRING RON PAUL ON, I CAN BRING CONGRESSMAN HAMBURG ON, I CAN BRING SENATOR INHOFE ON HERE, I CAN BRING THEM ALL ON TO TELL YOU, WE'RE UNDER NORTHCOM MARTIAL LAW!
[00:54:13.015 --> 00:54:14.976]  Yeah, it was a point of interest I wanted to make.
[00:54:14.996 --> 00:54:19.399]  I don't know if you know this, but here in Southern California, we have the Magna Carta on display at the Ronald Reagan Library.
[00:54:44.065 --> 00:54:47.566]  And it kind of alarmed me when I found that out last month.
[00:54:48.766 --> 00:54:55.288]  You know, if the New World Order wanted to stage an attack, you know, for pretext for many other actions.
[00:54:55.308 --> 00:54:59.909]  I believe there's three copies of the Magna Carta, like there were ten copies of the Declaration of Independence.
[00:55:00.349 --> 00:55:13.372]  Right, but for symbolism, you know, state, if they wanted to stage an attack, you know, they could get rid of the document, destroy it, and, you know, have some kind of
[00:55:14.301 --> 00:55:20.722]  Yeah, for those that don't know, the Magna Carta is what the Bill of Rights and Constitution comes out of, from 1215 and running mate.
[00:55:21.643 --> 00:55:27.024]  And the first thing Blair did when he got in office in 97-96 was to say, I am getting rid of the Magna Carta.
[00:55:27.784 --> 00:55:37.146]  And the public was so dumbed down, you know, liquored up in England, I mean they admit, most alcoholic state in the world, just as decadent as the Americans, they're like, screw it, get rid of it!
[00:55:37.606 --> 00:55:41.007]  Now the police are on the street going, terrorism if you photograph us.
[00:55:41.247 --> 00:55:43.107]  You're not allowed to videotape us beating somebody.
[00:55:43.127 --> 00:55:44.108]  We're in charge as a terrorist.
[00:55:44.468 --> 00:55:45.948]  Now they're busy stealing people's property.
[00:55:46.128 --> 00:55:49.649]  They have cameras in all the school's bathrooms as the children use the bathroom.
[00:55:49.889 --> 00:55:51.849]  That was in the news today and the school said, what's the big deal?
[00:55:52.429 --> 00:55:54.790]  So we videotape our children and now schools are in the U.S.
[00:55:55.010 --> 00:55:56.550]  putting cameras in bathrooms everywhere.
[00:55:56.770 --> 00:55:56.990]  That's 1984!
[00:55:58.571 --> 00:56:00.331]  Very interesting point about the Magna Carta.
[00:56:01.191 --> 00:56:02.052]  Very, very interesting.
[00:56:02.412 --> 00:56:03.252]  Oh, something else, go ahead.
[00:56:04.309 --> 00:56:07.651]  I just want to say I'm here in my prayers and keep fighting New World Order.
[00:56:08.292 --> 00:56:08.972]  I appreciate it.
[00:56:09.593 --> 00:56:13.476]  Yeah, it's only your prayers that keep us going here.
[00:56:15.337 --> 00:56:19.580]  That's why I dedicate so much time to this, not because I'm even some wonderful good guy.
[00:56:19.600 --> 00:56:23.243]  I mean, I am a good guy overall, but I'm worldly as well.
[00:56:24.003 --> 00:56:27.426]  I am here doing this because I know that
[00:56:29.468 --> 00:56:34.329]  No matter what the risk to myself, the cost of doing nothing is too high to my family and my fellow humanity.
[00:56:34.949 --> 00:56:39.750]  Because I know what happens to others will happen to myself or my children, or their great-grandchildren.
[00:56:40.870 --> 00:56:41.890]  And I just love humanity.
[00:56:42.950 --> 00:56:46.111]  I just like good guys, creative people, I love honorable people.
[00:56:46.511 --> 00:56:49.331]  I hate scum, I hate traitors, I hate bullies.
[00:56:49.471 --> 00:56:58.073]  And let me tell you, filthy, disgusting, criminal bullies are in control of our society and they've got a giant spin machine trying to cover for them, but it's not going to work if you stop them.
[00:57:00.782 --> 00:57:10.872]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh nutritious vegetables will make it to your dinner table?
[00:57:11.353 --> 00:57:12.314]  Garden in a can!
[00:57:14.209 --> 00:57:14.489]  I think so.
[00:57:36.377 --> 00:57:40.338]  Only $69.95 for over a half acre of safe fresh vegetables.
[00:57:40.719 --> 00:57:41.639]  Ready when you are.
[00:57:42.299 --> 00:57:45.940]  Stop procrastinating and start preparing with Garden In A Can.
[00:57:46.381 --> 00:57:49.482]  For more details visit GardenInACan.com today.
[00:57:49.862 --> 00:57:52.383]  That's GardenInACan.com or call 866-598-7396.
[00:57:52.403 --> 00:57:52.443]  866-598-7396.
[00:57:59.810 --> 00:58:06.195]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:58:06.575 --> 00:58:08.537]  The enemy struck America on September 11th.
[00:58:09.218 --> 00:58:10.238]  But who is the enemy?
[00:58:10.759 --> 00:58:11.279]  Bin Laden.
[00:58:11.560 --> 00:58:12.560]  This is his ammo.
[00:58:12.580 --> 00:58:13.921]  We have to look to the Middle East.
[00:58:13.941 --> 00:58:15.623]  We have to look to Osama Bin Laden.
[00:58:15.923 --> 00:58:22.688]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:58:23.069 --> 00:58:23.509]  Some U.S.
[00:58:23.549 --> 00:58:29.194]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:58:29.894 --> 00:58:33.377]  I'm aware that some Israeli citizens have been detained.
[00:58:33.397 --> 00:58:36.199]  Either you are with us, or you are with the terrorists.
[00:58:59.844 --> 00:59:03.107]  Silver is mankind's oldest natural antibiotic.
[00:59:03.287 --> 00:59:07.370]  This very special mineral has been used for centuries by most cultures throughout the world.
[00:59:07.530 --> 00:59:18.980]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water without use of animal protein, nitrates, or saline solutions.
[00:59:19.200 --> 00:59:25.025]  Because our colloidal silver is made up of nano-sized particles, it can be better utilized at the cellular level.
[00:59:25.145 --> 00:59:25.505]  We're good to go.
[00:59:48.717 --> 00:59:53.559]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:59:53.579 --> 00:59:55.139]  Because there's a war on for your mind.
[00:59:55.159 --> 00:59:56.440]  Okay, going back to your calls.
[01:00:30.013 --> 01:00:36.956]  Hello Alex, I've got three short questions for you.
[01:00:38.517 --> 01:00:40.678]  The first question has to do with the economy.
[01:00:40.698 --> 01:00:48.722]  Real quickly, I'm a would-be federal government employee, a public planner.
[01:00:50.072 --> 01:00:54.293]  And I'm pretty seriously concerned with how community governments are being directed.
[01:00:56.034 --> 01:01:09.677]  For instance, it's hard for me to believe that particularly people in government are so stupid that they can't predict the fall of the value of the dollar in the face of a lot of common sense analysis and prediction.
[01:01:09.997 --> 01:01:11.898]  Sir, sir, sir, hold on.
[01:01:11.978 --> 01:01:14.338]  They set the policies that did it.
[01:01:15.118 --> 01:01:16.919]  So of course they know it was going to happen, yes.
[01:01:17.622 --> 01:01:21.865]  That's what I'm seeing.
[01:01:22.465 --> 01:01:24.507]  And yet I'm seeing a lot of people who deny that.
[01:01:25.107 --> 01:01:26.408]  Well, I mean, none of that's your opinion.
[01:01:26.928 --> 01:01:28.709]  They've written hundreds of white papers.
[01:01:29.150 --> 01:01:30.991]  The Federal Reserve's admitted they were doing this.
[01:01:31.291 --> 01:01:45.981]  So, if there's an intentional aspect to this, and you and I probably agree that there is, why would the various banks that own the Federal Reserve deflate the value of the dollar?
[01:01:47.074 --> 01:01:47.995]  That's my first question.
[01:01:48.015 --> 01:01:49.055]  Fair enough.
[01:01:49.095 --> 01:01:52.317]  As an analogue to Irving Fisher's Scam Scrap,
[01:02:11.764 --> 01:02:17.546]  Would be, I think, an antidote to any fractional reserve banking system's constriction of credit.
[01:02:18.266 --> 01:02:22.487]  So the second question has to do with how such a system would be implemented.
[01:02:22.547 --> 01:02:26.268]  How you think such a system would be implemented.
[01:02:26.289 --> 01:02:34.691]  And the third question has to do with the people who are responsible for what we're in.
[01:02:36.752 --> 01:02:40.653]  When considering the history of Bolshevism and the Communist Manifesto,
[01:02:41.636 --> 01:02:56.282]  When considering the protocols of the Elders of Zion, when considering Harold Rosenthal's interview and many other documents, what do you think the relationship between Zionism and the New World Order is?
[01:02:57.523 --> 01:03:01.464]  Do you think Zionism is a genuine racist movement?
[01:03:03.085 --> 01:03:04.986]  And really that's about all I have.
[01:03:05.066 --> 01:03:07.007]  Okay, that's three huge questions.
[01:03:09.480 --> 01:03:20.209]  Why would the private Federal Reserve that controls the United States and gets to milk it and where American taxpayers pay their money, the private Federal Reserve, why would they kill the goose that laid the golden eggs?
[01:03:21.430 --> 01:03:22.591]  Because they're internationalists.
[01:03:22.631 --> 01:03:26.694]  Because the Federal Reserve has stock held in it by international groups and private families.
[01:03:26.714 --> 01:03:27.315]  That's on record.
[01:03:28.211 --> 01:03:33.433]  And so they must sacrifice the United States on the altar of globalism to bring in the new system.
[01:03:33.753 --> 01:03:38.594]  What did the Wall Street Journal last week with that headline about the new world orders here, North American Union?
[01:03:38.954 --> 01:03:41.595]  They said, oh, this is the answer to fix the crisis.
[01:03:42.235 --> 01:03:43.616]  You're not going to have a good economy.
[01:03:43.656 --> 01:03:52.939]  You're not going to have a job and food on the table and clothes for your children and a car to drive to work and no vacations, no life, basically, depression, unless you do what we say.
[01:03:53.539 --> 01:04:07.210]  And that is, all these different private central banks, owned by the same families, are now merging into one global bank that will set taxes, regulations, carbon taxes, micromanaging every part of your life.
[01:04:07.270 --> 01:04:08.671]  So, they've answered it for you.
[01:04:09.191 --> 01:04:16.317]  They said decades ago, in the Trilateral Commission documents in the 70s that we've covered at nauseam, that they would implode the economy around 2005, they're a few years behind,
[01:04:17.461 --> 01:04:21.443]  And merge the American Union, the Asian Union, the European Union together.
[01:04:21.503 --> 01:04:23.004]  Those agreements have already all been signed.
[01:04:23.444 --> 01:04:28.026]  We're already in an American Union, already merging with the European Union as of two years ago.
[01:04:28.386 --> 01:04:34.209]  I have Bush on the White House lawn saying it with the leader of the European Union and Merkel, the head of Germany.
[01:04:35.309 --> 01:04:37.470]  And we have the Judicial Watch documents through Foyer.
[01:04:37.550 --> 01:04:38.090]  We're in it.
[01:04:38.631 --> 01:04:45.374]  And the public's just now being told by the Wall Street Journal and the New York Times that, oh yeah, it is a North American Union, that'll fix the crisis.
[01:04:46.530 --> 01:04:50.972]  So see, they always get us four or five steps ahead and then tell us about a step five, six steps behind.
[01:04:52.113 --> 01:04:52.833]  That's how they do this.
[01:04:52.853 --> 01:04:55.375]  You know, they build the camps, then they introduce legislation.
[01:04:55.635 --> 01:04:59.277]  Oh, we're going to legalize camps and have the local police under it and the local clergy.
[01:04:59.297 --> 01:05:03.059]  I said I was going to blitz through phone calls.
[01:05:03.079 --> 01:05:06.361]  These questions are so important, it's hard to not answer them all.
[01:05:08.910 --> 01:05:17.052]  Then you talked about what type of money system should we have if we remove the fractional reserve banking fraud of the international bankers, which they're not even doing fractional reserve banking now.
[01:05:17.093 --> 01:05:17.933]  They just do whatever they want.
[01:05:18.333 --> 01:05:19.633]  And that answers your first question.
[01:05:19.893 --> 01:05:25.915]  They've created unlimited capital, thousands of trillions over the last few decades in European and U.S.
[01:05:25.955 --> 01:05:26.155]  money.
[01:05:26.555 --> 01:05:30.096]  They have bought up real assets with it, knowing it would later devalue the money.
[01:05:30.376 --> 01:05:33.177]  They've held that off, and now that phase is coming.
[01:05:34.217 --> 01:05:36.339]  So, that's what's happening there.
[01:05:36.379 --> 01:05:37.700]  What type of system should we have?
[01:05:38.020 --> 01:05:46.326]  If we had a good government, if the people were involved and educated about fractional reserve banking and educated about paper script, it really does grease the skids of the economy.
[01:05:46.767 --> 01:05:49.248]  It's just going to be used and abused and will always be abused.
[01:05:49.789 --> 01:05:51.130]  And so it's a very dangerous system.
[01:05:51.790 --> 01:06:01.337]  Set currencies of silver or gold or tally sticks or seashells or wampum, glass beads, whatever people have used throughout history, salt, sugar, spices,
[01:06:03.541 --> 01:06:04.662]  Frankincense and myrrh.
[01:06:05.422 --> 01:06:08.064]  That can all be misused and cornered.
[01:06:08.244 --> 01:06:14.549]  People always go in in history when that happens and buy up the key distribution of that, the key production of those things and then they manipulate that.
[01:06:16.410 --> 01:06:18.091]  So that's a problem as well.
[01:06:19.272 --> 01:06:21.614]  But it's better than a fiat system run by the elite.
[01:06:21.974 --> 01:06:24.676]  Could we have a fiat system run by the government?
[01:06:24.876 --> 01:06:31.861]  I tend to lean towards that and disagree with Ron Paul and the Austrian School of Economics about their Goldback system because we're so deep into this
[01:06:32.341 --> 01:06:33.702]  That we'd have to extricate ourselves.
[01:06:33.742 --> 01:06:35.223]  And Ron Paul has said it would take some time.
[01:06:35.563 --> 01:06:37.285]  So I think a hybrid of the two systems.
[01:06:37.585 --> 01:06:39.747]  I think competing monetary systems are the answer.
[01:06:40.067 --> 01:06:43.629]  So perhaps we can have a script system, a private script system, or group of script systems.
[01:06:44.010 --> 01:06:46.071]  And then a government system.
[01:06:46.432 --> 01:06:54.177]  And then at the same time have a barter system with gold and silver that would be done also off of script.
[01:06:54.217 --> 01:06:58.240]  Then you're back to the gold smiths who would only have so much gold in their vault and issuing too much script.
[01:06:59.261 --> 01:07:03.665]  Buying off politicians with their undue capital that's really fiat.
[01:07:04.947 --> 01:07:08.930]  And on the subject of Zionism, you know, we have guests on here to talk about.
[01:07:09.949 --> 01:07:23.817]  What Zionism is, and Zionism isn't a criticism of Jews themselves, Zionism is a political ideology very similar to what Hitler said, or the white supremacists say, or what the black Israelite movement says.
[01:07:24.098 --> 01:07:28.460]  I mean, every group, Japan has a group that says they're the master race and everybody else is scum.
[01:07:29.401 --> 01:07:34.164]  And it says that everybody else are basically animals who can be killed and destroyed at will.
[01:07:38.208 --> 01:07:45.111]  It's a horrible political system, certainly for the Palestinians in and around Israel, and so I am in opposition to that apartheid type system.
[01:07:45.131 --> 01:07:55.034]  I think it's very hypocritical that Israel can do things that's way worse than what South Africa did, and it's A-OK with the media, but then what South Africa did was bad.
[01:07:55.314 --> 01:07:56.695]  No, it's both equally bad.
[01:07:57.315 --> 01:07:58.015]  And this is the thing.
[01:07:58.355 --> 01:07:59.736]  Humans do this to humans.
[01:08:00.393 --> 01:08:04.796]  You know, Europeans, before they took over Africa, they had slave Europeans.
[01:08:05.436 --> 01:08:08.278]  And then as soon as they revolted, they said, well, we'll just grab these people as slaves.
[01:08:08.518 --> 01:08:09.999]  And they had black folks there selling them.
[01:08:10.339 --> 01:08:13.521]  You know, because blacks had black... Humans enslave each other.
[01:08:14.381 --> 01:08:19.945]  And we have to come to the realization of that system throughout history and expose it.
[01:08:19.965 --> 01:08:20.865]  I mean, what's the drug war?
[01:08:21.185 --> 01:08:23.467]  Millions and millions of non-violent marijuana smokers?
[01:08:24.547 --> 01:08:26.489]  Staying in prison longer than violent offenders?
[01:08:26.549 --> 01:08:26.709]  Why?
[01:08:26.729 --> 01:08:28.270]  Because a marijuana smoker is a good worker.
[01:08:29.331 --> 01:08:30.012]  They're not on pot.
[01:08:30.032 --> 01:08:30.812]  They're not stoned.
[01:08:31.773 --> 01:08:36.877]  They're not crunking, as Paul Hartman would say.
[01:08:39.640 --> 01:08:42.262]  And so, it's slavery.
[01:08:42.322 --> 01:08:43.543]  It's slavery legalized.
[01:08:45.669 --> 01:08:57.973]  But I also don't like to bash Israel too much because I don't want to be in association with all the other tribal groups that make up exaggerated stuff about Israel, go crazy about Israel, hate all Jews, you know, make it a big thing.
[01:08:58.533 --> 01:09:02.115]  I don't like all this tribalism, all this racism, whatever you want to call it.
[01:09:02.155 --> 01:09:03.675]  Now I just spent ten minutes with one caller.
[01:09:04.315 --> 01:09:06.096]  I've got to somehow get to more callers here.
[01:09:06.756 --> 01:09:09.557]  But Michael in North Carolina, you're on the air, welcome.
[01:09:11.518 --> 01:09:13.118]  I really enjoyed your speech.
[01:09:16.641 --> 01:09:19.062]  What speech was that?
[01:09:19.162 --> 01:09:20.723]  The speech that you were just talking about.
[01:09:22.104 --> 01:09:23.004]  Your three questions.
[01:09:25.705 --> 01:09:29.127]  I can't say I disagreed with anything that you said in particular.
[01:09:29.807 --> 01:09:35.070]  I would like you to talk a little bit more about Irving Fisher's stamp script, but that's about it.
[01:09:36.130 --> 01:09:37.331]  You know, I have read about that.
[01:09:37.431 --> 01:09:41.472]  I'm familiar with it, but I'm not that big an expert on it.
[01:09:41.492 --> 01:09:42.513]  Why don't you explain it to folks?
[01:09:44.187 --> 01:09:50.489]  Okay, Irving Fisher's stamp script had to do with getting to the fundament of what is money.
[01:09:51.989 --> 01:09:54.390]  And what is money has to do with labor.
[01:09:55.831 --> 01:09:58.291]  It doesn't have to do with the value of gold.
[01:09:58.792 --> 01:10:01.732]  It doesn't have to do with the value of silver or any other precious metal.
[01:10:01.752 --> 01:10:03.233]  It doesn't have to do with the value of land.
[01:10:05.113 --> 01:10:06.474]  It has to do with the value of labor.
[01:10:08.635 --> 01:10:13.276]  And how you put value on that and how you trade value for that.
[01:10:16.346 --> 01:10:27.897]  Yes, and then getting local scripts which everybody agrees upon and then there's a known amount that's out there and it's just an agreed upon mode of exchange for your labor, for your time, for your energy.
[01:10:31.360 --> 01:10:38.125]  That's why I'm saying we need local currencies competing with regional currencies, competing with national currencies, competing with international currencies.
[01:10:38.445 --> 01:10:40.447]  That way elites can't corner the market.
[01:10:40.787 --> 01:10:44.770]  It's a separation of powers within the entire monetary scheme.
[01:10:45.210 --> 01:10:48.353]  It is a liberalization of the symbols of credit.
[01:10:49.352 --> 01:10:50.874]  And that's what we need.
[01:10:50.914 --> 01:10:53.697]  We need liberation in the money system.
[01:10:53.717 --> 01:10:57.080]  But the average public, that's why we're enslaved, is like, well, what's real money?
[01:10:57.300 --> 01:10:57.821]  I want money.
[01:10:58.021 --> 01:11:01.665]  You can show somebody a big wad of $100 bills, and they'll just get all excited.
[01:11:03.006 --> 01:11:04.888]  And all this is, is something that was just printed up.
[01:11:05.609 --> 01:11:10.311]  The Federal Reserve orders it printed by the Governmental Treasury, and then it's issued.
[01:11:10.331 --> 01:11:13.973]  But that's less than 1% now of physical real money in circulation.
[01:11:14.233 --> 01:11:15.954]  It's all just zeros and ones in a computer.
[01:11:16.314 --> 01:11:21.697]  The bank just says you've got $10,000 or $5,000 or a million, whatever it is, in the bank.
[01:11:21.917 --> 01:11:22.937]  It's just zeros and ones.
[01:11:22.997 --> 01:11:33.643]  But by you going and depositing your little paper check in there, they loan out 10, 20, 30, 40, 50 times all the real physical money they've got in there, leveraged.
[01:11:34.463 --> 01:11:35.744]  And so what does the bank really want?
[01:11:35.764 --> 01:11:39.585]  It wants you to go bankrupt because it doesn't care about the fake zeros and ones in its computer.
[01:11:39.885 --> 01:11:40.625]  It wants your house.
[01:11:40.706 --> 01:11:41.466]  It wants your company.
[01:11:41.786 --> 01:11:45.587]  It wants to set up a depression so everybody collapses.
[01:11:46.388 --> 01:11:55.331]  That's why they issue all this credit because they control it so that their false credit bubble of debt can implode and take over the entire economy with it.
[01:11:55.872 --> 01:11:59.393]  Alright, more calls straight ahead right here on the one and only GCN Radio Network.
[01:12:00.618 --> 01:12:02.120]  Alex Jones here with a question.
[01:12:02.300 --> 01:12:03.762]  What does humidity mean to you?
[01:12:04.042 --> 01:12:06.284]  Most people think of hot and sticky summer days.
[01:12:06.725 --> 01:12:11.490]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[01:12:11.871 --> 01:12:14.714]  That's why I'd like you to visit acolablue.com.
[01:12:15.074 --> 01:12:18.558]  Acolablue is a state-of-the-art atmospheric water generator.
[01:12:18.965 --> 01:12:30.948]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[01:12:31.509 --> 01:12:33.489]  Finally, drinking water that you control.
[01:12:33.509 --> 01:12:34.810]  I use one every day.
[01:12:35.230 --> 01:12:40.691]  Say goodbye to expensive water delivery services and storing five-gallon bottles of water in your home.
[01:12:40.911 --> 01:12:46.693]  The Ecola Blue 28 is shipped right to your home, ready to make close to seven gallons a day right out of the box.
[01:12:47.293 --> 01:12:49.095]  They have a 30-day money-back guarantee.
[01:12:49.415 --> 01:12:50.937]  Call Ecola Blue right now at 866-585-4044.
[01:12:50.957 --> 01:12:51.197]  That's 866-585-4044.
[01:12:51.217 --> 01:12:52.559]  Or visit Ecola Blue at ecoloble.com today.
[01:13:00.370 --> 01:13:01.350]  Hello, Ted Anderson.
[01:13:01.410 --> 01:13:06.212]  Listeners of the network are familiar with the Federal Reserve Note and understand the risks of deficit spending.
[01:13:06.372 --> 01:13:14.175]  Therefore, with catastrophic events, it comes as no surprise that some banks have currently placed limits on the amount of cash depositors can remove from their accounts.
[01:13:14.435 --> 01:13:19.797]  A fractional reserve system means only a small portion of your deposit is held in reserve for immediate withdrawal.
[01:13:20.017 --> 01:13:26.979]  Deficit spending will skyrocket through FDIC if the government is forced to insure deposits during a bank run followed by a depressed economy.
[01:13:27.279 --> 01:13:32.602]  A current effort is underway by the Fed along with other central banks to increase liquidity for depositors.
[01:13:32.882 --> 01:13:37.625]  However, an increase in money supply without equal expansion in productivity can cause inflation.
[01:13:37.965 --> 01:13:45.569]  In order to achieve strength and stability, I recommend a conservative portion of all investments to be calmly repositioned into gold and silver.
[01:13:45.909 --> 01:13:52.133]  While paper investments currently have been driven by debt, gold on its own has held value for over 6,000 years.
[01:13:52.473 --> 01:13:53.574]  For more information, call 1-800-686-2237.
[01:13:56.831 --> 01:13:59.232]  That's 1-800-686-2237.
[01:13:59.992 --> 01:14:05.474]  On September 11th, 2001, along with hundreds of my fellow troops, I went to Ground Zero.
[01:14:05.694 --> 01:14:06.994]  And we knew what to do.
[01:14:07.014 --> 01:14:08.795]  Or at least we thought we did.
[01:14:09.035 --> 01:14:15.436]  Truth Rising is a breakthrough 9-11 film that finally gives first responders a platform to tell their story.
[01:14:16.057 --> 01:14:24.579]  Whitman, EPA Director on the 18th, made a statement that the air was safe to breathe.
[01:14:24.963 --> 01:14:31.765]  This film follows the growing momentum of 9-11 Truth as brave souls throughout the world take action against their global masters.
[01:14:32.065 --> 01:14:35.105]  He had his hand over the radio while he was getting a countdown.
[01:14:35.225 --> 01:14:40.427]  He takes his hand off and you hear 3, 2, 1 and it was boom, boom, boom, boom, boom!
[01:14:40.987 --> 01:14:43.627]  This is an emergency transmission worldwide.
[01:14:44.067 --> 01:14:51.009]  Download Truth Rising at PrisonPlanet.tv and aggressively spread it worldwide or order the DVD
[01:14:55.564 --> 01:15:04.086]  Rough roads might be ahead for the economy, but your vehicle doesn't have to experience them.
[01:15:04.346 --> 01:15:06.947]  Can't afford a new vehicle or even an expensive repair?
[01:15:07.227 --> 01:15:13.809]  Now you can take care of your vehicle with Protecta Engine Oil Booster by SFR, which is a fully synthetic oil booster.
[01:15:13.989 --> 01:15:17.750]  Protecta Engine Oil Booster fortifies your motor oil to help your engine last longer.
[01:15:17.950 --> 01:15:24.073]  Protecta Engine Oil Booster has been tested by independent laboratories and proven in over 1 million vehicles worldwide.
[01:15:24.313 --> 01:15:28.695]  We'll give you enough Protecta Engine Oil Booster for 5 complete oil changes for only $22.95.
[01:15:28.936 --> 01:15:32.277]  That's enough for 2 vehicles for up to 1 year.
[01:15:32.557 --> 01:15:34.358]  Start taking care of your vehicle today.
[01:15:34.659 --> 01:15:37.620]  Take advantage of this limited time offer and receive free shipping.
[01:15:37.800 --> 01:15:41.302]  Protecta Engine Oil Booster is the last defense against engine wear.
[01:15:41.502 --> 01:15:43.985]  Go to oilcompanysecret.com or call 1-888-873-7371.
[01:15:44.005 --> 01:15:45.047]  That's oilcompanysecret.com or 888-873-7371.
[01:15:45.087 --> 01:15:46.429]  Satisfaction guaranteed or your money back.
[01:15:46.469 --> 01:15:48.652]  Call 888-873-7371 or visit oilcompanysecret.com.
[01:16:11.578 --> 01:16:13.319]  All right, let's try to get through some of these calls.
[01:16:14.359 --> 01:16:15.499]  Who's up next here, John?
[01:16:18.461 --> 01:16:20.201]  Joe in Chicago.
[01:16:20.261 --> 01:16:21.141]  You're on the air, Joe.
[01:16:21.182 --> 01:16:21.522]  Welcome.
[01:16:22.362 --> 01:16:23.923]  Hey, how's it going, Alex?
[01:16:23.963 --> 01:16:24.363]  Good, sir.
[01:16:25.403 --> 01:16:26.223]  Well, you know what?
[01:16:26.583 --> 01:16:34.306]  It's kind of funny, the rise of phone calls that you're getting from Illinois and the Chicago area ever since Groblegovich, this whole scandal came to pass.
[01:16:34.326 --> 01:16:38.668]  Well, we've always gotten a lot of calls from Illinois, but, you know, we've been getting even more, I've noticed.
[01:16:39.437 --> 01:16:42.258]  Yeah, and I do have to say one thing about this guy.
[01:16:42.298 --> 01:17:01.683]  I mean, there was a commentator, a political commentator on WGN News that basically said this whole thing, he's like, it's basically the whole impeachment panel was like, and I quote, he's like, it was like a bunch of flies hanging on a wall, all blaming one fly for having dirty feet.
[01:17:03.061 --> 01:17:03.321]  Okay.
[01:17:03.341 --> 01:17:07.503]  Yeah, but you can't accept the fact that they've all got dirty feet that you don't kick them out.
[01:17:08.044 --> 01:17:08.704]  That is true.
[01:17:09.064 --> 01:17:09.585]  That is true.
[01:17:09.625 --> 01:17:15.468]  But one thing that I saw that was really interesting, the day
[01:17:16.249 --> 01:17:16.549]  I don't know.
[01:17:36.718 --> 01:17:42.500]  His rights were violated as far as him not being able to bring forth any witness.
[01:17:42.520 --> 01:17:49.543]  That's right, and the Senate lied and said we used the Bill Clinton rules, and Bill Clinton wasn't allowed to bring witnesses.
[01:17:49.623 --> 01:17:52.345]  Funny, I remember Bill Clinton brought a bunch of them, including Vernon Jordan.
[01:17:52.885 --> 01:17:58.567]  So they are lying about the fact that, oh well, it's normal to not allow people to call witnesses.
[01:17:59.968 --> 01:18:04.750]  And so definitely it's a corrupt system sacrificing him for some reason.
[01:18:05.610 --> 01:18:15.039]  And I don't know if that's the Bush administration blackmailing Obama, because Blagojevich came up with him under the control of... Blagojevich was a congressman, formerly, too.
[01:18:15.760 --> 01:18:19.523]  So he's always worked with Rahm Emanuel, who's as dirty as they come.
[01:18:19.563 --> 01:18:25.909]  So, I mean, we don't know the full extent of this, but in the final equation, it's a diversion and a distraction to begin with.
[01:18:26.330 --> 01:18:26.830]  I mean, sure.
[01:18:27.802 --> 01:18:36.767]  Elliot Spitzer starts going after Bank of America and others for scams they're running, and suddenly, you know, his one impropriety with hookers, he was under FBI surveillance the whole time.
[01:18:36.787 --> 01:18:37.847]  They're all under surveillance.
[01:18:37.867 --> 01:18:39.748]  The British Parliament's under surveillance.
[01:18:39.768 --> 01:18:43.310]  They're arresting members of Parliament now when they leak information about government corruption.
[01:18:44.011 --> 01:18:47.973]  Because the intelligence agencies that work for the big banks, they are the real government.
