[00:00:00.197 --> 00:00:01.318]  The GCN Radio Network.
[00:52:09.460 --> 00:52:11.541]  I'm going to give you a very important phone number.
[00:52:11.881 --> 00:52:20.825]  Due to a declining economy and credit crisis, you now have the power to settle your debt and lower your payments by up to 60% or more by calling the bailout
[00:52:20.845 --> 00:52:21.465]  We're good to go.
[00:52:50.583 --> 00:52:53.725]  Buy up to 60% and save you thousands of dollars today.
[00:52:53.966 --> 00:52:54.906]  That number again is 1-800-324-6554.
[00:52:54.926 --> 00:52:54.986]  800-324-6554.
[00:52:55.006 --> 00:52:55.647]  The Bailout Group.
[00:52:55.787 --> 00:52:59.029]  The word catastrophe is defined as a sudden and widespread disaster.
[00:52:59.049 --> 00:53:01.611]  The only way to be truly ready is to prepare yourself now.
[00:53:15.930 --> 00:53:16.691]  We're good to go.
[00:53:39.568 --> 00:53:40.428]  While the unions are big businessmen,
[00:54:09.278 --> 00:54:12.021]  We're going to Bill, Patriot Mark, Mark Solomon, and others.
[00:54:12.081 --> 00:54:13.442]  Solomon's calling from Brazil.
[00:54:14.363 --> 00:54:18.247]  Please have a quick question or comment for Governor Yissa Ventura.
[00:54:20.427 --> 00:54:24.569]  His new book out in paperback, an international bestseller, Don't Start a Revolution Without Me.
[00:54:24.929 --> 00:54:26.710]  Don't start a revolution without you.
[00:54:26.810 --> 00:54:34.293]  You're definitely out there standing up against torture, the police state, the new world order, in many ways, and for the Bill of Rights and Constitution.
[00:54:34.553 --> 00:54:36.434]  What do you think of Chrysler going under?
[00:54:36.494 --> 00:54:37.354]  Now GM.
[00:54:37.934 --> 00:54:41.096]  They're going to give them bailout money to move to China and Brazil.
[00:54:41.496 --> 00:54:43.157]  The Wall Street Journal's now reporting.
[00:54:43.797 --> 00:54:48.659]  I mean, this globalization, this naphtha and ghat, this has butchered the hell out of our country.
[00:54:49.039 --> 00:54:58.901]  Well, again, you know, you gotta see it happen before... I don't know the economy well enough to know whether the bailout is proper or not.
[00:54:58.961 --> 00:55:01.682]  I don't, you know, because both sides have voted for it.
[00:55:01.702 --> 00:55:03.822]  That's when you know it's bad!
[00:55:04.082 --> 00:55:07.183]  Yeah, well, when Bush was in, they all voted for the bailout.
[00:55:07.763 --> 00:55:10.924]  And then Obama comes and they continue to vote for the bailout.
[00:55:11.636 --> 00:55:13.117]  Is the bailout the answer?
[00:55:13.137 --> 00:55:25.326]  I don't know, but there's nothing we can do about it because they are our elected officials and they run the country, so I guess we're going to live or die by the decisions that they make because after all, we elected them, didn't we?
[00:55:26.807 --> 00:55:30.990]  So what happens as things start falling apart even more and both parties
[00:55:32.210 --> 00:55:38.212]  On every issue, 80-90% of the people want to go one way, which is always with the Bill of Rights and Constitution.
[00:55:38.452 --> 00:55:44.313]  The people actually on average in polls get it right, but the politicians are all together with the offshore banks.
[00:55:44.373 --> 00:55:46.254]  I mean, this is coming to a head.
[00:55:46.414 --> 00:55:49.235]  Again, it still comes down to us.
[00:55:50.095 --> 00:55:53.376]  When you strip everything away from it all, we elect them.
[00:55:55.456 --> 00:56:00.278]  I've been fighting for it for... I mean, I voted for John Anderson way back in the 80s.
[00:56:01.854 --> 00:56:03.295]  Well, you know about the money, though.
[00:56:03.335 --> 00:56:04.196]  You know about the money.
[00:56:04.216 --> 00:56:07.199]  I haven't voted against these parties my entire adult life.
[00:56:07.979 --> 00:56:08.640]  I understand that.
[00:56:09.040 --> 00:56:14.765]  Alex, as long as we keep electing Democrats and Republicans, this is what you're going to get.
[00:56:15.166 --> 00:56:24.214]  No, I understand that, Jesse, and you're right about the whole left-right control paradigm and special interest owning both, but you had celebrity and were a sharp, intelligent guy and barely won.
[00:56:24.754 --> 00:56:24.834]  Yeah.
[00:56:24.854 --> 00:56:25.334]  Do it as a protest vote.
[00:56:25.354 --> 00:56:25.554]  I do it.
[00:56:25.574 --> 00:56:29.896]  I go there and when there's any election, I go there and I pick out any candidate who's not a Democrat or Republican.
[00:56:52.403 --> 00:56:53.184]  That's what I do.
[00:56:53.244 --> 00:56:54.525]  And I protest both.
[00:56:55.145 --> 00:57:00.990]  To me, if you go there and pick them out, then you're playing their game.
[00:57:02.712 --> 00:57:06.775]  Ultimately, they still get to be in charge because they got you to vote for them.
[00:57:06.915 --> 00:57:09.057]  And I'm not saying you, Alex, as an individual.
[00:57:09.097 --> 00:57:10.378]  I mean everybody out there.
[00:57:10.779 --> 00:57:11.379]  No, I understand.
[00:57:11.419 --> 00:57:12.460]  Let's jam a call in.
[00:57:12.520 --> 00:57:13.401]  Bill in Connecticut.
[00:57:13.661 --> 00:57:15.123]  You're on the air with Jesse Ventura.
[00:57:16.504 --> 00:57:17.224]  Hey guys, how you doing?
[00:57:17.424 --> 00:57:18.265]  Hi Bill, how are you?
[00:57:18.285 --> 00:57:19.046]  Real good.
[00:57:19.693 --> 00:57:22.037]  Hey, I got a question for both of you.
[00:57:23.539 --> 00:57:29.527]  It's pertaining to the legitimacy of Barack Obama being the president.
[00:57:30.369 --> 00:57:34.535]  And I'm just kind of surprised that nobody talks about it.
[00:57:35.396 --> 00:57:35.696]  At all.
[00:57:51.212 --> 00:57:54.253]  They always focus on that because you can't prove it one way or the other.
[00:57:54.494 --> 00:57:57.115]  Jesse Ventura, what's your take on the whole birth certificate thing?
[00:57:57.835 --> 00:58:03.298]  You know, I guess I haven't paid much attention to it at all.
[00:58:03.718 --> 00:58:06.659]  To me, how could he not be a citizen?
[00:58:09.080 --> 00:58:12.942]  Well, McCain was born in the Panama Canal zone before there were bases there.
[00:58:13.182 --> 00:58:13.962]  That's another question.
[00:58:14.002 --> 00:58:16.344]  How could both candidates have questionable innings?
[00:58:16.384 --> 00:58:19.285]  But the point is, they come from parents who are from here.
[00:58:20.402 --> 00:58:24.986]  I mean, if they happen to be working abroad, that doesn't mean you're not an American citizen, does it?
[00:58:25.607 --> 00:58:26.948]  Well, his mom was from here.
[00:58:27.228 --> 00:58:29.630]  The dad was a communist from Kenya.
[00:58:34.114 --> 00:58:36.697]  Maybe you can be the ambassador to Kenyistan.
[00:58:36.957 --> 00:58:38.779]  The whole country will be run like Kenya.
[00:58:38.799 --> 00:58:39.019]  Stay there.
[00:58:39.039 --> 00:58:39.459]  Back in one minute.
[00:58:39.499 --> 00:58:40.260]  Back in one minute.
[00:58:40.280 --> 00:58:41.741]  I want to be the ambassador to Cuba.
[00:58:41.781 --> 00:58:42.502]  Better surfing.
[00:58:45.137 --> 00:58:47.178]  Thank you for listening to GCN.
[00:58:47.738 --> 00:58:51.099]  Be sure to visit GCNlive.com today.
[00:58:53.320 --> 00:58:53.920]  Hello, friends.
[00:58:53.960 --> 00:58:54.900]  This is Alex Jones.
[00:58:55.041 --> 00:58:59.642]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:58:59.762 --> 00:59:02.523]  We need to be independent, and food and water is the key.
[00:59:02.723 --> 00:59:05.584]  You'll never have to stand in a bread line if you have your own bread.
[00:59:05.764 --> 00:59:10.486]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:59:10.806 --> 00:59:11.367]  We're good to go.
[00:59:30.501 --> 00:59:36.567]  Visit eFoodsDirect.com and look over the fine list of high-quality, pre-stride, and dehydrated foods they have to offer.
[00:59:36.767 --> 00:59:43.913]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:59:44.254 --> 00:59:47.957]  Again, 800-409-5633 or on the web at eFoodsDirect.com.
[00:59:48.117 --> 00:59:49.098]  Take action today.
[00:59:49.258 --> 00:59:51.040]  The first step is getting storable food.
[00:59:56.010 --> 00:59:57.932]  Waging War on Corruption!
[00:59:58.393 --> 01:00:01.156]  Alex Jones on the GCN Radio Network!
[01:00:12.822 --> 01:00:17.883]  Okay, Governor Jesse Ventura will be with us until about 18 after, into the next segment.
[01:00:18.203 --> 01:00:20.183]  We're taking your phone calls right now.
[01:00:20.563 --> 01:00:28.325]  Patriot in Wisconsin, you're on the air with Jesse Ventura, on the air with us talking about his new bestseller, Don't Start the Revolution Without Me, out in paperback.
[01:00:28.365 --> 01:00:29.125]  Go ahead, Patriot.
[01:00:30.105 --> 01:00:30.485]  Hi, guys.
[01:00:31.085 --> 01:00:39.527]  You were talking about being ambassador in Cuba, but if we're having relations with countries like Cuba and North Korea or China or Iran,
[01:00:40.424 --> 01:00:43.044]  Doesn't that sort of legitimize their government?
[01:00:43.825 --> 01:00:44.385]  Well, what?
[01:00:44.425 --> 01:00:45.905]  Their governments don't exist?
[01:00:46.985 --> 01:00:55.667]  What, are you going to pretend that these countries would be them communists and somehow they don't exist so we just ignore them and they'll go away?
[01:00:55.687 --> 01:00:57.787]  Come on!
[01:00:57.887 --> 01:00:58.867]  Get in the real world!
[01:00:58.927 --> 01:01:00.107]  They're communists.
[01:01:00.208 --> 01:01:01.148]  That's what we got.
[01:01:01.748 --> 01:01:03.548]  You know there's no thing in poker.
[01:01:03.588 --> 01:01:05.348]  Sometimes you gotta play the hand you're dealt.
[01:01:06.389 --> 01:01:07.989]  Do I support communism?
[01:01:08.029 --> 01:01:08.209]  No!
[01:01:09.028 --> 01:01:11.790]  But they do exist!
[01:01:11.810 --> 01:01:16.313]  And if you can't shut yourself off from that fact and pretend they don't... Absolutely!
[01:01:16.333 --> 01:01:17.714]  Bloodshed should be the last thing!
[01:01:30.646 --> 01:01:31.827]  I mean, take our founding fathers.
[01:01:31.847 --> 01:01:38.750]  They talked for ten years before they declared, you know, independence in 1776 against the tyranny of the king.
[01:01:39.431 --> 01:01:41.312]  And then you're in the right when you've tried.
[01:01:41.372 --> 01:01:43.733]  But Iran, we overthrew Iran in 53.
[01:01:44.674 --> 01:01:46.175]  Our government stages terror attacks.
[01:01:46.195 --> 01:01:47.495]  That's in the news today.
[01:01:47.936 --> 01:01:50.737]  I mean, Iran doesn't deserve to be attacked.
[01:01:51.077 --> 01:01:57.741]  And by being mean to Iran, that makes them get more hardline people in power, like Ahmedinejad, common scholar.
[01:01:58.615 --> 01:01:59.596]  Well, yeah, I understand that.
[01:01:59.656 --> 01:02:07.101]  I'm not necessarily talking about going to war, but I'm talking about something like, uh, when the Communists took over in the Soviet Union, when the Communists took over in China.
[01:02:07.121 --> 01:02:11.784]  Do you think it's a good idea to have, uh, business relationships with them?
[01:02:11.824 --> 01:02:23.192]  Or shouldn't we sort of try to, uh... Well, we've been doing business with China, we've been doing business with Vietnam, and, uh, why wouldn't we do business with Cuba?
[01:02:25.079 --> 01:02:29.329]  You know, to me, remember, it was interesting when I was in China.
[01:02:29.891 --> 01:02:32.236]  Do you remember when we blew up their embassy?
[01:02:34.235 --> 01:02:34.475]  Yes.
[01:02:34.595 --> 01:02:38.099]  Yeah, okay, so I asked some people who lived over there.
[01:02:38.139 --> 01:02:42.764]  I said, how did the Chinese people take to that when we blew up their embassy?
[01:02:42.784 --> 01:02:45.747]  And these people had lived there for 10 or 12 years.
[01:02:45.787 --> 01:02:57.479]  They said, well, at first they kind of gave us some steely-eyed stares a little bit initially, but they said within 24 hours all the Chinese people shrugged off and went, eh, government.
[01:02:59.321 --> 01:03:01.343]  You know, we've got to remember something.
[01:03:01.764 --> 01:03:06.289]  Government thrives on creating hostilities between we the people.
[01:03:06.989 --> 01:03:07.950]  Look, here's the issue.
[01:03:08.711 --> 01:03:13.376]  During the decades of embargoes against Iran, guess the one U.S.
[01:03:13.416 --> 01:03:16.920]  company that was allowed to ship in oil field and nuke components?
[01:03:17.200 --> 01:03:17.681]  Halliburton.
[01:03:18.959 --> 01:03:22.100]  And then Dick Cheney got caught doing it and said, oh, well, it's no big deal.
[01:03:22.340 --> 01:03:24.441]  We have a subsidiary and the Cayman's doing it.
[01:03:24.761 --> 01:03:31.823]  When you put those sanctions on them, it only allows corrupt select groups to sell the goods, and that's what these governments love.
[01:03:31.923 --> 01:03:32.243]  Jesse?
[01:03:32.824 --> 01:03:33.384]  I agree.
[01:03:33.884 --> 01:03:42.607]  Again, it's, uh, and you're not harming, you know, you're, when you're, when you put sanctions on and all that, you're only harming the people.
[01:03:42.627 --> 01:03:45.468]  Do you think Fidel Castro misses a meal?
[01:03:46.542 --> 01:03:51.385]  Do you think somehow our sanctions make his life somehow more demanding?
[01:03:51.785 --> 01:03:52.106]  No!
[01:03:52.866 --> 01:04:01.631]  All you're doing is hurting the poor people of Cuba in not doing business with them and not attempting to raise everybody's lifestyle.
[01:04:01.691 --> 01:04:02.512]  It's a win-win.
[01:04:02.912 --> 01:04:05.414]  And these embargoes are not win-wins at all.
[01:04:06.007 --> 01:04:07.128]  Jesse, we know the truth.
[01:04:07.188 --> 01:04:11.271]  You just want to go surfing on those great beaches that supposedly have great waves.
[01:04:11.431 --> 01:04:12.772]  Well, I could do it anyway.
[01:04:12.852 --> 01:04:14.413]  All you gotta do is sneak in there.
[01:04:14.433 --> 01:04:15.774]  It's a game though.
[01:04:16.094 --> 01:04:18.376]  Why should, okay, we live in a free country.
[01:04:18.876 --> 01:04:23.500]  Why should I have my passport revoked from me if I decide I want to go to Cuba?
[01:04:24.229 --> 01:04:29.433]  By the way, I saw my four-year-old actually get up on a board this weekend at the Texas coast.
[01:04:29.973 --> 01:04:31.934]  But just for a second, she got up on it for a second.
[01:04:31.954 --> 01:04:32.555]  It was pretty neat.
[01:04:32.955 --> 01:04:40.340]  Oh, well, next time it'll be two seconds, and then it'll be three seconds, and before you know it, she'll be riding those waves all the way to shore.
[01:04:40.894 --> 01:04:43.475]  I tell you, serving's very addictive, isn't it, Jesse?
[01:04:43.495 --> 01:04:51.197]  Yes, it is, and it's very difficult, and people don't realize that it's a life dedication, and I love to say this.
[01:04:51.777 --> 01:04:56.178]  If people were that dedicated to a religion, would they call them religious bums?
[01:04:58.799 --> 01:05:00.439]  I'm as brown as a coconut from the beach.
[01:05:00.499 --> 01:05:01.600]  I love the beach itself.
[01:05:01.620 --> 01:05:02.200]  We'll be right back.
[01:05:03.618 --> 01:05:08.919]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[01:05:09.460 --> 01:05:17.842]  Check out SupernaturalSilver.com today, or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[01:05:18.042 --> 01:05:24.823]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[01:05:25.164 --> 01:05:30.585]  This new technology has proven itself to be a formidable weapon against bio-threats of today and tomorrow.
[01:05:30.905 --> 01:05:36.888]  The New Silver Solution Gel has been shown to disinfect topically and keep the area sanitized for up to four hours.
[01:05:37.208 --> 01:05:43.491]  The New Silver Solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[01:05:43.871 --> 01:05:48.253]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[01:05:48.533 --> 01:05:51.534]  Check out the patented New Silver Solution today.
[01:05:51.915 --> 01:05:55.156]  Click on the link and check out the uses for New Silver Solution.
[01:05:55.569 --> 01:06:00.260]  Order this extra line of defense today by going to SupernaturalSilver.com.
[01:06:00.400 --> 01:06:02.525]  That's SupernaturalSilver.com today!
[01:06:03.911 --> 01:06:12.575]  Many human illnesses can be attributed to the fact that soil in the United States no longer provides plants with the mineral elements which are essential to human nourishment.
[01:06:12.995 --> 01:06:17.717]  Studies have shown that a majority of Americans are seriously deficient in basic minerals.
[01:06:18.177 --> 01:06:22.800]  Deficiency in any one or more important minerals actually results in disease.
[01:06:23.220 --> 01:06:25.881]  Go to AmericanSuperfoods.com today!
[01:06:26.201 --> 01:06:26.641]  We're good to go.
[01:06:40.441 --> 01:06:41.402]  We're good to go.
[01:07:04.577 --> 01:07:10.161]  Pure high alkaline pH water is the most important factor in maintaining high energy and vibrant health.
[01:07:10.401 --> 01:07:14.704]  Most experts agree that the water you drink should be at a pH level of 8 or higher.
[01:07:14.964 --> 01:07:20.068]  AlkaVision Plasma pH Drops combine a unique formula of the most alkaline ingredients.
[01:07:20.568 --> 01:07:27.673]  Using Plasma pH Drops is one of the best ways to make your water alkaline, to help you get rid of acid and regain your health and energy.
[01:07:28.113 --> 01:07:32.997]  Simply put 10 drops per liter of water you drink to raise the pH to the ultimate level.
[01:07:33.477 --> 01:07:38.919]  Alkalizing water helps your body rid itself of acidic waste and increases the oxygen content of your body.
[01:07:39.299 --> 01:07:44.821]  Disease organisms like bacteria and cancer cannot survive in an alkaline, high pH environment.
[01:07:45.121 --> 01:07:50.844]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to AlkaVision.com.
[01:07:51.064 --> 01:07:53.565]  That's A-L-K-A Vision dot com.
[01:07:53.845 --> 01:07:54.545]  Or by calling 269-216-9767.
[01:07:54.565 --> 01:07:54.865]  269-216-9767 today!
[01:08:04.281 --> 01:08:06.444]  He's the T-Rex of political talk.
[01:08:07.045 --> 01:08:09.828]  Alex Jones on the GCN Radio Network.
[01:08:11.587 --> 01:08:12.968]  I was just talking to Governor Ventura.
[01:08:12.988 --> 01:08:14.609]  He might come in studio with us.
[01:08:14.629 --> 01:08:16.010]  I've already had him down in Austin once.
[01:08:16.110 --> 01:08:16.691]  Great guy.
[01:08:19.152 --> 01:08:24.276]  When he's driving down I-35 in his RV in September or October to go down to Mexico.
[01:08:24.917 --> 01:08:27.278]  And Jesse, you were telling me you've got a new t-shirt.
[01:08:28.059 --> 01:08:30.421]  Well, that's enough information, Alex.
[01:08:30.461 --> 01:08:32.902]  The listeners don't need to know no more than that.
[01:08:33.583 --> 01:08:34.383]  Oh, you're a secret.
[01:08:34.403 --> 01:08:37.926]  My new t-shirt that I wear now, it says, I got it down in the Baja.
[01:08:38.446 --> 01:08:40.588]  It says, won't work for anything.
[01:08:44.253 --> 01:08:46.314]  That's the lifestyle I'm living now.
[01:08:46.434 --> 01:08:47.774]  I won't work for anything.
[01:08:47.874 --> 01:08:54.858]  There's nothing that I can be offered that would require me to go to work and inspire me to do so, but there's a positive for that.
[01:08:55.498 --> 01:09:00.561]  Since I don't want to work anymore, that means I won't be taking up a job from somebody who does.
[01:09:01.693 --> 01:09:03.354]  Okay, I've got two more questions for them.
[01:09:03.374 --> 01:09:05.776]  We're going to take calls for the ten or so minutes we have left with you.
[01:09:05.936 --> 01:09:06.456]  Okay.
[01:09:06.476 --> 01:09:07.377]  We appreciate all the time.
[01:09:07.417 --> 01:09:09.338]  Make them easy so I can get to the callers.
[01:09:09.858 --> 01:09:16.983]  Okay, well now this is a heavy question and I was sitting there at the beach with my family this weekend thinking about this interview and I wrote these notes.
[01:09:17.903 --> 01:09:19.805]  What makes Jesse Ventura tick?
[01:09:19.825 --> 01:09:25.988]  But more than that, I was sitting there with the sun setting, with the moon up, watching the Texas coastline.
[01:09:27.273 --> 01:09:29.854]  And, you know, I was sitting there thinking, what is this planet?
[01:09:30.314 --> 01:09:31.815]  You know, what is the sun, the moon?
[01:09:31.835 --> 01:09:39.197]  We're in the middle of the galaxy in the universe, and we're these weird creatures, and we have children, and our lives are so short.
[01:09:39.757 --> 01:09:41.358]  And we're nothing but parasites.
[01:09:43.078 --> 01:09:45.259]  So I wanted to ask you... You've got to think about that, Alex.
[01:09:45.319 --> 01:09:46.700]  We give nothing back.
[01:09:46.800 --> 01:09:47.820]  We only use.
[01:09:49.704 --> 01:09:51.425]  Well, I think that's what every life form does.
[01:09:51.465 --> 01:09:53.187]  You'd see life itself as a parasite.
[01:09:53.207 --> 01:09:57.150]  So I wanted to ask... But wait, we have no parasite that eats us?
[01:09:58.551 --> 01:09:59.552]  Except ourselves?
[01:09:59.852 --> 01:10:01.513]  Ourselves, the super predator class.
[01:10:01.553 --> 01:10:02.494]  So that was my question.
[01:10:02.574 --> 01:10:03.935]  What makes Jesse Ventura tick?
[01:10:04.255 --> 01:10:07.878]  What do you think, you know, the end of the universe is?
[01:10:08.218 --> 01:10:09.139]  What is this all about?
[01:10:09.519 --> 01:10:12.541]  I don't know, you know, but I will just say this.
[01:10:12.982 --> 01:10:16.805]  I feel very fortunate right now that I live in a place half the year
[01:10:17.685 --> 01:10:21.686]  Where two, two really ecological systems meet.
[01:10:22.347 --> 01:10:24.047]  And that's the ocean and the desert.
[01:10:24.708 --> 01:10:27.989]  And that's a very rare thing to be able to see these two meet.
[01:10:28.709 --> 01:10:30.150]  And see the results of it.
[01:10:31.090 --> 01:10:40.313]  And it's a remarkable life to live and watch it, and the pace of it, because even though the pace is very slow, it's constantly changing.
[01:10:41.093 --> 01:10:42.454]  No day is ever the same.
[01:10:43.134 --> 01:10:44.455]  Even though they may appear to be.
[01:10:44.755 --> 01:10:45.195]  They're not.
[01:10:47.088 --> 01:10:55.791]  And that, you know, right now, I like the solitude of that life, and I like the life of exploring simple things a little bit.
[01:10:55.831 --> 01:11:05.053]  You know, I've been caught up all my whole career in front of crowds and in front of, you know, getting named notoriety and becoming quote-unquote this or that.
[01:11:05.614 --> 01:11:10.655]  And at this point in my life, I strive for a much more solitude, quiet existence.
[01:11:11.295 --> 01:11:12.556]  Well, you know, that's what I'm describing.
[01:11:12.596 --> 01:11:13.736]  Don't get old, Alex.
[01:11:14.808 --> 01:11:16.549]  And more than that, it's just experience.
[01:11:16.589 --> 01:11:17.749]  It's that hierarchy of needs.
[01:11:18.129 --> 01:11:25.671]  You've gotten fame and fortune and notoriety and been well-known and are more well-known today than ever, and so you don't need it as much.
[01:11:25.771 --> 01:11:43.396]  And in my own little small way, I sure wanted to be successful and sure wanted to be the big radio host, and now that people know me everywhere I go, even other countries, and I can't imagine as much fame as you've got, in a way it's a blessing, but it's also a curse, so I actually constantly
[01:11:44.116 --> 01:11:48.338]  Wanderlust about, I wish I could go get lost on some forgotten seashore.
[01:11:48.838 --> 01:11:52.579]  But then I feel sorry for... Well, the point is, Alex, you just have to do it.
[01:11:53.039 --> 01:12:02.783]  When you decide to make the move, which I did after teaching at Harvard, I just felt, you know, the window of opportunity of adventures closing on me because of Father Time.
[01:12:02.903 --> 01:12:10.646]  You know, you always remember that as an athlete, there's one opponent you'll never beat in the end, and that is time, no matter how great we all were at Harvard.
[01:12:10.666 --> 01:12:11.466]  Time the Great Avenger.
[01:12:12.153 --> 01:12:32.867]  You know, and so for me, it's a matter of just, you have to make a choice at some point, like I did, and go off on this adventure, and that's what I'm doing right now, and I'm not letting anything get in the way, and when I'm down there, I don't even pay attention to a lot of the things, you know, when I'm down there, I never hear the word terrorism.
[01:12:34.488 --> 01:12:35.068]  It's weird.
[01:12:35.589 --> 01:12:40.392]  And yet, when I come back to this country, not a day goes by that you don't hear that word.
[01:12:40.964 --> 01:12:43.927]  Well, that's clearly being used to control us.
[01:12:44.007 --> 01:12:47.731]  Well, it also creates a lifestyle of fear.
[01:12:48.852 --> 01:12:53.937]  And the life that I lead, believe it or not, down deep in Mexico is a lifestyle of total unfear.
[01:12:55.599 --> 01:13:01.205]  And there really is, the only fear is that you might get hit by a hurricane.
[01:13:01.829 --> 01:13:07.094]  One of the locals think while coming stomping out of the dooms is Jesse Ventura.
[01:13:07.294 --> 01:13:08.695]  They don't know me from anyone.
[01:13:08.775 --> 01:13:11.457]  I'm just a big gringo that can't speak good Spanish.
[01:13:12.919 --> 01:13:19.244]  That's all they know out of me because I don't dress in any provocative way when I'm down there.
[01:13:19.284 --> 01:13:24.669]  I wear old blue jeans and t-shirts and I'm barefoot as much as I possibly can be.
[01:13:25.558 --> 01:13:28.459]  And so I gained that freedom down there.
[01:13:28.519 --> 01:13:33.040]  Even when I go to town, there's no one there in town that ever recognizes me.
[01:13:33.100 --> 01:13:39.002]  I guess they don't watch Larry King and that stuff down there, so... But you're a character anywhere.
[01:13:39.022 --> 01:13:42.663]  I mean, you would draw attention anywhere just because... No, not really.
[01:13:42.763 --> 01:13:44.983]  Only because of the physical presence.
[01:13:45.623 --> 01:13:51.805]  And many, many times I'm told, even by tourists that I run into down there, is that they don't recognize me until I speak.
[01:13:52.623 --> 01:13:56.384]  So if I keep my big mouth shut, I can tend to stay anonymous a little bit.
[01:13:56.404 --> 01:13:57.345]  You know what it is?
[01:13:57.465 --> 01:14:02.367]  I think the image of you with the shaved head and the mustache is the more iconic one from the governor.
[01:14:02.807 --> 01:14:05.088]  And it's probably the long hair.
[01:14:05.108 --> 01:14:05.968]  It might be.
[01:14:06.008 --> 01:14:09.089]  Wait till I go back to the dreadlocks and the beard again.
[01:14:10.770 --> 01:14:19.413]  I rode my motorcycle that whole summer and was never once recognized on it all through Minnesota where I'd been governor a mere couple years before.
[01:14:19.955 --> 01:14:20.855]  Sounds good to me.
[01:14:21.435 --> 01:14:25.936]  Let's talk to... It's not the only thing they were doing where people were locking their doors at the stoplights.
[01:14:25.956 --> 01:14:30.157]  Because they thought I looked so sinister.
[01:14:30.738 --> 01:14:36.499]  Well, hey, you are a member of one of the more tough guys, sinister biking clubs, aren't you?
[01:14:36.999 --> 01:14:39.260]  Well, I used to be years and years ago.
[01:14:39.280 --> 01:14:41.660]  You know, I left in 1975.
[01:14:41.780 --> 01:14:44.261]  I was part of the Black and White, which is the Mongols.
[01:14:45.481 --> 01:14:48.722]  And we carry a bit of a reputation.
[01:14:50.674 --> 01:14:56.559]  I don't know, but that was just another life that I decided when I came out of the Navy to try it out for a while.
[01:14:57.079 --> 01:14:58.000]  Another adventure.
[01:14:58.240 --> 01:14:59.742]  Another adventure, absolutely.
[01:14:59.822 --> 01:15:01.963]  What's life without adventures, you know?
[01:15:02.324 --> 01:15:06.127]  I don't want to, Alex, get to 75 and say woulda, coulda, shoulda.
[01:15:06.687 --> 01:15:07.948]  I agree with you, absolutely.
[01:15:07.968 --> 01:15:08.469]  That's what we like.
[01:15:08.489 --> 01:15:11.091]  You've got to live life and go out there and experience things.
[01:15:11.511 --> 01:15:12.772]  We're going to jam a few more calls in.
[01:15:12.792 --> 01:15:13.353]  Quickly call us.
[01:15:13.373 --> 01:15:13.853]  Absolutely.
[01:15:14.154 --> 01:15:14.934]  Mark in Oregon.
[01:15:14.954 --> 01:15:15.295]  Go ahead.
[01:15:15.315 --> 01:15:16.415]  You're on the air with Jesse Ventura.
[01:15:16.435 --> 01:15:16.736]  Go ahead.
[01:15:17.543 --> 01:15:18.404]  Yeah, hello, Alex.
[01:15:18.484 --> 01:15:19.945]  Hello, Governor Ventura.
[01:15:19.965 --> 01:15:20.585]  Hi, Mark.
[01:15:22.226 --> 01:15:35.215]  Governor, I have respect for you, and please don't think I don't, but, you know, I've been listening to this advertisement for the Obama deception film that Alex has made for
[01:15:36.027 --> 01:15:38.428]  Some months now, because Alex plays it regularly.
[01:15:38.788 --> 01:15:39.689]  Okay, well listen, listen.
[01:15:39.729 --> 01:15:41.610]  Call her, call her, call her.
[01:15:42.710 --> 01:15:49.274]  Listen, I'm going to put you on hold, because it's about another film, and I don't want to get off into other stuff right now, you know, here on the air.
[01:15:49.354 --> 01:15:50.974]  I want to just hurry through these calls.
[01:15:51.235 --> 01:15:51.575]  Okay.
[01:15:51.595 --> 01:15:52.215]  Okay, Mark, Mark.
[01:15:52.235 --> 01:15:54.416]  Because I don't know the film, so I don't know how to tell you.
[01:15:54.436 --> 01:15:55.977]  Yeah, let's go to Mark in Pennsylvania.
[01:15:56.357 --> 01:15:57.858]  Mark in Pennsylvania, you're on the air.
[01:15:57.898 --> 01:15:58.298]  Go ahead.
[01:15:58.318 --> 01:15:58.878]  Hi, Mark.
[01:16:00.019 --> 01:16:00.239]  Hello.
[01:16:00.739 --> 01:16:03.100]  I'm very honored to be part of the show today.
[01:16:03.161 --> 01:16:03.861]  Thank you very much.
[01:16:04.932 --> 01:16:10.834]  Thank you, Mr. Ventura, for being a patriot and for being a guardian of the principles and ideas that this country was founded upon.
[01:16:11.194 --> 01:16:12.634]  Well, I just like my freedom.
[01:16:12.654 --> 01:16:16.135]  You know, I like to do what I like to do and be uninhibited doing it.
[01:16:17.916 --> 01:16:19.936]  I have a couple of comments and then a question.
