[00:00:00.429 --> 00:00:00.970]  Impossible.
[00:48:19.670 --> 00:48:19.950]  Wow.
[00:48:20.311 --> 00:48:21.351]  I've been calling him for a while.
[00:48:22.972 --> 00:48:23.152]  Yeah.
[00:48:24.772 --> 00:48:28.175]  I really appreciate everything that you guys are doing.
[00:48:28.715 --> 00:48:34.499]  It's interesting, like, my dad, Roger Friedman, was on the Brady Plan.
[00:48:35.019 --> 00:48:36.580]  He wrote The Brain Trust for it.
[00:48:36.620 --> 00:48:47.227]  He was, like, best friends with Peter Grace, and one of the founders of the Bilderberg Group, and head of the Knights of Malta, and had, like, a really, well, interesting childhood.
[00:48:47.247 --> 00:48:51.330]  I'm not going to get into all that, but, yeah, I mean, you were talking about the eugenics and stuff.
[00:48:51.350 --> 00:48:52.211]  It's just crazy.
[00:48:52.431 --> 00:48:53.872]  I read the Medical Apartheid book.
[00:48:54.851 --> 00:49:03.377]  I'm here in Southern California and I listen to your show every day because I have a home office and it's totally like you said.
[00:49:03.397 --> 00:49:12.023]  I mean I'm up in the hills of California right above Los Angeles and I could see them come and do the spraying because I know where the military base is.
[00:49:12.083 --> 00:49:13.344]  It's off kind of like
[00:49:14.329 --> 00:49:16.231]  I want to see it to the west.
[00:49:30.928 --> 00:49:45.840]  And that, you know, it's a figment of our imagination, is utterly ludicrous and, quite frankly, disgusting that humanity allows it to happen, to have us be ostracized and demonized for pointing out something that is so relatively easy to be seen in the skies as the planes put them up.
[00:49:47.281 --> 00:49:48.102]  Totally crazy.
[00:49:48.302 --> 00:49:49.383]  Like, exactly.
[00:49:49.403 --> 00:49:50.184]  It's so true.
[00:49:50.224 --> 00:49:56.709]  I mean, they... You can't even get information on it, I mean, except for stuff that, um, you know, journalists, you know,
[00:49:57.443 --> 00:50:05.626]  Hardcore journalists like yourself dig out and I mean this sky is like perfectly clear every day and then it's just filled with tic-tacs and you see them.
[00:50:05.646 --> 00:50:08.207]  There's these weird satellites, right?
[00:50:08.267 --> 00:50:10.808]  Satellite dishes right on like the 5 and the 210 highways.
[00:50:12.717 --> 00:50:20.984]  And you'll see clouds in like totally strange geometrical shapes that are just unnatural, like right by where the satellites are.
[00:50:21.064 --> 00:50:22.345]  Well, you gotta wonder what they're doing.
[00:50:22.365 --> 00:50:23.546]  I mean, is that a part of HAARP?
[00:50:23.626 --> 00:50:24.147]  I don't know.
[00:50:24.227 --> 00:50:26.629]  I know they're spraying something in the air and you can see it.
[00:50:27.249 --> 00:50:29.291]  And it's got aluminum oxide and barium in it.
[00:50:29.391 --> 00:50:30.132]  More heavy metals.
[00:50:30.232 --> 00:50:31.793]  What is going on in this country?
[00:50:31.833 --> 00:50:33.214]  What is going on in this world?
[00:50:33.394 --> 00:50:34.615]  We'll be back after this.
[00:50:34.635 --> 00:50:36.357]  It's the Alex Jones Show.
[00:50:36.397 --> 00:50:38.679]  PrisonPlanet.tv, InfoWars.com.
[00:50:44.218 --> 00:50:45.763]  Thank you for listening to GCN.
[00:50:46.727 --> 00:50:49.054]  Be sure to visit GCNlive.com today.
[00:50:51.923 --> 00:50:53.483]  Hello friends, this is Alex Jones.
[00:50:53.623 --> 00:50:58.244]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:50:58.344 --> 00:51:01.105]  We need to be independent, and food and water is the key.
[00:51:01.305 --> 00:51:04.166]  You'll never have to stand in a bread line if you have your own bread.
[00:51:04.346 --> 00:51:10.227]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[00:51:10.427 --> 00:51:13.387]  No one is going to take care of your family in the final equation but you.
[00:51:13.667 --> 00:51:16.288]  You know eFoodsDirect.com is still able to shift storable
[00:51:16.548 --> 00:51:17.028]  I think so.
[00:51:46.688 --> 00:51:47.688]  Take action today.
[00:51:47.828 --> 00:51:49.649]  The first step is getting storable food.
[00:51:54.610 --> 00:51:56.510]  Waging war on corruption.
[00:51:56.990 --> 00:51:59.771]  Alex Jones on the GCN Radio Network.
[00:52:25.251 --> 00:52:25.991]  All right, folks.
[00:52:26.111 --> 00:52:28.672]  Well, we've been covering this story since it broke.
[00:52:29.812 --> 00:52:36.114]  I had my cop buddy on the line over break and I talked to him and he was confirming four deaths to me.
[00:52:36.754 --> 00:52:39.775]  And now CNN is reporting at least 12 dead.
[00:52:40.535 --> 00:52:42.376]  CVS is saying 13 are dead.
[00:52:43.036 --> 00:52:44.996]  I don't know if the gunman is still at large.
[00:52:46.377 --> 00:52:47.977]  No, the gunman is amongst the dead.
[00:52:48.417 --> 00:52:49.738]  It looks like law enforcement
[00:52:51.101 --> 00:52:56.374]  Law enforcement got to him, but that's 13 confirmed dead right now after this hostage taking.
[00:52:59.141 --> 00:53:02.522]  First of all, it scares me because it is very close to home where I am.
[00:53:02.922 --> 00:53:08.164]  Second of all, it scares me for the implications of this and much more gun restriction.
[00:53:08.204 --> 00:53:12.465]  I mean, it's mainstream news now out of Colorado and elsewhere.
[00:53:12.485 --> 00:53:25.029]  We had a caller calling from Oregon yesterday that ammunition, because people are worried, because people see what's going on with the economic strife, they're not sure if they're going to have a house, if they're going to be dealt with fairly, ammo's gone through the roof.
[00:53:25.669 --> 00:53:27.350]  It's up two to three hundred percent in sales.
[00:53:28.430 --> 00:53:30.591]  We did cover all those stories of all the firearms they sold.
[00:53:30.651 --> 00:53:38.794]  It seems like the only small business owners in this country that are making any scratch at this point are the gun dealers and the ammo dealers.
[00:53:39.855 --> 00:53:52.380]  And I would really hate for more regulations, more restrictions to come on regular American citizens because of what one person did.
[00:53:52.440 --> 00:53:54.121]  I mean, again, we don't have all the facts on this.
[00:53:55.103 --> 00:54:03.169]  I'm sure a lot of this will flesh out over the weekend, and Alex will probably be covering it on the Sunday program.
[00:54:04.429 --> 00:54:06.211]  Alright, let's continue to take your calls.
[00:54:06.231 --> 00:54:08.792]  We are on Paula in Illinois.
[00:54:08.872 --> 00:54:09.713]  Paula, you're on the line.
[00:54:10.854 --> 00:54:11.134]  Hello.
[00:54:11.955 --> 00:54:17.358]  Hey, I listen to Alex just about every day, except for when he gets those right-wing Christians on, I can't handle it.
[00:54:17.819 --> 00:54:21.181]  But I have a little bit different perspective I want to share with you.
[00:54:21.201 --> 00:54:22.021]  Okay, go ahead.
[00:54:22.742 --> 00:54:23.763]  I think that we've had a
[00:54:24.998 --> 00:54:26.299]  Uh, a world order.
[00:54:26.459 --> 00:54:29.821]  Well, we've had a world currency since the end of World War II with Bretton Woods.
[00:54:29.901 --> 00:54:31.222]  It's just that it's been the dollar.
[00:54:31.602 --> 00:54:41.248]  A gold standard in 1972, they immediately aligned with Saudi Arabia to have oil back the dollar.
[00:54:41.288 --> 00:54:45.530]  So the dollar has been the de facto world currency since 1945.
[00:54:46.351 --> 00:54:49.473]  What I think we're seeing now is the other countries rebelling.
[00:54:49.933 --> 00:54:51.174]  And the same with, um,
[00:54:51.653 --> 00:54:54.775]  The same with the corporations ruling the world.
[00:54:54.815 --> 00:54:55.896]  That's not new.
[00:54:56.016 --> 00:55:08.406]  That's happened since 1945, with IMF and the World Bank coming in and ruling the third world countries for the benefit of US capital and also international capital.
[00:55:09.126 --> 00:55:19.314]  And what the New World Order that Bush was talking about was when the Soviet Union was no longer around, that the United States would then control the entire world, both militarily, economically,
[00:55:20.639 --> 00:55:23.262]  I think the New World Order has been around for a long time, is what I'm saying.
[00:55:23.282 --> 00:55:23.522]  No, I agree.
[00:55:23.542 --> 00:55:25.044]  It's not that they're trying to put it in.
[00:55:25.905 --> 00:55:26.585]  We've had it.
[00:55:26.705 --> 00:55:27.206]  We've had it.
[00:55:27.226 --> 00:55:30.369]  It's just that as Americans, we haven't really... They're announcing it more.
[00:55:30.489 --> 00:55:31.831]  You know what I mean?
[00:55:32.512 --> 00:55:34.994]  Obviously, it's been in the works for over a hundred years.
[00:55:35.235 --> 00:55:37.277]  We highlighted Hitler's book, H.G.
[00:55:37.317 --> 00:55:39.960]  Wells' book, all these institutions that you just talked about.
[00:55:40.220 --> 00:55:41.661]  You didn't talk about some of the other ones.
[00:55:42.142 --> 00:55:42.823]  I don't see it that way.
[00:55:42.843 --> 00:55:44.204]  I see it as a staged mechanism like Sarkozy saying
[00:55:59.722 --> 00:56:01.543]  Oh, we're not going to get anything done.
[00:56:02.083 --> 00:56:03.924]  I'm going to leave this conference right now.
[00:56:04.185 --> 00:56:05.325]  And then he's smiling at the end.
[00:56:05.365 --> 00:56:12.249]  No, this is definitely, though, to shift gears away from the United States as being the dominant country.
[00:56:12.669 --> 00:56:14.230]  It's about globalism in that respect.
[00:56:14.250 --> 00:56:15.551]  I don't think it's anybody rebelling.
[00:56:15.891 --> 00:56:22.695]  I think it's the fact that the United States' time has come, and now we have to amalgamate it into the North American Union to further
[00:56:23.175 --> 00:56:24.616]  This globalization process.
[00:56:24.656 --> 00:56:26.338]  I think the New World Order is an idea.
[00:56:26.658 --> 00:56:27.659]  I think it's a process.
[00:56:27.999 --> 00:56:35.645]  I think that when you have world leaders like Gordon Brown at the G20 Summit actually announcing it, however, it's becoming more in the public eye.
[00:56:35.945 --> 00:56:41.110]  And you may see it as an actual institution or government organization in the near future.
[00:56:41.130 --> 00:56:42.231]  But have we been living under it?
[00:56:42.271 --> 00:56:45.153]  You're damn right we've been living under it for quite some time now.
[00:56:45.433 --> 00:56:46.614]  Paula, I thank you for the call.
[00:56:46.854 --> 00:56:51.938]  We're going to go to Veronica, John, Adam and others on the other side after we play a little Max Keiser.
[00:56:52.739 --> 00:56:55.741]  It's the Alex Jones Show, PrisonPlan.TV, InfoWars.com.
[00:57:02.204 --> 00:57:03.464]  Hi, this is Alex Jones.
[00:57:03.504 --> 00:57:08.847]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:57:09.087 --> 00:57:13.729]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[00:57:14.110 --> 00:57:19.132]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible that could even happen again.
[00:57:19.679 --> 00:57:24.381]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:57:24.901 --> 00:57:26.841]  They call it the Survival Seed Bank.
[00:57:27.222 --> 00:57:31.823]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:57:32.023 --> 00:57:32.923]  And here's the best part.
[00:57:33.144 --> 00:57:35.904]  These seeds have not been genetically modified in any way.
[00:57:36.205 --> 00:57:39.506]  And you actually get enough seeds to plant a full acre crisis garden.
[00:57:39.826 --> 00:57:42.667]  So visit them today at SurvivalSeedBank.com.
[00:57:43.007 --> 00:57:44.908]  That's SurvivalSeedBank.com.
[00:57:45.228 --> 00:57:46.148]  Or give them a call at 877-327-0365.
[00:57:49.807 --> 00:57:51.588]  That's 877-327-0365.
[00:57:52.769 --> 00:57:58.553]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:57:58.874 --> 00:58:01.315]  This is Alex Jones for SurvivalSeedBank.com.
[00:58:02.496 --> 00:58:07.820]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:58:08.321 --> 00:58:15.326]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:58:15.882 --> 00:58:22.084]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:58:22.464 --> 00:58:24.304]  Well, Obama's already fudging.
[00:58:24.444 --> 00:58:26.865]  He's fudged since day one in this election.
[00:58:26.945 --> 00:58:37.888]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:58:38.513 --> 00:58:39.814]  It's not about left or right.
[00:58:40.194 --> 00:58:41.574]  It's about a one-world government.
[00:58:42.035 --> 00:58:48.377]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:58:48.957 --> 00:58:56.741]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:58:57.221 --> 00:58:58.361]  The Obama Deception.
[00:58:58.781 --> 00:58:59.982]  The people strike back.
[00:59:02.020 --> 00:59:04.941]  Have you ever thought about what's in your shampoo, soap, or detergent?
[00:59:05.102 --> 00:59:10.364]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[00:59:10.624 --> 00:59:15.967]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[00:59:16.347 --> 00:59:17.467]  Hi, this is Alex Jones.
[00:59:17.828 --> 00:59:26.732]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membranes.
[00:59:27.132 --> 00:59:28.774]  Now compare a Calben Pure Soap.
[00:59:28.974 --> 00:59:33.139]  All natural, earth friendly, no harsh chemicals, no animal testing.
[00:59:33.179 --> 00:59:37.824]  They're safe and you save 85% of the money you're spending on cleaning products now.
[00:59:38.205 --> 00:59:39.887]  Start saving over $1,000 a year for your family of four.
[00:59:42.049 --> 00:59:42.810]  Keep it natural.
[00:59:43.130 --> 00:59:51.295]  Call Calbin Pure Soap for a free catalog at 1-800-340-7091 or log on to 5starsoap.com.
[00:59:51.515 --> 00:59:57.018]  Try Calbin Pure Soaps and I'll bet you'll never use any other cleaning products again.
[00:59:57.578 --> 01:00:00.680]  Call 1-800-340-7091 for all your cleaning needs.
[01:00:03.082 --> 01:00:05.243]  He's the T-Rex of political talk.
[01:00:05.843 --> 01:00:08.705]  Alex Jones on the GCN Radio Network.
[01:00:13.637 --> 01:00:16.570]  Yeah.
[01:00:18.175 --> 01:00:20.316]  Alright folks, we are back at the Alex Jones Show.
[01:00:20.376 --> 01:00:21.616]  I'm Jason Burmas sitting in.
[01:00:22.136 --> 01:00:24.417]  We're live at PrisonPlanet.tv right now.
[01:00:24.437 --> 01:00:28.298]  We're going to continue to go to your calls, Veronica, John, Adam, and Mark.
[01:00:28.318 --> 01:00:31.600]  But first, I want to play this Max Keiser on Paris TV clip.
[01:00:32.260 --> 01:00:33.360]  Folks, he sets it all here.
[01:00:33.460 --> 01:00:43.804]  He names the criminals, who they are, what should be done to them, and how they are controlling this implosion of the economy like a controlled demolition coup d'etat.
[01:00:43.884 --> 01:00:44.484]  Hit it, Jaren.
[01:00:45.970 --> 01:00:51.019]  Well, joining me now on the phone is Max Keiser, the journalist and broadcaster, live from Paris in France.
[01:00:51.080 --> 01:00:54.286]  Max, Goldman and Morgan now subject to regulation.
[01:00:54.446 --> 01:00:58.533]  Isn't this what critics of their highly geared dealing have been demanding for years?
[01:01:01.010 --> 01:01:02.311]  I'm not so sure, Ashton.
[01:01:02.331 --> 01:01:07.336]  I think this is a great way for them now to hide any close examination of their books.
[01:01:07.456 --> 01:01:09.938]  I think this is actually in the cards from the beginning.
[01:01:10.219 --> 01:01:13.081]  Because, as you know, Morgan and... J.P.
[01:01:13.121 --> 01:01:17.926]  Morgan and Goldman Sachs have been involved in a tremendous amount of...
[01:01:18.606 --> 01:01:21.147]  Let's call it euphemistically money laundering over the years.
[01:01:21.647 --> 01:01:32.050]  And now by becoming a commercial bank, I believe that this is going to insulate themselves from any real close examination because they're going to be behind the firewall, behind Hank Paulson's firewall.
[01:01:32.230 --> 01:01:34.971]  You know, Hank Paulson has effectively hijacked the U.S.
[01:01:35.011 --> 01:01:35.691]  financial system.
[01:01:35.711 --> 01:01:38.492]  He's no different than the 9-11 hijackers as far as I'm concerned.
[01:01:38.872 --> 01:01:41.313]  He's a financial terrorist and he's taken the U.S.
[01:01:41.353 --> 01:01:46.955]  banking system to the edge of the abyss, all for the benefit of the shareholders and his cronies.
[01:01:47.936 --> 01:02:06.134]  But doesn't the new regulatory provision, because they will now be holding companies, mean that we can expect loads of SEC, US Treasury officials all flying around the world to Morgan Stanley and Goldman Sachs' offices, checking all the records, interviewing the staff, checking on probity?
[01:02:08.325 --> 01:02:26.973]  Yes, but at the same time, as this coup d'etat has taken place and given Hank Paul some dictatorial powers to determine what is fact, the information that should be disclosed or not disclosed, combine that with Bush's dictatorial powers to declare a state of emergency at the drop of a hat, I don't think any of this information is going to see the light of day.
[01:02:27.233 --> 01:02:31.234]  It's just like, you remember Building 7 on 9-11 is where they had all those Enron records?
[01:02:33.355 --> 01:02:38.357]  Those twin towers collapsing was kind of a cover to keep those records from being examined.
[01:02:38.917 --> 01:02:42.258]  These guys will stop at nothing to keep their dirty laundry a secret.
[01:02:43.859 --> 01:02:52.422]  Even all the auditing companies, all the auditing companies that now these banks will have to be scrutinized by under federal law?
[01:02:53.991 --> 01:02:55.272]  To what auditing companies?
[01:02:55.432 --> 01:03:02.594]  The ones that have been discredited for the last ten years and gone out of business, like Arthur Anderson, who's auditing Enron, for example?
[01:03:02.835 --> 01:03:07.336]  The auditing companies, the rating agencies, the Treasury Department, the Federal Reserve Bank, this is a criminal syndicate.
[01:03:07.376 --> 01:03:08.877]  This should be investigated under RICO.
[01:03:09.197 --> 01:03:12.098]  These guys are wholesale thieving of trillions of dollars.
[01:03:12.738 --> 01:03:18.701]  The rest of the world, unfortunately, or fortunately, will wake up to the fact that they should probably get out.
[01:03:19.241 --> 01:03:19.701]  Of the U.S.
[01:03:19.741 --> 01:03:25.544]  dollar, because that's the only tether between the rest of the world and this criminal syndicate on Wall Street headed up by Hank Paulson.
[01:03:25.824 --> 01:03:32.667]  So once they figure that out, the dollar goes into permanent decline, and the rest of the world will escape this nightmare of U.S.
[01:03:32.847 --> 01:03:33.407]  banking.
[01:03:34.168 --> 01:03:37.289]  You know, Hank Paulson has become kind of like a Colonel Kirk's character.
[01:03:37.309 --> 01:03:38.230]  He's gone insane.
[01:03:38.630 --> 01:03:39.570]  Nobody can stop him.
[01:03:39.630 --> 01:03:46.073]  They need to send like a Martin Sheen guy up the river to find him and take him out, because he's taking the entire U.S.
[01:03:46.113 --> 01:03:47.894]  economy into oblivion.
[01:03:48.625 --> 01:03:51.947]  At the very least, will they at least have to pay more tax?
[01:03:52.067 --> 01:03:58.029]  Because after so many years, people have been saying the Goldman Partners, when it was a partnership, they paid very little tax.
[01:04:01.791 --> 01:04:07.894]  Are they going to be extradited from some low-tax country with a non-extradition agreement?
[01:04:07.914 --> 01:04:09.715]  They're not going to stick around in the U.S.
[01:04:09.735 --> 01:04:14.097]  when the Americans are going to have their pitchforks ready to go in and take back their country.
[01:04:14.117 --> 01:04:15.377]  They're not going to stick around for that.
[01:04:15.457 --> 01:04:16.978]  That's for somebody else to do.
[01:04:17.779 --> 01:04:21.000]  Will the poor of America now be able to open current accounts?
[01:04:21.060 --> 01:04:24.862]  Grandmothers with, you know, $10 to spare at Goldman Sachs brunch.
[01:04:29.084 --> 01:04:32.926]  Ashton, I don't think you're getting the full picture here.
[01:04:33.526 --> 01:04:44.911]  In order to bail out these crooks, the Treasury and the Federal Reserve will flood the economy with trillions of dollars, which will take the value of the dollar down to zero.
[01:04:45.311 --> 01:04:48.912]  Sure, you can open an account at Goldman Sachs with your $100 retirement fund.
[01:04:48.952 --> 01:04:52.893]  Unfortunately, that $100 won't buy you toilet paper.
[01:04:53.253 --> 01:04:57.114]  Toilet paper is going to be, you know, this is more valuable than the U.S.
[01:04:57.134 --> 01:04:58.935]  dollar in a few weeks' time.
[01:04:59.515 --> 01:05:00.235]  $100 a sheet.
[01:05:00.295 --> 01:05:00.555]  This is $100.
[01:05:00.595 --> 01:05:03.096]  I can make dollars right here all I want.
[01:05:03.116 --> 01:05:03.296]  Here's $1,000.
[01:05:03.436 --> 01:05:04.936]  Here's $5,000.
[01:05:05.236 --> 01:05:05.376]  Here's $1,000,000.
[01:05:05.517 --> 01:05:08.177]  It's all going to complete zero.
[01:05:08.217 --> 01:05:09.438]  It's like the Weimar Republic.
[01:05:09.678 --> 01:05:10.998]  They'll say, have all the money you want.
[01:05:11.058 --> 01:05:11.678]  How did they do that?
[01:05:11.698 --> 01:05:12.979]  $500 billion doesn't make any difference.
[01:05:14.599 --> 01:05:15.521]  We're just all worthless!
[01:05:15.741 --> 01:05:18.186]  How did they pick this $700 billion figure anyway?
[01:05:18.226 --> 01:05:23.977]  Because there were some estimates of $1.3 trillion, then there was a $500... Where were they getting these numbers from?
[01:05:26.391 --> 01:05:32.155]  The $700 billion is an arbitrary sum, and it's not the extent to which they can launder this money.
[01:05:32.195 --> 01:05:36.198]  It just means that they can't go exceed that level at any given moment of the laundering scheme.
[01:05:36.419 --> 01:05:37.379]  Let me tell you how it works.
[01:05:37.780 --> 01:05:48.448]  In other words, they got the $700 billion slush fund, they can buy a mortgage for 50 cents on the dollar to help out their banking buddies, and then they can resell it for some other chump for 20 cents on the dollar, book a loss.
[01:05:48.968 --> 01:05:56.152]  For the American public, take it off the $700 billion, excuse me, $700 billion slush fund, and then repeat the process over and over again.
[01:05:56.232 --> 01:06:04.217]  And they can keep the circular motion of this money laundering scheme, multi-national Ponzi scheme going, but now it's like, it's a controlled demolition.
[01:06:04.257 --> 01:06:06.739]  It's not unlike 9-11, which was a controlled demolition.
[01:06:07.099 --> 01:06:08.820]  This is a controlled demolition of the U.S.
[01:06:08.840 --> 01:06:09.480]  banking system.
[01:06:09.940 --> 01:06:13.803]  Hank Paulson has become the arsonist and pyromaniac in chief.
[01:06:14.203 --> 01:06:15.043]  His job is to
[01:06:16.604 --> 01:06:17.924]  Floor by floor, take the U.S.
[01:06:17.964 --> 01:06:19.365]  banking system down, take the U.S.
[01:06:19.405 --> 01:06:26.147]  dollar down to its absolute zero, and do so without upsetting his Chinese masters, his Middle Eastern masters.
[01:06:26.587 --> 01:06:27.527]  And he's a tyrant!
[01:06:27.607 --> 01:06:31.849]  Under the Constitution, Hank Paulson qualifies as a tyrant and should be taken up on charges.
[01:06:31.909 --> 01:06:39.731]  Under the Constitution, it's a constitutional obligation of every American to get Hank Paulson into a court of law as a tyrant!
[01:06:40.185 --> 01:06:42.327]  Well, you were talking about a question of timing.
[01:06:43.208 --> 01:06:45.329]  By the way, Building 7 is a bit more controversial.
[01:06:45.830 --> 01:06:47.631]  We'll have to save that for another time.
[01:06:48.132 --> 01:06:59.461]  But as to the timing, as long as the Chinese don't withdraw their dollars, does that mean that they could just stave off a real systemic economic collapse in the United States till after the election?
[01:07:02.515 --> 01:07:07.779]  I think that the word from China was that they were going to start dumping U.S.
[01:07:07.819 --> 01:07:08.219]  dollars.
[01:07:32.515 --> 01:07:33.856]  Let's continue to go to your calls.
[01:07:33.896 --> 01:07:35.858]  I believe we are on Veronica in Canada.
[01:07:35.898 --> 01:07:36.918]  Veronica, you're on the line.
[01:07:37.479 --> 01:07:37.999]  Hi, Jason.
[01:07:38.019 --> 01:07:38.339]  How are you?
[01:07:38.740 --> 01:07:38.960]  Good.
[01:07:39.500 --> 01:07:39.881]  That's good.
[01:07:40.281 --> 01:07:45.284]  I work at a health food store, and I'm always trying to inform everybody about silver.
[01:07:45.305 --> 01:07:48.127]  Because silver, that can kill a lot of things.
[01:07:48.227 --> 01:07:49.307]  It can kill the aging flu.
[01:07:50.809 --> 01:07:52.650]  The colloidal silver is what you're talking about, right?
[01:07:53.030 --> 01:07:53.591]  Yeah, that's right.
[01:07:54.591 --> 01:07:55.532]  And ionic as well.
[01:07:57.053 --> 01:07:59.895]  And we got this letter at the store last night.
[01:08:00.035 --> 01:08:00.696]  It's a short letter.
[01:08:01.620 --> 01:08:02.460]  Please be informed.
[01:08:02.840 --> 01:08:10.442]  Now, I don't know if it's just from the supplier or not, but this is from our supplier, but I don't know if they're the only supplier that got this letter or not.
[01:08:10.962 --> 01:08:15.083]  Please be informed that effective immediately... Excuse me.
[01:08:15.523 --> 01:08:21.845]  You are to withhold your entire inventory of Silver Solution products from Mission Falls Ionic Silver Solution from retail sale.
[01:08:22.425 --> 01:08:25.405]  This is a directive that has been issued to us straight from Health Canada.
[01:08:25.966 --> 01:08:27.886]  I'm sorry, my voice went all of a sudden.
[01:08:28.564 --> 01:08:29.625]  You know, I've been hearing this.
[01:08:29.665 --> 01:08:36.650]  I actually got a couple of calls before you on my other show, and I thank you for the call, Veronica, that they seem to be regulating colloidal silver.
[01:08:36.990 --> 01:08:43.195]  And a lot of people have said, you know, this kills a lot of things like bird flu, Morgellons, and other types of diseases.
[01:08:43.215 --> 01:08:47.057]  So is this them trying to restrict our access to something that will keep us healthy?
[01:08:47.518 --> 01:08:48.298]  More than likely.
[01:08:48.639 --> 01:08:50.320]  If you have anything more, if you know that this is
[01:08:50.620 --> 01:08:51.460]  Let's jump to our next caller.
[01:08:51.540 --> 01:08:53.441]  Let's go to John in California.
[01:08:53.461 --> 01:08:54.361]  John, you're on the air.
[01:08:54.561 --> 01:08:55.701]  Hey, it's all Burmese all the time, man.
[01:08:55.721 --> 01:08:56.461]  This is great.
[01:08:56.481 --> 01:08:56.941]  How you doing?
[01:09:20.755 --> 01:09:23.216]  Um, so I wanted to say thanks for everything.
[01:09:23.336 --> 01:09:26.456]  I've been pretty much using all your resources, all the Prison Planet TV stuff.
[01:09:26.516 --> 01:09:29.617]  I've been going through Tarpley's books, now I'm reading Russ Baker's Bush book.
[01:09:30.577 --> 01:09:34.338]  Man, what an amazing, amazing, amazing compilation that is.
[01:09:34.378 --> 01:09:42.740]  But I wanted to call and talk to you about, um, about the occult, you know, because I heard somebody call the other day and you were like, it's like white magic, black magic, this and that.
[01:09:43.000 --> 01:09:48.341]  And you know, I mean, a lot of people that do use magical type practices are
[01:09:49.434 --> 01:10:04.558]  Funnily enough, being validated by quantum science, because the behavioral type stuff that happens in say, like a magic spell or a meditation or whatever you want to call it, actually happens on the atomic level, and they're finding these things like these non-local principles,
[01:10:05.060 --> 01:10:06.301]  Um, in quantum physics, you know?
[01:10:06.321 --> 01:10:09.844]  So it's interesting, though, like, these mystery religions are being sort of validated.
[01:10:09.924 --> 01:10:10.745]  Well, let's just say this.
[01:10:10.885 --> 01:10:12.887]  I mean, let's put it in this perspective.
[01:10:13.067 --> 01:10:17.911]  Alchemy used to be, you know, not only, you know, this occult ritual type stuff, but it was science.
[01:10:18.212 --> 01:10:18.652]  You know what I mean?
[01:10:18.692 --> 01:10:19.773]  These things were intertwined back in the day.
[01:10:19.793 --> 01:10:21.595]  No doubt, no doubt, but it was meta-science, you know?
[01:10:21.675 --> 01:10:31.103]  And they would even say, like, there was people that thought that it was a code, you know, that alchemy, the search for the Rose Cross, for instance, was a code for a man having sex with a woman, becoming God, creating life.
[01:10:32.939 --> 01:10:37.544]  Also, I'm not giving validity or not, I'm just saying we do have freedom of religion under the Constitution.
[01:10:37.584 --> 01:10:54.560]  Oh yeah, and I'm not trying to control anyone's religious beliefs, I just put it out there that look, I'm not pro-occult either side, and I think a lot of people that do these white magic practices are kind of fooling themselves into believing they're part of a different spectrum of the people that do the black magic stuff.
[01:10:54.880 --> 01:10:55.281]  You know what I mean?
[01:10:55.481 --> 01:11:11.331]  Yeah, it's possible, but I mean, I was raised Catholic, like Roman Catholic, and I didn't dig on it at all, so... And then I started to do some of this, like, ritual magic type stuff, and I'm not super into it, but I've gone to some different masses and met a bunch of cool people, and I've really had some spiritual experiences that have, like, brought me cool things.
[01:11:11.771 --> 01:11:24.620]  So, what I'm saying is, like, you know, the word occult itself is kind of like, you know, there's no value judgment to have on it, just like globalism, you know, because I think that globalism, and I, not like the zeitgeist thing, or certainly not killing 90% of us,
[01:11:27.102 --> 01:11:28.486]  Have you ever read Buckminster Fuller?
[01:11:30.310 --> 01:11:30.790]  No, I haven't.
[01:11:30.810 --> 01:11:33.371]  Man, this guy's book's called Synergetics and Synergetics 2.
[01:11:33.431 --> 01:11:41.513]  He basically, I mean, he invented the geodesic dome and all these different metals that are banned for use because they would be too strong, you know?
[01:11:42.173 --> 01:11:42.613]  Interesting.
[01:11:43.234 --> 01:11:44.434]  John, I thank you for the call.
[01:11:44.534 --> 01:11:45.774]  I'll definitely check it out.
