[00:00:04.195 --> 00:00:09.617]  The web, efoodsdirect.com, 800-409-5633.
[00:46:45.526 --> 00:46:50.029]  Some of the contributors to poor health are parasites, viruses, toxins, and heavy metals.
[00:46:50.189 --> 00:46:51.610]  It's a documented fact.
[00:46:52.470 --> 00:46:59.074]  80% of all Americans and 85% of people around the world suffer from internal parasites and parasitic infection.
[00:46:59.254 --> 00:47:11.081]  Now you can fight internal parasites, heavy metals, and high cholesterol naturally and safely by mixing fossilized phytoplankton powder, also known as FPP, with your favorite beverage once a day.
[00:47:11.341 --> 00:47:15.003]  FPP is now available to you from FreshwaterOrganics.com.
[00:47:15.603 --> 00:47:18.004]  A two-month supply starts at just $17.
[00:47:18.745 --> 00:47:22.427]  FPP is so affordable you can't afford to do without.
[00:47:22.467 --> 00:47:25.929]  Visit FreshwaterOrganics.com or call them toll-free at 888-949-3570.
[00:47:25.969 --> 00:47:26.509]  That's 888-949-3570.
[00:47:26.529 --> 00:47:29.691]  You're listening to GCN, the Genesis Communications Radio Network.
[00:47:51.752 --> 00:47:54.713]  That's right, take the Prozac!
[00:48:22.022 --> 00:48:22.322]  Yes!
[00:48:23.003 --> 00:48:28.127]  Put the whole population on drugs and cause people to go completely psychopathic and murder their families.
[00:48:30.570 --> 00:48:33.792]  And then disarm the American people so they can't defend themselves.
[00:48:37.556 --> 00:48:38.937]  Sanitarium!
[00:48:40.218 --> 00:48:41.339]  Just leave me alone!
[00:48:59.187 --> 00:48:59.967]  Alex, thanks for taking my call.
[00:49:00.027 --> 00:49:00.687]  Uh, good news from Utah.
[00:49:00.707 --> 00:49:03.668]  We got a bill in the legislature to do away with the concealed and carry.
[00:49:33.294 --> 00:49:36.698]  Well, let me stop you there for a moment.
[00:49:37.299 --> 00:49:43.627]  You're saying you want Vermont-style concealed carry, where you don't have to get a license to have your Second Amendment, which turns a right into a privilege?
[00:49:43.647 --> 00:49:44.288]  Is that what you're saying?
[00:49:45.114 --> 00:49:45.414]  Right.
[00:49:45.514 --> 00:49:46.855]  It's something to do with that.
[00:49:46.875 --> 00:49:47.615]  It's similar.
[00:49:47.655 --> 00:49:48.695]  I was reading over the bill.
[00:49:48.775 --> 00:49:57.479]  It's... And all over the country they're putting in body scanners that 360 biometrically scan your naked body through your clothes and put it on a hard drive.
[00:49:57.519 --> 00:49:59.660]  And now they train you to take your shoes off.
[00:49:59.700 --> 00:50:02.301]  They train you not to have water, toothpaste, to be a good slave.
[00:50:02.621 --> 00:50:05.542]  They admit it's all part of basically dog training to train us to submit.
[00:50:05.962 --> 00:50:07.923]  And now they're going to train us to have our bodies scanned.
[00:50:08.903 --> 00:50:09.123]  Right.
[00:50:09.183 --> 00:50:12.284]  I was surprised that nobody spoke out on it.
[00:50:13.324 --> 00:50:14.524]  Well, people did speak out.
[00:50:14.564 --> 00:50:15.904]  The media just doesn't cover that.
[00:50:15.944 --> 00:50:19.445]  And again, they only make like maybe one out of ten people go through it.
[00:50:19.645 --> 00:50:21.405]  I'm not going through the thing.
[00:50:21.425 --> 00:50:33.027]  And I'm sure they'll taser me and maybe murder me in one of the airports, you know, if I dare to not want to have my body scanned naked or if I'm flying with my family, if I dare to not want to put my wife and children through it so the perverts in the government can have that.
[00:50:33.067 --> 00:50:34.447]  But, you know, I say pervert.
[00:50:34.467 --> 00:50:37.748]  The real reason is that machine 360 scans your whole body.
[00:50:38.368 --> 00:50:51.017]  And then, with the surveillance cameras and the rest of the system, even if you're wearing a mask, it knows your body's signature, and DARPA admits that's the, quote, secret weapon Bob Woodward talked about in his book late last year that they've deployed in Iraq.
[00:50:51.057 --> 00:50:51.877]  It's body scanners.
[00:50:52.798 --> 00:50:53.238]  Oh, wow.
[00:50:53.999 --> 00:50:55.680]  Well, the Obama deception was great.
[00:50:55.760 --> 00:51:00.443]  I saw it with my Prison Planet TV membership, and I just want to commend you on that.
[00:51:00.503 --> 00:51:05.747]  But the reason I called is Michael Wiener Savage, on the 4th of March,
[00:51:09.222 --> 00:51:16.690]  No, that's good.
[00:51:16.750 --> 00:51:18.632]  I mean, Savage is really coming a long way.
[00:51:19.192 --> 00:51:27.701]  He came out and documented that Obama's policies are like the Nazis in government policy, which is true, but he didn't point out the Republicans helped set it all up.
[00:51:28.536 --> 00:51:34.599]  And we did a story on that at Infowars.com, and I hope he comes all the way, but I did get emails about that.
[00:51:34.699 --> 00:51:35.299]  I didn't hear it.
[00:51:35.339 --> 00:51:37.340]  You mean he's talking about government-sponsored terrorism?
[00:51:37.880 --> 00:51:38.841]  Well, good for him then!
[00:51:38.881 --> 00:51:39.221]  Good!
[00:51:39.921 --> 00:51:48.686]  Well, I was really surprised to hear it, and I'm paraphrasing, but he said, a Reichstag-like event perpetrated by the government to justify a dictatorship.
[00:51:49.366 --> 00:51:50.867]  So I thought that was pretty big news.
[00:51:51.147 --> 00:51:52.067]  Well, that is big news.
[00:51:52.087 --> 00:51:53.408]  Somebody find the clip and send it to me.
[00:51:54.548 --> 00:51:55.649]  Well, hail Savage then.
[00:51:55.869 --> 00:51:56.789]  I appreciate the call.
[00:51:57.349 --> 00:51:59.731]  I mean, all I've wanted is these people to wake up and stand up.
[00:51:59.931 --> 00:52:22.922]  You know, I had Chuck Norris on for 35 minutes on Friday's show, and Chuck Norris, you know, we first had him on last year, and I found out, I knew years ago, and it had been one contact with him about a decade ago, and I knew that he was a listener of the show, but last time I had him on about five months ago, he said, no, I listen every week during a break when I was talking to him.
[00:52:23.547 --> 00:52:30.751]  This week he kind of said how great the show was, and I was a crusader, and he wants to defeat the New World Order and arrest the New World Order bankers.
[00:52:30.831 --> 00:52:33.673]  It was blowing me away Friday.
[00:52:34.393 --> 00:52:35.834]  In fact, that was a long interview.
[00:52:35.874 --> 00:52:38.135]  That's why I didn't have you guys clip it out.
[00:52:38.175 --> 00:52:39.056]  I forgot to tell you Friday.
[00:52:39.956 --> 00:52:42.337]  But he said that a couple times in the interview.
[00:52:43.558 --> 00:52:44.559]  Just see if you can find it.
[00:52:45.219 --> 00:52:48.441]  I know it's posted up at InfoWars.com, but there's just two of you in there.
[00:52:48.461 --> 00:52:52.203]  I don't know if we've got time at the end of the show to maybe pull a clip of Chuck Norris on the show.
[00:52:53.407 --> 00:52:55.068]  And that's a big deal, because the police love him.
[00:52:55.848 --> 00:52:58.130]  For all he's done for law enforcement charities and stuff.
[00:52:58.970 --> 00:53:01.511]  And all the movies glorifying the police he's made.
[00:53:02.172 --> 00:53:04.513]  And that's a big deal, having him come over against the New World Order.
[00:53:04.533 --> 00:53:06.934]  We're very excited about having Chuck Norris on board.
[00:53:08.335 --> 00:53:13.378]  And of course, I also woke up an even bigger Hollywood star.
[00:53:15.319 --> 00:53:16.459]  You do have the Savage clip?
[00:53:17.760 --> 00:53:19.021]  Really, how did you find it that fast?
[00:53:21.277 --> 00:53:21.977]  It's on YouTube?
[00:53:22.497 --> 00:53:23.338]  What's the name of the clip?
[00:53:29.339 --> 00:53:33.761]  He said, and so he went on it, it's called, uh, Michael Savage, New World Order, Agenda Exposed.
[00:53:34.821 --> 00:53:35.241]  You know what?
[00:53:35.301 --> 00:53:36.761]  We'll post that up on InfoWars.
[00:53:36.801 --> 00:53:38.242]  I'm not going to play his radio show here.
[00:53:39.022 --> 00:53:40.623]  It's fair use, but it gets into a gray area.
[00:53:40.683 --> 00:53:41.423]  I'm just not going to do it.
[00:53:42.303 --> 00:53:48.905]  Um, why don't you guys listen to it and write me just the quote about Reichstag, see if that's in there, and then I'll just,
[00:53:50.256 --> 00:53:52.377]  We can play like 10 seconds of it, but I don't want to play a bunch of it.
[00:53:53.157 --> 00:53:55.418]  Let's go ahead and talk to Dan.
[00:53:56.939 --> 00:53:58.900]  Dan, you're on the air from Alaska.
[00:53:59.760 --> 00:54:00.301]  Hey, Alex.
[00:54:00.361 --> 00:54:02.021]  It's always a pleasure talking to you, my friend.
[00:54:02.041 --> 00:54:04.302]  Good to talk to you.
[00:54:04.322 --> 00:54:08.784]  The Obama deception was awesome, and I did what I told you I was going to do.
[00:54:09.025 --> 00:54:10.225]  I made 50 copies of it.
[00:54:10.425 --> 00:54:12.086]  I'm passing it out to everybody I know.
[00:54:13.294 --> 00:54:15.075]  I also did what I told you I was going to do.
[00:54:15.215 --> 00:54:21.216]  I got a transmitter on the way to me so I can broadcast your voice to the local Anchorageites up here.
[00:54:21.656 --> 00:54:34.040]  Yeah, for those that don't know, we have a sponsor up on InfoWars.com, but I had them on separate from being a sponsor, that has a totally legal, FCC-approved, certified AM transmitter that with the right antenna goes out three miles.
[00:54:34.780 --> 00:54:41.262]  And we're really, really excited that folks are putting those up everywhere on Dead Space, on the AM dial, and then streaming my show over the web or other shows.
[00:54:42.811 --> 00:54:43.952]  Absolutely, yeah.
[00:54:44.452 --> 00:54:48.775]  I'll tell you what, Alex, you have lit a fire inside of me I did not know I had.
[00:54:48.795 --> 00:54:50.516]  And I want to thank you for that.
[00:54:52.237 --> 00:55:05.325]  Another thing I want to bring to your attention is there's a, if you Google states file sovereignty, the very first one that comes up is from PanamaLaw.org.
[00:55:06.225 --> 00:55:07.966]  It was written on February 18th.
[00:55:08.246 --> 00:55:12.029]  This is an actual law firm that has written a little article
[00:55:12.831 --> 00:55:13.211]  Thank you very much.
[00:55:13.231 --> 00:55:14.112]  Good to hear from you, Dan.
[00:55:14.272 --> 00:55:15.812]  Let's go now to Brian in Berkeley.
[00:55:15.892 --> 00:55:17.213]  I would guess that means
[00:55:42.071 --> 00:55:43.011]  Central California.
[00:55:43.432 --> 00:55:44.252]  Hello, Brian.
[00:55:45.312 --> 00:55:49.594]  Oh, well, hello, Alex, and thank you very much for your service to this country.
[00:55:49.834 --> 00:55:51.615]  The Founding Fathers do smile upon you.
[00:55:52.275 --> 00:56:03.220]  Anyway, I wanted to bring to the attention of your audience and to you, yourself, about the Oscar Grant case, because you haven't really mentioned that too often, and
[00:56:04.020 --> 00:56:05.042]  I really fear that.
[00:56:05.062 --> 00:56:12.672]  I mean, of course, you know that the Marines, the foreign troops, and the Oakland Police Department have trained together.
[00:56:12.692 --> 00:56:18.540]  I mean, you covered it in Police State 2000 about, you know, having a
[00:56:19.449 --> 00:56:40.739]  Yeah, Oscar Grant did nothing and the officer shot him in the back on the platform of the train there in the Bay Area and then the cop started kind of slapping him around after he shot him in the back, flipped him over, kind of roughed him up, and then they tried to seize everybody's cameras and claim he'd attacked the police, which wasn't true.
[00:56:41.079 --> 00:56:45.961]  And thank God people on a passing train, when it stopped, got good video of it to prove the murder.
[00:56:48.686 --> 00:56:49.606]  Really a horrible case.
[00:56:50.267 --> 00:57:00.532]  Well, not only bad, but there's been another video released with another police officer, Tony Perrone, the guy who put his knee on the neck of Officer Durant, punching him in the face.
[00:57:01.012 --> 00:57:03.013]  And no investigation, nothing from girls.
[00:57:03.073 --> 00:57:05.835]  I mean, after you shoot someone in the back, you gotta beat him up a little.
[00:57:05.875 --> 00:57:10.317]  I mean, you know, that was an assault on an officer.
[00:57:10.857 --> 00:57:14.179]  When the officer shoots you, you need to be charged with assaulting them.
[00:57:15.539 --> 00:57:16.540]  That's how this works.
[00:57:17.818 --> 00:57:27.145]  Just like how my friend Davi Santos who bullhorned a crowd in January 7th where the riots happened and they charged him with two felony counts.
[00:57:27.165 --> 00:57:30.367]  This guy is 16 years old with inciting the riot and vandalism.
[00:57:30.828 --> 00:57:32.048]  And all he did was bullhorn a crowd.
[00:57:32.589 --> 00:57:35.471]  So, you bullhorn, you use your free speech, you get charged with felony.
[00:57:36.189 --> 00:57:40.634]  Well, that's because the bankers rule America, and they've got to suppress the people.
[00:57:41.515 --> 00:57:46.480]  And they know that if we take the nation back, we're going to prosecute the bankers, as Ron Paul and others are calling for.
[00:57:46.981 --> 00:57:47.962]  And I appreciate your call.
[00:57:48.002 --> 00:57:54.148]  And yeah, since I've been calling for the arrest of the bankers, and lawfully, I want grand juries to indict them for the crimes they've committed.
[00:57:54.529 --> 00:57:56.010]  Congressman Ron Paul and others have agreed.
[00:57:56.051 --> 00:57:57.412]  Chuck Norris agreed on the show Friday.
[00:57:57.452 --> 00:57:58.193]  I guess he's evil now.
[00:57:59.254 --> 00:58:02.096]  Uh, we're getting all sorts of dirty tricks against us.
[00:58:02.496 --> 00:58:06.539]  Again, the Obama Deception is now available at PrisonPlanet.tv in super high quality.
[00:58:06.559 --> 00:58:07.060]  Download it.
[00:58:07.820 --> 00:58:08.440]  Burn it to disk.
[00:58:08.821 --> 00:58:10.662]  Take as many copies as you want to give out to folks.
[00:58:11.202 --> 00:58:15.265]  And you can also order the super high quality DVD at InfoWars.com and support the filmmaker.
[00:58:15.565 --> 00:58:20.469]  We're gonna come back with some quick comments on the film, some new developments there, and your calls after the news.
[00:58:20.509 --> 00:58:20.929]  Stay with us.
[00:58:22.625 --> 00:58:26.327]  The IRS is skimming the wealth of the American people for the Wall Street bankers.
[00:58:26.408 --> 00:58:30.290]  Taxpayers are being raked over the coals and forced to pay for bailout after bailout.
[00:58:30.410 --> 00:58:33.472]  First we went after the Fed, now we're going after the Internal Revenue Service.
[00:58:33.672 --> 00:58:36.194]  On April 15th, the Republic strikes back.
[00:58:36.374 --> 00:58:39.476]  Every zip code, every post office nationwide, one purpose.
[00:58:39.656 --> 00:58:40.697]  Show me the law.
[00:58:40.897 --> 00:58:43.939]  Visit showmethelaw.org and sign up today to get involved.
[00:58:44.099 --> 00:58:46.621]  Action groups are forming now at restoretherepublic.net.
[00:58:46.701 --> 00:58:50.163]  Join us in this national grassroots action to end the federal income tax.
[00:58:50.323 --> 00:58:52.485]  On April 15th, the Republic strikes back.
[00:58:52.765 --> 00:59:02.051]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, and carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:59:02.091 --> 00:59:02.832]  This capitalism?
[00:59:02.892 --> 00:59:09.036]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:59:09.156 --> 00:59:09.977]  Hi, Ted Anderson.
[00:59:10.017 --> 00:59:13.119]  I'm placing a silver dollar in a book explains our monetary system.
[00:59:13.299 --> 00:59:14.059]  Call for your copy 800-686-2237.
[00:59:14.079 --> 00:59:15.140]  It's time to understand the system.
[00:59:15.160 --> 00:59:15.420]  Call 800-686-2237.
[00:59:15.480 --> 00:59:15.820]  That's 800-686-2237.
[00:59:22.905 --> 00:59:32.997]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh, nutritious vegetables will make it to your dinner table?
[00:59:33.477 --> 00:59:34.539]  Garden in a Can.
[00:59:34.899 --> 00:59:38.463]  Garden in a Can is your source for premium, long-term, storable seeds.
[00:59:39.044 --> 00:59:40.806]  Garden in a Can is ready when you are.
[00:59:41.066 --> 00:59:43.349]  Plant them now or store them for when you really need them.
[00:59:43.809 --> 00:59:52.818]  There are 16 large, hermetically sealed, non-hybrid, open-pollinated packets of seeds, along with detailed planting instructions sealed in a can for ultimate long-term protection.
[00:59:53.490 --> 00:59:54.490]  Garden in a Can.
[00:59:54.891 --> 00:59:55.771]  It's that simple.
[00:59:56.111 --> 00:59:57.972]  Fresh, healthy, easy.
[00:59:58.492 --> 01:00:02.454]  Only $69.95 for over a half acre of safe fresh vegetables.
[01:00:02.834 --> 01:00:03.754]  Ready when you are.
[01:00:04.414 --> 01:00:08.036]  Stop procrastinating and start preparing with Garden in a Can.
[01:00:08.496 --> 01:00:11.597]  For more details visit GardenInACan.com today.
[01:00:11.977 --> 01:00:13.718]  That's GardenInACan.com or call 866-598-7396.
[01:00:13.738 --> 01:00:13.778]  866-598-7396.
[01:00:22.421 --> 01:00:26.643]  Some school years may be extended by as much.
[01:00:26.884 --> 01:00:29.985]  You're listening to GCN.
[01:00:30.626 --> 01:00:33.407]  And on NewsRadio 590, KOBJ Austin.
[01:00:35.889 --> 01:00:40.191]  Hi RNUSA Radio News, I'm Jody Jordan.
[01:00:40.391 --> 01:00:50.377]  With interest rates sitting at a record low and the economy still reeling from the financial fallout, analysts aren't expecting any changes to come after the Federal Reserve policymakers meet this week.
[01:00:51.235 --> 01:00:53.376]  President Obama says the notion that the U.S.
[01:00:53.436 --> 01:01:02.960]  and Europe are taking sides with America pushing for more stimulus spending and European nations favoring tighter regulation of the financial industry is a phony debate.
[01:01:03.321 --> 01:01:11.044]  In my mind at least, there is no conflict or contradiction between the positions of the G20 countries and how we're going to be moving forward.
[01:01:11.404 --> 01:01:13.005]  There's going to be differences in details.
[01:01:13.812 --> 01:01:15.213]  Those are being worked out right now.
[01:01:15.374 --> 01:01:16.915]  I expect to have a productive meeting.
[01:01:17.215 --> 01:01:23.961]  And Christina Romer, one of President Barack Obama's top economic advisors, tells NBC that while the U.S.
[01:01:24.061 --> 01:01:29.026]  is temporarily in a financial mess, the economy is fundamentally sound.
[01:01:29.046 --> 01:01:32.109]  This is IRN USA Radio News.
[01:01:34.585 --> 01:01:37.667]  Men and women, if you've got 10 to 30 pounds or more to lose, please listen carefully.
[01:01:37.967 --> 01:01:39.508]  Guys, many of us tend to overeat.
[01:01:39.548 --> 01:01:41.789]  We eat too much red meat, fast foods, and processed foods.
[01:01:41.969 --> 01:01:44.391]  This keeps the belly flabby and keeps our bodies overweight.
[01:01:44.591 --> 01:01:46.512]  Ladies, have you ever said, I feel fat today?
[01:01:46.692 --> 01:01:47.853]  Or do you have this bloated feeling?
[01:01:48.013 --> 01:01:51.074]  And how many of you have been trying to lose the same 10 to 20 pounds for years?
[01:01:51.294 --> 01:01:53.996]  There's a healthy and faster way to lose weight than any diet pill.
[01:01:54.276 --> 01:02:03.738]  It's called EverCleanse, a clinically proven weight loss and detox formula that helps you lose weight and get rid of the 5 to 25 pounds of waste that some experts say is trapped to the colon walls like spackle or paste.
[01:02:03.958 --> 01:02:06.059]  Two weeks of EverCleanse may be equal to months of dieting.
[01:02:06.319 --> 01:02:06.899]  It's simple, too.
[01:02:07.179 --> 01:02:09.479]  Natural, tasteless crystals that dissolve in any food or beverage.
[01:02:09.699 --> 01:02:14.340]  EverCleanse will flatten out your midsection, reduce love handles, and bellies and bloating have been disappearing in just days.
[01:02:14.560 --> 01:02:18.901]  You see, EverCleanse gets rid of the weight you can't take off by exercising or starving yourself on a diet.
[01:02:19.081 --> 01:02:20.922]  And it's not something you have to take for the rest of your life.
[01:02:21.182 --> 01:02:22.582]  Call now to receive a very special
[01:02:22.622 --> 01:02:22.923]  Call 800-567-5598.
[01:02:23.163 --> 01:02:24.085]  Ask about a free supply.
[01:02:24.105 --> 01:02:24.166]  800-567-5598.
[01:02:24.186 --> 01:02:24.426]  That's 800-567-5598.
[01:02:34.173 --> 01:02:40.959]  The president's chief economic advisor says the bonus payments given out to the American International Group are outrageous.
[01:02:41.200 --> 01:02:51.509]  This whole area is something we're going to have to look at as we think about regulation in the future because no one can be satisfied with what's happened.
[01:02:51.609 --> 01:02:56.914]  Lawrence Summers told ABC that the troubled insurance giant got more than $170 billion in bailout money.
[01:02:59.392 --> 01:03:03.693]  And the weather is looking good for tonight's rescheduled launch of the Space Shuttle Discovery.
[01:03:04.153 --> 01:03:08.754]  Repairs have been made after a hydrogen gas leak scrapped liftoff plans Wednesday.
[01:03:09.374 --> 01:03:13.775]  The delay has shortened the mission by at least a day, increasing pressure for today's departure.
[01:03:14.295 --> 01:03:15.736]  This is NASA's George Stiller.
[01:03:15.896 --> 01:03:22.417]  Right now we are well past the point where our leakage problem developed on our first launch attempt.
[01:03:23.426 --> 01:03:27.371]  And we are not seeing any indications of leakage at all.
[01:03:27.551 --> 01:03:32.096]  For the latest news and analysis, log on to IRNUSANews.com.
[01:03:33.737 --> 01:03:38.282]  With a word about Israel, here's best-selling author and Bible teacher, Kay Arthur.
[01:03:38.583 --> 01:03:41.386]  If you could only visit one country...
[01:03:42.420 --> 01:03:46.405]  One nation on the face of this earth, it should be Israel.
[01:03:46.826 --> 01:03:49.469]  Because then, you'll never be the same.
[01:03:49.870 --> 01:03:53.635]  To start planning your trip to Israel today, call 1-888-77-ISRAEL or visit www.goisrael.com.
[01:04:06.116 --> 01:04:13.061]  Sounds from Sunday services that resumed today at an Illinois church, one week after the senior pastor was gunned down.
[01:04:13.722 --> 01:04:17.945]  A minister from Texas talked to the congregation and spoke from his own experience.
[01:04:18.605 --> 01:04:24.210]  A decade ago, a gunman entered his Fort Worth church and killed seven people before committing suicide.
[01:04:25.170 --> 01:04:31.415]  OPEC oil ministers say they'll continue current output levels, but try to end overproduction by some cartel members.
[01:04:32.094 --> 01:04:35.815]  Today's decision means there'll be no cutbacks from December production levels.
[01:04:36.615 --> 01:04:39.936]  Abdallah Saleem al-Badri is the OPEC Secretary General.
[01:04:40.056 --> 01:04:48.318]  Taking into consideration what's going on in the world economy, everything we try to talk about, everything is negative, you know?
[01:04:48.398 --> 01:04:53.999]  Every day we're receiving negative information, so we just try to balance the situation out.
[01:04:54.259 --> 01:04:59.140]  And Israel is setting a deadline for a prisoner exchange with the Hamas rulers of Gaza.
[01:04:59.838 --> 01:05:00.778]  Here's Mark Levy.
[01:05:00.958 --> 01:05:07.880]  The clock is ticking down on a deal for release of an Israeli soldier held nearly three years by Hamas-linked militants in Gaza.
[01:05:08.320 --> 01:05:10.521]  Israel has set a special cabinet meeting for tomorrow.
[01:05:10.881 --> 01:05:14.762]  If there's no deal today, the prisoner issue will be turned over to the next government.
[01:05:15.162 --> 01:05:20.524]  The current government appears willing to free most of the prisoners Hamas is demanding, including convicted terrorists.
[01:05:20.984 --> 01:05:27.126]  But Benjamin Netanyahu, the incoming Israeli Prime Minister, takes a harder line against Hamas and Arabs in general.
[01:05:27.754 --> 01:05:28.795]  Mark Levine, Jerusalem.
[01:05:28.955 --> 01:05:32.157]  And I'm Jody Jordan, for IRN USA Radio News.
[01:05:57.774 --> 01:05:58.435]  I think so.
[01:06:21.073 --> 01:06:24.034]  Why does our government not allow this crop to grow in the US?
[01:06:24.294 --> 01:06:26.635]  This product is also great for pets and animals.
[01:06:26.815 --> 01:06:31.817]  Call 908-691-2608 or go to hempusa.org today.
[01:06:32.497 --> 01:06:33.477]  He stands for truth.
[01:06:33.617 --> 01:06:35.118]  He stands for justice.
[01:06:35.198 --> 01:06:37.659]  He stands for what's right.
[01:06:50.533 --> 01:06:55.957]  We've got a big second hour, final hour lined up for you and lots of your calls.
[01:06:56.077 --> 01:07:02.881]  Let me hit some of the news that's coming up and we'll go right back to your calls.
[01:07:02.901 --> 01:07:09.585]  I was digging through a bunch of stuff we got out of storage.
[01:07:21.032 --> 01:07:22.293]  It's always that too small of an office.
[01:07:22.313 --> 01:07:23.333]  We had a bunch of storage buildings.
[01:07:23.353 --> 01:07:29.075]  We were moving some into the office and I was looking at some of the first tapes of myself when I started out on AXS TV.
[01:07:29.795 --> 01:07:30.776]  And I saw the dates on them.
[01:07:30.816 --> 01:07:32.957]  So it's now been 14 years.
[01:07:32.997 --> 01:07:34.237]  I hadn't really thought about it.
[01:07:35.098 --> 01:07:36.298]  14 years I've been on air.
[01:07:36.318 --> 01:07:37.098]  Look at those dates.
[01:07:37.499 --> 01:07:38.059]  14 plus years.
[01:07:39.139 --> 01:07:42.340]  And, you know, everything I've always covered has been government documents.
[01:07:43.841 --> 01:07:46.342]  I found out in 1997 that Delta Force in Houston
[01:07:49.421 --> 01:08:03.545]  And other areas of South Texas and North Texas and all over the country was buying off city councils, mayors, police chiefs, and paying them big briefcases and suitcases, in some cases as much as $500,000 per mayor and city official.
[01:08:03.605 --> 01:08:04.906]  And I was like, what is that about?
[01:08:04.946 --> 01:08:06.566]  I even saw it in the Associated Press.
[01:08:07.267 --> 01:08:14.829]  And I'd go on the air and say, you know, a super secret military team under the control of the president, Bill Clinton at the time,
[01:08:15.655 --> 01:08:16.615]  Is paying people off!
[01:08:16.655 --> 01:08:22.417]  So I went and interviewed Thomas Sanchez at Emergency Management Kingsville and Chief of Police San Antonio, L.A.
[01:08:22.457 --> 01:08:29.359]  Philippus, and I got in the car and drove down and interviewed him, put him on a local TV show, and then on the radio show, and people would call in and say, you've made this up!
[01:08:30.000 --> 01:08:31.740]  The military's not sneaking around paying people off!
[01:08:31.760 --> 01:08:35.581]  And I'd say, well here's the Associated Press, here's the interview, and let me play the audio of the police chief.
[01:08:35.601 --> 01:08:36.462]  They'd say, oh, it's not real.
[01:08:38.642 --> 01:08:44.064]  And now, the New Yorker magazine has broken a bunch of news concerning this, so I want to go over that after we take some calls.
[01:08:45.899 --> 01:08:51.701]  But on every issue I cover, most of it is in government documents or legislation or even mainstream news.
[01:08:51.761 --> 01:08:53.021]  It just doesn't get any attention.
[01:08:53.361 --> 01:08:55.422]  We try to give it attention and connect the dots.
[01:08:56.402 --> 01:09:09.246]  Now, in my film Terror Storm, a history of government sponsored terror put out in 2007, I go over many of the 200 plus declassified instances where the U.S.
[01:09:09.286 --> 01:09:15.588]  government admits, I mean this is congressional testimony, they admit it, that they blow up buildings, blow up school buses all over the world.
[01:09:16.038 --> 01:09:19.299]  Things that will upset people to blame it on their enemies.
[01:09:20.179 --> 01:09:23.740]  And then last year, WikiLeaks came out and Mainstream News reported on it.
[01:09:24.160 --> 01:09:36.343]  An army field manual we've read on air, where they teach army captains in black ops, in black operations, secret operations, one of their main tools is staged terror, false flag, and they teach them how to do that.
[01:09:37.243 --> 01:09:45.165]  A good Hollywood example of this, based on kind of a composite of some true stories, but it's based on true stories, but fiction, The Quiet American.
[01:09:46.099 --> 01:09:53.546]  By Graham Greene, where the CIA guy is, you know, the CIA in Southern Vietnam is staging terror attacks to blame it on the Communists.
[01:09:55.427 --> 01:10:02.073]  And the Pentagon's argument is, well, you know, the Russians, they staged terror attacks to blame it on us, so we've got to do it too.
[01:10:02.473 --> 01:10:04.515]  And then that's how you become totally evil.
[01:10:05.696 --> 01:10:07.958]  By saying, oh, I'll become my enemy to fight them.
[01:10:09.419 --> 01:10:12.402]  And so when I talk about this, I'm only covering what's admitted.
[01:10:12.702 --> 01:10:13.483]  Do you understand that?
[01:10:14.861 --> 01:10:18.043]  You understand there's Operation Northwoods to bomb U.S.
[01:10:18.084 --> 01:10:23.988]  ships, bomb D.C., hijack jets by remote control, commit sniper attacks all over the country and blame it on the Russians?
[01:10:25.129 --> 01:10:27.891]  ABC News, Baltimore Sun, just Google Operation Northwoods.
[01:10:28.572 --> 01:10:30.973]  I mean, all I'm covering is real stuff.
[01:10:32.134 --> 01:10:37.558]  Now, I did go on the air two months before 9-11 and I said they're going to stage terror attacks, probably on the World Trade Center.
[01:10:40.060 --> 01:10:42.202]  You can just Google Alex Jones predicts 9-11.
[01:10:42.382 --> 01:10:44.123]  You can hear the radio show and the TV show.
[01:10:44.143 --> 01:10:44.664]  You can watch it.
[01:10:45.706 --> 01:10:48.708]  There's millions of views on the web of it, on Google and YouTube and everywhere else.
[01:10:49.269 --> 01:10:58.555]  There's a new film out, the selection of South by Southwest, the documentary film of the year by the Independent Film Channel called New World Order, and they have the clips of me in there talking about that.
[01:11:01.657 --> 01:11:07.542]  Well, I went on air a couple months ago and I said Obama's agenda is going to stall, even before he was sworn in, but when he was elect.
[01:11:08.222 --> 01:11:15.167]  And I said, people are going to find out this guy's a globalist, and I'm going to tell you right now, the way they're setting up the military to police America, the way this has all been geared up under
[01:11:16.295 --> 01:11:18.577]  The last four or five administrations, it's all coming to a head.
[01:11:18.597 --> 01:11:19.677]  They're going to make their move now.
[01:11:19.697 --> 01:11:22.680]  They're going to stage a huge Reichstag event to bring in martial law.
[01:11:23.160 --> 01:11:27.783]  And I have police sending me secret state police documents the feds make for them, and we've covered that.
[01:11:27.823 --> 01:11:28.804]  I mean, they're really getting ready.
[01:11:29.925 --> 01:11:36.109]  I have to give credit where credit's due, because I've really criticized this guy a lot, and I'm still listening during the break to the larger clip.
