[00:00:00.089 --> 00:00:01.010]  Punch it!
[00:47:02.090 --> 00:47:06.892]  It is the plan to kill all whites, 16 and above, and re-educate all whites.
[00:47:07.652 --> 00:47:17.637]  And this is what is taught by Mecha, La Raza, and, I mean, I'm against the Ku Klux Klan, but they're not saying they have a plan to kill
[00:47:21.755 --> 00:47:22.755]  You know, all blacks.
[00:47:22.775 --> 00:47:25.136]  I mean, this is amazing.
[00:47:26.757 --> 00:47:29.478]  And that's off the University of Texas right there.
[00:47:29.858 --> 00:47:35.141]  So you can read about the plan to kill you and your family right there that the new Supreme Court nominee would like to carry out.
[00:47:35.521 --> 00:47:36.421]  Very, very disgusting.
[00:47:36.461 --> 00:47:40.823]  See, their racism's good, and then everybody else is supposed to stand down and be overrun by it.
[00:47:41.123 --> 00:47:42.424]  And that's what the global bankers want.
[00:47:43.024 --> 00:47:46.647]  Before we go back to Jason Bermas, Ecolablue is one of our great sponsors.
[00:47:46.727 --> 00:47:48.148]  Atmospheric water generator for the home.
[00:47:48.208 --> 00:47:49.449]  Pays for itself in one year.
[00:47:49.469 --> 00:47:53.171]  If you buy your water from the store, check out Ecolablue.com, folks.
[00:47:53.191 --> 00:47:54.492]  You won't be disappointed.
[00:47:54.772 --> 00:47:56.334]  Pure, clean water without the fluoride.
[00:47:56.394 --> 00:47:57.915]  Unlimited water from the humidity in the air.
[00:47:58.175 --> 00:47:59.436]  Do exactly what you're drinking.
[00:47:59.476 --> 00:48:01.917]  Machine produces up to 7.5 gallons a day.
[00:48:02.298 --> 00:48:05.800]  The generated water is passed through seven filters, including reverse osmosis and carbon.
[00:48:06.160 --> 00:48:06.861]  Simple to use.
[00:48:06.881 --> 00:48:08.502]  No chemicals, pollutants, or toxins.
[00:48:08.922 --> 00:48:09.783]  Neutral pH.
[00:48:10.043 --> 00:48:11.824]  Your own source of clean drinking water.
[00:48:12.768 --> 00:48:14.689]  Now the filtering process works.
[00:48:14.729 --> 00:48:26.853]  The water is passed through an active carbon filter, then a silver impregnated carbon filter, then a reverse osmosis system, then it takes an odor removal filter and is stored in an illuminated tank, eliminated by an antibacterial fungal UV light.
[00:48:27.133 --> 00:48:30.194]  A coloblue.com or 1-800-691-6043.
[00:48:30.214 --> 00:48:31.474]  1-800-691-6043.
[00:48:31.894 --> 00:48:35.935]  Okay, Jason, finishing up.
[00:48:35.955 --> 00:48:37.896]  Yeah, you've done a lot of research on this lady.
[00:48:38.336 --> 00:48:40.337]  There's that New York Times article you were talking about.
[00:48:41.177 --> 00:48:45.921]  Other points about the Mexican supremacist to be our new gun-grabbing leader.
[00:48:46.141 --> 00:48:49.563]  Well, number one, she is a council member on La Raza.
[00:48:49.583 --> 00:48:51.525]  So she's not a member, you know, she's a council member.
[00:48:51.545 --> 00:48:53.786]  You know, like Herman Goering was on the council of Hitler.
[00:48:53.846 --> 00:48:54.006]  Yeah.
[00:48:54.186 --> 00:48:55.627]  She's on the council of the others.
[00:48:55.667 --> 00:48:55.828]  Yeah.
[00:48:56.128 --> 00:48:59.590]  And she's a Bush 1 appointee back in the 90s in New York.
[00:48:59.610 --> 00:49:01.912]  You know, you know this lady is going to come in
[00:49:02.452 --> 00:49:03.553]  And take away our sovereignty.
[00:49:03.573 --> 00:49:04.393]  She's a globalist!
[00:49:04.413 --> 00:49:06.194]  Yes, she's about a North American Union.
[00:49:06.214 --> 00:49:07.795]  I don't want to lose my sovereignty to Canada.
[00:49:08.055 --> 00:49:18.941]  I don't want to lose my... Well, by the way, she and others have said, that's what's not getting attention, like all the liberal Supreme Court members have said, we're going to follow UN and NATO and Hague Courts, World Court.
[00:49:19.021 --> 00:49:19.901]  That's our boss.
[00:49:20.241 --> 00:49:21.042]  This is high treason.
[00:49:21.702 --> 00:49:24.804]  But see, if you're not for high treason, you hate Mexicans, Burmese.
[00:49:25.484 --> 00:49:26.545]  And that's just not the case.
[00:49:26.865 --> 00:49:29.407]  You know, I could care less what color you are.
[00:49:29.587 --> 00:49:31.129]  No, no, see, they make it racial.
[00:49:31.529 --> 00:49:33.070]  They make us defend ourselves.
[00:49:33.170 --> 00:49:34.612]  She's a Mexican supremacist.
[00:49:34.932 --> 00:49:36.073]  She's an America hater.
[00:49:36.613 --> 00:49:37.334]  Yeah, no, I agree.
[00:49:37.394 --> 00:49:37.794]  And you know what?
[00:49:37.814 --> 00:49:40.717]  They're having this new immigration reform meeting on June 8th.
[00:49:41.357 --> 00:49:42.138]  They call it reform.
[00:49:42.178 --> 00:49:43.099]  Total capitulation.
[00:49:43.119 --> 00:49:43.459]  Exactly.
[00:49:43.659 --> 00:49:45.701]  It's going to be illegal immigration.
[00:49:45.981 --> 00:49:47.222]  Illegal immigrants are no longer illegal.
[00:49:47.242 --> 00:49:52.567]  That's why these domestic lexicons say if you're anti-illegal immigration, you're an extremist.
[00:49:52.807 --> 00:49:55.750]  If you believe in the Constitution and Bill of Rights, you're an extremist.
[00:49:56.090 --> 00:49:57.752]  This is the wildest thing in the world.
[00:49:57.772 --> 00:50:01.715]  They're really gearing up, I think, within the next two years to just totally eviscerate.
[00:50:01.735 --> 00:50:04.278]  And she loves to talk about how white males are bad.
[00:50:04.778 --> 00:50:06.700]  Imagine if we came out and said Mexicans were bad.
[00:50:06.900 --> 00:50:07.941]  It's just ridiculous.
[00:50:08.141 --> 00:50:11.202]  I mean, you're a bad guy because you were born white and a man?
[00:50:11.582 --> 00:50:13.363]  I mean, we should all be judged on that.
[00:50:13.403 --> 00:50:14.864]  Look, look, look, look, look, look.
[00:50:14.904 --> 00:50:17.745]  If the British Empire would have been run by Africans, everybody would hate blacks.
[00:50:18.245 --> 00:50:20.366]  They hate whoever is dominant and takes over.
[00:50:20.866 --> 00:50:23.527]  And the truth is, all these groups just wish they could take over.
[00:50:24.068 --> 00:50:24.608]  It is the issue.
[00:50:24.748 --> 00:50:26.869]  I want everybody to have liberty and freedom now.
[00:50:27.529 --> 00:50:28.850]  I don't care what color you are.
[00:50:29.170 --> 00:50:32.111]  Stop letting them use left-right racial politics.
[00:50:32.512 --> 00:50:33.252]  Farmers, anything else?
[00:50:33.652 --> 00:50:34.752]  That's all I got for you, Alex.
[00:50:34.832 --> 00:50:39.954]  But you'll be back tonight with the InfoWarrior 9 to midnight, right here on GCN and at InfoWars.com.
[00:50:39.994 --> 00:50:41.134]  Stay with us, back in 70 seconds.
[00:50:43.555 --> 00:50:44.916]  Thank you for listening to GCN.
[00:50:44.956 --> 00:50:47.436]  Visit GCNlive.com today.
[00:50:52.208 --> 00:51:00.573]  Many human illnesses can be attributed to the fact that soil in the United States no longer provides plants with the mineral elements which are essential to human nourishment.
[00:51:00.853 --> 00:51:05.256]  Many studies have shown that the majority of Americans are deficient in minerals.
[00:51:05.697 --> 00:51:10.880]  Deficiency in any one of the more important minerals actually results in disease.
[00:51:11.420 --> 00:51:20.429]  Go to RawOrganicVeganSuperfoods.com today and see the wide range of foods available that are designed to help your mind and body work the way they were intended to.
[00:51:20.769 --> 00:51:24.993]  You can also visit the link on PrisonPlanet.com to see some of the amazing products available.
[00:51:25.274 --> 00:51:26.435]  Folks, you've got to try this.
[00:51:26.755 --> 00:51:32.921]  These foods promote nutritional excellence, health and well-being, beauty enhancement, and truly sustainable agriculture.
[00:51:33.248 --> 00:51:39.011]  Many foods today have herbicides, pesticides, fungicides and insecticides that were not intended for human consumption.
[00:51:39.232 --> 00:51:44.435]  Go to RawOrganicVeganSuperfoods.com today and see some of the amazing products available.
[00:51:44.675 --> 00:51:47.256]  You are what you eat, so eat what your body needs.
[00:51:47.516 --> 00:51:50.978]  Remember to go to RawOrganicVeganSuperfoods.com today!
[00:52:15.324 --> 00:52:16.864]  Okay, I'm gonna blitz through your calls.
[00:52:17.044 --> 00:52:23.746]  Dave, John, Leo, Richard, uh, Tori, and Nick, when we come back in the next segment.
[00:52:25.106 --> 00:52:30.447]  Then I got one of the Seathink producers and directors coming on, because he's got a lot of heat, for myself included.
[00:52:31.838 --> 00:52:34.841]  Dealing with the C-Think Film New World Order that's just a huge success.
[00:52:34.921 --> 00:52:36.182]  It's got to get a lot of attention.
[00:52:36.202 --> 00:52:36.822]  Top ratings.
[00:52:37.223 --> 00:52:40.685]  Record ratings last night for IFC and record downloads.
[00:52:41.146 --> 00:52:45.269]  I wasn't supposed to get into that, but it's hundreds of thousands on the on-demand.
[00:52:45.529 --> 00:52:46.951]  It's more if anything than they've ever seen.
[00:52:48.132 --> 00:52:51.915]  So, obviously I'll have my new IFC TV show.
[00:52:53.396 --> 00:52:56.778]  I could have had those kind of things a long time ago, but who knows, I might actually do one.
[00:52:57.499 --> 00:53:00.621]  The issue here is that I'm going to keep doing this radio show.
[00:53:00.981 --> 00:53:05.484]  That's where we can do everything unedited, uncut, and really get everything out.
[00:53:05.504 --> 00:53:08.206]  But they say IFC is the place where it's always uncut.
[00:53:08.226 --> 00:53:10.927]  It's not perfect for me, huh?
[00:53:11.007 --> 00:53:15.050]  The point is that there's no doubt we'll knock it out of the park either way you slice it.
[00:53:16.662 --> 00:53:18.963]  Aaron, you had some interesting news.
[00:53:19.643 --> 00:53:29.227]  Hundreds of documents have come out in the last few years, smuggled out of National Archives in Europe, where the Bilderberg Group was set up by kind of the Nazi money and the British U.S.
[00:53:29.267 --> 00:53:31.187]  money, teaming up to set up world government.
[00:53:31.468 --> 00:53:35.049]  They bragged, they covertly set up the European Union 50 years before they admitted it.
[00:53:35.449 --> 00:53:38.330]  We're already under the North American Union, the public doesn't know we have the secret treaty.
[00:53:38.550 --> 00:53:40.211]  People sued and got it, Judicial Watch did.
[00:53:40.871 --> 00:53:42.252]  More documents keep coming out.
[00:53:42.332 --> 00:53:49.574]  One of our listeners did a great article breaking one of these down, and we've separately vetted that ourselves and checked it so it is accurate.
[00:53:50.055 --> 00:53:55.056]  And Etienne D'Avignon is now giving interviews in the European press, the head of the Bilderberg Group, going, yeah, we really run things.
[00:53:55.136 --> 00:53:58.958]  So they've gotten to the point where they're just ready to throw it in everybody's face.
[00:53:59.537 --> 00:54:02.461]  Yeah, and at the end, Davignon admitted they created the euro.
[00:54:02.841 --> 00:54:05.224]  You know, what was it, 55 years before or something?
[00:54:05.645 --> 00:54:09.469]  And now we have more documents that some of our great Dutch listeners have dug up.
[00:54:10.090 --> 00:54:11.171]  A guy named H.R.
[00:54:11.251 --> 00:54:15.016]  Noord, known as Mr. Europe, calling for a federation of Europe.
[00:54:15.036 --> 00:54:16.057]  Let's give that Ryder credit.
[00:54:17.014 --> 00:54:21.796]  Yeah, he's calling for world government through a European federation only as an intermediate step for world government.
[00:54:21.816 --> 00:54:23.137]  You know, they're always attacking the League of Nations.
[00:54:23.197 --> 00:54:24.858]  It wasn't strong enough because some
[00:54:38.264 --> 00:54:39.585]  National sovereignty remains.
[00:54:39.645 --> 00:54:40.185]  Read the article!
[00:54:40.426 --> 00:54:42.607]  And they're calling for the end of all sovereignty.
[00:54:43.007 --> 00:54:56.136]  In a series of pamphlets constructed in the latter days of the German occupation of the European continent for the Dutch, Dave Bonbreaker magazine, Pioneer magazine, one of the founders of the European Parliament, H.R.
[00:54:56.216 --> 00:55:05.782]  Nord, nicknamed Mr. Europe, wrote that all European countries should prepare to construct a European federation as a first step in the direction of a world government.
[00:55:06.710 --> 00:55:27.671]  When, by the end of 1944, it became clear the Nazis were doomed in their conquest for world domination with two impatient superpowers waiting in the rings, Nord elaborated on this idea in a three-part series explaining that steps towards a world government should be pursued to rid the world once and for all of a future German aspiration for world domination.
[00:55:28.251 --> 00:55:30.732]  And it goes, but it's Germany at the heart of Europe.
[00:55:31.193 --> 00:55:35.935]  Oh, we want this government so we don't dominate, but that's actually what dominates Europe.
[00:55:36.535 --> 00:55:49.842]  And that's what the Bilderberg is, is that nexus of that Germanic empire with the Anglo-American thing that's Germanic to begin with, with the Rothschilds kind of wrapped around and interbred into the middle of it, a very sickening concoction.
[00:55:50.382 --> 00:56:14.416]  But the separate declassified army documents say this, but I've read Shires, Reisenthal, the Third Reich, Heinz Hobel's Order of the Deathshead, and scores of other encyclopedic books off mainline documents, but you never see this on the news, that Hitler planned a European Union to govern the planet and then carry out eugenics, and he got the model from the US and England, and they set him up and cut his legs out from under him.
[00:56:14.796 --> 00:56:18.278]  It was all a big setup because they wanted to do it with a soft kill mode.
[00:56:18.638 --> 00:56:21.302]  But now, separate Dutch documents confirm it.
[00:56:21.702 --> 00:56:23.044]  But this is mainline history!
[00:56:24.066 --> 00:56:30.315]  Yeah, in the name of Hitler, they're gonna burn the power of the German people, and then pursue the ultimate plans anyway, world government.
[00:56:30.928 --> 00:56:32.870]  In the name of stopping another Hitler!
[00:56:33.271 --> 00:56:34.412]  Yeah, it's ridiculous.
[00:56:34.432 --> 00:56:44.562]  But notice, that is a systematic, it's like a dark, almost fourth, fifth dimensional, and by that I mean the level of thinking is so complex.
[00:56:45.363 --> 00:56:50.889]  Philosophy, or English, they put on like a cube, on a ball and in a pool.
[00:56:51.329 --> 00:56:56.794]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[00:57:08.123 --> 00:57:16.509]  Check out SupernaturalSilver.com today, or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[00:57:16.709 --> 00:57:23.494]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[00:57:23.834 --> 00:57:29.338]  This new technology has proven itself to be a formidable weapon against bio-threats of today and tomorrow.
[00:57:29.599 --> 00:57:35.143]  The new silver solution gel has been shown to disinfect topically and keep the area sanitized for up to 4 hours.
[00:57:35.883 --> 00:57:42.147]  The New Silver Solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[00:57:42.528 --> 00:57:46.931]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[00:57:47.191 --> 00:57:50.213]  Check out the patented New Silver Solution today.
[00:57:50.553 --> 00:57:53.875]  Click on the link and check out the uses for New Silver Solution.
[00:57:54.256 --> 00:57:58.919]  Order this extra line of defense today by going to SupernaturalSilver.com.
[00:57:59.059 --> 00:58:01.220]  That's SupernaturalSilver.com today.
[00:58:02.241 --> 00:58:04.803]  In the New World Order's war against humanity,
[00:58:05.416 --> 00:58:07.561]  Barack Obama is the tip of the spear.
[00:58:08.042 --> 00:58:15.038]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:58:15.626 --> 00:58:21.809]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:58:22.149 --> 00:58:24.030]  Well, Obama's already fudging.
[00:58:24.190 --> 00:58:26.612]  He's fudged since day one in this election.
[00:58:26.692 --> 00:58:37.637]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:58:38.257 --> 00:58:39.538]  It's not about left or right.
[00:58:39.938 --> 00:58:41.279]  It's about a one-world government.
[00:58:41.784 --> 00:58:48.126]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:58:48.687 --> 00:58:56.470]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:58:56.950 --> 00:58:58.090]  The Obama Deception.
[00:58:58.530 --> 00:58:59.691]  The people strike back.
[00:59:01.738 --> 00:59:05.001]  Silver is mankind's oldest natural antibiotic.
[00:59:05.161 --> 00:59:09.244]  This very special mineral has been used for centuries by most cultures throughout the world.
[00:59:09.424 --> 00:59:20.852]  Utopia, Texas, is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water without use of animal protein, nitrates, or saline solutions.
[00:59:21.093 --> 00:59:26.917]  Because our colloidal silver is made up of nano-sized particles, it can be better utilized at the cellular level.
[00:59:27.157 --> 00:59:27.778]  We're good to go!
[00:59:49.124 --> 00:59:52.428]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[01:00:10.603 --> 01:00:20.690]  Okay, we're going to your calls here in just a momento, but right now, finish up your story about the European Union and what it was really set up to be.
[01:00:21.350 --> 01:00:27.434]  Well, once again, we got exclusive documents from 1945 translated out of Dutch by some of our great listeners.
[01:00:27.935 --> 01:00:30.697]  Yeah, this is an exclusive at Infowars.com.
[01:00:30.777 --> 01:00:31.477]  Oh, absolutely.
[01:00:31.837 --> 01:00:37.561]  And it's just another piece of the riddle that national sovereignty can't exist anymore because there's terrible people in the world.
[01:00:37.981 --> 01:00:38.802]  So we have to have some
[01:00:39.380 --> 01:00:43.842]  You know, authoritarian union worldwide to control us all.
[01:00:43.862 --> 01:00:44.802]  It doesn't make any sense.
[01:00:45.443 --> 01:00:55.287]  So the elite can really start waging war with eugenics on their real target, the people, which the wars have always been, as Orwell wrote, the wars are set up by the elites to suppress their own population.
[01:00:55.747 --> 01:01:00.169]  Kim Jong-il gets a reprieve from overthrow with the saber-rattling.
[01:01:00.449 --> 01:01:03.371]  The West gets to look like good guys, setting themselves up against him.
[01:01:03.791 --> 01:01:05.392]  South Korea gets to take more freedoms.
[01:01:06.212 --> 01:01:07.653]  See how it works perfectly for them?
[01:01:07.753 --> 01:01:11.014]  Yeah, and they knew the League of Nations wouldn't be strong enough for the desires.
[01:01:11.054 --> 01:01:17.136]  They knew the United Nations didn't have the teeth they wanted, but they, by integrating... Well, they orchestrated both those wars!
[01:01:17.436 --> 01:01:23.618]  Yeah, but they knew it was, you know, one step after another to this takeover, this worldwide takeover.
[01:01:24.018 --> 01:01:27.559]  And they're shoveling us into this dictatorship, worldwide dictatorship.
[01:01:28.052 --> 01:01:30.173]  First through Europe, then through a greater region.
[01:01:30.553 --> 01:01:32.773]  It's in all these articles, every time they come up.
[01:01:32.793 --> 01:01:40.516]  And now they admit they want a world government run by them, there's no more denial, but Bloomberg comes out and says, I'm totally insane, there's no Halliburton FEMA camps.
[01:01:40.816 --> 01:01:42.816]  Doesn't matter, it's in the New York Times and the Houston Chronicle.
[01:01:43.836 --> 01:01:46.177]  I'm totally crazy, there was no Secret Service at Bilderberg.
[01:01:46.197 --> 01:01:50.938]  We're literal schizophrenics, Aaron, running around just delusionally.
[01:01:51.279 --> 01:01:52.899]  Isn't that going to backfire on the media?
[01:01:53.019 --> 01:01:55.260]  Yeah, a year and a half ago, Bilderberg doesn't exist.
[01:01:56.520 --> 01:01:59.645]  Davignon and others are admitting they've been planning it since at least 1955.
[01:02:01.147 --> 01:02:02.388]  Why do you think they're going public now?
[01:02:02.409 --> 01:02:06.134]  Because we exposed them and so they're just gonna hide in plain view and act like it's no big deal, or?
[01:02:06.875 --> 01:02:07.596]  More or less, yeah.
[01:02:08.288 --> 01:02:09.209]  That's a good question.
[01:02:09.269 --> 01:02:09.749]  I mean, what?
[01:02:10.029 --> 01:02:12.551]  I mean, you know, first they told the public, oh, there's no ruling elite.
[01:02:12.571 --> 01:02:13.652]  There's no corrupt elite.
[01:02:13.692 --> 01:02:15.213]  Your police are locally run.
[01:02:15.233 --> 01:02:18.115]  And the 14.8 trillion's for your children.
[01:02:18.135 --> 01:02:22.058]  And I mean, now it's just, hey, martial law, if you don't like it, we're going to kill you.
[01:02:22.458 --> 01:02:25.200]  I mean, you know, it's just, it's so pathetic, Aaron.
[01:02:25.761 --> 01:02:31.605]  Once you get into tyranny, historically, there's only a few degrees separation until you're in the worst form of tyranny.
[01:02:31.965 --> 01:02:33.226]  People don't realize we're now here.
[01:02:33.246 --> 01:02:34.587]  Yeah.
[01:02:34.927 --> 01:02:37.289]  And national sovereignty has no place, apparently.
[01:02:37.722 --> 01:02:40.766]  According to this guy in 1945, according to Richard Haass...
[01:02:57.146 --> 01:02:58.647]  We linked to this story on InfoWars.
[01:02:58.667 --> 01:03:03.849]  They were commenting with the quotes on 1984 where you weren't supposed to smile because that could be seen as obnoxious.
[01:03:04.109 --> 01:03:06.430]  And now you can't smile on a facial recognition, right?
[01:03:06.490 --> 01:03:07.390]  Yeah, because they want you.
[01:03:07.410 --> 01:03:11.992]  Well, they don't tell the slaves in USA Today that we're not getting your proper face scan.
[01:03:12.452 --> 01:03:13.312]  But yes, that's it.
[01:03:14.673 --> 01:03:15.393]  It's incredible.
[01:03:15.753 --> 01:03:18.034]  Doesn't somebody call it the worldwide straitjacket?
[01:03:18.373 --> 01:03:19.914]  For your own good, you can't do anything.
[01:03:19.934 --> 01:03:22.955]  You can't have any sovereignty, you know, for the benefit of the people.
[01:03:22.975 --> 01:03:24.495]  And they're trying now to tell the poor.
[01:03:24.756 --> 01:03:25.876]  In fact, it's somewhere around here.
[01:03:26.036 --> 01:03:27.577]  Where did that pamphlet go I had in here?
[01:03:27.917 --> 01:03:30.698]  That CPS gave one of my employees the right to steal her eight-year-old?
[01:03:31.798 --> 01:03:32.219]  Where is it?
[01:03:32.259 --> 01:03:33.059]  Is it here in the stack?
[01:03:33.159 --> 01:03:34.660]  I wanted to show that on air sometime.
[01:03:35.000 --> 01:03:37.361]  It says yelling at your child.
[01:03:37.381 --> 01:03:37.861]  They'll take them.
[01:03:38.141 --> 01:03:39.061]  There's no law.
[01:03:39.522 --> 01:03:41.422]  There's no... I mean, these people are criminals!
[01:03:41.702 --> 01:03:42.883]  But no smiling either.
[01:03:45.106 --> 01:03:47.907]  And now they're going to turn bureaucrats loose on us on our own land.
[01:03:48.067 --> 01:03:48.948]  I just can't handle it.
[01:03:49.248 --> 01:03:49.808]  I can't believe it.
[01:03:49.828 --> 01:03:52.089]  You know, you people think it's fun living in the Soviet Union.
[01:03:52.129 --> 01:03:52.909]  It's not going to be fun.
[01:03:53.129 --> 01:03:54.470]  Thank you for that great report.
[01:03:54.490 --> 01:03:55.770]  Tell folks the headlines so they can read it.
[01:03:55.930 --> 01:04:05.434]  Yeah, the headline again is EP, as in European Parliament, founder in 1945, the European Federation, first step towards a world federation.
[01:04:05.974 --> 01:04:07.295]  That's Zuri and Mason.
[01:04:07.335 --> 01:04:09.495]  It's on Infowars.com and all the other sites.
[01:04:09.976 --> 01:04:10.576]  Good job.
[01:04:12.897 --> 01:04:13.477]  Unbelievable.
[01:04:16.027 --> 01:04:18.588]  All right, let's go ahead and go to the calls here.
[01:04:18.708 --> 01:04:19.848]  John in Indiana.
[01:04:19.888 --> 01:04:20.908]  John, you're on the air.
[01:04:20.928 --> 01:04:21.468]  Thanks for holding.
[01:04:22.189 --> 01:04:22.509]  Alex.
[01:04:23.149 --> 01:04:23.469]  Hello.
[01:04:23.909 --> 01:04:26.910]  It is a... Oh, wow.
[01:04:26.930 --> 01:04:28.290]  I'm actually talking to Alex Jones, right?
[01:04:28.850 --> 01:04:29.671]  Come on, bro.
[01:04:29.731 --> 01:04:30.611]  I'm just an average guy.
[01:04:30.631 --> 01:04:31.231]  Find the new ruler.
[01:04:31.251 --> 01:04:31.611]  Go ahead.
[01:04:31.631 --> 01:04:32.311]  All right.
[01:04:32.371 --> 01:04:34.252]  I just want to throw a couple of things out here.
[01:04:34.292 --> 01:04:38.213]  First of all, for all truthers that want to talk to other truthers, get paltalk.com.
[01:04:41.134 --> 01:04:41.834]  Oh, I have another phone call.
[01:04:42.484 --> 01:04:45.427]  Uh, look for the room 911 Keystone to Global Police State.
[01:04:45.627 --> 01:04:47.769]  Other thing, I want to remind you about the Rainbow Gathering.
[01:04:48.169 --> 01:04:54.695]  Last year you did an interview about the pepper ball incident with the police shooting all the hippies with pepper balls.
[01:04:54.755 --> 01:04:56.457]  And I said I wanted to go to the Rainbow Gathering.
[01:04:56.497 --> 01:05:01.641]  Yeah, and I was just wondering if you plan on sending somebody out there or has it even crossed your mind?
[01:05:01.661 --> 01:05:02.822]  I know you got a lot on your mind.
[01:05:03.242 --> 01:05:03.723]  When is that?
[01:05:03.783 --> 01:05:04.564]  It's about to happen?
[01:05:04.984 --> 01:05:06.285]  July 1st through the 7th.
[01:05:06.385 --> 01:05:08.187]  It'll be somewhere near Taos, New Mexico.
[01:05:08.922 --> 01:05:13.305]  Yeah, that's why I was saying last year I might go, because that's only about eight hours from where I'm at.
[01:05:13.325 --> 01:05:15.166]  Yeah, I just wanted to remind you of it.
[01:05:15.707 --> 01:05:22.872]  And I know this is a long shot, but after the gathering, me and my girlfriend were moving to Austin, and I would volunteer to work for you free of charge, brother.
[01:05:23.220 --> 01:05:34.345]  Well the problem is we don't, and I appreciate that, if you want to write articles or volunteer or spread the word like that, it's just we have a small operation and we turn down most volunteers because I just can't handle being infiltrated.
[01:05:34.725 --> 01:05:35.866]  And that's who they try to put in here.
[01:05:35.886 --> 01:05:37.046]  I mean, it's bad.
[01:05:37.406 --> 01:05:40.088]  They try to come in here and commit crimes and then say we did it.
[01:05:42.189 --> 01:05:44.011]  God, it's a miracle I'm not in prison already.
[01:05:45.072 --> 01:05:48.155]  And, uh, that's why I've turned down all these great people.
[01:05:48.475 --> 01:05:50.017]  Also, I can't respond to everybody's emails.
[01:05:50.057 --> 01:05:52.399]  Folks are always getting mad because I don't respond to people's emails or calls.
[01:05:52.739 --> 01:05:53.580]  I'm overwhelmed.
[01:05:53.660 --> 01:05:54.481]  I'm not whining.
[01:05:55.662 --> 01:05:56.943]  I'm just making that statement.
[01:05:57.884 --> 01:05:59.466]  Rob Dues saying he wants volunteers.
[01:06:00.663 --> 01:06:03.124]  Yeah, but see, I kind of pick people myself.
[01:06:03.245 --> 01:06:07.507]  I go out and put a nondescript ad in and then find people.
[01:06:07.547 --> 01:06:10.829]  But the problem is everybody I end up in Austin interviewing ends up already they're listeners.
[01:06:11.309 --> 01:06:12.370]  I say we're so big.
[01:06:12.410 --> 01:06:19.254]  I mean, really, I've always tried to play down how big we are because I don't like the jealousy flaring up and people going nuts because it becomes destructive.
[01:06:19.294 --> 01:06:21.555]  But I mean, there's no point in covering it up anymore.
[01:06:21.595 --> 01:06:22.516]  We're huge, folks.
[01:06:22.576 --> 01:06:26.138]  I mean, huge and just exponentially growing.
[01:06:26.838 --> 01:06:27.639]  And I'm just...
[01:06:28.579 --> 01:06:35.423]  Thank you for taking the call.
[01:06:36.364 --> 01:06:46.010]  Yeah, I was that funny guy who was taken a picture of by your man with the little hat up in Lexington.
[01:06:46.671 --> 01:06:57.758]  Anyway, without belaboring the obvious, I think what I'm going to say is in the reign of Captain Kirk and the character that Whoopi Goldberg played, remember that?
[01:06:59.031 --> 01:07:02.953]  I didn't watch a lot of Star Trek Next Generation, but I think I remember she was in the show, yeah.
[01:07:02.973 --> 01:07:04.394]  Yeah, and she was the wise woman.
[01:07:04.414 --> 01:07:06.415]  Wasn't she like a counselor or something?
[01:07:06.875 --> 01:07:07.575]  Yeah, yeah, yeah.
[01:07:07.615 --> 01:07:08.616]  A fountain of wisdom?
[01:07:09.116 --> 01:07:20.542]  Could you ask your buddies, who you trust to judge, to listen to your show again and count the time that you spend belaboring the obvious.
[01:07:20.622 --> 01:07:23.643]  Now, I know you want to get the dumb downers in, too.
[01:07:25.447 --> 01:07:35.909]  Those of us who aren't in the Dom Downer crowd, which are quite a few of your listeners, would kind of appreciate it if you could just cut it a little bit so that we could get to the meat.
[01:07:36.030 --> 01:07:54.874]  Anyway, that's one of the issues, but the really important issue is I think that with Burmese on, I think what you need to fill in is to have some kind of an older, wiser woman like Nancy Levant or some interesting woman to take up the time in between your show and Burmese's show.
[01:07:55.845 --> 01:08:14.610]  And another thing is, I want to see a section on all of your sites called, In Their Own Words, and so that you could challenge people to make a case, and with money involved, put some money up there, with all the documents of these people admitting up front what they're doing.
[01:08:14.630 --> 01:08:21.052]  See, people don't believe it, but you put money down on the truth, and they're the people chasing it.
[01:08:21.587 --> 01:08:23.108]  And then they'll find out it's the truth.
[01:08:23.128 --> 01:08:24.550]  You see, this is how to get it through.
[01:08:24.570 --> 01:08:26.671]  I think we don't quite understand the methodology.
[01:08:26.932 --> 01:08:28.793]  I mean, the problem with the methodology is this.
[01:08:29.354 --> 01:08:39.042]  I did a road test, a market test, of these nice young white people who were helping at a food pantry.
