[00:00:00.009 --> 00:00:00.129]  It's
[01:07:08.945 --> 01:07:09.966]  But who is the enemy?
[01:07:10.486 --> 01:07:10.987]  Bin Laden.
[01:07:11.287 --> 01:07:12.248]  This is his ammo.
[01:07:12.268 --> 01:07:13.589]  We have to look to the Middle East.
[01:07:13.629 --> 01:07:15.291]  We have to look to Osama Bin Laden.
[01:07:15.651 --> 01:07:22.397]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[01:07:22.797 --> 01:07:23.238]  Some U.S.
[01:07:23.278 --> 01:07:28.943]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[01:07:29.623 --> 01:07:33.144]  I'm aware that some Israeli citizens have been detained.
[01:07:33.504 --> 01:07:43.366]  ...Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[01:07:43.586 --> 01:07:44.346]  Fabled enemies.
[01:07:44.826 --> 01:07:52.087]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[01:07:52.567 --> 01:07:55.928]  Either you are with us or you are with the terrorists.
[01:07:59.404 --> 01:08:03.026]  Everyone knows that omega-3 should be an essential part of our daily diet.
[01:08:03.106 --> 01:08:08.749]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[01:08:08.850 --> 01:08:12.912]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[01:08:13.192 --> 01:08:15.493]  Nature's gem, premium omega-3.
[01:08:15.653 --> 01:08:21.797]  Unlike other flaxseed, our golden flax is grown on our farm in northern Minnesota, providing cooler temperatures and
[01:08:21.817 --> 01:08:22.177]  I think?
[01:08:39.068 --> 01:08:40.950]  Nature's Gem Golden Flax is pure.
[01:08:41.090 --> 01:08:44.493]  There is nothing added and nothing taken away and non-GMO.
[01:08:44.633 --> 01:08:46.935]  We offer a 100% money-back guarantee.
[01:08:47.055 --> 01:08:50.738]  Order a Nature's Gem Premium Golden Flax today at GoldenFlax.com.
[01:08:50.898 --> 01:08:52.660]  GoldenFlax.com.
[01:08:52.820 --> 01:08:53.280]  Or call 800-387-5516.
[01:08:53.300 --> 01:08:53.520]  That's 800-387-5516.
[01:08:53.540 --> 01:08:54.221]  Free shipping included.
[01:09:02.441 --> 01:09:04.923]  Don't worry, this show is documented.
[01:09:05.463 --> 01:09:13.308]  Alex Jones on the GCN Radio Network.
[01:09:13.748 --> 01:09:21.232]  Let's go to Ben in Iowa, where they're going to have the big lockdown, the couple towns and gun confiscation drills door-to-door with the Army.
[01:09:22.773 --> 01:09:23.814]  Ben, any news from there?
[01:09:23.854 --> 01:09:25.095]  Give us your take on what's happening.
[01:09:26.496 --> 01:09:30.438]  I called the office at Carroll, Iowa earlier today.
[01:09:31.058 --> 01:09:35.302]  And I think I might have been the first one, because the lady I talked to, I won't say her name, but she had no idea.
[01:09:35.322 --> 01:09:38.104]  You still there?
[01:09:38.544 --> 01:09:39.085]  Yeah, I'm listening.
[01:09:39.765 --> 01:09:43.649]  Okay, and then I called the office and they said, yeah, it's for what they're going to be doing in Iraq.
[01:09:43.689 --> 01:09:45.510]  I don't know that the Iraqis speak English.
[01:09:47.232 --> 01:09:48.172]  Yeah, I know, that's the issue.
[01:09:50.975 --> 01:09:51.235]  Go ahead.
[01:09:51.595 --> 01:09:52.416]  No, no, you go ahead.
[01:09:53.177 --> 01:09:59.302]  Okay, I think that an organized protest would be a lot better than just a bunch of individuals going up in April.
[01:09:59.960 --> 01:10:00.880]  No, no, I agree.
[01:10:01.440 --> 01:10:05.401]  I'm just saying that when I'm running around, I want to, I mean, I can be with crowds of people.
[01:10:05.981 --> 01:10:07.561]  I know, I know, I know.
[01:10:07.841 --> 01:10:08.261]  I agree with you.
[01:10:09.442 --> 01:10:18.763]  But I'd like to say that anybody in Iowa or anybody planning on going up, I could shout out my email address and I think that an organized protest would be better if anybody wants it.
[01:10:19.123 --> 01:10:19.923]  Sure, shout it out.
[01:10:20.103 --> 01:10:21.564]  As things develop, we'll do more of this.
[01:10:22.424 --> 01:10:25.224]  Okay, it's ben.canny at gmail.com.
[01:10:26.945 --> 01:10:29.325]  And yeah, I plan on being there all weekend if I can.
[01:10:30.826 --> 01:10:32.187]  Well, there's two operations.
[01:10:32.227 --> 01:10:36.769]  There's their little FEMA camp drill and then going and subduing the town is the next part of the drill.
[01:10:36.789 --> 01:10:39.731]  I'm going to move and let you go because I want to say bye to my guests.
[01:10:39.791 --> 01:10:41.552]  I have some barbecue coming for you.
[01:10:41.572 --> 01:10:42.132]  It's pretty good.
[01:10:43.513 --> 01:10:46.455]  So we're going to go home and say we've had a barbie with Jonesy.
[01:10:48.257 --> 01:10:50.479]  You know, Texans don't like it when you give us nicknames.
[01:10:50.499 --> 01:10:50.539]  No.
[01:10:50.919 --> 01:10:51.880]  I'm just joking, actually.
[01:10:51.900 --> 01:10:53.482]  Imagine how confused I am in Australia.
[01:10:53.542 --> 01:10:56.264]  A lot of folks have actually, you know, Jonesy, I get called Jonesy a lot.
[01:10:57.045 --> 01:10:58.266]  Shono is terrible, I hate it.
[01:10:59.287 --> 01:10:59.708]  But I get it.
[01:11:00.248 --> 01:11:00.708]  Shono.
[01:11:02.730 --> 01:11:04.672]  Well, you know what, I can't wait to see your production.
[01:11:04.692 --> 01:11:07.415]  I hope you guys send me a copy of it when that happens.
[01:11:08.035 --> 01:11:11.957]  And the website is tacticalrecon.com.au.
[01:11:12.538 --> 01:11:19.762]  And Americans will be able to get to it, maybe, but I guess Australians won't be able to get to infowars.com and prisonplanet.com soon, as announced.
[01:11:20.342 --> 01:11:21.263]  And so that's too bad.
[01:11:21.323 --> 01:11:24.064]  So for everybody that won't be able to listen to us, they're going to have firewalls up as well.
[01:11:24.404 --> 01:11:26.446]  Bye-bye, Australia, behind the Iron Curtain.
[01:11:27.006 --> 01:11:30.268]  And the Iron Curtain is descending ahead as well.
[01:11:32.130 --> 01:11:35.051]  We'll peek out from behind it sometime in the future and say good day.
[01:11:35.651 --> 01:11:37.711]  Well, I just hope folks value information.
[01:11:37.851 --> 01:11:52.015]  I mean, they should be upset that the government wants to keep them from... I mean, they've said they're not going to let the anti-government hate sites and dangerous alternative news... Let me tell you, in our show, we knock on a lot of doors, we ask a lot of questions, we're always in people's faces trying to get to the truth.
[01:11:52.295 --> 01:11:55.656]  We hope people are going to watch the conspiracy hunters and get motivated to do the same thing.
[01:11:56.835 --> 01:11:57.456]  Absolutely.
[01:11:58.256 --> 01:12:00.758]  Well, in closing, gentlemen, I wish you well.
[01:12:00.798 --> 01:12:03.420]  When are you going back to Australia?
[01:12:03.860 --> 01:12:04.420]  Today's time.
[01:12:04.801 --> 01:12:05.721]  Very soon, this weekend.
[01:12:06.522 --> 01:12:08.523]  Yeah, and it's a 14-hour flight, so it's a long one.
[01:12:09.064 --> 01:12:11.145]  What, do you fly to California first, and then... That's correct.
[01:12:11.486 --> 01:12:12.286]  Yeah, out of L.A.
[01:12:12.806 --> 01:12:13.367]  Terrible L.A.
[01:12:13.407 --> 01:12:13.767]  airport.
[01:12:14.628 --> 01:12:18.050]  Yeah, 14 hours, then back in Australia, and then back into the daily grind over there.
[01:12:18.190 --> 01:12:20.312]  It's summertime in Australia, too, so it's not so cold.
[01:12:21.232 --> 01:12:22.774]  You think this is cold right now in Texas?
[01:12:23.314 --> 01:12:26.157]  I've been in the subtropics for a long time now, so I'm used to it.
[01:12:26.297 --> 01:12:26.937]  Acclimatized.
[01:12:27.258 --> 01:12:27.938]  I'm acclimatized.
[01:12:28.499 --> 01:12:29.560]  Even my accent's screwed up.
[01:12:31.001 --> 01:12:36.927]  Yeah, well, I've spent like a week or two in New York before and catch myself going, you know, doing, you know, accents do that.
[01:12:37.338 --> 01:12:39.158]  Y'all, I'm starting to say y'all again.
[01:12:39.238 --> 01:12:39.879]  It's been a long time.
[01:12:39.919 --> 01:12:43.559]  I grew up in Texas originally, but man, I spent a long time practicing not to say y'all.
[01:12:43.579 --> 01:12:45.160]  Hey, we're fixin' to eat some barbecue.
[01:12:45.180 --> 01:12:45.520]  Fixin'?
[01:12:45.980 --> 01:12:47.140]  I'm fixin' to, that's right.
[01:12:47.760 --> 01:12:51.981]  And trying to get these guys some decent Mexican food has been a real challenge.
[01:12:52.021 --> 01:12:52.881]  We hit it last night, though.
[01:12:53.001 --> 01:12:57.502]  We're fixin' to talk to the state representative in Texas who's introduced a bill to reissue sovereignty.
[01:12:57.882 --> 01:13:01.943]  Alright, well your BBQ should be here in just a few minutes.
[01:13:02.703 --> 01:13:07.565]  And it's better to go to the actual restaurants and sit down and pig out on it, but this is pretty good.
[01:13:07.606 --> 01:13:11.908]  Got you some German sausage and some brisket and it's pretty simple stuff.
[01:13:12.148 --> 01:13:13.648]  And some jalapenos, pickled jalapenos.
[01:13:13.669 --> 01:13:14.209]  You should eat one.
[01:13:14.869 --> 01:13:18.251]  These boys eat barbecue a lot, so we should be alright.
[01:13:18.651 --> 01:13:20.512]  You guys have something like barbecue in Australia?
[01:13:20.532 --> 01:13:21.352]  Everybody's got barbecue.
[01:13:21.652 --> 01:13:23.173]  Oh yeah, there's a lot of cattle.
[01:13:23.293 --> 01:13:24.474]  There's lots of beef in Australia.
[01:13:24.534 --> 01:13:25.054]  Every weekend.
[01:13:25.214 --> 01:13:26.055]  It's just not that good.
[01:13:26.235 --> 01:13:27.996]  And they're doing animal ID in Australia too!
[01:13:29.477 --> 01:13:31.458]  Thank you for listening to GCN.
[01:13:31.498 --> 01:13:32.840]  Be sure to visit GCNlive.com today.
[01:13:49.295 --> 01:13:50.876]  Hello friends, this is Alex Jones.
[01:13:50.976 --> 01:13:55.597]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[01:13:55.717 --> 01:13:58.478]  We need to be independent, and food and water is the key.
[01:13:58.698 --> 01:14:01.559]  You'll never have to stand in a bread line if you have your own bread.
[01:14:01.739 --> 01:14:06.441]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[01:14:06.601 --> 01:14:06.921]  We're good.
[01:14:26.454 --> 01:14:32.538]  Visit eFoodsDirect.com and look over the fine list of high-quality, pre-scribed, and dehydrated foods they have to offer.
[01:14:32.719 --> 01:14:36.461]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[01:14:36.481 --> 01:14:37.822]  Again, 1-800-409-5633 or on the web at eFoodsDirect.com.
[01:14:37.842 --> 01:14:38.443]  Take action today.
[01:14:38.483 --> 01:14:40.264]  The first step is getting storable food.
[01:14:52.091 --> 01:15:01.960]  Waging war on corruption Alex Jones on the GCN radio network In the last 36
[01:15:12.455 --> 01:15:20.119]  Forty hours or so, Minnesota, Texas, and some other states have introduced declaratory statements of reaffirming their Tenth Amendment rights.
[01:15:20.700 --> 01:15:25.983]  Other states are on the verge of passing or have passed Tenth Amendment bills saying no gun confiscation, no martial law.
[01:15:27.043 --> 01:15:33.567]  We had a state representative on who's introduced one in Montana that's already done two readings, has a good chance of passing right now in their session.
[01:15:34.247 --> 01:15:35.068]  But folks want a
[01:15:36.408 --> 01:15:50.620]  statement in Texas about sovereignty and that has indeed happened and during this week it got written up by Representative Leo Berman, representative of 6th Legislative District, Smith County, right here in the great state of Texas.
[01:15:51.080 --> 01:15:54.863]  And you can go up to Infowars.com and the sites and read HCR 50.
[01:15:55.764 --> 01:16:01.369]  But to go over that with us is the man that penned the bill and has now introduced it, Representative Leo Berman.
[01:16:01.409 --> 01:16:02.590]  Sir, thank you for coming on with us.
[01:16:03.200 --> 01:16:04.741]  Alex, it's a pleasure to be with you.
[01:16:04.801 --> 01:16:10.804]  And actually, next week I'm going to file another resolution, and that resolution will do the same thing.
[01:16:10.864 --> 01:16:15.086]  However, it's going to cover both the 9th and the 10th Amendments to the U.S.
[01:16:15.146 --> 01:16:15.966]  Constitution.
[01:16:15.986 --> 01:16:21.269]  And what we have there now, HCR 50, just talks about our rights under the 10th Amendment.
[01:16:22.169 --> 01:16:24.590]  What we're doing is reaffirming our sovereignty.
[01:16:25.111 --> 01:16:30.113]  We're telling Washington that if you're going to mandate anything on the state of Texas,
[01:16:30.879 --> 01:16:33.160]  If it's not fully contained in the U.S.
[01:16:33.220 --> 01:16:35.540]  Constitution, we're not going to do it.
[01:16:36.380 --> 01:16:43.762]  And the reason we're doing this, we're taking action, is because of the, we understand there's going to be a federal handgun registration.
[01:16:43.942 --> 01:16:47.423]  We don't want him to know where all of our guns are here in Texas.
[01:16:48.063 --> 01:16:51.564]  And also, there's another bill, a federal hate crimes bill.
[01:16:51.584 --> 01:16:58.125]  If you open up your Old Testament to the Bible and read in the Book of Exodus that homosexuality is an abomination,
[01:16:58.843 --> 01:17:03.686]  You could be charged with a crime under that bill, and that's exactly what's happening in Canada right now.
[01:17:04.606 --> 01:17:08.488]  So we're just saying, if it's not in the Constitution, don't tell us about it.
[01:17:08.868 --> 01:17:11.450]  Don't ask us to do it, because we're not going to do it.
[01:17:12.710 --> 01:17:17.813]  Why are resolutions needed like this, but not just resolutions, the states acting on these resolutions?
[01:17:17.853 --> 01:17:25.557]  I mean, you know, the unfunded mandates, federal gun restriction laws, Northcom announcing that they're going to be over the states and over state governors.
[01:17:25.617 --> 01:17:27.118]  I mean, we haven't seen this since the Civil War.
[01:17:27.779 --> 01:17:31.201]  Well, you're absolutely right, and you just answered the question yourself, Alex.
[01:17:31.241 --> 01:17:33.642]  They're running all over us, and they can't do that.
[01:17:34.162 --> 01:17:42.126]  We're going to reassert our rights under the 9th and 10th Amendments, and let Mr. Obama know, we don't want socialism in Texas.
[01:17:42.586 --> 01:17:45.507]  We don't want socialism anywhere in the United States.
[01:17:46.248 --> 01:17:48.569]  And if you're going to push us, we're going to push back.
[01:17:48.689 --> 01:17:49.049]  Period.
[01:17:49.520 --> 01:18:10.036]  Well, for those that don't know, Bloomberg reports $9.7 trillion taken, not $840 billion, and now under the stimulus package it's basically total federalization, just all sorts of databases and federal control, and they're talking about now taking taxpayer money and giving hundreds of billions of dollars of it to corporations and private groups and individuals.
[01:18:10.077 --> 01:18:11.077]  I mean, this is robbery!
[01:18:11.117 --> 01:18:11.978]  This is bank robbery!
[01:18:12.338 --> 01:18:17.863]  It's absolute robbery, but Obama said he's going to redistribute wealth, and this is his way of redistributing wealth.
[01:18:18.584 --> 01:18:31.674]  Before I got back up to my office this afternoon, I was listening to talk radio in my car, and Rush was telling about much of this money going to help pay people's rent, their deposit on an apartment.
[01:18:32.234 --> 01:18:40.821]  It's unbelievable, but this is a direct transfer of money from our kids and our grandkids in the future to people now.
[01:18:42.017 --> 01:18:43.899]  And it's wrong, and it needs to stop.
[01:18:44.159 --> 01:18:45.200]  Well, notice what's happened.
[01:18:45.680 --> 01:18:47.642]  These foreign banks have bankrupted the U.S.
[01:18:47.662 --> 01:18:50.304]  with their derivatives and all this garbage.
[01:18:50.645 --> 01:18:54.948]  They get the bailout money in October, and day one say, we're not using it to unfree the mortgages now.
[01:18:55.849 --> 01:19:01.674]  And it's also going to inflate the money supply and devalue people's savings.
[01:19:01.734 --> 01:19:03.776]  I mean, this is only going to make it worse.
[01:19:04.877 --> 01:19:06.499]  I think it's going to make it a lot worse.
[01:19:06.639 --> 01:19:08.941]  And, Alex, I'm very much ashamed that
[01:19:09.591 --> 01:19:12.153]  The first money came out of the Bush administration.
[01:19:12.473 --> 01:19:13.314]  You know, I hate that.
[01:19:14.094 --> 01:19:16.456]  He should not have done anything at that time.
[01:19:17.157 --> 01:19:18.918]  The market would have corrected itself.
[01:19:19.458 --> 01:19:21.840]  I still believe the market will correct itself.
[01:19:22.501 --> 01:19:26.764]  It's done so for over 231 years, as long as we've been in the nation.
[01:19:27.725 --> 01:19:30.887]  But to spend that kind of money, it is ridiculous.
[01:19:31.207 --> 01:19:33.689]  You can take $50,000 to $100,000 out of that $2 trillion bailout.
[01:19:39.525 --> 01:19:42.186]  And give it to every single family in the United States.
[01:19:42.966 --> 01:19:45.247]  They would buy a new car, they would pay off their homes.
[01:19:45.547 --> 01:19:48.128]  That would do better than what he's doing right now.
[01:19:48.148 --> 01:19:49.929]  Yeah, because this isn't even pure socialism.
[01:19:49.989 --> 01:19:52.510]  It's government bureaucracy taking over and getting us dependent.
[01:19:53.010 --> 01:19:53.550]  Stay there.
[01:19:53.570 --> 01:19:55.911]  I want to get into what the states are going to do to resist this.
[01:19:59.653 --> 01:20:06.035]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[01:20:06.415 --> 01:20:08.056]  The enemy struck America on September 11th.
[01:20:09.048 --> 01:20:10.069]  But who is the enemy?
[01:20:10.590 --> 01:20:11.090]  Bin Laden.
[01:20:11.391 --> 01:20:12.372]  This is his M.O.
[01:20:12.392 --> 01:20:13.693]  We have to look to the Middle East.
[01:20:13.733 --> 01:20:15.415]  We have to look to Osama Bin Laden.
[01:20:15.756 --> 01:20:22.503]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[01:20:22.904 --> 01:20:23.344]  Some U.S.
[01:20:23.384 --> 01:20:29.031]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[01:20:29.711 --> 01:20:33.214]  I'm aware that some Israeli citizens have been detained.
[01:20:33.234 --> 01:20:36.016]  Either you are with us, or you are with the terrorists.
[01:21:00.120 --> 01:21:05.605]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S.
[01:21:05.645 --> 01:21:06.165]  and the world.
[01:21:06.426 --> 01:21:09.888]  And for the first time in their lives, they are feeling the need for preparedness.
[01:21:10.289 --> 01:21:16.514]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[01:21:16.794 --> 01:21:18.576]  Ready Reserve is the manufacturer.
[01:21:18.816 --> 01:21:26.763]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish with double enameled cans and nitrogen packaging.
[01:21:27.043 --> 01:21:31.469]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[01:21:31.750 --> 01:21:37.277]  Other companies are quoting delivery times of one to two months, while Ready Reserve ships within five business days.
[01:21:37.558 --> 01:21:39.560]  Many companies do not even offer a catalog.
[01:21:39.741 --> 01:21:41.984]  We will be more than happy to send a catalog to you
[01:21:42.324 --> 01:21:43.104]  Free of charge.
[01:21:43.404 --> 01:21:43.725]  Dial 1-800-453-2202.
[01:21:43.745 --> 01:21:43.805]  1-800-453-2202.
[01:21:43.825 --> 01:21:45.345]  Or visit our website at ReadyReserveFoods.com.
[01:21:45.365 --> 01:21:47.486]  Factory direct, wholesale pricing from Ready Reserve Foods.
[01:21:47.506 --> 01:21:47.946]  Call us at 1-800-453-2202.
[01:21:59.361 --> 01:22:02.745]  More than 700 chemicals have been found in our drinking water.
[01:22:02.885 --> 01:22:08.091]  And did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[01:22:08.291 --> 01:22:12.977]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[01:22:14.258 --> 01:22:24.601]  KDF Dual Medias Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae and fungus.
[01:22:24.961 --> 01:22:30.502]  The KDF Dual Medias Shower Filter typically lasts 10,000 gallons or 1 year whichever comes first.
[01:22:30.722 --> 01:22:36.784]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals and bacteria.
[01:22:36.984 --> 01:22:37.644]  What about you?
[01:22:38.024 --> 01:22:42.666]  Order your KDF Shower Filter normally, $49 for our special price of only $39.99 with free shipping.
[01:22:44.446 --> 01:22:47.507]  Call the Berkey Guy and order now by calling 1-877-886-3653.
[01:22:47.767 --> 01:22:51.287]  That's 1-877-886-3653.
[01:22:53.748 --> 01:22:57.249]  Or simply click on the banner at GCNlive.com to order online now.
[01:23:00.429 --> 01:23:02.670]  He's the T-Rex of political talk.
[01:23:03.190 --> 01:23:05.991]  Alex Jones on the GCN Radio Network.
[01:23:10.669 --> 01:23:15.633]  He is with the 6th Legislative District of Smith County.
[01:23:16.654 --> 01:23:19.476]  Here in Texas, Representative Leo Berman.
[01:23:19.896 --> 01:23:23.359]  He's introduced HCR 50 under 10th Amendment.
[01:23:24.319 --> 01:23:25.360]  Tell him the Fed's back off.
[01:23:25.380 --> 01:23:29.383]  He's introducing a larger 9th and 10th Amendment bill next week.
[01:23:29.403 --> 01:23:33.146]  Tell us the difference between these two bills and why you're doing it as two parts.
[01:23:34.507 --> 01:23:35.568]  And then as we see 29 states
[01:23:37.808 --> 01:23:39.729]  28 states, this is the 29th about to declare.
[01:23:40.289 --> 01:23:45.252]  Some of them are even passing it, saying no to the system in the early 90s.
[01:23:46.193 --> 01:23:49.174]  14 states passed, East Colorado, California, and others.
[01:23:49.214 --> 01:23:50.555]  They're not talking about enforcing them.
[01:23:51.715 --> 01:24:01.821]  As things collapse, as the feds take our money, send a lot of it to foreign offshore banks, as the New York Times admits they're doing, they're buying up insurance corporations, other healthy banks, this vertical integration.
[01:24:03.423 --> 01:24:11.607]  Time Magazine had a headline last week, The New World Order, said a new bank of the world will regulate and control the U.S., will pay carbon taxes to them.
[01:24:11.827 --> 01:24:22.072]  So can you speak to the two bills and where you see this going as the feds basically try to federalize the states and what do you think is going to happen, sir?
[01:24:24.369 --> 01:24:26.069]  Well, let me answer your first question.
[01:24:26.129 --> 01:24:29.490]  First, you asked me about what I'm going to file next week.
[01:24:29.550 --> 01:24:33.911]  Next week, we're going to file a resolution which includes the 9th and the 10th Amendment.
[01:24:34.452 --> 01:24:36.712]  The 10th Amendment reasserts states' rights.
[01:24:37.132 --> 01:24:48.095]  The 9th Amendment says that any issue which is enumerated in the United States Constitution does not preclude a state from doing the same.
[01:24:48.855 --> 01:24:50.436]  And that's what the 9th Amendment is.
[01:24:50.476 --> 01:24:51.316]  So, for example,
[01:24:51.946 --> 01:24:53.287]  Since the U.S.
[01:24:53.347 --> 01:25:02.155]  government, the federal government, is not dealing at all on illegal aliens, we're going to try and deal with 2 million illegal aliens right here in Texas.
[01:25:02.716 --> 01:25:06.058]  In fact, I filed 13 bills to deal with illegal aliens.
[01:25:06.119 --> 01:25:07.019]  We've had debates.
[01:25:07.600 --> 01:25:13.105]  They're costing us $4 billion a year in Texas and across the United States.
[01:25:13.625 --> 01:25:15.046]  I believe the number I saw was $338 billion a year.
[01:25:18.430 --> 01:25:21.231]  Which is more than what we're spending in Iraq.
[01:25:21.592 --> 01:25:32.577]  If we gave one-fourth of that $4 billion to the state police and commanded them, because they're so federalized, to go protect the border, they could protect that border and secure it, couldn't they?
[01:25:32.597 --> 01:25:36.079]  I mean, couldn't a billion dollars put thousands of state police on the border?
[01:25:36.679 --> 01:25:38.140]  Absolutely, without question.
[01:25:38.180 --> 01:25:41.401]  And Alex, since you bring that up, I'm going to bring up something else here.
[01:25:42.122 --> 01:25:46.544]  If we can't deal with illegal aliens in Texas during this legislative session,
[01:25:47.225 --> 01:25:58.128]  I intend to announce my candidacy for Governor of Texas and use the executive power of the Office of Governor to do exactly as you just suggested, to deal with illegal aliens.
[01:25:58.649 --> 01:26:02.990]  We have a lot of people in Texas who don't want to touch them.
[01:26:03.030 --> 01:26:10.212]  I'm talking about statewide Republican leaders or statewide national leaders who have their heads buried in the sand.
[01:26:10.832 --> 01:26:16.214]  And when I ask them why they won't deal, their answer is they don't want to lose the Hispanic vote.
[01:26:17.188 --> 01:26:25.680]  And I asked him, what about your oath of office where you say you're going to preserve, protect, and defend the Constitution and laws of the United States and the state of Texas?
[01:26:26.081 --> 01:26:29.806]  And what about doing what's right instead of looking toward a Hispanic vote?
[01:26:30.239 --> 01:26:31.420]  To get you re-elected.
[01:26:31.800 --> 01:26:36.602]  But Mr. Berman, to interrupt you, and I want you to continue, this is very important information.
[01:26:37.663 --> 01:26:38.904]  I've seen the Gallup polls.
[01:26:39.704 --> 01:26:43.506]  Upwards of 80% of Hispanic Americans want to control the borders as well.
[01:26:43.546 --> 01:26:53.372]  They know that 100 million people down south with that country, admittedly, El Paso Times and Homeland Security saying on the verge, USA Today by the way, collapsing.
[01:26:54.511 --> 01:26:55.932]  We've got to do something.
[01:26:56.212 --> 01:26:58.732]  I mean, do we want to have $1 an hour wages?
[01:26:58.772 --> 01:27:03.694]  Do we want this to bankrupt all the cities and counties and have to pay for all the health care and the anchor babies?
[01:27:04.174 --> 01:27:05.715]  I mean, so that's another fraud.
[01:27:06.175 --> 01:27:15.078]  The media acts like all Hispanics want an open border and make it some racial issue, when it's an issue of a third world narco-terrorist state to our south collapsing.
[01:27:15.098 --> 01:27:15.498]  Go ahead.
[01:27:16.118 --> 01:27:21.520]  Alex, you hit the nail right on the head, and let me tell you the second biggest opponent to dealing with illegal aliens.
[01:27:22.360 --> 01:27:24.101]  The business community in Texas.
[01:27:24.878 --> 01:27:35.280]  There's an organization called the Texas Association of Business, which is our statewide chamber of commerce organization, and they want this large pool of cheap labor.
[01:27:36.240 --> 01:27:49.182]  But if people would just raise their wages up about 8% with our 6% unemployment rate in Texas, Americans will start taking all those jobs that illegal aliens hold right now.
[01:27:50.342 --> 01:27:52.683]  We've got to deal with them because we also have 25,000
[01:27:54.767 --> 01:28:00.750]  Illegal aliens in our state prison and our county jails at a cost of $40 million a year.
[01:28:01.470 --> 01:28:09.214]  We're treating them for multi-drug resistant TB, polio, the plague, leprosy, malaria, Chagas disease.
[01:28:10.355 --> 01:28:11.976]  It's costing us a fortune.
[01:28:12.476 --> 01:28:14.257]  It's bankrupting our hospitals.
[01:28:14.337 --> 01:28:23.922]  We have chaos in our emergency rooms, yet we have legislators and higher up legislators who don't want to touch illegal aliens.
[01:28:24.182 --> 01:28:24.422]  I do.
[01:28:25.106 --> 01:28:31.535]  And we have some 35 bills that have been filed so far in Texas to deal with illegal aliens in Texas.
[01:28:31.955 --> 01:28:42.329]  And while we're talking about that, the stimulus package, somewhere in the stimulus package, it also maintains jobs for illegal aliens at the expense of U.S.
[01:28:42.349 --> 01:28:42.830]  citizens.
[01:28:44.542 --> 01:28:46.764]  Well, I'm looking at your record here, U.S.
[01:28:46.804 --> 01:28:52.370]  Army Field Artillery Officer Candidate School Hall of Fame, all the great work you've done for the Second Amendment.
[01:28:53.671 --> 01:28:54.932]  Which committees are you on?
[01:28:54.972 --> 01:28:56.273]  How do we support these bills?
[01:28:56.313 --> 01:28:57.635]  How do Texans get behind this?
[01:28:58.756 --> 01:29:04.121]  Well, the first one I'm going to talk about is HCR 50, which reasserts our state's rights.
[01:29:05.082 --> 01:29:09.226]  Anybody in Texas can contact their own state representative and senators
[01:29:09.787 --> 01:29:15.450]  And ask them to support HCR, which means House Concurrent Resolution Number 50.
[01:29:17.391 --> 01:29:26.496]  When the bills concerning illegal aliens start being heard, you'll see that in every newspaper in the state, and people can come in and testify.
[01:29:27.216 --> 01:29:32.459]  They can call their representatives again, and senators, to ask them to support these bills.
[01:29:33.450 --> 01:29:38.691]  We don't want to continue to spend four billion dollars a year on illegal aliens.
[01:29:38.791 --> 01:29:40.472]  And by the way, that's a conservative number.
[01:29:40.492 --> 01:29:47.594]  I've seen Houston Chronicle articles with the headline, 200,000 illegals released from Houston jails in one year.
[01:29:47.614 --> 01:29:59.277]  I mean, I have had, I've pulled up in my parking lot at my office, one of my guys had an expired driver's license, and the police were saying, we now take you to jail for this, and I walked up, and I said,
[01:30:00.211 --> 01:30:06.835]  And the police all knew me from a local TV show, and I said, I said, if he was an illegal alien, you wouldn't take him to jail.
[01:30:06.855 --> 01:30:07.875]  And they said, yeah, that's right.
[01:30:07.915 --> 01:30:10.917]  We kind of get in trouble for that because the judges just let him go.
[01:30:11.497 --> 01:30:13.679]  The illegal aliens are above the American people.
