[00:00:00.529 --> 00:00:03.510]  Seminal film, Endgame, Blueprint for Global Enslavement.
[00:53:06.950 --> 00:53:09.111]  And the new documentary by Dr. Michael Kaufman,
[00:53:10.931 --> 00:53:13.752]  And he's got a great host as well hosting the film.
[00:53:14.313 --> 00:53:17.154]  This will deprogram your neighbors, your friends and family.
[00:53:17.554 --> 00:53:19.235]  This is a life and death situation.
[00:53:19.935 --> 00:53:27.779]  See, the socialists, the communists, the fascists, the command and controllers, the collectivists, they always need a new fraud, a new scam.
[00:53:27.799 --> 00:53:29.579]  That's always how they're saving the world.
[00:53:29.599 --> 00:53:30.200]  That's what they're doing.
[00:53:30.680 --> 00:53:34.522]  When you get to the bottom line, this is the news from the last week of eugenics.
[00:53:35.737 --> 00:53:37.658]  Chinese babies sold for adoption.
[00:53:37.678 --> 00:53:44.321]  If you have more than one child and can't pay the fine, the Chinese government comes and takes your child and sells it to the United States.
[00:53:44.861 --> 00:53:47.082]  That's BBC.
[00:53:47.762 --> 00:53:48.783]  BBC.
[00:53:49.563 --> 00:53:53.125]  Now this is what Obama's Chief of Science has said.
[00:53:53.165 --> 00:53:54.185]  He said, have CPS.
[00:53:55.066 --> 00:53:56.446]  Take everybody's kids, basically.
[00:53:56.506 --> 00:53:58.587]  Everybody gets a government visit to see if you can keep your kids.
[00:53:58.947 --> 00:54:00.908]  Chinese baby girls sold for adoption.
[00:54:01.889 --> 00:54:04.089]  Having large families is an eco-crime.
[00:54:04.150 --> 00:54:04.970]  Times of London.
[00:54:07.492 --> 00:54:08.753]  Children bad for planet.
[00:54:08.813 --> 00:54:09.815]  News of Australia.
[00:54:12.337 --> 00:54:15.961]  Judge arranges sterilization as part of Charleston woman's probation.
[00:54:17.963 --> 00:54:20.166]  Two children should be limited, says Green Guru.
[00:54:20.766 --> 00:54:23.009]  Study finds high-fructose corn syrup contains mercury.
[00:54:23.069 --> 00:54:23.869]  They do that on purpose.
[00:54:24.250 --> 00:54:24.931]  Washington Post.
[00:54:25.571 --> 00:54:27.714]  Infertility linked to common household chemicals.
[00:54:28.809 --> 00:54:32.310]  Rockefeller Foundation proof where they admit they fund all the eugenics.
[00:54:32.430 --> 00:54:33.210]  Thought I'd show you that.
[00:54:33.770 --> 00:54:36.211]  Baby tax needed to save planet claims experts.
[00:54:36.631 --> 00:54:38.952]  Ladies and gentlemen, I have seven stacks here.
[00:54:39.652 --> 00:54:41.113]  I'll never even get through half of one of these.
[00:54:43.493 --> 00:54:46.954]  OzTV advises CO2 emitting children die early.
[00:54:47.274 --> 00:54:52.456]  This is... I also have the ABC News article where they told kids killing themselves is good.
[00:54:53.649 --> 00:54:56.890]  And then shows pools of blood saying animals die if you don't die.
[00:54:56.910 --> 00:54:59.671]  This is sick, sick, sick!
[00:55:00.071 --> 00:55:05.993]  Remember Al Gore a few months ago telling kids their parents are stupid, don't believe them, global warming's real?
[00:55:07.494 --> 00:55:12.275]  Here's Pelosi, every aspect of our lives must be subject to an inventory under green taxes.
[00:55:14.576 --> 00:55:17.037]  Texas unknowingly donate children's blood to research.
[00:55:17.157 --> 00:55:19.538]  Austin American-Statesman, that's for the eugenics genome.
[00:55:21.496 --> 00:55:23.497]  Kidnappers swoop on China's girls.
[00:55:25.158 --> 00:55:26.239]  Obama's first act.
[00:55:26.339 --> 00:55:28.540]  Taxpayer money to fund abortions of black babies.
[00:55:28.560 --> 00:55:35.124]  If you don't like killing blacks, you don't like blacks.
[00:55:36.324 --> 00:55:39.786]  Here's one where the globalists are happy there's more abortions now that the economy's imploding.
[00:55:41.848 --> 00:55:43.829]  Here's where they knowingly put HIV in the blood.
[00:55:44.844 --> 00:55:46.726]  I'm sorry, Dr. Kaufman, I'm ranting here.
[00:55:46.987 --> 00:55:54.916]  I mean, here's Justice Ginsburg says she originally thought Roe v. Wade was designed to limit populations that we didn't want to have too many of.
[00:55:55.276 --> 00:55:56.858]  Oh, how liberal to kill the blacks!
[00:55:57.459 --> 00:56:01.344]  I mean, why is Margaret Singer worshipped if she said blacks were subhuman?
[00:56:03.362 --> 00:56:04.624]  It's a very good question.
[00:56:05.725 --> 00:56:18.559]  Why does the public seem to put on pedestals both scientists who are lying through their teeth, those nutcases like Singer who have made all these proclamations in the past.
[00:56:19.640 --> 00:56:22.223]  I'm not talking about Fred Singer, the climate scientist.
[00:56:23.124 --> 00:56:23.805]  I'm talking about
[00:56:25.127 --> 00:56:33.674]  Margaret Singer, yes, who has made all these predictions and has done everything she can to bring to fruition eugenics.
[00:56:34.735 --> 00:56:41.720]  And all the rest of these, it's just like there is, and I think this is really true, there is a great delusion.
[00:56:41.740 --> 00:56:43.762]  You know the Bible talks about the great delusion.
[00:56:43.802 --> 00:56:44.402]  This isn't it.
[00:56:44.923 --> 00:56:51.367]  But we're seeing evidence that the whole world can be deluded to a major extent by what we're seeing right now.
[00:56:51.488 --> 00:56:54.390]  I have never witnessed anything like it in my lifetime.
[00:56:55.046 --> 00:57:00.516]  Well, we have offshore banks that have stolen $14.8 trillion, according to Bloomberg, who engineered the crisis.
[00:57:00.876 --> 00:57:04.402]  Now they want another banker bailout that gives them power over the whole economy.
[00:57:04.943 --> 00:57:05.124]  Right.
[00:57:05.919 --> 00:57:09.662]  I mean, but the public's concerned about Michael Jackson being dead.
[00:57:09.702 --> 00:57:11.123]  Dr. Coughlin, one minute break.
[00:57:11.563 --> 00:57:17.047]  I know you've got to leave, but I want to do five more minutes with you to cover a few final topics and talk about the video on the other side.
[00:57:17.607 --> 00:57:21.150]  Then we've got a guest coming on the show, just for a segment or two.
[00:57:21.970 --> 00:57:25.012]  The police say he's not allowed to have an American flag upside down.
[00:57:26.413 --> 00:57:29.876]  They think it's unpatriotic because they're as dumb as a two-by-four.
[00:57:32.248 --> 00:57:37.351]  America's number one source for independent talk radio for over a decade.
[00:57:37.932 --> 00:57:41.334]  We are the GCN Radio Network.
[00:57:42.054 --> 00:57:43.615]  Hello friends, this is Alex Jones.
[00:57:43.755 --> 00:57:48.378]  I've told you for a long time it's important to be self-sufficient and today that's more important than ever.
[00:57:48.498 --> 00:57:51.240]  We need to be independent and food and water is the key.
[00:57:51.460 --> 00:57:54.322]  You'll never have to stand in a bread line if you have your own bread.
[00:57:54.502 --> 00:58:00.346]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[00:58:00.566 --> 00:58:03.508]  No one is going to take care of your family in the final equation but you.
[00:58:03.808 --> 00:58:10.713]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:58:10.793 --> 00:58:13.935]  And they do it at almost half the cost of last year's grocery prices.
[00:58:14.075 --> 00:58:15.976]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com.
[00:58:19.218 --> 00:58:25.304]  Visit efoodsdirect.com and look over the fine list of high-quality, prescribed, and dehydrated foods they have to offer.
[00:58:25.484 --> 00:58:29.227]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:58:29.247 --> 00:58:30.568]  Again, 1-800-409-5633 or on the web at efoodsdirect.com.
[00:58:30.588 --> 00:58:31.189]  Take action today.
[00:58:31.229 --> 00:58:33.051]  The first step is getting scorable food.
[00:58:44.821 --> 00:58:46.762]  Waging war on corruption.
[00:58:47.202 --> 00:58:50.144]  Alex Jones on the GCN Radio Network.
[00:58:53.686 --> 00:58:57.187]  It's our final segment with Dr. Michael Kaufman.
[00:59:06.926 --> 00:59:09.607]  The entire planet's being issued through an international treaty.
[00:59:09.647 --> 00:59:11.348]  It's ID cards under biometrics.
[00:59:11.368 --> 00:59:13.128]  That'll be the new world currency.
[00:59:13.209 --> 00:59:14.669]  It'll just be a cashless system.
[00:59:14.969 --> 00:59:20.331]  Here's the Times of London, India issues all 1.2 billion citizens with biometric ID cards.
[00:59:21.112 --> 00:59:24.013]  And they say, hey, we've got lots of health care, lots of government help.
[00:59:24.513 --> 00:59:26.434]  Just buy and sell with this card.
[00:59:27.372 --> 00:59:29.573]  And then now they can micromanage society.
[00:59:29.593 --> 00:59:31.894]  Now the social planners can control things.
[00:59:32.374 --> 00:59:34.876]  That's what the environmental movement admits they're about.
[00:59:35.256 --> 00:59:41.699]  Cutting off resources to force the destruction of growth, then to implode society.
[00:59:43.584 --> 00:59:44.945]  to make you become domesticated.
[00:59:45.406 --> 00:59:52.813]  Dr. Michael Kaufman, I wanted to continue to talk about the film Global Warming, Emerging Science and Understanding here in this final segment.
[00:59:53.033 --> 00:59:57.618]  We're carrying this and your other documentary, Global Warming or Global Governance.
[00:59:57.838 --> 01:00:02.642]  Everyone needs to see this, just because our listeners
[01:00:04.076 --> 01:00:05.458]  They know all about this.
[01:00:05.539 --> 01:00:07.742]  Their friends, their family, other school teachers.
[01:00:08.103 --> 01:00:09.164]  People don't know.
[01:00:09.685 --> 01:00:12.770]  And so we need to reach out and educate the public.
[01:00:12.830 --> 01:00:17.658]  Even if they pass these global carbon taxes, we've got to fight it and expose it so we can repeal it.
[01:00:18.019 --> 01:00:18.640]  Dr. Kaufman.
[01:00:19.213 --> 01:00:33.172]  Absolutely, there is no question about that and one of the reasons we did this second DVD was to bring brand new information into the debate as well as format it in a way that you can give to your friends and neighbors in a very easy to understand format.
[01:00:34.233 --> 01:00:36.555]  You can give it to your six school science teachers.
[01:00:36.715 --> 01:00:42.479]  It's designed for classroom showing to combat Al Gore's inconvenient truth.
[01:00:42.999 --> 01:00:45.000]  It's designed to share with other people.
[01:00:45.020 --> 01:00:54.687]  You can make copies of it, not to sell it, but to make copies to give to your friends and neighbors and to your school teachers and so forth to try to spread this word.
[01:00:54.747 --> 01:01:00.931]  Because once they see this, and it's extremely well done folks, this is Order of Magnitude better than my first
[01:01:01.491 --> 01:01:02.733]  Thank you very much.
[01:01:19.958 --> 01:01:20.618]  Absolutely.
[01:01:20.678 --> 01:01:22.099]  Let me just ask you a side issue.
[01:01:22.159 --> 01:01:26.119]  What feedback have you gotten now two years into Endgame being out?
[01:01:26.460 --> 01:01:30.620]  Because Endgame is, I think, my best film, my most important film.
[01:01:31.481 --> 01:01:37.642]  Obama Deception is my biggest film because it shatters the left-right paradigm and shows his real agenda, and it covers some eugenics.
[01:01:38.222 --> 01:01:41.423]  But what feedback have you gotten being in Endgame?
[01:01:41.923 --> 01:01:54.033]  Very heavy feedback, Alex, from a lot of people calling to find out exactly, because I'm only on there for maybe five minutes totally, finding out my view on what the whole DVD is about.
[01:01:54.073 --> 01:01:59.116]  And again, I'm not an expert on eugenics, so I have to say basically I know about as much as you do on that issue.
[01:01:59.677 --> 01:02:02.899]  But nonetheless, people are very interested in it.
[01:02:02.979 --> 01:02:09.505]  When I say that it's actually worse than what you portrayed on that, but we can't really say that it's bad enough, what we say on that DVD.
[01:02:11.206 --> 01:02:12.668]  Well, we need to make your new film
[01:02:26.401 --> 01:02:32.804]  Well, I'm going to be really hammering the eugenics issue, the global carbon tax issue, as we try to defeat what's happening in the Senate.
[01:02:47.062 --> 01:02:53.351]  It looks like we may be able to stop it because they were able to hide the bill, 300 pages of it, until it passed.
[01:02:53.852 --> 01:02:58.939]  Now though, it is public and I think it may get beaten, but they're not going to stop there.
[01:02:59.019 --> 01:03:00.462]  So we're definitely in a serious fight.
[01:03:01.038 --> 01:03:20.184]  Yes, we definitely are, and we need to keep the fight up, not only with global warming, that's where I'm focusing right now, my efforts, because you can only do one thing at a time, but this water issue is a crisis, the healthcare issue is a crisis, all of these things, we need to be active, and just call in your Senators and Congressmen and say, no, we're not going to vote for that.
[01:03:20.324 --> 01:03:24.726]  If you do, I'm not going to, I'm going to do everything I can to see that you're not elected again.
[01:03:25.803 --> 01:03:37.072]  And I think I would really encourage some state where they really have an ability to get in there and recall some of their senators and congressmen when they vote for this garbage without even reading it.
[01:03:37.092 --> 01:03:37.673]  Well, I agree.
[01:03:37.733 --> 01:03:40.875]  You know, that ties into the eugenics, the government-run healthcare.
[01:03:41.336 --> 01:03:46.780]  They want to carry their eugenics out against us, including forced abortions, as the White House chief says, science chief.
[01:03:46.980 --> 01:03:48.481]  Dr. Kaufman, great having you with us.
[01:03:48.982 --> 01:03:50.083]  Thank you for having me back.
[01:03:50.640 --> 01:03:51.560]  We'll talk to you again soon.
[01:04:06.587 --> 01:04:13.370]  The new Silver Solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[01:04:13.690 --> 01:04:19.212]  This new technology has proven itself to be a formidable weapon against bio-threats of today and tomorrow.
[01:04:19.452 --> 01:04:25.394]  The new Silver Solution gel has been shown to disinfect topically and keep the area sanitized for up to four hours.
[01:04:25.754 --> 01:04:32.016]  The New Silver Solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[01:04:32.417 --> 01:04:36.798]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[01:04:37.058 --> 01:04:40.080]  Check out the patented New Silver Solution today.
[01:04:40.440 --> 01:04:43.741]  Click on the link and check out the uses for New Silver Solution.
[01:04:44.121 --> 01:04:48.803]  Order this extra line of defense today by going to SupernaturalSilver.com.
[01:04:48.943 --> 01:04:51.064]  That's SupernaturalSilver.com today.
[01:04:51.783 --> 01:04:55.766]  Hello friends, this is Alex Jones and I want each of you to ask yourself this question.
[01:04:56.027 --> 01:04:57.808]  Do you really know what's in your tap water?
[01:04:58.028 --> 01:05:06.315]  In a recent study conducted by a major environmental auditor, they found that over 260 chemicals and pollutants are present in municipal drinking water.
[01:05:06.556 --> 01:05:11.780]  Many of these chemicals are directly linked to cancer, reproductive, immune, and developmental system diseases.
[01:05:12.100 --> 01:05:13.722]  Now what are you going to do about it?
[01:05:13.962 --> 01:05:20.284]  The Ecola Blue Atmospheric Water Generator is a low-cost way to take back control of you and your family's drinking water.
[01:05:20.464 --> 01:05:31.228]  The Ecola Blue 28 produces up to 7 gallons of water from the humidity in the atmosphere and uses state-of-the-art carbon filtration, reverse osmosis, and ultra-violent light sterilization techniques.
[01:05:31.529 --> 01:05:32.029]  That's right.
[01:05:32.289 --> 01:05:34.590]  Clean water, right from the air you breathe.
[01:05:34.850 --> 01:05:36.430]  Order today by calling 1-800-691.
[01:05:38.371 --> 01:05:39.012]  We're good to go.
[01:05:52.142 --> 01:05:59.011]  You already know drinking pure high alkaline pH water is the most important factor in maintaining high energy and vibrant health.
[01:05:59.331 --> 01:06:03.737]  Most experts agree that the water you drink should be at a pH level of 8 or higher.
[01:06:04.017 --> 01:06:08.884]  Alkavision Plasma pH Drops combine a unique formula of the most alkaline ingredients.
[01:06:09.204 --> 01:06:16.689]  Using Plasma pH Drops is one of the best ways to make your water alkaline to help you get rid of acid and regain your health and energy.
[01:06:16.949 --> 01:06:21.211]  Simply put 10 drops per liter of water you drink to raise the pH to the ultimate level.
[01:06:21.511 --> 01:06:27.455]  Alkalizing water helps your body rid itself of acidic waste and increases the oxygen content of your body.
[01:06:27.715 --> 01:06:33.479]  Disease organisms like bacteria and cancer cannot survive in an alkaline, high pH environment.
[01:06:33.679 --> 01:06:38.962]  Order your bottle of AlkaVision Plasma pH Drops now by going directly to alkavision.com.
[01:06:39.242 --> 01:06:43.046]  That's ALKAVISION.COM or by calling 269-216-9767.
[01:06:43.086 --> 01:06:43.807]  That's 269-216-9767 today!
[01:06:53.570 --> 01:06:59.596]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:07:00.196 --> 01:07:03.239]  It's Alex Jones and the GCN Radio Network.
[01:07:04.040 --> 01:07:05.621]  Vito Congini Jr.
[01:07:05.661 --> 01:07:10.666]  got back from Iraq, as a veteran, thought he'd open a little Italian food restaurant.
[01:07:11.186 --> 01:07:14.529]  They said, yeah, we'll give you the permits, go ahead and do it, we'll give you a liquor license, and they said, no.
[01:07:15.490 --> 01:07:24.981]  So he flew an American flag upside down, which means America's in deep trouble when the socialist bureaucrats control us as slaves so much that we can't even have our own restaurant.
[01:07:26.022 --> 01:07:32.409]  Well, the police came and took the flag, and they said, you don't do that, boy, because in America you lick boots.
[01:07:32.489 --> 01:07:33.571]  That's what this is all about now.
[01:07:34.741 --> 01:07:36.562]  Now, of course, the country is in crisis.
[01:07:36.582 --> 01:07:38.864]  The whole Bill of Rights, whole Constitution's imploding.
[01:07:39.104 --> 01:07:49.392]  The federal government's seizing the big automakers, handing it over to the Chinese and Brazilians and Russians, giving them GM, the big pieces that were operating well, like Hummer and Saturn.
[01:07:50.593 --> 01:07:52.795]  Foreign banks have stolen $14.8 trillion.
[01:07:53.155 --> 01:08:02.262]  But see, to a lot of Americans, patriotism means, if Adolf Hitler put an American flag on his back and returned from the dead, half the public would just kneel.
[01:08:03.638 --> 01:08:14.047]  I mean, if Joseph Stalin teleported in a time machine and was speaking Russian but wearing a suit that had the American flag on it, the public is like under mind control.
[01:08:14.067 --> 01:08:15.768]  They see an American flag, they just kneel.
[01:08:16.549 --> 01:08:21.893]  And so they don't even care if that means the country's in distress and that it's not disrespectful to the flag.
[01:08:22.253 --> 01:08:24.235]  But even if you do something disrespectful, that's your First Amendment.
[01:08:24.856 --> 01:08:27.738]  Because the flag symbolizes that First Amendment and freedom.
[01:08:28.599 --> 01:08:32.242]  And if you don't have the spirit of it and the flag's just red, white, and blue,
[01:08:33.493 --> 01:08:34.914]  So that's why this story is so important.
[01:08:34.934 --> 01:08:44.378]  Here's the local newscast where you can see people trying to pull the flag down, the cops standing by, and then our guest says that the police came and took his flag.
[01:08:45.119 --> 01:08:47.340]  So, uh, this is how they roll.
[01:08:47.360 --> 01:08:50.421]  Might as well be the Soviet Union.
[01:08:50.881 --> 01:08:51.322]  Here it is.
[01:08:52.342 --> 01:08:56.724]  Flying upside down in crivets to protest a decision made by the village.
[01:08:56.804 --> 01:09:00.286]  Tonight, that symbol is dividing the small community.
[01:09:01.174 --> 01:09:04.035]  NBC26 reporter Rachel Stockman is in with more.
[01:09:04.936 --> 01:09:12.759]  What started off as a question about whether this restaurant could get a liquor license has now turned into a full-fledged village brawl.
[01:09:12.799 --> 01:09:19.341]  And the question now, is this flag a sign of distress and were someone's constitutional rights violated?
[01:09:19.581 --> 01:09:23.443]  It's a flag in distress that some argue is a sign of disgrace.
[01:09:23.703 --> 01:09:27.364]  So upsetting for this man, he came with a knife to cut it down.
[01:09:27.724 --> 01:09:29.165]  Raise the flag properly.
[01:09:31.877 --> 01:09:33.198]  You're violating the law!
[01:09:33.278 --> 01:09:33.618]  I don't care!
[01:09:33.638 --> 01:09:34.379]  You're trespassing!
[01:09:34.459 --> 01:09:34.959]  I don't care!
[01:09:35.360 --> 01:09:36.561]  You're trespassing!
[01:09:36.801 --> 01:09:38.702]  But it's upside down for a reason.
[01:09:38.722 --> 01:09:42.025]  A reason we'll get to soon, but first... All cops, bring it down.
[01:09:42.625 --> 01:09:49.270]  This is a sign of the deep division in this community that started at Village Hall and Vito Congini's Supper Club.
[01:09:49.470 --> 01:09:51.552]  That'll be the small dining area.
[01:09:51.632 --> 01:09:56.035]  Vito says he can't open the restaurant because the village denied his liquor license.
[01:09:56.488 --> 01:09:58.409]  A license he says he was promised.
[01:09:58.569 --> 01:10:00.771]  We put everything that we owned into this.
[01:10:01.191 --> 01:10:04.573]  We're about $180,000 in debt right now.
[01:10:04.953 --> 01:10:07.595]  So to show his distress, he raised this flag.
[01:10:07.855 --> 01:10:09.376]  I've been to war more than once.
[01:10:09.916 --> 01:10:17.321]  I go over to other countries to fight tyrannical governments from doing whatever they want to their citizens, and then I have to come home and deal with that here?
[01:10:18.061 --> 01:10:18.822]  That's not fair.
[01:10:19.446 --> 01:10:24.233]  It's not right that the American people should have to fear their local government bodies.
[01:10:24.494 --> 01:10:30.323]  But if you ask the man standing on Vito's roof, he'd disagree, and so apparently do the village cops.
[01:10:30.543 --> 01:10:35.010]  I saw the village police, the two full-time officers and two part-time officers,
[01:10:35.876 --> 01:10:39.257]  Stealing my American flag from Vito Pugini's flagpole.
[01:10:39.537 --> 01:10:41.418]  The village would only issue this statement.
[01:10:41.578 --> 01:10:47.980]  The liquor license was denied for economic reasons and due to potential legal action, the board will make no further comment.
[01:10:48.300 --> 01:10:51.841]  As for this man, Marinette County deputies came and told him to leave.
[01:10:52.161 --> 01:10:54.722]  But that's likely not the end of this dispute.
[01:10:55.182 --> 01:10:58.644]  Vito plans to appeal the village's actions at court.
[01:11:00.606 --> 01:11:03.387]  The rest of it's up on Infowars.com and PrisonPlanet.com.
[01:11:03.407 --> 01:11:06.487]  Look, we're going to go to Vito here in just a moment.
[01:11:06.547 --> 01:11:08.408]  I just want to say, this illustrates everything.
[01:11:08.468 --> 01:11:09.428]  This little report.
[01:11:10.108 --> 01:11:12.569]  You've always, in every town, got these empty men.
[01:11:13.749 --> 01:11:16.830]  And they're always saluting the flag and acting real weird.
[01:11:16.890 --> 01:11:19.311]  And if you criticize the government, they say you're not a patriot.
[01:11:19.831 --> 01:11:23.152]  It's patriotic to limit the government, to criticize it.
[01:11:24.572 --> 01:11:26.152]  The government isn't our country.
[01:11:26.232 --> 01:11:26.593]  We are.
[01:11:26.633 --> 01:11:28.053]  The Bill of Rights and Constitution is.
[01:11:30.243 --> 01:11:31.785]  And I have seen similar things.
[01:11:31.825 --> 01:11:35.128]  You know, we sell a t-shirt that has the American flag upside down on it.
[01:11:36.069 --> 01:11:38.231]  And it says, Save the USA.
[01:11:39.131 --> 01:11:39.812]  I mean, the U.S.
[01:11:39.852 --> 01:11:43.175]  is being taken over in a foreign offshore corporate takeover.
[01:11:43.776 --> 01:11:45.337]  And it's got Paul Revere on the front.
[01:11:45.898 --> 01:11:53.044]  Now, according to the DHS report, they say watch out for returning vets, watch out for gun owners, watch out for people that don't like the Federal Reserve.
[01:11:55.020 --> 01:12:00.925]  And if they tell these goons you saw on there that go arrest Americans, it's patriotic, they'll do it!
[01:12:01.185 --> 01:12:01.665]  They're ready!
[01:12:02.566 --> 01:12:06.989]  And they get real emotional over petty, stupid stuff, but then they flip out!
[01:12:08.731 --> 01:12:19.699]  I mean, they'll get upset about the flag or something, not knowing it's a sign of distress, and then violate somebody's property rights and First Amendment, but then they don't care about foreign banks raping us, Bill of Rights on fire, country going to hell in a handbasket.
[01:12:19.919 --> 01:12:21.801]  So this story documents it all.
[01:12:22.867 --> 01:12:28.208]  Vito Congeni Jr., who's not even in Wisconsin right now, he's in Illinois looking for work.
[01:12:29.749 --> 01:12:33.610]  And I guess the petty bureaucrats who promised him the license, not gonna get it.
[01:12:34.930 --> 01:12:36.791]  Joining us, thank you for coming on, sir.
[01:12:37.391 --> 01:12:39.272]  Thank you for having me today, I appreciate it.
[01:12:39.852 --> 01:12:41.932]  I don't know how you didn't haul off and punch that guy.
[01:12:41.952 --> 01:12:47.694]  He's on your property, trying to take your property, and he's just out of his mind.
[01:12:49.313 --> 01:12:50.635]  I mean, is that guy all there?
[01:12:50.655 --> 01:13:00.484]  I mean, he's up there saluting the flag like he just saved America from Al-Qaeda and he's on a property owner's, a veteran's own property, trying to steal his property?
[01:13:01.105 --> 01:13:04.849]  I think he had a few too many this morning, that morning that that had happened.
[01:13:06.050 --> 01:13:13.037]  The problem with it is he lets people tell him what he should think and what he should know instead of thinking and reading for himself.
[01:13:15.459 --> 01:13:21.162]  He actually thought that I was being disrespectful to the flag and that is not a sign of disrespect.
[01:13:21.282 --> 01:13:22.682]  It is a sign of distress.
[01:13:23.323 --> 01:13:29.666]  I have no intention nor would I ever disrespect the United States flag or this great country.
[01:13:30.866 --> 01:13:34.328]  We need to stand up and take our freedoms and
[01:13:34.724 --> 01:13:38.245]  Stop taking them for granted and realize you have to be willing to fight for it.
[01:13:38.365 --> 01:13:39.865]  I've been to a few wars here.
[01:13:40.506 --> 01:13:43.206]  I know what it's like for people not to have a freedom.
[01:13:43.546 --> 01:13:48.228]  Believe me, I'm going to fight tooth and nail until my dying breath to keep my freedoms.
[01:13:48.748 --> 01:13:51.489]  And freedom of speech is one of the most important ones we have.
[01:13:52.029 --> 01:13:58.490]  And if they don't think that that First Amendment is so important to them, they better realize the other items that are mentioned in that First Amendment.
[01:13:58.570 --> 01:14:04.032]  Your freedom of choice of religion and your freedom of choice to question your government in a peaceful,
[01:14:05.442 --> 01:14:06.584]  Ensemble of people.
[01:14:07.465 --> 01:14:09.388]  And the freedom of the press, let's not forget that.
[01:14:11.249 --> 01:14:14.251]  And the freedom of the right to assembly, as you said.
[01:14:14.892 --> 01:14:18.455]  So, obviously that newscast is just a short snapshot.
[01:14:18.795 --> 01:14:19.836]  How did all this begin?
[01:14:19.916 --> 01:14:20.977]  What's really going on?
[01:14:21.397 --> 01:14:24.560]  What's your neighbor saying he sees the police taking your flag?
[01:14:25.180 --> 01:14:32.526]  I mean, are they really that stupid that they don't understand it's your First Amendment right and it's a sign of I'm in trouble, help me?
[01:14:32.866 --> 01:14:37.190]  That it would be disrespectful to fly that flag right side up if the...
[01:14:38.110 --> 01:14:42.513]  If the country is in crisis, you're supposed to use the flag as a communication tool.
[01:14:43.133 --> 01:14:43.794]  Absolutely.
[01:14:44.254 --> 01:14:47.216]  Well, the problem was, it even gets worse.
[01:14:47.696 --> 01:14:59.244]  Not only did the police come to my place of business on the 4th of July on my private property with no warning, no warrant, but the district attorney from Marinette County instructed them to do so.
[01:14:59.844 --> 01:15:05.428]  Since then, he has actually gone on national TV and said, I know I was doing wrong, but I did it anyway.
[01:15:05.888 --> 01:15:14.153]  Now here's somebody who's supposed to know the law, an educated man of the law, and he decided to openly violate the law himself.
[01:15:15.114 --> 01:15:16.574]  And who's going to prosecute him?
[01:15:16.815 --> 01:15:17.215]  Nobody.
[01:15:21.377 --> 01:15:26.921]  Are they that ignorant that they don't know that flying the flag upside down means distress?
[01:15:27.876 --> 01:15:29.257]  I have explained it to them.
[01:15:29.477 --> 01:15:37.582]  We've actually hung signs on my building to explain this to them, what these signs with Union side down, what it means.
[01:15:38.103 --> 01:15:40.224]  That way people can understand it that don't.
[01:15:41.520 --> 01:15:42.981]  I don't know what more I can do.
[01:15:43.121 --> 01:15:44.082]  I've been out there.
[01:15:44.142 --> 01:15:45.603]  I've talked to these people.
[01:15:45.763 --> 01:15:47.304]  I read the U.S.
[01:15:47.384 --> 01:15:48.405]  flag code to them.
[01:15:48.905 --> 01:15:58.933]  They just get told that by somebody that, oh, he must be meaning disrespect, and they go off on their little tangent and believe it instead of listening to my side of it.
[01:15:59.513 --> 01:16:01.274]  But we did have a small, uh,
[01:16:03.271 --> 01:16:16.240]  There's a group of people that came to show their displeasure in what I'm doing, and about 10 out of those 25 people changed their mind after they were told why the flag was being flown in distress.
[01:16:16.781 --> 01:16:18.982]  But the other 15 are complete morons.
[01:16:19.022 --> 01:16:22.605]  They're complete... Look, the thing is, America's going to hell in a handbasket.
[01:16:22.945 --> 01:16:25.767]  They know it, and they don't like seeing a reminder of it.
[01:16:26.147 --> 01:16:28.109]  They just want America to be euthanized.
[01:16:29.056 --> 01:16:37.679]  Put to sleep, lethal injection, quietly, and they want to wrap themselves in the flag and climb into a grave and, you know, put up with that.
[01:16:37.699 --> 01:16:39.819]  Well, they want to bury their heads in the sand.
[01:16:40.439 --> 01:16:43.200]  They're trying to play the ostrich effect, and you can't do that.
[01:16:43.240 --> 01:16:47.161]  You have to be willing to fight for your freedoms, just like they did in 1776.
[01:16:47.261 --> 01:16:50.102]  Oh, this is just ridiculous.
[01:16:50.142 --> 01:16:55.764]  This is ridiculous that they ninny around and get so upset about this, and even when you explain to them
[01:16:56.764 --> 01:17:01.526]  The law, they just deny it because it feels so good to ninny around.
[01:17:02.246 --> 01:17:04.007]  Now, now, now, how did this begin?
[01:17:04.748 --> 01:17:10.030]  Why won't this little area give you the license to sell beer?
[01:17:11.036 --> 01:17:14.780]  I actually went to them prior to purchasing the building and told them what I wanted.
[01:17:14.840 --> 01:17:16.241]  They approved of everything.
