[00:00:00.134 --> 00:00:02.339]  In Texas, Alex Jones.
[00:46:20.049 --> 00:46:29.259]  That has all been taken from the Congress and the courts, transferred illegitimately into the Presidency, and now through the National Security Council and banking committees, transferred to the private Fed.
[00:46:29.279 --> 00:46:30.500]  And now they just want to make it official.
[00:46:32.982 --> 00:46:42.852]  Now, Bernanke got up yesterday before the House Banking Committee and was being questioned, and he said, look, you can't audit us, you can't look at us, or there will be a depression.
[00:46:43.783 --> 00:46:45.945]  So that's financial terrorism, just like in October.
[00:46:46.286 --> 00:46:49.149]  Pass my Banker Takeover Bill or there'll be a depression.
[00:46:49.429 --> 00:47:04.925]  And then they went into behind closed committee, Senator Inhofe said, and also other members of the House have come out and said, Brad Sherman on this show, not just on the House floor, and said that Paulson came in with a threat, taking orders,
[00:47:06.571 --> 00:47:22.123]  Uh, directly from Ben Bernanke, but he had Ben Bernanke with him, but it's come out in the memos that the threats are made by Paulson on behalf of Bernanke and former New York Fed Chairman Geithner, now Treasury Secretary, that there will be physical martial law if you don't do this.
[00:47:23.244 --> 00:47:25.926]  And that's why you're now seeing antagonism by the House towards him.
[00:47:26.266 --> 00:47:32.010]  Even though they're a bunch of crooks and thugs on average, they didn't like him coming in and saying, look, we'll just throw your butts out or arrest you.
[00:47:32.881 --> 00:47:38.303]  Just like the New York governor just said he'll arrest members of the legislature if they don't go vote the way he wants.
[00:47:38.423 --> 00:47:40.184]  That was in ABC News.
[00:47:40.204 --> 00:47:41.405]  Just, oh, he'll arrest them.
[00:47:41.445 --> 00:47:43.986]  See, everything is becoming crime world.
[00:47:44.006 --> 00:47:50.208]  You know, the velvet gloves tearing off the iron fist and we're really seeing what it is now.
[00:47:51.289 --> 00:47:52.629]  Right out in the open for everybody.
[00:47:54.130 --> 00:47:56.051]  So, to continue here to the key.
[00:47:57.682 --> 00:48:05.504]  We're saying, hey, the Congress has the right to coin, print the money, control the currency, the issuance of currency, credit, control the banks.
[00:48:06.004 --> 00:48:06.624]  That's its job.
[00:48:07.005 --> 00:48:07.665]  To regulate that.
[00:48:08.525 --> 00:48:12.666]  And the Fed says, no, that would be Congress seizing power dictatorially.
[00:48:13.446 --> 00:48:15.607]  When it's the private Federal Reserve that sees power.
[00:48:16.943 --> 00:48:27.265]  It was Congress that got bought off in 1913 with 11 senators voting on Christmas Eve at midnight, right before midnight, when nobody's there, they come in and criminally pass the Federal Reserve Act.
[00:48:27.745 --> 00:48:28.466]  They're criminals!
[00:48:28.626 --> 00:48:29.806]  This was a coup!
[00:48:30.646 --> 00:48:36.787]  And that coup stayed in place, but kind of sat back so people wouldn't notice the takeover, and then crept out and took over.
[00:48:37.388 --> 00:48:39.448]  And they've done that now, and now they're mopping up.
[00:48:40.808 --> 00:48:43.829]  So when we come back after this quick break, I am going to
[00:48:45.165 --> 00:48:51.029]  Play Bernanke saying Congress has no authority over the bank and saying nobody can audit them.
[00:48:51.889 --> 00:48:55.251]  Greenspan's on record saying the Fed's above the law, nobody can audit it.
[00:48:57.673 --> 00:49:02.896]  And then I'm going to read to you from the Constitution.
[00:49:02.916 --> 00:49:10.181]  The Congress shall have the power to coin money, regulate the value thereof, foreign coin, and fix the standard of weights and measures.
[00:49:10.241 --> 00:49:12.182]  And then it goes on over the banks and everything else.
[00:49:13.905 --> 00:49:28.047]  This little con artist, this little flim flam man, this sleight of hand carnival magician sits up there like he's fooling five-year-old school kids with his shoddy
[00:49:30.367 --> 00:49:33.950]  Shoddy magic trick saying, oh, you're not allowed to look at me.
[00:49:34.310 --> 00:49:35.531]  You're not allowed to audit me.
[00:49:35.991 --> 00:49:37.532]  You're not allowed to investigate me.
[00:49:37.912 --> 00:49:39.613]  You're not allowed to look into what I'm doing.
[00:49:40.034 --> 00:49:41.214]  It'll destroy America.
[00:49:41.775 --> 00:49:42.655]  Financial terrorism.
[00:49:42.996 --> 00:49:45.377]  It's going to destroy the economy if you don't give us NAFTA and GATT.
[00:49:45.397 --> 00:49:46.178]  Destroys the economy.
[00:49:46.198 --> 00:49:49.100]  It's going to destroy the economy if you don't give us all these tax increases.
[00:49:49.420 --> 00:49:51.641]  Then they get the tax increases, destroys it further.
[00:49:51.901 --> 00:49:53.741]  Destroy the economy if you don't give us unlimited power.
[00:49:53.982 --> 00:49:55.642]  We're going to be nuked by Iraq.
[00:49:55.742 --> 00:49:57.263]  They have WMDs if we don't invade.
[00:49:57.643 --> 00:50:02.064]  Always conning, always lying, always scamming, always terrorizing the public.
[00:50:03.064 --> 00:50:09.286]  We're going to play this amazing video, the audio for radio listeners, the video for PrisonPlanet.tv viewers right now, when we get back.
[00:50:09.306 --> 00:50:13.368]  And if you're not a PrisonPlanet.tv member, it's 15 cents a day, folks.
[00:50:14.474 --> 00:50:21.657]  You get all my films super high quality, the live TV show every day, the Sunday show we're about to be doing out of this studio, and a lot more.
[00:50:22.458 --> 00:50:25.539]  By the way, Jason's going to be doing a Sunday show soon after me, so that should be interesting.
[00:50:26.560 --> 00:50:27.580]  It is all coming up.
[00:50:27.640 --> 00:50:39.006]  I'll break down the chutzpah, the bravado, the arrogance, the hubris, the corruption, the in-your-face arrogance of this creature when we get back, telling you he's God over Congress.
[00:50:41.727 --> 00:50:50.774]  We have just received news that the IRS is currently accepting reduced settlements on back taxes and millions of consumers may be eligible for this reduction to save thousands of dollars.
[00:50:51.054 --> 00:51:04.284]  If any of you out there owe $10,000 or more in back taxes to the IRS, we have created an open phone line with American Tax Settlement for all GCN listeners to see if you qualify for a settlement with the IRS to save thousands.
[00:51:04.565 --> 00:51:05.565]  The number to call is 1-800-506-5904.
[00:51:08.988 --> 00:51:13.311]  Millions of taxpayers now may be eligible for this settlement to save thousands of dollars.
[00:51:13.651 --> 00:51:18.414]  Don't risk the IRS coming after you and garnishing your wages or seizing your property.
[00:51:18.614 --> 00:51:27.339]  American Tax Settlement specializes in negotiating with the IRS on your behalf, keeping the IRS off your back and saving consumers millions of dollars.
[00:51:27.719 --> 00:51:32.422]  If you owe $10,000 or more in taxes to the IRS, the number to call is 1-800-506-5904.
[00:51:36.084 --> 00:51:39.905]  That's 1-800-506-5904.
[00:51:40.065 --> 00:51:40.885]  Call today!
[00:51:40.905 --> 00:51:42.726]  Hey folks, Alex Jones here.
[00:51:42.886 --> 00:51:47.867]  I'm sending out a special alert to all those out there listening with credit card debt and struggling to make payments.
[00:51:48.267 --> 00:51:50.348]  I'm going to give you a very important phone number.
[00:51:50.688 --> 00:51:59.770]  Due to a declining economy and credit crisis, you now have the power to settle your debt and lower your payments by up to 60% or more by calling the bailout group.
[00:51:59.770 --> 00:52:00.190]  We're good.
[00:52:18.470 --> 00:52:20.031]  I hope our listeners take advantage of this.
[00:52:20.291 --> 00:52:25.635]  The call is free and in 10 minutes they will show you how much you can save right over the phone with one simple call.
[00:52:25.876 --> 00:52:32.521]  Let the Bailout Group bail you out of debt, reduce your payments by up to 60% and save you thousands of dollars today.
[00:52:32.761 --> 00:52:33.701]  That number again is 1-800-324-6554.
[00:52:33.721 --> 00:52:33.782]  800-324-6554.
[00:52:33.802 --> 00:52:34.262]  The Bailout Group.
[00:52:41.247 --> 00:52:42.308]  Economy have you down?
[00:52:42.508 --> 00:52:44.049]  Scared you might lose your job?
[00:52:44.189 --> 00:52:46.090]  Worried how you will provide for your family?
[00:52:46.270 --> 00:52:48.171]  Do you worry where your money will come from?
[00:52:48.391 --> 00:52:51.393]  You know that the economy is getting worse, but there is hope!
[00:52:51.713 --> 00:52:55.976]  Robert Beatles' new book, Here's What You Do, tells you what to do and how to do it!
[00:52:56.236 --> 00:52:59.578]  Even a 10-year-old can figure it out after reading this 72-page book!
[00:52:59.798 --> 00:53:00.519]  And the best part?
[00:53:00.699 --> 00:53:02.440]  This book is priced under $10!
[00:53:02.720 --> 00:53:04.381]  Don't be the victim, be a victor!
[00:53:04.641 --> 00:53:06.542]  Go to hereiswhatyoudo.net.
[00:53:06.743 --> 00:53:08.384]  That's hereiswhatyoudo.net.
[00:53:08.624 --> 00:53:09.905]  Again, hereiswhatyoudo.net.
[00:53:10.785 --> 00:53:12.286]  Wondering about your retirement portfolio?
[00:53:12.406 --> 00:53:16.689]  Is your financial advisor experienced enough to combat rising interest rates, taxes, and inflation?
[00:53:16.929 --> 00:53:21.032]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[00:53:21.052 --> 00:53:25.255]  With 45 years of experience and concise investment recommendations, who needs sugar-coated excuses?
[00:53:25.435 --> 00:53:27.896]  Get the cold, hard facts and a proven investment strategy.
[00:53:28.017 --> 00:53:31.979]  For a free introductory copy to The International Forecaster, call 877-479-8178 or go to theinternationalforecaster.com.
[00:53:31.999 --> 00:53:32.279]  That's 877-479-8178.
[00:53:32.299 --> 00:53:32.339]  877-479-8178.
[00:53:40.725 --> 00:53:40.828]  Yeah.
[00:54:04.468 --> 00:54:07.490]  Thank you for joining us, continuing with Bernanke's arrogance.
[00:54:07.570 --> 00:54:13.555]  Think about it, offshore banks openly running everything, hijacking the whole economy, engineering the collapse.
[00:54:14.135 --> 00:54:19.959]  They're pushing and paying off the Congress openly to have the new global carbon tax paid to them.
[00:54:19.979 --> 00:54:23.542]  And how dare the Congress talk about some transparency?
[00:54:23.702 --> 00:54:26.444]  Oh, if anybody knew what we were doing, we would go bankrupt.
[00:54:27.645 --> 00:54:29.526]  And then he lies and says, oh we have a website.
[00:54:29.886 --> 00:54:31.487]  Everything's on record at the website.
[00:54:31.888 --> 00:54:33.389]  Just like Senator Sanders.
[00:54:34.189 --> 00:54:35.750]  He told Senator Sanders that a few months ago.
[00:54:35.790 --> 00:54:36.771]  It's in the new Obama film.
[00:54:38.192 --> 00:54:39.312]  And Sanders said, no it's not.
[00:54:39.493 --> 00:54:40.293]  Tell me where the money went.
[00:54:40.313 --> 00:54:41.454]  He goes, oh well that part isn't there.
[00:54:41.714 --> 00:54:42.394]  That's a secret.
[00:54:43.695 --> 00:54:45.196]  So he lies and says it's all public.
[00:54:45.216 --> 00:54:46.237]  And you go, okay, well where's the money?
[00:54:46.697 --> 00:54:47.418]  I won't tell you that.
[00:54:47.838 --> 00:54:48.438]  It's all public.
[00:54:48.458 --> 00:54:50.179]  We're the Federal Reserve and what our address is.
[00:54:51.460 --> 00:54:52.341]  Never been an audit.
[00:54:53.203 --> 00:54:56.825]  They have a joke on it of chairs and pencils, but not where the money goes.
[00:54:56.865 --> 00:54:57.386]  I'm not kidding.
[00:54:57.406 --> 00:55:04.350]  Of refrigerators and pencils and desks and chairs and water coolers and light fixtures.
[00:55:05.531 --> 00:55:07.892]  But it's just a holding company for the private banks.
[00:55:08.232 --> 00:55:12.035]  And then Bernanke gets up and, well, here's the video clip.
[00:55:14.025 --> 00:55:15.286]  Thank you.
[00:55:15.406 --> 00:55:15.686]  Thank you.
[00:55:32.515 --> 00:55:42.221]  And refused or declined to disclose the seriousness of the problems that were being faced by the Bank of America and Merrill Lynch at that time.
[00:55:43.702 --> 00:55:52.848]  What would you say to the majority of this Congress who have now co-sponsored the bill to require audits of the Federal Reserve
[00:55:53.428 --> 00:56:06.709]  Do you feel that the Federal Reserve is operating with too much secrecy and too much refusal to disclose information that you have to other federal banking regulators?
[00:56:07.406 --> 00:56:15.234]  The Federal Reserve has made enormous strides in the last year under my chairmanship to expand the information that we release.
[00:56:15.314 --> 00:56:19.378]  We release monthly information on all the various programs that we have.
[00:56:19.959 --> 00:56:24.483]  We've developed a website and a monthly report that involves all kinds of information.
[00:56:24.523 --> 00:56:25.865]  We think we are quite transparent.
[00:56:27.446 --> 00:56:31.331]  We're happy to work with Congress if they have further concerns about any of our programs.
[00:56:32.492 --> 00:56:39.180]  We're more than happy to work with you to make sure that you're comfortable, that they are well managed and are serving a public purpose.
[00:56:40.001 --> 00:56:47.030]  Do you think it would cause problems for the Fed or for the economy if that legislation was to pass?
[00:56:47.310 --> 00:57:13.163]  My concern about the legislation is that if the GAO is auditing not only the operational aspects of our programs and the details of the programs, but is making judgments about our policy decisions, that would effectively be a takeover of monetary policy by the Congress, a repudiation of the independence of the Federal Reserve, which would be highly destructive to the stability of the financial system, the dollar, and our national economic situation.
[00:57:14.384 --> 00:57:14.624]  Thank you.
[00:57:17.461 --> 00:57:18.902]  The Fed's independence?
[00:57:18.942 --> 00:57:21.463]  God forbid Congress control monetary policy.
[00:57:21.903 --> 00:57:24.584]  Here's the pocket constitutions we send out free with all the orders.
[00:57:25.524 --> 00:57:26.545]  Article 1, U.S.
[00:57:26.605 --> 00:57:27.325]  Constitution.
[00:57:28.926 --> 00:57:32.307]  Article 1, United States Constitution.
[00:57:33.248 --> 00:57:35.488]  Article 1, We the People.
[00:57:35.548 --> 00:57:36.209]  Ever heard of that?
[00:57:37.629 --> 00:57:40.470]  And then you got Section 8 right here.
[00:57:40.490 --> 00:57:44.732]  I'm going to read Section 8 to everybody here on air.
[00:57:44.752 --> 00:57:46.193]  These are the powers of Congress.
[00:57:47.500 --> 00:58:00.749]  The coin money regulate the value thereof and a foreign coin and fix the standard of weights and measures to provide for the punishment of counterfeiting, that'd be Bernanke, the securities and current coin of the United States.
[00:58:03.111 --> 00:58:03.871]  And it goes on.
[00:58:05.532 --> 00:58:10.175]  I mean, Congress has the power of the purse, that's why they vote for the bills and the funding.
[00:58:11.616 --> 00:58:14.799]  Oh, but God forbid anybody do that, we'll have a depression if we do.
[00:58:15.219 --> 00:58:15.879]  Bernanke,
[00:58:17.091 --> 00:58:17.972]  Everybody's learning.
[00:58:18.553 --> 00:58:19.614]  You run a criminal group.
[00:58:23.739 --> 00:58:25.341]  Thank you for listening to GCN.
[00:58:26.262 --> 00:58:28.585]  Be sure to visit GCNlive.com today.
[00:58:31.078 --> 00:58:32.179]  This is Alex Jones.
[00:58:32.459 --> 00:58:34.240]  Have you heard of the Millionaire Patriot?
[00:58:34.440 --> 00:58:35.100]  Well, you should.
[00:58:35.441 --> 00:58:39.683]  He has a free handgun and five days of firearms training waiting for you.
[00:58:39.923 --> 00:58:40.403]  That's right.
[00:58:40.724 --> 00:58:49.188]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[00:58:49.388 --> 00:58:50.629]  All for pennies on the dollar.
[00:58:50.749 --> 00:58:51.890]  Plus, if you act fast.
[00:58:52.090 --> 00:58:57.734]  The Millionaire Patriot will give you a free Springfield Armory XD pistol in the caliber of your choice.
[00:58:58.074 --> 00:59:04.599]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[00:59:04.979 --> 00:59:10.182]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[00:59:10.483 --> 00:59:11.623]  This is real.
[00:59:11.964 --> 00:59:12.684]  Don't miss out.
[00:59:13.004 --> 00:59:19.869]  Secure a Front Sight defensive handgun course plus a 30 state concealed weapons permit for pennies on the dollar.
[00:59:20.109 --> 00:59:21.370]  And get your free handgun.
[00:59:21.550 --> 00:59:23.732]  Go to FrontSight.com today.
[00:59:23.912 --> 00:59:27.436]  That's F-R-O-N-T-S-I-G-H-T dot com.
[00:59:27.616 --> 00:59:30.598]  Go to FrontSight.com for your training and free gun.
[00:59:34.182 --> 00:59:36.083]  Waging war on corruption.
[00:59:36.564 --> 00:59:39.366]  Alex Jones on the GCN Radio Network.
[00:59:54.186 --> 01:00:03.768]  We're now into the final hour of this very important radio show.
[01:00:05.368 --> 01:00:07.389]  They're going to end debate in the next 30 minutes or so.
[01:00:07.429 --> 01:00:09.609]  They were supposed to already end it, but they're going over.
[01:00:10.729 --> 01:00:19.691]  For the bill to take over the entire economy of the United States.
[01:00:21.288 --> 01:00:24.210]  And if you want to call and say no to H.R.
[01:00:25.071 --> 01:00:40.823]  2998 and to the American Clean Water Restoration Act and the rest of it, it's all, that's an open federal takeover of all water, waterways, below ground water, the above surface land, that bill's going on as well.
[01:00:42.406 --> 01:00:43.487]  I mean, it's just unbelievable.
[01:00:43.507 --> 01:00:48.831]  Give them a call and say no to the American Clean Energy and Security Act 2009.
[01:00:49.472 --> 01:00:51.053]  What a nice name, like the Patriot Act.
[01:00:51.073 --> 01:00:53.555]  It's totally unpatriotic, so they call it patriotic.
[01:00:53.615 --> 01:00:54.356]  Ends the Bill of Rights.
[01:00:54.796 --> 01:01:01.302]  Well, this thing allows the bureaucrats to run and tax and control and have Enron-style carbon credits ripping everybody off.
[01:01:02.683 --> 01:01:03.624]  I got some other news, too.
[01:01:03.824 --> 01:01:08.188]  H1N1 swine flu has infected an estimated one million in the U.S.
[01:01:08.928 --> 01:01:09.609]  and up on
[01:01:13.109 --> 01:01:15.351]  Infowars.com and PrisonPlanet.com.
[01:01:17.012 --> 01:01:30.261]  It is in the executive order that Bush signed that Obama has continued for forced inoculations nationwide under Level 6 pandemic.
[01:01:30.482 --> 01:01:33.143]  Well, they say we're under Level 6, so now they want to forcibly inject.
[01:01:33.444 --> 01:01:34.865]  They claim they have the law to do it.
[01:01:35.714 --> 01:01:36.414]  An executive order.
[01:01:37.235 --> 01:01:40.497]  And a popular website actually called up an Arkansas official.
[01:01:40.537 --> 01:01:43.939]  A lawyer sat there, you know, citing this case and that case.
[01:01:44.520 --> 01:01:47.742]  So we're going to go over that as well.
[01:01:47.942 --> 01:01:51.324]  Arkansas State Health Department mandatory vaccines are constitutional.
[01:01:53.817 --> 01:02:07.431]  And then I actually went and printed up the CBS News story, DHS Gets Guidelines for Possible Swine Flu Outbreaks, and it says in this article, forced inoculations nationwide, and now the Canadian papers are saying, oh a million Americans have it.
[01:02:07.791 --> 01:02:09.273]  It means you have a virus that's harmless.
[01:02:10.097 --> 01:02:13.778]  But that we're going to have to forcibly inoculate the Canadians and the Americans and the Europeans.
[01:02:14.218 --> 01:02:16.799]  DHS sets guidelines for possible swine flu quarantines.
[01:02:17.719 --> 01:02:22.680]  They'll probably start the next wave of fear in the fall, then try to forcibly inject people.
[01:02:22.960 --> 01:02:25.240]  But most of the idiots are going to line up and accept it.
[01:02:27.001 --> 01:02:29.921]  So that is coming up as well this hour.
[01:02:30.482 --> 01:02:34.522]  But I do want to take calls, but I've got to go to them quickly.
[01:02:34.823 --> 01:02:36.503]  Dave in California, go ahead, you're on the air.
[01:02:37.520 --> 01:02:38.000]  Hi, Alex.
[01:02:38.581 --> 01:02:38.901]  Yes, sir.
[01:02:39.361 --> 01:02:41.462]  Long live free Pop Tardio, brother.
[01:02:41.482 --> 01:02:46.164]  My whole planet, Pop Tardio.
[01:02:46.184 --> 01:02:46.565]  Go ahead.
[01:02:46.585 --> 01:02:47.265]  Yeah, exactly.
[01:02:47.305 --> 01:02:48.446]  That's exactly where we are.
[01:02:48.466 --> 01:02:53.168]  Anyway, you put up a video on InfoWars yesterday that just did my heart good.
[01:02:53.568 --> 01:02:57.410]  The one tens of thousands of Chinese fight the police in Hsinchu.
[01:02:58.671 --> 01:03:03.013]  Yeah, they haven't had their water fluoridated, though China's now starting that, so they'll be behaving now.
[01:03:04.338 --> 01:03:05.579]  Well, yeah, I suppose so.
[01:03:05.639 --> 01:03:14.808]  But, you know, Mark Kornke talks about moose hunting, and to me that's the perfect example of it, except all the Chinese needed were rocks to make the moose panic and flee.
[01:03:15.368 --> 01:03:17.831]  And imagine if they had firearms like we do.
[01:03:20.523 --> 01:03:29.928]  But you understand the globalist plan to let us have a war here, break down, then without food and water later, six months later, we'll beg for the I-4 troops.
[01:03:30.208 --> 01:03:35.751]  We've just got to realize that we're trying to wake up as many people as we can so we can try to avert this.
[01:03:36.491 --> 01:03:40.053]  But, yes, it's going to turn into that.
[01:03:40.073 --> 01:03:41.394]  They're not going to stop.
[01:03:41.794 --> 01:03:47.777]  They're taking everybody's land, everybody's kids, everybody's jobs, and just laughing at us and hiring more cops.
[01:03:47.997 --> 01:03:49.018]  The economy's imploding.
[01:03:49.198 --> 01:03:50.919]  They're hiring more cops to squeeze us.
[01:03:52.540 --> 01:03:56.442]  Well, if possible, sir, would you please have Mark back on sometime soon?
[01:03:56.662 --> 01:03:59.664]  Everything's tending toward armed conflict and he is the expert on it.
[01:04:01.365 --> 01:04:03.226]  You know, I'll think about doing that.
[01:04:03.266 --> 01:04:04.126]  I appreciate your call.
[01:04:07.381 --> 01:04:20.509]  I've never been invited on any of the things he does, but I'm not here to go out and sit there and... The main rule with me is no more Mr. Nice Guy.
[01:04:20.529 --> 01:04:25.773]  I've always been friendly and nice to everybody, but when that doesn't happen back to me, then the door shuts.
[01:04:26.593 --> 01:04:28.094]  But Mark's a nice guy, smart guy.
[01:04:28.114 --> 01:04:32.797]  It's just that he can call for armed rebellion on his own website and stuff.
[01:04:33.137 --> 01:04:35.099]  Alright, we'll be right back, ladies and gentlemen.
[01:04:35.119 --> 01:04:35.479]  Stay with us.
[01:04:41.459 --> 01:04:43.020]  Hello friends, this is Alex Jones.
[01:04:43.160 --> 01:04:47.762]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[01:04:47.882 --> 01:04:50.643]  We need to be independent, and food and water is the key.
[01:04:50.843 --> 01:04:53.864]  You'll never have to stand in a bread line if you have your own bread.
[01:04:53.884 --> 01:04:58.626]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[01:04:58.846 --> 01:04:59.746]  If you simply prepare.
[01:04:59.966 --> 01:05:02.887]  No one is going to take care of your family in the final equation but you.
[01:05:03.208 --> 01:05:10.110]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[01:05:10.210 --> 01:05:13.331]  And they do it at almost half the cost of last year's grocery prices.
[01:05:13.471 --> 01:05:13.731]  Call 1-800-409-5633.
[01:05:16.152 --> 01:05:18.393]  Or, on the web, go to eFoodsDirect.com.
[01:05:18.613 --> 01:05:24.674]  Visit eFoodsDirect.com and look over the fine list of high-quality, pre-stride, and dehydrated foods they have to offer.
[01:05:24.874 --> 01:05:28.635]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[01:05:28.655 --> 01:05:30.135]  Again, 800-409-5633, or on the web at eFoodsDirect.com.
[01:05:30.175 --> 01:05:30.595]  Take action today.
[01:05:30.635 --> 01:05:32.416]  The first step is getting storable food.
[01:05:41.570 --> 01:05:46.872]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[01:05:47.392 --> 01:05:55.775]  Check out SupernaturalSilver.com today or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[01:05:55.975 --> 01:05:58.336]  The new silver solution is a natural antibiotic.
[01:05:58.496 --> 01:06:02.760]  That is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[01:06:03.100 --> 01:06:08.604]  This new technology has proven itself to be a formidable weapon against bio threats of today and tomorrow.
[01:06:08.865 --> 01:06:14.829]  The new silver solution gel has been shown to disinfect topically and keep the area sanitized for up to four hours.
[01:06:15.170 --> 01:06:21.395]  The new silver solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[01:06:21.795 --> 01:06:26.199]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[01:06:26.460 --> 01:06:29.483]  Check out the patented new silver solution today.
[01:06:29.843 --> 01:06:33.126]  Click on the link and check out the uses for new silver solution.
[01:06:33.527 --> 01:06:38.192]  Order this extra line of defense today by going to SupernaturalSilver.com.
[01:06:38.352 --> 01:06:40.454]  That's SupernaturalSilver.com today.
[01:06:41.463 --> 01:06:44.725]  Silver is mankind's oldest natural antibiotic.
[01:06:44.906 --> 01:06:48.968]  This very special mineral has been used for centuries by most cultures throughout the world.
[01:06:49.149 --> 01:07:00.577]  Utopia, Texas is home to a small but mighty supplement company called Utopia Silver, who offers colloidal products produced in distilled water without use of animal protein, nitrates, or saline solutions.
[01:07:00.817 --> 01:07:06.641]  Because our colloidal silver is made up of nano-sized particles, it can be better utilized at the cellular level.
[01:07:06.861 --> 01:07:07.521]  We're good to go.
[01:07:29.804 --> 01:07:30.144]  We're good.
[01:07:46.135 --> 01:07:50.339]  Big Brother, Mainstream Media, Government Cover Ups.
[01:07:50.980 --> 01:07:51.801]  You want answers?
[01:07:52.561 --> 01:07:53.442]  Well, so does he.
[01:07:53.462 --> 01:07:57.807]  He's Alex Jones on the GCN Radio Network.
[01:07:58.307 --> 01:08:02.411]  And now, live from Austin, Texas, Alex Jones.
[01:08:02.631 --> 01:08:06.776]  I want to go back to your calls to Daniel, Jack, Nick.
[01:08:08.388 --> 01:08:13.350]  And then I'm going to get into the other news because there's a lot of it and it's important in the time we have left in this Friday edition.
[01:08:13.430 --> 01:08:16.091]  I'll be back this Sunday 4 to 6 p.m.
[01:08:16.511 --> 01:08:19.753]  in the aftermath of... Will Congress even be able to read the bill?
[01:08:20.193 --> 01:08:21.893]  They weren't allowed to read the stimulus package.
[01:08:21.913 --> 01:08:23.354]  They weren't allowed to read the Patriot Act.
[01:08:23.674 --> 01:08:25.415]  They won't be allowed to read the banking reform bill.
[01:08:26.235 --> 01:08:30.738]  It's gone from 200 pages to 500 to 600 to 800 to 1,100 to 1,200 to 1,300.
[01:08:30.778 --> 01:08:35.182]  They say 1,300 more pages were added last night, hundreds more today.
[01:08:35.542 --> 01:08:37.683]  Other pages being pulled out, stuck in.
[01:08:38.084 --> 01:08:39.425]  They won't publish what it is.
[01:08:40.746 --> 01:08:42.427]  But yes, we posted video.
[01:08:43.795 --> 01:08:51.663]  Of, we posted a lot of these, of Chinese with sticks and stones, when the police get caught killing citizens, they go out, attack the police, burn down the police stations.
[01:08:52.044 --> 01:08:53.145]  And I say they have a lot of spirit.
[01:08:53.805 --> 01:08:57.729]  And the Chinese government's a corrupt, wicked government, and their people have a right to fight back against it.
[01:08:58.891 --> 01:09:06.859]  And when that caller calls in and says, have this guy on or have that guy on, the caller was Dave, you know, I like the people you're talking about, and I like the work they do.
[01:09:08.635 --> 01:09:11.939]  But then people are always jabbing me saying, Alex doesn't call for armed revolt.
[01:09:12.099 --> 01:09:12.780]  Alex is bad.
[01:09:12.800 --> 01:09:14.002]  Alex doesn't, you know, do this.
[01:09:14.062 --> 01:09:15.543]  And I'm not talking about the person you were mentioning.
[01:09:16.264 --> 01:09:19.708]  I'm talking about overall, people calling for armed revolt.
[01:09:20.850 --> 01:09:22.332]  Or getting close to calling for it.
[01:09:23.673 --> 01:09:28.139]  Within two hours of Ploplosky killing those cops.
[01:09:30.199 --> 01:09:40.891]  Within hours of that happening, the Southern Poverty Law Center had fed one person's name out of the hundreds of sites that turned out to be Fox News, CNN, Stormfront.
[01:09:41.773 --> 01:09:46.979]  One name was fed to the police and the news media by the Southern Poverty Law Center.
[01:09:47.599 --> 01:09:47.719]  Me.
[01:09:48.735 --> 01:09:50.155]  They want to come after me.
[01:09:51.076 --> 01:09:58.738]  And I got all these big newspapers calling me up going, what about Richard McCaslin that went in the Bohemian Grove with guns and set things on fire?
[01:09:59.138 --> 01:10:00.118]  When nobody was there, by the way.
[01:10:00.138 --> 01:10:01.118]  It looks like a setup to me.
[01:10:01.578 --> 01:10:02.219]  This Marine.
[01:10:02.819 --> 01:10:04.239]  What about Poplaski?
[01:10:04.279 --> 01:10:05.159]  What about this?
[01:10:05.339 --> 01:10:07.200]  Oh, do you need to be arrested?
[01:10:07.220 --> 01:10:08.340]  You know, basically.
[01:10:09.661 --> 01:10:11.021]  And they are circling me.
[01:10:11.161 --> 01:10:13.882]  I'm at a level nobody's ever gotten into in the patriot movement.
[01:10:13.902 --> 01:10:14.822]  And let me tell you, it isn't fun.
[01:10:16.445 --> 01:10:26.056]  And I've always supported everybody else when they get set up or sent to jail and told people to support and send money to people and stuff and then not even by that individual but by people around them I get criticized.
[01:10:26.757 --> 01:10:27.477]  That I don't like.
