[00:00:06.152 --> 00:00:11.395]  Set off all ceramic filter systems and ship all orders over $50 free of charge.
[00:46:58.459 --> 00:46:59.800]  Will it make your children sick?
[00:47:00.000 --> 00:47:05.062]  If there's a quarantine and you can't feed yourself, will you go to the gathering center and be immunized?
[00:47:05.262 --> 00:47:08.443]  You wipe out all these problems if you have a good food supply.
[00:47:08.843 --> 00:47:12.305]  Food is your ammunition to fight for your freedom and your life.
[00:47:12.665 --> 00:47:13.645]  How much will you need?
[00:47:13.886 --> 00:47:14.506]  We don't know.
[00:47:14.786 --> 00:47:15.706]  How much do you want?
[00:47:15.886 --> 00:47:16.647]  All you can get.
[00:47:16.827 --> 00:47:17.667]  I'm Alex Jones.
[00:47:17.927 --> 00:47:20.669]  I want all of you good guys to live to fight another day.
[00:47:20.969 --> 00:47:24.070]  Call 1-800-409-5633 or check it out on the web at efoodsdirect.com.
[00:47:24.090 --> 00:47:24.871]  Again, that number 1-800-409-5633.
[00:47:34.202 --> 00:47:37.283]  Are you tired of searching for great talk radio?
[00:47:37.864 --> 00:47:38.844]  Search no more.
[00:47:39.364 --> 00:47:42.426]  We are the GCN Radio Network.
[00:47:44.706 --> 00:47:49.068]  It's very, very simple throughout history.
[00:47:57.620 --> 00:48:07.003]  You can count the free countries, the free republics, nations where the people had even bare-bones rights to private property and liberty on one hand.
[00:48:08.623 --> 00:48:19.047]  There have been thousands of corrupt empires and nations and thuggish lords and kings and corrupt systems that have come and gone.
[00:48:19.067 --> 00:48:27.209]  And the minute you let government get too big and start violating any part of the Bill of Rights and Constitution, it's over, you're in tyranny.
[00:48:27.856 --> 00:48:33.837]  And they're going right down the list, on record, getting rid of the entire Bill of Rights, the entire Constitution.
[00:48:34.697 --> 00:48:36.938]  And the public doesn't know their Bill of Rights or Constitution.
[00:48:36.978 --> 00:48:40.518]  They sure know all about Michael Jackson and his nose.
[00:48:40.678 --> 00:48:51.460]  They know all about Michael Jackson and his boots, and the little medals he liked to wear, and the little, you know, the Ferris wheel color at Neverland Ranch, and all about Jesus juice.
[00:48:51.540 --> 00:48:53.801]  And, you know, I'm sorry folks, that's sick.
[00:48:55.321 --> 00:48:56.401]  And that's why we're slaves.
[00:48:58.832 --> 00:49:04.136]  We are a decadent, bloated, dumbed-down nation, and now we're going to get butchered like a fat hog.
[00:49:05.297 --> 00:49:10.461]  But there are tens of millions of good, wholesome people in this nation, and we're fighting to save the republic.
[00:49:11.442 --> 00:49:14.104]  And some of you call yourselves liberals, some of you call yourselves conservatives.
[00:49:14.124 --> 00:49:20.068]  You better get rid of those terms and get back to liberty versus tyranny, and you better do it right now, ladies and gentlemen.
[00:49:22.430 --> 00:49:27.454]  Coming up in the next hour, I'm going to break down the complete and total takeover that is taking place and unfolding.
[00:49:28.888 --> 00:49:30.389]  And how we can fight back against it.
[00:49:31.489 --> 00:49:34.170]  But there is no doubt now, they are making their complete move.
[00:49:34.550 --> 00:49:37.271]  This is going to be a hot revolution by the elites against the people.
[00:49:37.752 --> 00:49:45.034]  And I want to let you know what the moves are, what will happen if they win, and what will happen if we win, and ways to defeat them.
[00:49:48.076 --> 00:49:51.317]  So let's go ahead and go to Barbara in Alabama.
[00:49:51.397 --> 00:49:53.978]  Sorry, I hit the wrong button earlier, not the guy's fault, my fault.
[00:49:54.398 --> 00:49:56.319]  Barbara in Alabama, you are on the air now.
[00:49:57.528 --> 00:49:58.329]  Hi Alex.
[00:49:59.749 --> 00:50:00.610]  Hi.
[00:50:00.690 --> 00:50:03.491]  First, I do want to tell you we did call down there.
[00:50:03.551 --> 00:50:11.055]  We didn't get much done, get through to anybody, but I've got something here that I wanted to tell you about.
[00:50:12.135 --> 00:50:21.680]  I have a small business where we have a call center and Friday I received an email from a client.
[00:50:22.392 --> 00:50:34.019]  That states, beginning today, your home business may be receiving calls from employees in North America as part of the employee H1N1 flu hotline.
[00:50:34.339 --> 00:50:38.202]  Employees will be calling to confirm whether or not their office is open for work.
[00:50:40.063 --> 00:50:44.626]  If they have additional questions, blah, blah, blah, to review, here's your script.
[00:50:47.843 --> 00:50:52.385]  Predominantly, we'll be getting calls from New York, Atlanta, and Chicago.
[00:50:55.145 --> 00:50:58.586]  And I don't know if this is anything important, but I wanted to call you.
[00:50:59.067 --> 00:51:00.807]  It is, and I was going to get to this next hour.
[00:51:02.808 --> 00:51:07.369]  I'll cover it in a moment, but first tell folks, so you were unable to get a hold of one of the little snot-nosed
[00:51:08.580 --> 00:51:18.082]  Legislative aides up there on the hill while they completely butchered the entire Bill of Rights and Constitution, and our form of government will cease to be if the Senate passes this?
[00:51:19.442 --> 00:51:20.882]  Yes.
[00:51:22.063 --> 00:51:24.383]  First, we got a couple of numbers.
[00:51:24.443 --> 00:51:29.084]  That was the number, you know, the number is disconnected or a number is out of order.
[00:51:31.305 --> 00:51:33.665]  Basically, we never really got through to anyone.
[00:51:35.964 --> 00:51:38.825]  I mean, we got transferred a couple of times.
[00:51:38.845 --> 00:51:41.106]  We tell people what we want.
[00:51:41.146 --> 00:51:43.807]  Yeah, let me tell you what you do, and we're going to post this.
[00:51:44.147 --> 00:51:46.248]  You gotta call their local office.
[00:51:46.768 --> 00:51:50.469]  That's the one you gotta hammer, up on InfoWars.com and PrisonPlanet.com.
[00:51:50.949 --> 00:52:00.232]  I posted Friday a list of their local numbers, and so call your local congressman, but the main, and I appreciate your call, the main people to call
[00:52:01.639 --> 00:52:03.481]  Are the eight Republicans that voted for it.
[00:52:03.501 --> 00:52:07.246]  We have a list of them up on InfoWars.com and PrisonPlanet.com right now.
[00:52:08.067 --> 00:52:10.310]  Because they have a motion to reconsider.
[00:52:10.750 --> 00:52:11.832]  There is three days.
[00:52:11.892 --> 00:52:13.734]  We have, in fact, a clock up there on the site.
[00:52:14.755 --> 00:52:15.516]  Let me just go to it.
[00:52:17.479 --> 00:52:20.082]  Ah, the passcode just launched on this useless computer up here.
[00:52:20.586 --> 00:52:22.728]  That relaunch every five minutes when you try to go to them.
[00:52:23.168 --> 00:52:38.202]  Up on InfoWars.com, I have a clock counting down for the motion to reconsider, where those individuals have five days, and again that runs out in three days, to go back into the House of Representatives and reconsider their vote.
[00:52:38.543 --> 00:52:42.666]  So those eight Republicans, and those are the eight that helped it pass, do that.
[00:52:43.527 --> 00:52:45.489]  We can't have seven, because if seven...
[00:52:48.476 --> 00:52:55.377]  If we have seven that do it, then the Vice President will be able to tie-break, and the motion will still carry.
[00:52:55.757 --> 00:52:59.358]  People are saying, well, they're going to try to beat the bill in the Senate.
[00:52:59.598 --> 00:53:04.039]  The criminals in the Senate, and by the way, it's criminal that they wouldn't let the American people read that bill.
[00:53:04.779 --> 00:53:07.839]  It's criminal that they added hundreds and hundreds of pages last minute.
[00:53:08.579 --> 00:53:11.940]  And when you read what's in it, it's even more criminal, and again, that's coming up next hour.
[00:53:16.001 --> 00:53:17.661]  Let me scroll down here.
[00:53:21.843 --> 00:53:22.724]  Into this story.
[00:53:24.945 --> 00:53:27.007]  My dad's calling me right now while I'm on air.
[00:53:27.067 --> 00:53:28.108]  I forgot to turn my phone off.
[00:53:28.148 --> 00:53:30.310]  It's a complete circus up here today, ladies and gentlemen.
[00:53:32.772 --> 00:53:33.352]  Here it is.
[00:53:33.752 --> 00:53:39.917]  Cap and Trade Traders Can Change Vote by July 2nd is the headline.
[00:53:39.937 --> 00:53:41.278]  We have a countdown clock.
[00:53:41.639 --> 00:53:44.821]  Three days, seven hours, six minutes, 48 seconds.
[00:53:46.263 --> 00:53:46.803]  To beat that.
[00:53:46.823 --> 00:53:49.404]  And all their phone numbers and details are right there.
[00:53:49.484 --> 00:53:51.204]  You can also call Democrats that voted for it.
[00:53:51.625 --> 00:53:54.645]  They are Mary Bono Mack, Republican, California.
[00:53:55.626 --> 00:53:57.646]  Mike Castle, Delaware, Republican.
[00:53:59.047 --> 00:54:02.308]  Mark Steven Erk, Republican, Illinois.
[00:54:03.048 --> 00:54:04.949]  Leonard Lance, Republican, New Jersey.
[00:54:05.489 --> 00:54:09.850]  Frank Lo Bonando, Republican, New Jersey.
[00:54:09.930 --> 00:54:12.211]  John McHugh, Republican, New York.
[00:54:12.671 --> 00:54:13.031]  Dave
[00:54:13.660 --> 00:54:18.443]  Now on the subject of the flu, if you go back two and a half months ago when all that started,
[00:54:42.173 --> 00:54:55.338]  I went on air day one and I said we've received secret documents from the state of Texas from federal meetings that had the names of the doctors and the names of the feds and we posted it on Infowars.com and the document said they're telling the public we're at level 4.
[00:54:56.218 --> 00:55:00.280]  We're already really at level 5 and within 90 hours we're going to level 6.
[00:55:01.180 --> 00:55:03.261]  But the public won't be told this for a while.
[00:55:05.082 --> 00:55:05.462]  If ever.
[00:55:05.962 --> 00:55:10.444]  And this is to get the whole emergency response ready for basically a federal takeover.
[00:55:10.504 --> 00:55:11.544]  And it put it in a good light.
[00:55:12.392 --> 00:55:23.779]  And I posted it, and everybody laughed at me and said it wasn't real, and as usual, just like the MIAC report, and the DHS report, and the Clergy Response Team reports, and the hundreds of other big stories we broke in aren't real until it's all over mainstream news.
[00:55:25.480 --> 00:55:26.000]  And then what?
[00:55:26.060 --> 00:55:36.166]  Two weeks ago they came out and said, yeah, we've really been at level six for a while, and we're enacting level six level, which means they can quarantine under that protocol, forced inoculations.
[00:55:38.087 --> 00:55:40.829]  And I read to people, Friday again, the executive order,
[00:55:42.563 --> 00:55:47.047]  You can just Google, uh, forced inoculation quarantine executive order and it'll pull up.
[00:55:48.709 --> 00:55:50.110]  It's 13,600 and something.
[00:55:50.130 --> 00:55:52.132]  But the point is, CBS News.
[00:55:53.293 --> 00:55:54.695]  Oh, did you guys print me those other articles?
[00:55:55.976 --> 00:55:59.740]  About the, um, inflation really above 20%?
[00:55:59.900 --> 00:56:00.060]  Yeah.
[00:56:00.140 --> 00:56:04.885]  And then while you're at it, print me, uh, CBS
[00:56:06.940 --> 00:56:07.521]  I'll just search it under...
[00:56:24.136 --> 00:56:28.018]  Flu quarantine executive order in the CBS article as the quarantine enforced inoculation.
[00:56:28.258 --> 00:56:39.163]  And you've seen them on Fox and CNN going, yeah, for your safety, and you know, the big Canadian newspapers are saying, and the European papers, yeah, we're getting billions of doses ready worldwide to forcibly inject you.
[00:56:39.183 --> 00:56:48.048]  And then we played a state official in Arkansas, a tape of him on the news saying, yeah, yeah, we're going to forcibly inject you.
[00:56:49.708 --> 00:56:50.949]  Now people are saying, wait a minute.
[00:56:52.054 --> 00:56:56.498]  This thing's only killed maybe 20-something people worldwide, but U.S.
[00:56:56.538 --> 00:57:02.282]  News & World Report had the headline Friday, so did USA Today, a million Americans have the swine flu.
[00:57:02.322 --> 00:57:02.823]  It's the end.
[00:57:03.143 --> 00:57:05.665]  That means you've contracted the virus.
[00:57:06.446 --> 00:57:08.327]  There's thousands of flu viruses floating around.
[00:57:08.367 --> 00:57:09.428]  Most of them don't even make you sick.
[00:57:10.149 --> 00:57:11.870]  But see, this thing is engineered.
[00:57:13.191 --> 00:57:14.733]  And I don't just say that.
[00:57:14.833 --> 00:57:18.876]  All these top scientists in the Canada, the U.S., Europe have come out
[00:57:20.558 --> 00:57:22.998]  And said it's clearly an engineered virus out of a laboratory.
[00:57:23.038 --> 00:57:24.179]  We told you that day one.
[00:57:25.039 --> 00:57:26.059]  Months later, they admit it.
[00:57:26.919 --> 00:57:39.081]  And then, Baxter Pharmaceutical, the same people that got caught mixing live, deadly, weaponized bird flu with vaccines in Europe, are the ones getting the contracts for the vaccine.
[00:57:40.961 --> 00:57:42.182]  Something's going on here.
[00:57:42.262 --> 00:57:43.562]  So, yes, it's not real.
[00:57:43.602 --> 00:57:44.362]  It's not a real threat.
[00:57:44.622 --> 00:57:46.402]  But do they know it's going to mutate into something?
[00:57:48.163 --> 00:57:49.883]  It normally mutates into something innocuous.
[00:57:51.081 --> 00:57:53.642]  But they're saying it's going to mutate into something bad.
[00:57:54.362 --> 00:57:55.422]  I just answered my own question.
[00:57:56.802 --> 00:58:15.707]  Are they going to, during the financial collapse, during the martial law takeover, during a financial martial law takeover in the fall, which everything is pointing towards now, are they going to, just like in Mexico, say stand down, stand down, it's for the flu, troops are on the streets for the flu, so the feds can grandstand as saviors?
[00:58:16.493 --> 00:58:22.188]  We're going to break it all down after the news in the next hour and go over the complete tyranny that's unfolding.
[00:58:22.609 --> 00:58:22.990]  Stay with us.
[00:58:24.031 --> 00:58:28.254]  It's no secret that Genesis Communications Network depends on listeners like you.
[00:58:28.394 --> 00:58:31.196]  Now you can do even more to hear Genesis shows in your area.
[00:58:31.296 --> 00:58:35.719]  Simply call your local radio stations and tell them about your favorite GCN programs.
[00:58:35.839 --> 00:58:36.379]  It's easy.
[00:58:36.559 --> 00:58:43.083]  Log on to GCNlive.com or call us toll free 877-807-4048.
[00:58:43.163 --> 00:58:43.844]  Make a difference.
[00:58:43.924 --> 00:58:49.287]  Call your local stations and contact us through affiliate relations at GCNlive.com or call 877-807-4048.
[00:58:49.307 --> 00:58:49.668]  Call today.
[00:58:53.550 --> 00:59:02.836]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:59:02.876 --> 00:59:03.617]  This capitalism?
[00:59:03.677 --> 00:59:09.821]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:59:09.961 --> 00:59:10.721]  Hi, Ted Anderson.
[00:59:10.762 --> 00:59:13.864]  I'm placing a free silver dollar in a book that explains our monetary system.
[00:59:13.904 --> 00:59:14.804]  Call for your copy 800-686-2237.
[00:59:14.824 --> 00:59:16.345]  It's time to understand the system.
[00:59:16.365 --> 00:59:16.525]  Call 800-686-2237.
[00:59:16.565 --> 00:59:16.846]  That's 800-686-2237.
[00:59:23.810 --> 00:59:24.910]  Economy, have you down?
[00:59:25.070 --> 00:59:26.611]  Scared you might lose your job?
[00:59:26.751 --> 00:59:28.672]  Worry how you will provide for your family?
[00:59:28.832 --> 00:59:30.752]  Do you worry where your money will come from?
[00:59:30.952 --> 00:59:33.973]  You know that the economy is getting worse, but there is hope.
[00:59:34.253 --> 00:59:38.535]  Robert Beatles' new book, Here's What You Do, tells you what to do and how to do it.
[00:59:38.795 --> 00:59:42.116]  Even a 10-year-old can figure it out after reading this 72-page book.
[00:59:42.356 --> 00:59:43.076]  And the best part?
[00:59:43.256 --> 00:59:44.996]  This book is priced under $10.
[00:59:45.277 --> 00:59:46.937]  Don't be the victim, be a victor!
[00:59:47.197 --> 00:59:49.098]  Go to hereiswhatyoudo.net.
[00:59:49.298 --> 00:59:50.938]  That's hereiswhatyoudo.net.
[00:59:51.178 --> 00:59:52.459]  Again, hereiswhatyoudo.net.
[00:59:53.359 --> 00:59:54.840]  Wondering about your retirement portfolio?
[00:59:54.980 --> 00:59:59.263]  Is your financial advisor experienced enough to combat rising interest rates, taxes, inflation?
[00:59:59.503 --> 01:00:03.586]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[01:00:03.626 --> 01:00:07.809]  With 45 years of experience and concise investment recommendations, who needs sugar-coated excuses?
[01:00:07.989 --> 01:00:10.470]  Get the cold, hard facts and a proven investment strategy.
[01:00:10.571 --> 01:00:14.613]  For a free introductory copy to The International Forecaster, call 877-479-8178 or go to theinternationalforecaster.com.
[01:00:14.633 --> 01:00:14.913]  That's 877-479-8178.
[01:00:14.933 --> 01:00:14.973]  877-479-8178.
[01:00:23.560 --> 01:00:25.143]  Weekend is on the way.
[01:00:25.564 --> 01:00:26.526]  Details coming up.
[01:00:26.646 --> 01:00:28.510]  Thank you for listening to GCN.
[01:00:28.851 --> 01:00:31.156]  Visit GCNlive.com today.
[01:00:31.176 --> 01:00:32.419]  Pick your watch.
[01:00:32.559 --> 01:00:33.601]  It is 5 o'clock.
[01:00:37.898 --> 01:00:40.440]  This is IRN USA Radio News.
[01:00:40.861 --> 01:00:41.782]  I'm Robert Friedman.
[01:00:42.202 --> 01:00:47.267]  Two high-profile departments in Washington are locked in a debate about putting U.S.
[01:00:47.347 --> 01:00:49.069]  troops on the border with Mexico.
[01:00:49.369 --> 01:00:55.134]  It's an idea pushed by the Homeland Security Department, but reportedly opposed by the Pentagon.
[01:00:55.314 --> 01:00:57.837]  Homeland Security Secretary Janet Napolitano
[01:01:00.738 --> 01:01:10.802]  Confessed swindler Bernie Madoff and his wife have been stripped of their wealth by order of the federal court.
[01:01:11.002 --> 01:01:16.024]  Madoff and his wife were forced to hand over over $80 million in assets.
[01:01:16.364 --> 01:01:18.405]  Madoff will be sentenced Monday in U.S.
[01:01:18.445 --> 01:01:23.246]  District Court in Manhattan on his guilty plea of running a $65 billion Ponzi scheme.
[01:01:24.987 --> 01:01:29.796]  The 71-year-old Madoff could receive as many as 150 years in prison.
[01:01:30.056 --> 01:01:33.061]  This is IRN USA Radio News.
[01:01:34.170 --> 01:01:35.632]  My name is John DiMartino.
[01:01:35.692 --> 01:01:39.596]  I'm from Colorado, and I started using Andy Willoughby's 3-Step Plan.
[01:01:39.696 --> 01:01:49.606]  It's extremely encouraging for me, and they've given me training on exactly what to say, and I don't have to be a salesman to talk to people that are calling me.
[01:01:49.966 --> 01:01:53.169]  It's made me feel like, wow, let's do business.
[01:01:53.390 --> 01:01:57.534]  I can only conceive of growing and growing and growing now.
[01:01:57.794 --> 01:02:00.836]  I'm 56 years old, and I feel young.
[01:02:01.176 --> 01:02:02.097]  I feel renewed.
[01:02:02.137 --> 01:02:02.918]  I'm happy.
[01:02:02.938 --> 01:02:05.039]  I'm excited about my financial future.
[01:02:05.059 --> 01:02:11.463]  In a short amount of time, less than an hour a day, if someone wanted to, they could have a system.
[01:02:11.704 --> 01:02:13.805]  This is a stress-relieving business.
[01:02:14.145 --> 01:02:15.506]  Hi, how in the world are you anyway?
[01:02:15.626 --> 01:02:16.746]  This is Andy Willoughby.
[01:02:16.946 --> 01:02:20.748]  After five years, the 3-Step Plan is a proven success story.
[01:02:21.108 --> 01:02:25.910]  If you're tired of worrying about money all the time, go to 3stepplan.com or call 800-480-2102.
[01:02:25.930 --> 01:02:25.970]  800-480-2102.
[01:02:35.140 --> 01:02:43.661]  An interagency team is being assembled by the White House to coordinate efforts with other countries to sanction North Korea for a recent nuclear test.
[01:02:43.861 --> 01:02:49.422]  The Washington Post reports former Ambassador to Bolivia, Philip Goldberg, will head the team.
[01:02:49.783 --> 01:02:56.424]  An official says that a focused effort is needed to see that sanctions are implemented and that information is being shared.
[01:02:56.764 --> 01:03:03.945]  The group will include representatives from the State Department, the White House, the National Security Agency, and the Treasury Department.
[01:03:04.625 --> 01:03:09.927]  A diet high in fat from meat and dairy products has been linked to pancreatic cancer.
[01:03:10.088 --> 01:03:18.551]  The National Institute of Health found both men and women who eat a fatty diet are 36% more likely to develop pancreatic cancer.
[01:03:18.971 --> 01:03:28.096]  Researchers also found that saturated fats found in most animal food sources were linked to a 43% increase in pancreatic cancer.
[01:03:28.396 --> 01:03:32.317]  For the latest news and analysis, log on to IRNUSANews.com.
[01:03:34.212 --> 01:03:38.475]  With a word about Israel, here's best-selling author and Bible teacher, Kay Arthur.
[01:03:39.035 --> 01:03:46.841]  If you could only visit one country, one nation, on the face of this earth, it should be Israel.
[01:03:47.301 --> 01:03:49.943]  Because then, you'll never be the same.
[01:03:50.343 --> 01:03:53.806]  To start planning your trip to Israel today, call 1-888-77-ISRAEL or visit www.goisrael.com.
[01:04:04.778 --> 01:04:09.462]  Michael Jackson's doctor has been questioned by Los Angeles police for a second time.
[01:04:09.883 --> 01:04:17.429]  Accompanied by his lawyer, Texas cardiologist Dr. Conrad Murray was questioned by detectives for several hours Saturday.
[01:04:17.950 --> 01:04:31.682]  The attorney, identified as Matt Alford by TMZ.com, issued a statement through his law firm that said, Dr. Murray is considered to be a witness to the events surrounding Michael Jackson's death and he is not a suspect.
[01:04:32.202 --> 01:04:41.375]  Police are thought to be investigating reports that Murray injected Jackson with the potent painkiller Demerol before he collapsed and died Thursday.
[01:04:41.935 --> 01:04:48.464]  An Iranian religious leader says people protesting the outcome of the recent presidential election should be executed.
[01:04:49.145 --> 01:04:58.291]  Ayatollah Ahmed Khatami said anyone who engaged in what he called destructive acts should be considered at war with God and therefore put to death.
[01:04:58.632 --> 01:05:02.835]  President Obama has condemned the crackdown against protesters as outrageous.
[01:05:03.195 --> 01:05:10.580]  Third-seeded American Venus Williams and top-seeded Dinara Safina were the round three winners on day six at Wimbledon.
[01:05:10.940 --> 01:05:16.962]  Williams cruised past Spaniard Carla Suarez Navarro, while Safina ousted unseeded Kristen Flipkins.
[01:05:17.302 --> 01:05:25.385]  On the men's side, two-time runner-up Andy Roddick posted a third straight four-set victory as he reached the fourth round at Wimbledon's for a fifth time.
[01:05:25.725 --> 01:05:29.326]  Former champion Leighton Hewitt also booked a spot in the round of 16.
[01:05:29.366 --> 01:05:31.566]  This is IRN USA Radio News.
[01:05:33.807 --> 01:05:36.648]  Did you know that you can be tracked and traced when you're online?
[01:05:36.908 --> 01:05:44.790]  With identity theft and cybercrimes on the rise, your passwords, your identity, and even your physical location can be revealed to complete strangers.
[01:05:45.010 --> 01:05:48.711]  Would you like to surf the internet anonymously and not have to worry about these threats?
[01:05:48.971 --> 01:05:52.892]  Well, now you can by visiting patriotinternet.com for about $2 per month.
[01:05:53.632 --> 01:06:01.676]  PatriotInternet.com will conceal your IP address and your physical location, allowing you to browse the web, send emails, and instant message anonymously.
[01:06:01.836 --> 01:06:05.898]  PatriotInternet.com will bypass filters, block sites, and keyword blocking.
[01:06:06.138 --> 01:06:09.279]  You can also bypass logging by your router and your ISP.
[01:06:09.499 --> 01:06:16.122]  With PatriotInternet.com, there is no software to install and uses 128-bit encryption for your protection.
[01:06:16.362 --> 01:06:17.823]  When using wireless hotspots,
[01:06:18.123 --> 01:06:24.464]  PatriotInternet.com shields your information from identity thieves and is compatible with Windows, Mac, and Linux.
[01:06:24.744 --> 01:06:30.646]  Protect your identity and your freedom with anonymous internet access from PatriotInternet.com.
[01:06:30.886 --> 01:06:33.126]  Visit PatriotInternet.com today.
[01:06:35.127 --> 01:06:41.328]  Prepare yourself for a talk radio experience like no other.
[01:06:41.388 --> 01:06:42.828]  He stands for truth.
[01:06:47.247 --> 01:06:49.128]  He stands for justice.
[01:06:50.489 --> 01:06:52.051]  He stands for what's right.
[01:06:52.211 --> 01:06:55.633]  This is the Alex Jones Show.
[01:06:56.214 --> 01:06:59.216]  Call Alex now, toll free at 877-590-5525.
[01:06:59.316 --> 01:07:02.759]  Now live from Austin, Texas, here's Alex Jones.
[01:07:16.477 --> 01:07:20.841]  As promised, I pulled up that CBS News report, one of many.
[01:07:21.262 --> 01:07:24.985]  DHS sets guidelines for possible swine flu quarantine.
[01:07:26.047 --> 01:07:33.594]  That's got the executive order 13,375 for forced inoculation, forced quarantine for those of you living in denial out there.
[01:07:35.175 --> 01:07:40.921]  Also, I was mixing up two different issues of inflation and unemployment, but both those numbers are cooked.
[01:07:41.938 --> 01:07:53.687]  Depending on which brokerage firm you look at, and other groups that actually look at real inflation, real unemployment, the government numbers will tell you real unemployment's at 9.8% and they'll tell you inflation's at 6%.
[01:07:54.587 --> 01:08:00.191]  But the private firms and folks out there say that inflation, depending on what you're looking at, but the overall average, is over 15%.
[01:08:00.772 --> 01:08:03.514]  And unemployment is already over 20%.
[01:08:04.574 --> 01:08:06.496]  So, there you have it.
[01:08:06.996 --> 01:08:09.578]  The point is, they are manipulating those numbers.
[01:08:10.646 --> 01:08:25.513]  Now the state of Michigan officially says they're at 12.5, Rhode Island 11.4, South Carolina 10.9, Oregon 10.9, California 10.6, North Carolina 10.3, Nevada 10.2, but the feds have those with an even lower unemployment.
[01:08:25.973 --> 01:08:28.134]  So the feds and the states don't even agree.
[01:08:29.455 --> 01:08:35.398]  Depression era level unemployment was only over 20%, so we're now in depression level.
[01:08:36.528 --> 01:08:48.413]  And this whole carbon tax and this giant new federal power for every federal agency to, at their own will, write up new regulations with force of law to regulate all carbon.
[01:08:49.114 --> 01:08:56.817]  Taxes on fireplaces, outdoor heating systems like space heaters or those butane.
[01:08:57.887 --> 01:09:09.036]  Or propane tank heaters they have outside in the winter at restaurants, taxes, what kind of light bulbs, what kind of toilets, water footprint taxes, not just your carbon footprint.
[01:09:09.056 --> 01:09:17.743]  I'm going to go over that coming up because the House of Representatives passed this without letting the Congress read the bill.
[01:09:20.004 --> 01:09:23.467]  I mean, it just gets more and more incredible by the minute, so that is coming up.
[01:09:24.448 --> 01:09:27.010]  And then I want to go over the total takeover.
[01:09:27.853 --> 01:09:37.464]  The carbon takeover, the banking takeover, the water takeover, the police state takeover, the gun grab takeover, the attack on free speech, that takeover that's happening.
[01:09:38.686 --> 01:09:43.211]  The House has passed the hate crimes bill and slipped in similar language.
[01:09:45.514 --> 01:09:46.936]  Similar language.
[01:09:48.328 --> 01:10:00.374]  To the Cyber Bullying Act saying if the government decides what a talk show host or somebody on the internet says might have hurt someone's feelings or encourage someone to carry out violence, then you are held responsible.
[01:10:00.734 --> 01:10:01.495]  Thought crime!
[01:10:01.595 --> 01:10:02.575]  End of the First Amendment!
[01:10:02.875 --> 01:10:03.936]  It's past the House!
[01:10:04.556 --> 01:10:05.577]  Folks, it's all happening.
[01:10:05.897 --> 01:10:08.198]  They got bills to outright ban almost every gun out there.
[01:10:08.558 --> 01:10:09.979]  Introduced, racing through the House.
[01:10:10.019 --> 01:10:15.662]  They got bills for the federal government to give all its power over to the private federal reserve to control anything that quote affects the economy.
[01:10:16.385 --> 01:10:18.386]  From a restaurant to a car dealership.
[01:10:18.506 --> 01:10:19.967]  It's all happening.
[01:10:20.227 --> 01:10:21.067]  I am speechless.
[01:10:22.488 --> 01:10:28.250]  And the public's going through this like it's a dream, like it's not happening, or like the government's going to fix it and make it all go away.
[01:10:28.371 --> 01:10:28.591]  No.
[01:10:29.051 --> 01:10:30.992]  Offshore corporations are going to suck us dry.
[01:10:31.012 --> 01:10:32.913]  Alright, let's go to a bunch of calls quickly.
[01:10:32.973 --> 01:10:34.393]  Make your point and I'll move on to the next person.
[01:10:34.413 --> 01:10:36.454]  Because I've got to get into all this, but I also want to hear from you.
[01:10:36.794 --> 01:10:38.695]  George in Texas, you're on the air.
[01:10:38.755 --> 01:10:39.115]  Welcome.
[01:10:39.976 --> 01:10:41.657]  How you doing, Alex?
[01:10:41.797 --> 01:10:42.137]  Good, sir.
[01:10:42.157 --> 01:10:42.717]  You're on the air.
[01:10:43.157 --> 01:10:44.478]  Yeah, no king but King Jesus.
[01:10:45.296 --> 01:10:47.577]  Well, that's hate crime right there, but go ahead.
[01:10:48.177 --> 01:10:48.437]  Yes.
[01:10:48.997 --> 01:10:59.601]  You know, the thing is, I'm ready to start a little project because, you know, with the bankers, with the Federal Reserve System and the IRS, I mean, we pretty much rattled those institutions, but I'm going after the U.S.
[01:10:59.621 --> 01:11:03.643]  Senate because of the 17th Amendment because I really see them as the gatekeepers for the bankers.
[01:11:03.643 --> 01:11:04.043]  That's right.
[01:11:04.083 --> 01:11:16.211]  Until 1913, the private IRS took over, the private Federal Reserve took over, the IRS collects for them, and before the state legislatures would vote and appoint the senator, so the senator was a creature of the state.
[01:11:16.591 --> 01:11:18.733]  And that's another huge reversal of liberty.
[01:11:18.993 --> 01:11:21.174]  We need to repeal the 17th Amendment.
[01:11:21.214 --> 01:11:21.895]  Very well said.
[01:11:21.915 --> 01:11:26.418]  Well, I really think we've got to pressure our legislatures to pressure our U.S.
[01:11:26.498 --> 01:11:29.660]  senators, either by grand juries or recalling them, because
[01:11:30.160 --> 01:11:30.600]  Each U.S.
[01:11:30.680 --> 01:11:34.682]  Senators are entrenched in... They are openly bought and paid for by offshore banks.
[01:11:35.062 --> 01:11:36.042]  Openly paid for.
