[00:00:52.809 --> 00:00:53.669]  Look at this article.
[01:10:15.919 --> 01:10:18.200]  Nobody remembers there was a depression in the year 1920.
[01:10:18.901 --> 01:10:24.683]  And the reason we don't remember it is that the Fed was still so young it hardly even knew how to operate yet.
[01:10:25.003 --> 01:10:26.924]  It wasn't doing open market operations.
[01:10:26.944 --> 01:10:27.985]  The Fed stayed out of it.
[01:10:28.485 --> 01:10:34.050]  The federal budget was cut in half in two years, and the result was you had a very quick, robust recovery.
[01:10:34.070 --> 01:10:36.032]  Now, that's the exact opposite of what we're told today.
[01:10:36.072 --> 01:10:42.458]  We're told today the government needs to get more power, needs to spend more money, it needs to inflate, needs to do all this stuff, because otherwise we'll have a disaster.
[01:10:42.498 --> 01:10:43.299]  Well, to the contrary!
[01:10:43.499 --> 01:10:51.447]  The one time we had a chance to do the opposite of this, we were out of it before you know it, but meanwhile they are doing the very opposite.
[01:10:51.927 --> 01:10:52.788]  Of what makes sense.
[01:10:52.868 --> 01:10:59.974]  And they're doing exactly the same things that have now given Japan, in the last quarter annualized, Japan's economy shrank by over 15%.
[01:11:00.614 --> 01:11:03.817]  I mean, you expect to hear that out of Haiti or Zimbabwe.
[01:11:04.017 --> 01:11:04.777]  This is Japan!
[01:11:05.058 --> 01:11:08.620]  And they've done everything that Geithner and all the so-called experts tell them to do.
[01:11:08.981 --> 01:11:12.463]  It is long past time we dispense with these so-called experts.
[01:11:12.523 --> 01:11:14.205]  We not feel intimidated by these people.
[01:11:14.245 --> 01:11:15.266]  These are morons.
[01:11:15.946 --> 01:11:20.750]  When it comes to economics, we should have confidence that if you just sit down and
[01:11:21.110 --> 01:11:27.436]  One thing I'm good at, I mean, I'm bad at a lot of things, but one thing I'm good at is explaining this stuff so the average person can get it.
[01:11:27.496 --> 01:11:33.922]  And a lot of people read Meltdown and they say, you know, I understand this so clearly now, why is it impossible for these people to get it?
[01:11:34.182 --> 01:11:36.564]  And then, of course, that leads to a deeper question.
[01:11:37.011 --> 01:11:38.292]  Well, Tom, we know why.
[01:11:38.612 --> 01:11:40.073]  They're crazy like a fox.
[01:11:40.473 --> 01:11:41.834]  There's a method to the madness.
[01:11:42.434 --> 01:11:44.816]  I've read the IMF World Bank documents, as I'm sure you have.
[01:11:45.376 --> 01:11:46.457]  I mean, they know what they're doing.
[01:11:46.517 --> 01:11:47.678]  They give us all the risk.
[01:11:47.718 --> 01:11:48.598]  They get all the profit.
[01:11:49.399 --> 01:11:53.722]  And they love wrecking economies, you know, controlled command destruction.
[01:11:54.662 --> 01:11:57.425]  And it was great for the oligarchs in Russia when everything fell apart there.
[01:11:57.465 --> 01:11:58.266]  They got great power.
[01:11:58.606 --> 01:12:00.208]  It's great for these oligarchs.
[01:12:01.008 --> 01:12:03.451]  And it's like George Soros said, I'm having a great crisis.
[01:12:03.511 --> 01:12:03.951]  I love it.
[01:12:03.991 --> 01:12:05.913]  This is the culmination of my life.
[01:12:06.113 --> 01:12:06.814]  Close quote.
[01:12:07.835 --> 01:12:09.036]  They know what they're doing.
[01:12:09.056 --> 01:12:11.559]  And as everything implodes, then all we've got is government.
[01:12:11.619 --> 01:12:13.120]  It becomes the central pillar.
[01:12:13.140 --> 01:12:14.822]  And so I want you to speak to that.
[01:12:14.862 --> 01:12:15.482]  But then also,
[01:12:16.583 --> 01:12:18.305]  There's two schools of thought and solution.
[01:12:18.885 --> 01:12:20.226]  I believe in the Austrian school.
[01:12:20.386 --> 01:12:21.027]  I know you're right.
[01:12:21.067 --> 01:12:21.808]  I've studied the history.
[01:12:22.328 --> 01:12:40.283]  But we're already so far down the road of big government and crony capitalism, monopoly capitalism, that if we're going to have $14.8 trillion pumped out in the last seven months, if that would have gone to big work projects and to things on the main street, real economy, it'd still be a big debt and inflation and the wrong way to go.
[01:12:40.623 --> 01:12:57.635]  But it'd be a lot better than pumping it offshore to speculators to then buy barges of oil and park it off of islands in the Mediterranean, as JP Morgan's doing, to then jack up gas prices artificially so we then pay a tax to them on that.
[01:12:57.995 --> 01:13:03.879]  I sure know that if we're going to have $14.7 trillion, and it's our money, a fiat currency, I mean,
[01:13:04.619 --> 01:13:07.782]  Bloomberg reported all the mortgages in the country were $9.5 trillion.
[01:13:08.142 --> 01:13:10.804]  With this $14 trillion, we could have paid off all our mortgages.
[01:13:10.844 --> 01:13:19.231]  I mean, I think that's the message to the little socialists, the little blue-collar people that don't understand this, that, hey, they took your money offshore.
[01:13:19.251 --> 01:13:20.152]  Now, go ahead.
[01:13:20.592 --> 01:13:31.516]  Well, I mean, and of course then we have the additional problem that with a lot of this money that, you know, has apparently been created or spent or who knows what, we actually don't even know the exact recipients.
[01:13:31.957 --> 01:13:34.378]  I'm sure you saw the video a couple months ago.
[01:13:34.478 --> 01:13:41.100]  It was a Democratic representative from Florida questioning the laughably titled Inspector General at the Fed.
[01:13:41.120 --> 01:13:45.622]  I mean, talk about an absurd title, Inspector General, like there's any inspecting going on.
[01:13:45.882 --> 01:13:48.483]  And he asked her, can you account for some of these trillions?
[01:13:48.503 --> 01:13:53.524]  I mean, we're just kind of wondering if you could just give us the exact recipients, who got what, what collateral was accepted.
[01:13:53.784 --> 01:13:55.105]  She didn't even understand the question.
[01:13:55.965 --> 01:14:14.410]  And one of the most, I think, rewarding moments, I mean, just really, really just joy-producing moments of my life in recent years, is the realization that there are people out there who understand what's going on with the Fed, and that now it's almost like all the cool people are anti-Fed, you know?
[01:14:14.430 --> 01:14:15.350]  I mean, now everybody wants to
[01:14:16.311 --> 01:14:17.071]  Exactly.
[01:14:17.271 --> 01:14:27.079]  Once the veneer of invincibility dissipates, and once Ron Paul started calling out Bernanke and Senator Sanders, I'm sure you've seen the clip where Sanders says, Bernanke, where's the money?
[01:14:27.139 --> 01:14:29.741]  And Bernanke says, I'm not going to tell you.
[01:14:30.601 --> 01:14:40.650]  I mean, as much as we are inclined to fall into despair and think, well, everything's shot, it absolutely isn't, because there is a lot that an enraged populace can do.
[01:14:41.030 --> 01:14:49.057]  And if this crisis really continues to snowball and really barrels out of control, there's no group that can control an economy that totally collapses.
[01:14:52.780 --> 01:14:54.862]  Anything can happen if it's a situation like that.
[01:14:55.102 --> 01:14:58.045]  But in the short run, people are starting to ask some good questions.
[01:14:58.105 --> 01:15:02.029]  And we might even get, or at least we might even get an audit of the Fed.
[01:15:02.049 --> 01:15:07.014]  And as Ron Paul puts it, no matter how that debate turns out, it is a victory.
[01:15:07.054 --> 01:15:08.635]  Because if we get the audit, then great.
[01:15:08.936 --> 01:15:12.419]  But if they veto this bill, well, in a way, that's also good.
[01:15:12.499 --> 01:15:15.121]  Because then, that just encourages more suspicion.
[01:15:15.141 --> 01:15:17.804]  People are going to say, wait a minute, what are you hiding?
[01:15:18.344 --> 01:15:18.745]  Exactly.
[01:15:18.785 --> 01:15:19.886]  No, no, that's even better.
[01:15:19.966 --> 01:15:30.417]  I mean, we're trying to pass it with everything we've got, but if they cover it up, right as we get to the trunk that's stinking to high heaven, we're looking for the dead body, and the guy's got blood on his hands, I mean, yeah, exactly.
[01:15:30.457 --> 01:15:33.020]  Then everybody starts asking, why are you so secretive?
[01:15:34.215 --> 01:15:39.637]  And meanwhile, to me, the amazing thing is, here we've got a supposedly free press.
[01:15:39.697 --> 01:15:42.778]  I'm sure you know all about this, but we've got a supposedly free press.
[01:15:42.978 --> 01:15:47.639]  They have a chance, the media, to interview Ben freaking Bernanke on 60 Minutes.
[01:15:47.899 --> 01:15:51.120]  So you'll think, oh, here will be some really great investigative journalism, right?
[01:15:51.480 --> 01:15:57.323]  Well, instead, the reporter walks into the Fed building and he looks around and he says, ooh, wow, they don't build buildings like this anymore.
[01:15:57.343 --> 01:16:00.085]  I mean, total lapdog, pathetic loser.
[01:16:00.465 --> 01:16:05.548]  And then instead of asking Bernanke, well, let's see, everything you've said has been wrong for the last three years.
[01:16:05.588 --> 01:16:09.890]  You told us there was no housing bubble, the mortgage market was great, things were going to turn around.
[01:16:10.050 --> 01:16:13.232]  Like, every single thing you've said is wrong, so why would we want to listen to you now?
[01:16:13.572 --> 01:16:17.374]  Instead, the questions were like, gee, what's your biggest concern?
[01:16:17.394 --> 01:16:19.735]  You know, so it was like Katie Couric interviewing Hillary
[01:16:20.427 --> 01:16:21.808]  Oh, you care about us?
[01:16:21.868 --> 01:16:23.509]  Tell us how you're trying to save us.
[01:16:23.529 --> 01:16:25.030]  You need more power?
[01:16:25.210 --> 01:16:26.311]  We've been bad?
[01:16:50.827 --> 01:16:52.829]  Well, that's another issue.
[01:16:52.969 --> 01:16:55.171]  Obama cannot talk without his teleprompter.
[01:16:55.191 --> 01:16:57.153]  Look at you, running a million miles an hour.
[01:16:57.173 --> 01:16:58.213]  I am Ron Paul.
[01:16:58.594 --> 01:17:00.515]  All of us that love liberty, we can talk.
[01:17:00.595 --> 01:17:01.937]  We got our facts and history.
[01:17:02.237 --> 01:17:12.045]  And when you really talk to Bernanke and others, and I've been around them, I've confronted them and others, they are themselves these little tight, little, you know, cards close to the chest.
[01:17:12.305 --> 01:17:13.726]  They won't answer any questions.
[01:17:14.066 --> 01:17:18.370]  I mean, it's really just a big, stinking edifice that needs to come down.
[01:17:18.590 --> 01:17:25.419]  Absolutely, and I mean imagine, now thankfully there is alternative media that is of course popping up everywhere, that's wonderful.
[01:17:25.939 --> 01:17:34.751]  If we had in the mainstream media, if we had one-tenth of the investigative instinct, just think of how different a country would be.
[01:17:36.075 --> 01:17:41.719]  But the private Federal Reserve funds all the big mega-corporations that own the media and the military-industrial complex.
[01:17:42.239 --> 01:17:48.403]  So, when 60 Minutes was literally guarding its financial emperor, who it works for.
[01:17:48.924 --> 01:17:52.806]  So there is no impartial, impartiality there.
[01:17:53.287 --> 01:17:58.170]  And let's talk about the media bailout, where the government's going to fund the newspapers and TV.
[01:17:58.670 --> 01:17:59.771]  I mean, this is getting crazy.
[01:18:02.094 --> 01:18:02.975]  Spring is here.
[01:18:03.215 --> 01:18:03.995]  Growing season.
[01:18:04.175 --> 01:18:06.156]  The economy is not getting any better.
[01:18:06.377 --> 01:18:07.777]  In fact, it's getting worse.
[01:18:08.098 --> 01:18:08.758]  Think about it.
[01:18:09.058 --> 01:18:12.920]  At this rate, how will your life be in a month or even a year?
[01:18:13.161 --> 01:18:16.623]  Maybe you've been putting things off, but the time to act is now.
[01:18:16.843 --> 01:18:19.404]  You need to get your seeds before it's too late.
[01:18:19.684 --> 01:18:30.691]  At OrganicaSeed.com, you'll find one of the largest online selections of heirloom seeds, survival seed packs, as well as the giant vegetable seed collections that can feed you and your family
[01:18:30.711 --> 01:18:31.171]  Let's do it!
[01:19:00.540 --> 01:19:01.882]  Hey folks, Alex Jones here.
[01:19:02.062 --> 01:19:07.047]  I'm sending out a special alert to all those out there listening with credit card debt and struggling to make payments.
[01:19:07.448 --> 01:19:09.530]  I'm going to give you a very important phone number.
[01:19:09.871 --> 01:19:19.081]  Due to a declining economy and credit crisis, you now have the power to settle your debt and lower your payments by up to 60% or more by calling the bailout group.
[01:19:19.341 --> 01:19:26.085]  This program has already settled over $100 million of debt and are saving individual consumers thousands of dollars.
[01:19:26.406 --> 01:19:32.549]  Folks, if you are struggling with credit card debt and those excessive interest payments, the time is now to take advantage of this opportunity.
[01:19:32.729 --> 01:19:34.190]  Call the bailout group today at 1-800-324-6554.
[01:19:34.250 --> 01:19:36.192]  I hope our listeners take advantage of this.
[01:19:40.054 --> 01:19:40.634]  Let's do it!
[01:20:00.649 --> 01:20:03.030]  Are you concerned for the safety of your loved ones?
[01:20:03.331 --> 01:20:06.492]  Listen closely to this message from Pepperspray.com.
[01:20:06.953 --> 01:20:09.794]  Every 22 seconds a violent crime is committed.
[01:20:10.095 --> 01:20:14.217]  America has changed and your personal safety is your first priority.
[01:20:14.517 --> 01:20:15.137]  Be smart.
[01:20:15.338 --> 01:20:15.938]  Be safe.
[01:20:16.298 --> 01:20:16.718]  We're good to go.
[01:20:46.058 --> 01:20:46.579]  I think so.
[01:21:15.230 --> 01:21:17.992]  I just want to take a few seconds out to thank all the listeners.
[01:21:20.613 --> 01:21:26.916]  Unlike the government, we don't come and forcibly take your money and then use it against you.
[01:21:28.878 --> 01:21:31.199]  We don't come and forcibly take your money and give it to private corporations.
[01:21:31.239 --> 01:21:38.443]  We ask you to buy the books and videos and materials at InfoWars.com so we can operate it against the big corporate media that uses your tax money against you.
[01:21:40.450 --> 01:21:41.752]  And we have the once-a-year money bomb.
[01:21:41.812 --> 01:21:45.896]  Second annual raised $280,000 and a little bit more still coming in.
[01:21:45.916 --> 01:21:49.580]  And that will really help us expand everything we're doing and I commend all of you.
[01:21:49.600 --> 01:21:50.161]  God bless you.
[01:21:50.361 --> 01:21:53.164]  You're going to see big changes in the next year like you've seen in the last.
[01:21:54.125 --> 01:21:57.549]  We're going to have our guest with us five minutes to the next hour so I can play a two-minute clip.
[01:21:57.869 --> 01:22:00.052]  The clip he mentioned where the Solicitor General
[01:22:01.460 --> 01:22:06.285]  The private Federal Reserve has asked where the trillions go, and she says, I don't know, which of course isn't true.
[01:22:07.026 --> 01:22:16.576]  But now we're openly not just seeing the government spend tens of billions a year for fake newscasts, buying reporters, these news packages that were secret.
[01:22:17.037 --> 01:22:19.940]  Now they're openly saying they're going to bail out the media.
[01:22:20.321 --> 01:22:23.224]  I mean, how about a bailout for the taxpayers, sir?
[01:22:24.725 --> 01:22:25.286]  Well, exactly.
[01:22:25.306 --> 01:22:33.958]  I mean, particularly on this media question, how in the world could you possibly have a free media when they know they might have a chance to get a bailout?
[01:22:33.978 --> 01:22:38.444]  Who's going to want to criticize the government now if you know money could be coming if you shut up and toe the line?
[01:22:39.385 --> 01:22:42.209]  It's unbelievable that anyone could conceivably support this.
[01:22:43.925 --> 01:22:45.386]  Alright, I've asked all my questions.
[01:22:46.047 --> 01:22:47.968]  I know there's a lot of other points that are important.
[01:22:48.268 --> 01:22:55.514]  What are other areas, because you've got the evidence there and in your book, of where they do things that make the economy worse?
[01:22:56.220 --> 01:23:00.962]  Well, let me just first make a quick comment about the Inspector General of the Fed, the clip that you've got there.
[01:23:01.462 --> 01:23:10.786]  I think this, if you actually watch this woman, she genuinely, either she should win an Academy Award, or she genuinely doesn't understand this stuff.
[01:23:11.226 --> 01:23:17.189]  Whatever the case is, either she's a liar or ignorant, it shows an unbelievable contempt for the public.
[01:23:17.249 --> 01:23:21.711]  It really shows the Fed's total contempt that they would produce this woman.
[01:23:22.051 --> 01:23:26.636]  Who can't answer a single question or refuses to answer even the simplest sort of question.
[01:23:26.656 --> 01:23:27.697]  It's just astonishing.
[01:23:28.198 --> 01:23:34.004]  But my argument of one of my points in Meltdown, and incidentally while we're on the media question,
[01:23:34.824 --> 01:23:36.666]  Meltdown's got a forward by Ron Paul.
[01:23:36.706 --> 01:23:41.590]  The only person in a hundred miles of Washington with any credibility on this is the New York Times bestseller for ten weeks.
[01:23:41.811 --> 01:23:47.896]  The New York Times, my publisher tells me, has refused to review it, even though it is customary for them to review bestsellers.
[01:23:47.916 --> 01:23:49.858]  The book calls out the Fed and all this stuff.
[01:23:50.118 --> 01:23:51.720]  Anybody can get it, so they won't review it.
[01:23:52.000 --> 01:23:59.467]  The last time, the only other time they did review a book of mine, was the Politically Incorrect Guide to American History, and I'm sure they realized that after they condemned it,
[01:24:00.087 --> 01:24:03.609]  Everybody bought it, so needless to say, they can't mention it at all.
[01:24:03.989 --> 01:24:08.172]  But the New York Times, without some type of bailout, is clearly going down.
[01:24:08.312 --> 01:24:12.134]  I mean, they're going to need some type of bailout, and I hope it never comes.
[01:24:12.214 --> 01:24:16.216]  It couldn't be more richly deserved.
[01:24:16.716 --> 01:24:23.380]  But one of my arguments, and it's not exclusive to me, is that the very existence of the Fed, the very fact that you have one,
[01:24:24.301 --> 01:24:26.122]  Increases what we call moral hazard.
[01:24:26.142 --> 01:24:29.284]  In other words, it makes people do riskier things than they otherwise would do.
[01:24:29.664 --> 01:24:36.768]  And in particular, ever since especially the late 90s, when there was a hedge fund called Long-Term Capital Management.
[01:24:36.988 --> 01:24:37.849]  That's a bad name.
[01:24:37.889 --> 01:24:40.831]  You would not want this hedge fund managing your long-term capital.
[01:24:40.891 --> 01:24:45.073]  But anyway, Alan Greenspan bailed this thing out when things went sour.
[01:24:45.233 --> 01:24:48.475]  Now, that was the mathematic geniuses that were invincible.
[01:24:48.775 --> 01:24:49.015]  Yeah.
[01:24:49.375 --> 01:24:51.876]  Oh yeah, so absolutely invincible, and then bang!
[01:24:52.176 --> 01:24:53.877]  The economy gave its verdict.
[01:24:54.177 --> 01:24:57.458]  Well, after he did that, of course, what did that make Lehman do?
[01:24:57.518 --> 01:24:58.858]  What did that make Merrill Lynch do?
[01:24:58.918 --> 01:24:59.158]  All of it.
[01:24:59.198 --> 01:25:00.899]  Made him ten times more reckless.
[01:25:00.959 --> 01:25:01.319]  Exactly.
[01:25:01.359 --> 01:25:01.999]  So I mean, what?
[01:25:02.539 --> 01:25:05.100]  Again, and then meanwhile, this is all blamed on the free market.
[01:25:05.120 --> 01:25:14.183]  No, we should blame it on the fact that we've got this monopolistic entity that is... And again, there is this sort of superstition that the Fed is there for the common person.
[01:25:14.947 --> 01:25:15.207]  Come on!
[01:25:16.148 --> 01:25:17.809]  It's there to bail out the big guys.
[01:25:17.889 --> 01:25:18.710]  That's why it's there.
[01:25:19.631 --> 01:25:20.592]  Absolutely amazing.
[01:25:20.632 --> 01:25:21.612]  Final segment with our guest.
[01:25:21.632 --> 01:25:28.178]  We're going to come back and just play a minute or two of him asking her and she's just bumbling around and can't answer anything.
[01:25:28.198 --> 01:25:32.461]  You'll hear a bunch of this weird corporate doublespeak about, is there a review of this?
[01:25:32.541 --> 01:25:36.144]  And that's coming up in one minute as we start the final hour.
[01:25:36.724 --> 01:25:37.245]  Stay with us.
[01:25:42.048 --> 01:25:43.850]  You are listening to GCN.
[01:25:45.746 --> 01:25:47.948]  Visit GCNlive.com today!
[01:25:50.531 --> 01:25:55.535]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[01:25:55.735 --> 01:25:59.539]  Number one, new climate legislation could easily double or triple your electric bill.
[01:25:59.759 --> 01:26:05.364]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[01:26:05.665 --> 01:26:10.529]  It's true, total government control of electricity in the name of smart grid technology is coming.
[01:26:10.749 --> 01:26:11.250]  Number three,
[01:26:11.650 --> 01:26:17.095]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[01:26:17.936 --> 01:26:20.599]  The hurricane and dangerous summer storm season is here again.
[01:26:20.839 --> 01:26:25.043]  Every year, thousands of families lose their power from weather-related outages.
[01:26:25.363 --> 01:26:28.967]  A solar power generator provides powerful backup insurance and peace of mind.
[01:26:29.207 --> 01:26:34.692]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[01:26:34.932 --> 01:26:39.495]  You can get more information at www.mysolarbackup.com.
[01:26:39.635 --> 01:26:41.177]  That's mysolarbackup.com.
[01:26:41.397 --> 01:26:43.739]  Remember, the government doesn't own the sun yet.
[01:26:43.979 --> 01:26:47.882]  So go to mysolarbackup.com or call toll-free 877-327-0365.
[01:26:53.346 --> 01:26:55.288]  Waging war on corruption.
[01:26:55.748 --> 01:26:58.551]  Alex Jones on the GCM Radio Network.
[01:27:10.794 --> 01:27:19.580]  By the way, I have gotten so obsessed with the North Korea situation and Iran, and I forgot to get to our top story today like a fool the last three hours.
[01:27:20.971 --> 01:27:21.471]  The D.O.D.
[01:27:21.511 --> 01:27:25.974]  training manual describes protest, all protest, as low-level terrorism.
[01:27:26.274 --> 01:27:31.016]  And the Army's declassified documents that I am watched by the U.S.
[01:27:31.196 --> 01:27:32.897]  Army at my events.
[01:27:33.257 --> 01:27:34.298]  And so is Ron Paul.
[01:27:34.958 --> 01:27:36.899]  And Ron Paul just kind of nicely shrugs it off.
[01:27:37.559 --> 01:27:38.720]  But that's coming up.
[01:27:38.760 --> 01:27:39.820]  We have these in the Fed rallies.
[01:27:39.840 --> 01:27:41.901]  They have Army intelligence there.
[01:27:41.961 --> 01:27:43.642]  New breaking mainstream news.
[01:27:43.662 --> 01:27:44.383]  We'll cover that.
[01:27:45.103 --> 01:27:51.746]  And we've got just a few minutes left with Tom Woods, TomWoods.com, the Ludwig von Mies Institute bestselling author.
[01:27:51.766 --> 01:27:54.608]  But let's go ahead and play just a minute or two of this clip.
[01:27:54.628 --> 01:28:00.571]  This is the Selector General, the investigator of the Fed investigating itself, bumbling around.
[01:28:00.611 --> 01:28:01.071]  Here it is.
[01:28:03.372 --> 01:28:05.253]  Thank you very much, Mr. Chairman.
[01:28:06.774 --> 01:28:10.036]  Inspector Coleman, you're the Inspector General for the Federal Reserve, right?
[01:28:11.516 --> 01:28:12.197]  That's correct.
[01:28:12.697 --> 01:28:21.943]  Have you done any investigations concerning the Federal Reserve's role in deciding not to save Lehman Brothers, which led to shockwaves that went through the entire financial system?
[01:28:24.365 --> 01:28:26.206]  In that particular area?
[01:28:26.407 --> 01:28:33.131]  You know, I don't generally comment on specific investigations, but we do not currently have an investigation in that particular area.
[01:28:34.292 --> 01:28:34.512]  All right.
[01:28:34.832 --> 01:28:41.257]  What about the $1 trillion-plus in expansion of the Federal Reserve's balance sheet since last September?
[01:28:41.823 --> 01:28:44.265]  Have you conducted any investigations regarding that?
[01:28:46.067 --> 01:28:56.035]  Right now we have a, we call it a review, and I don't know if the term investigation may have different connotations.
[01:28:56.375 --> 01:29:07.785]  So we're actually conducting a fairly high-level review of the various lending facilities collectively, which would include, you know, the TALF, a variety of the different programs that are in process.
[01:29:07.805 --> 01:29:10.107]  So we're looking at them at a fairly high level to identify risk.
[01:29:11.007 --> 01:29:15.849]  Well, I understand that, but we're talking about events that started unfolding eight months ago.
[01:29:15.929 --> 01:29:22.531]  Have you reached any conclusions about the Fed expanding its balance sheet by over a trillion dollars since last September?
[01:29:22.931 --> 01:29:24.512]  We have not yet reached any conclusions.
[01:29:24.872 --> 01:29:29.634]  Do you know who received that money?
[01:29:31.275 --> 01:29:34.056]  We're in the process right now of doing our review.
[01:29:36.286 --> 01:29:37.767]  Right, but you're the Inspector General.
[01:29:38.307 --> 01:29:46.391]  My question to you specifically is, do you know who received that $1 trillion plus that the Fed extended and put on its balance sheets since last September?
[01:29:46.411 --> 01:29:47.932]  Do you know the identity of the recipients?
[01:29:48.492 --> 01:29:48.992]  I do not know.
[01:29:49.033 --> 01:29:51.474]  We have not looked at that specific area.
[01:29:52.474 --> 01:29:54.335]  At this particular point on those reviews.
[01:29:57.157 --> 01:30:03.560]  What about Bloomberg's report that there are trillions of dollars in off-balance sheets transactions
[01:30:04.281 --> 01:30:07.423]  that the Federal Reserve has entered into since last September.
[01:30:08.103 --> 01:30:10.684]  Are you familiar with those off-balance sheet transactions?
[01:30:12.345 --> 01:30:19.729]  I think it may be important at this point, too, just to bring up a certain aspect related to our jurisdiction.
[01:30:21.410 --> 01:30:22.691]  Let's just go ahead and go back.
[01:30:22.931 --> 01:30:26.793]  The Inspector General has no jurisdiction over who the Fed's giving money to.
[01:30:26.873 --> 01:30:30.095]  In closing, Mr. Woods, your comments on what you just heard.
[01:30:31.058 --> 01:30:39.564]  Well, when my wife showed this to me the other night, and I know there are a lot of us who would kill to have a wife who digs out anti-Fed videos, and I'm telling you, I got one.
[01:30:39.924 --> 01:30:45.648]  And when I heard this thing, I thought, this is the best video in favor of auditing the Fed I've ever seen.
[01:30:45.928 --> 01:30:49.270]  It's almost like, you know, it's almost like I made it, even if she's an actress.
[01:30:49.570 --> 01:30:50.671]  It is astonishing.
[01:30:52.092 --> 01:30:59.234]  That, as I say, either she's ignorant or she is sinister, but this is the person they put out when they know we've got serious questions.
[01:30:59.274 --> 01:31:03.115]  Well, my view is the party is starting to end.
[01:31:04.295 --> 01:31:10.437]  It's been almost a century for the Fed, but people are starting to cotton on to it and it has not happened a moment too soon for me.
[01:31:11.024 --> 01:31:12.025]  So it's not going to live to 100.
[01:31:14.148 --> 01:31:19.876]  It's 97, 98 years old right now, and it's time to fell this rotten tree that's endangering the entire house.
[01:31:20.157 --> 01:31:20.878]  I'd love to do it.
[01:31:20.898 --> 01:31:23.521]  I don't know if we'll do it in time for 100 years.
[01:31:23.541 --> 01:31:26.145]  I don't know when it'll happen, but I do think it will happen.
[01:31:26.624 --> 01:31:27.124]  Well, I hope.
[01:31:27.384 --> 01:31:28.385]  It's getting long in the tooth.
[01:31:28.405 --> 01:31:29.725]  This parasite needs to be removed.
[01:31:30.025 --> 01:31:32.666]  It's like a two-pound tick on a one-pound dog.
[01:31:33.146 --> 01:31:33.686]  Meltdown.
[01:31:33.726 --> 01:31:35.887]  A free market look at why the stock market collapsed.
[01:31:35.907 --> 01:31:36.647]  The economy tanked.
[01:31:36.687 --> 01:31:38.527]  The government bailouts will make things worse.
[01:31:38.567 --> 01:31:40.008]  I look forward to talking to you again, sir.
[01:31:40.328 --> 01:31:41.108]  Amazing interview.
[01:31:41.188 --> 01:31:42.468]  TomWoods.com.
[01:31:42.749 --> 01:31:44.089]  Tom, thanks for spending time with us.
[01:31:45.612 --> 01:31:46.514]  Amazing having him on.
[01:31:46.714 --> 01:31:47.395]  Very informative.
[01:31:47.736 --> 01:31:51.622]  So there, that's the answer to all you out there that think we need to have more government as a solution.
[01:31:52.304 --> 01:31:53.425]  Now, I agree with Tarpley.
[01:31:53.445 --> 01:31:55.729]  If we're going to have trillions spent, might as well give it to the people.
[01:31:56.230 --> 01:31:57.332]  But that's not going to happen.
[01:31:58.274 --> 01:31:58.915]  We'll be right back.
[01:32:00.558 --> 01:32:02.139]  Hello friends, this is Alex Jones.
[01:32:02.239 --> 01:32:06.820]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[01:32:06.980 --> 01:32:09.721]  We need to be independent, and food and water is the key.
[01:32:09.922 --> 01:32:12.783]  You'll never have to stand in a bread line if you have your own bread.
[01:32:12.983 --> 01:32:18.825]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[01:32:19.065 --> 01:32:21.986]  No one is going to take care of your family in the final equation but you.
[01:32:22.286 --> 01:32:29.189]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[01:32:29.269 --> 01:32:32.410]  And they do it at almost half the cost of last year's grocery prices.
[01:32:32.570 --> 01:32:32.810]  Call 1-800-409-5633.
[01:32:35.251 --> 01:32:37.493]  Or, on the web, go to eFoodsDirect.com.
[01:32:37.713 --> 01:32:43.758]  Visit eFoodsDirect.com and look over the fine list of high-quality, pre-scribed, and dehydrated foods they have to offer.
[01:32:43.978 --> 01:32:47.721]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[01:32:47.741 --> 01:32:49.242]  Again, 800-409-5633, or on the web at eFoodsDirect.com.
[01:32:49.283 --> 01:32:49.703]  Take action today.
[01:32:49.723 --> 01:32:51.544]  The first step is getting storable food.
[01:33:00.768 --> 01:33:06.071]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[01:33:06.611 --> 01:33:14.995]  Check out SupernaturalSilver.com today, or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[01:33:15.195 --> 01:33:21.979]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[01:33:22.299 --> 01:33:24.300]  This new technology has proven itself.
[01:33:24.500 --> 01:33:24.840]  We're good to go.
[01:33:49.042 --> 01:33:52.323]  Click on the link and check out the uses for New Silver Solution.
[01:33:52.723 --> 01:33:57.385]  Order this extra line of defense today by going to supernaturalsilver.com.
[01:33:57.545 --> 01:33:59.706]  That's supernaturalsilver.com today.
[01:34:06.828 --> 01:34:07.708]  Aerial spraying.
