[00:00:01.191 --> 00:00:01.611]  Michigan.
[01:27:15.851 --> 01:27:18.892]  You take the kid back to the hospital, they're gonna CPS him and say they shook him.
[01:27:19.072 --> 01:27:21.433]  They're gonna CAT scan and go, look, brain inflammation!
[01:27:21.673 --> 01:27:22.853]  You beat your child!
[01:27:23.434 --> 01:27:24.534]  You're like, no, no I didn't.
[01:27:24.554 --> 01:27:25.314]  The cops are there.
[01:27:26.655 --> 01:27:27.795]  We got somebody for the grid.
[01:27:27.815 --> 01:27:29.596]  We gotta fill these big-ass prisons everywhere.
[01:27:30.256 --> 01:27:32.577]  You're like, but my kid had a convulsion after the shot.
[01:27:32.717 --> 01:27:33.257]  Shut up!
[01:27:34.978 --> 01:27:35.938]  Give me a billy club!
[01:27:37.639 --> 01:27:39.379]  It isn't enough we brain damaged your kid.
[01:27:39.579 --> 01:27:40.880]  Now we're gonna have more!
[01:27:43.188 --> 01:27:43.849]  We rule!
[01:27:43.869 --> 01:27:46.091]  Eugenics, we're poisoning your water!
[01:27:46.331 --> 01:27:47.833]  Hell yeah!
[01:27:48.113 --> 01:27:49.734]  Hell yeah, it's fun!
[01:27:59.644 --> 01:28:03.187]  I mean, it's freaking me out, folks, to sit and watch them having their way with us.
[01:28:03.207 --> 01:28:04.869]  All right, let's go back to calls, as I promised.
[01:28:10.623 --> 01:28:13.165]  Gary in Ohio, then Andrew Summer, Brian Catherine.
[01:28:13.185 --> 01:28:13.866]  Go ahead, Gary.
[01:28:14.587 --> 01:28:16.308]  Yeah, Alex, good to hear from you.
[01:28:16.889 --> 01:28:18.290]  I've got a couple things I'd like to bring up.
[01:28:19.191 --> 01:28:26.537]  We have a Continental Congress coming up of people trying to straighten out the Constitution and get us right back to it and such.
[01:28:27.398 --> 01:28:37.767]  The vote is this weekend, the 10th actually, and if people can Google it up and look at the people that they have a possibility of voting for in their area,
[01:28:38.311 --> 01:28:47.114]  The whole country's supposed to have the vote this weekend, and we'll see if we can start straightening some of this out from bringing a government that the people have back up.
[01:28:48.155 --> 01:28:53.016]  Also, I'd like to discuss the Civilian National Security Force for just a second.
[01:28:53.617 --> 01:28:55.157]  Isn't that already the militia?
[01:28:55.577 --> 01:28:57.078]  We just got to reactivate that one?
[01:28:58.458 --> 01:29:00.219]  Yeah, do me a favor and turn your radio off.
[01:29:00.799 --> 01:29:01.219]  Okay.
[01:29:02.320 --> 01:29:04.821]  It's really rough to hear what you're saying with that going in the background.
[01:29:07.338 --> 01:29:10.440]  Yes, everything government does is to create an evil counterfeit.
[01:29:11.401 --> 01:29:26.112]  And so they're saying we're going to have a national security force of environmental spies, anti-terror spies, CPS spies, everything's illegal, garage sales, keeping your neighbor's kids, everything's evil, having a Bible meeting, everything's evil, but evil.
[01:29:26.232 --> 01:29:27.393]  Evil is good and protected.
[01:29:28.534 --> 01:29:36.240]  And they lie and say that gun ownership's only for the National Guard, the militia, but the National Guard didn't exist until
[01:29:38.145 --> 01:29:39.766]  1906, was it officially chartered or 1904?
[01:29:39.826 --> 01:29:41.186]  I forget, but 19-something.
[01:29:42.247 --> 01:29:45.969]  And, no, it's every able-bodied man 18 to 54.
[01:29:47.350 --> 01:29:48.311]  And that's what it is.
[01:29:48.331 --> 01:29:54.155]  So that's why they demonize that, which is supposed to be your local constabulary, your local men.
[01:29:54.195 --> 01:29:57.157]  You can't have men protecting, only government.
[01:29:58.657 --> 01:30:02.680]  You can't have a citizen who doesn't, who hadn't paid tax money who protects the community.
[01:30:02.940 --> 01:30:05.602]  You gotta have somebody that can arrest some people, steal some property.
[01:30:06.661 --> 01:30:07.604]  And so that's what's going on.
[01:30:07.644 --> 01:30:08.487]  I appreciate your call.
[01:30:08.628 --> 01:30:09.611]  Andrew in D.C.
[01:30:10.112 --> 01:30:11.035]  Andrew, you're on the air.
[01:30:11.055 --> 01:30:12.660]  Hey Alex, how you doing?
[01:30:13.612 --> 01:30:14.953]  Pretty upset about things.
[01:30:15.694 --> 01:30:15.834]  Yes.
[01:30:15.854 --> 01:30:17.375]  Because I'm wondering what comes next.
[01:30:17.775 --> 01:30:18.676]  I know what comes next.
[01:30:19.016 --> 01:30:37.389]  More staged terror attacks, total depression, hordes of people worshipping government, kids with armbands on street corners with TV ads about how they're heroes and we'll have to worship the Ugan or we're anti-American and lots of drunks stumbling around going, look at my son Junior!
[01:30:37.609 --> 01:30:39.751]  He's a member of the Homeland Brigade!
[01:30:40.191 --> 01:30:42.452]  I had a quick comment about a news story I just read on the Huffington Post.
[01:30:42.492 --> 01:30:47.255]  I'm not sure if you've heard of this yet, but apparently the FBI just arrested a New Yorker for
[01:31:08.889 --> 01:31:11.291]  Using Twitter to direct the movement.
[01:31:11.671 --> 01:31:12.372]  Yeah.
[01:31:12.572 --> 01:31:14.153]  Lone Guardian is reporting on this.
[01:31:14.253 --> 01:31:17.816]  New York man accused of using Twitter to direct protests during G20.
[01:31:18.377 --> 01:31:21.419]  And they said that, see the police would surround the groups.
[01:31:21.439 --> 01:31:22.900]  This happened to Rob Doo and say leave.
[01:31:23.021 --> 01:31:25.422]  And then when you tried to leave, they wouldn't let you leave.
[01:31:25.783 --> 01:31:28.685]  And so he was directing them saying here's a spot to get out.
[01:31:28.985 --> 01:31:30.607]  So they're charging him as a terrorist.
[01:31:30.647 --> 01:31:34.490]  Yes, you're not allowed to, you're not allowed to tell people how to follow police orders.
[01:31:35.242 --> 01:31:42.325]  Right, and then, I just can't get over how nonchalantly in the article they just state that it's his political writings, even.
[01:31:44.026 --> 01:31:49.088]  Yeah, they say that's illegal, that he showed he has political ideas and writings, and protest is illegal.
[01:31:49.408 --> 01:31:51.529]  Having political writings is basically illegal.
[01:31:52.109 --> 01:31:53.750]  They're handing the U.S.
[01:31:53.790 --> 01:31:57.332]  Internet that we built completely over to a private consortium.
[01:31:57.352 --> 01:31:58.872]  That happened on Monday.
[01:31:58.892 --> 01:32:01.353]  And we've just entered a vortex.
[01:32:02.594 --> 01:32:04.695]  And I just had one other quick question.
[01:32:05.906 --> 01:32:08.849]  I know you talked about earlier how you've been to D.C.
[01:32:08.869 --> 01:32:09.529]  a few times.
[01:32:10.110 --> 01:32:19.578]  I was wondering if you've ever traveled to Baltimore, Maryland and seen any of the police state measures they've started there under the name of the War on Drugs.
[01:32:20.198 --> 01:32:24.542]  Yes, they have armored vehicles, checkpoints, searching people randomly.
[01:32:25.183 --> 01:32:28.265]  They're taking blood in Maryland at checkpoints without warrants.
[01:32:28.285 --> 01:32:30.968]  It's just hellish tyranny, and they love it.
[01:32:32.068 --> 01:32:34.710]  And the cops enjoy the fact that you don't like them.
[01:32:34.970 --> 01:32:42.615]  They enjoy the fact, you know, I read about a guy that tried to kill on death row for two hours trying to find a vein.
[01:32:43.015 --> 01:32:47.178]  Well, the cops, it's reported, just fishing needles into people in Arizona.
[01:32:47.739 --> 01:32:58.826]  I mean, they'll just sit and they'll get mad and just, just like, just be, you know, just like niggling it around all in there, just gruggling it around, just like, you're just screaming.
[01:32:59.166 --> 01:33:01.388]  If you don't like it, they'll, ah, Billy Club.
[01:33:02.268 --> 01:33:06.291]  I got this job because I'm a sadomasochist!
[01:33:06.331 --> 01:33:11.774]  Yeah, and that's the new system, just grabbing the slaves, injecting hell force!
[01:33:15.196 --> 01:33:25.003]  And on top of that, I don't know if you've heard of Baltimore's BELIEVE program, which is total propaganda to begin with, but they've actually installed these
[01:33:26.427 --> 01:33:27.887]  They call them blue light cameras.
[01:33:27.907 --> 01:33:32.508]  They're on the corners in the especially poor neighborhoods.
[01:33:33.628 --> 01:33:48.611]  And they have the Baltimore Police emblem on them and they say believe under them and the police officers in the Baltimore Police Department can access them from their police cars and zoom in even down the block into someone's car to watch what they're doing.
[01:33:48.831 --> 01:33:54.472]  Oh no, and they also are putting, I read in DC and New York and Baltimore, what England's had for five years,
[01:33:56.141 --> 01:33:57.802]  Cameras that bark orders at you.
[01:33:58.342 --> 01:33:59.103]  Telescreens.
[01:33:59.503 --> 01:34:03.205]  And some of them even have a face where it makes a mean face like, stop that!
[01:34:03.225 --> 01:34:05.046]  It's like, you know, a computer TV screen.
[01:34:05.646 --> 01:34:08.027]  Oh yeah, hey listen, and don't worry, cops you're winning.
[01:34:08.067 --> 01:34:09.048]  Take all the shots.
[01:34:09.328 --> 01:34:10.408]  Drink the tap water.
[01:34:10.468 --> 01:34:11.369]  Worship government.
[01:34:11.569 --> 01:34:13.490]  You're gonna end up just like the German forces.
[01:34:13.870 --> 01:34:15.491]  You're just gonna love what you get.
[01:34:15.551 --> 01:34:17.592]  Don't worry, you end up losing in the end.
[01:34:17.992 --> 01:34:18.993]  I appreciate your call.
[01:34:19.813 --> 01:34:21.054]  Evil Andrew from D.C.
[01:34:21.114 --> 01:34:21.855]  He knows how to talk.
[01:34:21.895 --> 01:34:23.276]  That's the sound of Al Qaeda support.
[01:34:23.836 --> 01:34:24.977]  Summer in Indiana.
[01:34:25.017 --> 01:34:26.057]  Summer, you're on the air.
[01:34:26.077 --> 01:34:27.418]  Hello, Alex.
[01:34:27.498 --> 01:34:28.099]  How are you?
[01:34:29.720 --> 01:34:30.781]  Pretty sick of it all.
[01:34:31.301 --> 01:34:31.942]  Me too.
[01:34:31.962 --> 01:34:36.605]  I just want to let you know we went ahead and pre-ordered The Fall of the Republic.
[01:34:37.065 --> 01:34:39.507]  Got the Obama Deception and Endgame as well.
[01:34:40.267 --> 01:34:43.189]  I have a stack of 100 DVDs and a brand new burner.
[01:34:43.650 --> 01:34:44.770]  Getting ready to go off.
[01:34:44.871 --> 01:34:47.993]  Well, that's what I wanted to ask listeners to do, is to commit
[01:34:49.076 --> 01:34:53.699]  To fighting these tyrants, because now that they're really showing us who they are, everybody's waking up.
[01:34:53.919 --> 01:34:56.041]  And they're trying to intimidate us into submitting.
[01:34:56.081 --> 01:34:56.862]  It's not going to work.
[01:34:57.202 --> 01:35:01.105]  We're going to throw this off, throw this coil off, throw this yoke off.
[01:35:01.785 --> 01:35:12.012]  And I just want everybody to get the DVD burners locked and loaded, and to hit the New World Order hard with Follow the Republic, because we're going to show people who the criminals are, who the enemy is.
[01:35:12.052 --> 01:35:12.433]  Go ahead.
[01:35:13.240 --> 01:35:19.764]  Well, I just wonder if you were in Terre Haute, Indiana for Timothy McVeigh's execution?
[01:35:20.364 --> 01:35:21.545]  No, I wasn't there for that.
[01:35:21.925 --> 01:35:28.209]  Alright, well, I was just curious, because if you were, I wanted to ask you how close you were to the VX gas.
[01:35:30.270 --> 01:35:36.574]  We have our nation's supply of VX gas here in Indiana, about 15 miles away from my home.
[01:35:38.423 --> 01:35:44.324]  And, uh, they're telling us all that, you know, it was supposed to be destroyed by 2012, but it's already gone.
[01:35:45.184 --> 01:35:49.985]  And, uh, just to get your take on it, you know, and, because I'm kind of freaked out about it.
[01:35:51.245 --> 01:35:53.946]  Well, they do have nerve gas at centers all over the country.
[01:35:54.366 --> 01:35:56.826]  One of the places they use to get rid of it is Anniston, Alabama.
[01:35:57.546 --> 01:35:59.527]  And that is a smokestack you want to worry about.
[01:36:00.067 --> 01:36:03.447]  They burn VX gas and other forms of nerve gas around the country.
[01:36:03.967 --> 01:36:05.027]  Good to hear from you, Summer.
[01:36:05.388 --> 01:36:06.988]  Brian in Montreal, Canada.
[01:36:07.008 --> 01:36:07.848]  Brian, you're on the air.
[01:36:08.444 --> 01:36:11.045]  Hi Alex, I'd just like to mention two things.
[01:36:11.125 --> 01:36:13.426]  The first is a news you could say.
[01:36:13.946 --> 01:36:19.689]  Up here in Quebec, we have private clinics that are free, that are controlled and run by the government.
[01:36:19.749 --> 01:36:21.129]  They're called CLSCs.
[01:36:21.750 --> 01:36:31.354]  Well, I have the internal document that they received last month telling all of their health care workers that yes, they will be forced to take the inoculation shot.
[01:36:32.114 --> 01:36:36.396]  They have to consider the public's risk over their own personal preferences.
[01:36:37.233 --> 01:36:39.178]  So this is happening up here in Quebec, too.
[01:36:40.180 --> 01:36:40.982]  Yeah, it's global.
[01:36:41.163 --> 01:36:44.632]  I mean, this is all directed by the UN publicly under the World Health Organization.
[01:36:45.173 --> 01:36:46.476]  And here's the issue.
[01:36:47.833 --> 01:37:15.663]  And I already knew this, but to see them admit it on Fox News like it was a good thing, they said, oh, people really want it, but there's only limited supplies of 200,000 dosages going to Indiana and going to Texas and going to New York for nurses and medical workers and police, and it's a nasal spray of live flu virus, and yes, it can spread the flu, and yes, it can hurt you if you have an autoimmune problem,
[01:37:16.263 --> 01:37:17.283]  But that's okay.
[01:37:17.323 --> 01:37:27.446]  So they're literally going to spread the H1N1 with a live nasal shot, a spray, and then everybody's going to panic when suddenly it's spreading.
[01:37:28.246 --> 01:37:32.007]  Just they do it in plain view because the public doesn't know what day it is.
[01:37:32.407 --> 01:37:33.048]  They don't know.
[01:37:33.068 --> 01:37:37.769]  It's mind-blowing.
[01:37:38.809 --> 01:37:41.430]  It is mind-blowing to see all this going on.
[01:37:42.017 --> 01:37:55.760]  If it's alright with you, Alex, I'd just also like to mention that on the site that I'm on most of the time, 12-160, I have a Chemtrail reporting page, and I have the 1975 weather modification treaty between Canada and the U.S.
[01:37:55.980 --> 01:37:56.520]  up on it.
[01:37:56.981 --> 01:38:03.242]  So for any of the clowns out there that actually believe that they're responsible for polluting, and that we should be paying a carbon tax,
[01:38:03.834 --> 01:38:11.219]  You might want to go and read that treaty and a few of the patents that I put up to see what they've been spraying over your head for the last... I hear ya, and they now admit they've been doing it.
[01:38:11.239 --> 01:38:12.320]  It's now declassified.
[01:38:12.340 --> 01:38:13.861]  They're not even denying it now.
[01:38:14.661 --> 01:38:19.185]  The White House sides are publicly giving speeches about how they're chemtrailing you and how great it is.
[01:38:19.605 --> 01:38:26.870]  Now... Let's just continue with phone calls, as promised.
[01:38:30.609 --> 01:38:32.790]  Let's go ahead and talk to Catherine in Missouri.
[01:38:32.830 --> 01:38:33.751]  Catherine, you're on the air.
[01:38:33.791 --> 01:38:34.251]  Go ahead.
[01:38:35.152 --> 01:38:35.852]  Hi, Alex.
[01:38:35.892 --> 01:38:38.714]  This is Catherine Bleich from the documentary Camp FEMA.
[01:38:39.335 --> 01:38:39.695]  Hey!
[01:38:39.735 --> 01:38:40.255]  How you doing?
[01:38:40.936 --> 01:38:41.636]  Good!
[01:38:41.696 --> 01:38:44.218]  I wanted to make sure you knew how to pronounce my name.
[01:38:44.238 --> 01:38:45.338]  You said it wrong a couple times.
[01:38:45.438 --> 01:38:46.079]  It's Bleich.
[01:38:46.179 --> 01:38:46.959]  Long I, like James.
[01:38:46.979 --> 01:38:48.620]  Well, you know, that's my specialty, ma'am.
[01:38:48.640 --> 01:38:49.961]  My specialty.
[01:38:50.362 --> 01:38:57.046]  Well, I wanted to let you know, I know you're pretty frustrated right now, and I know a lot of us are, but there are some things to be hopeful about.
[01:38:57.850 --> 01:39:04.233]  I feel really blessed to be here in the state of Missouri right now, because we have state reps who are waking up right before our eyes.
[01:39:04.653 --> 01:39:06.895]  And it's the most beautiful thing I've ever been a witness to.
[01:39:06.975 --> 01:39:11.697]  I've been to all four of the MIAC hearings, and we are headed in a very positive direction.
[01:39:11.757 --> 01:39:27.265]  I know that Bob Dixon, the chairman of the committee, was quoted saying, you know, it's unlikely that we will abolish the Fusion Center, but one of the things they're considering is getting the federal government out of the Fusion Center and making it just a state-based thing, which I think
[01:39:27.785 --> 01:39:29.166]  Oh, but yeah, but I mean, look.
[01:39:29.506 --> 01:39:31.986]  Look, the fusion centers were set up by the feds.
[01:39:32.327 --> 01:39:32.967]  They were paid.
[01:39:32.987 --> 01:39:34.567]  They're federalizing everything.
[01:39:34.907 --> 01:39:37.648]  They're putting army liaison in with the police.
[01:39:38.048 --> 01:39:42.410]  They're saying the veterans and gun owners are what Homeland Security's for, which is the truth.
[01:39:43.230 --> 01:39:44.651]  And it just needs to be abolished.
[01:39:45.031 --> 01:39:47.992]  I mean, this whole thing about, what, you want the terrorists to get us?
[01:39:48.252 --> 01:39:50.052]  The terrorists are the government.
[01:39:50.272 --> 01:39:54.734]  They're staging and provocateuring every single terror attack I've ever studied.
[01:39:55.626 --> 01:39:56.527]  But here's the good news.
[01:39:56.607 --> 01:40:00.229]  Our state reps are waking up to the fact that the federal government is the problem.
[01:40:00.529 --> 01:40:02.630]  So I'm happy and excited to report that.
[01:40:03.010 --> 01:40:12.236]  I also wanted to let you know that Camp FEMA will be having its world premiere of public viewing at the Midwest Liberty Fest, which is going to be in Des Moines, Illinois this weekend.
[01:40:12.636 --> 01:40:14.197]  It will actually air on Saturday.
[01:40:14.878 --> 01:40:22.861]  And what's really special about this event, the Midwest Liberty Fest, is that we are bringing together the anti-war movement, the Tea Party movement, the Ron Paulers.
[01:40:23.241 --> 01:40:33.345]  And for the first time, you are going to see an actual event where real grassroots movers and shakers, not just talking heads, but people who have found success doing the things they do, are coming together.
[01:40:33.365 --> 01:40:33.445]  Good.
[01:40:33.505 --> 01:40:34.185]  Well, that's exciting.
[01:40:34.205 --> 01:40:35.326]  Ma'am, I appreciate your call.
[01:40:35.346 --> 01:40:36.706]  You do a good job in that documentary.
[01:40:37.066 --> 01:40:40.488]  By the way, you can get Camp FEMA discounted with
[01:40:42.628 --> 01:40:44.749]  Fall the Republic if you order it right now.
[01:40:44.769 --> 01:40:46.310]  We have introductory prices on that.
[01:40:46.350 --> 01:40:48.031]  And by the way, Hoos, I kept forgetting.
[01:40:48.692 --> 01:40:50.373]  We've got four new t-shirts.
[01:40:51.420 --> 01:40:52.801]  Now in on the shopping cart.
[01:40:52.821 --> 01:40:54.322]  I'm glad you reminded me about that.
[01:40:54.923 --> 01:40:59.526]  We've got four new t-shirts that are up on the site.
[01:40:59.887 --> 01:41:03.529]  Different variants of the Join or Die or Don't Tread on Me.
[01:41:04.150 --> 01:41:10.054]  For people that don't like the big bright yellow shirts, we've got white shirts and black shirts with a whole bunch of cool designs.
[01:41:10.575 --> 01:41:12.236]  In fact, show folks on the shopping cart.
[01:41:12.276 --> 01:41:19.582]  We've got a new high-tech design we made of the Join or Die that has Info Wars on it.
[01:41:19.602 --> 01:41:20.763]  Yeah, there it is, the second shirt.
[01:41:21.423 --> 01:41:24.004]  Click on that second one there, the red snake for people.
[01:41:25.704 --> 01:41:36.327]  And so that's all available at InfoWars.com or you can simply call toll-free to get the Join or Die shirts, new shirts at InfoWars.com, 888-253-3139, 888-253-3139.
[01:41:44.781 --> 01:41:47.103]  And don't forget, you can pre-order Fall of the Republic right now.
[01:41:47.184 --> 01:41:51.408]  The orders that come in now, the orders are shipped out, the order they're received.
[01:41:51.548 --> 01:41:55.832]  Get Fall of the Republic, my newest and most powerful film ever, today!
[01:41:56.213 --> 01:41:59.676]  With all the other discounted books and videos, you can get with it at InfoWars.com.
[01:42:01.118 --> 01:42:02.479]  This is an emergency alert.
[01:42:03.080 --> 01:42:05.562]  Do not take risky vaccinations this fall.
[01:42:06.542 --> 01:42:19.249]  I'm Dr. Leonard Horowitz, a Harvard-trained public health expert urging you to go to FluScam.com and learn the secrets behind the current flu, who's behind it, the labs it came from, and the vaccine poisons.
[01:42:20.009 --> 01:42:31.576]  Learn why Barack Obama's ScienceR recommends vaccinations to sterilize people to reduce populations, and why OxySilver is making vaccinations and toxic antibiotics unnecessary.
[01:42:32.376 --> 01:42:34.998]  OxySilver is far safer than colloidal silvers.
[01:42:35.479 --> 01:42:42.444]  It works so well saving lives and money, protecting you and your family, it has been targeted for elimination by the drug cartel.
[01:42:43.345 --> 01:42:48.509]  Learn more about amazing OxySilver and order it online at OxySilver.com.
[01:42:48.909 --> 01:42:51.932]  If you call right now, I'll send you a free information kit.
[01:42:52.052 --> 01:42:54.734]  Call toll-free 888-KO-GERMS.
[01:42:54.994 --> 01:42:57.296]  That's 1-888-KO-GERMS.
[01:42:57.656 --> 01:42:59.018]  Order OxySilver today.
[01:42:59.158 --> 01:43:00.419]  This call could save your life.
[01:43:01.059 --> 01:43:02.762]  Our beloved republic is on her knees.
[01:43:03.062 --> 01:43:06.527]  The forces of globalism are destroying national sovereignty worldwide.
[01:43:06.687 --> 01:43:08.530]  But in Liberty's darkest hour, there is hope.
[01:43:09.171 --> 01:43:11.915]  The first time in modern history, the people are beginning to wake up.
[01:43:12.215 --> 01:43:14.118]  It is essential that patriots worldwide
[01:43:14.662 --> 01:43:15.062]  Let's do it!
[01:43:34.795 --> 01:43:37.436]  Directly to your computer or iPhone and share it with others.
[01:43:37.817 --> 01:43:43.680]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[01:43:43.840 --> 01:43:48.402]  By weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[01:43:48.702 --> 01:43:51.204]  The Info War is waiting for you to set it free.
[01:43:51.564 --> 01:43:53.245]  Join PrisonPlanet.tv.
[01:43:53.625 --> 01:43:55.426]  Burn the info bombs to disk.
[01:43:55.626 --> 01:43:57.427]  Put them on the file sharing networks.
[01:43:57.767 --> 01:43:59.208]  Bring down the new world order.
[01:43:59.588 --> 01:44:00.329]  PrisonPlanet.tv
[01:44:01.570 --> 01:44:05.194]  When looking at your personal preparedness level, remember the freeze-dry guy.
[01:44:05.334 --> 01:44:12.242]  During times of physical and emotional stress, like the uncertain times we live in today, it is vital that you not alter your diet too much.
[01:44:12.482 --> 01:44:17.528]  You should only store what you usually eat, because one day you may have to eat only what you have stored.
[01:44:17.808 --> 01:44:19.670]  Lucky for you, there's the freeze-dry guy.
[01:44:19.850 --> 01:44:26.154]  Featuring the superior nutrition and taste you've come to expect, the Freeze-Dry Guy has a wide variety of choices in freeze-dried foods.
[01:44:26.354 --> 01:44:31.118]  All freeze-dried foods are no-cook products requiring only hot water and a few minutes of your time.
[01:44:31.298 --> 01:44:39.543]  The Freeze-Dry Guy has been serving various government agencies as well as the private sector with the finest in freeze-dried storable foods and emergency rations since 1970.
[01:44:40.624 --> 01:44:47.328]  Consider the technological advances made in computers from the punch card days of the 60s and 70s to the high-speed personal computers of today.
[01:44:47.508 --> 01:44:49.770]  Comparably, the advances made in food storage from
[01:44:49.770 --> 01:44:53.491]  I've got the Mayo Clinic's fact sheet about influenza virus vaccine live, nasal route.
[01:45:21.127 --> 01:45:23.029]  And I've got three stacks of news on the flu.
[01:45:23.069 --> 01:45:24.470]  I'm going to collate through this.
[01:45:25.671 --> 01:45:29.375]  At eight after next hour, I'm going to do a segment on flu, the latest developments.
[01:45:29.455 --> 01:45:35.720]  I kind of procrastinate when I look at the stack and go, oh, because it's so horrible and so unbelievable.
[01:45:37.542 --> 01:45:38.663]  But it's really happening.
[01:45:38.743 --> 01:45:39.344]  Influenza.
[01:45:40.745 --> 01:45:42.346]  They admit it's going to spread the flu.
[01:45:42.366 --> 01:45:47.491]  I mean, these guys commit huge crimes right out in front of no one, and they just get away with it.
[01:45:47.511 --> 01:46:01.843]  It's like Hardin, Montana, where they have a convicted felon for scams running the police department, running the jail, running the detention center, and they admit he's a criminal, and the local boss hogs say, we don't care, he's going to run things.
[01:46:03.425 --> 01:46:05.527]  And it's like this, oh yeah, we're spreading the flu.
[01:46:07.912 --> 01:46:17.857]  And then there are fear-mongering saying it's killing large portions of pregnant women that get it, but that's out of the sick and impaired women that went to the hospital with H1N1.
[01:46:17.877 --> 01:46:19.577]  25% died.
[01:46:19.597 --> 01:46:23.719]  I mean, this flu is already on track to peak next week.
[01:46:25.360 --> 01:46:27.161]  But that was under the regular gauge.
[01:46:27.241 --> 01:46:35.445]  Now that it's been nasally sprayed into people where it will breed and then be sneezed back out on you, get ready for it to just spread like wildfire.
[01:46:37.099 --> 01:46:39.262]  And it'll be in plain view and nobody will get in trouble.
[01:46:41.665 --> 01:46:42.366]  Mayo Clinic.
[01:46:45.551 --> 01:46:47.093]  Oh, man, it's it.
[01:46:49.036 --> 01:46:52.761]  I've got to somehow get emotionally divorced from all of this because.
[01:46:56.553 --> 01:46:57.494]  It's just too much.
[01:46:57.994 --> 01:47:00.756]  It's too unbelievable that we're this bad.
[01:47:01.116 --> 01:47:02.377]  We're this stupid.
[01:47:03.778 --> 01:47:07.281]  That they're banning neighbors keeping each other's kids.
[01:47:07.321 --> 01:47:10.523]  That they're banning farms and ranches that aren't government-controlled.
[01:47:10.863 --> 01:47:14.546]  That they're banning side-of-the-road pumpkin stands.
[01:47:14.666 --> 01:47:16.728]  It's just scum!
[01:47:16.828 --> 01:47:17.828]  Government scum!
[01:47:18.749 --> 01:47:27.114]  And all the worship of government, and the PSAs, and the ads, and the Stasi's, and the citizen spies, and all of it being announced.
[01:47:27.314 --> 01:47:28.975]  Why does this have to happen?
[01:47:29.095 --> 01:47:29.816]  Why?
[01:47:29.836 --> 01:47:41.522]  And they admit all over the country small-town police are just robbing everyone on the road, stealing their wallets, and then they don't even get in trouble?
[01:47:41.582 --> 01:47:42.203]  I mean, it's just...
[01:47:47.037 --> 01:47:48.458]  Maybe there is something wrong with me.
[01:47:48.538 --> 01:47:50.358]  Maybe this is good.
[01:47:51.078 --> 01:47:52.539]  Maybe it's good they're spreading the flu.
[01:47:52.579 --> 01:47:54.360]  Maybe it's good they're putting poison in the water.
[01:47:54.680 --> 01:47:58.761]  Maybe it's good they've gone from 1 in 25,000 with autism to 1 in 96.
[01:47:59.841 --> 01:48:04.703]  Maybe it's good they're putting sodium fluoride in the water, which they admit doubles bone cancer.
[01:48:05.904 --> 01:48:07.264]  One of the hundreds of things.
[01:48:07.344 --> 01:48:08.845]  Maybe dying of bone cancer is good.
[01:48:08.885 --> 01:48:09.765]  Maybe I've been wrong.
[01:48:10.868 --> 01:48:12.491]  I mean, how do these people like it?
[01:48:12.551 --> 01:48:13.652]  How do they think it's funny?
[01:48:13.993 --> 01:48:16.777]  How do I get the way they are and not care anymore?
[01:48:17.739 --> 01:48:24.249]  Maybe there is something wrong with me that I'm at a hotel after leaving foreign mercenaries taking over a town.
[01:48:25.666 --> 01:48:31.389]  I go to the Billings Hotel and there's police and Homeland Security with little kids training them to be spies.
[01:48:32.269 --> 01:48:34.650]  And maybe I should have just gone, oh, thank you, spies.
[01:48:35.010 --> 01:48:36.011]  It's so American.
[01:48:36.271 --> 01:48:40.933]  Maybe I should have just fallen down on my knees and began worshipping them.
[01:48:41.774 --> 01:48:45.775]  Maybe I should have just, you know, maybe there is something wrong with me.
[01:48:45.815 --> 01:48:51.938]  Maybe I've got something wrong with me that seeing a bunch of kids being trained to spy on their parents is bad.
[01:48:53.319 --> 01:48:55.200]  Maybe I am the bad person.
[01:48:56.311 --> 01:49:01.654]  I mean, let me ask you guys, is it bad that I don't think the state should be training people's kids to spy on their parents?
[01:49:02.914 --> 01:49:03.775]  Maybe that's good!
[01:49:06.016 --> 01:49:07.497]  Jaron Neihardt, do you have any comments?
[01:49:08.557 --> 01:49:11.319]  No, I mean, seriously, maybe we are bad!
[01:49:11.819 --> 01:49:15.581]  Maybe kids spying on their parents, trained by the feds, is normal.
[01:49:16.241 --> 01:49:17.922]  Maybe Nazi Germany was good.
[01:49:18.202 --> 01:49:19.703]  Maybe Stalinist Russia was good.
[01:49:19.943 --> 01:49:20.884]  Maybe Mao was good.
[01:49:21.184 --> 01:49:24.706]  Maybe we were the bad guys 50, 60 years ago saying that was bad.
[01:49:25.785 --> 01:49:27.526]  Maybe Hitler and Mao were right.
[01:49:27.947 --> 01:49:29.028]  Maybe Lenin was right.
[01:49:29.128 --> 01:49:30.829]  Maybe we are the bad guys.
[01:49:31.229 --> 01:49:33.972]  Maybe George Washington, like FEMA teaches, is bad.
[01:49:35.032 --> 01:49:36.874]  Maybe Thomas Jefferson is bad.
[01:49:37.654 --> 01:49:39.976]  Maybe the UN's right.
[01:49:50.632 --> 01:49:53.553]  Have you ever wanted to generate your own supply of electrical power?
[01:49:54.013 --> 01:49:57.174]  If so, this is going to be the most important message you will ever hear.
