[00:00:10.435 --> 00:00:10.695]  R-Charge.com.
[00:48:03.342 --> 00:48:06.163]  Their job is to divide the American people against each other.
[00:48:06.963 --> 00:48:16.705]  So Garofalo and others all over these stations are meant to come out and sound ridiculous and meant to create hatred of the left by the right and vice versa.
[00:48:18.625 --> 00:48:19.746]  This is divide and conquer.
[00:48:20.886 --> 00:48:25.887]  And it's Fox News' job, now that the right is out of power, to pose as the opposition.
[00:48:26.849 --> 00:48:33.451]  Because they're out of power, why they can be the opposition, and suddenly, yes, there's a new world order, Sean Hannity says, and they want a bank of the world, we've got to stop it!
[00:48:34.572 --> 00:48:36.652]  And Rick Perry, the feds are tyranny!
[00:48:36.852 --> 00:48:39.253]  They're coming down on us with tyranny, we need to secede!
[00:48:39.273 --> 00:48:41.354]  And then, a couple days later, all I was just joking.
[00:48:42.134 --> 00:48:54.078]  Because he's blown his credibility, you know, letting the globalists take over with the Trans-Texas Corridor, and violating the will of the legislature and the people's votes, and going to Bilderberg group meetings, and trying to force kids to take HPV shots, and
[00:48:55.506 --> 00:48:58.067]  But at least we're forcing them to admit all this is real and true now.
[00:48:58.947 --> 00:49:01.728]  All these years people said there wasn't a New World Order and now they have to admit it.
[00:49:02.608 --> 00:49:08.070]  The point is they want us to divide into a left-right paradigm instead of saying no to domination.
[00:49:08.130 --> 00:49:09.430]  It's liberty versus tyranny.
[00:49:09.750 --> 00:49:10.911]  Alright, I'm done talking about that.
[00:49:11.191 --> 00:49:13.171]  Let's talk to Forrest in Austin, Texas.
[00:49:13.551 --> 00:49:14.572]  Thank you for holding, Forrest.
[00:49:15.252 --> 00:49:16.212]  Yes, sir, Alex Jones.
[00:49:16.632 --> 00:49:25.255]  Well, I'd like to talk about how the establishment uses the Bible teaching, the Word of God, how they twist it to further their agenda.
[00:49:26.289 --> 00:49:26.850]  Yeah, go ahead.
[00:49:44.474 --> 00:49:50.296]  Going into the kingdom of God is harder than a camel, a cigarette, a pop, or going through the eye of a needle.
[00:49:50.996 --> 00:49:52.796]  What they're talking about are the trillionaires.
[00:49:53.077 --> 00:50:01.899]  Because I know people, I've driven people over the years to the airport who are hundreds of thousandaires, millionaires, multi-millionaires, and they're all good people.
[00:50:02.259 --> 00:50:11.102]  And they don't need to charge tariffing, and they're following God's will by not sitting and working their butts off in order to get where they are.
[00:50:11.815 --> 00:50:18.458]  So there is a lot of people and these people who the establishment wants us to think are rich and need to pay more.
[00:50:19.038 --> 00:50:20.999]  Those are the people that create jobs.
[00:50:21.139 --> 00:50:24.220]  Well you have to look at the context of everything Christ was saying.
[00:50:24.560 --> 00:50:36.205]  He was pointing down the wall in Jerusalem at the eye of the needle which was a very one of the smallest gates in the Jerusalem wall that a camel would have to crouch down to crawl through.
[00:50:37.806 --> 00:50:38.366]  So it's all
[00:50:38.965 --> 00:50:43.440]  All specific, but go ahead and make your Tea Party point because I've got a comment about Romans 13.
[00:50:44.717 --> 00:50:45.217]  Uh, yes, sir.
[00:50:45.438 --> 00:50:47.879]  Well, it was cool meeting Jason Vermut there.
[00:50:48.279 --> 00:50:53.062]  He does a show in your studio on weekdays, and it was cool seeing your chemistry up there.
[00:50:53.802 --> 00:51:06.829]  And, uh, yeah, man, I mean, the establishment wants to put people in a box, but all I saw were just good-hearted, all-loving Americans who are tired of tyranny and who, well, are getting together.
[00:51:06.889 --> 00:51:10.451]  Yeah, but it doesn't matter if blacks, whites, Hispanics, Asians are all together.
[00:51:10.972 --> 00:51:13.173]  Americans aren't allowed to say,
[00:51:13.945 --> 00:51:16.807]  That they don't want a massive tax rate.
[00:51:17.668 --> 00:51:18.548]  That's terrorism!
[00:51:18.929 --> 00:51:27.455]  I mean, if you read all these federal reports that we've been breaking, if you read these reports, it says you protest the private Federal Reserve, you're a terrorist.
[00:51:28.235 --> 00:51:29.476]  It says you're a returning veteran.
[00:51:29.696 --> 00:51:33.259]  See, they know the military isn't going to want to go along with deploying in the U.S.
[00:51:34.059 --> 00:51:38.923]  as the globalist implotus, so they're saying, oh, the military doesn't follow orders, they're terrorists.
[00:51:39.703 --> 00:51:40.884]  And they're white supremacists.
[00:51:41.357 --> 00:51:44.579]  So they're trying to divide blacks and whites and Hispanics from each other in the military.
[00:51:44.879 --> 00:51:48.502]  Like if you say, oh, I don't like what the banks are doing, oh my gosh, you're a white supremacist!
[00:51:49.022 --> 00:51:50.443]  See, it isn't going to work.
[00:51:50.964 --> 00:52:04.493]  So let the establishment desperately say, look, 98% of Americans in major polls, there have been Scripps Howard News Service polls, I've seen polls put out by
[00:52:06.013 --> 00:52:15.259]  Gallup, I mean a bunch of them, 98 or in some cases more percentage against what the bankers are doing and then Garofalo says, oh no, they all just hate black people.
[00:52:15.579 --> 00:52:16.260]  But it's the same.
[00:52:16.280 --> 00:52:17.641]  That's a White House talking point.
[00:52:18.361 --> 00:52:20.723]  By the way, he's not even black, so it doesn't matter.
[00:52:20.743 --> 00:52:21.624]  He's 6.5% African.
[00:52:22.004 --> 00:52:24.926]  He's half white and the other half is mainly Arab.
[00:52:25.386 --> 00:52:28.448]  But side issue, it doesn't matter what Barack Obama is.
[00:52:28.808 --> 00:52:34.012]  The point is they're making it about that because they can't go off of
[00:52:35.208 --> 00:52:36.289]  What he actually stands for.
[00:52:36.349 --> 00:52:43.073]  Now, there is a viral YouTube video of Baptist pastor beaten and tased by border patrol.
[00:52:43.093 --> 00:52:44.173]  11 stitches.
[00:52:44.894 --> 00:52:45.654]  A Baptist preacher.
[00:52:46.175 --> 00:52:47.755]  And we've got him coming on tomorrow, by the way.
[00:52:48.176 --> 00:52:48.936]  On the weekday show.
[00:52:49.937 --> 00:52:51.298]  Now, he tells the story.
[00:52:51.358 --> 00:52:53.879]  They have these checkpoints, 75 to 100 miles in.
[00:52:54.239 --> 00:52:55.920]  Everybody gets sick of being stopped at them.
[00:52:56.361 --> 00:52:57.841]  They only search citizens, it seems.
[00:52:57.901 --> 00:52:58.562]  I've been through them.
[00:52:59.743 --> 00:53:02.004]  And they want to search him.
[00:53:02.044 --> 00:53:03.745]  He says, no, you've got to have a Fourth Amendment.
[00:53:04.272 --> 00:53:05.933]  You can't just stop everybody here randomly.
[00:53:06.434 --> 00:53:14.600]  So they double-tasing, beat his head in the ground, bust his head open, and they always falsely charge you with assaulting them even when it's on tape that you didn't.
[00:53:16.582 --> 00:53:22.567]  And then this is what liberal spirit said when I just happened to click on the video and watch it.
[00:53:23.107 --> 00:53:24.548]  This is just one of the comments of hundreds.
[00:53:25.049 --> 00:53:33.796]  With all due respect to this gentleman, those who believe in the Bible should remember the admonishment to render to Caesar, that which is Caesar's, when you resist illegal
[00:53:35.126 --> 00:53:39.047]  Recognize authority, you take responsibility for the consequences of your action.
[00:53:39.467 --> 00:53:45.308]  Had this man simply ascended to the search because he had nothing to hide, apparently none of this would have happened.
[00:53:45.729 --> 00:53:48.549]  You mean in Dallas when they pull you over and throw chalk in the back of the car?
[00:53:49.169 --> 00:53:50.830]  And then take your car and then go take your house?
[00:53:51.190 --> 00:53:54.030]  Dallas Morning News admits to thousands of citizens?
[00:53:54.871 --> 00:53:57.531]  You mean when Hitler was doing what he did we should have not fought him?
[00:53:57.871 --> 00:54:00.392]  Because, oh, that's a government, you know, that's of the Lord.
[00:54:02.446 --> 00:54:05.267]  What about when Moses wouldn't do what Pharaoh said?
[00:54:05.307 --> 00:54:07.007]  I thought the government was put in by God!
[00:54:08.707 --> 00:54:15.368]  Why were almost all of the prophets put in the lion's den, put in the furnace, crucified, boiled in oil?
[00:54:15.888 --> 00:54:17.169]  Why was Paul in prison?
[00:54:18.969 --> 00:54:20.829]  Why was Paul finally killed by these people?
[00:54:22.049 --> 00:54:23.870]  Because he was doing whatever they said?
[00:54:23.890 --> 00:54:30.651]  Okay, the Pharisees, you know, are trying to set up Jesus to kill him.
[00:54:31.829 --> 00:54:33.491]  Saying, oh, we shouldn't pay our taxes, huh?
[00:54:33.511 --> 00:54:35.313]  He's saying you shouldn't follow the government.
[00:54:35.393 --> 00:54:36.474]  You should do what God says.
[00:54:37.615 --> 00:54:44.722]  And Christ says, and Paul repeats it later, render unto Caesar that which is Caesar's and unto God that which is God.
[00:54:44.962 --> 00:54:46.904]  He's saying that tax system is separate.
[00:54:46.924 --> 00:54:49.607]  They were trying to set him up to stone him to death or get him arrested.
[00:54:53.041 --> 00:54:54.441]  I guess the Founding Fathers were bad.
[00:54:54.481 --> 00:54:56.102]  This is a cop-out of cowards.
[00:54:56.222 --> 00:54:58.922]  Look, I told you this a year and a half before it was declassified.
[00:54:59.263 --> 00:55:03.024]  The federal government is paying off even the smallest churches with money.
[00:55:03.864 --> 00:55:11.046]  You wondering how you got a hundred people in your church, but the preacher's got a big Parsons and a brand new car, and new vans and new color TVs in the church?
[00:55:11.646 --> 00:55:12.866]  He's on federal payroll!
[00:55:14.119 --> 00:55:20.443]  Now, the First Amendment says Congress shall make no law respecting an establishment of religion or prohibiting the free exercise thereof.
[00:55:20.723 --> 00:55:22.304]  That is the separation of church and state.
[00:55:22.525 --> 00:55:24.786]  You notice the liberals didn't like it when Bush was violating it.
[00:55:24.986 --> 00:55:26.447]  Now Obama's still violating it.
[00:55:26.567 --> 00:55:29.089]  Because they're on the payroll, just like in the Soviet Union!
[00:55:30.410 --> 00:55:32.171]  There's secret police all over the place.
[00:55:32.511 --> 00:55:41.057]  The bankers aren't going to take everything you've got without having a police state grid in place to suppress you when you try to take over the government rightfully and bring them to justice.
[00:55:43.737 --> 00:55:44.697]  Let's take another call.
[00:55:44.757 --> 00:55:46.038]  Brian in New Jersey.
[00:55:46.078 --> 00:55:47.078]  Brian, you're on the air.
[00:55:47.938 --> 00:55:48.478]  Hi, Alex.
[00:55:48.738 --> 00:55:49.098]  Hello.
[00:55:51.159 --> 00:55:51.999]  Yes, hi.
[00:55:53.679 --> 00:56:01.301]  I just got finished watching Politically Incorrect with Bill Maher talking about the absurdity of the Femi Kampffin.
[00:56:01.821 --> 00:56:03.061]  Boy, is he going to be surprised.
[00:56:03.881 --> 00:56:07.482]  Well, his job is the same as all other operatives, Mockingbird operatives.
[00:56:08.042 --> 00:56:11.183]  Their job is to say there is no new world order, there is no global government.
[00:56:11.929 --> 00:56:12.209]  Absolutely.
[00:56:12.249 --> 00:56:13.269]  To feed the propaganda into your head.
[00:56:13.289 --> 00:56:13.589]  Absolutely.
[00:56:13.629 --> 00:56:14.990]  To feed the propaganda into your head.
[00:56:15.250 --> 00:56:18.491]  Well, I mean, Glenn Beck did a strawman that I predicted.
[00:56:18.851 --> 00:56:24.472]  He went and covered a railway station that everybody's known as fake since 1995, Lyndon Thompson put out.
[00:56:25.212 --> 00:56:26.413]  And I predicted that.
[00:56:27.193 --> 00:56:28.173]  And that's it.
[00:56:28.213 --> 00:56:31.634]  He didn't cover the bills, the legislation, the Houston Chronicle, the New York Times.
[00:56:31.654 --> 00:56:31.994]  Not at all.
[00:56:32.194 --> 00:56:33.314]  I didn't hear anything about that.
[00:56:33.714 --> 00:56:34.595]  No, it's a strawman.
[00:56:36.755 --> 00:56:40.016]  I wanted to get on a subject you were talking about earlier, climate control.
[00:56:41.065 --> 00:56:48.210]  And what's recently been concerning me is the High Frequency Active Auroral Research Program.
[00:56:48.270 --> 00:56:48.350]  Yes.
[00:56:49.851 --> 00:56:50.471]  You know HAARP?
[00:56:51.232 --> 00:56:51.572]  They have?
[00:56:51.592 --> 00:56:52.633]  Yes, I do.
[00:56:54.074 --> 00:56:56.735]  And their climate control methods, obviously.
[00:56:57.396 --> 00:57:06.882]  And I guess I'm myself concluding that one of the factors that they used to make that a stronger mechanism is to get the
[00:57:09.628 --> 00:57:15.192]  Get the radio waves out and have everybody switch to, you know, the high-definition box.
[00:57:15.893 --> 00:57:18.174]  Well, that's separate from radio waves.
[00:57:18.214 --> 00:57:20.696]  That's being fed through the signal.
[00:57:21.056 --> 00:57:26.420]  Look, sir, you know, that box is just a converter, sir.
[00:57:27.061 --> 00:57:28.622]  You know, I like to stick with what we can prove.
[00:57:29.122 --> 00:57:35.887]  I had the director of HAARP, the director of the facility on last year.
[00:57:36.494 --> 00:57:38.134]  I had the director of HAARP on the radio.
[00:57:38.154 --> 00:57:40.475]  Just Google Alex Jones interviews head of HAARP.
[00:57:41.575 --> 00:57:45.876]  And he started bragging about how they can set the atmosphere on fire with these antennas.
[00:57:47.176 --> 00:57:47.496]  Oh yeah!
[00:57:50.117 --> 00:57:55.418]  And... I interviewed Ben Livingston, the father of weather weapons.
[00:57:56.738 --> 00:57:58.558]  And it was declassified in 2002.
[00:57:58.778 --> 00:58:02.499]  That's how I found out about it and called Livingston up.
[00:58:02.739 --> 00:58:03.839]  Like 90 years old at the time.
[00:58:03.860 --> 00:58:04.600]  I think he's still alive.
[00:58:05.600 --> 00:58:06.120]  And uh...
[00:58:07.196 --> 00:58:09.257]  That subsequently ended up being big news around the country.
[00:58:09.417 --> 00:58:11.938]  They can create hurricanes, kill hurricanes, start them up.
[00:58:12.218 --> 00:58:13.559]  This is a conspiracy theory.
[00:58:13.659 --> 00:58:15.480]  I only cover what's documented.
[00:58:15.540 --> 00:58:17.441]  And yes, they are manipulating the weather.
[00:58:18.081 --> 00:58:19.481]  We'll be right back, ladies and gentlemen.
[00:58:19.701 --> 00:58:20.622]  Second hour, straight ahead.
[00:58:23.607 --> 00:58:27.829]  It's no secret that Genesis Communications Network depends on listeners like you.
[00:58:27.949 --> 00:58:30.771]  Now you can do even more to hear Genesis shows in your area.
[00:58:30.851 --> 00:58:35.293]  Simply call your local radio stations and tell them about your favorite GCN programs.
[00:58:35.413 --> 00:58:35.934]  It's easy.
[00:58:36.114 --> 00:58:42.637]  Log on to GCNlive.com or call us toll free 877-807-4048.
[00:58:42.737 --> 00:58:43.398]  Make a difference.
[00:58:43.498 --> 00:58:48.781]  Call your local stations and contact us through affiliate relations at GCNlive.com or call 877-807-4048.
[00:58:48.881 --> 00:58:49.241]  Call today.
[00:58:53.243 --> 00:59:02.507]  We the people grow cotton, weave fabric, engrave ink, embed strips and fibers to protect from counterfeit, then carting to a private bank, having it led back at interest, forcing taxes to service debt.
[00:59:02.567 --> 00:59:03.287]  This capitalism?
[00:59:03.347 --> 00:59:09.510]  Or was Jefferson correct when stating a central bank issuing the public currency is a greater menace to the liberties of the people than a standing army?
[00:59:09.630 --> 00:59:10.410]  Hi, Ted Anderson.
[00:59:10.430 --> 00:59:13.531]  I'm placing a free silver dollar in a book that explains our monetary system.
[00:59:13.591 --> 00:59:14.512]  Call for your copy 800-686-2237.
[00:59:14.532 --> 00:59:15.572]  It's time to understand the system.
[00:59:15.592 --> 00:59:16.192]  Call 800-686-2237.
[00:59:16.232 --> 00:59:16.512]  That's 800-686-2237.
[00:59:23.495 --> 00:59:25.497]  Is your credit card debt out of control?
[00:59:25.677 --> 00:59:28.159]  Are you in over your head dealing with monthly payments?
[00:59:28.439 --> 00:59:32.002]  There's a powerful secret that credit card companies don't want you to know.
[00:59:32.283 --> 00:59:39.208]  If you have credit card debt, you have the power to settle that debt for a fraction of what you owe, cutting your payments by up to half or more.
[00:59:39.408 --> 00:59:43.712]  That's bad news for credit card companies, but it's great news for you, and we'd like to offer
[00:59:43.732 --> 00:59:44.092]  I think so.
[01:00:00.691 --> 01:00:00.891]  Call 1-800-293-9219
[01:00:23.468 --> 01:00:26.090]  ...for live music venues passed by the city.
[01:00:26.170 --> 01:00:31.653]  You're listening to GCN, the world leader in independent talk radio.
[01:00:31.673 --> 01:00:33.575]  90 KLBJ, Austin, Texas.
[01:00:38.022 --> 01:00:40.684]  IRN USA Radio News, I'm Jody Jordan.
[01:00:40.804 --> 01:00:45.107]  NATO warships and helicopters have foiled a pirate attack in the Gulf of Aden.
[01:00:45.547 --> 01:00:49.369]  The Somali pirates were detained after a seven-hour hot pursuit today.
[01:00:49.930 --> 01:00:53.372]  The gunmen had tried and failed to commandeer a Norwegian tanker.
[01:00:54.111 --> 01:00:54.331]  U.S.
[01:00:54.371 --> 01:01:02.659]  Navy Admiral Gary Ruffhead says joint anti-piracy operations with China are producing an unprecedented level of interaction between the two countries.
[01:01:02.879 --> 01:01:08.684]  It's not surprising to me to see the PLA Navy develop in the way that it has.
[01:01:09.104 --> 01:01:13.028]  And the President is feeling pretty good about his weekend's work at the summit.
[01:01:13.528 --> 01:01:14.329]  Here's Mark Smith.
[01:01:34.517 --> 01:01:35.978]  My name is John Demartino.
[01:01:36.038 --> 01:01:39.940]  I'm from Colorado, and I started using Andy Willoughby's 3-step plan.
[01:01:40.080 --> 01:01:49.925]  It's extremely encouraging for me, and they've given me training on exactly what to say, and I don't have to be a salesman to talk to people that are calling me.
[01:01:49.945 --> 01:01:52.266]  It's made me feel like, wow, let's
[01:01:52.646 --> 01:01:53.507]  Let's do business.
[01:01:53.727 --> 01:01:57.932]  I can only conceive of growing and growing and growing now.
[01:01:58.152 --> 01:02:01.175]  I'm 56 years old and I feel young.
[01:02:01.195 --> 01:02:02.457]  I feel renewed.
[01:02:02.477 --> 01:02:03.297]  I'm happy.
[01:02:03.338 --> 01:02:05.440]  I'm excited about my financial future.
[01:02:05.660 --> 01:02:11.826]  In a short amount of time, less than an hour a day, if someone wanted to, they could have a system.
[01:02:12.227 --> 01:02:14.169]  This is a stress-relieving business.
[01:02:14.509 --> 01:02:15.849]  Hi, how in the world are you anyway?
[01:02:15.989 --> 01:02:17.090]  This is Andy Willoughby.
[01:02:17.310 --> 01:02:21.111]  After five years, the three-step plan is a proven success story.
[01:02:21.451 --> 01:02:26.172]  If you're tired of worrying about money all the time, go to 3stepplan.com or call 800-480-2102.
[01:02:26.192 --> 01:02:26.352]  800-480-2102.
[01:02:26.392 --> 01:02:30.493]  The Netherlands and the United States both plan to boycott this week's UN conference on racism.
[01:02:41.448 --> 01:02:42.488]  Here's Mike Corder.
[01:02:42.508 --> 01:02:51.631]  Dutch Foreign Minister Maxime Verhaeghe announced Sunday that he is boycotting a UN anti-racism conference that's due to start in Geneva on Monday.
[01:02:51.851 --> 01:02:57.152]  There are fears in the West that it will wind up being a heated debate on Israel with attacks on the West.
[01:02:57.852 --> 01:03:00.053]  Pope Benedict today praised the conference.
[01:03:02.133 --> 01:03:09.495]  And sounds from Houston are brushing water in a flooded bayou where a rescued effort was underway for a car with five children inside.
[01:03:10.254 --> 01:03:14.055]  Six people have died in massive weekend storms across southeast Texas.
[01:03:14.576 --> 01:03:21.058]  The deaths include five children killed when the driver lost control of their sedan while trying to answer a cell phone.
[01:03:21.758 --> 01:03:26.800]  The sedan went into a rain swollen ditch Saturday, ending up at about nine feet of water.
[01:03:28.040 --> 01:03:32.362]  For the latest news and analysis, log on to IRNUSANews.com.
[01:03:34.654 --> 01:03:44.777]  If you're paying your credit cards with credit cards, or maybe some other crisis in your life made you fall behind on your bills, there is a light at the end of the tunnel with Consumer Credit of America.
[01:03:45.017 --> 01:03:49.598]  They can help you find your way out of a debt trap and find financial freedom.
[01:03:49.818 --> 01:03:50.278]  Call now.
[01:03:50.298 --> 01:03:50.578]  877-348-FREE.
[01:03:50.598 --> 01:03:50.939]  That's 877-348-F-R-E-E.
[01:03:50.959 --> 01:03:52.259]  Or visit them on the web at ccofamerica.com.
[01:03:52.279 --> 01:03:52.719]  877-348-FREE.
[01:03:52.739 --> 01:03:53.699]  Not available in all states.
[01:04:05.023 --> 01:04:12.211]  Police in Middletown, Maryland say a man killed his wife and three children and say several notes were found at the scene.
[01:04:12.892 --> 01:04:16.656]  Jennifer Bailey is a spokeswoman for the Frederick County Sheriff's Department.
[01:04:16.836 --> 01:04:23.023]  We are looking at financial possibilities, but we do know that from some of the handwritten notes that
[01:04:23.430 --> 01:04:25.812]  Mr. Wood may have had some psychological issues.
[01:04:25.872 --> 01:04:31.556]  Today marks the 14th anniversary of the bombing of the Alfred P. Murrah Federal Building in Oklahoma City.
[01:04:32.156 --> 01:04:41.643]  The community's National Memorial and Museum brought together survivors, family members, and rescuers for a program called First Person Stories of Hope.
[01:04:42.532 --> 01:04:43.653]  Here's Sophia Manos.
[01:04:44.113 --> 01:04:48.456]  One survivor says April 19th brings dread and survivor guilt.
[01:04:48.876 --> 01:04:55.201]  A woman whose toddler was killed says she had a silent voice, trying to avoid appearing weak or needy.
[01:04:55.681 --> 01:04:59.343]  She says time has not healed the wound she feels for her dead son.
[01:04:59.844 --> 01:05:03.646]  A crime scene investigator says he learned to value life more than ever.
[01:05:04.107 --> 01:05:08.910]  He asks rhetorically, what would the victims do to have had one more day?
[01:05:09.608 --> 01:05:10.549]  I'm Sophia Manos.
[01:05:10.809 --> 01:05:13.331]  In this archive from the day of the bombing, U.S.
[01:05:13.451 --> 01:05:18.094]  Agriculture Department employee Jack Gobin says he thought he was going to die.
[01:05:18.114 --> 01:05:19.936]  I just happened to be in that room.
[01:05:19.976 --> 01:05:22.037]  It's not the room I normally am in.
[01:05:22.077 --> 01:05:24.559]  I was working on a project.
[01:05:24.999 --> 01:05:28.842]  It happened and I was lucky I had a table to dive under.
[01:05:29.002 --> 01:05:32.245]  I'm Jody Jordan for IRN USA Radio News.
[01:05:33.354 --> 01:05:41.764]  Of the three million plus edible food plants that grow on earth, no other single plant can compare with the nutritional value of the powder, seeds, and oil of the hemp plant.
[01:05:42.064 --> 01:05:47.750]  At HempUSA.org, we ship worldwide these nutritional products with free shipping to the US and Canada.
[01:05:48.071 --> 01:05:54.598]  At HempUSA.org, we want to educate our listeners that edible hemp is not marijuana and is certified THC-free.
[01:05:55.140 --> 01:05:58.421]  Our powder is 50% protein and does not contain gluten.
[01:05:58.541 --> 01:06:00.782]  Gluten impairs the cells from absorbing nutrients.
[01:06:00.982 --> 01:06:07.344]  This nutrient-dense food can be stored up to five years when vacuum-packed and is priced affordably to be used as a storable food.
[01:06:07.584 --> 01:06:10.905]  HempUSA.org is a bulk shipper starting with five pounds and up.
[01:06:11.105 --> 01:06:14.966]  To allow this food to work for you, call 908-691-2608 or go to HempUSA.org and order today.
[01:06:18.147 --> 01:06:21.128]  The body will react and heal itself given the proper nutrition.
[01:06:21.328 --> 01:06:23.388]  This superfood will be your greatest asset.
[01:06:23.508 --> 01:06:26.889]  So try it today, store it today, and change your life.
[01:06:27.169 --> 01:06:32.211]  Call 908-691-2608 or order from hempusa.org.
[01:06:34.111 --> 01:06:42.733]  Prepare yourself for a talk radio experience like no other.
[01:06:43.674 --> 01:06:44.994]  He stands for truth.
[01:06:46.445 --> 01:06:48.327]  He stands for justice.
[01:06:49.668 --> 01:06:51.270]  He stands for what's right.
[01:06:52.111 --> 01:06:54.473]  This is the Alex Jones Show.
[01:06:55.394 --> 01:06:58.437]  Call Alex now, toll free at 877-590-5525.
[01:06:58.758 --> 01:07:02.421]  Now live from Austin, Texas, here's Alex Jones.
[01:07:10.211 --> 01:07:13.754]  On a more serious note, we're now joined by actor and activist Janine Garofalo.
[01:07:13.794 --> 01:07:14.355]  Good to see you.
[01:07:14.495 --> 01:07:14.935]  Thank you.
[01:07:14.955 --> 01:07:20.080]  You know, there's nothing more interesting than seeing a bunch of racists become confused and angry at a speech.
[01:07:20.120 --> 01:07:21.461]  They're not quite certain what he's saying.
[01:07:21.762 --> 01:07:24.745]  It sounds right to them, and then it doesn't make sense, which...
[01:07:25.525 --> 01:07:28.426]  Let's be very honest about what this is about.
[01:07:28.867 --> 01:07:30.247]  It's not about bashing Democrats.
[01:07:30.307 --> 01:07:31.388]  It's not about taxes.
[01:07:31.448 --> 01:07:34.129]  They have no idea what the Boston Tea Party was about.
[01:07:34.349 --> 01:07:35.249]  They don't know their history at all.
[01:07:35.289 --> 01:07:38.471]  This is about hating a black man in the White House.
[01:07:38.511 --> 01:07:39.811]  This is racism straight up.
[01:07:40.212 --> 01:07:43.433]  That is nothing but a bunch of tea-banging rednecks.
[01:07:44.013 --> 01:07:46.474]  And there is no way around that.
[01:07:48.275 --> 01:07:50.816]  And by the way, Oberman, I've lost any respect I had for him.
[01:07:51.176 --> 01:07:52.297]  He sat there and made
[01:07:52.998 --> 01:07:55.619]  Oral sex jokes for about two minutes before she came on.
[01:07:55.659 --> 01:07:56.919]  I mean, I want to play it on radio.
[01:07:57.560 --> 01:07:58.300]  It's so graphic.
[01:07:59.020 --> 01:08:16.766]  And we've got the heir to the Astor fortune, just tens of billions in tax-free foundations, an admitted CIA operative, Anderson Cooper running around making weird sexual jokes, saying that the... Well, I'm not even going to say it.
[01:08:17.046 --> 01:08:17.527]  You know what?
[01:08:18.907 --> 01:08:19.667]  It's amazing.
[01:08:19.747 --> 01:08:20.188]  I mean, 98% of us
[01:08:22.031 --> 01:08:43.827]  In all these polls, some or even more, again, Congress admitted 1,001 phone calls against the banker bailout takeover, you go out and you protest it, going, my goodness, you've spent the GDP in six months, bipartisan, quit it, stop it, and they say, oh, you guys are meeting up at tea parties to have sex with each other, and you hate black people.
[01:08:44.288 --> 01:08:44.748]  Period.
[01:08:45.529 --> 01:08:46.890]  Injecting race.
[01:08:47.190 --> 01:08:48.411]  They want to divide us.
[01:08:48.891 --> 01:08:49.712]  Divide the American...
[01:08:50.382 --> 01:08:51.102]  The American people.
[01:08:51.342 --> 01:08:52.563]  I mean, what can they do?
[01:08:52.843 --> 01:09:04.128]  You got 98% of people against something, and the government and both parties are going to continue on forever, spending and bankrupting everything, stealing all the money for themselves.
[01:09:04.548 --> 01:09:07.909]  And so all they can do is just say, oh, different races, different parties.
[01:09:08.250 --> 01:09:09.490]  You just fight with each other.
[01:09:10.330 --> 01:09:12.071]  So don't buy into it, ladies and gentlemen.
[01:09:12.571 --> 01:09:16.493]  They've got handlers on the right and handlers on the left that are all there to make you just fight with each other.
[01:09:16.993 --> 01:09:18.674]  Coming up at the end of the show, I'm going to play
[01:09:20.402 --> 01:09:33.848]  A clip from 1974 with an individual predicting everything that's now happened, and he wrote what he was giving a speech on back in the 50s, but in his speech in the 74 he was breaking down what he had predicted back in the 1950s, and it's now all been declassified.
[01:09:34.409 --> 01:09:47.795]  It is public, it is available knowledge, and we know that we are inside a world government with a global group of private banks, a corporate takeover of every free nation on earth, and they play the inhabitants of the nations off against each other, and that's all that's happening here, and that's what
[01:09:48.769 --> 01:09:56.157]  These people's jobs like Garofalo and Glenn Beck and others' jobs are there to get us fighting in a left-right paradigm with each other.
[01:09:56.498 --> 01:09:57.378]  Don't be suckers.
[01:09:57.839 --> 01:09:59.000]  Okay, let's go to the calls here.
[01:09:59.281 --> 01:09:59.801]  George.
[01:10:00.962 --> 01:10:02.985]  George, I can't see on my call.
[01:10:03.045 --> 01:10:04.306]  It says West something.
[01:10:04.326 --> 01:10:05.347]  Where are you calling from, George?
[01:10:05.828 --> 01:10:06.849]  West Columbia, Texas.
[01:10:07.249 --> 01:10:08.190]  The capital of Texas.
[01:10:08.370 --> 01:10:08.711]  Welcome.
[01:10:09.491 --> 01:10:09.751]  Yes.
[01:10:10.571 --> 01:10:15.253]  You know, the thing is about Rick Perry also coming out for sovereignty and against oppression.
[01:10:16.154 --> 01:10:23.737]  I don't really, you know, the feedback I'm getting from people here is like, they don't really believe what he's saying, but they say he's got perfect hair.
[01:10:24.937 --> 01:10:25.638]  Absolutely.
[01:10:25.898 --> 01:10:32.080]  And look, Rick Perry barely could win a three-way race for governor.
[01:10:32.140 --> 01:10:33.081]  He got 39% of the vote.
[01:10:33.881 --> 01:10:38.603]  He is a political dead duck, but he was summoned to the Vildenberg Group
[01:10:39.361 --> 01:10:42.442]  In 2007, illegally.
[01:10:42.922 --> 01:10:43.962]  It's in my film, Endgame.
[01:10:44.943 --> 01:10:45.463]  That's illegal.
[01:10:45.483 --> 01:10:49.244]  You're not allowed to go to these violation of Logan Act to go set policy overseas with private groups.
[01:10:50.444 --> 01:10:55.265]  He again, when the whole legislature said no to handing our roads over to foreign private interest, hijacking it.
