[00:00:00.109 --> 00:00:01.711]  You know, Ron Paul grills Ben Bernanke.
[00:50:56.732 --> 00:50:58.293]  Hello friends, this is Alex Jones.
[00:50:58.413 --> 00:51:03.017]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:51:03.157 --> 00:51:05.919]  We need to be independent, and food and water is the key.
[00:51:06.119 --> 00:51:09.001]  You'll never have to stand in a bread line if you have your own bread.
[00:51:09.161 --> 00:51:13.885]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:51:14.105 --> 00:51:15.026]  If you simply prepare.
[00:51:15.226 --> 00:51:18.170]  No one is going to take care of your family in the final equation but you.
[00:51:18.470 --> 00:51:25.378]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:51:25.498 --> 00:51:28.602]  And they do it at almost half the cost of last year's grocery prices.
[00:51:28.762 --> 00:51:29.022]  Call 1-800-409-5633.
[00:51:31.425 --> 00:51:33.686]  Or on the web, go to efoodsdirect.com.
[00:51:33.886 --> 00:51:39.969]  Visit efoodsdirect.com and look over the fine list of high-quality, pre-scribed, and dehydrated foods they have to offer.
[00:51:40.149 --> 00:51:43.890]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:51:43.910 --> 00:51:45.411]  Again, 800-409-5633, or on the web at efoodsdirect.com.
[00:51:45.431 --> 00:51:45.871]  Take action today.
[00:51:45.911 --> 00:51:47.712]  The first step is getting storable food.
[00:51:59.429 --> 00:52:01.331]  Waging War on Corruption.
[00:52:01.811 --> 00:52:04.774]  Alex Jones on the GCM Radio Network.
[00:52:08.357 --> 00:52:21.629]  Coming up, I'm going to go over some financial banking news, get into a real drilling,
[00:52:22.731 --> 00:52:27.696]  And I don't want to go after Ron Paul, but I'm hearing from a lot of people, folks, big buzz out there.
[00:52:28.237 --> 00:52:32.942]  They want him to get really aggressive when he's on the House Banking Committee with Bernanke and others.
[00:52:32.962 --> 00:52:38.548]  He brings up how it's hurting things, how the debt bubble isn't going to work, but why, how about, hey, the Federal Reserve's private.
[00:52:39.068 --> 00:52:40.569]  You know, you guys engineered this thing.
[00:52:40.589 --> 00:52:44.693]  He'll say things like that here on the air, but he's just so gentlemanly on the news and everywhere else.
[00:52:44.713 --> 00:52:46.314]  He's got this platform now.
[00:52:46.754 --> 00:52:48.356]  They're putting him on the news more and more.
[00:52:48.816 --> 00:52:50.938]  I think because they know he's not being that aggressive.
[00:52:51.078 --> 00:52:52.759]  And I think he thinks like a Zen master.
[00:52:53.380 --> 00:52:57.583]  It's a Catch-22 where he can get on more and just show people the alternative.
[00:52:59.685 --> 00:53:01.987]  And by being more palatable that he gets more attention.
[00:53:02.007 --> 00:53:12.454]  But I think you've got to break through the mesmerized spell that people are under with some cold water in the face or a slap against the face.
[00:53:12.934 --> 00:53:16.837]  But Ron Paul's done so much good and it's overall good.
[00:53:17.818 --> 00:53:21.561]  And you know it's easy to look at somebody in the arena and say they should do it this way or that way.
[00:53:22.021 --> 00:53:24.423]  I just think we should look at people like Senator Sanders and others.
[00:53:25.003 --> 00:53:35.226]  Yeah, I think my whole thing as far as wanting to see Ron Paul be more aggressive, I look at it more as being just like a form of constructive criticism.
[00:53:35.246 --> 00:53:40.547]  Because Ron Paul, you know, he had the network on the internet, he had the money, the movement.
[00:53:52.031 --> 00:54:01.576]  But I think that, I think that if he was just a little bit more aggressive as far as attacking people like Obama and Hillary.
[00:54:01.596 --> 00:54:02.176]  That's right!
[00:54:02.977 --> 00:54:03.977]  That's right.
[00:54:04.398 --> 00:54:10.341]  He could have baited them into responding to him, and then he could have showed the world that, you know, he is the man.
[00:54:10.361 --> 00:54:15.343]  Because on foreign policy and on economics, Ron Paul is, you know, he's the man.
[00:54:15.363 --> 00:54:20.546]  I mean, even within the black community, during the polling, Ron Paul, as far as most blacks,
[00:54:23.856 --> 00:54:31.339]  Let me just throw in here, people need to tell Ron Paul, hey we want to hear you get behind the state's rights movement.
[00:54:31.680 --> 00:54:38.162]  We want to hear you tell your supporters to get behind that, so that we can try to reconvene the federal government and arrest these criminals.
[00:54:39.463 --> 00:54:44.967]  I mean, he is out there speaking out, and he does go before the Republicans and say you killed a million people, so that was very bold.
[00:54:45.067 --> 00:54:46.488]  That took a lot of courage, but I agree.
[00:54:46.548 --> 00:54:47.889]  It's constructive criticism.
[00:54:48.309 --> 00:54:50.951]  We need to have more of that because he is so prominent.
[00:54:51.271 --> 00:54:52.232]  We built this guy.
[00:54:52.272 --> 00:54:55.894]  He needs to, you know, dance with those that rung him, and he is doing that.
[00:54:57.255 --> 00:54:59.657]  It's just that I totally agree with you, Marcus.
[00:55:00.217 --> 00:55:05.301]  Yeah, and I think I even talked to you on your show shortly after the New Hampshire primaries,
[00:55:06.536 --> 00:55:09.459]  Ron Paul, I guess, wasn't receiving votes, so I think it was in the time of Sutton.
[00:55:10.560 --> 00:55:21.871]  And I was hoping for Ron Paul to, you know, hop on and make the issue as far as the whole voting fraud thing and, like, hold a big, major press conference, maybe like in Sutton, but do that voting from where the votes were being counted.
[00:55:21.891 --> 00:55:28.617]  And I think that by him just ignoring it and just moving on, I think it would be a waste of time as far as not challenging the vote fraud that was happening in New Hampshire.
[00:55:29.498 --> 00:55:31.780]  I just think that was just another sign of that passivity.
[00:55:32.355 --> 00:55:44.503]  But Ron Paul, besides him, Cinthia McKinney in percentage, I mean, I think that he's, overall, I think he's by far, he's the best politician out there.
[00:55:45.163 --> 00:55:59.673]  And I just hope that in the future, that maybe if he doesn't run in 2012, that he becomes, you know, be more aggressive and get out there and hopefully take a running mate who has just as much star power as him and hopefully try to make a difference in the future.
[00:56:00.430 --> 00:56:06.414]  I really appreciate you asking and giving me an opportunity just to come on your show just to discuss a few issues with you.
[00:56:07.155 --> 00:56:20.484]  And I know it's kind of getting close to winding down so I just wanted to thank you once again for just giving me a chance to promote my story and to have an opportunity just to talk politics with you because I never thought in a million years that you would call me and ask me to do this.
[00:56:20.504 --> 00:56:29.491]  So that kind of just shows me a little bit, well actually a lot, that you're also a person who reaches out to the regular everyday working person.
[00:56:33.647 --> 00:56:34.288]  Absolutely!
[00:56:34.328 --> 00:56:36.529]  Well, the Nubian Bookstore there outside Atlanta, Georgia.
[00:56:36.569 --> 00:56:41.693]  Marcus Williams, thank you so much for all you do and thank you for your help with the Obama deception.
[00:56:41.733 --> 00:56:42.874]  God bless you and Godspeed.
[00:56:44.588 --> 00:56:44.848]  You bet.
[00:56:44.888 --> 00:56:45.429]  Take care, sir.
[00:56:45.749 --> 00:56:46.830]  We'll talk to you again in the future.
[00:56:47.411 --> 00:56:47.751]  All right.
[00:56:47.771 --> 00:56:48.832]  An amazing individual.
[00:56:48.872 --> 00:56:49.532]  Very informative.
[00:56:49.552 --> 00:56:52.815]  Another one of those great people out there fighting tyranny, defending liberty.
[00:56:52.835 --> 00:56:58.681]  We're going to come back and into Senator Sanders' true resistance to Bernanke.
[00:56:58.721 --> 00:57:02.204]  What we need to see more of from Ron Paul and a lot more straight ahead.
[00:57:02.264 --> 00:57:06.828]  Then we're going to get into the vaccines, shipping bird flute out and putting it in the flu shot.
[00:57:07.728 --> 00:57:11.550]  You don't have to be in the military to enjoy military surplus savings.
[00:57:11.870 --> 00:57:17.672]  Right now at MainMilitary.com, you'll find savings on the top must-have military supplies.
[00:57:18.052 --> 00:57:20.033]  M10 gas masks for $12 or 3 for $30.
[00:57:20.153 --> 00:57:21.114]  Gas mask hoods, $4 or 3 for $10.
[00:57:21.634 --> 00:57:22.634]  Mask filters, $6 or 3 for $15.
[00:57:22.674 --> 00:57:24.255]  Save big on British chemical suits, only $12.
[00:57:24.295 --> 00:57:24.695]  Israeli gas masks, $20.
[00:57:31.758 --> 00:57:35.141]  Trigger finger gloves, $5 a pair or $36 a dozen.
[00:57:35.401 --> 00:57:38.544]  Snowshoe binding for $8 or $48 a dozen.
[00:57:38.744 --> 00:57:39.765]  And so much more.
[00:57:40.046 --> 00:57:43.469]  Even hard to find surplus items, all at surplus prices.
[00:57:43.749 --> 00:57:48.513]  Preparing the whole family has never been so affordable at MainMilitary.com.
[00:57:48.814 --> 00:57:50.235]  MainMilitary.com.
[00:57:50.415 --> 00:57:53.278]  One of the last surviving true surplus stores in the country.
[00:57:53.638 --> 00:57:57.219]  Shop now at MAINEMILITARY.COM or call 877-608-0179.
[00:57:57.239 --> 00:57:57.999]  That's 877-608-0179 today.
[00:58:16.300 --> 00:58:17.320]  But who is the enemy?
[00:58:17.841 --> 00:58:18.341]  Bin Laden.
[00:58:18.641 --> 00:58:19.441]  This is his M.O.
[00:58:19.481 --> 00:58:20.962]  We have to look to the Middle East.
[00:58:20.982 --> 00:58:22.702]  We have to look to Osama Bin Laden.
[00:58:23.002 --> 00:58:29.765]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:58:30.145 --> 00:58:30.585]  Some U.S.
[00:58:30.625 --> 00:58:36.267]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:58:36.987 --> 00:58:40.468]  I'm aware that some Israeli citizens have been detained.
[00:58:40.488 --> 00:58:43.470]  Either you are with us, or you are with the terrorists.
[00:59:06.860 --> 00:59:08.041]  Hello, this is Steve Schenck.
[00:59:08.221 --> 00:59:10.483]  Alex has told you you have to get a supply of food.
[00:59:10.623 --> 00:59:14.626]  But Alex and I have decided that there are some of you that we really don't want to have food.
[00:59:14.786 --> 00:59:16.647]  If you're a politician who voted for the bailout...
[00:59:22.112 --> 00:59:30.735]  If you think growing food for cars is better than feeding people, don't get food.
[00:59:30.955 --> 00:59:37.077]  If you think waiting for a cop to show up after a crime is better than defending yourself and preventing the crime, don't call eFoodsDirect.
[00:59:37.318 --> 00:59:40.719]  If you believe the official report on 9-11, you won't need food.
[00:59:40.919 --> 00:59:45.061]  If you think the warnings on the Alex Jones Show are foolish, don't call eFoodsDirect.
[00:59:53.302 --> 00:59:53.663]  I think so.
[01:00:11.474 --> 01:00:15.576]  Big Brother, Mainstream Media, Government Cover-Ups.
[01:00:16.296 --> 01:00:17.116]  You want answers?
[01:00:17.896 --> 01:00:18.797]  Well, so does he.
[01:00:19.437 --> 01:00:23.078]  He's Alex Jones on the GCN Radio Network.
[01:00:23.619 --> 01:00:27.700]  And now, live from Austin, Texas, Alex Jones.
[01:00:39.155 --> 01:00:41.016]  Alright, there's a bunch of these clips on the internet.
[01:00:41.056 --> 01:00:42.217]  These hearings went for hours.
[01:00:42.237 --> 01:00:44.738]  We're going to play several of them, then go to your phone calls.
[01:00:44.778 --> 01:00:54.883]  We have a guest coming on dealing with the bird flu that they tried to mix up with the regular flu vaccine so it could mutate and just cause incredible devastation.
[01:00:54.903 --> 01:00:56.604]  That's mainstream news that it could have done that.
[01:00:57.204 --> 01:00:57.905]  That's coming up.
[01:00:58.965 --> 01:01:05.109]  This is Senator Bernie Sanders questioning Ben Bernanke and he starts asking him, where is the money?
[01:01:05.229 --> 01:01:06.029]  Where did you spend it?
[01:01:06.049 --> 01:01:07.430]  And Bernanke tries to spend it and says,
[01:01:08.527 --> 01:01:09.247]  It's on our website.
[01:01:09.267 --> 01:01:11.228]  He goes, what banks did you give it to?
[01:01:11.609 --> 01:01:13.029]  Well, I can't tell you that.
[01:01:14.590 --> 01:01:25.395]  And Bloomberg Financial is reporting on this, yet again, and it's not 2.5 trillion, it's not 3 trillion like the Senator is saying, it's over 9.7 trillion right now.
[01:01:25.455 --> 01:01:26.536]  So let's go ahead and go to that clip.
[01:01:27.716 --> 01:01:34.620]  Will you tell the American people to whom you lent 2.2 trillion of their dollars
[01:01:35.472 --> 01:01:38.535]  Will you tell us who got that money and what the terms are of those agreements?
[01:01:39.616 --> 01:01:41.197]  We explain each of our programs.
[01:01:41.298 --> 01:01:43.660]  In terms of the terms, we explain the terms exactly.
[01:01:43.700 --> 01:01:46.002]  We explain what the collateral requirements are.
[01:01:46.022 --> 01:01:47.063]  To whom did you explain that?
[01:01:47.764 --> 01:01:48.645]  It's on our website.
[01:01:49.746 --> 01:01:52.348]  So all that information is available in our commercial paper program.
[01:01:52.368 --> 01:01:53.089]  And who got the money?
[01:01:53.990 --> 01:01:55.151]  Hundreds and hundreds of banks.
[01:01:55.291 --> 01:01:58.474]  Any bank that has access to the U.S.
[01:01:58.834 --> 01:01:59.775]  Federal Reserve's discount.
[01:01:59.795 --> 01:02:00.516]  Tell us who they are.
[01:02:01.707 --> 01:02:08.073]  No, because the reason that is counterproductive and will destroy the value of the program is that banks will not come to the show.
[01:02:08.093 --> 01:02:09.114]  Well, isn't that too bad?
[01:02:09.975 --> 01:02:10.115]  Sorry?
[01:02:10.135 --> 01:02:11.476]  In other words, isn't that too bad?
[01:02:11.496 --> 01:02:15.079]  They took the money, but they don't want to be public about the fact that they received it.
[01:02:15.119 --> 01:02:16.080]  We heard a whole lot about AIG.
[01:02:16.200 --> 01:02:17.241]  They're on the front pages.
[01:02:17.261 --> 01:02:21.545]  These are very... Now, I got banks and I have businesses in the state of Vermont who are in a lot of trouble.
[01:02:21.665 --> 01:02:22.045]  Not banks.
[01:02:22.085 --> 01:02:23.347]  Our banks, by the way, are doing pretty well.
[01:02:23.907 --> 01:02:26.389]  Now, how do these guys who are honest business people get it?
[01:02:26.590 --> 01:02:27.751]  Do you have to be a large
[01:02:28.311 --> 01:02:32.092]  Greedy, reckless financial institution to apply for these monies?
[01:02:32.172 --> 01:02:33.213]  There is no subsidy.
[01:02:33.393 --> 01:02:34.873]  There is no capital involved.
[01:02:34.893 --> 01:02:36.114]  There is no gift involved.
[01:02:36.234 --> 01:02:43.236]  It is a collateralized short-term liquid loan that is both over collateralized and is recourse to the company itself.
[01:02:43.276 --> 01:02:44.677]  We have never lost a penny doing it.
[01:02:46.010 --> 01:02:51.977]  And how can other institutions get those loans as well?
[01:02:52.818 --> 01:02:55.941]  According to the law, we are supposed to be lending to depository institutions.
[01:02:56.722 --> 01:02:58.364]  Let me just say this, Mr. Chairman.
[01:02:58.484 --> 01:02:59.766]  I have a hard time
[01:03:00.908 --> 01:03:29.175]  understanding that you have put 2.2 trillion dollars at risk uh... without uh... making those names available those institutions public and we're going to introduce legislation today by the way to demand that you do that it is unacceptable to me that that goes on uh... mister chairman uh... one of the untold one of the issues that bothers me very much
[01:03:30.356 --> 01:03:35.840]  Is that for many, many years some of us were concerned about deregulation.
[01:03:36.580 --> 01:03:40.623]  Some of us were very concerned about where the economy was going.
[01:03:41.484 --> 01:03:48.369]  We didn't hear much coming from the Bush administration who told us over and over again that the fundamentals of the economy were sound.
[01:03:48.389 --> 01:03:50.010]  We didn't hear much from the Fed.
[01:03:51.584 --> 01:04:06.431]  Now, looking back, do you think that maybe there was a problem there that you did not raise some alarms out there and said, we got a problem when trillions of dollars are being floated around the world in a deregulated, non-transparent way?
[01:04:07.331 --> 01:04:13.054]  When you heard people talking about the fundamentals of the economy being sound, how come you didn't raise an alarm?
[01:04:16.465 --> 01:04:24.727]  Well, there was a massive credit crisis and it's been true that our regulatory system and our financial supervisory system did not succeed in preventing those impacts.
[01:04:25.328 --> 01:04:28.389]  And I think it's very important that we... Did not succeed in preventing them.
[01:04:28.849 --> 01:04:29.769]  Let's take it another way.
[01:04:29.809 --> 01:04:33.050]  Do you think that the repeal of Glass-Steagall was a tragic mistake?
[01:04:34.188 --> 01:04:45.975]  No, I don't think so, but I do think we need to have much more effective holding company and oversight supervision and I strongly support a strong program of regulatory reform going forward.
[01:04:46.195 --> 01:05:00.082]  Mr. Chairman, in my state people ask me how it could be that you're providing loans at almost zero interest rates to large financial institutions who are then charging consumers 25 or 30 percent interest rates on their credit cards.
[01:05:01.403 --> 01:05:10.625]  Do you think that that's acceptable or do you think that those institutions that are receiving help from the Fed should substantially cut those interest rates?
[01:05:11.718 --> 01:05:15.721]  Well, with respect to credit cards, we've been working actively in that area in a couple of dimensions.
[01:05:15.821 --> 01:05:21.224]  One is that credit availability will be enhanced by our TALC program, which I've just announced.
[01:05:21.244 --> 01:05:22.485]  But you're not answering my question.
[01:05:23.206 --> 01:05:30.210]  Should a financial institution that is being bailed out by taxpayers charge those taxpayers 25 or 30 percent interest rates when they're receiving?
[01:05:30.310 --> 01:05:33.673]  Well, you need to address that to the Treasury, because it's the TARP that's providing
[01:05:34.233 --> 01:05:36.914]  Help to failing or damaged firms.
[01:05:36.954 --> 01:05:40.215]  The Federal Reserve lends to healthy firms on a collateralized basis.
[01:05:41.555 --> 01:05:42.216]  Last question.
[01:05:43.876 --> 01:05:52.359]  Many again of my constituents, I think people all over this country, are wondering why the CEOs of these large financial institutions who have been extremely greedy
[01:05:53.397 --> 01:06:00.480]  Reckless and maybe have engaged in illegal behavior have not been fired so that we can work with people who want to really reform the system.
[01:06:01.080 --> 01:06:07.903]  Should the CEOs of the financial institutions that have led us into this deep, deep recession be fired?
[01:06:09.083 --> 01:06:14.385]  Well, pay and job tenure should depend on performance and those who perform poorly should lose their jobs.
[01:06:14.425 --> 01:06:16.966]  Are any of them who have been... Many have lost their jobs.
[01:06:18.187 --> 01:06:20.948]  Most of them are the major guys who are still holding their positions.
[01:06:23.063 --> 01:06:26.486]  Senator Alexander, absolutely amazing.
[01:06:26.526 --> 01:06:30.229]  Let's just go through that five minute clip and the lies that were there.
[01:06:30.809 --> 01:06:32.791]  Number one, the good news, before I get to the lies though.
[01:06:34.352 --> 01:06:37.975]  This guy has an aura of invincibility, this aura of being God.
[01:06:38.015 --> 01:06:51.206]  You watch the body language and the verbal language when somebody like a President or a Prime Minister goes to speak before Congress, they shake their hand, act friendly, kiss their butt a little bit.
[01:06:51.867 --> 01:06:57.171]  When a private Federal Reserve Chairman shows up, before they would quiver, they would shake, they would grovel.
[01:06:57.211 --> 01:07:01.335]  Reporters do that because they know this is really who owns and runs the country, these private banks that run these scams.
[01:07:02.577 --> 01:07:03.498]  And Masquerade is federal.
[01:07:04.058 --> 01:07:29.319]  And when you have people like Senator Sanders and just a few others treating them with the disrespect they treat us with, treating him like a common criminal that he is, and you heard Sanders saying someone needs to go to jail, that guy and Alan Greenspan, chief among them, Henry Paulson, all of them, Geithner, Summers, Volcker, they engineered what's happening now on record.
[01:07:31.940 --> 01:07:37.303]  And so, Ron Paul and others need to start getting aggressive, not even disrespectful, but they need to be disrespected.
[01:07:37.323 --> 01:07:39.044]  We need to pull them down off their pedestals.
[01:07:39.064 --> 01:07:41.145]  We need to show people the common crooks they are.
[01:07:41.645 --> 01:07:44.546]  That's how this is going to happen, is people identify who the enemy is.
[01:07:44.586 --> 01:07:45.487]  Just identify the enemy.
[01:07:45.827 --> 01:07:48.088]  You do that, everything's going to hell in a handbasket.
[01:07:48.328 --> 01:07:49.569]  People are going to bring them to justice.
[01:07:51.325 --> 01:07:55.769]  You've just got to identify the criminals and the source of the infection.
[01:07:56.049 --> 01:07:56.990]  This is the cancer.
[01:07:57.731 --> 01:07:59.793]  Bernanke and the rest of them, they're the New World Order.
[01:07:59.813 --> 01:08:05.518]  They're the ones using all of this to get new regulations against their competitors while they've fallen under the regulations.
[01:08:06.439 --> 01:08:08.100]  That's their new regulations they're talking about.
[01:08:08.120 --> 01:08:12.945]  It's a global government over where your money goes or some middle class person trying to leave the country.
[01:08:13.936 --> 01:08:18.259]  See, they take the crises they create and always get more power in this global new bank that's going to run the world.
[01:08:18.919 --> 01:08:19.699]  Let's go through his lies.
[01:08:20.160 --> 01:08:23.402]  First off, we've got to stand up to him and identify him as the scumbag crooks they are.
[01:08:23.942 --> 01:08:26.323]  That guy should be arrested immediately, not up there.
[01:08:26.343 --> 01:08:27.024]  But he didn't like it.
[01:08:27.044 --> 01:08:27.764]  He's not used to that.
[01:08:28.805 --> 01:08:30.546]  He's going to get more and more used to that, punks.
[01:08:30.666 --> 01:08:32.967]  We are identifying you for the den of vipers you are.
[01:08:33.528 --> 01:08:34.688]  There's no future if we don't.
[01:08:36.569 --> 01:08:38.430]  You heard him say, keep the Glass-Steagall Act.
[01:08:39.391 --> 01:08:42.453]  Keep the repeal of it that allowed all of these derivatives to happen.
[01:08:43.712 --> 01:08:44.873]  They're not changing any of it.
[01:08:45.294 --> 01:08:49.179]  The CEOs, the CEO caps, all the major banks are exempt from that.
[01:08:49.439 --> 01:08:50.080]  Another hoax.
[01:08:51.121 --> 01:08:53.164]  He lies and says that's all up on our website.
[01:08:53.384 --> 01:08:54.906]  And the Senator Sanders says, no it's not!
[01:08:55.206 --> 01:08:56.208]  Who'd you give the money to?
[01:08:56.608 --> 01:08:58.310]  It just says on the website, we won't tell you!
[01:08:59.071 --> 01:09:00.172]  He goes, who'd you give it to?
[01:09:00.212 --> 01:09:01.273]  Oh, it's all on our website.
[01:09:01.493 --> 01:09:02.033]  No, it's not.
[01:09:02.113 --> 01:09:03.795]  And then he has to admit, okay, it's not there.
[01:09:04.495 --> 01:09:07.898]  A criminal liar counting on you being stupid!
[01:09:08.118 --> 01:09:13.502]  You have been, not stupid, but diverted by football and acting cool and, you know, all this other crap, folks.
[01:09:13.563 --> 01:09:18.086]  If you don't worry about the banks, as the Founding Fathers and history shows, you get enslaved real fast.
[01:09:21.149 --> 01:09:21.369]  Okay?
[01:09:21.389 --> 01:09:25.232]  Because with a stroke of a pen, they'll create enough money to buy the world back with, as Thomas Jefferson said.
[01:09:26.092 --> 01:09:27.473]  And as the head of the Bank of England in the 20s said.
[01:09:30.665 --> 01:09:34.827]  Then the biggest lie, he says there's no cost in these trillions of dollars we've given to private banks.
[01:09:36.008 --> 01:09:40.950]  Really, your taxes are going up, all these new regulations, we're going to pay carbon taxes to pay for all this.
[01:09:41.390 --> 01:09:46.572]  They're telling you it's over $20,000 per American, and that's in five months of the banker takeover.
[01:09:47.193 --> 01:09:52.135]  Nine plus trillion since then, plus the debt service on it, there's interest on it.
[01:09:54.016 --> 01:09:56.317]  But he says, oh no, you're not paying a penny, it's just free!
[01:09:58.336 --> 01:10:01.939]  Well, the banks have no intention of paying any of that back, and the government will just grow, grow, grow if they did.
[01:10:04.862 --> 01:10:07.905]  Then he lies and says there's nothing about credit cards.
[01:10:07.965 --> 01:10:10.467]  Everybody I know that's got credit cards, who even pay them?
[01:10:10.727 --> 01:10:12.509]  They might have a 3, 4 percent, got good credit.
[01:10:13.129 --> 01:10:14.511]  Suddenly they're telling you it's 10 percent.
[01:10:14.531 --> 01:10:17.033]  If you have bad credit, they're going, it's no longer 18, it's 29.
[01:10:17.113 --> 01:10:19.475]  This is loan sharking.
[01:10:20.236 --> 01:10:21.037]  Mafia level.
[01:10:22.765 --> 01:10:23.386]  So, they do.
[01:10:23.406 --> 01:10:28.476]  They give the banks these trillions, and then they go out and loan it to people at giant interest.
[01:10:28.797 --> 01:10:31.041]  See, the interest rate cuts aren't for us, it's for the elites.
[01:10:32.677 --> 01:10:34.618]  And then he talks about how they're getting tough on CEOs.
[01:10:34.658 --> 01:10:39.322]  These guys, a few of them have retired, in one case with billion-dollar golden parachutes.
[01:10:39.502 --> 01:10:42.104]  Others, you know, their deputies just roll into the place behind them.
[01:10:42.124 --> 01:10:43.005]  They're still on the board.
[01:10:43.685 --> 01:10:45.567]  So they're raping everybody financially there.
[01:10:46.127 --> 01:10:47.968]  And this is the culprit, Ben Bernanke.
[01:10:48.188 --> 01:10:49.730]  But that's how he needs to be talked to.
[01:10:49.930 --> 01:10:53.592]  When he starts lying, Sanders cut him off and said, hey, that's not what's going on!
[01:10:53.933 --> 01:11:00.858]  And Bernanke had to back off and basically admit he was a liar there because he was faced with someone that wasn't completely ignorant.
[01:11:01.258 --> 01:11:05.805]  I bet Sanders doesn't know about the Dallas Cowboys, but Senator Sanders knows how the banks work.
[01:11:06.847 --> 01:11:11.954]  I bet Senator Sanders doesn't know the coolest new t-shirt to wear, but he knows about the banks.
[01:11:13.328 --> 01:11:15.349]  And successful people know how the world works.
[01:11:15.749 --> 01:11:20.271]  Even if you don't care about your fellow man, you better care how stuff works.
[01:11:20.311 --> 01:11:23.813]  You better want to know how things operate, ladies and gentlemen.
[01:11:24.534 --> 01:11:26.775]  The world isn't all patty-cake, nice, friendly.
[01:11:26.815 --> 01:11:27.755]  It's very dangerous.
[01:11:27.875 --> 01:11:32.017]  There's a lot of hardcore parasites in the elite ranks at the low-level ranks.
[01:11:32.417 --> 01:11:37.040]  There's people out here in daily business that'll rip you off in ten seconds, that'll scam you in one second.
[01:11:38.083 --> 01:11:41.825]  There's a million people out here that'll knock you over the head or shoot you full of holes for $100.
[01:11:42.926 --> 01:11:45.588]  There's people out here that'll get you and kill you just for fun.
[01:11:45.748 --> 01:11:47.629]  There's people out there that'll screw you to the wall.
[01:11:47.889 --> 01:11:49.050]  Stop being denied.
[01:11:49.070 --> 01:11:50.891]  You know, stop living in denial.
[01:11:50.931 --> 01:11:54.053]  Stop being a little mindless, gullible sheep out there.
[01:11:54.633 --> 01:11:56.374]  And start acting like Sanders did.
[01:11:56.894 --> 01:12:01.017]  Just let these crooks know you don't respect them, they're filth, and they're going to be brought to justice.
[01:12:01.797 --> 01:12:03.578]  We need jail time for these people.
[01:12:03.859 --> 01:12:05.900]  Prison is the only place they need to go.
[01:12:07.355 --> 01:12:11.638]  Hello, this is Peter Kronschnabel from Midas Resources, and I'd like to share some thoughts with you.
[01:12:11.958 --> 01:12:23.845]  In today's economy, with the government spending gone wild, the banking system on the verge of collapse, and Wall Street in continuous freefall, we both know that it is critical that you protect your savings and retirement programs now.
[01:12:24.286 --> 01:12:29.309]  Macroeconomics can be very confusing, but the solution to securing your personal assets is very simple.
[01:12:29.889 --> 01:12:31.330]  It's purchase of gold and silver.
[01:12:31.869 --> 01:12:37.895]  These precious metals have been the trusted means of exchange for centuries, and they've never been more important in our country's history.
[01:12:38.535 --> 01:12:42.319]  It's up to you to design your survival plan, one based on gold and silver.
[01:12:42.859 --> 01:12:43.580]  Give me a call.
[01:12:43.640 --> 01:12:47.063]  I'm Peter Kronschnabel at 800-686-2237, extension 108, and allow me to outline an easy answer to your questions.
[01:12:52.386 --> 01:12:54.007]  That's Peter Kranschnabel at 1-800-686-2237, extension 108.
[01:12:54.047 --> 01:12:58.411]  Call Peter at 1-800-686-2237, extension 108, where you can still purchase gold with paper.
[01:13:07.439 --> 01:13:14.989]  Do you like being a puppet, sir?
[01:13:15.009 --> 01:13:16.611]  Do you like being a puppet for the New World Order?
[01:13:16.711 --> 01:13:19.535]  How do the American people know that 9-11 was a stage?
[01:13:19.575 --> 01:13:24.541]  Was it engineered by you, David Rockefeller, the Trilateral Commission, the CFR, the UNICEF?
[01:13:32.865 --> 01:13:37.793]  Seven years after the attacks of September 11th, a global awakening has taken place.
[01:13:39.015 --> 01:13:40.116]  An inside job.
[01:13:41.537 --> 01:13:42.578]  How dare you?
[01:13:43.959 --> 01:13:49.022]  If you know that there's treason going on, you can be held accountable for treason yourself.
[01:13:49.042 --> 01:13:51.663]  All hell is breaking loose on 6th Avenue.
[01:13:51.743 --> 01:13:58.127]  And if the government has not told the truth in five years, we will be here on the 10th anniversary of... Truth Rising.
[01:13:58.147 --> 01:14:00.989]  Download the film at PrisonPlanet.tv right now.
[01:14:01.249 --> 01:14:03.250]  Or get the DVD at Infowars.com.
[01:14:03.510 --> 01:14:05.972]  It's now time to take the revolution to the next level.
[01:14:06.702 --> 01:14:11.003]  Rough roads might be ahead for the economy, but your vehicle doesn't have to experience them.
[01:14:11.283 --> 01:14:13.864]  Can't afford a new vehicle or even an expensive repair?
[01:14:14.144 --> 01:14:20.726]  Now you can take care of your vehicle with Protecta Engine Oil Booster by SFR, which is a fully synthetic oil booster.
[01:14:20.926 --> 01:14:24.687]  Protecta Engine Oil Booster fortifies your motor oil to help your engine last longer.
