[00:00:19.507 --> 00:00:21.928]  43 days left.
[01:46:30.033 --> 01:46:31.254]  0.01% harmful if swallowed.
[01:46:31.394 --> 01:46:32.555]  They put that in the water.
[01:46:32.575 --> 01:46:33.936]  Yep, that's if you love the kids, though.
[01:46:33.956 --> 01:46:35.717]  Hey, I'm not telling you how to spend your money.
[01:46:35.737 --> 01:46:36.138]  Yeah, you know what?
[01:46:36.158 --> 01:46:36.378]  Good point.
[01:46:36.398 --> 01:46:38.539]  If you don't love your kids, just keep giving them the fluoride.
[01:46:38.559 --> 01:46:39.060]  Yeah, that's fine.
[01:46:40.661 --> 01:46:46.404]  No matter what the globalists want to do, no matter what politicians want to do, this country is going to make it!
[01:46:48.986 --> 01:46:51.607]  You're listening to the Alex Jones Show.
[01:47:07.762 --> 01:47:17.326]  When I was summoned from Montgomery, I had my guitar on my back, when a stranger stopped beside me in an antique Cadillac.
[01:47:18.467 --> 01:47:23.269]  He was dressed like 1950, half drunk and hollow-eyed.
[01:47:24.022 --> 01:47:28.404]  He said it's a long walk to Nashville, would you like to ride?
[01:47:28.784 --> 01:47:30.925]  Waging war on corruption.
[01:47:31.445 --> 01:47:36.187]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[01:47:39.586 --> 01:47:49.869]  I'm going to write your phone calls for this segment and the next.
[01:47:49.909 --> 01:47:54.350]  We'll continue with phone calls when Mike Adams joins us with the most important information we could possibly cover.
[01:47:54.790 --> 01:47:56.531]  So please, please stay with us.
[01:47:57.745 --> 01:48:01.891]  Because I'm sacrificing my name, my family, my treasure for all this because I believe in you.
[01:48:02.111 --> 01:48:07.819]  And we've seen things begin to turn around, but we're in the middle of the fight now and we need your support more than ever.
[01:48:07.839 --> 01:48:08.319]  So thank you.
[01:48:09.622 --> 01:48:10.782]  And so do our local stations.
[01:48:10.802 --> 01:48:16.623]  You just don't know how important it is to call and thank those program directors, and call and thank those sponsors, or if you're a business, become a sponsor.
[01:48:17.023 --> 01:48:19.624]  Now's the time to get your skin in the game, or never do it.
[01:48:20.024 --> 01:48:27.145]  Because they're coming for your family, they're coming for your freedom, they're coming for your wallet, they're coming for your religious freedom, they're coming for everything.
[01:48:27.725 --> 01:48:30.246]  And I want to just say this here, before I go to the calls, and I'm going to them.
[01:48:32.726 --> 01:48:37.567]  The globalists make these jokes, and they go, look, Jones is getting defeated, Jones is getting banned.
[01:48:38.655 --> 01:48:41.056]  You're the ones engaged in un-American activities, not me.
[01:48:41.116 --> 01:48:42.857]  You're the pathetic authoritarians, not me.
[01:48:44.097 --> 01:48:46.779]  Oh, look, Jones, PayPal's banning him in 10 business days.
[01:48:46.799 --> 01:48:47.379]  That was Friday.
[01:48:49.120 --> 01:48:50.480]  Oh, Jones will go bankrupt now.
[01:48:50.540 --> 01:48:51.741]  We'll kick him off the air.
[01:48:52.941 --> 01:49:02.185]  You don't think in this marathon over 20-something years, 24 years on air, that a big part of me doesn't want to get knocked out of the game?
[01:49:02.205 --> 01:49:05.767]  It's like I've been in overtime for 10 years.
[01:49:07.179 --> 01:49:08.940]  But my spirit doesn't want to lose.
[01:49:09.961 --> 01:49:13.323]  So nothing they do to me does anything to me.
[01:49:14.203 --> 01:49:15.984]  It's not like I'm doing this for money or whatever.
[01:49:16.044 --> 01:49:19.126]  I'm doing it because they're bad people and have to be opposed.
[01:49:20.607 --> 01:49:35.796]  So if you support us, if you spread the word about the broadcast, if stations pick us up, if we're able to countervail this horrible cancer that's come to America of globalism and liberalism, of this leftist ideology, then great!
[01:49:38.612 --> 01:49:43.913]  But if I get destroyed in the process of doing what's right, that's what you gotta do to be close to God.
[01:49:46.974 --> 01:49:52.456]  And that's not some goody-two-shoes Pharisees-type statement, oh, I'm so great, I'm so good.
[01:49:52.496 --> 01:49:58.478]  It means I can't be with the devil-worshipping pedophiles of Hollywood and the mass-murdering shycombs.
[01:49:58.538 --> 01:50:06.840]  I mean, these people have got so much evil under their belt that my spirit recoils.
[01:50:07.952 --> 01:50:11.594]  And when you recoil from the evil, you fight globalism.
[01:50:12.975 --> 01:50:14.936]  See, the recoiling is the resistance.
[01:50:16.397 --> 01:50:16.998]  That's all it is.
[01:50:17.058 --> 01:50:19.519]  It's like somebody walks in and goes, we got dinner for you.
[01:50:19.539 --> 01:50:22.521]  And they pull out a rotten dead dog and put it on the table and it stinks.
[01:50:22.561 --> 01:50:24.783]  And it's got, you're like, I'm not going to eat that.
[01:50:25.163 --> 01:50:26.264]  I don't even want to fight him.
[01:50:26.304 --> 01:50:27.865]  He's go, eat it, eat it, eat it.
[01:50:29.186 --> 01:50:30.386]  That's what I feel like spiritually.
[01:50:30.406 --> 01:50:31.067]  It's like vomiting.
[01:50:32.302 --> 01:50:37.746]  Only the last few months, when I think about the globalists, or I see something they've done that's bad, I'll actually, I've never had in my whole life, I go vomit.
[01:50:38.707 --> 01:50:40.288]  I actually, this has happened lately.
[01:50:40.308 --> 01:50:46.492]  Pat Riley was training me, lifting weights, just like a couple weeks ago.
[01:50:47.353 --> 01:50:52.977]  I'm not in great shape, I was working out, or it wasn't that I was tired, and Hillary was on screen and saying something, and I literally started to throw up.
[01:50:54.673 --> 01:51:01.277]  Because it's just my body saying, get her out, get her away, get her away, get her away, get her away.
[01:51:01.657 --> 01:51:03.098]  So that's how I describe it.
[01:51:03.138 --> 01:51:14.405]  It's like you go, you're chained up, and they're like, we're going to feed you more, we're going to give you poison vaccines, we're going to give you GMO, we're going to give you world government, we're going to tell your young son he's a girl and your daughter she's a boy.
[01:51:14.785 --> 01:51:16.947]  And it's like, you're a bunch of pervert criminals!
[01:51:17.207 --> 01:51:19.188]  Look how far you've already gotten away with it!
[01:51:19.288 --> 01:51:20.089]  What the hell!
[01:51:22.090 --> 01:51:23.471]  You think I'm worried about being banned?
[01:51:23.491 --> 01:51:25.792]  You think I'm worried about being demonized?
[01:51:25.992 --> 01:51:27.493]  No, I'm worried about them winning.
[01:51:28.333 --> 01:51:42.000]  But what's sad is to be banned off all these platforms, and then to watch mainstream media attack me, mainstream media lie about me, and then to watch it affect good people, and then to watch them get the so-called liberty movement.
[01:51:42.180 --> 01:51:46.882]  Because if you talk bad about Alex Jones on Facebook or Twitter or YouTube, why suddenly nothing gets banned?
[01:51:46.922 --> 01:51:47.923]  Why you get promoted?
[01:51:47.943 --> 01:51:51.665]  You were nobody before, but now you're somebody.
[01:51:53.203 --> 01:51:59.248]  To watch the weird ego of these people get manipulated is frightening.
[01:52:01.454 --> 01:52:04.496]  So I'm doing this because it's the right thing and I'm proud of what I've done.
[01:52:04.916 --> 01:52:07.398]  But they're coming at us because we do know how to beat them.
[01:52:07.918 --> 01:52:08.839]  We do have their number.
[01:52:09.579 --> 01:52:15.283]  So I'm just trying to point out again, we talk about COG and martial law and overthrowing the president.
[01:52:15.303 --> 01:52:16.564]  Remember, you heard all that here first.
[01:52:16.884 --> 01:52:17.905]  It's all over the news now.
[01:52:18.285 --> 01:52:19.526]  That's why we're banned.
[01:52:19.946 --> 01:52:24.049]  They don't want us to tell you the next step and the next step as we watch them.
[01:52:28.319 --> 01:52:34.524]  Why, frankly, Infowars and our whole crew and our guests and everything we do is a national asset.
[01:52:35.604 --> 01:52:36.585]  And it's a human asset.
[01:52:37.746 --> 01:52:38.446]  We are pro-human.
[01:52:39.307 --> 01:52:40.088]  We believe in humanity.
[01:52:42.289 --> 01:52:50.435]  And they know that if you have the choice of picking humanity and a human future versus a globalist, transhumanist robot future, you'll pick humanity.
[01:52:50.795 --> 01:52:55.739]  So they just want to remove us from the marketplace because they know you want what we're doing.
[01:52:58.234 --> 01:53:10.222]  There's so many losers that want to feel like they're winners, that they will then attack InfoWars or do that because they think finally they're being accepted, finally they're part of the power structure.
[01:53:10.282 --> 01:53:11.803]  No, you're losing your soul.
[01:53:12.544 --> 01:53:17.947]  And I mourn for you, not that you lie about me and attack me, but that you've made the wrong decision.
[01:53:23.131 --> 01:53:24.252]  All right, let's go to your phone calls.
[01:53:24.292 --> 01:53:27.114]  We got Jessica and Miles and Mark and Matthew and Eric.
[01:53:28.508 --> 01:53:32.731]  Anne and David and Duncan and Eddie and Kamal and David.
[01:53:32.751 --> 01:53:34.031]  Who's been holding the longest here?
[01:53:35.052 --> 01:53:35.752]  Is it Anne?
[01:53:37.173 --> 01:53:38.274]  Is it Jessica?
[01:53:40.075 --> 01:53:41.816]  We'll go to Jessica and then Anne first.
[01:53:42.276 --> 01:53:43.517]  So we'll go to Jessica in Florida.
[01:53:43.537 --> 01:53:44.478]  Jessica, thanks for calling.
[01:53:44.518 --> 01:53:44.838]  Go ahead.
[01:53:46.679 --> 01:53:47.699]  Hey, thanks for having me.
[01:53:47.980 --> 01:53:48.680]  Thank you for calling.
[01:53:48.840 --> 01:53:49.160]  Welcome.
[01:53:50.741 --> 01:53:51.001]  Thanks.
[01:53:51.041 --> 01:53:55.224]  You know, I was calling because I have encountered a lot of
[01:53:55.936 --> 01:53:57.917]  Political propaganda in my daughter's school.
[01:53:58.097 --> 01:53:59.678]  And she's in a charter school down here.
[01:53:59.718 --> 01:54:07.902]  It's only about 100 kids in K-8, and they are plugging Times for Kids and Scholastic.
[01:54:08.603 --> 01:54:11.304]  And these articles are over the top.
[01:54:11.364 --> 01:54:13.966]  I mean, we're talking gun control with Emma Gonzalez in there.
[01:54:14.346 --> 01:54:22.630]  We're talking even the principal's husband I'm friends with on Facebook, and he posts things about support for the DSA.
[01:54:24.346 --> 01:54:25.287]  It blows me away.
[01:54:25.347 --> 01:54:33.673]  We actually just lost our math teacher for 7th and 8th grade so that we could pay for a security officer because the state of Florida is now requiring that.
[01:54:34.694 --> 01:54:45.542]  And it just blows me away that the propaganda that's in classes, it's really where the censorship starts, is to train these kids in the way that they think so that as they become college students,
[01:54:46.198 --> 01:54:50.304]  Or, you know, further along, that they've already been brainwashed to think that way.
[01:54:50.565 --> 01:54:57.655]  Oh, the social engineers, the leftists are making their move, and Austin next year.
[01:54:58.852 --> 01:55:02.494]  Is going to tell boys and girls, don't say boys and girls, that's a new dirty word.
[01:55:02.554 --> 01:55:09.219]  Imagine in a science fiction book, in 2018, in Texas, you can't say boy or girls in elementary.
[01:55:09.259 --> 01:55:14.082]  They are literally going to screw over kids, that I'm a girl, I'm a boy, I'm bad.
[01:55:14.802 --> 01:55:24.989]  The child abuse, the sexual abuse, the pervertedness of it, and we just, but we just, oh we're liberal, we're gonna do what you say, and it's all a scientific program,
[01:55:26.380 --> 01:55:27.641]  To take over society.
[01:55:27.741 --> 01:55:33.987]  I've been told, don't criticize transhumanism, don't criticize open borders, don't criticize Islam.
[01:55:34.207 --> 01:55:35.288]  Because that's globalism.
[01:55:35.708 --> 01:55:36.409]  And that's their plan.
[01:55:37.269 --> 01:55:39.051]  The sexualization is another thing.
[01:55:39.071 --> 01:55:42.914]  They are now, strongly this year, implementing their dress code.
[01:55:43.215 --> 01:55:48.159]  So I have my 12-year-old coming home telling me, oh, you know, I got in trouble because my shorts are too short.
[01:55:48.439 --> 01:55:49.020]  We're 12!
[01:55:49.760 --> 01:55:51.902]  You know, and who, why are our girls
[01:55:54.080 --> 01:56:01.728]  That's the pervertedness of the school.
[01:56:02.308 --> 01:56:09.235]  They take all of our Christian inclinations and twist them to then make children feel dirty when they're 10 or 11 years old.
[01:56:09.275 --> 01:56:09.656]  Exactly.
[01:56:09.676 --> 01:56:11.097]  And it's all... Let me tell you something.
[01:56:11.838 --> 01:56:17.845]  Public schools have a lot of good people and everything else, but a good portion, a large minority, are perverts.
[01:56:18.486 --> 01:56:21.530]  And the religion of government and the left is pedophilia.
[01:56:22.150 --> 01:56:27.296]  And so that's how they get it going, is they want to tell your kids about what sex they are.
[01:56:27.336 --> 01:56:28.878]  They want to tell your kids they're perverts.
[01:56:29.239 --> 01:56:31.181]  They want to push Prozac and Ritalin on your kids.
[01:56:32.222 --> 01:56:34.984]  To vampirically F your kids over.
[01:56:35.404 --> 01:56:41.527]  That's their, they get power and currency from their force by hurting children.
[01:56:41.547 --> 01:56:41.988]  Is that clear?
[01:56:44.189 --> 01:56:45.129]  I absolutely agree.
[01:56:45.209 --> 01:56:48.831]  And they're the only ones, it's the adults that are planting the spot in these kids.
[01:56:49.732 --> 01:56:51.233]  Oh, oh, oh, oh, oh, oh, ma'am.
[01:56:51.413 --> 01:56:52.874]  They started death education in 2000.
[01:56:52.914 --> 01:56:54.014]  By 2003 even, even ABC
[01:56:57.928 --> 01:57:02.477]  2020 did a special, it was 2020 ABC, that tripled suicides.
[01:57:02.877 --> 01:57:09.109]  You start teaching kids, don't take your shoelace and put it around your neck and hang it in the stall, and all of a sudden little girls went and did it!
[01:57:10.598 --> 01:57:16.060]  Right, yeah, well it's just like the war on drugs, you know, or bullying, you know, bullying awareness in schools.
[01:57:16.341 --> 01:57:21.203]  Why are we not focusing on the positive opposite, about building friendships, building kindness?
[01:57:21.283 --> 01:57:26.605]  Oh, most public schools don't let you play dodgeball or tag or even shake hands or hug people, exactly, no.
[01:57:27.065 --> 01:57:35.089]  It's psychological warfare, preying on your children and hiring the very, all these women accusing Kavanaugh are psychologists.
[01:57:35.910 --> 01:57:37.032]  God bless you, Jessica.
[01:57:37.112 --> 01:57:39.317]  Listen, your children will rebel against it.
[01:57:39.437 --> 01:57:42.724]  Generation Z is totally waking up, but just let them know the truth.
[01:57:42.764 --> 01:57:44.568]  They trust you, their mother, not them.
[01:57:46.354 --> 01:57:49.395]  Right now is Massive Rampage Force!
[01:57:49.455 --> 01:57:49.915]  Go ahead.
[01:57:50.155 --> 01:57:55.716]  Alex, last night I was on with Laura Ingram and I had done the Alex Jones Show yesterday.
[01:57:55.937 --> 01:57:57.037]  I'd done The War Room.
[01:57:57.337 --> 01:57:59.778]  She's not on until 9.40 Central.
[01:57:59.798 --> 01:58:01.358]  That's 10.40 Eastern.
[01:58:01.398 --> 01:58:02.038]  I was exhausted.
[01:58:02.358 --> 01:58:05.619]  I popped two Brain Force Plus and I was good as new.
[01:58:05.959 --> 01:58:10.620]  I mean, it really is mentally stabilized, mentally energizing.
[01:58:10.680 --> 01:58:12.661]  Tonight, I'm on with Tucker Carlson.
[01:58:13.081 --> 01:58:13.521]  Same thing.
[01:58:13.622 --> 01:58:15.523]  I'm going to put in a full day here at InfoWars.
[01:58:15.623 --> 01:58:16.864]  I'm going to go on the Tucker tonight.
[01:58:17.024 --> 01:58:19.105]  Thank goodness for this great product.
[01:58:19.125 --> 01:58:24.709]  This is my all-time favorite because it's so effective and it doesn't give you that jacked-up energy drink feeling.
[01:58:24.809 --> 01:58:26.270]  You know, you can sleep with it.
[01:58:26.570 --> 01:58:30.893]  And when you stack it with the Red Pill, the mind-body combination, that is the best.
[01:58:30.933 --> 01:58:33.735]  That supercharges your energy, your vitality.
[01:58:33.895 --> 01:58:35.596]  This is the best combination I've found.
[01:58:35.716 --> 01:58:36.417]  It really works.
[01:58:36.637 --> 01:58:41.240]  It's the best mineral-vitamin combination I have found and I've tried them all.
[01:58:41.600 --> 01:58:42.841]  I wasted a lot of money at Whole Foods.
[01:58:42.961 --> 01:58:49.026]  Boots, believe me.
[01:58:50.387 --> 01:58:55.532]  Hey guys, my name is Savannah Hernandez, and if you're always on the go like me, then you're not always tied to your computer TV.
[01:58:55.892 --> 01:58:57.994]  So we just released our free InfoWars official app.
[01:58:59.958 --> 01:59:08.941]  The InfoWars official app includes all of our live broadcasts like War Room with Owen Troyer, Real News with David Knight, and the holy grail of podcasting radio, the Alex Jones Show.
[01:59:09.281 --> 01:59:15.504]  And the best part about the InfoWars official app is that every single time we go live, you get notifications so that you never miss a beat.
[01:59:16.024 --> 01:59:20.825]  So whether you're in the car or on a run, this app makes it easy to keep the InfoWars right in your pocket.
[01:59:21.266 --> 01:59:22.186]  So what are you waiting for?
[01:59:22.606 --> 01:59:24.687]  That's so fast, InfoWars.
[01:59:25.047 --> 01:59:27.848]  Apple banned your app.
[01:59:28.208 --> 01:59:31.009]  I helped, too!
[01:59:31.229 --> 01:59:32.249]  Oh, Oliver.
[01:59:33.009 --> 01:59:38.331]  I hate free speech, too!
[01:59:38.471 --> 01:59:40.231]  We hate free speech!
[01:59:40.391 --> 01:59:42.052]  We hate free speech!
[01:59:42.112 --> 01:59:43.812]  We hate free speech!
[01:59:43.952 --> 01:59:45.633]  We hate free speech!
[01:59:49.394 --> 01:59:51.116]  You are receiving this transmission.
[01:59:51.577 --> 01:59:53.319]  You are the resistance.
[01:59:53.479 --> 01:59:55.903]  He's going the distance!
[01:59:58.005 --> 01:59:59.427]  He's going for speed!
[02:00:17.651 --> 02:00:20.620]  Crashing through the lies and disinformation.
[02:00:21.242 --> 02:00:22.566]  It's Alex Jones.
[02:00:31.513 --> 02:00:34.415]  Alright, let's go back to your phone calls now.
[02:00:34.496 --> 02:00:37.078]  Let's go ahead and talk to Ann in California.
[02:00:37.218 --> 02:00:39.760]  Ann, thanks for calling in on this Monday edition.
[02:00:39.780 --> 02:00:40.240]  Thank you.
[02:01:00.748 --> 02:01:02.169]  Yeah, hi Alex, can you hear me?
[02:01:02.329 --> 02:01:03.190]  I can, thanks for calling.
[02:01:04.071 --> 02:01:05.272]  Thanks for taking my call.
[02:01:05.332 --> 02:01:08.635]  I'm not only in California, I'm in San Francisco, California.
[02:01:08.695 --> 02:01:14.441]  Wow, so you're in the big tech censorship, pro-China, pro-communism command base.
[02:01:15.382 --> 02:01:20.066]  That's right, and I own a house cleaning company, a high-end house cleaning company.
[02:01:20.867 --> 02:01:26.512]  And the interesting thing is, is that I've been into every one of these, like, techies.
[02:01:27.299 --> 02:01:27.639]  Home.
[02:01:28.259 --> 02:01:31.141]  And I have their keys as well, but that's beside the point.
[02:01:31.541 --> 02:01:34.082]  I just wanted one... No, no, I'd love to hear that off record.
[02:01:34.822 --> 02:01:36.183]  Um... No, it's interesting.
[02:01:36.323 --> 02:01:37.103]  It's interesting.
[02:01:37.363 --> 02:01:38.024]  It's interesting.
[02:01:38.084 --> 02:01:38.944]  You got plenty of time.
[02:01:39.004 --> 02:01:50.809]  I mean, you called in about Infowars Army and, and, and Band and all the rest of it, but from what I know about these big tech heads, the little liberal fake front of a wimpy guy is a camouflage for something very predatory.
[02:01:52.794 --> 02:01:53.635]  It is, it is.
[02:01:53.755 --> 02:01:59.339]  I actually have the account to clean, like Facebook has a corporate suite in the Infinity Tower.
[02:01:59.359 --> 02:02:03.282]  And I go, when they entertain people, I have that cleaning account.
[02:02:03.903 --> 02:02:16.713]  So by me stepping up, and let me just thank you for red-pilling me, because I was a crazy-ass liberal until I heard Alex Jones and your show, and David Knight and Owen Schroer.
[02:02:17.193 --> 02:02:20.396]  But the first and most pertinent thing is that I
[02:02:22.197 --> 02:02:24.339]  I have done nothing, like, publicly.
[02:02:24.819 --> 02:02:26.460]  My Twitter account is shut down.
[02:02:27.181 --> 02:02:29.243]  I want to be part of the InfoWars army.
[02:02:29.263 --> 02:02:31.724]  I was one of the first responders.
[02:02:32.045 --> 02:02:38.710]  And Owen Schroyer says, to hook up with other people, go on Twitter and find someone in your area.
[02:02:39.110 --> 02:02:49.298]  I want one other conservative, just one other person who's willing to take... I'm also an artist, so I've created some political pieces.
[02:02:50.078 --> 02:02:54.521]  To go and go with me, just one person in the Bay Area.
[02:02:54.761 --> 02:03:11.852]  Well that's why they want to use social media control is not let us get together to show I don't want to get you in trouble and you kind of mentioned a lot of what the work you're doing they may come after you but I don't want you to get the specifics it's just how can people you know they're trying to block email or how can people you know get a hold of you if they want to come do something with you?
[02:03:12.461 --> 02:03:14.262]  Well, OK, I went on.
[02:03:15.383 --> 02:03:17.684]  I just think that this is a very important point.
[02:03:17.804 --> 02:03:21.806]  I'm going to lose my business, but I have a little rental income and that's fine.
[02:03:22.787 --> 02:03:24.427]  You've stepped up to the plate.
[02:03:24.948 --> 02:03:26.108]  But it's not just you.
[02:03:26.188 --> 02:03:35.713]  It's it's patriotism, patriots throughout history who have literally laid their life down in order for us to have these freedoms.
[02:03:36.354 --> 02:03:36.554]  Now,
[02:03:37.868 --> 02:03:46.333]  Some of, I think, the most active individuals are going to be the people like myself, who were very, very liberal, and then get red-pilled.
[02:03:46.733 --> 02:03:48.054]  And I want to be clear.
[02:03:48.094 --> 02:03:50.736]  I think it's because you're still liberal, you're not a leftist.
[02:03:51.076 --> 02:03:51.916]  I keep saying liberal.
[02:03:51.936 --> 02:03:53.317]  There's liberal and there's leftists.
[02:03:53.337 --> 02:03:54.498]  The leftists are not liberals.
[02:03:54.818 --> 02:03:56.959]  So I keep using the term liberal should be leftist.
[02:03:57.039 --> 02:03:57.840]  I'm the one that's at fault.
[02:03:58.060 --> 02:04:01.682]  Have you seen PragerU's breakdown of liberal versus leftist?
[02:04:03.126 --> 02:04:06.495]  I haven't, but I... Well, it's liberals that built this country.
[02:04:06.916 --> 02:04:09.243]  It's not leftists, and that's how they've confused it.
[02:04:09.443 --> 02:04:11.007]  So I'm not correcting you, I'm correcting myself.
[02:04:12.188 --> 02:04:15.170]  Okay, well, I was a leftist, extreme leftist.
[02:04:15.250 --> 02:04:22.094]  My daughter, who's a major Bay Area social justice warrior, said she'd never talk to me again if I voted for Trump.
[02:04:22.734 --> 02:04:25.636]  So, yeah, there's things to lose here.
[02:04:25.676 --> 02:04:26.616]  I got to hear this then.
[02:04:26.636 --> 02:04:27.597]  I want to hear about your daughter.
[02:04:27.617 --> 02:04:28.657]  I want to talk to you more.
[02:04:28.957 --> 02:04:29.778]  We got to take more calls.
[02:04:29.798 --> 02:04:30.698]  The callers are amazing.
[02:04:31.419 --> 02:04:31.799]  Anne, stay there.
[02:04:31.819 --> 02:04:33.400]  I'm going to come right back to you in 60 seconds.
[02:04:33.420 --> 02:04:34.821]  Then we're going to go to George, David, everybody.
[02:04:35.521 --> 02:04:45.448]  And then, Mike Adams is coming in this hour, into the next hour, with Matt Bracken, and I want to get his take on this, but we're already under martial law for the Stay Behind Network.
[02:04:45.568 --> 02:04:51.192]  I don't want martial law, but how does Trump stop a deep state that's already launched a civil emergency?
[02:04:51.473 --> 02:04:52.874]  We'll talk about it all straight ahead.
[02:04:52.994 --> 02:04:54.515]  This is critical.
[02:04:56.553 --> 02:05:02.557]  The scientists at Infowars Life have created a powerful formula for inflammatory support and joint support.
[02:05:02.917 --> 02:05:05.539]  Discover the power of ancient medicine with Bades.
[02:05:06.139 --> 02:05:09.581]  Bades contains one of the most potent forms of turmeric available.
[02:05:09.841 --> 02:05:14.124]  Turmeric has been used for thousands of years and is one of the most studied herbals today.
[02:05:14.544 --> 02:05:17.787]  It is well known in traditional medicine for its soothing properties.
[02:05:18.707 --> 02:05:28.932]  Our pure turmeric extract plus piperine from Black Pepper makes for optimal absorption to help boost and support your flexibility, mobility, joint function, immune system, and so much more.
[02:05:29.693 --> 02:05:38.237]  Regular turmeric root from the store only contains 1-5% of active ingredients, but our turmeric root extract contains over 95% of the active ingredients.
[02:05:39.878 --> 02:05:48.405]  Bodies combines turmeric with organic herbs such as spearmint, sage, lemon balm, and thyme to work synergistically for full body support.
[02:05:48.925 --> 02:05:53.348]  Try Bodies today at InfoWarsLife.com or call us at 1-888-253-3139.
[02:05:53.989 --> 02:06:07.659]  Live from the InfoWars.com studios, it's Alex Jones.
[02:06:09.019 --> 02:06:18.057]  You keep saying you've got something for me Something you call love, but confess
[02:06:22.317 --> 02:06:31.704]  Alright, coming up next segment, Mike Adams has said emergency report, Trump planning mass arrest, military tribunals for deep state traders.
[02:06:32.485 --> 02:06:36.288]  It's not that we brought us to that point, that's, they're trying to overthrow the government.
[02:06:36.708 --> 02:06:48.178]  So how do you respond to, these aren't like regular bank robbers or regular child molesters, these are people in the FBI, in the CIA, in the Congress, in the media, that are planning total insurrection.
[02:06:48.218 --> 02:06:49.059]  So how do you counter that?
[02:06:49.881 --> 02:06:51.041]  I'm an expert on martial law.
[02:06:53.162 --> 02:06:54.222]  Clinton was trying to gear it up.
[02:06:54.242 --> 02:06:58.863]  I learned about it from federal employees and people, so that's why I was worried about it.
[02:06:59.263 --> 02:07:01.983]  People go, oh God, Jones used to be against martial law, now he loves it.
[02:07:02.044 --> 02:07:02.464]  No, I don't.
[02:07:03.004 --> 02:07:04.004]  Obama put us under it.
[02:07:04.784 --> 02:07:05.704]  It's coming up next segment.
[02:07:06.064 --> 02:07:12.106]  Anne, in California, you were saying that you work in and around Silicon Valley and see these people.
[02:07:12.126 --> 02:07:13.526]  You're talking about your daughters at SJW.
[02:07:14.977 --> 02:07:19.502]  And that she'd never talk to you again if she knew that you were going to vote for Trump since you recently woke up.
[02:07:20.062 --> 02:07:21.744]  Does she know what's going on?
[02:07:21.764 --> 02:07:24.387]  Because I mean, Trump's a classical liberal, not a leftist.
[02:07:24.868 --> 02:07:27.270]  Trump's all about freedom and openness and largesse.
[02:07:27.771 --> 02:07:31.395]  I mean, does she know that you've taken the red pill?
[02:07:32.436 --> 02:07:32.616]  Nope.
[02:07:35.053 --> 02:07:35.654]  Nobody does.
[02:07:36.255 --> 02:07:36.916]  Nobody does.
[02:07:37.236 --> 02:07:39.379]  But I'm ready to come out of the closet.
[02:07:40.020 --> 02:07:42.884]  I'm ready, like I said, I have some rental income.
[02:07:43.004 --> 02:07:46.969]  I'm ready to forfeit my, it's called Hannah's High End House Cleaning.
[02:07:46.989 --> 02:07:47.029]  Ah!
[02:07:47.610 --> 02:07:49.413]  Oh ma'am, I'm not gonna get you in trouble.
[02:07:49.833 --> 02:07:51.334]  We're going to delete that, delay that.
[02:08:21.937 --> 02:08:23.961]  Well, it is as bad as you say.
[02:08:24.041 --> 02:08:27.948]  My daughter, she lives in Oakland, California, and Oakland is a whole lot worse.
[02:08:28.698 --> 02:08:43.870]  San Francisco's recently, the hotels have stomped on the homeless, so they forced the politicians to move the homeless out of the main tourist area.
[02:08:44.311 --> 02:08:53.238]  But Alex, I was in Union Square in San Francisco, which is a major tourist destination, and I was ready to get on our subway BART.
[02:08:54.348 --> 02:08:58.931]  And there was a person just shooting up a hypodermic needle.
[02:08:59.651 --> 02:09:05.554]  And the police officer, I just witnessed the police officer say, OK, buddy, move it along, move it along.
[02:09:05.915 --> 02:09:06.755]  You know, not here.
[02:09:07.195 --> 02:09:09.757]  But there was no arrest or whatever.
[02:09:10.017 --> 02:09:13.659]  And, you know, probably they're opening up safe injection sites.
[02:09:16.181 --> 02:09:21.945]  Leftist cities are vampiric centers for pedophilia, heroin addicts, just death.
[02:09:22.506 --> 02:09:28.170]  And they're leftist areas to feed on all this and then use all the social service money.
[02:09:29.130 --> 02:09:30.371]  To make the politicians rich.
[02:09:30.932 --> 02:09:32.453]  And, God bless you, I appreciate your call.
[02:09:32.513 --> 02:09:35.336]  Go to Infowarsarmy.com, send your email.
[02:09:35.756 --> 02:09:40.881]  All you gotta do is go put up a sign in public, or do something legal and lawful, and we'd love to try to work with you.
[02:09:41.281 --> 02:09:44.904]  I'm planning some prize money, too, because that made people so excited in 2016.
[02:09:45.284 --> 02:09:46.165]  So we'll see what happens.
[02:09:46.205 --> 02:09:47.546]  And I understand your excitement.
[02:09:48.167 --> 02:09:51.310]  But, let's be careful not to dox you.
[02:09:52.486 --> 02:09:57.187]  Because, you know, these folks can really come after you, so there's a power in anonymity.
[02:09:57.667 --> 02:10:00.448]  There's a power in being public, too, but there's a power in anonymity.
[02:10:01.148 --> 02:10:07.710]  Okay, we've got David and Kamal and Eddie and Duncan and David and George and Eric and Matthew and Mark and Miles and Chuck.
[02:10:07.730 --> 02:10:08.730]  Who should we go to next?
[02:10:09.291 --> 02:10:11.511]  Who's been holding the longest here?
[02:10:14.072 --> 02:10:16.392]  I guess that'd be Eddie in Ohio.
[02:10:16.513 --> 02:10:17.253]  Eddie, you're on the air.
[02:10:17.313 --> 02:10:17.613]  Welcome.
