[00:00:20.575 --> 00:00:26.477]  From the front lines!
[02:01:09.916 --> 02:01:10.877]  I like to go on YouTube.
[02:01:10.877 --> 02:01:12.418]  I like to watch machinery.
[02:01:12.418 --> 02:01:18.702]  I like to watch, excuse me, what I'm watching is I'm watching what the engineers have designed
[02:01:19.677 --> 02:01:25.622]  Uh, and engineered and built to be efficient and functional and productive.
[02:01:25.622 --> 02:01:33.448]  Like, like... Okay, then have you gone out and gotten, you know, the models and things and then built your own things or modified them?
[02:01:33.448 --> 02:01:34.329]  I've done some things like that.
[02:01:34.329 --> 02:01:42.455]  Okay, well why don't you then go to like a radio, television, electronics, you know, type schools.
[02:01:42.455 --> 02:01:43.596]  They have those.
[02:01:43.596 --> 02:01:46.358]  Those, a lot of those places actually get you really good jobs.
[02:01:46.358 --> 02:01:47.319]  You'll meet a bunch of people like you.
[02:01:48.556 --> 02:01:50.578]  That's too monotonous.
[02:01:50.578 --> 02:01:52.099]  I like working with people.
[02:01:52.099 --> 02:01:53.580]  Well, no, there are going to be people involved.
[02:01:53.580 --> 02:01:58.924]  That's the whole point.
[02:01:58.924 --> 02:02:02.647]  I don't think I could do engineering in an office all day.
[02:02:02.647 --> 02:02:04.289]  I could do design.
[02:02:04.289 --> 02:02:09.132]  Hey, Pizzeria Chain offers job to 30-year-old New York man evicted by parents.
[02:02:09.132 --> 02:02:10.373]  Can you send me that link?
[02:02:10.373 --> 02:02:12.135]  Because I had someone refer me to that today.
[02:02:12.135 --> 02:02:13.596]  They haven't connected me to her.
[02:02:13.596 --> 02:02:17.339]  That's nice of them to offer you a job, but at the same time,
[02:02:20.225 --> 02:02:31.129]  You don't want a job as somebody doing technical work without the degree in engineering?
[02:02:31.129 --> 02:02:32.629]  Probably not.
[02:02:32.629 --> 02:02:33.050]  It depends.
[02:02:33.050 --> 02:02:36.831]  I mean, it depends what exactly the job description is.
[02:02:36.831 --> 02:02:38.651]  I mean, there's engineers, there's people who design.
[02:02:38.651 --> 02:02:41.072]  Do you have any friends?
[02:02:41.072 --> 02:02:41.973]  Sort of.
[02:02:41.973 --> 02:02:42.493]  Not close friends.
[02:02:42.493 --> 02:02:43.293]  I don't really have any close friends.
[02:02:43.293 --> 02:02:45.774]  You have to get out though.
[02:02:47.168 --> 02:02:48.070]  Of house.
[02:02:48.070 --> 02:02:50.374]  Just you need to go out and get out of the house.
[02:02:50.374 --> 02:02:51.115]  Yes.
[02:02:51.115 --> 02:02:51.956]  I need to socialize.
[02:02:51.956 --> 02:02:52.978]  Yes.
[02:02:52.978 --> 02:02:54.380]  Your parents are trying.
[02:02:54.380 --> 02:02:56.183]  See, there's always some people like you.
[02:02:56.183 --> 02:02:57.005]  You're a good guy.
[02:02:57.005 --> 02:02:57.566]  All right.
[02:02:57.566 --> 02:02:58.507]  There's all different types of people.
[02:02:59.434 --> 02:03:07.236]  The internet and computers are allowing people to plug into this virtual reality and every metric and every statistic says it's destroying people.
[02:03:07.236 --> 02:03:11.077]  Netflix is making the population growth rate go down.
[02:03:11.077 --> 02:03:14.097]  People aren't having sex because of Netflix.
[02:03:14.097 --> 02:03:15.278]  Humanity is dying.
[02:03:15.278 --> 02:03:16.698]  Our IQs are lowering.
[02:03:16.698 --> 02:03:17.878]  We're in a mesmerized state.
[02:03:17.878 --> 02:03:19.039]  You need to come out of it.
[02:03:19.039 --> 02:03:21.339]  Come on!
[02:03:21.339 --> 02:03:22.880]  Michael, you can do it!
[02:03:22.880 --> 02:03:23.840]  Come on!
[02:03:23.840 --> 02:03:24.300]  You can do it!
[02:03:25.134 --> 02:03:27.936]  You understand you don't have to be in this other place.
[02:03:27.936 --> 02:03:29.678]  You can be here now.
[02:03:29.678 --> 02:03:34.081]  There's an entire universe right there waiting for you.
[02:03:34.081 --> 02:03:36.643]  Have you ever run around in the mountains at night with a full moon?
[02:03:36.643 --> 02:03:40.686]  Where it's about 30 degrees out, with your shirt off?
[02:03:40.686 --> 02:03:42.528]  I've done some things like that.
[02:03:42.528 --> 02:03:43.308]  Stuff like that!
[02:03:43.308 --> 02:03:45.110]  That's how you wake up and recharge.
[02:03:45.110 --> 02:03:48.813]  You need to not just be hiding in your house.
[02:03:48.813 --> 02:03:51.575]  You've run around on mountaintops at night where there's a full moon with your shirt off.
[02:03:51.575 --> 02:03:52.696]  It was 30 degrees.
[02:03:52.696 --> 02:03:53.716]  Not exactly that.
[02:03:54.912 --> 02:03:56.393]  That's what I do for entertainment.
[02:03:56.393 --> 02:04:00.995]  But the point is, is that you need to do things like that.
[02:04:00.995 --> 02:04:05.638]  I need to run around like a lunatic?
[02:04:05.638 --> 02:04:05.798]  Yes.
[02:04:05.798 --> 02:04:10.380]  I don't know if that's going to help my case.
[02:04:10.380 --> 02:04:13.142]  But you know, it is luna, lunatic, lunacy.
[02:04:13.142 --> 02:04:13.682]  Really?
[02:04:13.682 --> 02:04:15.763]  See, you've been programmed by the modern system.
[02:04:15.763 --> 02:04:17.344]  You need the real lunacy.
[02:04:17.344 --> 02:04:20.386]  Gee, I'm crazy, so I can't go nuts.
[02:04:23.382 --> 02:04:24.043]  I got that.
[02:04:24.043 --> 02:04:24.783]  You need to go.
[02:04:24.783 --> 02:04:25.964]  I'm serious.
[02:04:25.964 --> 02:04:31.809]  You need to break out of those little norms, those little areas, those little back eddies that you're in.
[02:04:31.809 --> 02:04:35.872]  And you need to come out of it.
[02:04:35.872 --> 02:04:37.373]  I think that's happening.
[02:04:37.373 --> 02:04:37.933]  I think it is.
[02:04:37.933 --> 02:04:41.756]  Ridiculous thought of me.
[02:04:41.756 --> 02:04:42.137]  Anyways.
[02:04:44.762 --> 02:04:45.363]  Oh boy.
[02:04:45.363 --> 02:04:47.584]  Infowars.com, Newswars.com.
[02:04:47.584 --> 02:04:53.608]  Michael Rotundo is here and he's got $3,000 and a free plane ticket down here and he's already jumping back on the plane back to New York.
[02:04:53.608 --> 02:04:54.329]  We'll be right back.
[02:04:54.329 --> 02:04:54.709]  Stay with us.
[02:04:56.590 --> 02:05:03.718]  Nourish a probiotic-friendly environment in your gut with Prebiotic Fiber by InfoWars Life.
[02:05:03.718 --> 02:05:16.091]  Help the good bacteria thrive and support overall digestive health with our specially formulated Prebiotic Fiber, a mixture of clinically studied and organic acacia, fruit, and flax fiber.
[02:05:16.812 --> 02:05:27.876]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria, which helps you digest food, absorb nutrients, and even support your immune system.
[02:05:27.876 --> 02:05:34.639]  InfoWars Life's cutting-edge formula only brings you the highest quality organic and clinically studied ingredients.
[02:05:35.259 --> 02:05:49.915]  Cheap prebiotic fibers are used up only at the beginning of the colon, but our premium organic acacia fiber is slowly digested by the good bacteria throughout the entire colon for maximum prebiotic effect.
[02:05:49.915 --> 02:05:52.598]  Head to InfoWarsLife.com or call 1-888-253-3139.
[02:06:04.272 --> 02:06:09.324]  Rallying patriots worldwide in defense of human liberty.
[02:06:09.324 --> 02:06:10.828]  It's Alex Jones!
[02:06:15.225 --> 02:06:20.247]  This old dude is facing an eviction threat from his own parents.
[02:06:20.247 --> 02:06:21.828]  That's just so ridiculous.
[02:06:21.828 --> 02:06:27.090]  Michael Rotundo's mom and dad are so fed up, they're suing to get him out of the house.
[02:06:27.090 --> 02:06:30.191]  I don't see why the judge wants to throw people out on the street.
[02:06:30.191 --> 02:06:37.354]  His parents filed the extraordinary lawsuit following months of repeated attempts to get him to leave their home in Syracuse, New York.
[02:06:37.354 --> 02:06:39.515]  And the story is getting lots of attention.
[02:06:39.815 --> 02:06:44.137]  A judge asked why he didn't just move in with his girlfriend, and the man said, girlfriend?
[02:06:44.137 --> 02:06:46.039]  I'm a 30-year-old man living at home.
[02:06:46.039 --> 02:06:48.860]  Dude, there's no girlfriend.
[02:06:48.860 --> 02:06:52.562]  Michael Rotondo is here, but you know, something happened to you.
[02:06:52.562 --> 02:06:57.825]  You went out years ago, I guess 2022, I'm at the timeline here.
[02:06:57.825 --> 02:07:02.808]  You had a baby with a woman, it's your child, boy or girl?
[02:07:02.808 --> 02:07:04.309]  Boy.
[02:07:04.309 --> 02:07:05.950]  And how old is your son?
[02:07:05.950 --> 02:07:06.210]  He's eight.
[02:07:07.403 --> 02:07:19.408]  Well, he needs you, and he needs you in case something happens to the mom or whatever, you know, to be self-sufficient, so that you can take care of him until he's 18.
[02:07:19.408 --> 02:07:25.451]  Well, I would actually support him until he found something that suited him.
[02:07:25.451 --> 02:07:28.452]  But, what if something never suits you?
[02:07:28.452 --> 02:07:29.173]  That's a good question.
[02:07:29.173 --> 02:07:36.096]  I thought about that, and I thought that, um... You know, Donald Trump had some pretty wives before.
[02:07:37.533 --> 02:07:41.256]  Melania, though, is a whole other universe.
[02:07:41.256 --> 02:07:42.677]  But he hadn't run into Melania yet.
[02:07:42.677 --> 02:07:47.700]  Melania wasn't born yet when Trump got his first wife.
[02:07:47.700 --> 02:07:59.247]  So, see, you have to get while the getting's good, son.
[02:07:59.247 --> 02:08:00.728]  Okay.
[02:08:00.728 --> 02:08:01.889]  You're telling me to get... I gotta...
[02:08:03.835 --> 02:08:06.080]  Get some kind of commitment out of a woman now while I have a chance?
[02:08:06.080 --> 02:08:07.142]  Hey, look at Owen Schroer.
[02:08:07.142 --> 02:08:08.505]  Look at the smile on Schroer.
[02:08:08.505 --> 02:08:09.366]  Bring him up right now.
[02:08:09.366 --> 02:08:11.451]  Can we punch that up?
[02:08:11.451 --> 02:08:13.434]  Schroer, that's a guy afraid to get out and do anything.
[02:08:14.753 --> 02:08:20.055]  Oh, and I don't want to be mean to this guy, but the media acts like he's so rare and everybody looks down their nose at it.
[02:08:20.055 --> 02:08:23.556]  This guy is the future right here on the course we are.
[02:08:23.556 --> 02:08:26.257]  And I'm trying to give him money, trying to get him a job.
[02:08:26.257 --> 02:08:27.837]  I'm like, hey, you want to be a reporter for us?
[02:08:27.837 --> 02:08:28.898]  I'm serious.
[02:08:28.898 --> 02:08:32.999]  And if you just do some basic stuff and get better and better, you can be really successful with us.
[02:08:32.999 --> 02:08:35.920]  But you got to go out and do it.
[02:08:35.920 --> 02:08:38.861]  It sounds like I could do a lot of good with
[02:08:40.811 --> 02:08:43.353]  Do what must be done, Lord Vader.
[02:08:43.353 --> 02:08:46.035]  Show no mercy.
[02:08:46.035 --> 02:08:48.037]  I'm not a Star Wars fan.
[02:08:48.037 --> 02:08:49.598]  I'm not, but I'm a Palpatine fan.
[02:08:49.598 --> 02:08:51.519]  Oh.
[02:08:51.519 --> 02:08:53.841]  You didn't know Emperor Palpatine's my spirit animal?
[02:08:53.841 --> 02:08:55.021]  No.
[02:08:55.021 --> 02:08:56.643]  They overlooked that when they were mucking me up.
[02:08:56.643 --> 02:08:59.144]  Emperor Palpatine is my co-pilot.
[02:08:59.144 --> 02:09:01.346]  Okay.
[02:09:01.346 --> 02:09:01.926]  I don't know what that is.
[02:09:01.926 --> 02:09:02.907]  Emperor Palpatine's my boyfriend.
[02:09:02.907 --> 02:09:04.428]  I thought you had a wife.
[02:09:05.836 --> 02:09:07.398]  I said my spirit, it's a joke.
[02:09:07.398 --> 02:09:09.760]  Okay.
[02:09:09.760 --> 02:09:11.722]  It's a joke, Ian McDiarmid.
[02:09:11.722 --> 02:09:15.066]  Okay, the actor, he's hilarious.
[02:09:15.066 --> 02:09:17.668]  Emperor Palpatine is a comic genius.
[02:09:17.668 --> 02:09:18.990]  You know that.
[02:09:18.990 --> 02:09:21.172]  Owen Troyer, you want to say something to this great American?
[02:09:21.172 --> 02:09:22.834]  You've got your big veteran show coming up today.
[02:09:23.257 --> 02:09:29.905]  Yeah, I'm looking forward to that, and we're going to be talking about that here in just a minute in studio, but I actually had a couple questions for Michael.
[02:09:29.905 --> 02:09:33.469]  You know, we're about the same age, so I figured I could ask him a couple questions.
[02:09:33.469 --> 02:09:34.350]  How old are you, Owen?
[02:09:34.350 --> 02:09:35.731]  I'm 28.
[02:09:35.731 --> 02:09:38.434]  You got your degree in psychology, you're a Jedi Sith Lord.
[02:09:39.295 --> 02:09:47.759]  I just want to know, because one of my, I mean, when I was younger, one of my biggest causes to want to get out of the house was so that, you know, I could have like a girl over.
[02:09:47.759 --> 02:09:51.821]  So I'm just curious, how do you, do you, do you even try to attempt to get women in your life?
[02:09:51.821 --> 02:09:52.481]  I was thrown out of the house!
[02:09:52.481 --> 02:09:54.302]  How do you get women into the parents' house?
[02:09:54.302 --> 02:09:57.563]  I was thrown out of the house because my mom did not like this old girlfriend.
[02:09:57.563 --> 02:10:03.266]  And when that girlfriend, old Cindy, smart-mouthed my mom in the kitchen, my mom had me thrown out in two days.
[02:10:03.266 --> 02:10:04.807]  She said, David, get him out of here.
[02:10:05.786 --> 02:10:07.689]  So I can kind of thank her for being smart-mouthed by my mom.
[02:10:07.689 --> 02:10:08.710]  I might still be there, huh?
[02:10:08.710 --> 02:10:09.371]  Sorry, sorry.
[02:10:09.371 --> 02:10:10.813]  Owen, ask your question again.
[02:10:10.813 --> 02:10:11.735]  I remember what it was.
[02:10:11.735 --> 02:10:13.798]  You can ask me if you want, though.
[02:10:13.798 --> 02:10:14.839]  No, so I'm just curious.
[02:10:14.839 --> 02:10:18.264]  I mean, do you even attempt to meet women anymore, or have you given up on that?
[02:10:18.264 --> 02:10:19.506]  Or do you bring women in the house?
[02:10:19.506 --> 02:10:21.508]  No, I don't bring anyone in the house.
[02:10:21.508 --> 02:10:21.689]  Okay.
[02:10:23.331 --> 02:10:24.412]  Is it time?
[02:10:24.412 --> 02:10:26.913]  I don't have time to fraternize with women, really.
[02:10:26.913 --> 02:10:27.753]  Okay, so, but you know what?
[02:10:27.753 --> 02:10:28.674]  You said that earlier.
[02:10:28.674 --> 02:10:32.536]  You also said that you are... Do you have a law degree?
[02:10:32.536 --> 02:10:33.056]  No.
[02:10:33.056 --> 02:10:33.416]  So what?
[02:10:33.416 --> 02:10:34.517]  You said you do legal work.
[02:10:34.517 --> 02:10:35.677]  So what legal work are you doing?
[02:10:35.677 --> 02:10:37.098]  Owen, you've got a degree in psychology.
[02:10:37.098 --> 02:10:40.740]  Does this guy not act like he's got Asperger's with a helping of laziness?
[02:10:40.740 --> 02:10:42.981]  Well, I'm not a doctor, but... I understand, but you've got a...
[02:10:43.661 --> 02:10:45.042]  But I don't, I mean, I don't, I don't know.
[02:10:45.042 --> 02:10:47.002]  It's a nature versus a nurture argument.
[02:10:47.002 --> 02:10:48.823]  Then it doesn't seem like it's the nurture.
[02:10:48.823 --> 02:10:51.684]  So maybe it's the vaccine or the food or something.
[02:10:51.684 --> 02:10:52.105]  I don't know.
[02:10:52.105 --> 02:10:56.947]  What if you had to, if you had to pick one, if you had to say Asperger's or no, what would you pick?
[02:10:56.947 --> 02:11:04.710]  Well, I think your Asperger's spectrum undoubtedly is by all of it, but then you've got the overlay of the, of the environment that is inducive towards the zombiosis.
[02:11:04.710 --> 02:11:06.070]  What if I'm just a regular guy?
[02:11:06.070 --> 02:11:07.851]  What if you're just a lazy bum?
[02:11:07.851 --> 02:11:08.732]  Maybe you are just a bum.
[02:11:10.152 --> 02:11:14.397]  A contrarian bum that will never get the perfect thing he really wants.
[02:11:14.397 --> 02:11:17.940]  I'm just trying to figure out, is it a comfort thing?
[02:11:17.940 --> 02:11:21.884]  If you really want me to answer that question, why do you want to live at home?
[02:11:21.884 --> 02:11:23.086]  What is the deal with that?
[02:11:23.086 --> 02:11:24.827]  Why don't you want to get out?
[02:11:24.827 --> 02:11:26.109]  I don't want to live at home.
[02:11:26.109 --> 02:11:30.313]  What I've told other reporters is that when I had my son,
[02:11:32.757 --> 02:11:34.838]  Uh, he was a baby and I had him three full days a week.
[02:11:34.838 --> 02:11:37.860]  Two week, uh, full weekdays and one weekend day.
[02:11:37.860 --> 02:11:39.961]  And it was really hard for me to find full-time employment like that.
[02:11:39.961 --> 02:11:40.922]  Wait a second, hold on a second.
[02:11:40.922 --> 02:11:41.582]  This is blowing my mind.
[02:11:41.582 --> 02:11:43.203]  You're a white male!
[02:11:43.203 --> 02:11:44.563]  You're an effing white male!
[02:11:44.563 --> 02:11:50.627]  White people don't know what it's like to be poor!
[02:11:50.627 --> 02:11:50.827]  What?
[02:11:52.432 --> 02:11:55.614]  It's obviously an inside joke that you haven't heard yet.
[02:11:55.614 --> 02:11:58.095]  But apparently, you know, a white man has the white man privilege.
[02:11:58.095 --> 02:12:00.996]  So you're telling me you can't get a job so that you can move out of the house.
[02:12:00.996 --> 02:12:01.677]  That's what you're telling me.
[02:12:01.677 --> 02:12:02.357]  I didn't say that.
[02:12:02.357 --> 02:12:10.882]  I said that it wasn't really... I didn't have a lot of opportunities with all those days that I was, you know, being a father to my son, which was important and necessary.
[02:12:10.882 --> 02:12:12.382]  But do you have visiting rights right now?
[02:12:12.382 --> 02:12:13.123]  No.
[02:12:13.123 --> 02:12:14.363]  So what are you so busy with now?
[02:12:14.363 --> 02:12:15.444]  I'm still trying to figure this out.
[02:12:15.444 --> 02:12:16.444]  Trying to get to see him again.
[02:12:16.444 --> 02:12:19.026]  That's what I've been doing for a long time.
[02:12:19.026 --> 02:12:21.267]  So you're battling with the courts and with lawyers right now?
[02:12:22.165 --> 02:12:23.166]  Just the courts.
[02:12:23.166 --> 02:12:23.846]  Oh yeah, and lawyers.
[02:12:23.846 --> 02:12:24.426]  Yeah, courts and lawyers.
[02:12:24.426 --> 02:12:24.887]  You're exactly right.
[02:12:24.887 --> 02:12:31.110]  Okay, don't you think it might be advantageous for you to maybe, like, get some money behind this effort and maybe hire a lawyer?
[02:12:31.110 --> 02:12:34.572]  It's not going to change the merit of my contentions.
[02:12:35.780 --> 02:12:37.361]  Yeah, but it might help you, don't you think?
[02:12:37.361 --> 02:12:39.182]  I mean, this is a court of law.
[02:12:39.182 --> 02:12:40.482]  How would that help?
[02:12:40.482 --> 02:12:43.043]  Just by saying the magic words?
[02:12:43.043 --> 02:12:46.705]  I mean, dude, if you don't know how the judicial system works, I mean, clearly you don't.
[02:12:46.705 --> 02:12:47.446]  How does the judicial system work?
[02:12:47.446 --> 02:12:48.026]  Well, let me tell you.
[02:12:48.026 --> 02:12:50.547]  My ex-wife took the kids and filed up.
[02:12:50.547 --> 02:12:57.450]  I'd only have them four hours on the weekend and I went and got lawyers and went and had a big court battle and, you know, got my kids half the time.
[02:12:57.450 --> 02:12:59.131]  Have you ever been on your own, Michael?
[02:12:59.131 --> 02:13:00.492]  Have you ever been out of the parents' house?
[02:13:00.492 --> 02:13:00.692]  I have.
[02:13:01.417 --> 02:13:02.398]  And what was that like for you?
[02:13:02.398 --> 02:13:03.599]  Did you not like it?
[02:13:03.599 --> 02:13:04.319]  No, I loved it.
[02:13:04.319 --> 02:13:07.202]  It was great.
[02:13:07.202 --> 02:13:08.323]  You're very busy all the time.
[02:13:08.323 --> 02:13:10.484]  You gotta work.
[02:13:10.484 --> 02:13:20.352]  I think you should take up something like kickboxing or something athletic.
[02:13:20.352 --> 02:13:22.614]  Are you engaged in any athletic pursuits?
[02:13:22.614 --> 02:13:23.795]  I like to bicycle.
[02:13:23.795 --> 02:13:26.397]  I like to ride my bicycle.
[02:13:26.397 --> 02:13:28.118]  Another Bernie Sanders favorite?
[02:13:28.118 --> 02:13:29.520]  Is it?
[02:13:29.520 --> 02:13:29.880]  Is he around?
[02:13:31.297 --> 02:13:42.645]  How would you like, how would you like to be Bernie Sanders' assistant?
[02:13:42.645 --> 02:13:45.147]  Probably wouldn't like to assist someone else.
[02:13:45.147 --> 02:13:50.451]  Ah, I just figured because he wants to take care of everybody that's poor, and that needs help, so I think he should give you a job.
[02:13:50.451 --> 02:13:55.895]  But you're not going to have any leftists actually offer anybody jobs, that's conservatives that do that.
[02:14:00.950 --> 02:14:04.331]  Were you breastfed?
[02:14:04.331 --> 02:14:04.991]  I don't remember.
[02:14:04.991 --> 02:14:14.775]  That's actually very important because the fatty acids in natural breast milk give you, your brain, a lot more power to develop than the formula.
[02:14:14.775 --> 02:14:19.437]  The brain will actually weigh 10-15% less, have a lot less neuron density.
[02:14:19.437 --> 02:14:21.957]  So wait, let me ask Michael, how old is your child?
[02:14:21.957 --> 02:14:22.057]  Eight.
[02:14:23.778 --> 02:14:24.098]  Eight?
[02:14:24.098 --> 02:14:26.180]  So you had that child at age 22?
[02:14:26.180 --> 02:14:27.341]  That's right.
[02:14:27.341 --> 02:14:30.142]  And so for eight years you've been fighting for custody?
[02:14:30.142 --> 02:14:31.163]  I mean, how does this go?
[02:14:31.163 --> 02:14:35.506]  Well, uh, when he was a baby, I really, I really, it wasn't feasible for me to work full-time.
[02:14:35.506 --> 02:14:39.769]  Um, after he started going to school... Seems like it's never feasible, feasible for you to work full-time.
[02:14:39.769 --> 02:14:41.910]  You know, I don't think anybody would like to work full-time.
[02:14:41.910 --> 02:14:46.574]  You know, everybody would like to just retire or live in someone's house, but I mean, you know... Not me!
[02:14:46.574 --> 02:14:48.095]  I want to, I want to work 24 hours a day.
[02:14:50.117 --> 02:14:51.578]  I had lost my job prior to that.
[02:14:51.578 --> 02:14:52.379]  I was fired.
[02:14:52.379 --> 02:14:54.161]  I was a little frustrated with employment.
[02:14:54.161 --> 02:15:04.614]  But after I had my son, after I was a father for a little while, I found that I had the gift that public schools offer us, which is the time to work with our kids.
[02:15:06.031 --> 02:15:09.053]  Uh, kept taking care of his school, and I found that I could.
[02:15:09.053 --> 02:15:15.236]  Did you see the WikiLeaks where Hillary said, I hate my constituents, they're a bunch of basement dwellers, and they're a bunch of idiot baristas.
[02:15:15.236 --> 02:15:21.019]  Well, a lot of baristas, a lot of baristas that live really good lives, but that's who she thinks her people are.
[02:15:21.019 --> 02:15:29.243]  And they're all folks that can't get out of their parents' basement because the economy's so bad in their area, and the family decides to live together so they can have extra money, and that's kind of a smart thing.
[02:15:29.243 --> 02:15:34.606]  If the family decides to live together, you know, in a post-industrial economy, I don't put people down that live with their parents.
[02:15:35.066 --> 02:15:35.546]  We'll be right back.
[02:15:55.307 --> 02:15:58.828]  Stocks and options trading involves financial risk and is not suitable for all investors.
[02:15:58.828 --> 02:16:01.049]  Fire your stockbroker and hire yourself.
[02:16:01.049 --> 02:16:05.051]  I'm Scott Bauer and I've been a professional trader for over 25 years.
[02:16:05.051 --> 02:16:10.372]  I've traded for Goldman Sachs and was the first Amazon market maker at the Chicago Board Options Exchange.
[02:16:10.372 --> 02:16:17.055]  I'm also the CEO here at Prosper Trading Academy, the leading educational firm teaching people how to trade the markets.
[02:16:17.375 --> 02:16:25.740]  For a limited time, I'm giving away one of my favorite secret trading techniques used by thousands of our students every day to help build their financial future.
[02:16:25.740 --> 02:16:31.224]  To learn this technique right now, call my 24-7 voicemail and just leave your email address.
[02:16:31.224 --> 02:16:34.206]  I'll email you my free trading technique right away.
[02:16:34.206 --> 02:16:34.766]  Just call 1-800-228-2155.
[02:16:37.608 --> 02:16:42.730]  This is the very information my students use every day to invest in their financial future.
[02:16:42.730 --> 02:16:49.613]  Again, call 1-800-228-2155 in the next 30 minutes and leave your email address on my voicemail.
[02:16:49.613 --> 02:16:49.933]  That's 1-800-228-2155.
[02:16:49.933 --> 02:16:50.094]  Call 1-800-228-2155.
[02:16:55.936 --> 02:16:58.537]  Get the ultimate knife at an ultimate price.
[02:16:58.537 --> 02:17:00.257]  The Fox Karambit Knife.
[02:17:00.257 --> 02:17:01.918]  Finally available in the US.
[02:17:01.918 --> 02:17:04.659]  The Fox Karambit Knife opens with one hand.
[02:17:04.659 --> 02:17:06.699]  Faster than you can pull a handgun.
[02:17:06.699 --> 02:17:10.941]  For utility, for defense, and for way less than other knives of this caliber.
[02:17:10.941 --> 02:17:13.121]  Go to TheUltimateKnife.com.
[02:17:13.121 --> 02:17:15.282]  Truly the best knife you will ever own.
[02:17:15.282 --> 02:17:18.263]  And only available at TheUltimateKnife.com.
[02:17:18.263 --> 02:17:21.004]  Use promo code RADIO at checkout for free shipping.
[02:17:21.004 --> 02:17:23.504]  Get the ultimate knife at the ultimate price.
[02:17:23.504 --> 02:17:24.885]  At TheUltimateKnife.com.
[02:17:25.905 --> 02:17:28.167]  You have been lied to.
[02:17:28.167 --> 02:17:29.888]  My name is Kevin Shipp.
[02:17:29.888 --> 02:17:32.590]  I'm a former decorated CIA officer.
[02:17:32.590 --> 02:17:37.914]  Finally, someone has come out and written what I think is the best ex-mose on the shadow government ever.
[02:17:37.914 --> 02:17:43.638]  We're in a constitutional crisis, and our government is now being run and ruled by a shadow government.
[02:17:43.638 --> 02:17:47.060]  We gotta get this out, because just because you're awake, folks, doesn't mean other people are.
[02:17:47.060 --> 02:17:50.163]  This is critical to get, to read, to give to the library, to give to the church.
[02:17:50.163 --> 02:17:54.325]  Get them right now at KillingUncleSamBook.com KillingUncleSamBook.com
[02:17:56.346 --> 02:17:57.827]  Vitamin Mineral Fusion.
[02:17:57.827 --> 02:18:00.528]  Visit Infowarslife.com to secure your chemister.
[02:18:00.528 --> 02:18:08.031]  We have worked for years with our chemists and scientists to create the most powerful and affordable, great-tasting multivitamin formula available.
[02:18:08.031 --> 02:18:18.236]  Vitamin Mineral Fusion Drink Mix at Infowarslife.com is loaded with a full month's supply of essential vitamins, minerals, and amino acids that your body absolutely needs.
[02:18:18.676 --> 02:18:26.518]  In the history of InfoWars Life, we've brought out a lot of amazing products like Survival Shield X2, Supermail Vitality, and so many others.
[02:18:26.518 --> 02:18:36.719]  With its unique delivery system and proprietary manufacturing process designed for maximized effects, this formula is the platinum standard of multivitamin mineral products.
[02:18:36.719 --> 02:18:38.780]  And this part is most important.
[02:18:38.780 --> 02:18:45.241]  The ingredients in Vitamin Mineral Fusion are either plant-derived or of the highest quality lab standard.
[02:18:45.581 --> 02:18:47.023]  That means it's clean.
[02:18:47.023 --> 02:18:48.144]  That means it's pure.
[02:18:48.144 --> 02:18:51.047]  And rest secured, you're fighting the tip of the spear in the InfoWars.
[02:18:51.047 --> 02:18:53.851]  That's InfoWarsLive.com and Vitamin Mineral Fusion.
[02:18:53.851 --> 02:18:55.472]  Take action now before we sell out.
[02:18:56.155 --> 02:18:59.837]  Guaranteeing your food independence is a crucial part of prepping.
[02:18:59.837 --> 02:19:07.842]  Between debt crises, natural disasters, or even simple power outages, having a supply of storable meals is crucial.
[02:19:07.842 --> 02:19:14.546]  With InfoWars Life Select Storable Food, you can make sure you and your family are ready for any emergency.
[02:19:14.546 --> 02:19:23.772]  With drinks, snacks, and meals in amounts ranging from 72 hours to a full year, there's no better place to look for healthy, easy, and incredible meals.
[02:19:24.472 --> 02:19:31.617]  Including meals such as Traveler Stew, Homestyle Potato Soup, and a variety of other meals for breakfast, lunch, and dinner.
[02:19:31.617 --> 02:19:36.680]  InfoWars Life Select storable food will help you eat comfortably in a time of need.
[02:19:36.680 --> 02:19:38.641]  They even work great for camping!
[02:19:38.641 --> 02:19:45.405]  Simply pack a 72-hour kit to go and you have easy-to-cook and transport food for you and your loved ones trip.
[02:19:45.405 --> 02:19:47.407]  Don't be caught surprised by an emergency.
[02:19:47.927 --> 02:19:58.831]  Make sure you're stocked up today with all the food you need for an affordable price with InfoWars Life Select storable foods.
[02:19:58.831 --> 02:20:01.492]  You're listening to the Alex Jones Show.
[02:20:32.731 --> 02:20:34.252]  You found it, the tip of the spear.
[02:20:34.252 --> 02:20:40.657]  I'm Alex Jones and Michael Rotondo, the 30-year-old who refused to move out of his parents' house, had been taken to court.
[02:20:40.657 --> 02:20:43.199]  The judge said, yeah, you gotta get out.
[02:20:43.199 --> 02:20:46.481]  Liberal media, conservative media made fun of him and said, what a bum, what a horrible person.
[02:20:46.481 --> 02:20:51.685]  I was talking to Owen Schroeder during the break and I said, what is your prognosis?
[02:20:51.685 --> 02:20:52.445]  You're a smart guy.
