[00:00:07.177 --> 00:00:12.481]  He aligns himself with the truth and it's time for you to choose a side.
[02:01:09.314 --> 02:01:14.536]  And joining me after the break in just a moment will be Alex Jones getting to the heart
[02:01:15.676 --> 02:01:20.599]  Of what a lot of people have noticed about these child actors is that there's something seems to be off.
[02:01:20.599 --> 02:01:31.246]  Something seems to be a bit peculiar about the scripted Twitter accounts, the scripted media appearances, and then the occasional kind of jumps off message and all the rest of it.
[02:01:31.246 --> 02:01:33.327]  And that strange video of the same boy in California.
[02:01:33.327 --> 02:01:35.008]  So we're going to find out exactly what's happening.
[02:01:35.008 --> 02:01:36.069]  Alex is with us right now.
[02:01:36.069 --> 02:01:37.670]  We'll be right back with Alex Jones in the hot seat.
[02:01:42.555 --> 02:01:44.935]  I've had enough of these people.
[02:01:44.935 --> 02:01:48.476]  They're a bunch of Christian murderous scum.
[02:01:48.476 --> 02:01:52.177]  They're on giant death factories keeping babies alive.
[02:01:52.177 --> 02:01:54.457]  They're selling their body parts.
[02:01:54.457 --> 02:01:57.198]  What more do you need to know about these people?
[02:01:57.198 --> 02:02:00.298]  I go out and face these scum.
[02:02:00.298 --> 02:02:03.959]  They literally crawl out from under rocks.
[02:02:03.959 --> 02:02:06.099]  They have green looking skin.
[02:02:06.099 --> 02:02:08.620]  And they run around screaming we love Satan.
[02:02:08.620 --> 02:02:10.800]  We want to eat babies.
[02:02:12.768 --> 02:02:13.549]  I kill my kids.
[02:02:13.549 --> 02:02:15.390]  We came, we saw, we died.
[02:02:15.390 --> 02:02:16.291]  What the hell?
[02:02:41.651 --> 02:02:45.133]  I'm told her and Obama just stink.
[02:02:45.133 --> 02:02:50.836]  Obama and Hillary both smell like sulfur.
[02:02:50.836 --> 02:02:55.058]  There's a guy on the radio who apparently trumps on his show frequently.
[02:02:55.058 --> 02:02:57.120]  He says, me and Hillary are demons.
[02:02:57.120 --> 02:02:59.141]  Said we smell like sulfur.
[02:02:59.141 --> 02:03:01.002]  Ain't that something?
[02:03:01.002 --> 02:03:04.383]  I have never seen or smelled any woman like that, ever.
[02:03:04.383 --> 02:03:05.504]  People are telling me she smells.
[02:03:05.504 --> 02:03:07.725]  Who could not notice someone who smelled that bad?
[02:03:07.725 --> 02:03:10.567]  We need to move them by a potbelly, God.
[02:03:14.537 --> 02:03:42.700]  My spirit gets close to that evil and I feel it go Ah, ah, ah We're stuffed, self-centered crap We don't even notice and it's self-rising up against us Millions of pointed peepers The very worst type and I'm so pissed We're gonna stab your daughter at the mall
[02:03:47.143 --> 02:03:49.364]  I would just be honest.
[02:04:13.439 --> 02:04:19.726]  I was watching Fox News as I worked out this morning, and they had the police chief on making excuses from that town in Minnesota.
[02:04:19.726 --> 02:04:25.933]  And they had the Fox News host, this is the Fair and Balanced channel, going, Donald Trump really stepped in at this time.
[02:04:25.933 --> 02:04:33.042]  He said it was a bombing before it had officially been called a bombing, and Hillary's on him, and she's got some really good points!
[02:04:56.511 --> 02:05:02.894]  The scientists at Infowars Life have created a powerful formula for inflammatory support and joint support.
[02:05:02.894 --> 02:05:06.096]  Discover the power of ancient medicine with Bades.
[02:05:06.096 --> 02:05:09.798]  Bades contains one of the most potent forms of turmeric available.
[02:05:09.798 --> 02:05:14.500]  Turmeric has been used for thousands of years and is one of the most studied herbals today.
[02:05:14.500 --> 02:05:17.802]  It is well known in traditional medicine for its soothing properties.
[02:05:18.662 --> 02:05:29.668]  Our pure turmeric extract plus piperine from Black Pepper makes for optimal absorption to help boost and support your flexibility, mobility, joint function, immune system, and so much more.
[02:05:29.668 --> 02:05:38.192]  Regular turmeric root from the store only contains 1-5% of Actum ingredients, but our turmeric root extract contains over 95% of the Actum ingredients.
[02:05:39.833 --> 02:05:48.878]  Bodies combines turmeric with organic herbs such as spearmint, sage, lemon balm, and thyme to work synergistically for full body support.
[02:05:48.878 --> 02:05:53.160]  Try Bodies today at Infowarslife.com or call us at 1-888-253-3139.
[02:06:08.855 --> 02:06:15.463]  Live from the InfoWars.com studios, it's Alex Jones.
[02:06:15.463 --> 02:06:16.064]  Welcome back.
[02:06:16.064 --> 02:06:21.750]  We are here in the epicenter of global freedom, Austin, Texas, the InfoWars studio.
[02:06:21.750 --> 02:06:25.374]  I am Marley Anopolis sitting in for your usual host, Now Look.
[02:06:26.368 --> 02:06:48.747]  I've had someone calling me all day, texting me all day, please can I come on, please, I've got breaking news, he won't leave me alone, I've finally taken pity on him, so my new Chief Investigative Reporter is in studio with me today, I've taken pity on him at last, and given him an hour, take it away Chief Investigative Reporter.
[02:06:50.204 --> 02:06:52.066]  Well, Milo, it is good to be here with you.
[02:06:52.066 --> 02:06:53.167]  And of course, he's joking.
[02:06:53.167 --> 02:06:56.809]  I was seriously already planning a beer today, but not on such a serious information.
[02:06:56.809 --> 02:06:59.591]  Always jovial, always very, very funny.
[02:06:59.591 --> 02:07:01.433]  Always a very gay lad over here.
[02:07:01.433 --> 02:07:03.674]  Always in a good mood.
[02:07:03.674 --> 02:07:05.076]  The old meaning of that.
[02:07:05.076 --> 02:07:07.818]  So, yes, thanks for having me here on the Alex Jones Show.
[02:07:07.818 --> 02:07:08.598]  You're welcome.
[02:07:08.598 --> 02:07:14.082]  So, you have been digging deep into the Florida crisis situation.
[02:07:15.859 --> 02:07:22.764]  Most, I think what most people are interested in is the internet ablaze with rumours that there's something off about these kids.
[02:07:22.764 --> 02:07:25.306]  There's something off about the reporting in general.
[02:07:25.306 --> 02:07:43.681]  Now Gateway Pundit, the blog, has got into a lot of trouble for posting a piece by Lucian Wintrick that said that they were quote-unquote crisis actors, which is a big claim to make after a huge tragedy, that these children, survivors of a brutal mass shooting that killed 17 people, are being coached
[02:07:44.581 --> 02:07:46.283]  And there's something not quite right about them.
[02:07:46.283 --> 02:07:52.809]  Video coming out about the boy in California, all kinds of stuff, you know, photos of them and CNN being deleted.
[02:07:52.809 --> 02:07:59.055]  You have spent the time that I've been co-hosting digging deep into the details here and finding out what really happened.
[02:07:59.055 --> 02:08:00.356]  What have you discovered?
[02:08:00.356 --> 02:08:01.517]  Well, first some background.
[02:08:01.517 --> 02:08:06.762]  I started seeing these anomalies last Friday and I don't normally tell the crew.
[02:08:07.443 --> 02:08:07.703]  I think so.
[02:08:23.895 --> 02:08:31.342]  And others were saying, oh, you know, Jones is trying to say nothing happened in Florida like he always does.
[02:08:31.342 --> 02:08:33.684]  Well, as you notice, there's no video.
[02:08:33.684 --> 02:08:36.007]  There's no audio of that.
[02:08:36.007 --> 02:08:37.228]  That's not what we've said.
[02:08:37.228 --> 02:08:38.689]  That's not what we've done.
[02:08:38.689 --> 02:08:40.871]  Now, I ended up taking some time off.
[02:08:41.912 --> 02:08:42.232]  Yes.
[02:09:02.942 --> 02:09:10.207]  Six hours at least doing deep research so that I can tell the viewers and listeners what we've discovered.
[02:09:10.207 --> 02:09:14.530]  There's so much evidence that it gives me a headache.
[02:09:14.530 --> 02:09:17.733]  And I think you just alluded to the beginning of it.
[02:09:17.733 --> 02:09:20.755]  What we do know is there's a cover-up going on.
[02:09:21.502 --> 02:09:36.902]  They are pulling videos of this young man, David Hogg, whose father is an FBI agent, whose mother is a big Democrat and big anti-gun person, who is an anti-gun activist and has been in a bunch of anti-gun videos and reports already.
[02:09:37.523 --> 02:09:49.236]  They are pulling these videos everywhere and pulling videos off Facebook, Instagram, you name it, from their own sites of him in some type of CNN visit, internship, VIP thing.
[02:09:49.236 --> 02:09:53.641]  Then they're pulling photos of them in the drama department with the other three students.
[02:09:53.641 --> 02:09:55.663]  So A, there's a cover-up going on.
[02:09:58.462 --> 02:10:05.044]  When you pull back from this, they are demonizing anyone that even asks questions.
[02:10:05.044 --> 02:10:18.009]  Well, when you're a young person and a survivor, and I believe the mass shooting happened, and when you end up being a spokesperson in the adult life, and you're a senior in high school, and you're articulate, you're in a man's world.
[02:10:18.009 --> 02:10:24.251]  So you can't then have the Democratic Party, CNN, MSNBC, go and get four students out of 3,000
[02:10:26.372 --> 02:10:33.396]  3,000 at the school, and it's four students that we're hearing about, and then it just goes on from there.
[02:10:33.396 --> 02:10:53.107]  So I want to be clear, from our deep research, I've got like 16 video clips here, I've interviewed multiple students on air, off air, we've played clips of national news, people shooting iPhone video over national news, where students are, multiple shooters, I witnessed two people at the same time shooting, I saw Nicholas
[02:10:54.389 --> 02:11:00.073]  The reported shooter cruise with other people, when shots are going off, he didn't have a weapon.
[02:11:00.073 --> 02:11:06.398]  None of that's getting out, even though the news is interviewing lines of people the day it happens.
[02:11:06.398 --> 02:11:11.882]  And I've had guests on that said, oh yeah, almost everybody I talked to said there were two shooters and that there'd been a drill, they were firing blanks.
[02:11:11.882 --> 02:11:18.827]  And then now we even found national news admitting they had a drill with blanks being fired.
[02:11:18.827 --> 02:11:21.590]  Not a month before the Secret Service, but that day.
[02:11:22.685 --> 02:11:28.691]  So all we're saying is, what in Hades is going on here?
[02:11:28.691 --> 02:11:30.773]  So we're going to walk through this in the hour.
[02:11:30.773 --> 02:11:38.441]  And then Jim Hoft, very respected Gateway pundit, broken hundreds of top stories, thousands of major stories.
[02:11:38.441 --> 02:11:40.603]  I mean, just amazing sources inside the White House.
[02:11:40.603 --> 02:11:41.625]  Drudge links to it all the time.
[02:11:43.413 --> 02:11:47.317]  He simply had one of his writers point out what was already on fire yesterday.
[02:11:47.317 --> 02:11:49.720]  And here's the headline.
[02:11:49.720 --> 02:11:50.621]  School exposed.
[02:11:50.621 --> 02:11:52.843]  School shooting survivor turned activist.
[02:11:52.843 --> 02:11:54.945]  David Hogg's father is FBI.
[02:11:54.945 --> 02:11:57.408]  Well, he is the school shooting survivor.
[02:11:57.408 --> 02:11:59.630]  He has turned activist.
[02:11:59.630 --> 02:12:00.592]  And his father is FBI.
[02:12:02.501 --> 02:12:05.083]  Appears to have been coached on anti-Trump lines.
[02:12:05.083 --> 02:12:10.626]  Now, you've got him, clearly you know when somebody's reading off a teleprompter, or messing up their lines, or can't remember them.
[02:12:10.626 --> 02:12:15.669]  I was at a school function last night, and my oldest daughter couldn't remember some lines and kind of choked.
[02:12:15.669 --> 02:12:17.130]  She never does that, she usually wins.
[02:12:17.130 --> 02:12:19.031]  But it was, you know, she kind of choked a little bit.
[02:12:19.031 --> 02:12:20.792]  You could tell she was choking.
[02:12:20.792 --> 02:12:22.513]  So, you know, maybe it's stress, whatever.
[02:12:22.513 --> 02:12:28.517]  We're not saying it didn't happen, but everything that was put in that article we'd already covered
[02:12:29.787 --> 02:12:30.808]  Simply pointing it out.
[02:12:30.808 --> 02:12:34.492]  Let's put some more of the images of him at CNN.
[02:12:34.492 --> 02:12:45.702]  And again, him with the CBS producers with the rest of school in an anti-gun piece that they did last year.
[02:12:45.702 --> 02:12:48.084]  Yes, you heard me right.
[02:12:48.084 --> 02:12:52.008]  So, these are all drama students.
[02:12:52.008 --> 02:12:53.449]  They're also in the school
[02:12:55.068 --> 02:13:01.790]  They want to be journalists, they're trying to get internships at CNN, they're doing CBS interviews that are anti-gun.
[02:13:01.790 --> 02:13:13.274]  Before this happens, and we have a student joining us at the bottom of the hour, who is a real student, gave us his ID, is on the school site.
[02:13:13.274 --> 02:13:23.218]  Snopes came out and said he's an actor, this group funded by Soros that runs the internet, that censors you and everybody else, who's the arbiter of truth, no judge, no jury, just Judge Dredd Snopes.
[02:13:24.446 --> 02:13:28.148]  They came out and said, this is fake by Infowars.
[02:13:28.148 --> 02:13:30.810]  This person isn't real.
[02:13:30.810 --> 02:13:31.690]  We'll put it up on screen.
[02:13:31.690 --> 02:13:37.013]  This young black man, Jalen Martin, he isn't real.
[02:13:37.013 --> 02:13:39.195]  He lives 200 miles away.
[02:13:39.195 --> 02:13:42.256]  So he ended up calling snubs, got on the phone.
[02:13:42.256 --> 02:13:44.498]  They said, oh, we know you're at the school.
[02:13:44.498 --> 02:13:46.539]  We thought someone stole your identity.
[02:13:46.539 --> 02:13:52.923]  So they're saying Jalen Martin, who's on record a senior and survived, and who, by the way, knew the shooter as well,
[02:13:53.983 --> 02:13:56.665]  They're saying he's a fake, okay?
[02:13:56.665 --> 02:14:01.488]  So they're saying what they say we said when we didn't say it.
[02:14:01.488 --> 02:14:13.396]  We, and I agree with Gateway Pundit, said school shooting survivor turned activist, David Hogg's father's FBI, appears to have been coached on anti-Trump lines.
[02:14:13.396 --> 02:14:14.357]  There's no appeared.
[02:14:14.357 --> 02:14:15.717]  There are 3,000 students.
[02:14:15.717 --> 02:14:16.318]  Take this away.
[02:14:18.135 --> 02:14:19.516]  Four of them!
[02:14:19.516 --> 02:14:20.896]  I can't turn on the radio.
[02:14:20.896 --> 02:14:23.357]  We have every major cable channel on.
[02:14:23.357 --> 02:14:36.621]  It's all you see, and then they're laughing and giggling and having fun and hamming the camera and doing narcissist flip-outs and are just on cloud five billion right now, in my opinion.
[02:14:36.621 --> 02:14:39.062]  Cloud nine thousand.
[02:14:39.062 --> 02:14:41.283]  In a man and woman's world, in an adult world,
[02:14:42.043 --> 02:14:47.408]  They are on television, in front of God and country, saying, how dare you do this to us!
[02:14:47.408 --> 02:14:47.929]  No more!
[02:14:47.929 --> 02:14:50.011]  Not one more dead young person, Trump!
[02:14:50.011 --> 02:14:51.632]  You will get rid of the guns!
[02:14:51.632 --> 02:14:52.994]  All gun crime is your fault!
[02:14:52.994 --> 02:14:54.836]  Well, if somebody runs over somebody with a car, it's not their fault.
[02:14:54.836 --> 02:14:59.280]  If somebody stabs somebody, somebody sells somebody heroin, it's not, you know, everybody who ever took an opiate's fault.
[02:14:59.280 --> 02:15:03.764]  But we're supposed to just take this guilt on and let people sit there and lecture us.
[02:15:04.625 --> 02:15:06.206]  You know, in a man's world.
[02:15:06.206 --> 02:15:07.707]  And then, oh, your dad's FBI.
[02:15:07.707 --> 02:15:12.450]  Oh, your mom's a big Hillary supporter and Bernie supporter and Democrat and anti-gun and an activist.
[02:15:12.450 --> 02:15:15.632]  And you're in anti-gun videos with national television.
[02:15:15.632 --> 02:15:16.173]  And all this.
[02:15:16.173 --> 02:15:18.054]  And the school stood down.
[02:15:18.054 --> 02:15:20.816]  And people stood down, even though the girlfriend says he was going to kill everybody.
[02:15:20.816 --> 02:15:21.556]  We warned everybody.
[02:15:21.556 --> 02:15:25.019]  We've interviewed the man that called the FBI on Cruz.
[02:15:25.019 --> 02:15:26.039]  And they wouldn't do anything.
[02:15:26.039 --> 02:15:32.063]  But none of you guys standing down with a clearly autistic individual saying and doing all this have anything to blame.
[02:15:32.063 --> 02:15:33.725]  I'm not blaming the students or even the school.
[02:15:33.725 --> 02:15:34.445]  I'm blaming the government.
[02:15:34.765 --> 02:15:39.331]  And then I'm to blame, and then if I go, wait, why is it four of you out of 3,000?
[02:15:39.331 --> 02:15:41.013]  And why are you all hooked up with the Democrats?
[02:15:41.013 --> 02:15:43.075]  And why are you already in anti-gun programs?
[02:15:43.075 --> 02:15:45.237]  And why are you trying to do internships at CNN?
[02:15:45.237 --> 02:15:54.068]  And then I ask that, I'm supposed to be banned forever, and aides to congressmen are being fired for pointing out these kids look like actors from some Saturday morning special!
[02:15:55.560 --> 02:16:01.402]  Here's a special message for those of you who owe the IRS at least $10,000 or more in back taxes.
[02:16:01.402 --> 02:16:07.544]  The IRS has special programs in place that could eliminate or reduce your tax debt by thousands of dollars.
[02:16:07.544 --> 02:16:10.745]  Call the Federal Tax Management Helpline that has been set up for you.
[02:16:10.745 --> 02:16:12.546]  800-503-8625.
[02:16:12.546 --> 02:16:17.247]  Stop the wage garnishments, levies, and tax liens now.
[02:16:17.247 --> 02:16:21.649]  Once you've qualified and enrolled, the IRS will stop all the collection activities against you.
[02:16:21.869 --> 02:16:22.009]  Yeah.
[02:16:36.929 --> 02:16:37.510]  We're good.
[02:16:55.769 --> 02:16:58.332]  Are you happy washing your hands with harsh chemicals?
[02:16:58.332 --> 02:17:00.494]  Are you happy doing laundry with detergents?
[02:17:00.494 --> 02:17:02.456]  Are you happy paying high prices?
[02:17:02.456 --> 02:17:04.519]  Find your happiness with Pure Soap.
[02:17:04.519 --> 02:17:09.384]  These all-natural, earth-friendly Pure Soaps are the very best you've ever used.
[02:17:09.384 --> 02:17:10.265]  Buy in bulk.
[02:17:10.265 --> 02:17:13.188]  Get a 12, 36, or 48-month supply.
[02:17:13.188 --> 02:17:15.631]  Or get items individually and still save big.
[02:17:15.871 --> 02:17:19.175]  You're getting soap products twice as good as what you're using now.
[02:17:19.175 --> 02:17:21.438]  Earth friendly and natural soaps.
[02:17:21.438 --> 02:17:23.200]  Your family deserves the best.
[02:17:23.200 --> 02:17:25.864]  Happiness is 5starsoap.com.
[02:17:25.864 --> 02:17:28.647]  Why not put your money up the drain for a change?
[02:17:28.647 --> 02:17:31.191]  See them at 5starsoap.com or call
[02:17:31.571 --> 02:17:34.973]  Call 1-800-340-7091 for a catalog.
[02:17:34.973 --> 02:17:42.197]  Cal Bend Soap Company can save you thousands of dollars and give you good, old-fashioned, real soaps that are triple concentrated.
[02:17:42.197 --> 02:17:44.659]  Soaps made from vegetable and coconut oils.
[02:17:44.659 --> 02:17:48.341]  See their full selection of soaps at 5starsoap.com.
[02:17:48.341 --> 02:17:50.442]  That's F-I-V-E, starsoap.com.
[02:17:50.442 --> 02:17:51.503]  Or call 1-800-340-7091 for a catalog.
[02:17:56.633 --> 02:18:05.200]  You know, I've got some talking points here about Caveman from Infowarsandlife.com, but instead of going over those talking points, let me just give you what I've experienced personally.
[02:18:05.200 --> 02:18:09.784]  From all the wives' tales in every culture, we know that the bones have the essence.
[02:18:09.784 --> 02:18:12.907]  We know chicken noodle soup is great for people that are sick.
[02:18:12.907 --> 02:18:16.010]  Again, in every culture, this has been reported because it works.
[02:18:17.529 --> 02:18:30.353]  And there's no way to quantify how strong this is, but the amount of bone protein and the amount of marrow and the amount of concentrated life force that is in this is incredible.
[02:18:30.353 --> 02:18:45.418]  Ladies and gentlemen, whether it's for your joints, whether it's for your arteries and your veins, whether it's for your brain, whether it's for energy, this, ladies and gentlemen, is the strongest, most concentrated bone broth formula out there, and it's amazing.
[02:18:46.418 --> 02:18:50.121]  Find out for yourself today at InfoWarsTore.com what it can do for you and your family.
[02:18:50.121 --> 02:18:52.423]  And again, I want to thank you all for your support.
[02:18:52.423 --> 02:18:57.086]  You are funding the Information War in 2018.
[02:18:57.086 --> 02:19:01.770]  You deserve a deep, restful sleep with Knockout by InfoWars Life.
[02:19:01.770 --> 02:19:12.198]  Our organic formula is made from high-quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[02:19:13.078 --> 02:19:17.882]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[02:19:17.882 --> 02:19:26.289]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[02:19:26.289 --> 02:19:34.015]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[02:19:34.015 --> 02:19:35.957]  Wake up refreshed and take on the day.
[02:19:36.437 --> 02:19:44.383]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[02:19:44.383 --> 02:19:48.066]  Get the sleep you deserve and experience the power of knockout.
[02:19:48.066 --> 02:19:52.429]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[02:19:52.429 --> 02:19:59.594]  That's InfoWarsLife.com.
[02:19:59.594 --> 02:20:02.236]  You're listening to The Alex Jones Show.
[02:20:20.137 --> 02:20:26.623]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[02:20:26.623 --> 02:20:31.247]  You never want a serious crisis to go to waste.
[02:20:31.247 --> 02:20:36.251]  Never waste a good crisis.
[02:20:36.251 --> 02:20:39.113]  And ladies and gentlemen, we are back live.
[02:20:39.113 --> 02:20:42.757]  They never want to let a good crisis go to waste.
[02:20:42.757 --> 02:20:47.501]  I am not saying that there wasn't a mass shooting in Florida.
[02:20:48.530 --> 02:20:54.774]  But when Islamists that Obama and Hillary turned loose in the Middle East kill close to a million people, it's not even a news item.
[02:20:54.774 --> 02:20:56.715]  It's called an Arab Spring.
[02:20:56.715 --> 02:21:04.279]  When Christians and Jews and non-radical Muslims get killed and sold into slavery and little girls gang-raped by over 100 men, it doesn't even hit our news.
[02:21:04.279 --> 02:21:08.081]  But when 15 young people die, it's the end of the world and it's all gun owners' fault.
[02:21:08.081 --> 02:21:12.524]  Now remember Rahm Emanuel, Rahm Emanuel, on
[02:21:14.022 --> 02:21:20.610]  The Wall Street Journal television years ago said, you don't let a good crisis go to waste.
[02:21:20.610 --> 02:21:24.655]  And Hillary, as you just saw, said that as well.
[02:21:24.655 --> 02:21:28.800]  Milo Yiannopoulos, best-selling author, talk show host, is co-hosting with me here today.
[02:21:28.800 --> 02:21:31.063]  But I wanted to just get to the meat and potatoes of what we know.
[02:21:34.346 --> 02:21:36.327]  People want the truth about crisis actors.
[02:21:36.327 --> 02:21:43.332]  We know the Democratic Party has hired crisis actors and run ads for demonstrations and things like that before, and to go out and stir up trouble.
[02:21:43.332 --> 02:21:47.894]  We've gotten the internal contracts where they even wanted them to cause civil unrest.
[02:21:47.894 --> 02:21:50.196]  I'm not saying these are crisis actors.
[02:21:50.196 --> 02:22:00.602]  And the media, when we talk about them being actors, being in journalist school, being fans of CNN, being in anti-gun programs already, is that they're clearly coached, and out of 3,000 students
[02:22:04.590 --> 02:22:06.971]  3,000 students at that high school in Florida.
[02:22:06.971 --> 02:22:10.974]  Four of them are who you see on 99% of the news.
[02:22:10.974 --> 02:22:13.676]  And I've talked to students, we have one coming up in the next segment.
[02:22:13.676 --> 02:22:17.078]  Many of the students are very open-minded or pro-gun.
[02:22:17.078 --> 02:22:19.440]  But none of these students, I've talked to some of them, they're coming up.
[02:22:20.240 --> 02:22:22.882]  Are put on the news because CNN or others will say, what's your view?
[02:22:22.882 --> 02:22:24.103]  They'll do a pre-interview.
[02:22:24.103 --> 02:22:26.965]  When they're pro-gun, they're not invited to the town hall.
[02:22:26.965 --> 02:22:28.567]  They're not invited on the program.
[02:22:28.567 --> 02:22:31.049]  So, are we saying the shooting didn't happen?
[02:22:31.049 --> 02:22:33.831]  Are we saying they're all actors and that they're faking that something happened?
[02:22:33.831 --> 02:22:34.311]  No!
[02:22:34.311 --> 02:22:36.893]  The media is saying that.
[02:22:36.893 --> 02:22:45.280]  What we're saying is that, just as Gateway Pundit wrote, school shooting survivor turned activist dad hogs father
[02:22:47.025 --> 02:22:50.667]  The FBI appears to have been coached on anti-Trump lines.
[02:22:50.667 --> 02:22:51.507]  That's all true.
[02:22:51.507 --> 02:23:10.176]  School shooting survivor, turned activist, his dad is in the FBI and he appears to be heavily coached and then it's the same four people over and over and over again and now he's gone on national television
[02:23:11.124 --> 02:23:11.364]  This is
[02:23:26.124 --> 02:23:27.384]  I'm not a crisis actor.
[02:23:27.384 --> 02:23:28.605]  I am not a crisis actor.
[02:23:28.605 --> 02:23:29.065]  No.
[02:23:29.065 --> 02:23:30.646]  You're a Democratic Party operative.
[02:23:30.646 --> 02:23:32.406]  Your father and your mother are on record.
[02:23:32.406 --> 02:23:33.567]  You go to CNN.
[02:23:33.567 --> 02:23:35.888]  You're all over other news programs being anti-gun.
[02:23:35.888 --> 02:23:41.029]  You were interviewed by CBS to give your whole anti-gun spiel before all this happened.
[02:23:41.029 --> 02:23:48.192]  And so what we're saying is you're being used as a tool, as a spokesman, as a mouthpiece so people can say, oh, it's a child.
[02:23:48.192 --> 02:23:51.673]  Don't disagree with what he says when he says not one more child can die.
[02:23:51.673 --> 02:23:52.574]  Give me your guns.
[02:23:52.574 --> 02:23:53.494]  Well, you're not a child.
[02:23:53.854 --> 02:24:06.919]  You're a senior in high school, who's in journalism school, and also in drama, and so are your other friends, and so you're now in this world, and we're going to point out that why out of 3,000 is it only this four?
[02:24:06.919 --> 02:24:09.180]  Here he is saying he's not a child actor.
[02:24:09.180 --> 02:24:10.780]  First of all, that Donald Trump Jr.
[02:24:10.780 --> 02:24:17.663]  is liking tweets, espousing a conspiracy theory involving you and your dad, I'm wondering what goes through your mind when you hear that?
[02:24:18.604 --> 02:24:24.290]  I'm just so sorry that these people have lost their faith in America, because I know I certainly haven't.
[02:24:24.290 --> 02:24:32.339]  The fact that these people refuse to believe that something like this could happen is something that all of us don't want to believe, but the sad truth is that it is.
[02:24:34.488 --> 02:24:40.451]  These people saying this is absolutely disturbing, and I'm not an actor in any sense, way, shape, or form.
[02:24:40.451 --> 02:24:44.773]  I'm the son of a former FBI agent, and that is true.
[02:24:44.773 --> 02:24:48.594]  But as such, it is also true that I went to- that I go to Stoneman Douglas High School.
[02:24:48.594 --> 02:24:51.135]  When was the last time you ever heard a kid say, as such?
[02:24:51.135 --> 02:24:53.636]  He was looking off when he was reading a cue card.
[02:24:53.636 --> 02:24:57.258]  When was the last time you ever heard a kid say, as such?
[02:24:57.258 --> 02:24:57.718]  In that way.
[02:24:57.718 --> 02:24:57.938]  As such.
[02:24:57.938 --> 02:24:59.599]  Well, that's the whole thing is...
[02:25:01.940 --> 02:25:04.241]  It's unbelievable to me that these people are even saying this.
[02:25:04.241 --> 02:25:05.642]  And the fact that Donald Trump Jr.
[02:25:05.642 --> 02:25:08.643]  liked that post, it's disgusting to me.
[02:25:08.643 --> 02:25:16.287]  But it's also false in terms of the sense that these people keep saying that I'm anti-Second Amendment.
[02:25:16.287 --> 02:25:16.627]  I'm not.
[02:25:17.427 --> 02:25:21.589]  I would love, if, I want everyone... That is a classic Bloomberg line.
[02:25:21.589 --> 02:25:23.090]  Everything out of these guys' mouth.
[02:25:23.090 --> 02:25:24.170]  It's a lie, Mike.
[02:25:24.170 --> 02:25:26.231]  All right, hit pause for a minute.
[02:25:26.231 --> 02:25:36.936]  Milo, all I'm saying is, Jim Hoff shouldn't be kicked off speaking engagements, and they shouldn't have members of Congress' aides being fired because they said these kids look like actors and sound like it.
[02:25:36.936 --> 02:25:37.296]  By the way,
[02:25:37.856 --> 02:25:42.901]  It's all the same four ones and all these anti-gun deals and CBS News reports.
[02:25:42.901 --> 02:25:46.965]  I mean, we've got all this and now, day one, they're the only ones all over the news.
[02:25:46.965 --> 02:25:48.767]  I mean, that right there, Milo.
[02:25:48.767 --> 02:25:49.968]  It's just very weird to me.
[02:25:49.968 --> 02:25:57.316]  You've got this town where the biggest news story of the month, maybe it's going to turn into the biggest news story of the year, is happening.
[02:25:57.316 --> 02:25:59.338]  It's swarming with reporters.
[02:25:59.998 --> 02:26:02.339]  Everywhere you look there are reporters.
[02:26:02.339 --> 02:26:06.161]  Everywhere you look there are journalists and news cameras.
[02:26:06.161 --> 02:26:11.945]  And yet the only people allowed to be interviewed are these same couple of kids.
[02:26:11.945 --> 02:26:14.286]  That's not how crises work.
[02:26:14.286 --> 02:26:16.267]  I've been a journalist for like eight, nine years.
[02:26:16.267 --> 02:26:18.008]  This is not how it works on the ground.
[02:26:18.008 --> 02:26:19.189]  You get whoever you can.
[02:26:20.149 --> 02:26:26.712]  There must have been some kind of organizational decision-making to put these four kids forward.
[02:26:26.712 --> 02:26:47.623]  Someone's made that decision, and they've made that decision in consultation with parents, with the teachers, and... And they hit the ground within... Before the shooting's even over, Hogg is videotaping in closets, like, the aliens are at the door, they're about to kill us, and you can... It's like, oh my God, they're coming... It's like Blair Witch Project, and then they're out there everywhere, everywhere, everywhere, everywhere.
[02:26:48.245 --> 02:26:50.061]  Yeah, I mean, look... But no one else!
[02:26:51.573 --> 02:27:10.198]  What's really bizarre to me is that these four kids, all of whom have the same opinion, all four kids share the same views, the same ideas about what should happen, all appear, they're all beautifully eloquent, nicely turned out, they're, you know, this is... Look at this, they've all got glamour shots.
[02:27:10.198 --> 02:27:12.418]  Here, document Kim on this shot, show the HD of it.
[02:27:12.418 --> 02:27:14.199]  They've all got glamour shots.
