[00:00:12.310 --> 00:00:18.576]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:50:04.144 --> 00:50:17.393]  And that's why it's so important you pray for InfoWars, why it's so critical you thank the local TV stations and radio stations that pick us up and spread the word, and why you go to infowarsstore.com and do your Christmas shopping there.
[00:50:17.393 --> 00:50:22.777]  For T-shirts and books and films and air filters and water filters, all the best systems and great supplements.
[00:50:22.777 --> 00:50:24.618]  Shop with us and you've got my commitment.
[00:50:24.618 --> 00:50:29.442]  I'll fight till we beat the globalists or go down swinging.
[00:50:29.442 --> 00:50:31.583]  All right, let's go to this first clip.
[00:50:31.583 --> 00:50:33.745]  This is McCarthy, he was Assistant US Attorney.
[00:50:35.282 --> 00:50:37.524]  It's a Fox News story.
[00:50:37.524 --> 00:50:40.586]  Why Trump is likely to be indicted by a Manhattan U.S.
[00:50:40.586 --> 00:50:41.247]  attorney.
[00:50:41.247 --> 00:50:43.448]  That's been the plan all along.
[00:50:43.448 --> 00:50:43.829]  Here it is.
[00:50:44.984 --> 00:50:53.087]  A lot of people don't like the campaign finance laws but they are the law and the Southern District really champions them in a big way.
[00:50:53.087 --> 00:51:04.991]  I think that's important because it's clear that they have implicated the president in the two campaign finance violations that Cohen pled guilty to and will be sentenced on.
[00:51:04.991 --> 00:51:08.292]  They have the president basically directing Cohen
[00:51:09.492 --> 00:51:20.799]  They have the president directing it.
[00:51:20.799 --> 00:51:23.521]  Did you guys queue up the audio?
[00:51:23.521 --> 00:51:24.822]  I forgot to ask during the break.
[00:51:24.822 --> 00:51:29.744]  Did you guys queue up the famous Trump Cohen type?
[00:51:29.744 --> 00:51:32.506]  Where?
[00:51:32.506 --> 00:51:34.747]  Yeah, well, we're gonna play that after the next clip.
[00:51:34.747 --> 00:51:37.189]  But the point is, remember they hyped this all up?
[00:51:38.663 --> 00:51:42.284]  Dun-dun-dun, we've got Cohen, Trump admitting he paid off somebody.
[00:51:42.284 --> 00:51:44.165]  And then he's in there saying, yeah, we gotta make the payment.
[00:51:44.165 --> 00:51:47.886]  Trump goes, no, what are you talking about?
[00:51:47.886 --> 00:51:55.269]  But again, Russia, women, 10, 15 years ago, Trump giving them money.
[00:51:55.269 --> 00:51:58.670]  Cohen says Trump never told him to do it through the campaign.
[00:51:58.670 --> 00:51:59.651]  Now he says he did.
[00:51:59.651 --> 00:52:03.272]  This is a known liar trying to cover his ass, but it doesn't matter.
[00:52:04.912 --> 00:52:06.393]  Trump's his own branch of government.
[00:52:06.393 --> 00:52:21.798]  The Democrats are selling this country out hand over fist, illegally smuggling children in, even The Washington Post admits, open borders, selling us out to China, letting China put spy chips in our defense hardware, giving them the Office of Personnel Management hack.
[00:52:22.498 --> 00:52:41.589]  Hillary's billions in her illegal foundation paper play, her illegal server, all of it, and then a bunch of angry Democrats running this persecution of Trump, and all they've got is a lying stool pigeon saying Trump told him to use campaign money to pay off a woman, when only a crazy-ass person would do that, and there's no proof?
[00:52:41.589 --> 00:52:43.490]  Good Lord!
[00:52:43.490 --> 00:52:46.512]  If America buys this, then we deserve what happened to us.
[00:52:49.656 --> 00:52:51.757]  Let's go to Schiff.
[00:52:51.757 --> 00:52:52.518]  Old Angel Eyes.
[00:52:52.518 --> 00:52:57.500]  I mean, if anybody's got pervert eyes in the world, it's him.
[00:52:57.500 --> 00:53:00.382]  Those little... whatever you call them.
[00:53:00.382 --> 00:53:05.485]  He's always... Hi, I'm Congressman Schiff.
[00:53:05.485 --> 00:53:08.186]  Here he is, today.
[00:53:08.186 --> 00:53:15.911]  Democrat California, head of the Intelligence Committee now, on Sunday said President Donald Trump could face real prospect of jail time.
[00:53:15.911 --> 00:53:16.171]  Here it is.
[00:53:17.004 --> 00:53:24.412]  The filing made Friday by federal prosecutors in Manhattan references individual one about 30 times.
[00:53:24.412 --> 00:53:31.899]  Individual one is President Trump and it appears to link him to campaign finance violations.
[00:53:31.899 --> 00:53:34.301]  It doesn't charge him with any wrongdoing though.
[00:53:34.301 --> 00:53:35.102]  What's your takeaway?
[00:53:36.132 --> 00:53:43.534]  My takeaway is there's a very real prospect that on the day Donald Trump leaves office, the Justice Department may indict him.
[00:53:43.534 --> 00:53:48.815]  That he may be the first president in quite some time to face the real prospect of jail time.
[00:53:48.815 --> 00:53:54.956]  We have been discussing the issue of pardons that the president may offer to people or dangling in front of people.
[00:53:54.956 --> 00:54:01.757]  The bigger pardon question may come down the road as the next president has to determine whether to pardon Donald Trump.
[00:54:01.757 --> 00:54:04.398]  Now I think that the prosecutors in New York make a powerful case
[00:54:05.238 --> 00:54:06.540]  Against that idea.
[00:54:06.540 --> 00:54:17.229]  All the arguments they make about Michael Cohen, the idea that while people are out walking precincts and doing what they should do in campaigns, the rich and powerful seem to live by a different set of rules.
[00:54:17.229 --> 00:54:21.573]  This was the argument for putting Michael Cohen in jail on his campaign violations.
[00:54:21.573 --> 00:54:26.178]  That argument, I think, was equally made with respect to individual one, the President of the United States.
[00:54:26.818 --> 00:54:33.983]  The president's attorney Rudy Giuliani says though that this can't be a campaign finance violation because of the precedent set.
[00:54:33.983 --> 00:54:43.670]  He cites specifically what happened with former vice presidential candidate and Democrat John Edwards who used campaign funding to cover up an affair.
[00:54:43.670 --> 00:54:45.692]  What do you make of that defense and interpretation?
[00:54:46.412 --> 00:54:54.094]  Well, it's clear the Justice Department here is making the argument that the principal purpose of these payments was to affect the election.
[00:54:54.094 --> 00:54:56.374]  And Cohen has admitted as much.
[00:54:56.374 --> 00:54:59.915]  I think in the case with Edwards there were problems of proof.
[00:54:59.915 --> 00:55:07.037]  Here it appears the Justice Department doesn't think there's any problem of proving that this was intended to principally affect the election.
[00:55:09.157 --> 00:55:21.085]  To have the Justice Department basically say that the President of the United States not only coordinated but directed an illegal campaign scheme that may have had an election-altering impact is pretty...
[00:55:23.379 --> 00:55:26.081]  So, again, he just changes the subject.
[00:55:26.081 --> 00:55:27.162]  There's no Russiagate.
[00:55:27.162 --> 00:55:27.923]  There's no nothing.
[00:55:27.923 --> 00:55:30.084]  These people are literally selling the country out.
[00:55:30.084 --> 00:55:34.828]  The Democrat policy, their platform is, we believe America doesn't exist.
[00:55:34.828 --> 00:55:35.889]  We hate America.
[00:55:35.889 --> 00:55:36.870]  It was never great.
[00:55:36.870 --> 00:55:37.971]  We have open borders.
[00:55:37.971 --> 00:55:40.052]  We're going to sell all our jobs out to China.
[00:55:40.052 --> 00:55:41.333]  We're in bed with the UN.
[00:55:41.333 --> 00:55:43.715]  Hillary gets billions of her foundation pay-per-play.
[00:55:43.715 --> 00:55:46.197]  And now, here's your Russiagate.
[00:55:46.197 --> 00:55:50.841]  Cohen says they used Trump's money through the campaign to pay a woman.
[00:55:53.217 --> 00:55:55.559]  Let's play this other clip.
[00:55:55.559 --> 00:56:03.807]  Here's ABC, NBC, hype the inevitable impeachment because he's actually a real president.
[00:56:03.807 --> 00:56:09.333]  Are we going to hear more of this in January now from leading Democrats that maybe there are impeachable offenses here?
[00:56:10.017 --> 00:56:23.884]  I think it's inevitable, and in fact I think there's going to be a point where House Democrats are going to feel as if, if they don't open an impeachment inquiry over what they've seen so far, then what would be the trigger?
[00:56:23.884 --> 00:56:30.868]  A future Congress in 25 years may be upset that this next Congress didn't do it.
[00:56:30.868 --> 00:56:32.949]  You know, there is so much
[00:56:34.089 --> 00:56:46.521]  Alleged law breaking that has taken place, that if Congress at all wants to be a watchdog for the executive branch, I think it's inevitable.
[00:56:46.521 --> 00:56:49.483]  So look, I think it's inevitable that an impeachment inquiry is going to get open.
[00:56:49.483 --> 00:56:52.526]  And as Jerry Nadler says, that doesn't mean they will end up impeaching him.
[00:56:52.526 --> 00:56:53.487]  Right.
[00:56:53.487 --> 00:56:56.670]  But I think the investigation is going to open sooner rather than later.
[00:56:56.670 --> 00:56:57.751]  They at least have to go there.
[00:57:01.778 --> 00:57:06.181]  If you look at Chuck Todd and all these people, they worked for Obama, they worked for Hillary.
[00:57:06.181 --> 00:57:10.364]  It's all these people are Democratic Party hacks.
[00:57:10.364 --> 00:57:12.606]  The literal party of, we hate America.
[00:57:12.606 --> 00:57:17.450]  We hate your guns, we hate Christians, we hate veterans, we hate prosperity, we hate everything.
[00:57:17.450 --> 00:57:22.693]  Here are these dirtbags all up there, they never tell you, oh by the way, I'm a Democratic Party operative.
[00:57:22.693 --> 00:57:24.555]  Covering my own ass.
[00:57:24.555 --> 00:57:27.277]  Because if it ever comes out what we've done in this country, it's over for all of us.
[00:57:28.790 --> 00:57:30.652]  Well, America is standing with InfoWars.
[00:57:30.652 --> 00:57:32.693]  We stand with you, and I appreciate your support.
[00:57:32.693 --> 00:57:35.755]  Whatever you do, do your Christmas shopping at InfoWarsStore.com.
[00:57:35.755 --> 00:57:36.876]  The biggest sales in our history.
[00:57:36.876 --> 00:57:37.857]  Store-wide free shipping.
[00:57:37.857 --> 00:57:42.100]  50 to 75% off all the best-selling items and general items as well.
[00:57:42.100 --> 00:57:45.622]  Double Patriot points and a free t-shirt with every order.
[00:57:45.622 --> 00:57:46.142]  That's right.
[00:57:46.142 --> 00:57:47.023]  Biggest deals ever.
[00:57:47.023 --> 00:57:47.904]  InfoWarsStore.com.
[00:57:50.057 --> 00:57:58.404]  Introducing the final and biggest sale of 2018, InfoWars is proud to introduce the 12 Days of Christmas.
[00:57:58.404 --> 00:58:09.833]  And it's bigger than any previous sale before as this sale just escalates as we attempt to clear out all of our amazing inventory to escape the dreaded inventory tax at the end of the year.
[00:58:09.833 --> 00:58:17.640]  So get great products and help fund the InfoWars right now with the 12 Days of Christmas that is special amongst a group of incredible sales.
[00:58:20.381 --> 00:58:27.165]  Up to 75% off on top sellers, including free shipping, double patriot points, and unprecedented daily specials.
[00:58:27.165 --> 00:58:34.590]  Santa Claus isn't real, but the New World Order and the globalists trying to destroy our nation's sovereignty and trying to shut down the free press is.
[00:58:34.590 --> 00:58:42.635]  And that's why when you get great products at InfoWareStore.com, you don't just give yourself the gift of high quality supplements, or storable foods, or incredible water filtration.
[00:58:42.955 --> 00:58:49.056]  No, you give yourself the gift of funding the First Amendment in a desperate attempt to save this country.
[00:58:49.056 --> 00:58:54.478]  Even though InfoWars has delivered the fight against tyranny like no other, we're not just asking for your support.
[00:58:54.478 --> 00:58:58.679]  We're asking you to have a 360 win because this is the biggest sale of the year.
[00:58:58.679 --> 00:59:10.682]  We're extending store-wide free shipping up to 75% off of best-selling items, double Patriot points, and for the 12 days of Christmas leading up to Christmas, every day we have one particular special that is up to 75% off.
[00:59:12.882 --> 00:59:18.948]  Now more than ever, InfoWars needs your support to continue to promote the spirit of liberty and Americana.
[00:59:18.948 --> 00:59:21.110]  It truly is the Christmas spirit.
[00:59:21.110 --> 00:59:25.734]  When you shop at InfoWarsStore.com, you don't just get incredible sales during the 12 days of Christmas.
[00:59:25.734 --> 00:59:28.416]  You fund the very tip of the spear in the fight against the globalists.
[00:59:29.757 --> 00:59:31.938]  You're listening to the Alex Jones Show!
[01:00:11.067 --> 01:00:15.223]  You're listening to an InfoWars.com Frontline Report.
[01:00:15.223 --> 01:00:16.628]  It's Alex Jones.
[01:00:17.666 --> 01:00:20.307]  Well, a lot of incredible things are happening.
[01:00:20.307 --> 01:00:24.989]  I can officially tell you the New World Order Corporate World Government Program is falling.
[01:00:24.989 --> 01:00:29.210]  Humanity has awakened to the fact that our nations are run by these multinational corporations.
[01:00:29.210 --> 01:00:33.292]  They have a very sinister agenda of depopulation and planetary control in place.
[01:00:33.292 --> 01:00:36.953]  They'll be breaking it all down the other side with Dr. Nick Begich in studio.
[01:00:36.953 --> 01:00:44.956]  But first, a critical report, ladies and gentlemen, dealing with the Clinton body count because Trump's getting ready to declassify a lot of documents on this.
[01:00:54.650 --> 01:01:07.297]  The popular term, Clinton body count, has been described as a list of Clinton associates who met their untimely death, some by orders from the Clintons themselves.
[01:01:07.297 --> 01:01:13.420]  Google has altered its search algorithm to prevent searches for Clinton body count from auto-completing.
[01:01:16.035 --> 01:01:27.541]  Just recently, the Twitter account, at Robbie12692, released a thread called, The Clinton Body Count.
[01:01:27.541 --> 01:01:32.284]  The following are just some of the names on that list.
[01:01:32.284 --> 01:01:39.308]  We see the popularity of the Clinton brand being shunned by most Americans.
[01:01:39.308 --> 01:01:42.970]  Is this the final curtain call for the Clintons and their criminal cabal?
[01:01:46.298 --> 01:01:51.261]  The first major Clinton scandal was in the late 80s.
[01:01:51.261 --> 01:02:08.453]  While Bill Clinton was governor of Arkansas, there were allegations of a CIA-run operation out of Mena Regional Airport, where guns were allegedly being exported to Nicaraguan contras, and cocaine was being imported to fund the operation.
[01:02:08.453 --> 01:02:15.678]  Strangely enough, several key witnesses involved in this investigation were murdered before giving their testimony.
[01:02:16.979 --> 01:02:23.425]  And several investigators were also murdered.
[01:02:23.425 --> 01:02:26.248]  Next came the Whitewater scandal.
[01:02:26.248 --> 01:02:35.097]  And oddly enough, several more witnesses and investigators mysteriously died.
[01:02:35.097 --> 01:02:37.078]  Most were declared to be suicides.
[01:02:38.780 --> 01:02:46.544]  Vincent Foster was shot in the mouth and in the back of the neck with two different calibers, and it was ruled a suicide.
[01:02:46.544 --> 01:02:55.888]  And did you know that during the Monica Lewinsky scandal, two of Bill Clinton's female interns were murdered?
[01:02:55.888 --> 01:02:58.910]  Coincidence, maybe.
[01:02:58.910 --> 01:03:07.154]  Throughout the years, several journalists investigating the Clintons were killed, committed suicide, or mysteriously died.
[01:03:09.756 --> 01:03:24.146]  And after President Trump called for an investigation into the Clinton Foundation, strangely enough, several close associates, whistleblowers, and investigators also killed themselves.
[01:03:24.146 --> 01:03:27.988]  The Palladino's house exploded.
[01:03:27.988 --> 01:03:34.132]  And Lara Projotko fell 27 stories down a trash chute.
[01:03:34.132 --> 01:03:37.094]  Is it all coincidence?
[01:03:37.094 --> 01:03:38.215]  Are the Clintons cursed?
[01:03:39.321 --> 01:03:41.544]  Or are they criminals?
[01:03:41.544 --> 01:03:48.352]  After two years of investigation, nothing criminal has been discovered about President Donald Trump.
[01:03:48.352 --> 01:03:51.055]  What about the Clintons and their associates?
[01:03:55.512 --> 01:04:04.364]  Quite arguably, the majority of Americans elected President Trump to investigate the Clinton and other suspected deep state criminals.
[01:04:04.364 --> 01:04:09.310]  The crowds of Americans chanting, lock her up, are not racist Nazis.
[01:04:10.452 --> 01:04:16.456]  No, they are simply tired of a lifetime of voting for the lesser of two evils.
[01:04:16.456 --> 01:04:24.760]  Many believe that if the Trump presidency reaches its end without bringing justice to the deep state, then it will be a total failure.
[01:04:24.760 --> 01:04:27.422]  Nothing will have changed.
[01:04:27.422 --> 01:04:31.985]  So let us come together as Americans and seek justice for our children.
[01:04:33.125 --> 01:04:36.467]  For only the truth shall set us free.
[01:04:36.467 --> 01:04:41.669]  President Trump asks, can Americans handle what I am about to release?
[01:04:41.669 --> 01:04:44.870]  We can, and we must.
[01:04:44.870 --> 01:04:46.591]  This is Greg Reese for NewsWars.com.
[01:04:58.493 --> 01:05:00.814]  Fueling your body is hard work.
[01:05:00.814 --> 01:05:06.596]  That's why we've introduced the InfoWars Life Daily Digestive Pack to help you fuel it right.
[01:05:06.596 --> 01:05:15.018]  Combine FloraLife Everyday Maintenance and Carnivore to help you fuel your gut and body and take advantage of the powerful nutrients you receive.
[01:05:15.018 --> 01:05:17.239]  There's no better way to power your body.
[01:05:17.779 --> 01:05:24.666]  Floralife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[01:05:24.666 --> 01:05:35.138]  When paired with Carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[01:05:35.798 --> 01:05:43.266]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[01:05:43.266 --> 01:05:49.432]  There's no better time to try Floralife and Carnivore to see how well they can support your body.
[01:05:49.432 --> 01:05:53.256]  Don't miss out on the chance to fuel your body and support recovery.
[01:05:53.256 --> 01:05:56.420]  Try the InfoWars Life Daily Digestive Pack today!
[01:05:59.600 --> 01:06:02.422]  We've got it.
[01:06:02.422 --> 01:06:06.684]  This transmission is coming to you.
[01:06:06.684 --> 01:06:11.067]  Waging war on corruption.
[01:06:11.067 --> 01:06:16.730]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[01:06:32.518 --> 01:06:37.424]  Well, one of the longest guests I've had on over the years, for the longest period of time, he's been a guest.
[01:06:37.424 --> 01:06:38.065]  One of my favorite people.
[01:06:38.065 --> 01:06:39.607]  Nick Beggis is in the studio with us.
[01:06:39.607 --> 01:06:40.888]  He's here in Austin for a few days.
[01:06:40.888 --> 01:06:45.494]  He's going to be sitting there with me tomorrow and throughout the week guest, co-hosting with us some.
[01:06:46.772 --> 01:07:02.240]  And he's really the guy that got people to look at the shadow government, to look at the technocracy, which the EU now calls themselves, Davos now calls themselves, and to study kind of the mad scientists and what they're building.
[01:07:02.240 --> 01:07:10.544]  And so for the next three segments after this one, I want to focus on that and really who runs it, what their endgame is.
[01:07:10.544 --> 01:07:14.466]  But just right now, the state of the world, again, earthpulse.com is a great website,
[01:07:15.310 --> 01:07:16.891]  And I'm not going to get into the whole background.
[01:07:16.891 --> 01:07:19.373]  Your dad's a famous congressman, whistleblower, your brother a U.S.
[01:07:19.373 --> 01:07:20.414]  Senator.
[01:07:20.414 --> 01:07:22.355]  We've also got all your best-selling books.
[01:07:22.355 --> 01:07:31.783]  We sell your DVDs at m4store.com, but you obviously are a scientist and researcher and world-renowned for exposing HAARP and so many other things.
[01:07:31.783 --> 01:07:32.383]  And now M.K.
[01:07:32.383 --> 01:07:34.305]  Older has been more declassified this week.
[01:07:34.305 --> 01:07:36.967]  We've got the guy that got declassified on tomorrow.
[01:07:36.967 --> 01:07:39.689]  We're going to look at the endgame next segment, but the time we have in this short segment
[01:07:41.642 --> 01:07:47.266]  Big giant blue armored vehicles with foreign troops in Paris suppressing their own population.
[01:07:47.266 --> 01:07:48.647]  Global carbon taxes.
[01:07:48.647 --> 01:07:51.509]  Open announcements of human animal chimera clones.
[01:07:51.509 --> 01:07:59.874]  Open announcements of Google and other big tech companies working with China to suppress their people and now here.
[01:07:59.874 --> 01:08:06.939]  All of this world government, all of it, it's this weird paradox now where it's not that we're passe, we've been proven right.
[01:08:06.939 --> 01:08:09.821]  And so now that we've been proven right, we've gotta be suppressed.
[01:08:10.601 --> 01:08:16.464]  There was a certain, I think, arrogance the last few decades by the establishment, by the technocracy, that, you know, no one's listening.
[01:08:16.464 --> 01:08:26.869]  But now that they do know that they're in trouble and nationalism and populism and a pro-human future movement's growing, that there is a move now to kind of accelerate and block us.
[01:08:26.869 --> 01:08:28.290]  So what would you, A, do you agree?
[01:08:28.290 --> 01:08:29.491]  B, do you disagree?
[01:08:29.491 --> 01:08:32.272]  But what would you call this period of time we're in right now?
[01:08:32.472 --> 01:08:33.953]  That's totally accurate.
[01:08:33.953 --> 01:08:46.559]  I mean in terms of your assessment of the current situation and as I see it and how it's developed over the years, it is a tech, you know, the technical aspects of our society and if you think about governments, what makes governments powerful in the 21st century?
[01:08:46.559 --> 01:08:47.439]  It is technology.
[01:08:47.779 --> 01:08:49.181]  That is the essence of it.
[01:08:49.181 --> 01:09:00.758]  And so, within a democratic republic, and that's been sort of my mission the last 25 years that we've been working together, is to educate people on the technologies that shape what our republic is going to look like now and in the future.
[01:09:00.758 --> 01:09:03.762]  And so, 25 years of warning, and now what we see is a matrix.
[01:09:04.463 --> 01:09:05.224]  Really.
[01:09:05.224 --> 01:09:07.846]  That's exactly what you warned of.
[01:09:07.846 --> 01:09:13.510]  Which is not, we're not like, oh great, we were right, it's like, oh my god, we'll be right about the next phase, we're really screwed.
[01:09:13.510 --> 01:09:18.173]  Well, I'm kind of a little bit of a contrarian in terms of how this is going.
[01:09:18.173 --> 01:09:20.395]  No, no, I agree, I think things are about to boomerang.
[01:09:20.395 --> 01:09:33.284]  I think so too, and people react to trauma, okay, and we are in a traumatic phase in our history, and I think everybody would agree, and it's not just in the U.S., but I travel a lot around the world, I see exactly the same overlays by the same
[01:09:34.170 --> 01:09:37.311]  Corporate, banking, elite, community.
[01:09:37.311 --> 01:09:39.272]  But they changed it just a little bit.
[01:09:39.272 --> 01:09:41.913]  So the Europeans get their little dose.
[01:09:41.913 --> 01:09:43.614]  Latin Americans get a different dose.
[01:09:43.614 --> 01:09:45.855]  And Americans and Canadians, we get a different dose.
[01:09:45.855 --> 01:09:48.716]  And it's culturally corrected.
[01:09:48.716 --> 01:09:49.576]  So it fits in.
[01:09:49.576 --> 01:09:51.337]  It kind of comes in under the door.
[01:09:51.337 --> 01:09:52.998]  And that's exactly the way it's happened.
[01:09:52.998 --> 01:09:54.038]  A little bite at a time.
[01:09:54.038 --> 01:09:55.799]  And you can see it's globally coordinated.
[01:09:56.059 --> 01:09:57.019]  Absolutely coordinated.
[01:09:57.019 --> 01:09:59.720]  And that's where, that's what really jumps out when you travel.
[01:09:59.720 --> 01:10:04.502]  Because you hear the same buzzwords, the same key phrases, the same push.
[01:10:04.502 --> 01:10:06.503]  And then you see where the delays are.
[01:10:06.503 --> 01:10:09.364]  Like in Latin America, the delay on the current generation.
[01:10:09.364 --> 01:10:13.865]  There's still courtesy, there's still people talking to each other, there's still kindness.
[01:10:13.865 --> 01:10:17.647]  As a general way of being when I'm in far Latin America, Ecuador, Peru, these areas.
[01:10:18.647 --> 01:10:21.929]  When you look at what's changed... No, you're right.
[01:10:21.929 --> 01:10:24.251]  They're removing the humanity from our children.
[01:10:24.251 --> 01:10:27.153]  And even if we know what's going on, we can't even save them.
[01:10:27.153 --> 01:10:28.033]  No, I mean, we're fine.
[01:10:28.033 --> 01:10:29.014]  I fight with it all the time.
[01:10:29.014 --> 01:10:34.538]  I mean, we deal with our children, and I mean, I have still an 11-year-old at home.
[01:10:34.538 --> 01:10:43.964]  And just trying to overcome the school district programming, with my own family programming, if you will, you know, my value system and how I see the world,
[01:10:44.584 --> 01:10:46.505]  And it's becoming increasingly more difficult.
[01:10:46.505 --> 01:10:48.947]  Media used to be about informing.
[01:10:48.947 --> 01:10:58.853]  I mean, when you think about what this program is about, what Infowars is about, it's about informing the public so we can make decisions within a democratic republic that lead to a better way.
[01:10:58.853 --> 01:11:03.957]  What we see in government and what we see in education now is a way of complying, fitting in.
[01:11:04.537 --> 01:11:08.298]  Not raising your head, don't stand up, don't speak out.
[01:11:08.298 --> 01:11:12.679]  These are the things that political speech has begun to frame with our children.
[01:11:12.679 --> 01:11:16.761]  It's classic 1984, I mean they're going with, like it's an instruction manual.
[01:11:16.761 --> 01:11:25.863]  Right, and it's just change the words, change the phrases, and basically, you know, make BS into fertilizer, you know, and this is really it.
[01:11:25.863 --> 01:11:28.284]  And as I look at sort of the shaping of
[01:11:29.064 --> 01:11:30.505]  What's going on in Europe right now?
[01:11:30.505 --> 01:11:31.626]  The backlash.
[01:11:31.626 --> 01:11:44.134]  And the French are notorious, of course, for, you know, the beginnings of democracy, if you really will, going back, you know, back to when it was all about eating cake and they dumped the king and created a republic.
[01:11:44.134 --> 01:11:46.456]  You know, the same is possible again.
[01:11:46.456 --> 01:11:47.477]  And I think that's what we're seeing.
[01:11:47.477 --> 01:11:57.083]  If you think about... I was about to say, you think the French are totally broke back and serving the globalists, but that's where they push the hardest and that's where the explosion happens, right where the globalists didn't think it would.
[01:11:57.083 --> 01:11:57.383]  Right.
[01:11:57.383 --> 01:11:58.084]  And this is where
[01:11:58.864 --> 01:12:06.612]  You put this much pressure on people, and you try and suppress people in this way, eventually it breaks out, and that is what we're beginning to see.
[01:12:06.612 --> 01:12:08.614]  People are fed up, tired of it.
[01:12:08.614 --> 01:12:10.676]  And you've been continually predicting that?
[01:12:10.676 --> 01:12:12.818]  Absolutely, and I think the other side of it is.
[01:12:13.741 --> 01:12:29.419]  As people come through the trauma of it, they will reclaim the power of who we are as human beings, begin to express ourselves as we were intended, as we were created to be, to shape the world, to frame the world, not to be pushed along, molded and herded through the earth.
[01:12:29.419 --> 01:12:30.040]  We're here as
[01:12:31.361 --> 01:12:49.128]  Sovereign, individual, co-custodians of a planet with an objective to change the world, to push back on the elites, to push back on globalism and recognize nationalism not just as a theme for the United States but a theme that's being echoed around the world because nationalism is about
[01:12:49.828 --> 01:12:53.370]  Local, regional values being expressed within our cultures and society.
[01:12:53.370 --> 01:12:54.390]  It's about humanity.
[01:12:54.390 --> 01:12:55.571]  And it is about humanity.
[01:12:55.571 --> 01:12:56.771]  The diversity of who we are.
[01:12:56.771 --> 01:13:03.474]  Notice the controlled corporate left, I would call you a classical liberal like I am, the so-called leftists though would say, oh get rid of that.
[01:13:03.474 --> 01:13:05.795]  No, real diversity is the different communities.
[01:13:06.175 --> 01:13:06.775]  Absolutely!
[01:13:06.775 --> 01:13:11.298]  And the fact of the matter is, when I go to another country, I conform with those social norms.
[01:13:11.298 --> 01:13:12.839]  Because I'm their guest.
[01:13:12.839 --> 01:13:13.860]  I mean, that's how I view it.
[01:13:13.860 --> 01:13:15.441]  And I travel a lot.
[01:13:15.441 --> 01:13:21.984]  And I mean, you know, when you go to certain parts of the world, there are certain things you don't do, there are certain things that you do, and it's a matter of respect.
[01:13:21.984 --> 01:13:25.707]  I mean, in France, a woman can walk topless on a beach and no one will blink.
[01:13:25.707 --> 01:13:28.328]  Try that in Saudi Arabia and see what happens to you.
[01:13:28.328 --> 01:13:28.608]  Right?
[01:13:28.608 --> 01:13:33.051]  I mean, but these are value systems that cultures accept in one place and another.
[01:13:34.355 --> 01:13:36.797]  But, but how we react to each other.
[01:13:36.797 --> 01:13:49.804]  I don't say we have to accept what everybody does, but when we first... Sure, all I'm trying to do is realize there's a big corporate program that doesn't want women to be women, men to be men, that is threatened by normal human biological instinct and drive.
[01:13:49.804 --> 01:13:52.186]  It's trying to cut us off from our source.
[01:13:52.659 --> 01:13:53.800]  Yeah, that's very true.
[01:13:53.800 --> 01:14:02.709]  In fact, if you go back to sort of the biological side of that, for just a minute to switch over to the science side, there are false estrogens all through our environment now.
[01:14:02.709 --> 01:14:07.955]  And there's about a thousand of these that are compounds created and introduced to our environment annually.
[01:14:07.955 --> 01:14:11.038]  And these create a feminizing of species.
[01:14:11.038 --> 01:14:12.439]  And you see it in the northern regions.
[01:14:12.439 --> 01:14:13.981]  The reason you see it in the northern regions
[01:14:14.441 --> 01:14:14.541]  Yes.
[01:14:29.955 --> 01:14:35.641]  Higher rates of sterilization, feminization of boys, in terms of physiologically changing.
[01:14:35.641 --> 01:14:37.443]  Because we have more estrogen in us.
[01:14:37.443 --> 01:14:42.989]  I was reading studies like European genitals, especially in the north, are about a third the size they were 50 years ago.
[01:14:42.989 --> 01:14:44.071]  Sperm counts are gone.
[01:14:44.071 --> 01:14:45.172]  I mean, this is happening.
[01:14:45.592 --> 01:14:59.056]  This is happening now, and this came out of a work that was culminated in a book called Our Stolen Future, and it was written by a group of MIT scientists and others looking at this a number of years ago, and we lectured together actually in the European... Let's talk about that.
[01:14:59.056 --> 01:15:08.319]  So instead of looking at you and top scientists, Our Stolen Future, and all the admissions, just have me say they're making the frogs gay as a side note and make it all a big joke.
[01:15:09.059 --> 01:15:16.304]  Even though it's all the total holocaust of our species, giving women breast cancer, sterilizing men, but it's all funny.
[01:15:16.304 --> 01:15:25.171]  This is real, and this is actually happening, and when I talk about it being addressed, it was addressed almost 15 years ago, in Europe, as an issue.
[01:15:25.171 --> 01:15:34.418]  And here we are all these years later, periodically reading the news reports about amphibians, which is where it shows up in the, as you mentioned, frogs, and it does, but also mutations.
[01:15:34.938 --> 01:15:42.541]  Creating genetic mutation as well, and you see that in the amphibian species first, because again, they're close to the bottom of the food chain and they're working their way up.
[01:15:42.541 --> 01:15:46.823]  But remember, other creatures eat those, we eat those creatures, and eventually it's in us.
