[00:00:05.885 --> 00:00:08.086]  Hitler took the guns.
[02:06:51.713 --> 02:06:55.095]  That would be a fair DREAM Act, and I agree with that myself.
[02:06:55.095 --> 02:07:00.118]  But then the media said he wants to kill all the Mexicans, hates them, blah blah blah, wants to ban everybody, period.
[02:07:02.287 --> 02:07:09.237]  And then when Trump doesn't do that, the right wing goes, oh my god, he was supposed to throw everybody out who wasn't born here.
[02:07:09.237 --> 02:07:10.419]  Well, it's the same thing with Davos.
[02:07:10.419 --> 02:07:13.283]  I saw headlines everywhere in the London Guardian and the New York Times.
[02:07:13.283 --> 02:07:15.306]  Trump sells out his base last week.
[02:07:15.306 --> 02:07:16.808]  He's going to Davos.
[02:07:16.808 --> 02:07:18.450]  He's going to kiss the hand of the elite.
[02:07:19.383 --> 02:07:21.404]  He walks in, they fall on their faces.
[02:07:21.404 --> 02:07:26.346]  The head of the thing, the dictator of the EU, unelected, Juncker, doesn't show up.
[02:07:26.346 --> 02:07:28.387]  The heir to the main Nazi fortune.
[02:07:28.387 --> 02:07:31.948]  His family was the first or second richest family in Germany.
[02:07:31.948 --> 02:07:36.090]  Again, the history books vary, but they're the top Nazis, okay?
[02:07:36.090 --> 02:07:40.471]  And then they still control European countries that they just own through fraud.
[02:07:40.471 --> 02:07:42.192]  So, he doesn't show up.
[02:07:44.142 --> 02:07:46.523]  And Donald Trump is guaranteed to betray his base, yeah.
[02:07:46.523 --> 02:07:48.744]  I mean, this has been going on for a long time.
[02:07:48.744 --> 02:07:58.229]  And then he doesn't betray, and he kills TPP and delivers on the economy, and they still keep flipping out, saying that he's going to sell us out.
[02:07:58.229 --> 02:08:00.710]  I'm glad he went for a victory lap.
[02:08:00.710 --> 02:08:05.473]  I'm glad he went to talk to the companies that want to move to the United States.
[02:08:05.473 --> 02:08:05.933]  There it is.
[02:08:05.933 --> 02:08:07.694]  Trump's ready to pull another fast one.
[02:08:07.694 --> 02:08:09.975]  The President's trip to Davos has three serious issues.
[02:08:10.953 --> 02:08:12.234]  And it goes on from there.
[02:08:12.234 --> 02:08:22.761]  Oh yeah, he sure pulled a fast one with our economy coming roaring back, and with veterans getting double the amount of visits that they had just a year ago, and the border's 70% secure, and the border wall's starting to go in.
[02:08:22.761 --> 02:08:25.502]  Yeah, sure pulled a fast one, and now this big breaking news.
[02:08:25.502 --> 02:08:30.406]  We're going to your calls with Dan Lyman, who's in Davos.
[02:08:30.406 --> 02:08:31.166]  This is The Hill.
[02:08:31.166 --> 02:08:32.127]  It's breaking.
[02:08:32.127 --> 02:08:34.268]  I just tweeted it out at Real Alex Jones.
[02:08:34.268 --> 02:08:40.132]  DOJ office says it has found the missing text messages of FBI officials.
[02:08:42.344 --> 02:08:46.385]  Months of missing text messages between two FBI officials have been located.
[02:08:46.385 --> 02:09:01.230]  According to a letter obtained by The Hill, Justice Department Inspector General Michael Horowitz told Senator Chuck Grassley of Iowa and Ron Johnson of Wisconsin in a letter with the messages spanning from December of 16 to 17.
[02:09:01.230 --> 02:09:03.611]  See, nobody bought this.
[02:09:03.611 --> 02:09:11.274]  Previously thought missing, they just hit one button that was in the NSA, due to technology glitch affecting FBI phones have been found.
[02:09:13.405 --> 02:09:13.745]  Oh, really?
[02:09:13.745 --> 02:09:15.085]  You think so?
[02:09:15.085 --> 02:09:16.706]  By the way, Congress has all of it.
[02:09:16.706 --> 02:09:17.866]  Trump has all of it.
[02:09:17.866 --> 02:09:26.448]  The Office of the Inspector General has been investigating this matter, and this week succeeded in using forensic tools to recover text messages from FBI devices.
[02:09:26.448 --> 02:09:27.308]  Oh, of course.
[02:09:27.308 --> 02:09:28.108]  Yes.
[02:09:28.108 --> 02:09:28.929]  Yes.
[02:09:28.929 --> 02:09:30.789]  It's always hard-coded.
[02:09:30.789 --> 02:09:39.731]  From the Telecommunications Act of 96, all phones, all printers, all these communication devices save the material.
[02:09:41.476 --> 02:09:47.444]  And it's why they've got internal hard drives that things just stop working in a few years because it fills up.
[02:09:47.444 --> 02:09:51.569]  And that's the stuff I told you about a long, long time ago.
[02:09:51.569 --> 02:09:52.831]  There it is.
[02:09:52.831 --> 02:09:56.756]  Missing text messages, anti-Trump, FBI agents uncovered by DOJ.
[02:09:58.052 --> 02:09:59.033]  They found them.
[02:09:59.033 --> 02:10:00.994]  Infowars.com now live.
[02:10:00.994 --> 02:10:07.759]  We are in a minute-by-minute, play-by-play, Second American Revolution war with the Deep State.
[02:10:07.759 --> 02:10:11.542]  Lou Dobbs comes out and says, it's time to declare war on the Deep State.
[02:10:11.542 --> 02:10:12.743]  The walls are closing in.
[02:10:12.743 --> 02:10:16.406]  Sean Hannity, this isn't rhetoric you've been hearing from me.
[02:10:16.406 --> 02:10:18.027]  We're in extraordinary times.
[02:10:18.027 --> 02:10:19.889]  This is happening!
[02:10:19.889 --> 02:10:20.589]  Literally!
[02:10:20.589 --> 02:10:21.810]  And I agree with an earlier caller.
[02:10:21.810 --> 02:10:25.873]  I want to ask Dan Lyman and then we're going to let him go and ask the callers this.
[02:10:25.873 --> 02:10:26.354]  Then we've got
[02:10:27.267 --> 02:10:33.613]  Tyler Nixon coming in, who's a very interesting lawyer and political analyst, really smart guy, and just so happens to be related to Richard Nixon, but we won't get into that part.
[02:10:33.613 --> 02:10:34.754]  Been friends with Roger Stone.
[02:10:37.734 --> 02:10:42.516]  This is all happening, but I'm telling you, I think they'll release a bioweapon like the earlier caller said.
[02:10:42.516 --> 02:10:47.619]  They did that after 9-11 when the globals were involved with the jihadis and wanted to cover it up when stuff started coming out.
[02:10:47.619 --> 02:10:51.261]  They did the anthrax to intimidate Congress into a bunch of stuff.
[02:10:51.261 --> 02:10:57.223]  I'm really concerned, as I keep saying, that we not be too celebratory here because they're going to strike back.
[02:10:57.223 --> 02:10:58.104]  What do you think, Dan Lyman?
[02:10:59.682 --> 02:11:02.905]  I think that there's no question anything is on the table at this point.
[02:11:02.905 --> 02:11:06.089]  I'm honestly surprised things haven't gotten worse in the last year.
[02:11:06.089 --> 02:11:11.234]  I thought that there would be more drastic measures taken, although I think that we did see something strange go down.
[02:11:15.794 --> 02:11:16.914]  No, it's very interesting.
[02:11:16.914 --> 02:11:29.420]  I'm so optimistic now at this point, now that we're a year in, but I know not to get my hopes up too high because anything can happen at any given moment, especially with the economy doing so well and the stock market doing so well.
[02:11:29.420 --> 02:11:34.102]  You hear all financial advisors and traders, they say they've never seen a market like this.
[02:11:34.102 --> 02:11:35.943]  It's going on longer than they ever thought it would.
[02:11:36.483 --> 02:11:49.075]  And I wonder, is the Trump effect going to break this cycle that the globalists have, this chokehold they've had on the markets where they, you know, there's a catastrophic event every eight years or whatever, and then it sends the market into a spiral?
[02:11:49.075 --> 02:11:55.141]  Hasn't happened this time around, so I'm wondering what dam, what the dams are holding back right now, and it's probably pretty ugly.
[02:11:55.970 --> 02:11:56.771]  Well, I know this.
[02:11:56.771 --> 02:11:58.231]  They haven't given up on me.
[02:11:58.231 --> 02:12:02.554]  They are still throwing stuff at us that is directly from Hillary, directly from Soros.
[02:12:02.554 --> 02:12:04.895]  I'll soon be able to reveal the details of it.
[02:12:04.895 --> 02:12:06.757]  I mean, I've even got to go to D.C.
[02:12:06.757 --> 02:12:08.798]  in a couple weeks.
[02:12:08.798 --> 02:12:11.139]  I'm not supposed to get into this yet.
[02:12:11.139 --> 02:12:15.762]  Believe me, when I do, we have caught them red-handed, okay?
[02:12:15.762 --> 02:12:20.365]  And you can argue I got a tiger by the tail or vice versa, but these are just crazy times.
[02:12:21.380 --> 02:12:23.522]  Because, I mean, I wasn't going to put up with their crap.
[02:12:23.522 --> 02:12:30.288]  I put counter-surveillance on their people, spent a lot of money, and did a lot of stuff, and had a lot of help.
[02:12:30.288 --> 02:12:31.289]  We'll just leave it at that.
[02:12:31.289 --> 02:12:36.313]  And let me tell you, these people are sick.
[02:12:36.313 --> 02:12:37.674]  They're going after everybody.
[02:12:37.674 --> 02:12:39.736]  They're going after thousands of prominent people.
[02:12:39.736 --> 02:12:41.117]  And you see these congressmen up there?
[02:12:41.117 --> 02:12:43.999]  They already tried to kill them.
[02:12:43.999 --> 02:12:45.240]  So you think about that, folks.
[02:12:45.240 --> 02:12:46.802]  They're trying to kill everybody right now.
[02:12:48.174 --> 02:12:55.579]  So, I mean, we kind of smile about this in Texas and, yeah, we're in a fight, yeah, it's all crazy, but we're not like SAWs that are considering crying about it.
[02:12:55.579 --> 02:12:56.580]  It's actually quite exciting.
[02:12:56.580 --> 02:12:58.201]  I'm having a great time.
[02:12:58.201 --> 02:13:01.323]  It's just, we're not in Kansas anymore, folks.
[02:13:01.323 --> 02:13:02.844]  This is the real deal.
[02:13:02.844 --> 02:13:04.345]  Let's go to Candace in Tennessee.
[02:13:04.345 --> 02:13:05.226]  Thanks for holding, Candace.
[02:13:05.226 --> 02:13:05.986]  You're awesome.
[02:13:05.986 --> 02:13:08.308]  You're on the air worldwide with Dan Lyman from Switzerland.
[02:13:08.308 --> 02:13:09.309]  Go ahead.
[02:13:09.309 --> 02:13:10.369]  Hey, Alex and Dan.
[02:13:10.369 --> 02:13:11.430]  How are you doing?
[02:13:11.430 --> 02:13:12.431]  Good.
[02:13:12.431 --> 02:13:13.171]  Good.
[02:13:13.171 --> 02:13:16.394]  First, real quick, I would just like to ask a quick question before I get to my comment.
[02:13:16.394 --> 02:13:16.534]  Sure.
[02:13:17.647 --> 02:13:22.488]  I know you were very busy, but have you and your crew had a chance to pick the winners of the People's Choice Awards yet?
[02:13:22.488 --> 02:13:30.410]  You know, I'm like a guy in a bunker giving orders on that, and I have said, these are the winners, they have been picked, and you know what?
[02:13:30.410 --> 02:13:33.531]  I'm going to announce them at the end of the show next hour, one way or the other.
[02:13:33.531 --> 02:13:35.071]  It's going to happen.
[02:13:35.071 --> 02:13:36.151]  Okay, great.
[02:13:36.151 --> 02:13:43.853]  Okay, and also, I agree with the other caller that these people are just so cornered that I think that there's going to be a false flag attack for sure.
[02:13:45.640 --> 02:13:49.923]  Well, that's what everybody's group collective mind is saying, and I think you're on target.
[02:13:49.923 --> 02:13:51.924]  Keep going, Candace.
[02:13:51.924 --> 02:13:55.487]  Yeah, I mean, you know, their darkest secrets are getting exposed.
[02:13:55.487 --> 02:14:01.091]  So, you know, they're just like a dog in a corner, and I just think they're going to pull something major.
[02:14:02.159 --> 02:14:02.679]  Yeah, that's great.
[02:14:02.679 --> 02:14:05.581]  They're just sickening, so it's good to see them be put in their place.
[02:14:31.900 --> 02:14:32.400]  Absolutely.
[02:14:32.400 --> 02:14:36.142]  But don't think they're the types that will blow themselves up to stop the recovery.
[02:14:36.142 --> 02:14:36.762]  What do you think, Dan?
[02:14:36.762 --> 02:14:38.663]  What's your gut tell you?
[02:14:38.663 --> 02:14:39.263]  No question.
[02:14:39.263 --> 02:14:41.204]  And I think that it's not even just the U.S.
[02:14:41.204 --> 02:14:43.525]  crisis at this point for them.
[02:14:43.525 --> 02:14:45.046]  It's on an international scale.
[02:14:45.046 --> 02:14:49.508]  So we should be prepared for anything, anywhere, to be honest, not just in the United States.
[02:14:49.508 --> 02:14:52.529]  That is the smartest thing I've heard all day.
[02:14:52.529 --> 02:14:54.590]  And I've heard a lot of really intelligent statements.
[02:14:54.590 --> 02:14:55.670]  You're right.
[02:14:55.670 --> 02:14:56.351]  North Korea.
[02:14:56.351 --> 02:14:58.812]  We know the globals behind the scenes are winding up Rocket Man.
[02:15:01.087 --> 02:15:01.708]  No question.
[02:15:01.708 --> 02:15:03.329]  We definitely have to keep an eye on everything.
[02:15:03.329 --> 02:15:08.232]  I mean, you have the there's actually Turkey just invaded Syria last week.
[02:15:08.232 --> 02:15:10.073]  There's that could kick back up again.
[02:15:10.073 --> 02:15:12.515]  I have a Syrian bartender, actually.
[02:15:12.515 --> 02:15:16.317]  I'm sorry, a barber, not a bartender, a barber.
[02:15:16.317 --> 02:15:17.938]  He's a Syrian Kurd.
[02:15:17.938 --> 02:15:21.661]  And he was asking me what I thought about the invasion of Syria by Erdogan.
[02:15:21.661 --> 02:15:24.563]  And he even said Erdogan equals ISIS to him.
[02:15:24.563 --> 02:15:27.225]  And so, I mean, we have to even keep an eye on that situation.
[02:15:27.225 --> 02:15:30.907]  You have Trump's basically eradicated ISIS in the span of a year, just like you promised.
[02:15:31.167 --> 02:15:34.150]  And all of a sudden there's a new conflict in Syria.
[02:15:34.150 --> 02:15:36.372]  So let's keep an eye on that for sure.
[02:15:36.372 --> 02:15:36.953]  That's right.
[02:15:36.953 --> 02:15:39.915]  And they're attacking U.S.-backed Kurds.
[02:15:39.915 --> 02:15:41.236]  A whole war started there.
[02:15:41.236 --> 02:15:41.977]  That's in my stack.
[02:15:41.977 --> 02:15:43.318]  I need to get to that.
[02:15:43.318 --> 02:15:43.879]  Absolutely.
[02:15:43.879 --> 02:15:44.259]  All right.
[02:15:44.259 --> 02:15:45.440]  Lucky to get back on the street.
[02:15:45.440 --> 02:15:47.823]  Dan Lyman from fullwars.com.
[02:15:47.823 --> 02:15:49.324]  Great job with all the work you're doing.
[02:15:49.324 --> 02:15:50.865]  We'll be following everything you do.
[02:15:50.865 --> 02:15:51.506]  Thank you so much.
[02:15:51.506 --> 02:15:53.588]  We'll be back with more calls, more breaking news.
[02:15:54.989 --> 02:15:55.609]  The text.
[02:15:55.609 --> 02:15:57.510]  Fully cooked, ready to eat bacon.
[02:15:57.510 --> 02:16:00.732]  I'm talking thick, meaty, center cut, presidential bacon.
[02:16:00.732 --> 02:16:02.333]  Savory and delicious.
[02:16:02.333 --> 02:16:05.175]  I buy some, I use some, I store some.
[02:16:05.175 --> 02:16:05.835]  Awesome.
[02:16:05.835 --> 02:16:08.917]  No refrigeration needed with a 10 year shelf life.
[02:16:08.917 --> 02:16:10.478]  NASA PAC Technology.
[02:16:10.478 --> 02:16:10.858]  Bacon.
[02:16:11.098 --> 02:16:16.681]  Fully cooked, fully hydrated, ready to eat right from the pack bacon, or warm and served.
[02:16:16.681 --> 02:16:18.742]  Life-saving, ready to eat bacon.
[02:16:18.742 --> 02:16:20.683]  10-year shelf life bacon.
[02:16:20.683 --> 02:16:23.464]  Ships free at FullyCookedBacon.com.
[02:16:23.464 --> 02:16:24.764]  FullyCookedBacon.com.
[02:16:25.953 --> 02:16:26.753]  This is Dan Pilla.
[02:16:26.753 --> 02:16:28.574]  Do you have the IRS money you can't pay?
[02:16:28.574 --> 02:16:30.215]  Are tax debts crippling you?
[02:16:30.215 --> 02:16:33.036]  I've defended people from the IRS for over 30 years.
[02:16:33.036 --> 02:16:35.337]  I've helped thousands and I can help you too.
[02:16:35.337 --> 02:16:39.839]  I wrote the book on IRS settlement and I'm telling you there's no such thing as a hopeless case.
[02:16:39.839 --> 02:16:43.781]  Call 800-34-NO-TAX to finally get free of IRS debt.
[02:16:43.781 --> 02:16:47.563]  With the IRS's new programs, there's never been a better time to solve your problem.
[02:16:47.563 --> 02:16:47.983]  Call 800-34-NO-TAX.
[02:16:47.983 --> 02:16:49.304]  That's 800-34-NO-TAX or my website, danpilla.com.
[02:16:55.438 --> 02:16:57.399]  Heart disease is on the rise.
[02:16:57.399 --> 02:17:02.722]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[02:17:02.722 --> 02:17:04.303]  But the symptoms are there.
[02:17:04.303 --> 02:17:12.647]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[02:17:12.647 --> 02:17:18.350]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[02:17:18.510 --> 02:17:20.332]  My blood pressure has normalized.
[02:17:20.332 --> 02:17:22.614]  My diabetes has totally improved.
[02:17:22.614 --> 02:17:26.999]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[02:17:26.999 --> 02:17:29.202]  I recommend Heart and Body Extract to everyone.
[02:17:29.202 --> 02:17:37.070]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[02:17:37.090 --> 02:17:39.432]  Order your two-month supply today by calling 866-295-5305.
[02:17:39.432 --> 02:17:39.772]  That's 866-295-5305.
[02:17:39.772 --> 02:17:41.813]  Or order online at HBextract.com.
[02:17:41.813 --> 02:17:43.674]  Heart and Body Extract, 866-295-5305.
[02:17:43.674 --> 02:17:44.575]  Or HBextract.com.
[02:17:57.870 --> 02:18:00.472]  Matt in Ohio, you're on the air, another Matt, go ahead.
[02:18:00.472 --> 02:18:15.064]  Yeah, hey, listen, I just wanted to say real quick, I'm a long-time listener of InfoWars, and I just wanted to say that the t-shirts that you guys are offering are absolutely fantastic, and that really is a great way to deal with this battle in the InfoWars.
[02:18:15.064 --> 02:18:21.609]  It might seem like a simple thing, but particularly these slogan t-shirts that you guys got up right now are absolutely
[02:18:21.789 --> 02:18:22.670]  Absolutely amazing.
[02:18:22.670 --> 02:18:23.170]  Well, thank you.
[02:18:23.170 --> 02:18:34.318]  My favorite new one is the Don't Tread on Me, but instead it says Won't Tread on Me, and it's a big Dayglo snake, Gadsden snake, and then it's got the American flag, Infowars.com on the right arm.
[02:18:34.318 --> 02:18:40.582]  I mean, that's a great way just to meet like-minded people and spread the word and also exercise free speech.
[02:18:40.582 --> 02:18:43.224]  And the newest one is Trigger Warning T-shirt.
[02:18:43.744 --> 02:18:50.567]  Trigger warning t-shirt, which is the symbol of a trigger, with a yield sign, and then InfoWars.com on the back.
[02:18:50.567 --> 02:18:56.650]  That is the new shirt of the month, available exclusively at InfoWarsStore.com.
[02:18:56.650 --> 02:19:00.131]  InfoWars Live is bringing you a breakthrough in modern medicine.
[02:19:00.131 --> 02:19:11.636]  We have found an extraordinary new natural way to help alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory health, and normal breathing.
[02:19:11.636 --> 02:19:12.537]  This is Pollen Block.
[02:19:13.537 --> 02:19:26.181]  In the 1960s, researchers in France noticed that people who ate certain quail eggs from specific farms experienced less seasonal distress symptoms like runny nose, itchy watery eyes, and excessive mucous production.
[02:19:26.181 --> 02:19:30.523]  They began studying the effects in published trials, in their published trials.
[02:19:30.523 --> 02:19:34.524]  Now we are introducing the fruit of the research, a fast-acting chewable tablet.
[02:19:34.984 --> 02:19:45.066]  Just chew two tablets at the first sign of seasonal distress and Fast-Acting Pollen Block starts working in about 15 minutes to help alleviate seasonal distress.
[02:19:45.066 --> 02:19:48.207]  Enjoy the air you breathe naturally with Fast-Acting Pollen Block.
[02:19:48.207 --> 02:19:52.308]  Available now at Infowarslife.com or by calling toll free.
[02:19:52.308 --> 02:19:54.068]  888-253-3139 You're listening to the Alex Jones Show.
[02:20:11.981 --> 02:20:18.885]  My God, ugh!
[02:20:18.885 --> 02:20:21.147]  He never gives up.
[02:20:21.147 --> 02:20:26.850]  He's Alex Jones, broadcasting from deep in the heart of Texas, worldwide.
[02:20:33.880 --> 02:20:44.723]  Roger Stone has got big inside intel on the vaunted secret FISA memo coming up in the next segment.
[02:20:44.723 --> 02:20:46.363]  We'll continue with your calls as well.
[02:20:46.363 --> 02:20:57.726]  We've got a very clear picture of what's in it and now if you look at Congressman Gates and Congressman Jordan and Congressman Nunes and Congressman Chairman Nunes and Congressman Gowdy and everybody else
[02:20:58.988 --> 02:21:04.310]  And how panicked Adam Schiff is, the head of the Judiciary Committee on the Democrat side in the House.
[02:21:04.310 --> 02:21:05.970]  You know what's in it.
[02:21:05.970 --> 02:21:08.551]  And we've already know the pieces of the puzzle.
[02:21:08.551 --> 02:21:10.392]  So we're going to put them together coming up.
[02:21:10.392 --> 02:21:13.193]  And as I heard last night, Monday's the target date.
[02:21:13.193 --> 02:21:17.494]  Well, now that's being reported that they're looking to have a vote on Monday, but they're not sure yet.
[02:21:17.494 --> 02:21:18.114]  So that's coming up.
[02:21:18.114 --> 02:21:19.035]  I want to go back to your calls.
[02:21:19.035 --> 02:21:21.896]  But Kit Daniels, I haven't seen him smiling this big.
[02:21:21.896 --> 02:21:23.736]  Well, he smiles all the time, but he's a happy guy.
[02:21:23.736 --> 02:21:25.337]  But one of our great writers, Kit Daniels,
[02:21:27.210 --> 02:21:28.091]  He came in here with this article.
[02:21:28.091 --> 02:21:38.700]  He said, this is like Trump and Davos is like George Washington getting on a ship in the middle of the Revolutionary War and going into King George III's court and just basically getting right in his face.
[02:21:38.700 --> 02:21:40.421]  And that's what's happened.
[02:21:40.421 --> 02:21:44.525]  And Trump is delivering on everything he said he would do yet again.
[02:21:44.525 --> 02:21:46.006]  And it's not a love fest.
[02:21:46.006 --> 02:21:51.150]  They're trying to destroy him with secret cabals because he's returning sovereignty to the country.
[02:21:51.150 --> 02:21:55.133]  I don't like how he's been bullied into escalating conflict with Russia.
[02:21:56.134 --> 02:21:58.856]  I don't like that he's not going after the vaccines and all that kind of stuff.
[02:21:58.856 --> 02:22:01.818]  I've got some big issues, but let me tell you, he's really our president.
[02:22:01.818 --> 02:22:03.619]  This is wild.
[02:22:03.619 --> 02:22:12.806]  Vox reporting, why Trump is going to Vagabost, the world's biggest party for globalist elites, explained Trump is attending to both boast and confident.
[02:22:14.241 --> 02:22:14.821]  We're good to go.
[02:22:36.991 --> 02:22:47.517]  But now, thanks to Trump, Brexit, and the ongoing migrant crisis, average Europeans are starting to question why they're losing their cultures and identities to the EU.
[02:22:47.517 --> 02:23:00.465]  And they look to Trump as the Howard Rourke-style American cowboy whose undeterred rebellion against a legion of doom inspires their own individual thoughts and opinions.
[02:23:00.465 --> 02:23:02.066]  So there you go.
[02:23:02.066 --> 02:23:04.668]  Right now, let's go back to your phone calls.
[02:23:04.668 --> 02:23:06.169]  Who's been holding the longest here?
[02:23:07.248 --> 02:23:10.030]  Mark in Iowa, thanks for holding it on the air worldwide.
[02:23:10.030 --> 02:23:10.371]  Go ahead.
[02:23:10.371 --> 02:23:13.573]  Hi Alex, thank you for taking my call.
[02:23:13.573 --> 02:23:17.076]  I want to thank God bless you, your crew, and your family.
[02:23:17.076 --> 02:23:18.037]  Thank you sir, you too.
[02:23:18.037 --> 02:23:21.600]  Turn the radio on and get the truth.
[02:23:21.600 --> 02:23:22.261]  Thank you.
[02:23:22.261 --> 02:23:23.081]  Yes sir, welcome.
[02:23:23.081 --> 02:23:28.246]  I was wondering, in a nutshell, if in 1776 our forefathers were in a room, put a pen to paper,
[02:23:35.055 --> 02:23:42.198]  And coming up with the Declaration of Independence, in short, it was because the government came and asked to govern.
[02:23:42.198 --> 02:23:47.519]  Our forefathers wrote this down, said, if you govern this way, you can govern.
[02:23:47.519 --> 02:23:49.500]  In a nutshell, I guess.
[02:23:49.500 --> 02:24:03.785]  So, if now, today, we're finding out that every single three-letter agency of the federal government, the DOJ, CDC, you name it, FBI, CIA, all these entities
[02:24:04.486 --> 02:24:08.869]  All of them have screwed over the American people.
[02:24:08.869 --> 02:24:12.411]  Couldn't we cancel our contracts and fire them all?
[02:24:12.876 --> 02:24:14.778]  And what is the government so worried about?
[02:24:14.778 --> 02:24:15.959]  Why do they think we're newborns?
[02:24:15.959 --> 02:24:18.901]  Well, sure, we've got a major broken social contract.
[02:24:18.901 --> 02:24:21.143]  I'm trying to fix the country and restore the republic.
[02:24:21.143 --> 02:24:24.566]  We're still going to have major problems and ongoing fights.
[02:24:24.566 --> 02:24:32.573]  It's just the current, embedded, arrogant group of criminals that have gotten away with anything you can imagine are now finding out they're not invincible.
[02:24:32.573 --> 02:24:34.355]  But if we successfully remove these crooks,
[02:24:35.632 --> 02:24:42.857]  I intend to see more integrity come back in, and if we don't see that, then we need to continue to hold their feet to the fire regardless.
[02:24:42.857 --> 02:24:43.998]  Regardless.
[02:24:43.998 --> 02:24:46.539]  That's what eternal vigilance is all about.
[02:24:46.539 --> 02:24:48.481]  And I want to see the government shrunk in size.
[02:24:48.481 --> 02:24:50.062]  I don't want to just see tax cuts.
[02:24:50.062 --> 02:24:51.483]  I want to see deficits paid down.
[02:24:51.483 --> 02:24:53.264]  I want to see a lot of things.
[02:24:53.264 --> 02:24:55.826]  And Trump's just stabilizing things right now.
[02:24:55.826 --> 02:24:58.968]  He's got to use a bubble so we don't stall out.
[02:24:58.968 --> 02:25:05.332]  China's got bubbles much bigger than ours, but I certainly hope that down the road we then put pressure to stabilize the country.
[02:25:07.173 --> 02:25:08.694]  Great, yeah, I agree, I agree.
[02:25:08.694 --> 02:25:12.736]  One more quick question, if you would, Alex.
[02:25:12.736 --> 02:25:19.639]  Originally, I grew up in Illinois, and in Illinois, if I had a birthday yesterday and got caught driving today, I would go to jail.
[02:25:19.639 --> 02:25:29.504]  So if we know, beyond a shadow of a doubt, these people are committing treason, sedition, treason by sedition, why are they not picked up?
[02:25:29.504 --> 02:25:32.126]  Because in Illinois, if I got caught driving on one day,
[02:25:35.456 --> 02:25:43.241]  I totally understand.
[02:25:43.241 --> 02:25:48.344]  This is the issue people have with illegal aliens.
[02:25:48.344 --> 02:25:51.666]  Illegal aliens, when they have wrecks and hit people, the judges just let them go.
[02:25:51.666 --> 02:25:52.567]  That's admitted on the news.
[02:25:54.221 --> 02:25:58.686]  Citizens get the book thrown at them because citizens are seen as cash cows.
[02:25:58.686 --> 02:26:02.470]  I don't care if you're white, black, Hispanic, Asian, old, young.
[02:26:02.470 --> 02:26:04.633]  You get the book thrown at you.
[02:26:04.633 --> 02:26:10.599]  Illegals don't because the judges all over the country, including Republican districts, just tell people, oh, leave them alone.
[02:26:10.599 --> 02:26:12.481]  They're kind of the underclass.
[02:26:12.481 --> 02:26:15.184]  They're the permanent worker class going back to when they were brought in.
[02:26:15.825 --> 02:26:20.930]  To pick, you know, the fields or whatever, and being used to drive down everybody else's wages.
[02:26:20.930 --> 02:26:24.314]  I want to bring folks in and then raise the wages up, not use that model.
[02:26:24.314 --> 02:26:38.068]  So ever since they've been brought into some areas as migrant workers, before they were made a permanent underclass of the Democrats, back when they were just seasonal farmers that came through and went back to Mexico, they had to be ignored and above the law then.
[02:26:38.922 --> 02:26:40.403]  Because we were using them.
[02:26:40.403 --> 02:26:47.728]  Well, they're still being used, but it's being used to undermine everything and is discriminatory to citizens that have the book thrown at them.
[02:26:47.728 --> 02:26:50.630]  I mean, I was talking to judges and people and others.
[02:26:50.630 --> 02:26:53.091]  They let illegal aliens off for drunk driving, you name it.
[02:26:53.091 --> 02:26:54.712]  Because again, R.J.
[02:26:54.712 --> 02:27:05.900]  Cervantes, the former Austin police chief, now the Houston police chief, he's been in this studio and said, Alex, if we arrest illegal aliens for stuff or whatever, then they won't trust us when there's a crime and we're needed.
[02:27:07.634 --> 02:27:30.118]  Okay so basically for non really serious aggravated felonies then you're saying illegal aliens are above the law and then it creates a vacuum where there's no law enforcement and no law and then criminals come in and prey on those communities and they know they can prey on the Asian and Hispanic communities that are
[02:27:31.547 --> 02:27:33.989]  Homogeneous and contained.
[02:27:33.989 --> 02:27:43.715]  And then that's where the majority of the crime is committed against those people, and then nothing's done, and it creates criminal zones within the cities, within the counties, and a permanent underclass.
[02:27:43.715 --> 02:27:46.117]  So, I absolutely agree with you, sir.
[02:27:46.117 --> 02:27:55.283]  Your inspection sticker's out, you get pulled over, you get a ticket, maybe you get your car code, and if you're a single mom with three kids in the back of the car,
[02:27:56.260 --> 02:27:59.002]  The cops will be told, go ahead and write our tickets.
[02:27:59.002 --> 02:28:01.943]  But if you're a person here illegally, that doesn't happen.
[02:28:01.943 --> 02:28:08.227]  But if I'm in Mexico, and I'm the foreigner, it's well known that a lot of the police are corrupt.
[02:28:08.227 --> 02:28:14.911]  And I've watched my dad, those people many times, give him a $20 bill, $100 bill or whatever, saying, you were speeding, even though my dad wasn't speeding.
[02:28:14.911 --> 02:28:17.172]  He drives like an old lady, it's incredible.
[02:28:17.172 --> 02:28:21.135]  I saw it five, six times when I was a kid, and I said, Dad, I don't want to come down here anymore.
