[00:00:00.089 --> 00:00:02.174]  Beijing War on Corruption.
[00:50:57.486 --> 00:51:00.507]  The media will take this out of context and say, I'm insane, I made this up.
[00:51:00.607 --> 00:51:01.768]  But they don't really do that anymore.
[00:51:01.908 --> 00:51:05.149]  They do it 10 years ago because it's exactly what they're really saying.
[00:51:05.629 --> 00:51:06.970]  In fact, they're going public with it now.
[00:51:07.030 --> 00:51:08.170]  But I digress.
[00:51:08.210 --> 00:51:08.630]  Where was I?
[00:51:09.230 --> 00:51:10.111]  Oh, back on the timeline.
[00:51:12.652 --> 00:51:15.413]  So Hitler is funded by Western eugenicists.
[00:51:16.260 --> 00:51:20.262]  The most popular place for eugenics in the world isn't even Germany or England or the U.S.
[00:51:20.302 --> 00:51:22.743]  It's Mexico, but that's another side issue.
[00:51:22.763 --> 00:51:25.824]  Incredible racism there by the quote upper classes.
[00:51:26.704 --> 00:51:30.686]  So I would begin saying there's a battle in all of our nations, good people and bad people.
[00:51:31.026 --> 00:51:34.468]  Your own Edward VIII, your own Qing, swore allegiance to Hitler.
[00:51:35.408 --> 00:51:37.249]  And I'll show photos and news articles about that.
[00:51:37.509 --> 00:51:40.470]  Queen Elizabeth howled Hitler herself as a young girl.
[00:51:42.511 --> 00:51:43.632]  He was going to be the new
[00:51:44.733 --> 00:51:46.656]  King of Europe and the European Union.
[00:51:46.716 --> 00:51:48.639]  I would then show London Guardian articles admitting that.
[00:51:49.100 --> 00:51:50.622]  Even though we broke it decades before they did.
[00:51:52.205 --> 00:51:52.445]  So.
[00:51:54.568 --> 00:51:55.089]  I'd say so.
[00:51:55.189 --> 00:51:56.211]  I'm not saying England's bad.
[00:51:56.251 --> 00:51:56.611]  No, no, no.
[00:51:56.651 --> 00:51:57.192]  You're good.
[00:51:58.407 --> 00:52:02.289]  Because when it came, push came to shove, you had a secret treaty with Hitler.
[00:52:02.329 --> 00:52:06.411]  You were supposed to act like you were not really going to fight him, but stand down.
[00:52:06.791 --> 00:52:10.093]  But after Dunkirk and the rest of it, you decided to stand back up.
[00:52:10.873 --> 00:52:14.134]  And I'd go through the whole history of it, at least five hours, which they probably couldn't even give me.
[00:52:14.835 --> 00:52:15.795]  So it's a film we ought to make.
[00:52:15.835 --> 00:52:16.716]  It's a book ought to write.
[00:52:17.176 --> 00:52:18.937]  Oh, with Neil Strauss.
[00:52:19.097 --> 00:52:20.938]  Oh, but they don't want that book released.
[00:52:20.958 --> 00:52:22.178]  They're working very hard to stop that.
[00:52:23.019 --> 00:52:23.619]  But they will fail.
[00:52:27.389 --> 00:52:29.870]  And again, there's just too much knowledge just to lay it all out.
[00:52:29.890 --> 00:52:33.052]  But just to give you a broad stroke here, back to the timeline.
[00:52:33.372 --> 00:52:44.757]  First, I would sit there and address them as an anglophile crowd that's ashamed of their culture, and a very diverse crowd of people from all over the world who aren't ashamed of it.
[00:52:44.777 --> 00:52:46.178]  They're coming there to take part in it.
[00:52:46.758 --> 00:52:49.900]  The birthplace of real open society, the birthplace of real open discussion.
[00:52:49.920 --> 00:52:51.180]  Now, here you are at Oxford.
[00:52:52.741 --> 00:52:55.302]  True modern liberalism, going back 800 years.
[00:52:55.382 --> 00:52:56.603]  I mean, here you are.
[00:52:58.047 --> 00:53:00.909]  600 we're gonna talk about technically, but 200 before that, Magna Carta.
[00:53:02.149 --> 00:53:21.120]  So you pull back, and you've got the British king, who's really a German, who's really a Transylvanian, sworn to Hitler, he's got an EU, that all fails, falls apart, the Brits decide to not capitulate, like their double agent had set it up, Neville Chamberlain, and things are off to the races.
[00:53:22.701 --> 00:53:23.401]  And we defeat Hitler.
[00:53:25.316 --> 00:53:30.177]  But the idea and Juncker, the head of the unelected EU, let that sink in, unelected.
[00:53:30.417 --> 00:53:33.458]  They come back, they're still in power, and they bring in the same system.
[00:53:33.658 --> 00:53:39.899]  And just like they were allied with Islam in World War II 70 years ago, they're allied with it again.
[00:53:40.359 --> 00:53:42.020]  The most oppressive forms of it.
[00:53:42.520 --> 00:53:43.080]  And why not?
[00:53:43.420 --> 00:53:47.161]  It's a giant population to the south and to the east.
[00:53:48.755 --> 00:53:57.141]  Ready to control the critical crossroads of the Middle East into Asia, into Russia, into Eurasia, into Eastern Europe, into Western Europe, into the Mediterranean.
[00:53:59.023 --> 00:54:00.784]  It's risk being played globally.
[00:54:01.464 --> 00:54:02.825]  And see, that's just a very small part of it.
[00:54:03.346 --> 00:54:11.872]  And then you point out the censorship, the control, the attack on the family, all of it to debilitate you, all of it to make you weak, all of it to control you.
[00:54:12.092 --> 00:54:13.854]  Then you show the quotes with the globalists admitting
[00:54:14.795 --> 00:54:19.780]  How they've got this plan, how they are trying to end Europe, how they are trying to end Christendom, how they are trying to end the family.
[00:54:20.881 --> 00:54:26.747]  You show the Jesuit Pope up there pushing the whole thing, trying to bring that down as well while he lives behind his walls.
[00:54:28.028 --> 00:54:28.629]  You explain.
[00:54:29.870 --> 00:54:33.293]  We are fighting the 21st century version of Hitler.
[00:54:33.313 --> 00:54:35.516]  We're literally fighting the Nazi heir.
[00:54:37.452 --> 00:54:53.082]  But just as England refused Edward VIII, who was in Germany when World War II started and had to get out via Spain and move to the U.S., just as you refused your Nazism then, you must do it now, but you must understand the Nazis were only a prototype.
[00:54:54.795 --> 00:54:55.256]  Test!
[00:54:55.736 --> 00:55:12.814]  And that Aldous Huxley and Julian Huxley and the UN and all of them admitted and wrote books about the master plan to develop the computers, to merge with them, to exterminate the population, to transcend our humanity and to become a new species and the decision was made on chalkboards!
[00:55:14.434 --> 00:55:21.442]  More than a hundred years ago, and that we're now living the aftershocks of that today, and that it's not that technology's evil.
[00:55:22.003 --> 00:55:32.175]  It's that in all of it is the handiwork and the fingerprints and the Trojan horses and the spirit of the people that created Hitler as a side project!
[00:55:34.690 --> 00:55:36.131]  And then you begin to understand.
[00:55:36.771 --> 00:55:46.354]  And it's all oversimplified here, but when you talk about the darkest hour, and you talk about Winston Churchill, and you talk about America, America and England created Hitler.
[00:55:47.895 --> 00:55:50.456]  We wrongfully launched World War I. All of it.
[00:55:51.216 --> 00:55:55.158]  Hitler was horrible, but out of that we finally said no and turned against it.
[00:55:55.478 --> 00:55:56.718]  And who were we allied with?
[00:55:57.659 --> 00:55:58.079]  Russia.
[00:55:59.439 --> 00:55:59.759]  England.
[00:55:59.919 --> 00:56:03.721]  The United States against the Axis powers in World War II.
[00:56:05.578 --> 00:56:06.105]  And we won!
[00:56:07.443 --> 00:56:20.692]  And again, we're against an EU global power that was literally set up by Adolf Hitler and Juncker's grandfather with a plan to put Edward VIII on the throne of the EU that would expand.
[00:56:20.732 --> 00:56:24.014]  They were going to put poison in the water, fluoride to lower your fertility.
[00:56:24.234 --> 00:56:28.857]  They were going to put forced vaccines with added pathogens to dumb the population down.
[00:56:28.897 --> 00:56:29.998]  They called it soft kill.
[00:56:30.198 --> 00:56:31.159]  That's a Nazi term.
[00:56:31.939 --> 00:56:36.983]  This was all the Rockefellers having a big powerful industrial country they could use as an experiment.
[00:56:37.744 --> 00:56:39.988]  But today Russia isn't Stalinist run!
[00:56:42.210 --> 00:56:45.792]  It's becoming Christian and wants to be allied with us against radical Islam.
[00:56:46.012 --> 00:56:51.935]  So we're facing the very same EU, allied with the Muslims, allied with the technocracy that created it.
[00:56:51.975 --> 00:56:53.936]  The EU calls itself a technocracy.
[00:56:54.376 --> 00:56:55.477]  And we are in that fight.
[00:56:55.697 --> 00:56:56.897]  So we tolerate the left.
[00:56:57.158 --> 00:56:58.238]  We think they're mentally ill.
[00:56:58.378 --> 00:56:59.279]  Those are their minions.
[00:56:59.319 --> 00:57:00.139]  Those are their fodder.
[00:57:00.359 --> 00:57:01.340]  Those are their victims.
[00:57:01.380 --> 00:57:02.260]  Those are their servants.
[00:57:02.480 --> 00:57:03.361]  Those are their minions.
[00:57:03.401 --> 00:57:07.663]  Those are the sad people that were weak and programmed.
[00:57:08.123 --> 00:57:09.264]  With high-tech psychology.
[00:57:09.384 --> 00:57:20.471]  But we have history, we have science, we have facts, and we know we're facing a eugenics breakaway civilization plan that's actually gotten off the ground to a great extent.
[00:57:20.731 --> 00:57:25.875]  And we're all facing imminent doom within 25 to 30 years if we don't stop it.
[00:57:26.175 --> 00:57:37.763]  And Elon Musk is now telling you exactly what I'm telling you, because there's patriots of the Pentagon working with him and others to try to warn people and get them to awaken to this and build a new human future that Trump and other nationalists are pushing.
[00:57:38.243 --> 00:57:42.751]  We sent out the emergency transmission, the people listened, and now we're beginning to turn the tide!
[00:57:42.891 --> 00:57:43.753]  But we need you!
[00:57:47.873 --> 00:57:52.336]  Melatonin's on average $19, $19.95 a bottle, and a lot of it's not even organic type.
[00:57:52.557 --> 00:57:57.260]  I talked to the big organic producer companies that we have make it, and I said, how much money is really in that?
[00:57:57.861 --> 00:58:03.705]  They said, on average, about maybe a dollar of melatonin, and then the container costs 50 cents or so, or less.
[00:58:04.205 --> 00:58:16.715]  And I said, so I can put the same amount of melatonin in, let's make it a bigger capsule that's powdered so you can actually absorb it, and then add L-tryptophan, valerian root, lemon balm, chamomile, and then you get a sleep.
[00:58:17.475 --> 00:58:19.036]  Unlike other systems.
[00:58:19.096 --> 00:58:24.560]  I mean, Randall Wilhite, his name is on the Texas Family Code, the last four or five issues.
[00:58:24.600 --> 00:58:26.181]  He writes the Texas Law of the Family Code.
[00:58:26.202 --> 00:58:28.083]  He's one of the top family law lawyers in the country.
[00:58:28.403 --> 00:58:29.604]  The point is, he's a smart guy.
[00:58:29.784 --> 00:58:30.825]  Doesn't smoke marijuana.
[00:58:31.185 --> 00:58:32.206]  Doesn't drink anything.
[00:58:32.406 --> 00:58:33.886]  He goes, man, I gotta really thank you.
[00:58:34.387 --> 00:58:36.007]  I am sleeping eight hours through the night.
[00:58:36.027 --> 00:58:37.808]  I only have to take one knockout.
[00:58:38.168 --> 00:58:40.769]  I've gone and showed, you know, UT Science this and everything else.
[00:58:40.809 --> 00:58:41.669]  This is insane.
[00:58:42.069 --> 00:58:43.690]  I said, yeah, you look 10 years younger.
[00:58:43.950 --> 00:58:46.510]  He said, oh yeah, it's just, I'm off all the sleep drugs.
[00:58:46.951 --> 00:58:48.471]  He says, this is totally free.
[00:58:48.511 --> 00:58:50.332]  But he goes, do you know what it is in there?
[00:58:50.352 --> 00:58:52.212]  And I said, it's the synergy of it.
[00:58:53.093 --> 00:58:59.014]  Of the chamomile, the lemon balm, the L-tryptophan, the valerian root, the melatonin, and several other ingredients.
[00:58:59.254 --> 00:59:00.595]  All just moderate dose.
[00:59:02.125 --> 00:59:10.109]  They're all the recommended dose, and they just fuse together, and whatever they do chemically in the brain, that Mother Nature, God gave us our Mother Nature, is incredible.
[00:59:10.129 --> 00:59:12.531]  So, that's available at InfoWarsTore.com or 888-253-3139.
[00:59:12.551 --> 00:59:13.711]  But thank you for committing.
[00:59:17.762 --> 00:59:20.605]  To get the great products, the books, the films, the t-shirts, you name it.
[00:59:20.985 --> 00:59:23.588]  But it takes selling a lot of stuff to be able to fund this.
[00:59:23.608 --> 00:59:28.373]  We're not like raiding countries like George Soros and stealing billions and then, you know, funding race war.
[00:59:28.853 --> 00:59:38.103]  It's just selling t-shirts, selling books, selling films and, you know, just hustling to be able to get high quality products out so you have a great response and reorder, reorder, reorder, reorder.
[00:59:38.443 --> 00:59:39.765]  It's called reap what you sow.
[00:59:50.589 --> 00:59:52.329]  You are receiving this transmission.
[00:59:52.689 --> 00:59:57.650]  You are the resistance.
[01:00:07.832 --> 01:00:13.033]  Live, raw, and unfiltered by globalist propaganda.
[01:00:13.273 --> 01:00:15.094]  It's the Alex Jones Show.
[01:00:15.274 --> 01:00:17.154]  Tomorrow's news today.
[01:00:20.825 --> 01:00:35.289]  You know, in the last segment, and I'm going to combine this segment with that last segment when we posted on YouTube and Facebook and other places, I got into the science fiction dreams of the British and U.S.
[01:00:35.389 --> 01:00:39.291]  elite that sold eugenics.
[01:00:39.331 --> 01:00:43.972]  Japan, Mexico, they all bought into it.
[01:00:44.352 --> 01:00:49.834]  And it was an idea of how to make your people better, how to make your IQs higher, how to make people be smarter and live long.
[01:00:51.089 --> 01:00:53.250]  That's kind of the outside of what eugenics is.
[01:00:53.631 --> 01:01:02.036]  But really it was a study of what humans are going to turn into transhumanism beyond breeding, but through merging with scientific systems.
[01:01:02.656 --> 01:01:09.521]  And that's because royalty and other elites had seen the problems of their own inbreeding, taking their genetic strengths and it becoming weak.
[01:01:10.868 --> 01:01:23.219]  And they saw the native wild intelligence that would sprout up, the idiot genius as they would call it, in the general public from time to time, and they feared that, but at the same time wanted to capture it.
[01:01:23.920 --> 01:01:33.789]  So they wanted to go in with mass culling operations and dumbing down operations, but also have testing very early on to target the savants and the other wizards that
[01:01:34.844 --> 01:01:43.672]  They want to then recruit into their systems, but they don't want them to ever challenge their duchy or challenge their fiefdom.
[01:01:44.252 --> 01:01:50.358]  They don't even want viceroys that rule in their steds or romantic legates that speak of the name of Caesar.
[01:01:51.158 --> 01:01:52.059]  They don't want that.
[01:01:52.119 --> 01:01:54.541]  They don't believe in honor-based systems.
[01:01:54.982 --> 01:02:00.827]  They believe in pure hate, pure cunning, pure overthrow, just pure savage evil that never sleeps.
[01:02:04.286 --> 01:02:12.353]  And so they have built this total system of surveillance, and they say, oh, we need a world government to stop the atomic weapons we deployed and built.
[01:02:12.893 --> 01:02:19.598]  Oh, we need a world government to stop the genetic engineering, as they wildly go forward with the cross-human animal species and all this other dangerous stuff.
[01:02:20.979 --> 01:02:25.083]  And then as these disasters, both real and manufactured, unfold,
[01:02:26.052 --> 01:02:28.855]  Be they nuclear wars, mass plagues, you name it.
[01:02:29.376 --> 01:02:34.523]  The argument is going to then be in that whole systematic system.
[01:02:36.035 --> 01:02:59.497]  That we must all upload ourselves into a giant hive mind, hive consciousness, and we can have our personal selves, and even our bodies, and avatars, but the avatars will finally, again, not have a carbon footprint, that's why this is all moving, and Bill Gates has admitted this, and so that you will be pressured into an avatar, and promised all these incredible things,
[01:03:01.067 --> 01:03:24.970]  You promised all these great cultural enrichments that you're going to get, that you're going to be part of, if, if you will simply go along with their larger worldview that is to dumb people down, keep them in the dark, only give them backdoored technology with Trojan horses, poison them and get rid of them, you're saving the earth from this horrible scourge.
[01:03:26.874 --> 01:03:28.215]  And so that's the plan.
[01:03:28.335 --> 01:03:30.457]  And I've had globalist people say, why don't you tape them?
[01:03:30.477 --> 01:03:30.998]  Why don't you talk?
[01:03:31.258 --> 01:03:32.799]  Why don't you, why don't you release the info?
[01:03:33.880 --> 01:03:37.283]  They say it all in books and videos and articles and public statements now.
[01:03:37.884 --> 01:03:42.207]  And if something's off record and somebody says, Alex, I'll tell you how stuff really works.
[01:03:43.569 --> 01:03:46.631]  Mr. Smart Guy, you're never going to save the general public.
[01:03:46.651 --> 01:03:47.592]  They're never going to wake up.
[01:03:47.652 --> 01:03:48.253]  They don't want to.
[01:03:48.273 --> 01:03:49.354]  That's why they're the way they are.
[01:03:49.614 --> 01:03:51.596]  The fact that you're interested in this and the fact that you know
[01:03:53.206 --> 01:04:01.030]  Make sure you get on a plane and come up here to New York City or come to London and we're ready to hire you right now.
[01:04:03.231 --> 01:04:05.872]  And then it gets down to money and they're like, you know...
[01:04:07.401 --> 01:04:11.782]  I'm the deputy head of this organization, and I'm not making $5 million a year, Mr. Jones.
[01:04:12.063 --> 01:04:17.604]  And I think this is really a good deal for you, but if it's not just about the money, you know, you could do a lot more on the inside.
[01:04:17.684 --> 01:04:22.046]  I mean, look, $1 million a year, $3 million a year, $5 million a year, they know potential.
[01:04:22.366 --> 01:04:23.326]  That's why they're in charge.
[01:04:23.366 --> 01:04:25.447]  And I'm not like, I'm not like, I'm some great dude.
[01:04:26.147 --> 01:04:30.628]  I'm mentally ill like Trump, they say, because I don't want to screw everybody over.
[01:04:31.029 --> 01:04:34.350]  I want to keep having grandmas and grandpas and little babies and everything else.
[01:04:34.430 --> 01:04:38.691]  And if people want to become cyborgs or chop their genitals off and say they're a woman, you can do that.
[01:04:38.771 --> 01:04:39.311]  But here's the deal.
[01:04:39.551 --> 01:04:43.092]  You're not going to brainwash all the kids and everybody else to make the world so ugly.
[01:04:43.372 --> 01:04:48.054]  We then accept this when really it's a giant Trojan horse to get us all to kill ourselves, basically.
[01:04:48.434 --> 01:04:54.556]  And we think we're all joining some big robot system so we can be part of the elite and, you know, be at the real country club up in the cloud.
[01:04:54.816 --> 01:04:55.456]  Uh-uh, baby.
[01:04:57.378 --> 01:05:00.180]  Introducing CellForce by InfoWars Life.
[01:05:00.800 --> 01:05:04.363]  CellForce focuses on mitochondria efficiency and protection.
[01:05:04.763 --> 01:05:07.705]  Mitochondria produce over 95% of your energy.
[01:05:08.105 --> 01:05:10.086]  They are your body's cellular engines.
[01:05:10.647 --> 01:05:15.050]  CellForce helps promote your cellular energy production by supporting mitochondria.
[01:05:15.390 --> 01:05:17.451]  Much like a cellular engine overhaul.
[01:05:17.731 --> 01:05:24.116]  Because when your mitochondria don't run at 100% efficiency, then they start producing reactive oxygen species.
[01:05:24.736 --> 01:05:31.964]  Top scientists agree that aging is most likely caused by cellular damage resulting from these reactive oxygen species.
[01:05:32.926 --> 01:05:37.591]  The antioxidants found in cell force are some of the most powerful available on the market.
[01:05:37.991 --> 01:05:44.979]  The stronger the antioxidant, the better its ability to scavenge for these reactive oxygen species and other free radicals.
[01:05:45.620 --> 01:05:50.083]  Boost, protect, and adapt with Cell Force from InfoWarsLife.
[01:05:50.523 --> 01:05:53.446]  Head to InfoWarsLife.com or call 1-888-253-3139.
[01:06:14.730 --> 01:06:16.111]  Burning with the truth.
[01:06:16.611 --> 01:06:18.172]  Burning with the desire to warn you.
[01:06:18.732 --> 01:06:20.073]  Burning with victory!
[01:06:22.994 --> 01:06:27.997]  From the front lines of the information war, it's Alex Jones.
[01:06:29.818 --> 01:06:44.185]  Earlier I laid out a gestalt of the admitted stated plans of almost every tech billionaire and the globalists that fund them.
[01:06:45.140 --> 01:06:59.427]  And it is a plan to bring in world government, to poison you, to dumb you down, to distract you, and to make this world, the real world, so ugly that you accept being euthanized with the belief that your body is going to be uploaded into this wondrous cloud.
[01:07:01.268 --> 01:07:02.909]  And that is their actual plan.
[01:07:03.029 --> 01:07:05.470]  A digital hell they're creating.
[01:07:06.601 --> 01:07:12.387]  Just as Lucifer got one-third of the angels to go with him, and then all it created was a nightmare system.
[01:07:13.208 --> 01:07:19.755]  Now whether you believe the devil existed or not, they're building a system right out of the mind of the old serpent himself.
[01:07:21.557 --> 01:07:25.981]  Everything you see Elon Musk talking about today, I've been talking about for 20 years.
[01:07:26.782 --> 01:07:29.185]  Because it's all in the source documents.
[01:07:31.530 --> 01:07:33.452]  This is your final warning, my friends.
[01:07:34.212 --> 01:07:42.960]  The globalists think you're dumb and think you're stupid and told me to my face many times that I'm a fool and that you are profane and don't even deserve to know this.
[01:07:43.220 --> 01:07:54.550]  I'll tell you this, I tweeted a picture of Hillary Clinton yesterday, one of her reported pervert buddies, and I said, this is your elitism, this is your power, this is your grace, this is your beauty, this is your purity.
[01:07:54.990 --> 01:07:57.452]  I don't want to be within a trillion miles of you.
[01:08:03.502 --> 01:08:15.869]  If you go to my Twitter account, RealAlexJones, I tweeted out yesterday morning, and it just shows the evil in her eyes, and it just shows you the evil in her actions, and who these people are, and what they stand for.
[01:08:16.930 --> 01:08:30.598]  Now before I go any further, the Twitter's RealAlexJones, before I go any further, I didn't get to all this, but I will coming up, and out of Jerome Corsi's coming in with the secrets of QAnon, I'm gonna have him host for two segments, but before I go any further here,
[01:08:31.718 --> 01:08:32.759]  Look at all these other headlines.
[01:08:33.139 --> 01:08:35.640]  Trump ignores DOJ warning once FISA Memorandum is released.
[01:08:36.060 --> 01:08:37.161]  Oh, the terrorists will get us.
[01:08:37.861 --> 01:08:39.062]  Oh, don't release it, please.
[01:08:39.122 --> 01:08:43.064]  First it was nothing, then it was made up, then it wasn't important, and then blah, blah, blah.
[01:08:43.364 --> 01:08:48.207]  It's the total proof of the collusion of Obama, Hillary, the Democratic Party, all of them.
[01:08:49.830 --> 01:08:52.751]  Another one, amid turmoil Trump seeks to reset with State of the Union.
[01:08:52.771 --> 01:08:53.552]  They don't want to reset.
[01:08:53.772 --> 01:08:56.193]  They want to kill our prosperity and control the economy.
[01:08:56.753 --> 01:08:59.815]  Senators press Podesta and other Democrats about dossier.
[01:09:00.115 --> 01:09:06.338]  Hillary and Podesta, the articles on Infowars.com have been told.
[01:09:06.938 --> 01:09:09.339]  You have two weeks to turn those documents over.
[01:09:10.640 --> 01:09:18.804]  Continuing, Trump amnesty offer intended to expose Democrat cynicism.
[01:09:19.844 --> 01:09:22.325]  Yeah, when he said, okay, I'll go ahead and legalize all these people.
[01:09:22.345 --> 01:09:23.965]  They went, no, we want totally open borders.
[01:09:24.045 --> 01:09:26.226]  Anybody can come here and you're a white supremacist.
[01:09:26.246 --> 01:09:27.586]  They want the end of the borders, folks.
[01:09:28.186 --> 01:09:28.806]  That's what this is.
[01:09:29.886 --> 01:09:31.047]  You see, they took that as weakness.
[01:09:34.888 --> 01:09:35.328]  Oh, look at this.
[01:09:35.428 --> 01:09:41.689]  Migrants in Italy will be taught they shouldn't beat women when they say no.
[01:09:43.890 --> 01:09:44.790]  Isn't that just cute?
[01:09:46.110 --> 01:09:49.071]  Liberal California councilmen and teachers
[01:09:51.294 --> 01:09:55.397]  Tell students, military are dumb bleeps and the lowest of our low.
[01:09:56.978 --> 01:10:00.821]  Bernie Sanders acknowledges Democrats forced government shutdown.
[01:10:00.881 --> 01:10:02.722]  It was the right thing to do, do, to do!
[01:10:02.742 --> 01:10:09.307]  Because he wants to, like a Nazi, hurt 1.8 million people and 800,000 children in DACA.
[01:10:09.567 --> 01:10:15.011]  He wants to, even though he just said legalize them, he's just, oh, he had to shut it down because he was going to legalize them.
[01:10:15.071 --> 01:10:16.912]  I mean, we can't let people know that.
[01:10:16.932 --> 01:10:19.554]  And then they go, oh, he's breaking his promise.
[01:10:20.765 --> 01:10:21.606]  Never broke his promise.
[01:10:21.686 --> 01:10:28.311]  He said, if you can really prove you're here and legal and been here a long time and were a kid, but then you've been deported a bunch of times and are a criminal and can't prove it, you're gone!
[01:10:28.971 --> 01:10:29.232]  Wow!
[01:10:29.552 --> 01:10:30.513]  Common sense, man!
[01:10:32.334 --> 01:10:34.716]  So that's just some of the news.
[01:10:34.736 --> 01:10:38.059]  Trump tells Piers Morgan, I wouldn't say I'm a feminist, but rather for everyone.
[01:10:38.619 --> 01:10:40.781]  Yeah, you're pro-human!
[01:10:42.500 --> 01:10:48.183]  But meanwhile, unhinged Michael Moore assails Trump as unfit narcissist, sociopath, threat to humanity.
[01:10:48.424 --> 01:10:51.906]  Now, I'm going to go to this special report by Paul Watson.
[01:10:52.846 --> 01:10:57.529]  We're coming back with a detailed one that we haven't aired yet, an interview I did Friday that hasn't aired yet with Milo.
[01:10:58.089 --> 01:11:02.172]  Major studies out, why are conservatives on average so much better looking than liberals?
[01:11:02.532 --> 01:11:05.314]  And why do they also give more to charity and steal less?
[01:11:06.294 --> 01:11:08.916]  And the answer is, they're not liberals.
[01:11:09.797 --> 01:11:10.838]  They flipped everything.
[01:11:10.898 --> 01:11:12.800]  Classical liberals set up our country.
[01:11:13.080 --> 01:11:16.443]  They're pro-gun, they're for low taxes, they're for do what you want as long as you don't hurt somebody.
[01:11:16.803 --> 01:11:19.545]  The left are control freaks that want to run every aspect of your life.
[01:11:19.785 --> 01:11:20.446]  Here's that report.
[01:11:21.567 --> 01:11:23.308]  Political activists and journalists, yeah.
[01:11:23.368 --> 01:11:24.830]  Not noted for their visual appeal.
[01:11:25.976 --> 01:11:28.697]  But now science has confirmed what we knew all along.
[01:11:28.997 --> 01:11:31.398]  Conservatives are way hotter than liberals.
[01:11:31.478 --> 01:11:39.382]  A new study published by Cambridge University Press finds that conservative men and women tend to be physically more attractive than their political opponents.
[01:11:39.442 --> 01:11:46.205]  We find that attractive individuals are more likely to identify with the Republican Party and more likely to be conservative, the researchers concluded.
[01:11:46.225 --> 01:11:50.947]  So they used huge data sets and all the participants were ranked by other people on their hotness.
[01:11:51.227 --> 01:11:53.288]  And conservatives clearly came out on top.
[01:11:53.368 --> 01:12:00.653]  This confirms a previous UCLA study which found more feminine, less manly looking women were more likely to be conservatives.
[01:12:00.773 --> 01:12:04.515]  Even arch-feminist Lindy West admits that conservative women are prettier.
[01:12:04.555 --> 01:12:09.718]  Remember that scene in The Shining where he kisses the hot naked chick who then turns into some kind of zombie witch?
[01:12:09.758 --> 01:12:13.780]  Well scientists have now confirmed that communism has the exact same effect on women.
[01:12:13.840 --> 01:12:18.443]  Turns out being a resentful snarling loser manifests itself physically.
[01:12:18.763 --> 01:12:23.688]  Why do you think fat social justice warriors are constantly trying to ban offensive Halloween outfits?
[01:12:23.808 --> 01:12:27.111]  Sexy, slender women in tight-fitting costumes everywhere.
[01:12:27.171 --> 01:12:28.332]  Yeah, it's not rocket science.
[01:12:28.392 --> 01:12:28.853]  I'm triggered.
[01:12:28.893 --> 01:12:31.075]  Why do you think they tried to ban beach body ads?
[01:12:31.375 --> 01:12:32.196]  Same reason.
[01:12:33.557 --> 01:12:35.699]  The Alberta Youth Communist League.
[01:12:42.230 --> 01:12:47.474]  Now, I'm not saying these people are ugly, but when they try to take selfies, their phones spontaneously combust.
[01:12:47.715 --> 01:12:50.136]  Look at these anti-Milo protesters at UCLA.
[01:12:50.237 --> 01:12:58.103]  If they put as much effort into grooming as they do silencing free speech, maybe they wouldn't look like Michael Moore and Rachel Maddow's bastard love child.
[01:12:58.143 --> 01:12:58.724]  Just saying.
[01:12:58.944 --> 01:13:00.505]  Look at the girl on the right.
[01:13:00.985 --> 01:13:01.306]  Get it?
[01:13:01.746 --> 01:13:02.447]  On the right?
[01:13:05.849 --> 01:13:10.073]  Hello, darkness, my old friend.
[01:13:11.365 --> 01:13:14.647]  She's got less armpit hair than Verne Troyer's got head hair.
[01:13:14.747 --> 01:13:18.630]  As for the girl on the left, not even a soy boy is going to want to touch that spaghet.
[01:13:18.650 --> 01:13:21.932]  Somebody toucha my spaghet!
[01:13:22.713 --> 01:13:24.814]  I don't even know what that means.
[01:13:24.934 --> 01:13:27.396]  No one knows what it means, but it's provocative.
[01:13:27.896 --> 01:13:28.517]  No it's not.
[01:13:28.537 --> 01:13:29.718]  It's getting the people going.
[01:13:29.958 --> 01:13:32.599]  Shut up, Hillary girl versus Lena Dunham.
[01:13:32.640 --> 01:13:34.461]  Let's just say, I'm with her.
[01:13:34.921 --> 01:13:36.642]  How to be anti-feminist woman on YouTube?
[01:13:36.802 --> 01:13:37.102]  Hot!
[01:13:37.282 --> 01:13:37.903]  Hater the women!
[01:13:38.083 --> 01:13:38.963]  Nearly a teenager!
[01:13:39.083 --> 01:13:41.164]  Unhealthy pathological need for male approval!
[01:13:41.224 --> 01:13:43.345]  How to be a feminist woman on YouTube?
[01:13:43.806 --> 01:13:44.186]  Ugly!
[01:13:44.426 --> 01:13:45.406]  Hate hot women!
[01:13:45.566 --> 01:13:46.927]  Hate young hot women!
[01:13:47.307 --> 01:13:48.468]  Unhealthy need for hair dye!
[01:13:48.488 --> 01:13:53.690]  Kill Donald Trump, and then it says kill Mike Pence, and then it says it's guillotine time, bitches!
[01:13:53.971 --> 01:13:56.672]  But Paul, I can give you a million examples of liberals who aren't ugly!
[01:13:56.772 --> 01:13:58.013]  Yeah, they're celebrities.
[01:13:58.153 --> 01:14:00.794]  If they weren't liberals, they wouldn't have a career.
[01:14:00.874 --> 01:14:02.955]  I'm talking about activists and journalists.
[01:14:03.055 --> 01:14:04.035]  Like this woman.
[01:14:04.075 --> 01:14:08.477]  Now, I know they say, stand up for your rights, but in this case, probably not a good idea.
