[00:00:00.109 --> 00:00:01.310]  Agenda 2030.
[01:33:39.246 --> 01:33:40.247]  They're trying to find a better life.
[01:33:40.467 --> 01:33:43.889]  We cannot survive without migrants working in these farms.
[01:33:43.989 --> 01:33:48.312]  I'm curious to know what happens in Florida now that it's illegal for migrants to work in these farms.
[01:33:49.013 --> 01:33:50.014]  That's where we get our food.
[01:33:50.414 --> 01:33:52.035]  In every single kitchen, it's migrants.
[01:33:52.075 --> 01:33:53.796]  It's people who are building the infrastructure.
[01:33:53.976 --> 01:33:54.817]  Who built this wall?
[01:33:55.077 --> 01:33:55.517]  Migrants.
[01:33:56.178 --> 01:33:59.500]  So why don't we try to find a way to allow them to come in and work?
[01:33:59.600 --> 01:34:00.781]  And that's what's happening right now.
[01:34:00.801 --> 01:34:01.862]  We're trying to find that way.
[01:34:02.808 --> 01:34:04.088]  So these people are coming here to work?
[01:34:04.468 --> 01:34:04.829]  Yes!
[01:34:05.489 --> 01:34:05.629]  Really?
[01:34:05.649 --> 01:34:06.949]  Have you not met any migrants?
[01:34:06.989 --> 01:34:08.950]  Have you had a conversation with one migrant?
[01:34:09.430 --> 01:34:14.351]  Yeah, they hang out in the streets and they get free meals and they get free clothes and they get free shelter paid for by the U.S.
[01:34:14.371 --> 01:34:14.891]  taxpayer.
[01:34:14.971 --> 01:34:17.392]  I'm asking you, are you having face-to-face conversations?
[01:34:17.452 --> 01:34:18.432]  So that's not happening?
[01:34:18.492 --> 01:34:21.733]  Are you having face-to-face conversations?
[01:34:21.753 --> 01:34:23.774]  So who's funding the illegal immigration pipeline?
[01:34:25.094 --> 01:34:26.115]  Who's funding it?
[01:34:26.135 --> 01:34:27.335]  Look how much space there is here!
[01:34:27.355 --> 01:34:28.096]  I give you space.
[01:34:28.176 --> 01:34:29.416]  I own a newspaper in Spanish.
[01:34:29.536 --> 01:34:30.557]  This is crazy, Alex.
[01:34:30.597 --> 01:34:31.598]  Now everybody's over here.
[01:34:31.618 --> 01:34:34.319]  We can't even have... Actually, I think we would agree on a lot.
[01:34:34.559 --> 01:34:35.360]  I think we would agree on a lot.
[01:34:35.380 --> 01:34:37.301]  We're both a little... We're both getting a little hyper right now.
[01:34:37.321 --> 01:34:39.101]  Now people are trying to shut down this conversation.
[01:34:39.542 --> 01:34:42.523]  I agree that Central American countries are devastated.
[01:34:42.883 --> 01:34:45.585]  Yes, that's by some of the U.S.
[01:34:45.685 --> 01:34:46.345]  foreign policies.
[01:34:46.405 --> 01:34:47.186]  I will agree with that.
[01:34:47.206 --> 01:34:48.066]  I will agree with that.
[01:34:48.326 --> 01:34:51.108]  Some of that also has to do with their own policies like communism.
[01:34:51.686 --> 01:34:53.286]  And so that's a problem too.
[01:34:53.286 --> 01:34:58.726]  Owen, who is this guy trying to stop you from talking?
[01:34:58.726 --> 01:35:00.726]  The white guy right here, who is this guy?
[01:35:00.726 --> 01:35:02.926]  People aren't coming in here in two.
[01:35:02.926 --> 01:35:04.686]  Why don't you open your door a little?
[01:35:04.686 --> 01:35:09.286]   Well, I would if I had the capacity because if you're- >> So how do we have the capacity?
[01:35:09.286 --> 01:35:11.885]   You're someone that has a- We've got 30 trillion in debt.
[01:35:11.885 --> 01:35:15.486]   Ladies and gentlemen, we're not trying to get into an argument here, okay?
[01:35:15.486 --> 01:35:17.846]  No, it's an interview.
[01:35:17.846 --> 01:35:18.926]  Tell him it's an interview.
[01:35:18.926 --> 01:35:20.126]  Thank you.
[01:35:20.126 --> 01:35:22.725]  Tell him you're illegal aliens, Owen.
[01:35:22.725 --> 01:35:26.085]  Don't they, no, say don't they a story.
[01:35:26.085 --> 01:35:27.966]  No, say don't they a story.
[01:35:27.966 --> 01:35:29.326]  No, say don't they a story.
[01:35:29.326 --> 01:35:30.326]  I don't understand.
[01:35:30.413 --> 01:35:34.074]  Well, because then I can maybe get free stuff and just walk across the border and be allowed to stand somewhere.
[01:35:34.094 --> 01:35:38.156]  Bring up the fact that the UN shut down the third world for two years with lockdowns.
[01:35:39.557 --> 01:35:41.717]  I talked to people in El Paso that don't want this to happen.
[01:35:41.757 --> 01:35:43.378]  There are some people that don't, you're right.
[01:35:43.478 --> 01:35:49.080]  But whatever donations are happening are coming out of the goodness of people's hearts and I don't know why you can be so hateful to them.
[01:35:49.100 --> 01:35:53.542]  Explain to her that the left cut off the food supply with the lockdowns and caused this.
[01:35:54.650 --> 01:35:55.430]  ...community centers.
[01:35:55.730 --> 01:35:56.791]  El Paso's come together.
[01:35:56.811 --> 01:36:04.174]  Not everyone's cool with it, but the people who are are finding it in their hearts to help people who have less privilege than you do walking around yelling at everybody.
[01:36:04.214 --> 01:36:04.694]  So hold on a second.
[01:36:04.714 --> 01:36:05.214]  Hold on a second.
[01:36:05.234 --> 01:36:05.755]  Hold on a second.
[01:36:06.235 --> 01:36:06.375]  So...
[01:36:07.265 --> 01:36:11.610]  The city of El Paso just is donating money that pays for all these border agents?
[01:36:11.630 --> 01:36:11.750]  No!
[01:36:11.810 --> 01:36:11.890]  No!
[01:36:12.110 --> 01:36:12.531]  Exactly!
[01:36:12.551 --> 01:36:12.971]  Who pays for it?
[01:36:13.011 --> 01:36:13.211]  The U.S.
[01:36:13.231 --> 01:36:13.672]  taxpayer?
[01:36:13.872 --> 01:36:16.074]  Right, but you're paying for border agents to keep them out.
[01:36:16.355 --> 01:36:17.476]  They're not keeping them out!
[01:36:17.516 --> 01:36:18.357]  That's my point!
[01:36:18.617 --> 01:36:19.738]  They're letting them in!
[01:36:19.758 --> 01:36:21.220]  Thank you!
[01:36:21.300 --> 01:36:22.561]  They're not letting them in.
[01:36:22.721 --> 01:36:24.263]  Oh, and bring up the U.N.
[01:36:24.323 --> 01:36:26.525]  lockdowns causing the collapse of the third world.
[01:36:26.545 --> 01:36:27.006]  The U.N.
[01:36:27.246 --> 01:36:27.486]  collapse.
[01:36:30.188 --> 01:36:32.029]  Did you guys like the COVID lockdowns?
[01:36:32.129 --> 01:36:33.130]  Did you guys like the COVID lockdowns?
[01:36:33.150 --> 01:36:33.910]  I don't know what you mean by that.
[01:36:33.930 --> 01:36:37.392]  Well, that caused a lot of this immigration too, because it destroyed third world countries.
[01:36:37.513 --> 01:36:40.134]  Yeah, there's an influx of immigration that happens every year.
[01:36:40.574 --> 01:36:41.155]  So how about this?
[01:36:41.195 --> 01:36:43.336]  Hold on, let's try to find somebody we agree on, because I think we could.
[01:36:43.857 --> 01:36:45.658]  I agree, it's not the Republicans or the Democrats.
[01:36:45.938 --> 01:36:48.479]  That's why I voted for Trump, because clearly both parties hate him.
[01:36:48.760 --> 01:36:50.961]  But the point is, we both agree there's a unit party system.
[01:36:51.281 --> 01:36:55.904]   So do we both agree that there's somebody controlling The whole overall status.
[01:36:55.984 --> 01:36:58.304]  Is there a global agenda that this is all a part of?
[01:36:58.544 --> 01:37:00.005]  Or is this just a humanitarian thing?
[01:37:00.025 --> 01:37:01.826]  We should let in as many people and pay for all of it.
[01:37:02.446 --> 01:37:03.706]  I don't think we're paying for all of it.
[01:37:03.746 --> 01:37:06.307]  I think there's definitely... It's more complicated than that.
[01:37:06.627 --> 01:37:10.869]  You know that this is actually going to be used to get more money funneled into Homeland Security.
[01:37:11.429 --> 01:37:13.930]  More money funneled into... Yeah, to open the border up more.
[01:37:15.043 --> 01:37:15.843]  It's not Homeland Security.
[01:37:15.863 --> 01:37:17.184]  It's the illegal immigration pipeline.
[01:37:17.204 --> 01:37:18.785]  They're not stopping people from coming in.
[01:37:18.805 --> 01:37:20.586]  They are stopping people from coming in.
[01:37:20.966 --> 01:37:21.766]  It's really hard.
[01:37:21.786 --> 01:37:24.648]  Do you realize that every year... Hold on a second.
[01:37:24.668 --> 01:37:25.228]  Hold on a second.
[01:37:25.248 --> 01:37:26.288]  Can I say something real quick?
[01:37:26.329 --> 01:37:27.229]  I want you to respond to something.
[01:37:28.004 --> 01:37:33.427]  Every year that Joe Biden has been in office, there has been a record number of illegal border crossings.
[01:37:33.487 --> 01:37:39.350]  Because of Title 42, that migration influx would have happened throughout these years if it wasn't for Title 42.
[01:37:39.390 --> 01:37:40.911]  No, it's a record flood.
[01:37:40.931 --> 01:37:48.234]  So Title 42, hold on, so Title 42 was helping people come in, but now that Title 42 is up, everybody's coming in more?
[01:37:48.514 --> 01:37:50.495]  It was stopping people from coming in, right?
[01:37:50.636 --> 01:37:51.156]  You're not aware of that?
[01:37:51.236 --> 01:37:51.656]  Exactly!
[01:37:51.756 --> 01:37:54.077]  So there you go, so that's a good thing, that's what we want.
[01:37:54.097 --> 01:37:54.918]  We gotta go to Breitbart.
[01:37:56.425 --> 01:38:04.908]  Alright, you can see Owen Schreiers at the border arguing with some mindless leftist woman that just thinks open borders is a great thing, the New World Order is good, it's all great.
[01:38:05.608 --> 01:38:06.508]  This is the idiocy.
[01:38:07.229 --> 01:38:10.270]  She won't notice the crime exploding, she won't notice the energy being cut off.
[01:38:10.770 --> 01:38:19.953]  The same people destroying our country at every level have told the world to come here, they're going to get free stuff, to have a new permanent underclass that will vote for what they want and what they do.
[01:38:20.473 --> 01:38:22.514]  Alright folks, we are back live.
[01:38:22.614 --> 01:38:24.856]  Quite a circus going on here right now.
[01:38:25.296 --> 01:38:26.917]  That lady would not listen to any questions.
[01:38:26.937 --> 01:38:29.999]  She would just yell and scream over and over again.
[01:38:30.019 --> 01:38:32.981]  We're going to leave Owen here in a few minutes.
[01:38:33.261 --> 01:38:34.982]  He can walk around and talk to some more folks if he wants.
[01:38:35.002 --> 01:38:36.943]  That woman did not want to have a conversation.
[01:38:36.983 --> 01:38:43.887]  She loves the open borders, the fentanyl, the mass death, the transgenderism, the UN running the collapse of our border at every level.
[01:38:44.327 --> 01:38:46.149]  But Owen, let's just move away from those people.
[01:38:47.071 --> 01:38:52.698]  I want to find out about the media producer coming over and telling you to shut up, even though there's no story there.
[01:38:53.279 --> 01:38:56.343]  The state police, the Border Patrol came over and said, we don't want to fight here.
[01:38:56.804 --> 01:38:57.785]  You were just having a debate.
[01:38:58.165 --> 01:39:00.028]  But I mean, talking to that mindless woman.
[01:39:00.348 --> 01:39:02.271]  Then walk around and give us more of a tour of what's going on.
[01:39:04.321 --> 01:39:09.503]  You know, Alex, I don't really know how to explain that other than I guess people aren't used to normal people.
[01:39:09.743 --> 01:39:13.244]  I guess people aren't used to people that actually just want to talk and care about things.
[01:39:13.284 --> 01:39:17.886]  We're all just supposed to show up, get in line, do our role, and then go home and the day is done.
[01:39:17.906 --> 01:39:18.846]  We'll do it again tomorrow.
[01:39:19.627 --> 01:39:21.727]  No, that's not how humans behave.
[01:39:21.767 --> 01:39:23.008]  That's how slaves behave.
[01:39:23.308 --> 01:39:25.609]  Not how free men behave, that's how slaves behave.
[01:39:25.649 --> 01:39:28.571]  So, it's a little odd that people try to come over here and stop a conversation.
[01:39:29.031 --> 01:39:30.372]  I believe this, we need more of this.
[01:39:30.512 --> 01:39:39.057]  Even if me and this woman disagree, we'll find something we agree on, but coming together and having the conversation, having the discussion, even if it gets heated, we need more of that, Alex.
[01:39:39.097 --> 01:39:40.478]  This is why the country is so divided.
[01:39:40.698 --> 01:39:42.479]  We won't even talk to one another.
[01:39:42.799 --> 01:39:47.622]  We just want to get in our lines, assume all these other things about the other side, and never actually come together to talk.
[01:39:47.782 --> 01:39:53.606]   This is why they're canceling presidential debates, This is why they won't allow even local politicians to have debates anymore.
[01:39:54.026 --> 01:39:58.789]  But that's why when we come to these events, everybody wants to look at us and put the cameras on us and act like we're the big story.
[01:39:59.230 --> 01:40:02.072]  No, the story is 6 million illegal immigrants since Joe Biden got into office.
[01:40:02.092 --> 01:40:08.136]  Well, it's way more than 6 million, because 80% get past them, so it's about many times that.
[01:40:08.977 --> 01:40:12.880]  But Owen, just for a second, let's just relax for a minute.
[01:40:14.955 --> 01:40:20.400]  I love the lady saying, Mexico has failed because of America, Venezuela has failed because of America.
[01:40:20.460 --> 01:40:23.822]  No, it's the communism, it's the socialism, it's the corruption.
[01:40:24.323 --> 01:40:27.565]  If we're the bad country, why are they all trying to get into it?
[01:40:27.606 --> 01:40:33.630]  They don't understand it was our limited freedom, wasn't perfect, but way better than theirs that created the wealth.
[01:40:33.931 --> 01:40:34.791]  They're not going to get it.
[01:40:35.532 --> 01:40:38.334]  They just want to feel good and go with the corporate media.
[01:40:38.374 --> 01:40:44.598]  She's not smart enough to realize if ABC News and CNN and NPR is on your side, that's all funded by the globalists.
[01:40:44.658 --> 01:40:45.718]  She can't understand that.
[01:40:45.758 --> 01:40:47.840]  So you can't waste your time on her anymore.
[01:40:48.700 --> 01:40:49.561]  She wouldn't listen to questions.
[01:40:49.581 --> 01:40:50.541]  She wanted to just shout at you.
[01:40:51.282 --> 01:40:53.223]  But separately, what are you guys planning to do next?
[01:40:53.683 --> 01:40:54.904]  You want to give us another tour?
[01:40:54.924 --> 01:40:57.846]  Maybe wheel the camera around so we can see what's going on there on the border?
[01:40:59.384 --> 01:41:01.125]  Uh, yeah, I mean, there's not much to see here.
[01:41:01.165 --> 01:41:05.387]  We were expecting, uh, well, again, we were told there was going to be a press conference.
[01:41:05.447 --> 01:41:07.167]  That was, I guess, just an outright lie.
[01:41:07.627 --> 01:41:12.690]  And then they told us that we were going to be able to see, I guess, some of the buses of the illegals coming through this little walkway right here.
[01:41:12.710 --> 01:41:15.531]  Here, let's walk over here and show them, uh, through gate 42.
[01:41:15.591 --> 01:41:21.447]   That drone footage that we showed you earlier, uh, And I love, Owen, how they've got little yellow tape up for citizens to stay in.
[01:41:21.487 --> 01:41:22.287]  All their little borders.
[01:41:22.146 --> 01:41:27.006]   rolled earlier Alex the footage that you rolled yesterday was from gate 40 so an
[01:41:27.006 --> 01:41:29.326]   entirely different gate so it's like what we're talking about with the
[01:41:29.326 --> 01:41:33.006]   migrant valves right okay run it into gate 40 all right shut that valve out
[01:41:33.006 --> 01:41:36.565]   run them into gate 42 okay shut that valve off so they're gonna love Owen how
[01:41:36.565 --> 01:41:41.345]   they've got little yellow tape up for citizens to stay in all their little
[01:41:41.345 --> 01:41:45.006]   borders but oh but you but the illegals can do whatever they want.
[01:41:45.006 --> 01:41:48.845]  Look at this border right here.
[01:41:46.887 --> 01:41:47.748]  Come on, get the camera close.
[01:41:47.768 --> 01:41:48.949]  I want you to see this border.
[01:41:49.450 --> 01:41:51.431]  This is what a border is like, right here.
[01:41:51.892 --> 01:41:53.693]  And I can't cross this border, right?
[01:41:54.074 --> 01:41:55.555]  I'm a dirty American journalist.
[01:41:55.615 --> 01:41:56.916]  I'm not allowed to cross this border.
[01:41:57.156 --> 01:42:01.160]  But that actual border, that one you can cross just fine, Alex.
[01:42:01.220 --> 01:42:02.241]  It's all fine and dandy.
[01:42:03.058 --> 01:42:04.979]  But hey, we're here to document it.
[01:42:05.079 --> 01:42:06.160]  That's what we're doing out here.
[01:42:06.820 --> 01:42:08.882]  And I think the world is waking up, Alex.
[01:42:09.002 --> 01:42:10.262]  I think Americans are waking up.
[01:42:10.362 --> 01:42:11.363]  It's too overwhelming.
[01:42:11.403 --> 01:42:12.244]  It's too ridiculous.
[01:42:12.484 --> 01:42:14.385]  We're not getting any real question and answers.
[01:42:14.585 --> 01:42:16.066]  We're not getting any press conferences.
[01:42:16.286 --> 01:42:18.007]  The White House tells us the border is closed.
[01:42:18.347 --> 01:42:20.589]  Anybody who lives in reality knows that's a lie.
[01:42:20.989 --> 01:42:22.670]  So they're not going to get away with this forever.
[01:42:22.690 --> 01:42:25.992]  Hell, Trump went on CNN last night and got a standing ovation.
[01:42:26.917 --> 01:42:28.358]  I mean, they can't bury this forever.
[01:42:28.438 --> 01:42:31.320]  And, you know, look, I'm expecting them to steal it for Biden again.
[01:42:31.360 --> 01:42:32.541]  Trump will get 90 million votes.
[01:42:32.941 --> 01:42:34.322]  Biden will get 90 million and one.
[01:42:34.622 --> 01:42:36.023]  You know, they'll all come in at 3 a.m.
[01:42:36.043 --> 01:42:39.205]  in the morning, and the media will celebrate saying, look, we got Trump in the race again.
[01:42:39.225 --> 01:42:43.128]  Well, sure, but what I wanted you to say to her, I know you tried, but she wouldn't shut up, is the U.N.
[01:42:43.148 --> 01:42:49.332]  says they did lockdowns to collapse the third world, to flood us with hundreds of millions of people that they control as a permanent underclass.
[01:42:49.352 --> 01:42:51.213]  This is a military operation.
[01:42:51.233 --> 01:42:55.496]  We're not against the poor people they're using, but they're being used as a weapon.
[01:42:55.976 --> 01:42:57.157]  Like I said, I'm not against water.
[01:42:57.177 --> 01:42:58.657]  Love a cold glass of water, need it to live.
[01:42:58.957 --> 01:43:01.758]  But if a dam breaks and it floods and kills me, then I'm against water.
[01:43:02.099 --> 01:43:03.259]  And that's what's going on here, Owen.
[01:43:04.360 --> 01:43:08.781]  Yeah, and I believe it was either, I think it was Thomas Sowell or Milton Friedman, I can't remember.
[01:43:08.801 --> 01:43:13.845]   One of the famous economists said, If you want to have an open border, you can't have a welfare state.
[01:43:14.165 --> 01:43:17.165]  If you have an open border and a welfare state, total collapse.
[01:43:17.646 --> 01:43:18.886]  Total collapse within a decade.
[01:43:19.186 --> 01:43:20.306]  That's where we're at now, Alex.
[01:43:20.806 --> 01:43:21.627]  And that's where we're at now.
[01:43:21.707 --> 01:43:25.807]  It's no secret Americans are having a harder time financially than they were just five years ago.
[01:43:26.148 --> 01:43:26.808]  It's not a secret.
[01:43:26.828 --> 01:43:27.548]  Everybody knows that.
[01:43:27.628 --> 01:43:29.288]  It's widely reported that that's going on.
[01:43:29.328 --> 01:43:29.988]  Yeah, and I agree.
[01:43:30.028 --> 01:43:31.289]  Look at this NGO behind you.
[01:43:31.329 --> 01:43:32.069]  She's powerful.
[01:43:32.109 --> 01:43:33.009]  She's allowed to walk around anywhere.
[01:43:33.409 --> 01:43:35.190]  Why don't you go walk- She has the power!
[01:43:35.590 --> 01:43:36.630]  She has the power!
[01:43:36.850 --> 01:43:40.531]  Why don't you go walk up and give us a tour and talk to some Border Patrol?
[01:43:42.729 --> 01:43:43.809]  Uh, where do you want me to go, Alex?
[01:43:43.849 --> 01:43:44.289]  To the fence?
[01:43:44.349 --> 01:43:44.989]  Wherever you want.
[01:43:45.009 --> 01:43:48.470]  Alright, we'll walk over here and they'll tell me to stop.
[01:43:48.850 --> 01:43:49.430]  But, we'll go.
[01:43:49.650 --> 01:43:50.030]  Let you know.
[01:43:50.270 --> 01:43:51.131]  Maybe they'll say hi to you.
[01:43:51.151 --> 01:43:52.211]  Do you think they'll say hi to you, Alex?
[01:43:53.231 --> 01:43:53.891]  There's no border.
[01:43:53.931 --> 01:43:56.111]  Actually, see, this is an open border here.
[01:43:56.511 --> 01:43:58.712]  See how I'm able to walk right through the open border there?
[01:43:59.332 --> 01:44:00.592]  See, there was no tape there.
[01:44:00.992 --> 01:44:02.212]  So this is now an open border.
[01:44:02.232 --> 01:44:05.153]  Uh, are we expecting a press conference today, guys?
[01:44:05.173 --> 01:44:07.733]  I don't know about a press conference, sir.
[01:44:07.753 --> 01:44:07.913]  No?
[01:44:08.333 --> 01:44:11.174]  Are we gonna be seeing buses come through this gate or anything, do you know?
[01:44:11.778 --> 01:44:15.280]  We're hoping that that will be happening pretty soon.
[01:44:15.300 --> 01:44:15.640]  I don't know.
[01:44:15.660 --> 01:44:17.181]  I don't know about any operations in Juarez.
[01:44:17.201 --> 01:44:20.103]  Juarez is in a different country.
[01:44:19.922 --> 01:44:20.922]  to the Texas side?
[01:44:20.922 --> 01:44:21.922]  I don't know.
[01:44:21.922 --> 01:44:22.922]  You don't know?
[01:44:22.922 --> 01:44:23.922]  You don't know who's on the buses coming in?
[01:44:23.922 --> 01:44:25.962]  I don't know about any operations.
[01:44:25.962 --> 01:44:27.641]  You don't know about any operations?
[01:44:27.641 --> 01:44:29.521]  But you're expecting a bus to come through here?
[01:44:29.521 --> 01:44:32.521]  And what is this in a different country?
[01:44:32.521 --> 01:44:33.521]  Okay.
[01:44:33.521 --> 01:44:34.521]  So, yeah.
[01:44:34.521 --> 01:44:38.121]  So, but where are the buses coming from then?
[01:44:38.121 --> 01:44:40.641]  USA.
[01:44:40.641 --> 01:44:42.082]  So the buses are coming from the USA?
[01:44:42.083 --> 01:44:43.064]  side through that gate?
[01:44:43.564 --> 01:44:44.064]  To pick them up.
[01:44:44.084 --> 01:44:44.184]  Right.
[01:44:44.264 --> 01:44:45.985]  So are there buses coming through here or not?
[01:44:47.345 --> 01:44:49.666]  They're going to come from this side over here.
[01:44:49.786 --> 01:44:51.866]  And are those illegal immigrants that are going back?
[01:44:54.087 --> 01:44:54.987]  We'll get more comment.
[01:44:55.027 --> 01:44:56.468]  Buses come from the U.S.
[01:44:56.508 --> 01:44:57.968]  to pick them up and take them across, Owen.
[01:44:59.389 --> 01:45:02.349]  Okay, well he's saying they're not going to go pick illegal immigrants up, Alex.
[01:45:03.810 --> 01:45:04.830]  So that's just not happening.
[01:45:04.850 --> 01:45:06.171]  I guess it's just not happening, Alex.
[01:45:06.271 --> 01:45:07.411]  There is no illegal immigration.
[01:45:07.990 --> 01:45:09.731]  There weren't thousands of people in El Paso.
[01:45:10.012 --> 01:45:10.952]  There's no bus loads.
[01:45:11.373 --> 01:45:12.574]  The border's totally secure.
[01:45:12.594 --> 01:45:14.135]  I mean, it's a freaking clown world, man.
[01:45:14.455 --> 01:45:15.376]  So, that's fine.
[01:45:15.636 --> 01:45:16.557]  America can collapse.
[01:45:16.637 --> 01:45:17.798]  People will lose their pensions.
[01:45:17.818 --> 01:45:19.219]  People will lose their social security.
[01:45:19.859 --> 01:45:21.681]  It'll be a third world in every downtown city.
[01:45:21.901 --> 01:45:23.883]  You'll be lucky if you can afford land out in the country.
[01:45:24.063 --> 01:45:25.224]  And, uh, hey, that's fine.
[01:45:25.344 --> 01:45:25.764]  That's fine.
[01:45:25.864 --> 01:45:26.505]  Let's play games.
[01:45:26.825 --> 01:45:30.628]  Let's play games over semantics, and let's play games over whether there's an open border or not.
[01:45:31.048 --> 01:45:33.031]  I mean, it's just it's a clown world game, Alex.
[01:45:33.051 --> 01:45:36.296]  So we'll just continue to watch America fall under Joe Biden.
[01:45:37.177 --> 01:45:43.746]  And some people will choose to still play games and other people will get sick and tired of it and stand up and try to do something right to fix it.
[01:45:44.407 --> 01:45:45.148]  But that's what you get.
[01:45:45.609 --> 01:45:46.390]  That's what you get, Alex.
[01:45:46.810 --> 01:45:47.190]  All right, Owen.
[01:45:47.210 --> 01:45:48.551]  You've got a lot of great work to do.
[01:45:48.591 --> 01:45:51.253]  Amazing job, you and the crew, posting over 30 reports.
[01:45:51.914 --> 01:45:55.016]  My only frustration is some get 300,000 views, some get 10,000 views.
[01:45:55.316 --> 01:45:56.477]  They all need to go viral.
[01:45:56.517 --> 01:46:02.641]  They're at InfoWars.com and Band.Video and on the Border Collapse page at Band.Video.
[01:46:03.022 --> 01:46:04.343]  Owen, be safe, brother.
[01:46:04.683 --> 01:46:05.664]  We'll continue to track this.
[01:46:05.684 --> 01:46:07.605]  I know you're going to be back on your own show at 3 p.m.
[01:46:07.645 --> 01:46:08.826]  Central today.
[01:46:08.906 --> 01:46:09.706]  They're on the ground.
[01:46:09.746 --> 01:46:10.527]  It's going to be crazy.
[01:46:10.887 --> 01:46:12.148]  God bless you, and you guys be safe.
[01:46:14.030 --> 01:46:14.410]  Thanks, Alex.
[01:46:15.819 --> 01:46:16.440]  What a circus.
[01:46:16.660 --> 01:46:17.621]  Alright, we're going to go to break.
[01:46:17.962 --> 01:46:21.606]  I'm going to come back and open the phones up to balance the hour on any issue, any topic.
[01:46:21.646 --> 01:46:26.532]  First-time callers, long-time callers, agree, disagree, have a question, have a comment, want to yell at me.
[01:46:27.013 --> 01:46:29.536]  It's a total free-for-all, but each caller gets 60 seconds.
[01:46:30.256 --> 01:46:31.298]  Total free number to join us.
[01:46:32.688 --> 01:46:32.768]  877-789-2539.
[01:46:32.788 --> 01:46:32.928]  877-789-2539.
[01:46:32.948 --> 01:46:33.168]  877-789-Alex.
[01:46:33.188 --> 01:46:33.228]  877-789-2539.
[01:46:33.248 --> 01:46:34.228]  Your phone calls straight ahead.
[01:46:34.248 --> 01:46:36.389]  InfoWars live at the collapsed U.S.
[01:46:36.409 --> 01:46:37.109]  border.
[01:46:36.929 --> 01:46:41.929]  789-2539-877-789-alex.
[01:46:41.929 --> 01:46:45.929]  877-789-2539.
[01:46:45.929 --> 01:46:48.929]  Your phone call straight ahead.
[01:46:48.929 --> 01:46:51.929]  InfoWars live at the collapsed U.S. border.
[01:46:51.929 --> 01:46:54.929]  We are inside the New World Order now.
[01:46:54.929 --> 01:46:57.929]  I've worked on climate change for 25 years.
[01:46:57.132 --> 01:46:59.354]  I've worked on climate change since 73.
[01:46:59.454 --> 01:47:07.221]  Just to tell you because I was the person who gave the Club of Rome the first big platform.
[01:47:08.002 --> 01:47:19.793]  I share with you the concern and I think we can solve those issues only if we repair our global architecture and our global system.
[01:47:21.352 --> 01:47:24.175]  You know, anyway you slice it, this is a humanitarian crisis.
[01:47:24.255 --> 01:47:33.246]  I mean, what's going on here is these people have paid the cartels or have smuggled themselves over and they're actually now, believe it or not, on American soil.
[01:47:33.367 --> 01:47:36.510]  All of the people you've seen in there are actually now in America.
[01:47:37.171 --> 01:47:40.593]  And so they are now waiting to go to a processing center.
[01:47:40.713 --> 01:47:45.696]  So this is what it looks like, AOC, out here with your beautiful Biden.
[01:47:45.716 --> 01:47:47.577]  This is how Biden treats his people.
[01:47:47.617 --> 01:47:51.059]  These are on American land right here.
[01:47:51.419 --> 01:47:58.663]  And this, if you thought that kids in cages were bad, this is what you have now under the amazing Biden industry here.
[01:47:58.724 --> 01:48:00.184]  What's going on with Biden?
[01:48:00.625 --> 01:48:01.425]  I can barely talk.
[01:48:01.465 --> 01:48:02.526]  This is fucked up, man.
[01:48:03.346 --> 01:48:08.810]  These people are technically on American soil now, so you could call it a camp, right?
[01:48:09.291 --> 01:48:10.251]  But does anybody care?
[01:48:10.271 --> 01:48:11.412]  Does the left care?
[01:48:11.692 --> 01:48:11.893]  No?
[01:48:12.213 --> 01:48:12.813]  They don't care.
[01:48:12.833 --> 01:48:17.277]  Meanwhile, these people are going to wait with their kids, with no toilets, with nothing, no food.
[01:48:17.317 --> 01:48:21.200]  I don't see any food cooking over there, just a couple of Christians here handing out water bottles, okay?
[01:48:21.860 --> 01:48:25.383]  So they're going to wait and they're going to be slowly processed through the processing center.
[01:48:25.823 --> 01:48:31.027]  And whether Title 42 is going to change it or not, in reality, Title 42 is not the answer here.
[01:48:31.287 --> 01:48:34.910]  The answer is we need to stop telling everybody there's an open invite.
[01:48:35.250 --> 01:48:43.047]   The reality with all of this Asylum used to mean you were being murdered in your country, not I'm broken, I want to come here.
[01:48:43.067 --> 01:48:56.672]  A lot of these people may have had somewhat decent lives, they seem to have okay clothing, but they've taken it upon themselves to come all this way because they believe they're going to get this carrot at the end of this struggle and this trek.
[01:48:56.692 --> 01:49:00.515]   And meanwhile, the people I forgot to go through the cartels.
[01:49:00.675 --> 01:49:02.196]  We've all heard about the kids being raped.
[01:49:02.496 --> 01:49:05.698]  Now they're sleeping on the side of the road in this frickin' cage right here.
[01:49:06.399 --> 01:49:08.040]  And does AOC care?
[01:49:08.560 --> 01:49:10.061]  AOC, are you gonna come down here?
[01:49:10.081 --> 01:49:11.062]  What are you gonna do about this?
[01:49:11.702 --> 01:49:12.863]  This is your country now.
[01:49:12.923 --> 01:49:13.724]  You're running things.
[01:49:13.844 --> 01:49:15.865]  Is this how you fuckin' do things around here?
[01:49:15.885 --> 01:49:17.407]  You know, I'm sick of this shit.
[01:49:18.087 --> 01:49:19.828]  This is a fuckin' humanitarian crisis.
[01:49:19.848 --> 01:49:20.929]  I don't care how you look at it.
