[00:00:00.069 --> 00:00:00.850]  I understand.
[01:31:12.497 --> 01:31:15.880]  And so now Israel is relabeling Hamas as ISIS.
[01:31:15.940 --> 01:31:19.822]  But the truth is, and Rand Paul is about to put it out here, the truth is that the U.S.
[01:31:19.862 --> 01:31:24.645]  government, the Israeli government, and the Iranian government all fund terror groups.
[01:31:25.046 --> 01:31:26.907]  Here's Rand Paul talking about it in clip three.
[01:31:28.274 --> 01:31:32.495]  Now we're in this situation that Israel needs emergency aid.
[01:31:32.575 --> 01:31:33.696]  How will you deal with that?
[01:31:33.836 --> 01:31:34.956]  What is your recommendation?
[01:31:35.536 --> 01:31:37.997]  The same way I always have is that I'm all for the aid.
[01:31:38.037 --> 01:31:40.538]  In fact, we had this debate about a year ago with Democrats.
[01:31:41.358 --> 01:31:45.080]  They wanted a billion dollars more for Iron Dome, and I said, sure, I'm for that.
[01:31:45.120 --> 01:31:47.721]  Let's take it from a fund that we're funding the Taliban with.
[01:31:48.041 --> 01:31:55.863]  There's still a couple billion dollars out there that we are, the Afghan reconstruction fund that's going to the Taliban, to people who are not our friends, who are our enemies in Afghanistan.
[01:31:55.883 --> 01:31:55.943]  Why?
[01:31:55.963 --> 01:31:56.624]  I don't understand that.
[01:31:56.664 --> 01:31:57.744]  Why are we funding the Taliban?
[01:31:58.004 --> 01:32:02.146]  They think that somehow when you give money to your enemies, it makes them less of an adversary.
[01:32:02.546 --> 01:32:04.407]  We still give money to the Palestinian Authority.
[01:32:04.447 --> 01:32:05.747]  We give money to the PLO.
[01:32:06.188 --> 01:32:17.313]  So what I would say is, sure, let's fund whatever Israel needs now, but let's take it from funds that we're sending to countries that don't like us, that burn our flag, that chant into America, why are we giving money to people who hate us?
[01:32:17.693 --> 01:32:22.635]  So let's give it to our friends, if need be, but let's make sure we take it from somewhere else in the budget.
[01:32:23.035 --> 01:32:31.438]  And that may or may not make me very popular, but I insist on this all of the time, and if you don't do it, that's why you wind up with a $33 trillion debt.
[01:32:31.498 --> 01:32:38.760]  Well, I mean, has the administration commented on the fact that we've been funding, giving money to the Palestinian Authority?
[01:32:38.780 --> 01:32:40.361]  I have these battles all the time.
[01:32:40.401 --> 01:32:48.824]  I've battled the head of Senate Foreign Relations over this many times on the floor, over whether we should still be giving money to the Taliban, whether we still should be giving money to the Palestinians.
[01:32:49.304 --> 01:32:59.831]  So years ago, I introduced the first bill that would have gotten rid of these martyr payments, where people who were blowing themselves up and blowing up Israeli civilians were getting payments, but it was coming out of a fund that the U.S.
[01:32:59.851 --> 01:33:00.831]  government was funding.
[01:33:00.931 --> 01:33:01.392]  Unbelievable.
[01:33:01.812 --> 01:33:10.798]  So I was the first one to introduce that, and they got rid of some of the payments, but some of those payments are still going to the Palestinians, and I'm for eliminating all of that foreign aid to the Palestinian Authority.
[01:33:10.818 --> 01:33:16.041]  Senator, we want to know... Now, there's so many oddities to this whole thing.
[01:33:16.061 --> 01:33:32.088]   I remember The first big realization, and then deep digging into all of this I did, I'll never forget, it was a New York Times article, you can probably still find it, and it was Obama administration gives, I think it was $500 million to moderate rebels in Syria.
[01:33:32.568 --> 01:33:37.651]  And maybe you guys can find that story, I think it was maybe 2015 or so.
[01:33:39.212 --> 01:33:43.595]  And what had happened was that Barack Obama's administration got caught funding ISIS.
[01:33:44.534 --> 01:33:59.439]  But they were trying to remove the Assad regime and so they were willing to fund any proxy groups and arm any proxy groups that would go into Syria and engage in this proxy warfare and they got caught funding ISIS.
[01:33:59.559 --> 01:34:03.121]  So at the same time they're claiming we're fighting ISIS and they got caught funding ISIS.
[01:34:03.481 --> 01:34:12.424]  So the New York Times covered it all up for them and said, oh they're funding moderate rebel groups and this is what they always do in regions of the world like this.
[01:34:14.522 --> 01:34:16.563]  And so it's the exact same thing now.
[01:34:18.284 --> 01:34:19.744]  It's the exact same thing now.
[01:34:21.365 --> 01:34:22.426]  We give Iran money.
[01:34:22.466 --> 01:34:23.486]  We give Israel money.
[01:34:23.526 --> 01:34:25.287]  We give all these other countries money.
[01:34:25.607 --> 01:34:28.108]  We give all these moderate rebel groups money.
[01:34:29.829 --> 01:34:37.993]  And then all that money eventually ends up in the hands of moderate rebels or terrorists or proxy war groups every damn time.
[01:34:39.417 --> 01:34:43.479]  And it's funny because they did have the vote to give the Iron Dome a billion dollars.
[01:34:43.539 --> 01:34:44.700]  The vote came into Congress.
[01:34:44.780 --> 01:34:48.722]  We gave the billion dollars to Israel for the Iron Dome.
[01:34:49.062 --> 01:34:49.862]  And you know what happened?
[01:34:50.302 --> 01:34:53.864]  Rashida Tlaib and AOC and Ilhan Omar cried on the House floor.
[01:34:54.284 --> 01:34:54.764]  They cried.
[01:34:55.725 --> 01:34:56.405]  Or fake cried.
[01:34:56.425 --> 01:34:57.106]  Remember that?
[01:34:57.166 --> 01:35:00.807]  Democrats cried because we gave a billion dollars to defend Israel.
[01:35:00.847 --> 01:35:01.808]  They cried about that.
[01:35:02.503 --> 01:35:10.207]  Alright, I didn't intend on spending a bunch of time on this, and I still don't, but the crew is just finding all the stories of exactly what I'm talking about, because, by the way, that's what we do here.
[01:35:10.388 --> 01:35:11.828]  InfoWars changed the game.
[01:35:13.129 --> 01:35:29.275]   First of all, we tell the truth all the time, and we're totally independent, but we have a tirelessly working crew back there that's constantly pulling up articles and videos and everything else to show that we don't just make these claims up, And then they just show all the proof of everything I'm saying.
[01:35:29.295 --> 01:35:30.376]  And there's no teleprompters.
[01:35:31.998 --> 01:35:34.621]  I mean, 95% of the stuff we do here isn't even coordinated.
[01:35:35.582 --> 01:35:38.285]  Sometimes I'll be like, hey, here's what I'm covering, here's the videos, here's the stuff.
[01:35:39.066 --> 01:35:43.150]  But most of the time it's all just live, and we're all just acting in live time, covering all this stuff.
[01:35:43.210 --> 01:35:44.472]  Nobody else does that, by the way.
[01:35:44.592 --> 01:35:48.136]  I mean, there's very few, if any, people that can do that, or do do that.
[01:35:48.874 --> 01:35:49.375]  But we do.
[01:35:49.435 --> 01:35:50.796]  So they're just pulling up all these stories.
[01:35:50.816 --> 01:35:53.279]  They just printed all these stories out for me like, yeah, it's true.
[01:35:53.299 --> 01:35:54.020]  Look, here's the proof.
[01:35:54.040 --> 01:35:54.961]  They were funding ISIS.
[01:35:54.981 --> 01:35:56.403]  They were funding Hamas.
[01:35:56.443 --> 01:35:59.487]  They were funding all these different quote-unquote terror groups or moderate rebel groups.
[01:36:00.127 --> 01:36:01.649]  It's like, yeah, I know.
[01:36:02.029 --> 01:36:02.770]  I read the news.
[01:36:02.830 --> 01:36:03.812]  That's why I'm talking about it.
[01:36:05.250 --> 01:36:06.790]  But I don't intend on spending any more time on that.
[01:36:06.830 --> 01:36:08.351]  Let me make sure we're funded.
[01:36:08.531 --> 01:36:09.031]  You know, the U.S.
[01:36:09.071 --> 01:36:15.013]  government wants to make sure that all their different proxy groups and proxy wars and every war all over the planet is funded and all these other countries are funded.
[01:36:16.253 --> 01:36:18.894]  And by the way, we're going to have more about these bribe pay-for-plays.
[01:36:19.174 --> 01:36:21.754]  A Democrat is in deep right now.
[01:36:21.954 --> 01:36:23.235]  And notice the media is covering it up.
[01:36:23.495 --> 01:36:24.475]  We'll cover that coming up too.
[01:36:24.495 --> 01:36:26.776]  It got brought up to Corrine Jean-Pierre today and she just balked.
[01:36:27.396 --> 01:36:29.356]  But no, we need to make sure we fund ourselves.
[01:36:29.797 --> 01:36:30.877]  And we're funded by you!
[01:36:32.145 --> 01:36:33.886]  We don't get big pharmaceutical money.
[01:36:34.167 --> 01:36:35.828]  We don't get big fast food money.
[01:36:35.888 --> 01:36:37.649]  We don't get big Hollywood money.
[01:36:37.990 --> 01:36:39.851]  We don't get big billionaire donor money.
[01:36:40.872 --> 01:36:43.674]  We get you shopping at Infowarsstore.com to keep us on air.
[01:36:44.134 --> 01:36:45.195]  And you've done it.
[01:36:45.235 --> 01:36:46.216]  You've kept us on the air.
[01:36:46.797 --> 01:36:48.498]  And we're eternally grateful for that.
[01:36:48.538 --> 01:36:50.880]  This is the mothership against evil.
[01:36:50.920 --> 01:36:52.741]  This is the mothership against tyranny.
[01:36:53.282 --> 01:36:53.862]  And they know it.
[01:36:53.982 --> 01:36:55.263]  That's why they try to shut us down.
[01:36:55.423 --> 01:36:55.804]  Oh, really?
[01:36:55.844 --> 01:36:56.965]  Tyrants want to shut you down?
[01:36:57.005 --> 01:36:58.486]  Well, yeah, that proves they're out there, doesn't it?
[01:37:00.611 --> 01:37:01.571]  60% off Brain Force Plus.
[01:37:01.591 --> 01:37:03.893]  This is the flash sale happening right now.
[01:37:05.214 --> 01:37:06.395]  60% off Brain Force Plus.
[01:37:06.775 --> 01:37:08.177]  Flash sale happening right now.
[01:37:08.217 --> 01:37:09.197]  I love Brain Force Plus.
[01:37:10.218 --> 01:37:12.360]  I always have one at my desk before I go on air.
[01:37:12.380 --> 01:37:18.785]  I like to pop a couple Brain Force Plus for mental energy and there is also some naturally occurring caffeine in there.
[01:37:19.045 --> 01:37:22.528]  But it's the mental clarity, it's the mental energy, it's the focus factor.
[01:37:23.669 --> 01:37:25.590]  60% off Brain Force Plus at InfoWareStore.com.
[01:37:25.630 --> 01:37:32.129]   And you know, the Big pharmaceutical companies, they basically run everything, really.
[01:37:34.271 --> 01:37:45.280]  They want your children to be pumped full of their drugs, and they say it's for ADHD or all this other stuff, and then they pump you full of these drugs, which are very unhealthy.
[01:37:45.840 --> 01:37:54.127]  This is a natural way to get mental focus, mental clarity, mental energy, without having to go to a big pharmaceutical product.
[01:37:55.205 --> 01:38:01.308]  So can't recommend it enough, and if you're out there and you're trying to get off those meds, Brain Force Plus might be a great way to do it.
[01:38:01.368 --> 01:38:04.770]  Not giving medical advice here, not a doctor, just saying.
[01:38:05.831 --> 01:38:13.215]  If you're looking for mental clarity, focus, and energy, but don't want to go to a big pharmaceutical product, perhaps try Brain Force Plus.
[01:38:13.275 --> 01:38:14.495]  Flash sale happening.
[01:38:15.636 --> 01:38:16.696]  60% off at Infowarsstore.com.
[01:38:18.484 --> 01:38:22.425]  If you were listening earlier, you heard Alex talk about this, and I know how this works.
[01:38:22.465 --> 01:38:23.545]  I've been in media a long time.
[01:38:23.605 --> 01:38:24.826]  I listen to talk shows as well.
[01:38:25.226 --> 01:38:29.587]  When Alex is not here, funding goes virtually down to nothing, especially when it comes to this show.
[01:38:30.007 --> 01:38:31.847]  So folks, let's make up for that today.
[01:38:32.228 --> 01:38:34.008]  Let's go shop at InfoWarsStore.com.
[01:38:34.028 --> 01:38:36.669]  Let's keep things funded while Alex is away.
[01:38:36.729 --> 01:38:42.150]  He is going to be back tomorrow, and he's going to have to be carrying extra weight to try to keep this place afloat with the funding.
[01:38:42.470 --> 01:38:43.730]  Get to InfoWarsStore.com.
[01:38:43.750 --> 01:38:44.771]  Get Brain Force Plus 60% off.
[01:38:47.955 --> 01:38:49.742]  A great way, and maybe the best way...
[01:38:51.817 --> 01:38:57.922]  To fund the operation right now is the new book, The Great Awakening, Defeating the Globalists and Launching the Next Great Resistance by Alex Jones.
[01:38:58.342 --> 01:39:08.530]  Now this book is available now, but perhaps the best way to support the transmission is to get the autographed copy exclusively at InfoWarsStore.com.
[01:39:08.630 --> 01:39:14.434]  So if you're a collector and you got your first autographed copy of The Great Reset by Alex Jones, this is the second installment.
[01:39:14.834 --> 01:39:16.596]  This is The Great Awakening by Alex Jones.
[01:39:16.636 --> 01:39:27.344]   If you got the first autographed copy, Now you can complete your collection with the second autographed copy, The Great Awakening, exclusively available, signed by Alex Jones, at InfoWarsStore.com.
[01:39:27.364 --> 01:39:30.327]  Folks, let's make up for some of that funding that goes down when Alex is away.
[01:39:30.607 --> 01:39:31.308]  Let's make up for that.
[01:39:31.328 --> 01:39:34.030]  Let's get to InfoWarsStore.com and fund this operation today.
[01:39:35.331 --> 01:39:37.112]  And make me look good in the process, too.
[01:39:37.753 --> 01:39:39.753]  Alright, alright.
[01:39:39.753 --> 01:39:43.313]  Alright.
[01:39:43.313 --> 01:39:47.352]  Where to go from here?
[01:39:47.352 --> 01:39:57.353]  [BLANK_AUDIO]
[01:39:51.854 --> 01:39:55.057]  There is so much else to cover.
[01:39:55.077 --> 01:39:59.741]  Let me give you an update on what we have here from the Speaker's race.
[01:40:01.663 --> 01:40:09.650]  As Amber Kraybach is reporting, and guys, maybe just pull up her Twitter account as I'm reading this too, not just for this tweet, but maybe I'll see if there's an update.
[01:40:09.670 --> 01:40:10.690]  She just put this statement out.
[01:40:10.710 --> 01:40:11.771]  She's covering this in D.C.
[01:40:11.831 --> 01:40:12.192]  right now.
[01:40:12.972 --> 01:40:15.495]  And I don't doubt that this is exactly what's going on.
[01:40:16.295 --> 01:40:17.957]  Here's the Speaker situation.
[01:40:18.802 --> 01:40:22.802]  Speaker candidate needs 217 votes to win.
[01:40:22.802 --> 01:40:28.302]   210 Republicans will only vote for someone who will prioritize the lobbyists.
[01:40:28.302 --> 01:40:30.302]  That was the McCarthy wing.
[01:40:30.302 --> 01:40:36.802]   12 Republicans will only vote for someone who will prioritize the American people over the lobbyists.
[01:40:36.802 --> 01:40:39.802]  The two sides are diametrically opposed.
[01:40:39.802 --> 01:40:47.802]   Now, I don't doubt that that's the exact situation, or at least the nature of the situation.
[01:40:47.802 --> 01:40:58.802]   But there is a bit of a decorum within the Republican Party, and there is a bit of a, let's say, respect for the process
[01:40:58.802 --> 01:41:03.802]   where, I mean, really, Kevin McCarthy is the one that kind of broke this.
[01:41:03.780 --> 01:41:06.743]  Excuse me, let me retract that.
[01:41:07.324 --> 01:41:10.968]  Really, it was Matt Gaetz that kind of broke this.
[01:41:14.600 --> 01:41:15.781]  And so here's the latest here.
[01:41:15.801 --> 01:41:19.704]  With no Speaker, the House cannot hold votes and subsequently does no business.
[01:41:20.325 --> 01:41:21.666]  Quite frankly, I'm okay with that.
[01:41:22.207 --> 01:41:23.948]  As time wears on, Republicans deadlocked.
[01:41:23.988 --> 01:41:31.014]  Without a Republican candidate that can bridge the gap, members of the lobbyist-loving faction will be pressured by lobbyists to vote with Democrats.
[01:41:31.515 --> 01:41:32.976]  If five Republicans cave, it's over.
[01:41:32.996 --> 01:41:35.898]  Do you think five Republicans would vote for Hakeem Jeffries to be Speaker?
[01:41:37.640 --> 01:41:38.961]  Man, would that be amazing.
[01:41:39.221 --> 01:41:39.762]  And you know what?
[01:41:41.057 --> 01:41:44.269]  I think it's an outside shot, but here's how it would go.
[01:41:45.982 --> 01:41:48.784]  You know that the lobbyist faction in D.C.
[01:41:48.824 --> 01:42:17.705]   can find five dead duck Republicans who have no political future and are either going to get primaried out or aren't going to run again and so they'll go ahead and vote for the Democrats just because they know their political career is already shot and they know that if they do go ahead and vote for the Democrats they'll have a very lucrative job on the other side of their time in Congress and they'll kind of ease themselves into it by saying, well I had to do it Because we had to govern, we had to get back to business, we had to fund the war and this and that and everything else.
[01:42:18.565 --> 01:42:19.585]  And that will be their excuse.
[01:42:20.926 --> 01:42:25.707]  So I think it's an outside shot, I think it's unlikely, but there is a chance you could see that.
[01:42:26.668 --> 01:42:37.031]  There is a chance that you could see five Republican sellouts vote for Hakeem Jeffries because they know there's a lucrative deal on the other side of their term in Congress and they know they're not coming back so they have nothing to lose.
[01:42:38.732 --> 01:42:41.533]  But boy oh boy would that be quite a display.
[01:42:42.375 --> 01:42:45.678]  And then they'll try to blame the Matt Gaetz of the Republican Party.
[01:42:46.258 --> 01:42:47.019]  So here's what's going on.
[01:42:48.160 --> 01:42:55.426]  There's a bit of a decorum and a respect for the process where they don't want to take to the media what's going on behind closed doors.
[01:42:57.708 --> 01:43:04.374]  And they don't want to take to the media exactly the process or the conversations that are happening in the closed door meetings that the Republicans are having right now.
[01:43:07.273 --> 01:43:17.558]  That's why when Matt Gaetz had that legendary speech in the McCarthy ouster, when he called out the lobbyists, they're running the Republican Party, and you heard boos.
[01:43:18.238 --> 01:43:18.959]  You guys remember that?
[01:43:20.700 --> 01:43:21.940]  Maybe we should even go back to that.
[01:43:23.441 --> 01:43:24.762]  Because that's what this really is.
[01:43:25.825 --> 01:43:28.807]  It's the conservative Republican swamp, D.C.
[01:43:28.867 --> 01:43:45.581]  establishment, with the lobbyist money, that wants to run both sides of the aisle, that wants to run both the Democrat and the Republican Party, and when Matt Gaetz took that to the floor, he got booed by the Republicans because, you're not supposed to let that cat out of the bag.
[01:43:46.181 --> 01:43:52.206]  You're not supposed to let the American people know how these Congress members get so filthy rich when they're serving in government.
[01:43:54.005 --> 01:43:55.726]  You're not supposed to... No, no, no, no.
[01:43:55.766 --> 01:43:57.206]  You don't... Hey, that's decorum.
[01:43:57.226 --> 01:43:58.106]  That's secret stuff.
[01:43:58.126 --> 01:43:58.987]  That's closed-door stuff.
[01:43:59.027 --> 01:44:00.267]  You don't bring that out to the public.
[01:44:00.567 --> 01:44:01.568]  And Matt Gaetz said, F it.
[01:44:01.608 --> 01:44:02.048]  I'm doing it.
[01:44:02.108 --> 01:44:04.829]  And he got booed on the floor for doing so.
[01:44:05.489 --> 01:44:06.269]  By the Republicans.
[01:44:09.370 --> 01:44:30.831]   Now, the question becomes if Amber Kribak's reporting here is accurate, which, again, in nature I believe it to be, but What do the 12 Republicans do, or Matt Gaetz, what do they do if this is the true stalling factor of getting the next speaker in?
[01:44:30.891 --> 01:44:33.934]  Because the lobbyists that control the Republican Party are controlling the votes.
[01:44:34.254 --> 01:44:35.295]  Do they go public with that?
[01:44:36.676 --> 01:44:37.557]  I wouldn't put it past them.
[01:44:37.817 --> 01:44:44.183]  And if 5 Republicans vote Democrats, then that just throws all decorum out the window and now it's all open.
[01:44:44.763 --> 01:45:07.323]   And when it comes to how those raise money, I take no lecture on asking patriotic Americans to weigh in and contribute to this fight from those who would grovel and bend knee for the lobbyists and special interests who own our leadership, who have, oh, boo all you want, who have hollowed out this town and have borrowed against the future of our future generations.
[01:45:07.663 --> 01:45:08.324]  I'll be happy.
[01:45:08.624 --> 01:45:12.968]  That was Matt Gaetz mic drop moment during the McCarthy ouster which he was successful in.
[01:45:13.088 --> 01:45:14.710]  And the momentum has carried over now.
[01:45:14.730 --> 01:45:17.633]  And now the will of the Republican voter must be heard in Washington, D.C.
[01:45:17.472 --> 01:45:19.472]  and see how that goes for you. I reserve.
[01:45:20.472 --> 01:45:25.472]   That was Matt Gaetz mic drop moment during the McCarthy ouster which he was successful in.
[01:45:25.472 --> 01:45:28.472]  And the momentum has carried over now.
[01:45:28.472 --> 01:45:33.472]   And now the will of the Republican voter must be heard in Washington, D.C. and in the Speaker.
[01:45:33.472 --> 01:45:37.472]  And it's not going to be the will of a lobbyist.
[01:45:37.571 --> 01:45:38.351]  And it's amazing.
[01:45:38.771 --> 01:45:44.372]  There's at least a dozen Republicans that are willing to put the voter in front of the lobbyist.
[01:45:45.213 --> 01:45:46.093]  It could be as many as 20.
[01:45:47.433 --> 01:45:49.094]  But there's at least a dozen right now.
[01:45:49.454 --> 01:45:52.135]  Matt Gaetz being one of them, Anna Paulina Luna and others.
[01:45:53.815 --> 01:45:55.115]  But just think about that moment.
[01:45:59.172 --> 01:46:01.313]  Because I'm telling you, Matt Gaetz broke the decorum.
[01:46:01.333 --> 01:46:03.775]  You're not supposed to tell the people how D.C.
[01:46:03.835 --> 01:46:04.315]  really works.
[01:46:04.655 --> 01:46:08.597]  You're not supposed to tell the people how the congressmen and women get filthy rich while serving you.
[01:46:09.518 --> 01:46:11.779]  Matt Gaetz just did it, and they booed him for it.
[01:46:12.539 --> 01:46:13.500]  Tells you everything right there.
[01:46:15.221 --> 01:46:18.983]  It's amazing just what a little honesty can do to reveal somebody's true colors.
[01:46:20.123 --> 01:46:23.725]  It's amazing what just a few simple questions can do to reveal somebody's true colors.
[01:46:24.466 --> 01:46:26.327]  And we're getting all of it right now, and I think it's healthy.
[01:46:27.961 --> 01:46:39.729]  And to the people that don't like this, to the people that are wailing over this process going around, they're the people that are part of the establishment that have enriched themselves on this corrupt gravy train and they don't want to see it come to an end.
[01:46:39.749 --> 01:46:42.530]  It's really simple as that.
[01:46:42.590 --> 01:46:42.911]  Alright.
[01:46:44.232 --> 01:46:46.113]  Let's refocus and get back to some of this news.
[01:46:48.147 --> 01:46:57.113]  Now, there was the debate about, did Egypt give the intelligence to Israel about the coming Hamas attack or not?
[01:46:57.233 --> 01:47:00.576]  Israel denied it, but then Egypt was like, no, we did.
[01:47:01.136 --> 01:47:07.181]  And now members of the intelligence community have gotten down to it and they said, no, the intelligence was shared and it was ignored.
[01:47:07.461 --> 01:47:10.903]  Here's Representative McCaul talking about that in clip seven.
[01:47:13.902 --> 01:47:16.523]  There seems to have been a failure of intelligence as well.
[01:47:16.543 --> 01:47:19.205]  We're not quite sure how we missed it.
[01:47:19.305 --> 01:47:21.786]  We're not quite sure how Israel missed it.
[01:47:21.826 --> 01:47:29.090]  We know that Egypt had warned the Israelis three days prior that an event like this could happen.
[01:47:29.130 --> 01:47:32.652]  We know that this had been planned perhaps as long as a year ago.
[01:47:33.493 --> 01:47:34.293]  The other concern?
[01:47:37.685 --> 01:47:53.454]  Again, this was Alex Jones' message from day one, which was, if there are terror attacks in this country, if Hamas pulls off a terror attack like they did in Israel in this country, it's 100% the Biden administration and the federal bureaucracies that are to blame.
[01:47:54.861 --> 01:47:57.442]  Because they're coming after people like me.
[01:47:58.063 --> 01:48:03.365]  They're watching everything I do, monitoring everything I do, writing down everything I do, putting me in jail.
[01:48:03.685 --> 01:48:05.646]  They're putting Trump supporters on terror watch lists.
[01:48:05.666 --> 01:48:08.047]  They're talking about putting Trump supporters in re-education camps.
[01:48:08.448 --> 01:48:12.610]  The Trump supporter is the modern-day Jew in 1938 Germany.
[01:48:13.090 --> 01:48:17.272]  Or the Trump supporter is the Negro during the Jim Crow era.
[01:48:17.332 --> 01:48:18.352]  That's how we're treated now.
[01:48:18.432 --> 01:48:18.993]  That's what it is.
[01:48:20.049 --> 01:48:20.649]  That's the facts.
[01:48:20.829 --> 01:48:22.170]  And it's always the left that does this.
[01:48:22.530 --> 01:48:22.970]  Nazis.
[01:48:23.170 --> 01:48:23.830]  Socialists.
[01:48:24.350 --> 01:48:26.031]  Jim Crow laws written by Democrats.
[01:48:26.071 --> 01:48:28.292]  It's always the left that engages in this discrimination.
[01:48:30.513 --> 01:48:32.673]  But, do you think?
[01:48:32.913 --> 01:48:39.556]  Because, I mean, duh, of course there's intelligence that there could be a terror attack like Hamas did in Israel in the United States of America.
[01:48:39.936 --> 01:48:41.496]  Of course those warnings are out there.
[01:48:41.797 --> 01:48:43.377]  Of course that intelligence is out there.
[01:48:43.557 --> 01:48:45.778]  That's why Alex Jones is putting out that message!
[01:48:48.257 --> 01:48:50.918]  But it'll be ignored by our FBI.
[01:48:51.239 --> 01:48:58.682]  It'll be ignored by the Biden administration, Department of Justice, Department of Homeland Security, and everything else, because they're more focused on you.
[01:48:59.543 --> 01:49:02.585]  They're more focused on you, the patriotic American that waves a flag.
[01:49:02.825 --> 01:49:06.907]  They're more focused on you, the patriotic American that actually cares about this country.
[01:49:07.187 --> 01:49:12.530]  They're more focused on you, the informed American that puts American interests first.
[01:49:13.330 --> 01:49:14.571]  You're their biggest enemy.
[01:49:16.172 --> 01:49:23.597]  They'll make sure that you end up in a jail cell before they stop the next terror attack in this country, which at this point seems inevitable.
[01:49:26.840 --> 01:49:28.881]  And I'm gonna have a little bit more of that on the other side.
[01:49:29.242 --> 01:49:31.163]  We're looking into this George Soros story.
[01:49:32.764 --> 01:49:39.189]  Because you saw Black Lives Matter put out the pro-Hamas messaging supporting the terror attack on Israel.
[01:49:39.349 --> 01:49:39.969]  Oh, oh, really?
[01:49:40.030 --> 01:49:40.830]  Black Lives Matter?
[01:49:40.890 --> 01:49:41.771]  Leftists are violent?
[01:49:41.851 --> 01:49:42.972]  Wow, news to us, huh?
[01:49:43.012 --> 01:49:44.213]  Apparently news to Jake Tapper.
[01:49:45.194 --> 01:49:47.976]  And in fact, he admitted so much here in clip five.
[01:49:50.678 --> 01:49:58.724]  This does, these last few days have been a real eye-opening period for a lot of people, a lot of Democrats, a lot of progressives, in terms of anti-Semitism on the left.
[01:49:58.764 --> 01:50:09.231]  A lot of people who seem more shocked at dehumanizing language used by world leaders to describe Hamas than what Hamas actually perpetrated on Saturday.
[01:50:10.212 --> 01:50:14.035]  Now, imagine just figuring that out when you're Jake Tapper.
[01:50:17.244 --> 01:50:31.253]  But you know, I can't help but just interject this because I, you know, it is odd to me that, and I guess this is just how emotions are manipulated, and I guess this is the linear process of propaganda.
[01:50:32.394 --> 01:50:36.657]  Again, I'm not offering, this is not me trying to offer an opinion, just an observation here.
[01:50:36.997 --> 01:50:40.499]  Because, you know, I don't want to be like the Jon Stewart clip with everybody in my ear, even though that happens anyway.
[01:50:40.980 --> 01:50:44.142]  But, okay, so we see the Hamas terror attack.
[01:50:45.424 --> 01:50:57.570]  We see the horrific acts and everything else, and the Israelis that are being, the innocent Jews that are being slaughtered by Hamas, and we see that, and that's put in front of us, and that gives an emotional response, and that's bad!
[01:50:58.991 --> 01:51:05.136]  And that's sad, and that makes you feel bad for those innocent people that have to deal with those terrorists.
[01:51:06.297 --> 01:51:22.550]  But then, you're shown images and pictures from Gaza being completely flattened, and having their electricity and their water and everything turned off, and it's people roaming the streets with nothing, just families roaming the streets, people roaming the streets with nothing, but that's, like, good.
[01:51:24.412 --> 01:51:26.594]  That doesn't make you sad, that makes you happy.
[01:51:27.688 --> 01:51:29.989]  So again, I don't even want you to decide this.
[01:51:30.009 --> 01:51:30.909]  That's not even what this is about.
[01:51:33.070 --> 01:51:43.853]  But for Jake Tapper to just realize that it's the left that's anti-Semitic, and for Jake Tapper to just realize that it's the left that's violent, wow, really?
[01:51:43.953 --> 01:51:47.234]  It took you for Black Lives Matter to showing support for the Hamas terror attack?
[01:51:47.674 --> 01:51:50.135]  Well, I guess if that's what it takes, then so be it.
[01:51:50.175 --> 01:51:50.615]  Here we are.
[01:51:50.875 --> 01:51:52.116]  But it might be even worse than that.
[01:51:53.064 --> 01:51:55.726]  It might be even worse than that, but we'll come to that on the other side.
[01:51:55.767 --> 01:51:58.109]  Now, here's what's going on with the latest news with Egypt.
[01:51:59.310 --> 01:52:07.237]  Egypt moved to prevent exodus of Palestinians from besieged Gaza, and they're saying, oh, Egypt doesn't want to take on any of these refugees.
[01:52:08.538 --> 01:52:11.020]  But then Israel responds in saying, well, what are we supposed to do?
[01:52:11.160 --> 01:52:14.763]  Israel bombed the Rafah crossing, so we can't even get in or out.
[01:52:15.669 --> 01:52:17.410]  So they say, look, Israel won't take them.
[01:52:17.611 --> 01:52:19.232]  Or they say, look, Egypt won't take them.
[01:52:19.412 --> 01:52:22.454]  And then Egypt says, well, you bombed the pathway.
[01:52:22.534 --> 01:52:23.635]  So what are we supposed to do?
[01:52:25.657 --> 01:52:30.580]  Israel bombs Damascus and Aleppo airports before Iran's foreign minister due to arrive.
[01:52:30.861 --> 01:52:32.122]  This war is heating up, folks.
[01:52:33.294 --> 01:52:38.641]  Netanyahu vows every Hamas operative will die as Israeli citizenry mobilizes for war.
[01:52:39.042 --> 01:52:43.207]  The ground invasion is sure to be on at any point.
[01:52:43.267 --> 01:52:44.329]  Or do I not say invasion?
[01:52:44.629 --> 01:52:46.051]  I'm not sure what we're supposed to say about that.
[01:52:47.653 --> 01:52:50.858]  Zelensky, of course, this greedy pig.
[01:52:53.135 --> 01:52:57.116]  Zelensky asks to visit Israel in show of solidarity.
[01:52:57.376 --> 01:52:57.876]  Yeah, right.
[01:52:58.656 --> 01:53:01.277]  Zelensky's gonna go over there and beg for more money.
[01:53:02.077 --> 01:53:04.538]  Zelensky's gonna go over there and make it all about him again.
