[00:00:00.029 --> 00:00:00.509]  Guess what?
[01:58:12.283 --> 01:58:19.208]  This is United States soil, and if you're a patriot, it's time to do whatever it is that God is calling and asking you to do.
[01:58:20.492 --> 01:58:21.372]  All right, powerful.
[01:58:21.432 --> 01:58:23.914]  Eric, join us again in the next few days.
[01:58:23.974 --> 01:58:24.754]  You name the time.
[01:58:25.414 --> 01:58:27.095]  Eric West, thank you so much.
[01:58:27.735 --> 01:58:29.036]  Wow, very impressive.
[01:58:29.576 --> 01:58:31.617]  HawaiiRealEstate.org is his main site.
[01:58:31.657 --> 01:58:32.077]  Check it out.
[01:58:32.117 --> 01:58:32.938]  Thank you so much, sir.
[01:58:34.038 --> 01:58:39.000]  On March 20th, 2003, the United States invaded Iraq.
[01:58:39.020 --> 01:58:43.683]  Exactly one year before the invasion, Alex Jones predicted it.
[01:58:44.283 --> 01:58:47.024]  So now everybody's going, wow, it really was the Iraqis.
[01:58:47.044 --> 01:58:48.805]  That's just because they're getting ready to invade Iraq.
[01:58:49.910 --> 01:58:50.931]  What a beautiful setup!
[01:58:51.311 --> 01:58:57.415]  While other networks lie to you about what's happening now, InfoWars tells you the truth about what's happening next.
[01:58:57.735 --> 01:59:02.335]   Visit info wars.com forward slash show and share the link today
[01:59:02.335 --> 01:59:16.934]   All right, Eric West is a local line of resident there in Maui Hawaii a fellow American and
[01:59:17.782 --> 01:59:19.042]  And he's got a lot of work to do.
[01:59:19.062 --> 01:59:20.423]  We've really held him over here.
[01:59:20.443 --> 01:59:22.003]  He's got to get back to relief efforts.
[01:59:22.043 --> 01:59:27.205]  But you're talking to conservatively three or four million people right now watching.
[01:59:27.705 --> 01:59:29.006]  Millions will watch later.
[01:59:29.106 --> 01:59:30.266]  People are going to share this everywhere.
[01:59:30.286 --> 01:59:31.006]  They do a great job.
[01:59:31.046 --> 01:59:33.147]  We salute the viewers and listeners who do that.
[01:59:33.207 --> 01:59:36.008]  They're really not the tail of the dog.
[01:59:36.028 --> 01:59:36.948]  They're the whole damn dog.
[01:59:37.328 --> 01:59:39.229]  So the dog hunts when they decide to take action.
[01:59:40.259 --> 01:59:41.659]  We salute them and thank them.
[01:59:42.200 --> 01:59:43.920]  Because we're not going down without a fight here.
[01:59:43.960 --> 01:59:46.261]  But imagine all the people watching and listening.
[01:59:46.681 --> 01:59:47.861]  Recap the key.
[01:59:48.581 --> 01:59:49.681]  Anything else you didn't cover.
[01:59:49.701 --> 01:59:53.282]  As if you just now joined us, this message is going out.
[01:59:53.522 --> 01:59:55.543]  You're in front of 4 million people, conservatively.
[01:59:56.523 --> 01:59:58.124]  Right now, what do you want to say to them?
[01:59:58.944 --> 01:59:59.384]  Eric West.
[02:00:01.380 --> 02:00:04.705]  Here's what I have to say to the American people and people watching around the world.
[02:00:04.745 --> 02:00:07.589]  We have a colossal event that's occurred here.
[02:00:07.609 --> 02:00:09.612]  An unprecedented Black Swan event.
[02:00:09.773 --> 02:00:12.256]  It's obvious that something nefarious is afoot.
[02:00:12.296 --> 02:00:13.498]  We don't know exactly how.
[02:00:14.508 --> 02:00:15.048]  Or why?
[02:00:15.248 --> 02:00:16.149]  But we have our theories.
[02:00:16.729 --> 02:00:20.130]  Ultimately, your show, Alex, is about info wars.
[02:00:20.210 --> 02:00:21.651]  And this is an information war.
[02:00:21.691 --> 02:00:23.551]  The media has been kept out of this.
[02:00:24.011 --> 02:00:27.893]  We have a temporary flight restriction that's been in place since this started.
[02:00:27.913 --> 02:00:29.553]  There's no reason we can't fly drones.
[02:00:29.593 --> 02:00:31.194]  We cannot access, we cannot take photos.
[02:00:31.814 --> 02:00:36.896]  The information about this event is being withheld from the American people.
[02:00:37.496 --> 02:00:43.040]  And so what I'm able to provide, I had the first Starlink on the ground through my YouTube channel, Hawaii Real Estate Org.
[02:00:43.460 --> 02:00:44.801]  I am bringing you the truth.
[02:00:45.281 --> 02:00:46.822]  Not the truth, I'm bringing you the information.
[02:00:47.223 --> 02:00:53.007]  You can interpret what you're seeing through what I'm showing on Hawaii Real Estate Org website.
[02:00:53.307 --> 02:00:54.768]  Our purpose is to fill the gap.
[02:00:55.068 --> 02:00:57.630]  We have an organization called Maui LFG.
[02:00:57.670 --> 02:00:58.270]  Let's fill the gap.
[02:00:58.290 --> 02:00:58.991]  Let's find the gap.
[02:00:59.051 --> 02:00:59.871]  Let's fill the gap.
[02:01:00.131 --> 02:01:07.016]  Let's effing go, which is let's figure out what's going on here and then fill the gap so that it doesn't happen again in the future.
[02:01:07.396 --> 02:01:18.239]  We have so many colossal errors that occurred that killed hundreds, if not thousands of people, many of them children, in the most beautiful spot on planet Earth, potentially, when you come to vacation.
[02:01:18.539 --> 02:01:27.001]  So the question is, if you won't take a stand for this, if you won't draw a line in the sand for this, then what will it take before they end up in your backyard?
[02:01:27.061 --> 02:01:27.921]  You've got to help now.
[02:01:27.981 --> 02:01:33.022]  You've got to go to war on your phones, in the digital realm, to help us.
[02:01:34.110 --> 02:01:36.231]  The guy with the blower just showed up of course.
[02:01:36.751 --> 02:01:37.751]  But you've got to help Maui.
[02:01:37.771 --> 02:01:41.433]  You've got to help us here because this is a world issue.
[02:01:41.493 --> 02:01:42.593]  A world crisis.
[02:01:43.113 --> 02:01:46.294]  And we can't let them get away with whatever it is we're trying to do.
[02:01:46.654 --> 02:01:48.595]  We need to call the World Court.
[02:01:49.059 --> 02:01:54.980]  We're not trying to get clicks, we're trying to get a change happening in this world so that they don't take over, whoever they are.
[02:01:54.900 --> 02:01:59.619]   ask the good people that will help make this situation turn around for the good
[02:01:59.619 --> 02:02:04.419]   so we can find out what's going on here. We're not trying to get clicks, we're
[02:02:04.419 --> 02:02:09.540]   trying to get a change happening in this world so that they don't take over
[02:02:09.540 --> 02:02:15.459]   whoever they are. I just encourage everybody to pray to God, to ask for help on what to do.
[02:02:15.459 --> 02:02:22.140]   I totally agree, but let me just ask you, did you hear that or is that on our feed?
[02:02:20.328 --> 02:02:23.569]  Because it sounds like Godzilla just attacked.
[02:02:24.409 --> 02:02:27.950]  No, you did a great job laying that out, it just sounded like all hell was breaking loose.
[02:02:28.910 --> 02:02:30.311]  Closing 60 second comment.
[02:02:31.431 --> 02:02:38.265]   Closing 60 second comment, please go to MauiLFG.org Support what's going on in Maui.
[02:02:38.705 --> 02:02:41.746]  Register yourself as a resource on that website if you can help.
[02:02:41.906 --> 02:02:57.009]  Besides donating money to Lahainafirefund.com and digital warriors out there, patriots, citizens of the world, it's important that right now you mobilize to get the word out because there's a complete ultimate media blackout and we just need to share what's actually going on here on Maui.
[02:02:57.029 --> 02:03:03.070]  This is important not just for us but for you because they're coming, whoever they are, for your land next.
[02:03:04.708 --> 02:03:06.449]  All right, Eric West, thank you so much.
[02:03:06.529 --> 02:03:08.811]  Please get back on the show in the next few days, give us updates.
[02:03:08.851 --> 02:03:09.311]  Thank you, sir.
[02:03:09.992 --> 02:03:10.792]  Okay, thank you.
[02:03:10.812 --> 02:03:11.433]  I appreciate it.
[02:03:11.853 --> 02:03:14.135]  Wow, that was beyond powerful.
[02:03:17.137 --> 02:03:19.399]  All right, I did major preparation for today's show.
[02:03:19.439 --> 02:03:21.640]  I probably covered five of the 30 stacks I've got.
[02:03:22.301 --> 02:03:23.001]  Let's not exaggerate.
[02:03:22.820 --> 02:03:32.820]   1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25 stacks.
[02:03:32.820 --> 02:03:40.820]  So I've covered five, five of 25 stacks.
[02:03:41.014 --> 02:03:42.695]  And Stu Peters is always loaded for bear.
[02:03:43.375 --> 02:03:44.596]  He's about to take over here.
[02:03:45.796 --> 02:03:47.857]  And give us the latest on everything going down.
[02:03:48.877 --> 02:03:55.340]  We got Ukraine drones target Russian civilians in psychological terror with help from the West, The Economist reports.
[02:03:57.481 --> 02:04:00.062]  Russian appeals to Ukraine soldiers to counter offensive.
[02:04:00.082 --> 02:04:00.983]  This is your last chance.
[02:04:02.984 --> 02:04:06.926]  Hungarian President tells Zelensky it's time to sit down and negotiate, so is NATO.
[02:04:08.847 --> 02:04:13.930]  Zelensky's willing to hold elections, but only the West pays for it.
[02:04:15.571 --> 02:04:20.033]  We've got massive harassment of Amish in Pennsylvania and other areas.
[02:04:20.713 --> 02:04:31.610]   So while they give illegal aliens $10,000 a month in New York, In other states, they're harassing Amish that feed themselves, saying, you're not FDA approved to feed yourself milk and food.
[02:04:31.970 --> 02:04:33.330]  We're taking your family over.
[02:04:33.350 --> 02:04:34.270]  We're taking your land.
[02:04:34.790 --> 02:04:36.031]  It's so predatory.
[02:04:36.511 --> 02:04:37.331]  Government overreach.
[02:04:37.391 --> 02:04:42.572]  Virginia Amish farmer livelihood on the line following government raid and seizure of property.
[02:04:42.792 --> 02:04:45.693]  They can't have the Amish not having autism or live until they're 90.
[02:04:46.753 --> 02:04:48.594]  They can't have them not live enough.
[02:04:48.634 --> 02:04:50.614]  They gotta have them dead too and shut down.
[02:04:50.694 --> 02:04:53.335]  They're too obvious that what they're doing is the answer.
[02:04:53.755 --> 02:04:55.716]  That's why they didn't get everybody to take the shot.
[02:04:55.736 --> 02:04:59.617]  Because if you had enough people didn't take it, you'd have a control group that wasn't sick.
[02:04:59.817 --> 02:05:00.397]  Well guess what?
[02:05:00.597 --> 02:05:02.558]  About 40% of us didn't take it!
[02:05:03.838 --> 02:05:08.260]  And almost no one's buying the next rollout of your garbage!
[02:05:09.502 --> 02:05:11.022]  And we caught you with your pants down!
[02:05:11.783 --> 02:05:20.485]  And now California admits we're going back to COVID rollouts and their official website, masks, contact tracing, vaccine passports, lockdowns.
[02:05:21.286 --> 02:05:23.146]  And they're so pissed we learned about it!
[02:05:23.366 --> 02:05:25.187]  They're so pissed we're saying no!
[02:05:25.207 --> 02:05:30.288]  Well, they're gonna get more pissed as we don't follow anything they say.
[02:05:30.948 --> 02:05:35.590]  They've dissolved our borders, they're cutting off our energy, they're attacking us at every level.
[02:05:37.671 --> 02:05:43.678]  But Larry Fink thinks he's God, and the Rothschilds don't even think they're God, and they're not God.
[02:05:44.218 --> 02:05:57.473]  Because once we identify that they're the ones behind all this, it's game over, and I'm telling you, it's on record that BlackRock owns that power utility, 96% of it, and it's on record everybody's waking up, and that's a microcosm.
[02:05:58.154 --> 02:05:59.856]  You think you're going to corner the people in Lahaina?
[02:05:59.876 --> 02:06:06.523]  You think you're going to corner the people in Texas the last two years where you cut the power off in the winter and wouldn't let us up the power during the storms?
[02:06:06.904 --> 02:06:08.245]  You think we don't know it's you?
[02:06:10.387 --> 02:06:11.287]  We do know it's you.
[02:06:11.307 --> 02:06:14.108]  So you try to indict Trump till the cows come home.
[02:06:14.388 --> 02:06:15.688]  You try to intimidate us.
[02:06:15.929 --> 02:06:17.429]  You try to shut me down.
[02:06:17.709 --> 02:06:19.209]  You try to silence us.
[02:06:19.850 --> 02:06:23.571]  We are not going to be silenced, you blood-sucking arsonist.
[02:06:24.031 --> 02:06:28.372]  And it didn't just left us 79 of them caught in Greece setting the giant fires.
[02:06:28.772 --> 02:06:30.273]  They're cultural arsonists!
[02:06:30.613 --> 02:06:32.694]  They're scum from the bottom up!
[02:06:32.974 --> 02:06:41.299]  And just like at the Burning Man, with the travel police running over those blockades that blocked the road, that's where we're going with you people!
[02:06:42.040 --> 02:06:43.441]  Total resistance!
[02:06:44.421 --> 02:06:45.061]  Woo!
[02:06:45.742 --> 02:06:47.203]  Stu Peters is our guest!
[02:06:47.523 --> 02:06:49.444]  Straight ahead, stay with us!
[02:06:50.825 --> 02:06:57.529]  The left doesn't just block highways, or derail trains, or burn down food processing centers.
[02:06:58.595 --> 02:06:59.916]  They wait till the high winds come.
[02:06:59.956 --> 02:07:01.457]  They get their orders from Blackrock.
[02:07:02.878 --> 02:07:05.179]  And then they show up and they burn down your neighborhood.
[02:07:06.560 --> 02:07:12.945]  But they mess with the Tribal Council in Nevada and they ran them over when they refused to bring it down.
[02:07:14.446 --> 02:07:15.786]  They ran over their garbage.
[02:07:17.388 --> 02:07:22.511]  Whereas in London, England and places like Germany, they defend them and support them.
[02:07:22.971 --> 02:07:24.812]  They're all funded by the big oil companies.
[02:07:25.453 --> 02:07:27.875]  Oh, it's the oil companies actually financing the whole carbon tax.
[02:07:28.948 --> 02:07:31.429]  Alright, we're going full Stu Peters right now.
[02:07:31.449 --> 02:07:33.831]  And I'll say this.
[02:07:34.591 --> 02:07:36.532]  When I'm wrong, I'm wrong, and I'm the first to admit it.
[02:07:37.893 --> 02:07:50.679]  When I saw them cut the water, leave the power on, not trim the trees, turn off the sirens, curl everybody into Lahaina, 20 days ago now, I said, hey, it's open and shut, it's Black Rock, they did it.
[02:07:50.859 --> 02:07:51.540]  And that was part of it.
[02:07:52.452 --> 02:08:01.195]  But now I've seen the footage of locals, as Stu Peters was right, green grass, trees everywhere, cars, hundreds of yards away from any fire, they're all melted, they're destroyed.
[02:08:01.715 --> 02:08:07.397]  And I know they've got, not lasers, but microwaves that are mainly fired from planes.
[02:08:07.897 --> 02:08:10.078]  Because microwaves don't shoot through the atmosphere from space.
[02:08:10.558 --> 02:08:13.959]  There's 10 feet of water on average, up to 15,000 feet, can't get through it.
[02:08:14.559 --> 02:08:15.500]  Lasers are great in space.
[02:08:15.520 --> 02:08:18.141]  When a missile comes up out of the atmosphere, you can shoot them there.
[02:08:18.961 --> 02:08:20.982]  Lasers in atmosphere only go 20, 30 miles.
[02:08:23.442 --> 02:08:28.726]  I've looked at the studies, but microwaves and particle beams can go further, but they're on aircraft.
[02:08:28.826 --> 02:08:41.955]  And when the globalists can take any plane, a DC-10, a 747, a 777, a Cessna, and they can mount, depending on the size of the aircraft, lasers that can fire and fire and fire.
[02:08:42.853 --> 02:08:45.514]  So, turns out Maui's the second largest U.S.
[02:08:45.614 --> 02:08:47.934]  base, other than Area 51, for these.
[02:08:48.934 --> 02:08:49.895]  And I've looked at the damage.
[02:08:50.055 --> 02:08:53.635]  It does look like, in some areas, direct-to-energy weapons.
[02:08:53.655 --> 02:08:56.196]  They were gonna do the fallback and blame their own power lines.
[02:08:56.776 --> 02:09:03.878]  So I gotta say, Stu Peters has been at the tip of the spear on this situation.
[02:09:04.867 --> 02:09:09.790]  And there's so much more to cover with him right now.
[02:09:10.591 --> 02:09:13.592]  But Stu Peters, thank you so much for joining us.
[02:09:15.093 --> 02:09:16.434]  Yeah, you're exactly right.
[02:09:16.995 --> 02:09:20.877]  This is becoming more and more obvious every day.
[02:09:21.437 --> 02:09:22.798]  These people don't just hate you.
[02:09:23.198 --> 02:09:37.737]   They have told you that they want the complete annihilation and the destruction of You know, any form of constitutional republic, or if you want to use the stupid word, democracy, this is not friendly to people at BlackRock.
[02:09:38.157 --> 02:09:51.407]  This is not friendly to the one-world governance, the less than one percenters that want the complete destruction of the nuclear family, they want unfettered sexual access to your children, they want the elite to have all of the property that they want to have, and they will control you.
[02:09:51.507 --> 02:09:52.608]  And this is all part of it.
[02:09:52.628 --> 02:10:03.737]   They are willing to murder innocent children who are trapped inside of their homes, With no schools open, with no alarms or signals sounding at all.
[02:10:04.277 --> 02:10:11.261]  Keep in mind, ironically, this is the most advanced signal alarm system that we have in the entire country.
[02:10:11.321 --> 02:10:13.282]  This is a freaking island state.
[02:10:13.988 --> 02:10:15.829]  Okay, and so yeah, they absolutely went in there.
[02:10:15.849 --> 02:10:25.475]  And by the way, Alex, they don't try to, like, disguise the fact or even lie about... The Empire of Lies, imagine that, doesn't even try to lie about the fact that they have these direct energy weapons.
[02:10:25.615 --> 02:10:26.756]  They don't try to hide it.
[02:10:26.776 --> 02:10:27.957]  They actually boast about it.
[02:10:27.977 --> 02:10:38.643]  They have articles all over the place bragging about the military technology that can cook children in some sand country after Toby Keith cheers on one of Pfizer butt slut Lindsey Graham's new wars.
[02:10:39.804 --> 02:10:41.045]  And they're doing it to us.
[02:10:41.585 --> 02:10:59.850]   So putting you in the hospital Uh, putting you, you know, in a state of perpetual fear and forcing you to take your grandmother or aunt or uncle or little baby sister into the hospital because she has this little cough and a common cold and the next thing you know she's being sedated with, you know, a cocktail of drugs that's big enough to kill a horse the size of Fanny Willis.
[02:11:00.510 --> 02:11:16.185]  And then put you, you know, on remdesivir, a poisonous drug that was kicked out of an African Ebola trial, and then strap you onto a ventilator, life support, and kill you for cash, murder you for money if you don't get injected with a bioweapon that was unleashed by our DOD after being manufactured and designed right here at Fort Detrick in our country.
[02:11:16.226 --> 02:11:36.418]   If that's not enough, they have now shown you that they will physically go to war with you and nuke you and kill you for your property And to destroy the nuclear family and to destroy freedom in this country and to overtake this country to usher in a one-world governance so that you are a hundred percent dependent on the agenda of those at BlackRock and Klaus Schwab.
[02:11:36.999 --> 02:11:39.080]  This was a military-style attack.
[02:11:39.200 --> 02:11:42.241]  Our government has openly declared war on its people.
[02:11:42.341 --> 02:11:42.721]  Period.
[02:11:44.102 --> 02:11:52.442]   Well, we saw them in California in the last 10 years not trim the trees around power lines in poor areas knowing that would cause Down power lines.
[02:11:52.482 --> 02:11:53.663]  So we know they did that there.
[02:11:53.683 --> 02:11:55.325]  And it's a combo of all of them.
[02:11:55.365 --> 02:12:03.794]  But when I look at the footage that we had reporters on that showed it, of a hundred yards from a burned house, the trees and grass aren't burned, and the cars are all fried.
[02:12:03.814 --> 02:12:06.517]  Isn't it kind of reminiscent?
[02:12:06.557 --> 02:12:08.279]  That was not done by ambient heat.
[02:12:09.133 --> 02:12:17.916]  Yeah, doesn't it kind of remind you, how eerily similar are those images of those ash-ridden cars as what we saw on 9-11?
[02:12:17.936 --> 02:12:21.997]  Yeah, guys, Google burnout cars after you show them the laser test.
[02:12:22.998 --> 02:12:26.139]  You look at it, stuff miles away from the World Trade Center.
[02:12:26.159 --> 02:12:29.360]  Yeah, this is one of their big jets with a laser in it.
[02:12:29.380 --> 02:12:31.541]  You can fly around all day and just vaporize stuff.
[02:12:31.661 --> 02:12:33.421]  The whole length of the plane's a laser.
[02:12:33.641 --> 02:12:34.402]  It's a chemical laser.
[02:12:34.422 --> 02:12:35.402]  It can fire all day long.
[02:12:36.735 --> 02:12:41.116]  And you look at 9-11, just pulverized, just zapped cars everywhere.
[02:12:42.777 --> 02:12:51.079]  But all of the landscape, all of the beautiful landscape, everything blue, even t-shirts, blue t-shirts, survived this attack.
[02:12:51.139 --> 02:12:54.460]  Yeah, for those who didn't see it last hour, try to find that, guys, for people who weren't tuned in.
[02:12:55.601 --> 02:13:01.382]  Our reporter went into houses, burned to the ground, and blue t-shirts are laying there totally fine.
[02:13:02.423 --> 02:13:03.423]  Totally untouched.
[02:13:04.102 --> 02:13:09.124]  Yeah, so, you know, I mean, I guess we're going to be talking to our roofer here about putting a blue roof.
[02:13:09.204 --> 02:13:13.926]  I don't know what color Oprah would recommend, but what shade of blue, but we're wearing a blue sports jacket.
[02:13:13.946 --> 02:13:14.626]  You're going to be fine.
[02:13:15.547 --> 02:13:18.668]  Yeah, this is this is the state of our country.
[02:13:18.688 --> 02:13:20.088]  By the way, I've done laser tests.
[02:13:20.148 --> 02:13:20.809]  I've been thinking about it.
[02:13:21.189 --> 02:13:22.049]  I used to joke around.
[02:13:22.069 --> 02:13:25.490]  We did like a Lego laser thing when Star Wars came out like 15 years ago again.
[02:13:26.231 --> 02:13:28.091]  And Darth Vader would burn with a laser.
[02:13:28.131 --> 02:13:28.652]  He's black.
[02:13:29.292 --> 02:13:31.853]  But if you shot something blue or white, the laser doesn't do it.
[02:13:33.430 --> 02:13:34.911]  We got to have a common ground.
[02:13:35.511 --> 02:13:45.058]  And you know, to talk about what you went into break during the last segment I was listening, you're 100% dead on about resistance, 100% resistance against a murderous regime that wants to kill you.
[02:13:45.438 --> 02:13:46.639]  They've told you that they want to kill you.
[02:13:46.959 --> 02:13:48.300]  They've told you they want to bang your kids.
[02:13:48.780 --> 02:13:50.902]  They're going to do it if you don't stand up and stop it.
[02:13:50.922 --> 02:13:54.524]  So we have to find a common ground because right now we're so polarized and so divided.
[02:13:55.957 --> 02:14:11.201]  As per, by the way, the very successfully run multiple psychological operations that are being carried out by our own intelligence apparatus, which is not supposed to carry out intelligence exercises against American people, but they absolutely are, total lawlessness, 100% absence of the rule of law.
[02:14:11.301 --> 02:14:13.802]  And so what we have to have right now is a common ground.
[02:14:13.842 --> 02:14:18.943]   If people did not learn from Scandemic One This is coming back.
[02:14:19.104 --> 02:14:20.464]  We warned that it would come back.
[02:14:20.964 --> 02:14:22.565]  AJ's been warning it was going to come back.
[02:14:23.005 --> 02:14:25.005]  We've been warning on the Stu Peters Network it's going to come back.
[02:14:25.105 --> 02:14:29.567]  So many other people who understand what this actually was have been warning that it's going to come back.
[02:14:29.607 --> 02:14:38.009]  But we have this population of complacent and compliant and apathetic and weak and easily programmable victims.
[02:14:37.829 --> 02:14:44.109]   victims as Americans in our society, that being able to actually resist and what that
[02:14:44.109 --> 02:14:48.909]   looks like is going to be so heavily dependent on whether or not we're going to have a group
[02:14:48.909 --> 02:14:53.248]   of people who really trust what their government and their TV tells them to do, or if they
[02:14:53.248 --> 02:14:56.048]   are going to understand, because I think a lot of them get it, Alex.
[02:14:56.048 --> 02:15:00.649]   I think that there's no doubt that so many people, you cannot look at what happened on
[02:15:01.429 --> 02:15:20.296]  You can't look at what was happening now in Ukraine, or what happened in Afghanistan, or in Syria, or in Iraq, or in Libya, or what's happening right now in Maui, or what happened with the injections, and all of these people dying suddenly, and what happened with the military, and Millie, and the purge, and transgenderism, and the freak shows marching into your schools and grooming your children.
[02:15:20.676 --> 02:15:26.097]  Nobody that is sane can actually step back, take a look at this, and realize, not realize, that they're not after us.
[02:15:26.498 --> 02:15:30.512]   And so the resistance Actually planning what that looks like?
[02:15:31.253 --> 02:15:33.095]  I mean, that's the steps that we need to talk about.
[02:15:33.135 --> 02:15:35.417]  We need to talk about it.
[02:15:35.797 --> 02:15:36.318]  Let's talk about it.
[02:15:36.338 --> 02:15:36.999]  You're totally right.
[02:15:38.120 --> 02:15:41.063]  They couldn't do this without drones and robot control.
[02:15:42.744 --> 02:15:47.950]  So now because all the heart attacks for the airline pilots and blood clots, we're talking about going, we're going to skip this break.
[02:15:48.902 --> 02:15:52.365]  They're now talking about AI running all the aircraft.
[02:15:52.925 --> 02:15:55.308]  And so people think, oh, our military wouldn't do this to us.
[02:15:55.948 --> 02:16:01.733]  They just, the biggest jet to the smallest plane can be retrofitted in hours to be remote controlled.
[02:16:02.534 --> 02:16:07.898]  So this lets the globalists do this very easily, and no one even knows because of compartmentalization.
[02:16:08.319 --> 02:16:10.661]  That's why robot armies are so dangerous.
[02:16:12.422 --> 02:16:14.204]  Robot armies are extremely dangerous.
[02:16:14.944 --> 02:16:16.706]  And that's what we have infesting us right now.
[02:16:17.327 --> 02:16:19.769]  We've talked about the nanotechnology that they want to use.
[02:16:19.809 --> 02:16:27.155]  Elon Musk, who's revered as the savior of free speech, wants to put a chip in your brain to control your thoughts, actions, and predict whether or not you're going to commit crimes.
[02:16:27.195 --> 02:16:29.377]  But look, this is exactly what you get right here.
[02:16:29.998 --> 02:16:35.783]  This is what happens when the elite want something that they know that you would not willingly give them.
[02:16:36.503 --> 02:16:37.985]  This is complete annihilation.
[02:16:38.045 --> 02:16:38.885]  Look at those cars.
[02:16:39.025 --> 02:16:49.988]   The only thing left, blue t-shirts, blue anything, This was a targeted attack on Americans because these people who wanted what they had knew that they would not willingly give it away.
[02:16:50.548 --> 02:16:52.169]  What else won't you willingly give away?
[02:16:52.670 --> 02:16:53.831]  Your bodily autonomy.
[02:16:54.131 --> 02:16:55.291]  You won't give away your freedom.
[02:16:55.732 --> 02:16:56.973]  You won't give away the right- Again, look right here!
[02:16:57.473 --> 02:16:59.294]  All the cars are burned but a blue car!
[02:17:00.575 --> 02:17:00.795]  Look!
[02:17:01.616 --> 02:17:03.337]  It's a blue car not burned right there!
[02:17:06.823 --> 02:17:07.183]  There it is.
[02:17:07.504 --> 02:17:08.184]  You can't make it up.
[02:17:08.405 --> 02:17:10.106]  Now, I don't know if that car got there before him.
[02:17:10.186 --> 02:17:11.047]  I could have just pulled in.
[02:17:11.107 --> 02:17:15.451]  Guys, show the footage, because I was thinking back, like, 15 years ago, a new Star Wars movie came out.
[02:17:15.772 --> 02:17:16.552]  Go ask Rob, dude.
[02:17:16.592 --> 02:17:18.815]  We shot the video where the studio is now.
[02:17:19.275 --> 02:17:21.037]  Go get our little stupid Star Wars video.
[02:17:21.057 --> 02:17:23.859]  We only got like a half million views on YouTube, but I bought...
[02:17:24.600 --> 02:17:26.221]  A few hundred dollar lasers online.
[02:17:26.681 --> 02:17:28.462]  And I said, let's do our own Star Wars video.
[02:17:28.782 --> 02:17:32.144]  So we set up all these Star Wars toys up, and we noticed that they were white or blue.
[02:17:32.264 --> 02:17:33.745]  White would burn, but took a long time.
[02:17:34.105 --> 02:17:35.085]  Blue wouldn't burn.
[02:17:35.445 --> 02:17:39.107]  Black or brown, because they absorb the laser, would explode into flames.
[02:17:40.128 --> 02:17:45.951]  And now they've got footage of blue, baby blue won't burn, but every other color burns.
[02:17:46.391 --> 02:17:47.331]  Just like our test.
[02:17:47.371 --> 02:17:49.833]  So I guess that lends credibility to what you're saying.
[02:17:50.313 --> 02:17:51.634]  Guys, you showed it last hour.
[02:17:51.674 --> 02:17:52.194]  Show that footage.
[02:17:53.860 --> 02:17:59.981]  So a targeted attack from the government on people who want to keep their right to vote, keep their right to have the government redress their grievances.
[02:18:00.001 --> 02:18:03.242]  We saw what happened to that on January 6th.
[02:18:03.982 --> 02:18:07.163]  To take away every single individual liberty that you have and to take your kids.
[02:18:07.183 --> 02:18:08.303]  Look at this laser test.
[02:18:08.323 --> 02:18:12.704]  I mean, yeah, this is what happens when you won't give up what they want.
[02:18:13.765 --> 02:18:35.942]   And so when we're talking about the way to actually be resistant, when we're talking about Alex, just a few days ago, six million people viewed on Twitter I was standing in a Target parking lot showing two dozen spaces that have now been recreated where you can have contactless pickups and order deliveries in a town of 16,000 people where there's never more than a hundred cars in the parking lot.
[02:18:36.683 --> 02:18:37.724]  What is the reason for that?
[02:18:37.844 --> 02:18:39.705]  The reason for that is because they're doing it corporate-wide.
[02:18:40.126 --> 02:18:42.408]  Why anybody would still shop at Target, I have no idea.
[02:18:43.297 --> 02:18:46.980]  Why anybody could sit back and look at that and say, well, no, this is just something.
[02:18:47.661 --> 02:18:49.762]  They're just repaving the parking lot.
[02:18:50.403 --> 02:19:03.133]  They're catering to a group of people who realize after the unfortunate pandemic hit, and we lost so many millions of lives to COVID-19, that people realize that it's actually a whole lot more convenient and much more safe to be able to shop in that way.
[02:19:03.173 --> 02:19:03.994]  That's not what this is.
[02:19:04.693 --> 02:19:07.675]  And by the way, let me show this footage from like 15 years ago or whatever it was.
[02:19:08.735 --> 02:19:10.096]  Notice, we didn't know what was happening.
[02:19:10.536 --> 02:19:18.200]  We would shoot, we showed a bunch of Star Wars toys, and the white and blue toys wouldn't burn up, the dark toys would, because they absorb it.
[02:19:18.240 --> 02:19:19.341]  It's very simple science.
[02:19:19.801 --> 02:19:26.285]  Other people are now showing this where Baby Blue won't burn under a laser, most lasers, but the others will.
[02:19:26.305 --> 02:19:27.746]  Look at this, we're shooting other lasers, nothing.
[02:19:28.046 --> 02:19:30.307]  But we shoot black toys, they burn up.
[02:19:30.927 --> 02:19:32.388]  We shoot the white toys, they won't.
[02:19:32.888 --> 02:19:33.869]  I mean, it's right there.
[02:19:37.102 --> 02:19:38.122]  It was right there on Maui.
[02:19:39.183 --> 02:19:47.065]  We just talked about how t-shirts were in completely incinerated, blown away homes, but a blue t-shirt is suddenly non-flammable.
[02:19:47.765 --> 02:19:50.926]  We saw fire rolling across pavement.
