[00:00:00.249 --> 00:00:01.410]  Z for defeat.
[01:47:45.265 --> 01:47:47.587]  Russian President Vladimir Putin today making it official.
[01:47:47.647 --> 01:47:53.270]  He just formally suspended Russia's involvement in its last remaining nuclear arms control treaty with the United States.
[01:47:53.490 --> 01:48:00.254]  The prospect of nuclear conflict, once unthinkable, is now back within the realm of possibility.
[01:48:00.354 --> 01:48:07.037]  Every actuary, every historic war game, every analysis shows this leads to total thermal nuclear war.
[01:48:11.820 --> 01:48:16.523]  We have millions of new listeners and viewers that are tuned in today.
[01:48:16.543 --> 01:48:18.704]  I want to welcome you all here.
[01:48:20.410 --> 01:48:27.416]  I have done interviews on British TV, Japanese TV, Russian TV, U.S.
[01:48:27.436 --> 01:48:37.563]  television the last few days, and these live shows, some of them are huge, are just like, well, how do we know what you're saying is true?
[01:48:37.583 --> 01:48:45.109]  And I'm like, Klaus Schwab says they're going to make us eat bugs and get rid of our borders and take control of our lives, and they want world government.
[01:48:46.170 --> 01:48:48.572]  You don't need to believe me when I say this stuff, look it up.
[01:48:49.092 --> 01:48:49.833]  Here's a great example.
[01:48:51.087 --> 01:48:51.988]  Insight, Reuters.
[01:48:52.668 --> 01:48:55.871]  Refugees lack COVID shots because drug makers for lawsuits documents show.
[01:48:56.831 --> 01:49:08.020]  They went around and got all the drug makers, they went around and got all the major governments to sign on to give them liability protection before they even did it.
[01:49:09.161 --> 01:49:10.762]  So they got big plans for these illegals.
[01:49:10.802 --> 01:49:17.587]  They bring them in, they hook them up with lawyers, whether it's in Europe, the US, Canada, Australia, it doesn't matter, it's the same plan, same blueprint.
[01:49:18.920 --> 01:49:25.925]  And they then skim their paychecks, skim their welfare, and farm them like leftists do homeless people.
[01:49:26.486 --> 01:49:27.526]  It's a whole industry.
[01:49:28.347 --> 01:49:29.468]  It's a gold mine.
[01:49:29.548 --> 01:49:31.089]  It's a crop they're farming.
[01:49:33.271 --> 01:49:49.255]   So I want to get back into, with a great investigative journalist, Anthony Rubin of muckraker.com, The rest of what he's breaking down, what he's witnessed, what he's seen, but then the political aspect of this, and Soros and the State Department, the debit cards they give him, I mean, that's been out forever.
[01:49:49.655 --> 01:49:59.720]  I played a clip when he first came on of Jon Stewart going, and this is five, six years ago in the midterm before Trump got the election stolen from him, going, Trump's insane.
[01:49:59.760 --> 01:50:00.700]  There's no caravans.
[01:50:00.720 --> 01:50:01.540]  There's no illegals.
[01:50:01.560 --> 01:50:02.361]  None of this is happening.
[01:50:03.522 --> 01:50:10.984]  Now we've moved past that with Majorca saying, oh, we have heightened terror alert, a heightened terror threat amid war in the Middle East and immigration crisis.
[01:50:11.504 --> 01:50:15.465]  Brace for terror attacks, the FBI director says.
[01:50:16.625 --> 01:50:19.746]  And they think we're dumb when the terror attack comes.
[01:50:19.806 --> 01:50:20.726]  We won't blame them.
[01:50:21.146 --> 01:50:23.246]  So this is an insane moment.
[01:50:23.807 --> 01:50:25.767]  And then we have these documents released to New York.
[01:50:26.854 --> 01:50:30.036]  Were the state legislatures preparing to legalize illegals voting?
[01:50:30.556 --> 01:50:32.278]  I mean, this is very transparent.
[01:50:32.398 --> 01:50:32.638]  Yeah.
[01:50:33.178 --> 01:50:33.899]  Yeah, absolutely.
[01:50:33.959 --> 01:50:36.601]  Well, it is replacement migration.
[01:50:36.641 --> 01:50:40.563]  These people cannot win politically legitimately.
[01:50:40.763 --> 01:50:41.724]  It's impossible at this point.
[01:50:41.744 --> 01:50:42.785]  I think that everybody's waking up.
[01:50:42.825 --> 01:50:44.506]  It is kind of a great awakening that's going on.
[01:50:44.526 --> 01:50:47.988]  We've already seen with your reinstatement on X, thanks to Elon Musk.
[01:50:48.108 --> 01:50:50.950]  I don't think that the powers that be can allow that to stand.
[01:50:50.990 --> 01:50:54.252]  I think there's way too much now, you know, counterforce against them.
[01:50:54.532 --> 01:51:07.877]   And I think, I mean, similar to what you were talking about before, You know, there's going to be some sort of either cyber attack or major military escalation or something of the like to put up the brakes on this because people are waking up to what's going on.
[01:51:08.157 --> 01:51:09.917]  But yeah, we're being completely invaded.
[01:51:09.957 --> 01:51:21.540]  You take, for example, what's going on, the statement that Senator Dick Durbin made about making these people soldiers in the military and sending them overseas and then for their service, we're going to give them citizenship.
[01:51:21.880 --> 01:51:27.324]  You couple that now with all of this, what you were just reporting on, this demonization of white people.
[01:51:27.364 --> 01:51:29.105]  We're all domestic terrorists.
[01:51:29.185 --> 01:51:32.828]  Joe Biden continues to say the greatest threat to our country is white supremacy.
[01:51:33.228 --> 01:51:34.049]  Whatever that even means.
[01:51:34.089 --> 01:51:35.450]  I mean, I don't even know what that means.
[01:51:35.670 --> 01:51:37.431]  How is he defining a white supremacist?
[01:51:37.451 --> 01:51:38.432]  Am I a white supremacist?
[01:51:38.652 --> 01:51:39.613]  Well, what's a white supremacist?
[01:51:39.853 --> 01:51:42.815]  But that's what they continue to say, and it's pre-genocide talk.
[01:51:42.955 --> 01:51:49.060]  If you look at how genocides happen and happen in the preconditioning that takes place, it's the same type of rhetoric, and that's what's going on.
[01:51:49.400 --> 01:52:20.288]   And so now you couple that With this mass third world army that's coming in, and I'm not even saying, I want to make myself explicitly clear so that I cannot be misrepresented by anybody, that I'm not saying that these people are coming in here, I mean some of them are, certainly coming in with sinister intent, but I'm not saying that the masses of these Venezuelans that you see, or these Ecuadorians, or these Haitians, are necessarily coming in here to, you know, be death squad members, that's not what I'm saying, but when times get desperate, when the power does get shut off, when the dollar does collapse, when you can't even get a loaf of bread to put on the table,
[01:52:20.968 --> 01:52:23.689]  Well, we know the cartels are already pre-war gaming this.
[01:52:24.309 --> 01:52:25.610]  Pelosi says they're all God's children.
[01:52:25.630 --> 01:52:26.990]  The point is, it's a permanent underclass.
[01:52:27.470 --> 01:52:31.332]  They can exploit and control who they order to vote this way, or you get deported.
[01:52:31.612 --> 01:52:31.992]  Correct.
[01:52:32.052 --> 01:52:41.735]   You see them all chanting for Biden, and the point is that when SHTF, I'm just keeping it appropriate for the radio, Um, these people are going to be basically a controlled class.
[01:52:42.035 --> 01:52:44.356]  He who pays the piper plays the tune, right?
[01:52:44.576 --> 01:52:45.236]  Who's the piper?
[01:52:45.436 --> 01:52:49.577]  It's all these 10 million people that are probably more that have come under, just under Joe Biden.
[01:52:49.637 --> 01:52:50.657]  Who's paying them?
[01:52:50.837 --> 01:52:51.878]  It's Uncle Sam.
[01:52:52.038 --> 01:52:58.259]  It's these, uh, these horrible corrupt politicians that are then- Can you even believe how obvious this is?
[01:52:58.860 --> 01:53:00.280]  I mean, this is ridiculous.
[01:53:00.920 --> 01:53:04.182]  If you don't know what's going on at this point, I'm not sure what rock you're living on.
[01:53:04.202 --> 01:53:08.083]  I'm not trying to sound condescending, but it's so expressly obvious.
[01:53:08.203 --> 01:53:09.604]  Talk about the beast train.
[01:53:09.624 --> 01:53:11.825]  You've been on that.
[01:53:12.245 --> 01:53:14.966]  Mexico says you can come through here, just don't stay here.
[01:53:15.287 --> 01:53:16.607]  That country is sketchy.
[01:53:16.687 --> 01:53:22.510]  I would rather be in the jungle than in Mexico, at least the areas in Mexico where these quote-unquote migrants are going through.
[01:53:23.110 --> 01:53:24.872]  Um, let me just take you through Mexico.
[01:53:24.892 --> 01:53:25.793]  Let me just take you back.
[01:53:25.813 --> 01:53:28.476]  By the way, I don't know if I have the clip here, but do we have the beast train in your list?
[01:53:28.956 --> 01:53:29.837]  Um, there should be a clip.
[01:53:29.857 --> 01:53:31.059]  That was the one clip I wanted.
[01:53:31.079 --> 01:53:32.020]  It was you on the beast train.
[01:53:32.140 --> 01:53:33.041]  Yeah, there should be a clip in there.
[01:53:33.101 --> 01:53:35.283]  So if you go to his Twitter, guys, it's it's Muckraker.
[01:53:35.303 --> 01:53:37.986]  We'll, we'll, we'll have that and we'll add it and post later.
[01:53:38.006 --> 01:53:38.907]  But just describe this.
[01:53:39.107 --> 01:53:42.209]  Yeah, so I rode the Beast train two times.
[01:53:42.229 --> 01:53:42.749]  There it is.
[01:53:42.769 --> 01:53:43.790]  That was the first time I rode it.
[01:53:43.810 --> 01:53:44.830]  I actually rode it twice.
[01:53:45.391 --> 01:53:49.353]  And there's photos of it, just thousands hanging off.
[01:53:49.433 --> 01:53:50.633]  Thousands hanging off.
[01:53:50.694 --> 01:53:51.194]  It was insane.
[01:53:51.914 --> 01:53:54.976]  Let me explain this, how this operates.
[01:53:55.056 --> 01:54:00.139]  So we get on the train, we go to this town called Iropuato.
[01:54:00.219 --> 01:54:01.079]  Okay, that's in Mexico.
[01:54:01.119 --> 01:54:02.600]  And here I have another document.
[01:54:02.640 --> 01:54:05.122]  Like I said, I came with all of the receipts.
[01:54:05.822 --> 01:54:06.122]  Boom!
[01:54:06.622 --> 01:54:09.643]  Here is an NGO, Amigos del Tren, okay?
[01:54:09.804 --> 01:54:13.965]  This is in, they actually, they have different offices, but their big one is in Irapato, Mexico.
[01:54:14.625 --> 01:54:15.366]  And that's right here.
[01:54:15.466 --> 01:54:15.706]  Boom!
[01:54:15.826 --> 01:54:16.766]  This is like their headquarters.
[01:54:17.286 --> 01:54:26.390]  And from here, we ended up, we got these maps, and they straight up, like, hand these things out, and not far from where that, and that NGO is located literally right on the train tracks, okay?
[01:54:27.210 --> 01:54:28.251]  From there, you wait.
[01:54:28.611 --> 01:54:30.292]  And you wait until like one in the morning.
[01:54:30.412 --> 01:54:32.134]  And then everybody starts walking down the tracks.
[01:54:32.154 --> 01:54:34.495]  Okay, and you walk down the tracks for maybe a mile.
[01:54:34.936 --> 01:54:44.823]  And then eventually you see like even more people that are that were already down there waiting and then you're part of all the sudden you've like all these different groups combined and you're part of like over like multiple thousands of people possibly.
[01:54:44.843 --> 01:54:47.045]  Guys, just type in photos Mexico's beast train.
[01:54:47.065 --> 01:54:47.985]  Just click images.
[01:54:48.025 --> 01:54:48.466]  It'll show it.
[01:54:48.486 --> 01:54:48.726]  Go ahead.
[01:54:48.766 --> 01:54:50.267]  And this is happening in the middle of the night.
[01:54:50.287 --> 01:54:51.428]  This is the first time I wrote it.
[01:54:51.468 --> 01:54:56.112]  I wrote it two times with my brother because the cartel took our Mexican footage.
[01:54:56.132 --> 01:54:58.454]  We actually had to fly back into Mexico and ride this sucker again.
[01:54:59.395 --> 01:55:01.337]  Even more sketchy the second time for different reasons.
[01:55:01.637 --> 01:55:06.861]  But the first time we get on this thing, middle of the night, we're all walking down the tracks now to find this quote-unquote beast train.
[01:55:07.362 --> 01:55:08.923]  And you start to see these men.
[01:55:08.963 --> 01:55:11.005]  And I'm thinking these might be Mexican police officers.
[01:55:11.545 --> 01:55:13.985]  And he realized real quick, these are not Mexican police officers.
[01:55:14.005 --> 01:55:14.986]  These are actually cartel men.
[01:55:15.026 --> 01:55:26.948]  I'm looking at them, and if anybody's ever seen Batman, the one from the early 2000s with the League of Shadows guys, where they're dressed in all black with, like, the ninja face mask that only shows their eyes and the body armor and the sword tucked behind their back.
[01:55:27.268 --> 01:55:28.228]  Literally, they had all of that.
[01:55:28.248 --> 01:55:33.109]  They literally had swords tucked in their back behind their body armor, and they're all carrying shotguns and AR-15s.
[01:55:33.529 --> 01:55:35.389]  And these are the men that load us up onto the train.
[01:55:36.369 --> 01:55:37.089]  Totally insane.
[01:55:37.430 --> 01:55:39.950]  And so, I've- And then once you get there, they shake you down.
[01:55:40.650 --> 01:55:42.913]  Well, if you take it to its definitive end, that's right.
[01:55:42.933 --> 01:55:46.616]  If you take this thing all the way up to South Texas, yes.
[01:55:46.816 --> 01:55:47.957]  I mean, it goes all along here.
[01:55:49.118 --> 01:55:55.825]  But, you know, anywhere at its definitive end, you will be met by the same men and they'll take you off and they'll haul you to the border and, of course, extort you if you don't pay them.
[01:55:56.533 --> 01:55:57.113]  That's what's going on.
[01:55:57.413 --> 01:55:59.374]  There's so many aspects of this, I don't want to get sidetracked.
[01:55:59.394 --> 01:56:11.717]  Like, one point I do want to make, I just don't want to forget, is that you have the United Nations running this whole thing, and you talk to anybody, and certainly if you talk to any of these leftist politicians of Congress and they're like, oh, it's for humanitarian purposes, you're just a bigot or a racist.
[01:56:12.038 --> 01:56:14.038]  It's on screen, they dress like ninjas from League of Shadows.
[01:56:14.078 --> 01:56:16.599]  That is straight up what, I swear to you, that's what they look like.
[01:56:17.461 --> 01:56:19.903]  Well, except they were also carrying shotguns or AR-15s.
[01:56:20.003 --> 01:56:21.684]  I am not exaggerating to you.
[01:56:21.744 --> 01:56:23.145]  Those are the men that loaded us onto the train.
[01:56:23.345 --> 01:56:23.705]  That's that.
[01:56:23.725 --> 01:56:24.566]  You found footage of them.
[01:56:24.946 --> 01:56:26.487]  With the sword tucked in their back as well.
[01:56:27.267 --> 01:56:28.088]  Totally the same sight.
[01:56:28.108 --> 01:56:29.068]  Maybe they got that from there.
[01:56:29.088 --> 01:56:29.429]  I'm not sure.
[01:56:29.449 --> 01:56:31.950]  I mean, you were talking before about how movies, like, it pre-programs people.
[01:56:32.170 --> 01:56:33.171]  I mean, that's what it was all about.
[01:56:33.231 --> 01:56:34.252]  Well, they don't want to make noise.
[01:56:34.272 --> 01:56:34.932]  They got to stab you.
[01:56:34.952 --> 01:56:35.732]  That's why they got swords.
[01:56:37.554 --> 01:56:38.394]  You know, I didn't even think of that.
[01:56:38.394 --> 01:56:39.233]  That's incredible.
[01:56:39.233 --> 01:56:43.193]   Well, what I want to say is this though, and again, I'm just giving people-
[01:56:43.193 --> 01:56:44.033]  This is war.
[01:56:44.033 --> 01:56:46.194]   I mean, this is why, you know- - It's trades-
[01:56:46.194 --> 01:56:48.293]   We see movies about war, we go, "Look, it looks like war,"
[01:56:48.293 --> 01:56:50.233]  because that's movies copying war.
[01:56:50.233 --> 01:56:51.073]  This is war.
[01:56:51.073 --> 01:56:51.893]  It's straight up war.
[01:56:51.893 --> 01:56:53.274]  This is weaponized migration.
[01:56:53.274 --> 01:56:54.314]  We are being replaced.
[01:56:54.314 --> 01:56:58.673]   What I want to say is this though, for anybody out there, you know,
[01:56:58.673 --> 01:57:02.354]   maybe you go and you're going to take this, the information from this broadcast,
[01:57:02.354 --> 01:57:04.354]   and you're going to say, "Wow, I learned some incredible stuff."
[01:57:04.331 --> 01:57:05.411]  We actually are being invaded.
[01:57:05.671 --> 01:57:06.552]  We got to do something about this.
[01:57:06.572 --> 01:57:09.113]  And then somebody is going to come back and they're going to say, well, what do you mean, man?
[01:57:09.153 --> 01:57:10.793]  It's a humanitarian operation.
[01:57:10.833 --> 01:57:15.696]  That's why they're giving them these maps and instructions and sending them up here because they're coming from horrible countries.
[01:57:15.796 --> 01:57:16.116]  Okay.
[01:57:16.976 --> 01:57:17.716]  That's what you want to believe.
[01:57:18.017 --> 01:57:20.017]  So, I would ask this question.
[01:57:20.117 --> 01:57:34.223]  Why on earth, if this was a humanitarian operation, would the United Nations send these people to parts of, I mean, honestly, all of Central America, but certainly Mexico definitively, that are all controlled by these different cartel organizations, which are literally terrorist groups.
[01:57:34.243 --> 01:57:38.704]  I mean, these are narco-terrorists that put out videos of them chopping off enemy cartel members' heads.
[01:57:38.964 --> 01:57:40.525]  I mean, they're as brutal as ISIS, right?
[01:57:40.545 --> 01:57:42.106]  But we're not going to do anything about them, of course.
[01:57:43.206 --> 01:57:49.771]  Well, if this was humanitarian, why would we send them into the arms of these cartel groups that I, you know, have definitively encountered?
[01:57:50.151 --> 01:57:50.732]  Brutal people.
[01:57:50.752 --> 01:57:58.197]  Hey guys, type in Amnesty International, 80, I think it's 88%, 80% of women and girls raped on way to the U.S.
[01:57:58.217 --> 01:57:58.497]  border.
[01:57:59.138 --> 01:58:08.083]   If it's like 10 years old, just click web, and type Amnesty International, 80% of, of, of, Migrant women raped.
[01:58:08.383 --> 01:58:09.084]  Just pull that up.
[01:58:09.244 --> 01:58:09.464]  Go ahead.
[01:58:09.544 --> 01:58:09.864]  Keep going.
[01:58:10.344 --> 01:58:13.445]  And so the point is, when I say all this, the point is it's not humanitarian.
[01:58:13.485 --> 01:58:14.825]  These people are being used as pawns.
[01:58:15.045 --> 01:58:15.606]  I'm going to give you... Boom!
[01:58:15.626 --> 01:58:15.886]  See it?
[01:58:15.946 --> 01:58:16.086]  Look.
[01:58:16.906 --> 01:58:17.646]  There it is right there.
[01:58:18.386 --> 01:58:19.667]  Yeah, I mean, I believe it.
[01:58:20.167 --> 01:58:26.229]  I've had women, I've talked to women and interviewed them and even just talked to them personally when I didn't feel it was appropriate to put a camera in their face.
[01:58:26.249 --> 01:58:27.009]  You don't always want to do that.
[01:58:28.189 --> 01:58:33.030]  And who just openly told me, like, you know, yeah, I was raped by, you know, a group of men in the jungle.
[01:58:33.471 --> 01:58:33.611]  Right?
[01:58:35.211 --> 01:58:42.980]  Horrible stuff it's it's like hell on earth, but let me show you this dead bodies dead bodies the route that we took there are dead bodies We didn't see any a lot of times.
[01:58:43.000 --> 01:58:46.324]  They just get washed downriver But that you know the Colombian route.
[01:58:46.364 --> 01:58:57.416]   You'll see them all over the place because it's a much longer route I want to show somebody there show people what's going on here, so this is the same This is the back of that Red Cross map We were just talking about the Beast Train.
[01:58:57.956 --> 01:59:04.521]  Again, just to prove this is not humanitarian, they literally talk about here, they encourage people to ride on top of freight trains.
[01:59:04.561 --> 01:59:13.306]  It says, avoid getting onto a freight train or vehicle if you have not eaten or rested or if you are under the influence of alcohol, drugs, or medication that can make you drowsy.
[01:59:13.326 --> 01:59:18.590]  It's not saying don't do this under any circumstances, just make sure that you're not on drugs or you haven't had too many beers.
[01:59:19.671 --> 01:59:21.272]  If you go to sleep, you could fall.
[01:59:21.912 --> 01:59:25.075]  Take it in turns with your travel companions to rest and watch each other.
[01:59:25.095 --> 01:59:27.997]  I mean, this is just so ridiculous that they're telling people to do this, right?
[01:59:28.437 --> 01:59:29.378]  They're being used as pawns.
[01:59:30.739 --> 01:59:36.203]  I mean, you know, I almost want to take a step back, but I know we're limited.
[01:59:36.223 --> 01:59:41.027]  The only reason globalists care, we have plenty of time, is they want to sign them up for welfare and milk them.
[01:59:41.587 --> 01:59:42.468]  They don't care about them.
[01:59:42.488 --> 01:59:43.569]  They just want to stay alive.
[01:59:43.629 --> 01:59:44.049]  Get up here.
[01:59:44.069 --> 01:59:44.910]  You don't have to take the shot.
[01:59:45.190 --> 01:59:45.910]  That's for the Americans.
[01:59:45.930 --> 01:59:46.431]  We're killing them.
[01:59:46.471 --> 01:59:46.731]  Don't worry.
[01:59:46.751 --> 01:59:47.392]  We're replacing them.
[01:59:47.512 --> 01:59:47.692]  Yeah.
[01:59:48.362 --> 02:00:10.831]   Yeah it's truly horrifying you know once you actually take down the smoke screen in your mind and you really grapple with the question which is any government that would do this to us that would allow 10 million of these people that are desperate that aren't you know necessarily contributing anything to our country some of them may be okay but it's all organized by the State Department the government the US government runs this But everybody at home, grapple with that question.
[02:00:10.911 --> 02:00:15.893]  Ask yourself, what is the endgame of any government that would allow this to take place and do this to us?
[02:00:16.013 --> 02:00:16.954]  Total lawlessness.
[02:00:17.034 --> 02:00:17.854]  Total lawlessness.
[02:00:18.094 --> 02:00:18.575]  Anarchy.
[02:00:18.655 --> 02:00:22.436]  And then from that anarchy, we can get a totalitarian state built on top of it.
[02:00:22.836 --> 02:00:23.557]  That's what's going on.
[02:00:23.577 --> 02:00:25.658]  You want to take a step back?
[02:00:25.698 --> 02:00:25.918]  Go ahead.
[02:00:26.078 --> 02:00:26.458]  Yeah, yeah.
[02:00:26.678 --> 02:00:32.001]  I mean, it's sad, because I almost feel like I'm standing and just reporting on a house burning down.
[02:00:32.021 --> 02:00:32.481]  No, I agree.
[02:00:32.521 --> 02:00:34.222]  You feel guilty, even though you're trying to stop it.
[02:00:35.242 --> 02:00:37.743]  You're reporting on it, it's like hard, I have that same feeling.
[02:00:37.783 --> 02:00:44.427]  Yeah, and it's like, it's like, here I am with the microphone, there's the house, oh, there goes the balcony, it's like, oh, the roof just imploded, and it's like, but nothing's happening.
[02:00:44.447 --> 02:00:48.949]  It's like the fire department isn't here, and I'm just saying how bad the destruction of this house is, but I can't do anything about it.
[02:00:48.989 --> 02:00:54.512]  It's actually very sad and kind of overwhelming at times, but we can't get, uh, you know, we have to also feel blessed that we're in the driver's seat.
[02:00:54.532 --> 02:00:56.653]  We could hopefully affect some change and turn the ship around.
[02:00:57.033 --> 02:00:58.994]  So in that aspect, we should feel blessed.
[02:00:59.594 --> 02:01:01.235]  Um, let, let me, let me say this.
[02:01:01.275 --> 02:01:08.501]  So let me take it back to the route because I want people to understand and walk away from this, understanding kind of the Daring Gap a little bit more and what, what's going on there.
[02:01:08.541 --> 02:01:13.505]  So the Daring Gap, I'm sure your audience is well aware of what it is, but I know you got a lot of new listeners now.
[02:01:13.545 --> 02:01:14.326]  So let me just explain this.
[02:01:14.346 --> 02:01:16.928]  This is the strip of land that connects North and South America.
[02:01:17.228 --> 02:01:18.189]  It's lawless jungle.
[02:01:18.289 --> 02:01:20.210]  It was designed like that for a reason.
[02:01:20.230 --> 02:01:24.474]  There's a reason why they didn't take Highway 1, which runs from Alaska all the way down to the Southern tip of Panama.
[02:01:25.214 --> 02:01:28.956]  There's a reason why they didn't take that all the way through into South America.
[02:01:29.036 --> 02:01:31.157]  It was designed basically to be a buffer zone if there's an outbreak.
[02:01:31.177 --> 02:01:33.919]  Because Central and South America have had so many wars, disease.
[02:01:34.099 --> 02:01:34.539]  Exactly.
[02:01:34.659 --> 02:01:36.240]  Wars, disease, movement of people.
[02:01:36.280 --> 02:01:42.023]  You could easily chop off any such, you know, issues basically and keep it sequestered either to North America.
[02:01:42.063 --> 02:01:44.424]  America's a lot safer because we have the Pacific and Atlantic Ocean.
[02:01:44.524 --> 02:01:44.904]  That's true.
[02:01:45.184 --> 02:01:46.125]  That's absolutely true.
[02:01:46.385 --> 02:01:49.647]  But but so the point is this was designed as lawless jungle for a reason.
[02:01:49.707 --> 02:01:51.949]  So we don't want a mega highway going through here.
[02:01:51.969 --> 02:01:57.172]  But what's happened since the borders been opened up is this has turned into a mass illegal alien highway.
[02:01:58.012 --> 02:02:01.775]  And so everybody's just basically marching through here thousands per day all the way up to the United States.
[02:02:01.835 --> 02:02:05.317]  Now I want people to understand there are these there's different routes.
[02:02:05.377 --> 02:02:06.898]  There's two that enter from Colombia.
[02:02:06.938 --> 02:02:11.057]   These are extremely long, three to five days, dead bodies everywhere, people getting raped,
[02:02:11.057 --> 02:02:14.777]   people getting robbed, coming out of the other end, barely alive.
[02:02:14.777 --> 02:02:15.978]  Then there are other routes.
[02:02:15.978 --> 02:02:18.938]   Now the route that I took, which is not even listed on this map here.
[02:02:18.938 --> 02:02:19.856]  Show it again.
[02:02:19.856 --> 02:02:21.438]  It's not even listed on this map here.
[02:02:21.438 --> 02:02:23.858]  The route that I took was a more safe route.
[02:02:23.858 --> 02:02:26.136]  It's a route that's used by SIAs.
[02:02:26.136 --> 02:02:29.136]   Anybody that reads the literature behind this whole Southern Border Invasion
[02:02:29.136 --> 02:02:31.097]  will see that acronym used.
[02:02:31.097 --> 02:02:33.136]  That stands for Special Interest Alien.
[02:02:33.136 --> 02:02:35.257]  That includes people from China, for example.
[02:02:35.257 --> 02:02:38.658]  Wealthier people, but also the aid workers use it.
[02:02:38.658 --> 02:02:41.738]   Yes, I mean, this is also people that are coming from, you know, countries that have a history
[02:02:41.738 --> 02:02:43.238]  of sponsoring terrorist groups.
[02:02:42.945 --> 02:02:45.647]  I mean, dangerous people, possibly.
[02:02:46.207 --> 02:02:49.049]  Now, the route that I took, basically, is not one of these.
[02:02:49.249 --> 02:02:50.570]  It's used by wealthier aliens.
[02:02:50.590 --> 02:03:00.275]  The reason why it's used by wealthier aliens is because they need to get on a boat and get smuggled in the middle of the night into Panamanian territory and land somewhere up here, okay?
[02:03:00.816 --> 02:03:01.936]  And that's the route that we took.
[02:03:02.056 --> 02:03:04.038]  And so we went to this coastal town.
[02:03:04.998 --> 02:03:11.400]  And we basically were staged there with mostly Chinese, a group of 500, but anywhere from 60 to 70 percent Chinese.
[02:03:11.480 --> 02:03:12.701]  There were Syrians with us.
[02:03:12.741 --> 02:03:13.881]  There were Afghans with us.
[02:03:14.181 --> 02:03:20.543]  There were some people from Ethiopia there, Ecuadorians, Venezuelans, Colombians, and we all marched through.
[02:03:21.083 --> 02:03:31.127]   And, you know, I guess the point that I'm trying to make here is that, you know, the Daring Gap now has become so carved up that you actually have different All these different routes leading through here.
[02:03:31.147 --> 02:03:32.868]  It's not just that, like, it's one route.
[02:03:32.908 --> 02:03:34.268]  It's, no, you know, you got a little bit more money?
[02:03:34.528 --> 02:03:36.469]  Okay, well, we're gonna smuggle you into Panama and take you in this way.
[02:03:36.489 --> 02:03:45.833]  There's actually another route a little bit further north where, if you have even more money, you can pay smugglers and they'll actually take you on a horseback ride and you'll ride horseback all the way inland.
[02:03:46.173 --> 02:03:46.653]  It's incredible.
[02:03:47.394 --> 02:03:47.474]  Um...
[02:03:48.354 --> 02:03:53.596]  But I just want people to understand what's going on there and basically how Panama is being overrun with these people.
[02:03:53.956 --> 02:04:00.039]  And then once they're in Panama, they get basically a temporary admission into the country.
[02:04:00.399 --> 02:04:07.042]  They're loaded onto buses and basically they're shuttled all the way to the northern part of the country within a matter of hours.
[02:04:07.082 --> 02:04:10.883]  They just set them on buses, boom, and they send them up to Costa Rica.
[02:04:10.903 --> 02:04:12.264]  And that's another thing I want people to understand.
[02:04:13.104 --> 02:04:17.608]  All these countries down here, they might play nice, right, and they might act like they're our buddies, they're not our buddies.
[02:04:17.968 --> 02:04:20.671]  These people are sending these people all the way up to our border.
[02:04:20.711 --> 02:04:21.992]  It's like, almost like a game of hot potato.
[02:04:22.032 --> 02:04:24.174]  It's like, they're in Panama now, okay, send them up to Costa Rica.
[02:04:24.514 --> 02:04:26.415]  Okay, they're in Costa Rica now, send them into Nicaragua.
[02:04:26.916 --> 02:04:33.702]  And the definitive end state is the United States of America, because we're foolish enough to let these people in, uh, en masse.
[02:04:34.022 --> 02:04:38.145]  And so I just want people to understand, basically, a little bit more about the Darien Gap, and now we can move on.
[02:04:39.106 --> 02:04:43.007]  The bottom line is it's all State Department, U.N.
[02:04:43.368 --> 02:04:46.108]  routes all run the same people that ran the U.N.
[02:04:46.128 --> 02:04:47.929]  refugee camps for the invasion of Europe.
[02:04:48.269 --> 02:04:49.650]  The same NGOs run this.
[02:04:50.030 --> 02:04:52.471]  And then the mayor sits up and goes, oh, everything's fine.
[02:04:52.811 --> 02:04:54.791]  But suddenly he's like, oh, God, it's terrible.
[02:04:54.811 --> 02:04:55.892]  Terrorists are about to hit.
[02:04:56.192 --> 02:05:02.034]  So that tells me they're getting ready to let terrorists hit for domestic control, have more TSA groping us while the border's wide open.
[02:05:02.714 --> 02:05:04.995]  Because I made the point we're going to blame the government for the terror attack.
[02:05:05.255 --> 02:05:07.257]  Now they're like, oh yeah, the border is broken.
[02:05:07.697 --> 02:05:09.658]  Why do you think they're suddenly signaling like that?
[02:05:11.039 --> 02:05:13.180]  Well, you know, this can't go on forever.
[02:05:13.200 --> 02:05:16.382]  I mean, the situation is going to implode and probably to a certain extent they want to get out.
[02:05:16.402 --> 02:05:17.442]  Yes, they think we're done.
[02:05:17.502 --> 02:05:19.323]  Our goose is cooked enough to collapse the country.
[02:05:19.623 --> 02:05:20.804]  Now they want to act like they're the saviors.
[02:05:20.984 --> 02:05:21.524]  Yeah, exactly.
[02:05:21.544 --> 02:05:27.007]  And that's why also they're rolling out, you know, everybody knows or should know about the CBP One app, where basically they, it's the same thing.
[02:05:27.408 --> 02:05:28.268]  You know, it's the same issue.
[02:05:28.288 --> 02:05:28.868]  You still let it happen.
[02:05:28.888 --> 02:05:32.370]  Did you see the legislation leaked out of New York to have illegal aliens vote in the state elections?
[02:05:32.590 --> 02:05:33.111]  That's incredible.
