[00:00:00.000 --> 00:00:02.480]  [BEEPING]
[02:05:01.802 --> 02:05:02.383]  We'll be right back.
[02:05:02.403 --> 02:05:02.863]  Don't go anywhere.
[02:05:05.205 --> 02:05:17.009]  We are in the middle of a crude and ugly communist revolution funded by the big banks as a battering ram into a new age digital economy and a total surveillance state.
[02:05:17.469 --> 02:05:25.492]  All branches of government are attacking we the people and they offer us only one option, a meaningless vote in a rigged election.
[02:05:26.372 --> 02:05:28.234]  What we can do is be prepared.
[02:05:28.714 --> 02:05:37.062]  And you can support the InfoWar by shopping at InfoWarStore.com for products to help you through good times and bad.
[02:05:37.823 --> 02:05:40.645]  And you can share the videos at Band.Video.
[02:05:41.266 --> 02:05:46.551]  Our best hope still is and always has been a mass awakening.
[02:05:47.011 --> 02:05:48.272]  So download the videos.
[02:05:49.073 --> 02:05:52.696]  Share them, upload them, and send them everywhere.
[02:05:53.177 --> 02:05:59.177]  Let the world unite for truth, justice, and 1776 worldwide.
[02:05:59.177 --> 02:06:14.177]   InfoWars2.com [Music]
[02:06:14.177 --> 02:06:16.177]  There's a viral video going out right now.
[02:06:16.280 --> 02:06:19.763]  I think Jack Poselbeck blew it up everywhere this morning of DeSantis coming out.
[02:06:20.464 --> 02:06:21.985]  Just straight up saying it.
[02:06:22.205 --> 02:06:26.269]  You know, Trump should be removed if he's convicted of any of these crimes.
[02:06:27.009 --> 02:06:27.810]  Trump should be removed.
[02:06:27.869 --> 02:06:31.708]   And I was telling people, I've been telling people, I mean, I'm pretty sure Alex and Owen
[02:06:31.708 --> 02:06:36.829]   and all the guys and anyone that's actually paying attention could see and predict that
[02:06:36.829 --> 02:06:40.708]   with all of the deep state operations being run on President Donald J. Trump with the
[02:06:40.708 --> 02:06:46.908]   lawfare and the indictments and all of the false flags that have been run on MAGA, they
[02:06:46.908 --> 02:06:50.670]   are all leading to one thing and that's to take down MAGA, that's to take down Trump,
[02:06:50.670 --> 02:06:52.149]  that's to take down the American people.
[02:06:52.149 --> 02:06:59.349]   And any movement that resembles freedom, patriotism, American nationalism, because the FBI, the
[02:06:59.349 --> 02:07:04.750]   CIA, the NSA, the intelligence agencies, the DOJ, crooked DAs, all the Soros appointed
[02:07:04.750 --> 02:07:09.149]   DAs, and anyone that's been installed as a so-called elected official, it's all for this
[02:07:09.972 --> 02:07:11.153]  It's all for this very purpose.
[02:07:11.173 --> 02:07:13.976]  All these crooked judges, it's not for justice.
[02:07:14.036 --> 02:07:24.793]   It's not for, you know, weighing out fair on the scales of Justice or error or wickedness?
[02:07:25.254 --> 02:07:28.216]  No, they are there to keep the scales bending over to wickedness.
[02:07:28.336 --> 02:07:47.532]  In the name of social justice, in the name of keeping the balance in the force, we got a bunch of dark side users right now literally in the federal government, New World Order proxies and pawns, World Economic Forum Satanists, Luciferians in Hollywood, the music industry, so-called education, obviously the federal and the local governments.
[02:07:48.317 --> 02:08:00.547]  And they're pushing everything on the next generation, but the point is this, and I think people are starting to identify that this is not just about Trump, this is not just about Alex Jones or Schroyer, this is the future of every single American.
[02:08:00.587 --> 02:08:07.092]  And I think we all saw this, all the Infowarriors saw this, when Alex Jones and Infowarriors and Owen and all the guys were deplatformed.
[02:08:08.098 --> 02:08:13.960]  During the Trump administration, they were punished for amplifying Donald J. Trump and getting him unelected in 2016.
[02:08:15.201 --> 02:08:17.061]  Everyone was punished on social media.
[02:08:17.081 --> 02:08:18.242]  You guys noticed that, right?
[02:08:18.262 --> 02:08:18.842]  I mean, we know this.
[02:08:18.862 --> 02:08:26.084]  This is American history that they've attempted to wipe out because they don't let you platformed anywhere so you can't actually recite what happened to you.
[02:08:26.744 --> 02:08:32.126]  But some people have been allowed back on Twitter, but still, you know, that's an uphill battle going on right now.
[02:08:34.614 --> 02:08:37.295]  A lot of people got punished for amplifying MAGA in 2016.
[02:08:37.875 --> 02:08:39.496]  People got de-platformed.
[02:08:39.516 --> 02:08:40.656]  They got de-personed.
[02:08:42.057 --> 02:08:43.097]  They got de-banked.
[02:08:44.078 --> 02:08:53.422]  They got absolutely... 100% stripped of their identity on social media, in the public.
[02:08:53.562 --> 02:08:57.823]  I mean, Alex Jones, like I say, Infowars is, you know, public... I wouldn't say public enemy.
[02:08:57.843 --> 02:09:03.946]  Well, I guess depending on who the public is, if it's the commies and the New World Order NPCs, but deep state enemy number one.
[02:09:04.824 --> 02:09:06.525]  Infowars Alex Jones was the type.
[02:09:06.565 --> 02:09:09.247]  And then ultimately it led to Donald J. Trump.
[02:09:09.267 --> 02:09:11.349]  They deplatformed him on Twitter, a sitting U.S.
[02:09:11.409 --> 02:09:11.869]  President.
[02:09:12.650 --> 02:09:14.551]  Designated him a threat to society.
[02:09:15.011 --> 02:09:19.635]  Designated him a threat with his rhetoric because of his speech amplifying riots.
[02:09:19.695 --> 02:09:25.719]  And J6 was the absolute worst attack on our democracy since 9-11 and Pearl Harbor.
[02:09:26.303 --> 02:09:28.005]  I mean, all of that sounds absurd, I know.
[02:09:28.345 --> 02:09:28.985]  But it's for a reason.
[02:09:29.005 --> 02:09:30.627]  The absurdity is by design.
[02:09:31.067 --> 02:09:32.708]  The absurdity is not meant to make sense.
[02:09:32.748 --> 02:09:35.130]  The absurdity is meant to be a psyop.
[02:09:35.171 --> 02:09:41.075]  It's meant to warp the mind of the individual that's not actually thinking clearly, that's not actually thinking on their own.
[02:09:41.095 --> 02:09:44.759]  I mean, I would rather someone think negatively.
[02:09:44.859 --> 02:09:46.140]  At least they're thinking on their own.
[02:09:46.180 --> 02:09:46.860]  You know what I'm saying?
[02:09:47.521 --> 02:09:51.865]  But the deep state has gotten so advanced that they are just thinking for people.
[02:09:51.905 --> 02:09:53.466]  They tell people what to believe.
[02:09:54.275 --> 02:09:55.455]  They are their fact-checkers.
[02:09:55.475 --> 02:09:56.596]  They are their overlords.
[02:09:57.616 --> 02:09:59.757]  They are all the homosexuals on CNN.
[02:10:00.337 --> 02:10:04.519]  And they've infiltrated the so-called right-wing space of the Uniparty, even churches.
[02:10:04.559 --> 02:10:05.839]  That's what cultural Marxism is.
[02:10:05.859 --> 02:10:11.361]  That's why you're seeing all these, you know, gay pride flags all up and down these so-called houses of worship.
[02:10:11.881 --> 02:10:12.842]  It's all by design.
[02:10:13.522 --> 02:10:17.503]  But ultimately, all of this is meant to take down what you and I represent.
[02:10:17.523 --> 02:10:18.604]  That's the American citizen.
[02:10:18.644 --> 02:10:21.492]   That's the American Operation.
[02:10:21.632 --> 02:10:22.913]  That's the American dream.
[02:10:22.953 --> 02:10:24.334]  That's the American story.
[02:10:24.374 --> 02:10:25.956]  That's that's the American.
[02:10:26.876 --> 02:10:29.959]  And I think every single one of us can identify that very clearly right now.
[02:10:30.019 --> 02:10:33.783]  But like I say, I mean, they go after Alex deplatforming InfoWars.
[02:10:34.103 --> 02:10:35.904]  They take it to a sitting United States president.
[02:10:36.465 --> 02:10:39.688]  But then, you know, if you did notice at the time, nobody wanted to touch InfoWars.
[02:10:39.728 --> 02:10:43.891]  Nobody wanted to be associated with Alex Jones.
[02:10:43.951 --> 02:10:55.104]   No one wanted to be associated until, you know, the I guess we could say the conservative, alternative, new, right-wing establishment media says it's okay.
[02:10:55.804 --> 02:11:01.428]  Until they say it's okay, well then you could start affiliating with the bad guys.
[02:11:01.628 --> 02:11:04.590]  Then you could start affiliating with the deplatformed.
[02:11:04.991 --> 02:11:11.515]  Then you could start affiliating with those that have been cast out to the Island of Misfit talk show hosts.
[02:11:13.177 --> 02:11:27.349]  So how come like the right-wing conservative, so-called alternative media side of things, so when they say it's okay to identify or to associate with Infowars, Alex Jones, or anyone that's been deplatformed, okay, well now we can come together?
[02:11:27.369 --> 02:11:29.691]  And have you noticed that they do that when it's too late?
[02:11:30.392 --> 02:11:37.718]  Have you noticed when they do that when, you know, that should have been happening when this first all went down during Trump's first term?
[02:11:38.638 --> 02:11:42.479]  But now here we are in 2023, now all the- well, yeah, welcome to the party, dude.
[02:11:42.759 --> 02:11:58.181]  Because now people are identifying that you're either gonna be a turncoat, and you're gonna associate with the deep state and pedophile YouTube and abide by the TOS, and somehow think that you could build a platform on these satanic platforms, and then like, someday what?
[02:11:58.521 --> 02:12:02.982]  You're just gonna just flip the switch someday and start saying how you really feel?
[02:12:03.242 --> 02:12:04.082]  And then what?
[02:12:04.182 --> 02:12:07.063]  Lose your entire platform for- it doesn't make any sense.
[02:12:07.503 --> 02:12:27.591]   These people are grifters and these people are turncoats and they're abiding by TOS because they're afraid to speak out against the deep state and I would argue because there's a lot of money to be lost but this is when you begin to see who's actually authentic and who's not because this is not about money this is not about oh you hear this all the time Long game, man.
[02:12:27.732 --> 02:12:38.199]  We gotta play the long game, so just keep your head down, abide by the TOS, don't piss anybody off, and you know, we'll do something, you know, further down the line in the future.
[02:12:38.239 --> 02:12:38.940]  Like, do what?
[02:12:39.500 --> 02:12:39.961]  Do what?
[02:12:40.621 --> 02:12:49.168]  After you've accumulated all your Deep State New World Order money on YouTube, and abiding by the TOS, one day you're just gonna flip that switch and start speaking out against them?
[02:12:49.808 --> 02:12:50.689]  It makes no sense.
[02:12:51.009 --> 02:12:52.050]  It makes no sense at all.
[02:12:52.682 --> 02:13:01.696]  However, it makes sense if these people are actually turncoats and they don't really care about the state of the union, the future of the union, and the soul of this nation.
[02:13:02.057 --> 02:13:03.139]  That makes sense to me.
[02:13:04.040 --> 02:13:04.461]  And, you know...
[02:13:05.114 --> 02:13:24.142]  One thing I'm going to say is, the reason why I'm bringing this up is because now you're starting to identify, people are starting to realize that, you know, it doesn't matter whether I identify with that first group of people that got accused of being alt-right and white supremacists and they were cast away and never to be heard from ever again and de-platformed.
[02:13:24.182 --> 02:13:27.324]  I don't want to associate with that because that means I'm going to lose my brand.
[02:13:27.604 --> 02:13:29.485]  That means I'm going to lose my platform.
[02:13:29.705 --> 02:13:31.526]  That means I'm going to get hit next.
[02:13:31.866 --> 02:13:34.981]   Well, They did it to a sitting U.S.
[02:13:35.041 --> 02:13:35.822]  President, okay?
[02:13:35.842 --> 02:13:37.743]  So, like, what are you and what am I?
[02:13:38.223 --> 02:13:39.665]  What are you and what am I?
[02:13:39.745 --> 02:13:45.209]  And I think a lot of people are waking up to this reality, and I don't know if it's too late, but I'd rather people wake up than never.
[02:13:45.729 --> 02:13:48.551]  I'd rather people wake up late than, I guess, wake up never.
[02:13:49.052 --> 02:13:59.708]   But I do find it interesting that all of a sudden, whenever the so-called alternative, conservative, right-wing of things say, it's okay to associate with them now, They always do it when it's far too late.
[02:14:00.188 --> 02:14:06.510]  They always do it when the FBI is already launching indictments and investigations into these guys.
[02:14:06.870 --> 02:14:16.314]  They've jumped from deplatforming to lawfare, depersoning, debanking, and throwing you in prison for speech crimes, okay?
[02:14:16.914 --> 02:14:18.735]  Alright, you guys know exactly what I'm talking about.
[02:14:18.755 --> 02:14:21.096]  So that ship has already sailed.
[02:14:21.696 --> 02:14:26.564]   And this is why I always say, if you want to see what the future is, Just take a look at InfoWars.
[02:14:26.604 --> 02:14:27.565]  Tomorrow's news today.
[02:14:27.585 --> 02:14:29.445]  And that's happening every single day.
[02:14:29.485 --> 02:14:30.526]  It's more than news.
[02:14:30.586 --> 02:14:32.507]  It's more than information.
[02:14:32.567 --> 02:14:33.327]  It's reality.
[02:14:33.407 --> 02:14:35.408]  It's the fight for the soul of the nation.
[02:14:35.588 --> 02:14:37.228]  It's the resistance to tyranny.
[02:14:37.308 --> 02:14:43.371]  It's the resistance to the dictatorial technocracy that we're all facing right now and the installed puppet regimes.
[02:14:43.431 --> 02:14:50.433]   It's the resistance to Satan, it's the resistance to Luciferianism, the demonic legions that we're facing every single day of our lives.
[02:14:50.473 --> 02:14:56.255]  I mean, people, I'm giving you a mouthful, but I'm doing this for a reason, because, I mean, you gotta count the cost, man.
[02:14:57.176 --> 02:15:00.957]  You gotta count the cost, because once this becomes a reality for you...
[02:15:01.804 --> 02:15:04.765]  Once you start to realize that, oh wow, I'm being surveilled.
[02:15:05.545 --> 02:15:08.046]  I got people hitting me up saying, hey, they stopped me at the airport.
[02:15:08.066 --> 02:15:14.529]  They're asking me who you are and they're saying you're involved with this X, Y, and Z. Because once this becomes a reality for you, it's more than just a show.
[02:15:15.369 --> 02:15:16.989]  It's more than just a rant.
[02:15:17.670 --> 02:15:20.531]  It's more than just a talk.
[02:15:21.471 --> 02:15:53.691]   It's a reality of what these people are actually Putting up against us and this is why it brings me to my next point and I really want to emphasize this because you know we are moving into the age and I know Laura Loomer's been big on this and shout out to her she's a savage she's a warrior but coming down to the point where you know we have to identify who's who we have to expose turncoats we have to expose traitors we have to expose those that claim to be on our side that are standing right behind us and shoot us right in the back of the head
[02:15:55.467 --> 02:16:00.849]  When it comes down to the point when they should actually be who they said they would, but they won't because they're afraid.
[02:16:00.889 --> 02:16:01.629]  They'll capitulate.
[02:16:01.649 --> 02:16:02.329]  We'll be right back.
[02:16:02.950 --> 02:16:10.412]  People call into the show and they say, we really want to thank you for not giving up.
[02:16:10.832 --> 02:16:12.433]  We want to thank you for staying on air.
[02:16:13.373 --> 02:16:14.514]  And I want to explain something.
[02:16:14.594 --> 02:16:17.675]  It's you, the viewer and listener, that decide that.
[02:16:19.079 --> 02:16:21.942]  And I get tuning into reality and tuning into what's really happening.
[02:16:22.342 --> 02:16:24.964]  It's something I don't even want to do myself, but I'm forced to do it.
[02:16:25.264 --> 02:16:28.968]  And we've been proven that our view of reality and what's happening in the world is what's happening.
[02:16:30.209 --> 02:16:32.471]  So people ask me, thanks for not giving up.
[02:16:33.992 --> 02:16:38.756]  I want to say to you, thank you for not giving up.
[02:16:39.537 --> 02:16:47.624]  Because when you give up or you don't realize how important you are and you don't spread the word, pray for the broadcast and support the broadcast, it goes away.
[02:16:50.191 --> 02:16:54.172]  And that's really where we are in this equation.
[02:16:55.773 --> 02:16:58.534]  So I wrote these notes down.
[02:17:00.354 --> 02:17:01.554]  Thank you for not quitting, Alex.
[02:17:02.655 --> 02:17:06.536]  Well, thank you for not quitting, listeners and viewers.
[02:17:07.756 --> 02:17:11.277]  I mean, we're up against the globalists, the New World Order.
[02:17:11.778 --> 02:17:13.618]  And yeah, people fighting it are popular.
[02:17:14.698 --> 02:17:23.872]   But I think because of the glut of media and the tens of thousands of channels, people don't realize that These operations like mine are under massive attack.
[02:17:25.932 --> 02:17:28.773]  And the enemy believes they can cut the head off of these operations.
[02:17:29.753 --> 02:17:34.414]  You won't have any place to coalesce or focus, and you'll be defeated.
[02:17:36.734 --> 02:17:39.895]  So I need everybody to understand that, are you gonna give up?
[02:17:41.755 --> 02:17:43.156]  Are you gonna go along with this?
[02:17:44.696 --> 02:18:04.736]   Because if you don't support our broadcast, if you don't buy the products at FullRestore.com, If you don't go to defendjones.com and make a straight donation so I can pay my bills and I'm upside down, then I am forced to go underground.
[02:18:06.377 --> 02:18:07.257]  And I am forced.
[02:18:10.700 --> 02:18:14.642]  Because you quitting is me quitting.
[02:18:16.704 --> 02:18:20.226]  And I guess I can sit here on air until they put chains on the doors and the lights go out.
[02:18:23.440 --> 02:18:26.402]  And then that'll really show you, oh look, they really shut down.
[02:18:29.484 --> 02:18:39.310]  But the way they've set it up is, I get completely exhausted by the time that even takes place.
[02:18:40.391 --> 02:18:42.452]  So I need your support at DefendJones.com.
[02:18:43.513 --> 02:18:44.133]  I'm in the hold.
[02:18:45.494 --> 02:18:46.895]  Well over a million and a half dollars.
[02:18:48.516 --> 02:18:51.398]  And I don't have ways to pay this stuff.
[02:18:52.242 --> 02:18:57.486]  And if people don't think this shows the value, and people don't think they want to get this on air, then take me out of the game.
[02:18:57.526 --> 02:18:58.166]  I'm ready right now.
[02:18:59.047 --> 02:19:02.189]  And I'm not going to tolerate anybody around me that doesn't realize the war we're in.
[02:19:02.930 --> 02:19:10.936]  We have not had this many of our best-selling products back in stock in years because of supply chain breakdowns and all the rest of the stuff that's going on.
[02:19:11.176 --> 02:19:12.637]  And these are game-changing products.
[02:19:12.657 --> 02:19:14.458]  It's like our information's game-changing.
[02:19:14.498 --> 02:19:15.779]  These products are incredible.
[02:19:16.700 --> 02:19:19.202]  And I'm personally glad that these are now back in stock.
[02:19:20.453 --> 02:19:34.617]  All three of the Infowars Platinum flagship products that have been sold out for months are now back in stock, but a very limited run because we only had a budget to get three or four thousand bottles of each one of these.
[02:19:34.637 --> 02:19:39.078]  I think we got four thousand bottles of the HGH Max Boost that people love so much.
[02:19:40.157 --> 02:19:46.900]  We've got about 4,000 bottles of 1776 testosterone boost that just came in, and we've got about 3,000 bottles of pain MD.
[02:19:47.420 --> 02:19:50.461]  Incredible natural pain reliever situation.
[02:19:51.380 --> 02:19:58.380]   All three of these are back in stock and they're incredible and they fund our operation at InfoWarsTore.com.
[02:19:58.380 --> 02:20:05.380]  Thank you for watching.
[02:20:05.380 --> 02:20:09.380]  A frontal assault on the lies of the New World Order.
[02:20:09.326 --> 02:20:11.326]  It's Alex Jones.
[02:20:11.326 --> 02:20:21.326]  [MUSIC]
[02:20:20.869 --> 02:20:21.630]  Infowarriors.
[02:20:21.710 --> 02:20:22.850]  Infowars.com.
[02:20:23.851 --> 02:20:24.811]  Ban.video.
[02:20:25.771 --> 02:20:27.632]  Infowars Worldwide.
[02:20:27.972 --> 02:20:29.493]  Infowars Worldwide.
[02:20:29.513 --> 02:20:30.753]  The resistance can't be stopped.
[02:20:30.773 --> 02:20:31.394]  You want to know why?
[02:20:32.194 --> 02:20:35.716]  Because you're made in the image of God and God has given you free will.
[02:20:35.996 --> 02:20:39.897]  Where do you think the Founding Fathers got the idea of God-given inalienable rights?
[02:20:40.598 --> 02:20:41.958]  Exactly where that comes from.
[02:20:41.978 --> 02:20:43.639]  That can't be taken from you.
[02:20:44.358 --> 02:20:45.959]  That can't be given to you, by the way.
[02:20:45.979 --> 02:20:47.541]  A lot of people get that wrong.
[02:20:48.161 --> 02:20:51.724]  You can't be given your God-given rights by any human being.
[02:20:51.764 --> 02:20:53.285]  Therefore, they can't be taken away.
[02:20:53.305 --> 02:20:59.330]  You see, this is what the Satanists and the Luciferians and the globalists, the occult, they all know this.
[02:20:59.891 --> 02:21:03.454]  They're all attempting to figure out how to bypass your free will.
[02:21:03.894 --> 02:21:05.495]  That's when demonic possession comes in.
[02:21:05.515 --> 02:21:06.816]  I mean, have you really thought about it?
[02:21:07.617 --> 02:21:09.399]  Ever encountered a demon-possessed person?
[02:21:09.899 --> 02:21:10.519]  Pretty surreal.
[02:21:11.160 --> 02:21:12.181]  Pretty shocking, by the way.
[02:21:13.474 --> 02:21:20.218]  Uh, you know, I don't encourage people to go seek that out, but, you know, when it happens, you're like, oh, damn.
[02:21:20.798 --> 02:21:24.059]  Well, uh, so this is what it, what it, what it, uh, sounds like.
[02:21:24.740 --> 02:21:25.980]  Uh, this is what it looks like.
[02:21:26.561 --> 02:21:32.524]  But I mean, why, why, why, why do demons possess human beings?
[02:21:33.964 --> 02:21:39.173]   Why do they want to fill the shell, which is your body, To take control of your psyche?
[02:21:39.273 --> 02:21:41.855]  To take control of your mental?
[02:21:42.255 --> 02:21:45.318]  To take control of your physical actions and your thinking?
[02:21:45.958 --> 02:21:46.659]  Why do they do that?
[02:21:46.679 --> 02:21:48.120]  Is it to scare you?
[02:21:48.140 --> 02:21:50.201]  Is it to scare everybody watching?
[02:21:51.142 --> 02:21:52.743]  Why is there demonic possession?
[02:21:52.763 --> 02:21:53.664]  Really think about that.
[02:21:53.984 --> 02:21:55.005]  Yes, it's for torture.
[02:21:55.605 --> 02:21:57.347]  It's for the purposes of oppression.
[02:21:57.827 --> 02:21:59.969]  But also it's to bypass your free will.
[02:21:59.989 --> 02:22:01.210]  That's exactly what it does.
[02:22:01.250 --> 02:22:03.912]  I mean, I was a youth pastor for about six years.
[02:22:05.231 --> 02:22:14.659]  And, uh, we dealt with demon-possessed, uh, teenagers, preteens, and, you know, a lot of kids that never believed any of this stuff existed.
[02:22:14.719 --> 02:22:18.522]  Oh, they became believers after they encountered this stuff, I'll tell you that for sure.
[02:22:19.243 --> 02:22:32.174]  Because, uh, once you start encountering these supernatural demonic entities, uh, one concludes, well, then God has to be real, because if that side's real, and, uh, I'm experiencing this, then, uh, Christ!
[02:22:33.237 --> 02:22:34.878]  You know, it happens every day.
[02:22:34.898 --> 02:22:53.894]  It happens every day, but whenever you hear testimony from demonic possessions or people that have experienced this kind of oppression and torture, it's psychological, it's mental, it's spiritual torture, people always describe that they knew that they were still present, but there was someone else in control.
[02:22:53.934 --> 02:22:54.575]  You always hear that.
[02:22:55.702 --> 02:22:59.183]  I was still somewhere there, but I wasn't in control.
[02:22:59.203 --> 02:23:03.624]  I lost total control of my mind, my body, what I was thinking.
[02:23:04.664 --> 02:23:08.525]  And it's as if almost my free will was totally stripped away from me.
[02:23:08.785 --> 02:23:10.866]  And that's a freaky thing to think about, isn't it?
[02:23:11.846 --> 02:23:16.347]  Isn't it a scary thing to think about your free will absolutely stripped away from you?
[02:23:17.368 --> 02:23:22.289]  And you're conscious to at least know it's happening, but there's nothing, there's not a single thing you could do about it.
[02:23:23.638 --> 02:23:35.485]  You see, this is what Satan has always attempted to do, and this is why the New World Order, that are all Antichrist, and Luciferian, and the occult, this is why they all have this singular agenda.
[02:23:35.745 --> 02:23:39.647]  The singular agenda is to bypass your free will.
[02:23:40.547 --> 02:23:49.382]   And they'll attempt to do this through what they call black magic, magic the occult, interfacing manifestations, They'll attempt to do this through their seances.
[02:23:49.422 --> 02:23:55.886]  They'll attempt to do this through interfacing with off-world entities, whether they call it aliens, whether they call it the Star People.
[02:23:55.946 --> 02:23:58.828]  I mean, you see different civilizations throughout human history.
[02:23:58.868 --> 02:24:00.729]  They all have their different versions of this.
[02:24:01.670 --> 02:24:05.172]  And the same end goal is always to bypass the free will of the individual.
[02:24:06.149 --> 02:24:20.318]  So that the entity can come in, direct them, guide them, control and show them advanced wisdom that leads them to advanced technology, or it's in the forms of torment and oppression and mass fear and chaos in the mind.
[02:24:20.938 --> 02:24:22.299]  But ultimately, what's the end game?
[02:24:22.339 --> 02:24:23.840]  It's bypass the free will.
[02:24:24.180 --> 02:24:25.681]  Bypass the free will.
[02:24:26.261 --> 02:24:33.946]  And that's why you're seeing this right now with the World Economic Forum, Nour Yuval Harari, all calling for AI to rewrite the Bible, create a new AI religion.
[02:24:35.225 --> 02:24:42.128]  You use some kind of, you know, brainwave chips to install in the minds of human beings so we could bypass their conscience.
[02:24:42.808 --> 02:24:44.649]  We need VR, a VR economy.
[02:24:44.709 --> 02:24:49.330]  We need an AR system so human beings can jack into a grid and a matrix.
[02:24:50.011 --> 02:24:50.971]  It's for what reason?
[02:24:51.011 --> 02:24:52.652]  So they could bypass your free will.
[02:24:52.932 --> 02:24:53.152]  Why?
[02:24:53.412 --> 02:24:54.733]  I mean, take a look at social media.
[02:24:54.753 --> 02:24:56.473]  That's like a precursor of what's to come.
[02:24:58.294 --> 02:25:00.915]  You have zero control over your social media account.
[02:25:01.627 --> 02:25:04.395]  Because the overlords, they will dictate what you can or cannot say.
[02:25:04.415 --> 02:25:05.258]  It's very simple, right?
[02:25:05.699 --> 02:25:09.108]  You say the wrong thing, they call it hate speech, alright, you get deplatformed, you're gone.
[02:25:09.930 --> 02:25:12.211]  Next level, then they debank you, alright?
[02:25:12.271 --> 02:25:14.192]  You're hate speech, you're a threat to civilization.
[02:25:14.472 --> 02:25:16.293]  We are going to absolutely deplatform you.
[02:25:16.493 --> 02:25:16.973]  You're gone.
[02:25:16.993 --> 02:25:17.833]  We're going to debank you.
[02:25:18.053 --> 02:25:18.574]  You're gone.
[02:25:19.154 --> 02:25:23.275]  And now we're going to deperson you so you don't have an identity and you can't even speak for yourself.
[02:25:23.315 --> 02:25:24.416]  You can't speak to the culture.
[02:25:24.616 --> 02:25:25.796]  You can't speak to society.
[02:25:25.996 --> 02:25:27.417]  You don't get a First Amendment anymore.
[02:25:27.677 --> 02:25:32.759]  And now we're going to weaponize the DOJ and the FBI and the NSA and the three-letter intelligence agencies against you.
[02:25:32.999 --> 02:25:37.141]  And you can't put up a fight or a self-defense because you don't have a voice to even raise a cent for it.
[02:25:38.251 --> 02:25:49.598]  And then we'll absolutely deperson you, we're going to bypass every aspect of your entire life, we're going to throw you in a gulag, and we're going to torture you psychologically until you admit that 2 plus 2 equals 5.
[02:25:51.159 --> 02:26:00.645]  Until you admit that 2 plus 2 equals 5, then have you been effectively reprogrammed and free will bypassed and now we are in total control.
[02:26:00.985 --> 02:26:08.451]   I mean, AI is something that these people are Seriously trying to weaponize and harness against the American people.
[02:26:09.151 --> 02:26:24.976]  I'll tell you right now, the way that the United States of America is going militarily, all gay, woke, homosexual, drag queens in the Navy and all this crap, they're not trying to technologically advance AI to, you know, to combat China, the CCP, or the Iranians, or any threat that's foreign and abroad.
[02:26:25.788 --> 02:26:27.769]  No, they want to weaponize AI to go after us.
[02:26:28.149 --> 02:26:30.430]  Just like the FBI is weaponized to go after us right now.
[02:26:30.671 --> 02:26:31.711]  Are they going after the terrorists?
[02:26:31.731 --> 02:26:32.732]  I'm going to show you guys some stories.
[02:26:32.772 --> 02:26:33.452]  Don't put it up yet.
[02:26:33.472 --> 02:26:34.472]  We're going to get into it.
[02:26:34.492 --> 02:26:36.313]  We got another hour and a half in this show.
[02:26:37.554 --> 02:26:40.676]  FBI already admitting that, oh yeah, there's going to be terrorist threats here.
[02:26:40.776 --> 02:26:41.436]  That's potential.
[02:26:41.476 --> 02:26:44.978]  But, you know, we're not looking at any Islamic terrorists here in the United States.
[02:26:45.438 --> 02:26:46.098]  Oh, I wonder why.
[02:26:46.138 --> 02:26:50.080]  Because they're going after people like Alex Jones, InfoWars, Owen Schroyer.
[02:26:50.260 --> 02:26:53.182]  They're looking into Trump supporters and J6ers and political prisoners.
[02:26:53.956 --> 02:26:56.918]  They're not wasting their time, it's not incompetence, it's all by design.
[02:26:57.858 --> 02:26:58.558]  They're weaponized.
[02:26:59.139 --> 02:27:02.300]  They'll do the same thing, and it's all about bypassing your free will.
[02:27:03.501 --> 02:27:05.242]  Bypassing your free will.
[02:27:05.262 --> 02:27:25.935]   That is the Antichrist, New World Order, Satanic, Luciferian, end game, end goal, which is ultimately to bypass your free will, so you absolutely give over your conscience, and you give over your own decisions, and you put it in the hands of the Luciferians, take the mark of the beast, Salute to Lucifer forever.
[02:27:26.075 --> 02:27:30.137]  That's a signification of your worshiping the Antichrist as God when that all goes down.
[02:27:31.038 --> 02:27:35.600]  And therefore the endgame is eternal damnation and the destruction of your soul and hell forever.
[02:27:35.901 --> 02:27:37.762]  That is why they need to bypass your will.
[02:27:38.522 --> 02:27:40.123]  Yes, it's about violating your freedom.
[02:27:40.483 --> 02:27:41.924]  It's about stripping you of your rights.
[02:27:42.927 --> 02:27:45.669]  It's about attempting to strip you of your God-given free will.
[02:27:45.709 --> 02:27:49.812]  God has given you the free will to choose good or evil.
[02:27:49.872 --> 02:27:56.417]  God has given you the free will to choose His Son, Jesus Christ, or your father, the devil.
[02:27:56.877 --> 02:27:57.718]  It's your choice.
[02:27:57.798 --> 02:27:58.778]  No one's going to force you.
[02:28:00.139 --> 02:28:00.800]  God is love.
[02:28:00.860 --> 02:28:01.740]  God is not rape.
[02:28:02.321 --> 02:28:02.641]  Okay?
[02:28:02.681 --> 02:28:03.442]  God is love.
[02:28:04.623 --> 02:28:07.164]  Because God is love, God gives humanity a choice.
[02:28:07.184 --> 02:28:08.305]  You get to choose, man.
[02:28:08.926 --> 02:28:10.767]  You get to choose what side you want to be on.
[02:28:11.633 --> 02:28:13.975]  You get to choose what your eternal destination is.
[02:28:14.775 --> 02:28:19.899]  You get to choose whether you're going to side with Lucifer or you're going to side with the Son of God, Jesus Christ.
[02:28:19.939 --> 02:28:20.880]  It's all up to you, man.
