[00:00:00.409 --> 00:00:05.912]  The Doomsday Clock was established in the 1950s to warn of the danger of nuclear war.
[01:27:51.629 --> 01:27:57.814]  Like under my pecs, my belly, I'm just taking diet force two tablets a day.
[01:27:57.934 --> 01:28:03.221]   Man, if you're like struggling to get Like, chip shake for the ladies.
[01:28:03.602 --> 01:28:05.863]  Mate, DietForce is the go.
[01:28:06.323 --> 01:28:08.945]  You have to get the DietForce and have two a day.
[01:28:09.225 --> 01:28:10.887]  And just keep at it.
[01:28:10.987 --> 01:28:12.268]  InfoWarsStore.com.
[01:28:12.488 --> 01:28:13.789]  X7 DietForce.
[01:28:13.889 --> 01:28:15.610]  InfoWarsStore.com, baby!
[01:28:16.871 --> 01:28:18.172]  Now on sale.
[01:28:18.392 --> 01:28:19.092]  We're cutting that ad.
[01:28:19.112 --> 01:28:20.353]  We're cutting that call into an ad.
[01:28:20.393 --> 01:28:21.154]  I can guarantee you that.
[01:28:21.194 --> 01:28:22.875]  Thanks so much for the call, Grant.
[01:28:23.195 --> 01:28:24.496]  God bless Australia.
[01:28:24.736 --> 01:28:25.817]  We'll be right back, folks.
[01:28:25.857 --> 01:28:26.437]  Don't go anywhere.
[01:28:26.477 --> 01:28:27.498]  InfoWarsStore.com.
[01:28:27.558 --> 01:28:28.158]  DietForce.
[01:28:27.978 --> 01:28:28.978]  Get it now.
[01:28:28.978 --> 01:28:37.978]  [Music]
[01:28:37.978 --> 01:28:38.978]  [Static]
[01:28:38.978 --> 01:28:40.978]  Hello Americans, I'm Paul Harvey.
[01:28:41.237 --> 01:28:44.040]  If I were the devil.
[01:28:44.080 --> 01:28:47.704]  If I were the prince of darkness, I'd want to engulf the whole world in darkness.
[01:28:48.264 --> 01:28:51.527]  And I'd have a third of its real estate and four-fifths of its population.
[01:28:51.567 --> 01:28:54.671]  But I wouldn't be happy until I had seized the ripest apple on the tree.
[01:28:57.735 --> 01:29:00.776]  So I set about however necessary to take over the United States.
[01:29:00.836 --> 01:29:04.557]  President Kennedy has been seriously wounded by the shooting.
[01:29:04.697 --> 01:29:06.017]  I'd subvert the churches first.
[01:29:06.137 --> 01:29:07.958]  I'd begin with a campaign of whispers.
[01:29:08.258 --> 01:29:11.679]  With the wisdom of a serpent I would whisper to you as I whispered to Eve.
[01:29:11.919 --> 01:29:12.559]  Do as you please.
[01:29:12.579 --> 01:29:15.240]  To the young I would whisper that the Bible is a myth.
[01:29:15.660 --> 01:29:19.161]  I would convince them that man created God instead of the other way around.
[01:29:19.541 --> 01:29:23.162]  I would confide that what's bad is good and what's good is square.
[01:29:23.602 --> 01:29:25.063]  And the old I would teach to pray.
[01:29:26.744 --> 01:29:29.085]  Our father, witch art in Washington.
[01:29:29.985 --> 01:29:31.126]  And then I'd get organized.
[01:29:31.206 --> 01:29:37.189]  I'd educate authors in how to make lurid literature exciting so that anything else would appear dull and uninteresting.
[01:29:37.250 --> 01:29:40.391]  I'd threaten TV with dirtier movies and vice versa.
[01:29:40.671 --> 01:29:42.372]  I'd peddle narcotics to whom I could.
[01:29:42.432 --> 01:29:45.454]  I'd sell alcohol to ladies and gentlemen of distinction.
[01:29:45.734 --> 01:29:47.555]  I'd tranquilize the rest with pills.
[01:29:49.236 --> 01:30:00.747]  If I were the devil, I'd soon have families at war with themselves, churches at war with themselves, and nations at war with themselves, until each in its turn was consumed.
[01:30:00.928 --> 01:30:04.511]  And with promises of higher ratings, I'd have mesmerizing media fanning the flames.
[01:30:05.752 --> 01:30:08.695]  The President of the United States is racist.
[01:30:08.815 --> 01:30:14.740]  If I were the devil, I would encourage schools to refine young intellects, but neglect the disciplined emotions.
[01:30:14.800 --> 01:30:16.081]  Just let those run wild.
[01:30:16.121 --> 01:30:18.143]  Within a decade, I'd have prisons overflowing.
[01:30:18.423 --> 01:30:20.365]  I'd have judges promoting pornography.
[01:30:20.385 --> 01:30:26.450]  Soon I could evict God from the courthouse, then from the schoolhouse, and then from the houses of Congress.
[01:30:26.550 --> 01:30:29.612]  And in his own churches, I would substitute psychology for religion.
[01:30:31.626 --> 01:30:36.448]  I would lure priests and pastors into misusing boys and girls and church money.
[01:30:36.888 --> 01:30:44.171]  If I were the devil, I'd take from those who have and give to those who wanted until I had killed the incentive of the ambitious.
[01:30:45.761 --> 01:30:47.402]  I would caution against extremes.
[01:30:47.462 --> 01:30:48.363]  I'm here to warn people!
[01:30:48.443 --> 01:30:49.984]  You keep telling me to shut up!
[01:30:50.284 --> 01:30:51.184]  This isn't a game!
[01:30:51.364 --> 01:31:02.331]  In hard work, in patriotism, in moral conduct, I would convince the young that marriage is old-fashioned, that swinging is more fun, that what you see on TV is the way to be.
[01:31:03.051 --> 01:31:11.456]  And thus I could undress you in public, and I could lure you into bed with diseases for which there is no cure.
[01:31:11.336 --> 01:31:14.836]   In other words, if I were the devil, I'd just keep right on doing what he's doing.
[01:31:14.836 --> 01:31:35.336]  Now you know...
[01:31:35.336 --> 01:31:37.836]  the rest of the story.
[01:31:38.818 --> 01:31:41.019]  I want you to get up now.
[01:31:41.860 --> 01:31:44.341]  I want all of you to get up out of your chairs.
[01:31:45.672 --> 01:31:56.003]  I want you to get up right now and go to the window, open it, and stick your head out and yell, I'M AS MAD AS HELL AND I'M NOT GONNA TAKE THIS ANYMORE!
[01:31:57.249 --> 01:31:58.689]  I want you to get up right now!
[01:31:58.930 --> 01:32:03.051]  Stick your head out of the window, open it and stick your head out and keep yelling and yell!
[01:32:03.411 --> 01:32:04.871]  I'm as mad as hell!
[01:32:05.091 --> 01:32:06.692]  I'm not gonna take this anymore!
[01:32:07.152 --> 01:32:09.632]  Just get up from your chairs, right now!
[01:32:09.692 --> 01:32:10.533]  Go to the window!
[01:32:10.633 --> 01:32:11.393]  Where are you going?
[01:32:11.473 --> 01:32:12.613]  I wanna see if anybody's yelling!
[01:32:12.633 --> 01:32:15.974]  Open it and stick your head out and yell and keep yelling!
[01:32:15.814 --> 01:32:22.814]   I'm not going to take this anymore! I'm not going to take it anymore! I made a deal! I'm not going to take it anymore!
[01:32:22.814 --> 01:32:29.814]   I'm not going to take it anymore! I made a deal! I'm not going to take it anymore!
[01:32:29.261 --> 01:32:30.621]  I'm mad as hell and I'm not going to take it anymore!
[01:32:34.202 --> 01:32:35.342]  I'm mad as hell and I'm not going to take it anymore!
[01:32:37.863 --> 01:32:39.203]  I'm mad as hell and I'm not going to take it anymore!
[01:32:41.843 --> 01:32:44.684]  I'm mad as hell and I'm not going to take it anymore!
[01:32:44.744 --> 01:32:46.664]  I'm mad as hell and I'm not going to take it anymore!
[01:32:46.484 --> 01:32:49.484]  from the front lines of the InfoWar.
[01:32:49.484 --> 01:33:07.484]  This is Uncle Sam with Music and the Truth until dawn.
[01:33:07.621 --> 01:33:11.263]  Right now I've got a few words for some of our brothers and sisters in the occupied zones.
[01:33:11.683 --> 01:33:13.344]  The chair is against the wall.
[01:33:13.904 --> 01:33:15.545]  John has a long mustache.
[01:33:15.605 --> 01:33:18.167]  This is the heart of 1776.
[01:33:18.967 --> 01:33:21.729]  It's 12 o'clock Americans, another day closer to victory.
[01:33:21.548 --> 01:33:26.548]   And for all of you out there on or behind the lines, this is your song.
[01:33:26.548 --> 01:33:33.548]  [Music]
[01:33:33.548 --> 01:33:35.548]  [Beep]
[01:33:35.548 --> 01:33:39.548]   Alright, he's going to host with us a little bit in the next hour.
[01:33:40.440 --> 01:33:49.327]  And it's on the heels of Dr. Michael Yeadon, former vice president, head of their whole division over there at Pfizer, just knocking it out of the park.
[01:33:49.927 --> 01:33:51.309]  And of course, it's Dr. Peter McCullough.
[01:33:51.709 --> 01:33:52.590]  He's been demonized.
[01:33:52.650 --> 01:33:53.350]  He's been sued.
[01:33:53.410 --> 01:33:54.071]  He's been attacked.
[01:33:54.131 --> 01:33:54.832]  He's just like me.
[01:33:55.252 --> 01:33:56.913]  He doesn't spend time on those attacks.
[01:33:56.933 --> 01:33:58.194]  He keeps moving the ball down the field.
[01:33:58.695 --> 01:33:59.796]  And I know you want to get in.
[01:34:00.556 --> 01:34:02.157]  To the NFL player collapsing.
[01:34:02.178 --> 01:34:04.119]  I know you want to get into all the sudden death and statistics.
[01:34:04.139 --> 01:34:04.680]  We're going to do that.
[01:34:05.360 --> 01:34:08.222]  But Yeadon didn't even want to... It's not about tooting your horn.
[01:34:08.262 --> 01:34:13.006]  It's about you guys, two plus years ago, called all this a scientist.
[01:34:13.046 --> 01:34:14.107]  You've been vindicated.
[01:34:14.507 --> 01:34:15.688]  Elon Musk said he got sick.
[01:34:15.728 --> 01:34:17.650]  His cousin had myocarditis, almost died.
[01:34:18.190 --> 01:34:21.413]  You've got the government coming out saying maybe we shouldn't do boosters.
[01:34:22.054 --> 01:34:24.255]  We've got all these rats leaving the sinking ship.
[01:34:24.576 --> 01:34:34.127]   Can you talk about Vindication, the signals you saw two and a half years ago, three years ago, your predictions of what would happen, it all came true, and then now...
[01:34:35.342 --> 01:34:37.042]  We gotta prosecute, we gotta move forward.
[01:34:37.062 --> 01:34:39.743]  So give us the 35,000 foot view first.
[01:34:39.983 --> 01:34:45.445]  Right, well, I recently made a stage presentation at Clay Clark's Reawaken America.
[01:34:46.065 --> 01:34:48.246]  On stage, Michael Flynn in the back.
[01:34:48.986 --> 01:35:05.796]   And I told America, three years into this, I've given more public comments and more analysis On video than Fauci, Walensky, Shah, Murthy, Harris, Biden combined.
[01:35:06.776 --> 01:35:10.638]  I've actually given more media analysis than them combined.
[01:35:10.938 --> 01:35:17.921]  And one thing you will not find on me is a highlight reel of me flipping and flopping and flipping and flopping.
[01:35:18.801 --> 01:35:29.667]  On important issues, I've been accurate, I've been consistent with America, and I've evolved my analyses as the pandemic data have unfolded.
[01:35:30.007 --> 01:35:40.132]  Dr. Yadin and doctors in my circles, we've been completely accurate on this, from spread of the virus, on early treatment and the principles of early treatment.
[01:35:40.892 --> 01:35:57.222]  On the deficiencies in hospital care and the hospital is simply too late to save patients and now on the horrendous data we're seeing on the safety of the vaccines and its loss of really any theoretical efficacy as we sit here today.
[01:35:57.482 --> 01:36:03.346]  We are now in the midst of the BQ and XBB Omicron variants.
[01:36:03.866 --> 01:36:08.189]  The bivalent boosters have no theoretical coverage of these variants.
[01:36:08.949 --> 01:36:12.533]  And we have a situation, Alex, in China, where China is actually making things worse.
[01:36:12.973 --> 01:36:23.944]  China's had a Chinese menu of 12 different vaccines, mainly killed virus and antigen-based vaccines, and all they've done is they've been an incubator for variants.
[01:36:24.545 --> 01:36:32.211]  And I know you want to go to the next level of this, but let's talk about some of the victories for listeners, because they trust you, they know you, they know you predicted it all, you're incredible.
[01:36:33.312 --> 01:36:35.433]  It's Dr. Yidan, it's you, and it's Robert Malone.
[01:36:35.473 --> 01:36:38.295]  You guys are the three guys out there.
[01:36:38.636 --> 01:36:47.482]  It's not about credit, but you've been the hardest working of the three, and they've all been very hard working, and you guys have literally helped steer the world out of this with everything you've done.
[01:36:47.502 --> 01:36:49.684]  I can track it right back to you guys and our audience as well.
[01:36:49.704 --> 01:36:54.731]   It's not about credit, but it's about you're a leader, you've won, So that's how humans act.
[01:36:54.751 --> 01:36:56.638]  We hand the ball to the guy that steered us right.
[01:36:58.516 --> 01:37:06.422]  What is it like to see, I mean, Elon Musk retweeting you and you're getting, you know, not hundreds of thousands, but tens of millions of people on your tweets.
[01:37:06.502 --> 01:37:11.626]  I mean, it is, I see that and I just cheer how incredible that is.
[01:37:11.666 --> 01:37:14.609]  What is it like for the two and a half years of hell you've gone through?
[01:37:14.629 --> 01:37:17.511]  You don't talk about it, but you, off air, the persecution.
[01:37:18.152 --> 01:37:20.613]  It's got to be satisfying to have sacrificed so much.
[01:37:21.154 --> 01:37:23.876]  So many people that sacrifice never see the liberty of their lifetime.
[01:37:24.196 --> 01:37:25.497]  They hope it works in the future.
[01:37:25.778 --> 01:37:27.179]  You're getting to see huge victory now.
[01:37:27.884 --> 01:37:34.867]  You know, I was suspended for Twitter for two months, and on some days I was number one.
[01:37:35.007 --> 01:37:44.572]  I was trending as the hashtag number one ahead of the World Cup on some days, and so it was obvious the world wanted my analysis, my opinion.
[01:37:44.632 --> 01:37:46.133]  It's been enormously gratifying, Alex.
[01:37:46.193 --> 01:37:46.913]  I'll just tell you this much.
[01:37:46.933 --> 01:37:47.873]  I told you God's real.
[01:37:47.933 --> 01:37:49.274]  I mean, you're the underdog.
[01:37:49.514 --> 01:37:50.435]  It's been gratifying.
[01:37:50.875 --> 01:37:52.796]  The principles of early treatment.
[01:37:53.796 --> 01:38:02.339]  As I originally proposed, but it wasn't just me, it was Vladimir Zelenko, Pierre Corey, Paul Merrick, there's a team of worldwide heroes, Didier Rialt in France.
[01:38:02.860 --> 01:38:04.860]  Listen, this is a worldwide effort.
[01:38:05.281 --> 01:38:13.284]  The principles of early treatment, we believe, have spared millions of lives and tens of millions of hospitalizations.
[01:38:13.304 --> 01:38:16.385]  I mean, this is... As long as I hear protocols, my dad would have died.
[01:38:16.465 --> 01:38:17.186]  Yeah, it's massive.
[01:38:17.526 --> 01:38:18.727]  It's absolutely massive.
[01:38:19.388 --> 01:38:26.055]  As we work through four to six drugs, we've largely figured this out.
[01:38:26.095 --> 01:38:28.918]  Still one of the most dynamic drugs we have is Ivermectin.
[01:38:29.338 --> 01:38:32.501]  Forty-five randomized trials, all small.
[01:38:33.542 --> 01:38:35.023]  All showing a signal of benefit.
[01:38:35.083 --> 01:38:37.245]  Roughly a 50% reduction in mortality.
[01:38:37.565 --> 01:38:41.148]  Completely concordant with the ICON study.
[01:38:41.228 --> 01:38:47.873]  One of the original studies was a multi-center, prospective, comparative study by Zhezhe Roster and his wife in Florida.
[01:38:48.273 --> 01:38:49.334]  American data.
[01:38:49.935 --> 01:38:50.655]  Ivermectin.
[01:38:50.955 --> 01:38:52.517]  Published in one of the best journals, CHESS.
[01:38:53.746 --> 01:39:00.989]  Now confirmed and actually vindicated in the full breadth of data on Ivermectin, one of many useful drugs we treat the condition.
[01:39:01.089 --> 01:39:02.629]  And again, I go back to vindication.
[01:39:02.749 --> 01:39:08.071]  Yes, you're vindicated on saving lives and exposing the shot, but it's all coming out that it doesn't work.
[01:39:08.111 --> 01:39:08.692]  It's all coming out.
[01:39:08.712 --> 01:39:09.272]  It hurts people.
[01:39:09.612 --> 01:39:10.252]  It's all coming out.
[01:39:10.292 --> 01:39:10.872]  They covered it up.
[01:39:10.912 --> 01:39:11.493]  It's all coming off.
[01:39:11.533 --> 01:39:12.413]  They had secret agreements.
[01:39:12.733 --> 01:39:16.314]  You said all that years ago, but now it's definitely turning against them.
[01:39:16.655 --> 01:39:17.475]  What do you make of that?
[01:39:17.975 --> 01:39:18.815]  Well, it's so true.
[01:39:18.835 --> 01:39:31.339]  You know, I am under review by the American Board of Internal Medicine for a bogus COVID misinformation policy as they were colluding with Pfizer and Moderna through Weber, Shandwick, their PR firm.
[01:39:31.639 --> 01:39:37.481]  One of the things the board had challenged me on is the number of deaths due to the vaccine out.
[01:39:37.501 --> 01:39:38.421]  It's the number of deaths.
[01:39:38.441 --> 01:39:40.042]  This is very important today.
[01:39:40.922 --> 01:40:02.899]  In BMC Infectious Diseases, a highly cited peer-reviewed manuscript, Dr. Mark Skidmore, Michigan State University, valid survey, asking people what they know about the vaccine, how many people in their constellation do they know are injured or worse, his estimates based on very good social science research.
[01:40:03.440 --> 01:40:04.221]  This is astounding.
[01:40:04.861 --> 01:40:23.521]  Through December of 2021, Alex, 289,000 Americans estimated to lose their life to the COVID-19 vaccine, completely concordant with Pantazatos and Seligman from Colombia using a different methodology, which was COVID administration data and U.S.
[01:40:23.541 --> 01:40:24.142]  Census data.
[01:40:24.402 --> 01:40:25.063]  They came up with 287.
[01:40:27.065 --> 01:40:30.826]  Two totally different studies using different methodology hitting the same point.
[01:40:30.846 --> 01:40:32.487]  On December of 2021.
[01:40:32.827 --> 01:40:33.968]  Now carry this forward.
[01:40:34.308 --> 01:40:35.528]  Just a whole year has gone by.
[01:40:35.928 --> 01:40:44.992]  We now have in the CDC virus system, the CDC is certifying over 16,000 Americans that have died after the vaccine.
[01:40:45.912 --> 01:40:48.814]  I think 22% within the first 48 hours.
[01:40:48.874 --> 01:40:50.054]  Very tightly related.
[01:40:50.094 --> 01:40:51.555]  So now a long tail of deaths.
[01:40:52.135 --> 01:40:54.916]  The accepted underreporting ratio.
[01:40:55.176 --> 01:40:59.416]   for VAERS because we put on the vaccine card and all the data we can't report and many
[01:40:59.416 --> 01:41:01.975]  patients die at home and or die in the ambulance.
[01:41:01.975 --> 01:41:03.136]  We don't have a card.
[01:41:03.136 --> 01:41:07.775]  The underreporting factor is 30 30 times 16000.
[01:41:07.775 --> 01:41:14.296]   We're talking north of 450,000 Americans is our best estimate that have died after the
[01:41:14.296 --> 01:41:15.296]  COVID.
[01:41:15.296 --> 01:41:18.615]   And I think that's conservative because I know so many people like Ernest Ramirez and
[01:41:18.615 --> 01:41:23.215]   others they get contacted by FEMA and the government saying change your story.
[01:41:23.215 --> 01:41:25.776]  You did not your son didn't die from this.
[01:41:25.776 --> 01:41:30.895]   But you know we have to wonder where is the outrage from the parents who've lost children
[01:41:30.895 --> 01:41:34.416]  from relatives people in close family circles.
[01:41:34.988 --> 01:41:36.729]  Case after case after case.
[01:41:36.909 --> 01:41:40.091]  You know, the very first one, public figure, was Hank Aaron.
[01:41:40.771 --> 01:41:49.957]  Hank Aaron took the vaccine, former baseball great, he dies a few days later, and the press had actually disconnected those two on the press release.
[01:41:49.977 --> 01:41:51.978]  And through 2021, we had prominent figures.
[01:41:52.258 --> 01:42:03.025]  Sometimes the press release said they died of the vaccine, like Midwin Charles, CNN correspondent on a beautiful African-American woman, takes the vaccine, dies, and the press report says she died of the vaccine.
[01:42:03.365 --> 01:42:10.707]   What about, what about William Shakespeare, that was his name, the first man to take it in the UK, he died.
[01:42:11.487 --> 01:42:14.089]  Yeah, I didn't know that, but there's been challenges.
[01:42:14.129 --> 01:42:22.015]  How about the fitness weightlifter instructor who said, listen, if the vaccine is safe, I'll take it and I live.
[01:42:22.095 --> 01:42:24.496]  But if it's unsafe and I take it and I die, it's not safe.
[01:42:24.957 --> 01:42:25.497]  And he dies.
[01:42:25.837 --> 01:42:27.599]  You mentioned now Elon Musk coming out.
[01:42:27.899 --> 01:42:28.259]  Stay there.
[01:42:28.319 --> 01:42:28.759]  Let's come back.
[01:42:28.779 --> 01:42:30.361]  Do you want to talk about the NFL player that collapsed?
[01:42:30.981 --> 01:42:31.321]  Let's do it.
[01:42:31.341 --> 01:42:32.182]  Let's talk about that.
[01:42:32.242 --> 01:42:35.345]  But you are dominating right now, and it is powerful.
[01:42:35.365 --> 01:42:37.147]  Dr. Peter McCullough, totally vindicated.
[01:42:37.167 --> 01:42:38.929]  He's going to tell us what's coming next.
[01:42:39.389 --> 01:42:41.031]  Straight ahead, InfoWars.com.
[01:42:41.331 --> 01:42:42.452]  Tomorrow's news today.
[01:42:42.332 --> 01:42:43.332]  Stay with us.
[01:42:43.332 --> 01:42:58.332]  Shame on you! Shame on you! Shame on you!
[01:42:58.332 --> 01:43:02.332]  BBC, the lying liars of lies.
[01:43:10.332 --> 01:43:23.332]  Take down the BBC!
[01:43:23.332 --> 01:43:25.411]  (static)
[01:43:24.702 --> 01:43:29.964]  So, 50-60,000 people get outside the BBC this weekend and protest the vaccine deaths.
[01:43:29.984 --> 01:43:33.625]  They take thousands of photos of people that die from the shot on the windows.
[01:43:33.725 --> 01:43:34.946]  Zero coverage.
[01:43:34.966 --> 01:43:43.989]  Doc, I know you want to get into the science and warn people about what's coming next, but please, for the listeners and viewers, you were saying some powerful things during the break about the globalists are really angry right now.
[01:43:44.549 --> 01:43:58.591]   You know, they have to be wondering how in the world could such a small group of people With limited resources change world history but in fact that's happening and it's the power of the truth.
[01:43:58.771 --> 01:44:01.153]  You heard Michael Yadin say kryptonite.
[01:44:01.654 --> 01:44:04.236]  He is and that's the same word I used when I went on Joe Rogan.
[01:44:04.276 --> 01:44:06.118]  I set all the records for his show.
[01:44:06.378 --> 01:44:11.203]  That the bottom line is the truth is like kryptonite at this point in time and you can't stop it.
[01:44:11.283 --> 01:44:12.444]  Look at the protesters.
[01:44:12.984 --> 01:44:24.159]  Outside the BBC headquarters, you know, with their signs, and this is a human outrage occurring, and it's occurring at the end of a hypodermic needle.
[01:44:24.220 --> 01:44:29.347]  What we know now is the deaths that are occurring after vaccination are broad.
[01:44:29.747 --> 01:44:30.787]  They're worldwide.
[01:44:31.068 --> 01:44:34.089]  They're occurring with all forms of the vaccine, Alex.
[01:44:34.189 --> 01:44:37.430]  And on December 7th, 2022, in the U.S.
[01:44:37.470 --> 01:44:45.313]  Senate, I concluded the Senate panel on vaccination with the call to remove all vaccines from the market.
[01:44:45.493 --> 01:44:46.673]  None are safe for human use.
[01:44:49.254 --> 01:44:49.814]  Incredible.
[01:44:49.874 --> 01:44:52.275]  So I know you want to get into current science and current warnings.
[01:44:52.315 --> 01:44:57.126]   You're always about the future, but How big, what do you make of this capitulation?
[01:44:57.146 --> 01:45:09.402]  I mean, everybody from Scott Adams to just thousands of other prominent pro-vaxxers coming out and saying we were wrong, you were right, we were set up, all the news confirming death and heart attacks, the FDA, CDC having to admit there's connections to it.
[01:45:09.422 --> 01:45:11.965]  I mean, how would you quantify that?
[01:45:12.574 --> 01:45:20.201]  You know, the change is, it was clearly going to happen because this can't go on forever.
[01:45:20.541 --> 01:45:24.245]  The sad thing is how many people have been damaged with these vaccines.
[01:45:24.785 --> 01:45:32.172]   On my Substack Courageous Discourse this week, Alex, I summarized a paper by Wu and colleagues From the US FDA.
[01:45:32.232 --> 01:45:33.173]  This is astonishing.
[01:45:33.213 --> 01:45:40.758]  This is from the US FDA and it is concerning the use of the Janssen vaccine in the United States and blood clots.
[01:45:41.158 --> 01:45:45.881]  And they describe thousands upon thousands of cases of blood clots in Americans.
[01:45:46.402 --> 01:45:49.424]  Some of them, Alex, the blood clots go from the ankle to the hip.
[01:45:49.804 --> 01:45:50.765]  This is astonishing.
[01:45:50.805 --> 01:45:54.649]  These are monster blood clots and 11% of the cases were fatal.
[01:45:54.890 --> 01:45:57.132]  This isn't a published manuscript by the FDA.
[01:45:57.533 --> 01:46:05.962]  What's the difference between me and the CNN commentators is that I'm fairly evaluating this and I'm bringing it forward to America and telling America the truth.
[01:46:05.982 --> 01:46:07.604]  Continue please.
[01:46:08.598 --> 01:46:25.326]  What we know is that through a series of studies now, and critical autopsy studies, one from Heidelberg, Germany by Schwab and colleagues, the other one by Chavez from Colombia, two different parts of the world, they're looking at patients who have died after the vaccine.
[01:46:25.806 --> 01:46:29.948]  So they've died and the families have called for autopsies, the coroners called for autopsies.
[01:46:30.408 --> 01:46:38.871]   They have found in both studies concordant results between 70 and 80 percent of the deaths are directly due to the vaccines.
[01:46:38.871 --> 01:46:41.391]  They find a fatal blood clot.
[01:46:41.391 --> 01:46:44.391]   And the FDA and all the agencies agree the vaccines cause blood clots.
[01:46:44.391 --> 01:46:51.730]   They say find fatal heart damage, myocarditis, and a cardiac source of death.
[01:46:51.730 --> 01:46:56.670]  Or they find devastating stroke or intracranial hemorrhage.
[01:46:56.670 --> 01:46:59.350]  So the autopsy studies now are coming in.
[01:46:59.715 --> 01:47:01.637]  They're implicating the vaccines.
[01:47:01.717 --> 01:47:06.760]  The regulatory agencies say the vaccines cause heart damage, neurologic damage, and blood clots.
[01:47:07.241 --> 01:47:14.286]  And this leads us up to the case of Damar Hamlin, who has a cardiac arrest on the field.
[01:47:15.006 --> 01:47:21.652]   The Monday night football game, last game of the year, Bills versus Cincinnati, The NFL has never shut down a game before.
[01:47:21.692 --> 01:47:27.038]  This is the first time in history the NFL has a wonderful track record in terms of cardiovascular safety.
[01:47:27.338 --> 01:47:33.926]  The players are screened for hypertrophic cardiomyopathy, valvular disease, significant heart disease.
[01:47:33.946 --> 01:47:38.410]  They're all from a cardiovascular perspective in great shape when they get on the field.
[01:47:39.291 --> 01:47:50.154]  And what I told Tucker Carlson within 24 hours of the event, later on a week later, Laura Ingram, both on Fox News, I told them there's a straight line of understanding here.
[01:47:50.655 --> 01:47:58.557]  That in early 2021, the White House and HHS announced the COVID Community Core Funding Program.
[01:47:59.077 --> 01:48:04.139]  $13 billion go to a whole variety of organizations in the United States to push the vaccines.
[01:48:04.479 --> 01:48:13.042]   Prominently, the NFL takes our taxpayer dollars Then in June of 2021, the FDA says the vaccines cause heart damage.
[01:48:13.702 --> 01:48:17.123]  Then in August of 2021, the NFL says they're going to have a mandate.
[01:48:17.163 --> 01:48:18.143]  The players don't want it.
[01:48:18.523 --> 01:48:19.584]  NFL forces on.
[01:48:19.904 --> 01:48:23.605]  They run the mandates and the vaccines from August of 2021 to March of 2022.
[01:48:24.205 --> 01:48:25.626]  Then they drop everything.
[01:48:25.826 --> 01:48:26.846]  They drop the vaccines.
[01:48:26.866 --> 01:48:28.707]  They drop all the COVID testing protocols.
[01:48:29.027 --> 01:48:35.209]  And the NFL says that 95% of players have taken the vaccine, but prominently Aaron Rodgers doesn't take it.
[01:48:35.668 --> 01:48:41.988]   uh... uh... uh... you cold easily doesn't take it uh... we have you know prominent players who don't take a
[01:48:41.988 --> 01:48:44.628]   lot of the senior superstar players don't take it
[01:48:44.628 --> 01:48:48.268]   no cam newton gets forced out of his job in a page as he doesn't take it
[01:48:48.268 --> 01:48:52.068]   and stop the top of the tennis player doesn't know that joke about doesn't
[01:48:52.510 --> 01:48:53.351]  Kyrie Irving.
[01:48:53.631 --> 01:48:57.336]  You know, these guys basically, Kirk Cousins, another quarterback, doesn't take it.
[01:48:57.756 --> 01:48:59.358]  So we have this situation, this tension.
[01:48:59.398 --> 01:49:00.960]  A lot of the young guys probably take it.
[01:49:01.721 --> 01:49:07.268]  Demar Hamlin, young player for the Bills, early in the game, makes his tackle.
[01:49:08.048 --> 01:49:12.171]  And we have a situation now where he gets up about just his helmet.
[01:49:12.191 --> 01:49:14.712]  He recovers and then he passes out.
[01:49:14.732 --> 01:49:15.573]  He has a cardiac arrest.
[01:49:15.633 --> 01:49:16.253]  I saw it live.
[01:49:16.313 --> 01:49:19.275]  I was contacting my colleagues on this.
[01:49:20.676 --> 01:49:21.737]  He got CPR.
[01:49:22.277 --> 01:49:23.658]  Wonderful resuscitation on the field.
[01:49:23.678 --> 01:49:25.659]  The AED says shockable rhythm.
[01:49:25.920 --> 01:49:26.380]  He's shocked.
[01:49:26.680 --> 01:49:28.101]  He has a little bit of motion afterwards.
[01:49:28.121 --> 01:49:30.262]  That tells me he's going to recover.
[01:49:31.543 --> 01:49:39.608]  He's stable in the paramedic unit in the tunnel, and they wait to get his mom out of the stand, so that's another indicator to America that he's going to be okay.
[01:49:39.628 --> 01:49:40.669]  He gets to the hospital.
[01:49:40.969 --> 01:49:42.390]  I tell Tucker he's going to survive.
[01:49:43.170 --> 01:49:52.576]  They're going to quickly rule out heart abnormalities in terms of hypertrophic cardiomyopathy, valvular disease again, electrolyte abnormalities, other things quickly.
[01:49:53.316 --> 01:49:57.079]  And then when they have their press conference, they literally say, we don't know what caused it.
[01:49:57.859 --> 01:50:11.919]  I told Tucker that I told Laura as a cardiologist if he was my patient the first thing I'd think of is COVID-19 vaccine-induced myocarditis and a small scar and then a cardiac arrest related to this because it's happening in the peer-reviewed literature.
[01:50:12.299 --> 01:50:14.422]  Why does it hit prime athletes so hard?
[01:50:15.123 --> 01:50:22.549]  We think it's part, well hey, it hits 90% men and 10% women, so it has something to do with the androgen receptors in the heart.
[01:50:22.829 --> 01:50:29.715]  But importantly, it may be athletes because of myocardial blood flow and the hemodynamic demands that they have.
[01:50:30.315 --> 01:50:33.397]  And we know the lipid nanoparticles definitely go in the heart.
