[00:00:00.149 --> 00:00:01.670]  So this is now in our country, folks.
[01:45:39.813 --> 01:45:41.115]  I like a spirited debate.
[01:45:41.535 --> 01:45:42.997]  Have your opinions, that's fine.
[01:45:43.458 --> 01:45:51.028]  But I don't think that it's irrational for me to think about America before I think about Israel or Palestine or anybody else involved in this stuff.
[01:45:51.208 --> 01:45:55.208]   And so this is why I wanted to have you in today. We scheduled this weeks ago before any of this went down.
[01:45:55.208 --> 01:45:58.208]  You're part of a new documentary, "The Police State."
[01:45:58.208 --> 01:46:03.208]   Quite frankly, I think this is more important than anything that's going on in Israel and Palestine.
[01:46:03.208 --> 01:46:05.208]  Some people might disagree, that's fine, you might disagree.
[01:46:05.208 --> 01:46:11.208]   But I'm dealing with a situation in America where Americans have just been put on a terror watch list by the FBI.
[01:46:11.407 --> 01:46:14.329]  Christians, conservatives have just been put on a terror watch list.
[01:46:14.389 --> 01:46:16.389]  Trump supporters have just been put on a terror watch list.
[01:46:16.790 --> 01:46:21.372]  Not to make it about me, but I'm about to be sentenced to jail for speech.
[01:46:21.632 --> 01:46:23.913]  First Amendment, dead, in the United States of America.
[01:46:24.373 --> 01:46:25.413]  These are my concerns.
[01:46:25.453 --> 01:46:28.695]  These are the things that are happening in our front yard, in our backyard, the open border.
[01:46:29.175 --> 01:46:31.056]  And so, my biggest concern is that.
[01:46:31.556 --> 01:46:32.876]  Talk about the police state.
[01:46:33.017 --> 01:46:35.017]  You're part of a Dinesh D'Souza documentary.
[01:46:35.477 --> 01:46:37.358]  Always powerful what Dinesh D'Souza does.
[01:46:38.058 --> 01:46:44.160]  And ironically enough, this film debuts the eve of me turning myself in for free speech.
[01:46:44.200 --> 01:46:47.581]  So, first of all, you come out as an FBI whistleblower.
[01:46:47.621 --> 01:46:50.702]  You testify in front of Congress with the information you have behind the scenes.
[01:46:51.163 --> 01:46:53.723]  Now you decide to be part of the police state documentary.
[01:46:54.324 --> 01:46:54.584]  Why?
[01:46:55.652 --> 01:46:57.973]  So to be really clear, they haven't asked me to testify.
[01:46:58.073 --> 01:46:59.294]  I've provided a bunch of information.
[01:46:59.314 --> 01:46:59.934]  My buddies have.
[01:47:00.155 --> 01:47:00.555]  That's right.
[01:47:00.575 --> 01:47:01.015]  I'm sorry.
[01:47:01.075 --> 01:47:02.216]  And this is our group.
[01:47:02.236 --> 01:47:04.757]  So I'm representing them, you know, in face as well, because I'm here.
[01:47:05.217 --> 01:47:07.519]  But what happened was I saw a bunch of problems.
[01:47:07.779 --> 01:47:09.280]  It started with parents at school board meetings.
[01:47:09.340 --> 01:47:13.002]  It actually started before that with some internal issues that I was bringing as a whistleblower.
[01:47:13.302 --> 01:47:14.443]  And you don't have to be like.
[01:47:15.043 --> 01:47:16.704]  Whistleblowers are not supposed to go to the media.
[01:47:16.824 --> 01:47:17.644]  That's not how you do it.
[01:47:18.105 --> 01:47:27.730]  You bring it to Congress, you bring it to your manager, you bring it to the Office of Inspector General, you bring it to any number of internal watch mechanisms to stop abuses.
[01:47:27.990 --> 01:47:29.070]  And I was doing some of these things.
[01:47:29.711 --> 01:47:31.552]  And this is important for people to understand the flowchart here.
[01:47:31.592 --> 01:47:35.414]  This is like if you see something going on at the office, you go up the ladder to report this.
[01:47:35.894 --> 01:47:37.375]  Congress is over the FBI.
[01:47:37.755 --> 01:47:40.136]  Congress is over all these different alphabet bureaucracies.
[01:47:40.196 --> 01:47:41.417]  It seems to be something we forget.
[01:47:41.957 --> 01:47:42.157]  Right.
[01:47:42.237 --> 01:47:44.798]  And when you go through them, there actually is a provision to go to Congress.
[01:47:44.858 --> 01:47:46.138]  It's under 5 U.S.C.
[01:47:46.438 --> 01:47:48.899]  7211, which says that you have the right to petition Congress as a federal employee.
[01:47:49.219 --> 01:47:50.760]  That's how you're covered, theoretically.
[01:47:51.580 --> 01:47:52.740]  But there's no teeth in that law.
[01:47:52.800 --> 01:47:59.462]  So what I did, which is unusual and sort of unique in the sphere, is that I saw that I was going to get railroaded by the FBI.
[01:47:59.482 --> 01:48:00.763]  And I've done all the internal complaints.
[01:48:00.983 --> 01:48:07.144]  And they basically said the government has investigated the government, found the government was not culpable for any wrongdoing, and the government absolved itself of anything that has gone on.
[01:48:07.745 --> 01:48:08.485]  And it's really my fault.
[01:48:09.065 --> 01:48:09.765]  So, okay, fine.
[01:48:10.045 --> 01:48:15.027]  I saw that coming down, you know, from a mile away because I'm, one, an experienced investigator, and two, I'm a skeptic to begin with.
[01:48:15.367 --> 01:48:16.928]  And so I looked at that and I went, I've got two options.
[01:48:16.948 --> 01:48:19.549]  I can get out ahead of this and I can go to the media, which is what I did.
[01:48:19.589 --> 01:48:22.210]  I talked to my friend Dan Bongino, talked to a bunch of people since then.
[01:48:22.230 --> 01:48:22.930]  I've sat down with you.
[01:48:23.470 --> 01:48:24.691]  Have you started your podcast?
[01:48:24.831 --> 01:48:25.191]  Exactly.
[01:48:25.271 --> 01:48:29.272]  I created a microphone space where guys that are in my scenario have the ability to talk.
[01:48:29.652 --> 01:48:34.394]  But if you don't do that, you get crushed and you'll never be heard from again because the government's enormous and they have unlimited pockets.
[01:48:34.434 --> 01:48:39.996]  Well, that was O'Grady's congressional testimony, is if you speak out against the government, they will crush you.
[01:48:40.616 --> 01:48:44.358]  Stephen Friend came out with his testimony in front of the media as well.
[01:48:44.998 --> 01:48:46.499]  Yeah, so if you do, you're gonna get crushed.
[01:48:46.519 --> 01:48:48.720]  So that was an eventuality that I saw really early on.
[01:48:49.100 --> 01:48:57.763]  So I told my story to Bongino, my buddy Steve Friend went to Miranda Devine, who does great reporting at the New York Post at the time, and it's like, we gotta get out in front of this.
[01:48:57.883 --> 01:48:59.344]  We knew that there was a story to tell.
[01:48:59.484 --> 01:49:02.644]   And if we didn't get ours at least first, we weren't going to get any play.
[01:49:02.644 --> 01:49:03.804]  So we did.
[01:49:03.804 --> 01:49:06.104]  All that's being said is that put me on the scene.
[01:49:06.104 --> 01:49:07.963]  People go like, hey, this guy just speaks really quickly.
[01:49:07.963 --> 01:49:11.044]   In fact, he speaks so quickly, it's hard for me to think he's lying.
[01:49:11.044 --> 01:49:12.444]  I don't have any notes that I refer to.
[01:49:12.444 --> 01:49:13.444]  I don't have a game plan.
[01:49:13.444 --> 01:49:14.444]  I'm not owned by anybody.
[01:49:14.444 --> 01:49:16.163]  I just think what Kyle Serafin thinks.
[01:49:16.163 --> 01:49:18.244]  And then it comes out my face as fast as it comes out.
[01:49:18.244 --> 01:49:21.203]   Isn't that the beauty of being a truly independent truth teller?
[01:49:21.194 --> 01:49:25.216]  Is that you don't have to worry about what people that have you bought and paid for are going to think or say?
[01:49:25.236 --> 01:49:27.677]  You don't have to worry about, oh, what lies did I tell that I have to correct?
[01:49:27.937 --> 01:49:29.298]  I mean, really, it's the most freeing thing.
[01:49:29.959 --> 01:49:30.479]  It's wonderful.
[01:49:31.079 --> 01:49:37.803]  I sort of feel sorry for people that have to check against the fact sheet of what is the appropriate narrative versus what they want to say.
[01:49:38.263 --> 01:49:45.806]  But I don't have to do that, and so I just go as I do, and I got a phone call at one point in time from Dinesh D'Souza, and he said, would you be willing to be a consultant on this movie?
[01:49:46.247 --> 01:49:48.588]  And, you know, working title is Police State.
[01:49:49.368 --> 01:49:53.690]  And I said, what's the story you're telling, number one, and is it something that I'm going to be able to defend?
[01:49:53.810 --> 01:50:01.013]  I need to be able to know that what you're saying is relevant and it's true and it's honest, because I'm not going to go tell somebody's story that's not a story that I can get behind.
[01:50:01.674 --> 01:50:04.935]  And he said, yeah, in fact, we want to send you the script and have you guys go through it.
[01:50:05.195 --> 01:50:06.676]  So Steve Friend and I went through the script.
[01:50:07.523 --> 01:50:08.324]  We edited it up.
[01:50:08.344 --> 01:50:09.245]  And Steve's in the film too?
[01:50:09.285 --> 01:50:10.225]  Steve's in the film too, yes.
[01:50:10.245 --> 01:50:19.474]  Steve both plays himself in the film, which is kind of fun, but we also sit in a whistleblower panel, but on the back end of it, we're actually credited as the FBI consultants, because we did the dialogue that happens in the office.
[01:50:19.494 --> 01:50:20.915]  They go, hey, this guy needs to talk to this person.
[01:50:21.175 --> 01:50:22.096]  What would they be talking about?
[01:50:22.156 --> 01:50:23.037]  I say, they'd be talking about this.
[01:50:23.577 --> 01:50:24.297]  I love that.
[01:50:24.317 --> 01:50:26.458]  There's a whistleblower panel in this movie.
[01:50:26.538 --> 01:50:26.798]  Correct.
[01:50:26.899 --> 01:50:27.499]  That's amazing.
[01:50:27.859 --> 01:50:43.886]  So there's me, Sonny LoBosco, George Hill, Steve Friend, and the four of us sit and discuss our ideas from seeing from DHS, from the NSA, from the FBI intel perspective, and two FBI agents talking about the growth of this going back all the way to September 11th of 2001.
[01:50:45.026 --> 01:50:56.448]  And the story of police state is a, it's a progressive capture of the mechanisms of government that were put in place under duress when we had a problem saying, could we... Emotional responses.
[01:50:56.548 --> 01:50:58.309]  Could we solve all the problems that exist right now?
[01:50:58.329 --> 01:51:02.190]  There was actually political capital to probably get rid of the national debt on September 12th of 2001.
[01:51:03.010 --> 01:51:12.852]  We could have enacted all kinds of wonderful things as a country, but instead what happened was they grew a surveillance state, mass surveillance, large, ideologically captured, you know, policing.
[01:51:13.172 --> 01:51:19.998]  And law enforcement that became intel driven, which means that it was interested in pre-crime and not in actual violations of federal law.
[01:51:20.138 --> 01:51:20.919]  And that's where we're at right now.
[01:51:20.939 --> 01:51:26.123]  Well, and you know, the amazing thing is I just always try to have clear 2020 vision, if you will, on this.
[01:51:26.684 --> 01:51:31.107]  And I'm not even really necessarily trying to offer an opinion here other than just observe and report.
[01:51:32.188 --> 01:51:43.933]  So, after September 11th, we rally behind this idea that radical Islam wants us all dead, and we have to set up the security state against radical Islam, the TSA is formed, the Patriot Act, everything follows.
[01:51:44.373 --> 01:51:53.477]  Well, now here I am 20 years later, and we've got what would, I think, would have definitely been described as radical Islam in 2001, is now on the streets of New York City!
[01:51:53.577 --> 01:51:54.357]  And people are cheering.
[01:51:54.437 --> 01:51:55.398]  And people are cheering!
[01:51:55.538 --> 01:52:01.121]  And yet, American patriots, the most patriotic Americans among us, are the ones that the Patriot Act is being used for.
[01:52:01.141 --> 01:52:01.721]  That's right.
[01:52:01.821 --> 01:52:04.223]  So, I'm gonna steal something from my buddy George Hill.
[01:52:04.383 --> 01:52:05.203]  He's one of the whistleblowers.
[01:52:05.243 --> 01:52:06.384]  He was on my podcast yesterday.
[01:52:06.684 --> 01:52:08.685]  Has a very sober, insane voice about this.
[01:52:08.965 --> 01:52:11.087]  And something he told me that has redirected my thinking.
[01:52:11.787 --> 01:52:19.352]  On September 12th of 2001, the United States, as a country but also as a governmental apparatus, accepted a new definition of national security.
[01:52:20.072 --> 01:52:23.474]  It used to be the protection and the continuation of the U.S.
[01:52:23.494 --> 01:52:26.936]  Constitution as sort of our Republican form of government, right?
[01:52:27.216 --> 01:52:28.217]  That's what national security was.
[01:52:28.437 --> 01:52:30.038]  People died protecting our national security.
[01:52:30.058 --> 01:52:31.219]  The Constitutional Republic.
[01:52:31.619 --> 01:52:41.005]  For all of time, all the way up until September 11th of 2001, we accepted that people will die, and they will do so, and they will do so willingly because they want to protect us and our freedoms.
[01:52:41.425 --> 01:52:41.645]  Okay.
[01:52:42.145 --> 01:52:47.829]  September 12th of that year, the definition changes to no American dies from terrorism on U.S.
[01:52:47.849 --> 01:52:48.089]  soil.
[01:52:49.009 --> 01:52:51.511]  And that is a totalitarian prescription.
[01:52:51.911 --> 01:52:59.635]  Because once you say there will be no death from this thing, you have to throw out the door all the liberties that might exist that would allow something like that to happen.
[01:52:59.875 --> 01:53:03.618]  You can look as recently as 2020 COVID stuff that happened in China.
[01:53:03.818 --> 01:53:05.218]  They were welding people into their houses.
[01:53:05.459 --> 01:53:11.142]   Because if you say nobody is going to transmit COVID, if there's a zero COVID goal, Tyranny is the outgrowth of it.
[01:53:11.242 --> 01:53:16.165]  It is a necessary outgrowth, because you cannot have freedom and also risk.
[01:53:16.265 --> 01:53:17.246]  It's a control mechanism.
[01:53:17.266 --> 01:53:17.887]  That's exactly right.
[01:53:17.907 --> 01:53:19.207]  And they're antithetical to each other.
[01:53:19.408 --> 01:53:23.430]  The more risk you have, you know, if you want to limit risk, you have to cut down freedom as well.
[01:53:23.610 --> 01:53:26.532]  And freedom is scary and risky and dangerous, and that's what we love about America.
[01:53:26.813 --> 01:53:28.214]  You may die doing something you love.
[01:53:28.434 --> 01:53:33.137]  You may go out and ride a motorbike today and not make it home, but you got to choose it, so there's some victory in that.
[01:53:33.537 --> 01:53:40.382]   But if you're going to say that nobody is going to have any potential exposure to terrorism, Then we have to get ahead of terrorism.
[01:53:40.402 --> 01:53:43.223]  We need to know what you're thinking before you do it, so we can stop what you might do.
[01:53:43.623 --> 01:53:44.483]  And that is tyrannical.
[01:53:44.663 --> 01:53:46.364]  And so this is part of the film as well.
[01:53:46.424 --> 01:53:51.406]  George Hill, you're saying, breaks this down in the film that comes out in just less than two weeks now.
[01:53:51.546 --> 01:53:52.127]  That's correct, yep.
[01:53:52.267 --> 01:53:57.309]  And on top of that, and I guess this is where it's really interesting, because in the film, now you know films are not made overnight.
[01:53:57.789 --> 01:53:58.870]  This was shot months ago.
[01:53:59.290 --> 01:54:05.854]   But in the film, the lead actor, who's basically doing some sort of historical reenactments of FBI persona, And, uh, he acts as a supervisor.
[01:54:05.874 --> 01:54:06.574]  A guy named Nick Searcy.
[01:54:06.614 --> 01:54:07.275]  He was in Justified.
[01:54:07.295 --> 01:54:07.855]  He's a great actor.
[01:54:07.875 --> 01:54:08.536]  He's really fun, too.
[01:54:08.556 --> 01:54:09.016]  He's a good dude.
[01:54:09.577 --> 01:54:12.320]  And Nick says a line that is actually in the trailer.
[01:54:12.380 --> 01:54:15.142]  People can see it at PoliceStateFilm.net.
[01:54:15.362 --> 01:54:16.143]  So they can go and see there.
[01:54:16.363 --> 01:54:17.264]  Actually, you can see me a bunch.
[01:54:17.284 --> 01:54:17.885]  I'm wearing a mask.
[01:54:17.945 --> 01:54:19.306]  I'll just admit it to your audience.
[01:54:19.326 --> 01:54:19.947]  But, like, I'm in there.
[01:54:20.467 --> 01:54:24.190]  I'm making sure that I'm making the tactical enactments look right.
[01:54:24.571 --> 01:54:29.115]  I didn't want to see, you know, fingers on triggers in ways that make the... Fully accurate depiction.
[01:54:29.175 --> 01:54:29.456]  Correct.
[01:54:29.496 --> 01:54:31.200]  I wanted tactical movements to be correct.
[01:54:31.220 --> 01:54:33.165]  I wanted to make sure that the law enforcement scenes were accurate.
[01:54:33.465 --> 01:54:35.210]  So we do this, but the fun thing is...
[01:54:36.403 --> 01:54:40.646]  Nick Circe says, these are anti-government, anti-authority, violent extremists we're talking about.
[01:54:40.986 --> 01:54:42.447]  This was five, six months ago when they shot it.
[01:54:42.948 --> 01:54:43.708]  Have you heard that recently?
[01:54:44.549 --> 01:54:49.092]  Yeah, actually, they are now saying we need to be put into deprogramming camps.
[01:54:49.752 --> 01:54:58.178]  And they had been saying that for years, but then Hillary Clinton recently said it again, and it just kind of refreshed all of our memories, how they had been saying that since she lost in 2016.
[01:54:58.318 --> 01:55:06.606]   Now, I can pretty much guarantee that there is a 266 Oscar case, 266-0, On you, there's probably one on me.
[01:55:07.047 --> 01:55:16.064]  An anti-government, anti-authority, violent extremism is an internal, intelligence-based, no-crime-alleged, FBI, um, domestic terrorism investigation.
[01:55:16.971 --> 01:55:19.954]  And I knew about them going on at least to 2020, 2021.
[01:55:20.514 --> 01:55:22.636]  So this is a thing that the Bureau has been working on for a while.
[01:55:23.137 --> 01:55:25.039]  We had it five months ago put into the film.
[01:55:25.499 --> 01:55:28.902]  We're just now seeing that some important reporting comes out of Newsweek.
[01:55:29.062 --> 01:55:29.863]  Going public with it.
[01:55:29.963 --> 01:55:30.123]  Right.
[01:55:30.224 --> 01:55:34.708]  A leak supposedly about how Trump supporters are listed as this anti-government, anti-authority violent extremist.
[01:55:34.728 --> 01:55:36.209]  They call him Agave with two A's in the middle.
[01:55:36.750 --> 01:55:38.131]  And somehow that's going to be breaking news.
[01:55:38.391 --> 01:55:40.914]  First of all, it's years old for those of us who are working in that space.
[01:55:41.174 --> 01:55:46.396]   And second of all, How did Kyle Serafin and Steve Friend know to tell Dinesh D'Souza to put that in the movie?
[01:55:46.656 --> 01:55:47.656]  Why is that part of the script?
[01:55:47.856 --> 01:55:49.677]  Because this has always been the game plan.
[01:55:49.697 --> 01:55:50.937]  They've been slowly marching it out.
[01:55:51.217 --> 01:56:00.620]  And what I'll tell you is, that Newsweek article that people saw, mostly last week, I think it started when it broke out, that Newsweek article, my buddy Bongino calls it a warning, I think it's a threat.
[01:56:01.440 --> 01:56:08.786]  Because the person that reported it is a friendly, deep state source that people can lead, you know, leak information out to.
[01:56:09.046 --> 01:56:13.570]  This wasn't like a bunch of FBI agents who came out there and said, oh my god, we're doing this horrible thing.
[01:56:13.950 --> 01:56:15.632]  They went out there and said, we're doing this thing.
[01:56:15.652 --> 01:56:17.914]  Like this is big brother government warning you.
[01:56:17.954 --> 01:56:18.334]  Be aware.
[01:56:18.594 --> 01:56:18.814]  Yeah.
[01:56:19.315 --> 01:56:20.315]  And here's the other reason you know why.
[01:56:20.656 --> 01:56:22.097]  Have you heard of any of these guys losing their jobs?
[01:56:22.217 --> 01:56:24.979]  Have you heard the FBI say we've purged the ranks of these people that leak this information?
[01:56:25.079 --> 01:56:25.260]  No.
[01:56:25.400 --> 01:56:27.982]  This so-called classified information about domestic terrorism?
[01:56:29.343 --> 01:56:31.644]  They're not showing up on my podcast, and they're not sitting here on your show.
[01:56:31.704 --> 01:56:33.465]  And I'm guessing they could identify them easily.
[01:56:34.286 --> 01:56:34.446]  Yeah.
[01:56:34.666 --> 01:56:35.246]  You know how it works?
[01:56:35.666 --> 01:56:41.330]  Every single thing you print, we actually found this with Reality Winner, who was a, um, she was a, uh, went to, what was it, The Intercept?
[01:56:41.370 --> 01:56:42.850]  Did she go to The Intercept, or did she go to WikiLeaks?
[01:56:43.391 --> 01:56:45.372]  Regardless, she, she printed some things out.
[01:56:45.572 --> 01:56:55.898]  Anything you print on a government computer, particularly when you work for a security agency, and the FBI has this as well, they go to centralized servers, they get printed out, they know exactly who printed what, and when, and what was on it.
[01:56:55.918 --> 01:56:56.338]  There's metadata.
[01:56:56.798 --> 01:56:59.999]  Not only that, but they actually have like a record of every single thing sent out of your computer.
[01:57:00.259 --> 01:57:03.681]  So they know, it's not just metadata, it's actually tagging the individual.
[01:57:03.701 --> 01:57:07.062]  Yeah, there's like a receipt on the actual hard copy that comes out of the printer.
[01:57:07.102 --> 01:57:09.943]  And it's in a centralized server that they can go back years and find out what you printed.
[01:57:09.983 --> 01:57:13.864]  So if you were taking out information and documentation to somebody, that's how they found me, I'm sure.
[01:57:13.884 --> 01:57:17.246]  Because I printed out an email, and it wasn't classified, it was just an email.
[01:57:17.266 --> 01:57:22.988]  It was an unclassified email that I took out of my office, and I brought it to a member of Congress, and I said, this is a problem.
[01:57:23.148 --> 01:57:23.768]  Well, this is amazing.
[01:57:23.808 --> 01:57:27.051]  We're up against a break here, Kyle Serafin in studio.
[01:57:27.991 --> 01:57:28.912]  But think about this, folks.
[01:57:29.152 --> 01:57:31.293]  I mean, we're just using me as an example, not to make it about me.
[01:57:31.794 --> 01:57:33.795]  I have never committed a violent crime in my life.
[01:57:33.975 --> 01:57:35.196]  I don't even get into bar fights.
[01:57:35.236 --> 01:57:35.857]  I mean, nothing.
[01:57:36.437 --> 01:57:39.399]  And the FBI wants to put me on a violent terror list?
[01:57:39.819 --> 01:57:41.220]  Never committed a violent crime in my life.
[01:57:41.420 --> 01:57:43.242]  We're going to get more into it with Kyle Serafin on the other side.
[01:57:44.062 --> 01:57:47.484]  And we have Kyle Serafin in studio, the Kyle Serafin Show.
[01:57:47.504 --> 01:57:48.824]  They were trying to censor him.
[01:57:49.144 --> 01:57:49.825]  Of course they are.
[01:57:50.225 --> 01:57:51.765]  KyleSerafin.com.
[01:57:51.965 --> 01:58:01.990]  And we got a lot to talk about, not just involving the new film Police State that he's a part of, but involving why he became an FBI whistleblower with the corruption, and then some other odds and ends we want to talk about too.
[01:58:02.010 --> 01:58:04.231]  But a couple interesting things.
[01:58:05.251 --> 01:58:08.635]  You were talking to me in the break about how the FBI is investigating the film.
[01:58:08.735 --> 01:58:11.558]  Oh my goodness, they're investigating the film, they're investigating you.
[01:58:11.618 --> 01:58:15.542]  How dare you, a dirty American, do a documentary on government activity.
[01:58:16.143 --> 01:58:34.021]   And I was asking you this, and I'm not trying to throw anybody under the bus, and I'm certainly not asking you to throw anybody under the bus here, but I was telling you the story about how, when I was turning over the electronic data that the FBI had requested for me, in the investigation into my speech crimes and how the two
[01:58:34.021 --> 01:58:37.311]   agents that showed up, and not to belittle them, but I basically looked at them as
[01:58:37.311 --> 01:58:40.651]   just FBI grunts, like probably low-level guys, "Hey, you're going to be sent to go pick up
[01:58:40.651 --> 01:58:41.942]  somebody's phone, whatever,"
[01:58:41.942 --> 01:58:43.981]  putting it into a secure briefcase.
[01:58:43.981 --> 01:58:46.221]   And how at one point they were like, "Hey, what is this case again?"
[01:58:46.167 --> 01:58:47.987]  And they were like, oh yeah, this is that free speech case.
[01:58:48.067 --> 01:58:49.148]  Oh yeah, the free speech case.
[01:58:49.568 --> 01:58:51.249]  And it just stunned me in that moment.
[01:58:51.729 --> 01:59:01.452]  It was like, you've taken an oath, you understand the First Amendment, you know this is a free speech case, and yet here you are coming after me for my cell phones and seemingly not even bothered by it.
[01:59:01.912 --> 01:59:04.733]  And you were kind of getting in, because I was asking you, how does that work?
[01:59:04.773 --> 01:59:06.494]  How do they get agents to go along with this?
[01:59:07.509 --> 01:59:10.270]  It's really sad, but it's the simplest motivation of all.
[01:59:10.490 --> 01:59:17.974]  It's comfort, it's security, it's your paycheck, it's the pension, it's the healthcare, it's you've got a family, you've got a mortgage, maybe you're divorced, maybe you've got alimony.
[01:59:18.274 --> 01:59:19.734]  That's actually what my old boss actually said.
[01:59:20.315 --> 01:59:24.296]  I had this disagreement about whether or not I was going to put a COVID swab up my nose every 72 hours.
[01:59:24.657 --> 01:59:25.857]  I said, I've got a top-secret clearance.
[01:59:26.417 --> 01:59:27.058]  I'm a paramedic.
[01:59:27.098 --> 01:59:28.278]  I've been a paramedic for a decade.
[01:59:28.758 --> 01:59:31.239]  I've done thousands of nasal swabs, and I'm not going to do this one.
[01:59:31.700 --> 01:59:34.121]  Not unless I show symptoms, and then only then if I choose to.
[01:59:34.901 --> 01:59:41.283]  And he was like, yeah, I mean, fundamentally, I agree with you, but I've got a mortgage and I've got alimony and I've got to pay these things, so I can't stand up with you, so you're on your own.
[01:59:42.223 --> 01:59:42.443]  Okay.
[01:59:42.783 --> 01:59:50.405]  How do you end up with people willing to go do things that they know are probably violations of their oath, which is to defend not really the Constitution in a big sense.
[01:59:50.485 --> 01:59:51.525]  I keep saying this to people.
[01:59:51.985 --> 01:59:59.027]  When you swear allegiance to the Constitution as a federal law enforcement officer, it's a little bit different than as somebody who works in the military.
[01:59:59.887 --> 02:00:04.171]  Your real job as a federal law enforcement officer is to defend the Bill of Rights.
[02:00:04.712 --> 02:00:07.755]  Which is that there are certain areas that are sacrosanct and you cannot go in there.
[02:00:08.255 --> 02:00:09.296]  And you have to hold them up.
[02:00:09.597 --> 02:00:10.938]  It's what the Durham report actually said.
[02:00:11.178 --> 02:00:14.702]  He's like, we wouldn't recommend any new policies or procedures to the FBI.
[02:00:14.742 --> 02:00:17.564]  We just need people in the FBI to abide by their theoretical laws.
[02:00:17.644 --> 02:00:18.866]  Yeah, the law already exists.
[02:00:18.966 --> 02:00:19.706]  It's like the border.
[02:00:19.746 --> 02:00:20.808]  We already have laws at the border.
[02:00:20.868 --> 02:00:21.168]  That's right.
[02:00:21.328 --> 02:00:24.170]  Fidelity, bravery, integrity are the motto of the FBI, allegedly.
[02:00:24.590 --> 02:00:26.571]  So if you just did those things, then they would be fine.
[02:00:26.591 --> 02:00:27.011]  But they don't.
[02:00:27.332 --> 02:00:30.393]  And the way they don't do it, and the reason they haven't done it, is as old as human history.
[02:00:30.694 --> 02:00:36.177]  And the most recent and scary example that my buddies and I always point to is, uh, there's a book called Ordinary Men.
[02:00:36.237 --> 02:00:37.118]  It's written by Christopher Brown.
[02:00:38.078 --> 02:00:39.219]  I sent it over to you, so you have it.
[02:00:39.379 --> 02:00:40.961]  Yeah, you were telling me about this book in the break.
[02:00:41.542 --> 02:00:41.922]  Here's the deal.
[02:00:42.302 --> 02:00:44.424]  It's the story of Reserve Police Battalion 101.
[02:00:44.484 --> 02:00:45.626]  Christopher Browning is his full name.
[02:00:46.807 --> 02:00:52.472]  The story is a bunch of guys that were reserve police officers activated by the Nazis to go and do Holocaust activities.
[02:00:52.772 --> 02:00:53.914]  They never started with death camps.
[02:00:54.534 --> 02:00:55.435]  They get you saying yes.
[02:00:55.955 --> 02:00:56.636]  Go take that shot.
[02:00:57.277 --> 02:00:57.457]  Why?
[02:00:57.477 --> 02:00:58.058]  Because we said so.
[02:00:58.378 --> 02:00:58.818]  Do what we said.
[02:00:59.759 --> 02:01:01.500]  If you don't take the shot, you have to bend the knee anyway.
[02:01:01.801 --> 02:01:02.801]  Go put this thing up your nose.
[02:01:03.322 --> 02:01:04.642]  And you go, um, I don't want to do that.
[02:01:04.903 --> 02:01:05.443]  Everybody did.
[02:01:05.683 --> 02:01:10.126]  Except, I'm one of the few people in the Bureau that didn't do a swab or get a shot, because I said no.
[02:01:10.366 --> 02:01:12.388]  It's kind of like a pressure test.
[02:01:12.608 --> 02:01:13.629]  It's a loyalty test.
[02:01:13.669 --> 02:01:13.889]  Yeah.
[02:01:13.949 --> 02:01:14.309]  Yeah, 100%.
[02:01:14.469 --> 02:01:21.054]  In fact, there actually was a loyalty test in the United States government, under Truman, under Executive Order 9835, I believe it was.
[02:01:21.094 --> 02:01:22.495]  Another Democrat that got us into war.
[02:01:22.555 --> 02:01:22.915]  Go ahead.
[02:01:23.055 --> 02:01:26.619]  And also created the administrative state, which happened from the Administrative Procedures Act of 1946.
[02:01:26.659 --> 02:01:28.661]  So there's all kinds of wild stuff you can dig into history.
[02:01:28.941 --> 02:01:41.114]  But if you go back into 1930s Germany, you look at what they were doing in Poland there, they took a bunch of regular guys, butchers, bakers, people who make candles, I don't know, like, people who worked in the world, and they said, now you're police officers, you've been activated, your unit is called up, go get all the names of those Jews.
[02:01:41.814 --> 02:01:42.295]  Get their names.
[02:01:42.615 --> 02:01:43.977]  Put them on this clipboard, bring them back to us.
[02:01:45.164 --> 02:01:48.326]  Now go back to all those people in the name on the clipboard and make sure that they all have an arm patch on.
[02:01:48.346 --> 02:01:49.046]  Okay?
[02:01:49.106 --> 02:01:49.847]  Make sure they're all wearing it.
[02:01:50.747 --> 02:01:51.828]  Now we're going to take them out of that building.
[02:01:51.848 --> 02:01:52.748]  We're going to move them somewhere else.
[02:01:52.768 --> 02:01:54.830]  We're going to move them to the scatterwoods for their protection and our protection.
[02:01:54.850 --> 02:01:55.830]  They may have diseases or something.
[02:01:56.050 --> 02:01:56.691]  We don't really like them.
[02:01:56.711 --> 02:01:57.551]  We need them all to go here.
[02:01:57.991 --> 02:02:05.155]  And then eventually, you got to the point where after a couple years, these guys are shooting toddlers and old people in the back of the head because they are loading boxcars too slowly.
[02:02:05.395 --> 02:02:06.216]  They're ordinary men.
[02:02:06.696 --> 02:02:08.296]  They are not exceptional monsters.
[02:02:08.517 --> 02:02:09.897]  Jordan Peterson talks about this all the time.
[02:02:10.177 --> 02:02:13.958]  If you had been alive, everyone likes to think that they would have been, you know, Schindler, right?
[02:02:13.978 --> 02:02:18.459]  They would have been, you know, running Schindler's List and helping Jews escape from the Holocaust.
