[00:00:00.369 --> 00:00:01.290]  FBI report?
[01:35:06.025 --> 01:35:08.187]  Darien Gap, as you know Darien Gap very well.
[01:35:08.227 --> 01:35:09.928]  We've talked about it before numerous times.
[01:35:10.549 --> 01:35:12.510]  And he saw what's going on down there.
[01:35:12.530 --> 01:35:13.991]  Now we've been hitting this border here.
[01:35:14.292 --> 01:35:23.019]  We got rocks thrown at us last night actually while right at the border, while Border Patrol was taking in some people to be released in the United States.
[01:35:23.459 --> 01:35:26.742]  But we just got a message about 25 minutes ago from Darien Gap.
[01:35:27.323 --> 01:35:28.889]  Down in a place called Bajo Chiquito.
[01:35:28.929 --> 01:35:30.094]  It's one of the remote villages.
[01:35:30.455 --> 01:35:34.411]   It's the one of the main villages where Uh, where the aliens come in from.
[01:35:34.971 --> 01:35:38.033]  And the person who sent me the message is someone that I know quite well.
[01:35:38.074 --> 01:35:40.095]  We've been to Darien Gap many times together.
[01:35:40.115 --> 01:35:43.798]  Uh, and, uh, he said Darien Gap is being overwhelmed right now.
[01:35:43.838 --> 01:35:47.321]  We've never seen this many people before, ever, in Darien Gap.
[01:35:47.801 --> 01:35:54.547]  So that flashed bang on the decision on Title 42 and whatnot is doing exactly as predicted, uh, increasing the flow.
[01:35:54.967 --> 01:36:00.772]  Now, about 160 people apparently have died in about the last three or four days in the Darien Gap.
[01:36:01.252 --> 01:36:14.440]  From the flash floods, and they just, yesterday, my friend down there, Matt, made video, actually Amy Holton made video of a CH-47, a Chinook was flying over.
[01:36:14.861 --> 01:36:21.185]  We think it was probably going out there to pick up bodies, but we don't know, because you don't really see CH-47s out there much.
[01:36:21.565 --> 01:36:22.646]  I've never seen one out there.
[01:36:23.366 --> 01:36:27.869]  But that, we see Blackhawks sometimes, and the Blackhawks are always American Blackhawks.
[01:36:28.629 --> 01:36:30.771]  I don't believe Panama owns any Chinooks.
[01:36:31.692 --> 01:36:33.133]  They don't own any Blackhawks.
[01:36:33.673 --> 01:36:42.800]  And so, bottom line is, it's very clear that all the things that have happened here with the decisions and all the media and whatnot is doing exactly as predicted.
[01:36:43.201 --> 01:36:49.465]  Right now, by the way, the flows across this border for roughly about the last four days have been actually decreased.
[01:36:49.485 --> 01:36:50.266]  They haven't stopped.
[01:36:50.286 --> 01:36:50.987]  They're still going.
[01:36:51.607 --> 01:36:53.669]  And that's key just to fill listeners in.
[01:36:54.389 --> 01:36:57.051]  Mallorca says the surge is over even though it's record levels.
[01:36:57.531 --> 01:36:59.852]  First they said there was no surge, now they say the surge is over.
[01:37:00.212 --> 01:37:09.537]  You're saying from your sources down on the South American, Central American border of Colombia and Guatemala or Panama that it's just surging.
[01:37:11.198 --> 01:37:12.059]  Oh yeah, definitely.
[01:37:12.539 --> 01:37:14.620]  I mean that's just came in like 30 minutes ago.
[01:37:14.840 --> 01:37:19.663]  Literally just got the message just before we start doing the test to come on your show Alex.
[01:37:20.183 --> 01:37:22.569]   So I mean it's clearly Impacting.
[01:37:22.589 --> 01:37:28.451]  I just talked with about 10 congressmen this morning about some want to go back down to Darien with me.
[01:37:29.772 --> 01:37:31.592]  Jordan Peterson wants to go down there with me.
[01:37:31.632 --> 01:37:33.673]  Different people like that want to go down there and see it.
[01:37:34.073 --> 01:37:35.654]  It's clearly being overwhelmed.
[01:37:35.994 --> 01:37:37.674]  The Panamanian government is frantic.
[01:37:37.955 --> 01:37:39.615]  They're being destabilized by this.
[01:37:40.055 --> 01:37:42.956]  At least 11% of Panama is now Venezuelans.
[01:37:43.276 --> 01:37:44.917]  That doesn't include Colombians and others.
[01:37:45.297 --> 01:37:49.322]  I mean, it's really causing a lot of angst down in Panama right now.
[01:37:49.382 --> 01:38:01.717]  And we know two weeks ago, the Guatemalan president, because that's northern Central America, the next big step, tried to call Biden and tried to call Kamala and give them emergency warning.
[01:38:02.017 --> 01:38:03.139]  They wouldn't even talk to him.
[01:38:05.103 --> 01:38:06.884]  You know, maybe I should fly down to Guatemala.
[01:38:06.904 --> 01:38:09.086]  I was just thinking about that about 15 minutes ago.
[01:38:10.007 --> 01:38:11.508]  Maybe I'll fly down there and see her.
[01:38:11.948 --> 01:38:29.202]  Apparently, I was just told by Antonio Aguero, who's a border reporter down here in the El Paso area, that the almost president of Guatemala has been really attacking Soros, which you've done for years, saying that, you know, he's the one that's been funding all this.
[01:38:29.242 --> 01:38:30.023]  We know he has.
[01:38:30.903 --> 01:38:32.985]  Uh, you know, you've known for years.
[01:38:33.005 --> 01:38:34.226]  You've been talking about it forever.
[01:38:34.707 --> 01:38:36.228]  And now it's all coming to pass.
[01:38:36.668 --> 01:38:43.034]  It's very clear that what we've seen so far at the worst day of the border is nothing compared to what's building right now.
[01:38:43.434 --> 01:38:46.557]  It's very clear that we're, uh, well, it's already, there's no border.
[01:38:46.917 --> 01:38:53.281]   And by the way, the Texas National Guard and whatnot, who's Active duty and everybody else is filling these hotels like this hotel.
[01:38:53.621 --> 01:39:01.023]  We punched out to you to get signal so we could come on with you They I mean these are basically like a virtual army base.
[01:39:01.083 --> 01:39:08.325]  You know what I mean, but they are facilitating the crossing It's not like Texas National Guard or the army or anybody else or a border patrol.
[01:39:08.585 --> 01:39:26.025]   They are not stopping it You know, I was just talking with I was doing another interview this morning and I said, you know, I lived in Germany for four years I've read a lot of history about World War two and you often wonder if When Germans would say, we didn't know what was happening at Dachau, we didn't know what was happening here or there, Treblinka.
[01:39:26.725 --> 01:39:32.569]  But now, and that was Poland of course, but now I can see how people don't know.
[01:39:32.609 --> 01:39:35.772]  Like when you go to Del Rio or you go here, El Paso.
[01:39:36.552 --> 01:40:05.401]   Brownsville there's people right by the border have no idea that we're being invaded with millions of people and we see the National Guard last night was harassing us actually there was coyotes last night and on ATVs right at the border and the Border Patrol I mean I'm sorry the National Guard turned their lights on us not them and we had already been there tonight they know who we were and whatnot instead of lighting up the coyotes they lit us on They lit us up in front of the coyotes.
[01:40:05.722 --> 01:40:07.043]  You can't even make up this stuff.
[01:40:08.464 --> 01:40:12.226]  Let me elaborate on that, because you're a veteran yourself, Army Special Operations.
[01:40:13.547 --> 01:40:28.998]  Owen was down there with you for four days, and they were very polite to the National Guard and the State Guard, and we know that one of our security guys is an Army veteran, he was also in the State Guard, and they were getting in my guy's face, so he went over, we'll play the clip now.
[01:40:29.998 --> 01:40:32.961]  You were there and just said, what is your problem?
[01:40:33.001 --> 01:40:34.222]  You were given an order by Abbott.
[01:40:34.262 --> 01:40:34.882]  It was not perfect.
[01:40:34.922 --> 01:40:35.363]  We know that.
[01:40:35.683 --> 01:40:38.585]  But Abbott said, go stop the illegal invasion.
[01:40:38.886 --> 01:40:40.667]  Now, maybe Abbott secretly told him don't do it.
[01:40:40.947 --> 01:40:44.811]  But there they are under NGO Biden command, not following the state orders.
[01:40:45.151 --> 01:40:45.931]  Here's that clip.
[01:40:46.032 --> 01:40:47.092]  I want to get your response to it.
[01:40:47.112 --> 01:40:47.433]  Here it is.
[01:40:51.442 --> 01:40:51.902]  Who is your chief?
[01:40:51.721 --> 01:41:01.721]  [INAUDIBLE]
[01:41:01.721 --> 01:41:11.721]  [INAUDIBLE]
[01:41:11.721 --> 01:41:12.721]  He is your chief.
[01:41:12.721 --> 01:41:12.721]  Your commander in chief.
[01:41:12.721 --> 01:41:14.721]  He is your chief.
[01:41:14.721 --> 01:41:16.721]  Your commander in chief.
[01:41:15.877 --> 01:41:17.299]  You can roll your eyes out and help.
[01:41:17.319 --> 01:41:18.140]  I'm not rolling my eyes.
[01:41:18.180 --> 01:41:22.907]  But you guys don't understand because you guys are in full active duty to help us with what an order is.
[01:41:22.947 --> 01:41:23.628]  Alright, so we're...
[01:41:24.838 --> 01:41:25.438]  No, no, no, no.
[01:41:25.458 --> 01:41:26.778]  I'm not saying anything.
[01:41:26.839 --> 01:41:30.539]  Listen, man, I'm not in the fucking mood, so you shouldn't be talking to me about that.
[01:41:30.559 --> 01:41:30.959]  No, no, partner.
[01:41:31.000 --> 01:41:33.460]  What you need to do is follow the orders the governor set forth.
[01:41:33.680 --> 01:41:36.201]  That's what you need to do, because that's your job at Texas A&M University.
[01:41:36.221 --> 01:41:37.581]  You're not wearing a uniform, dude.
[01:41:37.621 --> 01:41:38.841]  I already did my job.
[01:41:38.941 --> 01:41:39.882]  And I'm doing mine.
[01:41:40.102 --> 01:41:40.302]  Right.
[01:41:40.362 --> 01:41:43.022]  To follow the orders of the governor, but you guys haven't done.
[01:41:43.102 --> 01:41:44.023]  You guys are good.
[01:41:44.043 --> 01:41:45.363]  You're just facilitating buses.
[01:41:45.403 --> 01:41:50.284]  The governor said in order to slow down the influx of illegal immigrants.
[01:41:50.304 --> 01:41:51.264]  You guys aren't doing that.
[01:41:51.604 --> 01:41:53.425]  Where's your pride in following orders, man?
[01:41:54.325 --> 01:41:54.906]  Come on, man.
[01:41:54.946 --> 01:41:57.768]  You're wearing a uniform to say and represent the state of Texas.
[01:41:58.229 --> 01:41:59.170]  Not Border Patrol.
[01:41:59.570 --> 01:42:00.891]  Have some pride, gentlemen.
[01:42:01.271 --> 01:42:02.292]  The governor spoke.
[01:42:02.392 --> 01:42:03.533]  You need to follow those orders.
[01:42:03.553 --> 01:42:05.335]  Thank you.
[01:42:05.415 --> 01:42:12.321]  So, Michael Young, people that don't know how federalism works, federal police, federal military, state military, you were there.
[01:42:12.341 --> 01:42:13.682]  I know you were with the crew.
[01:42:13.702 --> 01:42:15.163]  I didn't know you were there when this happened.
[01:42:15.664 --> 01:42:17.966]  What is your view of this interaction and what do you think is really going on?
[01:42:19.261 --> 01:42:21.242]  Oh yeah, I have a lot to say about that.
[01:42:21.302 --> 01:42:24.284]  That's Dom that was making, on the left hand, his name's Dom.
[01:42:24.604 --> 01:42:25.605]  He's a former Marine.
[01:42:25.785 --> 01:42:27.726]  He did embassy security, right?
[01:42:28.026 --> 01:42:29.827]  He was right on target with what he was saying.
[01:42:30.107 --> 01:42:31.728]  He's a very steady individual, right?
[01:42:32.208 --> 01:42:37.551]  And that guy that he's talking to, without rank and without, he didn't have his name tag on him.
[01:42:37.972 --> 01:42:40.153]  His name, we looked him up, we found him.
[01:42:40.453 --> 01:42:42.854]  His name is Staff Sergeant Michael DiCarlo.
[01:42:43.155 --> 01:42:47.257]  He's the retention NCO at Hill Country and the Texas National Guard.
[01:42:47.857 --> 01:42:57.448]  That guy, Michael DiCarlo, later that night, he actually hit Antonio Aguero with his vehicle.
[01:42:57.588 --> 01:42:58.009]  I saw it.
[01:42:58.049 --> 01:42:58.609]  He bumped him.
[01:42:58.629 --> 01:42:59.710]  He just, like, bumped him.
[01:43:00.091 --> 01:43:03.174]  And another reporter, I don't know his name, but I was there.
[01:43:03.214 --> 01:43:06.398]  I was physically present, like, feet away, and I was making video, right?
[01:43:06.818 --> 01:43:09.979]  I had to move a state senator out of the way so she didn't get hit.
[01:43:10.279 --> 01:43:13.700]  Her name is Tammy Nichols from Idaho.
[01:43:14.040 --> 01:43:14.760]  She was down here.
[01:43:14.820 --> 01:43:30.185]   I was talking with Tammy Nichols, Senator Tammy Nichols, when that guy that Dom the Marine is talking to, the one that said we're a bunch of, I don't know, idiots or whatever he said, that guy, his name is Staff Sergeant Michael DiCarlo.
[01:43:30.205 --> 01:43:30.825]  Something's wrong.
[01:43:30.845 --> 01:43:32.007]  You should've seen the affect on his face.
[01:43:31.887 --> 01:43:35.326]   I didn't know that was the same guy almost running over a state senator.
[01:43:35.326 --> 01:43:36.327]  Is this guy a wolkster?
[01:43:36.327 --> 01:43:41.447]   I mean, why is he, like you said, why is he so aggressive towards Americans?
[01:43:41.447 --> 01:43:42.447]  Something's wrong.
[01:43:42.447 --> 01:43:44.087]  You should have seen the affect on his face.
[01:43:44.087 --> 01:43:49.287]   I thought he appeared to be, I'm not going to say something that's going to get me in
[01:43:49.287 --> 01:43:52.086]   legal trouble, but he didn't look like he was in the right frame of mind.
[01:43:52.303 --> 01:43:57.766]  So we called law enforcement and we said, hey, look, he looks like he may be under the influence of something.
[01:43:58.146 --> 01:44:01.207]  He needs to be, you know, this is, that was a fault of the deputy.
[01:44:01.227 --> 01:44:02.468]  He needs to be relieved of command.
[01:44:04.093 --> 01:44:05.574]  Oh, he would not.
[01:44:05.654 --> 01:44:08.296]  In fact, I've got the things I'm telling you now I have on video.
[01:44:08.476 --> 01:44:10.118]  I have on video like five feet away.
[01:44:10.518 --> 01:44:11.959]  So the law enforcement showed up.
[01:44:12.019 --> 01:44:18.144]  We had asked for a supervisor or actually I asked for the commander and the Michael DiCarlo staff sergeant.
[01:44:18.604 --> 01:44:19.705]  You know, we found his name later.
[01:44:19.725 --> 01:44:20.646]  He wouldn't give us his name.
[01:44:20.926 --> 01:44:22.687]  We found his name in like five minutes, of course.
[01:44:22.707 --> 01:44:23.768]  This is the age of the Internet.
[01:44:24.288 --> 01:44:27.109]  And, uh, and, uh, would not call us commanding officer.
[01:44:27.149 --> 01:44:29.790]  In any case, right on my video, he said, they're not going to do anything.
[01:44:30.131 --> 01:44:33.672]  I'll just, I'll send you the video and you can, you can make a clip of it yourself.
[01:44:34.032 --> 01:44:35.733]  I mean, and then law enforcement shows up.
[01:44:36.033 --> 01:44:36.673]  I mean, look at him.
[01:44:36.693 --> 01:44:38.194]  He looks like he's whacked out of his brain.
[01:44:39.174 --> 01:44:39.995]  I made that video.
[01:44:40.175 --> 01:44:41.335]  That's my video right there.
[01:44:41.515 --> 01:44:41.715]  Yeah.
[01:44:42.256 --> 01:44:43.036]  I'll give you the whole thing.
[01:44:43.056 --> 01:44:45.097]  We're going to play the audio in a minute.
[01:44:45.357 --> 01:44:47.698]  Guys, get it ready with audio, but tell us, Michael, what happened.
[01:44:49.039 --> 01:44:55.722]  Oh, so later the public affairs guy comes up and starts congratulating him when he got out of the vehicle later.
[01:44:55.782 --> 01:44:56.523]  I got it on video.
[01:44:56.723 --> 01:45:01.545]  I've got it on video when the public affairs guy comes up and congratulates him for what he did right there.
[01:45:01.565 --> 01:45:08.469]  So the bottom line is they're bringing in a woke military that is literally cheerleaders for this invasion and he's ignoring the governor's orders.
[01:45:10.310 --> 01:45:10.530]  Yep.
[01:45:10.931 --> 01:45:12.992]  So we're seeing that over and over and over.
[01:45:13.012 --> 01:45:15.054]  He's Texas National Guard.
[01:45:15.094 --> 01:45:20.939]  Last night it was Puerto Rican National Guard on the New Mexico side lighting us up instead of lighting up the coyotes.
[01:45:21.100 --> 01:45:22.040]  It was unbelievable.
[01:45:22.401 --> 01:45:23.121]  They knew who we were.
[01:45:23.141 --> 01:45:24.222]  It was our second night there.
[01:45:24.242 --> 01:45:31.869]  By the way, liberals always make jokes when we're talking about coyotes like they're a smaller version of a wolf.
[01:45:32.209 --> 01:45:34.691]  We're not talking about the canine coyote.
[01:45:35.012 --> 01:45:37.294]  For folks who don't know, Michael Yawn, explain what a coyote is.
[01:45:38.700 --> 01:45:40.982]  Coyotes are the ones who help people.
[01:45:41.102 --> 01:45:43.323]  They could have been drug smugglers.
[01:45:43.343 --> 01:45:44.184]  They could have been coyotes.
[01:45:44.224 --> 01:45:47.707]  Coyotes are the ones who help funnel aliens across the border.
[01:45:47.967 --> 01:45:52.610]  And by the way, four people have been found dead in that area in about the last week.
[01:45:52.931 --> 01:45:56.994]  It's not in the news much, but it was in the news, and I asked the Border Patrol about it last night.
[01:45:57.354 --> 01:46:03.799]  They said, yeah, there were, but don't know who they were, don't know what happened, but it's just normal along the border to find bodies.
[01:46:03.819 --> 01:46:04.419]  You know how that is.
[01:46:04.439 --> 01:46:05.240]  You've come down here, too.
[01:46:07.363 --> 01:46:10.632]  Well, I got a thousand questions to ask, but I skipped the break.
[01:46:11.033 --> 01:46:14.924]  Continue on, introduce Anthony Rubin to us, keep giving us your intel.
[01:46:16.946 --> 01:46:20.189]  Yeah, I mean, so it's clear that we're being overwhelmed.
[01:46:20.609 --> 01:46:22.611]  The invasion is facilitated.
[01:46:22.951 --> 01:46:24.613]  Texas Governor Abbott is part of it.
[01:46:25.073 --> 01:46:30.037]  He's basically the World Economic Forum appointee for the Texas sector of the invasion.
[01:46:30.057 --> 01:46:33.741]  I mean, he's not really the governor of Texas in the sense that we would look at that.
[01:46:34.101 --> 01:46:35.582]  He's on their website.
[01:46:35.942 --> 01:46:39.806]  Governor Greg Abbott is on the World Economic Forum website.
[01:46:40.326 --> 01:46:46.108]  And, again, you see, again, let's go back to Nazi days and World War II.
[01:46:46.368 --> 01:46:53.670]  After the war is over, we all wonder, you know, because I'm reading history books, as have you, how did anybody not know what was happening?
[01:46:53.950 --> 01:46:55.330]  Or how, why did they do this?
[01:46:55.610 --> 01:46:57.131]  Why did they help operate trains?
[01:46:57.531 --> 01:46:58.951]  Why did they help operate the camps?
[01:46:59.251 --> 01:47:00.351]  Well, that's what we're seeing now.
[01:47:00.672 --> 01:47:05.093]   They're clearly operating The train of migration which is massive.
[01:47:05.413 --> 01:47:06.453]  I mean it's an invasion.
[01:47:06.613 --> 01:47:10.194]  Millions of people have already come and millions more are coming.
[01:47:10.334 --> 01:47:10.794]  Millions.
[01:47:11.174 --> 01:47:13.895]  I mean we're being overwhelmed even while our economy collapses.
[01:47:14.235 --> 01:47:19.357]  We've got people down here on downtown streets of El Paso getting into fights.
[01:47:19.497 --> 01:47:20.537]  We're talking about the aliens.
[01:47:21.117 --> 01:47:24.638]  We've got aliens saying they're being sent to specific parts of the United States.
[01:47:25.018 --> 01:47:37.027]  Mike, Chicago, you saw those black Americans the other day saying that their district is being overwhelmed with aliens, which are overwhelming their, you know, basically going to turn their voting district.
[01:47:38.283 --> 01:47:41.565]  The question is now, are they being targeted to exactly where they're going?
[01:47:41.625 --> 01:47:46.649]  We know that some of the aliens have told us that they're being given instructions to go to certain places.
[01:47:47.349 --> 01:47:49.451]  Michael, that's my next big question.
[01:47:49.491 --> 01:47:50.652]  Everything you bring up is so huge.
[01:47:51.152 --> 01:47:54.935]  The $67 trillion question is, where are they all going?
[01:47:54.975 --> 01:47:56.596]  We see them all over the place in Texas.
[01:47:57.136 --> 01:48:01.779]  But they're showing up in Maine, they're showing up in Massachusetts, they're showing up in Chicago.
[01:48:02.759 --> 01:48:03.900]  You name it, they're showing up.
[01:48:03.940 --> 01:48:08.302]  And since you mentioned it, let me play a clip of South Shore, Chicago.
[01:48:08.902 --> 01:48:12.885]  Voters for Biden by a whopping 97%.
[01:48:14.365 --> 01:48:16.507]  And the residents say they don't want illegal aliens there.
[01:48:16.887 --> 01:48:18.148]  What did they think they were voting for?
[01:48:18.188 --> 01:48:18.648]  Here's a clip.
[01:48:19.722 --> 01:48:22.483]  resources that have not come to us.
[01:48:22.483 --> 01:48:27.802]   Now you want to overly compensate for people who've never lived here before.
[01:48:27.802 --> 01:48:34.443]   And they need to be taken care of first and foremost before anything else happens here.
[01:48:34.443 --> 01:48:35.342]  Yes.
[01:48:35.342 --> 01:48:40.363]   Why would any leader put our black communities already riddled with
[01:48:40.363 --> 01:48:46.842]   crime at further risk by placing unvetted non-taxpayers steps away
[01:48:46.842 --> 01:48:54.082]   from our seniors, our children and our homes we've worked so hard on our own to secure.
[01:48:54.082 --> 01:48:56.082]  Beautiful. Beautiful.
[01:48:55.683 --> 01:48:56.784]  We are at war, people.
[01:48:58.085 --> 01:48:59.646]  Our communities are at war.
[01:49:00.603 --> 01:49:15.476]  They are violating our communities, and we're asking that we have, across the country, we're asking and we're demanding for officers of Black America, or whatever you want to call it, to deal with issues like this!
[01:49:15.756 --> 01:49:19.639]  I did get placed on a wait list, but I was told that the immigrants were taking priority.
[01:49:19.759 --> 01:49:25.064]  That's a story that a lot of people don't know, and it just, it hurt me.
[01:49:25.084 --> 01:49:26.205]  I'm like, oh, wait a minute.
[01:49:26.965 --> 01:49:35.697]   I understand we need to be humanitarian, But these people are, that my participants, are third and fourth generation Chicagoans.
[01:49:36.257 --> 01:49:38.119]  Born, bred, fed, and raised here.
[01:49:38.980 --> 01:49:46.547]  My grandmother, Mary Ellen Carrington, rest in peace, always said, Craig, charity starts at home first, and then it goes abroad.
[01:49:47.948 --> 01:49:53.113]  Politically, having over 500 people in our community would completely wipe out any interest we have.
[01:49:54.420 --> 01:50:00.004]  Many of these migrants have been dumped in our neighborhoods without a plan in place.
[01:50:00.244 --> 01:50:01.425]  That's right, so that's enough.
[01:50:02.025 --> 01:50:04.527]  So it's not 500 migrants, sweetheart.
[01:50:04.667 --> 01:50:06.669]  It's probably 100,000 in Chicago.
[01:50:07.089 --> 01:50:12.212]  We're talking three Chicago's a year being brought in with phones to be controlled.
[01:50:14.614 --> 01:50:17.335]  Veteran and intelligence officer can explain why that's so big.
[01:50:17.695 --> 01:50:18.795]  This is an organized takeover.
[01:50:18.815 --> 01:50:20.175]  We're not against the illegals being brought in.
[01:50:20.195 --> 01:50:22.656]  They're being used as pawns in this.
[01:50:22.736 --> 01:50:28.217]  But since you mentioned it, Michael, I wanted to raise that video clip just to back up what you're saying.
[01:50:28.237 --> 01:50:30.938]  So the big question is, where are they all going?
[01:50:31.278 --> 01:50:34.379]  How do the phones they're being given factor into this?
[01:50:34.399 --> 01:50:39.520]  All right, he froze.
[01:50:40.260 --> 01:50:41.821]  The miracle of Skype or Zoom.
[01:50:43.220 --> 01:50:47.884]  We're going to get him reconnected to comment on that, but this is a big, big deal.
[01:50:47.904 --> 01:50:53.488]  You've got the mayor of New York saying, oh my gosh, we've got tens of thousands of illegals, we've got to ship them to the suburbs.
[01:50:53.868 --> 01:50:54.649]  Where do they go?
[01:50:54.729 --> 01:50:55.830]  There's no jobs.
[01:50:56.510 --> 01:50:58.532]  The plan is to bring the country down.
[01:50:58.832 --> 01:51:01.374]  The UN shut these countries down for years.
[01:51:02.395 --> 01:51:03.716]  So they totally collapsed.
[01:51:04.980 --> 01:51:15.089]  I'm not against these people, but they're coming here as a weapon system, as an economic system, as a voting block to take over society and civilization.
[01:51:16.670 --> 01:51:18.091]  We can't operate without your support.
[01:51:18.151 --> 01:51:19.172]  Your word of mouth is king.
[01:51:19.192 --> 01:51:21.054]  I want to thank you all for your support.
[01:51:21.634 --> 01:51:26.779]  I want to encourage you all to just take action and get great products you need at infowarestore.com.
[01:51:28.885 --> 01:51:29.806]  We have X3.
[01:51:30.286 --> 01:51:31.027]  You've got to take it.
[01:51:31.047 --> 01:51:32.168]  It takes two weeks to kick in.
[01:51:32.668 --> 01:51:33.729]  You need to experience it.
[01:51:33.809 --> 01:51:35.350]  You'll always order it after you do.
[01:51:35.370 --> 01:51:37.372]  10-hour clean energy.
[01:51:37.412 --> 01:51:38.633]  TurboForce back in stock.
[01:51:39.034 --> 01:51:39.794]  Ultimate krill oil.
[01:51:39.914 --> 01:51:40.675]  Ultimate fish oil.
[01:51:41.416 --> 01:51:44.618]  The Alexa Pure water filtration system.
[01:51:44.678 --> 01:51:48.101]  Highest quality water filter for half the cost of leading competitors.
[01:51:48.682 --> 01:51:50.883]  It's all at InfoWarsTore.com.
[01:51:51.224 --> 01:51:52.925]  We're not backed by George Soros.
[01:51:53.366 --> 01:51:54.987]  We are backed by you.
[01:51:55.027 --> 01:51:59.055]   And Michael Young, And the other reporter he's with are knocking out of the park.
[01:51:59.656 --> 01:52:02.658]  I hope we're able to get him and Anthony Rubin back on.
[01:52:02.678 --> 01:52:03.158]  There they are.
[01:52:03.779 --> 01:52:05.020]  They're reconnecting right now.
[01:52:05.540 --> 01:52:08.823]  So, Michael Yon, it doesn't matter if your camera's pointed at the ceiling, it's fine.
[01:52:09.344 --> 01:52:10.224]  I'm going to go to you.
[01:52:11.205 --> 01:52:11.886]  Michael Yon.
[01:52:13.340 --> 01:52:14.260]  Where does this go?
[01:52:14.420 --> 01:52:15.681]  Where are the illegals going?
[01:52:16.141 --> 01:52:17.362]  What is the master plan?
[01:52:17.402 --> 01:52:18.462]  What are the globalists planning?
[01:52:18.902 --> 01:52:19.622]  How do we stop it?
[01:52:19.802 --> 01:52:20.423]  Can you hear me, Michael?
[01:52:20.683 --> 01:52:22.323]  Yeah, we can hear you.
[01:52:22.403 --> 01:52:22.904]  Can you get that?
[01:52:22.924 --> 01:52:23.184]  Yeah, yeah.
[01:52:23.284 --> 01:52:24.084]  Audio doesn't matter.
[01:52:24.224 --> 01:52:24.904]  Video doesn't matter.
[01:52:24.924 --> 01:52:25.805]  Just start talking.
[01:52:25.825 --> 01:52:26.445]  We'll fix it later.
[01:52:26.485 --> 01:52:26.765]  Go ahead.
[01:52:28.027 --> 01:52:34.172]  Okay, I'm going to turn this over to Anthony just a quick, but the phone overheated and we literally got a cup of ice and just put it in.
[01:52:34.192 --> 01:52:34.733]  No, I get it.
[01:52:34.793 --> 01:52:35.313]  That happens.
[01:52:35.333 --> 01:52:36.074]  You're awesome.
[01:52:36.094 --> 01:52:36.434]  We get it.
[01:52:36.474 --> 01:52:37.555]  Incredible technology.
[01:52:39.797 --> 01:52:41.298]  I respect you.
[01:52:41.318 --> 01:52:44.321]  You're a military political mind.
[01:52:45.542 --> 01:52:46.663]  How bad is it going to get?
[01:52:47.343 --> 01:52:48.184]  Where is this going?
[01:52:49.821 --> 01:52:50.241]  Oh, war.
[01:52:50.561 --> 01:52:52.182]  Clearly going into genocide.
[01:52:52.702 --> 01:52:54.023]  I mean, it's utterly clear.
[01:52:54.083 --> 01:52:55.963]  I don't see how it could be any more clear.
[01:52:56.284 --> 01:53:01.826]  I mean, for instance, we were sitting in this lobby last night, and it came on the television right behind me right now.
[01:53:02.106 --> 01:53:05.147]  They were building the white supremacy narrative.
[01:53:05.647 --> 01:53:12.292]  I mean, it's very clear that the ingredients are being built in right now.
[01:53:12.512 --> 01:53:15.094]  And I saw you say that and it go viral five days ago.
[01:53:15.495 --> 01:53:17.436]  Flesh out why you mean genocide.
[01:53:17.956 --> 01:53:19.117]  I totally agree.
[01:53:19.458 --> 01:53:20.478]  Replacement migration.
[01:53:21.059 --> 01:53:21.679]  Civil war.
[01:53:22.120 --> 01:53:23.841]  Flesh out what that means.
[01:53:26.457 --> 01:53:29.038]  Well, first of all, we're going to have massive food shortages.
[01:53:29.118 --> 01:53:29.918]  That much is clear.
[01:53:30.038 --> 01:53:30.638]  That's obvious.
[01:53:30.678 --> 01:53:32.159]  I've been mourning about it for three years.
[01:53:32.199 --> 01:53:33.559]  The conditions are building for that.
[01:53:34.579 --> 01:53:37.200]  And we see the tremendous information war.
[01:53:37.280 --> 01:53:39.661]  I mean, your whole show is called Info Wars.
[01:53:39.981 --> 01:53:41.641]  So no, you don't need the briefing on that.
[01:53:42.060 --> 01:53:47.100]   Everywhere I go, for instance, down in Columbia, you can see on the television, CNN,
[01:53:47.100 --> 01:53:48.819]  showing people how to get here.
[01:53:48.819 --> 01:53:55.500]   Everywhere you go, whether it's here or Europe or Japan, even, you'll see them building this racism narrative,
[01:53:55.500 --> 01:53:57.140]  white man bad and that sort of thing.
[01:53:57.140 --> 01:54:00.661]  Even in Japan, you got BLM walking down the streets.
[01:54:00.661 --> 01:54:02.420]  I mean, it's quite intense.
[01:54:02.420 --> 01:54:07.739]   You can see that as we get millions of people brought into the United States,
[01:54:07.739 --> 01:54:11.020]  these camps, Alex, that they're building are huge.
[01:54:10.888 --> 01:54:16.372]  There's one here in Northeast El Paso that's good to go for at least 4,000 people, we think.
[01:54:16.652 --> 01:54:17.533]  They're still building it.
[01:54:17.853 --> 01:54:19.434]  There's other camps that are out for bid.
[01:54:19.494 --> 01:54:21.556]  I know there's camps all over.
[01:54:22.257 --> 01:54:23.538]  You've talked about this many times.
[01:54:23.938 --> 01:54:25.439]  The FEMA camps and the other camps.
[01:54:25.479 --> 01:54:27.120]  We don't even know how many camps there are.
[01:54:27.261 --> 01:54:27.541]  Do you?
[01:54:27.561 --> 01:54:31.063]  I mean, Alex, actually, I'm asking you, how many camps are there?
