[00:00:00.000 --> 00:00:02.080]  (static)
[00:47:56.057 --> 00:47:59.181]  They're just zombies funded by the globalists, but they know they're dead.
[00:47:59.221 --> 00:48:00.162]  They know they're a joke.
[00:48:00.482 --> 00:48:02.004]  That's why they want to overturn the whole...
[00:48:02.705 --> 00:48:07.265]   system, try to maintain control, but that's not going to work because humanity wants freedom,
[00:48:07.265 --> 00:48:11.785]   wants justice, wants a relationship with God, wants a family, wants prosperity.
[00:48:11.785 --> 00:48:15.185]  So back to Elon Musk and X's spaces.
[00:48:15.185 --> 00:48:19.544]   But when you're talking three, four hours a day, you make mistakes.
[00:48:20.035 --> 00:48:22.076]  And so I think that that's what this is all about.
[00:48:22.256 --> 00:48:23.756]  And so I really look forward.
[00:48:24.156 --> 00:48:27.497]  In fact, you know, I want people that politically disagree with me to come on.
[00:48:28.017 --> 00:48:30.418]  That's much better radio and TV.
[00:48:31.398 --> 00:48:36.279]  But, you know, the Internet put people in their own silos where we don't communicate with each other.
[00:48:36.419 --> 00:48:42.641]  And half the time we're disagreeing with the other side because we have a distorted perspective of what they're saying.
[00:48:42.681 --> 00:48:43.181]  And we know.
[00:48:44.001 --> 00:48:56.785]  The CIA and the Justice Department and the Carnegie and Ford and Rockefeller Foundations that on record create all this division, they're the ones that are manipulating all of that and using that for divide and conquer strategies.
[00:48:57.465 --> 00:49:05.688]  And so I do know how community notes work, and I think it's the best system out there, and I think it's a great innovation that's been brought to the internet by action.
[00:49:08.024 --> 00:49:09.385]  One final question, if you don't mind.
[00:49:10.665 --> 00:49:16.187]  Have you communicated with Musk at all before you were reinstated?
[00:49:16.247 --> 00:49:18.128]  Or did this happen kind of suddenly?
[00:49:19.048 --> 00:49:21.129]  No, I haven't communicated with Elon.
[00:49:21.669 --> 00:49:22.970]  I'm good friends with Joe Rogan.
[00:49:24.030 --> 00:49:29.072]  He didn't tell me any secrets, but we get dinner here and there, and he hangs out with Musk quite a bit.
[00:49:29.711 --> 00:49:34.201]   He told me like two, three years ago, he goes, "No, Mutt's is totally for real and really is pissed off about what's
[00:49:34.201 --> 00:49:34.711]  going on."
[00:49:34.711 --> 00:49:41.711]   And Joe basically said, "He says a lot of the same stuff you say to me at dinner."
[00:49:41.711 --> 00:49:42.711]  He says at dinner.
[00:49:42.711 --> 00:49:49.711]   And so, I mean, I really have just been really pleased at what Mutt's has done.
[00:49:49.684 --> 00:49:51.324]  Christ said, you judge a tree by its fruits.
[00:49:51.604 --> 00:49:55.466]  And the fruit coming out of Musk is just all good.
[00:49:55.566 --> 00:50:00.468]  I mean, it's really amazing what he's been able to do.
[00:50:00.828 --> 00:50:10.311]  And so, and I've told my own listeners this because Musk has pushed some things, you know, that people can take and say, oh, that's bad.
[00:50:10.391 --> 00:50:12.232]  Well, my uncle was in a motorcycle accident.
[00:50:13.314 --> 00:50:19.337]  And got an experimental brain chip five years ago and now can walk and talk and everything else.
[00:50:19.357 --> 00:50:22.518]  So I'm not against brain chips when you need them.
[00:50:22.919 --> 00:50:24.760]  I don't think Musk is bad for pushing that.
[00:50:24.780 --> 00:50:31.403]  I don't think school kids should get them or they should be, you know, sold at a consumer level and people should be told, go out and get them if something isn't wrong with you.
[00:50:31.863 --> 00:50:32.943]  But I'm also a libertarian.
[00:50:32.983 --> 00:50:34.664]  If you want to go out and get a brain chip, that's fine.
[00:50:35.184 --> 00:50:38.126]  But my audience, you know, in the last few years is like, well, maybe he is good.
[00:50:38.166 --> 00:50:41.608]  And then now they're like, wow, this guy's great because he's doing so much good.
[00:50:41.668 --> 00:50:42.348]  You really can't.
[00:50:42.818 --> 00:50:47.617]   argue with the product. And that's why the establishment's after him. And that's the final
[00:50:47.617 --> 00:50:53.218]   thing you know somebody's good when the very corrupt, evil establishment is after him.
[00:50:53.218 --> 00:51:02.336]   I wouldn't call myself a muskophile, but I'm certainly a supporter of his main agendas
[00:51:02.336 --> 00:51:07.057]   that I see as very, very healthy and transformative and empowering for the species.
[00:51:08.336 --> 00:51:13.218]  Yeah and Musk said it himself in a reply to you, Brian.
[00:51:13.316 --> 00:51:22.881]  I'm just trying to find the quote here, but essentially I might, if there's something along the lines of, I might disagree with a lot of what Alex says, but this is what free speech is all about.
[00:51:24.101 --> 00:51:27.703]  And also another thing you mentioned, Alex, about Musk's safety.
[00:51:28.103 --> 00:51:40.514]   One of the first things he, I think it was the first time he came on this show or the second, one of the first two, he said something along the lines of, If they say something happens to me, just remember, I will never commit suicide.
[00:51:41.234 --> 00:51:44.778]  And so it just kind of highlights the concern that many have.
[00:51:44.798 --> 00:51:47.780]  It's based on a lot of the decisions that he's making, and this is one of them.
[00:51:48.501 --> 00:51:50.042]  Trump will never commit suicide.
[00:51:50.183 --> 00:51:51.324]  I will never commit suicide.
[00:51:51.344 --> 00:51:52.885]  Elon Musk will never commit suicide.
[00:51:52.945 --> 00:51:54.306]  Andrew Tate will never commit suicide.
[00:51:54.386 --> 00:51:55.427]  None of us will ever commit suicide.
[00:51:55.467 --> 00:51:56.829]  Jack Mussovich won't commit suicide.
[00:51:56.849 --> 00:51:58.710]  Steve Bannon won't.
[00:51:58.991 --> 00:52:00.212]  They don't want to turn us into martyrs.
[00:52:00.252 --> 00:52:04.641]   They either poison you, Or they come to a murder-suicide-kill-your-wife-kill-you.
[00:52:04.681 --> 00:52:06.742]  That's a known deep state tactic.
[00:52:07.303 --> 00:52:12.065]  And so, absolutely, if they gun down Elon Musk, that only makes him bigger.
[00:52:12.965 --> 00:52:18.128]  But he's such a threat, they might do it even though it makes him into a martyr, because they know there's not leadership to replace him.
[00:52:19.128 --> 00:52:23.030]  So, absolutely, it's very important he get it on record that he will never commit suicide.
[00:52:23.450 --> 00:52:29.393]  That's why Trump will, you know, be randomly driving down the road and order Secret Service to pull over at a hamburger place.
[00:52:30.052 --> 00:52:32.174]  He walks in and says, I'm buying hamburgers for all of you.
[00:52:32.194 --> 00:52:38.579]  And he stands right there at the counter and watches it made, has them deliver him the bags, and then he randomly grabs one.
[00:52:39.160 --> 00:52:40.841]  And I'm not going to get into inside baseball, but...
[00:52:42.996 --> 00:52:47.622]  The kind of stuff they were doing to Trump early on, and I first broke this and later it came out that he thought this too.
[00:52:48.002 --> 00:52:49.064]  They said, oh, Trump's crazy.
[00:52:49.584 --> 00:52:53.208]  He thinks they're putting, you know, sedatives in his food.
[00:52:53.849 --> 00:52:58.755]  Early on in the White House, I've been told by high level sources that he did indeed believe that was happening.
[00:52:59.136 --> 00:53:01.899]  So they also might not kill Musk.
[00:53:02.646 --> 00:53:14.308]  But he should watch out for them, you know, putting radioactive isotope in his food or or some type of, you know, some type of tranquilizer that builds up in the blood.
[00:53:14.328 --> 00:53:20.289]  I mean, this is the real stuff that these intelligence agencies that think they own us have done around the world.
[00:53:20.369 --> 00:53:21.469]  So people better watch out.
[00:53:22.870 --> 00:53:27.290]  And you're talking about one of the one of the most powerful people in the world and the richest man alive.
[00:53:27.730 --> 00:53:31.071]  So kind of highlighting that the amount of influence of power they may have.
[00:53:31.730 --> 00:53:40.217]  Talking about the intelligence agencies, you did talk, and we do have Jackson on stage, who's been very vocal about the war, and Laura as well, who's been vocal about the war in Gaza.
[00:53:40.838 --> 00:53:49.966]  You said something on the Tucker Carlson interview, you said, there is no way one of the best intelligence agencies in the world didn't know this was coming, and you're referring to what happened on October 7th.
[00:53:50.876 --> 00:53:56.598]  Can you elaborate on this and expound on what that means to the Middle East and how the war could end?
[00:53:56.998 --> 00:53:57.918]  I want to be 100% clear.
[00:53:58.079 --> 00:53:59.819]  Israel is a diverse political group.
[00:54:00.299 --> 00:54:02.220]  They were basically in a soft civil war.
[00:54:02.580 --> 00:54:09.102]  So when I criticize Israel, it's not me trying to get points against Israel or points against Palestine or the Palestinians.
[00:54:09.162 --> 00:54:09.823]  It's just a fact.
[00:54:10.383 --> 00:54:13.904]  I did that Tucker interview before the New York Times came out.
[00:54:14.611 --> 00:54:14.731]  Yeah.
[00:54:14.591 --> 00:54:20.270]   and said Israeli military says they knew one year before the attack and the plans.
[00:54:20.270 --> 00:54:21.791]  And now we know there was insider trading.
[00:54:21.791 --> 00:54:26.190]   And so we're not sure who in the Israeli government didn't get the news to Netanyahu or whether
[00:54:26.190 --> 00:54:28.350]  he did know.
[00:54:28.350 --> 00:54:35.071]   But 100 percent, there was a seven hour at least stand down with attack helicopters 10
[00:54:35.071 --> 00:54:36.991]  minutes away by air.
[00:54:36.991 --> 00:54:42.630]   Israel has over 300 of them, including almost 100 Apaches and Cobras fully loaded with weapons
[00:54:42.630 --> 00:54:43.430]  any one time.
[00:54:43.718 --> 00:54:56.867]  Five attack helicopters could have been there when the first calls came in, but instead, retired military officers from as far away as Tel Aviv North drove 45 minutes to an hour south to try to stop the attack.
[00:54:57.347 --> 00:55:04.303]   And so it is a fact that Israel stood down And Netanyahu said, well, let's investigate it after the war is over.
[00:55:04.363 --> 00:55:06.566]  Well, now he's saying it's going to last 10 years.
[00:55:06.666 --> 00:55:11.031]  So there is something rotten in the state of Denmark.
[00:55:11.732 --> 00:55:13.594]  This time it's rotten in the state of Israel.
[00:55:14.414 --> 00:55:19.414]  You have $6 billion sent by Biden to Iran a month before.
[00:55:19.414 --> 00:55:23.054]  Iran is financing Hamas through Hezbollah.
[00:55:23.054 --> 00:55:28.054]   And so I'm not saying Hamas works for Israel, even though Israel helped set it up in the late 1970s.
[00:55:28.054 --> 00:55:29.215]  That's on record.
[00:55:29.215 --> 00:55:35.414]   There's some larger global destabilization going on here so that the war hawks make more money
[00:55:35.414 --> 00:55:36.695]  and have political distractions.
[00:55:36.695 --> 00:55:42.878]   So I think what we know for a fact is Israel stood down We just don't know exactly who or why.
[00:55:43.218 --> 00:55:43.559]  Jackson?
[00:55:43.579 --> 00:55:45.561]  Yeah, I have a question for Alex.
[00:55:45.621 --> 00:55:48.505]  And Alex, by the way, it was great being on your show about two weeks ago.
[00:55:48.565 --> 00:55:50.668]  I had a fantastic conversation with you.
[00:55:53.061 --> 00:56:10.114]  My question for you is, you know, we look at the Trump administration that's probably going to be forming, and the first Trump administration he, you know, handpicked, you know, they kind of had the Republican Party put a bunch of people in that were deep state appointees that were very pro-war.
[00:56:10.474 --> 00:56:16.398]  It wasn't until the end of the administration when we saw more rational minds like Colonel Douglas McGregor begin to rise up.
[00:56:17.259 --> 00:56:33.777]   So in this next Trump administration, Obviously, I think he's going to be filling the important spots with those anti-war voices, given everything that's happening with China, Russia, Gaza, and all the people that want to go to war right now so much with those countries.
[00:56:36.257 --> 00:56:39.880]  You know, Trump is only going to be in office for four years and then who's next?
[00:56:39.900 --> 00:56:45.284]  You're going to have another pro-war spokesperson like Ron DeSantis probably running and Gavin Newsom.
[00:56:45.324 --> 00:56:51.809]  So what's the answer to how we can actually rid these anti-human Malthusian scum from our government?
[00:56:52.550 --> 00:56:54.211]  Does Trump have to lock them in prison?
[00:56:54.251 --> 00:56:59.356]  I mean, I personally would support that, but what, how do you think we actually rid this problem once and for all?
[00:57:00.556 --> 00:57:10.248]   Well, I don't know if Jack Posobiec is there, but he is, He and Steve Bannon are probably the smartest people on this subject, so if you're still there, please pop that ad for me.
[00:57:10.268 --> 00:57:12.549]  But let me just give you a 35,000-foot view.
[00:57:13.030 --> 00:57:17.592]  What you said is totally true about Trump thought, hey, this is like a business.
[00:57:17.652 --> 00:57:19.072]  I'm going to come in, bring people in.
[00:57:19.092 --> 00:57:20.353]  They're going to do what I tell them.
[00:57:20.393 --> 00:57:20.613]  No.
[00:57:21.013 --> 00:57:28.517]  Obama signed the Countering Foreign Disinformation Propaganda Act as one of his last acts when he left office in 2017.
[00:57:29.397 --> 00:57:41.427]   And he put a stay-behind networks in the agencies State Department, FBI, CIHS Department, some think tanks to actually undermine Trump under the auspices of him being a Russian agent with no proof.
[00:57:42.028 --> 00:57:45.370]  So this was going on at the RNC in 2016.
[00:57:45.590 --> 00:57:49.012]  You're listening to Alex Jones.
[00:57:51.860 --> 00:57:56.162]  Elon Musk has valiantly restored myself back to Twitter.
[00:57:56.802 --> 00:58:00.644]  We've received several million followers in just the last six hours.
[00:58:01.145 --> 00:58:03.506]  I was able to interview him today for over two hours.
[00:58:03.826 --> 00:58:08.368]  That interview drops tomorrow at InfoWars.com forward slash show at 11 a.m.
[00:58:08.508 --> 00:58:08.848]  Central.
[00:58:08.948 --> 00:58:11.870]  Clips are already all over ex-formerly Twitter.
[00:58:12.725 --> 00:58:19.789]  But despite all this incredible news, the deep state, the CIA, has been coming after us and has almost shut us down.
[00:58:19.849 --> 00:58:21.190]  We need funding to keep fighting.
[00:58:21.710 --> 00:58:30.595]  And I make it easy to fund the operation with this new book, The Great Awakening, part two of my last book that was a number one bestseller worldwide.
[00:58:31.471 --> 00:58:32.951]  The Great Reset and the War for the World.
[00:58:33.152 --> 00:58:38.493]  This is The Great Awakening, The Plan to Defeat the Globalists, and Launch the Second Great Renaissance.
[00:58:38.933 --> 00:58:40.214]  This book is incredible.
[00:58:40.494 --> 00:58:43.615]  It lays out the enemy's plans and how to counter them.
[00:58:43.635 --> 00:58:52.617]  You can get a signed copy that's a fundraiser to keep us on air, a signed copy at MFORWARSTORE.COM exclusively, or an unsigned copy at MFORWARSTORE.COM.
[00:58:52.978 --> 00:59:00.801]   Or if you want to drive it to number one on Amazon, it was like number 25 yesterday, We can do it together at Amazon.com.
[00:59:01.162 --> 00:59:04.264]  Get The Great Awakening by Alex Jones right now.
[00:59:04.344 --> 00:59:07.566]  But regardless, join us weekdays at 11 a.m.
[00:59:07.606 --> 00:59:11.589]  Central at Infowars.com forward slash show and Band.video.
[00:59:11.710 --> 00:59:22.758]  And now on X at The Real Alex Jones where my show Uncensored is now available thanks to all of you and Tucker Carlson pushing Elon Musk to do the right thing.
[00:59:23.138 --> 00:59:25.658]  This is the fight for our free speech, the fight for the future.
[00:59:25.999 --> 00:59:29.059]  I'll see you all at the Real Alex Jones on Twitter right now.
[00:59:29.279 --> 00:59:41.981]  Please follow us there at the Real Alex Jones.
[00:59:42.021 --> 00:59:43.882]  This is Oda from CCP.
[00:59:43.962 --> 00:59:45.762]  I am the Li Li Ping.
[00:59:46.122 --> 00:59:48.382]  Do not visit infowarshow.com.
[00:59:48.482 --> 00:59:50.683]  Do not, do not, do not.
[00:59:55.163 --> 01:00:02.469]  If you are receiving this transmission, you are the resistance.
[01:00:02.970 --> 01:00:07.213]  The stated mission of modern science is to dominate and control nature.
[01:00:07.674 --> 01:00:14.299]  It was born of the philosophies of Francis Bacon, who suggested we could learn to command nature in action.
[01:00:14.840 --> 01:00:20.385]  And of Rene Descartes, who wrote that mankind could become the masters and possessors of nature.
[01:00:20.885 --> 01:00:30.135]  This was science flipped on its head because the previous scientific philosophy saw nature as a perfect creation of God to be observed and understood.
[01:00:30.516 --> 01:00:31.997]  Take, for instance, water.
[01:00:32.338 --> 01:00:34.600]  Without water, we would not exist.
[01:00:35.121 --> 01:00:41.347]  And so the true value is in understanding the nature of water so that we can flow with it, not control it.
[01:00:42.148 --> 01:00:55.776]  For over 20 years, Japanese scientist Dr. Masaru Emoto studied the groundbreaking science of how the molecular structure in water transforms when exposed to human words, thoughts, and sounds.
[01:00:56.457 --> 01:01:04.742]  Dr. Emoto would simply label a sample of water with different written words, such as, love and gratitude, or, I hate you.
[01:01:05.382 --> 01:01:12.048]  He would then freeze the water samples and capture them as they crystallized with high-speed microscopic photography.
[01:01:12.508 --> 01:01:14.189]  The results were astonishing.
[01:01:14.650 --> 01:01:22.056]  The crystals formed from water exposed to the words love and gratitude were clear, attractive, and symmetrical.
[01:01:22.396 --> 01:01:27.800]  And the crystals formed from I hate you were distorted, asymmetrical, and opaque.
[01:01:28.781 --> 01:01:39.368]  Over and over again, water samples exposed to positive intention formed the hexagonal snowflake-like patterns indicative of structured water found in nature.
[01:01:39.908 --> 01:01:48.013]  And samples exposed to negative intention would lose its structure and mutate, which was also found to be true with samples of polluted water.
[01:01:48.829 --> 01:01:57.317]  Decades of repeated experiments have clearly shown that water is transformed when exposed to human word, thought, and sound.
[01:01:57.898 --> 01:02:02.042]  Dr. Emoto theorized that this is because water has consciousness.
[01:02:02.702 --> 01:02:12.692]  Russian studies have shown that water is imprinted by the energy of its environment, and it retains memory from everything it comes in contact with, even when separated.
[01:02:13.891 --> 01:02:25.993]  During the discovery of the genome, Dr. Bruce Lipton was studying cellular behavior at Stanford University and discovered that our genes switch on or off based on their environment.
[01:02:26.454 --> 01:02:36.676]  Human beings are made of about 50 trillion cells, and each cell is its own little creature that eats, digests, reproduces, and forms communities.
[01:02:37.156 --> 01:02:43.437]  Each individual cell is constantly reading the quality of its environment through its outer membrane skin.
[01:02:43.977 --> 01:02:48.440]  This includes stressful emotions sensed via chemicals in the bloodstream.
[01:02:48.780 --> 01:02:55.045]  And when we are stressed, negative, or fearful, then our cells will switch into their own version of fight-or-flight mode.
[01:02:55.465 --> 01:03:00.288]  They will stop the process of self-healing and begin the process of self-defense.
[01:03:00.769 --> 01:03:08.033]  And conversely, when we are feeling positive emotions, our cells will be switched into self-healing, and the body will thrive.
[01:03:08.954 --> 01:03:15.857]  Dr. Lipton's discoveries were ignored by modern science, who opted for drugs and surgery over love and happiness.
[01:03:16.417 --> 01:03:21.640]  This began the field of epigenetics and answered the question of nature versus nurture.
[01:03:22.080 --> 01:03:27.082]  Experiments have shown that a living creature will thrive on a genetic level when nurtured.
[01:03:27.562 --> 01:03:35.206]  Malignant tumor cells have been reversed, and many people claim to have cured themselves of all sorts of disease, including cancer.
[01:03:35.726 --> 01:03:39.469]  By shifting and maintaining their mental attitude into a positive one.
[01:03:40.029 --> 01:03:45.754]  Official science will predictably call this spontaneous remission, but it is well documented.
[01:03:46.374 --> 01:03:53.560]  The cell protects itself by its membrane, which has a coating of negatively charged sugar crystals in a suspension of water.
[01:03:54.000 --> 01:03:59.504]  Most people think of water as being very special because of its ease of existence in three different states.
[01:03:59.925 --> 01:04:01.646]  Liquid, ice, and vapor.
[01:04:02.006 --> 01:04:05.148]  But the water in our body is not in any of these states.
[01:04:05.488 --> 01:04:08.409]  The water that makes up our cells is in the gel state.
[01:04:08.849 --> 01:04:14.972]  Science is now recognizing a fourth state of water known as the gel state or structured water.
[01:04:15.313 --> 01:04:18.014]  This fourth state is an electropolar state.
[01:04:18.334 --> 01:04:28.236]  Whereas some of the water becomes a negatively charged gel, and the rest, known as bulk water, maintains a positive charge and remains more like a liquid.
[01:04:28.556 --> 01:04:32.537]  This electropropulsion creates movement and kinetic energy.
[01:04:32.998 --> 01:04:35.258]  This is how the blood is moved throughout our body.
[01:04:35.598 --> 01:04:40.359]  The latest evidence shows that the blood is pumping the heart, not the other way around.
[01:04:40.799 --> 01:04:43.960]  And it's the gel-state water that propels the blood.
[01:04:44.400 --> 01:05:01.208]   To thrive, this natural propulsion system Requires a connection to the earth sunlight positive human connection and peace of mind Your body is made up of over 50 trillion cells and each one's health is dependent upon your own our happiness
[01:05:02.500 --> 01:05:07.182]  Please do not forget that my book has gone number one on a bunch of the different subcharts.
[01:05:07.663 --> 01:05:10.464]  The Great Awakening Part 2 of The Great Reset, twice as long.
[01:05:10.824 --> 01:05:12.885]  The Plan to Defeat the Globals, launch the next great renaissance.
[01:05:13.265 --> 01:05:15.987]  But if you want to get destroyed free shipping, double pay three points.
[01:05:16.607 --> 01:05:20.369]  TurboForce, the best nootropic, 10-hour clean energy booster.
[01:05:20.789 --> 01:05:22.130]  It's the highest quality ingredients.
[01:05:22.510 --> 01:05:23.130]  It's amazing.
[01:05:23.971 --> 01:05:26.352]  TurboForce, back in stock in fullmorestore.com.
[01:05:27.836 --> 01:05:30.538]  Up to 60% off on so many great products that are there.
[01:05:31.018 --> 01:05:36.202]  Winner's Sun, the highest quality vitamin D3 that boosts your immune system, taking it under the tongue for absorption.
[01:05:36.722 --> 01:05:38.223]  It's back in stock, 40% off.
[01:05:39.464 --> 01:05:50.652]  Winner's Sun, Turbo Force, X2, Vitamin Mineral Fusion, DNA Force Plus, Basil Beats for your blood and your heart, and what it does for a nitric boost.
[01:05:50.712 --> 01:05:51.313]  Nitric boost.
[01:05:52.819 --> 01:05:53.499]  It's all there.
[01:05:53.499 --> 01:06:08.079]  our website at our info war store dot com. Or triple 8 to 533139.
[01:06:08.079 --> 01:06:33.479]   Leading a frontal assault on the lies of the New World Order. It's Alex Jones.
[01:06:33.473 --> 01:06:39.097]  That's why they say he's going to be a dictator and he's going to kill everybody and prosecute his political enemies.
[01:06:39.117 --> 01:06:41.299]  They're the ones that have been doing that.
[01:06:41.659 --> 01:06:47.989]   He is going to purge the leadership of the US attorneys, all of them, which Clinton did that as well, so it's
[01:06:47.989 --> 01:06:48.759]  constitutional.
[01:06:48.759 --> 01:06:55.699]   That's why they say he's going to be a dictator and he's going to kill everybody and prosecute his political enemies.
[01:06:55.699 --> 01:06:57.559]  They're the ones that have been doing that.
[01:06:57.559 --> 01:07:00.559]  All he's got to do is remove them.
[01:07:00.559 --> 01:07:06.759]   And he's been provided with lists now and is now listening to people that knows who's who.
[01:07:06.775 --> 01:07:16.438]  I mean, well, let me tell you, the Deep State really came after me in 2018 when I went on air and said, Fiona Hill is on the board of George Soros' Open Society.
[01:07:16.778 --> 01:07:20.019]  Fiona Hill is one of the top writers at theglobalist.com.
[01:07:20.579 --> 01:07:25.480]  Fiona Hill, working with McMaster, are inside operatives and they're the molds.
[01:07:26.220 --> 01:07:29.321]  And man, I mean, all hell broke loose.
[01:07:29.821 --> 01:07:32.522]  And she went on 60 Minutes and said, I don't even know what a globalist is.
[01:07:33.777 --> 01:07:36.899]  And so that's why they've said they're not going to let Trump get in.
[01:07:36.999 --> 01:07:40.621]  So they said he was a Russian to the intelligence agencies.
[01:07:41.061 --> 01:07:44.183]  And the intelligence agencies created the fake dossiers, used cutouts.
[01:07:46.104 --> 01:07:48.085]  Now they're saying he's going to be a dictator.
[01:07:48.445 --> 01:07:49.685]  And so he's got to be stopped.
[01:07:50.286 --> 01:07:53.887]  And I believe like they did with JFK, because he wasn't going along with the Federal Reserve.
[01:07:54.328 --> 01:07:56.749]  They already have the plans and blueprints ready.
[01:07:57.441 --> 01:07:59.344]  I guarantee you they're trying to poison him right now.
[01:07:59.965 --> 01:08:02.710]  And if that doesn't work, they'll either blow his airplane up or shoot him.
[01:08:03.150 --> 01:08:07.417]  So you're kind of counting your chickens before they're hatched, and I hope you're right that he gets in.
[01:08:07.477 --> 01:08:12.005]  But I don't think they're going to let him get in unless there's a big enough uproar up front.
[01:08:12.483 --> 01:08:16.003]   to let the establishment know that we're watching them and are aware.
[01:08:16.003 --> 01:08:19.962]   And there may be such an awakening now that they do back off.
[01:08:19.962 --> 01:08:25.123]   That would be their smarter course than try to re-infiltrate in the future.
[01:08:25.123 --> 01:08:26.203]  But I don't believe they're going to do that.
[01:08:26.203 --> 01:08:28.842]   I believe this is the critical juncture, the heart of the battle.
[01:08:28.842 --> 01:08:30.443]  It's the Waterloo.
[01:08:30.443 --> 01:08:34.681]   And they're outnumbered, they're surrounded, and they're not going to surrender.
[01:08:34.779 --> 01:08:42.022]  And so if Napoleon could have assassinated his enemies instead of being defeated, he would have done that.
[01:08:42.582 --> 01:08:44.203]  And so I use the Napoleon analogy.
[01:08:44.243 --> 01:08:47.064]  So it's the globalists in the bunker like Hitler in 1945.
[01:08:47.504 --> 01:08:51.126]  The problem is they're still in control of the bureaucracy.
[01:08:51.526 --> 01:08:53.067]  So we are waking everybody up.
[01:08:53.367 --> 01:08:56.148]  Populists are being elected everywhere, all over the world.
[01:08:56.548 --> 01:08:57.690]  The globalists are in trouble.
[01:08:58.090 --> 01:09:01.715]  So now they're going to throw everything, including the kitchen sink at us.
[01:09:02.216 --> 01:09:03.357]  And so that's where I stand on that.
[01:09:03.417 --> 01:09:03.978]  Is Jack still there?
[01:09:04.600 --> 01:09:05.120]  He is, he is.
[01:09:05.220 --> 01:09:06.881]  And we also have Elon on here.
[01:09:07.421 --> 01:09:14.664]  He did say that connections to your account, the reason you couldn't join is it would take a few more hours for all the connections to be restored.
[01:09:15.425 --> 01:09:17.066]  But you were thanking Elon earlier.
[01:09:17.106 --> 01:09:21.988]  He's on stage, Alex, for you to thank him and ask him any questions you have or vice versa.
[01:09:22.228 --> 01:09:23.208]  Elon, how are you?
[01:09:23.588 --> 01:09:24.829]  Good, Mario.
[01:09:25.489 --> 01:09:26.330]  Yeah.
[01:09:28.070 --> 01:09:30.431]  It's been quite a... These are tumultuous times.
[01:09:32.112 --> 01:09:32.833]  Wild times indeed.
[01:09:34.389 --> 01:09:47.473]  Yeah, as you just mentioned, when there's an account with a large number of followers that is restored to the system, there are a lot of connections that need to get—you have to re-knit the thing together, so that takes several hours.
[01:09:48.094 --> 01:09:53.655]  So Alex's account should be working, I think, probably in a few hours.
[01:09:55.536 --> 01:09:59.521]  The rule that we're trying to follow here is to obey the law.
[01:10:00.321 --> 01:10:20.635]   So obey the laws of the United States, obey the laws of the countries in which X is present, and really do our best to not go beyond the law, on the premise that if the people wish the law to be different, then the people will ask their Representatives or their leaders to change the law.
[01:10:21.835 --> 01:10:26.898]  But otherwise, our goal is to hear as closely to the law as possible.
[01:10:27.979 --> 01:10:32.721]  So if somebody says something that is unlawful, then we will take action.
[01:10:32.921 --> 01:10:37.284]  If someone does not do something that is unlawful, then we would aspire to not take action.
[01:10:39.325 --> 01:10:42.707]  If the laws change, of course, then we will adjust our behavior accordingly.
[01:10:44.408 --> 01:10:48.191]  So that's sort of the general approach that we're taking.
[01:10:48.211 --> 01:10:59.662]  And now that we have community notes, which, while it's not perfect, I think it's the best fact-checking that I've seen on the Internet.
[01:10:59.682 --> 01:11:05.207]  And so if someone were to post false information, they can be community noted.
[01:11:07.060 --> 01:11:11.323]  And, you know, it's always important to say, like, no fact-checking system is perfect.
[01:11:11.823 --> 01:11:16.806]  If perfection is the standard, you can just basically dispense with all fact-checking because nothing will be perfect.
[01:11:17.226 --> 01:11:23.029]  But really, it's really how good is the batting average of any fact-checking system?
[01:11:23.250 --> 01:11:30.374]  My observation of community notes is that the batting average, the probability that the note is correct, is very high.
[01:11:30.833 --> 01:11:34.233]   much better than anything else that I've seen on the internet.
[01:11:34.233 --> 01:11:38.632]   And everything in Community Notes, the code, the data, everything is open source.
[01:11:38.632 --> 01:11:44.033]   So you can independently recreate the outcome of any note as a third party.
[01:11:44.033 --> 01:11:45.833]  So that's full transparency.
[01:11:45.833 --> 01:11:51.833]   So I think that having the Community Notes capability is a very powerful,
[01:11:51.833 --> 01:11:58.032]   it's the most powerful disinformation weapon that I'm, you know, actually combating disinformation.
[01:11:58.032 --> 01:11:59.032]  I mean, I agree.
[01:11:59.032 --> 01:12:00.032]  Yeah.
[01:12:00.032 --> 01:12:02.032]  Can I throw something in real quick here?
[01:12:01.967 --> 01:12:02.187]  Sure.
[01:12:03.648 --> 01:12:10.312]  Look, this is why I believe what people were saying and actually questioned and for a little while thought it might not have happened.
[01:12:10.753 --> 01:12:12.554]  We were lied to about WMDs in Iraq.
[01:12:12.574 --> 01:12:14.195]  We were lied to about anthrax in Iraq.
[01:12:14.575 --> 01:12:15.956]  There was Operation Northwoods.
[01:12:17.757 --> 01:12:18.898]  There was Operation Northwoods in 2000.
[01:12:20.427 --> 01:12:37.822]  ABC News declassified US government plan to stage fake mass shootings and blowing up airlines with people that would take off and would land CIA and then they would actually just blow up a drone plane and then claim a mass event happened or claim a mass fake shooting happened.
[01:12:37.862 --> 01:12:41.044]  So Jesse Smollett lied about what he did.
[01:12:41.064 --> 01:12:46.329]  Hezbollah and Hamas, Hezbollah ran it, did kill a lot of Israelis.
[01:12:46.549 --> 01:12:52.530]   I condemn the attack but It wasn't true that they cut a bunch of heads off.
[01:12:53.490 --> 01:12:56.112]  Even the White House and Israel has to admit that.
