[00:00:00.109 --> 00:00:01.030]  They will destroy us?
[00:46:33.690 --> 00:46:34.891]  Now here's another key point.
[00:46:35.412 --> 00:46:49.602]  If you look at the 40 plus billion that Anheuser-Busch has lost with the entire debacle with Bud Light, that's a great example of us saying we're going to withdraw support of people targeting children and sexualization and this whole transhumanist movement.
[00:46:49.622 --> 00:46:50.083]  That's what it is.
[00:46:50.918 --> 00:46:53.797]   I mean, even you all know Harari at the WF says, "Oh, this is just the beginning."
[00:46:53.797 --> 00:46:56.998]   If you'll accept two men having a baby, you'll accept cyborgs, all the rest of it,
[00:46:56.998 --> 00:47:00.239]   clones, animal-human hybrids, which is all out in the open now.
[00:47:00.239 --> 00:47:03.597]  But instead of just boycotts, what about boycotts?
[00:47:03.597 --> 00:47:05.337]  And that's what this is, folks.
[00:47:05.337 --> 00:47:09.239]   You get all these great shows, all these great memberships, all these great things,
[00:47:09.239 --> 00:47:13.117]   and know that you're part of history, bucking the system, American Revolution,
[00:47:13.117 --> 00:47:15.918]  1776, Worldwide 2.0.
[00:47:15.918 --> 00:47:17.437]  So the boycotts are great.
[00:47:17.437 --> 00:47:21.558]   Pull your money out of the globalist system, but then spend it with the institutions
[00:47:21.558 --> 00:47:23.677]  and organizations that are standing for freedom.
[00:47:23.677 --> 00:47:27.158]   If Anheuser-Busch just lost, I think the number I saw last week was 41 billion,
[00:47:27.158 --> 00:47:31.239]   it just keeps going up and up, 25% market share in all of their products.
[00:47:31.239 --> 00:47:35.398]   Think about what would happen if people spent a billion on Mug Club
[00:47:35.398 --> 00:47:37.097]  instead of 10 million or whatever.
[00:47:36.940 --> 00:47:40.443]  Because this guy's putting almost everything back into the operation.
[00:47:41.064 --> 00:47:48.710]  Because it is about the excitement of standing up for liberty and connecting to our forefathers and foremothers that created this country.
[00:47:49.130 --> 00:47:49.891]  And that's what this is about.
[00:47:52.369 --> 00:47:56.492]  Business sense to not roll over and make the hundreds of millions and salt the system.
[00:47:56.512 --> 00:47:59.174]  But wait, if the whole country and the world's gone, that money doesn't matter.
[00:47:59.254 --> 00:48:00.855]  It makes perfect business sense.
[00:48:00.775 --> 00:48:07.775]   Because our business is prosperity and freedom and justice and Americana 1776 worldwide!
[00:48:07.775 --> 00:48:12.775]  So that's what this is all about.
[00:48:12.822 --> 00:48:18.066]  So we've been talking for six months about doing this, and I said, well, I'm going to keep InfoWars going, the great crew we do.
[00:48:18.627 --> 00:48:20.509]  And they thought, and I said, what's your idea?
[00:48:20.529 --> 00:48:21.589]  And I had mine already written down.
[00:48:21.609 --> 00:48:26.013]  They said, once a week show, build off that, then start building some other shows.
[00:48:26.554 --> 00:48:30.074]   with the funding we get from this we'll be able to hire back more reporters, do more investigative
[00:48:30.074 --> 00:48:35.114]   stuff on the ground at the border and at Bilderberg and at Davos and the RNC and DNC. So this is a
[00:48:35.114 --> 00:48:40.072]   match made in heaven. Everybody needs to tell your friends, your family, your neighbors, "Hey, you
[00:48:40.072 --> 00:48:43.913]   want a second American Revolution? You don't like what's happening? Well, this is the group, this is
[00:48:43.913 --> 00:48:48.153]   the organization that is the best there is. We're not up here saying, you know, we're Superman. We're
[00:48:48.153 --> 00:48:51.913]   not up here saying we have all the answers." But you know what? It's not bragging when it's fact.
[00:48:52.120 --> 00:49:03.233]  People need to recognize that this operation, what Steven Crowder and his crew are doing, is the best, open, freest, biggest thing there is in the world in opposition to the New World Order.
[00:49:03.433 --> 00:49:06.497]  And hey, you tune into my show, you're gonna get...
[00:49:07.324 --> 00:49:12.291]  You're going to get hardcore analysis and over-the-horizon information on what The Globalist are planning next.
[00:49:12.351 --> 00:49:12.892]  That's all it is.
[00:49:12.912 --> 00:49:13.232]  Study it.
[00:49:13.532 --> 00:49:14.153]  It's hardcore.
[00:49:14.193 --> 00:49:15.375]  Don't slit your wrist after you watch it.
[00:49:15.815 --> 00:49:21.503]  But the good thing is you can then tune in to the incredible, amazing, better-than-the-nighttime comedy shows.
[00:49:22.444 --> 00:49:25.865]  Live delivery of these guys, and they make it fun.
[00:49:25.905 --> 00:49:27.286]  That's why I like the energy here.
[00:49:27.566 --> 00:49:31.407]  It's quite frankly, InfoWars, great crew, great people, but it's like you are in a bunker.
[00:49:31.627 --> 00:49:33.748]  We've been doing it 20-something years, and it's crazy.
[00:49:34.028 --> 00:49:40.230]  So it's a breath of fresh air to just add this family to what's happening, to be part of this organization, and to have the InfoWars crew.
[00:49:40.530 --> 00:49:42.110]  Now you're becoming part of this organization.
[00:49:42.190 --> 00:49:43.671]  I'm just blessed and honored.
[00:49:43.711 --> 00:49:44.251]  It's incredible.
[00:49:44.651 --> 00:49:50.657]  And at 11 a.m., just coming up in about an hour from now, I'll do my live show out of the classic Steven Crowder Studios.
[00:49:50.857 --> 00:49:52.699]  We're going to have these guys in here with us.
[00:49:53.179 --> 00:49:53.960]  It's so exciting.
[00:49:53.980 --> 00:49:54.540]  So, 11 a.m.
[00:49:54.581 --> 00:49:57.703]  Central, InfoWars.com, forward slash show and band out video.
[00:49:57.743 --> 00:50:02.428]  But I want everybody watching, that means on InfoWars everywhere, to be part of this revolutionary act.
[00:50:02.448 --> 00:50:03.309]  You want resistance?
[00:50:03.529 --> 00:50:04.490]  You want somebody to stand up?
[00:50:04.510 --> 00:50:05.331]  You want somebody to fight?
[00:50:05.671 --> 00:50:05.991]  Go now!
[00:50:06.832 --> 00:50:08.053]  To the Mug Club.
[00:50:08.373 --> 00:50:14.055]  Go now, ladies and gentlemen, and use the promo codes that are there to get a month off.
[00:50:14.435 --> 00:50:15.035]  Do it now.
[00:50:15.315 --> 00:50:16.076]  Go to Mug Club.
[00:50:16.356 --> 00:50:18.737]  Take action, because the globalists want war.
[00:50:18.997 --> 00:50:19.897]  They want to destroy us.
[00:50:20.117 --> 00:50:20.638]  Well, guess what?
[00:50:20.658 --> 00:50:21.658]  We didn't start this fight.
[00:50:21.698 --> 00:50:22.258]  We don't want it.
[00:50:22.518 --> 00:50:26.518]  But if you wanna fight, you better believe you've got one!
[00:50:26.518 --> 00:50:35.518]  [cheers and applause]
[00:50:35.518 --> 00:50:37.518]  Alex Jones.
[00:50:37.518 --> 00:50:39.376]  [APPLAUSE]
[00:50:39.059 --> 00:50:40.801]  Our insurance covers all that liability, right?
[00:50:43.238 --> 00:50:52.445]  Again, because we had to change one of the credit card processing companies that we use because of how anti-freedom they are, we're giving you the free t-shirt.
[00:50:52.485 --> 00:50:55.487]  So Alex was very zealous, but you get the Fight Like Hell t-shirt.
[00:50:55.527 --> 00:50:56.748]  We can't do the free month right now.
[00:50:57.668 --> 00:50:59.029]  So thank you guys so much.
[00:50:59.049 --> 00:51:03.993]  We're really excited about Alex, of course, Band.Video 11 Central, I guess is when it is.
[00:51:04.053 --> 00:51:04.473]  Don't miss it.
[00:51:04.493 --> 00:51:05.794]  We'll be in there talking about it more.
[00:51:05.834 --> 00:51:08.796]  He'll be telling you about his promo code, what it is that he'll be offering.
[00:51:08.815 --> 00:51:15.435]   It starts with this once a week show and then is going to be growing with a lot as things
[00:51:15.435 --> 00:51:16.435]  unfold.
[00:51:16.435 --> 00:51:19.975]   So now I know that we said we would take some questions from the press and questions from
[00:51:19.975 --> 00:51:25.174]   you in chat and to read them is Gerald Morgan, I guess, as he volunteers as tribute.
[00:51:25.174 --> 00:51:28.576]  Go to livewithcutter.com/mugclub.
[00:51:28.576 --> 00:51:29.694]  Let me just rattle off what we went through.
[00:51:29.738 --> 00:51:31.779]  Hodge Twins, Brian Callen doing his show.
[00:51:31.799 --> 00:51:34.201]  Of course, you already get Nick DiPaolo, Mr. Guns and Gear, right?
[00:51:34.221 --> 00:51:35.402]  The programming that we already have.
[00:51:35.682 --> 00:51:36.643]  His comedy special.
[00:51:36.843 --> 00:51:38.665]  You're gonna have, I think I already said the Hodge Twins.
[00:51:39.165 --> 00:51:40.526]  Undercover investigative unit.
[00:51:40.906 --> 00:51:43.629]  Yeah, you guys get the Friday show a full additional hour, obviously, every day.
[00:51:43.649 --> 00:51:44.810]  We're already Mug Club members.
[00:51:45.330 --> 00:51:47.672]  Alex Jones, as well, on Friday.
[00:51:47.692 --> 00:51:53.376]  So we just about doubled that content and lowered the price from where Mug Club used to be, you know, only a year ago.
[00:51:53.597 --> 00:51:54.317]  So for $7 a month?
[00:51:57.214 --> 00:52:00.957]  I think it's a good deal, but you know, that's just me, Mr. Old Fashioned.
[00:52:02.778 --> 00:52:03.138]  Thank you, sir.
[00:52:03.158 --> 00:52:06.680]  So let's grab some questions, and then we gotta get going because Alex has his show to do.
[00:52:07.020 --> 00:52:09.742]  Alright, I'm gonna start off with one of the questions we got sent in from the press.
[00:52:09.762 --> 00:52:10.503]  I'm just gonna read it for you.
[00:52:10.523 --> 00:52:18.708]  So, can you expand on Rumble's announcement that since March, Mug Club already surpassed 7.5 million in subscriptions with three free months?
[00:52:19.167 --> 00:52:23.510]  Yeah, so you guys know I don't really like talking numbers or money because I think it's vulgar.
[00:52:25.611 --> 00:52:29.053]  But yeah, look, we had no way of reaching you guys.
[00:52:29.073 --> 00:52:30.374]  You know, we created Mug Club forever.
[00:52:31.455 --> 00:52:36.859]  And so because I know that a lot of you had signed up before and weren't able to get new memberships, we gave away three months free.
[00:52:37.559 --> 00:52:42.542]  So that five months includes a lot of people who are still probably in their second or third month free.
[00:52:43.823 --> 00:52:44.983]  Yeah, we're incredibly grateful.
[00:52:45.124 --> 00:52:54.967]  Even with that, it was 7.5 million in initial subscribership, which has all been reinvested into what we're doing here and is just the tip of the iceberg.
[00:52:55.007 --> 00:52:58.889]  So, it can be done, it is being done, and we can't thank you enough.
[00:52:59.049 --> 00:53:04.031]  Like Alex said, let's get that to a billion so that they'll be urinating their little leftist panties.
[00:53:04.071 --> 00:53:05.071]  You can win right now!
[00:53:05.531 --> 00:53:05.792]  I know.
[00:53:05.912 --> 00:53:09.133]  I don't want to take a billion from Anheuser-Busch, I want 40 million in my club!
[00:53:09.153 --> 00:53:09.953]  There we go, baby.
[00:53:10.053 --> 00:53:11.674]  I wouldn't know what to do with it, but I'll figure it out.
[00:53:13.404 --> 00:53:14.145]  There are a few things.
[00:53:14.665 --> 00:53:16.286]  Alright, so another question from the press.
[00:53:16.306 --> 00:53:21.110]  So, how is Mug Club different from before, and what exactly does network mean?
[00:53:21.531 --> 00:53:23.572]  Yeah, so this is something that we've talked about.
[00:53:23.592 --> 00:53:26.775]  Let me give you an example for, I guess, starters.
[00:53:27.175 --> 00:53:31.359]  So, Brian Callen has done quite a few comedy specials, and obviously Nick DiPaolo has.
[00:53:31.379 --> 00:53:33.600]  I mean, these are guys who are experienced veterans in the industry.
[00:53:34.321 --> 00:53:36.482]  He's going to be doing his next special with us.
[00:53:36.622 --> 00:53:41.543]  Now, there's a problem, and I'll get to exactly how this relates to Mug Club, in this industry, for example, for comedians out there.
[00:53:42.043 --> 00:53:48.646]  And it's not one that conservatives have particularly tried to solve because there aren't that many people on the right, you know, who would really be doing a viable special, so I understand that.
[00:53:48.686 --> 00:53:49.646]  But there are some people.
[00:53:50.066 --> 00:53:52.067]  There are some people who are very much worthwhile.
[00:53:52.488 --> 00:53:56.671]  The problem right now in the industry with stand-up comedy is you have this choice to make, okay?
[00:53:56.911 --> 00:54:00.313]  You can get paid, but that means that you go with a place like Netflix, or Max.
[00:54:00.974 --> 00:54:07.238]  It used to be HBO, now it's called Max, which just means you get some crappy Discovery, Shark Week crap, which, hey, spoiler alert, it's always the human's fault.
[00:54:07.258 --> 00:54:08.059]  I've been watching it this week.
[00:54:09.756 --> 00:54:13.078]  So, uh, you had to do that, in which case you lose everything.
[00:54:13.098 --> 00:54:17.781]  You lose ownership over everything, and you hope that it gets put in someone's featured list.
[00:54:18.101 --> 00:54:20.683]  The alternative is to self-release, right?
[00:54:20.723 --> 00:54:23.945]  You release it by yourself on YouTube because you want to reach as many people as possible.
[00:54:24.405 --> 00:54:32.431]   Now, if you're lucky, it'll hit critical mass, and a lot of people will see it on YouTube, but you may not get paid, and if you say anything wrong, In those specials, right?
[00:54:32.551 --> 00:54:33.272]  On YouTube, by the way.
[00:54:33.292 --> 00:54:40.522]  I'm not talking about on a network, but even just on freely available platforms, well, you're throttled, you're demonetized, you're shadow banned, and you make no money.
[00:54:40.642 --> 00:54:46.691]  So we've tried to solve that problem, and if you're a stand-up comic out there looking to do this, we don't even care if you're left or right, you just don't want to be censored.
[00:54:47.171 --> 00:54:47.892]  We pay you up front.
[00:54:48.632 --> 00:55:00.721]  And we pay you with a portion of the plays that you get afterwards, and we allow any creator here, any stand-up comedian, to release a long version, for free, at will, on every platform they want, and then there's an extended version, in Mug Club.
[00:55:01.341 --> 00:55:11.409]  And so, the performer, the creator, gets what they need, they get to feed their family, they also get to grow their audience, the audience gets what they want, because they get a full special, and Mug Club gets the best.
[00:55:12.304 --> 00:55:13.706]  You get what other people don't.
[00:55:13.826 --> 00:55:14.967]  You get an extended version.
[00:55:15.047 --> 00:55:17.531]  So we're not talking about a clickbait algorithm with 30 seconds.
[00:55:17.631 --> 00:55:21.676]  We're talking about releasing 30, 40 minute special and then an hour, hour 10 for Mug Club.
[00:55:22.196 --> 00:55:26.361]  It's the way to fill all of those gaps and allow content creators to do what they do.
[00:55:26.502 --> 00:55:27.042]  We all know this.
[00:55:27.062 --> 00:55:30.687]  How many meetings have we been in where all of a sudden an executive comes in and tells you what you want?
[00:55:31.007 --> 00:55:33.469]  And then everyone wonders why everything looks the same and it's sanitized.
[00:55:33.489 --> 00:55:41.033]  So that same thing with stand-up is we've looked at a problem out there, and this is something we've gotten a lot of feedback, because I do not take it lightly.
[00:55:41.073 --> 00:55:44.595]  Like, I get it, you know, we offer this at a lower price than our competitors, for sure.
[00:55:44.895 --> 00:55:48.558]  That's very important to us, because I know that parting with your hard-earned dollar means something.
[00:55:48.618 --> 00:55:59.464]  But I also know that there are other creators out there who you want to support, and we'll have people say, you know, I want to join up, but I just joined so-and-so's club, and I just joined so-and-so's... How many conservatives have a HBO membership?
[00:55:59.824 --> 00:56:00.825]  I mean, they've got to support conservatives.
[00:56:00.925 --> 00:56:01.105]  Right.
[00:56:01.205 --> 00:56:02.426]  No, you're exactly right.
[00:56:02.646 --> 00:56:07.890]  Obviously, we're not there yet, but what we are doing is... No, no, Alex, Gerald's going to control the microphone.
[00:56:07.910 --> 00:56:08.951]  He's going to control the microphone.
[00:56:09.291 --> 00:56:23.121]  So, when you have tit fatigue, look, we want to get to hundreds of people, we want to get to dozens of people, but hey, half a dozen of people who you've already been watching, certainly myself and Alex and Brian and Nick and Hodgwin's, right?
[00:56:23.381 --> 00:56:27.704]  That's more than any other network out there on the right or left from the ground up has ever had.
[00:56:27.744 --> 00:56:31.667]   Now, there have been people where Millions of dollars have been spent to tell you that you want them.
[00:56:32.207 --> 00:56:33.929]  These are people who have been around for a long time.
[00:56:33.969 --> 00:56:39.152]  It's not hundreds of creators yet, but one portal, one network, and you get access to all of it.
[00:56:39.273 --> 00:56:43.576]  And hey, everyone else out there, if you have to make the choice, this is a problem that a lot of creators face.
[00:56:43.596 --> 00:56:44.156]  We know this too.
[00:56:44.797 --> 00:56:57.106]  They go, well, hold on a second, if I go with a network, one of these people out there, I'll get maybe more exposure, right, if I say what they want me to say, or if I happen to kind of, you know, strike a chord with the audience, but I lose ownership over everything forever.
[00:56:57.746 --> 00:57:08.810]  Or, I go off on my own, create my own tip jar, my own Patreon, whatever it is, whatever service is being used that day, and I make more money because I get 100% of it, and I can feed my family, but I don't benefit from any exposure.
[00:57:09.450 --> 00:57:20.474]  Our contracts are structured so that you have your subscribers, and if you want to take them with you, you can, and everyone benefits from an overall network, one portal, multiple creators, and we want it to be much larger in the future.
[00:57:24.383 --> 00:57:26.924]  And of course, Rumble is the platform for that.
[00:57:26.944 --> 00:57:34.848]  You have Rumble, and then another umbrella they've specifically helped create for us is Mug Club that exists on Rumble, and then all the creators there.
[00:57:34.888 --> 00:57:40.130]  But you can go to loudestcutter.com slash Mug Club, and you'll be able to see any of the shows or content that is in the network.
[00:57:40.270 --> 00:57:42.110]  Yeah, and you guys will see that new layout today.
[00:57:42.150 --> 00:57:49.372]  We actually just rolled out the network view, so when you log in, you're going to see those videos, the most recent one, something that's live, it's going to be right there, all of the new shows that we're adding.
[00:57:50.173 --> 00:57:56.374]  Because we did, by the way, we have heard some of your complaints, of course, with where there was that, and there was locals, and it was, you know, because this thing grew so quickly, just to be clear.
[00:57:56.394 --> 00:58:14.905]   You guys joined up so quickly that we had to adapt, and we had to grow, where it all exists on Rumble now, and it's a lot closer, if not right there today, to looking like the network that you would, you know, You only, you don't have to see 8-year-old's asses like cuties on Netflix, you know, but similar experience just without the degenerate evil.
[00:58:16.749 --> 00:58:18.050]  All right, let's go to one of the chats here.
[00:58:18.070 --> 00:58:20.572]  So this is the bottom chat in that first series.
[00:58:20.612 --> 00:58:22.553]  I'm kind of skipping around a little bit so they know which one to pull up.
[00:58:22.593 --> 00:58:25.215]  So at R3DL, so here's the question.
[00:58:25.516 --> 00:58:26.937]  Were they named by Elon Musk?
[00:58:27.057 --> 00:58:27.597]  I don't know.
[00:58:27.617 --> 00:58:29.939]  Yeah, it seems kind of random, R3DL.
[00:58:30.560 --> 00:58:38.806]  Given the large platform you have obtained, the new programs and shows, do you intend to begin to engage politicians and parties more to influence policy and change the country?
[00:58:40.487 --> 00:58:41.468]  That's a good question.
[00:58:42.469 --> 00:58:44.030]  Let me let you in on a little secret.
[00:58:45.091 --> 00:58:46.532]  Most politicians suck.
[00:58:49.525 --> 00:58:52.486]  Now, we've done the show for a very- and we've had, by the way, a lot of people on the show.
[00:58:52.506 --> 00:58:59.028]  I mean, you know, we've had- I mean, we've had- you can go through the- pretty much everyone who's run for significant office really has been on at some point.
[00:58:59.468 --> 00:59:01.428]  But we won't have people on to just hit talking points.
[00:59:01.988 --> 00:59:07.210]  And actually, the night of the debates, which is one of the primary debates, the date- I believe it's Wednesday the 23rd.
[00:59:07.330 --> 00:59:08.230]  So Wednesday the 23rd.
[00:59:08.250 --> 00:59:10.451]  Okay, Wednesday the 23rd, when those debates are going on, right?
[00:59:10.491 --> 00:59:11.391]  Rumble is helping host that.
[00:59:11.711 --> 00:59:14.092]  We are going to have a Mug Club booth there.
[00:59:14.972 --> 00:59:18.854]  Where everyone participating can sit down in that booth and we can talk with them.
[00:59:19.174 --> 00:59:20.455]  But they aren't going to be softballs.
[00:59:21.295 --> 00:59:28.338]  They're not going to be the questions that are handed to them with the talking points from their people, and so often some of these folks don't necessarily want to come on the show.
[00:59:28.558 --> 00:59:37.382]  Now, I said under the tutelage of Andrew Breitbart, and he always said that politics is, I don't know if it's upstream or downstream, I think both apply, is upstream, culture is upstream from politics.
[00:59:38.903 --> 00:59:40.044]  Think about what we just discussed.
[00:59:40.845 --> 00:59:49.151]  HBO, right, Max, Netflix, Hulu, YouTube, Facebook, Big Tech, the entertainment industry, it's all part of one unholy amalgamate.
[00:59:49.791 --> 00:59:59.919]  If you would take the power of a senator or a presidential candidate who's really just running to sell more books over the power of Silicon Valley and Hollywood, I think you need a CAT scan.
[01:00:00.319 --> 01:00:07.524]  And so we will have politicians on as they serve the people, and if they serve you, not to serve them and their handlers.
[01:00:07.564 --> 01:00:09.725]  Look, I don't want to throw anyone under the bus, but you know what?
[01:00:09.745 --> 01:00:11.706]  Let's start with Mitch McConnell because I'm in a bad mood.
[01:00:14.168 --> 01:00:16.369]  Nick and I were talking about this, and Brian, right?
[01:00:16.989 --> 01:00:18.110]  Well, we were talking about this.
[01:00:18.410 --> 01:00:19.711]  We were on the road, right?
[01:00:20.131 --> 01:00:22.093]  Thousands, hundreds of thousands of people just last year alone.
[01:00:22.653 --> 01:00:25.696]   Anytime I mention Mitch McConnell, It's nothing but boos.
[01:00:26.157 --> 01:00:29.441]  Same thing for whether it's Paul Ryan, Kevin McCarthy, Chris Christie.
[01:00:29.621 --> 01:00:30.683]  And I go, whoa, hold on a second.
[01:00:32.145 --> 01:00:35.188]  I've not met one Mitch McConnell or Lindsey Graham fan.
[01:00:36.021 --> 01:00:36.521]  Not one!
[01:00:37.182 --> 01:00:39.004]  But these people are always in positions of power.
[01:00:39.044 --> 01:00:42.667]  That tells you that there's a disconnect, not just with the left, but with people on the right.
[01:00:42.767 --> 01:00:45.249]  Because it's a coronation, a lot of the time.
[01:00:45.489 --> 01:00:49.193]  And we will take part in supporting politicians, people who support our values.
[01:00:49.213 --> 01:00:50.854]  But first off, this is an entertainment network.
[01:00:50.934 --> 01:00:52.415]  It's not just political punditry.
[01:00:52.816 --> 01:00:54.677]  And second, they have to serve you.
[01:00:55.098 --> 01:00:55.918]  We don't serve them.
[01:00:55.978 --> 01:00:59.782]  So if they're okay with those terms, hey, we have a booth at the presidential primaries, the debate.
[01:01:00.182 --> 01:01:00.562]  Go on.
[01:01:00.663 --> 01:01:00.943]  Step up.
[01:01:01.474 --> 01:01:01.794]  Absolutely.
[01:01:01.814 --> 01:01:02.815]  It's going to be fun right after it.
[01:01:02.855 --> 01:01:04.375]  You guys will see some of those candidates come by.
[01:01:04.395 --> 01:01:05.255]  We've already got some booked.
[01:01:05.395 --> 01:01:05.636]  Yeah.
[01:01:05.716 --> 01:01:06.716]  It's going to be a fantastic night.
[01:01:06.736 --> 01:01:08.036]  For some, we need a wide-angle lens.
[01:01:09.217 --> 01:01:10.197]  I think we can all guess.
[01:01:11.378 --> 01:01:12.058]  Okay, chat.
[01:01:12.398 --> 01:01:16.259]  So, right above that one, we've got AtSweetPatata918.
[01:01:16.660 --> 01:01:17.980]  Patata, as you may say it.
[01:01:18.960 --> 01:01:23.039]   I know you're all excited about the future of Mug Club, but which new development do
[01:01:23.039 --> 01:01:25.199]  you foresee making the largest impact?
[01:01:25.199 --> 01:01:31.599]   Well, you're already number one, so I think tripling the audience to 50 million is good.
[01:01:31.599 --> 01:01:32.599]  Well no, look, I will say this.
[01:01:32.599 --> 01:01:33.599]  Alex is our hype man.
[01:01:33.599 --> 01:01:34.599]  Yeah, Alex.
[01:01:34.599 --> 01:01:37.920]  I love it, yay.
[01:01:37.920 --> 01:01:41.280]  It's deaf comedy Alex.
[01:01:41.280 --> 01:01:42.280]  You know, it's tough.
[01:01:42.280 --> 01:01:44.559]   I'm really excited about the investigative journalism unit, and I always wonder when
[01:01:44.559 --> 01:01:46.679]   you look at these other companies, like, "Wait, you have hundreds of millions of dollars?"
[01:01:47.341 --> 01:01:48.162]  Why don't you do this?
[01:01:49.318 --> 01:01:50.239]  Everyone should be doing it, right?
[01:01:50.279 --> 01:01:51.299]  If we really care about it.
[01:01:51.920 --> 01:01:52.520]  That's a big one.
[01:01:52.720 --> 01:01:55.742]  And look, I will say, I feel like there's no win.
[01:01:55.802 --> 01:02:01.986]  I love everyone here, but everyone else is too afraid, I will say, with Alex Jones to take that on in a partnership.
[01:02:02.006 --> 01:02:05.048]  And we've always tried to, even though I don't agree with Alex and everything, we've talked about that on air.
[01:02:05.128 --> 01:02:05.949]  It doesn't matter.
[01:02:06.209 --> 01:02:07.790]  If they come for him, they can come for all of you.
[01:02:07.810 --> 01:02:16.496]  And there has never been a one-two, and I don't want to say one-two punch because, I don't know, they're both overhand rights with me and Alex on the same network.
[01:02:17.676 --> 01:02:32.107]  That's something that really hasn't been done before, and the only reason that it could happen here is because when you reach certain levels of success, like Alex has, people who want to dangle the carrot don't offer you anything of value if freedom and authenticity really matters to you.
[01:02:32.988 --> 01:02:50.407]   So the reason that I say he's a white whale, he's an unbelievable get, is because it means that there's something here that we do that is fundamentally different from everyone else out there, and so that, with everything else that we're doing, I mean, I'm excited about all of it, but that does speak to the fact that, hey, I appreciate it means we offer something that he wanted to be a part of.
[01:02:55.390 --> 01:02:59.871]  Well really quickly, you mentioned the undercover thing being a really important and big part of what we're going to do.
[01:03:00.131 --> 01:03:03.912]  I just want people to know, we still love and support James O'Keefe and what he's doing out there.
[01:03:03.932 --> 01:03:17.815]  We're not looking to replace that, but we have so many people coming to us with information that at some point we... So many of you mug clubbers out there, eyes and ears everywhere, coming to us, saying these things, and we just didn't want those things to fall on deaf ears anymore.
[01:03:17.935 --> 01:03:18.695]  No, no, absolutely right.
[01:03:18.876 --> 01:03:20.256]  And that's why I said largely dead.
[01:03:20.296 --> 01:03:23.157]  James O'Keefe obviously is doing a lot of great work and he was a target too.
[01:03:23.417 --> 01:03:23.797]  Yeah, he was.
[01:03:25.177 --> 01:03:26.338]  He wants to bring him down.
[01:03:26.358 --> 01:03:27.118]  Oh yeah, we would love to.
[01:03:27.899 --> 01:03:28.479]  We love James.
[01:03:28.560 --> 01:03:31.402]  And here's kind of the big difference too with what we do.
[01:03:31.542 --> 01:03:34.104]  This is what's never really existed before with investigative journalism.
[01:03:35.154 --> 01:03:38.636]  Uh, James O'Keefe, at least in the past, right, a lot of it, for example, you had donors.
[01:03:39.277 --> 01:03:43.800]  Um, and that often means that these donors have specific, specific goals they want to accomplish.
[01:03:43.840 --> 01:03:45.681]  Now, I don't mean that these goals are nefarious at all.
[01:03:45.701 --> 01:03:48.083]  As a matter of fact, sometimes these donors, right, are entirely aligned with freedom.
[01:03:48.423 --> 01:03:56.148]  But, unless it moves the needle and a politician is ousted, or it's something that is a huge newsmaker, the investigative journalism does not get funded.
[01:03:56.429 --> 01:03:57.810]  And here at Mug Club, hey, guess what?
[01:03:57.930 --> 01:04:03.734]  A local drag queen story hour, where the person who's heading that up also happens to be the head of a local school district, that's enough.
[01:04:04.494 --> 01:04:21.304]  We can do anything, and by the way, it could just be interesting, informative, it doesn't have to exist on a national scale, because you chip, chip, chip away, it's a battle of inches, and we can claw for every single one of those, because we don't have to worry about a donor saying, hey, I want to make sure that the 51st Congressional District is ousted before election time.
[01:04:21.564 --> 01:04:25.787]  We don't care, we want to serve you, and sometimes that doesn't mean just political, but cultural.
[01:04:25.807 --> 01:04:33.732]  I mean, we're at a point in this country, think about it, where we might be banned, or we might be suspended right now for simply saying that men and women are a thing.
[01:04:34.354 --> 01:04:39.434]   There's investigative journalism there that's important that may not be funded by donors
[01:04:39.434 --> 01:04:40.434]  and non-profits.
[01:04:40.434 --> 01:04:41.434]  So we have...
[01:04:41.434 --> 01:04:42.434]  [inaudible]
[01:04:42.434 --> 01:04:43.434]  Change my mind?
[01:04:43.434 --> 01:04:44.434]  Change my mind.
[01:04:44.434 --> 01:04:48.754]  Yeah, we're working on it.
[01:04:48.760 --> 01:04:49.661]  We're working on it.
[01:04:50.001 --> 01:04:53.983]  We're going to do, so we've got a lot of really exciting announcements for Supervideos and things like that.
[01:04:54.003 --> 01:04:54.703]  Yes.
[01:04:54.763 --> 01:04:58.925]  Really quickly before we move on, so if you do have a tip out there right now, let's start getting them in.
[01:04:59.125 --> 01:05:01.887]  LWCTips at ProtonMail.com.
[01:05:01.907 --> 01:05:04.528]  That's LWCTips at ProtonMail.com.
[01:05:04.988 --> 01:05:07.990]  Okay, let me go back up a little bit here to another chat about this.
[01:05:08.010 --> 01:05:09.151]  This actually relates.
[01:05:09.191 --> 01:05:12.052]  So HydroManBlues said, undercover investigative journalist.
[01:05:12.072 --> 01:05:12.832]  This is exciting.
[01:05:13.013 --> 01:05:13.813]  I want to help.
[01:05:13.973 --> 01:05:15.334]  How can we contribute?
[01:05:16.590 --> 01:05:18.291]  I think we kind of gave you the answer right there, right?
[01:05:18.311 --> 01:05:18.972]  So send your tips in.
[01:05:19.292 --> 01:05:22.716]  There's other ways that people maybe be a little bit more aware of what's going on.
[01:05:24.157 --> 01:05:25.719]  There you go.
[01:05:26.159 --> 01:05:27.361]  Get more eyes and ears out there.
[01:05:27.381 --> 01:05:28.362]  That's a great way to do it.
[01:05:28.382 --> 01:05:29.423]  Look, it's a simple equation.
[01:05:29.443 --> 01:05:33.867]  The more of you who join up and the more of you who watch and share, that's what does it.
