[00:00:04.622 --> 00:00:08.035]  You're gonna pay somewhere between 20% and 40% less than those other countries.
[00:51:04.781 --> 00:51:21.054]  What I want to say is, I wonder if it can be investigated how much money Bill Gates is going to make on a vaccine for malaria now that he's done set mosquitoes loose in Florida and Texas and God knows where.
[00:51:22.075 --> 00:51:27.359]  You know, the people in India and Africa, they don't like him for all the vaccines he's put over there.
[00:51:28.311 --> 00:51:29.573]  Yeah that's a really good point.
[00:51:29.713 --> 00:51:38.491]   You know, this is one of the funny things about Bill Gates to me is that people talk about how he gave his entire Wealth away.
[00:51:38.571 --> 00:51:52.575]  He's donated everything that he made from Microsoft to the fighting against the disease in third world impoverished countries, to the establishment of safety and resources and green energy and health to people all over the world.
[00:51:52.835 --> 00:51:56.576]  He's done so much good since he was the founder of Microsoft with his wealth.
[00:51:56.816 --> 00:52:04.538]  But time and time again, we see that he's making investment decisions not for the good of the people, but so that he can make millions upon millions of dollars.
[00:52:05.998 --> 00:52:17.961]  You don't buy 1,038,000 shares of BioNTech at $18 a share and then sell it a year and a half later or two years later for $300 a share because you love humanity so much.
[00:52:18.001 --> 00:52:24.582]  You do it so you can make tens and tens of millions of dollars, if not hundreds of millions of dollars, off of that business deal.
[00:52:24.602 --> 00:52:35.855]   When you have insider knowledge like that and when you have incentive to lie about products in the public health sector, In order to make millions upon millions of dollars like that, it's not something that you're doing to save humanity.
[00:52:36.095 --> 00:52:46.364]  And frankly, if you look at it from an altruistic perspective, let's just measure up how much good Bill Gates did for humanity.
[00:52:48.334 --> 00:52:54.218]  At Microsoft versus since Microsoft with all of his vaccine baloney, right?
[00:52:54.859 --> 00:53:04.506]  I mean, Microsoft, whether you like Microsoft or not, whether you like Bill Gates or not, you have to admit it put the Internet and computing in the hands of poor people all over the world.
[00:53:05.106 --> 00:53:10.066]   There are people in India right now that are able to do things like graphic design, software
[00:53:10.066 --> 00:53:13.865]   development, web development, that are able to provide for their families for the first
[00:53:13.865 --> 00:53:18.986]   time in a way that was not possible before Microsoft because of Microsoft, because of
[00:53:18.986 --> 00:53:23.706]   things like Windows 95, Windows 98, Windows XP, these operating systems, and then all
[00:53:23.706 --> 00:53:27.985]   the hardware that was cheap enough for the first time ever that a college didn't have
[00:53:27.985 --> 00:53:32.426]   to spend $100,000 on a supercomputer in order for somebody to do a little bit of math, but
[00:53:32.426 --> 00:53:36.926]   everybody could have a computer more powerful than the computation used to get astronauts
[00:53:36.926 --> 00:53:42.785]   to the moon in their own home, even in a third world home, right?
[00:53:42.785 --> 00:53:49.446]   So I contend that Bill Gates, through his work at Microsoft, did much more to actually
[00:53:49.446 --> 00:53:55.166]   help vulnerable, disenfranchised, and poor people all over the world than anything that
[00:53:55.166 --> 00:54:00.766]   he's ever done altruistically through any charity since he left Microsoft.
[00:54:00.766 --> 00:54:05.906]   And it's just a testament to the fact that capitalism is actually better for the poor
[00:54:05.906 --> 00:54:07.946]  than collectivism.
[00:54:07.946 --> 00:54:12.246]  Capitalism is better for the vulnerable than altruism.
[00:54:12.246 --> 00:54:17.125]   Doing things out of your own self-interest with a moral compass.
[00:54:17.163 --> 00:54:35.815]  Not at the expense of other people, but building giant companies that offer legitimate value to people all over the world actually helps the poor people more than just trying to enforce your agenda or your ideals or your view on humanity by throwing billions upon billions of dollars at wasteful non-profits.
[00:54:37.619 --> 00:54:38.420]  I want to take more calls.
[00:54:38.440 --> 00:54:40.902]  Make sure you call in 877-789-2539.
[00:54:41.522 --> 00:54:43.343]  We've got time for one more call before we cut the break.
[00:54:43.384 --> 00:54:46.526]  Let's hear from Alex in Michigan.
[00:54:46.626 --> 00:54:47.707]  Alex, how are you, sir?
[00:54:49.969 --> 00:54:50.949]  Hey, how's it going, man?
[00:54:51.110 --> 00:54:51.510]  Good, man.
[00:54:51.530 --> 00:54:52.030]  Thanks for your call.
[00:54:54.132 --> 00:54:59.616]  Yeah, I just wanted to talk about how the Illuminati is run and it's run by the Jesuits.
[00:55:02.839 --> 00:55:04.240]  Okay, tell me more.
[00:55:06.255 --> 00:55:09.698]  And so it's the Freemasons also, the high-level Freemasons.
[00:55:09.758 --> 00:55:11.200]  I understand you're a Freemason.
[00:55:11.240 --> 00:55:23.831]  Maybe you're only a Blue Lodge and don't know what's going on higher up, but the Jesuits use Freemasonry to fulfill the needs of the Black Pope in Rome, who runs Washington, D.C.
[00:55:23.851 --> 00:55:28.015]  through Georgetown University and the Masonic Lodge there in D.C.
[00:55:29.113 --> 00:55:31.054]  I'm a member of Federal Lodge No.
[00:55:31.074 --> 00:55:31.574]  1 in D.C.
[00:55:31.614 --> 00:55:34.095]  It's among several Masonic Lodges in D.C.
[00:55:34.135 --> 00:55:42.599]  And I can tell you for a fact that Freemasonry has nothing to do with the existing conspiracies around the Illuminati or the New World Order or the Black Pope.
[00:55:42.639 --> 00:55:53.284]  Frankly, I believe it's still against the Catholic Church to even be a member of a Masonic Lodge because the Masonic Lodges were associated with the Reformation and freedom of thought and freedom of speech.
[00:55:53.604 --> 00:55:58.948]  In a time where the Catholic Church sought to mitigate all of those freedoms and have complete control over free speech.
[00:55:59.309 --> 00:56:11.979]  And I think that anyone out there in the audience who goes to visit a Masonic Lodge, which visitation is open to the public on the nights that they meet for dinner, for guests to ask questions, you'll find that these are not the people that you would think would take over the world.
[00:56:12.339 --> 00:56:19.264]  If we are taking over the world, we're certainly doing it one spaghetti dinner at a time, one cookie sale at a time.
[00:56:20.305 --> 00:56:23.446]  So, you know, you can say, oh, you're not high up enough, you're not high up enough.
[00:56:23.486 --> 00:56:30.089]  And sure, I'm certain that there are people that are very powerful that also happen to be Freemasons that are involved in some questionable things.
[00:56:30.409 --> 00:56:36.211]  But the fraternity itself is a fraternity that is based off of freedom of speech, freedom of thought, freedom of religion.
[00:56:36.531 --> 00:56:46.557]   Our founders were Freemasons, not because they were conspiring together to seize power, but because they were conspiring together to Free man from all oppression and tyranny worldwide.
[00:56:46.637 --> 00:56:48.898]  It's an anti-globalist fraternity.
[00:56:49.158 --> 00:56:59.026]  It's the oldest fraternity in the world and one, in my opinion, cannot claim to love America and simultaneously claim to disavow Freemasonry because without Freemasonry, this country would not exist.
[00:56:59.246 --> 00:56:59.767]  Stick with us, folks.
[00:56:59.787 --> 00:57:00.967]  We'll be back after this break.
[00:57:00.787 --> 00:57:17.107]   Make sure you visit InfowarsStore.com and get something to support the network.
[00:57:17.107 --> 00:57:20.067]  Welcome back to the Alex Jones Show.
[00:57:20.029 --> 00:57:22.249]  I'm your host today, Chase.
[00:57:22.330 --> 00:57:24.670]  Guys are filling in for the great Alex Jones.
[00:57:25.510 --> 00:57:38.254]  And how prescient again that we're playing the music by Daft Punk for Tron because I watched Tron yesterday and it is such a good movie and the theme is so true as to everything that we're experiencing now with the development of artificial intelligence.
[00:57:39.194 --> 00:57:39.854]  Such a good movie.
[00:57:39.894 --> 00:57:41.575]  I recommend that you guys go back and watch that.
[00:57:41.595 --> 00:57:44.176]  I think it came out when I was in high school 10, 15 years ago.
[00:57:46.510 --> 00:57:48.211]  I'm going to take more calls this segment.
[00:57:48.991 --> 00:57:51.052]  I want to hear from Carmen in Pennsylvania.
[00:57:51.092 --> 00:57:51.973]  Carmen, how are you?
[00:57:51.993 --> 00:57:54.334]  How are you doing, man?
[00:57:54.534 --> 00:57:55.094]  I'm good, man.
[00:57:55.114 --> 00:57:55.514]  How are you doing?
[00:57:56.315 --> 00:57:57.115]  I'm doing all right.
[00:57:57.535 --> 00:57:58.956]  I'm hanging in, surviving.
[00:57:59.496 --> 00:58:00.076]  Barely.
[00:58:00.256 --> 00:58:00.616]  Me too.
[00:58:01.637 --> 00:58:02.077]  Yeah, yeah.
[00:58:02.517 --> 00:58:07.880]  Well, I just wanted to say, I just started listening to you guys like maybe a month and a half ago.
[00:58:09.100 --> 00:58:12.242]  Started listening to Owen maybe two, three weeks ago.
[00:58:12.885 --> 00:58:13.245]  Awesome.
[00:58:13.285 --> 00:58:15.086]  Welcome to the, welcome to the family.
[00:58:16.046 --> 00:58:16.407]  Yeah.
[00:58:16.707 --> 00:58:18.127]  I'm glad to be here guys.
[00:58:18.588 --> 00:58:19.408]  For real, for real.
[00:58:20.008 --> 00:58:23.150]  You guys, you know, I knew something was going on.
[00:58:23.510 --> 00:58:25.471]  You know, I knew something was going on.
[00:58:25.531 --> 00:58:27.311]  I couldn't put the dots together.
[00:58:28.212 --> 00:58:32.874]  And then I started, I was living in San near San Antonio.
[00:58:34.074 --> 00:58:35.995]  Um, for a couple years.
[00:58:36.555 --> 00:58:41.578]  And I just came back to Pennsylvania, uh, like a week and a half ago because I see what's going on.
[00:58:42.338 --> 00:58:43.319]  I know what's going on.
[00:58:43.339 --> 00:58:49.162]  There's something big that was going on and you guys really hit the nail on the head with it.
[00:58:49.462 --> 00:58:56.205]  Um, with the globalists, the Democrats being involved with it, everything going on.
[00:58:56.585 --> 00:58:59.066]  It really, I'm fired up about it.
[00:58:59.547 --> 00:58:59.987]  Fired up?
[00:59:00.047 --> 00:59:01.888]  People are too stupid.
[00:59:02.512 --> 00:59:08.174]  They're either too stupid to see it or they're involved in it.
[00:59:08.414 --> 00:59:09.335]  Do you know what I mean?
[00:59:09.495 --> 00:59:09.715]  Yep.
[00:59:10.075 --> 00:59:10.275]  Yep.
[00:59:10.555 --> 00:59:14.196]  Those who love the state either are the state or want to be the state.
[00:59:14.256 --> 00:59:15.237]  That's what Ayn Rand said.
[00:59:16.934 --> 00:59:18.314]  No doubt, no doubt.
[00:59:18.914 --> 00:59:25.256]  And the people with the power, as soon as they get a little drop of power, they go crazy.
[00:59:25.496 --> 00:59:28.656]  They don't want to lose it until they do anything to keep it.
[00:59:29.136 --> 00:59:31.137]  And that's even killing Americans.
[00:59:32.637 --> 00:59:33.917]  How did you find us the first time?
[00:59:34.037 --> 00:59:35.417]  What brought you to us?
[00:59:36.197 --> 00:59:43.699]  Well, I didn't have a cable or nothing like that, so I had the internet, and I just kept watching Newsmax.
[00:59:44.939 --> 00:59:45.539]  Screw Fox.
[00:59:46.590 --> 00:59:50.912]  Boxes, you know, yeah, CNN, you know, they're like fake news.
[00:59:51.793 --> 01:00:01.437]  So I started watching Real America's Boys and Newsmax, and then I heard Alex Jones, and I'm like, okay, let's Google Alex Jones.
[01:00:01.857 --> 01:00:04.459]  So I Google it, and Info Wars, I'm like, let's check this out.
[01:00:04.519 --> 01:00:08.741]  So I checked you guys out, and you guys, I can't put, I can't shut the TV off, you know what I mean?
[01:00:10.584 --> 01:00:14.567]  Hey, can I show you a clip from Newsmax and then you stay on with us and we'll talk about it?
[01:00:14.587 --> 01:00:16.989]  I want you guys to play clip number eight.
[01:00:17.029 --> 01:00:20.451]  This was when I was on Newsmax just a couple of months ago.
[01:00:20.471 --> 01:00:27.596]  I heard a rumor that there was, for example, classified documents stored in a shower at Mar-a-Lago.
[01:00:28.096 --> 01:00:33.000]  But the only president I'm aware of who's committed a crime in a shower is Joe Biden, if you read Ashley Biden's diary.
[01:00:34.673 --> 01:00:39.336]  Well, again, not many people have seen that diary.
[01:00:39.376 --> 01:00:43.519]  Those who have seen it, give us their evaluation on that.
[01:00:43.539 --> 01:00:45.100]  What do you think of that, Carmen?
[01:00:46.041 --> 01:00:48.362]  Yeah, that's awesome.
[01:00:49.023 --> 01:00:49.843]  You gotta spread it, though.
[01:00:49.863 --> 01:00:50.544]  You gotta spread it.
[01:00:50.664 --> 01:00:51.524]  That's the truth.
[01:00:51.645 --> 01:00:52.725]  Nobody knows.
[01:00:53.186 --> 01:00:54.126]  And I don't have friends.
[01:00:54.827 --> 01:00:59.189]  Because with friends like these, people around, who are these enemies?
[01:01:00.771 --> 01:01:02.011]  They're all out to get you.
[01:01:02.292 --> 01:01:02.832]  But anyways.
[01:01:04.651 --> 01:01:21.906]  I figured, I was thinking back when Trump didn't lose that, you know, Obama released the virus so that they can suppress us so they can do what they needed to do to rig the elections, right?
[01:01:21.926 --> 01:01:25.028]  They killed millions of people so they stay.
[01:01:25.969 --> 01:01:28.471]  The fear monger, everything going on.
[01:01:29.092 --> 01:01:31.754]  I figured it out as soon as it happened, I knew.
[01:01:33.149 --> 01:01:39.443]  I knew it came out so they can rig the friggin election, but to kill millions of people around the world for power?
[01:01:40.345 --> 01:01:41.686]  That's just crazy.
[01:01:42.046 --> 01:01:43.966]  That is absolutely crazy.
[01:01:44.146 --> 01:01:45.707]  People need to stand up.
[01:01:45.807 --> 01:01:47.628]  People need to rise up.
[01:01:47.648 --> 01:01:49.669]  They are so glad that the pandemic happened.
[01:01:49.729 --> 01:01:53.210]  The left is so grateful that millions of people all over the world died.
[01:01:53.450 --> 01:01:56.231]  And the pharmaceutical companies are so ecstatic that this happened.
[01:01:56.571 --> 01:01:58.132]  That's the real crime.
[01:01:58.152 --> 01:02:03.834]  That's the real travesty and tragedy of this, is that it happened and they're grateful that it happened.
[01:02:03.854 --> 01:02:05.214]  No doubt.
[01:02:06.335 --> 01:02:10.954]   And another note, the suppression of Owen, I'm unemployed.
[01:02:10.774 --> 01:02:16.254]   jail oh yo I'm a Marine Corps veteran you know what I mean thanks for your
[01:02:16.254 --> 01:02:23.693]   service hey I'm a frickin patriot and I guess I spent on a life text ain't Owen
[01:02:23.693 --> 01:02:33.094]   I'm I'm unemployed I don't make anything off my benefits I'm almost homeless I
[01:02:33.094 --> 01:02:37.012]   will I will be You don't have to pay me nothing.
[01:02:37.032 --> 01:02:38.013]  I don't want no money.
[01:02:38.033 --> 01:02:40.596]  I will be your bodyguard.
[01:02:40.696 --> 01:02:41.657]  I will protect you.
[01:02:44.338 --> 01:02:44.698]  For nothing.
[01:02:45.458 --> 01:02:46.679]  You know what I mean?
[01:02:46.699 --> 01:02:47.539]  Yeah, I feel the same way.
[01:02:47.759 --> 01:02:51.680]  When I started working here, I told him, I was like, if I could afford it, I'd pay to work here.
[01:02:51.860 --> 01:02:53.761]  I mean, that's how much I believe in it here.
[01:02:53.821 --> 01:02:56.302]  And I appreciate your call, Carmen, and your support for Owen.
[01:02:56.962 --> 01:03:03.364]  For the listeners out there who feel the same way about Owen, make sure you visit DefendOwen.com and support him in any way that you can.
[01:03:03.384 --> 01:03:04.284]  This is a tough time for him.
[01:03:04.504 --> 01:03:07.165]  He's got the best attitude of anyone that I could imagine about it.
[01:03:07.525 --> 01:03:10.266]  He is inspired to fight even harder than ever before.
[01:03:10.826 --> 01:03:21.274]  And I know that in the next couple of hours, starting at six o'clock central here, you're going to be hearing more from the Owen side, your own perspective regarding everything that's going on.
[01:03:22.055 --> 01:03:23.576]  So make sure you stay tuned in for that.
[01:03:24.176 --> 01:03:27.079]  But anything you can do to support Owen, visit DefendOwen.com.
[01:03:27.099 --> 01:03:31.942]  Of course, visit DefendJones.com, as well as purchase anything you can from InfoWarsStore.com.
[01:03:31.962 --> 01:03:33.384]  Carmen, welcome to the family.
[01:03:33.444 --> 01:03:37.347]  Thank you so much for joining the InfoWars Army.
[01:03:37.907 --> 01:03:40.348]  Next up, I want to hear from Duncan in Connecticut.
[01:03:40.489 --> 01:03:41.369]  Duncan, how are you?
[01:03:43.150 --> 01:03:44.091]  Hey, I'm great, Chase.
[01:03:44.151 --> 01:03:46.012]  You're doing an awesome job today with the show.
[01:03:46.032 --> 01:03:46.232]  Thank you.
[01:03:46.252 --> 01:03:52.656]  I like the point you made about capitalism being better for the poor and for the poverty stricken than collectivism.
[01:03:53.076 --> 01:04:01.701]  Best evidence for that is just the rise of the West with the guidance of America leading the way and with the Industrial Revolution and everything we've built since then.
[01:04:01.721 --> 01:04:14.316]   We've destroyed poverty in this whole ...region until recently with the way everything's being destroyed, but as far as The Last Caller's concerned, that's great to hear.
[01:04:14.996 --> 01:04:16.957]  The Awakening is one-directional.
[01:04:16.977 --> 01:04:27.999]  You know, I've been following Alex since 2008, and back then we were all called crazy kooks, and now half of what Alex says is the main points of the Republican Party.
[01:04:28.019 --> 01:04:31.019]  So, The Awakening is real, it's happening.
[01:04:31.099 --> 01:04:32.700]  The Great Awakening is unstoppable.
[01:04:33.600 --> 01:04:34.100]  Absolutely.
[01:04:35.063 --> 01:04:38.146]  The reason I'm calling is because of the Twitter files.
[01:04:39.707 --> 01:04:54.039]  We all learned about the various government connections and people involved with the FBI and state governments contacting Twitter and these various companies to have certain views suppressed, to have certain things promoted.
[01:04:54.759 --> 01:05:02.986]  But the thing that I haven't heard is anybody discussing the implications of that as far as it relates to the mainstream media in general.
[01:05:05.960 --> 01:05:21.356]  If this is happening with Twitter and these new social media organizations that have been around for, what, slightly over a decade at this point, just imagine how riddled with government influence the mainstream media has been for decades at this point.
[01:05:22.037 --> 01:05:34.376]   I just haven't heard anybody discuss that at all, and I'd like to know your thoughts Yeah, so we're about ready to come up on a break in the next 27 seconds, but I will dive into that at the beginning of the next segment and respond to that.
[01:05:34.396 --> 01:05:35.397]  Thank you so much for that call.
[01:05:35.417 --> 01:05:36.037]  I do appreciate it.
[01:05:36.057 --> 01:05:37.659]  I think it's an outstanding point.
[01:05:38.039 --> 01:05:43.003]  In the meantime, folks, make sure you visit InfoWarsStore.com and get any one of our products.
[01:05:43.083 --> 01:05:49.428]  My favorites include Brain Force Plus, which I take every day, and Turbo Force Plus, which I take as often as I get my hands on it.
[01:05:49.768 --> 01:05:50.548]  Make sure you stick with us.
[01:05:50.368 --> 01:05:57.368]  us. We'll be back right after this break and visit Infowarsstore.com.
[01:05:57.368 --> 01:06:01.368]  Welcome to the Alex Jones Show.
[01:06:01.378 --> 01:06:08.162]  I am your host today, Chase Geiser, filling in for the great, original gangster, irreplaceable Alex Jones himself.
[01:06:08.202 --> 01:06:09.603]  It is an honor and a pleasure to be with you.
[01:06:09.623 --> 01:06:11.424]  I've been having a blast the last 90 minutes.
[01:06:12.085 --> 01:06:13.786]  This has really just flown by.
[01:06:14.146 --> 01:06:35.573]   Great caller at the end of the last segment brought up the point, if, as we see from the Twitter files, the CIA, FBI, Deep State is so intimately integrated in our social media platforms, Then what does that say about our mainstream media platforms, which are much older, right?
[01:06:35.813 --> 01:06:39.555]  So we had the Red Scare right after World War Two.
[01:06:40.035 --> 01:06:41.736]  There was this major anti-communist push.
[01:06:41.776 --> 01:06:43.737]  We were all afraid that communism was spreading everywhere.
[01:06:43.777 --> 01:06:48.719]  We used it as an excuse to get in Vietnam and make a ton of money for our military industrial complex contractors.
[01:06:50.373 --> 01:06:55.315]  And during that time, there was a massive expansion of the deep state, right?
[01:06:55.335 --> 01:06:59.216]  Things like the CIA and the FBI became increasingly powerful.
[01:06:59.236 --> 01:07:10.341]  We saw the same thing happen after the September 11th attacks in 2001, where those attacks were used as a pretext, as Alex Jones famously said and predicted multiple times in that very year.
[01:07:11.201 --> 01:07:29.665]  They were used as a pretext to empower the Deep State to increase surveillance on Americans in such a way that everything you say, do, think, where you're located, who you vote for, what you buy, everything you do is recorded and traceable by the government.
[01:07:30.286 --> 01:07:55.331]   And if, as these Twitter files reveal, the CIA, FBI were able to get so intimately integrated in Twitter specifically, given that Twitter is only sort of a handful of years old compared to legacy outlets, what does that say about their control of the mainstream media, right?
[01:07:55.351 --> 01:08:08.540]  So if we had this Red Scare in the 50s, if we had this major expansion of our intelligence operatives back then, weren't they getting integrated in all of the major media outlets?
[01:08:09.466 --> 01:08:17.211]  Why is it that virtually every single major media outlet was fear-mongering about the Cold War?
[01:08:19.258 --> 01:08:21.841]  I often wonder if Russia even really wanted a Cold War.
[01:08:21.901 --> 01:08:31.070]  I often wonder if the only reason that Russia was growing its arsenal so much and expanding its power so much in terms of nuclear capabilities was because they were terrified that the United States was going to bomb them.
[01:08:31.350 --> 01:08:38.096]  After all, we were the only nation in the history of the world to ever actually use a nuclear weapon, so what's to say that we wouldn't use it again?
[01:08:38.136 --> 01:08:41.079]  There was more reason to be afraid of us than there was...
[01:08:41.880 --> 01:08:59.060]  For us to be afraid of them, yet we have the entire mainstream media throughout the entirety of the Cold War, great movies like The Red Dawn come out, which are Cold War era movies, suggesting that there's this great communist threat of Russian nuclear proliferation, of Russian nuclear war.
[01:09:01.027 --> 01:09:02.348]  And I wonder if there actually was.
[01:09:02.568 --> 01:09:41.219]   I think perhaps the CIA, FBI, the deep state, the intelligence community was pushing that narrative through the select number of channels that we had access to as Americans to consume to heighten the fear within the American people to justify dramatic increases in military expenditures which ultimately resulted in billions if not trillions of dollars To be made for the military industrial complex, and we know that the military industrial complex is not the only industrial complex that runs the show here, right?
[01:09:41.519 --> 01:09:51.329]   We famously cite the military industrial complex as the reason for all of our ales and overspending In America, but really it's more than that.
[01:09:51.409 --> 01:09:59.217]  It's the political industrial complex and you can go through Hunter Biden's emails and you can see that there is a political industrial complex.
[01:09:59.237 --> 01:10:02.500]  And what I mean to say is it doesn't always have to be war.
[01:10:03.241 --> 01:10:06.184]  It can be through things like humanitarian aid, right?
[01:10:06.463 --> 01:10:12.583]   So when Haiti gets hit with a tsunami or an earthquake or whatever, there's an entire
[01:10:12.583 --> 01:10:17.503]   political industrial complex that makes millions upon millions of dollars off of sending things
[01:10:17.503 --> 01:10:20.024]  like fresh water to those vulnerable people.
[01:10:20.024 --> 01:10:23.903]  The reason that we help these nations out is twofold.
[01:10:23.903 --> 01:10:27.463]  There's one sort of questionably legitimate reason.
[01:10:27.463 --> 01:10:32.724]   One reason that we give aid is because down the line, if we need a country to do something
[01:10:32.724 --> 01:10:36.623]  for us, we can threaten to withhold that aid.
[01:10:36.623 --> 01:10:40.582]   So we make these countries dependent on us through the aid that we give, and then when
[01:10:40.582 --> 01:10:44.463]   we need them to do something, they will always do it for us because they're afraid of losing
[01:10:45.419 --> 01:10:57.869]  The federal government has done the same thing with the states here in the United States, where each of the 50 states has become so dependent on funding from the federal government, whether it's infrastructure-related funding, education-related funding, energy-related funding.
[01:10:58.109 --> 01:11:09.178]  It's so dependent on licensure and funding, universities the same way, from the federal government, that anytime the federal government makes a demand of the states or the universities, the states always comply.
[01:11:09.798 --> 01:11:13.060]  Because they don't want to lose the millions and millions of dollars that they're being given.
[01:11:13.120 --> 01:11:20.004]  We have been bought and paid for and compromised by our own government in a way that has never existed before in the United States.
[01:11:20.845 --> 01:11:25.885]   Like, do you think that the Civil War would have even happened had the federal
[01:11:25.885 --> 01:11:29.364]   government been giving so much money to the states in the South prior to it?
[01:11:29.364 --> 01:11:30.565]  I wonder if it would have.
[01:11:30.565 --> 01:11:33.845]   I mean, that's the biggest reason that it wouldn't happen again would be just that
[01:11:33.845 --> 01:11:37.204]   the states are so financially dependent on the federal government, just like all
[01:11:37.204 --> 01:11:39.005]  these foreign countries are so dependent.
[01:11:39.005 --> 01:11:43.884]   But to reel it back in, the point that I'm trying to make is that if the
[01:11:43.884 --> 01:11:47.724]   intelligence community was getting so involved and integrated in Twitter in
[01:11:47.724 --> 01:11:51.684]   the last 10 years, then it was certainly integrated in our mainstream media
[01:11:51.684 --> 01:11:54.644]   outlets, especially in the context of the Cold War, the expansion of the
[01:11:54.644 --> 01:11:58.244]  intelligence community and the Red Scare.
[01:11:59.170 --> 01:12:23.625]   So everything that you see leaked from Elon Musk at X regarding the deep state's coercion and involvement of social media, All that is happening at Facebook, at Google, at probably Snapchat of all places, at TikTok, even though TikTok's a Chinese company.
[01:12:24.825 --> 01:12:25.726]  All this stuff is happening.
[01:12:26.886 --> 01:12:35.288]  LinkedIn, Microsoft, Bing, all these companies, and of course, Fox, CNN, Newsmax even.
[01:12:36.428 --> 01:12:47.712]  Everywhere that there is news being broadcast, there is a deep state trying to either compromise or destroy that network, right?
[01:12:48.533 --> 01:12:54.255]  So they were trying to compromise Twitter, and now they're trying to destroy it because it can't be compromised.
[01:12:55.071 --> 01:12:58.013]  Infowars can't be compromised so they're trying to destroy it.
[01:12:58.173 --> 01:13:03.497]  They're doing everything they can to bring us off the air because they know that Infowars is not for sale.
[01:13:04.177 --> 01:13:16.426]  They can't come in and infiltrate and coerce and threaten or bully us into lying to you because the whole reason we do this in the first place is not for the money.
[01:13:18.007 --> 01:13:19.468]  It's because we're devoted to the truth.
[01:13:19.548 --> 01:13:25.012]  Sometimes you're just compelled to do something and it doesn't really make sense why you want to do it.
[01:13:25.852 --> 01:13:41.183]  If you're an artist or you know an artist out there, sometimes you write a song even though you don't know whether or not anyone's going to listen to it because you're just compelled to write the song or you paint a painting even though you don't know whether anyone's ever going to look at it because you're just compelled to paint the painting or you write a book or you write a poem.
[01:13:41.403 --> 01:13:43.084]  And that's the way InfoWars is.
[01:13:43.284 --> 01:13:55.852]   This whole network was founded on a compulsion to tell the truth And to unmask or unveil the lies.
[01:13:56.932 --> 01:13:58.133]  To reveal the truth.
[01:13:58.954 --> 01:14:06.298]  Because you can only be lied to so much before the only thing that matters to you is the truth at any cost.
[01:14:07.199 --> 01:14:12.002]  And now we've gotten to a point where we've got nothing to lose but the truth itself.
[01:14:13.055 --> 01:14:16.596]  And so we're more committed, more devoted than ever before to telling you the truth.
[01:14:17.216 --> 01:14:21.817]  I don't know if you've noticed, but if you've been watching Alex for over 10 years, the network has gotten more serious.
[01:14:22.537 --> 01:14:24.417]  Because the problems have gotten more serious.
[01:14:24.817 --> 01:14:27.078]  And the end has gotten closer.
[01:14:28.398 --> 01:14:31.559]  We're coming up upon very serious times in this country.
[01:14:31.899 --> 01:14:37.180]  And things like me losing my best friend of 10 years over political differences is only the beginning.
[01:14:37.220 --> 01:14:41.158]   These are the early signs of Real division.
[01:14:42.019 --> 01:14:43.461]  Real difficulty in this country.
[01:14:44.202 --> 01:14:50.149]  Do you think if Donald Trump wins in 2024 that there isn't going to be violence and division?
[01:14:51.411 --> 01:14:57.138]  Do you think if Donald Trump loses in 2024 that there isn't going to be violence and division?
[01:14:58.814 --> 01:15:07.283]  This next year is going to be incredibly difficult, and the time after this election, regardless of the outcome of it, is going to be incredibly difficult.
[01:15:07.483 --> 01:15:19.336]  And that's why it's more important than ever that InfoWars stay on the air, that InfoWars is able to exercise its right to freedom of speech and freedom of the press to tell you the truth so that you can stay awake.
[01:15:20.950 --> 01:15:21.551]  Stick with us, folks.
[01:15:21.571 --> 01:15:22.613]  We'll be back after this break.
[01:15:22.432 --> 01:15:29.052]   Make sure you visit Infowarsstore.com and support this network by getting something awesome for yourself or a
[01:15:29.052 --> 01:15:29.432]  loved one.
[01:15:29.432 --> 01:15:35.432]  [Music]
[01:15:36.432 --> 01:15:40.432]   Do you think that YouTube operates without the influence of the FBI or the CIA?
[01:15:40.513 --> 01:15:47.699]  With these Twitter file releases, we see that it's not actually private businesses doing it because they're all influenced by the FBI and the CIA.
[01:15:47.799 --> 01:16:01.390]  When Twitter is technically a private company, but it's A, publicly traded, and B, meeting with the FBI and taking orders from the FBI on weekly meetings, monthly meetings, about who to censor, what to take down, then it's not even a private entity anymore.
[01:16:01.410 --> 01:16:05.013]  These businesses are actually extensions of the federal government.
[01:16:06.360 --> 01:16:07.021]  Welcome back, folks.
[01:16:07.061 --> 01:16:08.321]  This is the Alex Jones Show.
[01:16:08.382 --> 01:16:11.704]  I'm Chase Geyser, filling in for the great Alex Jones himself.
[01:16:11.884 --> 01:16:13.766]  I want to take a call from Tin Man in Texas.
[01:16:13.946 --> 01:16:15.467]  You got a Turbo Force plug, Tin Man?
[01:16:17.628 --> 01:16:18.249]  Turbo Force?
[01:16:18.969 --> 01:16:20.971]  You know the Turbo Force?
[01:16:21.331 --> 01:16:24.814]  I just got this going for Hunter Biden next time, you know?
[01:16:25.234 --> 01:16:29.117]  If he just goes and snorts Turbo Force, he can still buy guns.
[01:16:31.319 --> 01:16:33.580]  I'm not addicted to cocaine, but I am addicted to Turbo Force.
[01:16:33.620 --> 01:16:34.161]  Is that okay?
[01:16:34.201 --> 01:16:35.642]  Yeah, yeah, you can still have the gun, right?
[01:16:37.069 --> 01:16:43.253]  Hey, I do want to put a little bit of input, too, on what you've been talking about.
