[00:00:00.169 --> 00:00:07.411]  Elon Musk's brain computer company Neuralink receives FDA approval to launch human clinical trial.
[01:37:16.193 --> 01:37:18.274]  Please write this down and please go look this up.
[01:37:18.434 --> 01:37:19.854]  It will change your life.
[01:37:20.435 --> 01:37:29.138]  The UN admits and the Lansing Medical Journal admits that upwards of 2 billion people have mental disabilities and declining cognitive abilities.
[01:37:29.198 --> 01:37:34.040]  The term they use is intellectual disability because of lack of iodine.
[01:37:34.520 --> 01:37:39.604]   Most iodine in the environment is bound to other elements so your body can't absorb it.
[01:37:40.245 --> 01:37:44.229]  Only pure iodine can really be absorbed right into the cells.
[01:37:44.710 --> 01:37:51.498]  And InfoWarStore.com has the only iodine out there that actually has this type of full effect.
[01:37:51.798 --> 01:37:57.804]  Ladies and gentlemen, X3's been sold out for six months, it's very hard to produce, and it's finally back in stock.
[01:37:58.365 --> 01:38:00.206]  In fact, I was just taking some before I shot this ad.
[01:38:00.726 --> 01:38:02.606]  This, ladies and gentlemen, is powerful.
[01:38:02.966 --> 01:38:04.667]  You and your family need it.
[01:38:04.787 --> 01:38:05.967]  It's 25% off back in stock.
[01:38:06.528 --> 01:38:10.429]  X3 Tri-Iodine, exclusively at Infowarshore.com.
[01:38:10.729 --> 01:38:13.150]  Take action now, but regardless, research is info.
[01:38:13.170 --> 01:38:18.431]  All right, we got a special message from Alex Jones coming up in the next segment.
[01:38:18.531 --> 01:38:23.653]  I also have incredible footage from the great Timothy Lassley.
[01:38:25.472 --> 01:38:40.015]  With a protest that was going down, he filmed today, and it's so... I just... There's a moment, and you'll see it in the video coming up, there's a moment where you realize what it is we're really up against.
[01:38:40.775 --> 01:38:46.336]  And the lacking of logic on the other side of the political aisle, let's say.
[01:38:47.456 --> 01:38:49.477]  Full brainwashing on display.
[01:38:50.257 --> 01:38:54.458]  Full MKUltra mind control on display, ladies and gentlemen.
[01:38:55.592 --> 01:38:57.032]  To a stunning degree.
[01:38:57.533 --> 01:39:02.254]  So a couple important videos that we'll have coming up for you shortly.
[01:39:02.694 --> 01:39:12.317]  I also do want to take phone calls here in the third hour of the Alex Jones Show before the fourth hour guest host Jay Dyer takes over.
[01:39:13.757 --> 01:39:19.719]  So still a lot of big stuff to come on the Alex Jones Show.
[01:39:22.579 --> 01:39:24.480]  Let's just do a bit of a news blitz though.
[01:39:26.006 --> 01:39:31.056]  In the meantime, cycling governing body bans trans competitors.
[01:39:32.018 --> 01:39:33.842]  Like, that shouldn't even have to be a thing.
[01:39:34.563 --> 01:39:36.387]  If you're a man, I don't care what...
[01:39:37.210 --> 01:39:54.079]  Medical procedures you have to appear to be a woman, you're still a man, you shouldn't be competing with women, and I'm surprised that the feminists don't have a problem with this, but you realize now that the feminist movement was never even about feminists or women, it was always about propaganda, left-wing propaganda and mind control.
[01:39:54.740 --> 01:39:58.502]  And now they have feminists that are pro-men competing against women.
[01:39:58.922 --> 01:40:00.883]  So that tells you everything you need to know about that.
[01:40:02.901 --> 01:40:10.984]  Congress to investigate World Health Organization plans to use listening surveillance systems to identify misinformation.
[01:40:11.024 --> 01:40:12.105]  Stories at Infowars.com.
[01:40:14.766 --> 01:40:15.446]  Oh, oh, oh.
[01:40:16.027 --> 01:40:16.407]  Yeah, yeah.
[01:40:17.027 --> 01:40:19.008]  They're going to be listening to you in your car.
[01:40:19.068 --> 01:40:20.849]  They're going to be listening to you on the phone.
[01:40:20.929 --> 01:40:23.750]  They're going to be listening to you through the television, through the computer.
[01:40:25.450 --> 01:40:26.971]  This is the New World Order they want.
[01:40:27.031 --> 01:40:29.312]  This is the 1984 world that they want.
[01:40:29.692 --> 01:40:30.933]  You can't even breathe.
[01:40:32.105 --> 01:40:37.028]  Without fearing government punishment if you breathe through the wrong nostril at the wrong time.
[01:40:37.568 --> 01:40:47.513]  Dr. Jill Biden... Dr. Jill Biden channels Jeb Bush, awkwardly begs audience to clap.
[01:40:49.094 --> 01:40:53.917]  Jill Biden delivered remarks at the Reagan Institute Summit on Education in D.C.
[01:40:55.584 --> 01:40:58.866]  And she wasn't really well-received, so she had to beg the audience to clap.
[01:40:59.287 --> 01:41:02.469]  Oh, but the Bidens are so popular, just everywhere Joe Biden goes, he gets booed.
[01:41:02.909 --> 01:41:04.430]  Oh, and let me correct a mistake.
[01:41:04.490 --> 01:41:06.712]  It wasn't the Japanese Prime Minister.
[01:41:07.212 --> 01:41:14.497]  It was the South Korean president, President Yun from South Korea, that Joe Biden called Loon in Japan.
[01:41:15.457 --> 01:41:16.038]  Imagine that.
[01:41:16.078 --> 01:41:18.019]  He called the president of South Korea Loon.
[01:41:18.519 --> 01:41:19.840]  His name is Yun.
[01:41:20.781 --> 01:41:21.882]  Very presidential.
[01:41:22.802 --> 01:41:24.642]  Very, very presidential there.
[01:41:24.642 --> 01:41:25.141]  Uh-huh.
[01:41:25.141 --> 01:41:33.522]   Foreign electric vehicle manufacturer recalls entire first batch of cars
[01:41:33.522 --> 01:41:36.962]  shipped to US over serious safety issue.
[01:41:37.152 --> 01:41:37.192]  Oh!
[01:41:40.535 --> 01:41:47.535]   When are we going to accept that the whole electric vehicle agenda Was just that.
[01:41:47.736 --> 01:41:48.496]  An agenda.
[01:41:48.756 --> 01:41:49.857]  It wasn't organic.
[01:41:50.457 --> 01:41:53.919]  It's not actually more energy efficient or better for the environment.
[01:41:54.059 --> 01:41:55.420]  It was all an agenda.
[01:41:55.700 --> 01:41:58.561]  It was all a giant boondoggle and transfer of wealth.
[01:41:59.222 --> 01:42:03.664]  Same thing with the entire climate change agenda.
[01:42:04.724 --> 01:42:05.245]  Same thing.
[01:42:06.405 --> 01:42:07.446]  Oh, Biden screws up again.
[01:42:07.786 --> 01:42:12.809]  Biden screws up congressman's name in audience during White House event in Rose Garden.
[01:42:12.849 --> 01:42:14.710]  He doesn't even know his own staff.
[01:42:16.175 --> 01:42:17.596]  He doesn't even know his own staff.
[01:42:17.636 --> 01:42:22.261]  He doesn't even know his own appointees and nominees.
[01:42:23.502 --> 01:42:24.383]  He's 80 years old.
[01:42:24.443 --> 01:42:25.304]  He doesn't know where he's at.
[01:42:25.364 --> 01:42:26.585]  He can't even wipe his own ass.
[01:42:26.685 --> 01:42:27.686]  Literally, folks, he can't.
[01:42:27.766 --> 01:42:28.186]  He can't.
[01:42:28.607 --> 01:42:30.028]  I mean, it's actually sad.
[01:42:30.068 --> 01:42:32.791]  But, you know, he always has to wear the aviator sunglasses out.
[01:42:34.315 --> 01:42:34.575]  I don't know.
[01:42:34.635 --> 01:42:39.236]  Has there ever been a president that wears sunglasses for public events and public statements and press conferences?
[01:42:39.296 --> 01:42:39.916]  I don't think so.
[01:42:40.297 --> 01:42:41.157]  Why Joe Biden?
[01:42:41.857 --> 01:42:51.960]  Because, folks, if you could see his eyes during half these events, you'd see that this is a man who is barely even holding on to any cognitive ability at all.
[01:42:52.260 --> 01:42:57.421]  And the drugs they have him on probably make his eyeballs and his pupils pop out of his skull.
[01:42:59.031 --> 01:43:07.059]  And now, a special message from an undisclosed location in far off regions of planet Earth.
[01:43:07.920 --> 01:43:11.203]  The signal is hazy, but we hear now from Alex Jones.
[01:43:14.607 --> 01:43:16.349]  A lot of people ask me, how am I doing?
[01:43:17.739 --> 01:43:19.740]  Demonized, attacked by the entire system.
[01:43:19.800 --> 01:43:26.724]  The answer is, I'm doing great because I'm on the side of awakening humanity to the globalist threat that's out in the open.
[01:43:26.844 --> 01:43:29.545]  I've been completely and totally vindicated.
[01:43:30.365 --> 01:43:36.208]  And if I had it all over to do again, I'd do it again because I believe in humanity.
[01:43:36.328 --> 01:43:37.229]  I've bet on humanity.
[01:43:38.254 --> 01:43:40.395]  The entire world government is out in the open.
[01:43:40.856 --> 01:43:44.998]  The intelligence agency spying and censoring the American people is all public.
[01:43:45.478 --> 01:43:49.660]  The fact that the COVID shots have been absolutely poisoned is all out in the open.
[01:43:50.301 --> 01:43:57.305]  The fact that our government has been hijacked by hardcore criminals is out in the open and the people are awakening.
[01:43:57.885 --> 01:44:04.749]  We were going to lose everything and go into total totalitarianism if people like myself didn't stand up and take the attacks.
[01:44:05.666 --> 01:44:08.089]  So, do I like being on the tip of the spear, being under attack?
[01:44:08.109 --> 01:44:08.309]  No.
[01:44:09.010 --> 01:44:15.077]  But I love the results of doing it, and so I'm very proud and very honored that I'm still on air, thanks to all of you.
[01:44:16.159 --> 01:44:23.868]  People make the joke that, you know, Alex Jones was right, or they say, the Babylon Bee today, Alex Jones hired as a CDC director because he told the truth about everything and was right.
[01:44:24.919 --> 01:44:26.159]  But culture gets that.
[01:44:26.540 --> 01:44:38.283]  So despite all the propaganda and all the brainwashing and all the disinformation, the people deep down know that populism and common sense and Americana is the answer to the loveless tyranny.
[01:44:38.603 --> 01:44:40.544]  That's why the new world order wants to destroy America.
[01:44:40.964 --> 01:44:49.006]  Because the idea of America and wealth and independence and prosperity and the middle class and competition threatens their monopoly, their centralized cult.
[01:44:49.858 --> 01:44:56.262]  So there's the globalist cult of tyranny and centralization and corporate control and then there is the cult of America.
[01:44:56.643 --> 01:44:59.785]  Free market, middle class, competition, open free societies.
[01:45:00.185 --> 01:45:01.826]  They're not pushing a free society.
[01:45:02.066 --> 01:45:09.951]  They're pushing a tyranny and advertising it as a free society and claiming the free society, the 1776 Renaissance system, is the enemy.
[01:45:10.231 --> 01:45:10.592]  It's not.
[01:45:10.932 --> 01:45:11.772]  It's the answer.
[01:45:12.713 --> 01:45:15.335]  So I'll continue to fight on and I'm proud of what I've been able to do.
[01:45:15.615 --> 01:45:17.756]  Thanks for your support and I'll see you all.
[01:45:18.037 --> 01:45:18.617]  Weekdays 11 a.m.
[01:45:20.060 --> 01:45:36.707]  Now, I want to respond to that statement from Alex Jones and rewind the clocks because we're dealing with this issue that Alex Jones warned about more than two decades ago.
[01:45:37.928 --> 01:45:41.790]  First, quickly though, I do want to take calls for the rest of this third hour.
[01:45:42.530 --> 01:45:46.031]  And so, anything we've covered, you know what, we'll just say open lines.
[01:45:46.091 --> 01:45:47.472]  It's Friday, so open lines Friday.
[01:45:47.492 --> 01:45:48.793]  877-789-2539.
[01:45:48.813 --> 01:45:51.294]  877-789-2539.
[01:45:53.014 --> 01:45:55.435]  Anything you want to call in on, we will discuss.
[01:45:55.475 --> 01:45:57.456]  And there's some other news I haven't gotten to yet either.
[01:45:58.536 --> 01:46:07.200]  But, that sounds like Alex Jones responding to the Patriot Act.
[01:46:08.584 --> 01:46:11.425]  That was put into place during the George Bush administration.
[01:46:12.365 --> 01:46:25.028]  And at the time he warned, this Patriot Act, it's not about targeting Islamic extremists or radical terrorists that want to hurt Americans or blow up buildings or whatever in response to 9-11.
[01:46:25.048 --> 01:46:26.288]  That was all a giant false flag.
[01:46:26.909 --> 01:46:29.730]   It was really about Aiming the U.S.
[01:46:29.770 --> 01:46:31.350]  government against you.
[01:46:32.311 --> 01:46:33.271]  And now here we are.
[01:46:33.431 --> 01:46:36.913]  It's been totally proven in triplicate.
[01:46:37.013 --> 01:46:46.337]  And so now the Heritage Foundation has a great report, very important, as well as reporting being done by Town Hall and the Federalist.
[01:46:46.377 --> 01:46:47.478]  It's all in the news today.
[01:46:49.178 --> 01:46:50.579]  But they have the actual documents.
[01:46:53.522 --> 01:47:00.164]  The MRC has uncovered a DHS anti-terrorism program that's been weaponized against conservatives.
[01:47:00.184 --> 01:47:09.347]  80 grants and 40 million taxpayer dollars later, here's a look at how Joe Biden and Secretary Mayorkas are outsourcing their efforts to conflate conservatives with terrorists.
[01:47:10.168 --> 01:47:20.231]  And they just claim anybody who's on the right wing of the political spectrum, you are the violent extremist that the government is going to shut down, arrest, and destroy.
[01:47:21.365 --> 01:47:23.286]  No, you're obviously not a violent extremist.
[01:47:23.846 --> 01:47:28.968]  The National Rifle Association is the largest civil rights group in America.
[01:47:30.048 --> 01:47:32.269]  Infowars is a news broadcast.
[01:47:32.669 --> 01:47:42.612]  And then they try to liken you to radical left movements like the National Socialist Workers Party movement that we call Nazis of Adolf Hitler.
[01:47:43.032 --> 01:47:44.433]  That's leftism!
[01:47:44.973 --> 01:47:50.616]  All this stuff that they have at the top, all this Nazi crap that they have at this top, this is leftism, folks!
[01:47:51.157 --> 01:47:52.737]  Socialism is a left-wing policy.
[01:47:52.777 --> 01:47:55.119]  I'm so sick and tired of having to explain this, but what do we expect?
[01:47:55.519 --> 01:47:59.041]  Because leftists lie, and so they lie about themselves, and they lie about you as well.
[01:48:00.462 --> 01:48:13.409]  But no, this just proves Alex Jones was right 20-plus years ago when he said the Patriot Act was going to be used to come after you, not what they would call Islamic extremist terrorists in that time space.
[01:48:14.670 --> 01:48:15.410]  And he was right again.
[01:48:17.491 --> 01:48:25.073]  Now what's pathetic is the lack of response and action from the Republican Party in response to this, but yet here we are.
[01:48:26.734 --> 01:48:29.514]  More reporting can be found at Town Hall.
[01:48:29.574 --> 01:48:36.096]  Bombshell documents reveal Biden DHS wants to paint Christians, conservatives as Nazis and terrorists.
[01:48:37.557 --> 01:48:43.908]   The Federalist State-funded University of Texas managed censorship project targeting conservative outlets.
[01:48:44.468 --> 01:48:46.309]  It also is going on at University of Dayton.
[01:48:47.209 --> 01:48:47.770]  We have this.
[01:48:48.350 --> 01:48:57.214]  University of Dayton is one of the most radical grant recipients for the program, receiving $352,000 to fight domestic violent extremism and hate movements.
[01:48:57.554 --> 01:49:00.075]  Which, it's none of the above, it's just anything that's to the right.
[01:49:01.474 --> 01:49:11.721]  On the political spectrum, or anything considered Christian or conservative, Biden's DHS awarded the grant despite their application, including the fallacious chart that you see here in front of you.
[01:49:12.201 --> 01:49:15.063]  So it's all lies, it's all propaganda, it's all the left.
[01:49:15.983 --> 01:49:18.145]  Historically speaking, folks, it's the left.
[01:49:18.985 --> 01:49:20.026]  And it's just amazing.
[01:49:20.947 --> 01:49:36.570]   It's just amazing, because... How many people died in the 20th century Fighting the ideals, the values, the political practices that comes with the left-wing political ideology.
[01:49:36.951 --> 01:49:37.691]  Communism.
[01:49:38.072 --> 01:49:38.692]  Socialism.
[01:49:39.132 --> 01:49:40.033]  Millions died.
[01:49:40.553 --> 01:49:45.717]  Millions died in wars, and millions died in starvation and famine.
[01:49:47.358 --> 01:49:50.440]  I thought we learned that lesson in the 20th century.
[01:49:51.401 --> 01:49:53.042]  I thought we learned that lesson.
[01:49:53.102 --> 01:49:57.085]  I thought it was solidified, especially into our DNA.
[01:49:59.730 --> 01:50:03.292]  In the Western Hemisphere, in the United States of America, in North America!
[01:50:05.093 --> 01:50:07.334]  We don't do communism!
[01:50:07.534 --> 01:50:09.075]  We don't do socialism!
[01:50:09.355 --> 01:50:12.337]  We don't do left-wing bullcrap!
[01:50:12.517 --> 01:50:15.698]  It ends in bloodshed and starvation and death!
[01:50:16.039 --> 01:50:17.099]  We defeated it!
[01:50:18.140 --> 01:50:19.781]  And we said, no more!
[01:50:19.921 --> 01:50:21.301]  And we celebrated that!
[01:50:22.642 --> 01:50:27.885]  And now here you are in the 21st century and you're gonna have to deal with it on your own soil!
[01:50:30.037 --> 01:50:33.260]  It's almost impossible to believe.
[01:50:34.581 --> 01:50:35.461]  And yet, here we are.
[01:50:37.022 --> 01:50:39.204]  Germany jails man for supporting Russia.
[01:50:40.165 --> 01:50:43.367]  I'm afraid that's coming to the United States very soon.
[01:50:43.688 --> 01:50:48.011]  And they might not just outright say, we're arresting you for supporting Russia, but they'll blame it for something else.
[01:50:48.031 --> 01:50:55.296]  But they know, oh, you're going against the regime's war against Russia that does nothing to benefit the United States?
[01:50:55.517 --> 01:50:57.098]  You're going to be disappeared.
[01:50:58.868 --> 01:50:59.848]  Powder keg Europe.
[01:51:00.668 --> 01:51:03.169]  Russian official predicts the end of Ukraine.
[01:51:03.389 --> 01:51:06.929]  Polish military ready to intervene in case of coup in Belarus.
[01:51:07.609 --> 01:51:10.090]  Georgia being pressured into military action against Putin.
[01:51:10.130 --> 01:51:11.970]  Folks, the whole thing is coming apart at the seams.
[01:51:12.970 --> 01:51:28.013]  And the reason why you're not hearing much about it in the US media or from the Biden administration because every plan that they've had to defeat Russia or every plan they've had to protect their vassal proxy state of Ukraine has failed miserably and you've had to pay the price and many have had to die.
[01:51:29.315 --> 01:51:37.423]  So it's really a disgusting embarrassment of death what the Biden administration has done in Ukraine.
[01:51:37.583 --> 01:51:42.347]  Alright, more news and your calls coming up here in the third hour of the Alex Jones Show.
[01:51:43.088 --> 01:51:44.629]  Folks, by the way, Alex is out.
[01:51:44.649 --> 01:51:45.670]  You just heard from Alex.
[01:51:46.727 --> 01:51:49.849]  He's not planning on going anywhere, but we need to keep this platform on the air.
[01:51:49.929 --> 01:51:53.092]  So, go to InfoWarsStore.com in this short break.
[01:51:53.432 --> 01:51:54.733]  Click that Donate tab.
[01:51:55.033 --> 01:51:55.293]  Give us $5, $10, $50.
[01:51:57.175 --> 01:51:58.876]  Let's keep InfoWars on the air.
[01:51:59.036 --> 01:52:00.997]  InfoWarsStore.com.
[01:52:01.117 --> 01:52:02.358]  Click that Donate tab.
[01:52:02.859 --> 01:52:08.943]  It would make Alex a very happy man, and it would do a lot of work to keep us on the air.
[01:52:09.663 --> 01:52:10.944]  InfoWarsStore.com.
[01:52:11.265 --> 01:52:19.146]   Now, when we come back, Your phone calls here on the third hour of the Alex Jones Show at InfoWars.com.
[01:52:20.586 --> 01:52:40.457]   Quickly, before I take your phone calls, because I'd be surprised if many of you didn't want to comment on this as well, I've explained this before, that I kind of waver on my Elon Musk Let's say approval rating, I keep it pretty tight around the 50% approve or disprove.
[01:52:40.478 --> 01:52:47.807]  I'm still, I would say 51% approval rating for Elon Musk for my opinion.
[01:52:48.047 --> 01:52:50.550]  51% approval rating mean he can easily go back down to 50 or 49 in a negative.
[01:52:52.715 --> 01:52:57.976]  But this is the type of crap that I've always said I don't like from Elon Musk.
[01:52:58.737 --> 01:53:05.958]  Elon Musk's brain computer company Neuralink receives FDA approval to launch human clinical trial.
[01:53:07.879 --> 01:53:14.241]  Now, I'm willing to wait and see what this technology does, what it brings.
[01:53:14.541 --> 01:53:19.782]  The one thing that is already bad is that they have tested this on animals.
[01:53:21.471 --> 01:53:24.372]  And that's usually kind of a gateway into Satanism, folks.
[01:53:24.572 --> 01:53:28.594]  That's usually a gateway into sacrifice, human sacrifice.
[01:53:29.814 --> 01:53:40.458]  And I know there's a lot of stories out there where doctors and others that refuse to be engaged in animal abuse for testing end up losing everything, because it's kind of the test.
[01:53:40.478 --> 01:53:41.519]  Like, are you going to be in the club?
[01:53:41.539 --> 01:53:42.579]  Are you going to be in the Satanist club?
[01:53:42.599 --> 01:53:44.500]  Are you going to be in the criminal cabal?
[01:53:44.540 --> 01:53:48.441]  Well, let's see if they're willing to do harm to animals, and then if it's yes, well, we can take them to the next level.
[01:53:48.461 --> 01:53:50.562]  If they refuse at that level, then they don't make it.
[01:53:51.980 --> 01:53:55.302]  So what Neuralink was doing with animals is extremely concerning to me.
[01:53:55.682 --> 01:54:06.228]  Now I'm willing to give it all a chance because I'm not a Luddite, and if Elon Musk creates technology that can make blind people see or stuff like that, then why would I be against that?
[01:54:06.768 --> 01:54:07.228]  I don't know.
[01:54:07.388 --> 01:54:08.429]  You might have a different opinion.
[01:54:09.209 --> 01:54:10.090]  But I will tell you this.
[01:54:11.471 --> 01:54:15.653]  From where I stand right now, I have zero interest in this technology.
[01:54:16.573 --> 01:54:21.296]  I want nothing to do with anything being drilled into my head or attached to my brain.
[01:54:23.578 --> 01:54:28.779]  We'll continue to monitor this development at InfoWars.com.
[01:54:29.900 --> 01:54:34.401]  But now, we go to the phone lines on a Friday, here on the Alex Jones Show.
[01:54:35.801 --> 01:54:38.862]  And we start with Matt, in Southern California.
[01:54:38.942 --> 01:54:40.122]  Matt, you're on the air, go ahead.
[01:54:41.183 --> 01:54:42.663]  Hey Owen, good to talk to you again.
[01:54:42.703 --> 01:54:46.404]  I was the airline pilot that called a few weeks ago to promote Turbo Force Plus.
[01:54:46.741 --> 01:54:49.023]  But real quick, I gotta say, like I said, great talk to you.
[01:54:49.043 --> 01:54:54.746]  You've got the voice that can make a Wolverine purr and a beard that makes Leonidas from the 300 look like a hobo.
[01:54:55.307 --> 01:54:57.108]  Can we quote that?
[01:54:57.188 --> 01:54:57.748]  I'd like that.
[01:54:57.788 --> 01:54:58.449]  I want to cut that.
[01:54:58.809 --> 01:54:59.750]  I'm stealing that from you.
[01:55:00.670 --> 01:55:01.191]  Absolutely.
[01:55:01.211 --> 01:55:01.691]  Go for it.
[01:55:02.071 --> 01:55:09.436]  Also, I'm also a father of a couple of young kids, and I'm in my 40s, so TurboForce really helps me to keep up with my kids.
[01:55:09.776 --> 01:55:16.401]  Anybody that's a parent that's got young kids that run around and have way more energy than you could ever possibly imagine, man, TurboForce definitely helps with that too.
[01:55:17.245 --> 01:55:19.646]  Anyway, the other point I wanted to, uh, there's a couple other points.
[01:55:19.866 --> 01:55:22.367]  Definitely shout out to the airline pilots that never took the jabs.
[01:55:22.688 --> 01:55:23.648]  You know, good on you guys.
[01:55:23.748 --> 01:55:24.628]  Keep, keep doing that.
[01:55:24.668 --> 01:55:29.050]  You know, obviously that's all kind of winding down, but still never forget what they did to us.
[01:55:29.591 --> 01:55:30.811]  Dressing us out about our jobs.
[01:55:30.871 --> 01:55:34.053]  Cause we got to pay for that roof over our head, the food that goes on our tables.
[01:55:34.093 --> 01:55:36.694]  So good job guys for guys and gals for not doing that.
[01:55:37.344 --> 01:55:41.287]  Also, shout out to any other Californians listening right now, living behind enemy lines.
[01:55:41.928 --> 01:55:43.389]  Hopefully, we can turn this ship around.
[01:55:43.429 --> 01:55:47.152]  I know a lot of people left, but some of us are staying and fighting like me.
[01:55:47.992 --> 01:55:49.514]  Last part, with Target.
[01:55:49.734 --> 01:55:55.158]  I've been a customer of Target for a lot of years, especially with the kids, having a Target red card account.
[01:55:55.258 --> 01:55:56.219]  Anybody familiar with that?
[01:55:56.599 --> 01:56:02.664]  To make a statement to Target, and part of the boycott, is to take those cards and shred them.
[01:56:03.164 --> 01:56:12.441]   And if somebody could start a Twitter, Uh, you know, hashtag of like shred the red card and make that a trend so we could take it back to target and say, we're done.
[01:56:12.721 --> 01:56:17.263]  You're not, we are not supporting, uh, selling trans stuff to kids.
[01:56:17.723 --> 01:56:18.083]  No way.
[01:56:18.143 --> 01:56:22.605]  What if a concentric adults want to go into some gay bar, blah, blah, blah, and doing West Hollywood.
[01:56:22.785 --> 01:56:24.285]  I don't care or Laguna beach.
[01:56:24.385 --> 01:56:26.566]  I don't care, but do not sell it to kids.
[01:56:26.706 --> 01:56:27.986]  Do not sell this stuff to kids.
[01:56:28.407 --> 01:56:38.293]   And that whole thing earlier about their, There are little parades where they can't, you know, go around nude, which I know Alex has shown videos of that stuff, you know, obviously blurred images and everything, but that is totally unacceptable.
[01:56:38.393 --> 01:56:40.935]  Never ever will we ever support anything like that again.
[01:56:42.836 --> 01:56:43.937]  Well said, Matt.
[01:56:44.297 --> 01:56:47.660]  That's about as... that's an A-plus call right there.
[01:56:48.241 --> 01:56:52.524]  And look, you gotta understand, too, folks, this is a hard thing.
[01:56:52.564 --> 01:56:53.465]  I try to express this.
[01:56:54.708 --> 01:57:06.152]  Most people, most Americans that you see throughout your life, just your daily routine, most people still don't know what planet they live on, to put it simply.
[01:57:06.212 --> 01:57:07.372]  They just don't have a clue.
[01:57:08.253 --> 01:57:17.936]  And so when you get exposed to all this left-wing propaganda and all this left-wing pushback, they just assume that's the majority, that's the populace, so that's going to be the control factors here.
[01:57:18.769 --> 01:57:20.531]  They're starting to see that's not the case.
[01:57:21.291 --> 01:57:30.719]  They're starting to see, wait a second, no, actually, conservatives and Christians and Republican voters, wait a second, they're out there too, they're out there en masse, and they actually are a force to be reckoned with now.
[01:57:31.140 --> 01:57:33.622]  But we have to exhibit that.
[01:57:33.642 --> 01:57:34.743]  We have to flex that.
[01:57:34.783 --> 01:57:36.204]  I think that that's finally happening.
[01:57:36.424 --> 01:57:39.587]  A target boycott would be another way to do so.
[01:57:39.927 --> 01:57:40.788]  Thanks for the call, Matt.
[01:57:42.149 --> 01:57:44.751]  Let's go to Sam in Tennessee.
[01:57:44.872 --> 01:57:46.213]  Sam, you're on the air, go ahead.
[01:57:47.608 --> 01:57:51.909]  Hey, Owen, I don't know if you remember, but we talked once before in 2021.
[01:57:52.609 --> 01:57:59.371]  And honest to God, I could probably write your ear off about a million things right now, but I'm going to focus on the one weighing on me today.
[01:57:59.391 --> 01:58:09.914]  And that is, as I've heard it, the digital currency thing has only been outright banned in Texas and Florida and here in Tennessee.
[01:58:10.794 --> 01:58:14.015]  Even though we tend to win these kind of things, at least more often than we lose them.
[01:58:14.787 --> 01:58:17.088]  I'm pretty sure we haven't banned it here.
[01:58:17.488 --> 01:58:24.211]  And that's just been bothering me all day, because my entire lifestyle kind of relies on cash being a thing.
[01:58:25.271 --> 01:58:31.593]  I'm kind of just wondering if you or anyone else there have any advice for anyone who needs to push back on that in their own state?
[01:58:33.494 --> 01:58:42.998]  Well, I mean, you gotta get involved with your local activist groups, maybe even the Republican Party, you know, to put political pressure on these situations.
[01:58:44.215 --> 01:58:49.377]  The problem is, this issue is not going to really reach ahead until they want it to.
[01:58:49.857 --> 01:58:55.139]  So they kind of tested it, they put it out there in the public, see how the public responded.
[01:58:55.179 --> 01:58:58.780]  It was a negative response, so they've kind of sat back on their heels with it now.
[01:58:59.240 --> 01:59:00.461]  My expectation is...
[01:59:02.000 --> 01:59:12.283]  They're going to really push or cement even the digital currency after some sort of a market collapse or financial collapse or big bank collapse, which may at this point be inevitable.
[01:59:12.883 --> 01:59:19.505]  So maybe the right move is to just make sure your local politicians, your local activist groups are aware that this is out there.
[01:59:20.521 --> 01:59:27.802]  So that kind of like with the pandemic, you know, we warned, hey, they're going to try to shut you down, shut down your business and force you to take this vaccine.
[01:59:28.722 --> 01:59:31.003]  And a lot of people were prepared when that all came.
[01:59:31.083 --> 01:59:37.924]  So, you know, just getting them ready for this, getting them understanding what it's all about, a global digital currency that can be turned off if you don't.
[01:59:38.964 --> 01:59:43.265]  If you're not a good slave, they'll just turn your currency, your ability to buy and sell off.
[01:59:43.645 --> 01:59:49.606]  So I think it's just about putting that awareness out there before we get to that point.
[01:59:51.618 --> 01:59:52.338]  Yeah, that makes sense.
[01:59:53.279 --> 02:00:05.787]  I got one more similar question, and then I'll just pop off here, but for anyone in their late 20s who's trying to homestead and find self-sufficiency for the first time, do you have any advice for them?
[02:00:08.049 --> 02:00:08.189]  Uh... No.
[02:00:09.610 --> 02:00:11.531]  It's cool if you don't.
[02:00:12.752 --> 02:00:13.612]  I mean, just do it.
[02:00:14.293 --> 02:00:14.573]  Do it.
[02:00:15.033 --> 02:00:15.534]  Just do it.
[02:00:16.895 --> 02:00:18.175]  Just do it.
[02:00:18.416 --> 02:00:18.676]  All right.
[02:00:19.016 --> 02:00:19.776]  Good talking to you.
[02:00:19.816 --> 02:00:20.017]  Yeah.
[02:00:20.856 --> 02:00:31.319]  No, look, I mean, it's just, I'm not the master homesteader, and I'm not like a green thumb or anything like that, so I can't really speak from experience.
[02:00:31.999 --> 02:00:35.820]  Quite frankly, I've been trying to do that at my house for a while, I'm just too busy.
[02:00:36.220 --> 02:00:38.920]  So I'd be a hypocrite if I acted like I was the expert on that.
[02:00:39.340 --> 02:00:46.242]  So I would just say, yeah, I would say, homestead, get some chickens, do as much as you can to be self-sufficient and independent.
[02:00:47.602 --> 02:00:49.563]  And we're taking your calls.
[02:00:52.543 --> 02:00:57.764]  Biden vetoes measure repealing DC police reform.
[02:00:59.185 --> 02:01:05.446]  Yeah, and the Democrats also stood down the National Guard and the DC police on January 6th because they wanted it out of control.
[02:01:05.486 --> 02:01:10.167]  They defund the police, their cities get turned into criminal hellholes, and then they blame you.
