[00:00:00.029 --> 00:00:01.792]  Drudge Report captured operation.
[01:53:24.537 --> 01:53:25.738]  Let me go deeper into Red Hat.
[01:53:25.878 --> 01:53:35.747]  Multiple leaders over the last year plus that were held accountable to the point that they're no longer here at Red Hat because they weren't willing to live up to the standards that we set in this space.
[01:53:35.807 --> 01:53:40.732]  This conversation takes place every single day, and a lot of it's behind the scenes.
[01:53:40.832 --> 01:53:45.516]  They terminated executives that didn't discriminate, yet another violation of Title VII.
[01:53:45.716 --> 01:53:50.400]  One of the biggest companies in the world, one of the most valuable and recognizable brands on Earth.
[01:53:53.353 --> 01:54:11.845]  An IBM insider has provided us with an internal video showing the CEO of IBM, Arvind Krishna, using coercion to fire people and take away their bonuses unless they discriminate in the hiring process, which appears to be a violation of Title VII.
[01:54:12.185 --> 01:54:19.487]  This comes on the heels of IBM pulling advertising from Elon Musk's X with IBM saying they have zero tolerance for discrimination.
[01:54:19.567 --> 01:54:26.169]  Quote, IBM has zero tolerance for discrimination and we've immediately suspended all advertising on X while we investigate.
[01:54:26.509 --> 01:54:30.091]  So let me add a couple of things with a red hat flavor on it.
[01:54:31.071 --> 01:54:34.112]  I think Arvind laid it out pretty well, but let me go deeper in the red hat.
[01:54:34.652 --> 01:54:38.713]  As Arvind very much pointed out and I very much understand, I am accountable.
[01:54:38.833 --> 01:54:40.034]  I hold myself accountable.
[01:54:40.114 --> 01:54:41.134]  He holds me accountable.
[01:54:41.980 --> 01:54:43.922]  As does the board for all of IBM.
[01:54:44.623 --> 01:54:47.406]  But we also hold the leadership at Red Hat accountable for that.
[01:54:47.426 --> 01:54:48.447]  I mean, I'll be very candid.
[01:54:49.188 --> 01:55:03.924]  Without an exception for privacy, I could name multiple leaders over the last year plus that were held accountable to the point that they're no longer here at Red Hat because they weren't willing to live up to the standards that we set in this space.
[01:55:04.565 --> 01:55:09.127]  And so, as I said, I'm accountable to ARVID on this as well as to IBM.
[01:55:09.608 --> 01:55:18.152]  For example, one of the changes I made, I named a D&I lead person in Margaret reporting directly to me in the CLT.
[01:55:18.972 --> 01:55:26.996]  Margaret sits on the CLT as the D&I functions, and this is worked on every single one of our meetings.
[01:55:27.456 --> 01:55:30.698]  This conversation takes place every single day.
[01:55:31.505 --> 01:55:35.149]  And a lot of it's behind the scenes, but let me assure you, this is happening.
[01:55:35.430 --> 01:55:38.674]  We're never going to cross the DEI off our list of priorities.
[01:55:38.734 --> 01:55:39.955]  This is an ongoing thing.
[01:55:40.195 --> 01:55:50.267]  That was Paul Kernier, CEO of Red Hat, which is a software company owned by IBM, saying that they terminated executives that didn't discriminate, yet another violation of Title VII.
[01:55:50.387 --> 01:55:53.008]  So we take underrepresented and gender.
[01:55:53.168 --> 01:55:55.309]  You've got to move both forward by a percentage.
[01:55:55.489 --> 01:55:57.530]  That leads to a plus on your bonus.
[01:55:57.670 --> 01:56:00.332]  By the way, if you lose, you lose part of your bonus.
[01:56:00.832 --> 01:56:02.493]  All that to the same standards.
[01:56:02.933 --> 01:56:07.535]  Paul and I have been working together to say, OK, how do we apply those deeper into the organization?
[01:56:07.995 --> 01:56:13.459]  That was the head of IBM saying he's going to reduce the bonus if you don't hit your racial quotas.
[01:56:13.839 --> 01:56:16.341]  Let's stop there.
[01:56:16.401 --> 01:56:21.164]  And again, this is the setup, the ESG social credit score that, oh, did you take your shot?
[01:56:21.545 --> 01:56:23.386]  Did you transgender brainwash your child?
[01:56:23.786 --> 01:56:25.828]  So it needs to sound good up front.
[01:56:25.888 --> 01:56:28.169]  They don't give a rat's ass about black people.
[01:56:30.371 --> 01:56:34.614]  But what they care about is getting this system via BlackRock into place.
[01:56:35.703 --> 01:56:40.427]  In fact, it's not that they don't care about black people, they're the main target of the depopulation.
[01:56:41.308 --> 01:56:43.349]  So let's go to the article today by Jamie White.
[01:56:43.369 --> 01:56:46.612]  It actually went up last night.
[01:56:46.752 --> 01:56:50.856]  Internal slide from IBM's Red Hat explains how whiteness works.
[01:56:52.517 --> 01:56:53.298]  Oh, whiteness!
[01:56:53.778 --> 01:56:55.900]  That's like Hitler saying how Jewishness works.
[01:56:57.041 --> 01:57:01.705]  Imagine we replace it with, Internal slide from IBM's Red Hat explains how Jewishness works.
[01:57:03.123 --> 01:57:04.303]  Or how blackness works.
[01:57:05.003 --> 01:57:07.124]  Or how hispanicness works.
[01:57:07.184 --> 01:57:08.044]  Or how women work.
[01:57:08.784 --> 01:57:12.325]  Internal Sly from IBM's Red Hat explains how whiteness works.
[01:57:13.866 --> 01:57:16.886]  Whiteness hides the rules then rigs the game over and over.
[01:57:17.206 --> 01:57:18.327]  Is that the judiciary?
[01:57:18.647 --> 01:57:24.068]  And what they're really doing here is talking about what the globalists do and then they're saying it's white people.
[01:57:25.552 --> 01:57:37.465]  An internal slide from IBM's Residual Area Red Hat, recently released by O'Keefe Media Group on Monday, further exposes the tech company's anti-white racism in graphically explaining how whiteness works.
[01:57:37.565 --> 01:57:38.446]  But wait, it gets worse.
[01:57:39.146 --> 01:57:40.388]  Whiteness constructs the game.
[01:57:42.048 --> 01:57:45.529]  Hides the rules, then rigs the game over and over.
[01:57:45.889 --> 01:57:47.209]  The Red Hat Slide Show.
[01:57:47.249 --> 01:57:52.470]  So, white people supposedly get together when it's the globalists creating all these new rules and doing this.
[01:57:52.850 --> 01:57:55.531]  And we go, oh, let's hide the rules, let's screw people over.
[01:57:55.631 --> 01:57:56.271]  What the heck?
[01:57:56.871 --> 01:57:58.191]  Let me tell you how America works.
[01:57:58.911 --> 01:58:01.752]  White people are the most racially inclusive any group in the world.
[01:58:02.472 --> 01:58:08.213]  Go to China and try to say, we're anti-Chinese, we need to hire more blacks or caucasians to laugh at you.
[01:58:09.625 --> 01:58:10.527]  The West is Christian.
[01:58:10.567 --> 01:58:11.268]  We're inclusive.
[01:58:12.129 --> 01:58:13.972]  So they're saying whiteness, though, isn't inclusive.
[01:58:15.274 --> 01:58:19.521]  The Rabbit shows a revolving cycle comprised of three tactics.
[01:58:20.823 --> 01:58:26.168]   Red Hat alleges whiteness, Blindness, power, divide and conquer.
[01:58:26.568 --> 01:58:30.070]  Another slide, which this is divide and conquer by the way, total inversion.
[01:58:30.470 --> 01:58:36.374]  Another slide claims the real problem in society is white judgment and white theft.
[01:58:36.894 --> 01:58:41.937]  White supremacy, white elitism, white censorship, and white allowance.
[01:58:44.538 --> 01:58:51.662]  OMG on Friday also released the internal slide describing the company's Elysium ship commandments.
[01:58:53.490 --> 01:59:00.494]  Which reads like a religious text outlining race-based rules for employees to follow and claiming that only white people can be racist.
[01:59:02.215 --> 01:59:07.598]  And it gets more insane from there.
[01:59:08.978 --> 01:59:16.683]  Now, what's funny is, it's not funny, is that IBM invented the first computers.
[01:59:17.243 --> 01:59:17.503]  On record.
[01:59:18.203 --> 01:59:22.746]  You can look up a Pulitzer Prize winning book, super accurate, IBM and the Holocaust.
[01:59:24.807 --> 01:59:25.247]  By black.
[01:59:25.887 --> 01:59:27.048]  Had him on the show many years ago.
[01:59:29.508 --> 01:59:37.170]  And IBM actually financed Hitler from before he got in power in like 1930.
[01:59:37.290 --> 01:59:41.652]  Hitler got in power in February of 33 with a false flag attack, the Reichstag.
[01:59:43.032 --> 01:59:47.233]  And it was literally race-mixing studies with card machines.
[01:59:48.333 --> 01:59:57.523]   And you wonder why Jews and others in the concentration camps, the forced labor camps, had a tattoo on their arm That was the IBM code card number.
[01:59:59.425 --> 02:00:05.530]  And Thomas Watson, the head of IBM, got the highest award in Germany that Hitler didn't even get.
[02:00:06.343 --> 02:00:08.245]  And there's photos and film of that that's on record.
[02:00:08.845 --> 02:00:10.246]  And I'm not saying it's a Nazi conspiracy.
[02:00:10.266 --> 02:00:12.448]  I'm saying IBM is an evil company.
[02:00:12.488 --> 02:00:17.232]  And when Thomas Watson died, they put all his money into a trust to carry out depopulation.
[02:00:17.252 --> 02:00:23.918]  And then they hired Microsoft head, gave them the technology, acted like he was a new company to get around antitrust.
[02:00:24.419 --> 02:00:26.801]  Microsoft is really an IBM spinoff.
[02:00:27.799 --> 02:00:28.639]  This is the deep knowledge.
[02:00:28.699 --> 02:00:29.500]  I covered my film Endgame.
[02:00:30.040 --> 02:00:30.961]  Blueprint for Global Enslavement.
[02:00:30.981 --> 02:00:31.361]  It's free.
[02:00:31.621 --> 02:00:32.681]  I posted it on X last week.
[02:00:33.262 --> 02:00:34.302]  It only got 3 million views.
[02:00:34.322 --> 02:00:35.163]  Wish it got 10 million views.
[02:00:35.203 --> 02:00:36.883]  But hey, we're not going to cry over 3 million views.
[02:00:38.024 --> 02:00:38.344]  Endgame.
[02:00:38.364 --> 02:00:39.324]  Blueprint for Global Enslavement.
[02:00:39.505 --> 02:00:40.045]  Endgame.
[02:00:40.405 --> 02:00:42.826]  Blueprint for Global Enslavement.
[02:00:42.866 --> 02:00:43.747]  Don't you want to know the blueprint?
[02:00:45.307 --> 02:00:47.268]  So you just saw that.
[02:00:49.289 --> 02:00:50.330]  Let me tell you, I'm a white person.
[02:00:51.730 --> 02:00:53.031]  I know people are white people.
[02:00:55.930 --> 02:01:00.991]  We're not sitting around trying to decide, the average white person, how to screw people who aren't white.
[02:01:01.311 --> 02:01:05.872]  We're trying to find workers that are hardworking and loyal and cool to be around.
[02:01:06.112 --> 02:01:08.592]  We don't care what color you are, a woman, a man, any of that.
[02:01:09.332 --> 02:01:15.153]  But imagine saying this, this is the stuff that Hitler said about the Jews, word for word.
[02:01:15.493 --> 02:01:18.834]  They're crafty, they're sneaky, they're setting up conspiracies.
[02:01:19.234 --> 02:01:21.354]  They're all over the place, you can't trust them.
[02:01:21.975 --> 02:01:22.975]  They're going to rob you.
[02:01:25.563 --> 02:01:26.243]  And it's IBM.
[02:01:29.524 --> 02:01:31.765]  Now, let's pull back to 35,000 foot view.
[02:01:34.526 --> 02:01:37.767]  What do you think white people do that are smart, but not that smart?
[02:01:38.307 --> 02:01:39.067]  They're not political.
[02:01:39.567 --> 02:01:44.629]  They see stuff where they're being told they're inherently bad and their children are bad because what color they are.
[02:01:44.929 --> 02:01:47.389]  And they're in a conspiracy against everybody.
[02:01:49.050 --> 02:01:52.471]  They're going to become anti-brown.
[02:01:54.116 --> 02:01:55.377]  And that divide and conquers us.
[02:01:55.777 --> 02:01:56.737]  And what's the document say?
[02:01:57.077 --> 02:01:59.798]  This document's to stop divide and conquer.
[02:02:00.959 --> 02:02:04.380]  And you do that by teaching you can't trust white people.
[02:02:04.420 --> 02:02:05.681]  You say, well, this is just IBM.
[02:02:05.961 --> 02:02:11.923]  No, this is the whole, from Target to Walmart to Microsoft to all of them.
[02:02:13.084 --> 02:02:16.125]  Elon Musk ended it at Twitter, Facebook, Google, all of it.
[02:02:18.134 --> 02:02:28.619]  They are teaching race-based systems, and you've got the mayor of Boston saying, we have holiday parties without whites, we can't trust them, and she says at a press conference, our problem is white people.
[02:02:32.161 --> 02:02:36.823]  Then we have the head of the Texas vaccine program in testimony, remember that clip?
[02:02:38.064 --> 02:02:42.506]  Saying, our problem is white people, they won't take the shots.
[02:02:43.439 --> 02:02:46.680]  Actually, black people are more apt to not take shots because they've been screwed over by it.
[02:02:47.140 --> 02:02:48.921]  But again, it's like, don't listen to white people.
[02:02:48.981 --> 02:02:49.561]  Take the shots.
[02:02:50.662 --> 02:02:54.283]  And then they hire all these big rappers and go, I took the shot.
[02:02:54.543 --> 02:02:55.283]  They took the shot.
[02:02:55.443 --> 02:02:56.104]  I took the shot.
[02:02:56.144 --> 02:02:56.884]  You take the shot.
[02:02:59.405 --> 02:03:00.585]  This is sick, folks.
[02:03:00.625 --> 02:03:01.866]  This is beyond evil.
[02:03:03.001 --> 02:03:05.864]  And they're using the openness of our society against us.
[02:03:06.564 --> 02:03:08.306]  And it doesn't just need to be repudiated.
[02:03:08.326 --> 02:03:09.847]  We need to educate our children about this.
[02:03:10.308 --> 02:03:11.268]  We need to understand what this is.
[02:03:11.309 --> 02:03:21.618]  Understand, if you put your children in a public school or a private school accredited by this, and most of the private schools are just as bad, you're letting the enemy train your children that literally want to cut their genitals off.
[02:03:22.459 --> 02:03:23.139]  It's beyond evil.
[02:03:25.862 --> 02:03:27.103]  But this system's coming down.
[02:03:29.525 --> 02:03:30.845]  And humanity's going to reject it.
[02:03:30.865 --> 02:03:32.226]  But why is this really happening now?
[02:03:32.446 --> 02:03:33.686]  We'll talk about it with our guests coming up.
[02:03:34.667 --> 02:03:37.448]  Big article from Schiff Gold.
[02:03:37.688 --> 02:03:40.009]  The world is sitting on a powder keg of debt.
[02:03:40.769 --> 02:03:41.029]  Yeah.
[02:03:41.629 --> 02:03:45.510]  The whole big bubble is coming to an end.
[02:03:47.191 --> 02:04:00.097]   And they need us all to fight over what color we are, what Gender we are, or what gender we could be, while they run away and steal everything, hoping we're so stupid we don't see the divide and conquer.
[02:04:00.277 --> 02:04:01.218]  Because what's the document say?
[02:04:01.598 --> 02:04:02.778]  White people are inherently evil?
[02:04:03.059 --> 02:04:04.759]  You can't trust them, you gotta watch them.
[02:04:05.400 --> 02:04:08.441]  Official, company-wide executives, IBM.
[02:04:09.962 --> 02:04:11.023]  Literally created Hitler.
[02:04:11.843 --> 02:04:12.884]  Hitler's mommy.
[02:04:13.784 --> 02:04:15.405]  That's a nice Indian man up there, you notice.
[02:04:16.205 --> 02:04:17.286]  Hitler's mommy.
[02:04:18.066 --> 02:04:18.867]  Hitler's daddy.
[02:04:20.265 --> 02:04:26.948]  This whole thing came out from between its legs is telling you we want to stop divide and conquer by dividing everybody.
[02:04:28.429 --> 02:04:29.969]  Total inversion.
[02:04:30.050 --> 02:04:41.515]  It's like having a bottle of cyanide and labeling it vitamin C. What a group of freakazoids.
[02:04:41.595 --> 02:04:43.336]  What a group of nasty criminals.
[02:04:43.576 --> 02:04:49.572]   But if you wonder where IBM got this, Well, it got it from BlackRock, but where'd BlackRock get it?
[02:04:49.612 --> 02:04:50.153]  From IBM.
[02:04:50.313 --> 02:04:54.995]  IBM, as I said in Endgame, I put out in 2007, you watch today, it's evergreen.
[02:04:54.815 --> 02:05:02.935]  It's more important than ever.
[02:05:02.935 --> 02:05:04.975]  They explain this whole plan.
[02:05:04.975 --> 02:05:14.975]  [BLANK_AUDIO]
[02:05:06.203 --> 02:05:07.164]  Because they think you're stupid.
[02:05:07.524 --> 02:05:08.165]  We're going to go to break.
[02:05:08.185 --> 02:05:09.706]  I'm going to play a little promo here.
[02:05:09.726 --> 02:05:17.012]  We're going to come back and our special guest is here to talk about the economic crisis and where it's going and what we can do about it.
[02:05:17.712 --> 02:05:19.974]  Because as I said earlier, we're not in Kansas anymore.
[02:05:19.994 --> 02:05:22.376]  The big Bill Gates breakdown.
[02:05:23.317 --> 02:05:25.439]  The Epstein List is coming out January 1st.
[02:05:25.499 --> 02:05:27.421]  We got a report on Infowars.com about that.
[02:05:27.781 --> 02:05:30.704]  Reported X on X, formerly Twitter.
[02:05:31.204 --> 02:05:32.145]  It's all there.
[02:05:32.525 --> 02:05:33.626]  And you're like, OK, we already know that.
[02:05:33.706 --> 02:05:34.587]  OK, did you share it?
[02:05:35.087 --> 02:05:37.029]  Because that's where the dog hunts, folks.
[02:05:37.409 --> 02:05:39.911]  The show loads the bullet in the information warfare.
[02:05:40.492 --> 02:05:41.433]  You pull the trigger.
[02:05:41.513 --> 02:05:44.355]  You aim the rifle peacefully to wake up minds.
[02:05:44.515 --> 02:05:45.717]  You share the clips.
[02:05:45.977 --> 02:05:47.058]  It changes the world.
[02:05:48.476 --> 02:05:49.917]  You sit on your ass, we lose.
[02:05:49.937 --> 02:05:50.798]  And I'm not bitching at you.
[02:05:51.058 --> 02:05:51.799]  You're the troopers.
[02:05:51.819 --> 02:05:52.780]  You're the folks that care.
[02:05:52.820 --> 02:05:54.101]  You really are special.
[02:05:54.361 --> 02:05:55.182]  I appreciate you.
[02:05:55.442 --> 02:05:57.023]  I'm honored to be talking to you right now.
[02:05:57.343 --> 02:05:58.024]  It's incredible.
[02:05:58.785 --> 02:06:05.751]  I'm exhausted, but I've still got energy because I know this is important and the destiny of humanity we're looking to direct.
[02:06:07.352 --> 02:06:07.792]  We'll go on a break.
[02:06:07.812 --> 02:06:09.234]  A little promo.
[02:06:09.874 --> 02:06:12.316]  We'll come back with our special guest in studio for over an hour.
[02:06:12.837 --> 02:06:13.917]  InfoWars.com.
[02:06:14.258 --> 02:06:15.118]  Tomorrow's news today.
[02:06:15.559 --> 02:06:16.580]  Here is the breakdown.
[02:06:20.529 --> 02:06:22.070]  And Super Mario Brothers.
[02:06:22.170 --> 02:06:26.011]  And now, the ultimate retro nostalgia throwback game.
[02:06:26.091 --> 02:06:30.633]  I present to the world, Alex Jones's New World Order Wars.
[02:06:30.673 --> 02:06:33.334]  They're turning the friggin' frogs gay!
[02:06:33.574 --> 02:06:35.715]  I'll eat your ass!
[02:06:36.275 --> 02:06:38.316]  You Nazi scum!
[02:06:38.356 --> 02:06:41.077]  Let's free the patriots and defeat the globalist techies.
[02:06:41.117 --> 02:06:46.939]  We are going to defeat the globalists, very bigly.
[02:06:46.819 --> 02:06:48.819]  This game is mostly peaceful.
[02:06:48.819 --> 02:06:58.819]   *Screaming* I'm going to lower the world's population!
[02:06:59.628 --> 02:07:02.029]  Oh, big deal.
[02:07:02.189 --> 02:07:03.670]  I'm taking you down, rapist.
[02:07:03.710 --> 02:07:07.732]  I did not have sexual relations with that saxophone.
[02:07:07.792 --> 02:07:14.835]  Download it now at alexjonesgame.com, because as we all know, anything badass gets censored!
[02:07:18.152 --> 02:07:21.633]  At this important meeting of the Davos Grubber Elite?
[02:07:22.553 --> 02:07:26.154]  We have told you they were Eat the Bugs, they were Owls Nuzzlings, and they were like it!
[02:07:26.954 --> 02:07:32.576]  We have worked around the clock to silence Head Jones, and anyone else that challenges our Eat the Bugs narrative!
[02:07:33.876 --> 02:07:36.877]  Of course it'll be easy to silence Jones!
[02:07:36.957 --> 02:07:38.197]  We will have victory!
[02:07:41.798 --> 02:07:46.079]  Mein Führer... He never gives up, mein Führer.
[02:07:48.371 --> 02:07:50.732]  Actually, he has best-selling books now.
[02:07:52.633 --> 02:07:53.913]  But that's not the problem, sir.
[02:07:53.954 --> 02:07:57.275]  Now he has a new video game called New World Order Wars.
[02:07:57.355 --> 02:08:01.257]  Our experts believe it will explode and have a giant effect on the popular culture.
[02:08:04.698 --> 02:08:06.319]  They're turning the friggin' frogscapes!
[02:08:10.760 --> 02:08:16.723]  Everyone else leave the room except Soros, Bill Clinton, Tony Blair, Klaus Schwab.
[02:08:17.504 --> 02:08:23.127]  Say hello to my little friend.
[02:08:23.287 --> 02:08:28.970]  We will join the Matrix.
[02:08:29.110 --> 02:08:31.251]  What did I tell you?!
[02:08:31.791 --> 02:08:34.393]  Control every facet of the media!
[02:08:35.484 --> 02:08:42.167]  Now that he has launched his video game, he will be able to fight his larger operation in Info War and counter Allies!
[02:08:42.767 --> 02:08:44.668]  And then he will have more video games!
[02:08:44.928 --> 02:08:46.508]  And then children's toys!
[02:08:46.868 --> 02:08:48.309]  And freedom is so popular!
[02:08:49.853 --> 02:08:52.635]  Look at what they've done when we shut down Tucker Carlson!
[02:08:52.795 --> 02:08:54.717]  He got 50 times bigger!
[02:08:54.977 --> 02:08:58.460]  We tried to bully Joe Rogan, and now he's gotten in our face!
[02:08:59.200 --> 02:09:02.523]  I will tell you all, you're the downfall of our new Reich!
[02:09:02.943 --> 02:09:04.004]  Our new world order!
[02:09:04.084 --> 02:09:05.786]  What is Bill Gates, my friend?
[02:09:06.226 --> 02:09:07.707]  My lover, what to do?
[02:09:08.087 --> 02:09:09.468]  How many learns would you have done?
[02:09:09.909 --> 02:09:12.891]  My wife, Bill Gates, may have been so angry!
[02:09:13.412 --> 02:09:15.353]  You have destroyed us all!
[02:09:19.501 --> 02:09:20.962]  9-1-1 was an inside job.
[02:09:20.982 --> 02:09:25.104]  The lottery is rigged!
[02:09:25.164 --> 02:09:26.624]  You tell them all!
[02:09:26.765 --> 02:09:34.768]  They do not visit AlexJonesGame.com and they do not download New World Order Wars!
[02:09:35.068 --> 02:09:38.910]  That is an order from the New World Order!
[02:09:39.130 --> 02:09:40.511]  When you download it...
[02:09:40.851 --> 02:09:44.693]  When you share it, it sends a very important cultural message against tyranny.
[02:09:45.474 --> 02:09:49.416]  And it also funds the true information war against the globalists.
[02:09:49.476 --> 02:09:56.399]  So when you download this game, when you play this game, you are truly fighting tyranny and 1776 worldwide.
[02:09:56.479 --> 02:10:01.302]  So I want to salute again and thank all of you that have gotten the game.
[02:10:01.402 --> 02:10:05.344]  And if you've not downloaded and played the game, what on earth are you waiting for?
[02:10:05.664 --> 02:10:08.486]  So go now to alexjonesgame.com and download it.
[02:10:09.006 --> 02:10:12.989]  The New World Order is no more!
[02:10:13.850 --> 02:10:20.395]  Well, I've known about Kirk Elliott for a couple years.
[02:10:20.455 --> 02:10:34.466]  He's got an amazing website, really good videos and breakdown, and he's a PhD with two PhDs, one in public policy administrative focusing on monetary economics, the second in theology, and we're really glad.
[02:10:34.566 --> 02:10:37.668]  I said, let's get him on the show like a couple days ago, and like, boom, he's here.
[02:10:38.749 --> 02:10:44.937]  Colorado, and he's here with us now to talk about the debt bubble and what's going on.
[02:10:45.317 --> 02:10:47.039]  KirkElliottPhD.com.
[02:10:47.400 --> 02:10:49.362]  KirkElliottPhD.com.
[02:10:49.382 --> 02:10:53.788]  We'll put a link up at InfoWars.com in the live show feed to find that.
[02:10:53.808 --> 02:10:54.769]  We'll put a lower third up.
[02:10:55.129 --> 02:10:57.890]  But I wanted to get your take, because you've been predicting a lot of this for years.
[02:10:58.490 --> 02:11:02.071]  In fact, next time you're on, because I was going to get you on, I said, get him on, like, Friday.
[02:11:02.091 --> 02:11:02.851]  And you're like, here today.
[02:11:02.871 --> 02:11:04.732]  I'm like, wait, I didn't have time for the video.
[02:11:04.772 --> 02:11:06.532]  So I sent him, like, five videos.
[02:11:06.552 --> 02:11:08.713]  They go, well, what do you want out of these long videos?
[02:11:09.113 --> 02:11:12.994]  So next time you come back, we'll have your predictions that have come true and all that stuff.
[02:11:13.054 --> 02:11:15.415]  And the reason I got here, but wow, I'm glad you're joining on the spot.
[02:11:16.075 --> 02:11:20.637]  So talk a little bit about yourself and where you are and where you see this going.
[02:11:20.657 --> 02:11:23.578]  And you've been calling all the stuff that's happening.
[02:11:23.658 --> 02:11:24.338]  And I've said this, too.
[02:11:25.566 --> 02:11:39.550]  I promoted gold for about 15 years, and then in about 2000 and whatever it was, when it started going down, right before it started going down, you know, like 2011 or whatever, I said, okay, now I think they're artificially suppressing it, but later it's gonna go back up.
[02:11:39.590 --> 02:11:41.310]  And then I've been saying the last few years, I think it will go up.
[02:11:41.770 --> 02:11:47.672]  It has gone up because, you know, I love cryptocurrencies, they're great, but at the end of the day, it's silver, it's gold, it's platinum, it's things like that.
[02:11:47.692 --> 02:11:49.112]  So you're also an expert on that.
[02:11:49.132 --> 02:11:50.873]  So Kirk, great to have you here with us.
[02:11:51.453 --> 02:11:53.674]  You know, just talking to the audience, where do you think we really are?
[02:11:53.754 --> 02:11:54.534]  Tell folks about yourself.
[02:11:55.407 --> 02:11:57.449]  Well, thanks for having me on, Alex.
[02:11:57.509 --> 02:11:59.110]  It's just really awesome to be here.
[02:11:59.130 --> 02:12:13.381]  But, you know, I've been analyzing the markets, the economy, and kind of like putting these puzzle pieces together of politics, economics, our personal freedoms, our economic freedoms, religious freedoms, because they all fit together.
[02:12:14.202 --> 02:12:14.903]  And you know what?
[02:12:15.043 --> 02:12:17.064]  If we lose one of them, we really lose all of them.
[02:12:17.605 --> 02:12:29.289]   So way back in the day, I started As a stockbroker back in like 1994 and you know that that industry doesn't allow you to really tell the truth.
[02:12:29.689 --> 02:12:40.072]  It's very sad because if you say something that you want to have your investor invest in and they don't sell it, you get in trouble for selling away.
[02:12:40.152 --> 02:12:41.972]  They give you a cease and desist.
[02:12:41.992 --> 02:12:43.132]  You know, it's really ugly.
[02:12:43.192 --> 02:12:44.733]  So way back then.
[02:12:45.433 --> 02:12:48.475]  I thought, how can we get out of the system, right?
[02:12:48.515 --> 02:12:53.418]  How can we protect, preserve, grow people's portfolios with something that's safe?
[02:12:53.799 --> 02:12:59.382]  Because it's getting more important now because we've got a debt cycle that's about to implode.
[02:13:00.143 --> 02:13:05.887]  We've got an exponential derivatives debt that's going to actually cripple the global economy.
[02:13:06.367 --> 02:13:09.789]  We've got a national debt that's over $32 trillion.
[02:13:10.090 --> 02:13:17.615]   When you think about that, Alex, this is why I got into this, because even back then, You know, I've been watching you for decades.
[02:13:18.436 --> 02:13:21.078]  Even back then, it's like this debt was exploding.
[02:13:21.138 --> 02:13:30.506]  If you look at where we were in 1776, we had zero debt, you know, on day one, because we couldn't spend like drunken sailors yet on day one, right?
[02:13:30.526 --> 02:13:33.829]  And so go from 76 to 1980, right?
[02:13:34.929 --> 02:13:42.436]  We, when Reagan became president, that's over 200 years, we accumulated almost a trillion dollars worth of debt.
[02:13:43.700 --> 02:13:51.947]  Just last year alone we added almost three trillion dollars of debt in one year when it took us over 200 years just to get from zero to a trillion.
[02:13:52.427 --> 02:13:53.948]  We're spending like drunken sailors.
[02:13:54.168 --> 02:13:56.190]  Ultimately we have to pay the piper.
[02:13:56.690 --> 02:14:02.395]   This is why I got into what we're doing because if you invest How long can it keep going?
[02:14:02.215 --> 02:14:07.914]   asset classes when the world falls apart when banks are failing when banks are
[02:14:07.914 --> 02:14:11.515]   running out of money when why do banks run out of money because simply put they
[02:14:11.515 --> 02:14:15.175]   have more withdrawals and they have deposits that's why banks fail it's it's
[02:14:15.175 --> 02:14:19.015]   not rocket science no doubt word to that point the bubbles collapsing mm-hmm I
[02:14:19.015 --> 02:14:23.335]   saw numbers like 60 plus percent of money supply has been created just since
[02:14:23.335 --> 02:14:29.315]   Biden got in yeah how long can it keep going I mean I think it's already
[02:14:29.315 --> 02:14:35.621]   imploding well it can't it can't keep going It's imploding right now.
[02:14:35.662 --> 02:14:38.845]  If you look at the money supply, there's two different money supplies.
[02:14:38.885 --> 02:14:41.288]  This is where people don't look at the right numbers.
[02:14:42.048 --> 02:14:47.048]   They stopped measuring all the money that's been created years ago, which is called MZM.
[02:14:47.048 --> 02:14:51.807]   That's like the money that goes for foreign aid and all the money that provides all the
[02:14:51.807 --> 02:14:52.807]  stimulus.
[02:14:52.807 --> 02:14:55.387]   They stopped measuring that because they don't want people to know.
[02:14:55.387 --> 02:14:59.288]   The money supply that we see, like the M2 money supply, which is money that we have
[02:14:59.288 --> 02:15:04.288]   in the banks, checking accounts, savings accounts, money markets, what's happening to that?
[02:15:04.344 --> 02:15:06.025]  It's starting to come down.
[02:15:06.565 --> 02:15:09.007]  See, they're printing money that causes inflation.
[02:15:09.047 --> 02:15:11.569]  You have to raise interest rates to slow down inflation.
[02:15:11.609 --> 02:15:13.490]  This is the ugly policy that we're living with.
[02:15:14.151 --> 02:15:17.313]  And you look at what's happening to money in the banks.
[02:15:17.553 --> 02:15:18.354]  It's coming down.
[02:15:18.694 --> 02:15:19.574]  People are pulling out.
[02:15:19.614 --> 02:15:20.755]  They can't afford to live.
[02:15:21.115 --> 02:15:40.545]   But I think it's more insidious than that, Alex, which is why I do what I do to offer solutions for people to navigate through this crisis, because If people don't have money, they can't afford to feed their babies because of the inflationary pressures, because banks are undercapitalized and money is leaving, they tend to give up their freedoms.
[02:15:40.625 --> 02:15:44.707]  You look back to, I saw earlier in the show you were talking about Hitler, right?
[02:15:45.207 --> 02:15:50.669]  So when Hitler came to power, you know, he didn't... That's one of your videos I saw, you explained that.
[02:15:52.290 --> 02:16:02.534]  Yeah, so this is incredible because one of the worst dictators in the history of the world didn't hold a gun to people's heads and say, vote for me or else.
