[00:00:21.894 --> 00:00:24.475]  Good evening, and welcome to the InfoWars Nightly News.
[00:51:02.674 --> 00:51:07.757]  For an operation to go live, all they have to do next time is to fake explosives, put in real ones.
[00:51:07.957 --> 00:51:08.758]  And then let it happen.
[00:51:09.358 --> 00:51:20.487]  Yeah, and then be right there all of a sudden with a description and a suspect that they've apprehended and it's all nice and neat and fits into their little dandy tale.
[00:51:20.967 --> 00:51:26.091]  I was having a discussion two nights ago with a relative who came in to visit and you know,
[00:51:26.611 --> 00:51:28.691]  You know, I said, what are your thoughts on OKC?
[00:51:28.812 --> 00:51:31.032]  And he goes, well, you know, Timothy McVeigh, we got him.
[00:51:31.092 --> 00:51:40.754]  I said, well, and I started going into the evidence and the blast wave and the debris ending up on the other side of the blast wave, which is a physical impossibility.
[00:51:41.574 --> 00:51:46.515]  And then the other evidence with the tapes and Terrence Yakey being killed.
[00:51:46.895 --> 00:51:47.956]  And we'll go into that in a second.
[00:51:48.436 --> 00:51:50.236]  And he said, well, why do you think they would do this?
[00:51:50.916 --> 00:51:55.259]  My answer, and at a gut level, I feel it's some sick form of job security.
[00:51:55.339 --> 00:52:11.307]  The more terror they can create and keep out there, the more money they get for body scanners and militarized weapons and all this stuff to supposedly make us feel safe, which doesn't really make us feel safe, but it enriches these people who create this type of stuff.
[00:52:12.045 --> 00:52:18.448]  Yeah, we have the underwear bomber, and the next week after that, they're rolling out the naked body scanners, which have already been ordered.
[00:52:19.649 --> 00:52:21.990]  So yeah, it is.
[00:52:22.290 --> 00:52:25.371]  In 1995, there was a whole lot of job insecurity going on in the federal government.
[00:52:25.411 --> 00:52:29.653]  People were upset with the two-party system we see with the popularity of the Ross Perot campaign.
[00:52:30.774 --> 00:52:32.335]  Oliver Stone's JFK had just been released.
[00:52:32.355 --> 00:52:35.056]  People were finally beginning to understand the nature of their government.
[00:52:35.536 --> 00:52:36.557]  And people were upset.
[00:52:36.877 --> 00:52:40.758]  Waco, Ruby Ridge, the ATF and the FBI were facing heavy heat.
[00:52:41.118 --> 00:52:42.959]  People were talking about dissolving the ATF.
[00:52:43.359 --> 00:52:44.620]  That could not be allowed to happen.
[00:52:44.820 --> 00:52:45.500]  No.
[00:52:45.760 --> 00:52:46.821]  Could not be allowed to happen.
[00:52:47.001 --> 00:52:48.241]  And you're right.
[00:52:48.321 --> 00:52:49.722]  I'm going to steal that phrase.
[00:52:49.782 --> 00:52:51.523]  It probably is a sick form of job security.
[00:52:51.643 --> 00:52:53.123]  Yeah, it really is.
[00:52:53.864 --> 00:52:57.985]  Don, since you've retired, you've seen the police become militarized.
[00:52:58.886 --> 00:52:59.706]  How do you feel about that?
[00:53:01.347 --> 00:53:01.907]  I regret it.
[00:53:05.206 --> 00:53:21.355]  Relished in the thought that they referred to us as peace officers when I first hired Owen, and to the point now that the common phrase is police officers, but they have become very militaristic and almost standoffish from the public themselves.
[00:53:23.657 --> 00:53:24.177]  I regret it.
[00:53:24.197 --> 00:53:27.399]  I don't understand why there has been the change that there is.
[00:53:29.700 --> 00:53:39.027]  The rank-and-file officer probably is not enjoying his career nearly like what myself and my generation of police officers did.
[00:53:39.667 --> 00:53:43.110]  And Don is not, you know, Don carried a machine gun in the jungles of Vietnam.
[00:53:43.330 --> 00:53:43.490]  Right.
[00:53:43.510 --> 00:53:47.273]  So he knows what the difference between war and peace.
[00:53:47.573 --> 00:53:48.313]  He's done both.
[00:53:48.613 --> 00:53:50.935]  And as a peace officer, he wants to secure the peace.
[00:53:51.375 --> 00:53:51.876]  He doesn't want to
[00:53:52.356 --> 00:53:55.838]  He doesn't want to fight the American people, and that's what a lot of the police are doing these days.
[00:53:55.858 --> 00:54:00.441]  They have tanks, they have drones, and they're viewing the American people as the enemy.
[00:54:00.781 --> 00:54:03.082]  Well, actually, the homeland is now the battlefield.
[00:54:03.102 --> 00:54:03.503]  Yeah, yeah.
[00:54:03.663 --> 00:54:09.706]  They've just moved the battlefield from Iraq and Afghanistan over to the United States where they can have 330 million plus more victims.
[00:54:13.849 --> 00:54:18.350]  Before we end this, let's get into Terry Yakey.
[00:54:19.451 --> 00:54:20.791]  How good of friends were you with him?
[00:54:20.811 --> 00:54:24.233]  Were you guys talking about this stuff during the investigation?
[00:54:24.673 --> 00:54:25.934]  Yes sir, we were talking about it.
[00:54:26.414 --> 00:54:30.656]  We were not socially extremely close friends.
[00:54:33.354 --> 00:54:36.756]  Workmates, yeah, and supportive of one another very much so.
[00:54:39.137 --> 00:54:49.002]  To the point that I would tease Terry and he would tease back, especially after his picture came out on Newsweek, that he was my hero and I appreciated what he had done.
[00:54:53.148 --> 00:55:04.071]  But again, Terry had a little bit of a closed side, such as I did, that there were some things that you just were very cautious about talking to other police officers about.
[00:55:06.131 --> 00:55:08.032]  Because you don't know who's on which side at that point.
[00:55:08.072 --> 00:55:08.492]  Exactly.
[00:55:08.732 --> 00:55:15.373]  I've had two police officers actually come up to me out of the blue, because I was actually passing out some flyers on the Oklahoma City bombing at an event.
[00:55:15.693 --> 00:55:16.694]  They were working security there.
[00:55:17.214 --> 00:55:18.594]  And they were from a different jurisdiction.
[00:55:18.614 --> 00:55:21.735]  And they walked up to me, and they saw what I was doing, and they said, hey, remember that Oklahoma City cop?
[00:55:22.944 --> 00:55:23.584]  I was like, who?
[00:55:23.644 --> 00:55:25.085]  And they said, the one that was found in that field?
[00:55:25.105 --> 00:55:25.745]  I was like, yeah.
[00:55:26.346 --> 00:55:28.146]  And the police officer said, yeah, I think they killed him.
[00:55:28.206 --> 00:55:29.387]  And I was like, well, yeah, I know.
[00:55:29.407 --> 00:55:35.550]  I mean, the message was sent to law enforcement and the first responders, keep your mouth shut or we will kill you.
[00:55:35.590 --> 00:55:36.550]  That was the literal lesson.
[00:55:36.991 --> 00:55:37.231]  Right.
[00:55:38.271 --> 00:55:44.074]  And what was the reaction around the office when that happened, when they found Terry Aki and they said, oh, it's a suicide?
[00:55:45.631 --> 00:55:46.932]  There was a lot of disbelief.
[00:55:47.573 --> 00:55:54.898]  We were told, even by our chaplain, that Terry was drunk and was high on drugs at the time of his death.
[00:55:57.065 --> 00:55:58.286]  That didn't fit, Terry.
[00:55:58.807 --> 00:56:06.495]  And when the ME report was released, it showed no blood alcohol content, no drugs in the system.
[00:56:07.456 --> 00:56:12.441]  But by that time they'd already had the story out that he was drunk and high, and that had been playing around for weeks.
[00:56:13.142 --> 00:56:15.605]  Yes sir, and it was related to marital trouble.
[00:56:18.502 --> 00:56:19.623]  They slandered his character.
[00:56:20.523 --> 00:56:23.785]  The superiors within the police department slandered his character after he died.
[00:56:23.805 --> 00:56:25.106]  Before he died, he was a hero.
[00:56:25.146 --> 00:56:25.886]  He was a hero.
[00:56:26.146 --> 00:56:30.168]  He was three days away from receiving the Medal of Valor, the highest award the department can offer.
[00:56:30.548 --> 00:56:32.969]  And then after he dies, suddenly Terry's a scumbag.
[00:56:33.250 --> 00:56:33.530]  Right.
[00:56:34.270 --> 00:56:34.890]  Makes you wonder.
[00:56:35.331 --> 00:56:35.671]  Geez.
[00:56:37.051 --> 00:56:42.237]  You know, and who knows what kind of evidence he had if he would have been able to bring it forward and what they got from him.
[00:56:42.977 --> 00:56:49.284]  Well, when his car was found in El Reno, the patrolman reported that there were several boxes of documents in the back seat.
[00:56:49.324 --> 00:56:54.269]  When that car was processed for evidence, there was no mention of anything in that car, document-wise.
[00:56:54.790 --> 00:56:55.451]  How convenient.
[00:56:58.032 --> 00:56:59.813]  Well Don, I want to give you the last word on this.
[00:57:00.153 --> 00:57:08.438]  I want you to look out and talk to people, especially police officers, who may know of this stuff or may have been in on a cover-up or something.
[00:57:08.458 --> 00:57:12.541]  I mean, what do you have to tell them, you know, in order for us to get this country back?
[00:57:12.561 --> 00:57:15.022]  We have to start telling the truth and coming up with this.
[00:57:15.042 --> 00:57:17.204]  I want to give you the last word to tell, you know,
[00:57:18.424 --> 00:57:26.031]  What are your final feelings on, you know, coming forward and what other people should do if they feel like they know something and that, you know, they should bring it forward?
[00:57:26.272 --> 00:57:26.852]  What do you want to say?
[00:57:27.713 --> 00:57:33.438]  I would say to them that our integrity and loyalty are the only two things that we have to sell to the American public.
[00:57:34.119 --> 00:57:39.064]  And if we cannot maintain those, then we should not be police officers.
[00:57:42.267 --> 00:57:42.907]  That's not the
[00:57:45.279 --> 00:57:55.827]  involvement work field that we should be in and if we can't be true to this the public at least we should try to be true to ourselves and I regret it.
[00:57:57.037 --> 00:57:58.478]  Yeah, I totally agree.
[00:57:59.418 --> 00:58:01.219]  Well, guys, I thank you for joining us.
[00:58:01.539 --> 00:58:04.200]  It was about a 30 minute interview we just did and that's great.
[00:58:04.780 --> 00:58:15.205]  I really think this information, it's time for it to come out again and I think people are ready for it now because they've seen the utter corruption that's going on in their face, the stealing,
[00:58:16.385 --> 00:58:23.613]  You know, the police brutality that's going on and people are ready to be woken up and this is just another pill, you know, to help do that.
[00:58:23.653 --> 00:58:28.998]  So I want to thank you for coming on the show and we're definitely gonna have you guys on in the future and promote this film.
[00:58:30.640 --> 00:58:30.960]  Thank you.
[00:58:31.221 --> 00:58:31.481]  Thank you.
[00:58:31.741 --> 00:58:32.182]  Thank you very much.
[00:58:33.991 --> 00:58:42.573]  Well, and that was Holland Vanden Neuwenhof and Don Browning, retired OKC police officer, and of course you can get A Noble Lie here at the Info Wars store.
[00:58:42.793 --> 00:58:43.453]  It's available.
[00:58:44.454 --> 00:58:43.453]  1995.
[00:58:44.514 --> 00:58:58.077]  I think they're in their second pressing now, so it's getting a flood of popularity out there, and this is something you really need to show, as Alex has said, to police officers, to military people, people who don't believe in the official story.
[00:58:58.137 --> 00:59:00.598]  Sit down and say, well look, if you don't believe in the official story,
[00:59:01.832 --> 00:59:04.593]  Let's sit down for two hours, watch this film, and then talk about it.
[00:59:04.613 --> 00:59:05.513]  That's all you need.
[00:59:05.533 --> 00:59:08.994]  Two hours, and if you still don't believe it after watching this film, fine, I won't bother you anymore.
[00:59:09.314 --> 00:59:15.456]  But I think you're going to find people who have common sense, and who have dignity, and who have honesty, and they've just had the wool pulled over their eyes.
[00:59:15.816 --> 00:59:27.120]  You know, they're going to come to that realization, and we're going to have more people out there who know the truth, and who are ready to take it, you know, to the next level, because we're going to have to keep talking about these kinds of things until we stop the corruption and
[00:59:28.840 --> 00:59:41.737]  You know, and take our country back for what the founders meant it to be, a place of liberty and freedom, where people can come and do what they want, and make the money that they want, and do the things that they want, fulfill their dreams.
[00:59:42.138 --> 00:59:44.301]  And, you know, that's pretty much all I have to say.
[00:59:44.441 --> 00:59:46.063]  Please consider becoming a subscriber.
[00:59:46.960 --> 00:59:49.721]  Here at PrisonPlanet.tv, you can watch InfoWars Nightly News.
[00:59:49.741 --> 00:59:51.741]  We're producing it five nights a week.
[00:59:52.301 --> 00:59:57.282]  And if you want to send me an email with your suggestions, robd at InfoWars.com.
[00:59:58.122 --> 00:59:59.383]  I love hearing your suggestions.
[00:59:59.523 --> 01:00:06.884]  This is my second time hosting now, and after the first, I got a lot of great emails, a lot of encouragement, a lot of guest suggestions, and I do appreciate it.
[01:00:06.904 --> 01:00:08.665]  We're looking at everything that you guys send in.
[01:00:09.525 --> 01:00:11.845]  And please consider becoming a member.
[01:00:11.885 --> 01:00:14.686]  If you're not, if you're watching this on YouTube, spread it around.
[01:00:14.726 --> 01:00:15.346]  Let people know.
[01:00:15.606 --> 01:00:24.811]  Because this is information that really needs to come out, and I sincerely believe that, or I wouldn't be here spending, you know, five days a week, ten, eleven hours a day doing it.
[01:00:25.071 --> 01:00:29.493]  And I want to thank the crew out there, and we'll be back next week.
[01:00:30.314 --> 01:00:35.436]  Alex is going to have a special on Monday with Ron Paul, some vintage Ron Paul clips that you've probably never seen.
[01:00:35.796 --> 01:00:37.617]  And let me tell you, the guy doesn't change.
[01:00:38.118 --> 01:00:39.298]  He's the same person back in 1988.
[01:00:41.519 --> 01:00:42.299]  That he is today.
[01:00:42.439 --> 01:00:51.663]  It's the same guy running for president and it's time that we get somebody with a little bit of honor and with a lot less baggage in there so he can't be controlled by those with the purse strings.
[01:00:51.843 --> 01:00:54.764]  And for that, I'm Rob Due and this is InfoWars Nightly News.
[01:00:55.465 --> 01:00:56.125]  We'll see you around.
