[00:00:00.009 --> 00:00:01.982]  This is Alex Jones.
[02:02:16.758 --> 02:02:21.700]  And they'll sit there and go, uh, well I only ate one, I mean 20, I mean, I'm sorry.
[02:02:22.040 --> 02:02:22.760]  This is incredible.
[02:02:23.401 --> 02:02:31.084]  The best thing about things like pictures and videos anymore, they're programs that techies run, that they can scan and see if it's been photoshopped.
[02:02:31.504 --> 02:02:34.025]  So, I mean, the mainstream media should know this.
[02:02:34.085 --> 02:02:40.888]  There are people out there that are highly skilled, way more skilled than them, and working independently, that fact check these things.
[02:02:42.228 --> 02:02:46.770]  I mean, literally, there's a program that runs that'll tell you if a picture's been photoshopped or not.
[02:02:47.030 --> 02:02:50.812]  But instead, they still put it out there because mainstream people don't get it.
[02:02:50.852 --> 02:02:51.333]  They don't know.
[02:02:51.353 --> 02:02:56.935]  So they just want to trick those people and get the ball rolling and drag us into another war if we want to.
[02:02:57.075 --> 02:02:59.137]  I mean, again, people are...
[02:03:00.197 --> 02:03:00.878]  Do you know what?
[02:03:20.560 --> 02:03:22.341]  Do you know what happened just down the road from me?
[02:03:22.401 --> 02:03:24.623]  I've been to the hotel and the bar in San Antonio.
[02:03:24.943 --> 02:03:36.011]  It's across the street from the Alamo, where the Rough Riders, Teddy Roosevelt, William Randolph Hearst, and others got the order to go start a war in Cuba as the pretext to start the war with the Spanish.
[02:03:36.511 --> 02:03:44.337]  Then, of course, they blew up this battleship Maine as a pretext, as a false flag, to attack all the Spanish possessions in the Pacific, Philippines, you name it.
[02:03:45.219 --> 02:03:53.767]  But William Randolph Hearst told all of his illustrators with his newspapers, he said, you provide the paintings, the images, I'll provide the war.
[02:03:54.267 --> 02:04:05.998]  And they ran fake, they were even able to do this then, illustrations and even doctored photos in newspapers nationwide that they were engaged in atrocities in Cuba, the Spanish.
[02:04:06.358 --> 02:04:07.900]  And later they admitted it was all fake.
[02:04:08.520 --> 02:04:09.421]  And that's what they're doing.
[02:04:09.481 --> 02:04:11.063]  This is the modern yellow journalism.
[02:04:12.750 --> 02:04:14.031]  It's set up to play that game.
[02:04:14.571 --> 02:04:19.392]  And again, you know, so you said PR stunt and everything's set up so that people will believe something.
[02:04:19.412 --> 02:04:23.813]  But when you make a big mistake after big mistake after big mistake, people can't swallow it.
[02:04:24.113 --> 02:04:27.174]  You know, if you're going to tell me the guy's dead, just tell me his DNA.
[02:04:27.194 --> 02:04:29.095]  Tell me you set up a shot of rocket in there.
[02:04:29.115 --> 02:04:34.256]  You know, when you said the helicopter, I mean, these people don't even think they think that Americans are so stupid.
[02:04:34.736 --> 02:04:35.297]  Absolutely.
[02:04:35.337 --> 02:04:38.637]  They think Americans are like those folks at the White House demonstrating.
[02:04:38.898 --> 02:04:39.958]  Thank you so much for joining us.
[02:04:40.796 --> 02:04:45.019]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[02:04:45.340 --> 02:04:45.620]  Number 1.
[02:04:46.260 --> 02:04:49.403]  New climate legislation could easily double or triple your electric bill.
[02:04:49.683 --> 02:04:50.243]  Number 2.
[02:04:50.544 --> 02:04:55.087]  Our new energy czar wants to control how much power your electric company allows you to have.
[02:04:55.427 --> 02:04:55.888]  It's true.
[02:04:56.168 --> 02:05:00.731]  Total government control of electricity in the name of smart grid technology is coming.
[02:05:01.052 --> 02:05:01.592]  Number 3.
[02:05:01.872 --> 02:05:05.155]  In some areas of the country, the power grid is dangerously overloaded.
[02:05:05.455 --> 02:05:09.158]  And now, new socialist legislation is only compounding the problem.
[02:05:09.358 --> 02:05:09.899]  Number 4.
[02:05:10.159 --> 02:05:12.521]  Dangerous weather is always a threat to local grids.
[02:05:12.921 --> 02:05:16.304]  Every year, thousands of families lose their power from weather-related outages.
[02:05:16.604 --> 02:05:16.805]  Number 5.
[02:05:17.385 --> 02:05:21.308]  A solar power generator provides powerful backup, insurance, and peace of mind.
[02:05:21.529 --> 02:05:26.293]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[02:05:26.573 --> 02:05:30.594]  You can get more information at www.mysolarbackup.com.
[02:05:30.754 --> 02:05:32.294]  That's mysolarbackup.com.
[02:05:32.534 --> 02:05:34.615]  Remember, the government doesn't own the sun.
[02:05:34.775 --> 02:05:37.975]  So go to mysolarbackup.com or call 1-877-327-0365.
[02:05:40.596 --> 02:05:44.317]  Diamond Gusset is proud to announce the anthem of the Patriot movement.
[02:05:44.437 --> 02:05:48.457]  They're offering a free CD, t-shirt, and bumper sticker with a qualifying purchase.
[02:05:48.698 --> 02:05:53.338]  Diamond Gusset offers great products at great prices while keeping Americans working.
[02:05:53.398 --> 02:05:55.259]  I'm looking for a factory
[02:05:56.099 --> 02:05:57.520]  We're American and be proud.
[02:05:57.540 --> 02:06:01.302]  Go to gusset.com forward slash America.
[02:06:22.247 --> 02:06:27.531]  Again, go to gusset.com forward slash America Today.
[02:06:40.626 --> 02:06:47.294]  Over the last year, Alex has told you about and many of you have experienced emergencies and disasters in unprecedented numbers.
[02:06:47.574 --> 02:06:49.936]  People have had to literally run for their lives.
[02:06:50.217 --> 02:06:52.419]  Folks, this is Steve Schenck with E-Foods Direct.
[02:06:52.659 --> 02:06:56.844]  I'm not here to scare you, but when disaster strikes, you won't have time to think.
[02:06:57.044 --> 02:06:58.506]  You must act automatically.
[02:06:58.746 --> 02:07:01.907]  What does a pilot do when the helicopter engine fails in flight?
[02:07:02.248 --> 02:07:04.709]  No time to think, just act automatically.
[02:07:05.009 --> 02:07:12.993]  When the alert is broadcast, the alarm sounds, or the knock comes on your door, you'll need to be ready to act without thinking of what to do or what you need.
[02:07:13.353 --> 02:07:16.134]  You need a 5-Day Extreme Emergency Kit.
[02:07:16.394 --> 02:07:26.058]  With serious supplies and real food to secure two adults for five days, this powerful $300 Extreme Emergency Kit is free with an order of at least $995 from eFoodsDirect.
[02:07:26.078 --> 02:07:28.239]  Go to eFoodsDirect.com slash Alex or call 800-409-5633.
[02:07:28.279 --> 02:07:30.599]  That's eFoodsDirect.com slash Alex.
[02:07:30.619 --> 02:07:30.659]  800-409-5633.
[02:07:41.906 --> 02:07:44.088]  He's the T-Rex of political talk.
[02:07:44.148 --> 02:07:47.531]  Alex Jones, on the GCN Radio Network.
[02:07:52.996 --> 02:07:55.758]  Well, I've got goosebumps with this next guest.
[02:07:56.178 --> 02:07:58.641]  It's just incredible information.
[02:07:58.721 --> 02:08:05.126]  In early 2002, I was put in touch with Dr. Steve Pachinik.
[02:08:06.487 --> 02:08:09.250]  And I'll give you his bio, very prestigious here in a moment.
[02:08:10.376 --> 02:08:12.558]  Working under the biggest kingmakers in modern U.S.
[02:08:12.598 --> 02:08:19.103]  history, the trifecta, James Baker, George Shultz, Henry Kissinger, and Cyrus Vance.
[02:08:19.123 --> 02:08:24.687]  But the big three from all of our sources, George Shultz, James Baker, way above even Kissinger.
[02:08:24.948 --> 02:08:26.369]  That's why you don't even see them out there.
[02:08:27.995 --> 02:08:35.561]  And these are the guys that go right to the elite of the world and are their imperial legates, the people that speak for them, that make the deals with China, with Russia.
[02:08:36.022 --> 02:08:37.002]  They're the envoys.
[02:08:37.102 --> 02:08:46.790]  They're the above-government power brokers that are the spokesmen of the collective elite and these top councils.
[02:08:47.291 --> 02:08:49.933]  And he was their deputy, all three of them.
[02:08:49.973 --> 02:08:52.695]  And then Cyrus Vance is well high-powered, all four of them.
[02:08:53.256 --> 02:08:54.557]  And I got him on the show.
[02:08:56.104 --> 02:08:59.065]  And he also a CFR fellow at the time.
[02:09:00.325 --> 02:09:04.005]  I got him on the show and he just basically said this whole war on terror is a hoax.
[02:09:04.546 --> 02:09:11.327]  And he said the intel is they've got Bin Laden dead on ice and they're going to roll him out sometime in the future.
[02:09:11.347 --> 02:09:12.047]  And I said ice?
[02:09:12.147 --> 02:09:12.987]  He goes literally.
[02:09:13.667 --> 02:09:21.489]  Now then about a year later at an event I had a well-known Republican, part of the Bush administration.
[02:09:21.509 --> 02:09:23.929]  I mean well-known enough that I knew who they were.
[02:09:25.180 --> 02:09:25.900]  I don't think so.
[02:09:47.639 --> 02:09:51.884]  Dr. Pachinik came on, and then Hades broke loose after he came on.
[02:09:51.925 --> 02:09:53.426]  He said he was on ice and all this happened.
[02:09:53.667 --> 02:09:54.708]  And I looked up Pachinik.
[02:09:54.748 --> 02:09:58.172]  I mean, he was there with the Mujahideen, knew these people.
[02:09:59.034 --> 02:10:01.357]  Talk about somebody who's living history.
[02:10:01.397 --> 02:10:02.778]  I mean, he's seen so much of it.
[02:10:03.439 --> 02:10:04.140]  But then after...
[02:10:05.021 --> 02:10:10.623]  I talked to one White House official and then another person well known to me got it from another White House source.
[02:10:10.883 --> 02:10:11.743]  I'm just going to leave it at that.
[02:10:11.903 --> 02:10:20.586]  So two sources that I actually talked to, one on air, one privately, and then the other through someone I know for decades who was told the same information.
[02:10:20.946 --> 02:10:22.647]  And they said, this isn't a rumor, right?
[02:10:22.667 --> 02:10:24.007]  They said, no, he's dead.
[02:10:24.027 --> 02:10:27.088]  The intel was, it was a cover story of the kidney stuff.
[02:10:27.108 --> 02:10:28.549]  He reportedly was sick from that, that he
[02:10:29.289 --> 02:10:32.671]  They went ahead and got rid of him because he was putting those letters out saying, I didn't do it.
[02:10:32.711 --> 02:10:35.453]  They wanted to take his identity and have him say he did.
[02:10:35.513 --> 02:10:37.535]  But Dr. Pichinik can correct me if I'm wrong.
[02:10:38.175 --> 02:10:40.016]  And that they did send in special forces.
[02:10:40.036 --> 02:10:40.837]  So in a way, it's true.
[02:10:40.877 --> 02:10:43.599]  And they killed him and have had him literally frozen.
[02:10:44.559 --> 02:10:45.840]  Now they throw him in the ocean.
[02:10:45.860 --> 02:10:47.101]  You know, all this stuff comes out.
[02:10:47.321 --> 02:10:48.222]  It's just ridiculous.
[02:10:48.562 --> 02:10:51.064]  They put out a photo two days ago that was fake.
[02:10:51.124 --> 02:10:52.345]  Now they say another one's coming.
[02:10:53.991 --> 02:10:55.251]  So all of this is happening.
[02:10:55.311 --> 02:11:00.153]  But a year after I talked to him, these other sources told me the same thing.
[02:11:00.173 --> 02:11:02.733]  And then about six months later, Madeleine Albright went on Fox News.
[02:11:02.973 --> 02:11:04.634]  We have links to all those articles and videos.
[02:11:05.414 --> 02:11:09.675]  In our article, Inside Sources, Bin Laden's corpse has been on ice for nearly a decade.
[02:11:10.335 --> 02:11:12.316]  That has all the bibliography there for you.
[02:11:12.336 --> 02:11:18.278]  And I'm just prefacing this before we go to Dr. Petranek, because it's so important and a lot of folks are tuning in and watching right now.
[02:11:18.578 --> 02:11:19.318]  A record audience.
[02:11:21.311 --> 02:11:24.553]  That Madeleine Albright came out and said, the word is he's on ice.
[02:11:25.653 --> 02:11:28.054]  Use that same term and they're going to be rolling him out for the election.
[02:11:28.415 --> 02:11:33.337]  Then Walter Cronkite, Bohemian Grove, super high level, hanging out with the top people.
[02:11:33.857 --> 02:11:35.118]  That's kind of the Democratic wing.
[02:11:35.278 --> 02:11:37.979]  They got word that this was going to happen if Bush needed it.
[02:11:38.440 --> 02:11:44.143]  Then Teresa Hines Carey came out as the proxy for her husband and said, yeah, this is the word.
[02:11:44.443 --> 02:11:46.744]  So that scared Bush into not releasing it.
[02:11:47.024 --> 02:11:48.325]  By the way, I got threats over this.
[02:11:49.125 --> 02:11:51.587]  All sorts of dirty tricks when I was pushing this.
[02:11:51.667 --> 02:11:54.790]  And then it receded into history for another six, seven years.
[02:11:55.371 --> 02:11:58.193]  And now it's back, exactly the script we were told.
[02:11:58.974 --> 02:12:12.365]  So if you're a new listener, or if you're the Washington Post, or the New York Times, or New York Magazine, or LA Times attacking me over this, actually a few of the articles are actually pretty fair, but some of them are ridiculous, like the New York Magazine.
[02:12:13.246 --> 02:12:15.909]  Or the Atlantic with Jeff Goldberg.
[02:12:17.651 --> 02:12:19.213]  They're attacking us in cartoonish ways.
[02:12:21.315 --> 02:12:23.678]  If you're doubting this, look at the history we already have.
[02:12:23.918 --> 02:12:24.779]  Benazir Bhutto.
[02:12:25.700 --> 02:12:28.381]  Coming out and saying, look, bin Laden's dead.
[02:12:28.441 --> 02:12:30.322]  Stop using him as a pretext to be in Pakistan.
[02:12:30.682 --> 02:12:32.342]  A week later, she's killed.
[02:12:32.702 --> 02:12:34.263]  Our media says she hit her head.
[02:12:34.783 --> 02:12:37.784]  And then they released video of her being machine gunned by the assassin.
[02:12:38.024 --> 02:12:42.866]  And the word from Hamid Gul and others, former head of Pakistani intelligence, is the White House pulled the trigger on her.
[02:12:44.226 --> 02:12:49.912]  Um, now our guests start telling us, and our experts are telling us, there's going to be a move against Pakistan the last month.
[02:12:50.392 --> 02:13:03.264]  Then they catch this CIA operative, CNN reports, with the uranium, trying to get it to Mujahideen, to then blame it on the regular army of Pakistan to build the case to snatch their nukes, which will bring China in, folks.
[02:13:03.484 --> 02:13:04.265]  This could be World War III.
[02:13:06.126 --> 02:13:07.427]  So all of that's happening.
[02:13:08.168 --> 02:13:10.129]  You have all these other world leaders that have said this.
[02:13:10.190 --> 02:13:27.502]  Now, I'm going to try to now give the floor to our guest, Dr. Steve Pucinich, serve as Deputy Assistant Secretary of State and Senior Policy Planner under Secretaries Henry Kissinger, Cyrus Vance, George Shultz, talk about knowing where the bodies are buried, and James Baker.
[02:13:28.523 --> 02:13:31.224]  Uh, Dr. Pachenek continues to consult the Department of Defense.
[02:13:31.884 --> 02:13:39.027]  He received a Council on Foreign Relations Fellowship, where he was recruited by Lawrence Edelberger as Deputy Assistant Secretary of State for Management.
[02:13:39.347 --> 02:13:44.928]  In the position he was, he created the Office of Combat Terrorism, the family liaison.
[02:13:45.509 --> 02:13:46.309]  And it just goes on.
[02:13:48.190 --> 02:13:49.731]  Um, for a long time.
[02:13:49.771 --> 02:13:52.933]  Dr. Pachinik is the author and creator of 26 New York Times bestsellers.
[02:13:53.433 --> 02:14:00.337]  His experiences in government, international crisis management, uh, were the basis of Tom Clancy's characters Jack, Ryan, and Richard Clark.
[02:14:00.817 --> 02:14:02.798]  And the website is stevepachinik.com.
[02:14:04.139 --> 02:14:07.500]  Poczenik, P-I-E-C-Z-E-N-I-K.
[02:14:07.840 --> 02:14:08.800]  StevePoczenik.com.
[02:14:08.820 --> 02:14:10.521]  We'll get links up at Infowars.com.
[02:14:10.801 --> 02:14:12.561]  And we're going to skip this network break coming up.
[02:14:12.581 --> 02:14:13.421]  This is so important.
[02:14:13.822 --> 02:14:16.722]  Dr. Poczenik, thank you so much for coming on.
[02:14:16.742 --> 02:14:24.564]  I'm going to try to sit back, give you the floor to talk about what's currently happened, some of the history involved with these players.
[02:14:24.604 --> 02:14:30.126]  Bin Laden, who, going back to the interview that you intimately know, thank you for joining us.
[02:14:31.232 --> 02:14:32.973]  It is a great pleasure and an honor.
[02:14:33.053 --> 02:14:34.954]  I want to thank you, Alex.
[02:14:34.974 --> 02:14:36.494]  I want to thank what you said.
[02:14:36.574 --> 02:14:39.015]  I think very much of what you said is very accurate.
[02:14:39.115 --> 02:14:44.678]  I will correct some of the issues that I think we've talked about, but I want to thank your audience for listening.
[02:14:44.698 --> 02:14:59.264]  I want to say how important Alex Jones was after 9-11, when I knew very well at that time that the American public was being deceived and was being treated as if we were fools, stupid, ignorant, and cheats.
[02:14:59.924 --> 02:15:14.825]  I had hoped at that time, once I was on the Alex Jones Show, and I broke ranks with my people at the Council on Foreign Relations, I'm a member also of the Association of Foreign Intelligence Officers, the National Military Intelligence Association,
[02:15:15.525 --> 02:15:17.388]  And I volunteer repeatedly.
[02:15:17.568 --> 02:15:22.374]  I volunteer to still work with our military because number one, I respect our military.
[02:15:22.794 --> 02:15:32.246]  Number two, we have sent men and women to wars which have not been clearly defined by civilians who have never been in war, including
[02:15:32.813 --> 02:15:41.646]  Clinton, including Bush Jr., in particular, who precipitated the wars into Iraq and Afghanistan, and now Obama.
[02:15:41.946 --> 02:15:49.177]  And I had hoped by that time in the past that we would have stopped fooling the American public and stopped
[02:15:49.877 --> 02:15:57.662]  Creating an incursion into our own country, killing our own people, 9-11, has still not been fully explained.
[02:15:58.082 --> 02:16:00.103]  And it is not a conspiracy theory.
[02:16:00.424 --> 02:16:05.187]  It has nothing to do with all kinds of secrecy and cabal and any other issue.
[02:16:05.567 --> 02:16:09.029]  It has to do with a famous technique in warfare.
[02:16:09.449 --> 02:16:13.372]  That we call stand down, false flag, deception and denial.
[02:16:13.773 --> 02:16:15.514]  It was done during Pearl Harbor.
[02:16:16.495 --> 02:16:19.397]  Alex explained to you yesterday it was done by Hitler.
[02:16:19.858 --> 02:16:26.964]  It was done by LBJ during the war in Vietnam where we had the Gulf of Tonkin and he claimed that we had
[02:16:28.065 --> 02:16:33.448]  A false flag operation and we had to shoot the Vietnamese because they shouted that was wrong.
[02:16:33.968 --> 02:16:35.389]  Many men died for that.
[02:16:35.850 --> 02:16:37.211]  Many men went to war.
[02:16:37.611 --> 02:16:51.360]  And at the same time, we had a stand down and a false flag, which was told to me repeatedly by the people I work with, including a very famous general that I will not repeat his name to protect him until I go to a grand jury.
[02:16:51.820 --> 02:16:54.362]  Now, what I'm saying today is very important.
[02:16:54.944 --> 02:17:01.387]  I was a Deputy Assistant Secretary under Nixon, Ford, and came under Carter.
[02:17:01.527 --> 02:17:05.969]  I resigned under Carter because I disagreed with the way he handled the hostage situation.
[02:17:06.049 --> 02:17:11.631]  I came back under Reagan to take down the Soviet Union, and I came back under Bush Sr.
[02:17:11.691 --> 02:17:13.612]  to work on Cambodia.
[02:17:13.692 --> 02:17:15.413]  I'm not a career foreign service.
[02:17:15.833 --> 02:17:17.594]  I'm not a career intelligence officer.
[02:17:17.774 --> 02:17:19.835]  I am what every American is.
[02:17:19.935 --> 02:17:20.735]  I'm a physician.
[02:17:21.175 --> 02:17:22.496]  But I'm an entrepreneur.
[02:17:22.676 --> 02:17:27.460]  I create businesses and I believe in the American way of life, which is very simple.
[02:17:28.109 --> 02:17:39.755]  The hope, the faith, the dedication, and the lack of interference in my job, in my pocketbook, and in my speech, and in the ability to say what I want to say by the government.
[02:17:39.875 --> 02:17:45.677]  That doesn't mean I'm a Tea Party member, I'm a liberal, I'm a conservative, or I belong to any party.
[02:17:45.838 --> 02:17:49.839]  I am strictly an American, and I'm saying this to you, as Americans.
[02:17:50.300 --> 02:17:52.281]  We have once again been deceived.
[02:17:52.781 --> 02:17:54.822]  I thought this would cease and desist.
[02:17:55.402 --> 02:17:56.903]  By the time Bush Jr.
[02:17:56.963 --> 02:18:00.086]  was elected and thrown out, I had asked that Bush Jr.
[02:18:00.126 --> 02:18:01.707]  be indicted for war criminals.
[02:18:01.827 --> 02:18:02.868]  Cheney be indicted.
[02:18:03.388 --> 02:18:04.049]  Ron Spelt.
[02:18:04.815 --> 02:18:08.996]  Condoleezza Rice, Steve Hadley, it goes on and on and on.
[02:18:09.476 --> 02:18:25.559]  The issue now is we have brought to the forefront, at a time when America is in deep peril economically, as Alex Jones has correctly explained to you, we are in deep peril because we are in two wars of which I have no idea why we're there.
[02:18:25.699 --> 02:18:29.060]  And I had warned even on the Alex Jones Show nine years ago
[02:18:29.680 --> 02:18:44.969]  Not, we will go into Afghanistan and Iraq after the 9-11 and I predicted, and he was correct Alex Jones, and you see it on your website, that Osama bin Laden would be dead and had been dead for over seven months.
[02:18:45.049 --> 02:18:46.970]  Not because special forces killed him.
[02:18:47.370 --> 02:18:57.558]  But because as a physician I had known that the CIA physicians had treated him and it was on the intelligence roster that he had Marfan syndrome.
[02:18:57.598 --> 02:19:02.061]  Now many of you can look up on the internet, M-A-R-F-A-N syndrome.
[02:19:02.602 --> 02:19:07.826]  It's a disease which is the genetic abnormality which Lincoln, Abraham Lincoln had.
[02:19:08.286 --> 02:19:17.288]  And it was the disease of the cataract of the eye, of the coronary arteries, and what happens in that disease is that you have a very short lifespan.
[02:19:17.748 --> 02:19:26.870]  The fact that he had renal dialysis was not an issue of renal stones, which can be cured, and is not that serious of life threatening.
[02:19:30.467 --> 02:19:34.530]  But, he needed that dialysis machine so he had to take it with him.
[02:19:34.790 --> 02:19:39.052]  It was not an accident that his number two man, El-Zawahiri, was a physician.
[02:19:39.693 --> 02:19:44.836]  It is not an accident that most leaders of terrorist organizations around the world are physicians.
[02:19:45.376 --> 02:19:49.279]  That's why I know them, because we understand our code of ethics and creed.
[02:19:50.140 --> 02:19:53.962]  Osama bin Laden died when we went into Afghanistan.
[02:19:54.202 --> 02:19:57.084]  General Tommy Franks had stated very clearly
[02:19:58.547 --> 02:20:00.409]  He had died and he made a slip.
[02:20:00.729 --> 02:20:03.851]  Now, we knew he had already died by that time.
[02:20:04.131 --> 02:20:09.855]  By the time we had already gone into Afghanistan, and in Pakistan, we knew he was dead.
[02:20:10.355 --> 02:20:17.000]  So the notion, when I came on the radio show in 2002 with Alex Jones, I said, listen, Osama Bin Laden's dead.
[02:20:17.160 --> 02:20:17.780]  He's dead.
[02:20:17.860 --> 02:20:19.261]  There's no question about it.
[02:20:19.321 --> 02:20:20.542]  He had Marfan Syndrome.
[02:20:20.562 --> 02:20:22.283]  It had nothing to do with Special Forces.
[02:20:22.822 --> 02:20:37.757]  He was used in the same way that 9-11 was used to mobilize the emotions and feelings of the American people in order to go to a war that had to be justified through a narrative that Bush Jr.
[02:20:37.837 --> 02:20:41.801]  created and Cheney created about the world of terrorism.
[02:20:41.861 --> 02:20:43.723]  Now, I have been in that world for 30 years.
[02:20:44.864 --> 02:20:48.145]  During 30 years, we have never been attacked in America.
[02:20:48.385 --> 02:20:49.385]  I repeat it again.
[02:20:49.405 --> 02:20:52.166]  The question is not that we are safer now.
[02:20:52.326 --> 02:20:54.046]  We are not safer.
[02:20:54.427 --> 02:21:07.530]  The issue is we have never been attacked up until 9-11 because Bush Jr., Cheney, Rumsfeld, and a group of other generals who are involved, I know who they are and they know who I am.
[02:21:08.300 --> 02:21:14.905]  We've decided that we had to mobilize the public in order to create a war on terrorism, which is an oxymoron.
[02:21:15.606 --> 02:21:17.847]  That war on terrorism no longer exists.
[02:21:17.988 --> 02:21:19.168]  We went into Iraq.
[02:21:19.629 --> 02:21:26.054]  Our military forces, and I have to tell you, I have the greatest respect for our military men, and I'm saying this to you.
[02:21:26.837 --> 02:21:30.339]  The generals, the colonels, the majors and the captains.
[02:21:30.819 --> 02:21:33.561]  And I've been lecturing at the War College every year.
[02:21:33.661 --> 02:21:37.463]  Be careful of the orders you receive from civilian president.
[02:21:38.023 --> 02:21:39.564]  I say it again and listen to me.
[02:21:40.262 --> 02:21:47.130]  Beware of the orders that you receive from civilian presidents like Bush, Clinton, and Obama.
[02:21:47.291 --> 02:21:57.143]  Particularly presidents who have never served in a war and do not know what the consequences of the war are and the number of men and women who die.
[02:21:57.703 --> 02:22:13.293]  Die bravely for our country and our cause because some civilian has to manipulate his political career at the expense of the American public and at the expense of the bodies and the blood and guts of our warriors who are so important to us.
[02:22:15.254 --> 02:22:15.714]  Absolutely.
[02:22:15.754 --> 02:22:17.495]  Dr. Steve Pchenik is our guest.
[02:22:17.895 --> 02:22:19.356]  We'll even have him a little bit in the next hour.
[02:22:19.396 --> 02:22:20.237]  He's very gracious.
[02:22:21.077 --> 02:22:25.980]  And I want to get more into that entire area that you were just raising.
[02:22:26.620 --> 02:22:33.023]  And I'm talking about my White House sources, so obviously they were probably given this info.
[02:22:33.164 --> 02:22:34.985]  I know that you said he was
[02:22:36.085 --> 02:23:03.645]  Dying of the disease I've seen the videos of him and even 98 99 he looked like somebody who was near death then obviously very ill The new photos they show us The CIA even had to admit last year and spy talk in the Washington Post that they were fake videos So it's on record they put fake videos out I think that's very bold of them to tell the Washington Post May 25th 2010 spy talk that they did fake them.
[02:23:04.025 --> 02:23:05.486]  We already knew that we've seen the ads
[02:23:05.526 --> 02:23:12.028]  We've got Adam Gadahn videos uploaded in the same video layer as the Intel Center's logo.
[02:23:13.589 --> 02:23:16.810]  We've got Amaral Alaki, admittedly.
[02:23:17.550 --> 02:23:29.954]  Alex, the key, Mr. Jones, the key question America has to ask again, and why I went back on your show, is this has much greater implication just than the distortions and lies that are created by the intelligent community.
[02:23:29.994 --> 02:23:32.075]  And believe me, I work with the intelligent community.
[02:23:32.435 --> 02:23:45.988]  The question is why does that have to be done repeatedly in different administrations to the American public, particularly now with the President, as you said, who had the lowest ratings, whose historical background is in question.
[02:23:46.048 --> 02:23:56.739]  I'm not only talking about his birth certificate, forget that, his education, how he came to power, whom he represents, and particularly in a time when Wall Street and the bankers
[02:23:57.299 --> 02:23:57.879]  I don't know.
[02:24:20.010 --> 02:24:20.870]  This situation.
[02:24:20.910 --> 02:24:21.811]  The answer is yes.
[02:24:22.051 --> 02:24:23.031]  Categorically yes.
[02:24:23.211 --> 02:24:25.271]  Anybody who tells you it's not is lying.
[02:24:25.832 --> 02:24:32.213]  This whole scenario where you see a bunch of people sitting there looking at a screen and they look as if they're intent.
[02:24:32.613 --> 02:24:33.454]  That's nonsense.
[02:24:33.994 --> 02:24:36.674]  It's a total make-up, make-believe.
[02:24:36.734 --> 02:24:38.995]  We're in an American theater of the absurd.
[02:24:39.215 --> 02:24:42.476]  The real issue is why are we doing this again, Alex?
[02:24:43.016 --> 02:24:49.919]  Why, nine years later, do I have to come on your show when I predicted, nine years ago, this man was already dead?
[02:24:49.959 --> 02:24:51.339]  But it wasn't the issue of him.
[02:24:51.759 --> 02:25:08.065]  It was the issue of why does a government, why does the government repeatedly have to lie to the American people, who have worked so hard, in order to justify their political existence, when you basically have civilian leaders who are politicians?
[02:25:08.185 --> 02:25:09.206]  Now, I understand, Dr. Patzenik,
[02:25:10.166 --> 02:25:14.029]  Let me stop, because you're dropping bombshell after bombshell.
[02:25:14.069 --> 02:25:19.813]  You know, you're the right-hand man of Henry Kissinger, George Shultz, James Baker, Cyrus Vance.
[02:25:19.833 --> 02:25:21.614]  I wasn't anybody's right-hand man, let me tell you.
[02:25:21.654 --> 02:25:24.215]  I got thrown out of more places than you can imagine, Mike.
[02:25:24.235 --> 02:25:24.616]  That's right.
[02:25:24.676 --> 02:25:26.917]  Well, my point is, you've been right up there.
[02:25:27.017 --> 02:25:27.538]  I've been there.
[02:25:27.698 --> 02:25:38.145]  You've been right up there, right underneath these guys, and it's on record that Tom Clancy's character, Jack Ryan, Patriot Games, is you, so you are... Based on me, that's correct.
[02:25:38.445 --> 02:25:39.185]  Yes, I mean, you're the...
[02:25:41.934 --> 02:25:42.535]  Absolutely.
[02:25:42.655 --> 02:25:46.197]  So, and we'll put an image of Jack Ryan up there.
[02:25:46.237 --> 02:25:49.560]  So that's the guy that we're talking to right now.
[02:25:50.040 --> 02:25:56.144]  And so, Doctor, you just, you know, brought out that incredible information and we're trying to scramble to find the photo.
[02:25:56.585 --> 02:25:57.765]  It was up on Drudge for two days.
[02:25:57.805 --> 02:25:58.466]  It's gone now.
[02:25:58.806 --> 02:26:05.291]  But the photo, you can go to whitehouse.gov and find it, is of the president, you know, watches with
[02:26:07.292 --> 02:26:09.194]  Well, the breakdown is very simple.
[02:26:09.214 --> 02:26:12.096]  This is a man who decided he's going to have a photo opportunity.
[02:26:12.116 --> 02:26:14.557]  This is a man, from the day he came in, it began with a lie.
[02:26:33.624 --> 02:26:34.845]  It began with a lie.
[02:26:35.386 --> 02:26:36.267]  I didn't know the man.
[02:26:36.407 --> 02:26:38.068]  I have nothing personally against him.
[02:26:38.208 --> 02:26:44.014]  I couldn't care one way or the other, but I did care what is this man going to be as a president.
[02:26:44.254 --> 02:26:52.422]  If he's going to say one thing and do another in my world, in the world where I can say he's a political operative, that's called a sociopath.
[02:26:52.992 --> 02:26:56.673]  That means that you say one thing, but you do everything differently.
