[00:00:22.591 --> 00:00:26.354]  Welcome, ladies and gentlemen, to another edition of InfoWars Nightly News.
[00:58:41.061 --> 00:58:54.351]  Congressman, my dad, got passed a 44 million acre land transfer to indigenous people intact with mineral rights, oil and gas rights, energy rights, timber, surface estate, water rights, everything intact.
[00:58:54.911 --> 00:58:58.474]  And they moved that over along with just under a billion dollars in 1971.
[00:58:58.814 --> 00:59:03.318]  The first year he was a member of Congress, as a freshman.
[00:59:04.451 --> 00:59:06.853]  Now, people say freshmen can't get anything done.
[00:59:07.413 --> 00:59:09.535]  I know personally, they're wrong.
[00:59:10.095 --> 00:59:13.418]  My brother Mark is a freshman senator, two years in the job.
[00:59:13.458 --> 00:59:16.640]  He's the fifth-ranking Democrat in the U.S.
[00:59:16.680 --> 00:59:19.022]  Senate and the only member of the U.S.
[00:59:19.062 --> 00:59:20.703]  Senate without a college degree.
[00:59:20.743 --> 00:59:26.888]  He did it in two years because he knows how to work hard, stand for something, and do something.
[00:59:27.088 --> 00:59:29.990]  Now, Mark and I don't agree on everything, as brothers never do.
[00:59:30.771 --> 00:59:34.672]  But I can tell you this, he's as committed to public service as I am.
[00:59:34.692 --> 00:59:36.193]  We have a different way of expressing it.
[00:59:36.913 --> 00:59:42.535]  But his risk at getting something done is as great or greater as they've ever been.
[00:59:42.575 --> 00:59:47.417]  You know, when you think about congressional deaths, you know, you think about my dad's, what happened is they found out in 1993
[00:59:49.898 --> 00:59:57.723]  Through FOIA requests that the military actually knew that my father or somebody at that crash site was alive.
[00:59:57.884 --> 01:00:01.706]  Two people were alive according to the FBI records that eventually got released.
[01:00:02.227 --> 01:00:05.809]  Two people were alive at a crash site that has never been found.
[01:00:06.389 --> 01:00:11.293]  Crash sites never been publicly identified nor has the people who were alive at that site.
[01:00:12.975 --> 01:00:15.116]  Lost in the shuffle of bureaucracy.
[01:00:15.516 --> 01:00:24.060]  The documents we saw that Roll Call, prestigious publication in DC, got under a FOIA request, Freedom of Information Act request.
[01:00:24.660 --> 01:00:26.140]  All the key names were redacted.
[01:00:26.661 --> 01:00:36.825]  Well, we went after the data from the military, the Air Force overflights, the data that was developed for the biggest air and sea search in the history of the world!
[01:00:37.725 --> 01:00:39.646]  And all the records they told us were destroyed.
[01:00:41.101 --> 01:00:52.889]  A few months later, because we raised a lot of heck over that, a few months later, mysteriously on my brother's doorstep, a pile of boxes with all those original documents, not redatted.
[01:00:53.710 --> 01:00:56.992]  Gee, they hadn't been destroyed at all.
[01:00:57.532 --> 01:00:58.933]  We'd been lied to again.
[01:00:58.953 --> 01:01:03.196]  I want to tell you, as the son of a United States Congressman,
[01:01:03.496 --> 01:01:06.480]  That if it can happen to him, it can happen to anyone.
[01:01:07.121 --> 01:01:10.905]  That's why we need to get into this fight and engage our government.
[01:01:11.506 --> 01:01:12.868]  It shouldn't happen to anyone.
[01:01:13.608 --> 01:01:22.679]  That our risk to our personal freedom, to our life, should be at risk as people give up their private life in order to carry on everyone else's.
[01:01:23.280 --> 01:01:28.081]  In the case of Wellstone, many remember his plane crash in Eveleth, Minnesota.
[01:01:28.181 --> 01:01:31.101]  You know, it just happened to be the same town my dad was born in.
[01:01:31.562 --> 01:01:34.442]  My uncle was a mayor there, was a state legislature there.
[01:01:36.182 --> 01:01:36.843]  Coincidence?
[01:01:37.343 --> 01:01:38.243]  Kind of interesting.
[01:01:38.263 --> 01:01:39.403]  Do you remember Carnahan?
[01:01:39.783 --> 01:01:42.103]  The senator before him that died in Missouri?
[01:01:42.744 --> 01:01:45.364]  That was the anniversary date of my dad's disappearance.
[01:01:45.904 --> 01:01:47.004]  October 16th.
[01:01:48.285 --> 01:01:49.465]  You know, is it coincidence?
[01:01:51.150 --> 01:01:51.710]  Maybe so.
[01:01:52.651 --> 01:01:57.832]  But it certainly begs the question, you know, I mean, how many people die in plane crashes?
[01:01:58.573 --> 01:02:00.873]  My brother beats Ted Stevens in an election.
[01:02:00.933 --> 01:02:06.035]  Ted Stevens dies in a plane crash a couple years later.
[01:02:06.835 --> 01:02:11.617]  What people don't remember is he was already in a plane crash before, where his first wife was killed.
[01:02:12.317 --> 01:02:13.617]  Died in a plane crash.
[01:02:13.657 --> 01:02:14.538]  People forget about it.
[01:02:14.938 --> 01:02:17.339]  Mike Gravel's wife died in a plane crash.
[01:02:17.359 --> 01:02:18.119]  People forget about it.
[01:02:18.559 --> 01:02:24.083]  You know, people forget about all of this, and yet it keeps happening.
[01:02:24.123 --> 01:02:27.645]  And people say, well, you know, politicians fly a lot.
[01:02:27.665 --> 01:02:30.928]  You know, plane crashes are a little disproportionate to the rest of the population.
[01:02:31.368 --> 01:02:32.729]  How about business travelers?
[01:02:32.749 --> 01:02:34.270]  You're going to talk about people flying a lot.
[01:02:35.551 --> 01:02:45.598]  It seems to be one of the hazards of the job that congressmen and senators seem to die in plane crashes when they're about to make some of the biggest changes that the country needs.
[01:02:46.599 --> 01:02:51.462]  So, having said it, there's always risk involved, I suppose, in public service.
[01:02:51.942 --> 01:02:55.564]  But the question has become is, what risks are we taking as citizens?
[01:02:56.045 --> 01:02:57.205]  And what risks should we take?
[01:02:57.265 --> 01:02:59.667]  I mean, at least we should have our voices heard.
[01:02:59.807 --> 01:03:01.248]  At least we should speak out.
[01:03:01.668 --> 01:03:11.514]  At least we should participate in the activist organizations that we believe in, as long as they're functioning on reasonable, value-based approaches.
[01:03:11.534 --> 01:03:13.055]  I mean, violence isn't the answer.
[01:03:14.135 --> 01:03:15.756]  Certainly not the answer right now.
[01:03:15.876 --> 01:03:21.879]  That's the excuse the government needs to finally shut down what little is left of our personal liberty.
[01:03:21.919 --> 01:03:22.939]  Let's not give them that.
[01:03:23.499 --> 01:03:26.941]  But let's stay in the fight and let's see what we can do together.
[01:03:27.021 --> 01:03:35.585]  Maybe we can, I believe we can, continue to make a difference as we actualize our own potentials and engage the fight from the standpoint of change.
[01:03:58.953 --> 01:03:59.236]  Yeah.
