[00:00:06.190 --> 00:00:12.232]  Yes, my friends, you've got the right radio broadcast.
[00:55:50.666 --> 00:55:59.917]  So, I would say, for Christmas, thank God for Putin, because Putin is at least some... Oh, he's so loving as well, yes.
[00:55:59.917 --> 00:56:02.039]  Are you going to send him a Christmas present?
[00:56:02.700 --> 00:56:12.491]  No, I understand counterbalance is one devil against another, but my whole deal is obviously we've got some very psychopathic people running things here.
[00:56:12.491 --> 00:56:14.032]  I get what you're saying Webster.
[00:56:14.032 --> 00:56:20.499]  Right, so the danger now is that the lunatics of the Anglo-American ruling class are the aggressors.
[00:56:20.499 --> 00:56:24.624]  In international relations, the first thing you always want to know is who's the aggressor?
[00:56:25.004 --> 00:56:32.716]  And this is where the onus of evil and the opprobrium of punishment... Sure, megabanks have hijacked our country, using it for engines of pure evil.
[00:56:32.716 --> 00:56:36.361]  They wrap their tyranny in the flag and try to sell the public on going along with it.
[00:56:36.361 --> 00:56:40.227]  We've got to explain the distinction to people or we're going to be known in history like the Nazis.
[00:56:40.962 --> 00:56:55.326]  And the problem now is that people like Hillary Clinton, they sincerely believe that they can take this wave of Arab Spring, color revolutions, that they can ride this to Moscow, to Tehran, and to Beijing.
[00:56:55.326 --> 00:56:57.106]  The one in Moscow is not very interesting.
[00:56:57.106 --> 00:56:59.027]  This is called the White Revolution.
[00:56:59.027 --> 00:57:02.007]  The white armies, right, you may remember, Kolchak, Denikin.
[00:57:02.007 --> 00:57:03.488]  Yeah, the guys that back the czars.
[00:57:04.508 --> 00:57:15.736]  Yeah, they were the quasi-fascist forces that intervened, supported by Britain, France, and indeed the United States, in the Russian Civil War, and were guilty of huge atrocities.
[00:57:15.736 --> 00:57:27.224]  And now we've got the White Armies marching in Moscow, led by this guy Prokhorov, who is an organized crime figure here in the United States, and at the same time the head of Norilsk Nickel.
[00:57:27.224 --> 00:57:30.366]  So he's a... Yeah, so they're trying to overthrow Russia too, which is... Alright.
[00:57:30.366 --> 00:57:31.227]  Webster, amazing.
[00:57:31.227 --> 00:57:32.047]  Have a great Christmas.
[00:57:32.047 --> 00:57:32.948]  Thanks for spending... Thank you.
[00:57:33.308 --> 00:57:35.850]  Merry Christmas and a Happy New Year and all other holidays!
[00:57:51.232 --> 00:57:55.256]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:57:55.256 --> 00:57:58.500]  This is our last chance to not relive history.
[00:57:58.500 --> 00:58:03.666]  As they're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:58:03.666 --> 00:58:09.692]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:58:09.692 --> 00:58:11.934]  I think it's incumbent upon all of us
[00:58:12.475 --> 00:58:12.755]  Tim Geithner?
[00:58:12.755 --> 00:58:12.935]  Bernanke?
[00:58:12.935 --> 00:58:13.295]  They're arsonists!
[00:58:13.295 --> 00:58:13.996]  They're asking for more matches!
[00:58:13.996 --> 00:58:15.677]  And the Congress is saying, who do we make the check out to?
[00:58:31.365 --> 00:58:33.628]  Today seems like nobody does care.
[00:58:33.628 --> 00:58:35.750]  Right now in Washington D.C.
[00:58:35.750 --> 00:58:38.654]  we have seen a fall of the Republic.
[00:58:38.654 --> 00:58:47.784]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv
[00:58:49.912 --> 00:58:51.212]  Hi, this is Alex Jones.
[00:58:51.212 --> 00:58:56.794]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:58:56.794 --> 00:59:01.816]  Did you know that in a real meltdown, non-hybrid seeds can become more valuable than silver or gold?
[00:59:01.816 --> 00:59:06.838]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:59:07.378 --> 00:59:12.602]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:59:12.602 --> 00:59:14.923]  They call it a Survival Seed Bank.
[00:59:14.923 --> 00:59:19.726]  And it can produce an endless supply of nutrient-dense food for you and your family.
[00:59:19.726 --> 00:59:20.847]  And here's the best part.
[00:59:20.847 --> 00:59:23.909]  These seeds have not been genetically modified in any way.
[00:59:23.909 --> 00:59:27.532]  And you actually get enough seeds to plant a full acre crisis garden.
[00:59:27.532 --> 00:59:30.734]  So visit them today at survivalseedbank.com.
[00:59:30.734 --> 00:59:32.955]  That's survivalseedbank.com.
[00:59:32.955 --> 00:59:33.876]  Or give them a call at 877-327-0365.
[00:59:37.498 --> 00:59:41.740]  That's 877-327-0365.
[00:59:41.740 --> 00:59:46.562]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:59:46.562 --> 00:59:50.784]  This is Alex Jones for survivalseedbank.com.
[00:59:50.784 --> 00:59:57.567]  Coast to coast, direct from Austin, you're listening to the Alex Jones Broadcasting Network.
[01:00:09.088 --> 01:00:12.572]  Sleigh bells ring, are you listening?
[01:00:12.572 --> 01:00:17.437]  In the lane, snow is glistening
[01:00:19.180 --> 01:00:28.083]  Yeah, America's a great country.
[01:00:28.083 --> 01:00:29.824]  A wonderful place.
[01:00:29.824 --> 01:00:31.704]  So is this world.
[01:00:31.704 --> 01:00:37.346]  And good people have to stand up against the corruption and protect all the great things we have in life.
[01:00:37.346 --> 01:00:38.627]  Alright, hour number two.
[01:00:38.627 --> 01:00:40.687]  I want to thank Webster Tarpeley for joining us last hour.
[01:00:40.687 --> 01:00:41.988]  In this little short segment, the next,
[01:00:42.888 --> 01:00:48.152]  My good buddy and member of the Infowars.com crew, Richard Reeves, is here because he's been a delegate for Ron Paul.
[01:00:48.152 --> 01:00:50.474]  He's knocked on thousands of doors.
[01:00:50.474 --> 01:00:51.235]  He's been in the trenches.
[01:00:51.235 --> 01:00:53.536]  I've known Richard for about 10 years now.
[01:00:53.536 --> 01:00:56.198]  And he works here in the Infowars offices.
[01:00:56.198 --> 01:00:57.760]  And when we go on the road, he also goes with us.
[01:00:58.480 --> 01:01:06.086]  Uh, there, and he also helped set up some of our longevity work at Infowarsteam.com, which I never even seemed to plug, even though it's incredibly popular now.
[01:01:06.086 --> 01:01:13.171]  Uh, but, uh, Richard, uh, when we come back in the next long segment, uh, Ron Paul is turbocharging.
[01:01:13.171 --> 01:01:19.816]  They are pulling out all the stops, uh, all of their talk about him fornicating with, uh, aliens from planet Pop-Tart.
[01:01:20.737 --> 01:01:24.702]  Uh, is not working now, and it's actually boomeranged on them.
[01:01:24.702 --> 01:01:34.795]  And so, as CBS News said a couple days ago on Friday, which Christmas, folks, uh, the 25th here, uh, the CBS News said on Friday that he's the Teflon candidate.
[01:01:34.795 --> 01:01:38.279]  He's gotten a four or five point boost since they said he's the Antichrist.
[01:01:38.940 --> 01:01:45.286]  Well, we observed that happen during the Rand Paul campaign in 2010 when they accused him of worshipping Aqua Buddha, etc.
[01:01:45.286 --> 01:01:52.832]  And now we see that we are really starting to overwhelm and overcome the mainstream media, which is something we talked about actually years ago.
[01:01:52.832 --> 01:01:55.855]  And now... Just admit we're all part of an Aqua Buddha cult.
[01:01:55.855 --> 01:01:58.897]  Well, I tell you what, they'll be labeling us with that next, but...
[01:02:00.655 --> 01:02:03.877]  Look for any kind of turmoil to happen right now.
[01:02:03.877 --> 01:02:06.558]  You got Sarah Palin making noise about jumping in the race.
[01:02:06.558 --> 01:02:09.880]  Hey, news for Sarah Palin, you can't get ballot access now.
[01:02:09.880 --> 01:02:10.780]  It's too late.
[01:02:10.780 --> 01:02:15.463]  The date, for instance, in Texas, December 19th, that was the deadline to get on the ballot for the primary.
[01:02:15.463 --> 01:02:16.864]  She doesn't care about winning.
[01:02:16.864 --> 01:02:22.687]  It's to sell some books and maybe find some basketball stars to hang out with and to spoil Ron Paul.
[01:02:23.087 --> 01:02:28.611]  Definitely to cause a distraction, but we'll talk about it here upcoming, but they are looking at the broken convention.
[01:02:28.611 --> 01:02:29.872]  We'll talk about that in a little bit.
[01:02:29.872 --> 01:02:37.598]  But folks, we really need to get a warning out to keep pushing out there all the delegates, all the candidates, all people voting.
[01:02:37.978 --> 01:02:38.858]  Very hard to engage in fraud.
[01:03:07.071 --> 01:03:10.952]  Well, now where they can cheat, and this is where Iowans need to be prepared.
[01:03:10.952 --> 01:03:16.554]  In the master tabulation, because the feds have come because of a hacker thread, that'll fix it.
[01:03:16.554 --> 01:03:32.340]  That's right, they need to insist on the GOP, the Iowa GOP website, and the Secretary of State of Iowa websites, that they have an open, honest way to tabulate and count each and every precinct in Iowa.
[01:03:32.340 --> 01:03:34.301]  There's over 7,000 precincts in Iowa.
[01:03:35.225 --> 01:03:45.977]  Ron Paul supporters need to witness and document all the activities in those caucuses and then they need to make sure that those votes in those caucuses are accurately counted and tabulated.
[01:03:45.977 --> 01:03:46.718]  Okay, but stop.
[01:03:46.718 --> 01:03:49.601]  We're about to go to break and I want all the some stations don't carry this for a second.
[01:03:49.601 --> 01:03:55.308]  I want everybody to hear this, the diehard patriots out there who are listening to this premiere.
[01:03:57.202 --> 01:04:21.801]  Sunday December 25th Christmas Day transmission and I want to thank not only those guys but the crew who appear on Sunday make sure the special transmission goes out to everybody but we're gonna go to break here in just a moment come back for a little 10-minute segment with Richard Reeves to go over all of this what a broker convention means the Republicans have changed the rules as another way to
[01:04:22.802 --> 01:04:25.825]  To finagle an establishment victory.
[01:04:25.825 --> 01:04:34.795]  We'll get into how they can cheat in the caucuses and then what we expect to see with black box activity in New Hampshire.
[01:04:34.795 --> 01:04:44.925]  So I hope you're all having a great Christmas out there and thanks for putting up with me, the Tasmanian hillbilly, and we'll be right back on the other
[01:04:45.726 --> 01:04:50.988]  Side with more of your orchestral Christmastime hymns!
[01:04:50.988 --> 01:04:52.348]  Merry, Merry Christmas!
[01:04:52.348 --> 01:04:57.790]  And if the control freaks don't like us saying Christmas, well they can just go right back to Planet Pop Time!
[01:04:57.790 --> 01:04:59.931]  Go Tasmanian Hillbilly!
[01:04:59.931 --> 01:05:01.131]  Hi, this is Alex Jones.
[01:05:01.511 --> 01:05:07.817]  This holiday season, more than half of our nation is in need of help due to the shattered economy.
[01:05:07.817 --> 01:05:11.862]  So now is the time to express the holiday spirit more than ever.
[01:05:11.862 --> 01:05:15.445]  Consider helping those you love with the most important gift.
[01:05:15.445 --> 01:05:20.730]  A supply of delicious, easy to fix, and very storable foods from efoodsdirect.com.
[01:05:21.431 --> 01:05:34.115]  Their Holiday Gift and Family Pack start at $99 for a 16-day supply, while their 5-week supply of quick and easy-to-fix meals includes a personal backpack in case of a grab-and-go emergency.
[01:05:34.115 --> 01:05:39.997]  Order their Combo Gift Pack and you'll save hundreds, plus get free shipping on your entire order.
[01:05:39.997 --> 01:05:42.218]  Call eFoods today at 800-409-5633 or visit them online
[01:05:45.959 --> 01:05:49.843]  At efoodsdirect.com forward slash Alex to find the special.
[01:05:49.843 --> 01:05:56.190]  That's 800-409-5633 or efoodsdirect.com forward slash Alex.
[01:05:56.190 --> 01:05:58.553]  You can bet your life on efoods direct.
[01:06:23.668 --> 01:06:34.678]  Well, we got some trendy heavy metal Christmas music for you.
[01:06:34.678 --> 01:06:36.079]  Welcome back, ladies and gentlemen.
[01:06:36.079 --> 01:06:44.847]  It is Christmas, December 25th, 2011, and we are engaging in the thought crime of even saying the word Christmas, which is now racism.
[01:06:45.527 --> 01:06:46.808]  Xenophobic and hateful.
[01:06:46.808 --> 01:07:09.978]  You've got to give up all your cultures and accept the globalist corporate-oid culture of tyranny, abortions, open borders, deadly vaccines, endless war, and TSA now announcing checkpoints all over the United States, getting their funding massively increased by Congress, and announcing they're going to have TSA teams groping your wife, daughter, sons, and you on highways near you, strip-searching old ladies.
[01:07:10.798 --> 01:07:17.728]  It's going to be a lot of fun, so enjoy the new year as the martial law rolls out in America.
[01:07:17.728 --> 01:07:21.212]  Now, there's a way to stop this, and that's called Congressman Ron Paul.
[01:07:21.212 --> 01:07:28.562]  They told you in the last six, seven months of him running that he couldn't win, even though he won almost every straw poll, almost number one, number two, or number three in every scientific poll.
[01:07:29.162 --> 01:07:31.085]  Now he's number one in Iowa.
[01:07:31.085 --> 01:07:37.034]  And CBS News, back on Friday a couple days ago, had the headline that he's a Teflon candidate.
[01:07:37.034 --> 01:07:40.879]  He got 5 to 6 to 7, depending on the poll, boost from 24 to 30.
[01:07:42.870 --> 01:07:47.694]  Or 31 in the polls when they basically said that he was Satan.
[01:07:47.694 --> 01:07:51.057]  The Antichrist and the Twelfth Goblin all rolled into one.
[01:07:51.057 --> 01:07:52.238]  It didn't work.
[01:07:52.238 --> 01:07:53.539]  It backfired.
[01:07:53.539 --> 01:07:56.441]  But they've got some ways to stop it.
[01:07:56.441 --> 01:07:58.463]  And they're trying it right now.
[01:07:58.463 --> 01:08:01.866]  Richard Reeves has been a delegate for Ron Paul back in 2008.
[01:08:01.866 --> 01:08:03.087]  Knocked on thousands of doors.
[01:08:03.087 --> 01:08:05.169]  He also works for Infowars.com as a reporter.
[01:08:05.949 --> 01:08:09.894]  Richard, you've studied this whole caucus situation very closely in Iowa.
[01:08:09.894 --> 01:08:14.679]  That's one of the more open, you know, true systems, but they have a way to steal it.
[01:08:14.679 --> 01:08:17.201]  Then we'll get into what a brokered convention is.
[01:08:17.201 --> 01:08:19.304]  They've changed the rules to try to steal it from him.
[01:08:19.304 --> 01:08:22.307]  If he does, you know, win, they can still try that.
[01:08:22.307 --> 01:08:25.850]  So break down what we're facing here as true American patriots.
[01:08:26.531 --> 01:08:35.073]  Okay, starting with Iowa, like you said, and nobody can articulate it and encapsulate it as well as you do about what we're facing if we don't pull this off.
[01:08:35.073 --> 01:08:47.576]  In Iowa, January 3rd, 2012, now it's just about 10 days away, just a short space of time away until we have that date roll upon us, and it's incredibly important for
[01:08:47.756 --> 01:08:48.297]  We're good to go.
[01:09:02.679 --> 01:09:13.609]  GOP website there in Iowa put a fair way to count and tabulate the votes and the Secretary of State of Iowa needs to have it all on their website so these people can go back and confirm.
[01:09:13.609 --> 01:09:22.557]  But, but, but, but, but hackers have said they're going to hit it so the Feds and the Republicans may have to just make the announcement and then not let you know because you know they care about you.
[01:09:23.217 --> 01:09:29.502]  Well, I think we've got enough Ron Paul supporters on the ground now that they can go out there and they can handle this.
[01:09:29.502 --> 01:09:35.167]  They can each work in their precincts and their counties and make sure that these caucuses don't get stolen.
[01:09:35.167 --> 01:09:40.832]  Because in New Hampshire, which we'll talk about in a little bit, there's the bigger threat coming up in New Hampshire.
[01:09:40.832 --> 01:09:44.976]  But back to Iowa, they will try to cheat.
[01:09:45.576 --> 01:09:48.198]  On the tabulation, there's no doubt something's going on there.
[01:09:48.198 --> 01:09:49.780]  We need to be ready for that.
[01:09:49.780 --> 01:09:58.828]  And the good thing is, from the reports I've heard, is there's actually people from all over the United States that are Ron Paul supporters that are going up there in boots on the ground up in Iowa.
[01:09:58.828 --> 01:10:02.631]  So this eclipses the excitement that we had back in 2008.
[01:10:02.631 --> 01:10:04.212]  No, resistance is victory.
[01:10:04.212 --> 01:10:05.754]  If they engage in fraud, we expose it.
[01:10:06.394 --> 01:10:10.135]  I mean, that's how we build our liberty muscles is engaging, engaging, engaging.
[01:10:10.135 --> 01:10:18.558]  And regardless, we're educating folks about real constitutionalism versus neocon right-wing fascism and democratic party establishment communism.
[01:10:18.558 --> 01:10:22.099]  And the proof that we're succeeding is something you just alliterated earlier.
[01:10:22.099 --> 01:10:24.320]  That's where people aren't listening to the mainstream media.
[01:10:24.320 --> 01:10:29.702]  When they come up with bogus lies and propaganda about Ron Paul, it's driving his poll numbers up.
[01:10:29.702 --> 01:10:30.742]  Same thing happened with Rand.
[01:10:30.742 --> 01:10:32.783]  It's like I told Politico last year when Rand was winning.
[01:10:33.143 --> 01:10:35.264]  I said, you called up here to get dirt on Rand.
[01:10:35.264 --> 01:10:36.385]  Let me tell you how to beat Rand.
[01:10:36.385 --> 01:10:37.405]  Endorsing.
[01:10:37.405 --> 01:10:40.887]  You're so hated and not trusted, if you endorse him, he'll lose.
[01:10:40.887 --> 01:10:43.229]  Alright, well let's not give away the secret there, Alex.
[01:10:43.229 --> 01:10:45.730]  Oh, they're so arrogant, they'll never do that.
[01:10:45.730 --> 01:10:49.472]  The dinosaur media still thinks they're the mainstream media.
[01:10:49.472 --> 01:10:50.833]  They don't know we've already overthrown them.
[01:10:50.973 --> 01:10:59.375]  Well, they are definitely becoming just the tail that's trying to wag the dog and pretty soon it's going to be one of those stubby nubs like on some dogs where they cut them off.
[01:10:59.375 --> 01:11:00.795]  What do they call it when they do that?
[01:11:00.795 --> 01:11:02.115]  They clip the tail off the dog.
[01:11:02.115 --> 01:11:03.015]  That's what they call it.
[01:11:03.015 --> 01:11:04.296]  That's what the media is going to call it.
[01:11:04.296 --> 01:11:04.916]  Bobbing the tail.
[01:11:04.916 --> 01:11:07.156]  They're going to bob the mainstream media tail.
[01:11:07.156 --> 01:11:08.857]  Now, Richard, let's go back here.
[01:11:08.857 --> 01:11:10.317]  Let's talk about Broker Convention.
[01:11:10.317 --> 01:11:11.497]  They've announced that.
[01:11:11.497 --> 01:11:15.798]  The Republican establishment has changed the rules so they can bring in little Sarah the Spoiler.
[01:11:16.258 --> 01:11:19.480]  Okay, we'll talk about Brokered Convention, but we can't forget about talking about New Hampshire later.
[01:11:19.480 --> 01:11:19.880]  Okay, go ahead.
[01:11:19.880 --> 01:11:20.840]  But hit that then first.
[01:11:20.840 --> 01:11:21.741]  Brokered Convention.
[01:11:21.741 --> 01:11:23.862]  No, let's go with the Brokered Convention like you said.
[01:11:23.862 --> 01:11:32.986]  Potentially, if the Ron Paul people all show up during all these primaries, like for instance in January 10th we had the New Hampshire show up to your conventions.
[01:11:33.747 --> 01:11:56.410]  South Carolina January 21st here in Texas that actually delayed ours by a month moving it to April 3rd by court order so folks need to get to their precinct conventions because that's how we can win and defeat the powers-that-be in a brokered convention scenario is by having Ron Paul supporters show up in mass the small minority where you actually
[01:11:56.730 --> 01:11:59.431]  The minority can be a majority in this scenario.
[01:11:59.431 --> 01:12:03.353]  They need to get to their precinct caucuses like in Iowa.
[01:12:03.353 --> 01:12:18.500]  And if they don't have caucuses, they need to get to their precinct conventions in each and every state, regardless of what happens with the electronic voting in New Hampshire January 3rd, because that's where the Ron Paul balloon got popped.
[01:12:18.900 --> 01:12:34.674]  Back in 2008, was when we rolled into New Hampshire, when the Ron Paul supporters went into New Hampshire, the powers that be with their electronic voting and their paper ballot cheating that they engaged in, gave John McCain a 37% margin of victory there in New Hampshire.
[01:12:34.674 --> 01:12:38.318]  And by the way, it was confirmed in New Hampshire and other areas that he did get cheated.
[01:12:38.618 --> 01:12:40.841]  Well, you had numerous interviews during that time.
[01:12:40.841 --> 01:12:41.702]  Long-time listeners.
[01:12:41.702 --> 01:12:42.723]  Well, Bev Harris was there.
[01:12:42.723 --> 01:12:44.285]  Bev Harris and Vicki Karp.
[01:12:44.285 --> 01:12:48.551]  All those people were there with the, you know, the groups that try to get votes.
[01:12:48.551 --> 01:12:52.075]  Yeah, she made the documentary, the HBO special, about a black box voting.
[01:12:52.075 --> 01:12:52.636]  That's right.
[01:12:52.636 --> 01:12:53.317]  So, there was...
[01:12:53.797 --> 01:12:54.778]  Confirmation of that.
[01:12:54.778 --> 01:13:00.881]  We had stories about ballots being swept off in vans and disappearing for great lengths of time, etc.
[01:13:00.881 --> 01:13:07.544]  But let's not forget that the powers that be gave Ron Paul an 8% turnout in New Hampshire.
[01:13:07.544 --> 01:13:12.067]  They gave him a single-digit turnout, and I think we're going to see a repeat of that this year.
[01:13:12.887 --> 01:13:31.222]  Ron Paul, all likelihood is he will win Iowa and then we're going to roll into New Hampshire and with the black box voting and paper ballot cheating that they're going to engage in New Hampshire, don't be surprised and don't be disappointed and don't be let down if they give him a single digit percentage rating out of New Hampshire.
[01:13:31.222 --> 01:13:39.068]  Still show up to your precinct conventions, still show up to those precinct caucuses because that's where the nomination can be won and in a brokered convention scenario,
[01:13:39.548 --> 01:13:55.274]  If the Ron Paul supporters are the majority of that body of delegates at the RNC occurring in Florida in around August, September of this year, or 2012 actually, then that brokered convention will be won by Ron Paul under that scenario.
[01:13:56.496 --> 01:13:57.817]  Well, you're right, Richard.
[01:13:57.817 --> 01:14:04.600]  And again, ten years ago, five years ago, the establishment media could say you can't vote for somebody and people would follow the orders.
[01:14:04.600 --> 01:14:11.983]  Look at the entire establishment, left, right, and center, attacking Ron Paul, myself, and many others, because we know what we're talking about.
[01:14:11.983 --> 01:14:17.165]  I mean, the last week, hundreds of articles, CBS, ABC, Ron Paul's crazy.
[01:14:17.165 --> 01:14:22.508]  He went on Alex Jones' show and said there's a danger of military on the streets in the NDAA.
[01:14:22.508 --> 01:14:24.889]  That's all over the news that that basically allowed
[01:14:24.909 --> 01:14:25.269]  I don't think so.
[01:14:45.336 --> 01:14:51.218]  Who thinks they can just tell you it's fashionable to go along with corruption and that you'll just stand down?
[01:14:51.218 --> 01:14:53.498]  I mean, we've been in a depression for three years.
[01:14:53.498 --> 01:14:55.039]  Even the New York Times is now admitting that.
[01:14:55.039 --> 01:14:58.520]  I mean, they told you it isn't a depression, so you're supposed to believe them?
[01:14:58.520 --> 01:15:01.700]  The New World Order is going to wreck things by design.
[01:15:01.700 --> 01:15:03.361]  We've got to get rid of the globalists.
[01:15:03.361 --> 01:15:05.001]  We've got to restore the republic.
[01:15:05.001 --> 01:15:06.342]  Bring back America.
[01:15:06.342 --> 01:15:07.742]  Bring back the liberty.
[01:15:07.742 --> 01:15:09.042]  Legalize freedom.
[01:15:09.042 --> 01:15:11.843]  Bring back what made America great.
[01:15:11.843 --> 01:15:13.124]  End the empire.
[01:15:13.124 --> 01:15:14.324]  Restore the republic.
[01:15:14.964 --> 01:15:22.915]  Elect Ron Paul and help your friends and family wake up at InfoWars.com and PrisonPlanet.com, our premier news websites.
[01:15:22.915 --> 01:15:28.983]  Richard Reeves, great job reporting for InfoWars.com, taking us out to break with Christmas music.
[01:15:28.983 --> 01:15:30.284]  Any other points you'd like to make quickly?
[01:15:30.888 --> 01:15:36.210]  Well, you made the issues about the Fast and Furious and all these different issues that you discussed.
[01:15:36.210 --> 01:15:39.851]  The silver lining of all that is, it's helping us wake people up.
[01:15:39.851 --> 01:15:46.192]  All the alternative press, Infowars.com, PrisonPlanet.tv, are waking people up so our movement is bigger.
[01:15:46.192 --> 01:15:49.994]  Exactly, that's why they're wanting to censor the web now with the SOPA Act.
[01:15:49.994 --> 01:15:51.114]  I mean, it's all coming out.
[01:15:51.114 --> 01:15:53.635]  We've got a big financial expert, a surprise guest.
[01:15:53.635 --> 01:15:55.155]  Straight ahead, stay with us.
[01:15:55.155 --> 01:15:57.776]  We'll be right back after these important messages.
[01:16:01.630 --> 01:16:04.191]  And you're subject to other police action.
[01:16:04.191 --> 01:16:05.451]  Tyranny is here.
[01:16:05.451 --> 01:16:09.332]  The grim future foretold in 1984 has become reality.
[01:16:09.332 --> 01:16:11.613]  It really says that the state is God.
[01:16:11.613 --> 01:16:17.494]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[01:16:17.494 --> 01:16:23.716]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[01:16:24.156 --> 01:16:30.121]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[01:16:30.121 --> 01:16:34.324]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[01:16:34.324 --> 01:16:38.607]  Prepare to enter the secretive world of emergency dictatorship.
[01:16:38.607 --> 01:16:44.551]  Body scanners, sound cannons, citizen spies, stage terror, and cameras on every street corner.
[01:16:44.551 --> 01:16:48.114]  It's only the beginning of the New World Order's hellish plan.
[01:16:48.114 --> 01:16:50.075]  The police state isn't coming.
[01:16:50.075 --> 01:16:50.516]  It's here.
[01:16:51.176 --> 01:17:00.320]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[01:17:00.320 --> 01:17:06.982]  When you're out on the road, the last place you want to be is on the road.
[01:17:06.982 --> 01:17:12.124]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[01:17:12.124 --> 01:17:18.887]  There's a place down in Tennessee where they make blue diamond gusset jeans.
[01:17:20.851 --> 01:17:36.453]  They sew pride in every stitch Guarantee you love the way they fit They put a diamond gusset in the crotch Where you need it most Blue diamond gussets got it
[01:17:38.999 --> 01:17:41.140]  We turn jeans inside out.
[01:17:41.140 --> 01:17:42.920]  Diamond Gusset Jeans.
[01:17:42.920 --> 01:17:45.821]  Made in the USA with unparalleled quality.
[01:17:45.821 --> 01:17:50.042]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection.
[01:17:50.042 --> 01:17:52.442]  So you can ride all day with confidence.
[01:17:52.442 --> 01:17:55.143]  Order yours at gusset.com.
[01:17:55.143 --> 01:17:57.504]  Diamond Gusset Jeans got it.
[01:17:57.504 --> 01:17:58.384]  Others don't.
[01:17:59.534 --> 01:18:04.076]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[01:18:04.076 --> 01:18:04.997]  Number one.
[01:18:04.997 --> 01:18:08.418]  New climate legislation could easily double or triple your electric bill.
[01:18:08.418 --> 01:18:09.279]  Number two.
[01:18:09.279 --> 01:18:14.161]  Our new energy czar wants to control how much power your electric company allows you to have.
[01:18:14.161 --> 01:18:14.902]  It's true.
[01:18:14.902 --> 01:18:19.464]  Total government control of electricity in the name of smart grid technology is coming.
[01:18:19.784 --> 01:18:20.605]  Number 3.
[01:18:20.605 --> 01:18:24.188]  In some areas of the country, the power grid is dangerously overloaded.
[01:18:24.188 --> 01:18:28.112]  And now, new socialist legislation is only compounding the problem.
[01:18:28.112 --> 01:18:28.913]  Number 4.
[01:18:28.913 --> 01:18:31.676]  Dangerous weather is always a threat to local grids.
[01:18:31.676 --> 01:18:34.999]  Every year, thousands of families lose their power from weather-related outages.
[01:18:35.339 --> 01:18:40.284]  Number five, a solar power generator provides powerful backup, insurance, and peace of mind.
[01:18:40.284 --> 01:18:45.328]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[01:18:45.328 --> 01:18:49.512]  You can get more information at www.mysolarbackup.com.
[01:18:49.512 --> 01:18:51.294]  That's mysolarbackup.com.
[01:18:51.294 --> 01:18:55.898]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[01:19:00.512 --> 01:19:02.213]  Hi folks, this is Alex Jones.
[01:19:02.213 --> 01:19:07.515]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[01:19:07.515 --> 01:19:09.055]  Saving means to make money.
[01:19:09.055 --> 01:19:17.819]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[01:19:18.559 --> 01:19:26.101]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[01:19:26.101 --> 01:19:34.102]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[01:19:34.102 --> 01:19:41.503]  If you want something better, if you want something you've never had before, you had to do something you've never done before, getting a free catalog is easy by calling 800-340-7091.
[01:19:44.284 --> 01:19:47.487]  Or see Calvin on the web at 5starsoap.com.
[01:19:47.487 --> 01:19:49.869]  Take charge of your health now by calling 800-340-7091.
[01:19:49.869 --> 01:19:51.991]  Or see Calvin on the web at 5starsoap.com.
[01:20:12.845 --> 01:20:19.560]  Anything that's dumber to a crouch, Christmas is upon us.
[01:20:28.312 --> 01:20:41.539]  Ladies and gentlemen, we are back here on this special Christmas edition and that was a Janet Reno Napolitano.
[01:20:56.994 --> 01:21:01.517]  Who's there training the TSA to stick their hands down your small children's pants.
[01:21:01.517 --> 01:21:05.740]  Because they're keeping you safe from Al-Ci-Ada.
[01:21:05.740 --> 01:21:11.763]  We are joined now until the end of this special edition by Porter Stansbury.
