[00:00:27.202 --> 00:00:29.084]  You wanted it, you've got it.
[00:54:00.064 --> 00:54:03.668]  Well, as a medical doctor, you know, until two years ago, they said never vaccine a pregnant woman.
[00:54:03.708 --> 00:54:04.689]  Now they're saying it's good.
[00:54:05.569 --> 00:54:16.796]  Oh, not only are they saying that it's good, Alex, they're talking about flu shots, pertussis vaccines, they're talking about hepatitis B, and they're even potentially talking about giving Gardasil vaccines to pregnant women.
[00:54:16.996 --> 00:54:30.664]  Well, well, Dr. Tenpenny, we're going to have to have you back up in the near future to get into all the other attacks that are happening, but the good news is, and I think you've basically agreed with me today, the report is, the worm is starting to turn, the pendulum is starting to swing, the awakening is here.
[00:54:31.590 --> 00:54:32.551]  I believe that's true.
[00:54:33.231 --> 00:54:33.751]  I really do.
[00:54:33.771 --> 00:54:41.355]  I think that it's really, you know, when I started this 11 years ago, there were just a few of us, you know, out in the lone, just really talking about this.
[00:54:41.796 --> 00:54:48.099]  I truly believe that tens of millions of people, not only in this country but around the world, are waking up and they're just saying no.
[00:54:48.119 --> 00:54:53.042]  What are the best websites for people to visit to see all the scientific documentation that you've amassed?
[00:54:54.399 --> 00:54:59.621]  Going to DrTenpenny.com.
[00:55:00.221 --> 00:55:08.623]  That's where we're soon to be launching an entire library of all the research that I put together through DrTenpenny.com.
[00:55:09.003 --> 00:55:12.964]  My clinic in Cleveland is TenpennyIMC, like Iris Mary Charlie.
[00:55:13.264 --> 00:55:14.985]  That's Tenpenny Integrated Medical Center.
[00:55:15.365 --> 00:55:16.585]  TenpennyIMC.com.
[00:55:16.605 --> 00:55:17.686]  We're here in Cleveland, Ohio.
[00:55:17.706 --> 00:55:22.507]  I'm always proud to say that people have come from 39 states and 12 countries to get well and off their drugs.
[00:55:22.907 --> 00:55:25.509]  Well, if I ever need your help, I'm definitely coming to you.
[00:55:25.529 --> 00:55:27.771]  You are certainly a guardian angel out there.
[00:55:27.851 --> 00:55:28.932]  Thank you so much, Doctor.
[00:55:29.613 --> 00:55:30.553]  Thank you so much, Alex.
[00:55:31.536 --> 00:55:35.757]  Wow, ladies and gentlemen, well, that's it for Info Wars at Nightly News.
[00:55:36.378 --> 00:55:46.561]  Please support the important work she's doing against the eugenicists and against their soft kill program, and please get the DVD presentation, Flu and Flu Vaccines, What's Coming Through the Needle.
[00:55:46.961 --> 00:55:51.682]  I know that you know about a lot of this stuff, but your friends, your family, your neighbors don't.
[00:55:52.022 --> 00:55:53.883]  If we simply get this type of information,
[00:55:54.423 --> 00:55:55.684]  And get it out to everybody you know.
[00:55:56.025 --> 00:55:57.446]  We can stop these people.
[00:55:57.506 --> 00:56:03.012]  It's available discounted at InfoWars.com and your purchase supports InfoWars Nightly News as well.
[00:56:03.393 --> 00:56:05.735]  So does your subscription to InfoWars Nightly News.
[00:56:05.755 --> 00:56:11.682]  You know, we allow members to share their passcode to a limited number of people.
[00:56:12.502 --> 00:56:16.703]  And if we had enough support, we would expand it basically to an unlimited point.
[00:56:17.163 --> 00:56:20.364]  But it's funny, people almost don't appreciate something that's completely free.
[00:56:20.824 --> 00:56:26.425]  But it is your subscriptions at PrisonPlanet.tv that have made this transmission possible.
[00:56:26.485 --> 00:56:29.326]  So I don't want you to be behind me, I want you right beside me.
[00:56:29.746 --> 00:56:32.427]  Make no mistake, those of you that are members of PrisonPlanet.tv
[00:56:34.139 --> 00:56:44.664]  You are making all of this possible, so thank you so much for being part of the second American Revolution, a revolution against tyranny worldwide, what I call 1776 Worldwide.
[00:56:45.164 --> 00:56:47.305]  Now, I want to make an announcement here at the end of the show.
[00:56:48.166 --> 00:56:50.347]  I have just dispatched, they're in the air now.
[00:56:51.287 --> 00:56:55.009]  Aaron Dykes and Darren McBrain to Denver, Colorado.
[00:56:55.410 --> 00:56:56.610]  We just learned about it today.
[00:56:56.650 --> 00:56:58.432]  Turns out it's been announced weeks ago.
[00:56:58.872 --> 00:57:03.054]  A huge urban warfare martial law takeover drill in Denver, Colorado.
[00:57:03.735 --> 00:57:15.582]  And they're going to be reporting for us tomorrow here on the show and on the radio tomorrow on this Mountain Guardian martial law takeover drill that's taking place with the Army and a lot more there at NORTHCOM.
[00:57:15.802 --> 00:57:17.764]  So be sure and join us tomorrow as well.
[00:57:18.124 --> 00:57:19.725]  I'm Alex Jones signing off for
[00:57:20.225 --> 00:57:22.071]  The InfoWars crew, thank you for watching.
