[00:00:21.135 --> 00:00:22.336]  We're making history.
[00:46:06.424 --> 00:46:07.865]  You need to use your own skills.
[00:46:07.985 --> 00:46:15.531]  You need to use your knowledge of how the market works and your analysis of the markets to be able to make money.
[00:46:16.352 --> 00:46:17.573]  And I'm putting it in layman's terms.
[00:46:17.713 --> 00:46:18.974]  I'm not going to technicals on this.
[00:46:19.094 --> 00:46:19.594]  You understand?
[00:46:22.472 --> 00:46:23.372]  I hope that makes some sense.
[00:46:24.092 --> 00:46:36.635]  No, no, it makes total sense because any army can put out disinformation about their movements, but if you can visually identify the real movements and not the decoy movements, you can then get a general image of what's happening.
[00:46:36.655 --> 00:46:37.695]  Well, let me give you an example.
[00:46:37.715 --> 00:46:39.036]  Let me give you an example, Alex.
[00:46:39.576 --> 00:46:50.218]  See, before all this technology came into action, many years ago, 20, 30 years ago, these institutions, the smart money, the funds, they could do things and they could hide their actions.
[00:46:51.110 --> 00:46:53.291]  Nowadays, they can't do that very easily.
[00:46:53.431 --> 00:47:10.820]  They might be able to a little bit, but they can't do it because technology is now advanced to the point that whenever these big guys make any decisions, whenever they're making any kind of shifting of money from one thing to another, they leave trails behind.
[00:47:11.141 --> 00:47:13.662]  They leave footprints behind.
[00:47:14.649 --> 00:47:23.632]  And if you know how to follow those footprints and you follow those trails, you can have a pretty big clue as to what's going on behind the scenes.
[00:47:23.752 --> 00:47:24.573]  Here's an example.
[00:47:24.933 --> 00:47:28.214]  Let's talk about 1815 in Europe.
[00:47:28.274 --> 00:47:32.696]  Continental Europe, Battle of Waterloo, Napoleon Bonaparte faces Lord Wellington.
[00:47:33.936 --> 00:47:36.237]  He's defeated in that pincer attack.
[00:47:37.335 --> 00:47:39.676]  That Prussian-British pincer attack.
[00:47:40.477 --> 00:47:53.003]  And the Rothschilds, this is on record, got their horsemen to gallop at full speed, exhausting the horses in a Pony Express, got on a fast Cutter Corvette, shot across, went in and lied and said, Wellington is defeated, we're going under French rule.
[00:47:53.363 --> 00:47:54.764]  Stock markets dropped by close to 99%.
[00:47:57.105 --> 00:48:00.067]  Laura Rothschild started, you know, selling it first to make him panic.
[00:48:00.307 --> 00:48:04.110]  He bought it all back up and became the head of the British Empire financially.
[00:48:04.590 --> 00:48:06.091]  Today they couldn't really do that.
[00:48:06.872 --> 00:48:11.835]  So instead they'll put out fake announcements that the announcement says one thing, the fine print says another.
[00:48:12.115 --> 00:48:14.116]  But people have learned to get in the fine print quickly.
[00:48:14.376 --> 00:48:15.837]  So yeah, there's a lot of that going on.
[00:48:16.017 --> 00:48:17.278]  But sometimes they still announce.
[00:48:17.318 --> 00:48:19.420]  They announced Russia attacked Georgia.
[00:48:20.200 --> 00:48:22.102]  And I wasn't even ready for that three or four years ago.
[00:48:22.822 --> 00:48:31.710]  I went in and I said they've attacked and I actually went and searched and it was like, no, Georgia attacked Russia or that Russian held area so that they can still try these bold hoaxes.
[00:48:33.111 --> 00:48:36.254]  But look, look, finish up your point then.
[00:48:36.574 --> 00:48:45.341]  A few tips for people about what you're tracking right now or, or, or, or, you know, ideas you've had, you know, what you're writing about at the site that you blog for.
[00:48:45.922 --> 00:48:47.343]  And then also any
[00:48:48.823 --> 00:48:51.065]  Anything you can tell us about media contacting you?
[00:48:51.105 --> 00:48:52.926]  I mean, did they call and say, are you real?
[00:48:53.247 --> 00:48:57.330]  Instead of just saying, oh my gosh, it must be a hoax, because this guy said the sky's blue?
[00:48:58.271 --> 00:49:07.358]  Yeah, the first few calls I got, I guess I shouldn't mention who called me, but a very, very prestigious newspaper magazine called me.
[00:49:07.378 --> 00:49:07.759]  Yeah.
[00:49:08.539 --> 00:49:13.884]  And they asked me, aren't you, I mean, I have calls from all kinds of magazines, you know, and newspapers around the world.
[00:49:15.279 --> 00:49:19.521]  And one called me up saying, hey, aren't you the guy from the Yes Man?
[00:49:20.082 --> 00:49:21.362]  And I said, what are you talking about?
[00:49:21.442 --> 00:49:22.363]  What, Jim Carrey?
[00:49:22.383 --> 00:49:23.223]  What are you talking about?
[00:49:23.683 --> 00:49:28.445]  And I said, no, no, the Yes Man, that guy on Dow Chemical.
[00:49:28.486 --> 00:49:30.586]  And I said, I have no idea what you're talking about.
[00:49:31.807 --> 00:49:42.052]  And yeah, I mean, I gotta be honest, when all this was kicking off and all these newspapers were coming to contact me, I couldn't figure out why, because I thought there was nothing controversial about what I said.
[00:49:43.445 --> 00:49:52.873]  But going back to your point about tips or anything like that, I would say anybody out there who's thinking about buying stocks, gotta be very careful.
[00:49:53.974 --> 00:50:07.125]  Because one of the major mistakes anybody can make in a market that's going down, when stocks are getting cheaper, if you go and buy those stocks just because they're cheap, the biggest mistake is you're trying to catch a falling knife.
[00:50:08.166 --> 00:50:09.948]  Because stocks can go all the way to zero.
[00:50:10.839 --> 00:50:17.321]  Yeah, just like what happened back in 2008 when many stocks like Lehman Brothers and some over here in the UK collapsed and went to zero.
[00:50:17.341 --> 00:50:19.342]  So, you've got to be very careful.
[00:50:19.522 --> 00:50:21.943]  Don't stand in front of a freight train, okay?
[00:50:21.963 --> 00:50:26.405]  So, you've got to make sure the stock is starting to go back up a little bit before you actually buy it, okay?
[00:50:26.445 --> 00:50:29.326]  Same with commodities.
[00:50:29.366 --> 00:50:33.227]  You want it to find its bottom and then crest back up a bit just to be safe as a rule?
[00:50:34.170 --> 00:50:34.490]  Exactly.
[00:50:34.511 --> 00:50:36.293]  You've got to be very careful of the risks.
[00:50:36.513 --> 00:50:37.174]  What about this?
[00:50:37.714 --> 00:50:40.898]  What about knowing general devaluations in currency globally?
[00:50:42.840 --> 00:50:50.549]  Across the board, you're going to have a commodity crest across the board, short term, mid term, long term.
[00:50:51.730 --> 00:50:56.031]  Artificially create some dips, raising margin calls and things, the case of gold and silver.
[00:50:56.051 --> 00:51:00.412]  But if you look at the 12-year graph on silver and gold or other commodities, it's really going straight up.
[00:51:00.852 --> 00:51:06.153]  So what about a general investment in mid-term and long-term type commodities?
[00:51:06.213 --> 00:51:10.334]  Obviously, trying to play things short-term would take a lot of time and energy and expertise.
[00:51:10.374 --> 00:51:14.475]  What about just a general mid-term, long-term commodities bet that they're going to go up?
[00:51:15.743 --> 00:51:15.943]  Right.
[00:51:16.463 --> 00:51:22.746]  Well, the first thing I would say is whatever investment decision, medium to long term, you got to do, always take care of the risks.
[00:51:23.706 --> 00:51:25.467]  Always look at how much you can afford to lose.
[00:51:25.807 --> 00:51:26.508]  Don't ever gamble.
[00:51:26.908 --> 00:51:31.510]  OK, but in terms of that, gold and silver, I think they're still pretty good commodities long term.
[00:51:31.530 --> 00:51:32.550]  They have good prospects.
[00:51:33.351 --> 00:51:36.812]  The only thing about gold and silver is at the moment they're looking pretty weak.
[00:51:37.472 --> 00:51:38.733]  They've come down quite a bit.
[00:51:39.848 --> 00:51:46.293]  Gold is now about $1,600 an ounce, silver about $30-26 region last time I checked.
[00:51:46.313 --> 00:51:49.035]  You gotta be careful.
[00:51:49.836 --> 00:51:54.159]  Again, those commodities need to gain some strength.
[00:51:54.179 --> 00:52:00.624]  They need to show some strength, start going back up again before you decide to buy them.
[00:52:00.684 --> 00:52:01.745]  But if they do,
[00:52:03.001 --> 00:52:06.427]  And then they can be very good long-term assets to hold.
[00:52:06.467 --> 00:52:10.895]  You know, for example, gold, for example, could go back to $2,000.
[00:52:11.055 --> 00:52:13.319]  Eventually, if it passes by $2,000, it could go to $4,000.
[00:52:16.178 --> 00:52:20.520]  So yeah, I mean the Chinese... Yeah, but see, generally, I'm looking at a 12-year graph.
[00:52:20.580 --> 00:52:21.581]  I was to put one on screen.
[00:52:22.341 --> 00:52:26.143]  I mean, if you look at a 12-year graph, it's got... Give me a document cam shot, folks.
[00:52:26.163 --> 00:52:27.224]  I'll show you a 12-year graph.
[00:52:27.264 --> 00:52:30.285]  And maybe later, after you leave, I can pull it up and show it to people.
[00:52:30.585 --> 00:52:32.526]  But anybody can just Google a 12-year graph.
[00:52:33.047 --> 00:52:33.407]  Okay?
[00:52:33.907 --> 00:52:35.868]  Okay, so here's, you know, 1998.
[00:52:35.908 --> 00:52:39.950]  And then let's say this is a 13-year graph.
[00:52:39.990 --> 00:52:42.211]  And let's say this is, you know, 2000.
[00:52:44.053 --> 00:52:48.036]  I mean, this is what it's doing.
[00:52:49.397 --> 00:52:51.518]  So, I've seen all these dips.
[00:52:51.839 --> 00:52:53.200]  I've seen the same things repeated.
[00:52:53.740 --> 00:53:02.326]  But because overall currencies, because currencies overall are going down, it's a mirror, basically.
[00:53:02.806 --> 00:53:07.149]  So global currencies in a concerted G20 effort are being devalued as part of the inflation tax.
[00:53:07.590 --> 00:53:10.832]  So for me, in just basic world history, this is going to go up.
[00:53:11.652 --> 00:53:12.053]  Yeah.
[00:53:12.233 --> 00:53:13.454]  This is going to go down.
[00:53:14.457 --> 00:53:14.938]  Alex, you're right.
[00:53:14.978 --> 00:53:17.983]  There is a phrase that says, the trend is your friend.
[00:53:18.544 --> 00:53:20.848]  Yeah, that main trend on gold has been up.
[00:53:21.169 --> 00:53:21.630]  Absolutely.
[00:53:21.650 --> 00:53:26.117]  But you gotta also be careful because... You can't just blindly trust something.
[00:53:26.157 --> 00:53:26.658]  It can change.
[00:53:27.403 --> 00:53:30.064]  Yeah, because the trend is your friend only until the end.
[00:53:30.644 --> 00:53:36.166]  When that trend changes, and it may, you never know, because it may change, you know, you've got to be careful.
[00:53:36.186 --> 00:53:39.527]  That would take a major monetary shift towards stronger currencies.
[00:53:39.927 --> 00:53:40.507]  Like, exactly.
[00:53:40.527 --> 00:53:44.648]  Let's say gold hits $3,000 the next few years, and then they come out with a new global currency.
[00:53:45.228 --> 00:53:50.750]  It may fail or it may succeed, but I'm going to look for in that new domination than to play a game to drive down commodities.
[00:53:52.151 --> 00:53:56.352]  So I see that, but just in the general direction we're going right now, I don't see that.
[00:53:57.338 --> 00:53:57.538]  Yeah.
[00:53:58.158 --> 00:54:03.861]  I think the interesting thing right now is that the dollar, for once, is now looking strong.
[00:54:04.661 --> 00:54:07.843]  That could be because it's been going down for a long time that it needed a correction.
[00:54:08.623 --> 00:54:12.025]  Well, that's because it's going to be king of the pile of skulls.
[00:54:12.385 --> 00:54:16.767]  You've got this global meltdown happening, so yeah, they're running to who has the most nuclear weapons.
[00:54:17.619 --> 00:54:17.959]  Exactly.
[00:54:17.999 --> 00:54:20.421]  I mean, pretty much all the currencies right now suck.
[00:54:20.481 --> 00:54:27.706]  I mean, the euro, the pound, even the Swiss franc, I mean, all these currencies right now, they're not doing very well.
[00:54:28.126 --> 00:54:30.407]  But that's why the dollar right now is gaining strength.
[00:54:30.447 --> 00:54:33.229]  So, as you said yourself, you know, there's a flight to safety.
[00:54:35.551 --> 00:54:40.534]  And I think what's going to be interesting right now is what's going to happen to the yen, the Japanese yen.
[00:54:41.497 --> 00:54:42.838]  That's something I'm looking at right now.
[00:54:43.278 --> 00:54:48.681]  Japanese yen has been in a consolidation now for some time, and it's looking to break out now.
[00:54:49.061 --> 00:54:55.845]  As to which direction it's going to break out, well, we're going to wait and see, but that's going to be my main focus to look at.
[00:54:56.385 --> 00:54:58.066]  Alessio Rastani of
[00:54:59.212 --> 00:55:08.177]  The website that you can visit to find out more, leadingtrader.com, it's also on screen, joins us.
[00:55:08.517 --> 00:55:10.238]  It's been really interesting talking to you.
[00:55:10.939 --> 00:55:14.200]  You never know that phenomenon of what's going to become an extremely viral story.
[00:55:14.240 --> 00:55:18.043]  For a couple of days, you're one of the biggest financial stories in the world.
[00:55:18.563 --> 00:55:25.467]  And I really can find no fault, from my own meager understanding, of the things that you've said here today.
[00:55:26.567 --> 00:55:34.131]  In the last minute or two I'd like to give you, what are some other topics that I didn't raise, some things that you think are important that you'd like to talk about?
[00:55:34.151 --> 00:55:35.691]  I mean, what do you think of Occupy Wall Street?
[00:55:35.731 --> 00:55:39.073]  What do you think of their call for an attack on capitalism?
[00:55:39.093 --> 00:55:46.836]  This isn't capitalism in my view that did this, it's corrupt monopoly people that control government that are playing by a different set of rules.
[00:55:47.216 --> 00:55:49.998]  Give us your view on that and then anything else you'd like to comment on.
[00:55:50.938 --> 00:55:53.419]  I understand that people out there are really frustrated.
[00:55:53.439 --> 00:55:54.480]  I think that's what's going on.
[00:55:54.580 --> 00:55:55.200]  I mean, I'm not
[00:55:57.063 --> 00:56:00.508]  I'm not going to really obviously the people out there are just frustrated.
[00:56:00.528 --> 00:56:01.289]  That's what's going on.
[00:56:01.309 --> 00:56:03.311]  I mean, I've been getting emails from people.
[00:56:03.531 --> 00:56:07.176]  I think what's really come out of this for me is people have really.
[00:56:09.319 --> 00:56:34.314]  I think I've struck a chord with a lot of people out there because the responses I'm getting is people are saying listen I'm really worried and what you said on TV you know you spoke I spoke the truth and you know people are really worried and they should be because these banks and governments who we put our trust in and why should we trust them anyway they're the guys who created this crisis they produce this crisis and we're not expecting them to solve it
[00:56:35.231 --> 00:56:37.952]  So, yeah, people have a right to be frustrated and worried.
[00:56:39.753 --> 00:56:44.056]  And I, for one, my goal is to help people in as many ways as I can.
[00:56:44.516 --> 00:56:45.776]  I'm not against capitalism, I should say.
[00:56:45.837 --> 00:56:46.937]  I'm not against capitalism.
[00:56:47.237 --> 00:56:54.521]  I actually think we should, we could have, we could have a society with free markets, but hopefully without any corruption.
[00:56:55.321 --> 00:57:00.764]  That may sound naive to some people, because some people say, well, there's no such thing as capitalism without corruption.
[00:57:00.824 --> 00:57:02.645]  But I think, you know, we should try to be better people.
[00:57:05.117 --> 00:57:07.920]  Well, we know communism is a total nightmare.
[00:57:08.261 --> 00:57:10.863]  Look at North Korea, look at every other example of communism.
[00:57:11.384 --> 00:57:15.949]  I mean, for me, there's been a con job that the free market did this.
[00:57:16.570 --> 00:57:21.275]  No, this is six big global megabanks that buy off governments, put their people in place.
[00:57:21.315 --> 00:57:23.557]  You said earlier, revolving door takeover.
[00:57:24.258 --> 00:57:29.423]  And then they're blaming free market capitalism because they want more government control over their competition.
[00:57:29.983 --> 00:57:31.765]  I mean, it's a no-brainer what they're doing.
[00:57:32.185 --> 00:57:33.967]  They're praising Occupy Wall Street.
[00:57:33.987 --> 00:57:37.951]  They want to raise taxes on the middle class and pay it to themselves in bank or bailout money.
[00:57:39.338 --> 00:57:40.799]  Yeah, absolutely.
[00:57:40.879 --> 00:57:43.362]  I mean, at the end of the day, my message is very clear.
[00:57:43.382 --> 00:57:47.805]  I mean, which was people, people out there, I mean, I'm talking about the small guy out there.
[00:57:48.686 --> 00:57:56.413]  They should realize that putting their trusts in so-called governments and banks to rescue them is highly misguided.
[00:57:56.986 --> 00:57:58.467]  People should take control of their lives.
[00:57:58.868 --> 00:58:05.253]  First thing that people should do is get some kind of education on how to take control of their own investments.
[00:58:06.194 --> 00:58:07.935]  Any kind of education is better than nothing.
[00:58:08.355 --> 00:58:09.897]  There's many books out there.
[00:58:10.677 --> 00:58:12.319]  I'm going to put some stuff on my website.
[00:58:13.679 --> 00:58:24.962]  People should learn for themselves how best to invest their money, not rely on the so-called advice of experts who got us into this mess in the first place.
[00:58:25.202 --> 00:58:30.404]  It was the experts who produced this crisis in the first place, so we should really think about
[00:58:32.216 --> 00:58:36.861]  Nourishing our minds, investing in ourselves, not investing in the markets.
[00:58:37.021 --> 00:58:37.441]  That's right.
[00:58:37.481 --> 00:58:38.482]  That was really well said.
[00:58:38.542 --> 00:58:53.036]  Not investing in this false reality, but investing in real local communities and in our own families because the whole Wall Street digital economy is waging war against the real economy and people going to mega banks and government.
[00:58:53.906 --> 00:58:55.047]  Wanting them to protect them.
[00:58:55.087 --> 00:58:59.932]  That's like a gazelle going to a lion in the African savannah and saying, please protect me.
[00:59:00.352 --> 00:59:02.034]  Stop being a gazelle.
[00:59:02.575 --> 00:59:06.418]  Start being the strong, powerful creatures you are.
[00:59:07.339 --> 00:59:10.762]  We are prey animals with a group of psychopaths and sociopaths
[00:59:11.423 --> 00:59:15.444]  Mixed in with a lot of other control freaks who are attacking us.
[00:59:15.904 --> 00:59:19.885]  And we've been trained to be passive, to be dumbed down, to be into mindless issues.
[00:59:20.225 --> 00:59:22.846]  So we're little, basically, D-leg gazelles.
[00:59:23.266 --> 00:59:31.148]  And the lions can just come over and eat us at their leisure because we're designed culturally to be gazelles with no eyes, no ears, no legs.
[00:59:32.208 --> 00:59:35.909]  And the lions weigh about 5,000 pounds and can barely move.
[00:59:35.929 --> 00:59:36.809]  They're so degenerate.
[00:59:37.429 --> 00:59:41.014]  And I'm just an old Texas redneck who can see what's going on saying, I want freedom.
[00:59:41.334 --> 00:59:44.438]  And I'm telling, I mean, I'm a gazelle, but I can run here, you know?
[00:59:44.958 --> 00:59:47.682]  And I think that's what comes down to it today.
[00:59:48.182 --> 00:59:50.826]  What are you writing about tomorrow there at your news blog?
[00:59:52.118 --> 00:59:56.302]  Yeah, basically what I want to do, I'm going to publish a few books.
[00:59:56.362 --> 01:00:04.090]  I'm going to put out there a few books people can read about how they can educate themselves more about the markets.
[01:00:04.110 --> 01:00:05.992]  That's one thing I'm going to do.
[01:00:06.652 --> 01:00:11.517]  Then I'm going to also write a post about some strategies people can use.
[01:00:11.617 --> 01:00:13.619]  Some very simple strategies people can use
[01:00:15.226 --> 01:00:18.108]  To be able to profit from a downturn in the markets.
[01:00:19.108 --> 01:00:20.990]  Again, this is not gambling.
[01:00:21.150 --> 01:00:23.992]  One thing I would never recommend to people is gamble.
[01:00:24.092 --> 01:00:27.234]  Yeah, just generally buying stocks is random gambling.
[01:00:27.254 --> 01:00:29.756]  It's like picking colors on a craft table.
[01:00:31.357 --> 01:00:33.719]  I want to thank you for joining us, Alessio Rastani.
[01:00:33.739 --> 01:00:36.160]  The website is leadingtrader.com.
[01:00:36.381 --> 01:00:37.381]  We'll talk to you again soon.
[01:00:37.401 --> 01:00:38.062]  Thank you for joining us.
[01:00:38.382 --> 01:00:39.022]  Thank you, Alex.
[01:00:39.123 --> 01:00:39.683]  I appreciate it.
[01:00:39.763 --> 01:00:40.183]  Good show.
[01:00:40.523 --> 01:00:41.024]  Thank you, sir.
[01:00:41.144 --> 01:00:41.544]  Amazing.
[01:00:42.104 --> 01:00:51.070]  All right, ladies and gentlemen, we are going to break here, and we're going to come back with the one, the only Max Keiser in an extended interview.
[01:00:51.750 --> 01:00:54.152]  This is InfoWars Nightly News.
[01:00:54.192 --> 01:00:54.692]  Stay with us.
[01:01:00.456 --> 01:01:01.837]  The American Dream.
[01:01:03.197 --> 01:01:05.139]  There's a reason they call it a dream.
[01:01:05.759 --> 01:01:07.220]  Who's there?
[01:01:08.086 --> 01:01:09.588]  Cock-a-doodle-doo, pal.
[01:01:14.816 --> 01:01:16.699]  No, no, no, no, no!
[01:01:17.040 --> 01:01:18.242]  I don't have any more money!
[01:01:18.943 --> 01:01:20.305]  My job sucks right now!
[01:01:20.405 --> 01:01:20.966]  Please!
[01:01:21.046 --> 01:01:22.849]  I'll have more money next month!
[01:01:24.355 --> 01:01:25.877]  You can't take my house!
[01:01:26.217 --> 01:01:27.278]  Is that your signature?
[01:01:27.459 --> 01:01:30.121]  It is a private bank, owned by private stockholders.
[01:01:30.582 --> 01:01:31.783]  A private bank?
[01:01:31.944 --> 01:01:33.886]  Do not let the name Federal fool you.
[01:01:34.126 --> 01:01:41.154]  If I got this money from the bank, and the bank got it from the Federal Reserve dump trucks, where does the Federal Reserve get their money?
[01:01:53.168 --> 01:01:56.751]  They take our property away, just like Thomas Jefferson said they would.
[01:01:57.191 --> 01:01:59.212]  Those sons of bitches!
[01:02:00.593 --> 01:02:02.895]  It's the greatest theft in human history.
[01:02:32.628 --> 01:02:33.529]  And we are back.
[01:02:33.589 --> 01:02:39.473]  It's InfoWars Nightly News on this October 11th, 2011 edition.
[01:02:39.973 --> 01:02:43.596]  And I wanted to end this transmission off with the one, the only Max Keiser.
[01:02:45.097 --> 01:02:47.738]  Now we've talked about a lot of issues with Max in the past.
[01:02:47.818 --> 01:03:06.549]  The Gulag economy, the fact that banks were going to start charging you to keep money, and in this cashless society that they would basically force people onto a digital plantation where you're actually charged for the right to engage in commerce, kind of a global private tax to the bankers.
[01:03:07.009 --> 01:03:07.809]  It's all happening.
[01:03:07.849 --> 01:03:11.911]  The Euro dictatorship trying to swallow what's left of their sovereignty.
[01:03:12.292 --> 01:03:14.513]  It's self-run by private banks admitting it's
[01:03:14.933 --> 01:03:15.613]  Undemocratic.
[01:03:16.233 --> 01:03:22.976]  John Major coming out, who was the architect of the major treaty getting England into the Euro, saying it's a terrible thing.
[01:03:22.996 --> 01:03:26.937]  We're going to talk about Occupy Wall Street, all these new bank fees.
[01:03:27.637 --> 01:03:28.817]  It is all coming up.
[01:03:28.877 --> 01:03:30.838]  Democrats throwing Obama under the bus.
[01:03:31.398 --> 01:03:36.640]  And Max is also doing big things over in Europe with the first of its kind economic conference.
[01:03:37.020 --> 01:03:41.201]  It's all coming up in this in-depth interview with Max Keiser.
[01:03:41.461 --> 01:03:42.722]  Max, great to have you here with us.
[01:03:43.522 --> 01:03:45.583]  Always a pleasure to be with you, Alex Jones.
[01:03:46.363 --> 01:04:00.086]  A few weeks ago, a trader came out, a stock trader, on BBC, and it made huge news, and he was an independent trader, and he said that Goldman Sachs rules the world, and that there's a global occupation of bankers.
[01:04:00.166 --> 01:04:07.528]  It basically sounded like a replay of Max Keiser or Alex Jones, and everybody freaked out, and dozens of publications, Washington Post,
[01:04:09.266 --> 01:04:14.667]  I mean, you name it, BBC, you had to come out and say, yes, this is really a real person, this was a real interview.
[01:04:15.227 --> 01:04:20.249]  I mean, now stating the obvious, they have to ask you, is the guy a real traitor?
[01:04:20.529 --> 01:04:29.231]  Why does that get everybody so freaked out, but then when you talk about it on big international television, or even on BBC with your own show, it doesn't get as much attention?
[01:04:30.427 --> 01:04:52.917]  Well the big interesting part of the Rustani interview that year referring to what made it really interesting and newsworthy was the reaction of the BBC presenters who have been cuckold by the banking industry and lied to for years and years that they are doing the right thing and the good thing and so they were like
[01:04:53.397 --> 01:04:57.801]  A spouse who suddenly finds out that their wife or husband is cheating on them.
[01:04:58.161 --> 01:05:04.766]  You know, these BBC presenters were told in public that the banks are actually trying to screw them!
[01:05:05.047 --> 01:05:06.187]  And that they're all crooked!
[01:05:06.728 --> 01:05:11.432]  And so they had this reaction, this overreaction, this melodramatic reaction on TV.
[01:05:11.692 --> 01:05:12.573]  Oh, ridiculous!
[01:05:12.593 --> 01:05:13.373]  Who could say that?
[01:05:13.794 --> 01:05:14.754]  Who ever heard of that?
[01:05:15.115 --> 01:05:16.356]  He says fish swim in the sea!
[01:05:18.846 --> 01:05:21.628]  So that's what made it a classic TV moment.
[01:05:22.208 --> 01:05:29.732]  And I think that's just part of the overall global insurrection against banking occupation, as I call it.
[01:05:30.333 --> 01:05:35.175]  It's peaking its way into the mainstream media.
[01:05:35.195 --> 01:05:36.696]  It's poking through the wall.
[01:05:37.117 --> 01:05:39.178]  It's seeping into the matrix.
[01:05:40.089 --> 01:05:47.155]  Yep, the shafts of light of what's really going on are now beaming into the very controlled media situation.
[01:05:47.195 --> 01:05:51.098]  So this is a part of that, and it's growing.
[01:05:51.278 --> 01:06:05.910]  I'm just reading a tweet right now from Lucy Kavanaugh, who's with Russia Today, and she is saying that there's a crowd outside of Jamie Dimon's house on the Upper East Side of New York City chanting, USA, USA.
[01:06:07.691 --> 01:06:17.241]  So, as you know, Alex, we've been talking about the fact that the real people behind the banking terrorist network are principally Lloyd Blankfein and Jamie Dimon.
[01:06:17.521 --> 01:06:27.912]  We've been telling people that they need to focus their attention on these two characters, and now Jamie Dimon is suddenly being called out for the financial terrorist that he is.
[01:06:28.813 --> 01:06:46.425]  The facade has been torn away and people now understand that if you really are for USA, USA that you would want this terrorist at Guantanamo Bay or waterboarded or something like that because he is destroying your economy more than anyone else in the world today.
[01:06:46.725 --> 01:06:58.053]  So finally people understand who the villain is in this story and this is growing and your show has of course been a big part of that and I think your call to go after the Fed
[01:06:59.033 --> 01:07:06.275]  Is also very important because Jamie Dimon is on the board of directors of the New York Fed, as well as being the CEO of JP Morgan.
[01:07:06.975 --> 01:07:12.836]  And the Fed is really the sub-level, which is the level that needs to be attacked.
[01:07:12.916 --> 01:07:18.738]  And I know you were down in Texas, and I saw the video down there in Texas, and it makes perfect sense.
[01:07:18.798 --> 01:07:23.859]  I hope people like Naomi Klein, who is now resurfacing again.
[01:07:24.199 --> 01:07:27.220]  She was a big name during the anti-globalization movement of the late 90s.
[01:07:28.380 --> 01:07:33.243]  And she's kind of taking ownership of the Occupy Wall Street demonstrations and protests.
[01:07:33.563 --> 01:07:46.110]  I hope that she understands and begins to talk about the Federal Reserve Bank and what they do and their role in this occupation in our own country by these foreign-owned terrorists, the bankers.
[01:07:46.571 --> 01:07:48.151]  Well, Max, let me raise that.
[01:07:49.332 --> 01:07:53.816]  To you specifically, because two or three weeks ago I reached out to Occupy Wall Street.
[01:07:53.916 --> 01:07:55.417]  I sent reporters all over the country.
[01:07:55.897 --> 01:07:57.339]  They really were grassroots.
[01:07:57.819 --> 01:08:07.207]  Now in San Antonio, in Dallas, in New York, in D.C., the people that have gotten control of it are Democratic Party operatives in many cases.
[01:08:07.587 --> 01:08:10.609]  And they say, no Ron Paul signs, no protest the Fed.
[01:08:10.950 --> 01:08:11.890]  The Fed is federal.
[01:08:12.291 --> 01:08:15.774]  And then they say to us, how dare you not go after Bank of America, Goldman Sachs,
[01:08:16.614 --> 01:08:21.416]  City Group, Wells Fargo, and I'm like, those are the big mega banks that own the shares of the Federal Reserve.
[01:08:21.716 --> 01:08:23.957]  The Federal Reserve is how they get their government power.
[01:08:24.217 --> 01:08:26.098]  It's how they get their trillions in bailouts.
[01:08:26.578 --> 01:08:33.060]  So I'm saying take out their power, take out their fortress, then we can get the little buggers inside.
[01:08:34.041 --> 01:08:38.923]  And just like the mainline Tea Party got co-opted by Republicans, now they don't want to go after the Fed.
[01:08:39.163 --> 01:08:44.745]  When it all started with Ron Paul four years ago, now they want to be led by Herman Cain, the former head of the Fed in Kansas City.
[01:08:45.265 --> 01:08:58.871]  And it's the same thing with the Democrats now, and the Fed coming out and endorsing Occupy Wall Street, in a hope of blaming Mainline, Main Street, and the tens of thousands of legitimate companies on Wall Street.
[01:08:59.451 --> 01:09:11.656]  Instead, now it's this class warfare thing, exactly what Mainline Democrats want, and it makes me very, very sad, because I wanted to embrace Occupy Wall Street, and I know it's a diverse group, but the people that the mainstream media gives attention
[01:09:13.217 --> 01:09:16.760]  People like Michael Moore, you know, saying let's get rid of capitalism.
[01:09:16.780 --> 01:09:17.260]  That's the problem.
[01:09:17.300 --> 01:09:23.125]  No, the problem is monopoly capitalists that you talk so much about, these monopoly men.
[01:09:23.325 --> 01:09:24.426]  So what's your message to them?
[01:09:24.526 --> 01:09:26.508]  Am I right in what I'm saying or am I wrong?
[01:09:26.568 --> 01:09:29.170]  Should I embrace Karl Marx right now on air?
[01:09:30.421 --> 01:09:42.568]  Well, as you can imagine, I'm in pretty close contact with the organizers of Occupy Wall Street, principally David DeGraw, who's one of the two or three top people who brought the whole thing to life.
[01:09:43.168 --> 01:09:49.732]  And he and I have been talking about this lack of specific demands for the groups.
[01:09:50.232 --> 01:09:54.395]  And my issue, the risk that I put forward, is that
[01:09:55.315 --> 01:10:02.718]  As the movement gets bigger and bigger and bigger without a specific goal, it's ripe to be co-opted.
[01:10:03.199 --> 01:10:12.623]  And I saw evidence of this just a few days ago when Unilever, which owns Ben & Jerry's Ice Cream, came out in favor of Occupy Wall Street.
[01:10:13.183 --> 01:10:15.325]  So that's a very bad development.
[01:10:15.405 --> 01:10:33.997]  When a foreign corporation, in this case a Dutch company Unilever, and they have their fake, organically driven Ben & Jerry's ice cream front come out and start to co-opt this movement for corporate sales purposes, you know you're on a slippery slope down to irrelevance.
