[00:00:22.435 --> 00:00:25.559]  Hello everyone, welcome to the InfoWars Nightly News.
[00:49:13.715 --> 00:49:14.636]  Well, here's what happened.
[00:49:15.556 --> 00:49:16.216]  Heroic guy.
[00:49:17.102 --> 00:49:18.443]  He's not clothed for the snow.
[00:49:18.503 --> 00:49:19.644]  He's got tennis shoes on.
[00:49:19.664 --> 00:49:23.108]  He doesn't have warm wool or anything that will keep him warm in the snow.
[00:49:23.748 --> 00:49:24.409]  He goes down.
[00:49:24.449 --> 00:49:26.671]  He follows the river like the mind says to do.
[00:49:27.272 --> 00:49:27.872]  He gets wet.
[00:49:27.912 --> 00:49:28.653]  He gets cold.
[00:49:29.153 --> 00:49:38.242]  He's found lying face down a half a mile from a hunting lodge that he could have broken into and gotten everything he needed dead of exposure.
[00:49:38.742 --> 00:49:39.864]  Now, what happened to the family?
[00:49:40.044 --> 00:49:41.845]  Well, when he didn't show up where he was supposed to be,
[00:49:42.606 --> 00:49:45.567]  The father sent out a search party.
[00:49:45.587 --> 00:49:50.530]  He called up, he got people to trace the cell phone bumps off of towers.
[00:49:50.590 --> 00:49:53.211]  They figured out the rough part of the country he was in.
[00:49:53.551 --> 00:49:54.912]  They sent people out searching.
[00:49:55.212 --> 00:49:57.293]  They found the wife and the children in the car.
[00:49:57.333 --> 00:50:00.514]  They were cold, they were hypothermic, they were hungry, but they were okay.
[00:50:01.015 --> 00:50:03.176]  Unfortunately, not so for the husband.
[00:50:04.436 --> 00:50:09.378]  I can't swear the pit of the stomach would have saved his life, but I personally used it to make choices.
[00:50:09.718 --> 00:50:15.479]  And sometimes it told me the exact opposite of what I thought I should do in my mind or what I wanted to do.
[00:50:15.959 --> 00:50:21.701]  And when I, you know, we've all had that experience of listening to that inner voice and saying, Oh, thank God I listened.
[00:50:22.241 --> 00:50:24.382]  And we have that experience of when we ignored it.
[00:50:25.111 --> 00:50:34.536]  And we got our you-know-what kicked, and we fingers burned, and we said, oh, if only I had listened to that voice that was trying to warn me, I could have saved myself all this grief.
[00:50:34.616 --> 00:50:36.277]  So, we've all had that lesson.
[00:50:36.357 --> 00:50:53.267]  And this is an important tool that can help you when the chips are down and when you can't figure out with your head what to do, can help you shut that mind off, get in touch with that inner compass of spirit that simply knows what to do and can see around the corner and tell you where to go and what you need to do.
[00:50:53.607 --> 00:51:11.014]  Well, I can tell you we are certainly happy to be carrying your books now on the InfoWars.com website, and right here I have Alex Jones, his personal copy of When Technology Fails, and let me tell you something, he's got about every other page marked.
[00:51:12.114 --> 00:51:14.855]  You know, you can tell he's highlighted different pages and what have you.
[00:51:15.155 --> 00:51:33.901]  This book has been well read, and now you've come up with a smaller, more compact version, and like I was telling you before we went on, my son was telling me, he looked through this, we have our own disaster kit, and he's 20 years old, learning how to be a survivalist, what have you, and he says, Dad, this book is perfect to put in our kit.
[00:51:34.941 --> 00:51:36.242]  So I'm ordering this.
[00:51:37.102 --> 00:51:37.202]  Yes.
[00:52:07.662 --> 00:52:16.867]  Well, there's a SHIELD Act in Congress right now and it's come close to passing and there was a predecessor to that, I forget the name of that, EMP Act or something.
[00:52:17.488 --> 00:52:22.150]  So the awareness is increasing, but we need to put pressure on Congress to pass it.
[00:52:22.170 --> 00:52:23.771]  See, part of the problem is the SHIELD Act.
[00:52:24.171 --> 00:52:24.591]  We're good.
[00:52:41.704 --> 00:52:44.446]  No big deal, don't worry about it, because they're profit motivated.
[00:52:44.526 --> 00:52:47.908]  It's money out of their pocket to pay for preventative measures.
[00:52:47.928 --> 00:52:56.535]  There's no increasing the bottom line, unless of course, you know, Armageddon happens and then they'll say, oh God, we should have spent that two billion dollars.
[00:52:56.875 --> 00:53:06.502]  We're actually talking only roughly a billion to fix the grid, the critical items of the grid to prevent them from burning up in a solar storm or an EMP.
[00:53:07.342 --> 00:53:22.458]  And we're talking about another billion to provide backup fuel in EMP hardened containers with spare parts like batteries and generators and critical parts to make sure that these nuclear power plants could get back up and running.
[00:53:22.558 --> 00:53:24.941]  So, and you've got a little difference because an EMP
[00:53:26.357 --> 00:53:29.278]  You know, an EMP and a solar storm are related, but not the same.
[00:53:29.478 --> 00:53:39.200]  EMP, Electromagnetic Pulse, is when they launch a nuke up, and it blows off, say, 25 to 150 miles above the planet, and it's a big electromagnetic pulse.
[00:53:39.640 --> 00:53:53.064]  Well, there's an E1 effect, which is like speed of light, that happens in nanoseconds, like a fraction of a fraction of a fraction of a blink of an eye, and that tends to fry microchips, and it tends to induce currents that can damage
[00:53:54.505 --> 00:54:06.091]  Digital electronic control systems that are critical for keeping our power plants functioning, including nuclear, keeping our sewage functioning, keeping all of our industrial processes functioning, our communication systems functioning.
[00:54:06.432 --> 00:54:13.995]  And in EMP tests, they found that most of your personal electronics in your house will survive okay, unless it's turned on at the time.
[00:54:14.256 --> 00:54:16.337]  And most of your cars will be okay.
[00:54:16.917 --> 00:54:20.219]  Pretty much 100% of the cars will be okay, except for the ones that are functioning.
[00:54:22.020 --> 00:54:25.823]  30% of those, you know, 15 to 30% of those might have issues and problems.
[00:54:25.843 --> 00:54:28.225]  About one out of seven will tend to stall on the road.
[00:54:28.665 --> 00:54:42.377]  But the real problem is that all of this stuff connected with Ethernet cables, all the computers and digital control systems connected with long runs of cables that keep all of our industrial systems and infrastructure going, those are going to cook.
[00:54:43.147 --> 00:54:54.533]  And included in those, so that means in an EMP, not a solar storm, but in an EMP, those short-term effects could cause nuclear meltdowns to start happening in 15 minutes after an EMP.
[00:54:54.973 --> 00:55:05.338]  And so there, having the stuff on hand to do a quick change-out, get those things rolling, get them running, that could be, you know, life or death, and people need to be trained and know that right away.
[00:55:05.819 --> 00:55:08.540]  Now, solar storm, it doesn't have the short-term effects.
[00:55:09.346 --> 00:55:15.654]  The EMP has a short term, it has an E2 effect, that's like 50,000 lightning bolts happening in a half a second.
[00:55:15.915 --> 00:55:17.477]  SolarStorm doesn't have that effect either.
[00:55:18.180 --> 00:55:21.361]  But then the E3 effect of an EMP is a long, slow burn.
[00:55:21.381 --> 00:55:26.083]  That happens from about a half a second to like 15, 20 minutes, a half hour later.
[00:55:26.443 --> 00:55:31.605]  Well, in a solar storm, that long, slow burn can go on for two days to five days to a week.
[00:55:31.845 --> 00:55:33.245]  Who knows how long it might go?
[00:55:33.345 --> 00:55:39.127]  Recorded history, we had a two-day event in 21 and a seven-day event in 1859.
[00:55:39.607 --> 00:55:42.508]  So, you know, that's just giving you a sense of it.
[00:55:42.588 --> 00:55:44.669]  So, they're related but not the same.
[00:55:44.689 --> 00:55:46.770]  EMP, much smaller area.
[00:55:47.490 --> 00:55:49.191]  Small nuke on a Scud missile?
[00:55:49.251 --> 00:55:51.472]  You're talking probably a 500-mile circle.
[00:55:51.592 --> 00:56:00.656]  Certainly enough to fry New York City, Washington, D.C., most of the Northeast, shut down the stock exchange and melt down, you know, 10 or 20 nukes could start melting down.
[00:56:01.277 --> 00:56:08.460]  A big nuclear device, like they bought one on the black market from one of the failed states, the Soviet Union?
[00:56:09.307 --> 00:56:16.549]  Managed to get a larger missile like something that Iran or North Korea had and blow it off really high above the planet.
[00:56:16.909 --> 00:56:18.889]  Then you're talking a 1,500 mile circle.
[00:56:18.929 --> 00:56:25.190]  You're talking Dallas, Texas to Miami and up to Quebec City.
[00:56:25.330 --> 00:56:29.851]  So you're talking two-thirds of the population of the United States within that circle.
[00:56:29.891 --> 00:56:33.152]  And you're talking most of the nukes in the United States within that circle.
[00:56:33.512 --> 00:56:35.333]  You're talking a pretty big serious effect.
[00:56:35.693 --> 00:56:36.693]  Good news within the EMP.
[00:56:37.373 --> 00:56:41.054]  The rest of the world is still there to come in and help out and help rebuild.
[00:56:41.634 --> 00:56:45.095]  Bad news in the EMP is more stuff is cooked and more stuff is fried.
[00:56:45.615 --> 00:56:57.098]  So you could have, you know, you don't know until it happens how many of those backup generators at nukes are going to survive the EMP and kick in and how many of them will get cooked and won't kick in.
[00:56:57.218 --> 00:57:06.081]  Well, let's hope something like that never happens, but we definitely got to be prepared for all three of those situations you just mentioned, because we do live in that time and age.
[00:57:07.121 --> 00:57:10.083]  Mr. Stein, I want to thank you for spending time with us today.
[00:57:10.403 --> 00:57:12.805]  Like I said, Alex Jones certainly loves your books.
[00:57:13.125 --> 00:57:15.666]  I recommend that everyone buy a copy.
[00:57:15.847 --> 00:57:20.429]  You know, this Disaster Strikes is perfect for a disaster kit.
[00:57:21.050 --> 00:57:27.414]  And like I said, we certainly enjoy you sitting with us today, and I wish you a good day, sir.
[00:57:27.974 --> 00:57:28.994]  Oh, well, thank you so much.
[00:57:29.055 --> 00:57:31.996]  It's been a pleasure, and I hope I've been able to help people out.
[00:57:32.597 --> 00:57:34.478]  God bless, and go out and do your best.
[00:57:35.238 --> 00:57:35.458]  Thank you.
[00:57:35.719 --> 00:57:36.119]  Thank you much.
[00:57:37.247 --> 00:57:38.970]  Well, that about does it for tonight's show.
[00:57:39.030 --> 00:57:40.453]  Thank you for tuning in.
[00:57:40.553 --> 00:57:43.980]  We will be back, Lord willing, about the same time tomorrow evening.
[00:57:44.180 --> 00:57:45.703]  Until then, God bless.
