[00:00:01.615 --> 00:00:02.358]  We've got it brother!
[00:56:16.777 --> 00:56:19.559]  I mean, it was incredible, and I was only shown a small part of it.
[00:56:20.140 --> 00:56:21.560]  Not even the classified stuff.
[00:56:21.641 --> 00:56:23.662]  I was only showed restricted.
[00:56:24.758 --> 00:56:31.140]  The person would show me, he said, well, as you know, top scientist, I'm allowed to show you restricted stuff because it's not classified.
[00:56:31.660 --> 00:56:47.504]  But I mean, I'm not saying they flipped on the classified video feed to those giant labyrinths and those monkeys jacked in looking at those TV screens, testing weaponized flicker rates to brain damage you and your family and put you into a mesmerized state.
[00:56:49.744 --> 00:56:52.345]  I mean, holy mackerel!
[00:56:54.053 --> 00:57:06.483]  Do you understand you are targeted, you're being attacked, you're being bombarded chemically, biologically, radiologically, light waves, color, pheromones, olfactory, everything.
[00:57:06.744 --> 00:57:13.229]  And I'm talking to FBI agents, police, military, bureaucrats, all of you that think you're part of the power elite, the structure.
[00:57:13.649 --> 00:57:17.112]  You are the enemies of the New World Order just as I am.
[00:57:17.432 --> 00:57:19.034]  This is a tiny elite
[00:57:20.489 --> 00:57:29.574]  There are no more than a few thousand global master technocrats that even understand the information you're being given here, ladies and gentlemen.
[00:57:30.555 --> 00:57:34.337]  And if you're doubting me, folks, I told you about NDAA years ago.
[00:57:34.457 --> 00:57:38.300]  I told you about TSA highway checkpoints a decade before it happened.
[00:57:38.640 --> 00:57:40.001]  How much have I told you?
[00:57:41.161 --> 00:57:46.905]  I am one of the only people who understands the full-spectrum system who doesn't work for the enemy.
[00:57:46.925 --> 00:57:47.765]  Do you understand that?
[00:57:48.365 --> 00:57:49.066]  Second hour coming up.
[00:57:52.386 --> 00:57:53.887]  Hi folks, this is Alex Jones.
[00:57:54.107 --> 00:57:59.130]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[00:57:59.410 --> 00:58:00.771]  Saving means to make money.
[00:58:00.931 --> 00:58:09.716]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[00:58:10.456 --> 00:58:17.558]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[00:58:17.998 --> 00:58:25.601]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[00:58:26.001 --> 00:58:30.922]  If you want something better, if you want something you've never had before, you have to do something you've never done before.
[00:58:31.222 --> 00:58:33.383]  Getting a free catalog is easy by calling 800-340-7091.
[00:58:36.124 --> 00:58:39.089]  Call 800-340-7091 or see Calvin on the web at FiveStarSoap.com.
[00:58:39.390 --> 00:58:43.878]  Take charge of your health now by calling 800-340-7091 or see Calvin on the web at FiveStarSoap.com.
[00:58:52.193 --> 00:58:55.836]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:58:56.216 --> 00:58:59.219]  This is our last chance to not relive history.
[00:58:59.459 --> 00:59:04.263]  As they're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:59:04.623 --> 00:59:10.508]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:59:10.648 --> 00:59:12.890]  I think it's incumbent upon all of us
[00:59:13.430 --> 00:59:13.710]  Tim Geithner?
[00:59:13.730 --> 00:59:14.170]  Bernanke?
[00:59:14.250 --> 00:59:14.831]  They're arsonists!
[00:59:14.851 --> 00:59:15.671]  They're asking for more matches!
[00:59:16.031 --> 00:59:18.432]  And the Congress is saying, who do we make the check out to?
[00:59:32.338 --> 00:59:34.199]  Today, it seems like nobody does care.
[00:59:34.460 --> 00:59:39.243]  And right now in Washington, D.C., we have seen a fall of the Republic.
[00:59:39.623 --> 00:59:49.531]  Get your copy of Fall of the Republic on DVD at Infowars.com or watch it online right now in super high quality at PrisonPlanet.tv.
[00:59:52.252 --> 00:59:55.235]  Coast to Coast, direct from Austin.
[00:59:55.855 --> 00:59:59.057]  You're listening to the Alex Jones Broadcasting Network.
[01:00:02.904 --> 01:00:08.926]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:00:09.526 --> 01:00:12.587]  It's Alex Jones and the GCN Radio Network.
[01:00:15.648 --> 01:00:26.452]  I was just thinking during the break, if you were going to practice shutting down cities, lining people up, arresting certain individuals,
[01:00:28.237 --> 01:00:30.838]  Surveilling and tracking the every move of all the others.
[01:00:31.399 --> 01:00:32.759]  Where would you test that?
[01:00:34.180 --> 01:00:35.861]  You'd test that at Disney World.
[01:00:40.163 --> 01:00:41.484]  And that's how my brain just clicks.
[01:00:41.564 --> 01:00:43.225]  I'm like, Department of Defense Laboratory.
[01:00:43.245 --> 01:00:45.106]  Because I know their nomenclature.
[01:00:45.466 --> 01:00:45.746]  Boom.
[01:00:45.766 --> 01:00:46.146]  Look it up.
[01:00:46.166 --> 01:00:47.607]  Department of Defense Laboratory.
[01:00:50.084 --> 01:00:51.665]  Again, it's not that I'm that smart.
[01:00:51.745 --> 01:00:59.288]  Somebody who's been watching football for 20 years, obsessed with it, you're gonna know as much as the guys on ESPN or more.
[01:01:00.028 --> 01:01:00.948]  It's the same thing here.
[01:01:01.128 --> 01:01:05.510]  I've actually studied what's really being built, what's really going on around me.
[01:01:08.331 --> 01:01:11.312]  And I understand why the average person just goes, oh, that can't be true.
[01:01:11.613 --> 01:01:13.673]  Because you're taught you can choose your reality.
[01:01:14.053 --> 01:01:17.695]  You're taught that you can just say, oh, I don't believe this guy.
[01:01:23.510 --> 01:01:25.851]  But that doesn't change the facts.
[01:01:27.152 --> 01:01:33.296]  We might as well have little gray-headed aliens with big black eyes, like science fiction says, running things.
[01:01:33.316 --> 01:01:36.098]  Because the globalists are that removed from humanity.
[01:01:37.259 --> 01:01:38.279]  They're that cold-blooded.
[01:01:38.299 --> 01:01:42.002]  They're that hateful towards their own species.
[01:01:42.562 --> 01:01:46.725]  And in their own publications claim they're another species and transcendent and
[01:01:48.237 --> 01:01:49.878]  They're going to get their world government.
[01:01:49.918 --> 01:01:56.940]  We're not going to be part of the future and the globalists will get the life extension and only the elites will get the digital augmentations.
[01:02:05.103 --> 01:02:17.147]  The pace of change that we are about to see as a society is mind-boggling because we've been in a frozen stasis.
[01:02:18.246 --> 01:02:35.435]  Culturally, with just slow little incremental changes, just coloration changes, presentation changes in 30-year-old tech that the globalists developed and bought and stole and put together.
[01:02:39.917 --> 01:02:46.421]  And now they've decided to go ahead and start accelerating a lot of the programs and the change.
[01:02:49.088 --> 01:03:09.998]  And if they are successful, 99.9 plus percent of those that help usher it in will be destroyed, will be crippled, will be made destitute, if they're lucky, by it.
[01:03:12.599 --> 01:03:15.120]  But because they are living in a fantasy land,
[01:03:16.294 --> 01:03:18.375]  Because they're receiving false data.
[01:03:19.015 --> 01:03:21.216]  They won't even know that on the journey.
[01:03:21.837 --> 01:03:28.520]  They'll think they're winning, and they'll think it's a tragic event when they fail, and then it's somebody else's fault.
[01:03:29.060 --> 01:03:29.980]  It's all scripting.
[01:03:30.000 --> 01:03:33.802]  When you believe anything a liar says, you'll believe anything.
[01:03:41.564 --> 01:03:46.667]  You see, sometimes I can't just get up here and cover the news and analyze it.
[01:03:49.549 --> 01:03:57.013]  Because even within covering this news, we play into the paradigm of the social engineers.
[01:04:01.616 --> 01:04:07.880]  The way to defeat the New World Order is to really awaken to the fact that this civilization
[01:04:09.827 --> 01:04:13.468]  To a great extent, has been pre-planned.
[01:04:16.109 --> 01:04:18.449]  I said to a great extent, because they're not in complete control.
[01:04:19.029 --> 01:04:21.550]  They're trying to get in complete control.
[01:04:25.011 --> 01:04:27.151]  Yeah, that's the most important point, and I haven't made it.
[01:04:28.152 --> 01:04:37.234]  If the globalists get their system in place, what would the complete control look like?
[01:04:39.844 --> 01:04:40.725]  Look in my eyes.
[01:04:42.046 --> 01:04:46.749]  You've got a lot of ancestors and all of their experiences.
[01:04:48.350 --> 01:04:49.291]  You've got intuition.
[01:04:50.892 --> 01:04:51.672]  You know the truth.
[01:04:54.254 --> 01:04:55.155]  I've seen the future.
[01:04:56.295 --> 01:04:56.956]  And so have you.
[01:04:57.656 --> 01:04:58.357]  We've got to change it.
[01:05:00.089 --> 01:05:03.894]  Did you ever think you'd be where you are, a decade into the 21st century?
[01:05:04.234 --> 01:05:06.116]  Record foreclosure rates for homes.
[01:05:06.517 --> 01:05:07.999]  If not yours, your neighbors.
[01:05:08.379 --> 01:05:10.902]  Thankful for the unemployment check since you were laid off.
[01:05:11.343 --> 01:05:17.831]  And placing your child's name on the angel tree in hopes of a Christmas gift, along with thousands of other Americans.
[01:05:18.331 --> 01:05:21.553]  Did you ever think your future would feel this out of control?
[01:05:21.573 --> 01:05:26.495]  The fact is, in all this craziness, there's only one thing you can control.
[01:05:26.775 --> 01:05:28.035]  Your greatest dependency.
[01:05:28.316 --> 01:05:29.376]  Your food supply.
[01:05:29.716 --> 01:05:33.578]  Make 2012 the year you take control by getting prepared.
[01:05:33.918 --> 01:05:38.940]  eFoods Direct introduces the best way to build your food supply in the 21st century.
[01:05:39.160 --> 01:05:41.902]  Get a 21-day supply of food free with purchase.
[01:05:42.142 --> 01:05:42.382]  Call 800-409-5633.
[01:05:45.103 --> 01:05:47.845]  Or go to eFoodsDirect.com forward slash Alex.
[01:05:48.145 --> 01:05:49.645]  Take back control in 2012.
[01:05:49.685 --> 01:05:51.066]  Call 800-409-5633.
[01:05:51.386 --> 01:05:55.949]  Or go to eFoodsDirect.com forward slash Alex.
[01:05:56.249 --> 01:05:59.010]  Remember, you can bet your life on eFoodsDirect.
[01:06:08.038 --> 01:06:20.246]  I'll tell you what, I've spent an hour, 45 minutes, minus the commercials, kind of segwaying in and out of the heart of my concerns dealing with the technocratic elite.
[01:06:38.151 --> 01:06:41.653]  That are pre-designing our future and our technological development.
[01:06:42.934 --> 01:06:50.538]  It's very painful to hear a talk show host talking about Steve Jobs and all of his innovations.
[01:06:53.480 --> 01:07:02.125]  When that is multi-decade old technology and was rolled out according to a predestined, pre-established plan.
[01:07:03.126 --> 01:07:05.628]  The North American Union, the Asian Union, the Euro.
[01:07:06.869 --> 01:07:10.732]  All of it developed, set up by 1957 with the Treaty of Rome.
[01:07:14.054 --> 01:07:23.861]  A contemporary example that I use commonly is the Pentagon still claims the SR-71 Blackbird, developed in 1952 and serviced by 1955, is the fastest aircraft to this day in 2012.
[01:07:23.901 --> 01:07:25.262]  Or a more modern example is the B-2
[01:07:36.460 --> 01:07:37.262]  Stealth Bomber.
[01:07:39.847 --> 01:07:42.292]  Task models were developed and already deployed in the 1960s.
[01:07:44.284 --> 01:07:53.147]  It was in service by the 1970s and of course was not revealed to the public until 1987 or was it 88?
[01:07:54.007 --> 01:07:59.049]  Guys, look up, just do a memory test here on my primitive electrochemical system.
[01:07:59.429 --> 01:08:05.791]  Interface it with a silicon version and let's pull up the B-2 bomber public rollout.
[01:08:05.811 --> 01:08:06.951]  I believe it was 87 or 88.
[01:08:08.992 --> 01:08:10.633]  Perhaps it was 89 now that I think about it.
[01:08:10.673 --> 01:08:11.353]  Let's just find out.
[01:08:12.947 --> 01:08:39.444]  Okay, continuing here, the reason I'm so concerned, let me just give you one small data point of literally hundreds on the subject of mass death, mass population reduction.
[01:08:41.280 --> 01:08:48.225]  Because this is something that I've been talking about for a very, very long time.
[01:08:50.006 --> 01:09:09.199]  With great concern, because I've been able, in deep research, to investigate why Western governments are building gigantic, quasi-secret, doomsday scenario
[01:09:11.809 --> 01:09:25.734]  Facilities all over the world, why are they building animal and human DNA arcs in remote areas of the Himalayas, the Arctic, the Antarctic, the frozen tundra?
[01:09:28.135 --> 01:09:29.696]  B2 rollout was 88, thank you.
[01:09:38.001 --> 01:09:42.824]  Watched the continuity of government system via NATO and the United States.
[01:09:43.965 --> 01:09:46.566]  But the Russians and Chinese are also been obsessed with it.
[01:09:48.188 --> 01:09:57.153]  Spending in some years upwards of 10% of the entire defense security budgets on building giant underground bases.
[01:09:58.134 --> 01:10:04.658]  With nuclear power, underground reservoirs, you know, people could live under there for a hundred years.
[01:10:08.263 --> 01:10:18.348]  I watched this, and I watched, since I became really awake 18 years ago, quasi-awake 18 years ago, I became fully awake 15.
[01:10:21.269 --> 01:10:25.791]  I watched, and just because you're awake doesn't mean you know everything, it means you're now awake, you're able to learn.
[01:10:26.912 --> 01:10:30.073]  I watched this mad rush like the end of the world was coming.
[01:10:34.062 --> 01:10:41.628]  And then I learned, because these people leak stuff, and they talk, and the different academics talk, that they're not concerned about a meteorite.
[01:10:42.769 --> 01:10:44.991]  They're not concerned about little green men.
[01:10:45.672 --> 01:10:51.196]  They're not concerned about even nuclear war so much as they are biological weapons.
[01:10:54.999 --> 01:11:00.804]  And again, if you're driving along in your car right now, let's say you got your family in the car, maybe there's six of you in the vehicle.
[01:11:02.310 --> 01:11:05.991]  Statistically, if any of these weapons are released, and I'm going to talk about it here in a moment.
[01:11:06.492 --> 01:11:11.434]  Statistically, if any of these are released, everyone in the car will be dead.
[01:11:12.654 --> 01:11:16.175]  Now, I know that's not as important as NFL playoffs.
[01:11:17.216 --> 01:11:22.438]  But see, there won't be any NFL playoffs if this happens.
[01:11:23.957 --> 01:11:49.739]  And I have then discovered in the last 5, 6, 7 years, my research has confirmed in triplicate, in spades, every angle I look at, that they're not building these bunkers because they're worried about some rogue group producing and releasing airborne Ebola with a 94% kill rate, or human mousepox with a 99% airborne kill rate, or
[01:11:50.970 --> 01:11:55.291]  Different variants of bird flu and others with a 91-92% kill rate.
[01:11:58.211 --> 01:11:59.912]  That's 9 out of 10 on your block dead.
[01:12:01.012 --> 01:12:02.492]  End of civilization as we know it.
[01:12:04.132 --> 01:12:06.233]  They're not doing this because they're worried.
[01:12:08.533 --> 01:12:18.315]  The only thing I have to figure out is if they're going to go ahead and release it, as they're clearly building up towards, why they're running around, I guess for some future history,
[01:12:19.739 --> 01:12:35.988]  Maybe that's it so they can blame it on out-of-control biological testing so that once they re-emerge and set up a new civilization, they'll have an excuse for a total police state tyranny over all biological and nanotech developments?
[01:12:38.929 --> 01:12:47.154]  Because the entire establishment acts like we don't even exist and they don't even care if we're wise to them and they're just getting ready for the end of the world.
[01:12:48.570 --> 01:13:06.538]  While setting up 36 level 4 bioweapons labs in level 2 and 3 containment and setting up over 200 other facilities that are barely level 2 that have level 4 weaponized airborne total death being developed in them.
[01:13:08.260 --> 01:13:20.445]  Because, you know, the globalists sell to kind of mid-level minions and establishment types who think world government's like some Star Trek thing, because like baby ducks they were imprinted with that.
[01:13:20.465 --> 01:13:28.109]  That, oh, it's just a big, you know, we all run around in jumpsuits and fly around in jetpacks and the global government have, you know, hot blonde girlfriends or whatever.
[01:13:28.129 --> 01:13:30.169]  You know, that's in all the different movies and stuff.
[01:13:30.189 --> 01:13:32.350]  No, you're dead in that future.
[01:13:32.590 --> 01:13:33.411]  You don't exist.
[01:13:34.974 --> 01:13:42.800]  They send automated robot crawlers in to pull you out of the underground parking garages and your basements.
[01:13:44.821 --> 01:13:48.084]  You're not flying around wearing tinfoil outfits in the system, okay?
[01:13:50.586 --> 01:14:00.894]  Looking at it, the only answer there is, is they're just passing out all these bio-weapons like, like, like, dum-dum suckers at the barber.
[01:14:02.062 --> 01:14:20.931]  They're handing them out to any government, putting the full ingredients, the full breakdown how to make all this stuff on the internet, because I guess in their weird, sick way, they're just going to let someone else produce it, or leak it, or have a mistake, or claim a terrorist got it.
[01:14:22.131 --> 01:14:23.412]  And I've seen that in other models.
[01:14:24.502 --> 01:14:27.287]  Two thousand, foot and mouth, weaponized, England.
[01:14:27.627 --> 01:14:29.230]  I could tell it was a government operation.
[01:14:29.931 --> 01:14:30.171]  How?
[01:14:30.311 --> 01:14:31.433]  I'll give you a data point in a moment.
[01:14:31.994 --> 01:14:32.735]  Several data points.
[01:14:34.698 --> 01:14:35.239]  But I knew
[01:14:37.568 --> 01:14:46.099]  That that was weaponized because in a two-day period it popped up from Scotland to southern England at hundreds of ranches, hundreds of farms.
[01:14:46.960 --> 01:14:55.411]  They don't, you don't have a foot and mouth pop up and show up all over the place at once unless it was governmental or major corporate launched.
[01:14:57.662 --> 01:15:20.926]  And sure enough, about a year after it happened, and they killed 8 million sheep, 4 million cows, use it to take over, have government control, try to break the farms in the UK, it came out and the government and the BBC and other publications said, we believe an animal rights activist who doesn't believe in domesticated animals, at this particular zoological level 4 bioweapons facility, must have stolen it!
[01:15:21.266 --> 01:15:22.167]  But that's impossible.
[01:15:22.527 --> 01:15:24.187]  One man, one woman, or even a group
[01:15:25.127 --> 01:15:33.998]  Of a few dozen terrorists couldn't get that all over the UK and have it all pop up on a two-day period with a government announcement PR on top of it.
[01:15:34.018 --> 01:15:36.520]  That's another data point the slickness of the announcement.
[01:15:38.302 --> 01:15:39.424]  But the issue here
[01:15:41.750 --> 01:15:55.799]  Is that they're probably going to let a low-level group release some airborne system that kills the majority of those that come in contact with it as the excuse to have the bio clamp down police state so they can then release something even more deadly later.
[01:15:56.059 --> 01:15:58.060]  And I think I've just answered my question right there.
[01:15:58.280 --> 01:15:59.521]  But they're passing it all out.
[01:16:02.438 --> 01:16:03.940]  Hi folks, this is Alex Jones.
[01:16:04.140 --> 01:16:09.165]  I'm looking for people that have the wisdom to spot savings, opportunity, and recognize risk.
[01:16:09.465 --> 01:16:10.826]  Saving means to make money.
[01:16:11.007 --> 01:16:19.795]  The Cal Bend Pure Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now.
[01:16:20.516 --> 01:16:27.621]  Soaps made from vegetable and coconut oils that contain no useless dyes, perfumes, deodorants, or antibacterials.
[01:16:28.061 --> 01:16:35.666]  Your risk is the hundreds of hazardous toxic detergents that give you rashes, itching sores, and deteriorating clothing called lint.
[01:16:36.046 --> 01:16:43.450]  If you want something better, if you want something you've never had before, you had to do something you've never done before, getting a free catalog is easy by calling 800-340-7091.
[01:16:46.212 --> 01:16:49.136]  Or see Calvin on the web at FiveStarSoap.com.
[01:16:49.437 --> 01:16:51.620]  Take charge of your health now by calling 800-340-7091.
[01:16:51.680 --> 01:16:53.943]  Or see Calvin on the web at FiveStarSoap.com.
[01:17:01.155 --> 01:17:02.415]  Hi, this is Alex Jones.
[01:17:02.455 --> 01:17:07.797]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[01:17:08.037 --> 01:17:12.679]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[01:17:13.059 --> 01:17:13.459]  It's true.
[01:17:13.539 --> 01:17:18.101]  Seeds have outperformed even gold and silver before in this country, and it's possible that could even happen again.
[01:17:18.621 --> 01:17:23.324]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[01:17:23.845 --> 01:17:25.786]  They call it a Survival Seed Bank.
[01:17:26.166 --> 01:17:30.769]  And it can produce an endless supply of nutrient-dense food for you and your family.
[01:17:30.969 --> 01:17:31.870]  And here's the best part.
[01:17:32.090 --> 01:17:34.872]  These seeds have not been genetically modified in any way.
[01:17:35.172 --> 01:17:38.474]  And you actually get enough seeds to plant a full acre crisis garden.
[01:17:38.774 --> 01:17:41.616]  So visit them today at SurvivalSeedBank.com.
[01:17:41.977 --> 01:17:43.858]  That's SurvivalSeedBank.com.
[01:17:44.198 --> 01:17:45.119]  Or give them a call at 877-327-0365.
[01:17:48.741 --> 01:17:49.781]  That's 877-327-0365.
[01:17:50.181 --> 01:17:57.504]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[01:17:57.804 --> 01:18:00.264]  This is Alex Jones for survivalseedbank.com.
[01:18:01.745 --> 01:18:16.189]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[01:18:17.202 --> 01:18:20.924]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[01:18:21.904 --> 01:18:33.910]  Not only does the Silver Lungs System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[01:18:34.670 --> 01:18:41.934]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[01:18:42.614 --> 01:18:52.223]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[01:18:53.003 --> 01:18:56.266]  As well, we are always ready to answer any questions you may have.
[01:18:56.927 --> 01:19:00.030]  That's www.SilverLungs.com
[01:19:00.836 --> 01:19:04.641]  Did you ever think you'd be where you are, a decade into the 21st century?
[01:19:04.981 --> 01:19:06.864]  Record foreclosure rates for homes.
[01:19:07.264 --> 01:19:08.746]  If not yours, your neighbors.
[01:19:09.127 --> 01:19:11.650]  Thankful for the unemployment check since you were laid off.
[01:19:12.090 --> 01:19:18.579]  And placing your child's name on the angel tree in hopes of a Christmas gift, along with thousands of other Americans.
[01:19:19.079 --> 01:19:22.300]  Did you ever think your future would feel this out of control?
[01:19:22.320 --> 01:19:27.221]  The fact is, in all this craziness, there's only one thing you can control.
[01:19:27.521 --> 01:19:28.782]  Your greatest dependency.
[01:19:29.042 --> 01:19:30.102]  Your food supply.
[01:19:30.462 --> 01:19:34.323]  Make 2012 the year you take control by getting prepared.
[01:19:34.663 --> 01:19:39.684]  eFoods Direct introduces the best way to build your food supply in the 21st century.
[01:19:39.905 --> 01:19:42.645]  Get a 21-day supply of food free with purchase.
[01:19:42.885 --> 01:19:43.125]  Call 800-409-5633.
[01:19:45.806 --> 01:19:48.528]  You're listening to the Alex Jones Broadcasting Network.
[01:20:22.631 --> 01:20:32.079]  Look, here's the point I'm trying to get at, and then I'll go to the news and take your phone calls coming up.
[01:20:32.559 --> 01:20:33.380]  We'll give the number out.
[01:20:38.104 --> 01:20:48.073]  We, as a society, have obviously let technology grow at a pace that way outstrips our ability to even understand it as individuals.
[01:20:50.422 --> 01:20:55.846]  And the central controllers of our society are idiot savants.
[01:20:56.887 --> 01:21:11.577]  They know how to basically juggle the data to a certain extent, and by controlling the overall capital feeds, they can buy up and steer development in a direction they want.
[01:21:14.016 --> 01:21:24.801]  But in all the globalist publications, and you can pull these up, all they talk about is establishing a world government and then forcibly reducing our population by at least 80%.
[01:21:26.582 --> 01:21:42.250]  And those aren't idle threats by Ted Turner or Dr. Eric Pianca at University of Texas Biology Department, or Peter Singer at Princeton, or Prince Philip, or Prince Charles, or the Club of Rome, or the UN Biological Diversity Assessment in 1996.
[01:21:44.321 --> 01:21:45.543]  Or Maury Strong.
[01:21:45.563 --> 01:21:53.592]  And anybody who's gone to college knows you've been fed this line about humans being a parasite and we gotta reduce the numbers.
[01:21:54.012 --> 01:21:56.696]  This is the religion of those that run the club!
[01:21:58.652 --> 01:22:01.333]  My point is, they really intend to try to carry it out.
[01:22:02.474 --> 01:22:19.642]  All of the jacking poison in the water, and cancer viruses in the vaccines, and bisphenol A to reduce your fertility, estrogen mimickers, all of that is just macabre beta testing in this thing.
[01:22:23.023 --> 01:22:26.525]  I mean, where people are poor and don't have media and can't stand up for themselves,
[01:22:27.561 --> 01:22:29.522]  In Africa, Latin America, and Asia.
[01:22:29.542 --> 01:22:31.443]  I mean, every day I see articles.
[01:22:31.923 --> 01:22:32.644]  We could pull them up.
[01:22:32.944 --> 01:22:38.167]  You know, 15 babies die in illegal vaccine tests.
[01:22:38.187 --> 01:22:41.068]  31 of 50 homeless in Poland given shot die.
[01:22:43.049 --> 01:22:47.531]  CBS News, government polio vaccine program causing polio.
[01:22:48.052 --> 01:22:49.132]  And I just look at it.
[01:22:50.253 --> 01:22:56.056]  And if you're a new listener and you were joining us during the last segment and I'm talking about weaponized
[01:22:58.115 --> 01:22:59.215]  Super viruses.
[01:22:59.235 --> 01:23:00.936]  I mean, here's the Boston Globe today.
[01:23:02.836 --> 01:23:06.737]  And I really should be more positive, because at least this stuff's being somewhat discussed now.
[01:23:07.737 --> 01:23:12.098]  Scientists pause research with lab-bred bird flu.
[01:23:14.239 --> 01:23:18.800]  It's a super contagious, airborne, highly lethal bird flu.
[01:23:19.960 --> 01:23:22.021]  AP reports, again, posted in the Boston Globe.
[01:23:25.299 --> 01:23:35.802]  Scientists who created easier to spread versions of the deadly bird flu said yesterday that they are temporarily halting more research as international specialists debate what should happen next.
[01:23:36.302 --> 01:23:44.085]  Now the FBI as you know a month ago told them do not publish as you did with mousepox and airborne Ebola and the rest of it.
[01:23:44.765 --> 01:23:54.828]  Do not publish how you made it because in the case of mousepox that kills 99% of whatever mammal you tailor it for
[01:23:57.751 --> 01:23:59.251]  That, that was published.
[01:24:01.152 --> 01:24:08.814]  Couple hundred thousand dollars, and you've got the right biochemist, you can make it.
[01:24:10.735 --> 01:24:11.415]  And it's public.
[01:24:12.436 --> 01:24:16.737]  You think the FBI spies on the internet because they're scared of somebody with the anarchist cookbook?
[01:24:18.197 --> 01:24:19.958]  Only thing it'll do with that is blow your hand off.
[01:24:22.439 --> 01:24:23.319]  We can survive
[01:24:24.554 --> 01:24:29.757]  Provocateurs, idiots, numbskulls, you know, bombing a bank or something and killing three people.
[01:24:30.678 --> 01:24:33.600]  It's a tragedy, but it won't kill billions.
[01:24:38.323 --> 01:24:45.488]  And you see, some of the higher-level academics will say, well, Alex, they're setting up a global technocracy to stop
[01:24:47.011 --> 01:24:48.191]  The release of this stuff.
[01:24:48.271 --> 01:25:03.556]  No, it's the technocrats that are making sure that they have weaponized viruses, hundreds of them, in level 2 facilities where you wear gloves and a mask and swipe a card and a door opens.
[01:25:04.557 --> 01:25:14.140]  You're supposed to have level 4 bioweapons in underground bases three levels down with three fences with minefields and machine gun nests.
[01:25:16.940 --> 01:25:18.061]  I mean, that's federal law.
[01:25:22.643 --> 01:25:24.184]  Ever seen the Andromeda Strain?
[01:25:24.804 --> 01:25:29.367]  That's, of course, a great medical doctor and writer who put that together.
[01:25:29.387 --> 01:25:32.748]  It's fiction, but it's based on real Level 4 facilities.
[01:25:32.768 --> 01:25:33.969]  That's a Level 4 facility.
[01:25:39.872 --> 01:25:45.095]  In fact, in the old days, when they were messing with stuff like this, they reportedly had hydrogen bombs buried under them.
[01:25:46.121 --> 01:25:47.182]  Because let me explain something.
[01:25:47.782 --> 01:25:54.326]  If this stuff gets out, almost everyone listening to my voice is dead.
[01:25:57.568 --> 01:26:15.559]  And I want to know why the people running the world today are putting level 4 human and zoological diseases in level 2 facilities like the University of Texas at Galveston.
[01:26:18.066 --> 01:26:21.507]  When they first built it eight years ago, I said it could be hit by a hurricane.
[01:26:21.787 --> 01:26:23.707]  Did you know it was hit by a hurricane?
[01:26:24.428 --> 01:26:25.668]  And pretty much destroyed?
[01:26:27.388 --> 01:26:30.349]  They claim that they got the viruses out before it hit.
[01:26:31.889 --> 01:26:37.831]  Again, I know this is a lot more important than the NFL playoffs.
[01:26:37.851 --> 01:26:38.551]  That's why I'm here.
[01:26:42.372 --> 01:27:05.630]  And I see a global elite running around 24-7 with private bunkers and government bunkers and big corporate bunkers and talking about how great it's going to be, the age after humans and how the world's going to come back and the futurists say it'll only be a few hundred thousand elitist and then it'll be this wonderful age where they repopulate the world and build it however they want.
[01:27:06.110 --> 01:27:11.392]  And they're just like somebody hyping themselves up to jump off a cliff 300 feet into water.
[01:27:11.852 --> 01:27:14.133]  They're just getting themselves hyped up to release it.
[01:27:15.133 --> 01:27:29.578]  And then creating a weird pre-nostalgia with all these TV shows and stuff about all humans are about to die and fake self-fulfilling 2012 prophecy garbage and they got the churches saying praise God it's the end of the world and all this stuff.
[01:27:29.919 --> 01:27:33.380]  It doesn't have to be the end of the world if we wake up to what's happening.
[01:27:34.335 --> 01:27:38.277]  Because they're not up to the point of their entire military being robot and drone.
[01:27:38.797 --> 01:27:42.619]  The globalists cannot carry this out yet by themselves.
