[00:00:03.917 --> 00:00:04.517]  Hi, welcome.
[00:38:22.390 --> 00:38:24.012]  That'd be fun, I can't wait.
[00:38:24.312 --> 00:38:24.692]  Extras.
[00:38:25.733 --> 00:38:41.487]  This next one actually was the Oneanaut, and it says, Hello Alex, there's a YouTuber that shows the visual proof that the paintings from Michelangelo and others in the 1600s did not simply paint images of God, but rather the nebulous structures that exist within the Orion Nebula.
[00:38:41.887 --> 00:38:49.534]  He provides so many examples that it's pretty arguable that the ancient people of the world knew, as David Icke says, the true nature of consciousness.
[00:38:50.114 --> 00:38:52.216]  So, what are your thoughts on any of that?
[00:38:53.037 --> 00:38:57.201]  Certainly, ancient cultures know a lot more than they're given credit for.
[00:38:57.681 --> 00:39:01.025]  Certainly, the pyramids weren't built the way we were told.
[00:39:02.626 --> 00:39:07.811]  The Dogon tribe, all these different tribes had knowledge of star systems that were way further out.
[00:39:08.312 --> 00:39:09.233]  I don't know is the answer.
[00:39:09.972 --> 00:39:13.033]  I've got documents admitting they've got plans for forced inoculation.
[00:39:13.073 --> 00:39:14.134]  People say, oh, that's your opinion.
[00:39:14.534 --> 00:39:22.977]  I interviewed all the top admirals who heard the call from LBJ to let the ship sink and the Israeli pilots went public that USS Liberty was staged.
[00:39:23.017 --> 00:39:24.257]  People go, oh, that's just your opinion.
[00:39:24.517 --> 00:39:25.238]  Well, no, it's not.
[00:39:25.778 --> 00:39:27.358]  I've interviewed like 20 people from the ship.
[00:39:27.378 --> 00:39:28.219]  I mean, it's ridiculous.
[00:39:28.819 --> 00:39:31.460]  I've interviewed dozens of people from Oklahoma City.
[00:39:31.840 --> 00:39:33.060]  They say, oh, that's just your opinion.
[00:39:33.100 --> 00:39:36.762]  Oh, it's really the cops, the witnesses, of that being an inside job.
[00:39:37.722 --> 00:39:43.520]  So I just don't go there because I could study that all day long and never really get an answer because...
[00:39:44.448 --> 00:39:59.038]  Yeah, I mean, I've seen the cave paintings, I've seen the Aztec stuff that looks like flying saucers, I've seen the Egyptian hieroglyphs, and the thought it was made up on the internet when I actually looked up the official photos and stuff, and it's real, and how they've walled off most of that.
[00:39:59.659 --> 00:40:04.262]  The truth is, everything the elite do is about suppressing technologies developed in the last hundred years.
[00:40:04.602 --> 00:40:06.003]  Not just Nikola Tesla, but others.
[00:40:07.164 --> 00:40:08.365]  We are living in what we think is 2012.
[00:40:11.042 --> 00:40:15.204]  But the establishment is, and that's their power trip.
[00:40:15.224 --> 00:40:24.407]  I mean, how uncool is that for the ruling elite to like put us down here in this TV land BS thing where the average person is watching, you know, Dancing with the Stars and somebody's got talent.
[00:40:24.867 --> 00:40:33.491]  And meanwhile, dumbing us down and giving us cancer and all this while they prance around the national security state that our inventors, our scientists, our money built.
[00:40:33.751 --> 00:40:38.993]  They take our best and recruit them and they go behind that iron curtain of national security and disappear.
[00:40:40.013 --> 00:40:43.116]  And then the worst people are taking control of our development.
[00:40:43.176 --> 00:40:44.718]  It's just, it's horrible.
[00:40:45.599 --> 00:40:45.839]  Right.
[00:40:45.899 --> 00:40:47.080]  And we touched on this too.
[00:40:47.120 --> 00:40:53.026]  I mean, they earn billions and they pay, if they ever do, pay fines of minuscule amounts in comparison.
[00:40:53.326 --> 00:40:58.611]  Well, by some strange twist of fate, the Eloy will become the slaves and the Morlocks the masters.
[00:40:59.781 --> 00:41:00.962]  I don't like that.
[00:41:01.663 --> 00:41:07.069]  The Freeman1 asks you, when are you going to make the next Brothers in Arms episodes?
[00:41:07.349 --> 00:41:12.494]  And when you make the next one, can you guys shoot up old cars and maybe a black wall to show the power?
[00:41:14.042 --> 00:41:16.623]  We have got the sponsors lined up.
[00:41:16.904 --> 00:41:17.904]  The guys want to do it.
[00:41:18.224 --> 00:41:19.825]  I have just been off more than I can chew.
[00:41:19.925 --> 00:41:21.506]  We've hired six new graphics people.
[00:41:22.567 --> 00:41:24.528]  I'm hiring probably five, six more reporters.
[00:41:24.988 --> 00:41:27.630]  The equipment, the people, the staff, the room.
[00:41:28.230 --> 00:41:30.531]  Do we buy another building or do we rent the one?
[00:41:30.571 --> 00:41:34.013]  I mean, you know, there's a lot goes into this to get to this level we've gotten to.
[00:41:34.133 --> 00:41:36.455]  And we could do this because of you, the listeners, supporting us.
[00:41:36.635 --> 00:41:37.035]  Absolutely.
[00:41:37.255 --> 00:41:38.816]  And so a lot of that depends on you.
[00:41:40.962 --> 00:41:52.774]  I'm trying to hire some more salespeople so that we can shell to have the money to get the sponsors with the guns and go out and shoot it and the camera people and there's a lot that goes into it and then you know the waiver forms and just all of it.
[00:41:52.794 --> 00:41:55.477]  But yes, I do plan on gun shows in the future.
[00:41:55.918 --> 00:41:57.199]  Steiner Brothers are great guys.
[00:41:57.239 --> 00:41:57.920]  They want to be involved.
[00:41:57.940 --> 00:41:59.281]  I just had a dinner with them.
[00:42:00.582 --> 00:42:01.163]  Shane Steiner.
[00:42:01.183 --> 00:42:03.104]  It's a cool dinner over at their Steiner Steakhouse.
[00:42:03.525 --> 00:42:04.045]  Friday night.
[00:42:04.546 --> 00:42:09.309]  Mrs. Mustaine, Dave Mustaine, my wife, the kids, and Shane Steiner with them.
[00:42:09.329 --> 00:42:10.591]  We were having our meeting about that.
[00:42:11.071 --> 00:42:13.953]  Dave wants to come out on the show, so you might see a Brothers in Arms down the road.
[00:42:14.334 --> 00:42:17.897]  I did some shooting with Dave this weekend, but we're going to wait to release that for a while.
[00:42:18.977 --> 00:42:22.841]  But a lot of cool stuff coming up, so yes.
[00:42:22.881 --> 00:42:25.123]  We've already shot the next episode of Brothers in Arms.
[00:42:25.745 --> 00:42:29.468]  But we shot it on this right here at my house, and it's awesome.
[00:42:29.668 --> 00:42:30.929]  Okay, all right, keep going here.
[00:42:30.969 --> 00:42:32.430]  That's the exclusive look there.
[00:42:33.010 --> 00:42:37.914]  This next one comes to you from Kimberly from upstate New York, and she says, great interview with Congresswoman Blackburn.
[00:42:37.954 --> 00:42:45.119]  Maybe next time you can speak to her, you can suggest that she and the other Congress officials send out a request to their constituents to rally in front of Congress.
[00:42:45.599 --> 00:42:48.481]  So is there anything that you have to say to that?
[00:42:48.541 --> 00:42:53.805]  Maybe bring her back on and do that, or any sort of idea and mainstream media leverage, if you will.
[00:42:54.045 --> 00:42:57.629]  Well, I mean, these politicians need to get people rallied already.
[00:42:57.649 --> 00:43:00.271]  I mean, if they claim... I mean, where's the Tea Party?
[00:43:00.291 --> 00:43:04.796]  It got co-opted by a bunch of, you know, a bunch of establishment Republicans.
[00:43:06.418 --> 00:43:07.619]  Here, I'm going to show you some of this.
[00:43:07.639 --> 00:43:10.281]  Is this the Brothers in Arms video?
[00:43:10.301 --> 00:43:12.624]  Hold on, we're not going to put this on TV yet.
[00:43:23.959 --> 00:43:25.080]  I can't wait to put this out on air.
[00:43:25.100 --> 00:43:29.181]  This is the kind of stuff that you should send on your Facebook, Alex.
[00:43:29.662 --> 00:43:30.022]  Well, no.
[00:43:31.022 --> 00:43:32.843]  Is this like the legit version?
[00:43:33.343 --> 00:43:33.543]  No.
[00:43:34.024 --> 00:43:34.864]  Look at what we're shooting.
[00:43:37.865 --> 00:43:38.225]  Hold on.
[00:43:38.325 --> 00:43:39.406]  Folks, you'll get to see this yet.
[00:43:43.668 --> 00:43:44.368]  I think so.
[00:43:45.249 --> 00:43:48.450]  He just shot a big, what would you call it, knight armor?
[00:43:48.470 --> 00:43:50.511]  You know those knights you see at Mexican food restaurants?
[00:43:52.765 --> 00:43:53.645]  Wait till you see it.
[00:43:54.205 --> 00:43:57.086]  Yeah, we're getting ready for the next Brothers in Arms, to answer your question.
[00:43:57.446 --> 00:43:58.007]  All right.
[00:43:58.487 --> 00:43:59.967]  I'm working like seven days a week here.
[00:44:00.227 --> 00:44:00.527]  Go ahead.
[00:44:00.907 --> 00:44:02.008]  All right.
[00:44:02.268 --> 00:44:08.469]  I think we kind of summed up the Congresswoman Blackburn question, you know, just, yeah, it'd be great, but they kind of need to take care of it themselves.
[00:44:09.370 --> 00:44:16.832]  The next one is from Steven from San Diego, and he says, Tom Woods and James Colbert are recent converts to anarcho-capitalism.
[00:44:17.532 --> 00:44:19.374]  And I've heard you agreeing with them.
[00:44:19.714 --> 00:44:20.975]  So what are your thoughts?
[00:44:21.435 --> 00:44:23.817]  When are you going to embrace anarcho-capitalism?
[00:44:25.318 --> 00:44:27.120]  Like I suddenly agree with them?
[00:44:27.700 --> 00:44:30.142]  I mean, I've always been of a libertarian mind.
[00:44:30.443 --> 00:44:33.885]  People can sell all these great pipe dreams about the total state and how great it's going to be.
[00:44:34.486 --> 00:44:44.154]  Government, nine times out of ten, delivers disaster, enslavement, poverty, special interests controlling government, shutting down their competition and getting rich off government welfare.
[00:44:44.804 --> 00:44:47.086]  Corporate welfare.
[00:44:47.146 --> 00:44:54.994]  I've always been on two polar opposites of total state, Borg, hive mind versus total anarchy.
[00:44:56.556 --> 00:45:01.260]  I'm trying to get away from the gravitational political pull of big government towards anarchy.
[00:45:01.701 --> 00:45:08.568]  But anarchy itself in its pure form, past these dreams these dreamers have, like when the Soviets had their dreams.
[00:45:09.360 --> 00:45:10.361]  That's not a permanent form.
[00:45:10.401 --> 00:45:11.422]  Well, exactly.
[00:45:12.302 --> 00:45:15.585]  Let's say you had a state that voted to be totally out in the open.
[00:45:16.065 --> 00:45:21.570]  You would immediately get criminal gangs that got together that came and tried to take over your area.
[00:45:22.271 --> 00:45:32.039]  And so you had to be like Switzerland, armed and ready to defend and some type of mutual defense structure where people agree upon a code and agree that they're going to defend each other.
[00:45:33.175 --> 00:45:43.381]  Uh, but a system like that creates so much wealth when you are free that your kids become spoiled rotten and make deals with the guy in the next state just because it'll make dad bad.
[00:45:44.022 --> 00:45:49.245]  So you're, you know, the reason you always get a government is because there's another big government trying to come take you over.
[00:45:49.765 --> 00:45:52.027]  So they can't really answer that question properly.
[00:45:52.147 --> 00:45:54.088]  And believe me, I do all the research I've read over it.
[00:45:54.468 --> 00:45:55.389]  So I'm just saying, hey,
[00:45:55.729 --> 00:45:59.153]  I know you guys got all the answers, pie in the sky, this Valhalla of no government.
[00:45:59.453 --> 00:46:03.257]  Can we just get rid of the private Federal Reserve, though, that poses as government?
[00:46:03.297 --> 00:46:12.706]  Because you see, so many of the globalists are actually trying to fund the libertarian movement right now because they've already stolen the money, they've already made themselves offshore and exempt from the governments they control.
[00:46:13.787 --> 00:46:17.171]  Now they want to move to the mode of exempting themselves completely.
[00:46:18.069 --> 00:46:19.211]  Now they've stolen everything.
[00:46:19.711 --> 00:46:28.623]  So if there was a collectivized dam and they got handed it by government and now they're going to charge us for the power from that over what it should be when they bought it from us.
[00:46:28.663 --> 00:46:35.131]  See, it's more sophisticated than just getting up and saying, you know, I'm an anarchic capitalist.
[00:46:37.626 --> 00:46:45.590]  People say, well, you have Ron Paul on promoting gold and silver currencies, but then you have another guy on for state banks, another lady on, you know, promoting a government fiat system.
[00:46:46.190 --> 00:46:46.770]  Which is it?
[00:46:47.011 --> 00:46:48.691]  Well, it's about you making a decision.
[00:46:48.732 --> 00:46:51.453]  It's about educating people about monetary issues.
[00:46:51.513 --> 00:46:54.655]  It's not about saying this is the one way and this is the absolute way.
[00:46:54.915 --> 00:47:02.659]  All I know is I don't like foreign banks that happen to be eugenicists, who funded Hitler, Stalin, and Mao, in control, and signing us onto their debt.
[00:47:02.959 --> 00:47:04.140]  Let's get rid of that system.
[00:47:05.180 --> 00:47:10.404]  And if it transitioned, because the problem is they own all the gold too, that's a problem.
[00:47:10.444 --> 00:47:12.445]  So I'd be for a gold system if the elites have most of it.
[00:47:12.926 --> 00:47:22.333]  You know, do we get back to a government system where everyone's educated about it and then there's a fiat system that's controlled and zero interest credit like the bankers got to the people?
[00:47:22.833 --> 00:47:25.235]  Listen, they act like, oh, we're trying to make the economy go quick.
[00:47:25.555 --> 00:47:35.383]  The bankers actually brag they want a post-industrial world and that they're mad there's so much wealth and so much ingenuity, they call it overheating, that everything they do with taxes is to shut down production.
[00:47:35.903 --> 00:47:38.205]  They've given over $40 trillion just in the U.S.
[00:47:38.225 --> 00:47:43.269]  in the last five years to the banksters to bail out the debt they created as they hold us hostage.
[00:47:44.918 --> 00:47:55.441]  If $40 trillion had been loaned by a federal bank or the state banks, I like the idea of it being broken up, to the people, do you have any idea what 0% interest at $40 billion would do?
[00:47:56.881 --> 00:47:57.801]  I can't even imagine it.
[00:47:58.841 --> 00:47:59.962]  It would be amazing.
[00:48:00.162 --> 00:48:02.462]  There would be so many businesses and things starting up.
[00:48:02.562 --> 00:48:05.863]  And people argue, well that would overheat like the real estate thing.
[00:48:05.943 --> 00:48:07.804]  Whatever, at least you get some real economy.
[00:48:08.224 --> 00:48:08.824]  The point is,
[00:48:10.294 --> 00:48:17.036]  This is a complex system we're talking about, and I have spent 20 years studying it, 17 years on air.
[00:48:19.257 --> 00:48:27.659]  And there is no simple answer, other than you need local control, you need states' rights, you need the Bill of Rights Constitution.
[00:48:27.979 --> 00:48:31.801]  Because a lot of libertarians and our capitalists go, man, that's so 1776.
[00:48:32.181 --> 00:48:39.583]  You know, I like this thing the founder of PayPal is pushing, just free islands with all the sex you want, it's going to be totally cool.
[00:48:40.225 --> 00:48:41.086]  No more taxes.
[00:48:41.566 --> 00:48:41.866]  Bull.
[00:48:42.046 --> 00:48:42.286]  Right.
[00:48:42.667 --> 00:48:45.449]  That's the globalists coming along, going, oh, this libertarian thing's hot.
[00:48:45.729 --> 00:48:46.910]  Let's sell them on our version.
[00:48:47.750 --> 00:48:57.157]  So I'm not looking for pie in the sky like, you know, the opposite of anarchic capitalism, the total collectivist computer run who programs the computer nightmare of zeitgeist.
[00:48:57.677 --> 00:48:59.858]  Where we all go live in plastic super domes together.
[00:49:01.139 --> 00:49:03.480]  Give me the total anarchic capitalism over that.
[00:49:04.220 --> 00:49:11.744]  But basically, if you don't have a free, informed, involved, aggressive population, anything you do is going to be game and taken over by corrupt people.
[00:49:12.084 --> 00:49:13.484]  That's the secret of politics.
[00:49:13.504 --> 00:49:14.945]  Do you have human nature to do that?
[00:49:15.365 --> 00:49:15.806]  That's it.
[00:49:15.866 --> 00:49:26.971]  If you're not fiercely independent, agreeing on a basic stoic code of the family and decency and honor and being aggressive, you've got to be willing when somebody gets in your face to get right back in their face.
[00:49:27.711 --> 00:49:29.534]  Or that's the creed of slaves to do otherwise.
[00:49:30.215 --> 00:49:37.425]  So until we stop following the creed of slaves, any system that they try to implement will be backdoored and gamed from minute one.
[00:49:39.629 --> 00:49:41.532]  I think we should do a little excerpt on that later.
[00:49:42.233 --> 00:49:42.974]  That's really interesting.
[00:49:43.826 --> 00:49:45.507]  Let's get Jacobson's take.
[00:49:45.927 --> 00:49:47.429]  Rob, come on over here to the mic.
[00:49:47.449 --> 00:49:48.329]  You can kneel down and talk.
[00:49:48.349 --> 00:49:49.210]  I only have a chair for you.
[00:49:49.510 --> 00:49:50.571]  Here, jump in here, Jacobson.
[00:49:51.031 --> 00:49:54.754]  Jacobson, give us your take on, you know, communism versus anarchy.
[00:49:54.974 --> 00:49:57.636]  Well, I would mostly agree with what you said.
[00:49:57.696 --> 00:50:04.680]  I think that while anarchy sounds great and at the end of the day... Jacobson never says uh until he's on air.
[00:50:04.981 --> 00:50:05.501]  Just hit it.
[00:50:05.541 --> 00:50:06.822]  Do your normal self, Jacobson.
[00:50:07.042 --> 00:50:17.328]  Basically, if you have an anarchy system, what you're going to have is you're going to have organized crime swooping in immediately, pretending like they're a bunch of kings and burning down everybody's house.
[00:50:17.408 --> 00:50:23.851]  Because if you walk away from your own land, unless you're armed and you're staying there all the time, somebody's going to come and burn it down.
[00:50:24.331 --> 00:50:30.675]  I think that basically what has to happen is, outside of total communism, we have to break it down to local rules.
[00:50:30.735 --> 00:50:32.056]  Sheriffs is the answer.
[00:50:32.156 --> 00:50:32.676]  Exactly.
[00:50:32.936 --> 00:50:33.516]  Exactly.
[00:50:33.596 --> 00:50:35.197]  Let's say... There you go, Jacobson.
[00:50:37.196 --> 00:50:39.276]  We're always hearing about pie in the sky, no rules.
[00:50:39.296 --> 00:50:41.617]  That's because the bankers now have taken over a lot of libertarianism.
[00:50:41.637 --> 00:50:42.577]  They want that for themselves.
[00:50:43.377 --> 00:50:45.858]  We have to say, can we just get back to the Bill of Rights and Constitution?
[00:50:45.878 --> 00:50:48.098]  Can we just get back to due process?
[00:50:48.118 --> 00:50:49.139]  Can we just get back to that?
[00:50:49.179 --> 00:50:53.379]  And then we can debate all day because the media says the Constitution failed.
[00:50:53.419 --> 00:50:53.799]  No, it didn't.
[00:50:53.819 --> 00:50:54.660]  We gave up on it.
[00:50:54.860 --> 00:50:56.400]  What we have now didn't create this.
[00:50:56.660 --> 00:50:58.100]  Capitalism didn't create this.
[00:50:58.160 --> 00:50:59.341]  Free market didn't create this.
[00:50:59.701 --> 00:51:01.221]  Crony insider stuff.
[00:51:01.501 --> 00:51:02.401]  People above the law.
[00:51:02.621 --> 00:51:04.322]  Hell, the bankers are living in anarchy.
[00:51:04.662 --> 00:51:05.702]  They get away with whatever they want.
[00:51:05.962 --> 00:51:08.324]  We're under all this communism down here.
[00:51:08.584 --> 00:51:10.525]  They're up there at the global level of free-for-all.
[00:51:10.625 --> 00:51:27.416]  In fact, you can consider the system we're living in right now just a major anarchy being taken over by the most major criminal group on earth and we're just under their subjection right now because according to their point of view, it's a lawlessness that they live in and we're underneath their thumb and there's no law for us and there's no law for them either.
[00:51:28.297 --> 00:51:28.817]  Exactly.
[00:51:28.877 --> 00:51:31.099]  People aren't even identifying what this is.
[00:51:32.847 --> 00:51:34.429]  I mean, they're not even identifying what this is.
[00:51:34.469 --> 00:51:37.052]  Like, most of the libertarians battle with cops all day.
[00:51:37.552 --> 00:51:41.016]  Cops are people that went to college or whatever, get a degree, and are just out there.
[00:51:41.396 --> 00:51:43.378]  Some of them control freaks, some of them good, some of them bad.
[00:51:43.398 --> 00:51:45.000]  We need to talk about the system.
[00:51:45.020 --> 00:51:46.602]  And I'm not critiquing libertarian thought.
[00:51:47.082 --> 00:51:51.087]  It's just that there's like this thing of like, I can say the word anarchic capitalism, the term.
[00:51:51.768 --> 00:51:53.369]  Why don't you join that with us?
[00:51:53.389 --> 00:51:54.470]  Why don't you come on up here?
[00:51:55.191 --> 00:51:56.313]  Others have been covering it.
[00:51:56.333 --> 00:51:57.615]  I see you suddenly agree.
[00:51:57.635 --> 00:52:00.920]  Let me tell you about geopolitical systems.
[00:52:00.960 --> 00:52:03.163]  Alex, have you ever heard of 9-11 truth?
[00:52:05.157 --> 00:52:07.678]  Anyways, I'm like, no, I had never heard of that.
[00:52:09.238 --> 00:52:13.379]  Again, folks, if you want freedom, it's a hard job, but it's a fun job.
[00:52:13.720 --> 00:52:15.060]  Because being a slave's a lot harder.
[00:52:15.440 --> 00:52:16.560]  Jacobs, any other points on that?
[00:52:16.920 --> 00:52:23.502]  No, I just think that what has to happen is it should be local governments, local control, and what happens is- Because those are firewalls.
[00:52:23.542 --> 00:52:25.343]  If you don't like the corruption in town, you move.
[00:52:25.683 --> 00:52:29.124]  Suddenly, everybody votes with their feet, their dollars, they leave Blossog.
[00:52:29.344 --> 00:52:38.369]  Exactly, and if one sheriff happens to be corrupt, he'll be isolated in his own little community by all the law, like you've got other sheriffs surrounding him, and it will be contained.
[00:52:38.389 --> 00:52:41.710]  Whereas as right now, it's like a nation... Hold on, I see the IT guy.
[00:52:42.090 --> 00:52:44.312]  We've gone so long, the show is about to go live on TV.
[00:52:44.332 --> 00:52:45.092]  I've got to go in there.
[00:52:45.412 --> 00:52:45.852]  Come on in.
[00:52:46.653 --> 00:52:47.253]  Do you need me?
[00:52:49.114 --> 00:52:50.195]  Did they get the show done?
[00:52:50.235 --> 00:52:50.715]  Are they ready?
[00:52:52.432 --> 00:52:53.073]  They're still going.
[00:52:53.113 --> 00:52:57.277]  Well, then the answer is we've got to stop with the questions for PlanetInfoWars.com.
[00:52:57.518 --> 00:52:59.180]  We'll addendum the three or four left.
[00:52:59.200 --> 00:52:59.980]  What is there, ten left?
[00:53:01.782 --> 00:53:02.623]  There's ten left.
[00:53:02.663 --> 00:53:03.584]  We'll do those.
[00:53:03.604 --> 00:53:05.006]  It takes three times to do 50.
[00:53:05.427 --> 00:53:07.649]  Later, PlanetInfoWars.com.
[00:53:08.310 --> 00:53:10.412]  It's 655.
[00:53:10.853 --> 00:53:11.754]  You know what that means.
[00:53:13.115 --> 00:53:13.776]  Showtime.
