[00:00:41.629 --> 00:00:42.891]  It's Friday, October 12th.
[00:53:40.391 --> 00:53:48.154]  You know, we really like these really thin, really easy to hold rails that don't have a lot of attachments, but still have all the ability to add rails wherever you need it.
[00:53:48.214 --> 00:53:48.454]  Right.
[00:53:48.474 --> 00:53:50.955]  But some people like a big quad rail, or some people like, you know,
[00:53:51.175 --> 00:53:58.917]  Well, what I've seen in the industry is a lot of students will come out with these guns with rails, and if you give them rail, they will find something to put on it.
[00:53:59.537 --> 00:54:03.438]  So the next thing I know, I find myself dealing with a student who's got a 20-pound M4.
[00:54:05.039 --> 00:54:10.860]  And, you know, that's one of the features I really like about this, is the contour of the foregrip.
[00:54:11.320 --> 00:54:14.621]  It allows a good purchase, so that way you can drag that thumb over the top.
[00:54:14.781 --> 00:54:15.161]  Absolutely.
[00:54:15.181 --> 00:54:18.282]  You get some of those rails, and you've got to have gorilla hands to do that.
[00:54:18.602 --> 00:54:20.443]  Yeah, and who wants to lift a 20-pound gun?
[00:54:20.483 --> 00:54:23.525]  I mean, weight is your enemy, especially if you're having to lug it around all day.
[00:54:23.606 --> 00:54:24.166]  Right.
[00:54:24.326 --> 00:54:25.727]  You don't need all that stuff on there.
[00:54:25.787 --> 00:54:28.549]  This gun even has a little more than I normally run.
[00:54:28.589 --> 00:54:35.293]  I don't run a foregrip like this, but all you really need at the end of the day is some way to sight it in, a flashlight to be able to see at night, done.
[00:54:35.313 --> 00:54:35.814]  Right.
[00:54:36.234 --> 00:54:44.600]  And weight, you know, this gun without the optic or the flashlight or the grip is about a 7.2-pound gun, which is lighter than pretty much all of our competitors out there.
[00:54:44.620 --> 00:54:45.440]  What about the D-model?
[00:54:45.500 --> 00:54:46.521]  The Delta is even lighter.
[00:54:46.621 --> 00:54:47.201]  It comes in at 6.8 pounds.
[00:54:48.482 --> 00:54:49.842]  Wow.
[00:54:50.262 --> 00:54:51.343]  That's impressive.
[00:54:52.463 --> 00:54:55.144]  I love this rifle so much.
[00:54:56.024 --> 00:54:57.284]  Let's talk more about the pistol.
[00:54:57.364 --> 00:54:59.545]  I'm always going to go back to this.
[00:54:59.565 --> 00:55:00.285]  So tell me about the pistol.
[00:55:00.545 --> 00:55:03.726]  Well, we really wanted to get into doing something that's a Legion pistol.
[00:55:04.506 --> 00:55:08.907]  And we had been looking at a variety of stuff out there, what makes a good combat effective gun.
[00:55:09.567 --> 00:55:12.648]  And we started talking to the guys at STI, good friends of ours in Georgetown.
[00:55:13.368 --> 00:55:20.435]  About our 2011 line, which we absolutely loved, because it's super accurate, super sturdy, but they were primarily a race gun manufacturer.
[00:55:20.535 --> 00:55:24.759]  Really tight tolerances, it's cool, but we wanted to do something different.
[00:55:25.160 --> 00:55:27.182]  Keep in mind, we're building guns for combat.
[00:55:27.642 --> 00:55:30.705]  So a combat effect of 1911-2011, what does that look like?
[00:55:31.065 --> 00:55:37.812]  Well, if you look at our pistol, we put the custom dual-sided serrations in it, so it's really easy to operate the action on it.
[00:55:38.232 --> 00:55:41.496]  Did a threaded barrel so you can attach a suppressor easily to it.
[00:55:42.116 --> 00:55:43.478]  Custom stippled the grips.
[00:55:44.098 --> 00:55:46.361]  Did the lanyard mounting on the extended magwell.
[00:55:46.901 --> 00:55:48.663]  Large capacity magazines.
[00:55:49.063 --> 00:55:58.133]  Optimized the tolerances and made them tight where they should be tight, but kept them loose where they should be loose, so you don't have to run a thousand rounds through it before it'll actually cycle correctly, which to us is crazy.
[00:55:59.474 --> 00:56:03.616]  And then, of course, optimize every component in it like we do with any Legion product.
[00:56:03.676 --> 00:56:14.442]  Cryogenically treated springs, nickel boron, the bushing, the slide, the frame, so you get the same kind of longevity, you get excellent accuracy, and it's really sturdy.
[00:56:14.802 --> 00:56:22.586]  If you've seen our YouTube videos where we're throwing it in the dirt, seen us on Facebook, or if you came out to our Proving Ground, if you remember that pistol line,
[00:56:23.306 --> 00:56:30.471]  You know, Rome would be sitting there, letting someone shoot it, he'd take it, throw it in the dirt, pick it up, put a mag in it, and put it in the next person's hands, and would that thing shoot?
[00:56:30.491 --> 00:56:31.272]  Hell yeah.
[00:56:31.352 --> 00:56:33.874]  How many rounds did you guys get out of that that day?
[00:56:35.335 --> 00:56:36.736]  You know, I don't know.
[00:56:36.796 --> 00:56:43.541]  If I were to take a guess, it'd be well over a thousand rounds through that one day alone, and we put probably eight or nine thousand rounds in it prior.
[00:56:43.761 --> 00:56:44.042]  Wow.
[00:56:45.303 --> 00:56:45.763]  Yeah.
[00:56:45.923 --> 00:56:48.085]  I actually came up there just to shoot the pistol.
[00:56:48.925 --> 00:56:49.746]  I love rifles.
[00:56:50.519 --> 00:56:50.979]  I don't know.
[00:57:03.772 --> 00:57:11.534]  More so that I've never been a true warfighter overseas and whatnot and have the level of experience that a lot of people in this area do.
[00:57:12.094 --> 00:57:15.755]  But I'm starting to get it, I'm starting to love it, and Legion is something I absolutely love.
[00:57:16.595 --> 00:57:18.476]  And you guys are doing all sorts of products.
[00:57:18.496 --> 00:57:26.338]  You guys are selling other retail products, so this way you can retrofit these from the factory and drop it out of box ready to the consumer, right?
[00:57:26.478 --> 00:57:26.998]  Absolutely.
[00:57:27.098 --> 00:57:30.179]  So what are some of the other products your company carries?
[00:57:30.859 --> 00:57:33.800]  Well, we do a lot of stuff, and it's not just about the weapons system.
[00:57:34.480 --> 00:57:38.461]  Recently, we designed a tourniquet pouch.
[00:57:39.401 --> 00:57:45.283]  Our good friend Jason Crosby and us worked together with First Spear to do, basically, an admin tourniquet pouch.
[00:57:45.763 --> 00:57:50.925]  Once again, an essential thing for a firearms enthusiast, particularly if you're a warfighter, but I think everyone should have one.
[00:57:50.945 --> 00:57:51.765]  If you're out at the range,
[00:57:52.987 --> 00:57:54.849]  Let's keep in mind, folks, this is a deadly tool, right?
[00:57:55.069 --> 00:57:55.369]  Absolutely.
[00:57:55.570 --> 00:57:56.751]  It's meant to be lethal.
[00:57:57.251 --> 00:58:04.178]  Accidents do happen, even for the best of us, and everything we do to create safe shooting environments for our students, right?
[00:58:05.399 --> 00:58:06.740]  But nonetheless, something can happen, right?
[00:58:06.781 --> 00:58:15.269]  And having a tourniquet pouch, a first aid kit, like the dark pouch that we carry from Dark Angel Medical, are essential tools to keep you safe.
[00:58:16.156 --> 00:58:38.977]  We also like to do little fun things, but as far as our weapon system development, we've got new rail systems coming out, we've got a new Gen 3 upper receiver coming out, we've got a charging handle coming out shortly that's ambidextrous, much like this, so we're really going through and optimizing each end of the weapons platform, and more so, even with soft goods, it's all about the gear you carry to make your shooting experience better or safer.
[00:58:39.517 --> 00:58:44.461]  We've got a lot of cool stuff coming out and actually we've had a couple of things come out in the last month.
[00:58:57.913 --> 00:59:00.815]  You mentioned the suppressors now are legal in Texas.
[00:59:01.115 --> 00:59:02.856]  Hey, hogs are a big problem out there.
[00:59:02.917 --> 00:59:03.937]  Hog hunting is really fun.
[00:59:04.398 --> 00:59:05.979]  The best time to do it is at night.
[00:59:06.299 --> 00:59:10.402]  Get out your night vision, put a suppressor on your gun, go shoot some hogs.
[00:59:11.322 --> 00:59:15.305]  Our muzzle brakes on these are Battle Comp, so they're suppressor ready.
[00:59:15.845 --> 00:59:18.187]  And we finally came out with a .300 Blackout round.
[00:59:18.447 --> 00:59:19.048]  I saw that.
[00:59:19.268 --> 00:59:22.490]  Talk about a nice, big, heavy bullet to go down and shoot some hogs.
[00:59:22.570 --> 00:59:23.791]  It's a fantastic setup.
[00:59:24.091 --> 00:59:25.032]  Yeah, I can imagine.
[00:59:25.152 --> 00:59:30.174]  And, you know, the only problem I have with hogs is my freezer's empty, so... I'm still working on that, though.
[00:59:31.135 --> 00:59:34.817]  I figured I'd let a cold front come in and kill off the ones that aren't so healthy.
[00:59:35.097 --> 00:59:35.257]  Right.
[00:59:36.097 --> 00:59:37.058]  You mentioned SHOTZO.
[00:59:37.098 --> 00:59:40.159]  We're prototyping a 7.62.
[00:59:40.220 --> 00:59:44.262]  We've been talking about it for a long time, but it's kind of a battle rifle concept.
[00:59:44.302 --> 00:59:45.242]  We'll have that out there.
[00:59:45.322 --> 00:59:45.642]  We'll be...
[00:59:47.043 --> 00:59:54.328]  Doing some interesting things with a different pistol line, more of a standard semi-automatic that I can't talk about yet, but you will see it at SHOT Show.
[00:59:55.469 --> 00:59:58.151]  And we have a couple of new rifle assemblies.
[00:59:58.191 --> 01:00:01.533]  I mentioned our Gen 3 rail system and upper receiver coming out.
[01:00:01.613 --> 01:00:04.075]  They'll be ready by SHOT Show too, and they're game changers.
[01:00:04.195 --> 01:00:05.756]  Even lighter, even more functional.
[01:00:06.516 --> 01:00:07.097]  Very cool stuff.
[01:00:07.117 --> 01:00:07.838]  That's amazing, the 308.
[01:00:08.939 --> 01:00:10.461]  I'm standing in line for one of those.
[01:00:10.641 --> 01:00:13.144]  There's no way I'm going to let one of those slip my hands.
[01:00:13.484 --> 01:00:16.087]  So, what is Legion's purpose?
[01:00:16.107 --> 01:00:17.429]  I mean, what are your feelings?
[01:00:17.449 --> 01:00:20.993]  You know, so many people think, and these are more non-shooters.
[01:00:21.073 --> 01:00:24.357]  You know, there's 80 million gun owners out there averaging about 3.6 guns each.
[01:00:25.738 --> 01:00:27.359]  That's a lot of guns out in American hands.
[01:00:27.600 --> 01:00:30.722]  It's our constitutional right to support that Second Amendment.
[01:00:31.282 --> 01:00:32.764]  Some would rather pervert it.
[01:00:33.344 --> 01:00:40.449]  And, you know, the thing is, is, you know, we should all have access to these things, not only for self-protection, but just for liberty in general.
[01:00:41.210 --> 01:00:44.633]  Some of the best guns in the world are the ones you don't have to fire under terms of stress.
[01:00:45.954 --> 01:00:48.696]  So what's Legion's position as far as
[01:00:49.520 --> 01:00:53.244]  You know, civilians owning what some would call a military platform.
[01:00:53.725 --> 01:00:55.687]  Right, and I think that's a great question.
[01:00:55.727 --> 01:00:56.528]  Now, if you look at
[01:00:57.219 --> 01:01:06.206]  The life cycle of all guns, the history of firearms generally, most of them, I'd say probably 99.9% of them, started out for military application.
[01:01:06.706 --> 01:01:12.991]  So even the modern hunting rifle, bolt rifles that people love now, they started out in use in World War I, right?
[01:01:13.071 --> 01:01:15.633]  So it's very much the same weapons platform.
[01:01:15.994 --> 01:01:19.656]  I think you're going to see a lot more black rifles in hunters' hands.
[01:01:20.137 --> 01:01:26.542]  5.56 round or .300 blackout, 7.62, they're all highly effective hunting rounds depending on what you're shooting at, right?
[01:01:27.142 --> 01:01:29.224]  So, hunting is one thing, sporting is another.
[01:01:29.304 --> 01:01:32.306]  There's been a huge growth in the competitive shooting industry out there.
[01:01:32.326 --> 01:01:32.526]  Absolutely.
[01:01:32.826 --> 01:01:33.307]  Man, it's great.
[01:01:33.327 --> 01:01:39.071]  You see shows like Top Shot, you see people getting into three-gun or pistol shooting competitions.
[01:01:39.851 --> 01:01:40.051]  Why?
[01:01:40.072 --> 01:01:40.992]  Because it's a lot of fun.
[01:01:41.232 --> 01:01:46.836]  Anyone that's taken time to go out and shoot a target and learn about firearms will say the same thing.
[01:01:46.876 --> 01:01:48.037]  It's an exhilarating experience.
[01:01:48.077 --> 01:01:52.020]  It's even more exhilarating when you get into doing it competitively and get better at your craft, right?
[01:01:52.220 --> 01:01:52.641]  Absolutely.
[01:01:52.901 --> 01:01:54.062]  And then let's talk about defense.
[01:01:55.216 --> 01:01:58.119]  You know, a lot of people have fears around owning firearms.
[01:01:58.159 --> 01:02:02.323]  The best way to overcome your fear of firearms is get trained on using firearms.
[01:02:02.543 --> 01:02:03.804]  Understand the functionality of it.
[01:02:04.385 --> 01:02:06.286]  Folks, it's just a tool, like any other tool.
[01:02:06.667 --> 01:02:09.670]  Cars kill far more people in America than guns do.
[01:02:09.990 --> 01:02:11.972]  You don't see anyone going out and banning Priuses.
[01:02:12.652 --> 01:02:17.137]  You just have to learn how to use an inanimate object in a safe and controlled way.
[01:02:17.837 --> 01:02:33.372]  So, I think it's very important for anyone to get out there that's interested in defending your family, interested in having fun on the weekends or days off, or that depends on wanting to save people's lives, learn the tool, understand the tool, own it, and be safe with it, and enjoy it.
[01:02:33.392 --> 01:02:33.913]  Right.
[01:02:34.093 --> 01:02:34.794]  No, I agree with you 100%.
[01:02:35.174 --> 01:02:36.035]  I get a lot of people.
[01:02:36.721 --> 01:02:39.763]  Who come to some of my more advanced classes never even firing a gun.
[01:02:40.103 --> 01:02:41.464]  And I'm like, what are you doing here?
[01:02:43.165 --> 01:02:48.989]  And you know, I want to help them, but you know, they need to learn to crawl before they walk and walk before they run.
[01:02:49.709 --> 01:02:53.372]  And so many people try to skip that because, well, you see a lot of Hollywood influence.
[01:02:53.952 --> 01:03:01.357]  And the Hollywood influence, you know, it's remarkable because they'll make their money based on guns, but then they'll turn around and denounce them.
[01:03:02.117 --> 01:03:06.702]  And that's something that in the firearms industry, many of us industry professionals are disgusted by.
[01:03:08.344 --> 01:03:13.370]  And it really deters some people from feeling comfortable around them and learning the proper way.
[01:03:15.032 --> 01:03:23.020]  So it's nice to have a company like Legion around that's not only bringing us cutting edge technology, but at the same time supporting our rights.
[01:03:24.145 --> 01:03:28.447]  Um, so basically we have, uh, how many, how many employees are you up to now?
[01:03:28.927 --> 01:03:30.688]  Well, there's six of us at the Legion Family.
[01:03:30.708 --> 01:03:31.048]  Right.
[01:03:31.428 --> 01:03:32.789]  Uh, we're, we're constantly growing.
[01:03:32.809 --> 01:03:41.413]  We've been on a pretty fast growth spurt ever since we debuted a lot of the stuff at the last SHOT Show and got a lot of people really interested in some of the innovative stuff we're doing.
[01:03:41.433 --> 01:03:43.294]  So we're really pleased with our growth.
[01:03:43.494 --> 01:03:44.214]  Nice, nice.
[01:03:44.695 --> 01:03:51.818]  Um, now I understand because of the high quality of this product, um, and the high demand, uh, you build these in units.
[01:03:52.538 --> 01:03:55.681]  Yes, and we custom build them to our customer specifications.
[01:03:55.741 --> 01:04:08.531]  So depending on what you're using the firearm for, depending on what grips you like, what sights you like, whether you're a novice and you don't really know and you want us to coach you through what the assembly of a great firearm looks like, or you're a seasoned professional that knows exactly what you want on a gun.
[01:04:09.312 --> 01:04:10.093]  You can call us up.
[01:04:10.153 --> 01:04:10.734]  We're high-touch.
[01:04:10.754 --> 01:04:14.698]  We like to work with the customer directly and help them understand how their build will go.
[01:04:14.718 --> 01:04:16.300]  And so it takes time.
[01:04:16.460 --> 01:04:17.441]  We're not Ford.
[01:04:17.701 --> 01:04:20.885]  We're not churning out guns on some kind of huge assembly line.
[01:04:21.385 --> 01:04:26.270]  We're making these with love and care, hand-building them, hand-coding them to customer specifications.
[01:04:26.310 --> 01:04:27.091]  So it's a process.
[01:04:28.152 --> 01:04:30.955]  Yeah, no, my grandfather always told me, buy cheap, buy twice.
[01:04:31.196 --> 01:04:31.376]  Right.
[01:04:32.277 --> 01:04:36.702]  And I don't want to go cheap with something that's going to save my life, or more importantly, the life of my loved ones.
[01:04:36.842 --> 01:04:37.382]  Absolutely.
[01:04:37.783 --> 01:04:39.305]  What's your turnaround time right now?
[01:04:39.365 --> 01:04:45.571]  Like, if I were a guy out there calling up Legion Firearms, and you picked up the phone, and I was ready to hand off a check,
[01:04:46.272 --> 01:04:47.493]  How long until I have my rifle?
[01:04:47.933 --> 01:04:49.114]  Right now, we're about 16 weeks.
[01:04:49.134 --> 01:04:49.435]  16 weeks.
[01:04:50.035 --> 01:04:51.176]  Yeah, absolutely.
[01:04:51.196 --> 01:05:02.525]  And with the election year, the demand we're seeing, a shortage of some supplies that normally are very abundant, even like safety selector switches and stuff, that we have to order four or five months ahead of time to be able to get in time.
[01:05:02.905 --> 01:05:07.128]  Yeah, it's really made it a challenge, but it's been great.
[01:05:07.228 --> 01:05:11.592]  Our customers have been really supportive about it, and a lot of our competitors are now 9, 10, 11 months out.
[01:05:11.612 --> 01:05:11.752]  Yeah.
[01:05:13.473 --> 01:05:17.136]  Oh no, I was checking some of the other competitors and sometimes a year.
[01:05:17.196 --> 01:05:18.658]  Yeah, it's crazy.
[01:05:18.978 --> 01:05:21.580]  And it's just everyone is getting the guns.
[01:05:21.600 --> 01:05:23.662]  I mean, last year we were at 70 million.
[01:05:23.822 --> 01:05:27.546]  There's something like 5 to 10 million new gun owners just in the last year alone.
[01:05:28.226 --> 01:05:36.434]  So to see that kind of volume, to see the Americans getting more understanding that, listen, you know, law enforcement's there to try to protect you.
[01:05:36.934 --> 01:05:38.655]  But unfortunately, there's a downtime there.
[01:05:39.035 --> 01:05:44.017]  And four or five minutes for response allows a lot of damage to happen to you and your family.
[01:05:44.717 --> 01:05:50.220]  And if you don't take personal defense seriously, you're putting your life on hold, literally.
[01:05:50.460 --> 01:05:50.660]  Right.
[01:05:50.820 --> 01:05:54.102]  You can't depend on law enforcement to protect you.
[01:05:54.142 --> 01:05:55.382]  That's really not their job.
[01:05:55.742 --> 01:05:57.983]  Their job is to catch criminals when they do a crime.
[01:05:58.143 --> 01:05:58.303]  Right.
[01:05:59.844 --> 01:06:00.985]  What do you do in the interim?
[01:06:01.005 --> 01:06:01.665]  Try to prevent it.
[01:06:02.005 --> 01:06:02.566]  Absolutely.
[01:06:02.586 --> 01:06:04.347]  And the only way to do that is to get in the fight.
[01:06:05.027 --> 01:06:07.329]  So it's a remarkable product.
[01:06:07.509 --> 01:06:15.374]  I enjoy everything that comes out of your guys' shop, and I'm just going to try to figure out how I can con you out of this before you get out of the studio.
[01:06:16.114 --> 01:06:18.696]  But it's just an amazing, amazing product.
[01:06:18.836 --> 01:06:24.260]  And to shoot sub-MOA with military ball ammo, it's unheard of.
[01:06:24.600 --> 01:06:25.460]  I mean, you have
[01:06:27.148 --> 01:06:29.815]  You have long-range precision platforms that can't do that.
[01:06:30.236 --> 01:06:30.397]  Right.
[01:06:30.738 --> 01:06:34.448]  So you guys have done a hell of a job and I congratulate you.
[01:06:34.608 --> 01:06:35.350]  Thank you very much.
[01:06:37.911 --> 01:06:42.353]  Well, Legion Firearms, probably one of the best manufacturers I've ever seen.
[01:06:42.473 --> 01:06:47.456]  Coming in with their competitor, usually about $1,000 under MSRP.
[01:06:48.076 --> 01:06:49.076]  Fantastic product.
[01:06:49.117 --> 01:06:53.859]  There is a little bit of a wait, but considering the competition, you'd wait a year, four months isn't too shabby.
[01:06:55.400 --> 01:06:59.462]  If you have any questions, you can contact Adam or some of his staff at Legion Firearms.
[01:06:59.962 --> 01:07:03.444]  You can go to legionfirearms.com in order to check on some of the products.
[01:07:03.922 --> 01:07:12.045]  You can also use the product code, InfoWars, and maybe they'll cut you a little slack and send you a hat with a rifle.
[01:07:13.026 --> 01:07:18.248]  This is Matt Williams with InfoWars, special report, special review of a fantastic company.
[01:07:18.648 --> 01:07:25.531]  We thank Adam for coming out and showing us his, I'm sorry, his wares, and that'll about do it for us.
