[00:00:04.625 --> 00:00:05.385]  Hi and welcome.
[00:38:57.582 --> 00:39:00.183]  They're like, no, no, no, that's not how you get through to people.
[00:39:00.203 --> 00:39:02.704]  Everybody's like in a zombie state of sleep, and I'm like, rrr.
[00:39:04.212 --> 00:39:05.975]  And they're like, no, that's extreme.
[00:39:06.376 --> 00:39:07.418]  Don't listen to him.
[00:39:07.498 --> 00:39:09.542]  There is nothing going on out there.
[00:39:15.234 --> 00:39:24.100]  I See the Future user asks you, in 1998 the movie Ants shows grass lawn made into exact shapes of New York twin Tin Tower skyline.
[00:39:24.820 --> 00:39:27.622]  How does Hollywood know of false flag years in advance?
[00:39:27.982 --> 00:39:29.103]  Obviously it's all kind of coordinated.
[00:39:29.223 --> 00:39:37.569]  I haven't seen that clip, but there are literally, no exaggeration, 60, 70, I was about to say hundreds, it's probably in the hundreds, of news articles, things about pre 9-11.
[00:39:38.089 --> 00:39:41.771]  And the worst example, best example, it's horrible, is
[00:39:43.163 --> 00:39:50.605]  Fox Television had the lone gunman spinoff of that big hit show they had, X-Files.
[00:39:51.726 --> 00:40:03.449]  And in it, the government hijacks a jumbo passenger jet to fly to the World Trade Centers to blame it on Afghanistan, and they use a drill to claim that hijackers got on board to cover up the fact that it's really remote controlled.
[00:40:04.480 --> 00:40:06.201]  Now that's exactly what happened six months later.
[00:40:06.841 --> 00:40:18.125]  So I'm pointing out this is a government op, and then I get a call, Dean Hagelin, the star of the show, he's in the X-Files too, wants to come to my house and talk to me, and he shows up, it's Dean Hagelin from television, and he goes, yeah, the CIA approach disimplanted that story.
[00:40:18.465 --> 00:40:19.206]  They did it with others.
[00:40:19.266 --> 00:40:20.046]  Well, I mean, obviously.
[00:40:20.566 --> 00:40:21.666]  Why do they do that then?
[00:40:22.107 --> 00:40:23.647]  It's like a pre-programming thing?
[00:40:23.827 --> 00:40:25.528]  Ties back into that news idea.
[00:40:26.502 --> 00:40:39.533]  Yes, so subconsciously you're ready for it, but also it's a message so the bankers that run the CIA, they can say to the Russians and others, we're not going to say who did 9-11, but did you see Fox's lone gunman?
[00:40:40.614 --> 00:40:42.395]  Don't play games with us, okay?
[00:40:42.415 --> 00:40:43.576]  If we'll do that, we'll do anything.
[00:40:43.596 --> 00:40:44.917]  We're ready for nuclear war with you.
[00:40:45.278 --> 00:40:49.081]  You submit and do what we want and you shoot your people up with cancer viruses or you're all dead too.
[00:40:50.222 --> 00:40:54.866]  So they put these in messages, so they can go, we're not going to tell you what we're going to do, but have you seen this movie?
[00:40:55.306 --> 00:40:57.488]  How many other movies we make come true?
[00:40:58.629 --> 00:41:00.671]  And I saw this with Gary Hart.
[00:41:02.472 --> 00:41:08.217]  I saw this with Gary Hart when he wrote a letter to Ahmadinejad saying, we've staged terror attacks before, we'll do it again.
[00:41:08.257 --> 00:41:09.358]  He published it in the Huffington Post.
[00:41:09.818 --> 00:41:15.363]  And when Luke Radowsky, or it was other folks we interviewed, I forget, but it's in our film, Truth Rising.
[00:41:17.401 --> 00:41:17.921]  They confront him.
[00:41:17.941 --> 00:41:18.682]  He goes, I didn't write that.
[00:41:18.702 --> 00:41:20.022]  When they pull the letter, he goes, oh, I did.
[00:41:20.062 --> 00:41:20.803]  But it's immaculate.
[00:41:20.823 --> 00:41:22.163]  He's sweating and freaking out.
[00:41:22.483 --> 00:41:23.784]  Like, I got one that can see.
[00:41:23.824 --> 00:41:25.285]  He couldn't believe that was happening.
[00:41:26.165 --> 00:41:28.806]  I mean, that's a really great question right there that they just asked.
[00:41:29.027 --> 00:41:30.107]  What's the last one for today?
[00:41:30.127 --> 00:41:31.368]  26 tomorrow.
[00:41:31.688 --> 00:41:34.809]  I just did 24, and I'm going to go shoot the news right now.
[00:41:35.270 --> 00:41:36.650]  No rest for the wicked.
[00:41:36.670 --> 00:41:37.651]  I didn't know I was this wicked.
[00:41:38.775 --> 00:41:42.538]  Alright, so Sovereign Think asks you, this is the last question so this is technically 24.
[00:41:43.399 --> 00:41:46.561]  What are your thoughts on the NSTIC program?
[00:41:47.022 --> 00:41:48.283]  Is it dangerous as I think?
[00:41:48.343 --> 00:41:52.086]  Is it as dangerous as I think required biometric access for the internet?
[00:41:54.208 --> 00:42:05.877]  Five years, three or four years ago they already had that built into the new Microsoft stuff and that's what they plan is an internet ID so they can tax you, track you, trace you and Google's already changing stuff so they know who you really are.
[00:42:05.897 --> 00:42:08.259]  You have multiple accounts so they can ban you from the internet.
[00:42:09.042 --> 00:42:10.243]  I'm not familiar with it.
[00:42:10.283 --> 00:42:11.783]  Is it like a thumbprint situation?
[00:42:11.803 --> 00:42:15.345]  Yeah, they're going to make you thumbprint and face scan to buy and sell, get on the internet, you name it.
[00:42:15.365 --> 00:42:18.906]  If you're not a good globalist, you can't travel, you can't live, you can't do anything.
[00:42:19.186 --> 00:42:20.607]  And people will be like, I don't want to help you.
[00:42:20.647 --> 00:42:21.988]  They'll turn my ID off.
[00:42:22.568 --> 00:42:23.728]  And so it'll be the ultimate fear.
[00:42:23.748 --> 00:42:26.210]  And if they get to that point, it's going to be devastating.
[00:42:26.590 --> 00:42:28.130]  Like, I can't upload Alex Jones videos.
[00:42:28.531 --> 00:42:29.511]  He's been banned before.
[00:42:29.591 --> 00:42:32.312]  And if you do, you get banned from the system.
[00:42:32.372 --> 00:42:34.153]  I need my creds on my card.
[00:42:34.193 --> 00:42:35.354]  And I need it.
[00:42:35.434 --> 00:42:35.914]  I need it.
[00:42:36.553 --> 00:42:40.564]  So I mean, it is absolute takeover by that little criminal Bill Gates.
[00:42:42.385 --> 00:42:43.586]  And that is a hell of a way to end it.
[00:42:43.626 --> 00:42:45.828]  I want to start back with that when I'm fresh tomorrow.
[00:42:45.848 --> 00:42:47.470]  Alright, we'll just reissue that.
[00:42:47.510 --> 00:42:50.973]  We'll start over with 24 because that is an incredibly important question.
[00:42:51.393 --> 00:42:52.134]  All of them were great.
[00:42:52.474 --> 00:42:54.496]  PlanetinfoWars.com.
[00:42:54.836 --> 00:42:55.316]  Go there.
[00:42:55.436 --> 00:42:55.697]  Meet.
[00:42:56.017 --> 00:42:57.458]  Use the web while we've still got it.
[00:42:57.899 --> 00:42:58.519]  Organize.
[00:42:59.560 --> 00:43:02.843]  It's in beta, but it's working a lot better than it was a few months ago when we first launched it.
[00:43:02.863 --> 00:43:03.383]  Absolutely.
[00:43:03.463 --> 00:43:04.284]  Spread the word about it.
[00:43:04.324 --> 00:43:05.645]  Make your own YouTube videos about it.
[00:43:05.685 --> 00:43:07.707]  PlanetinfoWars.com.
[00:43:07.747 --> 00:43:08.728]  Christi, take us out of here.
[00:43:09.048 --> 00:43:10.830]  Thank you all so much for tuning in.
[00:43:10.870 --> 00:43:11.831]  Keep your questions coming.
[00:43:11.871 --> 00:43:13.593]  They're amazing to read.
[00:43:13.934 --> 00:43:16.417]  Ask Alex on PlanetInfoWars.com!
