[00:00:21.573 --> 00:00:27.016]  Welcome to the Monday, January 30th, 2012 edition of the InfoWars Nightly News.
[00:56:24.161 --> 00:56:32.288]  Well, it almost makes it worse, because it's a creeping, kind of ambient background death of an economy, not stuff you can see really quick.
[00:56:32.368 --> 00:56:44.719]  But, even though we're incrementally into this, and they're having to admit more and more it's a global depression that you've talked about, not just a recession, they're losing so much credibility, and people are waking up.
[00:56:46.420 --> 00:56:50.704]  I mean, how do you see this ending then, or what are ways to start reversing this?
[00:56:51.357 --> 00:56:56.021]  Well, I think that wake-up thing is very important, as I just mentioned before.
[00:56:56.221 --> 00:56:57.041]  It's really important.
[00:56:57.062 --> 00:57:01.305]  The only way you can start to reverse this is to start looking at points of accountability.
[00:57:01.325 --> 00:57:04.167]  You're not going to get points of accountability from the guys running these banks.
[00:57:04.567 --> 00:57:06.769]  You're not going to get points of accountability from the President.
[00:57:06.789 --> 00:57:11.513]  You're not going to get points of accountability from the head of the Treasury or the head of the Federal Reserve.
[00:57:11.533 --> 00:57:14.075]  It has to sort of come more from the bottom up.
[00:57:14.455 --> 00:57:37.244]  Even if that's the level of attorney generals or whatever or local counsel saying hey, you know We won't allow ourselves to be taken over and individuals getting in there I have a friend in Santa Monica was running for counsel because he just he's just so appalled by by what's going on around the country And people getting involved in that way because that's really what we have now and what we what we have is the ability to connect To each other and it sounds very sort of you know touchy-feely, but it's really true.
[00:57:37.284 --> 00:57:40.245]  It's listening to information It's assessing what's true and what?
[00:57:40.905 --> 00:57:58.774]  Makes sense by filtering out the mainstream story that it's all somehow the fault of the economy, you know, some amorphous economy that needs to be slapped back with austerity measures throughout the world as opposed to the fact that we were basically used by very powerful amounts of people and money.
[00:57:59.034 --> 00:58:02.736]  And so I think people have to continue to look up that information and not be afraid to
[00:58:02.896 --> 00:58:04.177]  To spread the word.
[00:58:04.197 --> 00:58:16.006]  I really think at this point that groundswell from the bottom up and local up is really what's going to make a change because it's not going to come from Washington.
[00:58:16.026 --> 00:58:19.288]  It's not going to come from the UK Parliament.
[00:58:19.989 --> 00:58:21.030]  It's going to come from us.
[00:58:21.988 --> 00:58:24.812]  Well, Nomi, we've only got a few minutes left here.
[00:58:24.832 --> 00:58:26.895]  NomiPrinz.com is the website.
[00:58:26.915 --> 00:58:31.562]  People will want to learn more, but looking at this, clearly the establishment knows they've done this.
[00:58:31.622 --> 00:58:33.245]  It's been a consolidation plan.
[00:58:33.706 --> 00:58:37.371]  They're training the military for domestic operations in Europe, England, the U.S.
[00:58:38.152 --> 00:58:40.094]  They now admit it's for the American people.
[00:58:40.154 --> 00:58:41.195]  It's for the British people.
[00:58:41.235 --> 00:58:44.477]  They now admit they're setting up classical spy systems.
[00:58:45.338 --> 00:58:49.722]  I guess they think that they can rob the whole economy, wreck it, but they don't care.
[00:58:49.762 --> 00:58:50.883]  They want to be in charge of it.
[00:58:51.303 --> 00:58:54.105]  You know, king of the garbage pile or whatever.
[00:58:54.586 --> 00:58:55.666]  They think they'll get away with it.
[00:58:55.787 --> 00:58:58.149]  And now they're trying to sell this idea
[00:58:58.969 --> 00:59:03.673]  Of, oh my gosh, the rich people are exempt from taxes, Warren Buffett and others.
[00:59:04.013 --> 00:59:07.576]  But then you go find out they actually wrote the loopholes to be exempt.
[00:59:08.077 --> 00:59:18.185]  They just want to raise taxes on the middle class, calling them rich, to get more of that money to transfer it to themselves and banker bailouts and city and county and state investments.
[00:59:18.745 --> 00:59:24.970]  And because there is a little bit of nuance and minutia there, again, some of the public's buying into it.
[00:59:25.370 --> 00:59:26.351]  A lot of them don't.
[00:59:26.391 --> 00:59:28.153]  But I mean, I look at Austin, Texas.
[00:59:28.573 --> 00:59:53.632]  Formula one hundred plus million dollars in tax incentives the city's giving a millions of dollars this guy's buying his daughter you know the biggest house in the US gave her three million dollars as a gift and that's great if that's three billion dollars he made inventing something but it's not you find out all over the world he's basically a gangster he pays taxes nowhere and a lot of times the city council's
[00:59:54.392 --> 01:00:00.736]  Sell out just so they can get a box and stand there with, you know, their hats on and fancy outfits.
[01:00:01.056 --> 01:00:03.317]  They just sell out to be around celebrities.
[01:00:03.357 --> 01:00:13.603]  I mean, it's amazing how counties, cities, states, billion-dollar sports stadiums for Jerry Jones paid for by the taxpayers.
[01:00:14.903 --> 01:00:20.146]  All the big corporations where I live are basically tax-exempt, but I've got 30-plus employees.
[01:00:22.242 --> 01:00:22.983]  I'm not exempt.
[01:00:23.503 --> 01:00:28.727]  I've got the highest taxes you can get, because I'm not some guy making $50 million, a billion dollars a year.
[01:00:28.747 --> 01:00:35.352]  I mean, it's all targeting real entrepreneurs, and nothing is on the backs of these mega-rich.
[01:00:35.493 --> 01:00:44.760]  And it's so frustrating to them to then see, I'm ranting because I'm so angry, to then see them scapegoat and blame middle class for it.
[01:00:45.939 --> 01:01:09.552]  Yeah, well, one of the things, and this is along the lines of what you're saying, that I read recently, is that the IRS is looking to, you know, expand and crack down, they call it, cracking down on tax evaders, and they're looking at people who are in the sort of upper level of middle class, which is really nothing compared to any of the people that you're talking about, or, you know, that basically just run small businesses.
[01:01:12.594 --> 01:01:15.757]  It's fascism, it's cronyism, it's stealing, it's downright pillaging, it's just
[01:01:41.458 --> 01:01:45.681]  Um, ultimately not healthy for an economy, it's healthy for the people who are entitled.
[01:01:45.942 --> 01:01:47.983]  But it's like you said, it is so conscious.
[01:01:48.023 --> 01:01:49.564]  I've seen this for like five years.
[01:01:50.025 --> 01:01:56.650]  Every year articles come out as they cut more and more of the fraud investigators at the IRS and the SEC and all of it.
[01:01:57.010 --> 01:02:03.195]  Then you find out the head of these groups are run by Corzine's former deputies and they've cut almost all
[01:02:03.995 --> 01:02:04.095]  Yes!
[01:02:04.115 --> 01:02:04.215]  Yes!
[01:02:34.356 --> 01:02:34.916]  It's a kleptocracy.
[01:02:34.936 --> 01:02:35.857]  It is government by criminals.
[01:02:36.117 --> 01:02:40.040]  It is, it is, it's, it's, um, bullyism.
[01:02:40.201 --> 01:02:47.327]  It's, it's, it's, it's, it's, it's federal bullyism because you're basically taking people that, um, and I know what you're talking about.
[01:02:47.407 --> 01:03:00.778]  I, I, I have, you know, truck drivers who write to me and, um, yeah, documentary filmmaker, you know, people who, who literally work all the time, save their receipts, you know, make 40 to 70,000 a year, have most of that in legitimate expenses.
[01:03:01.198 --> 01:03:01.539]  It's not
[01:03:18.368 --> 01:03:21.670]  Again, healthy for a long-term economy.
[01:03:21.710 --> 01:03:46.887]  And what happens is by not connecting the dots on these things, and they are connectable, you know, whether it is taxing the wrong people, or auditing the wrong people, or the ones that really just don't have anything extra to talk about, have legitimate expenses, and don't really have the time to deal with hiring, you know, fancy audit companies like these banks do, to figure out ways around the loopholes they're creating, to get to the next set of loopholes they can create.
[01:03:47.567 --> 01:04:16.504]  And that combines with banks being funded by governments with whether it's cheap loans or subsidies to accumulate more banks, whether it's private equity or investment company CEOs like John Corzine getting a free pass on taking money from his customers, whether it's not really having any regulation on these institutions and saying at a State of the Union address as Obama did last week that somehow this problem is curtailed, that regulators used to not be good at their jobs
[01:04:16.844 --> 01:04:18.586]  I'm paraphrasing, but now they are.
[01:04:18.887 --> 01:04:32.883]  All of this is part of the bigger problem, and the bigger problem is that there is a powerful group of people that run things that extract money unfairly, criminally,
[01:04:33.203 --> 01:04:34.464]  And who are above the law.
[01:04:35.484 --> 01:04:38.786]  And that's what's creepy, is that they're truly above the law.
[01:04:38.806 --> 01:04:50.273]  I mean, Corzine lied to Congress, and so the arrogance, the bravado, whatever you want to call it, is now going supernova.
[01:04:50.373 --> 01:04:54.335]  It is a meltdown, and I guess they say pride go before a fall.
[01:04:54.435 --> 01:05:00.019]  In closing, thank you so much for joining us here at the end of the first month of 2012.
[01:05:00.939 --> 01:05:02.180]  Tell us about your new novel.
[01:05:03.511 --> 01:05:18.998]  Well, Black Tuesday actually looked at, it's a historical novel, it's about a young woman who gets involved in seeing a lot of the fraud that's happening into the 29 crash, with no economic background, you know, just literally trying to help her family survive, gets involved with the bankers.
[01:05:19.038 --> 01:05:28.822]  And in writing the book, I looked at a lot of the historical headlines and things that were happening back at the time, leading up to 1929, and you would be just amazed at how many similar things happened
[01:05:29.242 --> 01:05:29.603]  Thank you.
[01:05:35.231 --> 01:05:50.340]  Interesting characters that are based on or that are the real bankers at the time, but really it shows that the book's really about a woman who finds herself in the middle of it all and finds herself having to fight back and the struggle in doing that.
[01:05:50.460 --> 01:05:52.141]  So it was a book close to my heart.
[01:05:52.161 --> 01:05:53.401]  I hope people like it.
[01:05:53.481 --> 01:05:59.525]  It's a way of looking at history without, you know, being bombarded with just the facts and sort of getting swept into the story, but
[01:06:00.285 --> 01:06:02.625]  Seeing the parallels as well at the same time.
[01:06:02.646 --> 01:06:06.266]  Well, it's a great book, and it's also a great idea.
[01:06:06.306 --> 01:06:19.029]  You've written a bunch of non-fiction books to then write a historical novel, because as you know, sometimes artists, researchers, journalists can tell a story even better in a quasi-fiction, and people will listen to it.
[01:06:19.049 --> 01:06:27.030]  You know, I use movie analogies a lot on the radio, because that's something that I've found people can really click with and understand.
[01:06:27.610 --> 01:06:29.691]  Nomi Prince, thank you so much for spending time with us.
[01:06:30.211 --> 01:06:31.152]  Thank you so much, Alex.
[01:06:31.972 --> 01:06:35.534]  All right, ladies and gentlemen, that was an in-depth, 40-minute interview.
[01:06:35.554 --> 01:06:38.035]  It's hard to talk to that lady for just a few minutes.
[01:06:38.455 --> 01:06:41.196]  So much knowledge, and we're all in this together.
[01:06:41.457 --> 01:06:49.360]  These tyrants think they can shut down our free speech, they think they can play us off against each other, they think they can use the complexity of finance to expose their fraud.
[01:06:49.821 --> 01:06:50.361]  Not anymore.
[01:06:50.401 --> 01:06:58.605]  People know the Federal Reserve is private, they know the ECB represents private interest in Europe, and they know that the very criminals that have engineered our economic
[01:06:58.905 --> 01:07:04.088]  Problems are now posing as our saviors and creating a monopoly out of our pain.
[01:07:04.549 --> 01:07:05.389]  It is us or them.
[01:07:06.290 --> 01:07:15.016]  And you better use the Internet now while it's still free to a certain extent and use the Internet to fight for its continued freedom because the system's hitting the panic button.
[01:07:15.036 --> 01:07:20.439]  They're coming in trying to censor right now because they know that the people are getting organized.
[01:07:20.859 --> 01:07:25.823]  They know the alternative media is growing legs and really developing.
[01:07:26.824 --> 01:07:34.471]  And they know that the people are getting together across political lines, whether it's the TSA, or illegal wars, or torture, or banksters.
[01:07:34.751 --> 01:07:36.993]  And it's not about black or white, old or young.
[01:07:38.135 --> 01:07:41.378]  It's not about Christian, Muslim, Jewish, Hindu, any of this.
[01:07:41.678 --> 01:07:43.179]  It's about freedom versus slavery.
[01:07:43.460 --> 01:07:45.742]  And humanity is really starting to come together.
[01:07:46.022 --> 01:07:49.726]  And that's scaring the ruling elite, who've gotten where they are through fraud.
[01:07:50.406 --> 01:07:53.310]  And it's going to be their greediness that's going to undo them.
[01:07:53.570 --> 01:08:00.338]  They already ran the world, but they had to wreck everybody's lives under them, I guess just to dominate us.
[01:08:00.819 --> 01:08:03.522]  And it's in that pushing too far that they're going to fail.
[01:08:03.802 --> 01:08:06.626]  Great job to the crew, great job to Aaron Dyches with the news earlier.
[01:08:06.846 --> 01:08:10.110]  We've got a big special report coming up tomorrow.
[01:08:10.670 --> 01:08:11.610]  We're good to go.
[01:08:36.280 --> 01:08:42.936]  Tomorrow, that we run in December and January every year, 44% off a yearly membership at PrisonPlanet.tv.
[01:08:43.398 --> 01:08:44.099]  God bless you all.
[01:08:44.119 --> 01:08:44.861]  See you back tomorrow night.
