[00:00:28.664 --> 00:00:29.485]  I'm Aaron Dykes.
[00:54:47.478 --> 00:54:49.719]  And then we'll announce the winners one week later.
[00:54:50.580 --> 00:54:52.681]  Are you going to join the InfoWar?
[00:54:53.302 --> 00:54:54.623]  Do you have what it takes?
[00:54:54.643 --> 00:54:56.424]  It's up to you.
[00:54:58.820 --> 00:55:02.221]  All serious entries will be posted on Infowars.com.
[00:55:02.961 --> 00:55:03.842]  So everybody wins.
[00:55:04.582 --> 00:55:07.923]  You're getting the message of liberty out, and that's what really matters.
[00:55:08.683 --> 00:55:12.185]  But in the final equation, it's not about showing Alex Jones what you got.
[00:55:12.585 --> 00:55:19.507]  It's about showing the world and the globalist that no army can stop an idea whose time has come.
[00:55:20.387 --> 00:55:22.248]  Join me in the Infowar.
[00:55:27.964 --> 00:55:30.265]  So you say you want to fight the Info War.
[00:55:31.106 --> 00:55:33.827]  You say you want to go head up against the New World Order.
[00:55:34.587 --> 00:55:36.368]  You can do a better job than Alex Jones?
[00:55:37.408 --> 00:55:38.209]  I know you can.
[00:56:11.850 --> 00:56:16.534]  Welcome back to this Wednesday edition of InfoWars Nightly News.
[00:56:17.054 --> 00:56:19.757]  This is a very important interview we're about to do.
[00:56:19.817 --> 00:56:26.122]  In fact, in the nine months of the Nightly News, this is probably the most important interview we've done to date.
[00:56:26.442 --> 00:56:26.682]  Why?
[00:56:27.557 --> 00:56:36.281]  Because the woman we're about to talk to is a survivor of a very serious false flag criminal attack.
[00:56:36.642 --> 00:56:40.784]  And of course that is the bombing of the Alfred P. Murrah building on April 19th, 1995.
[00:56:41.564 --> 00:56:45.066]  And of course the anniversary is tomorrow.
[00:56:45.786 --> 00:56:52.330]  That's why we're doing the show here tonight, but I intend to air this interview tomorrow on the radio to the three million daily listeners.
[00:56:53.086 --> 00:56:54.567]  Because it is so important.
[00:56:54.607 --> 00:57:00.630]  Jane Graham's testimony, she was the head of the HUD department in the Alfred P. Murrow building that day.
[00:57:01.310 --> 00:57:02.571]  And she lost a lot of friends.
[00:57:03.051 --> 00:57:04.292]  And of course she was injured.
[00:57:05.072 --> 00:57:10.935]  And her testimony ties together with the testimony of police officers and others.
[00:57:11.636 --> 00:57:13.497]  And is completely damning.
[00:57:13.877 --> 00:57:16.999]  She is a star witness in all of this.
[00:57:17.719 --> 00:57:25.565]  There were other eyewitnesses, people like Terrence Yakey, who was police officer of the year, and saved people inside that saw some of the things she saw.
[00:57:25.865 --> 00:57:28.147]  He was told, if you don't shut up, we're going to kill you.
[00:57:28.627 --> 00:57:29.528]  And they did kill him.
[00:57:29.788 --> 00:57:30.628]  He was tortured to death.
[00:57:30.949 --> 00:57:40.896]  Then there's police officers like Don Browning, who on my show, right here, have said that the FBI came in and told him, you and your wife are going to be killed if you don't shut up.
[00:57:40.956 --> 00:57:42.157]  He was the head of the K-9 unit.
[00:57:42.517 --> 00:57:43.558]  He was the sergeant in charge.
[00:57:43.598 --> 00:57:44.579]  He was there minutes after.
[00:57:45.279 --> 00:57:46.460]  These are eyewitnesses.
[00:57:46.500 --> 00:57:51.143]  So people have died and been threatened to bring you this information.
[00:57:51.183 --> 00:57:53.564]  So this lady has a lot of courage.
[00:57:54.004 --> 00:57:59.167]  It was about a year ago that I interviewed her last, and she said, I think this is going to be one of my last interviews.
[00:57:59.227 --> 00:58:05.551]  And I've twisted her arm to come back here, but she's told me this is probably the last interview she'll ever do.
[00:58:05.631 --> 00:58:11.795]  And she's joined, of course, via video Skype with the director of the film, James Lane.
[00:58:12.515 --> 00:58:13.837]  And of course, the film is Noble Lie.
[00:58:14.117 --> 00:58:16.640]  Great to have you guys here with us this evening.
[00:58:16.680 --> 00:58:18.422]  A very important interview, as I just said.
[00:58:19.223 --> 00:58:24.330]  James, introduce those who may not know who the little lady is sitting next to you.
[00:58:25.171 --> 00:58:29.235]  Jane Graham here is one of the survivors of the Oklahoma City bombing on April 19, 1995.
[00:58:31.236 --> 00:58:41.746]  She was actually at a training session that morning when the explosive went off, and she was gracious enough to be interviewed in the documentary, and we're really grateful to have her here today.
[00:58:41.766 --> 00:58:42.967]  Thank you, thank you.
[00:58:44.248 --> 00:58:45.529]  Where do you guys want to start?
[00:58:45.589 --> 00:58:47.851]  I mean, this is an important final interview.
[00:58:47.871 --> 00:58:49.012]  How about
[00:58:51.164 --> 00:58:52.446]  Why were you in the film?
[00:58:52.967 --> 00:58:54.949]  Why do you think the film, A Noble Lie, is important?
[00:58:54.969 --> 00:58:58.354]  And then briefly recapping the basics of what you witnessed.
[00:58:59.796 --> 00:59:02.559]  Well, I think I should start.
[00:59:03.806 --> 00:59:28.860]  Two weeks prior to the bombing because I had gone down to the snack bar in the building and I had gone in for coffee and sitting there and then in one of the booths and then across from me in another booth were two ladies that were sitting there drinking coffee and one of the ladies
[00:59:30.017 --> 00:59:55.717]  was telling her friend that she would talk to someone in the FBI office at 50 Penn Place that they had gotten a that their friend told her that they had received a fax saying that there was going to be a bombing of a federal building in Oklahoma City and she took that and gave that to
[00:59:58.157 --> 00:59:59.118]  to her boss.
[01:00:09.557 --> 01:00:12.259]  God, you know, surely they wouldn't bomb 50 Penn Place.
[01:00:12.299 --> 01:00:14.540]  That's the public, you know, it's not a government building.
[01:00:14.680 --> 01:00:17.822]  But I was concerned at the time about it.
[01:00:17.922 --> 01:00:21.344]  So I went home and I told my husband about it.
[01:00:22.265 --> 01:00:29.009]  And I said, you know, I can't believe that, you know, that they're not terribly concerned over this.
[01:00:29.449 --> 01:00:32.131]  And they said for her not to worry about it, they'd take care of it.
[01:00:32.791 --> 01:00:33.512]  They were aware of it.
[01:00:35.014 --> 01:00:36.635]  I didn't think any more about that.
[01:00:37.575 --> 01:00:57.682]  And then, the Friday before the bombing, when I drove to work, I had a reserved parking space, which was on the first level down, where you could get out and go directly into the elevators, and then go up to the floors, to the ground floor, or onto your offices.
[01:00:58.322 --> 01:00:59.463]  And when I arrived there,
[01:01:00.871 --> 01:01:04.873]  I saw three men who were standing there.
[01:01:06.034 --> 01:01:08.375]  They were behind a station wagon.
[01:01:08.395 --> 01:01:17.359]  It reminded me of the Ford station wagon, the large one that used to have the wood on it.
[01:01:19.800 --> 01:01:33.884]  I thought, they're parked in a reserved parking space and as I recall, the car was, the station wagon was kind of a light green color and it was really dirty all over.
[01:01:34.564 --> 01:01:38.285]  You couldn't see the plates good, everything, because it was just real dirt all over it.
[01:01:39.325 --> 01:01:54.295]  And again, that struck me as odd, but the men were standing there and one of the gentlemen had a large look-like plans of the building, and he was pointing in the direction of the northeast and the southeast of the building.
[01:01:55.156 --> 01:01:58.738]  And there was another gentleman standing there with him.
[01:01:59.218 --> 01:02:03.281]  Both of those men were dressed in jeans, short-sleeved shirts.
[01:02:03.721 --> 01:02:05.423]  They were about, I would say, probably 5'9", 5'10".
[01:02:09.285 --> 01:02:13.807]  Very muscular, obviously very good athlete.
[01:02:14.087 --> 01:02:16.428]  Someone said to me, what did you think they were?
[01:02:16.448 --> 01:02:22.831]  And I said, if I were going to give, I would say military, a surveyor.
[01:02:23.591 --> 01:02:35.936]  Those were the things that if I were having to describe them, I really thought for a minute that maybe they were there because we had had some gas odors previously and then telephone problems, which
[01:02:36.556 --> 01:02:39.339]  You know, they've had people come in and deal with them.
[01:02:40.520 --> 01:02:41.400]  But I was watching them.
[01:02:41.420 --> 01:02:49.788]  And then there was a man there, the other gentleman beside him, who was taking directions from the man who seemed to be in charge.
[01:02:50.649 --> 01:02:53.011]  And he was the one with the plans.
[01:02:55.333 --> 01:03:18.188]  He had a paper sack and he had some wiring which looks like a telephone wiring and that was another reason that I thought perhaps that they were with the telephone company and I went to, I just kind of watched them as I was standing there and moving slowly forward and there was another gentleman there and he was
[01:03:19.168 --> 01:03:36.695]  He had black pants, black cowboy boots, black hat, I can remember, and he had the band on his cowboy hat, had a silver metallic round part placed inside.
[01:03:37.696 --> 01:03:47.339]  And as he was watching me, he was very good looking, his hair came down to his collar, and very dark hair, very straight eyebrows.
[01:03:49.082 --> 01:03:49.543]  I don't know.
[01:03:59.608 --> 01:04:00.749]  I wasn't sure what it was.
[01:04:00.809 --> 01:04:01.650]  It looked like putty.
[01:04:02.551 --> 01:04:11.860]  And the gentleman who looked to be in charge told him, put that back and he put that and he put the wiring back into the paper sack.
[01:04:12.340 --> 01:04:21.028]  Then he closed that and then he went over to the door behind the driver's seat and put that inside there and then came back to stand.
[01:04:21.449 --> 01:04:22.229]  And at that point,
[01:04:23.050 --> 01:04:39.436]  The gentleman who I had seen there that was standing there, who I later identified as Andrew Strassmauer, he walked over to the north side of the wall and had a cigarette over there, and then he came back.
[01:04:40.037 --> 01:04:45.139]  But all three of them at that time were watching me, and I thought, well, I'll say something
[01:04:46.079 --> 01:04:51.620]  Later to GSA because I had a meeting that morning and I had a class to go to.
[01:04:52.080 --> 01:04:55.521]  So I went on in the building and I really got busy.
[01:04:55.541 --> 01:04:57.582]  I didn't think anymore about it at the time.
[01:04:59.902 --> 01:05:11.025]  I went on up to my office and just didn't think about that issue on that Friday.
[01:05:11.425 --> 01:05:21.331]  Let me interject a question here, Jane, just to condense and recap this bombshell information that's, a lot of it has been corroborated by others over time and all these connections.
[01:05:21.351 --> 01:05:26.974]  A couple weeks before, you hear women saying, yeah, the FBI says there's going to be a federal building get bombed.
[01:05:27.314 --> 01:05:30.176]  That's later come out in court documents that they had, quote, had the threats.
[01:05:31.096 --> 01:05:36.399]  As the system, those that actually carried out the false flag, were beginning to create that false history.
[01:05:37.059 --> 01:05:37.320]  Then,
[01:05:39.248 --> 01:05:44.431]  Before the bombing, you see these individuals, and I guess woman's intuition, you can see guys with a purpose.
[01:05:44.451 --> 01:05:45.992]  I mean, these are bombers.
[01:05:46.752 --> 01:05:51.635]  I mean, what was it about them that made you stop and pay attention?
[01:05:51.655 --> 01:05:53.356]  Was it just woman's intuition?
[01:05:53.436 --> 01:05:57.918]  I mean, I'm just trying to guess, why were you paying attention to these people?
[01:05:57.978 --> 01:06:02.061]  It's kind of a side issue, but since I brought it up, what was your exact position there at HUD?
[01:06:03.161 --> 01:06:13.530]  I was a multi, at that point, I was a multifamily specialist dealing with apartment complexes, anything having to do with multifamily housing.
[01:06:14.490 --> 01:06:18.614]  And I was also, at that time, head of the homeless program.
[01:06:18.634 --> 01:06:24.118]  And I was the regional vice president of AFGE.
[01:06:24.158 --> 01:06:28.722]  Sure, because that information is important background.
[01:06:28.742 --> 01:06:30.883]  And again, what floor were you on?
[01:06:31.807 --> 01:06:33.569]  Actually, I was on the seventh floor.
[01:06:33.589 --> 01:06:40.114]  That's where my union office was, and that's also where my office space was for my job.
[01:06:40.574 --> 01:06:42.396]  Okay, so give us the dates.
[01:06:42.476 --> 01:06:47.780]  It was a few weeks before that you heard the woman talking about the FBI says a federal building is going to be bombed in Oklahoma City.
[01:06:48.741 --> 01:06:50.322]  What was the date again that you saw?
[01:06:50.842 --> 01:06:54.565]  That was two weeks before the bombing.
[01:06:56.627 --> 01:06:57.007]  Yes, yes.
[01:06:57.027 --> 01:06:58.968]  So a few weeks before you heard the woman say that.
[01:06:59.348 --> 01:06:59.668]  Yes.
[01:07:00.189 --> 01:07:01.649]  But what was the date of?
[01:07:01.669 --> 01:07:04.171]  The Friday before the bombing.
[01:07:04.691 --> 01:07:08.393]  On the night, the Friday before the 19th.
[01:07:08.593 --> 01:07:10.714]  That's when I drove in and I saw these men.
[01:07:11.889 --> 01:07:29.617]  The reason I was curious about them was that the parking spot in which they were in is a reserved parking spot, and I knew the cars that normally parked there, and that was not one of them.
[01:07:30.277 --> 01:07:33.960]  And since they were behind that car, I wondered why they were there.
[01:07:34.180 --> 01:07:41.346]  And then I was curious, just curious, because they were talking, they had that sack, they had the plans, they were looking.
[01:07:41.366 --> 01:07:46.630]  I even contemplated at one point, maybe thinking about just going over and said, can I help you?
[01:07:46.650 --> 01:07:47.631]  And I thought, no, I'm late.
[01:07:47.811 --> 01:07:51.454]  I'm running behind and I need to get upstairs.
[01:07:51.754 --> 01:07:55.778]  And so and then, you know, you get that feeling when they don't want to talk to you.
[01:07:55.798 --> 01:07:58.400]  You don't want to figure you better go on and just mind your own business.
[01:07:58.940 --> 01:08:05.267]  One of the major significant points of this is that she later identified one of those people in the basement as Andrea Strassmeier.
[01:08:05.728 --> 01:08:14.157]  Andrea Strassmeier is actually, he's a suspected government informant because he was working with the Texas Light Infantry.
[01:08:14.917 --> 01:08:15.738]  I don't know.
[01:08:34.451 --> 01:08:34.771]  I don't know.
[01:08:56.997 --> 01:08:59.099]  It's not a lack of evidence, it's too much evidence.
[01:08:59.659 --> 01:09:11.410]  It later came out in memos via lawsuits, thanks to Jesse Trinidad and other lawyers, that the Southern Poverty Law Center had informants at the very top of Elohim City, this white supremacist command center.
[01:09:11.670 --> 01:09:23.280]  You've got Strassmayer, who's the son of a prominent German, who's over here, and we know how our government likes to use Germans for dirty work, and it just goes on and on and on from there.
[01:09:23.971 --> 01:09:28.632]  Yeah, we actually interviewed someone from Elohim City for the documentary, Josiah Stone.
[01:09:28.752 --> 01:09:35.533]  He identifies McVeigh being there at the compound at the same time that Stroessmeier was basically head of security.
[01:09:36.533 --> 01:09:41.654]  And then we have people like Hal Turner, who I said for 10 years was a Fed, admitted now Fed, white supremacist leader.
[01:09:42.054 --> 01:09:46.595]  We have the white supremacist caught being led by the FBI in Orlando.
[01:09:47.055 --> 01:09:48.115]  That's Orlando Sentinel.
[01:09:48.775 --> 01:09:53.176]  I mean, it's not that the FBI is infiltrating these white supremacists, they're running them.
[01:09:53.556 --> 01:09:53.756]  Yes.
[01:09:54.337 --> 01:10:05.407]  Yes, and Andres Strassmayer, after the bombing, was whisked out of the country through Mexico via his attorney, Kirk Lyons, and the FBI called him on the telephone and asked him if he was involved.
[01:10:05.427 --> 01:10:06.808]  That was the extent of their interview with him.
[01:10:07.509 --> 01:10:19.032]  The vehicle that you're describing in the basement actually matches a description of the vehicle that Andrea Strassmeier was driving, where he'd actually been pulled over, and then they get a call to say, let him go.
[01:10:19.312 --> 01:10:19.552]  Yes.
[01:10:20.152 --> 01:10:21.072]  Yes, that's correct.
[01:10:21.692 --> 01:10:32.955]  And they were told not to search his luggage, to let him go through, do not detain him for any purposes, and it was interesting, too, that
[01:10:35.801 --> 01:10:41.164]  Andrew Strasmire's father was a good friend of the President.
[01:10:42.404 --> 01:10:47.386]  And so they had a lot of strings that they could pull and attach to get him out of this country.
[01:10:49.447 --> 01:11:00.472]  But there were more people involved, and I tried, Beze Lawton and I tried desperately to get a stay of execution because we wanted McVeigh as a witness.
[01:11:01.252 --> 01:11:01.452]  Yes.
[01:11:18.831 --> 01:11:21.252]  Uh, camouflage pants and top.
[01:11:21.873 --> 01:11:27.795]  Uh, he'd get off on the floor where the military was based, uh, and go in and see the recruiters and all.
[01:11:28.416 --> 01:11:29.996]  Uh, he never spoke to anyone.
[01:11:30.056 --> 01:11:39.080]  He always was very solemn as, you know, he looked around and I bet that kind of left because everybody always says hello to everybody.
[01:11:39.841 --> 01:11:46.764]  And I said, well, I said, if he's new here in this building, I said, he's not going to fit in too well with, with the rest of the people.
[01:11:48.160 --> 01:11:48.700]  Incredible.
[01:11:48.760 --> 01:11:52.882]  You know, we can get caught in all the different, it's not even minutiae, but all the parts of this.
[01:11:54.462 --> 01:11:58.424]  Jane Graham, you're, you know, you're here speaking out for the upteenth time today.
[01:11:58.864 --> 01:12:01.164]  Why, why should people be concerned?
[01:12:01.625 --> 01:12:07.427]  And then before we went on air, you were saying that, you know, basically, this is one of your last interviews.
[01:12:07.467 --> 01:12:09.147]  It's time for the population to get involved.
[01:12:09.427 --> 01:12:14.069]  In your own words, what do you want to say to the millions of people that are watching this and listening to it?
[01:12:15.891 --> 01:12:20.094]  The main thing I'd like to tell everybody is pay attention.
[01:12:20.414 --> 01:12:24.658]  Do not believe that the government is your friend.
[01:12:25.598 --> 01:12:32.443]  What they are doing and what I feel and I honestly believe, if you research it, you will find that I am right.
[01:12:32.764 --> 01:12:40.930]  And that is every time they try to get a law passed through Congress, which takes away some of your rights,
[01:12:41.650 --> 01:12:53.398]  They institute some action, some creation, some diversion that is significant enough to get the legislation through.
[01:12:53.418 --> 01:12:57.862]  At that time, you looked at the Patriot Act.
[01:12:57.922 --> 01:13:01.404]  They were really trying to get through gun control.
[01:13:03.105 --> 01:13:13.572]  They are altering the way that you are being allowed to pick and choose what you feel is the best thing for your own life.
[01:13:13.833 --> 01:13:18.736]  Your individual rights are being taken away and it's frightening.
[01:13:19.409 --> 01:13:33.356]  In fact, more and more, in the last four years, you are finding that you are not able to, the government is taking more charge of what you're allowed to do.
[01:13:33.736 --> 01:13:40.579]  Your children, what you can say you cannot say, what they are telling you you're allowed to do, you're not allowed to do.
[01:13:42.420 --> 01:13:56.110]  And they're infringing, they are no longer recognizing, especially I think under President Obama, they're no longer recognizing the Constitution and the courts
[01:13:57.253 --> 01:14:00.655]  I don't believe there is such a thing anymore as the justice system.
[01:14:01.596 --> 01:14:03.477]  They are all bought and paid for.
[01:14:03.637 --> 01:14:04.458]  They all know.
[01:14:05.418 --> 01:14:07.760]  They want their way done.
[01:14:07.860 --> 01:14:09.240]  They threaten you.
[01:14:09.641 --> 01:14:14.324]  They can do whatever they please with no impunity.
[01:14:15.905 --> 01:14:16.885]  They are allowed
[01:14:18.286 --> 01:14:29.050]  To just take orders only from the very top, and it's an example if you just look every day in the paper, you see more and more.
[01:14:29.371 --> 01:14:37.414]  Your speech is being affected, what you can talk about, what you can say, what you can own, have.
[01:14:37.714 --> 01:14:42.356]  And this is why we say, you know, 17 years tomorrow, why is the truth still important?
[01:14:42.376 --> 01:14:44.017]  People are like, you know, why don't you let this go?
[01:14:44.397 --> 01:14:48.999]  Because the people that were involved in the cover-up of this are still in positions of power today.
[01:14:49.039 --> 01:14:51.400]  I mean, look at Eric Holder with the Fast and Furious.
[01:14:51.420 --> 01:15:00.863]  You have over 2,000 people that have died in that event alone, and it's come out in the mainstream press that the ATF is saying that they're going to utilize this event to enact further gun control legislation.
[01:15:01.203 --> 01:15:04.005]  Why is it hard to believe that they would do something with 168 people?
[01:15:05.205 --> 01:15:07.186]  You know, I mean, they're just become more blatant about it.
[01:15:07.486 --> 01:15:12.188]  And exposing this type of crime, holding these people accountable, I believe actually saves lives.
[01:15:12.968 --> 01:15:14.729]  Well, that's another, sorry, go ahead.
[01:15:15.469 --> 01:15:31.715]  Well, I was just going to say, I have always maintained that not only did the government know about this bombing ahead of time, the actual, there are other things leading up to that too, but the actual morning of the bombing,
[01:15:32.615 --> 01:15:50.815]  Um, when I came into work and was dropped off at the front door, there was a man in a suit there that had, um, two individuals who had ATF raid jackets on, and I thought how strange that they would be standing out in front of the building talking like
[01:15:51.676 --> 01:16:17.327]  There's nothing going on and they're supposed to be and all the times the years I was there I have never seen one ever with the red jacket on and didn't even recognize that what it was until I found out later from someone that that indicates that there is something going down in that building and they have to dress so that they can be identifiable readily and in the parking lot across the street that day
[01:16:18.027 --> 01:16:23.655]  There were cars there from Arizona, Colorado, New Mexico.
[01:16:23.675 --> 01:16:24.977]  It was amazing!
[01:16:27.179 --> 01:16:34.963]  That they had all of these other cars there that generally were not there from out of state.
[01:16:35.043 --> 01:16:36.964]  Yeah, and their stories changed back and forth.
[01:16:36.984 --> 01:16:45.689]  They were at a golf tournament, they were at this, but yet the ATF is outside the building that morning, identified by Jane Graham and other witnesses, and not a single ATF agent died in the building.
[01:16:45.809 --> 01:16:46.509]  They weren't in the building.
[01:16:46.549 --> 01:16:46.969]  They weren't.
[01:16:47.270 --> 01:16:51.592]  And there was witnesses that overheard them saying, is this why we got Paige to not come in this morning?
[01:16:52.068 --> 01:16:52.748]  That's right.
[01:16:52.869 --> 01:16:55.970]  We should point out they had, what, an entire floor, didn't they?
[01:16:56.851 --> 01:16:57.851]  Most, yes, most.
[01:16:57.931 --> 01:17:01.413]  And that was actually where some of the greater damage was.
[01:17:01.794 --> 01:17:05.276]  There was ordnance inside there, there was explosives, there were weapons.
[01:17:05.316 --> 01:17:06.496]  They claimed that they didn't exist.
[01:17:06.797 --> 01:17:12.060]  And we show in A Noble Lie, we actually have footage of them taking out C4 and weapons out of the building.
[01:17:12.160 --> 01:17:17.603]  And you have the governor, you have the governor before he got the talking point admitting they'd removed the bombs, and the bomb squad.
[01:17:17.643 --> 01:17:20.605]  And just to be clear for people that are new to this information,
[01:17:21.658 --> 01:17:26.101]  The ATF, you know, basically had to threaten people, hey, bandage us up.
[01:17:26.141 --> 01:17:29.082]  And they're like, well, you're not, you're not hurt.
[01:17:29.542 --> 01:17:31.684]  And those people, you know, end up dead, basically.
[01:17:31.964 --> 01:17:36.626]  So this is why Terrence Yakey, who was cop of the year for saving people, he saw this and started speaking out.
[01:17:36.686 --> 01:17:37.327]  They killed him.
[01:17:37.347 --> 01:17:42.189]  And then we have other police officers who were there as well, like Mr. Browning.
[01:17:42.770 --> 01:17:46.292]  And the FBI comes to him repeatedly and says, we're going to kill you and your wife.
[01:17:47.012 --> 01:17:47.492]  Shut up!
[01:17:49.232 --> 01:17:52.993]  And he's in your film, A Noble Lie, that I should add is available at InfoWars.com.
[01:17:53.273 --> 01:17:55.094]  But the point here is, this is life and death.
[01:17:55.694 --> 01:17:59.395]  I've been death-threaded just as a talk show host covering this.
[01:17:59.935 --> 01:18:06.296]  I get death-threaded so much I pretty much ignore it, but these are death-threads where they tell you what's going on in your house, they tell you who you've been talking to.
[01:18:06.776 --> 01:18:08.737]  I want to ask Jane if she's had any threats.
[01:18:08.757 --> 01:18:12.337]  I know Hoppy Heidelberg has, where they come to his house and basically point guns at him.
[01:18:12.697 --> 01:18:15.758]  I mean, that's how you know this stuff is so incredibly real.
[01:18:16.318 --> 01:18:20.881]  Again, the ATF we know blew up a rider truck months before in a test.
[01:18:20.981 --> 01:18:22.081]  That's even been on the news.
[01:18:22.621 --> 01:18:25.043]  We know the feds have confiscated all the surveillance tapes.
[01:18:25.463 --> 01:18:32.967]  I mean, it's so nightmarish that the feds could come and pick a building with a daycare, because most don't have daycares, and pick it
[01:18:33.467 --> 01:18:37.772]  And we know that's probably why McVeigh, well according to Nichols and others, got so mad.
[01:18:38.133 --> 01:18:43.860]  He's like, it's one thing to blow up some feds to get a police state and to shut down states' rights, but you're going to blow kids up.
[01:18:44.261 --> 01:18:46.163]  It's like kind of Tony Montana and Scarface.
[01:18:46.523 --> 01:18:48.065]  He'll kill people, but not little kids.
[01:18:49.326 --> 01:18:55.188]  I mean, it just shows, and then you have one of the top FBI guys lying and saying he was in Dallas.
[01:18:55.488 --> 01:18:56.908]  Turns out he was there the night before.
[01:18:56.948 --> 01:18:57.708]  We have the receipts.
[01:18:58.528 --> 01:19:03.870]  And then you've got the Deputy Attorney General's own memos where he's, we've got to cover this up, get down to Oklahoma.
[01:19:04.310 --> 01:19:06.951]  And now he's the Attorney General and he ships guns to Mexico.
[01:19:07.211 --> 01:19:09.571]  And the memo comes out to blame the Second Amendment.
[01:19:10.151 --> 01:19:15.873]  And they admit it's killed 2,000 in Mexico, hundreds in the U.S., three police officers, three border patrol.
[01:19:16.813 --> 01:19:19.994]  I mean, this is a false flag right there with Operation Fast and Furious.
[01:19:20.034 --> 01:19:23.135]  I know I'm ranting, but my God, this is so obvious.
[01:19:23.576 --> 01:19:24.636]  Jane, what do you say to that?
[01:19:24.656 --> 01:19:27.057]  I agree with you.
[01:19:27.477 --> 01:19:28.737]  You know, I do agree.
[01:19:28.918 --> 01:19:42.242]  It's frightening that the government is allowed to use the power to do and enact anything that they want in order to achieve power.
[01:19:42.483 --> 01:19:45.664]  And I really, you know, it's all about power and rights.
[01:19:47.809 --> 01:19:56.441]  If you are concerned, if a person is not concerned about their individual rights, then God help this country.
[01:19:57.102 --> 01:20:00.567]  It's just unbelievable.
[01:20:00.687 --> 01:20:02.109]  There is so much
[01:20:02.870 --> 01:20:12.054]  There is so much now that the government is doing to take care of everybody for free in order to get their votes.
[01:20:12.355 --> 01:20:19.198]  And you know, if you're getting free money out there, if you're getting everything free and you're not working for anything,
[01:20:20.118 --> 01:20:22.902]  And I'm not talking about people who can't find a job.
[01:20:22.982 --> 01:20:24.364]  I'm not talking about that.
[01:20:24.824 --> 01:20:27.187]  We have real problems in this country.
[01:20:27.468 --> 01:20:34.957]  We have problems, a lot of it, and a real concern is the police, the FBI.
[01:20:35.197 --> 01:20:42.162]  The FBI, CIA, the people who are in control and what they are doing.
[01:20:42.362 --> 01:20:45.725]  This is not something that has just come about overnight.
[01:20:45.745 --> 01:20:48.407]  This has been well planned, well thought out.
[01:20:49.348 --> 01:20:51.909]  After the bombing, people can go back and look.
[01:20:52.210 --> 01:20:59.655]  The first thing Clinton said was this was a terrorist attack, well orchestrated.
[01:21:00.256 --> 01:21:02.877]  Janet Reno was on there talking about it.
[01:21:05.800 --> 01:21:14.008]  And then right after that, it wasn't, it wasn't, but the same day, and they're saying, no, no, there was just a couple of individuals.
[01:21:14.068 --> 01:21:17.151]  It went from one to the militia first, then the individuals.
[01:21:17.491 --> 01:21:19.073]  They were blaming everybody.
[01:21:19.093 --> 01:21:19.754]  Talk radio!
[01:21:21.400 --> 01:21:27.506]  Yeah, but the problem is, what about the government and what about their liability?
[01:21:27.866 --> 01:21:37.495]  You know, we tried a lawsuit, we filed that against the government, and we have tried various things.
[01:21:38.618 --> 01:21:55.155]  And my concern also is that when you do things like that, it does put you out there, I think, in the public and they all say, Oh, well, you know, I had people I worked with for years and they said, Oh, God, you know,
[01:21:56.116 --> 01:22:00.178]  Uh, the government would never ever do anything like that where there's children.
[01:22:00.218 --> 01:22:01.939]  I said, get real.
[01:22:02.139 --> 01:22:04.240]  I said, this is about power.
[01:22:04.300 --> 01:22:06.481]  This is about taking away your rights.
[01:22:07.261 --> 01:22:10.322]  And I said, you know, I was very fortunate.
[01:22:10.542 --> 01:22:13.383]  I grew up in a house where my father was
[01:22:15.485 --> 01:22:22.852]  A union man, he was an executive in Chicago, and he said, listen, nobody gives you anything for nothing.
[01:22:23.353 --> 01:22:28.738]  He said, not only that, he said, watch what you say, look what the government does.
[01:22:29.098 --> 01:22:31.501]  He said, you know, you better be careful.
[01:22:31.561 --> 01:22:33.042]  Look at it from every angle.
[01:22:33.263 --> 01:22:36.286]  Don't just believe something because somebody tells you that.
[01:22:37.151 --> 01:22:43.194]  And so, you know, I grew up wary of just hearing and believing what somebody is telling me.
[01:22:43.595 --> 01:22:45.336]  But people would say to me, I worked.
[01:22:45.536 --> 01:22:46.416]  Well, that's a lie.
[01:22:46.456 --> 01:22:46.997]  They would never.
[01:22:47.097 --> 01:22:48.517]  I said, yeah, yeah, they would.
[01:22:48.597 --> 01:22:53.660]  Power is a very big ego trip for anybody.
[01:22:53.880 --> 01:22:58.083]  And, you know, Janet Reno was out there saying, you try to get information.
[01:22:58.463 --> 01:22:59.063]  What happened?
[01:22:59.464 --> 01:23:00.924]  They they went out and they
[01:23:02.458 --> 01:23:07.381]  They stamped everything, you know, that it was national security.
[01:23:07.761 --> 01:23:10.583]  Once it gets that stamp on it, you can't go in and look at it.
[01:23:10.623 --> 01:23:11.784]  And let's expand on that.
[01:23:11.804 --> 01:23:15.806]  I mean, you guys are the real experts on this.
[01:23:15.866 --> 01:23:16.507]  I've gone over it.
[01:23:16.527 --> 01:23:17.307]  It's in the film.
[01:23:17.788 --> 01:23:21.770]  But James, how many video cameras, because I have a copy of the L.A.
[01:23:21.810 --> 01:23:28.814]  Times and Washington Times, where valiant FBI agents, this is a decade ago now, went public and said, yeah, we've seen the tapes.
[01:23:29.395 --> 01:23:30.275]  It's John O. No.
[01:23:30.295 --> 01:23:30.816]  2 and other men.
[01:23:32.469 --> 01:23:33.792]  The tapes weren't erased.
