[00:00:21.972 --> 00:00:23.478]  Welcome to M4 Wars Nightly News.
[01:01:07.687 --> 01:01:09.447]  It's Infowars Moneybomb 2012.
[01:01:09.647 --> 01:01:11.388]  48 hours to change the world.
[01:01:18.976 --> 01:01:29.639]  Infowarsmoneybomb.com to read our mission and to see the amazing roster of guests we've got lined up sharing their insights on liberty and resistance to tyranny.
[01:01:29.919 --> 01:01:38.261]  I got involved in radio and TV as well as filmmaking 17 years ago because I didn't like the direction I saw our country and our world going in.
[01:01:38.681 --> 01:01:44.262]  The attacks on basic freedoms like the Second Amendment, the move towards collectivism in the nanny state.
[01:01:44.862 --> 01:01:56.710]  And over the last decade and a half, Infowars.com and my radio show and the films have become really part of the core resistance to tyranny worldwide.
[01:01:57.511 --> 01:02:12.601]  It seems like yesterday, but it was more than five years ago that I was sitting in my small office of about 3,000 square feet and realized that we were already reaching millions of people a week and that we had a responsibility to expand our operations in the face of the globalists.
[01:02:12.961 --> 01:02:18.066]  It was listeners five years ago that demanded we have a money bomb and expand our operations.
[01:02:18.967 --> 01:02:22.611]  We've gone from less than 10 crew members to more than 50 today.
[01:02:23.151 --> 01:02:26.054]  Five years ago, I was reaching about 3 million people a week.
[01:02:26.575 --> 01:02:28.717]  Now it's 15 million a week, conservatively.
[01:02:29.357 --> 01:02:36.604]  Imagine what will happen if you just tell one person a day about InfoWars.com or our news reports that are online.
[01:02:37.265 --> 01:02:49.111]  Imagine what will happen if you donate just $5 or $10 to Infowarsmoneybomb.com and allow us to go to the next level and put the nightly news out on free-to-air satellite worldwide.
[01:02:49.791 --> 01:02:51.792]  No, that one action won't save the world.
[01:02:52.472 --> 01:03:05.601]  But it will trigger brush fires in the minds of men and women everywhere that will bring down the globalist and restore humanity on the right path of justice and liberty and a level playing field.
[01:03:05.821 --> 01:03:06.641]  We have a choice.
[01:03:06.801 --> 01:03:11.565]  The globalist dark age of control freak technocracy or 1776 worldwide.
[01:03:13.866 --> 01:03:21.632]  This October 18th and 19th, from Thursday morning right through into Saturday morning, it's InfoWars Money Bomb 2012.
[01:03:23.093 --> 01:03:24.675]  48 hours to change the world.
[01:03:25.055 --> 01:03:32.141]  I'll see you live with the free video and audio streams emanating from PrisonPlanet.com and InfoWars.com.
[01:03:32.581 --> 01:03:36.324]  I'm Alex Jones, defending liberty, resisting tyranny.
