[00:00:00.129 --> 00:00:02.313]  Coast, direct from Austin.
[00:47:32.643 --> 00:47:50.389]  When you wake up in the morning and the light has hurt your head The first thing you do when you get up out of bed Is hit that street surrounding and try to meet the masses And go get yourself some cheap sunglasses
[00:47:53.257 --> 00:47:55.098]  We are back live, ladies and gentlemen.
[00:47:55.578 --> 00:47:59.001]  For the balance of the hour, we're going to be joined by Lyndon LaRouche here in a moment.
[00:48:00.081 --> 00:48:03.863]  If you don't know who he is, look into who he really is, not who the media says he is.
[00:48:04.044 --> 00:48:07.646]  Very interesting person with an amazing historical perspective.
[00:48:08.426 --> 00:48:09.907]  And I hear he's got a birthday.
[00:48:09.967 --> 00:48:11.368]  Has he already had it or is it tomorrow?
[00:48:11.388 --> 00:48:13.469]  We're going to find out from the man himself.
[00:48:13.509 --> 00:48:16.531]  I guess I could go to Wikipedia and find out, but so much of what they say is wrong.
[00:48:16.891 --> 00:48:19.213]  We're going to be having Lyndon LaRouche on here in just a moment.
[00:48:20.133 --> 00:48:24.118]  Uh, from his offices, uh, to break down what's happening in the world.
[00:48:24.178 --> 00:48:25.179]  And here's just an example.
[00:48:25.640 --> 00:48:28.904]  UN armed intervention may be necessary in Syria.
[00:48:29.504 --> 00:48:31.807]  That is a official UN press release.
[00:48:32.901 --> 00:48:34.502]  Well, there already is armed intervention.
[00:48:34.842 --> 00:48:38.885]  The West has been sending in Al-Qaeda and others, and that is now admitted.
[00:48:39.585 --> 00:48:45.008]  What we told you eight months ago, when the latest thing started, we told you a year and a half ago, the Libya thing started as a pretext.
[00:48:45.689 --> 00:48:51.072]  And now Iran is sending elite troops to aid al-Assad's regime in Syria.
[00:48:51.112 --> 00:48:55.114]  That's the London Telegraph, and that's official out of Iran as well.
[00:48:56.175 --> 00:49:00.197]  So this is a full-blown proxy war, ladies and gentlemen.
[00:49:02.952 --> 00:49:04.633]  Barak hints the U.S.
[00:49:04.653 --> 00:49:06.793]  would join Israel in Iran strike.
[00:49:07.834 --> 00:49:11.635]  We share the challenge through our timetables are not the same.
[00:49:11.675 --> 00:49:15.816]  The defense minister says a pre-Rosh Hashanah political event.
[00:49:15.896 --> 00:49:26.240]  Defense Minister Ehud Barak appeared to hint last night that he believed the United States would join Israel in a strike on Iran to prevent the Islamic Republic from obtaining nuclear weapons.
[00:49:27.160 --> 00:49:28.401]  So it's all moving towards that.
[00:49:28.481 --> 00:49:30.181]  Israel says differences remain between U.S.
[00:49:30.221 --> 00:49:30.782]  and Iran.
[00:49:31.402 --> 00:49:32.362]  That's Fox News.
[00:49:33.123 --> 00:49:34.903]  Canada closes embassy in Iran.
[00:49:34.943 --> 00:49:35.924]  That's a big sign.
[00:49:36.624 --> 00:49:43.567]  Intelligence committee chair describes explosive confrontation between Netanyahu and American ambassador, complete with yelling and screaming at each other.
[00:49:43.587 --> 00:49:45.228]  Venezuela grabs U.S.
[00:49:45.268 --> 00:49:46.448]  ships, saying it has arms.
[00:49:46.908 --> 00:49:47.589]  That's Forbes.
[00:49:48.009 --> 00:49:50.470]  The point is, things are going into hyper gear.
[00:49:51.150 --> 00:49:59.402]  Obama's talking about signing a executive order right now to go ahead and have the Pentagon take over the Internet.
[00:49:59.442 --> 00:50:02.606]  Even CBS News says it's draconian, anti-free speech.
[00:50:02.646 --> 00:50:04.709]  I mean, when they're saying that, you know you're in trouble.
[00:50:05.894 --> 00:50:10.016]  In the backdrop, Europe has been downgraded by Moody's to negative outlook.
[00:50:10.036 --> 00:50:14.899]  They're coming out with a super bond that'll just put people more into debt to the oligarch banks.
[00:50:15.719 --> 00:50:19.321]  All of this is happening, and that's why we've got Lyndon LaRouche joining us.
[00:50:20.902 --> 00:50:27.105]  Because, well, he was called by, you can look this up, I remember hearing this a couple years ago, looked it up, it was in the Washington Post, it was true.
[00:50:27.945 --> 00:50:34.010]  The CIA director back in the 80s called him, you know, the best intelligence, private intelligence operation in the world.
[00:50:34.231 --> 00:50:37.373]  National Security Council members said similar things.
[00:50:37.633 --> 00:50:42.638]  He used to land for weekly meetings himself by helicopter at the CIA command center.
[00:50:43.138 --> 00:50:49.263]  You know, Ronald Reagan read his information and people got jealous George Herbert Walker and had him set up and put in prison.
[00:50:51.874 --> 00:50:55.196]  I mean, just amazing the type of stuff that they do.
[00:50:55.216 --> 00:51:01.680]  And it doesn't mean that I agree with all of Lyndon LaRouche's solutions, but his historical perspective is dead on.
[00:51:02.100 --> 00:51:10.706]  And the more I learn in my own research, the more I learn how right he is, which has become a big media event, that Jones is a LaRouchian, and what I am is a seeker of truth.
[00:51:11.406 --> 00:51:12.547]  That's what I'm seeking out.
[00:51:14.088 --> 00:51:15.509]  And that's why he's here with us.
[00:51:16.249 --> 00:51:18.591]  Sir, I hear that you are just about 90 years old.
[00:51:18.631 --> 00:51:21.152]  If you count nine months in your mother's womb, I guess over 90.
[00:51:21.472 --> 00:51:24.514]  But I tell you, you don't look a day above 75.
[00:51:24.554 --> 00:51:26.816]  What's your secret to longevity?
[00:51:27.576 --> 00:51:27.957]  I don't know.
[00:51:28.017 --> 00:51:32.960]  Maybe there's some virtue there somewhere or some reward for something I had done or not done.
[00:51:33.840 --> 00:51:35.281]  I just enjoy doing what I do.
[00:51:35.481 --> 00:51:38.223]  I feel committed to what I'm doing.
[00:51:38.423 --> 00:51:39.644]  What is your birthday?
[00:51:39.684 --> 00:51:40.425]  Is it today or tomorrow?
[00:51:40.445 --> 00:51:40.785]  Tomorrow.
[00:51:40.865 --> 00:51:41.305]  It's tomorrow.
[00:51:41.585 --> 00:51:43.907]  Wow, so you'll be 90 years old on September 8th.
[00:51:43.927 --> 00:51:43.987]  Yep.
[00:51:46.587 --> 00:51:47.568]  Well, happy birthday!
[00:51:48.189 --> 00:51:48.550]  Thank you.
[00:51:49.010 --> 00:51:51.934]  No one can say that you've sat around on your hind end for 90 years.
[00:51:52.696 --> 00:51:52.876]  No.
[00:51:54.798 --> 00:51:56.341]  A lot of other places, but not that.
[00:51:58.007 --> 00:51:58.367]  Wow.
[00:51:59.608 --> 00:52:01.388]  Let's get into world events first.
[00:52:01.408 --> 00:52:07.251]  I do want to speak a little bit about Lyndon LaRouche today and also open the phones up at the bottom of the hour for people that have questions or comments for you.
[00:52:07.631 --> 00:52:10.492]  But I mean, I just read over just a snapshot of news today.
[00:52:10.512 --> 00:52:15.254]  I mean, I see the world lining up like we saw before the first two world wars.
[00:52:15.574 --> 00:52:22.196]  Am I wrong intellectually, historically, but also in my gut, feeling the serious tremors in the force?
[00:52:23.177 --> 00:52:26.358]  I think there are only two major sources of threat.
[00:52:27.732 --> 00:52:33.775]  One is the British monarchy, and the other is the British monarchy's puppet, which is Obama.
[00:52:34.815 --> 00:52:52.143]  The situation is that, as the Joint Chiefs of Staff of the United States have shown, they understand that any war that breaks out now, such as in the Middle East or elsewhere, will be a thermonuclear war.
[00:52:53.499 --> 00:53:08.347]  There may be other minor things and conflicts which are going on, but any time the force comes in, and someone says we're going to start the attack, it's going to be a full global attack, and it's going to be thermonuclear.
[00:53:09.427 --> 00:53:21.694]  And the question is, will anybody survive eventually, not merely out of the war, because you forget the Soviet or Russian and Chinese capabilities, which are very significant.
[00:53:22.836 --> 00:53:28.040]  And against the United States and Britain and something from France, which is the other side.
[00:53:29.141 --> 00:53:34.586]  And these forces are going to go at against each other on a thermonuclear basis from the get-go.
[00:53:35.847 --> 00:53:41.712]  And that means that our submarines, our major submarines, are going to launch in their time.
[00:53:42.392 --> 00:53:45.535]  It's going to be a full launch, probably one or two rounds.
[00:53:46.415 --> 00:53:48.477]  Maybe within an hour and a half, it's all over.
[00:53:49.298 --> 00:53:50.619]  And the world looks pretty dead.
[00:53:51.374 --> 00:54:00.501]  So we're at a point where the idea of simple war, a war breaking out, or incidents leading to war, is not going to happen.
[00:54:01.361 --> 00:54:11.108]  What's happened is Russia and China have made a very firm commitment not to start a war, but to defend against it.
[00:54:12.269 --> 00:54:14.911]  Most people in the United States want no part of this.
[00:54:15.771 --> 00:54:19.274]  The only person really behind it is the President, Obama.
[00:54:20.373 --> 00:54:25.598]  And Obama's with the Queen, but most of the people in Britain are not for this nonsense either.
[00:54:26.499 --> 00:54:30.203]  So we're on the verge of the worst kind of warfare one could imagine.
[00:54:30.990 --> 00:54:35.492]  Which would break out very suddenly, with very little warning on any part.
[00:54:36.273 --> 00:54:38.354]  Certain services, such as the U.S.
[00:54:38.374 --> 00:54:41.415]  services, would understand and know that this is going on immediately.
[00:54:41.675 --> 00:54:48.238]  Let me stop you there, sir, because what you're saying is obviously right on target, but people may not understand.
[00:54:48.298 --> 00:54:55.302]  The last two Chairman of the Joint Chiefs, the last three heads of CENTCOM, as you know, people can look this up, journalists can look this up.
[00:54:55.982 --> 00:55:00.065]  Have refused to attack Iran saying it would bring in China and Russia.
[00:55:26.442 --> 00:55:28.283]  I'm not sure the word mutiny is the right term.
[00:55:44.770 --> 00:55:52.333]  The point is because nothing that the Joint Chiefs and others are doing to that effect is a violation of anything on their part.
[00:55:52.573 --> 00:55:53.754]  Sherman, that's the wrong term.
[00:55:53.854 --> 00:55:56.235]  It's a sanity call.
[00:55:58.436 --> 00:55:59.356]  What would you call it then?
[00:56:00.336 --> 00:56:06.539]  The point is, if you're going to throw this president out of office, even though he's just been nominated, I don't think it's going to stick.
[00:56:07.299 --> 00:56:09.342]  And he's not in a winning position right now.
[00:56:09.542 --> 00:56:21.857]  But what does it mean inside the government, where you have so many connections, to have the chairman of the Joint Chiefs come out and say something countervailing what the president and certain sectors of Israel are pushing?
[00:56:22.378 --> 00:56:26.521]  Yeah, but the Joint Chiefs are operating within their powers of government.
[00:56:26.961 --> 00:56:30.263]  And the President doesn't dare challenge that directly.
[00:56:30.864 --> 00:56:35.287]  Because the President is not a popular President.
[00:56:35.827 --> 00:56:37.929]  Am I right to say that it's seismic, though?
[00:56:37.969 --> 00:56:42.211]  I mean, how big of a deal is it to have the Chairman of the Joint Chiefs come out, say that, and it gets almost no press?
[00:56:42.832 --> 00:56:47.235]  Are you talking about, if you're a member of the Joint Chiefs, and you're a patriot as I am,
[00:56:47.748 --> 00:56:51.590]  You're not going to play games, guessing games or anything with this policy.
[00:56:51.950 --> 00:56:59.514]  We know that any major war that breaks out on this planet will be a thermonuclear war.
[00:57:00.347 --> 00:57:02.488]  There are no minor wars possible.
[00:57:02.908 --> 00:57:07.409]  You cannot have a continuation of the war with the Middle East at all.
[00:57:07.869 --> 00:57:11.510]  Any such war will lead to thermonuclear war immediately.
[00:57:12.010 --> 00:57:16.211]  And that means that within about an hour and a half, most of the world is dead.
[00:57:16.771 --> 00:57:19.272]  No sane head of government will launch it.
[00:57:19.672 --> 00:57:23.353]  But I think there are some people who are not so sane, including our current president.
[00:57:23.533 --> 00:57:29.054]  But don't assume that with all the bulla bulla that he's going to win this election.
[00:57:30.367 --> 00:57:32.328]  Right now he's running as a loser.
[00:57:32.869 --> 00:57:37.172]  Not because the other guys are smart, but because he is so bad.
[00:57:37.992 --> 00:57:41.614]  And he's losing anything resembling friends and supporters at a rapid rate.
[00:57:42.214 --> 00:57:46.397]  Again, you have a lot of connections inside the Pentagon, CIA, you name it.
[00:57:46.417 --> 00:57:58.523]  I want to get their take on where this is going, other October surprises that this regime could pull, and how we do avert kicking off a wider war in the Middle East.
[00:57:59.064 --> 00:58:00.965]  The big proxy war is already on.
[00:58:02.970 --> 00:58:09.453]  The worst drought in 50 years continues, and the first six months of 2012 marks the hottest half year on record.
[00:58:09.473 --> 00:58:11.893]  78% of the Midwest corn belt is in drought conditions.
[00:58:12.074 --> 00:58:17.175]  Not only corn, but soy, alfalfa, fruits, vegetables, and wheat are all impacted, raising prices.
[00:58:17.456 --> 00:58:22.197]  The cost to feed livestock is forcing farmers and ranchers out of business, blowing up your food prices.
[00:58:22.437 --> 00:58:29.820]  The only strategy to counter this is to freeze your food costs at today's prices by getting your own supply of foods or meat foods direct now.
[00:58:30.080 --> 00:58:31.681]  As the price of raw ingredients increases,
[00:58:31.681 --> 00:58:32.521]  We're good.
[00:58:52.333 --> 00:58:57.394]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[00:58:57.414 --> 00:58:58.735]  Start purifying your water.
[00:59:09.718 --> 00:59:10.438]  With ProPure.
[00:59:10.638 --> 00:59:16.180]  My friends, I've done a lot of research, and the best gravity filter out there, bar none, is ProPure.
[00:59:16.360 --> 00:59:19.620]  And it's available discounted at Infowars.com.
[00:59:19.740 --> 00:59:22.961]  Its filters are silver impregnated to prevent bacterial growth.
[00:59:23.201 --> 00:59:24.622]  There's no priming required.
[00:59:24.862 --> 00:59:26.922]  It's NSF-42 certified.
[00:59:27.142 --> 00:59:29.643]  Optional fluoride filters can reduce fluoride up to 95%.
[00:59:30.723 --> 00:59:32.083]  Easy to set up and use.
[00:59:32.243 --> 00:59:33.564]  Doesn't require electricity.
[00:59:33.664 --> 00:59:36.524]  Purify water from lakes, streams, ponds, and wells.
[00:59:36.824 --> 00:59:40.005]  This filter system leaves in beneficial minerals, which is key.
[00:59:40.205 --> 00:59:41.965]  Save money by not buying bottled water.
[00:59:42.125 --> 00:59:44.226]  And avoid BPA that leaches from the plastic.
[00:59:44.346 --> 00:59:46.946]  ProPure is the best gravity-fed filter out there.
[00:59:47.086 --> 00:59:48.426]  It's what my family uses.
[00:59:48.666 --> 00:59:51.867]  Infowars.com already has the lowest price on ProPure.
[00:59:51.987 --> 00:59:57.268]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[00:59:57.808 --> 01:00:00.370]  You can also call to order.
[01:00:00.390 --> 01:00:01.991]  888-253-3139.
[01:00:03.852 --> 01:00:05.013]  Coast to Coast.
[01:00:05.393 --> 01:00:06.774]  Direct from Austin.
[01:00:07.455 --> 01:00:15.040]  You're listening to the Alex Jones Broadcasting Network.
[01:00:17.682 --> 01:00:25.468]  Down on the sacks!
[01:00:30.815 --> 01:00:32.096]  There's Jimmy Vaughn, my good buddy.
[01:00:34.598 --> 01:00:36.379]  I was at a great little party with him last time.
[01:00:36.399 --> 01:00:38.240]  He was playing for only about 40 people.
[01:00:38.521 --> 01:00:38.981]  Amazing.
[01:00:39.721 --> 01:00:43.865]  You know, I hope we don't have a nuclear war so I can still go out and hear people like Jimmy Vaughn play.
[01:00:43.885 --> 01:00:46.086]  Yeah, down with Big Brother.
[01:00:46.106 --> 01:00:53.212]  Alright, going back now to Lennon LaRouge, who's with us for the balance of the hour.
[01:00:53.252 --> 01:00:54.073]  Very honored to have him.
[01:00:54.853 --> 01:01:03.435]  The toll-free number to join us, if you've got any questions or comments for him, coming up in the next segment, this is a short segment, long segment coming up, are 800-259-9231.
[01:01:03.495 --> 01:01:08.017]  First-time callers for Lyndon LaRouche, 800-259-9231.
[01:01:08.677 --> 01:01:14.278]  Lyndon, again, with all of your sources, I remember you were on a couple years ago and you said it was building up to this.
[01:01:14.298 --> 01:01:15.219]  Now we're here.
[01:01:16.899 --> 01:01:19.340]  The power structure that thinks it can have this war
[01:01:20.040 --> 01:01:24.903]  That's trying to overthrow Russia with proxy groups and political groups, the George Soros types.
[01:01:26.143 --> 01:01:27.184]  What do they think they're doing?
[01:01:27.204 --> 01:01:34.567]  Because then I have neocon groups come out and say, I'm bad and anti-American because I don't want to have war and I'm not supporting Obama.
[01:01:35.088 --> 01:01:39.350]  So it's elements of the conservative groups and the so-called Obama people.
[01:01:40.070 --> 01:01:41.091]  I mean, I'm bad.
[01:01:41.111 --> 01:01:43.072]  You're bad because we don't want to have a giant.
[01:01:43.732 --> 01:01:49.855]  War that even the top military in the news said will probably lead to a war with Russia or China?
[01:01:50.115 --> 01:01:52.457]  I mean, how are we bad for not wanting World War III?
[01:01:52.477 --> 01:02:00.101]  The point is, I think that the powers that be really do not intend to have a thermonuclear war.
[01:02:00.581 --> 01:02:09.486]  They intend to have a limited kind of conflict, hope that they can break up resistance and take over and then kill people.
[01:02:10.126 --> 01:02:16.191]  Now the best way to kill people is being done in the United States by those interests who have shut off the food supply.
[01:02:16.652 --> 01:02:29.442]  Those who are insisting, like this president, on cutting out food consumption in an area where we are running short of the food necessary to meet people and he's trying to turn it into gasoline or something of that sort.
[01:02:30.603 --> 01:02:49.576]  It's the attempt to use bluff, threats, even terrible threats, exemplary cruelties, these kinds of things, trying to break the will of nation after nation, the way we unconstitutionally got into a war in Libya, which was a violation of our constitution.
[01:02:49.856 --> 01:02:56.281]  And it's that wear and tear process, working on people's nerves and trying to drive them, intimidate them, and so forth.
[01:02:56.521 --> 01:02:59.783]  And the problem we have here, as you see it in the election campaign,
[01:03:00.183 --> 01:03:02.986]  Now, Obama is not winning the election right now.
[01:03:03.267 --> 01:03:05.049]  That way, I don't know what's going to happen in the future.
[01:03:05.089 --> 01:03:05.930]  That's a different matter.
[01:03:06.170 --> 01:03:07.812]  The game is the bluff.
[01:03:08.152 --> 01:03:09.033]  Intimidation.
[01:03:09.053 --> 01:03:12.197]  The daily, weekly murders this president is doing.
[01:03:12.397 --> 01:03:14.780]  Without any constitutional authorization for it.
[01:03:15.020 --> 01:03:17.140]  We have the evidence to throw him out of office.
[01:03:17.541 --> 01:03:21.742]  We have a weakness on the Republican side on this thing as well as the problems on the Democratic side.
[01:03:21.762 --> 01:03:28.243]  Well, as you point out, Congressman Jones from North Carolina has introduced the legislation to begin the impeachment.
[01:03:28.323 --> 01:03:34.464]  Obama says that NATO and other groups command our military and that Congress should just sit down and shut up.
[01:03:34.704 --> 01:03:39.846]  Well, I think the truth of the matter is that there are some of us in the United States who are influential.
[01:03:39.926 --> 01:03:41.866]  As you know, there are a limited number of
[01:03:41.986 --> 01:03:49.453]  People who are really influential in the sense that they can push things in a direction which is, say, positive or the other way.
[01:03:50.054 --> 01:03:51.155]  It's a limited number of people.
[01:03:51.175 --> 01:03:54.899]  The rest of them tend to follow pressures put upon them.
[01:03:55.419 --> 01:03:59.984]  And I think we're at the point that the really responsible layers in the United States
[01:04:00.644 --> 01:04:02.947]  Apart from the very much frightened and quiet one.
[01:04:03.127 --> 01:04:07.993]  Remember, the poverty of our people, the suffering of our people, has gone beyond anything.
[01:04:08.013 --> 01:04:10.876]  This is worse than the last, you know, Great Depression.
[01:04:11.136 --> 01:04:15.081]  And our people are suffering this, under this president in particular.
[01:04:15.521 --> 01:04:24.746]  I mean, deliberate action by him in cutting down the food supply in order to make more gasoline in order to starve farmers and others to death.
[01:04:25.026 --> 01:04:27.147]  That's the kind of thing you're dealing with right now.
[01:04:27.427 --> 01:04:37.553]  And if we get our act together as a nation, together with other nations who you may not like, but will cooperate with us on this, that cooperation can settle this matter.
[01:04:37.753 --> 01:04:41.975]  The problem is we haven't gotten that organized well enough together right now.
[01:04:42.435 --> 01:04:42.875]  Amazing.
[01:04:42.895 --> 01:04:51.577]  Lyndon LaRouche is our guest and you can also visit their website larouchepac.com or also larouchepub.com.
[01:04:51.597 --> 01:04:54.798]  Lyndon LaRouche will be with us on the other side to take phone calls.
[01:04:54.878 --> 01:04:58.658]  Before we do that, I want to ask him what else is front and center on his radar.
[01:04:58.699 --> 01:05:00.659]  I've got some articles from their site I want to go over.
[01:05:01.159 --> 01:05:04.500]  And I want to look at the economy in more detail.
[01:05:04.840 --> 01:05:10.021]  The state of the economy, what's happening with the Euro, where he sees the dollar going straight ahead.
[01:05:12.361 --> 01:05:15.746]  For thousands of years, silver has been used as both a medicine and a preservative.
[01:05:16.026 --> 01:05:17.488]  But not all silver is equal.
[01:05:17.789 --> 01:05:24.238]  SilverSol is an amazing new technology that has been clinically shown to be several hundred times more effective than colloid or ionic silvers.
[01:05:24.538 --> 01:05:27.943]  It can destroy thousands of times more pathogens than older silver technology.
[01:05:28.263 --> 01:05:35.772]  Silversol resonates at the same frequency as dermicidal light used in labs to kill bacteria and viruses, enabling it to kill without direct contact.
[01:05:36.112 --> 01:05:42.860]  Silversol is a broad-spectrum microbial that creates no resistance and does not harm beneficial bacteria, making it ideal for daily use.
[01:05:43.220 --> 01:05:48.822]  It can be used internally as well as topically and is highly effective against viruses, bacterias, molds, and yeasts.
[01:05:48.862 --> 01:05:54.924]  With threats like West Nile virus, colds, flus, or any other emergency situation, arm yourself with Supernatural Silver.
[01:05:55.404 --> 01:06:00.966]  Silver Sol liquid and gel are perfect for on-the-go emergency preparedness and can provide protection at home, school, or work.
[01:06:01.326 --> 01:06:04.507]  Go to SupernaturalSilver.com and be prepared for any emergency.
[01:06:04.907 --> 01:06:07.288]  Remember the promo code Alex says for 20% off.
[01:06:07.948 --> 01:06:11.649]  That's www.SupernaturalSilver.com and like us on Facebook.
[01:06:20.825 --> 01:06:26.911]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[01:06:28.212 --> 01:06:38.042]  Well, he turns nigh to morrow, Lyndon LaRouche.
[01:06:40.686 --> 01:06:43.671]  And he is with us on the line right now.
[01:06:43.712 --> 01:06:45.334]  Your phone calls are coming up.
[01:06:46.236 --> 01:06:50.704]  Lyndon, finishing up with all of your contacts in the Defense Department.
[01:06:51.798 --> 01:06:53.359]  In the CIA, everywhere else.
[01:06:53.399 --> 01:06:56.340]  Again, even the Washington Post admits you have amazing contacts.
[01:06:56.760 --> 01:07:00.562]  And you were here over a year ago saying that the military didn't want to do this.
[01:07:01.102 --> 01:07:04.203]  And so much of what you've talked about has now come out in mainstream media.
[01:07:04.543 --> 01:07:18.329]  So tell us what else is going on from your contacts that we're not aware of, that we don't know about, that's happening inside of the power structure.
[01:07:19.110 --> 01:07:26.992]  Well, let's take the things that don't get discussed one way or the other, at least not in a significant way.
[01:07:27.012 --> 01:07:29.392]  Let's take the case of Curiosity.
[01:07:30.412 --> 01:07:37.314]  We launched a successful flight of this instrument to Mars.
[01:07:38.474 --> 01:07:41.675]  And that may seem just like something very spectacular.
[01:07:41.795 --> 01:07:44.575]  It got a lot of support from people, a lot of sympathy.
[01:07:45.396 --> 01:07:47.596]  It was done in defiance of Obama.
[01:07:48.803 --> 01:07:49.483]  That's important.
[01:07:49.943 --> 01:07:51.323]  Now, the issue here is this.
[01:07:52.824 --> 01:07:59.985]  The problems we're talking about on politics are not so much the real issues for the long term.
[01:08:00.005 --> 01:08:06.706]  The great danger that we're facing is the danger from rocks in space.
[01:08:07.746 --> 01:08:10.107]  Now, this issue has been around for a long time.
[01:08:10.787 --> 01:08:17.988]  Edward Teller, the famous Edward Teller, now deceased, was a key sponsor of this effort to deal with this problem.
[01:08:18.917 --> 01:08:21.640]  It is an actual serious threat to mankind.
[01:08:22.440 --> 01:08:34.772]  Now, we have over periods of time, we have these giant rocks hitting different parts of the planet and taking out areas such as the equivalent of entire city areas, metropolitan cities, things like that.
[01:08:35.653 --> 01:08:43.560]  But once in a while, you get in the history of mankind, not in terms of living history of mankind, but of the territory, you get a one big rock
[01:08:44.580 --> 01:08:49.786]  It's the Earth, and everybody on Earth dies, or everything on Earth tends to die.
[01:08:49.806 --> 01:08:51.408]  It may come back later.
[01:08:52.168 --> 01:09:01.639]  So we're now at a point where the key issue before us in terms of defense of nations is the defense of Earth from these rocks.
[01:09:02.560 --> 01:09:05.903]  And the increase of the danger of that source is notable.
[01:09:06.781 --> 01:09:08.702]  So therefore we've got to do something about it.
[01:09:08.782 --> 01:09:29.553]  And what happened was, by putting this thing over the President's strongest objections, to put this thing on Mars, on Curiosity, on Mars, we set into place an absolutely indispensable mechanism by which at the speed of light, which is the communication between us and Mars,
[01:09:30.481 --> 01:09:43.172]  We can determine things and make decisions and to plan actions which will enable us now to realize what Edward Teller tried to deal with while he was still alive.
[01:09:43.693 --> 01:09:49.237]  The danger of rocks from the area of Jupiter down into so forth.
[01:09:49.258 --> 01:09:49.858]  Well, that's right.
[01:09:50.399 --> 01:09:56.284]  When they saw Shoemaker-Levy crash into one of the gas giants and they did calculations, they know now that every
[01:09:56.704 --> 01:10:04.465]  A few thousand years we get hit by big rocks, every hundred or thousand or so we get hit by these big mega rocks, every million or so ones that kill most life on the planet.
[01:10:05.045 --> 01:10:19.188]  And it just shows that the, why does the current ruling elite, because we've had corrupt elites before, but they wanted to build things, they wanted to advance things, they wanted to, I mean even old colonialism, depending on the variant, did some good.
[01:10:19.248 --> 01:10:23.149]  Overall it was bad, but now I see things like the new Obama,
[01:10:26.410 --> 01:10:46.526]  2012 film with Dinesh D'Souza coming out and he's there, you know, saying Obama is a anti-colonialist, that's why he wants to destroy the West, but really he's one of these British monarchy monopoly globalists that is actually trying to destroy the old hearts of empire.
[01:10:47.307 --> 01:10:54.213]  They're in a type of Malthusian de-evolution program against the old nation states.
[01:10:54.933 --> 01:10:58.837]  I would quantify that by the British monarchy's quantification.
[01:10:59.318 --> 01:11:06.545]  Reduce the human population presently estimated in the range of 7 billion persons to 1 billion persons in a short order.
[01:11:07.186 --> 01:11:08.427]  And that's the British policy.
[01:11:08.948 --> 01:11:10.910]  That's the policy of Obama.
[01:11:11.811 --> 01:11:14.193]  He hasn't put it in exactly those terms, but that's what it is.
[01:11:14.614 --> 01:11:15.195]  What has he done?
[01:11:15.255 --> 01:11:17.317]  We don't have production of food anymore.
[01:11:18.024 --> 01:11:23.908]  We are destroying food supplies as they're being produced by turning them into, you know, chemical fuels.
[01:11:24.588 --> 01:11:29.172]  So we are actually in a process of a small group of people, really.
[01:11:29.632 --> 01:11:31.093]  It's not a big crowd.
[01:11:31.373 --> 01:11:32.694]  It's a small group of people.
[01:11:33.214 --> 01:11:35.216]  But our people have been so crushed
[01:11:36.115 --> 01:11:38.296]  Most people in the United States are crushed.
[01:11:39.097 --> 01:11:41.598]  Their existence is being crushed.
[01:11:42.438 --> 01:11:52.524]  And since the past three generations, or the past three administrations, the rate of destruction of our economy is horrible.
[01:11:53.444 --> 01:12:02.249]  So the real issue is to get back to a real economy, which means we have to get rid of this hyperinflation, and that can be done by one law.
[01:12:03.290 --> 01:12:04.410]  We can get rid of the whole hyperinflation.
[01:12:04.430 --> 01:12:05.391]  Bring back Glass-Steagall.
[01:12:06.710 --> 01:12:06.870]  Yep.
[01:12:06.970 --> 01:12:09.672]  Let me ask you this question, because I know you're a historian in this area.
[01:12:09.692 --> 01:12:19.160]  I mean, this is a Venetian, black nobility, Balkanization form of welfare developed between the city-states in what is Italy today.
[01:12:19.220 --> 01:12:19.781]  We know that.
[01:12:19.841 --> 01:12:20.982]  It's exported to England.
[01:12:21.422 --> 01:12:23.084]  That then becomes the model of empire.
[01:12:23.684 --> 01:12:27.507]  But give us some of the minds of these people.
[01:12:27.588 --> 01:12:29.469]  Why do they want to not have a space program?
[01:12:29.789 --> 01:12:31.371]  Why do they want to make people poor?
[01:12:31.671 --> 01:12:32.452]  Why are they so evil?
[01:12:34.517 --> 01:12:36.917]  Well, take the case of the Roman Empire.
[01:12:36.937 --> 01:12:40.798]  The Roman Empire died, and all these empire systems have died.
[01:12:41.358 --> 01:12:43.559]  They've died out of their own self-destruction beforehand.
[01:12:43.579 --> 01:12:45.279]  Byzantium, the same kind of thing.
[01:12:45.799 --> 01:12:47.179]  The old Venetian system.
[01:12:47.659 --> 01:12:48.660]  Again, the same thing.
[01:12:48.720 --> 01:12:50.160]  The Dark Ages were the old system.
[01:12:50.800 --> 01:12:57.941]  Then you had a revival of the same kind of system, which came up with the Anglo-Dutch version, which was called the New Venetian Party.
[01:12:58.581 --> 01:13:02.382]  The New Venetian Party was then established the British monarchy.
[01:13:03.416 --> 01:13:04.937]  And establish it as an empire.
[01:13:05.858 --> 01:13:22.428]  And so therefore you have a history of this tradition, of this kind of system, of what we call the oligarchical system, comes up where a few people are tried by various means to control the planet or large parts of it and do a general destructive thing.
[01:13:22.888 --> 01:13:23.909]  The problem has been
[01:13:24.761 --> 01:13:40.856]  That despite our Constitution, despite our intention, and the intention of some other countries to this effect, we have not been able to secure an actual system of government which conforms to what our intention was in creating the United States.
