[00:00:00.403 --> 00:00:02.709]  Genesis Communications Radio Network
[01:26:28.542 --> 01:26:33.125]  That's continuing medical education and it's paid for by the drug companies.
[01:26:33.185 --> 01:26:35.926]  It's just one of the forms of bribery that takes place in America.
[01:26:36.227 --> 01:26:38.168]  The whole thing is a fraud.
[01:26:38.728 --> 01:26:42.090]  John, have you seen anything like that go on firsthand like I did?
[01:26:43.571 --> 01:26:44.572]  Well, what I've seen
[01:26:45.660 --> 01:26:51.506]  I've been told about this by doctors and also ex-sales people for drug companies.
[01:26:52.827 --> 01:26:57.872]  They're called detailed men or detailed people and they go into doctor's offices.
[01:26:58.052 --> 01:27:09.224]  I'm from such and such drug company and here's a bunch of free samples of our drugs and I want to talk to the doctor and they set up an appointment and now the drug rep sits down with the doctor and says,
[01:27:10.237 --> 01:27:13.441]  Here's this new drug that we've got, X3.
[01:27:14.241 --> 01:27:17.825]  Now, we know that the FDA has only approved it for use in adults.
[01:27:17.885 --> 01:27:25.433]  It's not approved for use in children, but of course, you as a doctor, legally, can prescribe this drug for anybody you want to.
[01:27:25.954 --> 01:27:32.701]  And I just want to tell you, you know, off the record, Doc, that this drug has been having amazing results with children.
[01:27:33.301 --> 01:27:37.125]  So you should feel free to be able to, you know, prescribe this for children.
[01:27:37.606 --> 01:27:41.970]  And by the way, and now you know the inducements, here's a few tickets to a concert.
[01:27:42.491 --> 01:27:49.879]  You know, we're having a conference in the Bahamas next year, and I'm sure that we could do something for you, either as an attendee or maybe even a speaker.
[01:27:50.239 --> 01:27:54.624]  And this goes on every day in doctors' offices, so it isn't just
[01:27:55.563 --> 01:27:58.230]  The payoffs, but what the payoffs are for.
[01:27:58.932 --> 01:28:03.023]  You endanger the lives of children by conning
[01:28:04.184 --> 01:28:08.765]  Doctors who are supposed to be resistant and intelligent and took the Hippocratic Oath.
[01:28:09.165 --> 01:28:11.946]  It's all about getting doctors to prescribe more of the drugs, obviously.
[01:28:11.966 --> 01:28:17.707]  And the drug companies actually buy the data of how many of this prescription that that doctor prescribed.
[01:28:17.727 --> 01:28:18.907]  They have all the spreadsheet.
[01:28:19.207 --> 01:28:21.468]  And they know which money to pay out to which doctor.
[01:28:21.768 --> 01:28:23.508]  And you know who's also a culprit in this, John?
[01:28:23.848 --> 01:28:26.709]  From nomorefakenews.com, by the way, if people want to check out your website.
[01:28:26.989 --> 01:28:29.349]  Who's also a culprit in this are the doctors themselves.
[01:28:29.769 --> 01:28:32.390]  They have said for years, oh, we're not being bribed.
[01:28:32.990 --> 01:28:34.290]  No, that's consulting money.
[01:28:34.550 --> 01:28:38.772]  That was continuing medical education even though they didn't even attend the classes.
[01:28:38.972 --> 01:28:40.952]  They said, oh no, that was a speaking fee.
[01:28:41.032 --> 01:28:43.653]  Yeah, a $2 million speaking fee.
[01:28:44.133 --> 01:28:45.294]  Come on, it's a bribe.
[01:28:45.534 --> 01:28:47.154]  They don't care if you speak to anybody.
[01:28:47.174 --> 01:28:49.175]  They're just giving you money so you keep prescribing the drugs.
[01:28:49.455 --> 01:28:51.395]  You doctors out there, you are liars.
[01:28:51.816 --> 01:28:53.276]  You are a con artist.
[01:28:53.316 --> 01:28:55.117]  You are fraudsters for taking this money.
[01:28:55.317 --> 01:28:56.517]  And I hope you go to jail.
[01:28:56.917 --> 01:28:57.598]  for being part of this.
[01:28:57.638 --> 01:29:03.482]  I hope they track down everybody who took money from Glaxo and throws them in jail and prosecutes them for accepting bribes.
[01:29:04.523 --> 01:29:09.386]  Well, that's exactly it, because that is another crime, accepting a bribe, so these guys should go to jail.
[01:29:09.446 --> 01:29:09.766]  They should.
[01:29:09.806 --> 01:29:12.068]  And this tells you something about their medical training.
[01:29:12.088 --> 01:29:17.312]  You know, we're led to believe that this is the most pristine form of possible education in the world.
[01:29:17.892 --> 01:29:21.615]  Somewhere along the line, these people are learning to be criminals.
[01:29:22.176 --> 01:29:24.157]  You know, the people that are in the doctor's office.
[01:29:24.217 --> 01:29:25.258]  Criminals in training, yeah.
[01:29:26.175 --> 01:29:30.319]  Criminals in training is what they're learning because they understand the game.
[01:29:30.820 --> 01:29:32.722]  You've got to be prescribing the drugs.
[01:29:32.802 --> 01:29:36.386]  You've got to be playing the system within the system.
[01:29:36.526 --> 01:29:38.248]  Otherwise, you're out.
[01:29:39.028 --> 01:29:42.012]  And you know, of course, Mike, on the other side of this, look at all
[01:29:43.260 --> 01:29:49.542]  The, what we've exposed here in just the last, uh, you know, half hour or so with these three giant drug companies.
[01:29:49.862 --> 01:29:51.263]  Oh, there's, there's more coming up.
[01:29:51.283 --> 01:29:52.303]  We're going to break here, John.
[01:29:52.403 --> 01:29:52.943]  Sorry to interrupt you.
[01:29:53.403 --> 01:29:58.165]  There's more coming up on Merck and what the whistleblowers say was falsified vaccine data coming right up.
[01:29:58.185 --> 01:30:00.946]  Right on the march, the empire's on the run.
[01:30:01.886 --> 01:30:04.547]  Alex Jones and the GCN Radio Network.
[01:30:08.766 --> 01:30:09.767]  Let me ask you a question.
[01:30:10.007 --> 01:30:11.148]  What does freedom mean to you?
[01:30:11.488 --> 01:30:12.329]  The freedom to choose?
[01:30:12.389 --> 01:30:13.130]  The freedom to vote?
[01:30:13.350 --> 01:30:14.131]  The freedom to worship?
[01:30:14.351 --> 01:30:16.333]  How about the freedom to take control of your own future?
[01:30:16.573 --> 01:30:21.717]  My friends at eFoods Direct are celebrating freedom this month while helping you take control of your greatest dependency, food.
[01:30:22.058 --> 01:30:29.224]  Right now you receive one of their new Patriot Packs free with every $289 you spend on their highly nutritious and great tasting food.
[01:30:29.524 --> 01:30:32.907]  The Patriot Pack is a 30 day supply of eFoods Quick Fix, Easy to Store Food.
[01:30:32.967 --> 01:30:33.507]  We're good.
[01:30:53.903 --> 01:30:55.063]  Operators are standing by.
[01:30:55.243 --> 01:30:59.385]  Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[01:30:59.685 --> 01:31:02.886]  eFoods is so affordable, the more you store and eat, the more you save.
[01:31:03.166 --> 01:31:07.927]  Go to eFoodsDirect.com forward slash Alex or call 800-409-5633 right now.
[01:31:08.207 --> 01:31:13.469]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[01:31:13.749 --> 01:31:15.950]  Start purifying your water with ProPure.
[01:31:16.150 --> 01:31:21.673]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure.
[01:31:21.873 --> 01:31:25.095]  And it's available discounted at Infowars.com.
[01:31:25.255 --> 01:31:28.457]  Its filters are silver impregnated to prevent bacterial growth.
[01:31:28.697 --> 01:31:30.138]  There's no priming required.
[01:31:30.398 --> 01:31:32.439]  It's NSF 42 certified.
[01:31:32.659 --> 01:31:35.140]  Optional fluoride filters can reduce fluoride up to 95%.
[01:31:36.221 --> 01:31:37.562]  Easy to set up and use.
[01:31:37.762 --> 01:31:39.043]  Doesn't require electricity.
[01:31:39.183 --> 01:31:42.025]  Purify water from lakes, streams, ponds, and wells.
[01:31:42.346 --> 01:31:45.508]  This filter system leaves in beneficial minerals, which is key.
[01:31:45.728 --> 01:31:47.489]  Save money by not buying bottled water.
[01:31:47.630 --> 01:31:49.711]  And avoid BPA that leaches from the plastic.
[01:31:49.871 --> 01:31:52.453]  ProPure is the best gravity-fed filter out there.
[01:31:52.593 --> 01:31:53.914]  It's what my family uses.
[01:31:54.174 --> 01:31:57.377]  Infowars.com already has the lowest price on ProPure.
[01:31:57.497 --> 01:32:03.101]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[01:32:03.301 --> 01:32:04.482]  You can also call to order.
[01:32:05.423 --> 01:32:07.464]  888-253-3139.
[01:32:08.045 --> 01:32:13.369]  American gardeners and fellow Patriots make the right choice with your money, time, and your family food supply.
[01:32:13.489 --> 01:32:18.553]  Choose 100% pure heirloom seeds in the Survival Seed Vault from MyPatriotsupply.com.
[01:32:18.693 --> 01:32:19.514]  Why spend more?
[01:32:19.674 --> 01:32:27.440]  The Survival Seed Vault from MyPatriotsupply.com is only $37.95 and includes 20 varieties of pure, hearty, easy to grow heirloom seeds.
[01:32:27.720 --> 01:32:28.180]  Yes, only $37.95.
[01:32:28.240 --> 01:32:29.821]  That's 70% less than our competitors.
[01:32:31.863 --> 01:32:35.026]  You could buy three Survival Seed Vaults for less than one of theirs.
[01:32:35.266 --> 01:32:41.751]  The Survival Seed Vault from MyPatriotSupply.com includes detailed planting and seed saving instructions and ships same day.
[01:32:41.891 --> 01:32:44.533]  Plus, all orders over $49 ship free.
[01:32:44.733 --> 01:32:48.376]  MyPatriotSupply.com is American owned by patriots like you.
[01:32:48.596 --> 01:32:50.398]  Passionate about freedom and preparedness.
[01:32:50.598 --> 01:32:54.323]  Call now, 866-229-0927.
[01:32:54.464 --> 01:32:56.386]  That's 866-229-0927.
[01:32:56.767 --> 01:33:02.475]  Or discover more emergency preparedness items when you order at MyPatriotSupply.com.
[01:33:02.635 --> 01:33:03.616]  Choose the original.
[01:33:03.717 --> 01:33:07.262]  Choose the survival seed vault at MyPatriotSupply.com.
[01:33:16.841 --> 01:33:21.003]  Defending the Republic from enemies, foreign and domestic.
[01:33:21.723 --> 01:33:23.224]  It's Alex Jones.
[01:33:26.065 --> 01:33:27.785]  Well, Alex is off today.
[01:33:27.845 --> 01:33:30.647]  This is Mike Adams, the health ranger, filling in for Alex.
[01:33:30.687 --> 01:33:36.309]  And I'm joined now, continuing with John Rappaport from nomorefakenews.com.
[01:33:36.369 --> 01:33:42.171]  We are discussing the amazing revelations of total runaway criminality in the pharmaceutical industry.
[01:33:42.631 --> 01:33:45.953]  With GlaxoSmithKline now pleading guilty to three billion dollars
[01:33:46.933 --> 01:33:51.174]  Well, pleading guilty to felony crimes resulting in $3 billion worth of fines.
[01:33:51.194 --> 01:33:57.897]  And now we're going to talk about Merck, but first, you know, I got to say, I love the sense of humor here at InfoWars.
[01:33:57.937 --> 01:34:06.099]  There's a sign in the studio, I just got to share with you, a sign that says, at least twice weekly, we must do whistleblower interviews for one hour.
[01:34:06.399 --> 01:34:08.480]  Not complying will result in tasing.
[01:34:10.054 --> 01:34:11.675]  Does that apply to me too, guys?
[01:34:13.476 --> 01:34:14.717]  It's just a technical question.
[01:34:14.737 --> 01:34:18.879]  Alright, the taser will be brought out later, apparently.
[01:34:19.179 --> 01:34:20.440]  Okay, continuing on.
[01:34:21.160 --> 01:34:27.204]  You know, if anybody should be tased right now, it's the drug reps and it's the doctors who took bribes from GlaxoSmithKline.
[01:34:27.564 --> 01:34:29.525]  How come these people aren't being arrested?
[01:34:30.065 --> 01:34:36.529]  Why are they allowed to break the law, to accept bribes, to put our children on drugs, to falsify data, to lie to the FDA?
[01:34:36.969 --> 01:34:38.850]  And the government says we don't even care!
[01:34:39.271 --> 01:34:40.772]  We want you to just keep doing it!
[01:34:41.232 --> 01:34:42.593]  Why is this allowed to go on?
[01:34:42.693 --> 01:34:48.237]  Why the runaway total pharmaceutical corporate fascist government criminality in America today?
[01:34:48.297 --> 01:34:50.058]  John, what is happening?
[01:34:50.279 --> 01:34:51.179]  How do we stop this?
[01:34:53.081 --> 01:34:59.906]  Well, certainly we stop it by exposing it because we still have the freedom to not take these drugs.
[01:35:00.842 --> 01:35:04.646]  Yeah, until Obamacare is mandated on everyone, by the way.
[01:35:04.666 --> 01:35:10.171]  Yeah, well, that's another question we can get into, I mean, because these companies are going to do quite well under Obamacare.
[01:35:10.231 --> 01:35:16.998]  But, you know, as long as we fight for the freedom to either take a drug or not take a drug, that's the bottom line.
[01:35:17.498 --> 01:35:20.621]  Because, and the drug companies understand this, believe me.
[01:35:20.881 --> 01:35:23.803]  That's why they're going after the natural health industry so heavily.
[01:35:23.864 --> 01:35:34.112]  I mean, can you imagine what would happen if, oh, well, the government has found a company called OoblaD that is selling vitamin C to the public, but it's actually vitamin E!
[01:35:34.613 --> 01:35:34.953]  Wow!
[01:35:35.313 --> 01:35:43.000]  And it's contaminated, and they're lying about it to health food stores saying this, that, and the other thing, and blah, blah, blah, blah, blah.
[01:35:43.200 --> 01:35:47.164]  Yeah, they would have everybody in that nutritional company in jail for 20 years.
[01:35:47.304 --> 01:35:47.624]  Absolutely.
[01:35:47.644 --> 01:35:57.433]  But when Glaxo does it, well, you pay a $3 billion fine from your war chest of $27 billion and just go along with business as usual.
[01:35:57.473 --> 01:35:58.734]  No, no, it's even worse than that, John.
[01:35:58.754 --> 01:36:02.358]  When the FTC goes after natural supplement companies...
[01:36:03.018 --> 01:36:16.930]  They conduct the raids, they haul the people into court, and they confiscate the customer list, they confiscate the computers, they confiscate the inventory, but they make these companies refund everyone who ever bought that nutritional product in the history of the company.
[01:36:17.330 --> 01:36:26.958]  So why doesn't the Department of Justice go to GlaxoSmithKline and say, oh, you gotta refund everybody who ever bought your drugs that you deceived us on.
[01:36:26.998 --> 01:36:27.979]  Why don't they do that?
[01:36:28.988 --> 01:36:29.809]  Yeah, why don't they?
[01:36:30.329 --> 01:36:36.493]  Well, you know, we get into the deeper part of this, Mike, because drugs debilitate people.
[01:36:36.593 --> 01:36:48.181]  The overall effect of pharmaceutical drugs is to tranquilize, sedate, dumb down, debilitate, and kill at least 100,000 Americans a year.
[01:36:49.061 --> 01:36:52.464]  By statistics, we got the report, Starfield Report.
[01:36:53.959 --> 01:36:56.481]  What does this do for the powers that be?
[01:36:57.242 --> 01:37:10.093]  It completely weakens the people of the United States of America and allows whatever agenda of power and control to be imposed on these people because they can't fight back.
[01:37:10.533 --> 01:37:12.774]  I mean, this is, to me, the bottom line.
[01:37:12.814 --> 01:37:15.234]  We're not just talking about advertising money.
[01:37:15.614 --> 01:37:17.134]  We're not just talking about profits.
[01:37:17.194 --> 01:37:21.775]  We're not just talking about, you know, who colludes with who here.
[01:37:22.255 --> 01:37:26.016]  But why, as you said, why do these people continue to go free?
[01:37:26.436 --> 01:37:30.417]  Why does one Attorney General after another pay no attention to this?
[01:37:30.857 --> 01:37:34.258]  Because this is a bigger agenda than the U.S.
[01:37:34.298 --> 01:37:37.038]  government or even the pharmaceutical companies.
[01:37:37.499 --> 01:37:39.099]  This is an agenda of
[01:37:39.799 --> 01:37:45.625]  Destroying and rotting out the country from the inside, one individual at a time.
[01:37:46.026 --> 01:37:47.387]  It's chemical warfare.
[01:37:47.788 --> 01:37:48.789]  These are the drugs.
[01:37:49.309 --> 01:37:54.735]  And when the country is submitted to that kind of chemical warfare, they can't fight back.
[01:37:54.915 --> 01:37:56.516]  Well, I think you're nailing it.
[01:37:57.017 --> 01:38:10.766]  You've really hit the point here that there is an intention to zombify the nation, to dumb down the cognitive function, to disconnect the neurology of the bodies of the people who are going to be the voters and the consumers.
[01:38:11.847 --> 01:38:12.647]  And the taxpayers.
[01:38:12.687 --> 01:38:14.048]  I mean, you're right, you're right.
[01:38:14.508 --> 01:38:16.528]  Why is this criminality allowed to go on?
[01:38:16.568 --> 01:38:35.013]  Because it fits the agenda of keeping the entire sheeple population herded into a dumbed-down mentality while the global controllers take over the money, take over the economy, take over the food supply, take over the genetic capital of the planet through seed patents and animal patents and all these other things.
[01:38:35.233 --> 01:38:35.634]  You nailed it.
[01:38:36.254 --> 01:38:36.954]  You're exactly right.
[01:38:37.394 --> 01:38:39.875]  It's allowed because it fits the agenda.
[01:38:40.575 --> 01:38:40.875]  That's it.
[01:38:42.119 --> 01:38:46.621]  And here's another thing which I've discovered, you know, 30 years of being a reporter.
[01:38:47.782 --> 01:38:55.366]  Connections to various mainstream reporters, politicians, I mean, connections meaning I find out things about them.
[01:38:55.886 --> 01:38:59.208]  So many of these people are on these drugs themselves!
[01:39:00.388 --> 01:39:00.648]  Right?
[01:39:00.969 --> 01:39:05.351]  They're on the tranquilizers, they're on the antidepressants, they're on all of these things.
[01:39:05.411 --> 01:39:09.433]  So now for them to turn around and even begin to question
[01:39:10.214 --> 01:39:21.665]  What the agenda really is that we're discussing here is impossible because these people are brainwashed into believing that they can't even function without the drugs in their system.
[01:39:21.685 --> 01:39:25.068]  So they're slaves, they're captives to the farm to themselves.
[01:39:25.188 --> 01:39:33.751]  No, if we lived in a rational society, we should say that no one can be elected to a position of Congress or even the executive branch.
[01:39:33.791 --> 01:39:39.433]  They cannot serve in the public interest if they're on psychiatric drugs, for one thing.
[01:39:39.673 --> 01:39:41.254]  Because those things mess with your head.
[01:39:41.514 --> 01:39:44.215]  They are, by definition, mind-altering drugs.
[01:39:44.555 --> 01:39:46.336]  Psychotropics, antidepressants.
[01:39:46.876 --> 01:39:48.317]  Everything prescribed by psychiatry.
[01:39:48.537 --> 01:39:57.724]  And yet, how many members of Congress are probably on those drugs and statin drugs that sap your energy and that cause early dementia and Alzheimer's?
[01:39:57.744 --> 01:40:11.813]  I mean, we are being led by a bunch of drug-harmed legislative and judicial and executive leaders in our country who are not in their right presence of mind.
[01:40:12.333 --> 01:40:12.754]  Literally.
[01:40:13.641 --> 01:40:14.302]  Absolutely.
[01:40:14.582 --> 01:40:29.214]  You know, every time they get up to cast a vote or give a talk on the floor, they should say, my name is John Smith, I'm a representative from Ohio, and full disclosure, here are the drugs I'm on.
[01:40:30.387 --> 01:40:30.887]  I think so.
[01:40:50.549 --> 01:40:54.451]  We're being run by a bunch of completely deranged lunatics.
[01:40:54.751 --> 01:40:56.292]  Well, here's a direct example.
[01:40:56.312 --> 01:41:00.334]  This was raised about Supreme Court Justice Roberts.
[01:41:00.534 --> 01:41:03.736]  And he being on, was it an anti-seizure medication, I believe?
[01:41:03.756 --> 01:41:04.516]  That's right, yeah.
[01:41:04.636 --> 01:41:06.237]  And there were questions raised.
[01:41:06.277 --> 01:41:07.978]  I think it's legitimate to raise the question.
[01:41:08.438 --> 01:41:09.739]  Did that affect his judgment?
[01:41:10.079 --> 01:41:11.460]  Did he flip-flop because of that?
[01:41:11.720 --> 01:41:16.062]  But not just him, and not just that issue, but all the Supreme Court Justices.
[01:41:16.822 --> 01:41:20.084]  I remember one of them was on chemotherapy at one point.
[01:41:20.823 --> 01:41:31.687]  Which is like saying, oh yeah, we're attacking this justice with chemical warfare that we used in World War I. Don't expect him to say anything that makes any sense.
[01:41:32.848 --> 01:41:43.232]  I mean, even in the military, isn't there a procedure by which if a commander has lost his presence of mind and is no longer, quote, fit for command,
[01:41:43.772 --> 01:41:46.413]  That his subordinates can say, we're relieving you of duty.
[01:41:46.433 --> 01:41:47.494]  You're not fit for command.
[01:41:47.894 --> 01:41:52.116]  That should be invoked across, you know, all of Washington, D.C.
[01:41:52.156 --> 01:41:57.518]  for all the people that are on these drugs that are altering their judgment, altering their memories and their behavior.
[01:41:57.558 --> 01:41:59.759]  I mean, we are a nation of druggies!
[01:42:00.894 --> 01:42:02.675]  Absolutely, and Washington D.C.
[01:42:02.795 --> 01:42:06.277]  is the medical drug capital of the world, especially the psychiatric drugs.
[01:42:06.297 --> 01:42:06.497]  Yes.
[01:42:07.237 --> 01:42:07.938]  On and on and on.
[01:42:08.018 --> 01:42:09.579]  So they've been infiltrated.
[01:42:09.899 --> 01:42:14.021]  You know, if we look at this for what it really is, Mike, it's like chemical warfare.
[01:42:14.141 --> 01:42:15.922]  Okay, Washington D.C.
[01:42:15.962 --> 01:42:17.222]  has been infiltrated.
[01:42:17.883 --> 01:42:29.609]  All of these people that work in Congress and various federal agencies and so on have been infiltrated by destructive chemicals that are in their systems every single day, every hour of every day.
[01:42:30.509 --> 01:42:31.409]  This is warfare.
[01:42:31.429 --> 01:42:33.390]  This is a tactic of warfare.
[01:42:33.850 --> 01:42:39.431]  And when you finally see it for what it is, then you begin to make sense out of what's happening to this country.
[01:42:39.471 --> 01:42:49.414]  Because as we started this with, in any sane country, all of these drug executives and more would be in jail for 20, 30, 50 years by now.
[01:42:49.534 --> 01:42:50.014]  Absolutely.
[01:42:50.094 --> 01:42:52.095]  Hey, in China, they would be sentenced to death.
[01:42:53.308 --> 01:42:54.129]  Yeah, exactly.
[01:42:54.409 --> 01:42:54.789]  I agree.
[01:43:23.588 --> 01:43:25.910]  Through, quote, existing cash resources.
[01:43:27.031 --> 01:43:28.853]  They have three billion just lying around!
[01:43:28.873 --> 01:43:30.914]  Yeah, in the closet.
[01:43:31.034 --> 01:43:33.256]  Open the door over there and get out the three billion.
[01:43:33.757 --> 01:43:34.938]  Yeah, and it's just a fraction.
[01:43:34.958 --> 01:43:35.979]  Oh, and here's the other thing.
[01:43:36.339 --> 01:43:40.542]  From, um, this is Mr. Witte, but I'm not making this up.
[01:43:40.763 --> 01:43:48.129]  Andrew Witte, the chief executive of Glaxo, said, quote, we have learned from the mistakes that were made.
[01:43:48.149 --> 01:43:49.430]  Yeah, you got caught.
[01:43:50.010 --> 01:43:54.793]  And a quote, when necessary, we have removed employees who have engaged in misconduct.
[01:43:56.534 --> 01:44:02.858]  So wait a minute, you defraud the government of hundreds of billions of dollars and somebody just loses a job over it?
[01:44:03.578 --> 01:44:04.118]  That's it?
[01:44:04.199 --> 01:44:05.659]  But the company can keep doing business?
[01:44:06.920 --> 01:44:13.104]  We've learned that when we get caught we have to pay a fine, so we're going to be more devious now than we were before.
[01:44:13.979 --> 01:44:14.259]  Yes.
[01:44:14.639 --> 01:44:16.080]  I think that's what the statement means.
[01:44:16.120 --> 01:44:17.460]  That's what he's saying basically.
[01:44:17.660 --> 01:44:18.280]  That's what he's saying.
[01:44:18.640 --> 01:44:20.741]  But we gotta move on to Merck.
[01:44:21.261 --> 01:44:24.562]  This is an even bigger, more outrageous issue in many ways.
[01:44:25.502 --> 01:44:27.643]  And I know you've already looked into this as well.
[01:44:27.683 --> 01:44:28.163]  Check this out.
[01:44:28.323 --> 01:44:33.545]  Merck virologist Steven Crowling and Joan Wolchowski, trying to get that name right,
[01:44:34.165 --> 01:44:46.113]  They claimed in a 2010 False Claims Act document, which we posted, I did a big write-up of this on naturalnews.com, that's on screen right now, and today's article's on infowars.com as well.
[01:44:46.413 --> 01:44:52.357]  According to these virologists, Merck, quote, falsified test data to fabricate a vaccine efficacy rate of 95%.
[01:44:53.598 --> 01:44:55.559]  Turns out to be completely false, according to them.
[01:44:56.040 --> 01:45:03.124]  They spiked the blood test with animal antibodies in order to artificially inflate the appearance of immune system antibodies.
[01:45:04.265 --> 01:45:09.689]  That Merck pressured the two virologists to, quote, participate in the fraud and the subsequent cover-up.
[01:45:10.330 --> 01:45:19.696]  That they used the falsified trial results to swindle the US government out of hundreds of millions of dollars for a vaccine that does not provide adequate immunization.
[01:45:19.716 --> 01:45:21.938]  That they intimidated the scientists.
[01:45:22.358 --> 01:45:25.982]  Threaten them with having to go to jail unless they stayed silent.
[01:45:26.563 --> 01:45:38.916]  And in doing all of this, Merck actually contributed to the spread of the outbreaks of mumps, which is, of course, the very thing that the CDC cites to push everybody to go get more vaccines.
[01:45:38.957 --> 01:45:43.181]  So you talk about a grand fraud, total runaway criminal scam.
[01:45:44.022 --> 01:45:46.783]  This is what's being described by these former employees.
[01:45:47.563 --> 01:45:48.623]  It is incredible.
[01:45:49.403 --> 01:45:54.745]  And everybody who went out there and got injected with the mumps vaccine, if this is all true, you got suckered.
[01:45:55.785 --> 01:45:56.985]  You got suckered big time.
[01:45:57.505 --> 01:45:59.106]  And once again, we were right, John.
[01:45:59.426 --> 01:45:59.986]  We were right.
[01:46:00.366 --> 01:46:01.326]  Don't get vaccinated.
[01:46:01.366 --> 01:46:01.967]  It's a scam.
[01:46:02.727 --> 01:46:03.287]  Completely.
[01:46:03.767 --> 01:46:08.488]  And not only were you cheated if you got the vaccine, but you can't sue the government.
[01:46:09.428 --> 01:46:11.429]  Oh no, they all have complete immunity.
[01:46:11.872 --> 01:46:14.613]  Yeah, the drug companies, government, immunity, right?
[01:46:15.093 --> 01:46:19.034]  All they can do is just sit there and say, well, we got cheated.
[01:46:19.774 --> 01:46:29.077]  Now people have to understand that when they say that they used animal antibodies, just to give you a gross version of this, it would be like
[01:46:30.023 --> 01:46:40.769]  You make a solution in a laboratory, in a dish, and you say, okay, now we're trying to prove that the vaccine is really effective here, and so we want to see some real action in this liquid.
[01:46:40.809 --> 01:46:41.830]  But we don't see any.
[01:46:42.250 --> 01:46:45.772]  So obviously, you know, we failed, it's no good.
[01:46:46.352 --> 01:46:50.255]  So bring that bowl, big bowl over there of animal blood.
[01:46:50.275 --> 01:46:50.835]  Yes.
[01:46:50.895 --> 01:46:53.977]  And just pour it in here, and let's see if we can get some foam going.
[01:46:54.097 --> 01:46:55.057]  Oh yeah, that's great.
[01:46:55.558 --> 01:46:58.800]  Okay, now we can prove that the vaccine is effective.
[01:46:59.600 --> 01:47:01.080]  You know, that's basically what they did.
[01:47:01.240 --> 01:47:04.441]  It is outright fabricated fraud.
[01:47:04.701 --> 01:47:09.142]  It's almost as if you faked your birth certificate and tried to pass it off as real.
[01:47:09.782 --> 01:47:10.942]  Nobody would ever do that.
[01:47:10.962 --> 01:47:13.863]  Nobody, nobody would do that in America, no.
[01:47:13.903 --> 01:47:15.023]  But check this out.
[01:47:15.303 --> 01:47:20.844]  According to these virologists, Merck's mumps viral strain is 45 years old!
[01:47:21.424 --> 01:47:22.765]  Here's the explanation from the complaint.
[01:47:23.225 --> 01:47:23.865]  For more than 30 years,
[01:47:25.445 --> 01:47:30.351]  Merck has had an exclusive license from the FDA to manufacture and sell the mumps vaccine in the U.S.
[01:47:30.811 --> 01:47:32.092]  The FDA first approved it in 1967.
[01:47:32.593 --> 01:47:35.816]  It was developed by Dr. Maurice Hilleman.
[01:47:35.836 --> 01:47:36.657]  You remember Hilleman?
[01:47:37.078 --> 01:47:42.003]  Info Wars has played the recordings of him and his crew laughing about all the cancer stealth viruses in the vaccines.
[01:47:43.104 --> 01:47:48.990]  Uh, at Merck's West Point Research Facility from the mumps virus that infected his five-year-old daughter, Geraldyn.
[01:47:49.351 --> 01:47:56.578]  Merck continues, get this, continues to use this, quote, Geraldyn strain of the virus for its vaccine today.
[01:47:56.919 --> 01:48:03.966]  That means this mumps viral strain is 45 years old and it's been weakened through multiple generations of what's called passaging.
[01:48:04.507 --> 01:48:06.731]  To have it prepped for processing into a vaccine.
[01:48:07.012 --> 01:48:08.034]  This is a total fraud!
[01:48:08.054 --> 01:48:14.168]  If this turns out to be absolutely true, it is a complete scientific fraud at every level.
[01:48:14.208 --> 01:48:14.909]  It's unbelievable.
[01:48:16.004 --> 01:48:20.365]  They say all the time, oh, the viruses are mutating, they're mutating, they're changing.
[01:48:20.425 --> 01:48:25.406]  We have to completely revamp vaccines every year in order to keep up with this.
[01:48:25.626 --> 01:48:35.347]  But, hold on, in the case of the mumps vaccine, we're quite sure that it's been the same virus without mutations for 45 years.
[01:48:35.727 --> 01:48:41.108]  And so we can use my daughter's virus and make the same vaccine over and over again.
[01:48:41.128 --> 01:48:42.249]  It's a lot less expensive.
[01:48:42.549 --> 01:48:44.709]  Who cares if it doesn't work or if it kills you?
[01:48:45.349 --> 01:48:46.110]  That's just the brakes.
[01:48:46.150 --> 01:48:48.791]  You can't sue us, so just shut up and take your vaccine.
[01:48:49.211 --> 01:48:50.792]  Yeah, that's it.
[01:48:51.053 --> 01:48:53.674]  You know, you got to get down to this.
[01:48:54.154 --> 01:49:02.419]  Think about all the doctors and all the so-called skeptics and science people who said, no, these vaccines are all perfectly safe and perfectly effective.
[01:49:02.739 --> 01:49:04.180]  It's the best science in the world.
[01:49:04.240 --> 01:49:05.721]  It's the gold standard of scientists.
[01:49:06.001 --> 01:49:06.822]  We wouldn't lie.
[01:49:06.862 --> 01:49:07.862]  We have PhDs.
[01:49:08.242 --> 01:49:08.823]  Oh my God.
[01:49:09.083 --> 01:49:10.524]  You know, now they're all fools.
[01:49:10.584 --> 01:49:12.065]  They look like complete fools.
[01:49:12.705 --> 01:49:16.346]  I mean, the whole thing was fabricated according to these two virologists.
