[00:00:00.714 --> 00:00:04.537]  You got it, brother.
[00:45:51.300 --> 00:45:52.522]  Call 800-340-7091 for a free catalog.
[00:45:59.738 --> 00:46:01.039]  Hi, this is Alex Jones.
[00:46:01.039 --> 00:46:06.625]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:46:06.625 --> 00:46:11.650]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[00:46:11.650 --> 00:46:17.236]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:46:17.236 --> 00:46:21.921]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:46:22.441 --> 00:46:29.565]  They call it a Survival Seed Bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[00:46:29.565 --> 00:46:30.665]  And here's the best part.
[00:46:30.665 --> 00:46:37.369]  These seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[00:46:37.369 --> 00:46:40.550]  So visit them today at SurvivalSeedBank.com.
[00:46:40.550 --> 00:46:43.712]  That's SurvivalSeedBank.com, or give them a call at 877-327-0365.
[00:46:43.712 --> 00:46:43.892]  That's 877-327-0365.
[00:46:51.576 --> 00:46:56.400]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:46:56.400 --> 00:47:01.423]  This is Alex Jones for SurvivalSeedBank.com.
[00:47:01.423 --> 00:47:02.944]  Coast to Coast.
[00:47:02.944 --> 00:47:05.006]  Direct from Austin.
[00:47:05.006 --> 00:47:12.991]  You're listening to the Alex Jones Broadcasting Network.
[00:47:12.991 --> 00:47:18.636]  Defending the Republic from enemies foreign and domestic.
[00:47:18.636 --> 00:47:20.077]  It's Alex Jones.
[00:47:22.350 --> 00:47:24.791]  Okay, we got a long way to go and a short time to get there.
[00:47:24.791 --> 00:47:26.952]  Webster, I know you politically want to break down the candidates.
[00:47:26.952 --> 00:47:29.013]  I'm going to do some of that in the next little segment.
[00:47:29.013 --> 00:47:42.460]  And then, Dr. Jerome Corsi is joining us to give us his angle on this, but the magnitude of this on top of his grandmother saying he's born in Kenya, all of this, the Barry Sotero name, one other name, giving up his U.S.
[00:47:42.460 --> 00:47:44.601]  citizenship to become Indonesian.
[00:47:44.601 --> 00:47:47.823]  I mean, why would the power structure put somebody in
[00:47:48.723 --> 00:47:50.744]  Who they know is this compromised?
[00:47:50.744 --> 00:47:52.544]  I guess I answer my own question.
[00:47:52.544 --> 00:47:57.146]  To compromise him, but who is Barry Sotero, aka Barack Obama?
[00:47:57.146 --> 00:48:01.787]  From your deep research, you're the first person I really know of pointing this out.
[00:48:01.787 --> 00:48:03.728]  Who is he from your world travels?
[00:48:04.088 --> 00:48:06.050]  He is a foundation operative.
[00:48:06.050 --> 00:48:16.138]  That is to say, he represents the viewpoint of the degenerate ruling class of this country, the financier elite, the finance capital, the bankers.
[00:48:16.138 --> 00:48:17.559]  But who is he?
[00:48:17.559 --> 00:48:20.141]  Is he Kenyan?
[00:48:20.141 --> 00:48:23.064]  I mean, he has so many backgrounds.
[00:48:23.064 --> 00:48:24.885]  You can call him cosmopolitan.
[00:48:24.885 --> 00:48:29.069]  In other words, he's as cosmopolitan as finance capital in the globalized
[00:48:29.668 --> 00:48:30.548]  We're good to go.
[00:48:49.535 --> 00:48:53.321]  Anti-trade, and then some kind of chauvinism.
[00:48:53.321 --> 00:48:57.307]  So that sort of contempt is, I think, the idea.
[00:48:57.307 --> 00:48:59.410]  Now, here's the problem, though.
[00:48:59.410 --> 00:49:04.377]  Obama's intentions are as evil as can be, and his technique is clever.
[00:49:04.958 --> 00:49:14.742]  Because instead of coming at you with a chainsaw to destroy you and cut your head off the way a reactionary Republican would, Obama does it with the death of a thousand cuts.
[00:49:14.742 --> 00:49:20.264]  He does it through dissembling, deception.
[00:49:20.264 --> 00:49:26.807]  Oh, he makes Bill Clinton look honest where he says, I don't want NDAA, but it turns out he demanded the secret provisions.
[00:49:26.807 --> 00:49:29.508]  Then he says, I won't sign it so opposition won't form.
[00:49:29.508 --> 00:49:31.608]  Then he signs it on New Year's Eve.
[00:49:31.608 --> 00:49:32.509]  I mean, he's something else.
[00:49:33.229 --> 00:49:38.991]  We have the argument, which I think has a lot of merit, that Obama actually delivers more evil.
[00:49:38.991 --> 00:49:45.333]  Because a Republican might want more evil, but because of their ham-handed tactics, they can't deliver.
[00:49:45.333 --> 00:49:46.473]  But now here's the point.
[00:49:46.473 --> 00:49:47.713]  What's the limit of that?
[00:49:47.713 --> 00:49:50.214]  Obama wants evil, but can he deliver?
[00:49:50.214 --> 00:49:52.515]  Now we look at what the ruling class wants now.
[00:49:52.515 --> 00:49:53.375]  They want two things.
[00:49:53.375 --> 00:49:59.017]  Probably another war, and certainly genocidal austerity to finance new bailouts for the banks.
[00:49:59.017 --> 00:50:01.738]  And by the way, they say at the NATO Summit and at the G20,
[00:50:03.258 --> 00:50:08.503]  That just met there at Camp David and also in Chicago, that it looks like war.
[00:50:08.503 --> 00:50:10.124]  They're very pleased.
[00:50:10.124 --> 00:50:12.626]  Lieberman says it looks like they might go into Syria.
[00:50:12.626 --> 00:50:14.328]  That's exactly what I wanted to say.
[00:50:14.328 --> 00:50:18.852]  Lieberman sees Obama as inching towards war, and it's true.
[00:50:18.852 --> 00:50:24.236]  We had last month some small changes of personnel inside the National Security Council.
[00:50:24.236 --> 00:50:27.159]  Some warmongers were put in.
[00:50:27.159 --> 00:50:29.581]  People who were more apt to pull the trigger.
[00:50:30.442 --> 00:50:35.646]  And we've also got this idea... But wait, I've got to interrupt.
[00:50:35.646 --> 00:50:37.627]  It's not war when Obama does it.
[00:50:37.627 --> 00:50:41.590]  The Washington Post today outlines a plan.
[00:50:41.590 --> 00:50:45.693]  We've just had this Eager Lion 2012 exercise, right?
[00:50:45.693 --> 00:50:51.376]  17,000 troops, 12 countries or maybe the other way around.
[00:50:51.376 --> 00:50:54.719]  But Eager Lion in Jordan was a drill
[00:50:55.629 --> 00:50:58.211]  For seizing control of parts of Syria.
[00:50:58.211 --> 00:51:08.317]  Now, the pretext that's outlined in the Washington Post today is that the planning for an invasion of Syria is going to use the pretext of Al-Qaeda being there.
[00:51:08.317 --> 00:51:11.759]  Naturally, the Al-Qaeda is there because they sent it there.
[00:51:11.759 --> 00:51:24.967]  But the story told to the public will be, oh, we have to seize various parts of Syria because Al-Qaeda has come in during this civil strife, and we therefore have to seize control of the nerve gas,
[00:51:25.387 --> 00:51:32.851]  And that's how dumb they think we are, because as you know, Rice said two weeks ago, Assad stepped down or our jihadis will keep blowing stuff up.
[00:51:32.851 --> 00:51:33.211]  Right.
[00:51:33.211 --> 00:51:40.676]  And of course, the interesting thing, I mean, I would invite people to take a look at any good account of Hitler and Czechoslovakia in 1938.
[00:51:40.676 --> 00:51:44.118]  Hitler was deploying his own terrorists, his SS.
[00:51:44.878 --> 00:51:45.319]  We're good.
[00:52:00.783 --> 00:52:03.405]  But the question now is, will Obama do that?
[00:52:03.405 --> 00:52:05.006]  Here's the other dimension.
[00:52:05.006 --> 00:52:06.187]  The October surprise.
[00:52:06.187 --> 00:52:14.373]  We got these reports from Israel that the decision, once again, for war has been made, but that the war will come as an October surprise.
[00:52:15.033 --> 00:52:29.705]  In this sense, that it will be an Israeli attack in October, with the idea that Obama will be forced to go along and join in and escalate the Israeli attack, because otherwise he'll be portrayed as a weak link.
[00:52:29.705 --> 00:52:31.507]  But now here we reach an interesting point.
[00:52:32.857 --> 00:52:43.869]  Once we've talked about Netanyahu as now having seized more power in Israel than he had before, once we've mentioned Netanyahu, we better talk about Romney.
[00:52:43.869 --> 00:52:52.799]  Because Romney and Netanyahu are two twins and they have been bosom buddies, the best of friends, since 1976 when they worked
[00:52:55.419 --> 00:52:59.541]  Hand in hand, cheek by jowl, at the Boston Consulting Group.
[00:52:59.541 --> 00:53:05.243]  In other words, we can see a personal alliance where Romney has helped Netanyahu.
[00:53:05.243 --> 00:53:11.606]  Romney was giving Netanyahu advice on economics and finance.
[00:53:11.606 --> 00:53:17.029]  Romney was telling Netanyahu how to design more effective economic warfare against Iran.
[00:53:17.029 --> 00:53:19.330]  And Netanyahu was giving political advice.
[00:53:19.870 --> 00:53:22.151]  No, I know, but I mean, take Romney.
[00:53:41.139 --> 00:53:45.463]  Bain Capital, that he still owns a lot of, is giving double to Obama.
[00:53:45.463 --> 00:53:51.748]  And a lot of my inside Republican sources say the word is Romney may take a dive for Obama.
[00:53:51.748 --> 00:53:54.671]  But I respect your view and deep research on this.
[00:53:54.671 --> 00:53:59.555]  You think they may be thinking about removing one roll of toilet paper and putting a new one on named Mitt Romney?
[00:53:59.855 --> 00:54:00.395]  Absolutely.
[00:54:00.395 --> 00:54:01.676]  Now, here's the thing.
[00:54:01.676 --> 00:54:04.458]  I know you're focused on the Bilderberger, and rightly so, right?
[00:54:04.458 --> 00:54:14.506]  The Bilderberg meeting here in Chantilly, this is one of the places, it's not the only one, but it's a prominent one, where this kind of a decision might be made.
[00:54:14.506 --> 00:54:19.870]  In other words, if the Bilderberg Group decides to throw its immense weight of finance and press and all the rest,
[00:54:20.410 --> 00:54:22.172]  In favor of one candidate or the other.
[00:54:22.172 --> 00:54:23.273]  It's a rather shabby hotel.
[00:54:23.273 --> 00:54:24.034]  I think I've been there.
[00:54:24.034 --> 00:54:26.316]  We're pretty good prepared for some of the things they've had.
[00:54:26.316 --> 00:54:26.937]  But here's the idea.
[00:54:44.360 --> 00:54:47.383]  The point is they were choosing Obama and Hillary there, to finish my point.
[00:54:47.383 --> 00:54:53.309]  Yeah, last time you had, you know, uh, Edwards, Hillary, uh, Obama, they all went, right?
[00:54:53.309 --> 00:54:56.892]  They were all, you know, trying to get the support of the Bilderberg Group.
[00:54:56.892 --> 00:55:04.800]  Now this time around, I assume, well, Obama will be there, Romney will be there, others may be there, and I think that'll be a place where you can find out, but now,
[00:55:05.320 --> 00:55:08.402]  I would also urge people to take a look backwards.
[00:55:08.402 --> 00:55:13.324]  I think I've done everything I could to tell the Obama story in useful time.
[00:55:13.324 --> 00:55:16.005]  Now let's talk a couple of things about the Romney story.
[00:55:16.005 --> 00:55:19.027]  One thing is this alliance with Netanyahu.
[00:55:19.027 --> 00:55:20.648]  Here's the other thing.
[00:55:20.648 --> 00:55:22.328]  Look inside Mormonism.
[00:55:22.328 --> 00:55:23.269]  Look at the white
[00:55:23.989 --> 00:55:25.951]  Stallion Prophecy.
[00:55:25.951 --> 00:55:28.232]  Look at the White Horse Prophecy.
[00:55:28.232 --> 00:55:32.756]  This is Joseph Smith, founder of Mormonism, back in 1843.
[00:55:32.756 --> 00:55:34.677]  Joseph Smith ran for president.
[00:55:34.677 --> 00:55:38.640]  Yeah, the Constitution's hanging by a thread, and a Mormon will save it.
[00:55:38.640 --> 00:55:39.141]  Yeah.
[00:55:39.141 --> 00:55:49.649]  So here's the idea, that the Mormons would go to the Rockies and become a great power, and then at some point when the Constitution is hanging by a thread, the Mormons will come forward, essentially, and take over the government.
[00:55:49.649 --> 00:55:51.290]  Now, that White Horse
[00:55:52.706 --> 00:55:59.110]  According to many, according to I think, you know, the Baptists, they will tell you that's the apocalypse.
[00:55:59.110 --> 00:56:01.691]  Those are the four horsemen of the apocalypse.
[00:56:01.691 --> 00:56:04.353]  And that is death on a pale horse.
[00:56:04.353 --> 00:56:07.634]  In other words, that is something you'd rather not have happen.
[00:56:07.634 --> 00:56:13.217]  Tarpley, you're invoking religion here as an anthropologist to get people to go after Romney.
[00:56:13.217 --> 00:56:14.538]  Why are you really against Romney?
[00:56:15.803 --> 00:56:18.185]  I want people to be against the entire system.
[00:56:18.185 --> 00:56:26.031]  I think one of the problems we have right now is we're paying a terrible price for our failure to create an alternative against both parties.
[00:56:26.031 --> 00:56:27.572]  Against every one of them.
[00:56:27.572 --> 00:56:35.438]  Outside and against Republicans, reactionary Republicans, libertarian Republicans, Wall Street Democrats, centrist Democrats, all of them.
[00:56:35.438 --> 00:56:36.018]  No, you're right.
[00:56:36.018 --> 00:56:37.780]  The entire system is owned by them.
[00:56:38.442 --> 00:56:38.942]  Okay.
[00:56:38.942 --> 00:56:40.083]  But now, here, the Mormons.
[00:56:40.083 --> 00:56:41.083]  Let's look at them.
[00:56:41.083 --> 00:56:47.346]  The thing with the Mormons, they send the kids go abroad, right, for one and a half years of missionary work.
[00:56:47.346 --> 00:56:49.407]  When they come back, they've learned a foreign language.
[00:56:49.407 --> 00:56:51.789]  They go to work for the CIA immediately.
[00:56:51.789 --> 00:56:54.510]  There's a strong Mormon faction in the CIA.
[00:56:54.510 --> 00:56:57.091]  There's always been a Mormon faction in the FBI, right?
[00:56:57.091 --> 00:57:04.655]  The rule of thumb was always half the FBI was Jesuits from Fordham University and the other half were Mormons.
[00:57:04.655 --> 00:57:05.776]  The Defense Department.
[00:57:06.616 --> 00:57:08.158]  The Scowcroft people, right?
[00:57:08.158 --> 00:57:15.144]  Brent Scowcroft, the angel of death from the first... Jack Mormon's what they call him.
[00:57:15.144 --> 00:57:16.265]  So, you have all these people.
[00:57:16.265 --> 00:57:17.606]  Glenn Beck, how about him?
[00:57:17.606 --> 00:57:19.048]  Probably the most prominent.
[00:57:19.048 --> 00:57:25.454]  So, this is a powerful faction in government, and it's a religion that worships power, among other things.
[00:57:26.323 --> 00:57:26.963]  Interesting.
[00:57:26.963 --> 00:57:28.564]  All right, well, let's come back in one minute, Tarbley.
[00:57:28.564 --> 00:57:29.664]  You know, I really got you on.
[00:57:29.664 --> 00:57:30.484]  I got to get you back on.
[00:57:30.484 --> 00:57:31.965]  This is all interesting.
[00:57:31.965 --> 00:57:34.686]  I wanted you to recap the history of who Obama is.
[00:57:34.686 --> 00:57:39.307]  I mean, what does it signify that our president really was born in Kenya?
[00:57:39.307 --> 00:57:42.788]  I mean, it's just absolute proof on top of proof.
[00:57:42.788 --> 00:57:48.010]  It's like the cops digging up 20 dead bodies in your basement, but then you say you didn't kill anybody.
[00:57:48.010 --> 00:57:48.830]  That's the second hour.
[00:57:51.462 --> 00:58:06.937]  You've heard Alex explain how the Silver Lungs Generator infuses the respiratory system with your self-produced colloidal silver solutions, yet many are unaware of the entire function of the Silver Lungs System and how it has been designed to deliver your silver solutions anywhere in or on the body.
[00:58:06.937 --> 00:58:10.621]  My name is Mario Cifaldi and I'm the developer of the Silver Lungs Generator.
[00:58:11.621 --> 00:58:24.393]  Not only does the Silver Lung System produce endless colloidal and ionic silver solutions, it also comes equipped with the proper applicators and devices needed to deliver your silver solutions directly to key target areas.
[00:58:24.393 --> 00:58:31.660]  This includes the eyes, ears, nose, lungs, topically to the skin, and orally for the digestive system.
[00:58:32.341 --> 00:58:42.709]  Be sure to watch our new 7-minute video tour of the Silver Lungs System at www.SilverLungs.com to learn more about how the Silver Lungs System works.
[00:58:42.709 --> 00:58:46.631]  As well, we are always ready to answer any questions you may have.
[00:58:46.631 --> 00:58:49.754]  That's www.SilverLungs.com
[00:58:50.334 --> 00:58:54.699]  For a long time, you've heard me talk about building your own food supply with eFoods Direct.
[00:58:54.699 --> 00:58:58.724]  As a listener, you know why you need to have a supply of the best storable food on the planet.
[00:58:58.724 --> 00:59:02.749]  Every day, we document the attempts to take control of our lives.
[00:59:02.749 --> 00:59:04.972]  But there's one thing we can all control.
[00:59:04.972 --> 00:59:06.493]  Your greatest dependency.
[00:59:06.493 --> 00:59:06.814]  Food.
[00:59:07.214 --> 00:59:14.738]  eFoods Direct products are made with only the best ingredients and none of the trash and contaminants like trans fats, GMOs, or MSG.
[00:59:14.738 --> 00:59:17.279]  This food is nutrient-dense and tastes great.
[00:59:17.279 --> 00:59:21.221]  It's simple to make, portable, and has a shelf life of up to 25 years.
[00:59:21.221 --> 00:59:24.803]  Now with eFoods Direct, you'll get the most affordable, best-tasting food you can buy.
[00:59:25.103 --> 00:59:27.704]  And the new products and pricing will blow you away.
[00:59:27.704 --> 00:59:32.565]  Compared to other food sources, including home-cooked meals, you can cut your food cost in half.
[00:59:32.565 --> 00:59:34.545]  You just can't afford to ignore this.
[00:59:34.545 --> 00:59:40.187]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex for specials.
[00:59:40.187 --> 00:59:41.707]  Don't let this offer pass you by.
[00:59:41.707 --> 00:59:43.748]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:59:43.748 --> 00:59:45.328]  More the best, for less guaranteed.
[00:59:51.437 --> 00:59:55.020]  Coast to coast, direct from Austin.
[00:59:55.020 --> 01:00:02.185]  You're listening to the Alex Jones Broadcasting Network.
[01:00:02.185 --> 01:00:08.809]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:00:08.809 --> 01:00:11.792]  It's Alex Jones and the GCN Radio Network.
[01:00:13.789 --> 01:00:23.238]  Okay, Webster, when you bring up a legitimate issue of power, if Mormons are less than one half of one percent of the population, they do have a giant proportion in government.
[01:00:23.238 --> 01:00:27.142]  Your point about Romney, I mean, do you think the globalists are thinking about putting him in?
[01:00:27.142 --> 01:00:27.743]  Absolutely.
[01:00:27.743 --> 01:00:35.170]  That's the way the wind seems to be blowing right now, that Obama may be considered a spent force.
[01:00:35.170 --> 01:00:37.032]  They could say, well, Obama has given us
[01:00:37.692 --> 01:00:44.635]  Good results, but now we want to have more savage austerity, more genocide against the American people.
[01:00:44.635 --> 01:00:47.456]  And we want to get back to warfare.
[01:00:47.456 --> 01:00:53.479]  The kind of wars they may be planning now are not the ones necessarily where Obama is going to shine.
[01:00:53.479 --> 01:00:56.901]  And in particular, they may want war now.
[01:00:56.901 --> 01:00:59.282]  And for Obama, war now is not a good idea.
[01:00:59.282 --> 01:01:02.583]  War before the election for Obama is a bad thing.
[01:01:02.583 --> 01:01:04.864]  So the ruling class is balancing.
[01:01:04.864 --> 01:01:06.705]  And I think this is the way to look at it.
[01:01:07.365 --> 01:01:09.846]  Some people look at it saying, which is the greater evil?
[01:01:09.846 --> 01:01:11.546]  I wouldn't do that at the moment.
[01:01:11.546 --> 01:01:15.907]  Some people look and say, how can we maintain divided government?
[01:01:15.907 --> 01:01:17.207]  I think that's very important.
[01:01:17.207 --> 01:01:19.308]  Don't give all power to anybody.
[01:01:19.308 --> 01:01:22.749]  Keep them fighting each other as much as possible under this system.
[01:01:22.749 --> 01:01:28.810]  But the question that I ask myself is, what's the ruling class preference and fight that?
[01:01:28.810 --> 01:01:30.631]  And that could be Romney.
[01:01:30.631 --> 01:01:31.991]  So far it's been Obama.
[01:01:32.871 --> 01:01:34.093]  I mean, I agree with you.
[01:01:34.093 --> 01:01:42.721]  Whatever the globalists are actually supporting, not what they're fake supporting, but what they really support, that's always what you want to be against.
[01:01:42.721 --> 01:01:46.645]  And undoubtedly, I mean, it was bad with Bush and his cousin Kerry.
[01:01:46.645 --> 01:01:47.646]  There was almost no difference.
[01:01:47.646 --> 01:01:52.111]  With this, they are so closely aligned by the same special interest.
[01:01:52.111 --> 01:01:53.412]  But what do you make of the fact that
[01:01:54.258 --> 01:02:05.997]  Mainstream media now has to report that Bilderberg is even real and there's so much attention on this and we learned of the meeting place so early and thousands of protesters are planning to be there after I called for Occupy Bilderberg.
[01:02:06.502 --> 01:02:09.063]  Well, the system is breaking down.
[01:02:09.063 --> 01:02:11.244]  There are challenges emerging all over the place, right?
[01:02:11.244 --> 01:02:18.828]  For the ruling elite in Europe, they were trying to impose this austerity and now there's a rebellion.
[01:02:18.828 --> 01:02:28.112]  I would like to call everybody's attention to Alexis Tsipras and the Syriza bloc, S-Y-R-I-Z-A, in Greece.
[01:02:28.112 --> 01:02:29.453]  This is everything that
[01:02:30.013 --> 01:02:32.174]  Occupy Wall Street failed to be.
[01:02:32.174 --> 01:02:37.736]  Occupy Wall Street, a failure dominated by anarchists, dominated by NATO agents.
[01:02:37.736 --> 01:02:39.596]  But you look at the Syriza bloc.
[01:02:39.596 --> 01:02:40.937]  They've got a program.
[01:02:40.937 --> 01:02:46.959]  Roll back austerity, defend workers' rights, democracy, jail the bankers, debt moratorium.
[01:02:46.959 --> 01:02:47.519]  They want to have...
[01:02:49.300 --> 01:02:52.041]  They've got an organization that's very interesting.
[01:02:52.041 --> 01:02:56.844]  He took 12 components and merged it into one electoral block.
[01:02:56.844 --> 01:02:58.766]  They've got a leader, this guy Tsipras, right?
[01:02:58.766 --> 01:03:01.087]  Again, what Occupy Wall Street didn't want.
[01:03:01.087 --> 01:03:03.028]  Tsipras, that sounds like something epic.
[01:03:04.745 --> 01:03:08.407]  Okay, we're going to have to have you back probably sometime this week, Webster, because this is all intriguing.
[01:03:08.407 --> 01:03:12.408]  I want to get a world report from you sometime this week for a full hour.
[01:03:12.408 --> 01:03:29.876]  I want to look at things block by block from Kony 2012 into the Iran situation into Europe, but undoubtedly they don't want Europe to go the way of Iceland because if they keep having failures and people realize, hey, it's the bankers, the mega bankers, and start burning banks, I mean, it's over for them.
[01:03:29.876 --> 01:03:31.577]  If they can have us fight with each other, they win.
[01:03:32.110 --> 01:03:32.730]  Absolutely.
[01:03:32.730 --> 01:03:40.933]  The Syriza bloc says, stay in the Euro, fight to control the European institutions, and have a debt moratorium.
[01:03:40.933 --> 01:03:43.414]  And with that, they're going to find allies.
[01:03:43.414 --> 01:03:45.775]  Even in France, things are moving their way.
[01:03:45.775 --> 01:03:49.096]  There's a rebellion in Europe against the austerity.
[01:03:49.096 --> 01:03:54.258]  Part of it, it takes the form of a rebellion against Merkel, this ignorant woman who runs
[01:03:55.018 --> 01:03:56.661]  We're almost out of time.
[01:03:56.661 --> 01:04:00.728]  Let me just ask you, because I know you want to just talk academically about what's happening currently.
[01:04:00.728 --> 01:04:06.037]  You say everything else is a diversion, like gay marriage or something, but they're trying to football out there.
[01:04:06.037 --> 01:04:07.519]  Where is Obama really from?
[01:04:07.519 --> 01:04:07.780]  Kenya?
[01:04:08.996 --> 01:04:11.638]  I think that's probably a good guess.
[01:04:11.638 --> 01:04:14.341]  Obviously, the question is blackmail.
[01:04:14.341 --> 01:04:21.947]  In other words, he has never produced the original of a real birth certificate so that everybody could look at it, right?
[01:04:21.947 --> 01:04:30.214]  It could be made available at the Library of Congress or the National Archives or something in a room, right, where you have to put gloves on before you come in.
[01:04:30.214 --> 01:04:32.617]  There are two cops standing there, but you could look at it.
[01:04:33.317 --> 01:04:35.478]  You could test it, you could do all these things.
[01:04:35.478 --> 01:04:41.340]  So, the fact that they don't do this, the ruling class blackmails them, and by now, everybody in the world blackmails them.
[01:04:41.340 --> 01:04:46.001]  I've always thought there's a syndicate to blackmail Obama, which has many, many stockholders.
[01:04:46.001 --> 01:04:54.444]  Boehner is a stockholder, McConnell is a stockholder, the Republicans... Fox News is using it so they don't get arrested for the hacking scandal.
[01:04:54.444 --> 01:04:56.244]  It's all a balance of blackmail.
[01:04:56.244 --> 01:04:58.225]  Thank you so much, Mr. Tarpoli.
[01:04:58.225 --> 01:05:01.666]  We'll be right back with... Stick to the globalist eugenicist control freaks
[01:05:01.786 --> 01:05:05.008]  Adding poison to your water and laughing as you get sick and die?
[01:05:05.008 --> 01:05:07.429]  Start purifying your water with ProPure.
[01:05:07.429 --> 01:05:16.533]  My friends, I've done a lot of research and the best gravity filter out there bar none is ProPure and it's available discounted at InfoWars.com.
[01:05:16.533 --> 01:05:19.975]  Its filters are silver impregnated to prevent bacterial growth.
[01:05:19.975 --> 01:05:21.655]  There's no priming required.
[01:05:21.655 --> 01:05:23.936]  It's NSF 42 certified.
[01:05:23.936 --> 01:05:26.438]  Optional fluoride filters can reduce fluoride up to 95%.
[01:05:27.498 --> 01:05:29.018]  Easy to set up and use.
[01:05:29.018 --> 01:05:30.439]  Doesn't require electricity.
[01:05:30.439 --> 01:05:33.600]  Purify water from lakes, streams, ponds, and wells.
[01:05:33.600 --> 01:05:37.000]  This filter system leaves in beneficial minerals, which is key.
[01:05:37.000 --> 01:05:41.122]  Save money by not buying bottled water, and avoid BPA that leaches from the plastic.
[01:05:41.122 --> 01:05:43.862]  ProPure is the best gravity-fed filter out there.
[01:05:43.862 --> 01:05:45.443]  It's what my family uses.
[01:05:45.443 --> 01:05:48.744]  Infowars.com already has the lowest price on ProPure.
[01:05:48.744 --> 01:05:54.005]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[01:05:54.585 --> 01:05:55.905]  You can also call to order 888-253-3139.
[01:05:55.905 --> 01:05:57.266]  We are on the march.
[01:05:57.266 --> 01:06:03.207]  The empire is on the run.
[01:06:03.207 --> 01:06:05.707]  Alex Jones and the GCN Radio Network.
[01:06:21.417 --> 01:06:26.940]  By the way, there is a lot of new stuff, a lot of fun stuff, actually, at InfoWars.com.
[01:06:26.940 --> 01:06:35.324]  Thanks for joining us here on the second hour on this live Sunday, the 20th of May edition.
[01:06:35.324 --> 01:06:42.048]  I have started producing for InfoWars Nightly News that's on every night at PrisonPlanet.tv or InfoWarsNews.com.
[01:06:42.048 --> 01:06:48.991]  Some cable systems and TV systems are already picking it up without me even putting an uplink up yet, I should add.
[01:06:48.991 --> 01:06:49.351]  We're on...
[01:06:50.692 --> 01:06:54.654]  Two or three hours a week on big mainline cable in England, of all places.
[01:06:54.654 --> 01:06:55.494]  That's a side issue.
[01:06:55.494 --> 01:07:00.957]  My point is, we have a great 15-minute little piece up at Infowars.com.
[01:07:00.957 --> 01:07:03.298]  It's now down in the right-hand corner of the website.
[01:07:03.298 --> 01:07:07.680]  You'll see the little YouTube video box there.
[01:07:07.680 --> 01:07:11.521]  And the headline is, Huge Explosions and Fiery Tracers.
[01:07:11.521 --> 01:07:14.223]  And it's my idea of the American phenomenon of
[01:07:16.167 --> 01:07:18.409]  Guns and gun shows.
[01:07:18.409 --> 01:07:23.114]  I had an idea for six, seven years to do a gun show, and now that idea has come.
[01:07:23.114 --> 01:07:24.135]  It's super popular.
[01:07:24.135 --> 01:07:27.057]  They're selling three million guns on average on month.
[01:07:27.057 --> 01:07:29.640]  One month was five million guns.
[01:07:29.640 --> 01:07:34.424]  This is one right we've still got left, and it's an idea whose time has come.
[01:07:34.424 --> 01:07:37.808]  You see, you can sell liberty if you make it fun and make it popular.
[01:07:38.758 --> 01:07:48.309]  And they are really trying to use their fast and furious operation to restrict guns, but everybody's like, you're the ones that ship the guns to Mexico to do this.
[01:07:48.309 --> 01:07:49.850]  So it's not working.
[01:07:49.850 --> 01:07:57.218]  See the pilot episode for a show I'm producing called Brothers in Arms with two high school friends of mine, Sid and Shane Steiner.
[01:07:58.139 --> 01:08:04.084]  And others of Steiner Ranch here in Austin, Texas to see some amazing explosions and other things.
[01:08:04.084 --> 01:08:06.705]  Pretty powerful footage and a lot of fun.
[01:08:06.705 --> 01:08:13.550]  That's at InfoWars.com and on one of our big YouTube channels that has over 200 million views on it.
[01:08:13.550 --> 01:08:17.433]  So be sure and check that video out at the bottom of InfoWars.com.
[01:08:17.433 --> 01:08:22.077]  Well for the next 30 minutes we are joined by
[01:08:23.905 --> 01:08:25.946]  Dr. Jerome Corsi.
[01:08:25.946 --> 01:08:36.630]  And Dr. Corsi was one of the first birthers to go and do the research, to go to Kenya and other areas, and to research the providence of the President.
[01:08:36.630 --> 01:08:40.072]  Because if he isn't who he says he is, he can be blackmailed by foreign governments.
[01:08:40.072 --> 01:08:43.013]  And he worked with the State Department in a high security position.
[01:08:43.013 --> 01:08:44.393]  We'll just leave it at that.
[01:08:44.393 --> 01:08:47.134]  He writes for WorldNet Daily and many other big publications.
[01:08:47.134 --> 01:08:50.356]  He has a PhD from Harvard University in political science.
[01:08:51.096 --> 01:08:57.039]  And of course he swift-boated John Kerry with that accurate information and more.
[01:08:57.039 --> 01:09:06.383]  And of course, one week before his book was going to come out, where is the birth certificate, Obama came out with the long form and he said didn't exist.
[01:09:06.383 --> 01:09:07.424]  And all of his surrogates did.
