[00:00:00.049 --> 00:00:00.650]  We've got it!
[00:47:59.119 --> 00:48:11.289]  Maybe it's good to have Obama say that he's going to have the ATF, outside of law, through regulations, ban most semi-automatic rifles and shotguns.
[00:48:11.870 --> 00:48:12.650]  They're pushing that.
[00:48:13.031 --> 00:48:15.573]  I mean, maybe we should turn our guns in.
[00:48:15.933 --> 00:48:17.374]  Maybe we should raise our taxes.
[00:48:17.434 --> 00:48:24.320]  Maybe, like the UN says, we should join world government and that any national sovereignty is a bad idea.
[00:48:24.340 --> 00:48:26.582]  That's the headline at the BBC right now.
[00:48:28.732 --> 00:48:31.954]  Maybe I've been wrong all these years, because everything I said is coming true.
[00:48:33.294 --> 00:48:39.177]  We should just accept the foreign banks running us and destroying us and just appreciate them.
[00:48:41.098 --> 00:48:43.059]  Let's go ahead and go to this clip here.
[00:48:43.820 --> 00:48:50.083]  And again, the full clip's up at InfoWars.com in the Don't Be Alarmed Army Trains MPs to Drive Tanks on US Streets.
[00:48:50.903 --> 00:48:56.566]  And there are hundreds of these big armored vehicles, they call them tanks, they're really big armored vehicles, driving around.
[00:48:58.966 --> 00:49:03.107]  And they have dual use for overseas as well, but they're putting caches of them all over the country.
[00:49:03.147 --> 00:49:03.807]  That's admitted.
[00:49:04.087 --> 00:49:06.348]  It's called Brigade Homeland, is the plan.
[00:49:06.888 --> 00:49:11.269]  But in the Army Times, for you, it's all for you.
[00:49:11.289 --> 00:49:15.409]  Head of the Army admits it, but it doesn't exist.
[00:49:15.850 --> 00:49:19.630]  No, we should all, one guy in the newscast says, I'm gonna go out and salute them.
[00:49:20.951 --> 00:49:26.852]  Yes, yes, it's a sign of freedom to have armored vehicles driving around like the Russians have occupied us.
[00:49:27.932 --> 00:49:35.716]  And again, you get all the training manuals that police and military have sent us that have become national news so many times, Myok, Homeland Security, remember all those?
[00:49:36.196 --> 00:49:40.658]  Headline, returning veterans number one threat, then libertarians, then conservatives.
[00:49:40.958 --> 00:49:47.322]  Maybe it's good to have the armed forces secretly training and now publicly training to take on the American people.
[00:49:47.542 --> 00:49:49.323]  Maybe we really are the bad guys.
[00:49:53.165 --> 00:49:55.806]  Here is part of the newscast where the American people
[00:49:57.237 --> 00:50:09.283]  The military allowed them, by the way, we know where it is, it's a old dump that the military uses out there by a threat fusion center at this particular area where they've got this located in St.
[00:50:09.323 --> 00:50:12.164]  Louis, Missouri.
[00:50:13.165 --> 00:50:15.306]  But again, it's several hundred giant armored vehicles.
[00:50:15.766 --> 00:50:22.810]  But again, the enemy, let's be clear though, the press could be trusted as collaborator media with the globalists.
[00:50:23.692 --> 00:50:25.193]  But you do not let the enemy know.
[00:50:25.653 --> 00:50:26.713]  And, of course, you know who they are.
[00:50:26.993 --> 00:50:27.833]  It's... look in the mirror.
[00:50:28.354 --> 00:50:29.114]  Here is that clip.
[00:50:29.334 --> 00:50:37.456]  This is a group of military police in from Fort Meade, Maryland, and they are here to train members of the 354th MP Company here in St.
[00:50:37.496 --> 00:50:39.697]  Louis on how to drive these rigs.
[00:50:39.737 --> 00:50:45.299]  A military's driver's ed, of sorts, if you will, on the highways and on city streets.
[00:50:45.679 --> 00:50:51.161]  They are not loaded, they are not armed in any way, but the Army says that does not mean they aren't dangerous.
[00:50:53.325 --> 00:50:55.047]  That vehicle is over 32,000 pounds.
[00:50:55.487 --> 00:51:00.032]  If they see that vehicle, it is harmless, but they need to know to stay away from it.
[00:51:00.973 --> 00:51:03.877]  We don't mind you all looking at it, but please stay away.
[00:51:04.678 --> 00:51:10.985]  Every day while we're out riding around, we get hundreds of people taking pictures and filming us, and a lot of people even swerving in our lane.
[00:51:12.554 --> 00:51:15.718]  In fact, they were on Interstate 44 today coming in from Fort Leonard Wood.
[00:51:15.738 --> 00:51:18.401]  They say they had one man trying to drive and take pictures at the same time.
[00:51:18.441 --> 00:51:24.708]  They had a kind of a last-minute unintended class and evasive maneuvers to avoid... Alright, let's stop right there.
[00:51:25.669 --> 00:51:26.991]  Now that's just a short clip.
[00:51:27.171 --> 00:51:32.337]  Let's go back to the beginning where they say the people cannot be trusted.
[00:51:34.013 --> 00:51:35.455]  You cannot let the people know.
[00:51:35.655 --> 00:51:40.021]  We're out here at the location, but we can't tell you because it's a security issue.
[00:51:40.522 --> 00:51:42.225]  Can't let you know where all the armored vehicles are.
[00:51:42.865 --> 00:51:44.508]  And by the way, these are new vehicles.
[00:51:44.548 --> 00:51:47.872]  The Pentagon has ordered thousands and thousands.
[00:51:49.025 --> 00:51:49.885]  Good evening.
[00:51:49.905 --> 00:51:51.006]  It's a military mission in North St.
[00:51:51.026 --> 00:51:51.166]  Louis.
[00:51:51.186 --> 00:51:53.527]  Heavily armored vehicles are rolling into town, and while they come in peace,
[00:52:12.213 --> 00:52:14.918]  There are all kinds of rumors about why they are here.
[00:52:14.938 --> 00:52:18.525]  News Channel 5's Casey Nolan is live somewhere in St.
[00:52:18.625 --> 00:52:22.513]  Charles County where he got an up-close look at the military vehicles.
[00:52:22.613 --> 00:52:22.934]  Casey?
[00:52:23.917 --> 00:52:28.080]  Mike, in order to get that up-close look, we've agreed not to say exactly where in St.
[00:52:28.120 --> 00:52:32.343]  Charles County we are tonight and where these vehicles will be parked overnight.
[00:52:32.423 --> 00:52:38.307]  The Army doesn't want that information to be made public for security reasons, but we can tell you why they are here.
[00:52:38.407 --> 00:52:45.171]  Now, this may not be such a huge deal that these rigs are in town, if not for the speculation that was coming via the internet today.
[00:52:45.251 --> 00:52:45.391]  St.
[00:52:45.431 --> 00:52:53.677]  Louis Police first put out the word that people may see these armored security vehicles in their neighborhood, especially near the Army Reserve Armory in North
[00:52:53.717 --> 00:52:57.561]  Okay, let's stop right there.
[00:52:57.681 --> 00:52:59.263]  Let's stop right there.
[00:52:59.743 --> 00:53:10.714]  Again, you can go to my website, Infowars.com, and I link to the Army Times, Stars and Stripes, the Council on Foreign Relations, the Secretary of the Army, all saying this is for the general public.
[00:53:10.994 --> 00:53:13.377]  But those are all scholarly reports to each other.
[00:53:14.631 --> 00:53:15.471]  Or to the military.
[00:53:15.911 --> 00:53:21.213]  They think you're so stupid, that's kind of compartmentalized to the military and not to the general public.
[00:53:21.553 --> 00:53:23.214]  I could open the phones up right now.
[00:53:23.254 --> 00:53:24.094]  In fact, I'm going to.
[00:53:25.755 --> 00:53:27.636]  And I'm just going to take military whistleblowers.
[00:53:28.536 --> 00:53:29.376]  And I've done this before.
[00:53:29.416 --> 00:53:33.318]  And then I can have them mail me the documents and photos and publish them.
[00:53:33.898 --> 00:53:35.718]  And then I can have it break in the local news.
[00:53:35.818 --> 00:53:39.740]  We've already done this probably, no exaggeration, over a hundred times the last 17 years.
[00:53:41.325 --> 00:53:42.786]  Because they're patriots in the military.
[00:53:43.326 --> 00:53:52.373]  I can open the phones right now and have military police, current active duty, call in and go, yeah, I'm allowed to tell you that we're trying to take on the American people.
[00:53:52.413 --> 00:53:53.213]  It's not a secret.
[00:53:54.034 --> 00:53:55.695]  The news just acts like they don't know.
[00:53:55.835 --> 00:53:56.896]  This is not a secret.
[00:53:57.976 --> 00:54:08.744]  Listen, I confirmed through five military officers, after I got a few calls on air, that when Rick Perry jokingly talked about seceding the John Warren Defense Authorization Act,
[00:54:10.328 --> 00:54:14.769]  of 2007 says for insurrection by the states or governors or legislatures.
[00:54:15.069 --> 00:54:18.270]  The feds call it insurrection if the states say no to something.
[00:54:18.730 --> 00:54:34.253]  And when Rick Perry joked about that, the Oklahoma, Missouri, Arkansas, Louisiana, New Mexico, all the National Guards around us went on alert and they got in their tanks and armored vehicles ready to put them on the backs of trains to come to Texas.
[00:54:35.165 --> 00:54:35.945]  You're like, oh really?
[00:54:35.965 --> 00:54:38.486]  Yo, yeah, what you just heard is classified.
[00:54:38.506 --> 00:54:39.587]  You want me to go further?
[00:54:40.327 --> 00:54:47.150]  You remember when the state legislature unanimously in the House voted to enforce current law that you couldn't grope people's genitals at the airport?
[00:54:47.890 --> 00:54:50.151]  And we're going to instruct state police to arrest people?
[00:54:50.552 --> 00:54:52.813]  What did the federal government say?
[00:54:53.593 --> 00:54:58.255]  We are prepared with F-16s to run an armed blockade of any aircraft entering Texas.
[00:55:02.711 --> 00:55:07.115]  I mean, what do you think the Feds did when the South said we're not going to pay these tariffs anymore?
[00:55:07.516 --> 00:55:09.858]  They sent ships into the harbors and the Civil War started.
[00:55:13.241 --> 00:55:15.163]  I mean, that's where we are right now.
[00:55:15.933 --> 00:55:21.997]  This is what's going on while you're watching American Idol and sports and, you know, golfing and acting cool and riding your Harley around.
[00:55:22.237 --> 00:55:24.479]  And I'm not knocking you wanting to play golf and want to ride a Harley.
[00:55:24.739 --> 00:55:25.959]  I wish I had time to do that.
[00:55:26.320 --> 00:55:30.643]  But I can't morally sit here and know this is going on.
[00:55:30.663 --> 00:55:31.603]  People are like, well, so what?
[00:55:31.643 --> 00:55:32.644]  Let us go to martial law.
[00:55:33.024 --> 00:55:35.885]  They only want to go to martial law because they're going to take the guns.
[00:55:36.085 --> 00:55:37.565]  They're going to make you take vaccines.
[00:55:37.805 --> 00:55:39.846]  These are bad, bad authoritarians.
[00:55:40.046 --> 00:55:41.486]  These are bad people.
[00:55:41.726 --> 00:55:46.087]  And we cannot let our military sit there and think it's okay to do all this.
[00:55:48.408 --> 00:55:49.028]  So, you know what?
[00:55:49.068 --> 00:55:49.608]  I'm going to do this.
[00:55:49.628 --> 00:55:50.648]  We're going to have whistleblowers.
[00:55:50.708 --> 00:55:53.109]  And I'm going to try to go right to your calls as we start the next hour.
[00:55:53.149 --> 00:55:56.970]  Then I'll get into the GMO huge news towards the end of the next hour, if we have time.
[00:55:56.990 --> 00:55:57.850]  If not, I'll cover it tomorrow.
[00:55:58.110 --> 00:55:58.730]  It is big news.
[00:56:00.643 --> 00:56:03.567]  I'm gonna give you the number for the military or police that are trying with the military.
[00:56:03.747 --> 00:56:05.509]  And again, this is all in the news.
[00:56:05.870 --> 00:56:09.915]  I have links to their admissions, but people don't seem to go look at that or listen.
[00:56:10.216 --> 00:56:12.459]  You will listen to the military.
[00:56:12.679 --> 00:56:13.760]  So let's hear from them.
[00:56:14.471 --> 00:56:18.454]  And again, military knows they can call in here as citizens, as long as it's not something classified.
[00:56:18.494 --> 00:56:20.735]  We still get that kind of stuff, not like we're asking for it.
[00:56:21.936 --> 00:56:23.937]  But the point is that I'm not like I need to have it.
[00:56:23.957 --> 00:56:26.479]  I can already reverse engineer by watching it on the ground.
[00:56:26.519 --> 00:56:30.942]  They don't hide what they're doing because they think the public is totally in a coma, and on average they are.
[00:56:31.302 --> 00:56:35.005]  Only if you're awake and know history is this stuff completely clear like writing on the wall.
[00:56:36.667 --> 00:56:44.632]  So, here is the toll-free number, 877-789-ALEX, 877-789-A-L-E-X, 877-789-2539.
[00:56:45.932 --> 00:56:50.555]  It's no secret there's running everybody down to mechanics in riot control.
[00:56:51.135 --> 00:56:54.477]  There's no secret they've been getting caches of tanks and armored vehicles.
[00:56:54.777 --> 00:56:59.100]  Not just the thousands they've ordered and gotten delivery of, but new ones.
[00:57:01.223 --> 00:57:03.004]  But also old ones being refurbished.
[00:57:03.384 --> 00:57:05.805]  Helicopters, you name it, for us.
[00:57:06.585 --> 00:57:10.087]  Because there's a globalist takeover that's already happened at the highest levels.
[00:57:10.387 --> 00:57:12.368]  Now they want to get rid of what's left of America.
[00:57:12.728 --> 00:57:15.189]  Overthrow states' rights, bring in total tyranny.
[00:57:15.509 --> 00:57:18.931]  And just by talking about this, we may hold it back and back it off.
[00:57:19.631 --> 00:57:20.271]  You understand that?
[00:57:20.551 --> 00:57:27.694]  The only way the New World Order usurpers that have got a beachhead in Washington can do this is if we're ignorant and not aware of it and don't decry it.
[00:57:28.014 --> 00:57:32.156]  So I'm walking point, defending the Republic in the spirit of 1776.
[00:57:32.236 --> 00:57:36.257]  Straight ahead, 877-789-ALEX.
[00:57:37.078 --> 00:57:40.219]  Checking our, your calls, masses of news.
[00:57:40.559 --> 00:57:43.540]  Cyanide grass outside Austin, killing cattle.
[00:57:44.000 --> 00:57:46.841]  CBS News, GMO, and more.
[00:57:47.141 --> 00:57:47.942]  Straight ahead.
[00:57:48.042 --> 00:57:48.582]  We'll be back.
[00:57:52.406 --> 00:57:56.550]  For a long time, you've heard me talk about building your own food supply with eFoods Direct.
[00:57:56.770 --> 00:58:00.474]  As a listener, you know why you need to have a supply of the best storable food on the planet.
[00:58:00.794 --> 00:58:04.478]  Every day, we document the attempts to take control of our lives.
[00:58:04.838 --> 00:58:06.820]  But there's one thing we can all control.
[00:58:07.040 --> 00:58:08.281]  Your greatest dependency.
[00:58:08.562 --> 00:58:08.862]  Food.
[00:58:09.262 --> 00:58:16.628]  eFoods Direct products are made with only the best ingredients and none of the trash and contaminants like trans fats, GMOs, or MSG.
[00:58:16.808 --> 00:58:19.110]  This food is nutrient-dense and tastes great.
[00:58:19.350 --> 00:58:22.973]  It's simple to make, portable, and has a shelf life of up to 25 years.
[00:58:23.293 --> 00:58:26.936]  Now with eFoods Direct, you'll get the most affordable, best-tasting food you can buy.
[00:58:27.196 --> 00:58:29.578]  And the new products and pricing will blow you away.
[00:58:29.778 --> 00:58:34.322]  Compared to other food sources, including home-cooked meals, you can cut your food cost in half.
[00:58:34.642 --> 00:58:36.283]  You just can't afford to ignore this.
[00:58:36.604 --> 00:58:42.008]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex for specials.
[00:58:42.248 --> 00:58:43.630]  Don't let this offer pass you by.
[00:58:43.790 --> 00:58:45.791]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:58:45.831 --> 00:58:47.072]  More the best, for less guaranteed.
[00:58:52.691 --> 00:58:58.095]  When you're out on the road, the last place you want to be is on the road.
[00:58:59.356 --> 00:59:04.119]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[00:59:04.500 --> 00:59:11.024]  There's a place down in Tennessee, where they make blue diamond gusset jeans.
[00:59:13.226 --> 00:59:15.408]  They sew pride in every stitch.
[00:59:17.289 --> 00:59:19.611]  Guarantee you'll love the way they fit.
[00:59:21.704 --> 00:59:25.586]  They put a Diamond Gusset in the crotch, where you need it most.
[00:59:26.307 --> 00:59:29.428]  Blue Diamond Gussets got it.
[00:59:30.149 --> 00:59:30.949]  Others don't.
[00:59:31.369 --> 00:59:33.250]  We turn jeans inside out.
[00:59:33.510 --> 00:59:35.011]  Diamond Gusset Jeans.
[00:59:35.311 --> 00:59:37.853]  Made in the USA with unparalleled quality.
[00:59:38.193 --> 00:59:44.456]  Our Defender Motorcycle Jeans combine Gusset comfort with Kevlar protection, so you can ride all day with confidence.
[00:59:44.817 --> 00:59:47.018]  Order yours at gusset.com.
[00:59:47.518 --> 00:59:49.539]  Diamond Gusset Jeans got it.
[00:59:49.879 --> 00:59:50.380]  Others don't.
[00:59:53.314 --> 00:59:56.155]  Coast to coast, direct from Austin.
[00:59:56.896 --> 01:00:00.197]  You're listening to the Alex Jones Broadcasting Network.
[01:00:03.859 --> 01:00:09.881]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:00:10.482 --> 01:00:13.463]  It's Alex Jones and the GCN Radio Network.
[01:00:23.832 --> 01:00:26.153]  Okay, the whistleblower calls are coming in.
[01:00:26.173 --> 01:00:30.654]  And by whistleblowers, this is no secret, but it's good to get your take on it.
[01:00:31.915 --> 01:00:41.358]  Well, some of it's secret, but the fact that they're preparing the military not to just, quote, fight imaginary terrorists domestically, but for crowd control, checkpoints, gun confiscation.
[01:00:41.738 --> 01:00:42.999]  You saw what happened in Katrina.
[01:00:44.775 --> 01:00:46.537]  I should ask the military this as well.
[01:00:47.277 --> 01:00:52.902]  For active duty, MPs or police right now, will you confiscate guns in order to do a show?
[01:00:53.523 --> 01:01:04.553]  Because let me tell you, the system is data mining, testing, and if they ever think you'll go ahead with it, they're going to try it.
[01:01:05.273 --> 01:01:08.136]  And if they ever think the American people will go along with it, they're going to do it.
[01:01:10.959 --> 01:01:16.302]  Even at the expense of a civil war, if the globalists think they can make it and have it work, they will do it.
[01:01:16.703 --> 01:01:18.604]  That is the nature of these people.
[01:01:19.805 --> 01:01:24.067]  Toll-free number to join us, 877-789-ALEX.
[01:01:24.087 --> 01:01:24.728]  877-789-2539.
[01:01:25.348 --> 01:01:28.430]  Been doing this Sunday show for like five years.
[01:01:30.411 --> 01:01:33.013]  And still haven't memorized that number.
[01:01:33.033 --> 01:01:35.975]  Well, we've only had that particular number about a year, so I guess that's why I haven't memorized it.
[01:01:35.995 --> 01:01:38.797]  Because we only use it on Sunday weekdays, we have the network number.
[01:01:39.670 --> 01:01:41.572]  And go and work with the network phone system.
[01:01:42.953 --> 01:01:49.698]  We've just kind of partially moved over to doing everything out of our own studio and never fully gone away from using Genesis for the phone calls.
[01:01:50.279 --> 01:01:56.784]  Really, because I like John Harmon so much, the guy that board ops and kind of produces the show from that end, along with our producers down here.
[01:01:56.804 --> 01:02:00.107]  Been working with him for a lot of years and just enjoy hearing his voice every day.
[01:02:00.147 --> 01:02:02.189]  But that's where the satellite uplinks are as well.
[01:02:02.609 --> 01:02:04.030]  Folks at Genesis are great people.
[01:02:04.070 --> 01:02:04.391]  GCNlive.com.
[01:02:08.177 --> 01:02:20.852]  I noticed that online the different videos of press conferences with Janet Napolitano and others admitting that they were running Fast and Furious two years ago before people found out it was giving guns to criminals.
[01:02:23.223 --> 01:02:25.804]  Those videos are disappearing, by the way, show.
[01:02:26.164 --> 01:02:29.285]  We did a news report like a year ago, another one six months ago with those clips.
[01:02:29.325 --> 01:02:33.487]  We originally are the ones that the listeners pointed it out to us and we did news reports on it.
[01:02:34.927 --> 01:02:36.668]  That's why you're so important out there, your tips.
[01:02:37.308 --> 01:02:41.930]  I know sometimes we don't follow up on them because we can't, but still keep sending them because a lot of them we do get to.
[01:02:42.730 --> 01:02:44.751]  It is like trying to drink out of a fire hose though.
[01:02:47.489 --> 01:02:50.371]  Turned on full, it's more info than you can drink down.
[01:02:50.391 --> 01:02:52.313]  Of course, there's the reverse of that analogy.
[01:02:52.333 --> 01:02:56.896]  It's like trying to drink up Lake Superior with those little pixie straws that you use to stir your coffee.
[01:02:57.937 --> 01:03:00.979]  Can barely even suck any water up or coffee up in it.
[01:03:02.260 --> 01:03:05.403]  So we're gonna go to break and come back with your calls.
[01:03:06.764 --> 01:03:11.448]  And then coming up, Turkey will consult NATO over shooting down a plane by Syria.
[01:03:12.709 --> 01:03:13.869]  And I need to call my writers.
[01:03:14.787 --> 01:03:15.828]  It was just broke on Friday.
[01:03:16.328 --> 01:03:18.270]  And point out, because I haven't seen anybody point this out.
[01:03:18.290 --> 01:03:20.611]  Do you remember Tony Blair and Bush met?
[01:03:21.972 --> 01:03:23.554]  And this got declassified a few years ago?
[01:03:23.674 --> 01:03:25.195]  Well, it got leaked and they admitted it was real.
[01:03:25.215 --> 01:03:26.796]  They wanted to arrest who leaked it.
[01:03:27.156 --> 01:03:35.683]  And they said, why don't we just fly jets a whole bunch real low over Saddam's airspace and try to get them to shoot it down as a pretext to invade in 2003.
[01:03:36.503 --> 01:03:38.705]  And then they also have talked about doing it to other countries.
[01:03:39.085 --> 01:03:40.926]  And so that's clearly what's been going on.
[01:03:42.026 --> 01:03:49.873]  Is that NATO just keeps, and they've admitted they want Turkey to be the head of the spear on this, tip of the spear, going in there.
[01:03:52.335 --> 01:03:56.778]  And having them fly through the airspace over and over and over again until somebody pulls the trigger.
[01:03:57.219 --> 01:04:08.929]  And even if they don't pull the trigger it's okay because when they finally bombard the country, which NATO's been calling for, a bombing campaign of NATO, by NATO against Syria, they're saying that
[01:04:10.265 --> 01:04:17.431]  They're gonna bomb them, but then, oh, Syria's evil, because the plane flew into their airspace, but then turned out of the airspace and got shot down.
[01:04:18.632 --> 01:04:21.254]  And so now, Turkey's saying, we're gonna do something, that's it.
[01:04:21.795 --> 01:04:23.316]  You shot down our plane.
[01:04:25.018 --> 01:04:26.099]  Total provocations.
[01:04:26.219 --> 01:04:27.680]  And again, I'm no fan of Assad.
[01:04:27.700 --> 01:04:28.601]  I'm not a fan of government.
[01:04:29.121 --> 01:04:30.622]  Most government's totally criminal-run.
[01:04:30.943 --> 01:04:35.387]  But Assad is good compared to al-Qaeda, and the West is using al-Qaeda.
[01:04:36.505 --> 01:04:42.932]  Jihadis in Al-Qaeda uniforms with Al-Qaeda flags, it's on the news, to take over Libya, now take over Syria.
[01:04:43.492 --> 01:04:46.075]  They used them to attack the Serbs when the Serbs fought back.
[01:04:46.115 --> 01:04:50.660]  They had NATO and the UN blow the daylights out of that country.
[01:04:51.060 --> 01:04:52.101]  I mean, it's incredible!
[01:04:52.942 --> 01:04:58.387]  And the American people are so ignorant, they don't know Al-Qaeda works for NATO publicly.
[01:04:58.448 --> 01:04:59.429]  I mean, this is insane!
[01:05:01.326 --> 01:05:06.570]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[01:05:06.830 --> 01:05:09.031]  Start purifying your water with ProPure.
[01:05:09.232 --> 01:05:14.755]  My friends, I've done a lot of research, and the best gravity filter out there, bar none, is ProPure.
[01:05:14.956 --> 01:05:18.158]  And it's available discounted at InfoWars.com.
[01:05:18.338 --> 01:05:21.520]  Its filters are silver impregnated to prevent bacterial growth.
[01:05:21.800 --> 01:05:23.221]  There's no priming required.
[01:05:23.462 --> 01:05:24.282]  It's NSF-42 certified.
[01:05:25.723 --> 01:05:28.725]  Optional fluoride filters can reduce fluoride up to 95%.
[01:05:29.005 --> 01:05:30.626]  Easy to set up and use.
[01:05:30.827 --> 01:05:32.127]  Doesn't require electricity.
[01:05:32.247 --> 01:05:35.109]  Purify water from lakes, streams, ponds, and wells.
[01:05:35.430 --> 01:05:38.572]  This filter system leaves in beneficial minerals, which is key.
[01:05:38.792 --> 01:05:40.573]  Save money by not buying bottled water.
[01:05:40.713 --> 01:05:42.795]  And avoid BPA that leaches from the plastic.
[01:05:42.935 --> 01:05:45.536]  ProPure is the best gravity-fed filter out there.
[01:05:45.676 --> 01:05:46.977]  It's what my family uses.
[01:05:47.258 --> 01:05:50.480]  Infowars.com already has the lowest price on ProPure.
[01:05:50.560 --> 01:05:54.542]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[01:05:55.503 --> 01:05:58.564]  What we've got here is failure to communicate.
[01:05:58.624 --> 01:06:00.204]  Some men you just can't reach.
[01:06:00.244 --> 01:06:09.125]  So you get what we had here last week, which is the way he wants it.
[01:06:09.185 --> 01:06:10.206]  Well, he is.
[01:06:10.266 --> 01:06:11.226]  I don't like it.
[01:06:28.709 --> 01:06:30.810]  Waging war on corruption.
[01:06:31.330 --> 01:06:34.731]  It's Alex Jones.
[01:06:36.392 --> 01:06:41.454]  Okay, we are back live into hour number two on this live Sunday worldwide transmission.
[01:06:42.394 --> 01:06:43.834]  Thank you for joining us on the 24th.
[01:06:45.155 --> 01:06:50.977]  I'm gonna go to your phone calls right now, and then I'm gonna get into EU should undermine national sovereignty.
[01:06:52.759 --> 01:06:54.480]  That's BBC News.
[01:06:55.441 --> 01:06:56.221]  That's the plan.
[01:06:56.241 --> 01:07:00.003]  That's why they want to get rid of nationalism, or any type of culture.
[01:07:00.043 --> 01:07:01.484]  They say that, get rid of any culture.
[01:07:01.784 --> 01:07:04.246]  They want a plastic, globalist, corporate culture.
[01:07:06.627 --> 01:07:11.450]  And of course, we've known this forever about the UN and the globalists, but now they're just out in the open.
[01:07:12.791 --> 01:07:20.775]  We'll be going over all of that, and then the big news, bird flu virus is just three mutations away from making the leap into a deadly human pandemic.
[01:07:20.835 --> 01:07:21.596]  Why is that bad?
[01:07:23.024 --> 01:07:24.544]  It kills over 90% of those.
[01:07:24.604 --> 01:07:25.545]  It's a super weapon.
[01:07:26.225 --> 01:07:26.605]  A level 4.
[01:07:27.185 --> 01:07:31.006]  Level 4 means weaponized, already very lethal system.
[01:07:31.766 --> 01:07:32.747]  Weaponized Ebola.
[01:07:32.787 --> 01:07:34.147]  Weaponized flu.
[01:07:34.747 --> 01:07:36.608]  Weaponized mousepox for humans.
[01:07:37.768 --> 01:07:41.069]  And to give you an example, GM grass linked to Texas cattle deaths.
[01:07:42.169 --> 01:07:45.770]  The federal government says it is off-gassing cyanide outside Austin, Texas.
[01:07:46.210 --> 01:07:47.971]  KI here locally broke the story.
[01:07:47.991 --> 01:07:49.471]  It's now a national news story.
[01:07:49.711 --> 01:07:51.512]  I mean, I'm sending reporters out tomorrow.
[01:07:53.234 --> 01:07:55.977]  We've got such a skeleton crew up here, that's why we're trying to hire some new reporters.
[01:07:56.498 --> 01:07:59.381]  By the way, I'm going to tell people who's won the reporter contest on Thursday.
[01:07:59.782 --> 01:08:01.063]  One male, one female reporter.
[01:08:01.564 --> 01:08:02.986]  Look for that at InfoWars.com.
[01:08:03.046 --> 01:08:03.747]  Okay, enough from me!
[01:08:05.523 --> 01:08:06.344]  You just joined us.
[01:08:06.604 --> 01:08:07.705]  I played a report out of St.
[01:08:07.765 --> 01:08:14.330]  Louis from KSDK, and they're like, yes, the Army's driving hundreds of armored vehicles all over the neighborhood.
[01:08:14.931 --> 01:08:20.035]  They need to learn how to drive on roads as if they don't have giant military bases everywhere, including right up there in that area.
[01:08:20.475 --> 01:08:22.256]  We're talking hundreds of square miles in some cases.
[01:08:22.577 --> 01:08:24.798]  Fort Hood's as big as five Dallases or more.
[01:08:24.818 --> 01:08:27.681]  I mean, it's more like five Metroplexes last time.
[01:08:27.701 --> 01:08:28.441]  I mean, it's just huge.
[01:08:29.062 --> 01:08:30.083]  They got bases everywhere.
[01:08:30.303 --> 01:08:31.604]  We need to drive up and down your street.
[01:08:31.944 --> 01:08:33.665]  Meanwhile, it's just acclimation, folks.
[01:08:34.580 --> 01:08:38.502]  It's admitted that the military is trying to take on the American people.
[01:08:39.063 --> 01:08:43.686]  And we've not screened your calls other than asking, do you want to talk about this if you're police or military?
[01:08:44.346 --> 01:08:47.088]  Because even though it's in the Army Times, they admit this is happening.
[01:08:47.348 --> 01:08:55.813]  By the time it gets on the local news, they're like, conspiracy theorists think the hundreds of vehicles are driving around to get people ready for martial law.
[01:08:56.433 --> 01:08:57.474]  Then it cuts to the military.
[01:08:58.154 --> 01:09:03.858]  Do not look at us and you can look, but don't get too close and we're not going to tell you where we're parking them.
[01:09:04.864 --> 01:09:10.468]  So, we're going to go to Andrew, Jim, Robin, and others that are holding.
[01:09:10.508 --> 01:09:12.290]  If you're a whistleblower, 877-789-2539.
[01:09:13.691 --> 01:09:15.592]  It's not even whistleblowing.
[01:09:15.833 --> 01:09:21.177]  If you have a comment on this, if you've been involved in the training, your overall view on it.
[01:09:21.577 --> 01:09:23.659]  Andrew, in California, are you police or military?
[01:09:25.140 --> 01:09:26.641]  Yeah, I'm police, Alex.
[01:09:27.442 --> 01:09:28.903]  Well, give us your take on it, sir.
[01:09:30.106 --> 01:09:32.988]  Well, you're not going to believe this, but let me tell you a little something.
[01:09:33.048 --> 01:09:39.732]  Anyways, I only live a few minutes from the border from Mexico, so I literally live in the police state as we speak.
[01:09:39.832 --> 01:09:43.674]  I've seen the newscasts in Mexico with the grenades on the tables.
[01:09:44.735 --> 01:09:48.137]  You know, any direction I go, even the county, I can't leave.
[01:09:48.197 --> 01:09:50.058]  I go through a checkpoint, armed checkpoint.
[01:09:50.519 --> 01:09:52.960]  But let me give you the latest intel what's going on.
[01:09:53.701 --> 01:09:57.303]  Looks like Department of Homeland Security are flying
[01:09:58.396 --> 01:10:13.310]  What seems to be Mexican nationals to the border areas on looks like private aircraft or 737 aircraft and you know I've talked to some of the guys and they've talked to the pilots and they said they're moving as many as 2,000 a day.
[01:10:15.026 --> 01:10:15.967]  All right, well let me stop you.
