[00:00:00.669 --> 00:00:01.590]  Alex Jones.
[01:29:58.684 --> 01:30:01.906]  Did you ever think your future would feel this out of control?
[01:30:01.926 --> 01:30:06.848]  The fact is, in all this craziness, there's only one thing you can control.
[01:30:07.148 --> 01:30:08.409]  Your greatest dependency.
[01:30:08.669 --> 01:30:09.709]  Your food supply.
[01:30:10.090 --> 01:30:13.971]  Make 2012 the year you take control by getting prepared.
[01:30:14.292 --> 01:30:18.574]  eFoods Direct introduces the best way to build your food supply in the 21st century.
[01:30:19.674 --> 01:30:22.257]  Get a 21-day supply of food free with purchase.
[01:30:22.497 --> 01:30:24.138]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex.
[01:30:24.198 --> 01:30:24.879]  Take back control in 2012.
[01:30:24.939 --> 01:30:28.222]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex.
[01:30:28.522 --> 01:30:29.943]  Remember, you can bet your life on eFoodsDirect.
[01:30:40.011 --> 01:30:44.254]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[01:30:44.575 --> 01:30:45.175]  Number one.
[01:30:45.475 --> 01:30:48.638]  New climate legislation could easily double or triple your electric bill.
[01:30:48.898 --> 01:30:49.478]  Number two.
[01:30:49.779 --> 01:30:54.322]  Our new energy czar wants to control how much power your electric company allows you to have.
[01:30:54.662 --> 01:30:55.103]  It's true.
[01:30:55.403 --> 01:30:59.966]  Total government control of electricity in the name of smart grid technology is coming.
[01:31:00.267 --> 01:31:00.827]  Number three.
[01:31:01.107 --> 01:31:04.390]  In some areas of the country, the power grid is dangerously overloaded.
[01:31:04.690 --> 01:31:08.373]  And now, new socialist legislation is only compounding the problem.
[01:31:08.573 --> 01:31:09.133]  Number 4.
[01:31:09.374 --> 01:31:11.735]  Dangerous weather is always a threat to local grids.
[01:31:12.136 --> 01:31:15.518]  Every year, thousands of families lose their power from weather-related outages.
[01:31:15.818 --> 01:31:16.038]  Number 5.
[01:31:16.619 --> 01:31:20.541]  A solar power generator provides powerful backup, insurance, and peace of mind.
[01:31:20.762 --> 01:31:25.525]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[01:31:25.805 --> 01:31:29.828]  You can get more information at www.mysolarbackup.com.
[01:31:29.968 --> 01:31:31.550]  That's mysolarbackup.com.
[01:31:31.770 --> 01:31:33.851]  Remember, the government doesn't own the sun.
[01:31:34.032 --> 01:31:36.353]  So go to mysolarbackup.com or call 1-877-327-0365.
[01:31:41.684 --> 01:31:45.307]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[01:31:45.647 --> 01:31:53.773]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[01:31:54.514 --> 01:31:58.557]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[01:31:59.137 --> 01:32:09.966]  The Silver Lungs Generator infuses the respiratory system with your self-produced nanosilver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[01:32:10.586 --> 01:32:19.590]  With continued legislation threatening the sale of nanosilver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[01:32:20.091 --> 01:32:25.133]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[01:32:25.533 --> 01:32:32.696]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[01:32:33.017 --> 01:32:35.778]  That's www.silverlungs.com.
[01:32:53.383 --> 01:32:57.326]  Alright, I'm done talking about the Ventura mystery.
[01:33:00.389 --> 01:33:01.629]  Until we hear from Jesse.
[01:33:03.211 --> 01:33:06.473]  But, we've covered it in detail today.
[01:33:06.873 --> 01:33:09.515]  Probably spent 30 minutes total in the last hour and a half on it or more.
[01:33:10.156 --> 01:33:11.877]  Because it just gets into psyops.
[01:33:12.558 --> 01:33:14.099]  And it gets into the type of things they'll do.
[01:33:14.159 --> 01:33:15.300]  I mean, take Jesse Ventura.
[01:33:15.860 --> 01:33:17.942]  They knew he was major political material.
[01:33:19.537 --> 01:33:24.441]  Back when he was more mainstream before he fully woke up in 2000.
[01:33:24.941 --> 01:33:26.903]  So they come to him in 2001, 2002.
[01:33:29.425 --> 01:33:31.446]  They come to him in 2002.
[01:33:32.927 --> 01:33:43.195]  They give him a big contract, close to $10 million, $9 million plus, for a three-year contract to host a primetime show on MSNBC.
[01:33:44.336 --> 01:33:45.337]  Back when they actually had viewers.
[01:33:47.139 --> 01:33:51.600]  And then the war starts, and he says, no, I'm not going to be pro-war.
[01:33:52.160 --> 01:33:58.421]  And they say, OK, you can keep the money, but you're barred from even giving it back.
[01:33:58.481 --> 01:34:01.822]  We'll sue you if you even try to give it back.
[01:34:01.842 --> 01:34:04.242]  And he said, no, I keep contracts.
[01:34:04.262 --> 01:34:07.643]  And they say, no media interviews of any type.
[01:34:07.823 --> 01:34:08.703]  Look at your contract.
[01:34:09.803 --> 01:34:11.844]  And so for three years, until 2006, he's gone.
[01:34:15.285 --> 01:34:17.426]  They paid him close to $10 million.
[01:34:17.787 --> 01:34:21.429]  And later he was told by folks, oh, you were approached.
[01:34:22.129 --> 01:34:25.912]  MSNBC gets government money, which we now know from banker bailouts and things that have come out.
[01:34:25.932 --> 01:34:27.533]  But back then, this was wild to hear.
[01:34:28.593 --> 01:34:37.679]  And the government actually wanted you tied down, and you would have had the job, been this big TV guy, if you would have played ball.
[01:34:37.779 --> 01:34:39.320]  But if not, they were just going to shut you down.
[01:34:39.800 --> 01:34:40.741]  And they had you profiled.
[01:34:42.034 --> 01:34:43.554]  And so that was the plan all along.
[01:34:43.655 --> 01:34:46.255]  So they paid him nine plus million dollars.
[01:34:46.315 --> 01:34:47.636]  He's now talked about this since.
[01:34:48.696 --> 01:34:50.396]  Actually broke it a few years ago here on my show.
[01:34:51.797 --> 01:34:53.037]  And then all of this went on.
[01:34:53.157 --> 01:34:55.338]  So now they're getting ready to launch an Iran war.
[01:34:56.078 --> 01:34:59.239]  They know Jesse Ventura's floating around thinking about coming back.
[01:35:00.820 --> 01:35:05.381]  If there was an attack on Iran, he was thinking about getting involved in the political process, at least giving speeches or whatever.
[01:35:06.181 --> 01:35:07.923]  That at least was being looked at, I can tell you.
[01:35:07.943 --> 01:35:10.487]  He was thinking about running for president.
[01:35:10.987 --> 01:35:17.596]  There was some other talk I'm not going to get into, but the point is that he's got major name recognition and that's what's valuable in politics.
[01:35:17.997 --> 01:35:19.038]  So he is this commodity.
[01:35:20.860 --> 01:35:21.281]  And so...
[01:35:22.552 --> 01:35:24.594]  This smells completely of PSYOP.
[01:35:24.634 --> 01:35:29.138]  The way it was deployed, the way it was put out, the way it was done, the way it was said.
[01:35:29.918 --> 01:35:31.119]  Just the whole thing.
[01:35:31.139 --> 01:35:33.241]  I mean, it's like when you walk into a clothing shop.
[01:35:33.361 --> 01:35:40.888]  I'm not even, you know, a clothes horse and know that much about it, but I've learned enough to know the cut of a fine suit or an Armani.
[01:35:41.408 --> 01:35:45.972]  I don't have an Armani suit, but I've learned what they look like from movies and TV and I've been in stores.
[01:35:46.032 --> 01:35:46.392]  I've seen them.
[01:35:46.412 --> 01:35:47.353]  I'm like, are those Armanis?
[01:35:47.673 --> 01:35:49.054]  Yeah, those are Armanis.
[01:35:49.074 --> 01:35:51.196]  About two years ago, I was at Nordstrom's buying some shoes.
[01:35:51.516 --> 01:35:52.837]  He says, are those Armani suits?
[01:35:52.857 --> 01:35:53.718]  Yeah, how'd you know?
[01:35:53.738 --> 01:35:54.839]  Well, I see that cut.
[01:35:55.580 --> 01:36:00.183]  With this, it's a lot more obvious, like a yellow Volkswagen drives by or a red firetruck.
[01:36:00.464 --> 01:36:01.344]  That's a red firetruck.
[01:36:01.364 --> 01:36:04.387]  I mean, you know a PR rollout when you see one.
[01:36:04.407 --> 01:36:07.910]  You know, a book comes out, all this is done, and it just shows you
[01:36:09.332 --> 01:36:21.358]  That as soon as I investigated the guy, and he may be dumb and being handled, being manipulated, and part of it's true and they got him to spin it, but you know, part of PSYOPing and moving to the next level out of the military is doing bad things.
[01:36:22.458 --> 01:36:23.739]  And I don't know if that's the case yet.
[01:36:23.759 --> 01:36:26.220]  The guy conceivably could be telling the truth.
[01:36:26.840 --> 01:36:29.822]  Tyrell says he doesn't think so, and I tend to agree with him.
[01:36:32.843 --> 01:36:35.204]  It just shows you what they're capable of.
[01:36:35.264 --> 01:36:36.785]  So if they ever do stuff like this to me,
[01:36:38.496 --> 01:36:47.563]  You know, I'm walking down the street and they jump out with a, you know, quadriplegic kid in a wheelchair and say I assault him, like they did our reporters up in New York and it turned out it was staged.
[01:36:48.223 --> 01:36:54.548]  With, again, News Corp and the New York Post.
[01:36:55.408 --> 01:36:56.909]  And it came out in court, it was staged.
[01:36:57.069 --> 01:36:58.170]  The Secret Service wouldn't lie.
[01:36:58.190 --> 01:37:05.335]  I mean, they could do any of this to us folks, so we just need to remember, you asked Ron Paul, that was the point I wanted to make before we go to Charlotte.
[01:37:05.676 --> 01:37:07.157]  Think of what they're trying with Ron Paul.
[01:37:09.824 --> 01:37:21.328]  One of my reporters just ran in, I've got to learn more later, but reportedly they're putting ads out now claiming they're Ron Paul ads, but they aren't his Ron Paul ads saying bad things about Asians and blacks and people.
[01:37:22.788 --> 01:37:25.149]  So I've got to learn about this dirty trick.
[01:37:25.229 --> 01:37:26.390]  I mean, it's gonna get crazy.
[01:37:26.770 --> 01:37:28.670]  By the way, we told you about this two days ago.
[01:37:30.631 --> 01:37:31.971]  It's now in the news.
[01:37:32.112 --> 01:37:33.492]  In fact, I had it here in my stack.
[01:37:34.352 --> 01:37:35.613]  They're admitting on NPR
[01:37:38.294 --> 01:37:46.984]  And they're admitting on other mainline newspapers that Romney was given votes that were not his.
[01:37:48.225 --> 01:37:49.687]  And it's the same thing with Huntsman.
[01:37:50.288 --> 01:37:51.629]  I've got a whole stack on that.
[01:37:51.649 --> 01:37:52.811]  I mean, there's a certain point.
[01:37:54.335 --> 01:37:56.337]  Or you can't even keep track of this anymore.
[01:37:56.357 --> 01:38:01.902]  They're supposed to call in in all these precincts, and now it turns out in a whole bunch of them, it's been confirmed.
[01:38:02.222 --> 01:38:04.344]  We don't know how many though, but it's been confirmed in a bunch of them.
[01:38:04.544 --> 01:38:09.629]  We know the precincts that they told them just put it in a truck and drive it to this other location to have them counted.
[01:38:10.819 --> 01:38:12.840]  And then we'll call that in.
[01:38:12.880 --> 01:38:14.200]  And then trucks didn't make it.
[01:38:14.781 --> 01:38:16.361]  And then they had gentlemen's agreements.
[01:38:16.401 --> 01:38:24.205]  We played that clip from Fox News with Karl Rove deciding to give, what, six more points to Huntsman, clearly making him beat Ron Paul.
[01:38:24.505 --> 01:38:26.005]  I mean, it's just confirmed!
[01:38:28.726 --> 01:38:31.187]  But it's too sophisticated for the general public.
[01:38:33.308 --> 01:38:34.669]  Yeah, that was Santorum.
[01:38:39.145 --> 01:38:41.307]  At a certain point, I can't even keep track of it anymore.
[01:38:41.347 --> 01:38:42.547]  This is what these people do.
[01:38:42.587 --> 01:38:44.188]  They just swarm me with this info.
[01:38:44.989 --> 01:38:46.710]  And they know the public's halfway paying attention.
[01:38:46.730 --> 01:38:50.453]  People on the street go, I've seen you on TV with Hulk Hogan on that conspiracy show.
[01:38:50.473 --> 01:38:54.435]  And I go, it's Jesse Ventura's conspiracy theory.
[01:38:55.076 --> 01:38:56.156]  That's Jesse Ventura.
[01:38:56.797 --> 01:39:01.440]  That was back when one of my neighbors was a bank manager, pretty smart guy.
[01:39:01.460 --> 01:39:03.361]  And I'm like, no.
[01:39:03.421 --> 01:39:04.182]  And he was arguing with me.
[01:39:04.202 --> 01:39:05.442]  He goes, no, you got a show with Hulk Hogan.
[01:39:05.462 --> 01:39:07.644]  I'm like, no, man, I don't have a show with Hulk Hogan.
[01:39:09.960 --> 01:39:10.641]  That's the same thing.
[01:39:10.681 --> 01:39:14.867]  I know I'm going to hear people down the road, that's that Hulk Hogan guy got punched out by a Navy SEAL.
[01:39:21.335 --> 01:39:27.403]  It just never ends how they count on people not paying attention and how they manipulate you.
[01:39:28.939 --> 01:39:37.994]  I'm very excited to have Charlotte Iserby on with us until about 40 after next hour, so we'll have her for more than an hour here with us today.
[01:39:38.675 --> 01:39:42.001]  We put out a documentary that's free to the public.
[01:39:43.055 --> 01:39:45.357]  We've got it linked up today at Infowars.com.
[01:39:46.037 --> 01:39:48.879]  Charlotte Isserby blows Skull & Bones wide open.
[01:39:49.760 --> 01:40:03.009]  She originally did it decades ago, but didn't want the credit, giving investigative reporter, well, formerly top congressional researcher, Anthony Sutton, the material to put out his books on the Skull & Bones, which were the definitive tomes.
[01:40:04.430 --> 01:40:06.051]  But I've got her on today to nexus
[01:40:08.956 --> 01:40:21.484]  I probably should have told her this ahead of time, but just to recap before she gets more into education, the history of Skull & Bones setting up modern education in Europe, in Germany, here in the U.S.
[01:40:21.945 --> 01:40:22.805]  and those connections.
[01:40:22.845 --> 01:40:34.733]  And of course she knows about Skull & Bones because her father and grandfather were and she has a lot of the internal documents and has one of their official grandfather clocks and a lot of information she showed us that was put out for the first time.
[01:40:34.773 --> 01:40:35.334]  A lot of it was
[01:40:35.974 --> 01:40:39.776]  Not put out for the first time, but was integrated together for the first time as well.
[01:40:39.816 --> 01:40:46.279]  So as a public service, we of course, to understand the secret establishment, understand what we're up against, put that out to the public.
[01:40:46.640 --> 01:40:48.721]  PrisonPlanet.tv viewers of course saw it first.
[01:40:49.221 --> 01:40:57.985]  Her original Dallas phone book size book is no longer in print, but it's free on her website, graciously, because she wants to stop these tyrants.
[01:40:58.546 --> 01:41:02.588]  But I convinced her, I don't know, six, seven months ago, I said, and others did, I said, why don't you come out
[01:41:03.248 --> 01:41:12.770]  I know you said you weren't going to print it again, you don't want to mess with it, you're retired, and want to travel the world and things, you've done your service, but why don't you just reprint it again?
[01:41:12.790 --> 01:41:13.290]  People want it.
[01:41:13.330 --> 01:41:14.531]  She said, no, it's free on the website.
[01:41:15.171 --> 01:41:18.691]  And then I said, well, you've got all these new articles you've written, why don't you put those together in a book?
[01:41:18.731 --> 01:41:19.492]  She said, you know what I'll do?
[01:41:19.952 --> 01:41:29.814]  I'll just kind of update, revise in a bridge, my big phone book size one, and put out the deliberate dumbing down of America, revised, abridged edition, Charlotte Thompson, Iserby.
[01:41:31.647 --> 01:41:36.690]  And so this is now available at InfoWars.com.
[01:41:36.970 --> 01:41:45.294]  We've got a treasure trove of them and I hope that you order them because once these run out we don't know if she'll ever even reprint them because again the question is does she want to deal with that?
[01:41:46.013 --> 01:42:12.030]  She may have just put it out for free again, but if you want a hard copy of this new version of Libert Dumbing Down full of all the documents and all the incredible proof of the plan to dumb down our children and turn us into basically servile animals that are incapable of thought, as Bertrand Russell said, they'll dumb us down with diet injections and injunctions and education to the point of it'll be like sheep revolting against the process of and the fashion of eating
[01:42:12.970 --> 01:42:16.956]  It would be like sheep revolting against the practice of eating mutton.
[01:42:19.460 --> 01:42:20.841]  You know, I sound a bit out of it today.
[01:42:20.902 --> 01:42:22.704]  Sometimes can't recall things quite as well.
[01:42:24.046 --> 01:42:28.392]  I cracked some ribs and separated some ribs, dropping a...
[01:42:31.187 --> 01:42:34.429]  Wait on myself in a weightlifting accident last weekend, so I'm a little bit out of it.
[01:42:34.869 --> 01:42:35.869]  Not on painkillers.
[01:42:35.929 --> 01:42:37.270]  The painkillers make me nauseous.
[01:42:37.310 --> 01:42:42.773]  I am on about 10 Advil today so far, but I'm just a little bit out of it, so bear with me today.
[01:42:43.393 --> 01:42:47.555]  Okay, so joining us is Charlotte Isserby to break
[01:42:47.975 --> 01:42:49.956]  down this information.
[01:42:50.016 --> 01:42:52.238]  Charlotte, it is wonderful to have you here.
[01:42:52.258 --> 01:43:01.544]  I want to go to the beginning briefly, skull and bones, the tie-in, and then what the plan was, what you discovered in the 80s as the head of policy, number two position, Department of Education.
[01:43:01.564 --> 01:43:05.326]  You're whistleblowing, and now what's currently happening with education.
[01:43:05.346 --> 01:43:10.429]  You're warning for the public, but we salute you for your work, and thank you for reissuing a new book.
[01:43:10.469 --> 01:43:11.130]  Thank you so much.
[01:43:11.330 --> 01:43:16.273]  Well, thank you, Alex, and thank you, all of your audience, for your support through the years.
[01:43:17.653 --> 01:43:23.796]  I think the best place for people to go is, and you have that PDF, I believe, up on your website now.
[01:43:23.816 --> 01:43:24.537]  Yes.
[01:43:25.137 --> 01:43:28.879]  It's a PDF, and it's called America's Road to Ruin.
[01:43:29.599 --> 01:43:42.445]  And there were two Marble Scouts researchers that I respect highly, very involved in the extraordinary research all of us have done on this, who heard that first video that was filmed on the river here.
[01:43:43.562 --> 01:43:46.984]  I saw it, Alex's video that those guys did a good job on.
[01:43:47.405 --> 01:43:49.126]  And it was in regard to education.
[01:43:49.986 --> 01:43:52.188]  But it really dealt with everything, right?
[01:43:52.968 --> 01:43:57.111]  It didn't deal so much with the order, and I will deal with that within about two minutes.
[01:43:57.672 --> 01:44:04.796]  But it dealt with my whole life since I went abroad when I was 21 years old.
[01:44:05.777 --> 01:44:07.638]  And it's beautifully done.
[01:44:07.698 --> 01:44:08.739]  It's a transcript.
[01:44:08.779 --> 01:44:11.241]  The gals transcribed that video, Alex.
[01:44:12.370 --> 01:44:25.595]  And then one of our most talented people, Deborah Niwa, who's in publishing and graphics and all, put it all together, even has a picture of my little dog on it and my husband and me, as a PDF.
[01:44:26.855 --> 01:44:30.277]  So your listeners can click on that and they can read that.
[01:44:30.337 --> 01:44:31.457]  It's 16 pages.
[01:44:31.477 --> 01:44:36.859]  That's the video that your great guys did when they were up here, the first one.
[01:44:37.499 --> 01:44:39.180]  Then the second one was on the order.
[01:44:40.067 --> 01:44:47.449]  And I don't know what, that has not been transcribed, but I hope people will go and look at it, because it has had a maximum number of hits.
[01:44:48.309 --> 01:44:49.969]  These have been very good videos.
[01:44:50.029 --> 01:44:52.230]  And by the way, I just think your guys are great.
[01:44:52.290 --> 01:44:57.191]  You have a tremendously capable staff there creating these videos.
[01:44:57.871 --> 01:45:00.892]  But let's, you know, I found out something about the order.
[01:45:01.801 --> 01:45:02.201]  It's great.
[01:45:02.382 --> 01:45:14.472]  I found out more about the Order since you got onto it and actually since Anthony Sutton got onto it than I ever knew before because obviously, as George Bush would say, it's a secret.
[01:45:15.413 --> 01:45:16.614]  So I can't talk about it.
[01:45:17.034 --> 01:45:24.621]  I mean, I don't know anything about it, basically, because it was a secret and my father and grandfather couldn't talk about it, but I did know all their friends.
[01:45:25.777 --> 01:45:28.480]  And that did, that really helped out a great deal.
[01:45:28.500 --> 01:45:40.033]  There's a tremendous amount, there's a very interesting chapter in Chris Milligan's book on the orator, what's it called, Flushing Out Skull and Bones.
[01:45:41.437 --> 01:45:45.678]  That book has not been reprinted, but it's a wonderful book, Fleshing Out Skull and Bones.
[01:45:45.698 --> 01:45:47.959]  And Chris Milligan knew Anthony Stoughton, too.
[01:45:48.379 --> 01:45:50.840]  I did a chapter in there that's quite interesting.
[01:45:51.340 --> 01:45:58.102]  If anybody wants to go, I think you may be able to find that on the internet, about my family's connections as well.
[01:45:58.602 --> 01:46:04.484]  Now, after the last interview that we did on this, I thought, you know,
[01:46:06.167 --> 01:46:32.795]  I was looking through some of my old files and I found a very interesting article from one of the little patriotic newsletters that we managed to get around the country in regard to Harold Howe and how he was responsible under Lyndon Johnson for all the major changes in education using, of course, the minorities to bring about the destruction of our education system that we're looking at today.
[01:46:33.826 --> 01:46:37.108]  With consolidation, getting rid of little schools and all this.
[01:46:37.148 --> 01:46:41.251]  Remember way back in the 60s they said it was because they wanted the minorities to have a better education?
[01:46:41.531 --> 01:46:42.452]  That wasn't it at all.
[01:46:42.792 --> 01:46:51.057]  Harold Howe came out and said with this integration he was going to totally turn the education system on its head.
[01:46:52.889 --> 01:47:18.136]  Well, Charlotte, listen, I want you to get into that, but for you to say, I know nothing about it and giggle, you gave Anthony Sutton the documents, the materials, the roll list, the information when nothing was known, your father, his father were skull and bones, and
[01:47:19.796 --> 01:47:30.300]  I mean, you do know a lot, your son knows a ton, a lot of ground... We know a lot, but listen, Alex, what I want people to know is this is so important, and you interrupted me, okay?
[01:47:31.141 --> 01:47:32.101]  Harold Howe.
[01:47:32.121 --> 01:47:33.102]  I looked him up.
[01:47:33.942 --> 01:47:36.123]  You want to hear what he was at Skull and Bones?
[01:47:37.423 --> 01:47:38.484]  He's Skull and Bones.
[01:47:38.544 --> 01:47:48.068]  Now this, I'm going to say, this convinces me that the order at Yale, and I didn't really have to be too much convinced, but when I found this out, I'm convinced.
[01:47:49.218 --> 01:48:08.190]  That the Order at Yale of Skull and Bones is responsible for the complete transformation of American education, to workforce training, to considering our children as nothing but animals, which was the philosophy at Wilhelm Lunt in LifeSix, who trained
[01:48:09.313 --> 01:48:24.640]  All the American educators, starting with Hall, going over in the mid-1800s, trained them in how to not educate, but to train our children as animals using Pavlovian Method Skinner.
[01:48:25.120 --> 01:48:27.281]  I know that's true.
[01:48:28.502 --> 01:48:29.722]  I'm absolutely convinced.
[01:48:30.843 --> 01:48:35.124]  And when I read that Harold, and I'm going to read it, Harold Howe, 1940, Skull and Bones.
[01:48:35.164 --> 01:48:38.406]  This is on page 128 of one of those little black books.
[01:48:39.737 --> 01:48:52.032]  It says here, Education, born August 17, 1918, Hartford, Connecticut, Vice President for Education and Research, Ford Foundation, and the address.
[01:48:52.993 --> 01:48:57.339]  Residents are very fancy, always these guys, east side of New York City.
[01:48:58.380 --> 01:49:17.735]  Uh, Yale Corporation, elected members, successor trustee, principal, Walnut Hills High School, Cincinnati, 53 to 57, goes on Newton Junior College, et cetera, Superintendent of Schools, Scarsdale, New York, Director of Learning Institute of North Carolina, trustee, Vassar College, trustee college entrance exam board, U.S.
[01:49:17.795 --> 01:49:20.257]  Commissioner of Education, 1965 to 68.
[01:49:20.677 --> 01:49:24.340]  That's when the damage was done, if you recall, folks.
[01:49:26.382 --> 01:49:28.803]  Most people aren't experts on education like you are.
[01:49:28.823 --> 01:49:34.046]  That's when dog training came in and that's why this is so key.
[01:49:46.713 --> 01:49:52.439]  Uh, history, math, science and all, what they know in their head, to what they can do, performance.
[01:49:52.860 --> 01:49:56.443]  Then they retrain all the teachers as little psychiatrists.
[01:49:58.025 --> 01:50:07.595]  After 1965, which was, uh, what Brock Chisholm, the Canadian psychiatrist, good friend of Alger Hiss, called for getting rid of the conscience.
[01:50:08.969 --> 01:50:11.771]  And if you're going to get rid of the conscience, you have to do psychiatry.
[01:50:12.271 --> 01:50:16.353]  And the reason I wanted to get rid of the conscience was, now let's get into the war business.
[01:50:16.653 --> 01:50:17.914]  Stay there, we're going to come right back.
[01:50:17.954 --> 01:50:20.675]  But again, you're perfectly suited to discover this.
[01:50:20.735 --> 01:50:22.696]  Family who's skull and bones, you exposed that.
[01:50:23.677 --> 01:50:39.364]  I mean, you're the person that first released information, then you're an expert on education, former head of policy, and then you learn, hiding in plain view, that that was their real secret power, and you trace it right back to the German mind-control engineers they used on the Hessian mercenaries.
[01:50:41.115 --> 01:50:42.797]  Ready to save while getting prepared?
[01:50:43.097 --> 01:50:46.601]  Then you're ready for the winter sale at 21stCenturyGoods.com.
[01:50:46.821 --> 01:50:51.345]  Take advantage of the incredible savings on all items at 21stCenturyGoods.com.
[01:50:51.525 --> 01:50:54.148]  Portable AM, FM, and shortwave radios from $19.95.
[01:50:55.409 --> 01:50:58.873]  American Red Cross emergency radios and CATO radios from $28.95.
[01:51:00.194 --> 01:51:01.094]  Solar lanterns from $22.95.
[01:51:02.355 --> 01:51:04.275]  Solar flashlights, two for $16.95.
[01:51:05.015 --> 01:51:07.876]  Hand-crank LED hurricane lanterns and flashlights from $8.95.
[01:51:08.857 --> 01:51:13.358]  Be sure to check out the flexible solar panels to power your emergency and survival gear.
[01:51:13.538 --> 01:51:16.939]  Every order over $75 will receive a solar-powered flashlight.
[01:51:17.219 --> 01:51:18.140]  Absolutely free!
[01:51:18.360 --> 01:51:22.263]  So get prepared this winter by visiting 21stCenturyGoods.com.
[01:51:22.483 --> 01:51:25.245]  Spell the number 2, the number 1, S-T, CenturyGoods.com.
[01:51:25.265 --> 01:51:26.346]  21stCenturyGoods.com.
[01:51:26.366 --> 01:51:26.846]  Or call 866-999-8422.
[01:51:27.066 --> 01:51:27.366]  That's 866-999-8422.
[01:51:27.426 --> 01:51:28.387]  21stCenturyGoods.com.
[01:51:28.407 --> 01:51:29.308]  Power up your survival!
[01:51:29.348 --> 01:51:30.348]  What happened, man?
[01:51:30.388 --> 01:51:33.150]  You used to be energetic, happy, and wow, did the ladies love you.
[01:51:45.419 --> 01:51:48.563]  Now you fall asleep on the couch, irritable and out of shape.
[01:51:48.883 --> 01:51:49.844]  Don't be that guy!
[01:51:50.224 --> 01:51:59.514]  Call now for a risk-free trial of Ageless Male, a natural supplement shown to raise testosterone by 61% and maintain healthy, normal levels.
[01:51:59.935 --> 01:52:01.677]  No injections, no appointments.
[01:52:02.037 --> 01:52:09.079]  With healthy testosterone levels, you can feel that energy again, that great outlook again, and yes, even a healthy sex drive.
[01:52:09.419 --> 01:52:12.280]  Right now, you can try Ageless Male risk-free.
[01:52:12.420 --> 01:52:13.800]  There's nothing to lose, guys.
[01:52:14.160 --> 01:52:21.343]  If you're a man who's noticed changes in your body, your mood, your sex life, call now for a risk-free trial of Ageless Male.
[01:52:21.643 --> 01:52:23.263]  Be the guy you used to be.
[01:52:23.583 --> 01:52:24.063]  Just call 1-800-497-8345.
[01:52:24.083 --> 01:52:24.964]  Don't wait another day.
[01:52:30.285 --> 01:52:30.946]  Just call 1-800-497-8345.
[01:52:30.986 --> 01:52:31.227]  That's 1-800-497-8345.
[01:52:41.926 --> 01:52:47.529]  In the event of an emergency, do you really trust Obama and the federal government to provide for you and your family?
[01:52:48.029 --> 01:52:56.694]  Modern-day emergencies like floods, tornadoes, earthquakes, snowstorms, terrorist attacks, or anything else can strike anywhere, leaving your family vulnerable.
[01:52:56.874 --> 01:52:59.936]  That's why you can't afford to be without emergency food supplies.
[01:53:00.236 --> 01:53:04.420]  If you're like most people, you know that you need emergency food supplies, but you keep putting it off.
[01:53:04.720 --> 01:53:11.807]  So, to help you, Ready Reserve Foods is offering a free sample kit of emergency food so you can test our food for yourself.
[01:53:11.947 --> 01:53:13.748]  The food really is free.
[01:53:13.969 --> 01:53:16.871]  You simply pay for the shipping and we'll send you the food for free.
[01:53:17.092 --> 01:53:21.035]  To get your free sample kit of emergency food, simply call 800-453-2202 or visit ReadyReserveFoods.com.
[01:53:21.095 --> 01:53:21.616]  Again, that's 1-800-453-2202.
[01:53:26.260 --> 01:53:30.021]  Call 800 453 to 202 or ready Reserve foods .com.
[01:53:30.161 --> 01:53:30.581]  Don't wait.
[01:53:30.681 --> 01:53:33.062]  Call now because the free sample kits are limited.
[01:53:33.202 --> 01:53:34.523]  So call 800-453-2202 or ready Reserve foods .com.
[01:54:06.734 --> 01:54:08.599]  You wonder why people can't think?
[01:54:08.639 --> 01:54:09.361]  You wonder why...
[01:54:10.413 --> 01:54:26.956]  They seem to be so dumbed down, you wonder why they giggle at you when you talk about a New World Order because they've been Pavlovian conditioned that it's cute and funny and the info babe laughs on Fox News when they talk about it, so they're winners psychologically when they're losers.
[01:54:27.897 --> 01:54:34.338]  And then there's the chemicals in the water, everything else, but German scientists, it's on record, developed what became psychiatry.
[01:54:35.310 --> 01:54:37.851]  It's not Carl Young and Sigmund Freud and all that.
[01:54:38.272 --> 01:54:44.855]  So, of course, the Germans developed the Hessian soldiers who loved being slaves, loved being military slaves.
[01:54:45.315 --> 01:54:46.376]  They had slavery in Germany.
[01:54:47.036 --> 01:54:47.577]  White slaves.
[01:54:47.597 --> 01:54:49.057]  And they were happy to be white slaves.
[01:54:49.077 --> 01:54:52.079]  And they said, well, the British royalty was German royalty.
