[00:00:00.069 --> 00:00:01.109]  The radio starts here.
[01:24:54.612 --> 01:24:55.133]  Check this out.
[01:24:55.853 --> 01:25:03.279]  France orders a probe after that rat study came out showing the massive tumors in rats fed genetically modified corn.
[01:25:03.800 --> 01:25:08.564]  France may, in fact, ban the importation of GM corn.
[01:25:08.604 --> 01:25:10.145]  It's already illegal to grow it there.
[01:25:10.746 --> 01:25:15.610]  On Infowars.com right now, Monsanto launches damage control over the GMO cancer study.
[01:25:15.630 --> 01:25:18.632]  This is an article by Paul Joseph Watson.
[01:25:18.672 --> 01:25:19.313]  You can check that out
[01:25:20.362 --> 01:25:30.606]  And I wrote an article that was published last night, it's up on Infowars.com as well, from Zyklon B to GM corn, how GMOs transformed food into a globalist weapon.
[01:25:31.346 --> 01:25:43.230]  And in that story, I talk about, you know, gee, from a psychopathic, globalist point of view, the downside of Zyklon B is you have to round people up at gunpoint and stuff them into the gas chambers.
[01:25:43.631 --> 01:25:46.812]  Wouldn't it be easier if you could just convince people to eat their own poison?
[01:25:47.692 --> 01:25:48.794]  And that's GMO!
[01:25:49.494 --> 01:25:50.175]  How wonderful!
[01:25:50.595 --> 01:25:54.459]  So, Anthony Gucciardi, what do you think about all this coming out now?
[01:25:54.479 --> 01:25:59.244]  It seems like we, those of us who protect life on our planet, we're winning.
[01:25:59.865 --> 01:26:03.429]  And the scientists are getting outraged that they're losing the debate.
[01:26:03.469 --> 01:26:04.870]  They're probably going to lose Proposition 37.
[01:26:04.910 --> 01:26:08.714]  They're going to lose because this is all being exposed.
[01:26:08.734 --> 01:26:09.455]  What do you think, Anthony?
[01:26:09.921 --> 01:26:14.066]  I think you just hit the nail on the head when you mentioned the fact that it's really a soft kill.
[01:26:14.106 --> 01:26:17.651]  This is a new paradigm of warfare, essentially.
[01:26:18.111 --> 01:26:24.439]  Instead of going out and rounding up people like Hitler did, and essentially killing them in whatever manner, through guns or anything like that,
[01:26:25.020 --> 01:26:34.704]  We're actually willingly paying corporations to funnel us genetically modified garbage that we then eat and kills us, and not only us, but our future generations.
[01:26:35.005 --> 01:26:41.968]  And as you of course know, women only have a certain number of eggs, so essentially it's damaging every single potential offspring of theirs.
[01:26:42.788 --> 01:26:52.411]  And that's why it's key to look at this article out today also about how low-income families are dying off like crazy and have a super high incident of disease because they eat processed crap.
[01:26:52.971 --> 01:27:01.634]  And if you ever go to, I'll use an unfortunate word, some type of ghetto or anything like that, all the stores, they don't even have anything organic.
[01:27:01.914 --> 01:27:03.895]  They can go to a farmer's market, and some do.
[01:27:04.195 --> 01:27:10.357]  But I mean, when you're living on food stamps, a bag of Doritos for 10 cents, you can get 10 bags of Doritos and have that for dinner.
[01:27:10.457 --> 01:27:14.238]  And as gross as that sounds to many of us, that's what a lot of people do, and it's unfortunate.
[01:27:14.498 --> 01:27:17.219]  And that's why they're seeing their lifespan drop.
[01:27:17.459 --> 01:27:19.240]  That's why their genetics are being ruined.
[01:27:19.500 --> 01:27:24.342]  That's why they're not even able to have kids, because we know, actually, that Roundup causes infertility.
[01:27:24.362 --> 01:27:25.282]  That's years old.
[01:27:25.602 --> 01:27:27.543]  We've known about this for a long time.
[01:27:27.563 --> 01:27:29.763]  The FDA and USDA do nothing.
[01:27:30.244 --> 01:27:30.924]  France does.
[01:27:31.544 --> 01:27:34.686]  Because there's some people that actually care about stuff over there in Germany and Poland.
[01:27:35.467 --> 01:27:38.249]  But over here, I mean, it's just zombie land.
[01:27:38.289 --> 01:27:39.029]  No one even cares.
[01:27:39.049 --> 01:27:45.434]  They just love the GMOs and the no to Prop 37 getting funded by Monsanto and everything.
[01:27:45.894 --> 01:27:46.915]  It's so obvious.
[01:27:47.535 --> 01:27:48.816]  It's so blatant.
[01:27:49.197 --> 01:27:50.218]  Yeah, it really is blatant.
[01:27:50.258 --> 01:27:50.899]  It's in your face.
[01:27:50.959 --> 01:27:57.565]  And I like how you point out that this is really a dietary attack on poor people.
[01:27:58.106 --> 01:28:06.575]  I mean, this will harm poor people, disproportionately larger numbers of poor people than wealthy people who tend to eat GMOs.
[01:28:06.595 --> 01:28:08.417]  And of course, we know the global elite
[01:28:09.898 --> 01:28:11.339]  Avoid GMOs completely.
[01:28:11.900 --> 01:28:13.301]  They eat all organic.
[01:28:13.321 --> 01:28:24.570]  They have raw milk served to them even as the peons are arrested for selling raw milk or sometimes even transporting raw milk across state lines.
[01:28:24.650 --> 01:28:27.432]  So yeah, the elite know don't touch this stuff.
[01:28:27.472 --> 01:28:32.956]  This is the poisonous food for the masses and those masses are dropping like flies.
[01:28:32.976 --> 01:28:33.617]  Literally.
[01:28:34.938 --> 01:28:36.481]  Look at the cancer rates in this country.
[01:28:36.501 --> 01:28:43.412]  I mean, we're talking hundreds of thousands of people a year dead from cancer alone, and that doesn't even cover heart disease and all the other causes of death.
[01:28:44.178 --> 01:28:49.942]  Yeah, and how about some of those mysterious deaths, which a lot of it is now being found to be essentially toxic overload.
[01:28:50.422 --> 01:28:55.345]  But also, they want the peons to basically eat the food and die and not have children.
[01:28:55.385 --> 01:28:59.027]  That's why they're now offering implantable chips to make you infertile as well.
[01:28:59.067 --> 01:28:59.648]  That's the new news.
[01:28:59.688 --> 01:29:01.649]  And you were talking about the morning after pill.
[01:29:01.669 --> 01:29:03.910]  They give the Gardasil shot without parental consent.
[01:29:04.371 --> 01:29:05.852]  They have it all down.
[01:29:06.252 --> 01:29:08.333]  It's a total chemical assault, is what it is.
[01:29:08.894 --> 01:29:09.354]  Yes, it is.
[01:29:09.514 --> 01:29:10.675]  I mean, it's a genetic assault.
[01:29:11.331 --> 01:29:12.973]  Yeah, and that's the biggest thing.
[01:29:12.993 --> 01:29:14.896]  You were talking about the serpent earlier and everything like that.
[01:29:14.936 --> 01:29:21.765]  If you attack the genetic code of humans, you're essentially touching the core of humanity.
[01:29:21.845 --> 01:29:27.032]  It is anti-human in every sense because you're destroying, you're unlocking the door to Pandora's box.
[01:29:27.412 --> 01:29:28.172]  Yeah, no kidding.
[01:29:28.353 --> 01:29:30.074]  This is a new kind of warfare, folks.
[01:29:30.114 --> 01:29:31.855]  This is warfare on your seed.
[01:29:31.875 --> 01:29:34.996]  This is not guns and chemical weapons.
[01:29:35.056 --> 01:29:36.998]  This is destroying your humanity.
[01:29:37.378 --> 01:29:39.619]  Destroying your egg and your sperm.
[01:29:39.679 --> 01:29:41.160]  This is destroying your whole lineage.
[01:29:41.840 --> 01:29:44.802]  Now, we're going to take some calls from guests straight ahead, so stay with us here.
[01:29:44.842 --> 01:29:45.883]  And if you'd like to call in, 800-259-9231.
[01:29:45.903 --> 01:29:48.224]  We're looking for people who love Monsanto.
[01:29:48.304 --> 01:29:48.924]  Please call in.
[01:29:49.245 --> 01:29:49.765]  We're on the march.
[01:29:49.785 --> 01:29:50.645]  The Empire's on the run.
[01:29:57.146 --> 01:29:59.837]  Alex Jones and the GCN Radio Network.
[01:30:04.614 --> 01:30:14.778]  The Silver Lungs Generator is the only all-encompassing professional class product for producing endless colloidal and ionic silver solutions right from the convenience of your home.
[01:30:15.218 --> 01:30:25.942]  With recent regulations threatening the sale of silver-based supplements, now you can secure yourself and your family by producing your own silver solutions anywhere, anytime.
[01:30:26.402 --> 01:30:33.685]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere, for any application.
[01:30:33.945 --> 01:30:40.793]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[01:30:41.153 --> 01:30:45.578]  This product was designed to be an invaluable part of your vital preparations.
[01:30:45.939 --> 01:30:53.247]  For a detailed report on the differences between ionic silver, colloidal silver, and what most silver solution manufacturers are producing,
[01:30:53.447 --> 01:31:03.314]  Please visit our website at www.silverlungs.com for more information on why you should be producing your own silver solutions right from your home forever.
[01:31:03.874 --> 01:31:09.098]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[01:31:09.378 --> 01:31:11.580]  Start purifying your water with ProPure.
[01:31:11.780 --> 01:31:17.304]  My friends, I've done a lot of research, and the best gravity filter out there, bar none, is ProPure.
[01:31:17.504 --> 01:31:20.727]  And it's available discounted at Infowars.com.
[01:31:20.887 --> 01:31:24.089]  Its filters are silver and pregnant to prevent bacterial growth.
[01:31:24.329 --> 01:31:25.770]  There's no priming required.
[01:31:26.031 --> 01:31:28.072]  It's NSF 42 certified.
[01:31:28.292 --> 01:31:30.774]  Optional fluoride filters can reduce fluoride up to 95%.
[01:31:31.855 --> 01:31:33.176]  Easy to set up and use.
[01:31:33.376 --> 01:31:34.677]  Doesn't require electricity.
[01:31:34.797 --> 01:31:37.659]  Purify water from lakes, streams, ponds, and wells.
[01:31:37.959 --> 01:31:41.141]  This filter system leaves in beneficial minerals, which is key.
[01:31:41.341 --> 01:31:43.122]  Save money by not buying bottled water.
[01:31:43.262 --> 01:31:45.344]  And avoid BPA that leaches from the plastic.
[01:31:45.484 --> 01:31:48.085]  ProPure is the best gravity-fed filter out there.
[01:31:48.225 --> 01:31:49.526]  It's what my family uses.
[01:31:49.806 --> 01:31:53.008]  Infowars.com already has the lowest price on ProPure.
[01:31:53.109 --> 01:31:58.752]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[01:31:58.952 --> 01:32:00.113]  You can also call to order.
[01:32:00.213 --> 01:32:00.253]  888-253-3139
[01:32:03.703 --> 01:32:04.464]  Aaron Fullin here.
[01:32:04.744 --> 01:32:16.472]  As the Food Police shut down food co-ops, the Amish, and small farmers, Americans are losing access, not just to raw milk and homemade cheeses, but to healthy, home-crafted sources for fermented foods like sauerkraut, yogurt, and kefir.
[01:32:16.732 --> 01:32:20.715]  It seems there's a war on life-giving foods with living enzymes and healthy bacteria.
[01:32:20.915 --> 01:32:23.517]  But frankly, I'm not sure what the Food Police are so afraid of.
[01:32:23.757 --> 01:32:31.643]  These remarkable foods have been around since the beginning of history, with archaeological evidence for fermented foods and beverages being found across the globe in almost every culture.
[01:32:31.903 --> 01:32:39.668]  Even today, Japanese eat miso, Africans eat fermented porridges, Koreans eat kimchi, and in India, fermented milk is a staple for healthy living.
[01:32:39.948 --> 01:32:40.908]  But here's some good news.
[01:32:41.128 --> 01:32:47.152]  Self-reliant Americans can now discover the secrets to making these amazing fermented foods legally and privately in their own homes.
[01:32:47.532 --> 01:32:50.673]  Since it's still legal to make these foods as long as you can make them yourself.
[01:32:50.973 --> 01:32:53.714]  For more information check out fermentationfactor.com.
[01:32:53.894 --> 01:32:55.695]  That's fermentationfactor.com.
[01:32:55.995 --> 01:33:02.218]  It's easy to create your own powerful fermented foods and you can do it by going to www.fermentationfactor.com.
[01:33:02.318 --> 01:33:03.558]  That's www.fermentationfactor.com.
[01:33:16.417 --> 01:33:25.362]  Alright, we are going to be taking calls from people who say that they love GMOs, they love Monsanto, they think GMOs are the greatest thing in the world.
[01:33:25.422 --> 01:33:27.343]  Now something interesting happened during the break.
[01:33:28.344 --> 01:33:32.647]  As we went to break, I looked at the phone board and it was stacked full of callers.
[01:33:33.527 --> 01:33:40.390]  And then during the break, the producer asked me, said, so you want people who are pro-Monsanto to call in?
[01:33:40.710 --> 01:33:41.170]  Is that right?
[01:33:41.190 --> 01:33:44.212]  And I said, yes, yes, that's what we want, pro-Monsanto people.
[01:33:44.752 --> 01:33:51.455]  And then I come back in and the phone board is empty, which I guess, and now it looks like maybe some lines are ringing.
[01:33:52.515 --> 01:33:56.677]  But we may have trouble finding people who are actually in support of Monsanto.
[01:33:57.077 --> 01:34:05.241]  If that's the case, then I guess, Anthony, we're not going to get threatened with being killed here on the air, which is the, you know, I mean, that's what I expect to happen.
[01:34:05.281 --> 01:34:07.342]  People calling in and saying, we're going to kill you.
[01:34:07.422 --> 01:34:08.402]  We know where you live.
[01:34:09.302 --> 01:34:10.163]  That's what they do to us.
[01:34:10.203 --> 01:34:13.784]  These scientists are really, well, thugs, ultimately.
[01:34:14.445 --> 01:34:15.265]  Your comments?
[01:34:16.506 --> 01:34:16.966]  What do you think?
[01:34:17.942 --> 01:34:19.804]  I think I've been threatened plenty.
[01:34:19.944 --> 01:34:21.086]  I kind of miss it sometimes.
[01:34:21.146 --> 01:34:23.108]  It reassures me that I'm doing the right thing.
[01:34:23.168 --> 01:34:32.337]  But I think, hey, any callers that want to call in and maybe tell us why they think people love Monsanto, why is this still going on, that might still work too.
[01:34:32.397 --> 01:34:39.685]  But I think I want to ask, I know some out there are listening, probably the scientist that emailed me too, since it sounds like he essentially follows everything I do.
[01:34:41.046 --> 01:34:44.847]  But I want to read them a quote about this GM wheat.
[01:34:44.907 --> 01:34:48.548]  And I really want to know how anyone could think that this is a good thing.
[01:34:49.088 --> 01:34:50.108]  Okay, wait a minute.
[01:34:50.308 --> 01:34:55.509]  Anthony, we have somebody on the phone board here who says they're pro-Monsanto.
[01:34:55.549 --> 01:34:56.229]  Let's talk to them.
[01:34:56.449 --> 01:34:57.210]  Let's talk to them.
[01:34:57.330 --> 01:34:58.630]  Alright, let's hear what they have to say.
[01:34:58.970 --> 01:35:02.311]  Feedman from Pennsylvania says you're pro-Monsanto.
[01:35:02.711 --> 01:35:04.991]  Hello Feedman, welcome to the show.
[01:35:05.912 --> 01:35:07.712]  Are you really pro-Monsanto or are you joking?
[01:35:08.966 --> 01:35:10.226]  Oh, well, I'm pro-everything.
[01:35:10.246 --> 01:35:11.087]  Why not, you know?
[01:35:11.327 --> 01:35:12.947]  Gotta play with the winning team, right?
[01:35:13.067 --> 01:35:14.647]  As they always say.
[01:35:14.748 --> 01:35:20.429]  Right now, as I speak, I'm taking a whole load of GMO corn to some unsuspecting farmers.
[01:35:20.469 --> 01:35:20.829]  Come on.
[01:35:23.070 --> 01:35:23.770]  Okay.
[01:35:24.350 --> 01:35:25.010]  All right.
[01:35:25.090 --> 01:35:26.430]  A lot of humor and comedy.
[01:35:26.991 --> 01:35:29.411]  Well, hey, you know, I look at it this way.
[01:35:29.431 --> 01:35:30.251]  I'm not trying to interrupt.
[01:35:30.311 --> 01:35:32.552]  I mean, I understand one thing.
[01:35:32.652 --> 01:35:33.592]  I can't hear the caller.
[01:35:33.652 --> 01:35:33.992]  No, no.
[01:35:34.212 --> 01:35:34.832]  Hold on, Anthony.
[01:35:34.852 --> 01:35:35.433]  He is talking.
[01:35:35.453 --> 01:35:36.173]  Go ahead, feed man.
[01:35:36.193 --> 01:35:36.713]  Go ahead.
[01:35:37.911 --> 01:35:51.234]  Yeah, I don't I don't necessarily agree with Monsanto, but I like everybody even if you are a worthless walk of life I got your back, but you know the second you cross my country You better watch out Good thank you for the call.
[01:35:51.274 --> 01:36:03.177]  That's a bit of a comedian calling in this is kind of as I suspected We're not gonna get people actually calling in who can defend Monsanto with anything rational so but let's keep trying the phone board is empty I
[01:36:03.777 --> 01:36:11.546]  This has never happened in the history of InfoWars because, of course, we called for people who support Monsanto and all we can get is a guy honking his horn.
[01:36:12.667 --> 01:36:12.988]  Anthony?
[01:36:13.008 --> 01:36:14.590]  Well, hey, he made a good point.
[01:36:14.650 --> 01:36:22.199]  Even the worthless Monsanto zombies that want to kill everyone, they still have a spirit, but hopefully they'll come to their senses someday.
[01:36:22.699 --> 01:36:24.120]  Well, yeah, I was going to read a quote.
[01:36:24.300 --> 01:36:25.941]  He said he's pro everyone, though.
[01:36:25.981 --> 01:36:29.083]  I mean, does that mean what he's pro Stalin?
[01:36:29.123 --> 01:36:30.744]  He's pro Hitler?
[01:36:30.764 --> 01:36:32.325]  I mean, I don't want to second guess the guy.
[01:36:32.365 --> 01:36:33.966]  He's obviously having a fun time there.
[01:36:34.006 --> 01:36:35.647]  But how can you be pro everything?
[01:36:35.707 --> 01:36:36.728]  You can't be pro everything.
[01:36:36.768 --> 01:36:37.828]  You have to have discernment.
[01:36:38.369 --> 01:36:38.829]  Yeah, you do.
[01:36:39.109 --> 01:36:39.590]  Exactly.
[01:36:39.630 --> 01:36:44.633]  And you can't let these people stomp all over you or you're just going to eventually come to the point where you're groveling at them.
[01:36:44.673 --> 01:36:46.574]  And that's not something that I personally want to do.
[01:36:47.082 --> 01:36:48.063]  Alright, so let's do this.
[01:36:48.543 --> 01:36:53.686]  Let's change the rules since we can't find an actual person who supports Monsanto.
[01:36:53.746 --> 01:36:54.006]  Alright?
[01:36:54.306 --> 01:36:55.187]  So here you go, callers.
[01:36:56.708 --> 01:36:58.929]  And here we go.
[01:36:58.949 --> 01:37:01.731]  1-800-259-9231 if you're against Monsanto.
[01:37:01.891 --> 01:37:03.051]  If you're against GMOs.
[01:37:03.091 --> 01:37:04.012]  We'll take your calls now.
[01:37:04.392 --> 01:37:11.297]  And let's see how fast we can get calls against Monsanto's corruption versus for Monsanto's corruption.
[01:37:11.417 --> 01:37:17.682]  If that's not significant in showing, there's really not a lot of actual real people that like Monsanto.
[01:37:17.702 --> 01:37:18.823]  There's apparently none.
[01:37:19.243 --> 01:37:33.614]  And when we have these comments on our websites, five seconds after we post them, six paragraphs long saying that GMO seeds are great and we're stupid idiots that don't know how to read a study, well it seems that they might have some type of financial interest
[01:37:33.854 --> 01:37:34.635]  And what they're doing.
[01:37:35.035 --> 01:37:41.000]  Or the people that go on social networking websites, and you know, blah blah blah all day long about how great Monsanto is.
[01:37:41.220 --> 01:37:44.643]  Do you think they're real, or do you think they actually have some type of motivation behind it?
[01:37:44.664 --> 01:37:46.145]  Oh, they're paid, and you know that.
[01:37:46.165 --> 01:37:47.306]  Yeah, obviously.
[01:37:47.546 --> 01:37:48.026]  They're paid.
[01:37:48.046 --> 01:37:48.727]  They're paid trolls.
[01:37:48.767 --> 01:37:50.489]  Well, look, the board is filling up.
[01:37:50.529 --> 01:37:52.370]  Let's go to Kenny in Ohio.
[01:37:52.991 --> 01:37:55.253]  But it says maybe pro-Monsanto, so let's find out.
[01:37:55.293 --> 01:37:57.194]  Kenny, in Ohio, you're on the air.
[01:37:57.214 --> 01:37:59.777]  Are you pro-Monsanto, or are you against Monsanto?
[01:38:01.101 --> 01:38:04.067]  One good reason, one good reason to be pro Monsanto.
[01:38:07.490 --> 01:38:09.331]  Alright, the comedian is back.
[01:38:09.351 --> 01:38:11.613]  Thank you for adding humor to our broadcast.
[01:38:11.633 --> 01:38:14.715]  So now we can confirm that he is indeed anti-Monsanto.
[01:38:14.755 --> 01:38:20.118]  So the one potential caller we had that was maybe pro-Monsanto because he said he liked people in general.
[01:38:20.138 --> 01:38:20.738]  I love it.
[01:38:20.758 --> 01:38:22.439]  Turns out he hates Monsanto too.
[01:38:22.619 --> 01:38:23.100]  This is great.
[01:38:23.140 --> 01:38:25.001]  Let's go to Sean in Tennessee.
[01:38:25.061 --> 01:38:26.161]  Sean, you're on the air.
[01:38:26.181 --> 01:38:27.442]  Are you pro-Monsanto?
[01:38:27.622 --> 01:38:29.083]  Are you against Monsanto?
[01:38:29.283 --> 01:38:31.985]  Or are you honking a horn at his, at the previous call?
[01:38:32.125 --> 01:38:42.355]  Let's put it this way, judging from what I noticed happen with my mother being diagnosed with breast cancer, now thankfully she got over it with all this new modern scientific medicine.
[01:38:42.395 --> 01:38:44.197]  I don't really like it all that much.
[01:38:44.237 --> 01:38:45.718]  I think it makes things worse.
[01:38:45.798 --> 01:38:48.601]  But no, I don't really care for Monsanto.
[01:38:48.621 --> 01:38:50.643]  They're killing people, even those in my family.
[01:38:51.464 --> 01:38:53.326]  And I'm really tired of their crap.
[01:38:54.246 --> 01:38:57.107]  Yeah, are you teaching your family about avoiding GMO?
[01:38:57.147 --> 01:39:01.369]  No, I'm trying to approach them in different ways on many different levels.
[01:39:01.409 --> 01:39:08.492]  My mom seems so confident and assured that she has this thing going, some kind of special diet with not being on gluten and all that.
[01:39:10.073 --> 01:39:11.734]  I guess it seems reliable.
[01:39:11.894 --> 01:39:14.295]  I don't know if I can necessarily disprove it.
[01:39:16.093 --> 01:39:19.775]  You know, she seems to be pretty confident in that as it's been lately.
[01:39:20.295 --> 01:39:29.559]  But are you seeing... She's just basically eliminating all gluten or whatever, since I guess, from what I understand, that's what her doctor's telling her, that she has to go without that.
[01:39:29.739 --> 01:39:41.804]  Well, that's a good thing to eliminate gluten, but you gotta watch out, because corn is a gluten-free food, and a lot of the gluten-free products are made with corn, and if you don't buy organic, then they can be genetically modified corn.
[01:39:42.324 --> 01:39:43.545]  Anthony, your thoughts on that point?
[01:39:44.696 --> 01:39:57.860]  I hear callers every radio show I go on calling and say basically that they had a relative or even an animal in some cases, farm owners call in, we had a relative or cattle or whatever eating this GMO corn or whatever it is and they just basically got cancer or dropped dead.
[01:39:58.120 --> 01:40:06.242]  You'll notice the caller, for the caller also though, that that French study specifically mentions that the women were getting tumors a lot more quickly than the men.
[01:40:06.682 --> 01:40:08.103]  It targets the women, absolutely.
[01:40:08.143 --> 01:40:08.764]  It's unfortunate.
[01:40:09.104 --> 01:40:10.405]  Gluten-free doesn't mean it's healthy.
[01:40:10.865 --> 01:40:11.746]  Always buy organic.
[01:40:12.106 --> 01:40:12.827]  GMO-free, 100%.
[01:40:13.247 --> 01:40:14.828]  It can still be GMO if it's gluten.
[01:40:14.848 --> 01:40:16.749]  A lot of people are on that gluten craze, you know?
[01:40:16.889 --> 01:40:17.530]  Yeah, definitely.
[01:40:17.810 --> 01:40:19.691]  Okay, let's go to some other callers.
[01:40:19.711 --> 01:40:20.472]  This is always fun.
[01:40:20.812 --> 01:40:24.955]  We've got Frank in Nebraska who says, the description says pro-GMO.
[01:40:25.255 --> 01:40:26.196]  Frank, is it true?
[01:40:26.356 --> 01:40:29.158]  Are you in support of Monsanto and GMOs?
[01:40:29.218 --> 01:40:29.999]  Tell us, please.
[01:40:31.193 --> 01:40:44.638]  Well, I tell you what, I think GMO foods should be served at every Bilderberg meeting, the whole UN, Wall Street, and all the major financial centers.
[01:40:45.358 --> 01:40:54.442]  And yeah, so I mean, it's like, you know, if Messier's, Rothschild, Rockefeller, and
[01:40:55.490 --> 01:41:01.054]  Seligman and the rest of the crowd think it's so damn good, by God, they should be the first to eat it, don't you?
[01:41:01.074 --> 01:41:05.977]  Alright, Frank wins the More Cowbell Award right here at the Alex Jones Studios.
[01:41:06.357 --> 01:41:08.399]  More cowbell for you, Frank, good answer.
[01:41:09.019 --> 01:41:16.444]  And literally, we are trying to take calls from people who are in favor of Monsanto and we can't find one person.
[01:41:17.024 --> 01:41:19.266]  But thank you, Frank, that was a very good
[01:41:21.487 --> 01:41:21.948]  Suggestion.
[01:41:22.408 --> 01:41:23.549]  And maybe we should take that.
[01:41:23.949 --> 01:41:27.932]  Anthony, your thoughts on the Globalists and their diets and why they're avoiding GMO.
[01:41:28.513 --> 01:41:34.838]  Well, I think if they think GMO is the same as regular high-quality organic food, then they should really be eating GMOs all day long.
[01:41:34.858 --> 01:41:39.821]  And I would challenge anyone that's pro-GMO to literally eat 100% diet of GMO foods for a year.
[01:41:40.222 --> 01:41:44.125]  And if you're still alive, then you can call into the show and be the first caller to actually support Monsanto.
[01:41:45.410 --> 01:41:46.691]  Maybe we should have a reward.
[01:41:46.711 --> 01:41:49.114]  Yeah, we'll give you a reward.
[01:41:49.134 --> 01:41:49.254]  Wanted.
[01:41:49.434 --> 01:41:50.235]  Dead or alive.
[01:41:50.975 --> 01:41:53.077]  Yeah, they call us and they can't speak English anymore.
[01:41:53.137 --> 01:41:54.639]  You know, we'll talk to them.
[01:41:54.659 --> 01:41:55.179]  Okay, alright.
[01:41:55.460 --> 01:41:59.964]  Chuck, in New Hampshire, Chuck is apparently against Monsanto.
[01:42:00.004 --> 01:42:01.365]  Is that true, Chuck?
[01:42:01.886 --> 01:42:07.631]  Are you not in favor of evil, contaminated food that may cause cancer tumors?
[01:42:07.651 --> 01:42:08.372]  What's the deal, Chuck?
[01:42:09.611 --> 01:42:10.752]  Hey Mike, how are you?
[01:42:10.872 --> 01:42:13.774]  I'm very much against Monsanto and genetically modified foods.
[01:42:14.235 --> 01:42:15.856]  The reason I called in, I wanted to comment.
[01:42:16.497 --> 01:42:18.978]  I met up with some libertarians two days ago.
[01:42:19.039 --> 01:42:21.180]  We actually marched on the Fed in Boston.
[01:42:21.821 --> 01:42:25.804]  But a number of these libertarians were in favor of genetically modified foods.
[01:42:26.485 --> 01:42:32.993]  Just because of the whole issue of being libertarian, not wanting to infringe on a company's right to promote these foods.
[01:42:33.594 --> 01:42:41.484]  So I really think what the work you're doing is important, trying to reach out and teach people why these foods are harmful, and why they should be labeled, in fact.
[01:42:42.165 --> 01:42:43.125]  Yes, good point.
[01:42:43.165 --> 01:42:49.487]  Well, libertarians should know that in a free market, you have to have good information in order to make an informed choice.
[01:42:49.867 --> 01:42:59.290]  So libertarians, I would hope, I mean, I count myself as a libertarian-leaning type of person, but we gotta know what's in the food to make the decision in a free market, right?
[01:42:59.390 --> 01:43:00.511]  What do you think, Chuck?
[01:43:01.571 --> 01:43:02.491]  No, absolutely, man.
[01:43:02.571 --> 01:43:07.053]  I read that one piece that you did about being able to make an informed choice in a free market.
[01:43:07.093 --> 01:43:11.034]  You absolutely have to know what it is you're purchasing, what you're exchanging for.
[01:43:14.149 --> 01:43:15.650]  A lot of people are just misinformed.
[01:43:15.670 --> 01:43:18.771]  There's a lot of misinformation about GMOs out there.
[01:43:18.791 --> 01:43:19.892]  There's a lot of propaganda.
[01:43:20.432 --> 01:43:23.293]  I think the work that you're doing is extremely important, so thank you.
[01:43:23.574 --> 01:43:26.735]  Well, thank you, Chuck, calling from the state named after hemp.
[01:43:26.995 --> 01:43:28.436]  New hemp shire.
[01:43:28.736 --> 01:43:30.037]  New hemp shire.
[01:43:31.278 --> 01:43:32.698]  Anthony, the next call goes to you.
[01:43:33.018 --> 01:43:34.519]  All right, Chris from Kentucky.
[01:43:34.899 --> 01:43:35.940]  Chris, welcome to the show.
[01:43:35.960 --> 01:43:37.661]  Do you have a question for Anthony Gucciardi?
[01:43:38.513 --> 01:43:43.276]  Yes, I formally used to be for this until I woke up as somebody who educated on me.
[01:43:44.076 --> 01:43:47.879]  I work part-time in a restaurant, and you talk about the labels, everything is modified.
[01:43:48.699 --> 01:43:52.762]  It's the genetically modified oils, everything is in there.
[01:43:52.802 --> 01:43:54.543]  This is not food these days.
[01:43:55.644 --> 01:44:00.687]  I don't eat the food at the restaurant, but with the economy, I've got to work part-time at this job, but the reality of it is,
[01:44:01.227 --> 01:44:03.849]  Avoid going to restaurants and ask questions.
[01:44:03.909 --> 01:44:10.054]  If you can find someplace that can locally support the farmers to have a restaurant, that's where I go.
[01:44:10.134 --> 01:44:11.875]  Stay away from these chains.
[01:44:12.015 --> 01:44:13.196]  Very good point.
[01:44:13.276 --> 01:44:15.618]  Anthony, your comments on restaurant food and GMO.
[01:44:16.172 --> 01:44:18.974]  That's absolutely key, and the same goes for supermarket food.
[01:44:19.334 --> 01:44:33.262]  If you're going to a restaurant, especially a low-class, not low-class, but a lower-income bracket restaurant like McDonald's or something like that, and that's why we're seeing the study with people who are financially struggling, dying quicker, because they go to McDonald's.
[01:44:33.322 --> 01:44:34.723]  I almost said Monsanto.
[01:44:34.763 --> 01:44:35.624]  They go to McDonald's.
[01:44:36.144 --> 01:44:37.206]  We're on the same, buddy.
[01:44:37.547 --> 01:44:46.401]  And they purchase a dollar burger, or they go to the supermarket and purchase a dollar chip bag or something like that, chances are it is GMO almost 100% of the time, so avoid that, absolutely.
[01:44:47.256 --> 01:44:48.737]  What kind of bag did you just say?
[01:44:49.438 --> 01:44:50.458]  Chip bag, you know.
[01:44:50.619 --> 01:44:51.459]  Oh, a chip bag.
[01:44:51.599 --> 01:44:52.700]  A snack chip bag.
[01:44:52.740 --> 01:44:52.940]  Okay.
[01:44:53.260 --> 01:44:53.601]  Yeah.
[01:44:53.661 --> 01:44:55.322]  I thought you violated FTC there for a moment.
[01:44:55.342 --> 01:44:56.423]  Okay, let's go to Leah.
