[00:00:00.684 --> 00:00:01.005]  I got it.
[00:51:35.697 --> 00:51:41.384]  Five trillion derivatives, Washington Post, and then you can show them the article.
[00:51:41.384 --> 00:51:44.007]  What's amazing is Tarpley said all those numbers.
[00:51:44.007 --> 00:51:44.748]  He's an economist.
[00:51:45.748 --> 00:51:47.028]  Doctor of History.
[00:51:47.028 --> 00:52:02.474]  He said all those numbers a year and a half before an Obama deception and then that was before those numbers have been made public by the GAO and others and the Treasury and then they were exactly accurate but that's a side issue.
[00:52:02.474 --> 00:52:05.515]  They've signed us on and of course it's grown, the derivatives.
[00:52:05.515 --> 00:52:08.556]  They've taken bailout money and leveraged it again for the power of
[00:52:10.373 --> 00:52:14.017]  Two hundred, three hundred times in some cases, usually about a hundred times.
[00:52:14.017 --> 00:52:19.144]  They took the bailout money, your money, and they put it back in the derivatives.
[00:52:19.144 --> 00:52:24.250]  Derivatives are much bigger than they were four years ago, in 2008 when they held us all hostage.
[00:52:24.250 --> 00:52:26.533]  Remember that in October of 2008?
[00:52:29.028 --> 00:52:36.413]  And so it's so frustrating to sit here and to see this happening and they'll just say, oh my gosh, the stock market's plunging.
[00:52:36.413 --> 00:52:39.715]  We've got to have these trillions of dollars or it's all over.
[00:52:39.715 --> 00:52:54.684]  Now I'm going to go to a special report here because we covered all this at the time a few months ago when James Holmes reportedly shot the people at the suburb of the Colorado movie theater.
[00:52:54.684 --> 00:52:57.386]  They're in a suburb of Denver.
[00:52:58.562 --> 00:52:58.923]  I don't
[00:53:15.479 --> 00:53:16.119]  We're good to go.
[00:53:32.415 --> 00:53:40.838]  And then people reporting multiple flashbang smoke bombs and people letting him in and the theater announcing there's a shooting and all this.
[00:53:40.838 --> 00:53:41.899]  It fit the M.O.
[00:53:41.899 --> 00:53:44.160]  of real programs of mind control.
[00:53:44.160 --> 00:53:48.982]  And now inmates that were with him are coming out and saying that he said he was under mind control.
[00:53:49.702 --> 00:53:52.663]  And then the police say no, there were no inmates around him.
[00:53:52.663 --> 00:53:57.645]  But then their own reports at the time said he was put in next to other inmates who heard him in the cells.
[00:53:57.645 --> 00:54:00.406]  So, this thing stinks to high heaven to get our guns.
[00:54:00.406 --> 00:54:03.367]  If they staged Fast and Furious, they'd stage this.
[00:54:03.367 --> 00:54:10.109]  Let's go ahead and go to this report by David Knight from Infowars Nightly News, one of our great reporters, breaking this down.
[00:54:10.609 --> 00:54:13.071]  I'm David Knight with the InfoWars Nightly News.
[00:54:13.071 --> 00:54:17.195]  Now, yesterday, two related stories broke on the Drudge Report and elsewhere nationally.
[00:54:17.195 --> 00:54:22.680]  The first one was from InfoWars.com, and it talked about an update to the Batman shooter killings.
[00:54:22.680 --> 00:54:28.205]  Now, in that update, an inmate told by James Holmes that he was programmed to kill by an evil therapist.
[00:54:28.205 --> 00:54:32.729]  He felt like he was in a video game, and he said music from the soundtrack was a trigger for him to kill.
[00:54:32.729 --> 00:54:35.732]  Now, the other story concerns the death of a CIA scientist in 1953.
[00:54:37.569 --> 00:54:45.662]  Now, both sides agree that Dr. Frank Olson died from a fall through a closed window with the curtains drawn at the high-rise Statler Hotel.
[00:54:45.662 --> 00:54:52.172]  They also agree that he was given, nine days earlier, a brandy that was laced with LSD in a CIA meeting.
[00:54:52.734 --> 00:55:00.918]  But after 60 years, Frank Olson's family has filed suit alleging that the CIA murdered their father because he was going to resign.
[00:55:00.918 --> 00:55:02.339]  Why would he resign?
[00:55:02.339 --> 00:55:07.742]  Because he was horrified by the biological and chemical experiments that he had witnessed while working at the CIA.
[00:55:08.743 --> 00:55:17.210]  Now, a 2009 book titled, A Terrible Mistake, The Murder of Frank Olson and the CIA's Secret Cold War Experiments, by H.P.
[00:55:17.210 --> 00:55:29.341]  Albarelli, does an excellent job of chronicling not only the death of Dr. Olson, but the key roles that Nazi war criminals and Japanese war criminals played in developing these programs for the CIA.
[00:55:29.341 --> 00:55:36.247]  It also discusses the origins of the MKULTRA program and the assassination programs that the CIA created
[00:55:36.847 --> 00:55:37.968]  At that time.
[00:55:37.968 --> 00:55:44.231]  Now, one of the problems I have with the book is that it takes the naive position that these experiments have stopped.
[00:55:44.231 --> 00:55:44.511]  Really?
[00:55:44.511 --> 00:55:48.153]  Do we really have a kinder and gentler CIA?
[00:55:48.153 --> 00:55:56.857]  Well, yes, 20 years after Dr. Olson's murder, some of the dark secrets of the CIA were revealed during the Church Committee as well as the Rockefeller Commission hearings.
[00:55:56.857 --> 00:56:01.939]  You may recall then-director of the CIA, William Colby, demonstrating a heart attack gun.
[00:56:01.939 --> 00:56:05.121]  ...Mr. Chairman, and a special one was developed which
[00:56:05.894 --> 00:56:11.081]  Potentially would be able to enter the target without perception.
[00:56:11.081 --> 00:56:17.650]  But the CIA and many in power at the time were very angry about that and William Colby was replaced by George H.W.
[00:56:17.650 --> 00:56:17.871]  Bush.
[00:56:18.570 --> 00:56:23.051]  The Olsen family had, at that time, been looking for justice for 20 years.
[00:56:23.051 --> 00:56:27.152]  And in the background, some familiar names were obstructing that justice.
[00:56:27.152 --> 00:56:32.433]  Donald Rumsfeld was then the White House Chief of Staff, and Dick Cheney was a White House assistant.
[00:56:32.433 --> 00:56:41.355]  And it was discovered 10 years ago by a history researcher in the President Ford Library that the two of them were conspiring in memos to cover up Dr. Frank Olsen's death.
[00:56:41.355 --> 00:56:44.376]  This is what they found in a memo between Dick Cheney and Don Rumsfeld.
[00:56:44.816 --> 00:56:51.598]  The Olson lawyers will seek to explore all the circumstances of Dr. Olson's employment, as well as those concerning his death.
[00:56:51.598 --> 00:57:03.701]  In any trial, it may become apparent that we're concealing evidence for national security reasons, and any settlement or judgment reached thereafter could be perceived as money paid to cover up the activities of the CIA.
[00:57:03.701 --> 00:57:08.343]  Well, in fact, they did pay money to the Olson family during the Ford administration.
[00:57:08.343 --> 00:57:11.663]  It was kind of hush money, but what the family really wanted was justice.
[00:57:11.663 --> 00:57:13.264]  What the family really wanted was truth.
[00:57:14.033 --> 00:57:15.995]  And there hasn't been a change of heart at the CIA.
[00:57:15.995 --> 00:57:19.459]  There really wasn't even a change of regime and power.
[00:57:19.459 --> 00:57:22.962]  Rumsfeld and Cheney were still players at the time of September 11th.
[00:57:22.962 --> 00:57:26.446]  And the Bushes had significant ties to Bin Laden.
[00:57:26.446 --> 00:57:27.507]  Great job, David Knight.
[00:57:27.507 --> 00:57:33.093]  The full report is up at Infowars.com right now and posted at PrisonPlanet.tv, but that's part of it.
[00:57:33.533 --> 00:57:38.738]  We've got more special reports will air in total coming up in the second hour straight ahead.
[00:57:38.738 --> 00:57:41.300]  Folks, the CIA is run by foreign banks.
[00:57:41.300 --> 00:57:46.345]  It runs giant torture camps worldwide on record where children are tortured in front of their parents.
[00:57:46.345 --> 00:57:47.006]  Okay?
[00:57:47.006 --> 00:57:48.107]  The CIA is not America.
[00:57:52.518 --> 00:58:00.644]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:58:00.644 --> 00:58:04.707]  Alex and his staff have used these pure soap products for years.
[00:58:04.707 --> 00:58:12.032]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:58:12.032 --> 00:58:14.834]  See them on the web at 5starsoap.com.
[00:58:15.054 --> 00:58:19.876]  Or call 800-340-7091 for a free catalog.
[00:58:19.876 --> 00:58:25.818]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:58:25.818 --> 00:58:31.220]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:58:31.220 --> 00:58:33.201]  This is an amazing deal.
[00:58:33.201 --> 00:58:38.443]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:58:38.443 --> 00:58:40.604]  See them on the web at 5starsoap.com.
[00:58:41.164 --> 00:58:42.948]  Or call 800-340-7091 for a free catalog.
[00:58:50.578 --> 00:58:56.362]  Sodium fluoride in the body reduces IQ and increases cancers.
[00:58:56.362 --> 00:59:03.726]  Unfortunately, fluoride and its derivatives are only one of hundreds of toxins being added to our drinking water.
[00:59:03.726 --> 00:59:06.468]  We're battling the globalist on so many fronts.
[00:59:06.468 --> 00:59:12.512]  Health is an area where we can all take control of our lives and it all starts with that basic building block of water.
[00:59:13.172 --> 00:59:16.215]  It is time to purify our family's water.
[00:59:16.215 --> 00:59:23.101]  The ProPure filtration system with added fluoride filters is the best system from my research to protect you and your family.
[00:59:23.101 --> 00:59:28.406]  Infowarstore.com already has the lowest prices on ProPure water filtration.
[00:59:28.406 --> 00:59:34.072]  But until December 10th, we are going to offer 15% off the already lowest price.
[00:59:34.432 --> 00:59:36.734]  I know what I'm giving my family this Christmas.
[00:59:36.734 --> 00:59:37.475]  ProPure.
[00:59:37.475 --> 00:59:44.321]  Go to InfowarStore.com and get 15% off the already lowest price out there with the code WATER15.
[00:59:44.321 --> 00:59:51.388]  WATER15 and you get 15% off at InfowarStore.com.
[00:59:51.388 --> 00:59:52.930]  Coast to Coast.
[00:59:52.930 --> 00:59:54.971]  Direct from Austin.
[00:59:54.971 --> 00:59:58.195]  You're listening to the Alex Jones Broadcasting Network.
[01:00:01.880 --> 01:00:08.512]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:00:08.512 --> 01:00:11.498]  It's Alex Jones and the GCN Radio Network.
[01:00:21.263 --> 01:00:29.487]  Okay, coming up, I aired this Friday, premiered it in overdrive, but a lot of stations don't pick up the fourth hour of overdrive when I do do that.
[01:00:29.487 --> 01:00:29.987]  Some do.
[01:00:29.987 --> 01:00:44.273]  So I'm going to air this JP Morgan caught red-handed video where they're running TV ads for the holidays basically implying that they are Americana, that they're underwriting everything that's good in America.
[01:00:45.711 --> 01:00:48.053]  So I'm going to premiere that towards the end of this hour.
[01:00:48.053 --> 01:01:02.344]  I also want to play a piece with Jakari Jackson, a boil-down of a 30-minute interview he did with the godfather of climate change deniers, Mark Moreno, to give us the latest.
[01:01:02.344 --> 01:01:03.505]  It's very important information.
[01:01:04.806 --> 01:01:06.907]  And that is coming up as well.
[01:01:06.907 --> 01:01:26.316]  There's one more thing I want to do here, and I want to plug this later in the hour as well, just to get media attention to it so we can cover drones and then have the media show up and get our perspective on how the military-industrial complex is using our money to militarize things against us.
[01:01:26.316 --> 01:01:30.138]  And I have a stack of news on that as well I'm going to be getting to coming up.
[01:01:32.284 --> 01:01:39.213]  That we need to have our own little drone mob and probably watch the system freak out about it or something.
[01:01:39.213 --> 01:01:41.696]  I mean, at least that's what we hope.
[01:01:41.696 --> 01:01:44.600]  Because then that'll get even more attention to it.
[01:01:44.600 --> 01:01:50.267]  It's kind of like storming the Capitol twice to bring attention to the TSA so they would bring the legislation back, which they're now doing.
[01:01:50.768 --> 01:01:51.989]  And we didn't really storm it.
[01:01:51.989 --> 01:01:55.213]  The media called people angrily, rushing in and getting in there.
[01:01:55.213 --> 01:01:57.235]  Legislators faced storming it.
[01:01:57.235 --> 01:02:01.680]  So their attempt to demonize this actually helps because they've already lost all credibility.
[01:02:01.680 --> 01:02:04.002]  But the system is delusional.
[01:02:04.002 --> 01:02:05.744]  It doesn't understand how much it's disliked.
[01:02:06.906 --> 01:02:10.330]  So drone makers push Congress to move up domestic deployment date.
[01:02:10.330 --> 01:02:11.772]  Drone crashes increasing.
[01:02:11.772 --> 01:02:13.134]  We're going to get to all that.
[01:02:13.134 --> 01:02:21.564]  But here's Melissa Melton and Jakari Jackson with a quick video report that I'll narrate here for radio listeners on it as we go out to break and then come back with the U.N.
[01:02:21.564 --> 01:02:22.465]  takeover of the Internet.
[01:02:22.465 --> 01:02:22.766]  Here it is.
[01:02:23.556 --> 01:02:24.417]  I'm Melissa Melvin.
[01:02:24.417 --> 01:02:26.779]  And I'm Ja'Kari Jackson for the InfoWars Nightly News.
[01:02:26.779 --> 01:02:28.801]  Now you've heard us talk about drones.
[01:02:28.801 --> 01:02:29.862]  Hashtag DroneMob.
[01:02:29.862 --> 01:02:31.163]  We have set a date.
[01:02:31.163 --> 01:02:34.627]  It will be December 8th, Zilker Park in Austin, Texas.
[01:02:34.627 --> 01:02:38.490]  Now as you can see before us, we have here our very own Black Ops 2 drone.
[01:02:38.490 --> 01:02:41.673]  We've had this thing for a few weeks because of various things.
[01:02:41.673 --> 01:02:43.435]  We haven't had a chance to open it yet.
[01:02:43.435 --> 01:02:44.356]  So we're very excited.
[01:02:44.356 --> 01:02:47.739]  We're going to open it right now to show you what we have and what we're dealing with.
[01:02:47.739 --> 01:02:48.400]  So let's take a look.
[01:02:49.929 --> 01:02:55.012]  This is how they're using little, you know, weaponized special forces kids.
[01:02:55.012 --> 01:02:56.173]  That's what it looks like.
[01:02:56.173 --> 01:03:00.316]  To make everybody accept drones along with the video games.
[01:03:00.316 --> 01:03:01.476]  They call them care packages.
[01:03:01.476 --> 01:03:07.460]  And again, we're gonna have some larger drones.
[01:03:07.460 --> 01:03:08.681]  You're a winner when you open the box.
[01:03:10.725 --> 01:03:16.286]  And by the way, you know, they say don't fly the drones above 400 feet, then there's no FAA jurisdiction.
[01:03:16.286 --> 01:03:25.028]  I think you might want to take a look at this instructional booklet to tell you how to do that because... This is going to be Zilker Park next... I don't know how many... Wow.
[01:03:25.028 --> 01:03:26.408]  Do you have a megaphone?
[01:03:26.408 --> 01:03:26.588]  No.
[01:03:26.588 --> 01:03:28.049]  ...next Saturday at noon.
[01:03:28.049 --> 01:03:31.769]  Zucari, Melissa, and other crew are going to be out there.
[01:03:31.769 --> 01:03:32.630]  I don't know if I'll be out there.
[01:03:32.630 --> 01:03:35.150]  I might.
[01:03:35.150 --> 01:03:39.271]  I love meeting fans and listeners, but at the same time, it just feels like you're grandstanding.
[01:03:41.664 --> 01:03:44.865]  When Info Wars last used drones, they were shot down.
[01:03:44.865 --> 01:03:45.885]  Not this time.
[01:03:45.885 --> 01:03:59.768]  This is a peaceful fly-in contest meant for fun and awareness.
[01:03:59.768 --> 01:04:02.309]  And again, next Saturday.
[01:04:02.309 --> 01:04:07.350]  You've been awarded right here with a medal.
[01:04:19.273 --> 01:04:23.275]  And by the way, that's what it's all about, just conditioning everybody to robots.
[01:04:23.275 --> 01:04:29.540]  They're using drones as kind of the robot century rollout conditioning mechanism.
[01:04:29.540 --> 01:04:35.423]  So I'll be getting into those articles as well here today on this Sunday transmission.
[01:04:35.423 --> 01:04:38.606]  But Obama punched to Congress over
[01:04:40.063 --> 01:04:53.300]  UN shamefully recognized Palestine will be getting into that some as well today, but the military-industrial complex is using our money against us to enslave us in a classical takeover.
[01:04:53.300 --> 01:04:54.121]  We'll be right back.
[01:04:54.121 --> 01:04:57.886]  The websites are PrisonPlanet.tv, PrisonPlanet.com and InfoWars.com.
[01:04:59.594 --> 01:05:02.637]  Have you ever wanted to generate your own supply of electrical power?
[01:05:02.637 --> 01:05:04.618]  Even save money on your electric bill?
[01:05:04.618 --> 01:05:08.242]  If so, this could be one of the most important messages you will ever hear.
[01:05:08.242 --> 01:05:10.464]  Solar power generators are now available.
[01:05:10.464 --> 01:05:14.087]  These emergency backup systems provide life-saving electrical power.
[01:05:14.087 --> 01:05:20.172]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[01:05:20.172 --> 01:05:23.555]  It's like having an electrical power plant running quietly in your own home.
[01:05:23.875 --> 01:05:28.616]  Run sump pumps, shortwave radios, computers, and even keep your food from spoiling.
[01:05:28.616 --> 01:05:34.597]  Whether it's hurricanes, ice storms, brownouts or blackouts, you'll never suffer through painful power outages again.
[01:05:34.597 --> 01:05:35.878]  And here's the best news.
[01:05:35.878 --> 01:05:42.959]  A remarkable fall truckload sale is going on right now that gets you $1,700 in bonuses when you buy a solar generator.
[01:05:42.959 --> 01:05:45.520]  To find out why these solar generators are the best generators,
[01:05:45.520 --> 01:05:49.082]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[01:06:15.896 --> 01:06:22.263]  Rallying patriots worldwide.
[01:06:22.263 --> 01:06:24.726]  You're listening to the Alex Jones Show.
[01:06:29.884 --> 01:06:34.870]  We are now into our number two on this Sunday transmission.
[01:06:34.870 --> 01:06:36.993]  I'll be back tomorrow.
[01:06:36.993 --> 01:06:37.313]  11 a.m.
[01:06:37.313 --> 01:06:37.754]  to 2 p.m.
[01:06:37.754 --> 01:06:38.555]  Central.
[01:06:38.555 --> 01:06:39.616]  12 noon to 3 p.m.
[01:06:39.616 --> 01:06:40.337]  Eastern.
[01:06:40.337 --> 01:06:41.359]  Blasting out on XM-166.
[01:06:41.359 --> 01:06:42.180]  Over 140 AM and FM stations.
[01:06:46.605 --> 01:06:50.787]  He's got a 50,000 watt AM in Bakersfields turning us on.
[01:06:50.787 --> 01:06:51.668]  Was it today?
[01:06:51.668 --> 01:06:52.568]  Carrying the Sunday Show?
[01:06:52.568 --> 01:06:54.289]  Or is it next Sunday?
[01:06:54.289 --> 01:06:56.430]  Point is, we are getting so many new affiliates.
[01:06:56.430 --> 01:06:58.171]  Very thankful to all of them.
[01:06:58.171 --> 01:07:05.615]  Perhaps the Republic and Free Humanity does have a shot at kicking the Globalist out and getting our basic freedoms back.
[01:07:05.615 --> 01:07:13.419]  If Alex Jones is becoming show mainstream, I think that is a very, very good indicator.
[01:07:13.419 --> 01:07:13.679]  Okay.
[01:07:14.878 --> 01:07:23.083]  I have followed the architecture of the internet deeply for 17 years.
[01:07:23.083 --> 01:07:25.204]  Now, does that mean I know how to program a computer?
[01:07:25.204 --> 01:07:26.665]  Absolutely not.
[01:07:26.665 --> 01:07:29.267]  Does that mean that I'm a tech geek?
[01:07:29.267 --> 01:07:31.849]  No.
[01:07:31.849 --> 01:07:38.473]  What I do is I read what DARPA is putting out to congressional level committees that is restricted but not classified.
[01:07:39.451 --> 01:07:48.440]  What I do is read white papers put out by global consortiums of government and academia, like the Internet2 Consortium, as it's been called for 14 years.
[01:07:48.440 --> 01:07:54.226]  And I read the minutes of their big meetings they have each year in London and Tokyo and Austin, Texas, where they've met.
[01:07:55.513 --> 01:08:12.344]  I follow what the UN statements are in their policy meetings, and I follow the text of the Global Copyright Act they're trying to get through, the Global Cybersecurity Act, the Domestic Cybersecurity Act, that go together like a horse and carriage.
[01:08:12.344 --> 01:08:14.486]  Seamless integration.
[01:08:14.486 --> 01:08:18.589]  They were made for one another, like lock and key.
[01:08:18.589 --> 01:08:23.332]  And I sit here, studying it,
[01:08:24.830 --> 01:08:32.594]  And I marveled the last really decade never seeing mainstream media, even the tech publications, get it right.
[01:08:32.594 --> 01:08:34.335]  That is not the case anymore.
[01:08:34.335 --> 01:08:39.097]  And again, I'm not up here high and mighty going, I told you the UN was coming to take over the internet.
[01:08:39.097 --> 01:08:47.261]  I was reading what they were saying at Davos six, seven years ago, what was leaking out of Bilderberg.
[01:08:47.261 --> 01:08:50.623]  Because again, the military industrial complex that Eisenhower warned us about,
[01:08:51.693 --> 01:09:00.239]  In his farewell address in 61, President General Eisenhower, he talked about a technocratic elite controlling the military-industrial complex.
[01:09:00.239 --> 01:09:02.140]  See, they never play the full clip.
[01:09:02.140 --> 01:09:03.541]  We've played it here many times.
[01:09:03.541 --> 01:09:13.187]  Just type into a search engine the text or the film, the video, it was shot in film, but it'll be called video, of Eisenhower's complete farewell address.
[01:09:13.187 --> 01:09:14.208]  We ought to air that someday.
[01:09:14.208 --> 01:09:15.208]  It's not that long.
[01:09:19.560 --> 01:09:32.588]  He talks about a technocratic scientific elite breaking off and creating a new civilization behind national security auspices, totally destroying our free society.
[01:09:32.588 --> 01:09:34.749]  Well, that was 1961.
[01:09:34.749 --> 01:09:45.335]  Here we are, all these decades later, 50 plus years later, and it's all coming true.
[01:09:46.812 --> 01:09:48.574]  So to just get up here and say the U.N.'
[01:09:48.554 --> 01:09:49.655]  's taking over, the U.N.'
[01:09:49.615 --> 01:09:59.025]  's taking over the military-industrial complex run by foreign, money-changing, fraudulent, derivatives-creating Ponzi scheme lords.
[01:09:59.025 --> 01:10:00.827]  They got the whole world through fraud.
[01:10:00.827 --> 01:10:08.455]  I mean, Thomas Jefferson said if you let private banks issue currency and credit, and not the government, you will wake up homeless on the continent your fathers conquered.
[01:10:09.451 --> 01:10:11.192]  And he went on to say how they do it.
[01:10:11.192 --> 01:10:15.935]  They will issue themselves unlimited capital to buy everything up from you.
[01:10:15.935 --> 01:10:21.178]  And even if you arrest those bankers, because the quote's shorter, there's pages he wrote on this.
[01:10:21.178 --> 01:10:28.602]  He said, even, and I'm paraphrasing, you can pull up the Thomas Everson quotes on banking, go read it yourself, Library of Congress, you name it, they have the actual copies of the letters.
[01:10:28.602 --> 01:10:31.123]  George Washington letters are online, scanned, it's incredible.
[01:10:31.123 --> 01:10:32.104]  Go read it!
[01:10:32.104 --> 01:10:34.145]  I don't just believe it when I see it on, I've gone and read it.
[01:10:35.427 --> 01:10:45.153]  And he said, even, he goes, if you don't take the issuing power from them, you can arrest them, they would give it all back to themselves the day they get out of jail.
[01:10:45.153 --> 01:10:49.215]  And that's exactly what they do.
[01:10:49.215 --> 01:10:55.699]  But side issue, I just keep going back to the banking fraud, because it's what's killing us.
[01:10:55.699 --> 01:11:04.845]  Now, you have all this going on, you have the military industrial complex, run by foreign banks, and so when you hear, oh, the, the, the, the, the,
[01:11:07.014 --> 01:11:21.619]  The Pentagon, DARPA, ICANN, the DNS registry that the United States created, well that is the Advanced Research Laboratories created in the 60s.
[01:11:21.619 --> 01:11:23.320]  Wasn't Al Gore, folks.
[01:11:23.320 --> 01:11:25.821]  The guy's a congenital pathological liar.
[01:11:25.821 --> 01:11:27.421]  He had nothing to do with the internet.
[01:11:27.421 --> 01:11:28.182]  In the early 90s he...
[01:11:29.838 --> 01:11:30.038]  I think?
[01:11:49.836 --> 01:11:53.318]  In what it's become and there's different visions of what they want to make it.
[01:11:53.318 --> 01:11:54.959]  It can be a double-edged sword.
[01:11:54.959 --> 01:12:12.308]  It can bring us unbelievable commerce and liberty and freedom and enlightenment and education and true diversity of thought or it can be a panoptagonic system of total surveillance and enslavement and a system to blackball and erase all information not sanctioned by the globalist.
[01:12:12.808 --> 01:12:14.509]  I mean, I've already had it happen many times.
[01:12:14.509 --> 01:12:16.389]  We theorized about it a decade ago.
[01:12:16.389 --> 01:12:30.373]  Now it's happened the last two years where a group will claim my voice is copyrighted by them and start killing tens of thousands of videos in a day where my voice is just erased, say, off YouTube.
[01:12:30.373 --> 01:12:34.555]  Everything that has my voice is now copyright claimed and taken down.
[01:12:34.555 --> 01:12:36.235]  My voice patterns.
[01:12:36.235 --> 01:12:37.676]  My voice print.
[01:12:37.676 --> 01:12:40.877]  And it always becomes such a scandal, they're restored right away.
[01:12:40.877 --> 01:12:41.937]  But that power
[01:12:43.106 --> 01:12:46.348]  Becomes a major, you know, national news story when that happens.
[01:12:46.348 --> 01:12:59.557]  And it's already happening to other people, so that's why the Internet's so dangerous, because once everything's on the cloud, once everything's not on your computer, and they're designing the devices where you won't be able to have it saved yourself pretty soon.
[01:12:59.557 --> 01:13:01.218]  And that's all part of these new standards.
[01:13:01.218 --> 01:13:03.320]  They say, well, you can't be trusted to have it yourself.
[01:13:03.320 --> 01:13:04.761]  You've got to be up on the cloud.
[01:13:04.761 --> 01:13:06.362]  We've got to have Internet ID.
[01:13:06.362 --> 01:13:09.364]  We've got to be able to track you and tax you.
[01:13:09.364 --> 01:13:10.504]  And then if you're not good,
[01:13:11.588 --> 01:13:16.071]  Ban you from the internet if we say you've done something.
[01:13:16.071 --> 01:13:18.192]  One time is what Russia wants.
[01:13:18.192 --> 01:13:19.693]  One time is what China wants.
[01:13:19.693 --> 01:13:20.113]  The U.S.
[01:13:20.113 --> 01:13:20.774]  says no.
[01:13:20.774 --> 01:13:25.516]  Three times if somebody claims you've done something wrong, you're banned from the internet.
[01:13:25.516 --> 01:13:28.158]  Well, that's banned from living.
[01:13:28.158 --> 01:13:36.543]  That's like people in Nazi ghettos who weren't allowed to have their businesses first and then were told you have to go to this camp for your safety.
[01:13:37.486 --> 01:13:39.067]  You won't be able to buy, sell, or trade.
[01:13:39.067 --> 01:13:41.488]  You won't be able to get on an airplane, leave the country.
[01:13:41.488 --> 01:13:47.512]  They're already announcing all the old authoritarian controls that come out of a Judge Dredd comic book.
[01:13:47.512 --> 01:13:52.955]  I was at Half Price Books yesterday, and my son said, can I have these 1970s Judge Dredd comic books?
[01:13:52.955 --> 01:13:55.377]  It was like 30 of them for $10.
[01:13:55.377 --> 01:13:57.158]  I said, yeah, yeah, you can have those.
[01:13:57.998 --> 01:14:09.888]  And he's reading them to me today, driving to work, and it was like, this is what Agenda 21 is, Dad, where they wall everyone off, they have a tax on breathing, and they break up the families, and they surveil everyone.
[01:14:09.888 --> 01:14:11.369]  Daddy, this is what's happening.
[01:14:11.369 --> 01:14:18.495]  Well, yeah, because all that dystopic stuff from the 70s was based on what the UN and the globalists actually wanted.
[01:14:18.495 --> 01:14:21.698]  The Philip K. Dick novels are all coming true.
[01:14:21.698 --> 01:14:22.118]  It's not
[01:14:23.149 --> 01:14:25.490]  Life imitating art.
[01:14:25.490 --> 01:14:37.717]  It's that this stuff was already being developed at the major colleges and at the major intelligentsia levels, and so most of these famous science fiction writers were either professors or doctors or were living in and around this.
[01:14:37.717 --> 01:14:40.718]  Have you read Isaac Asimov's Foundation series?
[01:14:40.718 --> 01:14:42.539]  Written 60-something years ago?
[01:14:42.539 --> 01:14:47.462]  And the whole thing is about computers that predict the future off of tracking your every movement?
[01:14:47.462 --> 01:14:50.704]  That is what the NSA Google hubs are.
[01:14:52.648 --> 01:14:54.669]  Now we're going to go to break and come back in the next segment.
[01:14:54.669 --> 01:15:01.611]  I'm going to get into all this, but for people watching on PrisonPlanet.TV, Weekly Standard, U.N.
[01:15:01.611 --> 01:15:07.392]  to seek control of the Internet, CNET News at CBS, Russia demands broad U.N.
[01:15:07.392 --> 01:15:09.253]  role in net governance leak reveals.
[01:15:10.896 --> 01:15:14.239]  And our cyber security act is to comply with the UN.
[01:15:14.239 --> 01:15:18.142]  Russians back down from leaked UN internet proposal, for now.
[01:15:18.142 --> 01:15:22.706]  UN calls for anti-terror internet surveillance and they want to restrict free speech on the web.
[01:15:22.706 --> 01:15:30.512]  You've heard of Google and Yahoo getting sued because World War II aficionados are selling British, French, German, Russian, Japanese medals.
[01:15:30.512 --> 01:15:33.875]  You get arrested in Europe selling a fascist medal.
[01:15:33.875 --> 01:15:36.878]  Well, they're in the stinking... They're in the stinking, um...
[01:15:38.891 --> 01:15:58.432]  You museums my dad has a dental office that has some old museum pieces and it shows a woman in a cartoon smoking a cigarette one little cartoon piece and a woman came in and said I'm gonna call the police on you it's illegal to show cigarettes of course it's not but these liberals aren't liberals they're authoritarians
[01:16:00.580 --> 01:16:02.601]  This man wants your guns.
[01:16:02.601 --> 01:16:08.004]  That is the cover of the 60-page glossy magazine, jam-packed with information.
[01:16:08.004 --> 01:16:11.106]  The December issue of InfoWars Magazine.
[01:16:11.106 --> 01:16:18.290]  InfoWars Magazine gives you a powerful tool to reach out to friends and family and neighbors and people in your community with the message of liberty.
[01:16:18.390 --> 01:16:21.655]  Give a gift subscription to your local police department.
[01:16:21.655 --> 01:16:25.120]  Give a gift subscription to your local state house, to your pastor.
[01:16:25.120 --> 01:16:26.683]  This is the perfect tool.
[01:16:26.683 --> 01:16:33.353]  Twelve of these delivered to the door of the institutions, groups, and individuals that you want to influence and wake up.
[01:16:33.593 --> 01:16:40.539]  Sign up for the free digital e-version at InfoWars.com forward slash newsletter and we send it out the week after the physical magazine goes out.
[01:16:40.539 --> 01:16:43.882]  Or go to InfoWarsStore.com today and sign up for a subscription.
[01:16:43.882 --> 01:16:50.908]  Give it as a gift subscription or buy them in bulk with Ron Paul, The Attack on the Second Amendment, The Police State, The GMO Takeover.
[01:16:50.908 --> 01:16:57.193]  It's all there and all available at InfoWarsStore.com or by calling 888-253-3139.
