[00:00:00.049 --> 00:00:01.309]  That's the law required.
[01:40:42.859 --> 01:40:43.799]  It's like the Red Cross.
[01:40:43.879 --> 01:40:45.740]  I'm not against the Red Cross itself.
[01:40:46.220 --> 01:40:47.240]  There are good people in it.
[01:40:47.340 --> 01:40:57.283]  The leadership is corrupt, and knowingly collected blood with AIDS and hepatitis in it, and knowingly sold it for blood products, you know, and knowingly steals a lot of the money for themselves.
[01:40:59.023 --> 01:41:01.485]  Noam Chomsky puts out a lot of good info.
[01:41:01.845 --> 01:41:04.307]  It's just that when it comes to 9-11, I've got a clip of it.
[01:41:04.347 --> 01:41:05.368]  He said, so what?
[01:41:05.428 --> 01:41:06.629]  Even if it's true, so what?
[01:41:07.276 --> 01:41:08.697]  Well, what is he talking about?
[01:41:08.877 --> 01:41:09.337]  I saw that.
[01:41:09.357 --> 01:41:10.478]  That was a jaw-dropper.
[01:41:10.498 --> 01:41:12.139]  I couldn't believe he said that.
[01:41:12.199 --> 01:41:15.501]  Because, I mean, I had read a number of his books.
[01:41:15.581 --> 01:41:20.184]  I had seen his most famous documentary, Manufacturing Consent, and some others.
[01:41:20.725 --> 01:41:25.928]  And once I started doing my own 9-11 research, immediately I was like, oh, I wonder what Noam Chomsky has to say about this.
[01:41:25.948 --> 01:41:29.490]  He's probably going to have something circulating, something penetrating to say about it.
[01:41:29.870 --> 01:41:31.992]  And to hear him say that it doesn't matter.
[01:41:32.412 --> 01:41:33.373]  I mean, I was like, what?
[01:41:33.673 --> 01:41:35.094]  Does he really mean that?
[01:41:35.874 --> 01:41:37.015]  Who does this guy work for?
[01:41:37.075 --> 01:41:39.578]  Whose book am I reading?
[01:41:39.918 --> 01:41:43.642]  He knows 9-11 truth threatens the entire structure.
[01:41:44.102 --> 01:41:50.829]  And you see the left, a lot of these guys that are elitist but they delude themselves so they can sleep with themselves at night so they can get rest.
[01:41:51.210 --> 01:41:52.291]  So they don't feel guilty.
[01:41:52.791 --> 01:42:05.801]  Well, yeah, there is always an elite, but we need a loving, guided, you know, kind of Plato elite that understands, and then they just argue over who's going to run the power levers, you see.
[01:42:08.181 --> 01:42:23.378]  Well, you know, I think that's one of the reasons why it's really important that we have people like you doing the work you're doing, other people that you often mention on your show, Gary Franchi of Lone Lantern, Mark Dice with his Resistance Radio, Aaron Russo coming out and making these very important films.
[01:42:23.778 --> 01:42:33.402]  I mean, it really is important that people, as you've said a number of times, stop waiting for orders from headquarters and just join this leaderless resistance of spreading the truth.
[01:42:34.102 --> 01:42:41.345]  I mean, 9-11 is a watershed issue for so many reasons, not the least of which is the larger issues towards which it points.
[01:42:42.105 --> 01:42:45.907]  And it's a perfect, you know, they really left themselves overexposed here.
[01:42:46.187 --> 01:42:48.389]  They really, really did with this particular thing.
[01:42:48.409 --> 01:42:54.473]  I think their hubris got the best of them and we now, you know, it's that proverbial soft spot on the belly of the dragon.
[01:42:54.733 --> 01:43:04.780]  We have to take this opportunity to reveal this horrific truth so that we can then go forward and dismantle all these other horrific truths of which this is but the most obvious precursor.
[01:43:05.160 --> 01:43:10.123]  I totally agree, but there's also a converse, or the reverse of that, or I guess the mirror image of that.
[01:43:10.483 --> 01:43:29.454]  Not only use 9-11 to break up on all the other truths, but if you go, okay, did the government let black men die of, and the evidence shows gave them syphilis when they didn't have enough test subjects, and then allowed them to spread it to literally hundreds of thousands with the Tuskegee experiment over 45 years in Tuskegee, Alabama, and surrounding states.
[01:43:29.954 --> 01:43:33.696]  Did the government radiate tens of thousands of American children in nuclear testing?
[01:43:34.498 --> 01:43:37.427]  Did they know Agent Orange would do this and they still used it?
[01:43:38.170 --> 01:43:39.895]  Did they in operation...
[01:43:40.846 --> 01:43:46.872]  Gladio, and Gulf of Tonkin, and with the USS Liberty, and Ajax, and Iran.
[01:43:47.152 --> 01:43:50.275]  Did our government stage attacks or claim attacks that didn't happen?
[01:43:50.535 --> 01:43:55.280]  You see, there's so many admissions in history where this has already gone on.
[01:43:55.300 --> 01:43:56.781]  That's what I do with my film Terror Storm.
[01:43:57.241 --> 01:44:05.329]  I don't know if you've seen that film, but we start out, Daniel, showing, for those that haven't seen it, showing the admitted examples.
[01:44:05.509 --> 01:44:06.450]  What did you think of Terror Storm?
[01:44:06.630 --> 01:44:07.930]  I thought it was fantastic.
[01:44:08.090 --> 01:44:20.914]  I mean, you know, one of the reasons why it's so important is that it gives you, it shows the precedent setting either events or plans that have been made but were not actually carried out, as in the case of Operation Northwood.
[01:44:21.274 --> 01:44:30.416]  It just speaks to, you know, the types of minds that we are dealing with, the kind of things that they will either do or that they will entertain doing in order to advance an agenda.
[01:44:30.637 --> 01:44:33.117]  And it does not stop short of murdering civilians.
[01:44:33.397 --> 01:44:35.878]  It does not stop short of attacking soft targets.
[01:44:36.318 --> 01:44:49.194]  You know, as you say, firefighters carrying dead children in their arms, as in the case with the Oklahoma City bombing, is something that does get the public really, really upset and willing to do almost anything to protect what they perceive to be security.
[01:44:50.676 --> 01:44:52.037]  So you've looked at Oklahoma.
[01:44:52.077 --> 01:44:53.099]  What's your view on that?
[01:44:53.809 --> 01:45:06.976]  Um, you know, I don't want to... I actually have not done even a tenth of the research on the Oklahoma City bombing as I have done on 9-11, so I'm afraid I can't really speak with any real, you know, with a very informed opinion on that.
[01:45:06.996 --> 01:45:08.017]  But you've got questions.
[01:45:08.597 --> 01:45:09.938]  Oh, serious questions.
[01:45:10.198 --> 01:45:11.018]  Serious questions.
[01:45:11.058 --> 01:45:12.099]  I mean, starting with the...
[01:45:12.859 --> 01:45:24.864]  Following the pattern that I, uh, the path that I took with 9-11, I started in the Oklahoma City bombing, uh, my research regarding that with, um, just the physical inconsistencies, the physical evidence.
[01:45:25.164 --> 01:45:33.228]  You know, how does a truck filled with fertilizer, uh, you know, create the kind of damage that you saw there in the wreckage of the Oklahoma City bombing?
[01:45:33.788 --> 01:45:40.351]  Uh, what about, uh, I don't remember the woman, her name, but you've mentioned that there's a woman who worked in the building who saw these guys dressed up in, you know, uh,
[01:45:41.110 --> 01:45:43.833]  I don't know, hazmat suits or something with sticks of grape butter.
[01:45:44.014 --> 01:45:45.635]  Yeah, Jane Graham.
[01:45:45.856 --> 01:45:52.383]  I mean, you know, again, I haven't done a lot of research into that, but it sounds just as suspicious in many of the very same ways.
[01:45:52.423 --> 01:45:57.249]  You can see the same fingerprints all over that job as we find all over the final evidence.
[01:45:57.469 --> 01:46:00.693]  Well, I mean, the point I made yesterday is really elementary, but it needs to be made again.
[01:46:01.855 --> 01:46:10.605]  I mean, a lot of us don't consciously think about the different mindset of the military leadership, and that's definitely the type of MO, the type of individuals we're talking about.
[01:46:11.006 --> 01:46:20.898]  I mean, they'll send 10-20,000 troops into a battle, into a position that's untenable or undefended, just to suck in the enemy to attack them.
[01:46:21.534 --> 01:46:23.657]  I mean, that's just a 101.
[01:46:24.038 --> 01:46:25.420]  No guilt goes into it.
[01:46:25.480 --> 01:46:26.862]  No thought goes into it.
[01:46:27.543 --> 01:46:28.844]  No remorse goes into it.
[01:46:28.884 --> 01:46:29.766]  It's a no-brainer.
[01:46:30.086 --> 01:46:31.208]  It's military tactics.
[01:46:31.288 --> 01:46:33.611]  It's what you do in big battle settings.
[01:46:34.152 --> 01:46:36.936]  And so, for that same mindset, those same individuals,
[01:46:37.476 --> 01:46:54.848]  Is it any stretch to think that they would kill 3,000 Americans and others who were there, but the majority were Americans, on 9-11 at the Pentagon and in New York City at the Towers to get their whole New World Order agenda basically cemented and get that foundation in place?
[01:46:55.128 --> 01:46:56.529]  And then you've got the answer right there.
[01:46:57.770 --> 01:46:58.050]  Yeah.
[01:46:58.511 --> 01:46:58.691]  Yeah.
[01:47:00.282 --> 01:47:04.263]  Wow, it's just such a, you know, it really is, even at this point for me, such a hard pill to swallow.
[01:47:04.543 --> 01:47:11.644]  But, you know, no matter how much my, uh, there's a certain part of me that reacts against this dawning knowledge.
[01:47:12.064 --> 01:47:13.784]  I cannot ignore.
[01:47:13.904 --> 01:47:21.046]  Well, that's number one, because your subconscious, and the same with me, I'm not saying you're afraid, but your subconscious senses the danger, and you, like, pull back from the flame.
[01:47:21.746 --> 01:47:28.287]  The only way to defeat this flame is to grab it and smother it, and it's going to hurt at first, but we're going to be consumed by it if we don't, so we've got to just grapple with it.
[01:47:28.707 --> 01:47:30.989]  And then secondarily, you wouldn't behave like that.
[01:47:31.029 --> 01:47:32.550]  That isn't in your code.
[01:47:32.591 --> 01:47:34.072]  That isn't in your heart and soul.
[01:47:34.392 --> 01:47:35.673]  And so it's just so alien.
[01:47:35.933 --> 01:47:44.581]  But I mean, it's alien to think that Ted Bundy would convince young women to get in the car with him so he could go tie them down and bite chunks out of them for five hours before he raped them and killed them.
[01:47:45.126 --> 01:47:46.247]  Exactly, exactly.
[01:47:46.327 --> 01:47:53.193]  You know, it's really hard to believe that there are people out there in the world like that, and you don't want to believe that they have their hands on the reins of power of your country.
[01:47:53.773 --> 01:47:56.736]  But that is the horrible reality to which we are waking up.
[01:47:57.056 --> 01:48:00.418]  But for them it isn't, you know, the enjoyment, I guess, biting the chunks out.
[01:48:00.439 --> 01:48:02.580]  I mean, certainly some of them have that same mindset.
[01:48:02.620 --> 01:48:04.041]  It's just cold-blooded.
[01:48:04.101 --> 01:48:05.503]  You know, we always sacrifice people.
[01:48:05.763 --> 01:48:07.104]  There's too many of them anyways, you know.
[01:48:07.722 --> 01:48:10.844]  Yeah, exactly, according to some people.
[01:48:11.004 --> 01:48:12.064]  Well, that's their whole religion.
[01:48:12.084 --> 01:48:15.386]  I mean, when you study Prince Bernhard and Philip and all this scum.
[01:48:15.566 --> 01:48:16.627]  Let's take a quick call here.
[01:48:16.667 --> 01:48:17.688]  Let's talk to George.
[01:48:18.148 --> 01:48:19.629]  George, where are you calling us from today?
[01:48:20.729 --> 01:48:21.590]  I'm from Indiana.
[01:48:21.970 --> 01:48:22.250]  Welcome.
[01:48:22.270 --> 01:48:23.871]  You're on the air with our guest.
[01:48:24.171 --> 01:48:24.551]  Go ahead.
[01:48:25.132 --> 01:48:25.772]  Thank you, Alex.
[01:48:26.752 --> 01:48:30.655]  Three things on 9-11 I was wondering, or two things on 9-11 and then a comment.
[01:48:31.695 --> 01:48:34.337]  Did they ever have any more information on the stolen 9-11 steal?
[01:48:37.721 --> 01:48:48.364]  Well, I mean, they cut it all up, put GPS trackers on it, wouldn't let the people stop to even have lunch when they took it to the ships, and most of it was taken to China, some to South Korea.
[01:48:49.304 --> 01:48:58.986]  But now they found some in warehouses the government kept for some reason, and we've been able to get samples from those, and that shows that there are the explosive compounds in there, thermate.
[01:48:59.287 --> 01:49:00.627]  Do you want to comment on that, Daniel?
[01:49:01.427 --> 01:49:02.528]  I don't know much about it.
[01:49:03.769 --> 01:49:05.251]  Actually, it's new information to me.
[01:49:05.311 --> 01:49:09.594]  The fact that they've actually found samples that were kept certainly fits the MO of criminals.
[01:49:09.774 --> 01:49:10.995]  You know, they just can't help themselves.
[01:49:11.015 --> 01:49:13.938]  They have to keep some trinket of their, you know... Trophy.
[01:49:13.978 --> 01:49:16.580]  Yeah, some kind of trophy from the murder.
[01:49:17.375 --> 01:49:26.418]  But, um, yeah, you know, Alex, have those samples that have been found actually, have we been, for example, has Professor Stephen Jones been given access to those samples?
[01:49:26.918 --> 01:49:27.818]  Well, let me be clear.
[01:49:28.498 --> 01:49:29.779]  Yeah, there were several sites.
[01:49:29.819 --> 01:49:31.339]  There's over 20 of them in the country.
[01:49:31.619 --> 01:49:33.300]  One, I'll just tell you, is in Michigan.
[01:49:33.600 --> 01:49:34.680]  Another's in New Jersey.
[01:49:35.080 --> 01:49:35.420]  Sure, sure, sure.
[01:49:58.923 --> 01:50:15.771]  I know doing an autopsy now might be difficult to see if there was thermite or thermate left in a body, but they could resume a dog and do an autopsy on that dog and see if there's thermite in the lung of that dog that had to breathe it.
[01:50:17.972 --> 01:50:22.694]  There were femur bones blown 100, 200 yards plus.
[01:50:23.135 --> 01:50:24.495]  They found thousands of body parts.
[01:50:24.515 --> 01:50:26.236]  They just found more last week, the week before that.
[01:50:26.576 --> 01:50:29.178]  I mean, bones were being blasted out of bodies.
[01:50:29.198 --> 01:50:30.498]  These explosions were so big.
[01:50:30.978 --> 01:50:34.280]  Again, if a building collapses, number one, it wouldn't fly out hundreds of yards.
[01:50:34.640 --> 01:50:37.602]  Number two, it wouldn't all be burned to a crisp.
[01:50:38.502 --> 01:50:42.124]  And so all there was was little bitty body parts, a few pieces that got
[01:50:42.805 --> 01:50:46.327]  Excuse me, even talking about this for family members that listen, you know, blown across the street.
[01:50:46.867 --> 01:50:48.028]  I mean, it's just like Oklahoma City.
[01:50:48.048 --> 01:50:57.132]  You've got a truck bomb that supposedly blows into the building, but the building blows out and blows chunks of it the opposite direction of the truck bomb's main blast on top of buildings across the street.
[01:50:58.053 --> 01:51:02.715]  I mean, it's just, it's just, it's so sloppy how they do this, but again, they count on us
[01:51:03.684 --> 01:51:04.905]  Just buying into all of it.
[01:51:04.925 --> 01:51:05.625]  Thanks for the call.
[01:51:05.705 --> 01:51:07.086]  Rory, you're up next.
[01:51:07.106 --> 01:51:09.547]  We can keep our guests another five minutes into the next segment.
[01:51:09.887 --> 01:51:11.408]  Take a few more calls, then let him go.
[01:51:11.448 --> 01:51:13.629]  I've got to get him up again in the near future.
[01:51:13.689 --> 01:51:15.990]  I know he is a very busy individual.
[01:51:16.410 --> 01:51:18.551]  And Daniel Sanjata is his name.
[01:51:18.571 --> 01:51:24.134]  You can check out his TV program right there on the FX Channel on cable.
[01:51:24.194 --> 01:51:25.254]  It's called Rescue Me.
[01:51:25.614 --> 01:51:26.555]  We'll be right back.
[01:51:33.673 --> 01:51:39.117]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[01:51:39.497 --> 01:51:47.142]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:51:47.836 --> 01:51:54.897]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:51:55.277 --> 01:52:06.679]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[01:52:07.019 --> 01:52:10.500]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:52:10.980 --> 01:52:12.860]  It's an anthology of government crimes.
[01:52:13.240 --> 01:52:17.081]  Terror Storm is a film that everyone who wants to be truly informed must see.
[01:52:17.685 --> 01:52:25.139]  Get your copy today at InfoWars.com or PrisonPlanet.com or by calling toll free 1-888-253-3139 or watch it right now online at PrisonPlanet.tv
[01:52:30.592 --> 01:52:33.774]  Introducing the most efficient gravity filter available.
[01:52:33.814 --> 01:52:37.857]  You know, if you were to throw 100 ball bearings at a magnet, most would bounce off.
[01:52:37.977 --> 01:52:40.539]  But, if you placed them on the magnet, all would stick.
[01:52:40.599 --> 01:52:42.940]  The same principle applies in water filtration.
[01:52:43.121 --> 01:52:51.566]  Most filtration systems force water through the filter at 60 to 90 psi, causing water molecules to race through the filter in less than a second.
[01:52:51.646 --> 01:52:52.947]  The brookie light is different.
[01:52:53.087 --> 01:52:57.090]  Water molecules take 5 to 10 minutes to pass through the torturous path
[01:52:57.090 --> 01:52:57.590]  We're good to go!
[01:53:17.617 --> 01:53:22.204]  Get the Advanced Berkey Light Purifier for only $279 by calling New Millennium at 888-803-4438 or order on the web at berkeywater.com.
[01:53:22.224 --> 01:53:23.166]  Not yet available in Iowa.
[01:53:30.313 --> 01:53:32.014]  Hello friends, Alex Jones here.
[01:53:32.254 --> 01:53:35.956]  I want you to imagine waking up one morning to find out you've been burglarized.
[01:53:36.276 --> 01:53:38.497]  An intruder has taken your personal possessions.
[01:53:38.997 --> 01:53:45.220]  Credit card numbers, social security cards, banking information, and more, all in the hands of a total stranger.
[01:53:45.360 --> 01:53:50.263]  What's worse is, you realize he got it through your front door because you left it unlocked.
[01:53:50.483 --> 01:53:59.427]  Every time you walk away from your computer, leaving your internet connection on, you are virtually inviting hackers, criminals, and Big Brother to access your personal information.
[01:53:59.807 --> 01:54:05.831]  Put a stop to this right now with the Net7 Network Security Switch from Net7 Technologies.
[01:54:06.072 --> 01:54:09.154]  Turn your internet on and off with one simple switch.
[01:54:09.254 --> 01:54:12.336]  There's no software to load, and it's so easy to install.
[01:54:12.696 --> 01:54:17.780]  Right now, you can order your Net7 Security Switch from Net7 Technologies for only $39.95.
[01:54:18.600 --> 01:54:21.702]  For a limited time, receive free shipping with your order.
[01:54:22.123 --> 01:54:24.084]  Visit Net7Tech.com.
[01:54:24.244 --> 01:54:29.308]  That's Net, the number 7, Tech.com, and start protecting yourself today.
[01:54:31.357 --> 01:54:33.539]  He's the T-Rex of political talk.
[01:54:34.119 --> 01:54:36.921]  Alex Jones on the GCN Radio Network.
[01:54:53.007 --> 01:54:58.188]  Well, hopefully, next time I'm up in New York, I'll get a chance to meet Daniel Sanjata in person.
[01:54:58.268 --> 01:55:01.889]  Just, you can tell what a personable and intelligent fella he is.
[01:55:01.909 --> 01:55:04.629]  And why he's got all the girls swooning over him.
[01:55:05.290 --> 01:55:07.830]  One of the People Magazine, one of the best-looking people in America.
[01:55:08.210 --> 01:55:09.530]  I just thought I'd throw that out there.
[01:55:09.550 --> 01:55:11.471]  Talk about total pop, ladies and gentlemen.
[01:55:12.331 --> 01:55:17.172]  But you can... Daniel, before we take a few final calls, how do folks tune into your television show?
[01:55:17.888 --> 01:55:23.489]  Our show, again, I just want to say, and I know you know this, Alex, I didn't really come on the show to necessarily plug Rescue Me.
[01:55:23.689 --> 01:55:24.310]  Well, why not?
[01:55:24.910 --> 01:55:37.433]  Well, I mean, it's... The show, when we come back on the air, I believe it's Tuesday nights at 9 or 10, and sometimes, you know, listings change, so I would, I guess, tell your viewers to, I guess, check their local listings or what have you.
[01:55:38.013 --> 01:55:54.946]  But, you know, I think that it has, in terms of most of what's on television, I think that there's an inherent social relevance to Rescue Me's premise, and I would love to see them address this directly, although, you know, as FX is a subsidiary of Fox, I don't know if that will happen, necessarily.
[01:55:55.447 --> 01:55:58.169]  And you're Rocco on the show, for those who don't know.
[01:55:58.589 --> 01:55:59.530]  Yeah, Franco, Franco.
[01:55:59.570 --> 01:56:01.131]  Franco, I was going from memory.
[01:56:02.752 --> 01:56:04.473]  Yeah, I don't watch a lot of TV myself.
[01:56:05.013 --> 01:56:07.014]  But, yeah, that's when our show comes on.
[01:56:07.335 --> 01:56:14.778]  And, you know, I just hope that the fact that we're representing these guys on television will lend some, maybe draw somebody's attention.
[01:56:15.139 --> 01:56:29.106]  And if they hear me say something about 9-11 being an inside job, I really hope they'll do their own research, that they'll go to InfoWars.com, that they'll pick up a copy of Terror Storm, or 9-11 Mysteries, or any of the great documentaries that have been made exposing the inside job that 9-11 obviously was.
[01:56:30.607 --> 01:56:32.188]  Well, fantastic, and I totally agree with you.
[01:56:32.949 --> 01:56:33.850]  One last question.
[01:56:33.870 --> 01:56:35.071]  I should ask this before.
[01:56:35.331 --> 01:56:36.892]  When did you wake up to 9-11?
[01:56:37.593 --> 01:56:39.354]  You know, it didn't happen immediately.
[01:56:39.394 --> 01:56:45.820]  My best friend, Joey, he actually, on the day, was like, that looked like an inside job.
[01:56:45.840 --> 01:56:49.183]  He said, these buildings look like those things were brought down by controlled demolition.
[01:56:49.463 --> 01:56:51.324]  He said it from the very beginning, and I was like, no.
[01:56:51.625 --> 01:56:52.966]  I mean, I kind of thought that it was just
[01:56:54.227 --> 01:57:03.311]  I knew at that point about America's horrific history in terms of our foreign military and economic policy, and I kind of looked at it as chickens coming home to roost in a certain sense.
[01:57:04.032 --> 01:57:06.533]  Even the targets made sense from that perspective.
[01:57:06.933 --> 01:57:14.618]  But over time, I would hear a little bit of this, I'd hear a little bit of that, and the concerns started welling up within me.
[01:57:14.978 --> 01:57:19.440]  And I don't remember the exact moment, but it was something about Charlie Sheen having come out publicly.
[01:57:21.361 --> 01:57:25.902]  And then, you know, it's kind of a confluence of circumstances and coincidences.
[01:57:25.942 --> 01:57:30.923]  I also remember you appearing in one of my favorite films by Richard Linklater, Waking Life.
[01:57:31.203 --> 01:57:39.285]  Didn't even know who you were when I saw the film, but in hindsight, when I was putting all these pieces together, I was like, oh, that was Alex Jones.
[01:57:39.345 --> 01:57:43.766]  And then I, you know, listened to the radio that you conducted with Charlie, and it kind of took off from there for me.
[01:57:43.826 --> 01:57:45.266]  I started then doing my own research.
[01:57:46.927 --> 01:58:08.420]  Well, what you're telling us dovetails with a paradigm I've seen, and it was the time Charlie came along, it was what 9-11 had already grown to, and people really resonated with his courage because of his baggage and other things, knowing that he had a lot to lose doing this, and it really did trigger a chain reaction
[01:58:09.080 --> 01:58:10.561]  And then it was his idea to have the conference.
[01:58:10.581 --> 01:58:12.083]  That got put on C-SPAN four times.
[01:58:12.143 --> 01:58:13.844]  Built up a big audience by the fourth showing.
[01:58:14.444 --> 01:58:15.705]  All the other things that happened.
[01:58:16.386 --> 01:58:21.470]  And that's now caused Rosie and Ebersole and so many others to go public.
[01:58:21.650 --> 01:58:22.391]  And me.
[01:58:22.771 --> 01:58:24.252]  And Roland and yourself.
[01:58:25.113 --> 01:58:28.796]  And then now all these pilots and all these CIA people and all these other folks.
[01:58:29.697 --> 01:58:32.539]  There is a mass exodus out of the lie into the truth.
[01:58:32.999 --> 01:58:38.704]  And again, sir, I think you're actually early on in the avalanche that we're going to be seeing.
[01:58:38.724 --> 01:58:43.367]  It looks like an avalanche now, but I assure you, if things continue, it's going to be even bigger.
[01:58:43.708 --> 01:58:48.491]  So, Daniel, I really want to thank you for coming on with us, and I look forward to talking to you again in the near future.
[01:58:48.932 --> 01:58:49.372]  Absolutely.
[01:58:49.412 --> 01:58:51.934]  Thank you for having me, Alex, and God bless you for all the work you're doing.
[01:58:51.974 --> 01:58:52.314]  Be well.
[01:58:52.595 --> 01:58:53.175]  God bless you.
[01:58:53.195 --> 01:58:58.299]  Now, I'm going to put you on hold here and give you a phone number here in a second from William Rodriguez, because he would like to talk to you.
[01:58:58.579 --> 01:58:59.340]  Again, thank you, Daniel.
[01:59:00.351 --> 01:59:02.574]  Daniel Sanjato spent an hour with us.
[01:59:02.614 --> 01:59:03.255]  We appreciate it.
[01:59:03.275 --> 01:59:05.198]  Alright, I promise I'll get your calls out of the way.
[01:59:05.218 --> 01:59:06.059]  You've been holding a while.
[01:59:06.319 --> 01:59:08.202]  We start the next hour, then I'll cover tons of news.
[01:59:08.482 --> 01:59:08.943]  Stay with me.
[01:59:11.166 --> 01:59:15.412]  Order a copy of this show for your friends and family at GCNlive.com or call 877-300-7645.
[01:59:21.420 --> 01:59:25.004]  Do you know where the 78 potentially active volcanoes in the U.S.
[01:59:25.044 --> 01:59:25.525]  are located?
[01:59:25.745 --> 01:59:29.129]  And do you know the locations of the top 300 prime terrorist targets?
[01:59:29.349 --> 01:59:34.074]  You can find these answers and more in the new interactive CD book, Prudent Places USA.
[01:59:34.354 --> 01:59:39.360]  With the more than 50 interactive parameters, you can pinpoint natural and man-made disaster areas.
[01:59:39.600 --> 01:59:45.644]  Brewing environmental catastrophes, the safest cities, the best places for solar and wind energy, and much, much more.
[01:59:45.904 --> 01:59:53.148]  Complete with three gigabytes of detailed information on each of 3,000 plus counties in the U.S., including five, as well as detailed...
[01:59:54.601 --> 01:59:56.802]  ...to help you zero in on the best places to live.
[01:59:57.042 --> 02:00:01.684]  The ideal location for cabins and vacation homes, as well as safe and unsafe areas.
[02:00:01.984 --> 02:00:07.386]  Get Prudent Places USA for only $29 plus shipping by calling New Millennium at 888-803-4438.
[02:00:07.486 --> 02:00:09.447]  That's 888-803-4438 to order on the web or at berkeywater.com.
[02:00:19.995 --> 02:00:21.896]  Waging war on corruption.
[02:00:22.396 --> 02:00:25.298]  Alex Jones on the GCN Radio Network.
[02:00:31.761 --> 02:00:32.422]  Big Brother.
[02:00:33.062 --> 02:00:34.122]  Mainstream media.
[02:00:34.843 --> 02:00:36.023]  Government cover-ups.
[02:00:36.604 --> 02:00:37.424]  You want answers?
[02:00:38.185 --> 02:00:39.125]  Well, so does he.
[02:00:39.725 --> 02:00:43.607]  He's Alex Jones on the GCN Radio Network.
[02:00:43.928 --> 02:00:48.030]  And now, live from Austin, Texas, Alex Jones.
[02:00:53.421 --> 02:00:55.522]  We were just talking to Daniel Sanjato.
[02:00:55.562 --> 02:00:56.783]  What a first-rate guy.
[02:00:56.803 --> 02:00:58.325]  Really intelligent.
[02:00:58.345 --> 02:00:59.125]  A lot of courage.
[02:00:59.566 --> 02:01:00.787]  That is the operative word.
[02:01:01.847 --> 02:01:03.369]  Let's go right to your phone calls.
[02:01:03.689 --> 02:01:10.394]  Look, I know we've got a lot of you holding for a while, but we're going to go to all of you right now.
[02:01:10.714 --> 02:01:13.937]  Chris and Richard and Ken and Rory and everybody else.
[02:01:14.577 --> 02:01:17.740]  Chris in Canada, if you're still there, welcome to the Airwaves.
[02:01:18.414 --> 02:01:21.196]  Hey, it's incredible when somebody comes forward with the truth.
[02:01:21.256 --> 02:01:25.500]  It's like you've been given a sack of gold or something, you know?
[02:01:25.860 --> 02:01:26.441]  It's wonderful.
[02:01:26.921 --> 02:01:27.121]  It is.
[02:01:27.501 --> 02:01:35.488]  Hey, I just wanted to relate something to you about the depths of government involvement in our personal lives here in Canada, and actually this is happening all over the world.
[02:01:35.668 --> 02:01:36.449]  Sure, tell us about it.
[02:01:37.890 --> 02:01:45.916]  I just had a baby girl two weeks ago, beautiful baby girl, and we had to go to great lengths just to have a natural birth.
[02:01:45.936 --> 02:01:46.637]  The hospital here,
[02:01:47.563 --> 02:01:53.164]  The cesarean section rate is 49% and a lot of people think that's just normal, you know.
[02:01:53.744 --> 02:02:02.326]  No, that's because they make about five times more money off of it and it's not needed and it's actually caused higher infant mortality and more women to die.
[02:02:02.666 --> 02:02:07.007]  I have the numbers but they're not going to stop and one day it'll be the law that you've got to have your babies cut out.
[02:02:07.607 --> 02:02:10.808]  Well, I'm glad you're always included aren't you?
[02:02:11.328 --> 02:02:15.369]  Alex, so we thought we would have a midwife?
[02:02:16.269 --> 02:02:20.331]  And here, the midwives are part of the government program.
[02:02:21.352 --> 02:02:22.392]  My wife would have been transferred.
[02:02:22.412 --> 02:02:25.774]  They have about a 30% cesarean section rate, where they get shipped off to the hospital.
[02:02:25.794 --> 02:02:29.176]  She had a two-day labor, which is actually normal.
[02:02:29.216 --> 02:02:30.616]  You know, that's fine.
[02:02:30.636 --> 02:02:31.397]  It was a healthy birth.
[02:02:31.777 --> 02:02:37.840]  We had to get a midwife who was unregistered, who can't call herself a midwife, because it's illegal, because that name is now owned by the government.
[02:02:38.380 --> 02:02:39.661]  She delivered a thousand babies.
[02:02:39.761 --> 02:02:43.163]  She was a midwife before that was controlled by the government.
[02:02:43.203 --> 02:02:44.203]  She refused to be regulated.
[02:02:44.223 --> 02:02:45.144]  She went to jail.
[02:02:45.819 --> 02:02:51.882]  Because she took the blood pressure of a mother and the heart rate of a baby.
[02:02:52.442 --> 02:02:54.043]  And so we had to pay her out of pocket.
[02:02:54.063 --> 02:02:55.904]  I mean, you know, here it's socialized medicine, right?
[02:02:56.684 --> 02:02:57.164]  So whatever.
[02:02:57.725 --> 02:03:01.967]  And we had to get somebody who went to jail just to have a natural birth.
[02:03:02.527 --> 02:03:06.849]  It's a 95% cesarean section rate in Brazil and in private hospitals.
[02:03:06.909 --> 02:03:07.409]  It's going to be that.
[02:03:07.849 --> 02:03:09.110]  It's going in that direction in Australia.
[02:03:09.550 --> 02:03:10.791]  It's just sick and wrong.
[02:03:11.731 --> 02:03:15.073]  And it really hurts your wife, and it also
[02:03:16.397 --> 02:03:19.380]  It brings down the number of children that your wife can have.
