[00:00:00.029 --> 00:00:01.021]  Bidding talk rates.
[01:24:46.613 --> 01:24:50.534]  All the UN environmental regulations and controls do nothing for the environment.
[01:24:52.335 --> 01:24:56.097]  All the gun control, and this will force, all guns are going to have this now.
[01:24:57.638 --> 01:25:01.819]  Or they will not sell in California, which is a huge part of the US market.
[01:25:02.740 --> 01:25:05.221]  They will adopt, and so now it will stamp
[01:25:06.699 --> 01:25:10.622]  Your guns, serial number, which they'll then go track back to the gun dealer.
[01:25:11.102 --> 01:25:15.465]  And, of course, criminals get them that are stolen from gun shops, stolen out of cars, stolen out of houses.
[01:25:16.146 --> 01:25:18.127]  Criminals never have the guns legally.
[01:25:18.187 --> 01:25:18.727]  Very rarely.
[01:25:19.308 --> 01:25:23.731]  But everyone knows this isn't... See how we have a debate with them on, well, this won't work.
[01:25:23.771 --> 01:25:25.332]  Well, this could be tampered with.
[01:25:25.792 --> 01:25:28.054]  That isn't the reason for it!
[01:25:28.434 --> 01:25:31.476]  It's to get more red tape, more control, more tracking!
[01:25:32.117 --> 01:25:33.838]  They've already banned guns in LA!
[01:25:36.295 --> 01:25:43.657]  It's always mob bosses like Schwarzenegger and Mayor Daley and just all this trash!
[01:25:43.677 --> 01:25:45.377]  There's 160 million gun owners!
[01:25:45.677 --> 01:25:47.338]  We don't have to put up with this!
[01:25:48.738 --> 01:25:54.079]  But you listen to Limbaugh, you listen to all these shows, they defend Schwarzenegger and Republicans love him.
[01:25:54.319 --> 01:25:55.600]  You people are trash.
[01:25:56.860 --> 01:26:01.521]  All of you good old boys with your NRA stickers, you don't even know they're the fathers of gun control.
[01:26:03.305 --> 01:26:05.806]  It's going to take you growing up to save this country.
[01:26:06.366 --> 01:26:09.107]  By the way, go to InfoWars.com, go to PrisonPlanet.com.
[01:26:09.127 --> 01:26:09.968]  We're doing what we can.
[01:26:09.988 --> 01:26:12.029]  We put banners and links up at Gun Owners of America.
[01:26:12.629 --> 01:26:13.389]  We put them up there.
[01:26:15.230 --> 01:26:19.812]  We're trying to get you to go join the only real national gun group.
[01:26:22.172 --> 01:26:22.633]  They're there!
[01:26:22.673 --> 01:26:28.515]  They're the only ones right now holding back the biggest gun control act ever that's already passed the House, federally.
[01:26:29.378 --> 01:26:31.179]  And I'm a little nobody.
[01:26:31.419 --> 01:26:32.960]  If you move, we could stop them.
[01:26:34.100 --> 01:26:35.181]  Go to Gun Owners of America.
[01:26:35.221 --> 01:26:37.442]  Read all the legislative alerts that are coming out every day now.
[01:26:38.403 --> 01:26:40.604]  The avalanche of the attack of the Second Amendment.
[01:26:41.024 --> 01:26:45.426]  And you can hear crickets singing in the background on conservative talk radio.
[01:26:45.566 --> 01:26:47.187]  Because they're not conservative!
[01:26:47.768 --> 01:26:49.789]  Neil Borch won't talk about the Federal Reserve.
[01:26:50.269 --> 01:26:51.630]  He calls it a conspiracy theory.
[01:26:52.250 --> 01:26:53.831]  He won't talk about the NAU.
[01:26:55.532 --> 01:26:58.233]  When Rice and Fox and all of them are on TV talking about it.
[01:26:59.033 --> 01:27:00.314]  I mean, it's just incredible.
[01:27:00.715 --> 01:27:04.839]  You understand, folks, we're losing the Second Amendment right now.
[01:27:04.959 --> 01:27:06.301]  Death by a thousand cuts.
[01:27:07.542 --> 01:27:16.572]  In Illinois, in Florida, in New York, Republican governors have gone after gun manufacturers.
[01:27:17.777 --> 01:27:19.799]  Democrat governors all over the place.
[01:27:19.839 --> 01:27:20.439]  So many states.
[01:27:20.499 --> 01:27:24.342]  It's the majority of the Democratic governors that filed suits.
[01:27:24.583 --> 01:27:26.044]  And they don't stop with your tax money.
[01:27:26.064 --> 01:27:28.105]  They just keep filing them and filing them and filing them.
[01:27:28.326 --> 01:27:31.648]  Year after year, they don't win them, but it's bankrupting them.
[01:27:32.209 --> 01:27:34.851]  There have been hundreds of gun manufacturers gone forever.
[01:27:35.872 --> 01:27:37.733]  We're down to a handful now.
[01:27:41.056 --> 01:27:43.398]  And I go in a gun shop here in Austin, Texas.
[01:27:44.639 --> 01:27:47.181]  And I get to have... When I'm buying a gun there,
[01:27:49.025 --> 01:27:56.411]  I get to have the slack-jawed person behind the counter come up and tell me I'm a liar about Bush supporting the assault weapons ban.
[01:27:57.132 --> 01:28:01.175]  And then one of his buddies came in and agreed, and then the manager came over and said, no, he's right.
[01:28:01.816 --> 01:28:03.938]  And they still looked at me like I was a traitor.
[01:28:04.714 --> 01:28:06.897]  All these fake conservatives across the nation.
[01:28:07.117 --> 01:28:08.959]  You tune into the show, you think I'm lying.
[01:28:09.199 --> 01:28:10.701]  I'm not the one that's lying!
[01:28:11.001 --> 01:28:15.386]  You're the one that could just break my teeth off in rage just grinding them right now!
[01:28:15.406 --> 01:28:18.209]  I just wanna... I'm so angry!
[01:28:18.490 --> 01:28:21.313]  Because you could save the country!
[01:28:22.734 --> 01:28:25.517]  You could say that if you just stop being idiots!
[01:28:26.257 --> 01:28:27.598]  Stop being conned!
[01:28:28.179 --> 01:28:29.940]  I want Schwarzenegger arrested!
[01:28:30.581 --> 01:28:32.162]  I want him charged with treason!
[01:28:32.683 --> 01:28:34.184]  I want him out of my country!
[01:28:34.324 --> 01:28:36.867]  Get out of here, you Nazi piece of trash!
[01:28:37.227 --> 01:28:41.290]  I know you want our guns, you can have your way with us, you control freak!
[01:28:41.591 --> 01:28:43.652]  You mentally ill piece of trash!
[01:28:43.973 --> 01:28:44.994]  You piece of filth!
[01:28:45.374 --> 01:28:46.755]  You piece of garbage!
[01:28:51.687 --> 01:28:52.908]  We're on the march.
[01:28:53.088 --> 01:28:54.729]  The Empire's on the run.
[01:28:55.610 --> 01:29:00.853]  Alex Jones and the GCN Radio Network.
[01:29:02.054 --> 01:29:03.995]  Oh, what a beautiful day for the beach.
[01:29:04.436 --> 01:29:06.157]  Look, up there in the sky.
[01:29:06.177 --> 01:29:07.918]  It's Nonnox Man.
[01:29:08.298 --> 01:29:09.459]  He's in a dive.
[01:29:09.759 --> 01:29:11.761]  He must have found some ugly toenails on the beach.
[01:29:12.061 --> 01:29:12.821]  Let's go look.
[01:29:15.043 --> 01:29:18.225]  I'm Nonnox Man and your toenails need Nonnox Nail Gel.
[01:29:18.645 --> 01:29:19.986]  Stop hiding them in the sand.
[01:29:20.206 --> 01:29:20.627]  Take them out.
[01:29:21.258 --> 01:29:21.919]  Let's see.
[01:29:21.939 --> 01:29:26.542]  Oh, I'm so embarrassed.
[01:29:27.022 --> 01:29:31.425]  Use it on your toenails regularly, and they'll look fantastic when you're barefoot.
[01:29:31.945 --> 01:29:34.027]  Oh, I will, non-X-Man.
[01:29:34.147 --> 01:29:36.849]  Well, I'm off to find more ugly toenails.
[01:29:38.982 --> 01:29:41.625]  Don't let Nonox Man find you with unsightly toenails.
[01:29:42.105 --> 01:29:45.609]  Buy diabetic-friendly, money-back-guaranteed Nonox Nail Gel.
[01:29:46.109 --> 01:29:57.240]  It's in the foot care aisle at Supercenters, Walgreens, CVS, Long's, Meijer, Giant Eagle, Car Drug, Snyder's, Duane Reade, Bilo, and Rite Aid.
[01:29:58.436 --> 01:30:01.357]  Have you ever thought about what's in your shampoo, soap, or detergent?
[01:30:01.537 --> 01:30:06.758]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[01:30:07.058 --> 01:30:12.339]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[01:30:12.739 --> 01:30:13.900]  Hi, this is Alex Jones.
[01:30:14.240 --> 01:30:23.162]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membranes.
[01:30:23.302 --> 01:30:23.542]  Yes!
[01:30:23.562 --> 01:30:25.162]  Now compare a Calvin Pure Soap.
[01:30:25.402 --> 01:30:29.583]  All natural, earth friendly, no harsh chemicals, no animal testing.
[01:30:29.623 --> 01:30:34.244]  They're safe and you save 85% of the money you're spending on cleaning products now.
[01:30:34.624 --> 01:30:38.125]  Start saving over $1,000 a year for your family of four.
[01:30:38.485 --> 01:30:39.245]  Keep it natural.
[01:30:39.545 --> 01:30:42.946]  Call Calvin Pure Soap for a free catalog at 1-800-340-7091 or log on to 5starsoap.com.
[01:30:47.947 --> 01:30:52.114]  Try Cal Bend Pure Soaps and I'll bet you'll never use any other cleaning products again.
[01:30:52.134 --> 01:30:53.436]  Call 1-800-340-7091 for all your cleaning needs.
[01:30:58.690 --> 01:31:00.532]  Heart disease is on the rise.
[01:31:00.672 --> 01:31:05.855]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you.
[01:31:06.016 --> 01:31:07.357]  But the symptoms are there.
[01:31:07.637 --> 01:31:15.823]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[01:31:16.023 --> 01:31:21.827]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[01:31:21.947 --> 01:31:23.708]  My blood pressure has normalized.
[01:31:23.788 --> 01:31:25.890]  My diabetes has totally improved.
[01:31:26.050 --> 01:31:30.315]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[01:31:30.475 --> 01:31:32.638]  I recommend Heart and Body Extract to everyone.
[01:31:32.698 --> 01:31:40.486]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[01:31:40.947 --> 01:31:41.488]  We're good to go.
[01:32:03.302 --> 01:32:06.223]  Everybody knows that the days are loaded.
[01:32:06.443 --> 01:32:08.924]  Everybody rolls with their fingers crossed.
[01:32:09.044 --> 01:32:11.725]  Everybody knows the war is over.
[01:32:11.746 --> 01:32:14.187]  Everybody knows the good guys lost.
[01:32:25.491 --> 01:32:29.135]  Everybody knows the fight is fixed.
[01:32:29.695 --> 01:32:31.537]  The poor stay poor.
[01:32:31.977 --> 01:32:33.839]  The rich get rich.
[01:32:33.979 --> 01:32:35.941]  That's how it goes.
[01:32:35.961 --> 01:32:37.262]  Everybody knows.
[01:32:43.707 --> 01:32:48.009]  Everybody knows that the boat is leaking.
[01:32:48.409 --> 01:32:52.251]  Everybody knows the captain lied.
[01:32:53.071 --> 01:32:56.933]  Everybody got this broken feeling.
[01:32:57.873 --> 01:33:01.135]  Like their father or their dog just died.
[01:33:02.215 --> 01:33:06.017]  Everybody talking to their partners.
[01:33:06.277 --> 01:33:11.779]  Everybody wants a box of chocolates and a box of rolls.
[01:33:12.099 --> 01:33:13.479]  Everybody knows.
[01:33:20.642 --> 01:33:25.027]  Everybody knows that you're the man, baby.
[01:33:25.287 --> 01:33:28.571]  Everybody knows that you really do.
[01:33:28.771 --> 01:33:33.716]  Everybody knows that you've been faithful.
[01:33:33.916 --> 01:33:37.980]  I'll give or take a night or two.
[01:33:39.001 --> 01:33:49.184]  Everybody knows you've been discreet but there were so many people you just had to meet without your clothes.
[01:33:49.264 --> 01:33:50.385]  And everybody knows.
[01:33:50.625 --> 01:33:52.805]  Everybody knows.
[01:33:52.945 --> 01:33:54.366]  Everybody knows.
[01:34:06.066 --> 01:34:08.048]  That's how it goes.
[01:34:08.108 --> 01:34:09.889]  Everybody knows.
[01:34:10.749 --> 01:34:12.931]  Everybody knows.
[01:34:13.031 --> 01:34:13.952]  Everybody knows.
[01:34:14.112 --> 01:34:15.513]  That's how it goes.
[01:34:15.573 --> 01:34:17.214]  Everybody knows.
[01:34:37.186 --> 01:34:40.687]  I tend to get a little negative sometimes.
[01:34:46.349 --> 01:34:50.770]  The good news is that people are beginning to wake up and everybody does know they're being lied to.
[01:34:50.830 --> 01:34:55.571]  Congress with an 11% approval rating, Cheney with a 10%, losing a point every month.
[01:34:55.591 --> 01:34:56.551]  He's going to be at 9% soon.
[01:34:56.591 --> 01:34:57.852]  Bush with a 24% and dropping.
[01:34:57.872 --> 01:34:58.252]  Hillary with a 27%.
[01:35:04.222 --> 01:35:09.245]  Seventy plus percent of the public knows they're all bad, they're criminals.
[01:35:09.485 --> 01:35:10.325]  And what do the criminals do?
[01:35:10.725 --> 01:35:14.648]  Oh, we'll hire more cops and brainwash them, and back them up when they kill you.
[01:35:15.648 --> 01:35:20.811]  We'll build some FEMA camps, and oh, by the way, terrorists are going to hit us, and when they do, we're going to become dictators.
[01:35:22.171 --> 01:35:24.092]  Well, you go ahead and you try it.
[01:35:24.853 --> 01:35:28.975]  You haven't neutralized everybody with these phony churches telling everybody to lay down.
[01:35:30.043 --> 01:35:34.206]  You haven't neutralized everybody with your liberal propaganda, which isn't liberal.
[01:35:35.267 --> 01:35:38.949]  You haven't neutralized all the conservatives with your phony conservative garbage.
[01:35:39.890 --> 01:35:42.632]  There are people waking up to what you're doing!
[01:35:43.152 --> 01:35:50.697]  And the reason I've gotten more and more intense, folks, is just like the last line of that song was just saying, everybody knows that this is our last chance.
[01:35:50.717 --> 01:35:55.181]  Everybody knows that this is it.
[01:35:56.962 --> 01:35:58.603]  Everybody knows that it's now or never.
[01:35:59.725 --> 01:36:08.409]  And let me tell you, I analyze it intellectually, scientifically, sociologically, but then I go with my gut after that and it all lines up.
[01:36:08.469 --> 01:36:13.931]  Not just my intellect, not just my understanding of history, not just my powers of assessment.
[01:36:15.812 --> 01:36:26.677]  They're decent, but in my very guts, in my foundation, right in the seat of my soul, I can feel the evil.
[01:36:27.410 --> 01:36:30.413]  Rising against us, just as we are rising against it.
[01:36:30.553 --> 01:36:49.408]  It is rising right now, and I just look at people like Hillary Clinton and Arnold Schwarzenegger, and I look at people like Dick Cheney, and I look at their masters, the Rothschilds, the Rockefellers, the rest of them, the big organized religion, the big churches, all of them, arrayed against humanity.
[01:36:53.647 --> 01:36:54.887]  I just know we can beat them.
[01:36:54.967 --> 01:36:58.688]  I know we can reverse the corruption like Nineveh got a hundred year reprieve.
[01:36:58.989 --> 01:37:02.109]  I know it's our job to warn people if you would just do it.
[01:37:03.410 --> 01:37:08.031]  It is not enough that I reach a couple million people a week on our Aminefim affiliates and internet and shortwave.
[01:37:08.451 --> 01:37:09.371]  I want to reach more.
[01:37:10.892 --> 01:37:13.192]  I desperately want to warn people!
[01:37:16.153 --> 01:37:18.554]  And I know I'm yelling because this is serious!
[01:37:21.710 --> 01:37:22.771]  And they've conditioned us.
[01:37:22.791 --> 01:37:25.232]  They've eased us in like a hot tub.
[01:37:25.252 --> 01:37:30.756]  You get in the hot tub, and you turn it on and heat it up, and it slowly starts heating up.
[01:37:32.437 --> 01:37:35.338]  And you get in it, and before you know it, it's 104 degrees.
[01:37:35.378 --> 01:37:36.499]  You're about to pass out.
[01:37:36.939 --> 01:37:38.740]  It's the old analogy of the frog in the pot.
[01:37:38.760 --> 01:37:39.441]  That's what happened to us.
[01:37:39.461 --> 01:37:41.562]  And folks, we're in scalding water right now.
[01:37:42.483 --> 01:37:44.704]  And I'm just saying, we gotta get out, man!
[01:37:44.744 --> 01:37:46.345]  We gotta get out now!
[01:37:46.985 --> 01:37:47.886]  This is burning!
[01:37:48.664 --> 01:37:51.225]  You've been sitting in the hot tub and I've seen it as it was heating up.
[01:37:51.325 --> 01:37:51.925]  I got out.
[01:37:52.285 --> 01:37:54.106]  And I see it burning your skin off, man.
[01:37:54.366 --> 01:37:56.666]  And I'm like, please listen to me.
[01:37:57.827 --> 01:37:59.307]  Let me tell you what freaks me out the worst.
[01:37:59.327 --> 01:38:02.588]  I'm going to get into this right now.
[01:38:04.028 --> 01:38:05.589]  I went to get my hair cut.
[01:38:05.729 --> 01:38:08.130]  I look like a ne'er-do-well.
[01:38:08.170 --> 01:38:09.190]  I have really long hair.
[01:38:09.470 --> 01:38:11.170]  I've been so busy for months I haven't cut my hair.
[01:38:12.751 --> 01:38:14.331]  Can't I ever just tell a story simply?
[01:38:14.491 --> 01:38:16.452]  I went to get my hair cut yesterday.
[01:38:19.077 --> 01:38:30.265]  And all the women, I mean it was like eight or nine of them in there, were all talking about how everyone they know has autistic sons now.
[01:38:31.006 --> 01:38:45.357]  And most of them didn't know who I was, and I turned around, she was cutting my hair, and I said, hey, now when you say everybody you know, and I was hoping that I wasn't going to hear what I heard, I said, now how many good friends do you have?
[01:38:45.417 --> 01:38:47.058]  Oh, I got five or six good friends,
[01:38:48.544 --> 01:38:50.705]  Half of them got boys, and all of them have it.
[01:38:50.945 --> 01:38:52.845]  And I thought, well, maybe it's overdiagnosis.
[01:38:53.766 --> 01:39:01.248]  Okay, um... Then tell me, how bad autistic?
[01:39:01.268 --> 01:39:02.888]  I mean, are they non-responsive?
[01:39:03.888 --> 01:39:05.189]  Yeah, they just flap their arms.
[01:39:05.209 --> 01:39:05.849]  You know how they do.
[01:39:08.702 --> 01:39:12.485]  I'm pregnant and I'm thinking about not vaccinating my son when I have him.
[01:39:12.505 --> 01:39:14.426]  And I'm just like, oh, you're thinking about it.
[01:39:14.807 --> 01:39:17.289]  And then these other women are going, yeah, my neighbor's got an autistic son.
[01:39:17.309 --> 01:39:18.029]  Yeah, my sister.
[01:39:18.650 --> 01:39:23.874]  And then these other women are going, oh, yeah, Alex, I heard you years ago talking about that, you know, Jenny McCarthy's discussing it.
[01:39:24.074 --> 01:39:28.698]  And it's her blitz on CNN and on Oprah and on all these other shows.
[01:39:28.918 --> 01:39:30.059]  That's what's having the effect.
[01:39:30.620 --> 01:39:32.261]  That's the power of that celebrity.
[01:39:32.859 --> 01:39:36.120]  And they went and got the shots and the baby didn't get up that night.
[01:39:36.140 --> 01:39:39.882]  In the morning she came in and he had a seizure and he was gone after that.
[01:39:40.602 --> 01:39:45.804]  Now she's done a lot of things to detoxify and a couple years later he's almost out of it.
[01:39:46.524 --> 01:39:48.385]  Which you can reverse some of it.
[01:39:48.925 --> 01:39:49.765]  Sometimes all of it.
[01:39:49.785 --> 01:39:50.846]  A lot of times you can reduce it.
[01:39:52.506 --> 01:39:56.828]  But you've got to get them off the heavy metal laden foods and other things that add to it.
[01:39:57.697 --> 01:39:58.858]  Or it's just going to compound.
[01:39:59.018 --> 01:40:00.499]  And we know exactly what's doing it.
[01:40:00.619 --> 01:40:04.662]  Literally hundreds of top scientists and studies and we've known for 30 plus years.
[01:40:04.962 --> 01:40:08.024]  The globalists knew 70, 80 years ago and wrote about how they were going to do it.
[01:40:08.484 --> 01:40:10.085]  That's what's so chilling about this.
[01:40:11.346 --> 01:40:12.227]  That's what's so chilling.
[01:40:13.528 --> 01:40:22.774]  And so, I mean, I was like, I felt like I should jump up out of that barber chair and run down the street, waving my arms, screaming, don't take the vaccines, run for your lives.
[01:40:22.794 --> 01:40:24.035]  I mean, it's that big.
[01:40:25.180 --> 01:40:26.761]  And see, the globalists are masters at this.
[01:40:26.861 --> 01:40:27.961]  Problem and action, solution.
[01:40:28.381 --> 01:40:29.962]  They ship the drugs in.
[01:40:30.302 --> 01:40:37.144]  When your teenager gets caught using them, or you get caught using them, they repossess your house, your car, they forfeit your seizure, no judge, no jury.
[01:40:37.644 --> 01:40:42.546]  You go to prison, you work building widgets in factories owned by the drug cartels.
[01:40:42.586 --> 01:40:46.447]  And that's even come out in mainstream news, that big drug laundering banks are behind the big prisons.
[01:40:46.467 --> 01:40:48.668]  Well, it's the same thing here.
[01:40:49.028 --> 01:40:51.689]  They brain damage your child, and the medical system gets them.
[01:40:53.030 --> 01:41:14.678]  But a lot of times when your baby has a seizure, four, five, six, eight hours later, anywhere from that minute to two days later, when the major lesions form on the cerebral cortex, the chemical lobotomy was only meant to, again, brain damage slightly, 20-30% IQ drop, but some it has a really big effect and you lobotomize your child.
[01:41:15.258 --> 01:41:17.399]  Now their brain is still growing, they're young,
[01:41:18.118 --> 01:41:22.482]  And just like a car accident person, even better with a child, you can build them back up.
[01:41:22.502 --> 01:41:23.583]  They'll never be 100%.
[01:41:24.885 --> 01:41:29.169]  But with the proper care and pulling a prayer, it's been turned around millions of times.
[01:41:33.453 --> 01:41:35.475]  And they do it by design.
[01:41:36.196 --> 01:41:37.317]  That's the key here.
[01:41:37.397 --> 01:41:38.238]  This isn't like it's
[01:41:41.152 --> 01:41:46.053]  Or, accidental, or, oh, we thought this arthritis medicine was good for you, but it makes you have heart attacks.
[01:41:46.113 --> 01:41:50.354]  Or, oh, we thought this diet pill was good, but it destroys your heart valves.
[01:41:50.394 --> 01:41:52.014]  Or, we thought this was good, but it does that.
[01:41:52.554 --> 01:41:54.635]  They know what it does.
[01:41:55.515 --> 01:42:03.736]  And when you stop taking it, or stop taking as many vaccines, they added five times more to it three years ago.
[01:42:04.977 --> 01:42:05.137]  AP.
[01:42:07.282 --> 01:42:09.963]  Oh, we'll just put five times what's even needed as a preservative in it.
[01:42:09.983 --> 01:42:10.944]  Oh, you're trying to escape us!
[01:42:11.024 --> 01:42:11.444]  Ha ha ha!
[01:42:11.784 --> 01:42:13.025]  I mean, again, they did that!
[01:42:17.387 --> 01:42:23.429]  But the good news is that Jenny McCarthy and others are... and it's everyone!
[01:42:23.910 --> 01:42:36.055]  They're 18 months old, third round of shots, it builds up to super high toxic level, and then when your child has a convulsion, you come and the cops are waiting and they CPS the child and put you in the prison system.
[01:42:37.296 --> 01:42:40.518]  See, when they went from 10 shots they tried to force on you in a year to over 30?
[01:42:41.359 --> 01:42:44.761]  A decade ago, suddenly, remember all the bumper stickers on police cars?
[01:42:45.361 --> 01:42:46.342]  Don't shake a baby?
[01:42:46.602 --> 01:42:51.706]  Well, there's suddenly this epidemic of everyone shaking their babies at 18 months and they're dying.
[01:42:52.186 --> 01:42:52.907]  Sometimes they die.
[01:42:53.407 --> 01:42:54.608]  Or they're being brain damaged.
[01:42:55.468 --> 01:42:59.871]  So you come running back in, my baby's hurt, and the doctor says, you just beat them in the car!
[01:43:00.472 --> 01:43:01.612]  No, my baby helped them!
[01:43:02.233 --> 01:43:02.553]  Men!
[01:43:02.573 --> 01:43:05.255]  And the officers walk in, yeah, he is!
[01:43:06.454 --> 01:43:10.055]  They always have their special little pets that are in the hospitals at CPS Kids all day.
[01:43:10.895 --> 01:43:12.516]  Special people that like doing that.
[01:43:16.177 --> 01:43:19.778]  And it's just total and complete wickedness.
[01:43:23.579 --> 01:43:28.100]  Or it's a good cop in there, they're just so dumb, like a general public, like, well, she shook the baby!
[01:43:31.269 --> 01:43:36.112]  And of course, they ended up having university studies, but they thought sudden death, infant syndrome.
[01:43:36.152 --> 01:43:40.495]  And they go, oh, it's gases coming off the baby mats.
[01:43:40.595 --> 01:43:41.796]  It's the covers.
[01:43:43.517 --> 01:43:52.242]  No, a lot of children, when they get that first round at a month, you bring them back in for the third checkup, they give them that shot, baby go bye-bye.
[01:43:53.663 --> 01:43:54.704]  Baby go bye-bye.
[01:43:56.169 --> 01:43:57.269]  You're not going to stop, though.
[01:43:57.289 --> 01:44:00.590]  You're going to hear this show and not check into it, not research it.
[01:44:00.790 --> 01:44:05.371]  You're just going to continue the injections because you like it.
[01:44:06.071 --> 01:44:06.391]  Fine.
[01:44:07.191 --> 01:44:07.511]  Fine.
[01:44:08.612 --> 01:44:12.352]  Again, it just makes me violently angry that we have absolute documentation.
[01:44:12.612 --> 01:44:21.914]  So I've been saying for years, we've been so busy, I only have limited webmasters, Paul Watson, Steve Watson, Ryan Slick Eisen, Kurt Nemo at truthnews.us, the new site.
[01:44:23.115 --> 01:44:24.355]  But we're building data pages.
[01:44:25.743 --> 01:44:28.906]  We're building pages that will be continually updated with the news.
[01:44:28.946 --> 01:44:35.771]  You know, all the hundreds of articles, AP, how they quadrupled and then more, the Mercury, or how they're... Here's what we're building.
[01:44:36.992 --> 01:44:40.015]  A, there is no law anywhere that you've got to take vaccines.
[01:44:42.177 --> 01:44:42.517]  No law!
[01:44:44.867 --> 01:44:51.932]  But they tell you on the news every year in August before the school year starts, it's the law, no shots, no school, it's the law, you'll be arrested.
[01:44:52.252 --> 01:44:57.215]  They announce it nationwide, thousands of channels, radio, TV, print.
[01:44:58.176 --> 01:45:06.041]  They have public parks, sports stadiums, everyone shows up, lollipops, clowns are there, because the government loves you.
[01:45:06.441 --> 01:45:09.023]  And of course the nurses giving the shots do like kids.
[01:45:09.423 --> 01:45:11.724]  And the doctors locally have been compartmentalized and believe it.
[01:45:11.885 --> 01:45:13.866]  And the cops standing out in the parking lot are nice guys.
[01:45:14.730 --> 01:45:15.230]  Nice women.
[01:45:16.431 --> 01:45:17.391]  It's compartmentalizing.
[01:45:17.411 --> 01:45:20.732]  The kids line up and they're giving their little IQ reducer.
[01:45:21.252 --> 01:45:23.954]  Have an injection to your higher brain functions.
[01:45:24.414 --> 01:45:26.895]  Ah, you'll be... That's why the public's so dumb now.
[01:45:27.575 --> 01:45:30.036]  You've got the fluoride and the mercury.
[01:45:30.236 --> 01:45:32.077]  This stuff brain damages everybody.
[01:45:32.177 --> 01:45:33.257]  Do you understand that?
[01:45:38.099 --> 01:45:41.020]  There's a reason cops, when they make you take shots year-round,
[01:45:42.068 --> 01:45:43.129]  And that's all civil, too.
[01:45:43.169 --> 01:45:44.050]  They claim you have to.
[01:45:44.090 --> 01:45:44.650]  You really don't.
[01:45:45.031 --> 01:45:45.951]  You can get waivers there.
[01:45:46.172 --> 01:45:47.593]  That's why you get sick every day.
[01:45:47.613 --> 01:45:48.954]  That's why you feel like crap.
[01:45:49.134 --> 01:45:50.755]  It's why you have migraine headaches.
[01:45:51.176 --> 01:45:52.737]  You've been pumped full of poison!
[01:45:53.458 --> 01:45:55.119]  And mercury's just the beginning, by the way.
[01:45:58.482 --> 01:46:01.384]  I mean, when are you going to start self-preservation?
[01:46:01.404 --> 01:46:02.646]  I'm going to stop yelling.
[01:46:02.846 --> 01:46:05.028]  I just get so... It makes me mad!
[01:46:06.088 --> 01:46:06.549]  I'm mad!
[01:46:10.484 --> 01:46:11.425]  I just, I'm frustrated.
[01:46:11.445 --> 01:46:12.366]  I want to warn people.
[01:46:12.406 --> 01:46:14.367]  I'm tired of these evil people getting away with this.
[01:46:14.848 --> 01:46:16.669]  I can't believe it just continues!
[01:46:18.130 --> 01:46:18.971]  And it gets worse and worse.
[01:46:19.031 --> 01:46:23.435]  I mean, again, 30 years ago it was 3 or 4 shots they tried to push on you.
[01:46:23.455 --> 01:46:25.316]  Then a decade ago it was only 10 or so.
[01:46:25.376 --> 01:46:27.778]  Now it's 45 plus shots.
[01:46:28.079 --> 01:46:28.879]  That's last year.
[01:46:28.919 --> 01:46:33.003]  Now they're trying to, quote, recommend a whole bunch more, depending on your state.
[01:46:33.923 --> 01:46:39.965]  And the recommendation, I mean we all hear, Rick Perry made a law, you gotta take the HPV shot for human papillomavirus.
[01:46:40.425 --> 01:46:45.627]  They admit it doesn't even protect you from it, and then it's a live virus and kills all these women and girls, but that's all kept real quiet.
[01:46:46.788 --> 01:46:50.929]  There's no law, he told the state health department, put it on a list of recommended.
[01:46:51.329 --> 01:46:56.151]  Then the media goes out, on the pharmaceutical bankroll, every other page is a drug ad.
[01:46:56.351 --> 01:46:58.532]  That's not just about the drug ad, it's about paying off the papers.
[01:46:59.232 --> 01:47:01.853]  When they say it's the law, you've got to take it!
[01:47:03.647 --> 01:47:04.768]  Then you go and take it.
[01:47:05.328 --> 01:47:10.091]  But by them mandating it, it gets... liability protection kicks in.
[01:47:10.331 --> 01:47:12.732]  For a drug they knew was killing women in the trials.
[01:47:13.012 --> 01:47:20.116]  So they know it's killing people, so they get it approved, and then try to force it so that it gets full liability protection.
[01:47:20.536 --> 01:47:21.777]  See how cold-blooded that is?
[01:47:22.217 --> 01:47:27.320]  I mean, Paul in his article, in case you're doubting any of this, put the Bayer story in here.
[01:47:30.071 --> 01:47:44.918]  Where they knowingly, from the mid-1980s until two years ago, in Australia, in the US, in Canada, in France... By the way, in France, I have to hand it to them, they arrested a bunch of executives there and charged them with murder.
[01:47:46.058 --> 01:47:47.539]  Yes, they're going to life in prison.
[01:47:48.391 --> 01:47:49.172]  Sentences like that.
