[00:00:00.435 --> 00:00:01.215]  They did not talk.
[00:43:50.154 --> 00:43:55.440]  And for those that tuned in, earlier I was joking around saying it's a wonderful thing to have the government read your mail.
[00:43:55.981 --> 00:43:57.442]  First the government denied it.
[00:43:58.023 --> 00:44:01.347]  Now they've been caught doing it domestically, internally, reading your mail.
[00:44:03.143 --> 00:44:05.745]  I remember having family that lived in Guatemala during the 80s.
[00:44:05.785 --> 00:44:07.447]  We'd get mail from them, it was always open.
[00:44:07.867 --> 00:44:10.870]  My family said, that's how it is in the Soviet Union and Third World.
[00:44:11.170 --> 00:44:12.812]  Banana Republics, they read their mail.
[00:44:13.172 --> 00:44:15.154]  And that's how it is here in the U.S.
[00:44:15.194 --> 00:44:15.374]  now.
[00:44:15.674 --> 00:44:21.320]  And a signing statement that he claims is above the law, that they'll pass a law saying he can't do this.
[00:44:21.940 --> 00:44:24.883]  And so he says a signing statement saying, oh yes I can.
[00:44:25.931 --> 00:44:28.634]  And of course the Democrats are all for this.
[00:44:28.754 --> 00:44:30.496]  They love the power they're getting.
[00:44:31.056 --> 00:44:33.719]  Nancy Pelosi now is for, of course, open borders.
[00:44:34.020 --> 00:44:38.304]  That'll be the first thing on the agenda is the blanket amnesty that they call a guest worker program.
[00:44:38.584 --> 00:44:42.849]  After that they have a new hate crimes legislation that will restrict free speech in this country.
[00:44:43.713 --> 00:44:58.338]  And just right down the line, she's got Newt Gingrich agreeing with her, he's out stumping, saying ban the First Amendment, arrest people for their speech, shut down websites, not land of the free, home of the brave, land of the slaves, home of the surveilled.
[00:44:58.798 --> 00:45:00.339]  And I don't like that, I want to turn it around.
[00:45:00.619 --> 00:45:02.559]  Let's go ahead and go to some phone calls.
[00:45:03.299 --> 00:45:05.640]  Let's talk to Scott in New York.
[00:45:05.680 --> 00:45:07.681]  Thank you for holding, Scott, you're on the air.
[00:45:08.221 --> 00:45:08.722]  Hi, Alex.
[00:45:08.782 --> 00:45:11.544]  I wish you a blessed New Year, you and your whole family.
[00:45:11.584 --> 00:45:12.245]  You too, my friend.
[00:45:12.265 --> 00:45:12.905]  What's on your mind?
[00:45:13.105 --> 00:45:13.486]  Thank you.
[00:45:13.546 --> 00:45:16.188]  You know, I'm calling just I want to make a couple quick comments.
[00:45:16.689 --> 00:45:26.097]  Firstly, back in 88, I first want to say that I was an elected Republican official in upstate New York at the county level.
[00:45:26.597 --> 00:45:27.958]  I was elected four terms.
[00:45:28.038 --> 00:45:28.859]  I'm a conservative.
[00:45:29.039 --> 00:45:29.900]  I'm a Republican.
[00:45:30.280 --> 00:45:34.564]  So this is coming straight from a person who's a Republican.
[00:45:36.361 --> 00:45:44.988]  In 1988, when Rush Limbaugh came on the air, I was so excited that I went to the mayor of my town, who owned a radio station, and asked to put him on.
[00:45:45.528 --> 00:45:59.098]  He did get Rush Limbaugh on, and I really, and then Rush came on about 1990 on the television for the first time, and they really attacked him, and I was almost in tears watching this guy being attacked.
[00:45:59.779 --> 00:46:05.463]  Little did I know what an infiltrator Rush would have been, and how he's gone along with all the
[00:46:06.514 --> 00:46:10.415]  Anti-conservative, anti-true Republican sentiment.
[00:46:10.455 --> 00:46:22.057]  So for the Republicans listening out there, Rush Limbaugh has been an infiltrator, and really has hurt our Republican conservative movement for the past 18 years that he's been on air.
[00:46:22.077 --> 00:46:28.599]  Well, I'm on a few stations that Rush is on, but he's attacked me, and so has Borch, so, you know, turnabout is fair play.
[00:46:29.099 --> 00:46:30.039]  But I'll just say this.
[00:46:30.819 --> 00:46:34.920]  I've heard him say the CFR didn't exist 10 years ago, and I cut my teeth listening to this guy.
[00:46:35.846 --> 00:46:38.128]  One of the reasons I'm in talk radio is because I was a fan.
[00:46:38.648 --> 00:46:42.331]  And yet, real conservatives have come to the point where we're not putting up with crap anymore.
[00:46:42.871 --> 00:46:45.793]  We want our country back, and we're not going to buy it.
[00:46:46.174 --> 00:46:52.318]  And they get on air, and they say, first, the North American Union doesn't exist.
[00:46:52.658 --> 00:46:53.499]  Now we're in it!
[00:46:53.959 --> 00:46:55.480]  And they say it's a good thing.
[00:46:55.620 --> 00:46:59.163]  And I haven't heard Limbaugh say that, but I've heard a bunch of other national hosts say that.
[00:47:00.069 --> 00:47:03.011]  And I mean, I've been on with them when they're saying, you're just a liberal.
[00:47:03.312 --> 00:47:05.833]  You're just against, you know, you're against the trade deal.
[00:47:05.953 --> 00:47:07.955]  It is not a trade deal, okay?
[00:47:07.975 --> 00:47:12.138]  It's the end of our country, we're in it right now, and look what it's done to our nation.
[00:47:12.718 --> 00:47:18.803]  Look, Alex, Rush Limbaugh got on, he said all the right things, all the things that a conservative Republican would want to hear.
[00:47:19.303 --> 00:47:24.367]  He did a wonderful job of putting us all to sleep, and now we've lost our country.
[00:47:24.747 --> 00:47:28.350]  One other point I want to make concerning communist Russia.
[00:47:28.737 --> 00:47:35.301]  I remember growing up, being in high school in the 80s, listening to my school teachers tell me about Communist Russia, how bad it was.
[00:47:35.703 --> 00:47:38.445]  And they relate stories about how... They read your mail!
[00:47:38.485 --> 00:47:39.225]  They're asking for your speech!
[00:47:39.245 --> 00:47:40.166]  Oh, you're exactly right!
[00:47:40.406 --> 00:47:44.689]  How they would open their mail, and I'd sit there and I'd say, how are those poor people over there?
[00:47:44.749 --> 00:47:47.170]  I can't even believe they'd allow them to open the mail!
[00:47:47.450 --> 00:47:49.712]  But now they've got these shows... In this country!
[00:47:50.052 --> 00:47:57.336]  Now they've got shows like 24, where he tortures kids every episode, and where they, and he gets tortured, and it's all good to keep America safe.
[00:47:57.577 --> 00:48:02.960]  I mean, this is, and then they have a Homeland Security meeting on C-SPAN, where they admit that the show, I mean, they've admitted it!
[00:48:03.100 --> 00:48:08.205]  That it's brainwashing the public, their word is, it's great PR, to change our morals.
[00:48:08.266 --> 00:48:17.736]  Hell, John Yoo, whenever he was the head lawyer over at the White House, wrote memos saying they can torture children sexually in front of their parents.
[00:48:17.956 --> 00:48:20.298]  Folks, you can't make stuff up that evil.
[00:48:20.338 --> 00:48:21.720]  It's been in major newspapers.
[00:48:22.100 --> 00:48:26.142]  Okay, I've had CFR members on who've debated him when he says, yeah, we're allowed to do this.
[00:48:26.622 --> 00:48:34.226]  Bottom line, they leave our borders completely wide open and then tell us they want to read our mail to keep us safe from terrorism.
[00:48:34.466 --> 00:48:35.747]  What a joke!
[00:48:35.847 --> 00:48:39.429]  They're using terrorism to take our freedoms, period!
[00:48:40.049 --> 00:48:47.513]  Any Republican listening to you now who supports George Bush because of the war on terror, I want to know
[00:48:48.115 --> 00:48:55.258]  How you can possibly support this man when he says the border can be wide open and we don't know who's crossing the border.
[00:48:55.498 --> 00:49:00.480]  When you can resolve that in your mind, then you let me know how you can support this man.
[00:49:00.780 --> 00:49:02.040]  Well, I know this.
[00:49:02.540 --> 00:49:05.982]  The 83 Israeli plan is the blueprint for the 2002 Pentagon plan.
[00:49:06.002 --> 00:49:06.942]  It's been all over the news.
[00:49:07.302 --> 00:49:19.493]  Where they say they wanted to break it in three parts, have sectarian war, break down that first world nation, and hurt those people so that they couldn't be leaders of the Middle East, use the country as a launch base into other nations.
[00:49:19.813 --> 00:49:23.557]  My point is, for anybody who's for the war, just be honest about it.
[00:49:23.917 --> 00:49:24.217]  Okay?
[00:49:24.417 --> 00:49:35.481]  Don't sit there and lie and lie, and like Bush promised the troops she'll be home in six months, mission accomplished, when they plan to be there for 20 years, they're building permanent bases, they lie to us!
[00:49:35.581 --> 00:49:37.181]  Why is lying acceptable?
[00:49:37.421 --> 00:49:40.782]  Whether it's that piece of trash Bill Clinton, or whether it's George Bush!
[00:49:40.822 --> 00:49:41.562]  It's a joke!
[00:49:44.823 --> 00:49:46.484]  I hear you and I appreciate your call, my friend.
[00:49:47.631 --> 00:49:48.592]  Good to hear from you, Scott.
[00:49:48.612 --> 00:49:51.455]  Let's go ahead and talk to Rudy in Pasadena, Texas.
[00:49:51.976 --> 00:49:53.437]  You're on the air, Rudy.
[00:49:53.477 --> 00:49:53.938]  Go ahead.
[00:49:54.518 --> 00:49:55.239]  Yes, Alex.
[00:49:55.540 --> 00:50:04.249]  You know, the emerging of corporations to become co-managers with government regarding the governance of a country, this is what is driving the proposed Texas Corridor?
[00:50:04.269 --> 00:50:05.150]  Yes, called fascism.
[00:50:05.971 --> 00:50:06.131]  Yeah.
[00:50:06.647 --> 00:50:07.908]  And it is part of the U.N.
[00:50:07.928 --> 00:50:08.949]  sustainable development.
[00:50:08.989 --> 00:50:09.709]  Oh, it's publicly?
[00:50:09.769 --> 00:50:10.310]  It's a U.N.
[00:50:10.330 --> 00:50:10.730]  agreement?
[00:50:10.810 --> 00:50:11.371]  Oh, yeah, I know.
[00:50:11.731 --> 00:50:12.712]  I have the official U.N.
[00:50:12.752 --> 00:50:26.722]  website saying they're killing us, they're taking over our infrastructure, they're going to use it to tax with the transponders in your inspection stickers for the North American Union, they've picked the capital, it's Atlanta, and you still can't get the general public to know our country's dead!
[00:50:26.762 --> 00:50:27.522]  I'm sorry, go ahead.
[00:50:28.283 --> 00:50:32.286]  Yes, and I believe this is just the finishing stage of globalism.
[00:50:32.546 --> 00:50:35.008]  You know, I'm kind of pessimistic in the sense that
[00:50:35.640 --> 00:50:37.181]  History seems to be on their side.
[00:50:38.202 --> 00:50:42.466]  Well, it's on their side because you got a bunch of cowards who want to believe propaganda.
[00:50:42.486 --> 00:50:47.610]  Look, Hitler said it, and he was right, evil genius that he was, that good propaganda just speaks to laziness.
[00:50:48.180 --> 00:50:49.041]  Good propaganda.
[00:50:49.201 --> 00:50:49.601]  Simple.
[00:50:49.681 --> 00:50:50.702]  It's go back to sleep.
[00:50:50.822 --> 00:50:52.924]  Oh, that North American Union's not real.
[00:50:53.324 --> 00:50:56.546]  Oh no, that's not a... Oh no, he's not for gun control.
[00:50:56.687 --> 00:51:00.109]  Oh no, he's a... I mean, it just sells them on going to sleep.
[00:51:00.630 --> 00:51:06.174]  And that's the reason why rights for individuals are now filtered through the lens of all these new ideas.
[00:51:07.034 --> 00:51:11.879]  Personal property rights are being diluted as a result of the highest or the best use.
[00:51:11.899 --> 00:51:25.813]  Yeah, you've got a Republican court, eight of the nine at the time were Republican appointed, and they rule that if a private corporation wants your property, they can go, quote, lobby, that's bribe, a local official to take your land, and by the way, they're not even given just compensation!
[00:51:26.033 --> 00:51:28.816]  Well, the bottom line is... How in the hell is that conservative?
[00:51:29.645 --> 00:51:33.648]  Well, the bottom line is that a permanent revolution is taking place before our very eyes.
[00:51:33.728 --> 00:51:34.168]  Stay there!
[00:51:34.188 --> 00:51:35.269]  Stay there, you're a good caller.
[00:51:35.289 --> 00:51:36.490]  Rudy, stay there.
[00:51:36.550 --> 00:51:37.531]  I'm going to put you on hold.
[00:51:37.891 --> 00:51:42.434]  You're a good caller, and I was running over you, and I want you to be able to explain what's happening.
[00:51:42.994 --> 00:51:46.197]  Yes, global corporations got together, and they took over.
[00:51:46.457 --> 00:51:46.957]  Period!
[00:51:47.077 --> 00:51:47.778]  We'll be right back.
[00:51:50.692 --> 00:51:54.934]  It's no secret that Genesis Communications Network depends on listeners like you.
[00:51:55.054 --> 00:51:57.855]  Now you can do even more to hear Genesis shows in your area.
[00:51:57.935 --> 00:52:02.377]  Simply call your local radio stations and tell them about your favorite GCN programs.
[00:52:02.517 --> 00:52:03.037]  It's easy.
[00:52:03.218 --> 00:52:09.740]  Log on to GCNlive.com or call us toll free 877-807-4048.
[00:52:09.820 --> 00:52:10.481]  Make a difference.
[00:52:10.581 --> 00:52:15.943]  Call your local stations and contact us through affiliate relations at GCNlive.com or call 877-807-4048.
[00:52:15.963 --> 00:52:16.363]  Call today.
[00:52:21.477 --> 00:52:23.958]  Are your Federal Reserve notes looking for a safe haven?
[00:52:24.418 --> 00:52:26.298]  Mine found it in precious metals.
[00:52:27.038 --> 00:52:30.219]  Not paper promises, but actual gold in my possession.
[00:52:30.859 --> 00:52:37.340]  It is liquid, it is private, it owes no one, it cannot go bankrupt, and it maintains its purchasing power.
[00:52:38.100 --> 00:52:40.301]  Find your answer at Midas Resources.
[00:52:40.681 --> 00:52:40.921]  That's 1-800-686-2237.
[00:52:40.941 --> 00:52:41.421]  The answer is at 1-800-686-2237.
[00:52:52.225 --> 00:52:54.826]  Prepare yourself for a talk radio.
[00:52:54.906 --> 00:52:57.567]  It will be really smooth like no other.
[00:52:57.787 --> 00:53:00.589]  Strap yourselves in and hold on.
[00:53:01.569 --> 00:53:02.950]  He stands for truth.
[00:53:04.330 --> 00:53:06.191]  He stands for justice.
[00:53:07.531 --> 00:53:09.152]  He stands for what's right.
[00:53:09.993 --> 00:53:12.313]  This is the Alex Jones Show.
[00:53:13.294 --> 00:53:16.155]  Call Alex now, toll free at 877-590-5525.
[00:53:21.676 --> 00:53:26.318]  Now live from Austin, Texas, here's Alex Jones.
[00:53:28.699 --> 00:53:32.980]  Alright, we will be taking a lot of your phone calls in this second hour.
[00:53:33.240 --> 00:53:35.521]  We're here live every Sunday from 4 to 6 p.m.
[00:53:35.561 --> 00:53:37.342]  Central Standard Time.
[00:53:38.902 --> 00:53:47.825]  Just a program note, TalkFest is coming to Austin, Texas, what is it, the 27th of January on a Saturday, and I will be with George Norrie at that event.
[00:53:48.205 --> 00:53:49.586]  He's invited me, and I'll be
[00:53:50.660 --> 00:53:55.563]  More importantly, in studio with him for, I believe, two-thirds of the show.
[00:53:55.963 --> 00:54:01.145]  That Friday night, he'll be doing the show live here in studio.
[00:54:01.205 --> 00:54:02.966]  So that'll be a lot of fun.
[00:54:04.287 --> 00:54:05.648]  I was listening to local news.
[00:54:06.008 --> 00:54:15.773]  The stations around the country that don't get local news from the station I do this show out of, like LBJ 590 AM, didn't get a chance to hear the news.
[00:54:16.493 --> 00:54:18.634]  I'm not knocking those two in the news.
[00:54:18.654 --> 00:54:20.235]  They were covering real, legitimate stories.
[00:54:20.954 --> 00:54:25.777]  But the information being put out by the state of Texas we should elaborate on.
[00:54:26.537 --> 00:54:31.360]  You have to get your Texas tags if you want to drive on the new toll roads that just opened up.
[00:54:31.400 --> 00:54:37.464]  And for three months they let the slaves, that's you and I, drive on them for quote free if we quote went and got the tags.
[00:54:37.964 --> 00:54:42.907]  Now we have to have the tags and they're going to tax you as you drive on the road with your transponder.
[00:54:44.190 --> 00:54:53.978]  Two years ago, we narrowly beat, in the state of Texas, transponders that were going to be in all the inspection stickers to tax us as we drove down the road.
[00:54:55.159 --> 00:55:11.233]  And the same thing's going in nationwide, and it's foreign-owned companies coming in who lobby the politicians with campaign money, and then the politicians basically give the water districts, or the roads, or the universities, the infrastructure,
[00:55:12.632 --> 00:55:15.234]  is just handed over to private companies.
[00:55:15.674 --> 00:55:17.616]  And we hear, oh, it's free market!
[00:55:17.916 --> 00:55:19.637]  They're going to run things now.
[00:55:19.657 --> 00:55:19.697]  No.
[00:55:20.578 --> 00:55:21.819]  This isn't free market.
[00:55:21.859 --> 00:55:23.540]  This isn't what you call privatization.
[00:55:23.880 --> 00:55:26.342]  That's a confusing smoke screen they use.
[00:55:26.962 --> 00:55:27.723]  This is
[00:55:29.443 --> 00:55:32.665]  46 of the 100 biggest economies being corporations.
[00:55:32.746 --> 00:55:35.567]  They have their own security forces, their own intelligence arms.
[00:55:36.008 --> 00:55:46.074]  They are now coming in and lobbying government to sign over governmental powers illegitimately to them to tax and regulate and control us.
[00:55:47.880 --> 00:55:56.725]  It's like the British Crown licensed the British East India Company to run the government of India over tens of millions of people and to be judge, jury, and executioner.
[00:55:57.005 --> 00:55:58.346]  It's the exact same thing.
[00:55:58.426 --> 00:56:00.407]  It's total imperialism.
[00:56:00.487 --> 00:56:01.368]  It's not free market.
[00:56:01.628 --> 00:56:04.490]  So I hope everybody out there starts becoming aware of that.
[00:56:05.697 --> 00:56:10.501]  Of course, it didn't matter to the state of Texas that we shot down their transponder and inspection sticker program.
[00:56:10.521 --> 00:56:23.111]  They're just trying to reintroduce it, and they run text.paidfor ads with our tax money, a stupid cartoon that's all over television here in Texas, telling us how great the new smart tags are in our inspection sticker.
[00:56:23.791 --> 00:56:24.171]  You see?
[00:56:24.492 --> 00:56:30.076]  Oh, we beat them putting it in, but they still run ads telling you how it's coming and how it's great.
[00:56:31.878 --> 00:56:32.398]  It's slick.
[00:56:32.718 --> 00:56:34.880]  We got calls here from Eric in Australia.
[00:56:35.689 --> 00:56:45.012]  We've got Nork in Atlanta, we've got Kerry in New Mexico, and we've got Patrick and many others.
[00:56:45.052 --> 00:56:48.033]  But I wanted to go back to Rudy from Pasadena, Texas.
[00:56:48.053 --> 00:57:02.158]  We were talking about this whole global program, the Sustainable Development Goals 2000 program of the United Nations, and we are in it right now.
[00:57:02.238 --> 00:57:03.699]  So Rudy, go ahead and finish up your points.
[00:57:07.234 --> 00:57:10.658]  I don't know what he's doing.
[00:57:10.778 --> 00:57:13.981]  Rudy, you're going to have to get on the phone and stop doing whatever you're doing over there.
[00:57:14.442 --> 00:57:16.544]  We're going to let him go.
[00:57:16.564 --> 00:57:18.026]  That's too bad.
[00:57:18.086 --> 00:57:20.648]  I held you over to go to you, but you're not there.
[00:57:20.708 --> 00:57:23.471]  Let's go ahead and talk to Eric in Sydney, Australia.
[00:57:23.511 --> 00:57:25.133]  Boy, have they been taken over by the globalists.
[00:57:25.774 --> 00:57:28.517]  But again, any resistance is a conspiracy theory.
[00:57:29.238 --> 00:57:38.068]  Ever saying powerful groups want more control or that powerful corporations lobby and try to get control of government to then fund themselves to the taxing system?
[00:57:38.248 --> 00:57:39.429]  No, it doesn't exist.
[00:57:39.549 --> 00:57:40.370]  Everything's fine.
[00:57:40.570 --> 00:57:41.471]  Go back to sleep.
[00:57:41.531 --> 00:57:42.352]  Everything's wonderful.
[00:57:43.133 --> 00:57:45.356]  And then the dollar hasn't plunged in value by half.
[00:57:46.218 --> 00:57:51.740]  And they're not openly setting up a new national draft, and they're not recruiting foreigners in Mexico City to join the military.
[00:57:52.420 --> 00:57:53.780]  And, yeah.
[00:57:53.820 --> 00:57:54.281]  Let's go ahead.
[00:57:54.341 --> 00:57:56.081]  Caller, you're on the air from Australia.
[00:57:56.121 --> 00:57:56.461]  Go ahead.
[00:57:56.481 --> 00:57:57.842]  Hi, Alex.
[00:57:57.862 --> 00:57:58.202]  How you doing?
[00:57:58.402 --> 00:57:58.722]  Good, sir.
[00:57:58.742 --> 00:57:59.102]  Go ahead.
[00:58:00.662 --> 00:58:02.323]  Listen, my comment is this.
[00:58:02.763 --> 00:58:11.426]  I have some friends, some colleagues, some people I associate with, and they like your show, they want to support it, but they're afraid of supporting it.
[00:58:11.466 --> 00:58:15.147]  Now, I'm a subscriber to your website, and I've bought some DVDs, and I have friends of mine
[00:58:17.933 --> 00:58:32.260]  And I just want to tell the audience out there, that if you guys don't get out there and support people that you think are doing the right thing, that these people won't be able to keep going.
[00:58:34.061 --> 00:58:40.003]  I think it's very important that if you want to keep your local businesses running, you buy from your local businesses.
[00:58:40.023 --> 00:58:43.205]  And I think that supporting shows like yours, and I want to tell all your listeners,
[00:58:43.786 --> 00:58:49.209]  To make sure you get out there and for the coffee subscription to your website which is nothing less than almost a couple of coffees a week.
[00:58:50.063 --> 00:58:51.264]  They should get out there and support you.
[00:58:51.584 --> 00:58:52.885]  Well, I appreciate those words.
[00:58:52.905 --> 00:59:03.892]  You know, there's a reason the government finally announced they're listening to everything, and Google came out and said they're using keyword software to listen off the microphones and cameras built into all-new computer standard.
[00:59:04.552 --> 00:59:07.694]  There's a reason they're saying, yeah, we're reading your mail now.
[00:59:08.094 --> 00:59:08.875]  There's a reason.
[00:59:08.915 --> 00:59:10.336]  This is about intimidation.
[00:59:10.376 --> 00:59:13.898]  It's about conditioning the dumbed-down masses to think this is normal.
[00:59:13.938 --> 00:59:16.520]  But for the awake people, it's to intimidate us.
[00:59:16.560 --> 00:59:17.200]  And I'll say this.
[00:59:19.341 --> 00:59:22.222]  I hope the government is listening to me.
[00:59:22.622 --> 00:59:26.803]  I hope operatives are listening to me, because I know I'm going to sell them on the truth.
[00:59:27.124 --> 00:59:35.666]  They're going to go find out that the majority of narcotics brought into this nation are brought in by government sources, with allied crime corporations.
[00:59:36.147 --> 00:59:38.627]  They're going to learn that the Federal Reserve really is private.
[00:59:38.947 --> 00:59:41.788]  They're going to learn that our government really did create Al-Qaeda.
[00:59:42.028 --> 00:59:43.529]  They're going to learn all of this.
[00:59:45.794 --> 00:59:49.697]  And when they find that out, a lot of them are going to decide to join me.
[00:59:49.777 --> 00:59:51.418]  Now, that's those that aren't cowards.
[00:59:52.139 --> 00:59:56.683]  Others have done the research and found out we're telling the truth, so they are afraid.
[00:59:56.703 --> 01:00:01.526]  I have people all the time, you know, go, man, I know you're telling the truth, but my God, aren't you afraid they're going to get you?
[01:00:01.907 --> 01:00:06.270]  Folks, if we give in to fear, then we are tyrannized.
[01:00:06.450 --> 01:00:11.254]  And the moment you give in to this, and the moment you admit this is real, but then the
[01:00:12.080 --> 01:00:12.961]  Say, okay, it's real.
[01:00:13.001 --> 01:00:13.862]  I better shut up.
[01:00:14.162 --> 01:00:14.822]  They've won.
[01:00:15.163 --> 01:00:16.023]  I'm an American.
[01:00:16.064 --> 01:00:16.904]  You're an Australian.
[01:00:16.944 --> 01:00:21.468]  We're free people who come from a shared history of the Magna Carta and common law.
[01:00:21.888 --> 01:00:24.431]  And people worldwide have freedom beating in their breast.
[01:00:25.071 --> 01:00:27.273]  And, you know, I'm not going to go along with this.
[01:00:27.293 --> 01:00:30.616]  But, you know, there's a different type of person from those that know the truth and are scared.
[01:00:30.936 --> 01:00:34.239]  There's also those who will say, none of this exists.
[01:00:34.279 --> 01:00:36.381]  But, boy, I tell you, the government's going to get you
[01:00:37.068 --> 01:00:42.812]  They're so brainwashed that they think the government getting people like me is what the government should do!
[01:00:43.312 --> 01:00:50.176]  There's all these good old boys who think, yeah, go ahead and kill Iraqi kids, yeah, go ahead and kill them all!
[01:00:50.496 --> 01:00:55.899]  Do they think a government and an elite that will do that will take care of us and care about us?
[01:00:56.200 --> 01:01:03.104]  If you think global corporate leaders care any more about your child than they care about some Iraqi child, I've got a bridge I want to sell you.
[01:01:03.344 --> 01:01:04.965]  These are ruthless people!
[01:01:05.425 --> 01:01:15.527]  Okay, I just got an interview with Aaron Russo, top Hollywood producer, on record fingering Nick Rockefeller, telling him about how 9-11 was going to happen 11 months before it happened.
[01:01:15.548 --> 01:01:19.628]  I just went to Houston yesterday, where Aaron's getting treatment down there.
[01:01:19.668 --> 01:01:23.289]  People, when they start getting pretty, you know, sick, they tend to start talking.
[01:01:23.870 --> 01:01:25.550]  And I went down there and got this...
[01:01:26.210 --> 01:01:28.192]  You know, this admission, and a lot more.
[01:01:28.493 --> 01:01:34.760]  But I mean, hell, David Rockefeller wrote in his memoir that they're destroying America, and that's their plan, and so what?
[01:01:35.220 --> 01:01:41.407]  Because they know only a few thousand people go read 600-page memoirs by David Rockefeller.
[01:01:41.707 --> 01:01:45.650]  They know the general public's sucking their thumb, loving slavery!
[01:01:45.850 --> 01:01:48.011]  And so I tell everybody out there, don't believe me!
[01:01:48.391 --> 01:01:57.137]  You know, you think depleted uranium is really good for your son or daughter, go get them to enlist, go have them breathe the stuff, and when they're dying in your arms later, just remember I told you!
[01:01:57.697 --> 01:02:00.859]  Okay, I really do support the troops, by trying to warn them!
[01:02:01.119 --> 01:02:02.961]  I'm sorry, anything else you want to add from Australia?
[01:02:04.121 --> 01:02:07.964]  Just quickly, you know Rupert from the wilderness, yeah?
[01:02:07.984 --> 01:02:08.144]  Yes.
[01:02:09.202 --> 01:02:15.847]  Have you heard that he's pulling out of public speaking and public representations and pulling down his whole operation?
[01:02:15.867 --> 01:02:16.527]  Did you hear about that?
[01:02:16.807 --> 01:02:17.988]  Yes, I did hear about that.
[01:02:18.509 --> 01:02:18.809]  I did.
[01:02:19.149 --> 01:02:20.730]  Listen, I appreciate your support.
[01:02:20.770 --> 01:02:21.371]  We're going to break.
[01:02:21.391 --> 01:02:21.951]  We're out of time.
[01:02:22.692 --> 01:02:24.393]  I got a bunch of news I want to cover here.
[01:02:24.413 --> 01:02:27.255]  They're talking about nuclear attacks on Iran.
[01:02:27.275 --> 01:02:30.597]  Peanuts kill more Americans than terrorists.
[01:02:30.677 --> 01:02:33.759]  There was a big terror attack last week in Spain, but nobody heard about it.
[01:02:33.779 --> 01:02:34.500]  I'll tell you why.
[01:02:35.460 --> 01:02:37.542]  We'll talk to people all over the country and the world.
[01:02:38.194 --> 01:02:40.867]  PrisonPlanet.com, InfoWars.com are my websites.
[01:02:41.169 --> 01:02:41.932]  Be sure and check them out!
[01:02:51.869 --> 01:02:59.817]  For years you've been hearing about Herbal Healer Academy and how it's remained the leader in effective alternative and natural medicine and education.
[01:03:00.278 --> 01:03:03.441]  But how can they continue to hold that title for years on end?
[01:03:03.841 --> 01:03:06.884]  The answer is high quality and huge selection.
[01:03:07.265 --> 01:03:12.090]  Just visit HerbalHealer.com and shop online or request a free catalog.
[01:03:12.510 --> 01:03:14.853]  You're bound to find the alternative you're looking for.
[01:03:15.573 --> 01:03:20.259]  Did you know that Herbal Healer carries the latest, safest, and effective weight loss products?
[01:03:20.760 --> 01:03:26.647]  You can also count on Herbal Healer for the largest selection of safe and natural supplements just for children.
[01:03:26.968 --> 01:03:28.149]  And don't forget your pets.
[01:03:28.590 --> 01:03:34.257]  Herbal Healer even has natural mineral supplements for all your animals, including horses, cows, and birds.
[01:03:34.697 --> 01:03:41.605]  Take a peek at their online calendar and you're sure to find everything you need and maybe something you didn't realize you needed.
[01:03:41.625 --> 01:03:46.430]  Visit HerbalHealer.com and don't forget to sign up for the free Herbal Healer newsletter.
[01:03:46.971 --> 01:03:50.355]  HerbalHealer.com, working with the power of nature.
[01:03:51.565 --> 01:03:55.468]  The United States seems to be celebrating over its triumph of reducing government debt.
[01:03:55.688 --> 01:04:07.957]  But the truth be told, public and private debt increased to a record high in 1999, reaching a peak of $14.8 trillion, marking 10.57% annual increase, outpacing its previous 10 years.
[01:04:08.377 --> 01:04:08.778]  The U.S.
[01:04:08.818 --> 01:04:14.362]  economy receives its currency by taking on debt through a private banking institution called the Federal Reserve System.
[01:04:14.802 --> 01:04:17.004]  In the year 2000, debt growth collapsed to only 4.5%.
[01:04:17.765 --> 01:04:19.947]  It's bad enough that the U.S.
[01:04:19.967 --> 01:04:22.830]  citizens is bound by debt in order to have commerce.
[01:04:22.930 --> 01:04:28.995]  However, shocking the economy with the reduction of this magnitude could wipe out years of growth in a stock portfolio.
[01:04:29.396 --> 01:04:32.739]  Before you make your next investment decision, get the cold hard facts.
[01:04:32.819 --> 01:04:39.165]  Call 1-800-686-2237 for your free report on the outstanding level of public and private debt.
[01:04:39.722 --> 01:04:43.724]  You must understand how recession and depression are driven by outstanding debt.
[01:04:43.844 --> 01:04:46.426]  Call 1-800-686-2237.
[01:04:46.806 --> 01:04:47.186]  That's 1-800-686-2237.
[01:04:47.226 --> 01:04:49.447]  It's here.
[01:04:55.690 --> 01:05:00.473]  After a year in production and traveling to distant lands, my new film Terror Storm is complete.
[01:05:00.833 --> 01:05:08.477]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[01:05:09.153 --> 01:05:16.198]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[01:05:16.619 --> 01:05:28.007]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[01:05:28.347 --> 01:05:31.850]  Terror Storm is the definitive guide to the history of government-sponsored terrorism.
[01:05:32.310 --> 01:05:34.232]  It's an anthology of government crimes.
[01:05:34.572 --> 01:05:38.415]  Terror Storm is a film that everyone who wants to be truly informed must see.
