[00:00:00.289 --> 00:00:05.313]  ...to say Merry Christmas, then giving a gift of safety and security from Pepperspray.com!
[00:53:46.106 --> 00:53:55.568]  Well, let me just interrupt again, a quick idea, Jeffrey, of how much 2-4% or 2-3% is, that's about the difference between a human and a chimpanzee.
[00:53:56.808 --> 00:53:58.228]  That's interesting, well said.
[00:53:58.288 --> 00:54:00.489]  That's what they say, they say it's 4% difference, but go ahead.
[00:54:01.169 --> 00:54:05.750]  Well, what happens is, so any genetically engineered crop at this point
[00:54:06.474 --> 00:54:13.316]  ...might carry poisons in it, simply because of this primitive and random nature of transforming a cell.
[00:54:13.696 --> 00:54:28.119]  So, whether it's cotton, corn, soy, canola, the four major crops, and now sugar beets, the fifth, we don't know really what possible poisons or allergens it's created because there's hardly any tests before they go on the market.
[00:54:28.159 --> 00:54:28.979]  So that's the first thing.
[00:54:29.419 --> 00:54:33.360]  The second thing is, the actual gene that they put into the cotton
[00:54:34.329 --> 00:54:37.811]  ...is designed to produce a pesticide.
[00:54:38.592 --> 00:54:42.994]  It kills bugs, it's a poison, it's called Bacillus thuringiensis, or BT for short.
[00:54:43.795 --> 00:54:58.304]  Now, the reason why they allow it into crops, it's also in corn, is because the regulators believed the biotech industry, who said, well, BT in its natural state, it's a soil organism, soil bacteria,
[00:54:58.772 --> 00:54:59.092]  Thank you.
[00:55:18.229 --> 00:55:23.636]  Developed allergic type reactions when they were sprayed with BT when it was used for gypsy moth infestation.
[00:55:24.256 --> 00:55:33.708]  And mice that were fed BT, not only did it survive digestion, it caused damage to their intestines and a high, a very pronounced immune response.
[00:55:34.864 --> 00:55:39.066]  So, it hasn't been properly tested, and it's now in the food supply.
[00:55:39.126 --> 00:55:49.911]  I say food supply, because it's in corn, but also cotton is part of our food supply, because it's in cotton seed oil, and also the oilseed cakes, and sometimes the whole plant is fed to animals.
[00:55:50.791 --> 00:55:57.374]  Now, the issue here with the animals that have been feeding on the cotton
[00:55:58.109 --> 00:56:01.792]  Plants After Harvest, which started out, we heard about it from sheep in 2006.
[00:56:03.353 --> 00:56:15.483]  Someone was a union leader for shepherds and farmers, was in a government veterinary office and was reviewing the post-mortems just to see the trend.
[00:56:15.543 --> 00:56:24.550]  And he was surprised to see there was 11 post-mortem deaths on sheep and the cause of death was eating BT cotton plants.
[00:56:25.718 --> 00:56:28.701]  And this was quite alarming because, you know, 11 is a lot.
[00:56:28.761 --> 00:56:29.782]  I had never seen it before.
[00:56:30.162 --> 00:56:32.604]  So they quickly called a fact-finding team together.
[00:56:33.064 --> 00:56:36.848]  Some of these people I'll be interviewing on video in a few weeks in India.
[00:56:37.528 --> 00:56:39.690]  And they started to visit some villages nearby.
[00:56:39.710 --> 00:56:44.714]  And they called... In one day, they went to four different villages, and they called all the shepherds together.
[00:56:45.075 --> 00:56:53.462]  And in the first village, they were stunned to find that the shepherds reported that 25% of their herd... of their shepherds... herds died.
[00:56:54.099 --> 00:56:55.500]  Within five to seven days.
[00:56:55.960 --> 00:56:56.620]  Oh my God.
[00:56:56.820 --> 00:56:59.921]  They went to the second place, the same thing happened.
[00:57:00.601 --> 00:57:04.743]  And the third, they couldn't have a big meeting, but they went around and started asking people, same thing with the fourth.
[00:57:05.243 --> 00:57:09.725]  The shepherds there estimated 10,000 sheep died in this one region in India.
[00:57:10.985 --> 00:57:20.869]  Now, when this was released, the person, the veterinarian in India, who had written down probable cause of death, Bt toxin,
[00:57:21.829 --> 00:57:30.892]  She was originally enthusiastic about that diagnosis, but soon after she started changing her thinking and then started taking the other side, saying it must be something else.
[00:57:31.212 --> 00:57:39.534]  They went back to the original documentation and someone had taken a different color pen and written in, uh, cause of death, pesticides.
[00:57:40.314 --> 00:57:52.008]  And so I contacted the activists and said, go to the shepherds who are interviewed for each of these post-mortems and videotape the interview and ask them if they brought up a pesticide.
[00:57:52.048 --> 00:57:56.634]  It turns out they never actually used the pesticides in these farms.
[00:57:57.677 --> 00:57:58.638]  And it was totally...
[00:58:29.718 --> 00:58:30.738]  Looking for profit?
[00:58:30.798 --> 00:58:32.178]  Looking for safety and security?
[00:58:32.438 --> 00:58:35.719]  The $10 Olympic commemorative gold coin offers both.
[00:58:35.779 --> 00:58:43.341]  This low mintage collector coin with a total series mintage under $600,000 has sold at four times its current price.
[00:58:43.401 --> 00:58:46.762]  Falling dollar values and inflation make this likely to happen again.
[00:58:46.782 --> 00:58:48.662]  Secure your position today.
[00:58:48.682 --> 00:58:50.202]  Call Midas Resources at 1-800-686-2237.
[00:58:50.222 --> 00:58:50.522]  That's 1-800-686-2237.
[00:58:59.857 --> 00:59:01.698]  Hello, I'm Steve Shank.
[00:59:02.158 --> 00:59:05.201]  We're entering a holiday season never before seen in America.
[00:59:05.661 --> 00:59:14.066]  We're thankful for the warning given by members of Mr. Obama's campaign team of the coming international incident which will force unpopular decisions.
[00:59:14.467 --> 00:59:20.771]  Without this warning, many of us who still have money available would have unknowingly wasted it on Christmas gifts that would
[00:59:20.851 --> 00:59:22.952]  The greatest gift this Christmas is life itself.
[00:59:22.972 --> 00:59:23.852]  Food for these unknown times.
[00:59:49.480 --> 00:59:49.720]  Call 800-409-5633.
[00:59:49.820 --> 00:59:50.700]  On the web, efoodsdirect.com.
[00:59:50.720 --> 00:59:50.760]  800-409-5633.
[00:59:50.780 --> 00:59:52.181]  And a new name is added to the U.S.
[00:59:52.221 --> 00:59:53.081]  Senate candidate list.
[00:59:53.101 --> 00:59:53.721]  You are listening to GCN.
[00:59:53.741 --> 00:59:54.742]  In Texas, check your watch, it's 5 o'clock.
[01:00:13.152 --> 01:00:15.833]  IRN USA Radio News, I'm Jody Jordan.
[01:00:16.233 --> 01:00:18.014]  The President has traveled to Iraq.
[01:00:18.434 --> 01:00:19.375]  Here's Robert Reid.
[01:00:19.395 --> 01:00:29.119]  President George W. Bush has made a surprise farewell visit to Iraq just 37 days before he hands off the war to a successor who has pledged to end it.
[01:00:29.279 --> 01:00:37.322]  Bush will be talking with Iraq's Prime Minister about the newly appointed U.S.-Iraq Security Agreement, which calls for a drawdown of troops starting next year.
[01:00:38.027 --> 01:00:40.649]  Bush's National Security Advisor sees the U.S.
[01:00:40.689 --> 01:00:43.291]  in an increasingly subordinate role in Iraq.
[01:00:43.891 --> 01:00:47.073]  Stephen Hadley is hailing the new U.S.-Iraq Security Pact.
[01:00:47.553 --> 01:00:54.258]  He calls it a remarkable document in the Arab world because it was publicly debated and adopted by elected lawmakers.
[01:00:54.878 --> 01:01:00.262]  And White House officials say don't expect an announcement on an auto industry rescue plan today or tomorrow.
[01:01:00.722 --> 01:01:04.725]  The automakers have said they could run out of cash within weeks without government help.
[01:01:05.365 --> 01:01:07.527]  This is IRN USA Radio News.
[01:01:09.878 --> 01:01:12.259]  Our dog was turning our home upside down.
[01:01:12.519 --> 01:01:14.741]  Mommy, he's jumping on me!
[01:01:14.841 --> 01:01:17.582]  People were giving us looks like we couldn't control our dog.
[01:01:17.642 --> 01:01:19.343]  But how can you control a puppy?
[01:01:19.543 --> 01:01:23.245]  We tried obedience school, doggy daycare, even electric collars.
[01:01:23.385 --> 01:01:26.167]  But then our veterinarian told us about Poise calming treats.
[01:01:26.367 --> 01:01:29.248]  Poise has two formulas, instant and daily.
[01:01:29.428 --> 01:01:34.071]  Instant works to immediately calm your dog for those occasions when you need him to relax and behave.
[01:01:34.531 --> 01:01:35.592]  A calmer dog is a happier dog.
[01:01:35.772 --> 01:01:37.373]  And because he's happier, we're happier.
[01:01:52.006 --> 01:01:55.009]  Call right now for your 30-day risk-free trial of POIS.
[01:01:55.129 --> 01:01:55.370]  Call 1-800-733-0904.
[01:01:55.390 --> 01:01:55.690]  That's 1-800-733-0904.
[01:01:55.710 --> 01:01:57.672]  Veterinarian developed and recommended.
[01:01:57.712 --> 01:01:58.092]  Call 1-800-733-0904.
[01:01:58.112 --> 01:01:58.373]  That's 1-800-733-0904.
[01:02:09.986 --> 01:02:15.650]  The upper Midwest and Plains states are getting a wintry wallop as a powerful Arctic front sweeps through.
[01:02:16.210 --> 01:02:20.173]  Forecasters say western Colorado can expect 1 to 3 feet of snow.
[01:02:20.193 --> 01:02:24.756]  At least 8 inches of snow is already piling up around Interstate 70.
[01:02:25.336 --> 01:02:27.818]  Gusty winds are also expected in Kansas.
[01:02:28.438 --> 01:02:31.560]  Sam Walker is a meteorologist with the National Weather Service.
[01:02:31.780 --> 01:02:36.183]  With those temperatures we end up with wind chills down around 50 below, sometimes colder.
[01:02:36.798 --> 01:02:41.862]  So going outside without being dressed properly can be very hazardous.
[01:02:42.423 --> 01:02:47.968]  And if you happen to get stuck in the snow and you try to walk away from your vehicle, that can be catastrophic at times.
[01:02:48.108 --> 01:02:54.694]  And authorities in New Hampshire are trying to get the word out that some residents may not have power again until Thursday or Friday.
[01:02:54.714 --> 01:02:59.498]  The Saco, Maine resident is staying at a Red Cross shelter because all of the ice.
[01:02:59.798 --> 01:03:00.739]  Couldn't open my door.
[01:03:01.818 --> 01:03:04.360]  Had to wham it with an ax not to keep the door open.
[01:03:04.500 --> 01:03:08.423]  For more news and analysis, log on to IRNnews.com.
[01:03:09.784 --> 01:03:11.445]  Do you suffer from cold sores?
[01:03:11.905 --> 01:03:16.749]  Relieve One Day Cold Sore Symptom Treatment is out to prove how fast it really works.
[01:03:17.390 --> 01:03:24.396]  If you suffer from those nasty sores, try RELIEVE and find out for yourself if RELIEVE works really fast for you!
[01:03:24.756 --> 01:03:27.638]  RELIEVE is spelled R-E-L-E-E-V.
[01:03:28.078 --> 01:03:30.981]  It's easy to find and is in all major drugstores.
[01:03:31.361 --> 01:03:37.806]  So if you get cold sores, remember to get RELIEVE now and keep it ready to use the moment a cold sore attacks.
[01:03:40.091 --> 01:03:44.178]  British Prime Minister Gordon Brown has been meeting with leaders of Pakistan and India today.
[01:03:44.198 --> 01:03:49.888]  He's been pledging more support in the war on terrorism and funding in the wake of deadly attacks in India.
[01:03:50.598 --> 01:03:57.679]  Also today, India's Prime Minister is calling for normalized relations with Pakistan amid rising tensions between the neighbors.
[01:03:58.199 --> 01:03:59.140]  Here's Sam Dolnik.
[01:03:59.320 --> 01:04:07.461]  He reiterated that he wants normalized relations with Pakistan and that he wants a friendship with Pakistan and cooperation.
[01:04:07.481 --> 01:04:10.842]  I think he said he called for mutual wisdom and cooperation.
[01:04:10.862 --> 01:04:13.642]  The wave of youth violence in Greece is continuing.
[01:04:14.062 --> 01:04:18.303]  Scores of young people attacked a police station, stores and banks yesterday.
[01:04:18.943 --> 01:04:27.425]  The latest violence comes as candlelit vigils were held, marking a week since the police killing of a 15-year-old boy that triggered riots.
[01:04:28.026 --> 01:04:29.286]  Here's Demetrius Nellis.
[01:04:29.546 --> 01:04:39.669]  If you talk to the youth themselves, they say they're frustrated about certain things, like the educational system, their job prospects, but there is a small group bent on mayhem anyway.
[01:04:39.729 --> 01:04:46.791]  In a bomb explosion at a bank in Woodburn, Oregon, Friday killed both a police officer and a state bomb disposal technician.
[01:04:47.478 --> 01:04:52.920]  Police say they have no suspects and that whoever did it is dangerous and needs to be found soon.
[01:04:53.480 --> 01:04:58.862]  Jeffrey Thomas, who works at a restaurant across the street, says he heard the big blast.
[01:04:59.122 --> 01:05:01.203]  All of a sudden I just heard a loud explosion.
[01:05:01.223 --> 01:05:04.564]  It sounded like all the windows rattling in the entire building.
[01:05:04.824 --> 01:05:08.226]  I'm Jody Jordan for IRN USA Radio News.
[01:05:08.627 --> 01:05:14.390]  Have you thought about investing in storable foods or in survival kits for your home, car, office, or child's school?
[01:05:14.771 --> 01:05:16.952]  This holiday season, give the gift of safety.
[01:05:17.212 --> 01:05:18.613]  Give the gift of peace of mind.
[01:05:19.094 --> 01:05:22.396]  Give the gift of survival from SurvivalGearSource.com.
[01:05:22.796 --> 01:05:29.901]  SurvivalGearSource.com is the only website that offers the very best in high quality preparedness gear at the lowest prices around.
[01:05:30.521 --> 01:05:33.763]  Give that friend or family member the gift they would never buy for themselves.
[01:05:34.363 --> 01:05:44.127]  From 72-hour survivor kits, to survival tools, to toys for the kids to help pass hard times, SurvivalGearSource.com has something for everyone on your Christmas list.
[01:05:44.668 --> 01:05:48.850]  As we enter this new year full of uncertainty, be ready and be prepared.
[01:05:49.310 --> 01:05:51.791]  Shop online at SurvivalGearSource.com.
[01:05:52.131 --> 01:05:54.212]  That's SurvivalGearSource.com.
[01:05:54.712 --> 01:05:57.914]  Use the coupon code GCN and receive a Patriot Bar with your order.
[01:05:58.234 --> 01:05:58.454]  Or call 877-231-1925.
[01:05:58.474 --> 01:05:58.674]  That's 877-231-1925.
[01:05:58.694 --> 01:05:59.575]  Or online at survivalgearsource.com.
[01:05:59.595 --> 01:06:00.115]  He stands for truth.
[01:06:00.135 --> 01:06:00.876]  He stands for justice.
[01:06:00.916 --> 01:06:02.517]  He stands for what's right.
[01:06:27.791 --> 01:06:37.538]  The reason we're interviewing author and filmmaker Jeffrey M. Smith is because he's probably one of the most
[01:06:58.317 --> 01:07:00.499]  Prominent, outspoken, but also conservative.
[01:07:01.580 --> 01:07:04.584]  And by conservative, it's far worse than even what he's saying.
[01:07:04.884 --> 01:07:08.828]  He only goes off what is absolutely documented.
[01:07:08.888 --> 01:07:11.531]  Researchers on genetically modified organisms in our food.
[01:07:11.831 --> 01:07:18.418]  Now again, this is not splicing two cherry trees or cross-pollinating to get a hybridization.
[01:07:18.738 --> 01:07:19.459]  That's natural.
[01:07:20.879 --> 01:07:28.283]  This is artificial mutation using insect genes, plant genes, mammal genes, all mixing them together.
[01:07:28.323 --> 01:07:31.005]  For some reason, the cockroach is one of their favorites.
[01:07:31.845 --> 01:07:35.827]  It's in a lot of potatoes, tomatoes, that you're eating on the store shelves.
[01:07:36.447 --> 01:07:38.889]  But the major food crops have been converted to this.
[01:07:39.609 --> 01:07:59.324]  Also, these GMO crops take over the naturally occurring, let's say it's GMO corn, it takes over and infects the natural of the hundreds of varieties, and most varieties, by the way, have been infected, and then cross-pollinates those through the hybridization process, using that natural process, and we've only covered a tiny area of this.
[01:07:59.344 --> 01:08:00.105]  To be specific,
[01:08:01.201 --> 01:08:11.824]  They take this fungus bacteria, they take it, they alter it, it's naturally occurring, but they make the plant grow the fungus in its own genetic makeup, so bugs won't eat it.
[01:08:11.884 --> 01:08:12.745]  If they do, they die.
[01:08:13.445 --> 01:08:26.469]  Then they say, oh, but that's safe for humans to eat, and then now in German studies that's been linked with the corn to the honeybees dying, because the honeybees, unlike other insects, will still eat it, and you know the honeybees aren't doing too hot.
[01:08:26.509 --> 01:08:28.850]  There's all these other areas to discuss,
[01:08:30.428 --> 01:08:35.012]  That's outside of just what we're eating, like Hong Kong for at least seven, eight years.
[01:08:35.052 --> 01:08:36.733]  You can pull this up in MSNBC.
[01:08:37.173 --> 01:08:39.215]  You can buy glowing rhesus monkeys.
[01:08:39.255 --> 01:08:42.878]  They glow in the dark because they have jellyfish genetics in their skin.
[01:08:43.838 --> 01:08:44.779]  And they can make them glow.
[01:08:45.179 --> 01:08:53.486]  They can make them glow bright blue in the dark, but it also changes other DNA in the monkey, and it's very, very dangerous, and it's jumping into other species.
[01:08:54.086 --> 01:08:56.027]  There's just a huge area to discuss here.
[01:08:56.488 --> 01:08:56.828]  All these
[01:08:58.832 --> 01:09:05.897]  Human-animal hybrids, where they're putting human genetics into other animals, so they can get body parts or heart valves out of them.
[01:09:06.237 --> 01:09:10.981]  I mean, this is science fiction, but we are 2008, and it is going on.
[01:09:11.461 --> 01:09:14.984]  And the FDA, the EPA do nothing, basically, to stop it.
[01:09:15.004 --> 01:09:17.786]  In fact, it's a revolving door, and that's what Jeffrey Smith covered.
[01:09:17.806 --> 01:09:20.728]  But the good news is, we'll talk about this later, the tipping point
[01:09:21.539 --> 01:09:35.329]  How we counter this, and the fact is that we can counter it, and we have had victories against it, but we need to have even more victories now because they're about to go from four, five, or six staple foods being altered to basically everything being altered.
[01:09:36.155 --> 01:09:37.636]  And a complete takeover.
[01:09:37.676 --> 01:09:43.440]  So, as bad as things are now, they're getting ready, the big three GMO companies, to shoot the moon, as they say.
[01:09:43.800 --> 01:09:54.286]  Okay, so Jeffrey, continuing with the discussion of, they tried to cover up the death of these sheep, saying it was pesticides, but then they weren't using those pesticides at these farms.
[01:09:54.706 --> 01:09:58.769]  Exactly, and I called in to try and, you know, get to the bottom of it.
[01:09:58.809 --> 01:10:05.213]  I spoke to that veterinarian who originally was in favor of the idea that it was the genetically engineered cotton that caused the deaths,
[01:10:05.854 --> 01:10:09.015]  And then she reversed her opinion and I said, uh, can I talk to you?
[01:10:09.035 --> 01:10:09.975]  She said, I can't talk to you.
[01:10:10.076 --> 01:10:11.236]  You have to speak to the director.
[01:10:11.256 --> 01:10:12.156]  So she had been gagged.
[01:10:12.696 --> 01:10:15.698]  So I called the director and I said, how come I can't speak to the veterinarian?
[01:10:16.018 --> 01:10:17.318]  He said, oh, no, no, you can speak to her.
[01:10:17.338 --> 01:10:17.838]  Call her back.
[01:10:18.338 --> 01:10:30.503]  So I called her back and I asked her a question and I hear the director's voice shouting the answer and him and then the veterinarian, a woman repeating every word for word, whatever he told her to say.
[01:10:31.763 --> 01:10:34.244]  So this is the way that they un-gagged the veterinarian.
[01:10:34.544 --> 01:10:37.965]  Now, there's a big thing going on in India.
[01:10:38.425 --> 01:10:47.368]  The Supreme Court stepped in and found that the Genetic Engineering Approval Committee was allowing things to be approved without going through the law.
[01:10:48.188 --> 01:10:49.749]  And they declared them, you know,
[01:10:50.583 --> 01:10:53.684]  It's illegal to start to put all these new products in the market.
[01:10:53.985 --> 01:10:56.986]  They assigned a scientist to investigate this committee.
[01:10:57.386 --> 01:11:01.008]  The scientists found evidence of fraudulent conclusions.
[01:11:01.068 --> 01:11:07.971]  The GEAC, the committee, said, oh no, no, the sheep deaths were due to something else and that's what the study shows.
[01:11:08.031 --> 01:11:15.415]  Well, this independent investigator, a top scientist in India, looked at supposedly their proof and said actually it was never studied.
[01:11:15.675 --> 01:11:17.115]  There wasn't an investigation.
[01:11:17.396 --> 01:11:18.216]  It was a cover-up.
[01:11:18.656 --> 01:11:27.445]  And so now, this committee is trying to defame this investigator, claiming that he is false and he is wrong, and trying to get him kicked out.
[01:11:27.525 --> 01:11:34.212]  But that happened in 96 in England, when the government's own top researcher, who was pro-GMO, found out that it was herding the rats
[01:11:35.573 --> 01:11:37.754]  And then all these years later it's been proven he was right.
[01:11:37.794 --> 01:11:57.204]  Let's talk about, because the average folks in the West are so decadent they don't care about Indians, let's talk about specifically what we know about sterilization, what we know about sperm counts, what we know about the GMO food, these cross-species hybrids that we're eating here in the United States and Europe.
[01:11:57.484 --> 01:11:58.204]  What is it doing?
[01:11:58.264 --> 01:12:00.045]  What do we know that it's been doing?
[01:12:00.485 --> 01:12:02.706]  Alright, we've got two levels of knowledge.
[01:12:03.006 --> 01:12:07.727]  We've got laboratory research and we have reports from farmers.
[01:12:08.287 --> 01:12:10.287]  Let's start with the farmers and get through that quickly.
[01:12:10.467 --> 01:12:19.849]  I've spoken to a number of farmers in Iowa who say that when their pigs or cows ate certain varieties of genetically modified corn, they couldn't get pregnant.
[01:12:20.330 --> 01:12:23.550]  And when they switched to the non-GM corn, they got pregnant.
[01:12:23.630 --> 01:12:26.231]  And when they switched back to that GM corn, they couldn't get pregnant.
[01:12:26.878 --> 01:12:38.867]  In India, I know we're visiting India again, there was also a problem with sterility and premature deliveries and problems among the offspring and deaths among the offspring.
[01:12:39.187 --> 01:12:40.528]  Now let's look at laboratories.
[01:12:41.448 --> 01:12:45.051]  If you look at rats, these were studied in Russia.
[01:12:45.511 --> 01:12:53.637]  They fed rats, female rats, genetically engineered soy, the same soy that's grown on 91% of the soy acreage in the United States.
[01:12:54.252 --> 01:13:01.075]  And then they got them pregnant, and they continued to feed them soy, and about 56% of their offspring died within three weeks.
[01:13:01.335 --> 01:13:02.775]  No, that's what we're reading.
[01:13:03.335 --> 01:13:08.677]  Yeah, compared to only about 10% whose mothers ate non-genetically engineered food.
[01:13:08.777 --> 01:13:16.020]  So we have an 80% increase in death, and that's what we're reading, and of course they study rats because they're most similar in their metabolic system to humans.
[01:13:16.824 --> 01:13:25.009]  And the offspring from the GM group, they were smaller on average, and when they tried to mate the offspring together, they were sterile.
[01:13:25.029 --> 01:13:25.910]  They couldn't conceive.
[01:13:27.551 --> 01:13:39.638]  Now, the other thing, they gave genetically engineered soybeans to male rats, and they changed the color of their testicles, and it changed the structure of the cells within the testicles.
[01:13:40.450 --> 01:13:48.102]  Now, this woman, Irina Rybakova, had done this study three times, small study, very few rats, and ran out of money.
[01:13:49.156 --> 01:13:58.679]  And also what happened was the rat chow that was being used to feed all of the housed rats at the facility switched to become GM soy based.
[01:13:58.699 --> 01:14:03.880]  So she couldn't do any more studies at that point because now all of the rats at the facility were eating GM soy.
[01:14:04.040 --> 01:14:06.001]  But when she complained, tell them what they told her.
[01:14:06.021 --> 01:14:07.581]  Don't worry, we've got to get rid of the people.
[01:14:07.701 --> 01:14:08.521]  Exactly, exactly.
[01:14:08.761 --> 01:14:09.302]  Well, I'll get there.
[01:14:09.342 --> 01:14:10.022]  Give me a beat first.
[01:14:10.902 --> 01:14:22.346]  So what happened was, she couldn't do any more studies, but within two months, the infant mortality rate among all of the rats in the facility that others were studying had gone up to 56.3%.
[01:14:22.906 --> 01:14:24.487]  Now, the other thing is this.
[01:14:25.007 --> 01:14:27.188]  She was told she couldn't do any more studies.
[01:14:27.228 --> 01:14:30.789]  We were sitting together at the European Parliament after giving a presentation there, and she said,
[01:14:31.289 --> 01:14:33.050]  Documents were burnt on her desk.
[01:14:33.190 --> 01:14:34.410]  Samples were stolen.
[01:14:34.470 --> 01:14:39.813]  She was told by her director that his director was being pressured so she couldn't do any more GM research.
[01:14:40.093 --> 01:14:46.936]  She was finally told, you can only do research on genetic engineering if you sign this contract which says you can't talk about your results for three years.
[01:14:47.336 --> 01:14:48.917]  We can replace any of your colleagues.
[01:14:49.137 --> 01:14:50.618]  It was completely draconian.
[01:14:50.678 --> 01:14:52.359]  In other words, basically trying to shut her up.
[01:14:52.699 --> 01:14:53.399]  She couldn't sign it.
[01:14:53.639 --> 01:14:55.140]  So a colleague of hers
[01:14:55.540 --> 01:14:55.760]  Oh.
[01:15:08.908 --> 01:15:10.909]  We have some additional evidence from other studies.
[01:15:11.409 --> 01:15:27.895]  We have an Italian research group that fed rats genetically, mice genetically engineered soy, the same soy, looked at the testicles of the male mice and found that there was changes or damage in their sperm cells, young sperm cells in the testicles in general.
[01:15:28.375 --> 01:15:36.938]  Then they looked at the offspring when the parents were fed genetically engineered soy and found changes in the way that the DNA worked inside the embryo.
[01:15:38.158 --> 01:15:53.229]  Now, a study that came out in November from the Austrian government, they fed genetically engineered corn, this was corn that was both producing its own pesticide, and also like the soybean, engineered not to die when you spray herbicide on it.
[01:15:53.249 --> 01:15:58.272]  So it was called herbicide tolerant or roundup ready, meaning it could spray roundup on it and it wouldn't die.
[01:15:58.852 --> 01:16:01.074]  So they fed the corn to mice,
[01:16:01.883 --> 01:16:07.025]  And the mother mice gave birth for four different litters.
[01:16:07.225 --> 01:16:08.385]  Stay there, let's hear what happened.
[01:16:08.666 --> 01:16:11.827]  Before you throw away your used batteries, you need to listen to this.
[01:16:12.187 --> 01:16:13.908]  Now going green can save money.
[01:16:14.088 --> 01:16:19.450]  Go green and save money by giving life to your used batteries by charging them with the Renaissance Charger.
[01:16:19.650 --> 01:16:27.373]  The Renaissance Charger uses a new revolutionary battery charging technology that effectively extends the life of new batteries and gives new life to used batteries.
[01:16:27.693 --> 01:16:31.254]  Invented by legendary audio genius John Bedini, this unique and
[01:16:32.695 --> 01:16:45.386]  Renaissance Charge offers a full line of products made in the USA for all types and sizes of batteries.
[01:16:45.666 --> 01:16:50.891]  Find out why our customers tell us the Renaissance Charger is the only battery charger they will ever use.
[01:16:51.211 --> 01:16:51.932]  Save your money.
[01:16:52.332 --> 01:16:53.253]  Save the environment.
[01:16:53.613 --> 01:16:56.456]  Visit us online at r-charge.com.
[01:16:56.636 --> 01:16:58.718]  That's r-charge.com.
[01:16:58.858 --> 01:17:01.701]  Or call us at 989-637-4179.
[01:17:02.001 --> 01:17:05.265]  That's 989-637-4179.
[01:17:05.285 --> 01:17:08.067]  Be a part of the revolution today.
[01:17:08.448 --> 01:17:12.071]  When making important financial decisions, you should always know the facts.
[01:17:12.391 --> 01:17:15.895]  That's why Midas Resources is willing to pay you to read the facts.
[01:17:16.195 --> 01:17:25.017]  Midas Resources, a team of hand-picked financial specialists with decades of financial experience who are ready to provide you with state-of-the-art, up-to-date financial services.
[01:17:25.357 --> 01:17:29.298]  Midas Resources offers a host of services and stands behind their products.
[01:17:29.598 --> 01:17:34.379]  In fact, if you call and order their free Midas Report, Midas Resources will pay you.
[01:17:34.459 --> 01:17:39.800]  This detailed report will provide you with financial history on the safest and most profitable areas to invest in.
[01:17:40.080 --> 01:17:40.640]  I caught it!
[01:18:11.488 --> 01:18:14.189]  How would you like to save up to 90% on your phone bill?
[01:18:15.590 --> 01:18:18.011]  It can be done thanks to Empire One Telecom.
[01:18:18.591 --> 01:18:24.514]  EOT offers voice over IP technology that will allow you to make phone calls from your home or business without the high cost.
[01:18:25.294 --> 01:18:30.137]  Take advantage of EOT's most popular plan which includes unlimited long distance throughout the U.S.
[01:18:30.177 --> 01:18:34.299]  and Canada and 360 minutes of international calling for only $19.95 a month.
[01:18:40.384 --> 01:18:44.485]  Including call waiting, caller ID, and three-way calling free!
[01:18:44.906 --> 01:18:48.527]  Take your phone number on the road with you thanks to EOT's travel-friendly box.
[01:18:49.007 --> 01:18:53.148]  Simply plug your adapter into any internet connection and start making phone calls.
[01:18:53.548 --> 01:18:54.329]  It's that easy!
[01:18:54.949 --> 01:19:02.311]  So if you have a high-speed internet connection and are ready to dramatically lower your monthly phone bill, choose your plan now at EOTTech.com.
[01:19:02.712 --> 01:19:04.252]  That's EOTTech.com.
[01:19:04.932 --> 01:19:06.093]  EOTTech.com.
[01:19:08.726 --> 01:19:11.707]  So you've finally decided you're going to stock up and store food.
[01:19:12.027 --> 01:19:14.148]  But why settle for bland, tasteless food?
[01:19:14.589 --> 01:19:15.649]  Why settle for less?
[01:19:16.029 --> 01:19:17.290]  There is an alternative.
[01:19:17.650 --> 01:19:19.110]  InternetGrocer.net.
[01:19:19.391 --> 01:19:22.532]  Enjoy the most delicious, storable food at amazing prices.
[01:19:22.872 --> 01:19:26.474]  Enjoy creamy, delicious, real cheddar cheese in a can.
[01:19:26.774 --> 01:19:29.575]  Indulge in real canned meats and real canned butter.
[01:19:29.875 --> 01:19:36.663]  Storable meals from InternetGrocer.net will bring such variety and flavor you won't be able to tell you're actually eating storable food.
[01:19:36.863 --> 01:19:38.905]  You can purchase by the can or by the case.
[01:19:39.186 --> 01:19:41.889]  Choose a variety pack or an entire year's worth of food.
[01:19:42.149 --> 01:19:47.275]  InternetGrocer.net has non-hybrid seeds that will produce delicious food for you and your family.
[01:19:47.535 --> 01:19:49.157]  Ensure your food supply for years.
[01:19:49.557 --> 01:19:52.240]  Find out just how delicious storable food can be.
[01:19:52.480 --> 01:19:52.881]  Call 903-356-6443.
[01:19:52.901 --> 01:19:53.121]  That's 903-356-6443.
[01:19:53.161 --> 01:19:53.922]  Open from 9 a.m.
[01:19:53.962 --> 01:19:54.523]  to 6 p.m.
[01:19:54.583 --> 01:19:55.383]  Central Standard Time.
[01:19:55.403 --> 01:19:57.005]  Or shop online at internet-grocer.net.
[01:19:57.025 --> 01:19:58.447]  Again, that's internet-grocer.net.
[01:20:11.781 --> 01:20:14.143]  Are you tired of searching for Great Talk Radio?
[01:20:14.223 --> 01:20:15.244]  Well, search no more.
[01:20:15.284 --> 01:20:16.305]  We are the GCN Radio Network.
