[00:00:00.009 --> 00:00:01.789]  Thank you for listening to GCA.
[02:27:31.082 --> 02:27:31.982]  Mark, your take on that?
[02:27:33.363 --> 02:27:34.584]  Yeah, without a doubt.
[02:27:34.704 --> 02:27:37.666]  It's all a question of, you know, just mobilizing the masses.
[02:27:37.746 --> 02:27:42.569]  I think a lot of people fall into a defeatist attitude of, you know, what can I do?
[02:27:42.589 --> 02:27:44.310]  How can I make a difference?
[02:27:44.390 --> 02:27:45.471]  I'm only one person.
[02:27:46.576 --> 02:27:55.965]  Well, just by signing that petition, just by signing your name on that piece of paper, you are, in effect, saying, look, I don't believe in what the government is telling me.
[02:27:55.985 --> 02:27:59.829]  I don't believe the lies that I'm being told in corporate media.
[02:27:59.989 --> 02:28:02.852]  You know, I demand a new investigation.
[02:28:02.872 --> 02:28:06.696]  This is one way for people to have their voice heard, people who otherwise
[02:28:07.376 --> 02:28:08.396]  Might feel powerless.
[02:28:09.357 --> 02:28:11.017]  There's a lot of people in New York City.
[02:28:11.257 --> 02:28:15.718]  If a lot of them mobilize, it might be surprising what could actually happen.
[02:28:15.898 --> 02:28:24.220]  But, you know, I urge listeners of your show who either live in New York City or have family or friends there to let them know about this.
[02:28:24.960 --> 02:28:35.343]  They can look it up on www.nyc911initiative.org and find out anything they would like to about this movement.
[02:28:35.523 --> 02:28:36.463]  But I think that
[02:28:37.535 --> 02:28:43.462]  You know, right now it's moving along very nicely, and should it succeed in any degree, it'll be a big step forward.
[02:28:43.502 --> 02:28:44.904]  It really could be a brand, bro.
[02:28:45.104 --> 02:28:49.890]  And a lot of people have this loser mentality of, oh, it'll never be corruption, oh, there's no point.
[02:28:50.350 --> 02:28:52.353]  Ladies and gentlemen, we don't have a choice, number one.
[02:28:52.373 --> 02:28:54.115]  Number two, we're actually having an effect.
[02:28:54.615 --> 02:28:57.656]  The majority of Americans in major polls believe there's a 9-11 cover-up.
[02:28:57.676 --> 02:28:58.736]  There's hundreds of these polls.
[02:28:59.176 --> 02:29:00.456]  We're having an effect.
[02:29:00.476 --> 02:29:08.018]  Look how far we've come from myself, two months before the attack, saying I think they're going to attack the World Trade Center and blame it on their asset bin Laden.
[02:29:08.118 --> 02:29:10.958]  Because I saw them preparing the public, introducing bin Laden.
[02:29:10.998 --> 02:29:12.039]  I knew their past history.
[02:29:12.359 --> 02:29:19.040]  I knew the FBI had cooked the bomb, framed the driver, given them the detonators, blocked local police in 93 with the first attack.
[02:29:20.060 --> 02:29:23.001]  I mean, again, look how far we've come from 9-11 that first day.
[02:29:23.521 --> 02:29:30.963]  Look how far we've come, thanks to people like Mark Sipnosky, Willie Nelson, Governor Ventura, Stephen Jones.
[02:29:31.803 --> 02:29:34.743]  Now, I'm going to skip this break for InfoWars.com.
[02:29:35.224 --> 02:29:36.164]  We'll be back in three minutes.
[02:29:36.284 --> 02:29:41.825]  I don't want to waste any time that we've got with Mark Sipnosky today, but Mark, that NIST report,
[02:29:42.617 --> 02:29:43.880]  They delayed it three years.
[02:29:43.900 --> 02:29:48.450]  The people on the government NISH board are involved in explosive thermite research.
[02:29:48.470 --> 02:29:49.211]  They're experts.
[02:29:49.552 --> 02:29:51.156]  They're involved in government contracts.
[02:29:51.637 --> 02:29:52.719]  And then they had to
[02:29:54.049 --> 02:29:54.850]  Uh, pull back.
[02:29:55.090 --> 02:30:01.073]  They had to, uh, say, okay, our last five reasons for the towers falling and Building 7 falling are wrong.
[02:30:01.514 --> 02:30:02.754]  It's not fuel oil tank.
[02:30:02.814 --> 02:30:04.695]  It's not bad building construction.
[02:30:05.056 --> 02:30:06.056]  It's not fires.
[02:30:06.136 --> 02:30:07.697]  It's not... No, no.
[02:30:08.077 --> 02:30:12.280]  They gave a new reason, a new syndrome, a new phenomenon.
[02:30:12.540 --> 02:30:14.982]  We're going to cover that right now with Mark Stavnoski.
[02:30:15.002 --> 02:30:15.482]  Stay with us.
[02:30:20.521 --> 02:30:23.508]  We're on the march, the empire's on the run.
[02:30:24.451 --> 02:30:27.117]  Alex Jones and the GCN Radio Network.
[02:30:31.288 --> 02:30:33.449]  Holidays are right around the corner.
[02:30:33.489 --> 02:30:40.731]  The crowds, the countless hours in traffic, finding a parking spot just to buy a gift you're worried they might not like anyway.
[02:30:41.011 --> 02:30:45.772]  How about surprising your loved ones with a gift they can use every day of the year?
[02:30:46.072 --> 02:30:50.313]  Give the gift of safety with security products from Pepperspray.com.
[02:30:50.473 --> 02:30:56.535]  Pepperspray.com carries the largest assortment of pepper spray and other personal safety devices on the web.
[02:30:56.795 --> 02:30:59.958]  For your spouse, your children, your co-workers, and more!
[02:31:00.218 --> 02:31:07.944]  When you purchase the perfect gift from Pepperspray.com, you'll receive 10% off just by using the coupon code GCN.
[02:31:08.305 --> 02:31:14.650]  What better way to say Merry Christmas than giving the priceless gift of safety and security from Pepperspray.com?
[02:31:14.670 --> 02:31:15.171]  Shop now!
[02:31:15.691 --> 02:31:16.111]  That's 1-800-908-9988.
[02:31:16.151 --> 02:31:19.095]  Pepperspray.com wishes you and yours a safe and happy holiday season!
[02:31:36.175 --> 02:31:37.536]  That's an inside job!
[02:31:37.596 --> 02:31:38.716]  Do you like being a puppet, sir?
[02:31:38.736 --> 02:31:40.357]  Do you like being a puppet for the New World Order?
[02:31:40.457 --> 02:31:42.638]  How do the American people know that 9-11 was a state?
[02:31:42.698 --> 02:31:48.340]  It wasn't engineered by you, David Rockefeller, the Trilateral Commission, the CFR, or you and me?
[02:31:48.380 --> 02:31:49.041]  Sit down.
[02:31:49.081 --> 02:31:49.621]  Shut up.
[02:31:49.641 --> 02:31:56.604]  The day that we stop asking questions is the day that we have allowed the seeds of despotism to grow at our own door.
[02:31:56.624 --> 02:32:01.346]  Seven years after the attacks of September 11th, a global awakening has taken place.
[02:32:09.384 --> 02:32:12.785]  If you know that there's treason going on, you can be held accountable for treason yourself.
[02:32:12.945 --> 02:32:15.066]  All hell is breaking loose on 6th Avenue.
[02:32:15.106 --> 02:32:22.107]  And if the government has not told the truth in 5 years, we will be here on the 10th anniversary of... Truth Rising.
[02:32:22.127 --> 02:32:24.728]  Download the film at PrisonPlanet.tv right now.
[02:32:25.028 --> 02:32:27.028]  Or get the DVD at Infowars.com.
[02:32:27.268 --> 02:32:29.749]  It's now time to take the revolution to the next level.
[02:32:30.835 --> 02:32:32.977]  Break the law and you're caught on film.
[02:32:33.497 --> 02:32:38.081]  Practically impossible for police to spot plates that have been treated with a reflective spray.
[02:32:38.542 --> 02:32:40.423]  The reflection blinded our camera.
[02:32:40.483 --> 02:32:41.684]  We are under the microscope.
[02:32:41.804 --> 02:32:45.667]  Red light cameras and speed cameras are in place to make money, not for your safety.
[02:32:45.828 --> 02:32:49.230]  But you don't have to be defenseless against these unconstitutional devices.
[02:32:49.470 --> 02:32:52.653]  Have a fighting chance with SprayYourPlate.com's Photoblocker.
[02:32:52.733 --> 02:32:53.734]  When properly applied,
[02:32:53.894 --> 02:32:58.695]  This revolutionary product has proven itself to be the most effective device available against traffic cameras.
[02:32:58.955 --> 02:33:04.157]  Invisible to the naked eye, your license plate, when flashed, will be overexposed and unreadable to the cameras.
[02:33:04.397 --> 02:33:04.977]  Save your money!
[02:33:05.137 --> 02:33:06.757]  Go to SprayYourPlate.com.
[02:33:06.897 --> 02:33:08.638]  That's SprayYourPlate.com.
[02:33:08.818 --> 02:33:13.879]  And check out the newscast showing the Photoblocker in action, proving that the SprayYourPlate's Photoblocker works against
[02:33:13.899 --> 02:33:14.239]  That's right.
[02:33:38.338 --> 02:33:55.162]  We're bringing up the NIST report, and how they've had to change how physics works, and so a lot of scientists and physicists and architects that weren't involved and didn't believe it was an inside job are now looking, going, you're saying jet fuel made 2600 degree pockets of stuff five weeks later?
[02:33:55.702 --> 02:33:56.882]  Thousands of degrees hotter?
[02:33:56.902 --> 02:34:04.844]  I mean, NIST coming out and saying, now small fires bring down steel buildings, is changing everything.
[02:34:05.104 --> 02:34:05.784]  Mark, continue.
[02:34:07.017 --> 02:34:14.921]  Yeah, I mean, this coincides with the Bush administration's technique from day one.
[02:34:14.981 --> 02:34:22.485]  They have actively sought to discredit science and to really argue with scientific belief.
[02:34:22.505 --> 02:34:34.311]  You know, it doesn't matter whether it's the EPA, the FDA, whatever it is, you know, there's been active warfare on the part of the Bush administration against science.
[02:34:35.103 --> 02:34:38.125]  And this is another clear-cut example of that.
[02:34:38.146 --> 02:34:39.226]  Well, it's like marijuana.
[02:34:39.366 --> 02:34:41.328]  They know marijuana doesn't kill one person a year.
[02:34:41.628 --> 02:34:50.895]  It's a miracle drug with thousands of patented real things it does for cancer, glaucoma, but they're still SWAT teaming people every day where I live looking for marijuana.
[02:34:52.016 --> 02:34:52.737]  Absolutely.
[02:34:52.777 --> 02:34:53.858]  No matter how much
[02:34:54.893 --> 02:34:55.833]  I don't know.
[02:34:55.853 --> 02:34:57.594]  I don't know.
[02:35:15.592 --> 02:35:22.594]  But again, you know, corporate media, the Republican or Democratic Party, they'll just write it off with propaganda.
[02:35:22.674 --> 02:35:24.435]  But that is starting... I'm sorry, go ahead.
[02:35:25.595 --> 02:35:38.539]  I'm sorry, but that is what we are seeing right now, which is another, by this NIST report, trying to come out and explain why something that's never happened before did happen, namely three steel buildings collapsing because of a fire in one day.
[02:35:39.099 --> 02:35:41.521]  They do have to stretch the realms of reality.
[02:35:41.541 --> 02:35:47.246]  You know, they do have to contradict science and offer an alternative view, which is completely bogus.
[02:35:47.686 --> 02:36:02.658]  Which is why I'm glad to see that people with, uh, people who are experts, people, you know, whose backgrounds are in this field are coming forward and saying, look, you guys are just straining any credibility you have here to the breaking point.
[02:36:02.718 --> 02:36:03.899]  We can't accept this.
[02:36:04.079 --> 02:36:04.820]  The only thing is,
[02:36:05.603 --> 02:36:11.546]  You know, these are things that are coming out in scientific journals and academic papers that are peer-reviewed.
[02:36:11.566 --> 02:36:15.708]  These are not things that appear on the evening news or are going to be on a front-page headline.
[02:36:15.728 --> 02:36:16.788]  You know, that's a great point.
[02:36:17.428 --> 02:36:18.309]  First, they said...
[02:36:19.594 --> 02:36:22.335]  Like, three or four years ago, oh, let's see some studies.
[02:36:22.395 --> 02:36:23.255]  And then they did studies.
[02:36:23.295 --> 02:36:24.355]  Let's see them be peer-reviewed.
[02:36:24.375 --> 02:36:33.818]  Then a couple of them get peer-reviewed by major, major peer-reviewed, I mean, not just side journals, big marquee, you know, Super Bowl-level journals.
[02:36:33.838 --> 02:36:34.898]  We're talking the big ones.
[02:36:35.218 --> 02:36:36.379]  You know, the most prestigious.
[02:36:36.739 --> 02:36:38.479]  And then they try to write that off.
[02:36:38.579 --> 02:36:44.081]  I mean, we keep clearing every hurdle, Mark, and the other side is just looking stupider and stupider.
[02:36:45.043 --> 02:36:50.348]  And I believe that NIST itself is part of the executive branch, correct?
[02:36:50.408 --> 02:36:50.988]  Yes, yes.
[02:36:51.709 --> 02:37:11.125]  So there we see another example, you know, just like the Office of National Drug Control Policy is part of the executive branch, and they are the ones who constantly spew forth misinformation about the drug war, we have NIST, which is also an executive branch administration, you know, leading the charge about the lies regarding 9-11.
[02:37:13.081 --> 02:37:17.245]  Well, like you said though, more and more people are tuning out of mainstream media.
[02:37:17.366 --> 02:37:28.517]  It's exponential, and instead of them reporting some of the truth or trying to act more credible, it seems like they're getting more shrill, more cartoonish, more ridiculous, piling lie on top of lie.
[02:37:29.098 --> 02:37:32.001]  I don't know what the tactic is there, but it doesn't seem to be working, Mark.
[02:37:32.962 --> 02:37:39.288]  Well, it reminds me of the old quote about, and I can't remember who said it, but it's just the old quote about truth coming out, you know.
[02:37:39.809 --> 02:37:50.900]  First, when you are a truth teller, you know, in this age of universal deceit that we live in, where those of us are trying to commit a revolutionary act by telling the truth,
[02:37:51.640 --> 02:37:56.063]  You know, it becomes evident that we will be attacked.
[02:37:56.763 --> 02:37:58.624]  That's the first method.
[02:37:59.805 --> 02:38:05.388]  Actually, the first method is to be written off and ridiculed, and that was the case early on after September 11th.
[02:38:05.429 --> 02:38:09.931]  We were all pigeon-holed as conspiracy theorists and we were out of our minds, so that was the ridicule.
[02:38:10.371 --> 02:38:14.114]  Then you had the vicious attacks, and now it's becoming obvious that
[02:38:15.040 --> 02:38:19.481]  You know, the 9-11 truth movement is based on truth and facts and evidence.
[02:38:19.901 --> 02:38:23.522]  We are being maliciously attacked.
[02:38:23.722 --> 02:38:32.024]  Yes, and that's... You know, I just want to follow up by, again, with that famous quotation, the third stage of the truth being accepted is that people will accept it.
[02:38:32.884 --> 02:38:34.864]  So I think now we are in the second stage.
[02:38:34.884 --> 02:38:37.585]  You know, those first few years we were attacked and vilified.
[02:38:38.205 --> 02:38:40.085]  I'm sorry, we were ridiculed.
[02:38:40.386 --> 02:38:42.266]  Now we are being attacked and vilified.
[02:38:43.146 --> 02:38:59.075]  Hopefully we are coming close to that third stage where there will be mass acceptance of this truth and people won't be afraid to put aside their cognitive dissonance and step out and accept this new paradigm of reality that we all have to see around us.
[02:38:59.555 --> 02:39:00.516]  Oh, beautifully put.
[02:39:00.596 --> 02:39:16.886]  And that's really, I don't blame a lot of people who don't want to look at the facts, because every night when I go to bed, I look at how innocent my children are, I look at how good my wife is, and I just think, God, there are really evil people in this world, and they really are in control, and I've really gotten their face, and man, I've been threatened, and this is dangerous.
[02:39:17.366 --> 02:39:20.368]  Then I realize, you know, I just can't let the world go on like this.
[02:39:20.428 --> 02:39:23.250]  I've got to do my job, whether it has an effect or not.
[02:39:23.290 --> 02:39:28.593]  But the truth is, when good people do get involved, I believe, as Thomas Jefferson said, that we can overturn evil.
[02:39:29.033 --> 02:39:29.974]  Evil only wins.
[02:39:31.514 --> 02:39:32.495]  Men and women do nothing.
[02:39:33.255 --> 02:39:33.755]  And you're right.
[02:39:33.835 --> 02:39:36.977]  First they ignore you, then they attack you, then you win.
[02:39:37.477 --> 02:39:39.919]  And that's basically what's happening now.
[02:39:40.039 --> 02:39:45.461]  And there's another quote I'm butchering, paraphrasing, but truth goes through three stages.
[02:39:46.002 --> 02:39:52.025]  First it's laughed at, then it's ridiculed, then it's accepted as universally true.
[02:39:52.685 --> 02:39:56.427]  And people who said the world was round were laughed at, and now we know it's round, Mark.
[02:39:57.605 --> 02:40:03.246]  Well, yeah, and just, you know, for me personally, you know, again, I think we should all just do what we can.
[02:40:03.366 --> 02:40:09.408]  You know, different people have different amounts of time, different resources, be they financial or whatever.
[02:40:10.288 --> 02:40:14.969]  But I just felt, personally, as an American citizen, it was my duty to speak out.
[02:40:15.069 --> 02:40:21.270]  You know, I was asked to do a newspaper article for my hometown.
[02:40:22.188 --> 02:40:25.150]  And it was just one of those deals, where are they now?
[02:40:25.270 --> 02:40:27.151]  What are they doing now that they're retired?
[02:40:27.691 --> 02:40:34.475]  And I just, again, I felt compelled to at least let people in Erie, Pennsylvania, my hometown, who read the paper,
[02:40:35.399 --> 02:40:45.890]  No, that somebody who came from there doesn't believe in the official story of 9-11 and wholeheartedly believes that they too should seek out the truth for themselves.
[02:40:46.290 --> 02:40:55.400]  What type of response, I know overwhelmingly it was positive, but what type of negative responses did you get and what was it like with your moral courage to go through that and not recant?
[02:40:57.522 --> 02:41:00.847]  Well, you know, the reaction overwhelmingly was positive.
[02:41:00.887 --> 02:41:08.578]  I mean, I don't spend a lot of time in my hometown anymore, and I know that there were people who wrote in letters saying, you know, what's wrong with this guy?
[02:41:08.638 --> 02:41:10.261]  He's way out in that field.
[02:41:10.942 --> 02:41:23.886]  But like we discussed earlier, now that we are coming up on eight years after the fact, people are coming, I'm sorry, seven years after the fact, people are becoming aware of what actually happened that day.
[02:41:23.966 --> 02:41:28.187]  You know, the initial shock value of that psychological operation is wearing off.
[02:41:28.227 --> 02:41:30.928]  People are getting a chance to see what really went on behind the scenes.
[02:41:31.968 --> 02:41:35.809]  So I didn't really suffer much fallout at all.
[02:41:36.629 --> 02:41:37.630]  You know, it was just, again,
[02:41:39.210 --> 02:41:44.733]  Regardless of how many people might write in, there's always going to be a few, you know, who will just personally attack you.
[02:41:44.753 --> 02:41:47.455]  I experienced the same thing when I spoke out against marijuana laws.
[02:41:47.995 --> 02:41:55.439]  You know, you have people saying that you're not a good role model, you know, that you're a proponent of drug use and everything else.
[02:41:55.680 --> 02:42:05.965]  Yeah, but you go to a football game and there's liquor ads everywhere, which no doubt is bad for you, but then, you know, these guys with a whiskey bottle, how dare you be with that marijuana?
[02:42:07.382 --> 02:42:14.564]  Yeah, again, people have blinders on with certain respect to the war on drugs, just like they do with 9-11.
[02:42:15.204 --> 02:42:29.789]  So I just wanted to, again, for people in my hometown who might know who I am or what I stand for, at least they might know enough about me to know that I'm not just some guy spouting off, that I might be a guy who actually does have educated opinions.
[02:42:34.734 --> 02:42:35.255]  Absolutely.
[02:42:35.295 --> 02:42:37.156]  Let's take some calls for Mark Stepnoski.
[02:42:37.477 --> 02:42:42.001]  Mark, before we do that in the last 15 or 16 minutes, any other points you wanted to add?
[02:42:42.081 --> 02:42:43.502]  Anything else you wanted to point out?
[02:42:43.522 --> 02:42:51.369]  I would just like to tell people that they should make a personal commitment in their life to continue to educate themselves on these issues.
[02:42:51.389 --> 02:42:52.751]  You know, the easiest thing in the world
[02:42:53.371 --> 02:42:59.093]  It's just a pigeonhole something and write it off, put a label on it and say, I don't have to look into it any further.
[02:42:59.353 --> 02:43:04.255]  You know, they'll just categorize it as something they don't want to know and then just move on.
[02:43:04.295 --> 02:43:05.596]  That's the easiest thing to do.
[02:43:05.716 --> 02:43:08.397]  And I say intellectually, that's a lazy thing to do.
[02:43:09.097 --> 02:43:11.881]  I think people should take it upon themselves to have the initiative.
[02:43:12.281 --> 02:43:18.569]  If you're going to disprove something, if you're going to write it off, at least look into it and have an educated opinion about it.
[02:43:20.532 --> 02:43:25.238]  I know there's a lot of nonsense out there regarding any topic, including 9-11.
[02:43:27.981 --> 02:43:33.907]  I would just tell people to look into anything they can, like some of the things I mentioned earlier.
[02:43:33.947 --> 02:43:38.030]  Scholars from 9-11 Truth, any 9-11 Truth chapter.
[02:43:38.251 --> 02:43:42.595]  Cities all over North America have their own separate 9-11 Truth factor.
[02:43:42.615 --> 02:43:46.819]  We have a great one here in Toronto, Vancouver, British Columbia.
[02:43:47.479 --> 02:43:51.202]  As well as Toronto and Ottawa, across Canada, just like in the States.
[02:43:51.763 --> 02:43:53.584]  I need to send you Truth Rising.
[02:43:53.764 --> 02:43:55.726]  We've got Canadian, U.S.
[02:43:55.746 --> 02:43:56.406]  9-11 Truth.
[02:43:56.446 --> 02:43:57.907]  We are changed, just exploding.
[02:43:58.568 --> 02:43:59.769]  That new film just came out.
[02:44:00.469 --> 02:44:01.650]  I know you've seen Terror Storm.
[02:44:01.690 --> 02:44:02.531]  What did you think of that film?
[02:44:03.519 --> 02:44:04.820]  I thought it was outstanding.
[02:44:05.281 --> 02:44:07.403]  There are a lot of great movies out right now.
[02:44:07.443 --> 02:44:18.092]  There's a current one people can watch on YouTube called Shadowplay, which is an excellent synopsis of the 9-11 false flag terror attack.
[02:44:18.152 --> 02:44:23.157]  It's a film that's coming out in segments, and they can watch those on YouTube.
[02:44:23.197 --> 02:44:28.862]  That's an excellent education for anybody who wants to kind of get a crash course on this subject.
[02:44:29.122 --> 02:44:32.607]  Well, and remember folks, the evil people that did this are still there.
[02:44:32.767 --> 02:44:34.229]  And I wish they were in a cave.
[02:44:34.530 --> 02:44:37.073]  That's a lot less scary than knowing they're in control of our government.
[02:44:39.273 --> 02:44:40.273]  No question about it.
[02:44:40.333 --> 02:44:46.475]  I mean, we see now in a Dutch newspaper talk of an attack on Iran as imminent.
[02:44:48.856 --> 02:44:56.097]  I'm so glad to see that you're at the Democratic National Convention, because people seem to think that if we get a Democrat in office, there's going to be big changes.
[02:44:56.157 --> 02:45:01.679]  But the Democratic Congress has already signed off on a preemptive nuclear attack against Iran.
[02:45:02.359 --> 02:45:02.880]  Absolutely.
[02:45:03.360 --> 02:45:09.364]  I don't know how anybody can expect anything to the contrary should Democrats be in power.
[02:45:32.459 --> 02:45:39.621]  Hi Alex and Mark.
[02:45:39.901 --> 02:45:43.082]  I give you a lot of credit for what you're doing.
[02:45:43.122 --> 02:45:51.164]  I'm involved in a situation here now where I'm experiencing my friend and girlfriend of 12 years is being soft killed as we speak.
[02:45:51.824 --> 02:45:54.207]  She has a brother that's in the State Department.
[02:45:54.587 --> 02:45:57.790]  She gave him a copy of The Road to Tyranny in about 2002.
[02:45:58.491 --> 02:46:01.674]  And ever since then, her family's really been against us.
[02:46:02.235 --> 02:46:04.637]  She was an experimental guinea pig back in 1958.
[02:46:05.218 --> 02:46:06.659]  We had her thymus radiated.
[02:46:07.460 --> 02:46:11.985]  She's always had lifelong allergies and actually a victim of sexual abuse when she was a child.
[02:46:12.025 --> 02:46:13.867]  Her mother brought foster kids into the house.
[02:46:14.608 --> 02:46:21.931]  On July of this year, she finally found out that she had a lot of thyroid problems and a lot of hormone deficiencies causing some memory problems.
[02:46:22.792 --> 02:46:29.855]  About a month later, her brother came home from where he works in the State Department, coerced her into going to lunch with her.
[02:46:29.895 --> 02:46:30.795]  She never came home.
[02:46:30.855 --> 02:46:33.016]  What he did is told her he was going to get her to a doctor.
[02:46:33.036 --> 02:46:36.958]  The next day, he put her into the psychiatric ward up at Strong Memorial.
[02:46:38.078 --> 02:46:41.260]  Well, sir, you need to put the names, the emails, the facts.
[02:46:41.300 --> 02:46:42.500]  I need to confirm this happened.
[02:46:42.540 --> 02:46:43.921]  I believe you, but I need to confirm it.
[02:46:44.261 --> 02:46:46.222]  That's big news, so let me stop you.
[02:46:46.522 --> 02:46:53.324]  So because she was a 9-11 truther, she's been stuck in a mental ward, and we're starting to see this happen like the old Soviet Union.
[02:46:53.624 --> 02:46:59.987]  I'm going to get your name and number off air, and then we'll have you on as a guest if I can see some documents and confirm this.
[02:47:00.407 --> 02:47:13.496]  But we have seen calls, it's in the new film Truth Rising, all the major cable channels saying, kill Alex Jones, put them in FEMA camps, they're terrorists, Taser 9-11 truthers, send them to Gitmo, and they're serious.
[02:47:14.377 --> 02:47:16.839]  Mark Sipnosky, I mean, they're getting scared of us now.
[02:47:18.120 --> 02:47:19.000]  Yeah, no question.
[02:47:19.040 --> 02:47:20.842]  You'll see it across the board.
[02:47:21.082 --> 02:47:26.226]  Yeah, you know, whether it's Geraldo Rivera or Bill Maher or any of these guys who
[02:47:27.378 --> 02:47:40.369]  You are in a position where they have a show on corporate media and the only way they're going to continue to maintain their show is to spout the lies of the current administration, you know, the corporate party line.
[02:47:44.477 --> 02:47:53.640]  Yeah, well, again, you know, it's, uh... I think Sinclair Lewis said, when fascism comes to America, it'll be wrapped in the flag and carrying a cross.
[02:47:54.120 --> 02:47:56.001]  Yep, that's what Ron Paul said and got in trouble.
[02:47:56.041 --> 02:47:57.441]  He's not saying Christians are bad.
[02:47:57.721 --> 02:47:59.602]  He's saying evil people will use that.
[02:48:00.382 --> 02:48:04.824]  Yeah, I mean, if that's not what we're seeing right now, I don't know what we're seeing.
[02:48:04.884 --> 02:48:10.766]  Because, you know, we are looking at, again, the corporate ownership of both political parties.
[02:48:12.353 --> 02:48:14.634]  Again, wrapped in a flag, carrying a cross.
[02:48:16.916 --> 02:48:26.401]  In defense of religion and freedom, they are trying to ramrod a whole system of laws through that is to the detriment of everybody.
[02:48:26.501 --> 02:48:28.742]  You got it, and it has nothing to do with Christianity.
[02:48:28.903 --> 02:48:31.584]  Adam in Texas, you're on the air with Mark Sipnosky, go ahead.
[02:48:31.604 --> 02:48:34.126]  Hey Mark, it's great to talk to you.
[02:48:35.496 --> 02:48:38.961]  I watched you through your career and some of the finest football I've ever seen.
[02:48:38.981 --> 02:48:41.984]  I was wondering if you caught Alex up there.
[02:48:43.146 --> 02:48:50.467]  Behind the MSNBC counter, and I wonder if you've met anybody more tenacious and more wonderful than Alex Jones.
[02:48:50.648 --> 02:48:51.508]  Oh, come on.
[02:48:51.528 --> 02:48:53.348]  Sounds like a setup call.
[02:48:53.948 --> 02:48:54.708]  It's not.
[02:48:55.448 --> 02:49:03.410]  I did see the clip online where T-Boom Pickens was being interviewed on MSNBC in the background.
[02:49:03.550 --> 02:49:05.711]  That was Minneapolis 9-11 Truth.
[02:49:05.751 --> 02:49:07.751]  We took over for three hours at the DNC.
[02:49:09.387 --> 02:49:10.688]  I think that's outstanding.
[02:49:10.728 --> 02:49:25.574]  I think, again, like we saw with Geraldo Rivera and like we saw with Bill Maher, there's going to have to continue, and we are change people who do it everywhere, there has to continue to be a breakthrough into mainstream media of 9-11 truth.
[02:49:26.634 --> 02:49:32.337]  Again, it's become obvious that we're not going to have a top-down solution to this problem.
[02:49:32.457 --> 02:49:34.838]  You know, the censorship is coming from top-down.
[02:49:34.918 --> 02:49:35.758]  It's going to be bottom-up.
[02:49:36.483 --> 02:49:37.064]  Exactly.
[02:49:37.104 --> 02:49:41.527]  It's going to have to be grassroots, and that's the beauty of the 9-11 Truth Movement.
[02:49:41.727 --> 02:49:44.629]  You know, people, it's a grassroots movement.
[02:49:44.749 --> 02:49:52.354]  People don't have to rely on anything else other than their fellow citizens who want to get to the bottom of this and find out the truth.
[02:49:52.454 --> 02:49:53.135]  Well, exactly.
[02:49:53.155 --> 02:49:54.395]  I have to use the football analogy.
[02:49:54.455 --> 02:49:54.996]  What's it called?
[02:49:55.036 --> 02:50:04.062]  What's the term, I'll dip my tongue, where the ball is moved by running, you know, just a foot at a time, a long battle down the whole field?
[02:50:04.622 --> 02:50:04.843]  Yes.
[02:50:06.118 --> 02:50:08.039]  Yeah, time of possession.
[02:50:08.200 --> 02:50:14.384]  You're going to eat up the clock.
[02:50:15.384 --> 02:50:16.986]  Ground war, whatever it's called.
[02:50:17.246 --> 02:50:17.886]  Yeah, exactly.
[02:50:18.347 --> 02:50:19.087]  That's what this is.
[02:50:19.107 --> 02:50:20.628]  We've gone like 80 yards.
[02:50:20.908 --> 02:50:22.069]  We've got 20 more to go.
[02:50:22.129 --> 02:50:23.190]  We've got a first down.
[02:50:23.390 --> 02:50:24.651]  We've had all these victories.
[02:50:25.571 --> 02:50:26.512]  Folks, we're winning.
[02:50:26.592 --> 02:50:27.633]  We can win this thing.
[02:50:29.171 --> 02:50:33.795]  Yeah, I think really people should again just concentrate on what they themselves can do.
[02:50:34.576 --> 02:50:36.077]  Don't feel powerless.
[02:50:36.218 --> 02:50:41.402]  Don't think like, you know, you have to accept these things even though you don't believe them.
[02:50:42.303 --> 02:50:47.468]  Every person has it in themselves to make a decision to do what is right.
[02:50:48.280 --> 02:50:48.820]  Absolutely.
[02:50:48.860 --> 02:50:49.661]  Let's take another call.
[02:50:49.701 --> 02:50:50.902]  I'm going to skip this break too.
[02:50:50.962 --> 02:50:55.785]  Just skip the music as well for the InfoWars.com listers and stations that choose to carry it.
[02:50:55.825 --> 02:50:56.545]  I'm skipping the break.
[02:50:57.326 --> 02:51:01.488]  Let's go ahead and talk to... Who's up next?
[02:51:01.528 --> 02:51:02.689]  Tim in North Carolina.
[02:51:02.709 --> 02:51:04.170]  You're on the air with Mark Stepnoski.
[02:51:05.811 --> 02:51:06.211]  Hey guys.
[02:51:06.571 --> 02:51:10.093]  I think it's interesting you came up with the football analogy there, Alex.
[02:51:10.534 --> 02:51:11.934]  That's exactly what I was thinking about.
[02:51:11.974 --> 02:51:14.736]  Mark, did you play defense?
[02:51:15.096 --> 02:51:15.937]  I played center.
[02:51:17.578 --> 02:51:17.718]  Hello?
[02:51:18.729 --> 02:51:19.870]  He played center.
[02:51:19.910 --> 02:51:21.071]  He was offensive lineman.
[02:51:21.732 --> 02:51:22.752]  Offensive lineman?
[02:51:22.993 --> 02:51:30.018]  Well, what I was thinking was, if you're playing defense, and that's what the 9-11 thing is all about, we're defending ourselves against those.
