[00:00:00.009 --> 00:00:01.070]  Okay, ladies and gentlemen.
[01:40:43.032 --> 01:40:47.974]  Hillary Clinton, when they were running together, it was about six or eight months ago.
[01:40:48.054 --> 01:40:49.195]  You mean running against each other?
[01:40:49.675 --> 01:40:59.640]  Yeah, when they took that drink, when they were all taking the drink, Hillary was like, whew, yeah, is this all I got to do to be president?
[01:41:00.540 --> 01:41:07.784]  And Barack Obama was like, if you look at the film footage, I mean,
[01:41:08.365 --> 01:41:11.166]  I'm sure you guys are a lot smarter than I can ever be.
[01:41:11.186 --> 01:41:11.646]  No, we're not.
[01:41:11.826 --> 01:41:13.386]  In fact, I don't know what you're talking about.
[01:41:13.406 --> 01:41:19.648]  When Barack Obama took that drink of wine, it barely touched his lips.
[01:41:20.208 --> 01:41:22.768]  I believe he is a closet Muslim.
[01:41:23.889 --> 01:41:24.749]  And he's just hiding.
[01:41:25.569 --> 01:41:32.670]  Hiding under... Isn't there something in the Koran about... Yeah, when you're in amongst the quote enemies, keep yourself at low... There you go.
[01:41:32.730 --> 01:41:33.711]  Listen, I appreciate your call.
[01:41:36.132 --> 01:41:37.092]  It doesn't matter.
[01:41:37.112 --> 01:41:38.553]  You know, we hear all this talk.
[01:41:38.953 --> 01:41:41.494]  He is bought and paid for by powerful corporate interest.
[01:41:41.854 --> 01:41:52.197]  The president is a puppet now under the COG system to say, you know, to get into him being a Muslim, to get into him not being a Muslim, to get into him this or that.
[01:41:52.717 --> 01:41:53.618]  It doesn't matter.
[01:41:53.678 --> 01:41:56.078]  He's bought and paid for by the global corporate interest.
[01:41:56.759 --> 01:41:59.279]  And, you know, to get involved, well, McCain's bad.
[01:41:59.299 --> 01:42:00.580]  We better vote for him because
[01:42:01.280 --> 01:42:02.981]  Because we can't trust Barack Obama.
[01:42:03.081 --> 01:42:04.022]  It doesn't matter.
[01:42:04.642 --> 01:42:11.406]  We have to stop being fooled into believing that these people aren't corporate stooges.
[01:42:11.606 --> 01:42:11.906]  Cindy?
[01:42:12.547 --> 01:42:13.908]  Well, I agree with you.
[01:42:13.988 --> 01:42:16.389]  It doesn't matter if Barack Obama is a Muslim or not.
[01:42:16.449 --> 01:42:28.857]  And if he is, he sure does a good job of hiding it or being in the closet, because he sure has been very vocal in support of Israel and taking down Muslim countries for Israel.
[01:42:29.827 --> 01:42:34.989]  You know, I think that even if he was a Muslim, it wouldn't have, you know, it wouldn't make that much difference.
[01:42:35.069 --> 01:42:36.710]  It's not supposed to make a difference.
[01:42:37.290 --> 01:42:45.654]  You know, I wish that we didn't hear about religion and politics, that we're not voting for the Pope of America, we're voting for the President of America.
[01:42:46.394 --> 01:42:53.017]  And it doesn't really matter to me, and it shouldn't matter to other people, what religion anybody is.
[01:42:53.037 --> 01:42:56.659]  Well, I agree with you.
[01:42:56.699 --> 01:42:57.960]  They just use that as a
[01:42:59.790 --> 01:43:00.770]  Political football.
[01:43:00.790 --> 01:43:17.596]  It's just a wedge issue, and Palin was totally just to pander to the religious right in this country, who don't, you know, the Jesus that I grew up with.
[01:43:17.636 --> 01:43:18.417]  Well, look.
[01:43:18.457 --> 01:43:19.217]  It's nothing like that.
[01:43:20.029 --> 01:43:23.533]  Well, look, I mean, it's a fraud as well.
[01:43:23.553 --> 01:43:26.858]  I mean, this should insult Christian conservatives.
[01:43:26.878 --> 01:43:34.567]  You know, the fact is McCain isn't for the issues they want, and so all they're doing here
[01:43:36.609 --> 01:43:40.951]  Is, as you said, just using her to add some novelty.
[01:43:41.051 --> 01:43:41.931]  Oh, she's a woman.
[01:43:42.371 --> 01:43:43.372]  Oh, she's Christian.
[01:43:43.532 --> 01:43:46.813]  Oh, she's, you know, she's a pro-gun.
[01:43:46.894 --> 01:43:48.174]  And you're absolutely right.
[01:43:48.194 --> 01:43:52.256]  It is nothing but an attempt to sucker conservatives back to the table.
[01:43:55.077 --> 01:43:56.018]  Let's take another call.
[01:43:56.058 --> 01:43:58.299]  Let's talk to Michael in Ohio.
[01:43:58.779 --> 01:43:59.980]  Michael, you're on the air.
[01:44:00.060 --> 01:44:00.420]  Welcome.
[01:44:00.859 --> 01:44:01.939]  Yeah, thank you, Alex.
[01:44:02.039 --> 01:44:02.760]  And hello, Cindy.
[01:44:02.800 --> 01:44:05.000]  And Cindy, for president and one, two.
[01:44:05.120 --> 01:44:05.540]  How's that?
[01:44:07.761 --> 01:44:14.022]  Cindy, I just wanted to, in fact, I've been battling something called chemtrails for many, many, many, many years.
[01:44:15.623 --> 01:44:19.584]  I've been on all radio shows, haven't been on Alex's yet, but he knows a lot about them.
[01:44:20.364 --> 01:44:23.725]  And the thing with the chemtrails in the Bay Area in California,
[01:44:24.289 --> 01:44:26.154]  Transcends all the politicking.
[01:44:26.294 --> 01:44:28.841]  Yeah, remember when Arnold wanted to spray the pesticides?
[01:44:29.001 --> 01:44:33.353]  Yeah, the brown apple moth butterfly, that is an isocyanate, extremely toxic, but...
[01:44:33.806 --> 01:44:39.413]  Pelosi, in fact, and all the other people out there that, in fact, are supposed to be our elected officials, ignore this.
[01:44:39.613 --> 01:44:42.176]  This particular issue transcends all of it.
[01:44:42.196 --> 01:44:51.586]  Yeah, what he's bringing up is what Kucinich wrote about in a bill, I think, six years ago, the declassified weather modification and other classified programs.
[01:44:51.627 --> 01:44:54.410]  What would you do in Congress to look into that, Cindy?
[01:44:56.795 --> 01:44:57.576]  Oh, we lost her.
[01:44:57.636 --> 01:44:59.317]  That's why we lost her earlier.
[01:44:59.357 --> 01:45:00.458]  That's strange.
[01:45:00.639 --> 01:45:02.700]  I was going to tell her about something that I wrote in an old brief.
[01:45:02.740 --> 01:45:04.402]  Our phone systems are fine, let me tell you.
[01:45:05.163 --> 01:45:08.185]  In this new studio, man, I want as many backups as possible.
[01:45:08.906 --> 01:45:12.089]  Because this internet phone business is not the way to go.
[01:45:12.569 --> 01:45:16.233]  See, we have regular phone lines here, but not enough to take your calls and have Cindy on.
[01:45:16.693 --> 01:45:19.936]  They're not proud.
[01:45:20.136 --> 01:45:29.004]  So then we have people on IP phones to call into the show and Genesis is doing something similar and it just needs to stop.
[01:45:29.084 --> 01:45:30.185]  It just doesn't work.
[01:45:32.167 --> 01:45:33.448]  It isn't backed up enough.
[01:45:33.928 --> 01:45:41.314]  That's why other major radio networks still use landlines, because they sound better, they work better, they are better.
[01:45:41.695 --> 01:45:42.695]  It's been figured out.
[01:45:43.836 --> 01:45:45.958]  And so, by the way, I want that in the new studio.
[01:45:45.998 --> 01:45:50.682]  I want a five regular line backup in my studio, and I'll just take more and more over it myself.
[01:45:51.523 --> 01:45:55.666]  But we'll just say bye to Cindy right now and let you go too.
[01:45:55.986 --> 01:45:58.889]  Send me your info, send it to trey at infowars.com.
[01:46:00.734 --> 01:46:02.234]  Say your name's Dr. Michael Castle.
[01:46:02.674 --> 01:46:02.874]  Yes.
[01:46:03.075 --> 01:46:03.835]  So just send that over.
[01:46:03.875 --> 01:46:04.435]  Thanks for the call.
[01:46:04.655 --> 01:46:05.315]  Thanks Alex.
[01:46:05.375 --> 01:46:05.735]  You bet.
[01:46:05.775 --> 01:46:06.235]  Take care.
[01:46:07.375 --> 01:46:12.617]  But look, we had Cindy Sheehan on and that's what matters and that's a done deal now.
[01:46:13.017 --> 01:46:17.038]  Let's go ahead and take another call here from Leo in Mass.
[01:46:17.138 --> 01:46:17.918]  Leo, you're on the air.
[01:46:17.938 --> 01:46:18.338]  Go ahead.
[01:46:19.398 --> 01:46:19.678]  Howdy.
[01:46:20.098 --> 01:46:20.998]  Is Cindy still there?
[01:46:21.118 --> 01:46:21.699]  No, she's not.
[01:46:22.299 --> 01:46:22.559]  Okay.
[01:46:22.879 --> 01:46:28.380]  Anyway, I think that the people calling in from the outside is the most dangerous thing she could ever do.
[01:46:29.031 --> 01:46:33.974]  That's really like curtains because you don't have any control over who's doing the calling.
[01:46:34.875 --> 01:46:38.357]  So get back to her and make sure that she doesn't do that.
[01:46:38.497 --> 01:46:39.418]  What are you talking about?
[01:46:40.338 --> 01:46:44.501]  Cindy was talking about having people calling in to the people, to the prospective voters.
[01:46:46.361 --> 01:46:52.149]  And doing it in an unregulated atmosphere is the most dangerous thing you can do and letting people do things on their own?
[01:46:52.589 --> 01:47:01.440]  Well, a lot of political parties will act like they are phone bank volunteers and call up and say horrible things to people.
[01:47:01.921 --> 01:47:03.022]  That's some dirty tricks.
[01:47:05.345 --> 01:47:08.188]  You know, I think things should be unregulated.
[01:47:08.308 --> 01:47:12.451]  I mean, people are allowed to call who they want, they're allowed to pamphleteer who they want.
[01:47:12.831 --> 01:47:20.918]  It's that bottom-up structure, that unregulated system that has been so successful throughout history.
[01:47:21.999 --> 01:47:30.687]  So, you know, I mean, it's even worse to have only a top-down integration, vertical integration.
[01:47:32.555 --> 01:47:34.217]  Uh, anyway, uh... Hey, do me a big favor.
[01:47:34.257 --> 01:47:38.561]  If you want to be on this show, will you turn off whatever radio or TV show that is on the background?
[01:47:39.442 --> 01:47:40.043]  Oh, yeah, right.
[01:47:40.163 --> 01:47:40.764]  Okay, it's off.
[01:47:44.608 --> 01:47:45.389]  I'm gonna let you go.
[01:47:45.449 --> 01:47:46.330]  I appreciate your call.
[01:47:46.890 --> 01:47:48.932]  It's just too noisy in the background, so it wasn't off.
[01:47:49.733 --> 01:47:53.737]  Um... We're gonna come back.
[01:47:54.963 --> 01:48:02.725]  And I'm going to have open phones throughout the show, more of the economic news, a bunch of big military developments too, between Israel and Iran, the U.S.
[01:48:05.066 --> 01:48:07.626]  We're going to cover all that and then get back into your calls at 888-201-2244, 888-201-2244.
[01:48:15.282 --> 01:48:17.463]  We're on TV in here and there's a fly flying around.
[01:48:17.483 --> 01:48:18.883]  Somebody get me a fly swatter.
[01:48:19.383 --> 01:48:20.704]  Cameras are everywhere.
[01:48:21.004 --> 01:48:29.026]  Above stoplights, on toll booths, and scanning the freeways just waiting to snap a photo of your license plate only to slam you with ridiculous fines.
[01:48:29.386 --> 01:48:32.647]  In California, red light tickets are as high as $400.
[01:48:32.968 --> 01:48:37.269]  Spray Your Plate is a spray-on photo blocker that protects against all types of cameras.
[01:48:37.589 --> 01:48:43.614]  Spray Your Plate Photoblocker Spray reflects and protects against flash photo images, making your plate unreadable.
[01:48:44.074 --> 01:48:49.939]  One can of Photoblocker will pay for itself many times over, last forever, and is completely undetectable.
[01:48:50.119 --> 01:48:54.203]  You cannot afford to not be protected with Spray Your Plate Photoblocker.
[01:48:54.443 --> 01:48:59.227]  Call 1-800-276-9601 or go to SprayYourPlate.com.
[01:48:59.407 --> 01:49:01.188]  That's SprayYourPlate.com.
[01:49:01.468 --> 01:49:03.350]  All orders are kept strictly confidential.
[01:49:03.570 --> 01:49:06.953]  You are no longer defenseless against Big Brother, who is watching us all.
[01:49:07.173 --> 01:49:08.934]  Go to SprayYourPlate.com or call 800-276-9601.
[01:49:08.994 --> 01:49:09.394]  That's 800-276-9601 today.
[01:49:09.454 --> 01:49:10.815]  Don't give your money to the state.
[01:49:10.855 --> 01:49:11.715]  Spray your plate!
[01:49:28.835 --> 01:49:29.676]  Who is the enemy?
[01:49:30.176 --> 01:49:30.716]  Bin Laden.
[01:49:30.977 --> 01:49:31.977]  This is his M.O.
[01:49:31.997 --> 01:49:33.298]  We have to look to the Middle East.
[01:49:33.338 --> 01:49:34.979]  We have to look to Osama Bin Laden.
[01:49:35.339 --> 01:49:42.104]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[01:49:42.504 --> 01:49:42.944]  Some U.S.
[01:49:42.984 --> 01:49:48.648]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[01:49:49.328 --> 01:49:52.789]  I'm aware that some Israeli citizens have been detained.
[01:49:52.809 --> 01:49:55.629]  Either you are with us, or you are with the terrorists.
[01:50:19.420 --> 01:50:20.041]  Question.
[01:50:20.261 --> 01:50:24.846]  Is the world getting better or vastly worse?
[01:50:24.946 --> 01:50:29.151]  The world economic collapse could come any day.
[01:50:29.472 --> 01:50:30.012]  Question.
[01:50:30.333 --> 01:50:33.877]  Are you prepared or are you ignoring the signs?
[01:50:35.599 --> 01:50:36.179]  Question.
[01:50:36.379 --> 01:50:39.943]  Do you have seven years of healthy food for your family?
[01:50:45.228 --> 01:50:48.889]  Go to SurvivalistSeeds.com now.
[01:50:49.369 --> 01:50:53.670]  12,000 seeds giving you 5,000 pounds of food for just four pennies a pound.
[01:50:53.710 --> 01:50:57.451]  Without a long-term food solution, your choices are limited.
[01:50:57.891 --> 01:51:02.732]  Visit SurvivalistSeeds.com and check out our doomsday water filter system.
[01:51:02.832 --> 01:51:04.512]  Without water, you die.
[01:51:04.592 --> 01:51:07.073]  It's all online at SurvivalistSeeds.com.
[01:51:09.250 --> 01:51:11.671]  That's survivalistseeds.com.
[01:51:11.851 --> 01:51:13.972]  Go to survivalistseeds.com.
[01:51:14.072 --> 01:51:18.214]  Do it now or become property of the New World Order.
[01:51:25.777 --> 01:51:27.938]  You really can't make things up like this.
[01:51:29.298 --> 01:51:29.958]  Reuters.
[01:51:31.639 --> 01:51:36.361]  City uses DNA to fight dog poop.
[01:51:38.308 --> 01:51:43.209]  There's 2,000 dead on the Texas border in the first nine months of 2008.
[01:51:44.410 --> 01:51:47.930]  Rocket attacks, truck bombs going off, police being killed.
[01:51:49.251 --> 01:51:55.392]  There is a literal drug war raging between the CIA and other drug cartels to control the narcotics.
[01:51:57.033 --> 01:51:57.973]  No one knows about it.
[01:51:58.093 --> 01:52:00.133]  Literally 99% of the public have no idea.
[01:52:01.254 --> 01:52:02.274]  I mean, it's worse than Iraq.
[01:52:04.793 --> 01:52:07.456]  We're in like year number five of this, but it's getting worse.
[01:52:08.276 --> 01:52:20.649]  And cities are going around to bus people's dogs who are pooping in the park and not being cleaned up with DNA going after the animal.
[01:52:21.549 --> 01:52:22.631]  We're going to talk about that.
[01:52:25.202 --> 01:52:26.323]  I've got a bunch of other news.
[01:52:26.463 --> 01:52:28.946]  Georgia is still claiming Russia snuck attack them.
[01:52:29.687 --> 01:52:32.931]  The New York Times is acting like it's serious and has some weight.
[01:52:32.951 --> 01:52:34.993]  Then you read the evidence and it isn't evidence.
[01:52:36.835 --> 01:52:38.317]  Ukraine's government falls apart.
[01:52:38.717 --> 01:52:43.703]  Cheney goes to Ukraine and says, stick behind us, don't worry about the Russians and their government falls apart.
[01:52:44.183 --> 01:52:46.506]  Basically a pro-Russian group is pretty close to taking it over.
[01:52:49.099 --> 01:52:52.700]  So the elite is not omnipresent, they're not all-powerful.
[01:52:52.720 --> 01:53:02.923]  They're trying to be with this casual society, technological straitjacket, technological dehumanization grid that they're putting into place.
[01:53:05.744 --> 01:53:07.484]  And it's Pentagon designed for that.
[01:53:09.005 --> 01:53:12.206]  But if we say no to it now, there's no way they'll get away with it.
[01:53:14.266 --> 01:53:16.727]  Also, Israel's waging secret war with Iran.
[01:53:18.294 --> 01:53:19.374]  And then stuff like this.
[01:53:21.415 --> 01:53:25.635]  Teach the pleasure of gay sex to children as young as five, say researchers.
[01:53:26.276 --> 01:53:34.917]  How about you don't teach anything about sex to children because perverts always want to do this as an excuse to get involved with your children.
[01:53:35.297 --> 01:53:37.398]  Sex education is about eugenics.
[01:53:37.958 --> 01:53:47.440]  It's about teaching children that having children is bad, that sex is somehow bad, that marriage is stupid, that abstinence is stupid, so they can corrupt them.
[01:53:48.220 --> 01:53:56.328]  I mean, they want to teach 2nd, 3rd, 4th graders about things that I didn't know about until I was 12 or 13, and then that destroys their innocence and sexualizes them.
[01:53:56.609 --> 01:53:59.592]  They've got studies in Europe and the U.S.
[01:53:59.612 --> 01:54:03.636]  where they put up anti-smoking billboards, and smoking gets worse.
[01:54:03.956 --> 01:54:06.639]  People think it's rebellious, they want to do it.
[01:54:07.944 --> 01:54:08.965]  They're also introduced to it.
[01:54:09.505 --> 01:54:11.186]  Federally funded since 1990.
[01:54:11.326 --> 01:54:14.929]  Death education in schools has radically, hundreds of percentile points.
[01:54:15.249 --> 01:54:15.890]  It's incredible.
[01:54:16.150 --> 01:54:17.171]  Go look it up for yourself.
[01:54:17.191 --> 01:54:18.492]  Different numbers, but they're all way up.
[01:54:18.512 --> 01:54:21.374]  Depending on how you look at it, but they're all up.
[01:54:21.914 --> 01:54:24.056]  Different ways of measuring, but all those indices are up.
[01:54:25.617 --> 01:54:27.718]  And they teach them how people hang themselves.
[01:54:27.738 --> 01:54:28.459]  They shoot themselves.
[01:54:28.499 --> 01:54:30.020]  They take pills when they get depressed.
[01:54:30.080 --> 01:54:32.081]  And you know, all these twelve-year-old girls kill themselves.
[01:54:32.141 --> 01:54:34.643]  Eleven-year-old girls going, well they taught me how, you know.
[01:54:35.344 --> 01:54:36.545]  And then they kill themselves.
[01:54:37.452 --> 01:54:43.595]  They have a death education class in big schools, and usually some girls every year in every school, they go home and kill themselves.
[01:54:44.436 --> 01:54:53.260]  Again... And then it says here, teach the children how great, quote, gay sex is, and how a queer lifestyle, that's a term they use.
[01:54:54.221 --> 01:54:56.442]  They've taken that derogatory term and made it a good one.
[01:54:58.423 --> 01:55:00.424]  How about you keep your hands off the kids, perverts?
[01:55:00.744 --> 01:55:03.386]  So I'm going to cover that after I cover the foreign war news.
[01:55:04.741 --> 01:55:17.549]  Before I end this hour, I've done three hours now without a single plug for the 19 films I've directed and produced, and the one film I've produced, I've made 20 films total.
[01:55:17.910 --> 01:55:18.970]  Fabled Enemies is out.
[01:55:20.271 --> 01:55:28.637]  It covers how the Continuity of Shadow Government carried out the attacks, how the different intelligence agencies were tied in, how the hijackers were just government patsies.
[01:55:31.639 --> 01:55:33.260]  I hope you will take action now.
[01:55:34.454 --> 01:55:41.900]  And I hope you will go to InfoWars.com and for your library, your collection, but most importantly, so you can make copies of them and give them to people and show them to folks.
[01:55:42.380 --> 01:55:44.181]  Buy one copy, have a few parties, show them to people.
[01:55:44.541 --> 01:55:47.263]  Every little bit is big in the final equation.
[01:55:47.584 --> 01:55:48.644]  Many hands make light work.
[01:55:48.985 --> 01:55:56.830]  So get Fabled Enemies, get Truth Rising, Terror Storm, Endgame at InfoWars.com or watch them super high quality at PrisonPlanet.tv.
[01:55:56.850 --> 01:55:57.591]  We'll be right back.
[01:55:57.611 --> 01:56:02.114]  Thank you for listening to GCN.
[01:56:03.371 --> 01:56:06.633]  Be sure to visit GCNlive.com today.
[01:56:06.653 --> 01:56:10.916]  It is a big idea.
[01:56:10.936 --> 01:56:13.037]  A new world order.
[01:56:13.758 --> 01:56:17.780]  In the near future, Earth is dominated by a powerful world government.
[01:56:17.900 --> 01:56:20.802]  It's known as the Bilderberg Group.
[01:56:21.483 --> 01:56:23.704]  Could their objective be world domination?
[01:56:24.264 --> 01:56:26.666]  For thousands of years, their dark order grew.
[01:56:27.427 --> 01:56:34.761]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[01:56:37.785 --> 01:56:42.768]  For the first time in history, the elite's plan for world government is blown wide open.
[01:56:43.229 --> 01:56:46.711]  You will learn the secret that drives the entire New World Order agenda.
[01:56:47.111 --> 01:56:49.573]  Bill of Rights is making great progress toward a world government.
[01:56:49.673 --> 01:56:50.814]  Most people have no idea.
[01:56:50.834 --> 01:56:51.594]  They're not after money.
[01:56:51.614 --> 01:56:52.695]  They have all the money they need.
[01:56:52.875 --> 01:56:53.636]  They're after power.
[01:56:53.876 --> 01:56:54.736]  That's what happens here.
[01:56:55.017 --> 01:56:59.580]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[01:56:59.780 --> 01:57:02.562]  Or watch it online right now at PrisonPlanet.tv.
[01:57:02.702 --> 01:57:04.143]  In Game.
[01:57:04.503 --> 01:57:06.144]  Blueprint for global enslaving.
[01:57:06.564 --> 01:57:07.605]  You have been warned.
[01:57:11.666 --> 01:57:13.566]  Waging war on corruption.
[01:57:14.066 --> 01:57:17.047]  Alex Jones on the GCN Radio Network.
[01:57:17.687 --> 01:57:22.348]  Jeff, Phil, Misty, Mark, Dave, Kitty,
[01:57:37.372 --> 01:57:37.852]  And others.
[01:57:38.993 --> 01:57:42.715]  The toll-free number to join us is 888-201-2244.
[01:57:43.116 --> 01:57:43.876]  Let's line them up.
[01:57:43.916 --> 01:57:45.617]  Let's put, like, 20 more on there.
[01:57:46.558 --> 01:57:53.963]  And I'm gonna just hammer right through them, one after the other, after I'm done covering the news.
[01:57:53.983 --> 01:57:54.183]  888-201-2244.
[01:57:54.463 --> 01:58:02.168]  We're on my own phone system today, because gremlins are eating the wiring up at the studio.
[01:58:02.408 --> 01:58:03.329]  Al-Qaeda gremlins.
[01:58:04.847 --> 01:58:05.927]  Some of Bin Laden did it.
[01:58:06.468 --> 01:58:11.749]  We better give up all our rights or little Al Qaeda gremlins will get us, but they're everywhere.
[01:58:11.769 --> 01:58:15.951]  I'm going to get into a bunch of news right now and then your phone calls.
[01:58:16.631 --> 01:58:19.392]  But I didn't really properly plug at the end of that last hour my films.
[01:58:23.173 --> 01:58:25.213]  I mean, Truth Rising really is a great video.
[01:58:28.114 --> 01:58:32.996]  It deserves to be seen, it needs to be seen, and I hope, plus we need the funding,
[01:58:34.301 --> 01:58:39.344]  That you will go to Infowars.com without delay and get Truth Rising.
[01:58:40.045 --> 01:58:43.607]  We've got it as low as $9.95 when you get it with films like Loose Change Final Cut.
[01:58:43.627 --> 01:58:50.411]  I mean you can get some of my videos like American Dictators which exposes the false left-right paradigm.
[01:58:51.550 --> 01:58:53.391]  For only $5.95.
[01:58:54.551 --> 01:58:59.353]  We've got Inside Job ball caps for $5.95, t-shirts as low as $5.95.
[01:59:00.794 --> 01:59:06.376]  Yes, ladies and gentlemen, some of these t-shirts cost us $5.50, so we're just selling them at cost.
[01:59:07.177 --> 01:59:11.238]  But it is about getting the information and the material out to people.
[01:59:11.658 --> 01:59:17.561]  And you want to meet like-minded people, wear a Investigate 9-11's and Inside Job t-shirt on the jogging trail.
[01:59:19.022 --> 01:59:21.125]  Wear one in the bar, at the restaurant.
[01:59:23.007 --> 01:59:25.009]  Wear one to work, if you dare.
[01:59:26.311 --> 01:59:29.555]  Or a 9-11 inside job, black ball cap.
[01:59:29.775 --> 01:59:34.561]  Everything we do is about getting information out, and yes, the funds then allow us to operate.
[01:59:34.581 --> 01:59:37.264]  So, InfoWars.com or call toll free.
[01:59:38.646 --> 01:59:47.030]  Just if you call, ask them about the different specials so you can take advantage of those.
[01:59:47.051 --> 01:59:58.637]  888-253-3139 888-253-3139 or you can go to PrisonPlanet.tv and see all twenty of my films in super high quality right now at PrisonPlanet.tv.
[01:59:58.657 --> 02:00:04.800]  If you want to get technical, I executive produced Loose Change Final Cut, but I don't count it as one of my films.
[02:00:08.371 --> 02:00:13.193]  Again, Infowars.com or PrisonPlanet.tv.
[02:00:14.773 --> 02:00:18.034]  Okay, let's look on the foreign front here.
[02:00:19.695 --> 02:00:22.035]  Ukraine's government falls apart.
[02:00:22.796 --> 02:00:29.098]  That is the BBC headline, as I am showing everyone watching us live on PrisonPlanet.tv.
[02:00:29.138 --> 02:00:30.258]  By the way, we're always live
[02:00:31.971 --> 02:00:37.894]  We're almost always live in the fourth hour of the show, the live video cam for PrisonPlanet.tv members.
[02:00:38.514 --> 02:00:42.516]  But today we've been live since noon.
[02:00:43.217 --> 02:00:47.619]  So we now have done two hours.
[02:00:48.640 --> 02:00:58.585]  This will be a third hour for the folks watching on PrisonPlanet.tv.
[02:00:58.705 --> 02:01:00.946]  Ukraine's government falls apart.
[02:01:02.583 --> 02:01:11.866]  Ukraine's ruling pro-western coalition, that's the new fad, is to have a 25-year-old blonde as your Prime Minister.
[02:01:12.406 --> 02:01:16.568]  Ukraine's ruling pro-western coalition has officially collapsed.
[02:01:17.248 --> 02:01:27.652]  The Speaker of the Ukrainian Parliament says President Viktor Yushchenko has been involved in a long-running dispute with Prime Minister Yulia
[02:01:30.034 --> 02:01:31.615]  Taimo Yashchenko.
[02:01:31.655 --> 02:01:32.755]  I can never pronounce that right.
[02:01:32.835 --> 02:01:35.977]  She's an attractive lady that dresses like an elf.
[02:01:37.517 --> 02:01:42.699]  The President's R-Ukraine bloc left the coalition earlier this month.
[02:01:43.140 --> 02:01:47.361]  Parliament now has 30 days to try to form a new ruling coalition.
[02:01:49.302 --> 02:01:55.185]  If those efforts fail, Mr. Yashchenko can dissolve Parliament and call a snap election.
[02:01:56.167 --> 02:02:12.691]  The R-Ukraine party pulled out of the coalition on September 3rd after the bloc sided with the pro-Moscow opposition party of regions to pass several laws that Mr... Well, we'll come back and cover all this.
[02:02:12.711 --> 02:02:14.152]  We're out of time on the other side.
[02:02:14.172 --> 02:02:18.033]  But this is a pretty interesting development geopolitically.
[02:02:19.264 --> 02:02:25.626]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[02:02:26.006 --> 02:02:27.987]  The enemy struck America on September 11th.
[02:02:28.647 --> 02:02:29.667]  But who is the enemy?
[02:02:30.207 --> 02:02:30.727]  Bin Laden.
[02:02:30.988 --> 02:02:31.948]  This is his ammo.
[02:02:31.968 --> 02:02:33.328]  We have to look to the Middle East.
[02:02:33.368 --> 02:02:35.049]  We have to look to Osama Bin Laden.
[02:02:35.349 --> 02:02:42.111]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[02:02:42.511 --> 02:02:42.951]  Some U.S.
[02:02:42.991 --> 02:02:48.653]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[02:02:49.333 --> 02:02:52.816]  I'm aware that some Israeli citizens have been detained.
[02:02:53.216 --> 02:03:03.083]  ...Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[02:03:03.303 --> 02:03:04.064]  Fabled enemies.
[02:03:04.544 --> 02:03:11.809]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[02:03:12.309 --> 02:03:15.652]  Either you are with us or you are with the terrorists.
[02:03:20.580 --> 02:03:23.662]  You know, I know exactly what you're thinking when it comes to this economy.
[02:03:23.782 --> 02:03:25.063]  The banks are crashing.
[02:03:25.143 --> 02:03:26.644]  The stock market's a mess.
[02:03:26.764 --> 02:03:28.285]  There's the mortgage crisis.
[02:03:28.425 --> 02:03:30.226]  There's the lending crisis.
[02:03:30.367 --> 02:03:34.769]  There is the food and gasoline prices through the ceiling crisis.
[02:03:35.050 --> 02:03:36.591]  And we are paralyzed a little bit.
[02:03:36.611 --> 02:03:38.372]  We don't know exactly how to respond to it.
[02:03:38.572 --> 02:03:39.353]  I don't know what to say.
[02:03:39.593 --> 02:03:40.153]  What can you do?
[02:03:40.173 --> 02:03:41.014]  Do what you can do.
[02:03:41.034 --> 02:03:41.594]  That's what you do.
[02:03:41.634 --> 02:03:42.535]  You do what you can do.
[02:03:42.555 --> 02:03:44.436]  What I can do is I can put some food away.
[02:03:44.616 --> 02:03:46.137]  I know there's a global food shortage.
[02:03:46.337 --> 02:03:46.858]  I can read it.
[02:03:46.898 --> 02:03:49.880]  I can go to efoodsdirect.com, read hundreds of articles about this.
[02:03:50.060 --> 02:03:54.263]  I can go up on the Google website and Google food shortage and see the world's a mess.
[02:03:54.443 --> 02:03:54.783]  I know it.
[02:03:54.883 --> 02:03:55.203]  You know it.
[02:03:55.283 --> 02:03:56.024]  Look at the prices.
[02:03:56.044 --> 02:03:56.684]  Look where they're headed.
[02:03:56.764 --> 02:03:57.325]  Be prepared.
[02:03:57.385 --> 02:03:58.005]  Take care of yourself.
[02:03:58.065 --> 02:04:04.009]  You owe your family some security, some sense of self-being, a little bit of self-reliance is a good idea right now.
[02:04:04.170 --> 02:04:06.211]  Get some food from efoodsdirect.com.
