[00:00:02.142 --> 00:00:02.562]  Michael Hoffman.
[00:52:51.452 --> 00:53:02.215]  Okay, well, let's just come back, talk about the book, you know, ending the war, what some of the steps are to reverse this, and then what will happen if we don't do something about the spending and all the insanity?
[00:53:02.655 --> 00:53:06.036]  Oh, and we only have five minutes when we get back.
[00:53:06.076 --> 00:53:09.057]  Can you tell folks how low you think the dollar will go?
[00:53:09.077 --> 00:53:09.677]  I mean, just tell me.
[00:53:10.057 --> 00:53:11.958]  How low do you think the dollar is going to go, sir?
[00:53:14.500 --> 00:53:23.907]  It's very hard to predict that, and the reason why it's very hard to predict that is that it depends more than almost anything else on what governments do.
[00:53:24.748 --> 00:53:36.737]  One of the problems is a lot of discussion about whether the European Central Bank is going to increase interest rates, lower interest rates,
[00:53:38.097 --> 00:53:51.368]  The new high in the dollar that just happened this week was a result in part because the rumors that the European Central Bank was going to raise their interest rate.
[00:53:51.948 --> 00:53:53.129]  Stay there, several are online right now.
[00:53:53.149 --> 00:53:53.529]  Here we go.
[00:53:55.171 --> 00:53:56.672]  Join the info war today.
[00:53:59.895 --> 00:54:04.939]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:54:05.692 --> 00:54:07.973]  Because there's a war on for your mind.
[00:54:08.374 --> 00:54:14.337]  We had We Are Change On, Jack McClam, William Lewis, a bunch of other guests.
[00:54:14.397 --> 00:54:16.459]  That'll all retransmit on the internet.
[00:54:16.719 --> 00:54:18.300]  This is the Eminem Show right here.
[00:54:20.038 --> 00:54:23.041]  In five minutes at Infowars.com if you missed any of it.
[00:54:23.061 --> 00:54:26.044]  I mean, we came in directly with guests today for the four hours.
[00:54:26.084 --> 00:54:30.868]  Joseph Stiklitz, former Chief Economist, World Bank, Nobel Prize winner.
[00:54:30.908 --> 00:54:41.077]  He left in 2002, exposed a lot of the internal corruption, the IMF riot, how they go in and want economies to crater so they can buy it up, the 100-point plan, all of that.
[00:54:41.417 --> 00:54:43.700]  I've got to get him back up, and I hate even talking over him.
[00:54:43.720 --> 00:54:44.640]  I just have so many questions.
[00:54:45.021 --> 00:54:45.861]  Your new book,
[00:54:46.722 --> 00:54:59.244]  The $3 trillion war, breaking this down, if we don't end the war, and it costs another $3 trillion in five years, will that ensure a deeper financial crisis, or is this good for us?
[00:55:00.120 --> 00:55:01.341]  Oh, it's definitely not good for us.
[00:55:01.361 --> 00:55:08.383]  You know, the idea that goes back, a myth goes back to World War II, that wars are good for the economy.
[00:55:08.403 --> 00:55:10.404]  Guns and butter.
[00:55:11.144 --> 00:55:16.767]  But we know at least since the time of King that you can stimulate the economy without going to war.
[00:55:17.667 --> 00:55:22.249]  And these other ways, investments in education, health, roads, infrastructure,
[00:55:23.219 --> 00:55:25.581]  We have long-term productivity effects.
[00:55:26.001 --> 00:55:30.464]  Nobody ever said that wars have good long-term productivity effects, increase your living standards.
[00:55:31.144 --> 00:55:48.876]  This particular war has been very bad for our economy, and the easy way to see that is spending money on a Naples contractor working in Iraq just doesn't provide much stimulus to the economy anywhere near as much as spending the same amount of money building a road in the U.S.
[00:55:50.799 --> 00:55:56.764]  And this war has also been bad because it set forth the rise in oil prices.
[00:55:56.944 --> 00:55:58.786]  Don't you also have the fraud associated?
[00:55:58.806 --> 00:56:01.508]  You know, 15 million dollar Halliburton blue tarps?
[00:56:02.529 --> 00:56:10.856]  Yeah, I mean, that's an example of, you know, that kind of spending doesn't help the American economy.
[00:56:11.057 --> 00:56:14.780]  And to make it even worse, Halliburton operates offshore.
[00:56:18.529 --> 00:56:25.412]  So, it doesn't have to avoid taxes, that it doesn't pay Medicare and Social Security taxes.
[00:56:26.507 --> 00:56:29.849]  Normally, we would be coming down hard on anybody.
[00:56:29.869 --> 00:56:30.810]  But it's Dick Cheney!
[00:56:30.910 --> 00:56:32.831]  Why are we seeing this level of arrogance?
[00:56:33.351 --> 00:56:40.935]  Even Lee Iacocca has come out and said we have a criminal corporate elite running the White House, running the government, destroying the nation.
[00:56:40.955 --> 00:56:41.956]  Did you see those quotes?
[00:56:42.616 --> 00:56:43.136]  No, I didn't.
[00:56:43.697 --> 00:56:45.738]  But it is astounding.
[00:56:45.898 --> 00:56:49.800]  And the problem is, it's not only bad directly for our economy,
[00:56:50.504 --> 00:56:53.386]  It undermines confidence in our country.
[00:56:54.326 --> 00:56:57.748]  Anybody who wants to deal with the United States says, you know, what's going on here?
[00:56:58.488 --> 00:56:59.069]  Exactly!
[00:56:59.149 --> 00:57:04.972]  So we've only got two minutes left, and I want to talk about the book, but then it doesn't look like the war is going to end.
[00:57:04.992 --> 00:57:07.433]  They're building all these permanent bases, calling them embassies.
[00:57:07.874 --> 00:57:09.114]  The name's been destroyed.
[00:57:09.154 --> 00:57:10.475]  They say we're going to be there forever.
[00:57:10.895 --> 00:57:13.637]  The other political candidates say, well, we'll keep some troops there.
[00:57:13.997 --> 00:57:16.138]  It looks to me like what you said a year ago is happening.
[00:57:16.158 --> 00:57:17.259]  They're not going to change course.
[00:57:18.573 --> 00:57:25.459]  Uh, I think they won't change course unless the American voters come out and give a very strong message.
[00:57:25.839 --> 00:57:39.271]  You know, we're spending $12 billion up front every month that we're in Iraq, but actually the total cost, which includes the disabilities, about 40% of the people coming back from Iraq are disabled, some with absolutely horrible disabilities.
[00:57:39.591 --> 00:57:43.014]  When you start including all the other costs, it's about twice that.
[00:57:43.675 --> 00:57:48.540]  Anybody who says, stay the course, has to say how we're going to be able to afford $25 billion a month.
[00:57:48.980 --> 00:57:55.526]  But even that doesn't take into account the full cost, because at the beginning of the war, we were spending $4 billion a month.
[00:57:55.566 --> 00:57:56.767]  Now we're up to $12 billion.
[00:57:57.147 --> 00:57:59.750]  The longer we stay, the monthly charge goes up.
[00:58:00.270 --> 00:58:05.595]  So we're going to be, you know, staying there every month is going to cost more and more and more.
[00:58:06.656 --> 00:58:07.637]  Sir, we're out of time.
[00:58:09.540 --> 00:58:10.920]  Just absolutely incredible.
[00:58:11.160 --> 00:58:11.581]  Stay right there.
[00:58:11.601 --> 00:58:15.442]  I'd like to speak to you for one moment when the show ends here on the network.
[00:58:17.022 --> 00:58:19.463]  Retransmission starts right now at InfoWars.com.
[00:58:20.003 --> 00:58:24.004]  I've got to get you back up on the show because I want to find out what your take is.
[00:58:24.064 --> 00:58:24.664]  I respect it.
[00:58:25.705 --> 00:58:28.546]  If it's not going to end, then what will become of us?
[00:58:32.707 --> 00:58:32.967]  Okay.
[00:58:37.688 --> 00:58:51.735]  Going back to you, Mr. Stiglitz, just here at the end, I mean, your real take on all this, it doesn't look like to me that they're going to change course or stop, and that this is really just a giant looting enterprise that's going on, and that everything's gone completely criminal.
[00:58:52.896 --> 00:59:00.960]  Well, I think, I mean, what you're saying is, you know, we're a rich country, we can afford it.
[00:59:02.163 --> 00:59:10.952]  Uh, in the sense that we aren't going to go bankrupt overnight, but it's very corrosive and our living standards will be going down.
[00:59:11.853 --> 00:59:18.740]  And what's particularly hard is the impact on the average American, the median American, the person in the middle.
[00:59:19.461 --> 00:59:20.942]  Income today is lower than it was in 1999.
[00:59:23.031 --> 00:59:29.334]  And the fact that the more and more we spend on the waste in this war, the lower and lower their income is going to be.
[00:59:29.974 --> 00:59:31.815]  And we don't have the money to invest it.
[00:59:32.035 --> 00:59:35.737]  Well, I mean, you didn't feel good a year ago about what they were doing to stop this.
[00:59:35.757 --> 00:59:36.697]  Do you feel good now?
[00:59:36.717 --> 00:59:37.918]  Do you think they're going to fix it?
[00:59:38.818 --> 00:59:39.238]  Uh, no.
[00:59:41.540 --> 00:59:54.469]  I feel more and more depressed, but I do, quite frankly, I am optimistic that if Obama gets elected, he knows that he has to change things.
[00:59:54.489 --> 00:59:58.952]  But you're not confident about Hillary and McCain?
[01:00:00.219 --> 01:00:01.780]  Well, I know about McCain.
[01:00:01.820 --> 01:00:02.901]  He's made it very clear.
[01:00:02.921 --> 01:00:04.501]  Bomb, bomb, bomb, bomb, Iran?
[01:00:05.742 --> 01:00:06.383]  Exactly.
[01:00:06.423 --> 01:00:14.607]  So I think that one can anticipate that if he gets involved, things could get much worse.
[01:00:14.627 --> 01:00:17.829]  Well, Mr. Stiglitz, I don't want to abuse your time.
[01:00:17.869 --> 01:00:24.553]  I want to thank you for the time you've spent with us, and maybe I can have you back up a little bit sooner than a year, so we can really flesh it.
[01:00:24.573 --> 01:00:25.133]  Sure, let's do that.
[01:00:25.414 --> 01:00:27.215]  Well, thank you so much, and thanks for writing the book.
[01:00:27.615 --> 01:00:28.135]  Okay, great.
[01:00:28.295 --> 01:00:28.655]  Take care.
[01:00:29.696 --> 01:00:29.976]  You bet.
[01:00:30.276 --> 01:00:32.077]  John, good job to you guys at the network.
[01:00:32.117 --> 01:00:34.118]  I want to let you get disconnected so other stuff can come up.
[01:00:34.258 --> 01:00:35.838]  And I want to thank the folks here running things.
[01:00:35.878 --> 01:00:37.359]  I'll see you this Sunday, 4 to 6 p.m.
[01:00:37.619 --> 01:00:39.259]  and back live next Monday, folks.
[01:00:39.759 --> 01:00:43.401]  And we're bringing you the best guests, the best info, all of it right here.
[01:00:43.761 --> 01:00:53.404]  Please become a PrisonPlanet.tv member if you're out there listening and want to see the video of the fourth hour and into overdrive and some behind-the-scenes things you won't get anywhere else because that capital helps us operate.
[01:00:53.764 --> 01:00:55.305]  We're in very, very serious times.
[01:00:55.325 --> 01:00:57.466]  You just heard him say worse than what he thought last year.
[01:00:57.786 --> 01:00:59.748]  He talked about depression last year.
[01:01:00.308 --> 01:01:03.370]  And the fourth hour is over now.
[01:01:03.750 --> 01:01:08.493]  I had Luke Rodowski and others on with the incredible news of them being framed in the first hour.
[01:01:08.573 --> 01:01:12.395]  That retransmission starts right now at InfoWars.com.
[01:01:12.595 --> 01:01:13.936]  So go there and check it out.
[01:01:14.156 --> 01:01:14.996]  God bless you all.
[01:01:15.056 --> 01:01:15.637]  Take care, John.
[01:01:16.516 --> 01:01:17.417]  Take care, we'll see you on Monday.
